[S02DA03, antipyrine, The metabolism of Antipyrine can be decreased when combined with Ondansetron.]
[N06AA16, dothiepin, The metabolism of Ondansetron can be decreased when combined with Dosulepin.]
[N06AA12, doxepin, Ondansetron may increase the central nervous system depressant (CNS depressant) activities of Doxepin.]
[L01DB01, doxorubicin, The metabolism of Ondansetron can be decreased when combined with Doxorubicin.]
[R06AA09, doxylamine, Doxylamine may increase the central nervous system depressant (CNS depressant) activities of Ondansetron.]
[N06AB06, sertraline, The risk or severity of adverse effects can be increased when Ondansetron is combined with Sertraline.]
[N01AB08, sevoflurane, The risk or severity of adverse effects can be increased when Ondansetron is combined with Sevoflurane.]
[N05AD08, droperidol, Droperidol may increase the central nervous system depressant (CNS depressant) activities of Ondansetron.]
[A08AA10, sibutramine, The risk or severity of adverse effects can be increased when Ondansetron is combined with Sibutramine.]
[C10AA01, simvastatin, The metabolism of Ondansetron can be decreased when combined with Simvastatin.]
[N05AL02, sultopride, The risk or severity of QTc prolongation can be increased when Ondansetron is combined with Sultopride.]
[N02CC01, sumatriptan, The risk or severity of adverse effects can be increased when Sumatriptan is combined with Ondansetron.]
[C07AB13, talinolol, The risk or severity of QTc prolongation can be increased when Talinolol is combined with Ondansetron.]
[J01MA05, temafloxacin, The risk or severity of QTc prolongation can be increased when Ondansetron is combined with Temafloxacin.]
[M01AC02, tenoxicam, The metabolism of Ondansetron can be decreased when combined with Tenoxicam.]
[D01BA02, terbinafine, The metabolism of Ondansetron can be decreased when combined with Terbinafine.]
[G04BD05, terodiline, The risk or severity of QTc prolongation can be increased when Ondansetron is combined with Terodiline.]
[C07AA16, tertatolol, The metabolism of Tertatolol can be decreased when combined with Ondansetron.]
[M03BX07, tetrazepam, The risk or severity of adverse effects can be increased when Ondansetron is combined with Tetrazepam.]
[M03BX05, thiocolchicoside, The risk or severity of adverse effects can be increased when Ondansetron is combined with Thiocolchicoside.]
[N05AB05, thiopropazate, The risk or severity of adverse effects can be increased when Ondansetron is combined with Thiopropazate.]
[G04BD01, emepronium, Ondansetron may increase the central nervous system depressant (CNS depressant) activities of Emepronium.]
[N06AX14, tianeptine, The risk or severity of adverse effects can be increased when Ondansetron is combined with Tianeptine.]
[N05BA23, tofisopam, The risk or severity of adverse effects can be increased when Ondansetron is combined with Tofisopam.]
[N06AG03, toloxatone, The risk or severity of adverse effects can be increased when Ondansetron is combined with Toloxatone.]
[N06BA09, atomoxetine, The risk or severity of QTc prolongation can be increased when Atomoxetine is combined with Ondansetron.]
[N03AX11, topiramate, The risk or severity of adverse effects can be increased when Topiramate is combined with Ondansetron.]
[L02BA02, toremifene, The risk or severity of QTc prolongation can be increased when Ondansetron is combined with Toremifene.]
[C03CA04, torsemide, The metabolism of Ondansetron can be decreased when combined with Torasemide.]
[N05CD11, triazulenone, The risk or severity of adverse effects can be increased when Ondansetron is combined with Loprazolam.]
[N05CM07, triclofos, The risk or severity of adverse effects can be increased when Ondansetron is combined with Triclofos.]
[A03AB08, tridihexethyl, Ondansetron may increase the central nervous system depressant (CNS depressant) activities of Tridihexethyl.]
[R06AA10, trimethobenzamide, The risk or severity of adverse effects can be increased when Trimethobenzamide is combined with Ondansetron.]
[L02AE04, triptorelin, The risk or severity of QTc prolongation can be increased when Triptorelin is combined with Ondansetron.]
[N04AA12, tropatepine, Ondansetron may increase the central nervous system depressant (CNS depressant) activities of Tropatepine.]
[N01AB04, enflurane, The risk or severity of adverse effects can be increased when Enflurane is combined with Ondansetron.]
[C02CA06, urapidil, The risk or severity of adverse effects can be increased when Ondansetron is combined with Urapidil.]
[J01MA04, enoxacin, The metabolism of Ondansetron can be decreased when combined with Enoxacin.]
[N05AL06, veralipride, The risk or severity of adverse effects can be increased when Ondansetron is combined with Veralipride.]
[L01CA04, vinorelbine, The metabolism of Ondansetron can be decreased when combined with Vinorelbine.]
[S01GX10, epinastine, The risk or severity of adverse effects can be increased when Epinastine is combined with Ondansetron.]
[N06AX16, venlafaxine, The risk or severity of serotonin syndrome can be increased when Ondansetron is combined with Venlafaxine.]
[C08CA12, mepirodipine, The metabolism of Ondansetron can be decreased when combined with Barnidipine.]
[S01EA01, epinephrine, The metabolism of Ondansetron can be decreased when combined with Epinephrine.]
[N05CF02, zolpidem, Ondansetron may increase the central nervous system depressant (CNS depressant) activities of Zolpidem.]
[N03AX15, zonisamide, The risk or severity of adverse effects can be increased when Ondansetron is combined with Zonisamide.]
[N05CF01, zopiclone, The risk or severity of adverse effects can be increased when Ondansetron is combined with Zopiclone.]
[N05AX11, zotepine, The risk or severity of adverse effects can be increased when Ondansetron is combined with Zotepine.]
[C02AC02, guanfacine, The risk or severity of adverse effects can be increased when Ondansetron is combined with Guanfacine.]
[C01BG01, moricizine, The risk or severity of adverse effects can be increased when Moricizine is combined with Ondansetron.]
[G02AB03, ergonovine, The risk or severity of adverse effects can be increased when Ondansetron is combined with Ergometrine.]
[C04AE01, ergoloid mesylates, USP, The risk or severity of adverse effects can be increased when Ondansetron is combined with Ergoloid mesylate.]
[N02CA02, ergotamine, The metabolism of Ondansetron can be decreased when combined with Ergotamine.]
[S01AA17, erythromycin, The risk or severity of QTc prolongation can be increased when Erythromycin is combined with Ondansetron.]
[N05CD04, estazolam, The risk or severity of adverse effects can be increased when Ondansetron is combined with Estazolam.]
[H05BX01, cinacalcet, The metabolism of Ondansetron can be decreased when combined with Cinacalcet.]
[G03CA03, estradiol, The metabolism of Ondansetron can be decreased when combined with Estradiol.]
[G03CA57, estrogens, conjugated (USP), The metabolism of Ondansetron can be decreased when combined with Conjugated estrogens.]
[J04AK02, ethambutol, The metabolism of Ondansetron can be decreased when combined with Ethambutol.]
[R03BA09, fluticasone furoate, The metabolism of Ondansetron can be decreased when combined with Fluticasone furoate.]
[R03BA05, fluticasone, The metabolism of Ondansetron can be decreased when combined with Fluticasone.]
[C10AA04, fluvastatin, The metabolism of Ondansetron can be decreased when combined with Fluvastatin.]
[C01CA15, gepefrine, The risk or severity of serotonin syndrome can be increased when Ondansetron is combined with Gepefrine.]
[N05CM08, ethchlorvynol, The risk or severity of adverse effects can be increased when Ethchlorvynol is combined with Ondansetron.]
[L02AA03, ethinyl estradiol, The metabolism of Ethinylestradiol can be decreased when combined with Ondansetron.]
[C01BD05, ibutilide, The risk or severity of QTc prolongation can be increased when Ondansetron is combined with Ibutilide.]
[N04AA05, profenamine, Ondansetron may increase the central nervous system depressant (CNS depressant) activities of Profenamine.]
[N03AD01, ethosuximide, The risk or severity of adverse effects can be increased when Ethosuximide is combined with Ondansetron.]
[N03AB01, ethotoin, The risk or severity of adverse effects can be increased when Ethotoin is combined with Ondansetron.]
[M01AC06, meloxicam, The metabolism of Ondansetron can be decreased when combined with Meloxicam.]
[S01XA06, ethylmorphine, The risk or severity of adverse effects can be increased when Ondansetron is combined with Ethylmorphine.]
[N01AX07, etomidate, The risk or severity of adverse effects can be increased when Etomidate is combined with Ondansetron.]
[L01CB01, etoposide, The metabolism of Etoposide can be decreased when combined with Ondansetron.]
[N05AE03, sertindole, The risk or severity of adverse effects can be increased when Ondansetron is combined with Sertindole.]
[C01BA05, ajmaline, The risk or severity of QTc prolongation can be increased when Ajmaline is combined with Ondansetron.]
[L04AD02, tacrolimus, The metabolism of Tacrolimus can be decreased when combined with Ondansetron.]
[J01MA08, fleroxacin, The risk or severity of QTc prolongation can be increased when Fleroxacin is combined with Ondansetron.]
[R06AX11, astemizole, The metabolism of Astemizole can be decreased when combined with Ondansetron.]
[R06AX12, terfenadine, The metabolism of Ondansetron can be decreased when combined with Terfenadine.]
[N06AX12, bupropion, The metabolism of Ondansetron can be decreased when combined with Bupropion.]
[N06AB08, fluvoxamine, The metabolism of Ondansetron can be decreased when combined with Fluvoxamine.]
[C01BB03, tocainide, The metabolism of Tocainide can be decreased when combined with Ondansetron.]
[C01BC08, encainide, The risk or severity of QTc prolongation can be increased when Encainide is combined with Ondansetron.]
[L02AE02, leuprolide, The risk or severity of QTc prolongation can be increased when Leuprolide is combined with Ondansetron.]
[A02BA03, famotidine, The risk or severity of QTc prolongation can be increased when Famotidine is combined with Ondansetron.]
[P02CA03, albendazole, The metabolism of Ondansetron can be increased when combined with Albendazole.]
[C08CA02, felodipine, The metabolism of Ondansetron can be decreased when combined with Felodipine.]
[C08EA01, fendiline, The risk or severity of QTc prolongation can be increased when Ondansetron is combined with Fendiline.]
[N03AX26, fenfluramine, The risk or severity of serotonin syndrome can be increased when Ondansetron is combined with Fenfluramine.]
[N02AB03, fentanyl, The risk or severity of adverse effects can be increased when Fentanyl is combined with Ondansetron.]
[R03CC02, albuterol, The risk or severity of QTc prolongation can be increased when Salbutamol is combined with Ondansetron.]
[N07AX03, cevimeline, The metabolism of Ondansetron can be decreased when combined with Cevimeline.]
[G04BD02, flavoxate, Ondansetron may increase the central nervous system depressant (CNS depressant) activities of Flavoxate.]
[C01BC04, flecainide, The metabolism of Flecainide can be decreased when combined with Ondansetron.]
[J02AC01, fluconazole, The metabolism of Ondansetron can be decreased when combined with Fluconazole.]
[N07CA03, flunarizine, The risk or severity of adverse effects can be increased when Ondansetron is combined with Flunarizine.]
[N05CD03, flunitrazepam, The risk or severity of adverse effects can be increased when Ondansetron is combined with Flunitrazepam.]
[D07AC08, fluocinonide, The metabolism of Ondansetron can be increased when combined with Fluocinonide.]
[N06AA14, melitracen, The risk or severity of adverse effects can be increased when Ondansetron is combined with Melitracen.]
[H02AB03, fluocortolone, The metabolism of Ondansetron can be increased when combined with Fluocortolone.]
[V03AZ01, ethanol, Ondansetron may increase the central nervous system depressant (CNS depressant) activities of Ethanol.]
[L01BC09, floxuridine, The metabolism of Ondansetron can be decreased when combined with Floxuridine.]
[L01BC02, fluorouracil, The risk or severity of QTc prolongation can be increased when Fluorouracil is combined with Ondansetron.]
[N06AB03, fluoxetine, The serum concentration of Ondansetron can be increased when it is combined with Fluoxetine.]
[N05AF01, flupenthixol, The risk or severity of QTc prolongation can be increased when Ondansetron is combined with Flupentixol.]
[N05AB02, fluphenazine, The risk or severity of adverse effects can be increased when Fluphenazine is combined with Ondansetron.]
[N05CD01, flurazepam, The risk or severity of adverse effects can be increased when Flurazepam is combined with Ondansetron.]
[S01BC04, flurbiprofen, The metabolism of Ondansetron can be decreased when combined with Flurbiprofen.]
[N05AG01, fluspirilene, The risk or severity of QTc prolongation can be increased when Ondansetron is combined with Fluspirilene.]
[L02BB01, flutamide, The metabolism of Ondansetron can be decreased when combined with Flutamide.]
[L01BC03, tegafur, The metabolism of Tegafur can be decreased when combined with Ondansetron.]
[M03AA01, alcuronium, The risk or severity of adverse effects can be increased when Ondansetron is combined with Alcuronium.]
[G01AX06, furazolidone, The risk or severity of adverse effects can be increased when Furazolidone is combined with Ondansetron.]
[J05AE10, darunavir, The metabolism of Ondansetron can be decreased when combined with Darunavir.]
[N05CF04, eszopiclone, The risk or severity of CNS depression can be increased when Ondansetron is combined with Eszopiclone.]
[N05AL05, amisulpride, The risk or severity of QTc prolongation can be increased when Ondansetron is combined with Amisulpride.]
[N06DA04, galantamine, The risk or severity of QTc prolongation can be increased when Galantamine is combined with Ondansetron.]
[M03AC02, gallamine, The risk or severity of adverse effects can be increased when Ondansetron is combined with Gallamine.]
[C08DA02, gallopamil, The risk or severity of QTc prolongation can be increased when Gallopamil is combined with Ondansetron.]
[N03AA04, barbexaclone, The risk or severity of adverse effects can be increased when Ondansetron is combined with Barbexaclone.]
[N06AX08, bifemelane, The risk or severity of adverse effects can be increased when Ondansetron is combined with Bifemelane.]
[C10AB04, gemfibrozil, The metabolism of Ondansetron can be decreased when combined with Gemfibrozil.]
[J01XA03, telavancin, The risk or severity of QTc prolongation can be increased when Ondansetron is combined with Telavancin.]
[L02BX02, degarelix, The risk or severity of QTc prolongation can be increased when Degarelix is combined with Ondansetron.]
[L01EA02, dasatinib, The metabolism of Dasatinib can be decreased when combined with Ondansetron.]
[N04BC06, cabergoline, The risk or severity of adverse effects can be increased when Cabergoline is combined with Ondansetron.]
[C01CA21, cafedrine, The metabolism of Cafedrine can be decreased when combined with Ondansetron.]
[J05AG04, etravirine, The metabolism of Ondansetron can be decreased when combined with Etravirine.]
[N03AD03, methsuximide, The risk or severity of adverse effects can be increased when Ondansetron is combined with Methsuximide.]
[N01AH02, alfentanil, The risk or severity of adverse effects can be increased when Alfentanil is combined with Ondansetron.]
[L01EH01, lapatinib, The risk or severity of QTc prolongation can be increased when Lapatinib is combined with Ondansetron.]
[A10BB01, glyburide, The metabolism of Ondansetron can be decreased when combined with Glyburide.]
[A10BB09, gliclazide, The metabolism of Gliclazide can be decreased when combined with Ondansetron.]
[A10BB07, glipizide, The metabolism of Glipizide can be decreased when combined with Ondansetron.]
[N05CM18, dexmedetomidine, The risk or severity of adverse effects can be increased when Dexmedetomidine is combined with Ondansetron.]
[N05CE01, glutethimide, The risk or severity of adverse effects can be increased when Ondansetron is combined with Glutethimide.]
[C01BD04, dofetilide, The risk or severity of QTc prolongation can be increased when Ondansetron is combined with Dofetilide.]
[C02CA04, doxazosin, The metabolism of Ondansetron can be decreased when combined with Doxazosin.]
[L01EX02, sorafenib, The metabolism of Sorafenib can be decreased when combined with Ondansetron.]
[C07AB09, esmolol, The risk or severity of QTc prolongation can be increased when Esmolol is combined with Ondansetron.]
[B01AA12, fluindione, The risk or severity of adverse effects can be increased when Ondansetron is combined with Fluindione.]
[L02AE03, goserelin, The risk or severity of QTc prolongation can be increased when Goserelin is combined with Ondansetron.]
[P01BX01, halofantrine, The risk or severity of QTc prolongation can be increased when Ondansetron is combined with Halofantrine.]
[N05AD01, haloperidol, The risk or severity of QTc prolongation can be increased when Ondansetron is combined with Haloperidol.]
[N01AB01, halothane, The risk or severity of adverse effects can be increased when Ondansetron is combined with Halothane.]
[L02AE05, histrelin, The risk or severity of QTc prolongation can be increased when Histrelin is combined with Ondansetron.]
[N05AH04, quetiapine, Ondansetron may increase the central nervous system depressant (CNS depressant) activities of Quetiapine.]
[N02CX03, iprazochrome, The risk or severity of adverse effects can be increased when Ondansetron is combined with Iprazochrome.]
[L01CE02, irinotecan, The metabolism of Ondansetron can be decreased when combined with Irinotecan.]
[N05CA21, allobarbital, The risk or severity of adverse effects can be increased when Ondansetron is combined with Allobarbital.]
[C09CA01, losartan, The risk or severity of QTc prolongation can be increased when Losartan is combined with Ondansetron.]
[N05CA16, hexobarbital, The risk or severity of adverse effects can be increased when Ondansetron is combined with Hexobarbital.]
[J05AG01, nevirapine, The metabolism of Ondansetron can be decreased when combined with Nevirapine.]
[C08CA10, nilvadipine, The risk or severity of QTc prolongation can be increased when Ondansetron is combined with Nilvadipine.]
[R06AE06, oxatomide, The risk or severity of QTc prolongation can be increased when Ondansetron is combined with Oxatomide.]
[C03AA03, hydrochlorothiazide, The risk or severity of QTc prolongation can be increased when Hydrochlorothiazide is combined with Ondansetron.]
[R05DA03, hydrocodone, Ondansetron may increase the central nervous system depressant (CNS depressant) activities of Hydrocodone.]
[S02BA01, hydrocortisone, The metabolism of Ondansetron can be decreased when combined with Hydrocortisone.]
[G04BD06, propiverine, Ondansetron may increase the central nervous system depressant (CNS depressant) activities of Propiverine.]
[P01BA02, hydroxychloroquine, The metabolism of Ondansetron can be decreased when combined with Hydroxychloroquine.]
[N05AX07, prothipendyl, The risk or severity of adverse effects can be increased when Ondansetron is combined with Prothipendyl.]
[N05BB01, hydroxyzine, The risk or severity of QTc prolongation can be increased when Ondansetron is combined with Hydroxyzine.]
[R02AX02, ibuprofen, The metabolism of Ibuprofen can be decreased when combined with Ondansetron.]
[L01DB06, idarubicin, The metabolism of Idarubicin can be decreased when combined with Ondansetron.]
[L01AA06, ifosfamide, The metabolism of Ifosfamide can be decreased when combined with Ondansetron.]
[H01AC02, somatrem, The metabolism of Ondansetron can be increased when combined with Somatrem.]
[N01AH03, sufentanil, The risk or severity of adverse effects can be increased when Sufentanil is combined with Ondansetron.]
[N06AA02, imipramine, The metabolism of Ondansetron can be decreased when combined with Imipramine.]
[L01CD01, paclitaxel, The metabolism of Paclitaxel can be decreased when combined with Ondansetron.]
[H01BA04, terlipressin, The risk or severity of QTc prolongation can be increased when Ondansetron is combined with Terlipressin.]
[M03BX02, tizanidine, The risk or severity of adverse effects can be increased when Tizanidine is combined with Ondansetron.]
[C03BA11, indapamide, The risk or severity of QTc prolongation can be increased when Indapamide is combined with Ondansetron.]
[S01BC01, indomethacin, The metabolism of Ondansetron can be decreased when combined with Indomethacin.]
[L03AB04, interferon alfa-2a, The metabolism of Ondansetron can be decreased when combined with Interferon alfa-2a.]
[L03AB05, interferon alfa-2b, The metabolism of Ondansetron can be decreased when combined with Interferon alfa-2b.]
[N06AX17, milnacipran, The risk or severity of adverse effects can be increased when Ondansetron is combined with Milnacipran.]
[A03AA30, piperidolate, Ondansetron may increase the central nervous system depressant (CNS depressant) activities of Piperidolate.]
[N01BB08, articaine, The risk or severity of adverse effects can be increased when Ondansetron is combined with Articaine.]
[N05BA12, alprazolam, The risk or severity of adverse effects can be increased when Alprazolam is combined with Ondansetron.]
[N05CH02, ramelteon, The risk or severity of adverse effects can be increased when Ondansetron is combined with Ramelteon.]
[R06AE01, buclizine, Ondansetron may increase the central nervous system depressant (CNS depressant) activities of Buclizine.]
[C10AA06, cerivastatin, The metabolism of Ondansetron can be decreased when combined with Cerivastatin.]
[L01XX35, anagrelide, The risk or severity of QTc prolongation can be increased when Ondansetron is combined with Anagrelide.]
[C07AA01, alprenolol, The risk or severity of adverse effects can be increased when Alprenolol is combined with Ondansetron.]
[L03AB09, interferon alfacon-1, The metabolism of Ondansetron can be decreased when combined with Interferon alfacon-1.]
[V03AB01, ipecac, The metabolism of Ipecac can be decreased when combined with Ondansetron.]
[N06AA13, iprindole, The risk or severity of adverse effects can be increased when Ondansetron is combined with Iprindole.]
[N06AF05, iproniazid, The risk or severity of adverse effects can be increased when Ondansetron is combined with Iproniazid.]
[J05AB13, penciclovir, The metabolism of Ondansetron can be decreased when combined with Penciclovir.]
[N05AA07, chlorproethazine, The risk or severity of adverse effects can be increased when Ondansetron is combined with Chlorproethazine.]
[N06AF01, isocarboxazid, The risk or severity of adverse effects can be increased when Ondansetron is combined with Isocarboxazid.]
[P01AX06, atovaquone, The metabolism of Ondansetron can be decreased when combined with Atovaquone.]
[N01AB06, isoflurane, The risk or severity of adverse effects can be increased when Isoflurane is combined with Ondansetron.]
[N04BX02, entacapone, The risk or severity of adverse effects can be increased when Entacapone is combined with Ondansetron.]
[J04AC01, isoniazid, The metabolism of Ondansetron can be decreased when combined with Isoniazid.]
[N06AX18, reboxetine, The risk or severity of adverse effects can be increased when Reboxetine is combined with Ondansetron.]
[H01AC01, somatropin, The metabolism of Ondansetron can be increased when combined with Somatotropin.]
[L04AC07, tocilizumab, The metabolism of Ondansetron can be increased when combined with Tocilizumab.]
[N01AX03, ketamine, The risk or severity of adverse effects can be increased when Ondansetron is combined with Ketamine.]
[C02KD01, ketanserin, The risk or severity of adverse effects can be increased when Ondansetron is combined with Ketanserin.]
[B01AC22, prasugrel, The metabolism of Prasugrel can be decreased when combined with Ondansetron.]
[J02AB02, ketoconazole, The metabolism of Ondansetron can be decreased when combined with Ketoconazole.]
[N05AH03, olanzapine, Ondansetron may increase the central nervous system depressant (CNS depressant) activities of Olanzapine.]
[V03AC03, deferasirox, The serum concentration of Ondansetron can be increased when it is combined with Deferasirox.]
[L04AA24, abatacept, The metabolism of Ondansetron can be increased when combined with Abatacept.]
[R06AX25, mizolastine, The risk or severity of QTc prolongation can be increased when Ondansetron is combined with Mizolastine.]
[N04BC09, rotigotine, Ondansetron may increase the sedative activities of Rotigotine.]
[J01MB02, nalidixic acid, The risk or severity of QTc prolongation can be increased when Nalidixic acid is combined with Ondansetron.]
[C07AG01, labetalol, The metabolism of Ondansetron can be decreased when combined with Labetalol.]
[N04BB01, amantadine, The risk or severity of serotonin syndrome can be increased when Ondansetron is combined with Amantadine.]
[N03AX18, lacosamide, The risk or severity of adverse effects can be increased when Ondansetron is combined with Lacosamide.]
[G03AD01, levonorgestrel, The metabolism of Ondansetron can be decreased when combined with Levonorgestrel.]
[N04BA01, levodopa, The risk or severity of adverse effects can be increased when Ondansetron is combined with Levodopa.]
[S02DA01, lidocaine, The metabolism of Ondansetron can be decreased when combined with Lidocaine.]
[C08EX01, lidoflazine, The risk or severity of QTc prolongation can be increased when Lidoflazine is combined with Ondansetron.]
[N06BA13, armodafinil, The metabolism of Ondansetron can be increased when combined with Armodafinil.]
[N02CA07, lisuride, The risk or severity of adverse effects can be increased when Lisuride is combined with Ondansetron.]
[N06AA07, lofepramine, The risk or severity of adverse effects can be increased when Ondansetron is combined with Lofepramine.]
[A07DA03, loperamide, The risk or severity of QTc prolongation can be increased when Loperamide is combined with Ondansetron.]
[N05BA06, lorazepam, The risk or severity of adverse effects can be increased when Lorazepam is combined with Ondansetron.]
[C10AA02, lovastatin, The metabolism of Ondansetron can be decreased when combined with Lovastatin.]
[N05AH01, loxapine, The risk or severity of adverse effects can be increased when Loxapine is combined with Ondansetron.]
[G03DC03, lynestrenol, The metabolism of Lynestrenol can be decreased when combined with Ondansetron.]
[L01EG01, temsirolimus, The metabolism of Temsirolimus can be decreased when combined with Ondansetron.]
[V04CC02, magnesium sulfate, The therapeutic efficacy of Ondansetron can be increased when used in combination with Magnesium sulfate.]
[L01EA03, nilotinib, The metabolism of Ondansetron can be decreased when combined with Nilotinib.]
[N06AA21, maprotiline, Ondansetron may increase the central nervous system depressant (CNS depressant) activities of Maprotiline.]
[A08AA05, mazindol, The risk or severity of adverse effects can be increased when Mazindol is combined with Ondansetron.]
[R06AE05, meclizine, The risk or severity of adverse effects can be increased when Meclizine is combined with Ondansetron.]
[N05BA03, medazepam, The risk or severity of adverse effects can be increased when Ondansetron is combined with Medazepam.]
[P01BC02, mefloquine, The risk or severity of QTc prolongation can be increased when Mefloquine is combined with Ondansetron.]
[N05CH01, melatonin, The risk or severity of adverse effects can be increased when Ondansetron is combined with Melatonin.]
[N02AB02, meperidine, The risk or severity of adverse effects can be increased when Meperidine is combined with Ondansetron.]
[C01CA11, mephentermine, The risk or severity of serotonin syndrome can be increased when Ondansetron is combined with Mephentermine.]
[N03AB04, mephenytoin, The risk or severity of adverse effects can be increased when Mephenytoin is combined with Ondansetron.]
[N03AA01, mephobarbital, The risk or severity of adverse effects can be increased when Methylphenobarbital is combined with Ondansetron.]
[N01BB03, mepivacaine, The risk or severity of adverse effects can be increased when Ondansetron is combined with Mepivacaine.]
[N05BC01, meprobamate, The risk or severity of adverse effects can be increased when Meprobamate is combined with Ondansetron.]
[N02AX05, meptazinol, The risk or severity of adverse effects can be increased when Ondansetron is combined with Meptazinol.]
[N05AC03, mesoridazine, The risk or severity of QTc prolongation can be increased when Ondansetron is combined with Mesoridazine.]
[N05AX13, paliperidone, The risk or severity of QTc prolongation can be increased when Ondansetron is combined with Paliperidone.]
[A04AA04, dolasetron, The risk or severity of QTc prolongation can be increased when Dolasetron is combined with Ondansetron.]
[N07BC02, methadone, The risk or severity of adverse effects can be increased when Methadone is combined with Ondansetron.]
[N06BA03, methamphetamine, The risk or severity of adverse effects can be increased when Ondansetron is combined with Metamfetamine.]
[A03AB07, methantheline, Ondansetron may increase the central nervous system depressant (CNS depressant) activities of Methantheline.]
[R06AC05, methapyrilene, The risk or severity of adverse effects can be increased when Ondansetron is combined with Methapyrilene.]
[N05CM01, methaqualone, The risk or severity of adverse effects can be increased when Ondansetron is combined with Methaqualone.]
[N03AA30, metharbital, The risk or severity of adverse effects can be increased when Metharbital is combined with Ondansetron.]
[G02CB05, metergoline, The risk or severity of adverse effects can be increased when Ondansetron is combined with Metergoline.]
[H03BB02, methimazole, The metabolism of Ondansetron can be decreased when combined with Methimazole.]
[L01BA04, pemetrexed, The metabolism of Ondansetron can be decreased when combined with Pemetrexed.]
[M03BA03, methocarbamol, The risk or severity of adverse effects can be increased when Methocarbamol is combined with Ondansetron.]
[N05CA15, methohexital, The risk or severity of adverse effects can be increased when Methohexital is combined with Ondansetron.]
[N02BG08, ziconotide, The risk or severity of adverse effects can be increased when Ondansetron is combined with Ziconotide.]
[N05AA02, methotrimeprazine, Ondansetron may increase the central nervous system depressant (CNS depressant) activities of Methotrimeprazine.]
[D05BA02, methoxsalen, The metabolism of Ondansetron can be decreased when combined with Methoxsalen.]
[N02BG09, methoxyflurane, The risk or severity of adverse effects can be increased when Ondansetron is combined with Methoxyflurane.]
[V04CG05, methylene blue, Ondansetron may increase the serotonergic activities of Methylene blue.]
[R03DA05, aminophylline, The metabolism of Aminophylline can be decreased when combined with Ondansetron.]
[N03AF03, rufinamide, The risk or severity of adverse effects can be increased when Rufinamide is combined with Ondansetron.]
[N05CE02, methyprylon, The risk or severity of adverse effects can be increased when Ondansetron is combined with Methyprylon.]
[N02CA04, methysergide, The risk or severity of adverse effects can be increased when Methysergide is combined with Ondansetron.]
[A03FA01, metoclopramide, The risk or severity of sedation can be increased when Metoclopramide is combined with Ondansetron.]
[C07AB02, metoprolol, The metabolism of Ondansetron can be decreased when combined with Metoprolol.]
[P01AB01, metronidazole, The metabolism of Ondansetron can be decreased when combined with Metronidazole.]
[C01BB02, mexiletine, The metabolism of Ondansetron can be decreased when combined with Mexiletine.]
[N06AX03, mianserin, The risk or severity of adverse effects can be increased when Ondansetron is combined with Mianserin.]
[S02AA13, miconazole, The metabolism of Ondansetron can be decreased when combined with Miconazole.]
[N02BB03, aminopyrine, The metabolism of Aminophenazone can be decreased when combined with Ondansetron.]
[N05CD08, midazolam, The risk or severity of adverse effects can be increased when Midazolam is combined with Ondansetron.]
[G03XB01, mifepristone, The risk or severity of QTc prolongation can be increased when Ondansetron is combined with Mifepristone.]
[C09CA03, valsartan, The metabolism of Ondansetron can be decreased when combined with Valsartan.]
[J01AA08, minocycline, Minocycline may increase the central nervous system depressant (CNS depressant) activities of Ondansetron.]
[L01XX23, mitotane, The metabolism of Ondansetron can be increased when combined with Mitotane.]
[N06BA12, lisdexamfetamine, The risk or severity of serotonin syndrome can be increased when Ondansetron is combined with Lisdexamfetamine.]
[N05AE02, molindone, The risk or severity of adverse effects can be increased when Ondansetron is combined with Molindone.]
[C01BD01, amiodarone, The metabolism of Ondansetron can be decreased when combined with Amiodarone.]
[N06AA09, amitriptyline, The metabolism of Amitriptyline can be decreased when combined with Ondansetron.]
[N02AA01, morphine, The risk or severity of adverse effects can be increased when Morphine is combined with Ondansetron.]
[A04AA05, palonosetron, The risk or severity of adverse effects can be increased when Palonosetron is combined with Ondansetron.]
[L04AB05, certolizumab pegol, The metabolism of Ondansetron can be increased when combined with Certolizumab pegol.]
[B02BX05, eltrombopag, The metabolism of Eltrombopag can be decreased when combined with Ondansetron.]
[L01EX03, pazopanib, The risk or severity of QTc prolongation can be increased when Ondansetron is combined with Pazopanib.]
[M03AC03, vecuronium, The risk or severity of adverse effects can be increased when Ondansetron is combined with Vecuronium.]
[N05CA02, amobarbital, The risk or severity of adverse effects can be increased when Ondansetron is combined with Amobarbital.]
[P01BA06, amodiaquine, The metabolism of Ondansetron can be decreased when combined with Amodiaquine.]
[N06AA17, amoxapine, The metabolism of Amoxapine can be decreased when combined with Ondansetron.]
[N03AB05, fosphenytoin, The metabolism of Ondansetron can be increased when combined with Fosphenytoin.]
[L03AB08, interferon beta-1b, The metabolism of Ondansetron can be decreased when combined with Interferon beta-1b.]
[C07AA12, nadolol, The metabolism of Nadolol can be decreased when combined with Ondansetron.]
[N04BC04, ropinirole, Ondansetron may increase the sedative activities of Ropinirole.]
[J01CF06, nafcillin, The metabolism of Ondansetron can be increased when combined with Nafcillin.]
[C04AX21, nafronyl, The risk or severity of adverse effects can be increased when Ondansetron is combined with Naftidrofuryl.]
