[P02BB01, trichlorfon, Metrifonate may increase the neuromuscular blocking activities of Cocaine.]
[R05DA04, codeine, The risk or severity of adverse effects can be increased when Cocaine is combined with Codeine.]
[J01CA18, hetacillin, The risk or severity of methemoglobinemia can be increased when Hetacillin is combined with Cocaine.]
[M03AC05, hexafluorenium, Hexafluronium may increase the neuromuscular blocking activities of Cocaine.]
[A03AB10, hexocyclium, The risk or severity of adverse effects can be increased when Cocaine is combined with Hexocyclium.]
[J01XX04, spectinomycin, The risk or severity of methemoglobinemia can be increased when Spectinomycin is combined with Cocaine.]
[A03BB06, homatropine methylbromide, The risk or severity of adverse effects can be increased when Homatropine methylbromide is combined with Cocaine.]
[S01FA05, homatropine, The risk or severity of adverse effects can be increased when Cocaine is combined with Homatropine.]
[J01XB01, colistin, The risk or severity of methemoglobinemia can be increased when Colistin is combined with Cocaine.]
[L01XX40, omacetaxine mepesuccinate, The risk or severity of methemoglobinemia can be increased when Omacetaxine mepesuccinate is combined with Cocaine.]
[J01DE02, cefpirome, The risk or severity of methemoglobinemia can be increased when Cefpirome is combined with Cocaine.]
[N01AB07, desflurane, Desflurane may increase the central nervous system depressant (CNS depressant) activities of Cocaine.]
[A04AA03, tropisetron, Tropisetron may increase the central nervous system depressant (CNS depressant) activities of Cocaine.]
[C04AX28, ifenprodil, The risk or severity of methemoglobinemia can be increased when Ifenprodil is combined with Cocaine.]
[A10BX03, nateglinide, The metabolism of Nateglinide can be decreased when combined with Cocaine.]
[L01BB07, nelarabine, The risk or severity of methemoglobinemia can be increased when Nelarabine is combined with Cocaine.]
[J01FA15, telithromycin, The risk or severity of methemoglobinemia can be increased when Telithromycin is combined with Cocaine.]
[R03BA08, ciclesonide, The metabolism of Ciclesonide can be decreased when combined with Cocaine.]
[R06AX27, desloratadine, The risk or severity of QTc prolongation can be increased when Desloratadine is combined with Cocaine.]
[H01AX01, pegvisomant, Pegvisomant may increase the neuromuscular blocking activities of Cocaine.]
[A03AX10, isometheptene, The risk or severity of Tachycardia can be increased when Cocaine is combined with Isometheptene.]
[N02CC05, almotriptan, Almotriptan may increase the central nervous system depressant (CNS depressant) activities of Cocaine.]
[J02AC02, itraconazole, The risk or severity of QTc prolongation can be increased when Itraconazole is combined with Cocaine.]
[S01GX06, emedastine, The risk or severity of QTc prolongation can be increased when Emedastine is combined with Cocaine.]
[N05BA10, ketazolam, Ketazolam may increase the central nervous system depressant (CNS depressant) activities of Cocaine.]
[L02BA03, fulvestrant, The risk or severity of methemoglobinemia can be increased when Fulvestrant is combined with Cocaine.]
[L01EA01, imatinib, The risk or severity of methemoglobinemia can be increased when Imatinib is combined with Cocaine.]
[J02AC04, posaconazole, The risk or severity of QTc prolongation can be increased when Posaconazole is combined with Cocaine.]
[C08CA09, lacidipine, The risk or severity of QTc prolongation can be increased when Lacidipine is combined with Cocaine.]
[A06AD12, lactitol, The therapeutic efficacy of Lactitol can be decreased when used in combination with Cocaine.]
[N03AX09, lamotrigine, The risk or severity of methemoglobinemia can be increased when Lamotrigine is combined with Cocaine.]
[S01GX02, levocabastine, Levocabastine may increase the central nervous system depressant (CNS depressant) activities of Cocaine.]
[N07BC04, lofexidine, The risk or severity of QTc prolongation can be increased when Lofexidine is combined with Cocaine.]
[S01AE04, lomefloxacin, The risk or severity of methemoglobinemia can be increased when Lomefloxacin is combined with Cocaine.]
[R06AX13, loratadine, Cocaine may increase the anticholinergic activities of Loratadine.]
[N05CD06, lormetazepam, Lormetazepam may increase the central nervous system depressant (CNS depressant) activities of Cocaine.]
[J01DC08, loracarbef, The risk or severity of methemoglobinemia can be increased when Loracarbef is combined with Cocaine.]
[A06AD01, magnesium carbonate, The therapeutic efficacy of Magnesium carbonate can be decreased when used in combination with Cocaine.]
[A03AA04, mebeverine, The risk or severity of adverse effects can be increased when Cocaine is combined with Mebeverine.]
[D10AF04, meclocycline, The risk or severity of methemoglobinemia can be increased when Meclocycline is combined with Cocaine.]
[N06AX13, medifoxamine, Medifoxamine may increase the central nervous system depressant (CNS depressant) activities of Cocaine.]
[A08AA09, mefenorex, The risk or severity of Tachycardia can be increased when Cocaine is combined with Mefenorex.]
[C07AA14, mepindolol, The metabolism of Mepindolol can be decreased when combined with Cocaine.]
[R06AD07, mequitazine, The risk or severity of QTc prolongation can be increased when Mequitazine is combined with Cocaine.]
[J01DH02, meropenem, The risk or severity of methemoglobinemia can be increased when Meropenem is combined with Cocaine.]
[C01EB10, adenosine, The risk or severity of QTc prolongation can be increased when Adenosine is combined with Cocaine.]
[J01CA14, methampicillin, The risk or severity of methemoglobinemia can be increased when Metampicillin is combined with Cocaine.]
[N04AA03, methixene, The risk or severity of adverse effects can be increased when Metixene is combined with Cocaine.]
[R03CB02, methoxyphenamine, The risk or severity of serotonin syndrome can be increased when Cocaine is combined with Methoxyphenamine.]
[R06AE03, cyclizine, Cyclizine may increase the central nervous system depressant (CNS depressant) activities of Cocaine.]
[N05CA10, cyclobarbital, Cyclobarbital may increase the central nervous system depressant (CNS depressant) activities of Cocaine.]
[N05AD03, metylperon, The risk or severity of QTc prolongation can be increased when Melperone is combined with Cocaine.]
[S01AA22, micronomicin, The risk or severity of methemoglobinemia can be increased when Micronomicin is combined with Cocaine.]
[C03AA07, cyclopenthiazide, The serum concentration of Cyclopenthiazide can be increased when it is combined with Cocaine.]
[J01FA03, midecamycin, The risk or severity of methemoglobinemia can be increased when Midecamycin is combined with Cocaine.]
[S01FA04, cyclopentolate, The risk or severity of adverse effects can be increased when Cocaine is combined with Cyclopentolate.]
[L01AA01, cyclophosphamide, The risk or severity of methemoglobinemia can be increased when Cyclophosphamide is combined with Cocaine.]
[N06AX07, minaprine, Minaprine may increase the neuromuscular blocking activities of Cocaine.]
[J04AB01, cycloserine, The risk or severity of methemoglobinemia can be increased when Cycloserine is combined with Cocaine.]
[N06AG02, moclobemide, Moclobemide may increase the central nervous system depressant (CNS depressant) activities of Cocaine.]
[R06AX02, cyproheptadine, Cyproheptadine may increase the central nervous system depressant (CNS depressant) activities of Cocaine.]
[C09AA13, moexipril, The risk or severity of QTc prolongation can be increased when Moexipril is combined with Cocaine.]
[C02AC05, moxonidine, The risk or severity of Tachycardia can be increased when Cocaine is combined with Moxonidine.]
[L01BC01, cytarabine, The risk or severity of methemoglobinemia can be increased when Cytarabine is combined with Cocaine.]
[G04BE09, vardenafil, The risk or severity of QTc prolongation can be increased when Vardenafil is combined with Cocaine.]
[L01AX04, dacarbazine, The risk or severity of methemoglobinemia can be increased when Dacarbazine is combined with Cocaine.]
[L01DA01, dactinomycin, The risk or severity of methemoglobinemia can be increased when Dactinomycin is combined with Cocaine.]
[M03CA01, dantrolene, Dantrolene may increase the central nervous system depressant (CNS depressant) activities of Cocaine.]
[J04BA02, dapsone, The risk or severity of methemoglobinemia can be increased when Dapsone is combined with Cocaine.]
[L01DB02, daunorubicin, The risk or severity of methemoglobinemia can be increased when Daunorubicin is combined with Cocaine.]
[N06BX04, deanol, Deanol may increase the central nervous system depressant (CNS depressant) activities of Cocaine.]
[C02CC04, debrisoquin, The metabolism of Debrisoquine can be decreased when combined with Cocaine.]
[L01DB09, valrubicin, The risk or severity of methemoglobinemia can be increased when Valrubicin is combined with Cocaine.]
[A04AD11, nabilone, Cocaine may increase the tachycardic activities of Nabilone.]
[J01AA01, demeclocycline, The risk or severity of methemoglobinemia can be increased when Demeclocycline is combined with Cocaine.]
[N05BA16, nordazepam, Nordazepam may increase the central nervous system depressant (CNS depressant) activities of Cocaine.]
[C07AB12, nebivolol, The metabolism of Nebivolol can be decreased when combined with Cocaine.]
[N06AX06, nefazodone, Nefazodone may increase the central nervous system depressant (CNS depressant) activities of Cocaine.]
[N05CM16, niaprazine, Niaprazine may increase the central nervous system depressant (CNS depressant) activities of Cocaine.]
[L02BB02, nilutamide, The risk or severity of methemoglobinemia can be increased when Nilutamide is combined with Cocaine.]
[L01FE01, cetuximab, The risk or severity of methemoglobinemia can be increased when Cetuximab is combined with Cocaine.]
[N03AG06, tiagabine, The risk or severity of methemoglobinemia can be increased when Tiagabine is combined with Cocaine.]
[M03AC11, cisatracurium, Cocaine may increase the neuromuscular blocking activities of Cisatracurium.]
[C01CA05, norfenefrine, The risk or severity of Tachycardia can be increased when Cocaine is combined with Norfenefrine.]
[R05DA06, normethadone, The risk or severity of adverse effects can be increased when Cocaine is combined with Normethadone.]
[N06AB10, escitalopram, The risk or severity of serotonin syndrome can be increased when Cocaine is combined with Escitalopram.]
[G04BD08, solifenacin, The risk or severity of QTc prolongation can be increased when Solifenacin is combined with Cocaine.]
[R02AA02, dequalinium, The risk or severity of methemoglobinemia can be increased when Dequalinium is combined with Cocaine.]
[N06AA01, desipramine, The metabolism of Desipramine can be decreased when combined with Cocaine.]
[J01DH03, ertapenem, The risk or severity of methemoglobinemia can be increased when Ertapenem is combined with Cocaine.]
[L01XA03, oxaliplatin, The risk or severity of methemoglobinemia can be increased when Oxaliplatin is combined with Cocaine.]
[N03AF02, oxcarbazepine, The risk or severity of methemoglobinemia can be increased when Oxcarbazepine is combined with Cocaine.]
[S03BA01, dexamethasone, The risk or severity of methemoglobinemia can be increased when Dexamethasone is combined with Cocaine.]
[N06BX07, oxiracetam, Oxiracetam may increase the central nervous system depressant (CNS depressant) activities of Cocaine.]
[N04AA08, dexetimide, The risk or severity of adverse effects can be increased when Cocaine is combined with Dexetimide.]
[G04BD04, oxybutynin, The risk or severity of adverse effects can be increased when Cocaine is combined with Oxybutynin.]
[A08AA04, dexfenfluramine, The metabolism of Dexfenfluramine can be decreased when combined with Cocaine.]
[A03AA01, oxyphencyclimine, The risk or severity of adverse effects can be increased when Oxyphencyclimine is combined with Cocaine.]
[L01EB01, gefitinib, The risk or severity of methemoglobinemia can be increased when Gefitinib is combined with Cocaine.]
[N06BA02, dextroamphetamine, The metabolism of Amphetamine can be decreased when combined with Cocaine.]
[R05DA09, dextromethorphan, Dextromethorphan may increase the central nervous system depressant (CNS depressant) activities of Cocaine.]
[N03AC01, paramethadione, The risk or severity of methemoglobinemia can be increased when Paramethadione is combined with Cocaine.]
[N02AC01, dextromoramide, The risk or severity of adverse effects can be increased when Cocaine is combined with Dextromoramide.]
[N06AB05, paroxetine, Paroxetine may increase the central nervous system depressant (CNS depressant) activities of Cocaine.]
[N07BC06, heroin, The risk or severity of adverse effects can be increased when Cocaine is combined with Diamorphine.]
[N05BA01, diazepam, The risk or severity of methemoglobinemia can be increased when Diazepam is combined with Cocaine.]
[N03AX07, phenacemide, The risk or severity of methemoglobinemia can be increased when Phenacemide is combined with Cocaine.]
[J01CE05, phenethicillin, The risk or severity of methemoglobinemia can be increased when Pheneticillin is combined with Cocaine.]
[S01AA29, dibekacin, The risk or severity of methemoglobinemia can be increased when Dibekacin is combined with Cocaine.]
[R02AA19, phenol, The risk or severity of methemoglobinemia can be increased when Cocaine is combined with Phenol.]
[N03AD02, phensuximide, The risk or severity of methemoglobinemia can be increased when Phensuximide is combined with Cocaine.]
[N06AA08, dibenzepin, Dibenzepin may increase the central nervous system depressant (CNS depressant) activities of Cocaine.]
[S02DA04, dibucaine, The risk or severity of methemoglobinemia can be increased when Cinchocaine is combined with Cocaine.]
[J01CF01, dicloxacillin, The risk or severity of methemoglobinemia can be increased when Dicloxacillin is combined with Cocaine.]
[J05AD01, foscarnet, The risk or severity of QTc prolongation can be increased when Foscarnet is combined with Cocaine.]
[A03AA07, dicyclomine, The risk or severity of adverse effects can be increased when Dicyclomine is combined with Cocaine.]
[A03AX04, pinaverium, The risk or severity of QTc prolongation can be increased when Pinaverium is combined with Cocaine.]
[N05AD05, pipamperone, Pipamperone may increase the central nervous system depressant (CNS depressant) activities of Cocaine.]
[A03AB14, pipenzolate, The risk or severity of adverse effects can be increased when Cocaine is combined with Pipenzolate.]
[L01DC04, ixabepilone, The risk or severity of methemoglobinemia can be increased when Ixabepilone is combined with Cocaine.]
[L01EB02, erlotinib, The risk or severity of methemoglobinemia can be increased when Erlotinib is combined with Cocaine.]
[L01DB08, pirarubicin, The risk or severity of methemoglobinemia can be increased when Pirarubicin is combined with Cocaine.]
[R03CC07, pirbuterol, The risk or severity of Tachycardia can be increased when Cocaine is combined with Pirbuterol.]
[P02CB02, diethylcarbamazine, Diethylcarbamazine may increase the neuromuscular blocking activities of Cocaine.]
[A08AA03, diethylpropion, Diethylpropion may increase the central nervous system depressant (CNS depressant) activities of Cocaine.]
[C08CA03, isradipine, The risk or severity of QTc prolongation can be increased when Isradipine is combined with Cocaine.]
[A03AB11, poldine, The risk or severity of adverse effects can be increased when Cocaine is combined with Poldine.]
[C01AA04, digitoxin, The risk or severity of QTc prolongation can be increased when Digitoxin is combined with Cocaine.]
[C01AA05, digoxin, The risk or severity of QTc prolongation can be increased when Digoxin is combined with Cocaine.]
[L01XX24, pegaspargase, The risk or severity of methemoglobinemia can be increased when Pegaspargase is combined with Cocaine.]
[N02CA01, dihydroergotamine, Dihydroergotamine may increase the central nervous system depressant (CNS depressant) activities of Cocaine.]
[N02AA03, hydromorphone, The risk or severity of adverse effects can be increased when Cocaine is combined with Hydromorphone.]
[L04AX04, lenalidomide, The risk or severity of methemoglobinemia can be increased when Lenalidomide is combined with Cocaine.]
[J05AE08, atazanavir, The risk or severity of QTc prolongation can be increased when Atazanavir is combined with Cocaine.]
[B01AC21, treprostinil, The risk or severity of QTc prolongation can be increased when Treprostinil is combined with Cocaine.]
[D04AB07, pramoxine, The risk or severity of methemoglobinemia can be increased when Cocaine is combined with Pramocaine.]
[C08DB01, diltiazem, The risk or severity of QTc prolongation can be increased when Diltiazem is combined with Cocaine.]
[R06AA11, dimenhydrinate, The risk or severity of QTc prolongation can be increased when Dimenhydrinate is combined with Cocaine.]
[M03BX03, pridinol, Pridinol may increase the central nervous system depressant (CNS depressant) activities of Cocaine.]
[R06AB03, dimethindene, The risk or severity of adverse effects can be increased when Cocaine is combined with Dimetindene.]
[R03CC08, procaterol, The risk or severity of Tachycardia can be increased when Cocaine is combined with Procaterol.]
[N03AG05, progabide, The risk or severity of methemoglobinemia can be increased when Progabide is combined with Cocaine.]
[J01CE03, propicillin, The risk or severity of methemoglobinemia can be increased when Propicillin is combined with Cocaine.]
[S01HA04, proparacaine, The risk or severity of methemoglobinemia can be increased when Proparacaine is combined with Cocaine.]
[R06AA02, diphenhydramine, The risk or severity of methemoglobinemia can be increased when Cocaine is combined with Diphenhydramine.]
[A07DA01, diphenoxylate, The risk or severity of adverse effects can be increased when Cocaine is combined with Diphenoxylate.]
[N05CD10, quazepam, Quazepam may increase the central nervous system depressant (CNS depressant) activities of Cocaine.]
[N06BA11, dexmethylphenidate, Dexmethylphenidate may increase the central nervous system depressant (CNS depressant) activities of Cocaine.]
[N06AA23, quinupramine, Quinupramine may increase the central nervous system depressant (CNS depressant) activities of Cocaine.]
[A03FA02, cisapride, The risk or severity of QTc prolongation can be increased when Cisapride is combined with Cocaine.]
[S01XA23, sirolimus, The risk or severity of methemoglobinemia can be increased when Sirolimus is combined with Cocaine.]
[N05AL04, remoxipride, Remoxipride may increase the central nervous system depressant (CNS depressant) activities of Cocaine.]
[R03CC14, reproterol, The risk or severity of Tachycardia can be increased when Cocaine is combined with Reproterol.]
[C01BA03, disopyramide, The risk or severity of QTc prolongation can be increased when Disopyramide is combined with Cocaine.]
[N07AA03, distigmine, Distigmine may increase the neuromuscular blocking activities of Cocaine.]
[P03AA04, disulfiram, The risk or severity of QTc prolongation can be increased when Disulfiram is combined with Cocaine.]
[S02AA12, rifamycin SV, The risk or severity of methemoglobinemia can be increased when Rifamycin is combined with Cocaine.]
[J04AB05, rifapentine, The risk or severity of methemoglobinemia can be increased when Rifapentine is combined with Cocaine.]
[D06AX11, rifaximin, The risk or severity of methemoglobinemia can be increased when Rifaximin is combined with Cocaine.]
[N07XX02, riluzole, The risk or severity of methemoglobinemia can be increased when Riluzole is combined with Cocaine.]
[N05AX08, risperidone, Risperidone may increase the central nervous system depressant (CNS depressant) activities of Cocaine.]
[R06AE09, levocetirizine, Levocetirizine may increase the central nervous system depressant (CNS depressant) activities of Cocaine.]
[N01BB09, ropivacaine, The risk or severity of methemoglobinemia can be increased when Ropivacaine is combined with Cocaine.]
[J01MB01, rosoxacin, The risk or severity of methemoglobinemia can be increased when Rosoxacin is combined with Cocaine.]
[L01EX01, sunitinib, The risk or severity of methemoglobinemia can be increased when Sunitinib is combined with Cocaine.]
[L01XG01, bortezomib, The risk or severity of methemoglobinemia can be increased when Bortezomib is combined with Cocaine.]
[C01EB18, ranolazine, The risk or severity of QTc prolongation can be increased when Ranolazine is combined with Cocaine.]
[R03AC12, salmeterol, The risk or severity of QTc prolongation can be increased when Salmeterol is combined with Cocaine.]
[C01CA07, dobutamine, The risk or severity of Tachycardia can be increased when Dobutamine is combined with Cocaine.]
[A03FA03, domperidone, The therapeutic efficacy of Domperidone can be decreased when used in combination with Cocaine.]
[C01CA04, dopamine, The risk or severity of Tachycardia can be increased when Cocaine is combined with Dopamine.]
[N06AA16, dothiepin, The metabolism of Dosulepin can be decreased when combined with Cocaine.]
[N06AA12, doxepin, Doxepin may increase the central nervous system depressant (CNS depressant) activities of Cocaine.]
[A06AB06, sennosides, USP, The therapeutic efficacy of Sennosides can be decreased when used in combination with Cocaine.]
[L01DB01, doxorubicin, The risk or severity of methemoglobinemia can be increased when Doxorubicin is combined with Cocaine.]
[J01AA02, doxycycline, The risk or severity of methemoglobinemia can be increased when Doxycycline is combined with Cocaine.]
[R06AA09, doxylamine, Doxylamine may increase the central nervous system depressant (CNS depressant) activities of Cocaine.]
[N06AB06, sertraline, Sertraline may increase the central nervous system depressant (CNS depressant) activities of Cocaine.]
[N01AB08, sevoflurane, Sevoflurane may increase the central nervous system depressant (CNS depressant) activities of Cocaine.]
[N05AD08, droperidol, The risk or severity of QTc prolongation can be increased when Droperidol is combined with Cocaine.]
[A08AA10, sibutramine, Sibutramine may increase the central nervous system depressant (CNS depressant) activities of Cocaine.]
[C10AA01, simvastatin, The metabolism of Simvastatin can be decreased when combined with Cocaine.]
[V03AG05, sodium phosphate, The therapeutic efficacy of Sodium phosphate, monobasic can be decreased when used in combination with Cocaine.]
[A12CA02, sodium sulfate, The therapeutic efficacy of Sodium sulfate can be decreased when used in combination with Cocaine.]
[N05AL02, sultopride, The risk or severity of QTc prolongation can be increased when Sultopride is combined with Cocaine.]
[N02CC01, sumatriptan, Sumatriptan may increase the central nervous system depressant (CNS depressant) activities of Cocaine.]
[V04CX07, edrophonium, Edrophonium may increase the neuromuscular blocking activities of Cocaine.]
[C07AB13, talinolol, The risk or severity of QTc prolongation can be increased when Talinolol is combined with Cocaine.]
[J01MA05, temafloxacin, The risk or severity of methemoglobinemia can be increased when Temafloxacin is combined with Cocaine.]
[J01CA17, temocillin, The risk or severity of methemoglobinemia can be increased when Temocillin is combined with Cocaine.]
[L01AX03, temozolomide, The risk or severity of methemoglobinemia can be increased when Temozolomide is combined with Cocaine.]
[G04BD05, terodiline, The risk or severity of QTc prolongation can be increased when Cocaine is combined with Terodiline.]
[C07AA16, tertatolol, The metabolism of Tertatolol can be decreased when combined with Cocaine.]
[S01GA02, tetrahydrozoline, The risk or severity of Tachycardia can be increased when Cocaine is combined with Tetryzoline.]
[M03BX07, tetrazepam, Tetrazepam may increase the central nervous system depressant (CNS depressant) activities of Cocaine.]
[M03BX05, thiocolchicoside, Thiocolchicoside may increase the central nervous system depressant (CNS depressant) activities of Cocaine.]
[N05AB05, thiopropazate, Thiopropazate may increase the central nervous system depressant (CNS depressant) activities of Cocaine.]
[G04BD01, emepronium, Emepronium may increase the central nervous system depressant (CNS depressant) activities of Cocaine.]
[N06AX14, tianeptine, Tianeptine may increase the central nervous system depressant (CNS depressant) activities of Cocaine.]
[N05BA23, tofisopam, Tofisopam may increase the central nervous system depressant (CNS depressant) activities of Cocaine.]
[N06AG03, toloxatone, Toloxatone may increase the central nervous system depressant (CNS depressant) activities of Cocaine.]
[N06BA09, atomoxetine, The metabolism of Atomoxetine can be decreased when combined with Cocaine.]
[N03AX11, topiramate, The risk or severity of hyperthermia and oligohydrosis can be increased when Cocaine is combined with Topiramate.]
[L02BA02, toremifene, The risk or severity of methemoglobinemia can be increased when Toremifene is combined with Cocaine.]
[J01AA12, tigecycline, The risk or severity of methemoglobinemia can be increased when Tigecycline is combined with Cocaine.]
[R01AA09, tramazoline, The risk or severity of Tachycardia can be increased when Cocaine is combined with Tramazoline.]
[L01AB02, treosulfan, The risk or severity of methemoglobinemia can be increased when Treosulfan is combined with Cocaine.]
[N05CD11, triazulenone, Loprazolam may increase the central nervous system depressant (CNS depressant) activities of Cocaine.]
[N05CM07, triclofos, Triclofos may increase the central nervous system depressant (CNS depressant) activities of Cocaine.]
[A03AB08, tridihexethyl, The risk or severity of adverse effects can be increased when Tridihexethyl is combined with Cocaine.]
[H02CA01, trilostane, The risk or severity of methemoglobinemia can be increased when Trilostane is combined with Cocaine.]
[R06AA10, trimethobenzamide, Trimethobenzamide may increase the central nervous system depressant (CNS depressant) activities of Cocaine.]
[L02AE04, triptorelin, The risk or severity of methemoglobinemia can be increased when Triptorelin is combined with Cocaine.]
[L01AA07, trofosfamide, The risk or severity of methemoglobinemia can be increased when Trofosfamide is combined with Cocaine.]
[N04AA12, tropatepine, The risk or severity of adverse effects can be increased when Cocaine is combined with Tropatepine.]
[R03CC11, tulobuterol, The risk or severity of Tachycardia can be increased when Cocaine is combined with Tulobuterol.]
[N01AB04, enflurane, Enflurane may increase the central nervous system depressant (CNS depressant) activities of Cocaine.]
[C02CA06, urapidil, Urapidil may increase the central nervous system depressant (CNS depressant) activities of Cocaine.]
[J01MA04, enoxacin, The risk or severity of methemoglobinemia can be increased when Enoxacin is combined with Cocaine.]
[N05AL06, veralipride, Veralipride may increase the central nervous system depressant (CNS depressant) activities of Cocaine.]
[L01CA04, vinorelbine, The risk or severity of methemoglobinemia can be increased when Vinorelbine is combined with Cocaine.]
[S01FB02, ephedrine, The risk or severity of Tachycardia can be increased when Cocaine is combined with Ephedrine.]
[S01GX10, epinastine, Epinastine may increase the central nervous system depressant (CNS depressant) activities of Cocaine.]
[N06AX16, venlafaxine, The risk or severity of serotonin syndrome can be increased when Cocaine is combined with Venlafaxine.]
[C01CX07, xamoterol, The risk or severity of Tachycardia can be increased when Cocaine is combined with Xamoterol.]
[S01GA03, xylometazoline, The risk or severity of Tachycardia can be increased when Cocaine is combined with Xylometazoline.]
[S01EA01, epinephrine, The risk or severity of Tachycardia can be increased when Epinephrine is combined with Cocaine.]
[L01DB03, epirubicin, The risk or severity of methemoglobinemia can be increased when Epirubicin is combined with Cocaine.]
[N05CF02, zolpidem, Zolpidem may increase the central nervous system depressant (CNS depressant) activities of Cocaine.]
[N03AX15, zonisamide, The risk or severity of methemoglobinemia can be increased when Zonisamide is combined with Cocaine.]
[N05CF01, zopiclone, Zopiclone may increase the central nervous system depressant (CNS depressant) activities of Cocaine.]
[N05AX11, zotepine, Zotepine may increase the central nervous system depressant (CNS depressant) activities of Cocaine.]
[L01XA02, carboplatin, The risk or severity of methemoglobinemia can be increased when Carboplatin is combined with Cocaine.]
[C02AC02, guanfacine, Guanfacine may increase the central nervous system depressant (CNS depressant) activities of Cocaine.]
[C01BG01, moricizine, Moricizine may increase the central nervous system depressant (CNS depressant) activities of Cocaine.]
[G02AB03, ergonovine, Ergometrine may increase the central nervous system depressant (CNS depressant) activities of Cocaine.]
[C04AE01, ergoloid mesylates, USP, Ergoloid mesylate may increase the central nervous system depressant (CNS depressant) activities of Cocaine.]
[N02CA02, ergotamine, Ergotamine may increase the central nervous system depressant (CNS depressant) activities of Cocaine.]
[S01AA17, erythromycin, The risk or severity of methemoglobinemia can be increased when Erythromycin is combined with Cocaine.]
[N05CD04, estazolam, The risk or severity of methemoglobinemia can be increased when Estazolam is combined with Cocaine.]
[L01XX11, estramustine, The risk or severity of methemoglobinemia can be increased when Estramustine is combined with Cocaine.]
[J04AK02, ethambutol, The risk or severity of methemoglobinemia can be increased when Ethambutol is combined with Cocaine.]
[C10AA04, fluvastatin, The metabolism of Fluvastatin can be decreased when combined with Cocaine.]
[C01CA15, gepefrine, The risk or severity of serotonin syndrome can be increased when Cocaine is combined with Gepefrine.]
[N05CM08, ethchlorvynol, Ethchlorvynol may increase the central nervous system depressant (CNS depressant) activities of Cocaine.]
[J04AD03, ethionamide, The risk or severity of methemoglobinemia can be increased when Ethionamide is combined with Cocaine.]
[C01BD05, ibutilide, The risk or severity of QTc prolongation can be increased when Ibutilide is combined with Cocaine.]
[L01AG01, ethoglucid, The risk or severity of methemoglobinemia can be increased when Etoglucid is combined with Cocaine.]
[N04AA05, profenamine, Profenamine may increase the neuromuscular blocking activities of Cocaine.]
[N03AD01, ethosuximide, The risk or severity of methemoglobinemia can be increased when Ethosuximide is combined with Cocaine.]
[N03AB01, ethotoin, The risk or severity of methemoglobinemia can be increased when Ethotoin is combined with Cocaine.]
[N01BX01, ethyl chloride, The risk or severity of methemoglobinemia can be increased when Cocaine is combined with Ethyl chloride.]
[M01AC06, meloxicam, The risk or severity of methemoglobinemia can be increased when Meloxicam is combined with Cocaine.]
[S01XA06, ethylmorphine, The risk or severity of adverse effects can be increased when Cocaine is combined with Ethylmorphine.]
[C01CA01, etilefrine, The risk or severity of Tachycardia can be increased when Cocaine is combined with Etilefrine.]
[N01BB07, etidocaine, The risk or severity of methemoglobinemia can be increased when Cocaine is combined with Etidocaine.]
[N01AX07, etomidate, Etomidate may increase the central nervous system depressant (CNS depressant) activities of Cocaine.]
[L01CB01, etoposide, The risk or severity of methemoglobinemia can be increased when Etoposide is combined with Cocaine.]
[N05AE03, sertindole, Sertindole may increase the central nervous system depressant (CNS depressant) activities of Cocaine.]
[C01BA05, ajmaline, The risk or severity of QTc prolongation can be increased when Ajmaline is combined with Cocaine.]
[L04AD02, tacrolimus, The risk or severity of QTc prolongation can be increased when Tacrolimus is combined with Cocaine.]
[A02BA04, nizatidine, Nizatidine may increase the neuromuscular blocking activities of Cocaine.]
[J01MA08, fleroxacin, The risk or severity of methemoglobinemia can be increased when Fleroxacin is combined with Cocaine.]
[R06AX11, astemizole, The metabolism of Astemizole can be decreased when combined with Cocaine.]
[R06AX12, terfenadine, The risk or severity of QTc prolongation can be increased when Terfenadine is combined with Cocaine.]
[P01AX07, trimetrexate, The risk or severity of methemoglobinemia can be increased when Trimetrexate is combined with Cocaine.]
[N06AX12, bupropion, The risk or severity of seizure can be increased when Bupropion is combined with Cocaine.]
[N06AB08, fluvoxamine, Fluvoxamine may increase the central nervous system depressant (CNS depressant) activities of Cocaine.]
[C01BC08, encainide, The risk or severity of QTc prolongation can be increased when Encainide is combined with Cocaine.]
[R01AX06, mupirocin, The risk or severity of methemoglobinemia can be increased when Mupirocin is combined with Cocaine.]
[L02AE02, leuprolide, The risk or severity of methemoglobinemia can be increased when Leuprolide is combined with Cocaine.]
[A02BA03, famotidine, The risk or severity of QTc prolongation can be increased when Famotidine is combined with Cocaine.]
[C08CA02, felodipine, The risk or severity of QTc prolongation can be increased when Felodipine is combined with Cocaine.]
[C08EA01, fendiline, The risk or severity of QTc prolongation can be increased when Fendiline is combined with Cocaine.]
[N03AX26, fenfluramine, The risk or severity of serotonin syndrome can be increased when Cocaine is combined with Fenfluramine.]
[R03CC04, fenoterol, The risk or severity of adverse effects can be increased when Cocaine is combined with Fenoterol.]
[N02AB03, fentanyl, The risk or severity of adverse effects can be increased when Cocaine is combined with Fentanyl.]
[R03CC02, albuterol, The risk or severity of QTc prolongation can be increased when Salbutamol is combined with Cocaine.]
[L01BB06, clofarabine, The risk or severity of methemoglobinemia can be increased when Clofarabine is combined with Cocaine.]
[L04AA40, cladribine, The risk or severity of methemoglobinemia can be increased when Cladribine is combined with Cocaine.]
