[S02DA03, antipyrine, The metabolism of Antipyrine can be decreased when combined with Erythromycin.]
[G02AB03, ergonovine, Erythromycin may increase the vasoconstricting activities of Ergometrine.]
[C04AE01, ergoloid mesylates, USP, Erythromycin may increase the vasoconstricting activities of Ergoloid mesylate.]
[N02CA02, ergotamine, The metabolism of Erythromycin can be decreased when combined with Ergotamine.]
[N03AG01, valproic acid, The risk or severity of QTc prolongation can be increased when Erythromycin is combined with Valproic acid.]
[S01AA13, fusidic acid, Fusidic acid may decrease the excretion rate of Erythromycin which could result in a higher serum level.]
[J01MB04, pipemidic acid, The risk or severity of QTc prolongation can be increased when Pipemidic acid is combined with Erythromycin.]
[S02BA08, fluocinolone acetonide, The metabolism of Fluocinolone acetonide can be decreased when combined with Erythromycin.]
[N05CD04, estazolam, The serum concentration of Estazolam can be increased when it is combined with Erythromycin.]
[A02BC02, pantoprazole, The metabolism of Pantoprazole can be decreased when combined with Erythromycin.]
[H05BX01, cinacalcet, The metabolism of Cinacalcet can be decreased when combined with Erythromycin.]
[G03CA03, estradiol, The metabolism of Estradiol can be decreased when combined with Erythromycin.]
[L01XX11, estramustine, The metabolism of Estramustine can be decreased when combined with Erythromycin.]
[G03CA57, estrogens, conjugated (USP), The metabolism of Conjugated estrogens can be decreased when combined with Erythromycin.]
[R03BA09, fluticasone furoate, The metabolism of Fluticasone furoate can be decreased when combined with Erythromycin.]
[R03BA05, fluticasone, The metabolism of Fluticasone can be decreased when combined with Erythromycin.]
[C10AA04, fluvastatin, The metabolism of Fluvastatin can be decreased when combined with Erythromycin.]
[L02AA03, ethinyl estradiol, Ethinylestradiol may decrease the excretion rate of Erythromycin which could result in a higher serum level.]
[C01BD05, ibutilide, The risk or severity of QTc prolongation can be increased when Erythromycin is combined with Ibutilide.]
[N03AD01, ethosuximide, The risk or severity of QTc prolongation and hypotension can be increased when Erythromycin is combined with Ethosuximide.]
[N01BX01, ethyl chloride, The risk or severity of methemoglobinemia can be increased when Erythromycin is combined with Ethyl chloride.]
[M01AC06, meloxicam, The risk or severity of methemoglobinemia can be increased when Erythromycin is combined with Meloxicam.]
[S01XA06, ethylmorphine, The metabolism of Ethylmorphine can be decreased when combined with Erythromycin.]
[N01BB07, etidocaine, The risk or severity of methemoglobinemia can be increased when Erythromycin is combined with Etidocaine.]
[L01CB01, etoposide, The serum concentration of Etoposide can be increased when it is combined with Erythromycin.]
[N05AE03, sertindole, The metabolism of Sertindole can be decreased when combined with Erythromycin.]
[C01BA05, ajmaline, The risk or severity of QTc prolongation can be increased when Ajmaline is combined with Erythromycin.]
[L04AD02, tacrolimus, The serum concentration of Tacrolimus can be increased when it is combined with Erythromycin.]
[J01MA08, fleroxacin, The risk or severity of QTc prolongation can be increased when Fleroxacin is combined with Erythromycin.]
[R06AX11, astemizole, The metabolism of Astemizole can be decreased when combined with Erythromycin.]
[R06AX12, terfenadine, The serum concentration of Terfenadine can be increased when it is combined with Erythromycin.]
[N06AB08, fluvoxamine, Erythromycin may decrease the excretion rate of Fluvoxamine which could result in a higher serum level.]
[C01BC08, encainide, The risk or severity of QTc prolongation can be increased when Encainide is combined with Erythromycin.]
[L02AE02, leuprolide, The risk or severity of QTc prolongation can be increased when Leuprolide is combined with Erythromycin.]
[C10AA03, pravastatin, The risk or severity of myopathy and rhabdomyolysis can be increased when Erythromycin is combined with Pravastatin.]
[B05AA05, dextran, The risk or severity of bleeding can be increased when Erythromycin is combined with Dextran.]
[A02BA03, famotidine, The risk or severity of QTc prolongation can be increased when Famotidine is combined with Erythromycin.]
[A16AA01, levocarnitine, The excretion of Erythromycin can be decreased when combined with Levocarnitine.]
[P02CA03, albendazole, The metabolism of Albendazole can be decreased when combined with Erythromycin.]
[C08CA02, felodipine, Erythromycin may decrease the excretion rate of Felodipine which could result in a higher serum level.]
[C08EA01, fendiline, The risk or severity of QTc prolongation and hypotension can be increased when Erythromycin is combined with Fendiline.]
[N02AB03, fentanyl, The metabolism of Fentanyl can be decreased when combined with Erythromycin.]
[R03CC02, albuterol, The risk or severity of QTc prolongation can be increased when Salbutamol is combined with Erythromycin.]
[B01AD05, plasmin, The risk or severity of bleeding can be increased when Erythromycin is combined with Fibrinolysin.]
[N07AX03, cevimeline, The metabolism of Cevimeline can be decreased when combined with Erythromycin.]
[C01BC04, flecainide, The risk or severity of QTc prolongation can be increased when Erythromycin is combined with Flecainide.]
[J01CF05, floxacillin, Erythromycin may decrease the excretion rate of Flucloxacillin which could result in a higher serum level.]
[J02AC01, fluconazole, Fluconazole may increase the QTc-prolonging and arrhythmogenic activities of Erythromycin.]
[H02AA02, fludrocortisone, The serum concentration of Fludrocortisone can be increased when it is combined with Erythromycin.]
[D07XB01, flumethasone, The metabolism of Flumethasone can be decreased when combined with Erythromycin.]
[N07CA03, flunarizine, The risk or severity of QTc prolongation and hypotension can be increased when Erythromycin is combined with Flunarizine.]
[N05CD03, flunitrazepam, The metabolism of Flunitrazepam can be decreased when combined with Erythromycin.]
[D07AC08, fluocinonide, The metabolism of Fluocinonide can be decreased when combined with Erythromycin.]
[H02AB03, fluocortolone, The metabolism of Fluocortolone can be decreased when combined with Erythromycin.]
[V03AZ01, ethanol, The metabolism of Ethanol can be decreased when combined with Erythromycin.]
[L01BC02, fluorouracil, The risk or severity of QTc prolongation can be increased when Erythromycin is combined with Fluorouracil.]
[N06AB03, fluoxetine, The risk or severity of QTc prolongation can be increased when Fluoxetine is combined with Erythromycin.]
[N05AF01, flupenthixol, The risk or severity of QTc prolongation can be increased when Erythromycin is combined with Flupentixol.]
[N05CD01, flurazepam, The metabolism of Flurazepam can be decreased when combined with Erythromycin.]
[N05AG01, fluspirilene, The risk or severity of QTc prolongation and hypotension can be increased when Erythromycin is combined with Fluspirilene.]
[L02BB01, flutamide, The metabolism of Flutamide can be decreased when combined with Erythromycin.]
[L01BC03, tegafur, The metabolism of Tegafur can be decreased when combined with Erythromycin.]
[J05AE10, darunavir, The metabolism of Erythromycin can be decreased when combined with Darunavir.]
[N05CF04, eszopiclone, The metabolism of Eszopiclone can be decreased when combined with Erythromycin.]
[N05AL05, amisulpride, The risk or severity of QTc prolongation can be increased when Erythromycin is combined with Amisulpride.]
[N06DA04, galantamine, The metabolism of Galantamine can be decreased when combined with Erythromycin.]
[C08DA02, gallopamil, The risk or severity of QTc prolongation and hypotension can be increased when Erythromycin is combined with Gallopamil.]
[C10AB04, gemfibrozil, The metabolism of Gemfibrozil can be decreased when combined with Erythromycin.]
[J01XA03, telavancin, The risk or severity of QTc prolongation can be increased when Erythromycin is combined with Telavancin.]
[L02BX02, degarelix, The risk or severity of QTc prolongation can be increased when Degarelix is combined with Erythromycin.]
[L01EA02, dasatinib, The serum concentration of Dasatinib can be increased when it is combined with Erythromycin.]
[N04BC06, cabergoline, Erythromycin may increase the vasoconstricting activities of Cabergoline.]
[C01CA21, cafedrine, The metabolism of Cafedrine can be decreased when combined with Erythromycin.]
[J05AG04, etravirine, The metabolism of Etravirine can be decreased when combined with Erythromycin.]
[N03AD03, methsuximide, The risk or severity of QTc prolongation and hypotension can be increased when Erythromycin is combined with Methsuximide.]
[G03XA02, gestrinone, The metabolism of Gestrinone can be decreased when combined with Erythromycin.]
[N01AH02, alfentanil, The serum concentration of Alfentanil can be increased when it is combined with Erythromycin.]
[L01EH01, lapatinib, The metabolism of Lapatinib can be decreased when combined with Erythromycin.]
[A10BB01, glyburide, Erythromycin may decrease the excretion rate of Glyburide which could result in a higher serum level.]
[A10BB07, glipizide, Erythromycin may decrease the excretion rate of Glipizide which could result in a higher serum level.]
[C01BD04, dofetilide, The metabolism of Dofetilide can be decreased when combined with Erythromycin.]
[C02CA04, doxazosin, The metabolism of Doxazosin can be decreased when combined with Erythromycin.]
[L01EX02, sorafenib, The metabolism of Sorafenib can be decreased when combined with Erythromycin.]
[C07AB09, esmolol, The risk or severity of QTc prolongation can be increased when Esmolol is combined with Erythromycin.]
[B01AA12, fluindione, The risk or severity of bleeding can be increased when Erythromycin is combined with Fluindione.]
[L02AE03, goserelin, The risk or severity of QTc prolongation can be increased when Goserelin is combined with Erythromycin.]
[P01BX01, halofantrine, The risk or severity of QTc prolongation can be increased when Erythromycin is combined with Halofantrine.]
[N05AD01, haloperidol, The risk or severity of QTc prolongation can be increased when Erythromycin is combined with Haloperidol.]
[L02AE05, histrelin, The risk or severity of QTc prolongation can be increased when Histrelin is combined with Erythromycin.]
[N05AH04, quetiapine, The risk or severity of QTc prolongation can be increased when Erythromycin is combined with Quetiapine.]
[L01CE02, irinotecan, The metabolism of Irinotecan can be decreased when combined with Erythromycin.]
[C09CA01, losartan, Erythromycin may decrease the excretion rate of Losartan which could result in a higher serum level.]
[S01XA14, heparin, The risk or severity of bleeding can be increased when Erythromycin is combined with Heparin.]
[G03DC01, allylestrenol, The metabolism of Allylestrenol can be decreased when combined with Erythromycin.]
[A07EC02, mesalamine, The excretion of Mesalazine can be decreased when combined with Erythromycin.]
[J05AG01, nevirapine, The metabolism of Nevirapine can be decreased when combined with Erythromycin.]
[C08CA10, nilvadipine, The risk or severity of QTc prolongation and hypotension can be increased when Erythromycin is combined with Nilvadipine.]
[M02AA26, nimesulide, The risk or severity of QTc prolongation and hypotension can be increased when Erythromycin is combined with Nimesulide.]
[R06AE06, oxatomide, The risk or severity of QTc prolongation can be increased when Erythromycin is combined with Oxatomide.]
[C03AA03, hydrochlorothiazide, The risk or severity of QTc prolongation can be increased when Hydrochlorothiazide is combined with Erythromycin.]
[R05DA03, hydrocodone, The metabolism of Hydrocodone can be decreased when combined with Erythromycin.]
[S02BA01, hydrocortisone, The serum concentration of Hydrocortisone can be increased when it is combined with Erythromycin.]
[G04BD06, propiverine, The metabolism of Propiverine can be decreased when combined with Erythromycin.]
[P01BA02, hydroxychloroquine, The metabolism of Hydroxychloroquine can be decreased when combined with Erythromycin.]
[G03DA03, 17-alpha-hydroxyprogesterone, The metabolism of Hydroxyprogesterone can be decreased when combined with Erythromycin.]
[N05BB01, hydroxyzine, The risk or severity of QTc prolongation can be increased when Erythromycin is combined with Hydroxyzine.]
[J04AB04, rifabutin, The metabolism of Rifabutin can be decreased when combined with Erythromycin.]
[R02AX02, ibuprofen, The metabolism of Ibuprofen can be decreased when combined with Erythromycin.]
[B05CB02, sodium citrate, The risk or severity of bleeding can be increased when Erythromycin is combined with Sodium citrate.]
[L01AA06, ifosfamide, The metabolism of Ifosfamide can be decreased when combined with Erythromycin.]
[N01AH03, sufentanil, The metabolism of Sufentanil can be decreased when combined with Erythromycin.]
[N06AA02, imipramine, The serum concentration of Imipramine can be increased when it is combined with Erythromycin.]
[L01CD01, paclitaxel, The metabolism of Paclitaxel can be decreased when combined with Erythromycin.]
[H01BA04, terlipressin, The risk or severity of QTc prolongation can be increased when Erythromycin is combined with Terlipressin.]
[M03BX02, tizanidine, The risk or severity of QTc prolongation can be increased when Tizanidine is combined with Erythromycin.]
[L01CE01, topotecan, The serum concentration of Topotecan can be increased when it is combined with Erythromycin.]
[C03BA11, indapamide, The metabolism of Indapamide can be decreased when combined with Erythromycin.]
[S01BC01, indomethacin, Erythromycin may decrease the excretion rate of Indomethacin which could result in a higher serum level.]
[N06AX17, milnacipran, The metabolism of Milnacipran can be decreased when combined with Erythromycin.]
[N01BB08, articaine, The risk or severity of methemoglobinemia can be increased when Erythromycin is combined with Articaine.]
[A10BH01, sitagliptin, The metabolism of Sitagliptin can be decreased when combined with Erythromycin.]
[N05BA12, alprazolam, The serum concentration of Alprazolam can be increased when it is combined with Erythromycin.]
[N05CH02, ramelteon, The metabolism of Ramelteon can be decreased when combined with Erythromycin.]
[R06AE01, buclizine, The risk or severity of QTc prolongation can be increased when Buclizine is combined with Erythromycin.]
[C10AA06, cerivastatin, Erythromycin may decrease the excretion rate of Cerivastatin which could result in a higher serum level.]
[L01XX35, anagrelide, The risk or severity of QTc prolongation can be increased when Erythromycin is combined with Anagrelide.]
[V03AB01, ipecac, The metabolism of Ipecac can be decreased when combined with Erythromycin.]
[P01AX06, atovaquone, The metabolism of Atovaquone can be decreased when combined with Erythromycin.]
[N01AB06, isoflurane, The risk or severity of QTc prolongation can be increased when Isoflurane is combined with Erythromycin.]
[J04AC01, isoniazid, The metabolism of Erythromycin can be decreased when combined with Isoniazid.]
[D10BA01, isotretinoin, The metabolism of Isotretinoin can be decreased when combined with Erythromycin.]
[P02CF01, ivermectin, The metabolism of Ivermectin can be decreased when combined with Erythromycin.]
[B01AE06, bivalirudin, The risk or severity of bleeding can be increased when Erythromycin is combined with Bivalirudin.]
[N06AX18, reboxetine, The metabolism of Reboxetine can be decreased when combined with Erythromycin.]
[L04AC07, tocilizumab, The metabolism of Erythromycin can be increased when combined with Tocilizumab.]
[N01AX03, ketamine, The metabolism of Ketamine can be decreased when combined with Erythromycin.]
[B01AC22, prasugrel, The risk or severity of bleeding can be increased when Erythromycin is combined with Prasugrel.]
[J02AB02, ketoconazole, The metabolism of Erythromycin can be decreased when combined with Ketoconazole.]
[N05AH03, olanzapine, The risk or severity of QTc prolongation can be increased when Olanzapine is combined with Erythromycin.]
[L04AA24, abatacept, The metabolism of Erythromycin can be increased when combined with Abatacept.]
[R06AX25, mizolastine, The risk or severity of QTc prolongation can be increased when Erythromycin is combined with Mizolastine.]
[N04BC09, rotigotine, The metabolism of Rotigotine can be decreased when combined with Erythromycin.]
[J01MB02, nalidixic acid, The risk or severity of QTc prolongation can be increased when Erythromycin is combined with Nalidixic acid.]
[N04BB01, amantadine, The risk or severity of QTc prolongation can be increased when Amantadine is combined with Erythromycin.]
[J05AX09, maraviroc, The metabolism of Maraviroc can be decreased when combined with Erythromycin.]
[A06AD11, lactulose, The therapeutic efficacy of Lactulose can be decreased when used in combination with Erythromycin.]
[N03AX18, lacosamide, The metabolism of Lacosamide can be decreased when combined with Erythromycin.]
[R05CB06, ambroxol, The metabolism of Ambroxol can be decreased when combined with Erythromycin.]
[G03AD01, levonorgestrel, The metabolism of Levonorgestrel can be decreased when combined with Erythromycin.]
[S02DA01, lidocaine, The risk or severity of methemoglobinemia can be increased when Erythromycin is combined with Lidocaine.]
[C08EX01, lidoflazine, The risk or severity of QTc prolongation and hypotension can be increased when Erythromycin is combined with Lidoflazine.]
[J01FF02, lincomycin, The therapeutic efficacy of Erythromycin can be decreased when used in combination with Lincomycin.]
[N06BA13, armodafinil, The metabolism of Erythromycin can be increased when combined with Armodafinil.]
[D06AX13, retapamulin, The metabolism of Retapamulin can be decreased when combined with Erythromycin.]
[N02CA07, lisuride, Erythromycin may increase the vasoconstricting activities of Lisuride.]
[A07DA03, loperamide, The excretion of Loperamide can be decreased when combined with Erythromycin.]
[N05BA06, lorazepam, The metabolism of Lorazepam can be decreased when combined with Erythromycin.]
[C10AA02, lovastatin, The serum concentration of Lovastatin can be increased when it is combined with Erythromycin.]
[G03DC03, lynestrenol, The metabolism of Lynestrenol can be decreased when combined with Erythromycin.]
[L01EG01, temsirolimus, The metabolism of Temsirolimus can be decreased when combined with Erythromycin.]
[V04CC02, magnesium sulfate, The risk or severity of QTc prolongation and hypotension can be increased when Erythromycin is combined with Magnesium sulfate.]
[L01EA03, nilotinib, The metabolism of Erythromycin can be decreased when combined with Nilotinib.]
[V04CX04, mannitol, The serum concentration of Mannitol can be increased when it is combined with Erythromycin.]
[N06AA21, maprotiline, The risk or severity of QTc prolongation can be increased when Maprotiline is combined with Erythromycin.]
[C01AA08, medigoxin, The risk or severity of adverse effects can be increased when Erythromycin is combined with Metildigoxin.]
[G03DB03, medrogestone, The metabolism of Medrogestone can be decreased when combined with Erythromycin.]
[P01BC02, mefloquine, The metabolism of Mefloquine can be decreased when combined with Erythromycin.]
[B01AB06, nadroparin, The risk or severity of bleeding can be increased when Erythromycin is combined with Nadroparin.]
[B01AB05, enoxaparin, The risk or severity of bleeding can be increased when Erythromycin is combined with Enoxaparin.]
[B01AB04, dalteparin, The risk or severity of bleeding can be increased when Erythromycin is combined with Dalteparin.]
[N02AB02, meperidine, The metabolism of Meperidine can be decreased when combined with Erythromycin.]
[N01BB03, mepivacaine, The risk or severity of methemoglobinemia can be increased when Erythromycin is combined with Mepivacaine.]
[N05AC03, mesoridazine, The risk or severity of QTc prolongation can be increased when Erythromycin is combined with Mesoridazine.]
[N05AX13, paliperidone, The risk or severity of QTc prolongation can be increased when Erythromycin is combined with Paliperidone.]
[A04AA04, dolasetron, The risk or severity of QTc prolongation can be increased when Erythromycin is combined with Dolasetron.]
[N07BC02, methadone, The risk or severity of QTc prolongation can be increased when Erythromycin is combined with Methadone.]
[N05CM01, methaqualone, The metabolism of Methaqualone can be decreased when combined with Erythromycin.]
[G02CB05, metergoline, Erythromycin may increase the vasoconstricting activities of Metergoline.]
[H03BB02, methimazole, The metabolism of Erythromycin can be decreased when combined with Methimazole.]
[N02BG08, ziconotide, The risk or severity of QTc prolongation and hypotension can be increased when Erythromycin is combined with Ziconotide.]
[L04AX03, methotrexate, The metabolism of Methotrexate can be decreased when combined with Erythromycin.]
[N05AA02, methotrimeprazine, The risk or severity of QTc prolongation can be increased when Methotrimeprazine is combined with Erythromycin.]
[V04CG05, methylene blue, The serum concentration of Methylene blue can be increased when it is combined with Erythromycin.]
[G02AB01, methylergonovine, Erythromycin may increase the vasoconstricting activities of Methylergometrine.]
[R03DA05, aminophylline, The metabolism of Aminophylline can be decreased when combined with Erythromycin.]
[H02AB04, methylprednisolone, The serum concentration of Methylprednisolone can be increased when it is combined with Erythromycin.]
[G03EK01, methyltestosterone, The metabolism of Methyltestosterone can be decreased when combined with Erythromycin.]
[N02CA04, methysergide, Erythromycin may increase the vasoconstricting activities of Methysergide.]
[A03FA01, metoclopramide, The metabolism of Metoclopramide can be decreased when combined with Erythromycin.]
[P01AB01, metronidazole, The metabolism of Metronidazole can be decreased when combined with Erythromycin.]
[C01BB02, mexiletine, The metabolism of Mexiletine can be decreased when combined with Erythromycin.]
[N06AX03, mianserin, The metabolism of Mianserin can be decreased when combined with Erythromycin.]
[S02AA13, miconazole, The metabolism of Erythromycin can be decreased when combined with Miconazole.]
[N02BB03, aminopyrine, The metabolism of Aminophenazone can be decreased when combined with Erythromycin.]
[B01AB07, parnaparin, The risk or severity of bleeding can be increased when Erythromycin is combined with Parnaparin.]
[N05CD08, midazolam, The serum concentration of Midazolam can be increased when it is combined with Erythromycin.]
[G03XB01, mifepristone, The risk or severity of QTc prolongation can be increased when Erythromycin is combined with Mifepristone.]
[B01AB10, tinzaparin, The risk or severity of bleeding can be increased when Erythromycin is combined with Tinzaparin.]
[C09CA03, valsartan, The excretion of Erythromycin can be decreased when combined with Valsartan.]
[L01XX23, mitotane, The metabolism of Erythromycin can be increased when combined with Mitotane.]
[C01BD01, amiodarone, The metabolism of Erythromycin can be decreased when combined with Amiodarone.]
[N06AA09, amitriptyline, The risk or severity of QTc prolongation can be increased when Erythromycin is combined with Amitriptyline.]
[N02AA01, morphine, The metabolism of Morphine can be decreased when combined with Erythromycin.]
[A04AA05, palonosetron, The metabolism of Palonosetron can be decreased when combined with Erythromycin.]
[L04AB05, certolizumab pegol, The metabolism of Erythromycin can be increased when combined with Certolizumab pegol.]
[B02BX05, eltrombopag, The excretion of Erythromycin can be decreased when combined with Eltrombopag.]
[L01EX03, pazopanib, The serum concentration of Pazopanib can be increased when it is combined with Erythromycin.]
[P01BA06, amodiaquine, The risk or severity of QTc prolongation can be increased when Amodiaquine is combined with Erythromycin.]
[G04CA04, silodosin, The excretion of Silodosin can be decreased when combined with Erythromycin.]
[G03XC01, raloxifene, The excretion of Raloxifene can be decreased when combined with Erythromycin.]
[N06AA17, amoxapine, The risk or severity of QTc prolongation can be increased when Amoxapine is combined with Erythromycin.]
[N03AB05, fosphenytoin, The metabolism of Fosphenytoin can be decreased when combined with Erythromycin.]
[V03AB15, naloxone, The metabolism of Erythromycin can be decreased when combined with Naloxone.]
[L04AC03, anakinra, The metabolism of Erythromycin can be increased when combined with Anakinra.]
[M02AA12, naproxen, Erythromycin may decrease the excretion rate of Naproxen which could result in a higher serum level.]
[A10BG01, troglitazone, Troglitazone may decrease the excretion rate of Erythromycin which could result in a higher serum level.]
[L01CD02, docetaxel, The metabolism of Docetaxel can be decreased when combined with Erythromycin.]
[L02BG04, letrozole, The metabolism of Letrozole can be decreased when combined with Erythromycin.]
[A10BX02, repaglinide, The serum concentration of Repaglinide can be increased when it is combined with Erythromycin.]
[C01CX08, levosimendan, The risk or severity of QTc prolongation can be increased when Erythromycin is combined with Levosimendan.]
[N05AX14, iloperidone, The metabolism of Iloperidone can be decreased when combined with Erythromycin.]
[N06AX23, desvenlafaxine, The metabolism of Desvenlafaxine can be decreased when combined with Erythromycin.]
[C09CA07, telmisartan, Erythromycin may decrease the excretion rate of Telmisartan which could result in a higher serum level.]
[H05BX02, paricalcitol, The metabolism of Paricalcitol can be decreased when combined with Erythromycin.]
[C08CA04, nicardipine, Erythromycin may decrease the excretion rate of Nicardipine which could result in a higher serum level.]
[C04AE02, nicergoline, Erythromycin may increase the vasoconstricting activities of Nicergoline.]
[C08CA05, nifedipine, Erythromycin may decrease the excretion rate of Nifedipine which could result in a higher serum level.]
[C08CA06, nimodipine, The risk or severity of QTc prolongation and hypotension can be increased when Erythromycin is combined with Nimodipine.]
[C08CA07, nisoldipine, The risk or severity of QTc prolongation and hypotension can be increased when Erythromycin is combined with Nisoldipine.]
[N05CD02, nitrazepam, The metabolism of Nitrazepam can be decreased when combined with Erythromycin.]
[C08CA08, nitrendipine, Erythromycin may decrease the excretion rate of Nitrendipine which could result in a higher serum level.]
[J01XE01, nitrofurantoin, Erythromycin may decrease the excretion rate of Nitrofurantoin which could result in a higher serum level.]
[N05CF03, zaleplon, The metabolism of Zaleplon can be decreased when combined with Erythromycin.]
[G03DC02, norethindrone, The metabolism of Norethisterone can be decreased when combined with Erythromycin.]
[S01AE02, norfloxacin, The risk or severity of QTc prolongation can be increased when Norfloxacin is combined with Erythromycin.]
[C02KX01, bosentan, Bosentan may decrease the excretion rate of Erythromycin which could result in a higher serum level.]
[N06AA10, nortriptyline, The serum concentration of Nortriptyline can be increased when it is combined with Erythromycin.]
[G02CA02, nylidrin, The risk or severity of QTc prolongation and hypotension can be increased when Erythromycin is combined with Nylidrin.]
[B01AB08, reviparin, The risk or severity of bleeding can be increased when Erythromycin is combined with Reviparin.]
[G01AA01, nystatin, The excretion of Erythromycin can be decreased when combined with Nystatin.]
[H01CB02, octreotide, The risk or severity of QTc prolongation can be increased when Octreotide is combined with Erythromycin.]
[S02AA16, ofloxacin, Erythromycin may decrease the excretion rate of Ofloxacin which could result in a higher serum level.]
[L04AC04, rilonacept, The metabolism of Erythromycin can be increased when combined with Rilonacept.]
[A02BC01, omeprazole, The metabolism of Omeprazole can be decreased when combined with Erythromycin.]
[N02AA02, opium, The metabolism of Opium can be decreased when combined with Erythromycin.]
[B01AD07, reteplase, The risk or severity of bleeding can be increased when Erythromycin is combined with Reteplase.]
[B01AD09, ancrod, The risk or severity of bleeding can be increased when Erythromycin is combined with Ancrod.]
[G04CA02, tamsulosin, The metabolism of Tamsulosin can be decreased when combined with Erythromycin.]
[C01AC01, ouabain, The serum concentration of Ouabain can be increased when it is combined with Erythromycin.]
[J01MB05, oxolinic acid, The risk or severity of QTc prolongation can be increased when Oxolinic acid is combined with Erythromycin.]
[N02AA05, oxycodone, The metabolism of Oxycodone can be decreased when combined with Erythromycin.]
[N02AA11, oxymorphone, The metabolism of Oxymorphone can be decreased when combined with Erythromycin.]
[H01BB02, oxytocin, The risk or severity of QTc prolongation can be increased when Oxytocin is combined with Erythromycin.]
[V04CH30, 4-aminohippuric acid, The excretion of Erythromycin can be decreased when combined with Aminohippuric acid.]
[N05AH05, asenapine, The risk or severity of QTc prolongation can be increased when Erythromycin is combined with Asenapine.]
[B01AB09, danaparoid, The risk or severity of bleeding can be increased when Erythromycin is combined with Danaparoid.]
[G03DB06, chlormadinone, The metabolism of Chlormadinone can be decreased when combined with Erythromycin.]
[G04BE02, papaverine, The risk or severity of QTc prolongation can be increased when Erythromycin is combined with Papaverine.]
[H02AB05, paramethasone, The serum concentration of Paramethasone can be increased when it is combined with Erythromycin.]
[J01MA03, pefloxacin, The risk or severity of QTc prolongation can be increased when Pefloxacin is combined with Erythromycin.]
[G04BD11, fesoterodine, The metabolism of Fesoterodine can be decreased when combined with Erythromycin.]
[N05AG03, penfluridol, The risk or severity of QTc prolongation and hypotension can be increased when Erythromycin is combined with Penfluridol.]
[M01CC01, penicillamine, The excretion of Penicillamine can be decreased when combined with Erythromycin.]
[S01AA14, penicillin G, The excretion of Benzylpenicillin can be decreased when combined with Erythromycin.]
[N05CA01, pentobarbital, The metabolism of Erythromycin can be increased when combined with Pentobarbital.]
[C04AD03, pentoxifylline, The metabolism of Pentoxifylline can be decreased when combined with Erythromycin.]
[N04BC02, pergolide, Erythromycin may increase the vasoconstricting activities of Pergolide.]
[C08EX02, perhexiline, The risk or severity of QTc prolongation and hypotension can be increased when Erythromycin is combined with Perhexiline.]
[N02BE03, phenacetin, The metabolism of Phenacetin can be decreased when combined with Erythromycin.]
[B01AA02, phenindione, The risk or severity of bleeding can be increased when Erythromycin is combined with Phenindione.]
[R06AB05, pheniramine, The risk or severity of QTc prolongation can be increased when Pheniramine is combined with Erythromycin.]
[N03AA02, phenobarbital, The metabolism of Erythromycin can be increased when combined with Phenobarbital.]
[B01AA04, phenprocoumon, The risk or severity of bleeding can be increased when Erythromycin is combined with Phenprocoumon.]
[A08AA01, phentermine, The metabolism of Phentermine can be decreased when combined with Erythromycin.]
[A02BC06, dexlansoprazole, The metabolism of Dexlansoprazole can be decreased when combined with Erythromycin.]
[N03AB02, phenytoin, The metabolism of Erythromycin can be increased when combined with Phenytoin.]
[L04AB06, golimumab, The metabolism of Erythromycin can be increased when combined with Golimumab.]
[S01AE05, levofloxacin, The risk or severity of QTc prolongation can be increased when Erythromycin is combined with Levofloxacin.]
[L02BB03, bicalutamide, The metabolism of Bicalutamide can be decreased when combined with Erythromycin.]
[C08CX01, mibefradil, The risk or severity of QTc prolongation and hypotension can be increased when Erythromycin is combined with Mibefradil.]
[N05AG02, pimozide, The risk or severity of QTc prolongation and ventricular arrhythmias can be increased when Erythromycin is combined with Pimozide.]
[C10AA05, atorvastatin, The serum concentration of Atorvastatin can be increased when it is combined with Erythromycin.]
[J05AE01, saquinavir, The metabolism of Erythromycin can be decreased when combined with Saquinavir.]
[N05AC04, pipothiazine, The metabolism of Pipotiazine can be decreased when combined with Erythromycin.]
[J01MA11, grepafloxacin, The risk or severity of QTc prolongation can be increased when Erythromycin is combined with Grepafloxacin.]
[J05AG02, delavirdine, The metabolism of Erythromycin can be decreased when combined with Delavirdine.]
[B01AC13, abciximab, The risk or severity of bleeding can be increased when Erythromycin is combined with Abciximab.]
[S01XA13, alteplase, The risk or severity of bleeding can be increased when Erythromycin is combined with Alteplase.]
[A10BG02, rosiglitazone, Erythromycin may decrease the excretion rate of Rosiglitazone which could result in a higher serum level.]
[A03AE01, alosetron, The metabolism of Alosetron can be decreased when combined with Erythromycin.]
[L04AC08, canakinumab, The metabolism of Erythromycin can be increased when combined with Canakinumab.]
[J05AE03, ritonavir, The serum concentration of Erythromycin can be increased when it is combined with Ritonavir.]
[A10BH03, saxagliptin, The metabolism of Saxagliptin can be decreased when combined with Erythromycin.]
[C10AA08, pitavastatin, The serum concentration of Pitavastatin can be increased when it is combined with Erythromycin.]
[C01BA08, prajmaline, The risk or severity of QTc prolongation can be increased when Prajmaline is combined with Erythromycin.]
[N05BA11, prazepam, The metabolism of Prazepam can be decreased when combined with Erythromycin.]
[P02BA01, praziquantel, The metabolism of Praziquantel can be decreased when combined with Erythromycin.]
[S03BA02, prednisolone, The serum concentration of Prednisolone can be increased when it is combined with Erythromycin.]
