[S02DA03, antipyrine, The metabolism of Antipyrine can be increased when combined with Apalutamide.]
[G03DB04, nomegestrol, The metabolism of Nomegestrol can be increased when combined with Apalutamide.]
[B01AX05, fondaparinux, Fondaparinux may decrease the excretion rate of Apalutamide which could result in a higher serum level.]
[N06AB10, escitalopram, The serum concentration of Escitalopram can be increased when it is combined with Apalutamide.]
[G04BD08, solifenacin, The metabolism of Solifenacin can be increased when combined with Apalutamide.]
[A07EC03, olsalazine, Olsalazine may decrease the excretion rate of Apalutamide which could result in a higher serum level.]
[N06AA01, desipramine, Desipramine may decrease the excretion rate of Apalutamide which could result in a higher serum level.]
[H01BA02, desmopressin, Desmopressin may decrease the excretion rate of Apalutamide which could result in a higher serum level.]
[V04CH02, indigo carmine, Indigotindisulfonic acid may decrease the excretion rate of Apalutamide which could result in a higher serum level.]
[J01DH03, ertapenem, Ertapenem may decrease the excretion rate of Apalutamide which could result in a higher serum level.]
[C09XA02, aliskiren, The metabolism of Aliskiren can be increased when combined with Apalutamide.]
[L01XA03, oxaliplatin, The serum concentration of Oxaliplatin can be increased when it is combined with Apalutamide.]
[M01AE12, oxaprozin, Oxaprozin may decrease the excretion rate of Apalutamide which could result in a higher serum level.]
[S03BA01, dexamethasone, The metabolism of Apalutamide can be increased when combined with Dexamethasone.]
[G04BD04, oxybutynin, The metabolism of Oxybutynin can be increased when combined with Apalutamide.]
[L04AB04, adalimumab, The metabolism of Apalutamide can be increased when combined with Adalimumab.]
[L01EB01, gefitinib, The metabolism of Gefitinib can be increased when combined with Apalutamide.]
[N06BA02, dextroamphetamine, Amphetamine may decrease the excretion rate of Apalutamide which could result in a higher serum level.]
[R05DA09, dextromethorphan, The metabolism of Dextromethorphan can be increased when combined with Apalutamide.]
[N03AC01, paramethadione, The metabolism of Paramethadione can be increased when combined with Apalutamide.]
[N06AB05, paroxetine, The serum concentration of Paroxetine can be increased when it is combined with Apalutamide.]
[B01AC04, clopidogrel, The serum concentration of Apalutamide can be increased when it is combined with Clopidogrel.]
[C01DA05, pentaerythritol tetranitrate, Pentaerythritol tetranitrate may decrease the excretion rate of Apalutamide which could result in a higher serum level.]
[P03AC04, permethrin, Permethrin may decrease the excretion rate of Apalutamide which could result in a higher serum level.]
[N05BA01, diazepam, The serum concentration of Diazepam can be increased when it is combined with Apalutamide.]
[R02AA19, phenol, The risk or severity of methemoglobinemia can be increased when Apalutamide is combined with Phenol.]
[S02DA04, dibucaine, The risk or severity of methemoglobinemia can be increased when Apalutamide is combined with Cinchocaine.]
[R05DA08, pholcodine, Pholcodine may decrease the excretion rate of Apalutamide which could result in a higher serum level.]
[S01EC02, dichlorphenamide, Diclofenamide may increase the excretion rate of Apalutamide which could result in a lower serum level and potentially a reduction in efficacy.]
[S01BC03, diclofenac, The metabolism of Diclofenac can be increased when combined with Apalutamide.]
[J05AD01, foscarnet, Foscarnet may decrease the excretion rate of Apalutamide which could result in a higher serum level.]
[A03AA07, dicyclomine, Dicyclomine may decrease the excretion rate of Apalutamide which could result in a higher serum level.]
[J05AF02, didanosine, Didanosine may decrease the excretion rate of Apalutamide which could result in a higher serum level.]
[C02DG01, pinacidil, The metabolism of Pinacidil can be increased when combined with Apalutamide.]
[A03AX04, pinaverium, The metabolism of Pinaverium can be increased when combined with Apalutamide.]
[A10BG03, pioglitazone, The metabolism of Pioglitazone can be increased when combined with Apalutamide.]
[L01DC04, ixabepilone, The metabolism of Ixabepilone can be increased when combined with Apalutamide.]
[L01EB02, erlotinib, The metabolism of Erlotinib can be increased when combined with Apalutamide.]
[C03CA03, piretanide, Piretanide may increase the excretion rate of Apalutamide which could result in a lower serum level and potentially a reduction in efficacy.]
[L02AA01, diethylstilbestrol, The metabolism of Diethylstilbestrol can be increased when combined with Apalutamide.]
[C08CA03, isradipine, The metabolism of Isradipine can be increased when combined with Apalutamide.]
[D07XC04, diflucortolone, The metabolism of Difluocortolone can be increased when combined with Apalutamide.]
[N02BA11, diflunisal, Diflunisal may decrease the excretion rate of Apalutamide which could result in a higher serum level.]
[C01AA04, digitoxin, The serum concentration of Digitoxin can be decreased when it is combined with Apalutamide.]
[C01AA05, digoxin, The serum concentration of Digoxin can be decreased when it is combined with Apalutamide.]
[C10AX09, ezetimibe, The excretion of Ezetimibe can be increased when combined with Apalutamide.]
[C04AE04, dihydroergocristine, The metabolism of Dihydroergocristine can be increased when combined with Apalutamide.]
[N02CA01, dihydroergotamine, The metabolism of Dihydroergotamine can be increased when combined with Apalutamide.]
[N02AA03, hydromorphone, Hydromorphone may decrease the excretion rate of Apalutamide which could result in a higher serum level.]
[L04AX04, lenalidomide, Lenalidomide may decrease the excretion rate of Apalutamide which could result in a higher serum level.]
[J05AE08, atazanavir, The metabolism of Apalutamide can be decreased when combined with Atazanavir.]
[B01AC21, treprostinil, The metabolism of Apalutamide can be decreased when combined with Treprostinil.]
[H03BC01, potassium perchlorate, Potassium perchlorate may decrease the excretion rate of Apalutamide which could result in a higher serum level.]
[V03AB04, pralidoxime, Pralidoxime may decrease the excretion rate of Apalutamide which could result in a higher serum level.]
[D04AB07, pramoxine, The risk or severity of methemoglobinemia can be increased when Apalutamide is combined with Pramocaine.]
[C08DB01, diltiazem, The metabolism of Diltiazem can be increased when combined with Apalutamide.]
[V03AB09, dimercaprol, Dimercaprol may decrease the excretion rate of Apalutamide which could result in a higher serum level.]
[M02AX03, dimethyl sulfoxide, Dimethyl sulfoxide may decrease the excretion rate of Apalutamide which could result in a higher serum level.]
[N02BB04, propyphenazone, Propyphenazone may decrease the excretion rate of Apalutamide which could result in a higher serum level.]
[M01AB14, proglumetacin, Proglumetacin may decrease the excretion rate of Apalutamide which could result in a higher serum level.]
[G02AD02, dinoprostone, The excretion of Dinoprostone can be decreased when combined with Apalutamide.]
[S01HA04, proparacaine, The risk or severity of methemoglobinemia can be increased when Apalutamide is combined with Proparacaine.]
[R06AA02, diphenhydramine, The risk or severity of methemoglobinemia can be increased when Apalutamide is combined with Diphenhydramine.]
[N05CD10, quazepam, The metabolism of Quazepam can be increased when combined with Apalutamide.]
[C09AA06, quinapril, The excretion of Quinapril can be decreased when combined with Apalutamide.]
[A03FA02, cisapride, The metabolism of Cisapride can be increased when combined with Apalutamide.]
[S01XA23, sirolimus, The serum concentration of Sirolimus can be decreased when it is combined with Apalutamide.]
[S01AX06, resorcinol, Resorcinol may decrease the excretion rate of Apalutamide which could result in a higher serum level.]
[C01BA03, disopyramide, The metabolism of Disopyramide can be increased when combined with Apalutamide.]
[P03AA04, disulfiram, The metabolism of Disulfiram can be increased when combined with Apalutamide.]
[S02AA12, rifamycin SV, The serum concentration of Rifamycin can be decreased when it is combined with Apalutamide.]
[J04AB05, rifapentine, The metabolism of Apalutamide can be increased when combined with Rifapentine.]
[N07XX02, riluzole, Apalutamide may increase the excretion rate of Riluzole which could result in a lower serum level and potentially a reduction in efficacy.]
[N05AX08, risperidone, The metabolism of Risperidone can be increased when combined with Apalutamide.]
[R06AE09, levocetirizine, The metabolism of Levocetirizine can be increased when combined with Apalutamide.]
[N01BB09, ropivacaine, The risk or severity of methemoglobinemia can be increased when Apalutamide is combined with Ropivacaine.]
[L01EX01, sunitinib, The metabolism of Sunitinib can be increased when combined with Apalutamide.]
[A04AD12, aprepitant, The metabolism of Aprepitant can be increased when combined with Apalutamide.]
[C03XA01, tolvaptan, The serum concentration of Tolvaptan can be decreased when it is combined with Apalutamide.]
[L01XG01, bortezomib, The metabolism of Bortezomib can be increased when combined with Apalutamide.]
[J05AE07, fosamprenavir, The metabolism of Fosamprenavir can be increased when combined with Apalutamide.]
[G04BE08, tadalafil, The metabolism of Tadalafil can be increased when combined with Apalutamide.]
[S01BC05, ketorolac, The metabolism of Apalutamide can be decreased when combined with Ketorolac.]
[C02KX02, ambrisentan, The serum concentration of Ambrisentan can be decreased when it is combined with Apalutamide.]
[C01EB18, ranolazine, The metabolism of Ranolazine can be increased when combined with Apalutamide.]
[N02BA06, salsalate, Salsalate may decrease the excretion rate of Apalutamide which could result in a higher serum level.]
[R03AC12, salmeterol, The serum concentration of Apalutamide can be increased when it is combined with Salmeterol.]
[H05BA01, salmon calcitonin, Salmon calcitonin may decrease the excretion rate of Apalutamide which could result in a higher serum level.]
[C01CA07, dobutamine, Dobutamine may decrease the excretion rate of Apalutamide which could result in a higher serum level.]
[A03FA03, domperidone, The metabolism of Domperidone can be increased when combined with Apalutamide.]
[C01CA04, dopamine, The serum concentration of Dopamine can be increased when it is combined with Apalutamide.]
[N06AA12, doxepin, The serum concentration of Doxepin can be increased when it is combined with Apalutamide.]
[L01DB01, doxorubicin, The serum concentration of Doxorubicin can be decreased when it is combined with Apalutamide.]
[J01AA02, doxycycline, Doxycycline may decrease the excretion rate of Apalutamide which could result in a higher serum level.]
[N06AB06, sertraline, The serum concentration of Sertraline can be increased when it is combined with Apalutamide.]
[A08AA10, sibutramine, The metabolism of Sibutramine can be increased when combined with Apalutamide.]
[C10AA01, simvastatin, The serum concentration of Simvastatin can be decreased when it is combined with Apalutamide.]
[A12CA02, sodium sulfate, Sodium sulfate may decrease the excretion rate of Apalutamide which could result in a higher serum level.]
[G03DB01, dydrogesterone, The metabolism of Dydrogesterone can be increased when combined with Apalutamide.]
[R03DA01, dyphylline, Dyphylline may decrease the excretion rate of Apalutamide which could result in a higher serum level.]
[N02CC01, sumatriptan, The excretion of Sumatriptan can be increased when combined with Apalutamide.]
[V04CX07, edrophonium, Edrophonium may decrease the excretion rate of Apalutamide which could result in a higher serum level.]
[C07AB13, talinolol, The serum concentration of Talinolol can be decreased when it is combined with Apalutamide.]
[H01AA01, corticotropin, The metabolism of Corticotropin can be increased when combined with Apalutamide.]
[J01CG02, tazobactam, The excretion of Tazobactam can be decreased when combined with Apalutamide.]
[L01AX03, temozolomide, Temozolomide may decrease the excretion rate of Apalutamide which could result in a higher serum level.]
[M01AC02, tenoxicam, Tenoxicam may decrease the excretion rate of Apalutamide which could result in a higher serum level.]
[D01BA02, terbinafine, The metabolism of Terbinafine can be increased when combined with Apalutamide.]
[G04BD05, terodiline, The metabolism of Terodiline can be increased when combined with Apalutamide.]
[N06AX14, tianeptine, The metabolism of Tianeptine can be increased when combined with Apalutamide.]
[C09AA02, enalapril, The excretion of Enalapril can be increased when combined with Apalutamide.]
[M01AG02, tolfenamic acid, The metabolism of Tolfenamic acid can be increased when combined with Apalutamide.]
[N06AG03, toloxatone, Toloxatone may decrease the excretion rate of Apalutamide which could result in a higher serum level.]
[N06BA09, atomoxetine, Atomoxetine may decrease the excretion rate of Apalutamide which could result in a higher serum level.]
[N03AX11, topiramate, Topiramate may decrease the excretion rate of Apalutamide which could result in a higher serum level.]
[L02BA02, toremifene, The serum concentration of Toremifene can be decreased when it is combined with Apalutamide.]
[C03CA04, torsemide, Torasemide may increase the excretion rate of Apalutamide which could result in a lower serum level and potentially a reduction in efficacy.]
[N05CC01, chloral hydrate, Chloral hydrate may decrease the excretion rate of Apalutamide which could result in a higher serum level.]
[L01CA04, vinorelbine, The metabolism of Vinorelbine can be increased when combined with Apalutamide.]
[S01GX10, epinastine, The metabolism of Epinastine can be increased when combined with Apalutamide.]
[N06AX16, venlafaxine, The metabolism of Venlafaxine can be increased when combined with Apalutamide.]
[C08CA12, mepirodipine, The metabolism of Barnidipine can be increased when combined with Apalutamide.]
[S01EA01, epinephrine, The serum concentration of Epinephrine can be increased when it is combined with Apalutamide.]
[N05CF02, zolpidem, The serum concentration of Zolpidem can be increased when it is combined with Apalutamide.]
[M01AB04, zomepirac, The metabolism of Zomepirac can be increased when combined with Apalutamide.]
[N03AX15, zonisamide, The serum concentration of Zonisamide can be increased when it is combined with Apalutamide.]
[N05CF01, zopiclone, The metabolism of Zopiclone can be increased when combined with Apalutamide.]
[N05AX11, zotepine, The metabolism of Zotepine can be increased when combined with Apalutamide.]
[L01XA02, carboplatin, Carboplatin may decrease the excretion rate of Apalutamide which could result in a higher serum level.]
[C02AC02, guanfacine, The metabolism of Guanfacine can be increased when combined with Apalutamide.]
[G02AB03, ergonovine, The metabolism of Ergometrine can be increased when combined with Apalutamide.]
[C04AE01, ergoloid mesylates, USP, The metabolism of Ergoloid mesylate can be increased when combined with Apalutamide.]
[N02CA02, ergotamine, The metabolism of Apalutamide can be decreased when combined with Ergotamine.]
[L03AX05, pidotimod, Pidotimod may decrease the excretion rate of Apalutamide which could result in a higher serum level.]
[S01AA17, erythromycin, The metabolism of Erythromycin can be increased when combined with Apalutamide.]
[N05CD04, estazolam, The metabolism of Estazolam can be increased when combined with Apalutamide.]
[A02BC02, pantoprazole, The serum concentration of Pantoprazole can be increased when it is combined with Apalutamide.]
[H05BX01, cinacalcet, The metabolism of Cinacalcet can be increased when combined with Apalutamide.]
[G03CA03, estradiol, The serum concentration of Estradiol can be increased when it is combined with Apalutamide.]
[L01XX11, estramustine, The metabolism of Estramustine can be increased when combined with Apalutamide.]
[G03CA57, estrogens, conjugated (USP), The metabolism of Conjugated estrogens can be increased when combined with Apalutamide.]
[J04AK02, ethambutol, Ethambutol may decrease the excretion rate of Apalutamide which could result in a higher serum level.]
[R03BA09, fluticasone furoate, The serum concentration of Apalutamide can be increased when it is combined with Fluticasone furoate.]
[R03BA05, fluticasone, The serum concentration of Apalutamide can be increased when it is combined with Fluticasone.]
[C10AA04, fluvastatin, The metabolism of Fluvastatin can be increased when combined with Apalutamide.]
[V08CA03, gadodiamide, Gadodiamide may decrease the excretion rate of Apalutamide which could result in a higher serum level.]
[L02AA03, ethinyl estradiol, The metabolism of Ethinylestradiol can be increased when combined with Apalutamide.]
[C01BD05, ibutilide, Ibutilide may decrease the excretion rate of Apalutamide which could result in a higher serum level.]
[N03AD01, ethosuximide, The metabolism of Ethosuximide can be increased when combined with Apalutamide.]
[N01BX01, ethyl chloride, The risk or severity of methemoglobinemia can be increased when Apalutamide is combined with Ethyl chloride.]
[M01AC06, meloxicam, The risk or severity of methemoglobinemia can be increased when Apalutamide is combined with Meloxicam.]
[S01XA06, ethylmorphine, The metabolism of Ethylmorphine can be increased when combined with Apalutamide.]
[N01BB07, etidocaine, The risk or severity of methemoglobinemia can be increased when Apalutamide is combined with Etidocaine.]
[N01AX07, etomidate, Etomidate may decrease the excretion rate of Apalutamide which could result in a higher serum level.]
[L01CB01, etoposide, The serum concentration of Etoposide can be decreased when it is combined with Apalutamide.]
[N05AE03, sertindole, The metabolism of Sertindole can be increased when combined with Apalutamide.]
[L04AD02, tacrolimus, The metabolism of Tacrolimus can be increased when combined with Apalutamide.]
[R06AX11, astemizole, The metabolism of Astemizole can be increased when combined with Apalutamide.]
[R06AX12, terfenadine, The metabolism of Apalutamide can be decreased when combined with Terfenadine.]
[P01AX07, trimetrexate, Trimetrexate may decrease the excretion rate of Apalutamide which could result in a higher serum level.]
[N06AX12, bupropion, Bupropion may decrease the excretion rate of Apalutamide which could result in a higher serum level.]
[N06AB08, fluvoxamine, The metabolism of Fluvoxamine can be increased when combined with Apalutamide.]
[L02AE02, leuprolide, Leuprolide may decrease the excretion rate of Apalutamide which could result in a higher serum level.]
[C10AA03, pravastatin, The serum concentration of Pravastatin can be decreased when it is combined with Apalutamide.]
[M01CB01, gold sodium thiomalate, Sodium aurothiomalate may decrease the excretion rate of Apalutamide which could result in a higher serum level.]
[A05AA01, chenodeoxycholic acid, The metabolism of Chenodeoxycholic acid can be increased when combined with Apalutamide.]
[B05AA05, dextran, Dextran may decrease the excretion rate of Apalutamide which could result in a higher serum level.]
[V03AF02, dexrazoxane, Dexrazoxane may decrease the excretion rate of Apalutamide which could result in a higher serum level.]
[A02BA03, famotidine, The excretion of Famotidine can be decreased when combined with Apalutamide.]
[A16AA01, levocarnitine, The excretion of Levocarnitine can be decreased when combined with Apalutamide.]
[P02CA03, albendazole, The serum concentration of Albendazole can be increased when it is combined with Apalutamide.]
[C08CA02, felodipine, The serum concentration of Apalutamide can be increased when it is combined with Felodipine.]
[C08EA01, fendiline, The metabolism of Fendiline can be increased when combined with Apalutamide.]
[M01AE04, fenoprofen, Fenoprofen may decrease the excretion rate of Apalutamide which could result in a higher serum level.]
[N02AB03, fentanyl, The metabolism of Fentanyl can be increased when combined with Apalutamide.]
[R03CC02, albuterol, Salbutamol may decrease the excretion rate of Apalutamide which could result in a higher serum level.]
[L01BB06, clofarabine, The serum concentration of Clofarabine can be increased when it is combined with Apalutamide.]
[L04AA40, cladribine, Apalutamide may increase the excretion rate of Cladribine which could result in a lower serum level and potentially a reduction in efficacy.]
[N07AX03, cevimeline, The metabolism of Cevimeline can be increased when combined with Apalutamide.]
[G04BD02, flavoxate, Flavoxate may decrease the excretion rate of Apalutamide which could result in a higher serum level.]
[N02BG04, floctafenine, Floctafenine may decrease the excretion rate of Apalutamide which could result in a higher serum level.]
[J02AC01, fluconazole, The metabolism of Apalutamide can be decreased when combined with Fluconazole.]
[J02AX01, flucytosine, Flucytosine may decrease the excretion rate of Apalutamide which could result in a higher serum level.]
[H02AA02, fludrocortisone, The metabolism of Fludrocortisone can be increased when combined with Apalutamide.]
[V03AB25, flumazenil, Flumazenil may decrease the excretion rate of Apalutamide which could result in a higher serum level.]
[D07XB01, flumethasone, The metabolism of Flumethasone can be increased when combined with Apalutamide.]
[N07CA03, flunarizine, The metabolism of Flunarizine can be increased when combined with Apalutamide.]
[N05CD03, flunitrazepam, The metabolism of Flunitrazepam can be increased when combined with Apalutamide.]
[D07AC08, fluocinonide, The metabolism of Fluocinonide can be increased when combined with Apalutamide.]
[H02AB03, fluocortolone, The metabolism of Fluocortolone can be increased when combined with Apalutamide.]
[V03AZ01, ethanol, The metabolism of Ethanol can be increased when combined with Apalutamide.]
[L01BC09, floxuridine, Floxuridine may decrease the excretion rate of Apalutamide which could result in a higher serum level.]
[L01BC02, fluorouracil, The metabolism of Fluorouracil can be decreased when combined with Apalutamide.]
[N06AB03, fluoxetine, The serum concentration of Fluoxetine can be increased when it is combined with Apalutamide.]
[N05CD01, flurazepam, The metabolism of Flurazepam can be increased when combined with Apalutamide.]
[S01BC04, flurbiprofen, Flurbiprofen may decrease the excretion rate of Apalutamide which could result in a higher serum level.]
[N05AG01, fluspirilene, The metabolism of Fluspirilene can be increased when combined with Apalutamide.]
[L02BB01, flutamide, The metabolism of Flutamide can be increased when combined with Apalutamide.]
[V04CX02, folic acid, Apalutamide may increase the excretion rate of Folic acid which could result in a lower serum level and potentially a reduction in efficacy.]
[S02AA17, fosfomycin, Fosfomycin may decrease the excretion rate of Apalutamide which could result in a higher serum level.]
[S01AA07, framycetin, Framycetin may decrease the excretion rate of Apalutamide which could result in a higher serum level.]
[L01BC03, tegafur, The metabolism of Tegafur can be decreased when combined with Apalutamide.]
[J05AE10, darunavir, The metabolism of Apalutamide can be decreased when combined with Darunavir.]
[C03CA01, furosemide, Furosemide may increase the excretion rate of Apalutamide which could result in a lower serum level and potentially a reduction in efficacy.]
[N05CF04, eszopiclone, The serum concentration of Eszopiclone can be decreased when it is combined with Apalutamide.]
[N06DA04, galantamine, The metabolism of Galantamine can be increased when combined with Apalutamide.]
[C08DA02, gallopamil, The metabolism of Gallopamil can be increased when combined with Apalutamide.]
[S01AD09, ganciclovir, The excretion of Ganciclovir can be decreased when combined with Apalutamide.]
[C10AB04, gemfibrozil, The serum concentration of Apalutamide can be increased when it is combined with Gemfibrozil.]
[J01XA03, telavancin, Telavancin may decrease the excretion rate of Apalutamide which could result in a higher serum level.]
[L01EA02, dasatinib, The serum concentration of Dasatinib can be decreased when it is combined with Apalutamide.]
[N04BC06, cabergoline, The serum concentration of Cabergoline can be decreased when it is combined with Apalutamide.]
[J05AG04, etravirine, The serum concentration of Etravirine can be increased when it is combined with Apalutamide.]
[N03AD03, methsuximide, The serum concentration of Methsuximide can be increased when it is combined with Apalutamide.]
[G03XA02, gestrinone, The metabolism of Gestrinone can be increased when combined with Apalutamide.]
[N01AH02, alfentanil, The metabolism of Alfentanil can be increased when combined with Apalutamide.]
[L01EH01, lapatinib, The metabolism of Lapatinib can be increased when combined with Apalutamide.]
[A10BB01, glyburide, The serum concentration of Glyburide can be increased when it is combined with Apalutamide.]
[A10BB09, gliclazide, The serum concentration of Gliclazide can be increased when it is combined with Apalutamide.]
[A10BB07, glipizide, Glipizide may decrease the excretion rate of Apalutamide which could result in a higher serum level.]
[N05CM18, dexmedetomidine, Dexmedetomidine may decrease the excretion rate of Apalutamide which could result in a higher serum level.]
[C01BD04, dofetilide, The metabolism of Dofetilide can be increased when combined with Apalutamide.]
[C02CA04, doxazosin, The serum concentration of Doxazosin can be increased when it is combined with Apalutamide.]
[L01EX02, sorafenib, The serum concentration of Apalutamide can be increased when it is combined with Sorafenib.]
[M01CB04, aurothioglucose, Aurothioglucose may decrease the excretion rate of Apalutamide which could result in a higher serum level.]
[S01LA03, pegaptanib, Pegaptanib may decrease the excretion rate of Apalutamide which could result in a higher serum level.]
[B01AA12, fluindione, The metabolism of Fluindione can be increased when combined with Apalutamide.]
[C09AA09, fosinopril, Fosinopril may decrease the excretion rate of Apalutamide which could result in a higher serum level.]
[S01EX01, guanethidine, Guanethidine may decrease the excretion rate of Apalutamide which could result in a higher serum level.]
[L02AE03, goserelin, Goserelin may decrease the excretion rate of Apalutamide which could result in a higher serum level.]
[P01BX01, halofantrine, The metabolism of Halofantrine can be increased when combined with Apalutamide.]
[N05AD01, haloperidol, The serum concentration of Haloperidol can be increased when it is combined with Apalutamide.]
[N01AB01, halothane, The metabolism of Halothane can be increased when combined with Apalutamide.]
[N05AH04, quetiapine, The metabolism of Quetiapine can be increased when combined with Apalutamide.]
[N06BX13, idebenone, Idebenone may decrease the excretion rate of Apalutamide which could result in a higher serum level.]
[L01CE02, irinotecan, The metabolism of Irinotecan can be increased when combined with Apalutamide.]
[M04AA01, allopurinol, The excretion of Allopurinol can be decreased when combined with Apalutamide.]
[C09CA01, losartan, The metabolism of Losartan can be increased when combined with Apalutamide.]
[G03DC01, allylestrenol, The metabolism of Allylestrenol can be increased when combined with Apalutamide.]
[A07EC02, mesalamine, The excretion of Mesalazine can be increased when combined with Apalutamide.]
[C01CE02, milrinone, Milrinone may decrease the excretion rate of Apalutamide which could result in a higher serum level.]
[N05CA16, hexobarbital, The serum concentration of Hexobarbital can be increased when it is combined with Apalutamide.]
[J05AG01, nevirapine, The metabolism of Nevirapine can be increased when combined with Apalutamide.]
[C08CA10, nilvadipine, The metabolism of Nilvadipine can be increased when combined with Apalutamide.]
[M02AA26, nimesulide, The metabolism of Nimesulide can be increased when combined with Apalutamide.]
[C09AA04, perindopril, Perindopril may decrease the excretion rate of Apalutamide which could result in a higher serum level.]
[C02DB02, hydralazine, Hydralazine may decrease the excretion rate of Apalutamide which could result in a higher serum level.]
[C03AA03, hydrochlorothiazide, The excretion of Hydrochlorothiazide can be decreased when combined with Apalutamide.]
[R05DA03, hydrocodone, The metabolism of Hydrocodone can be increased when combined with Apalutamide.]
[S02BA01, hydrocortisone, The metabolism of Hydrocortisone can be increased when combined with Apalutamide.]
[C03AA02, hydroflumethiazide, Hydroflumethiazide may increase the excretion rate of Apalutamide which could result in a lower serum level and potentially a reduction in efficacy.]
[B05XA17, potassium acetate, Apalutamide may decrease the excretion rate of Potassium acetate which could result in a higher serum level.]
[A12BA02, potassium citrate, Potassium citrate may increase the excretion rate of Apalutamide which could result in a lower serum level and potentially a reduction in efficacy.]
[V03AB33, hydroxocobalamin, Hydroxocobalamin may decrease the excretion rate of Apalutamide which could result in a higher serum level.]
[G04BD06, propiverine, The metabolism of Propiverine can be increased when combined with Apalutamide.]
[P01BA02, hydroxychloroquine, The metabolism of Hydroxychloroquine can be increased when combined with Apalutamide.]
[B05AA07, hetastarch, Hydroxyethyl Starch may decrease the excretion rate of Apalutamide which could result in a higher serum level.]
[G03DA03, 17-alpha-hydroxyprogesterone, The metabolism of Hydroxyprogesterone can be increased when combined with Apalutamide.]
[N05BB01, hydroxyzine, The metabolism of Hydroxyzine can be increased when combined with Apalutamide.]
[J04AB04, rifabutin, The metabolism of Rifabutin can be increased when combined with Apalutamide.]
[R02AX02, ibuprofen, The metabolism of Ibuprofen can be increased when combined with Apalutamide.]
[B05XA08, sodium acetate, Sodium acetate may decrease the excretion rate of Apalutamide which could result in a higher serum level.]
[L01DB06, idarubicin, The metabolism of Idarubicin can be increased when combined with Apalutamide.]
[L01AA06, ifosfamide, The metabolism of Ifosfamide can be increased when combined with Apalutamide.]
[N01AH03, sufentanil, The metabolism of Sufentanil can be increased when combined with Apalutamide.]
[N06AA02, imipramine, The serum concentration of Imipramine can be increased when it is combined with Apalutamide.]
[L01CD01, paclitaxel, The metabolism of Paclitaxel can be increased when combined with Apalutamide.]
[R01AD07, tixocortol, Tixocortol may decrease the excretion rate of Apalutamide which could result in a higher serum level.]
[L01CE01, topotecan, The serum concentration of Topotecan can be decreased when it is combined with Apalutamide.]
[C03BA11, indapamide, The metabolism of Indapamide can be increased when combined with Apalutamide.]
[S01BC01, indomethacin, The excretion of Indomethacin can be decreased when combined with Apalutamide.]
[A11HA07, inositol, Apalutamide may decrease the excretion rate of Inositol which could result in a higher serum level.]
[N06AX17, milnacipran, The metabolism of Milnacipran can be increased when combined with Apalutamide.]
[S01XA28, varenicline, The excretion of Varenicline can be decreased when combined with Apalutamide.]
[N01BB08, articaine, The risk or severity of methemoglobinemia can be increased when Apalutamide is combined with Articaine.]
[A10BH01, sitagliptin, The serum concentration of Sitagliptin can be decreased when it is combined with Apalutamide.]
[N05BA12, alprazolam, The metabolism of Alprazolam can be increased when combined with Apalutamide.]
[N05CH02, ramelteon, The serum concentration of Ramelteon can be increased when it is combined with Apalutamide.]
[C10AA06, cerivastatin, The metabolism of Cerivastatin can be increased when combined with Apalutamide.]
[C03BA02, quinethazone, Quinethazone may increase the excretion rate of Apalutamide which could result in a lower serum level and potentially a reduction in efficacy.]
[V03AB01, ipecac, The metabolism of Ipecac can be increased when combined with Apalutamide.]
[G04BE01, alprostadil, The excretion of Alprostadil can be decreased when combined with Apalutamide.]
[P01AX06, atovaquone, The metabolism of Atovaquone can be increased when combined with Apalutamide.]
[J04AC01, isoniazid, The metabolism of Apalutamide can be decreased when combined with Isoniazid.]
[J05AX05, inosine pranobex, Apalutamide may decrease the excretion rate of Inosine pranobex which could result in a higher serum level.]
[C01DA14, isosorbide mononitrate, Isosorbide mononitrate may decrease the excretion rate of Apalutamide which could result in a higher serum level.]
[D10BA01, isotretinoin, The metabolism of Isotretinoin can be increased when combined with Apalutamide.]
[P02CF01, ivermectin, The metabolism of Ivermectin can be increased when combined with Apalutamide.]
[N06AX18, reboxetine, The metabolism of Reboxetine can be increased when combined with Apalutamide.]
[S01AA24, kanamycin, Apalutamide may decrease the excretion rate of Kanamycin which could result in a higher serum level.]
[L04AC07, tocilizumab, The metabolism of Apalutamide can be increased when combined with Tocilizumab.]
[N01AX03, ketamine, The metabolism of Ketamine can be increased when combined with Apalutamide.]
[B01AC22, prasugrel, Prasugrel may decrease the excretion rate of Apalutamide which could result in a higher serum level.]
[J02AB02, ketoconazole, The metabolism of Apalutamide can be decreased when combined with Ketoconazole.]
[H02CA04, levoketoconazole, The metabolism of Apalutamide can be decreased when combined with Levoketoconazole.]
[M02AA10, ketoprofen, Ketoprofen may decrease the excretion rate of Apalutamide which could result in a higher serum level.]
[V03AC03, deferasirox, The metabolism of Apalutamide can be decreased when combined with Deferasirox.]
[L04AA24, abatacept, The metabolism of Apalutamide can be increased when combined with Abatacept.]
[N04BC09, rotigotine, The metabolism of Rotigotine can be increased when combined with Apalutamide.]
[M01AE11, tiaprofenic acid, Tiaprofenic acid may decrease the excretion rate of Apalutamide which could result in a higher serum level.]
[C07AG01, labetalol, The serum concentration of Labetalol can be increased when it is combined with Apalutamide.]
