[S02DA03, antipyrine, The metabolism of Antipyrine can be increased when combined with Carbamazepine.]
[G03DB04, nomegestrol, The serum concentration of Nomegestrol can be decreased when it is combined with Carbamazepine.]
[C01CA23, theodrenaline, The serum concentration of Theodrenaline can be decreased when it is combined with Carbamazepine.]
[M03AC11, cisatracurium, Carbamazepine may decrease the neuromuscular blocking activities of Cisatracurium.]
[R05DA06, normethadone, The risk or severity of adverse effects can be increased when Carbamazepine is combined with Normethadone.]
[B01AX05, fondaparinux, Fondaparinux may decrease the excretion rate of Carbamazepine which could result in a higher serum level.]
[D11AH02, pimecrolimus, The risk or severity of adverse effects can be increased when Pimecrolimus is combined with Carbamazepine.]
[N06AB10, escitalopram, The risk or severity of serotonin syndrome can be increased when Carbamazepine is combined with Escitalopram.]
[G04BD08, solifenacin, The metabolism of Solifenacin can be increased when combined with Carbamazepine.]
[A07EC03, olsalazine, Olsalazine may decrease the excretion rate of Carbamazepine which could result in a higher serum level.]
[N06AA01, desipramine, The metabolism of Carbamazepine can be decreased when combined with Desipramine.]
[H01BA02, desmopressin, The risk or severity of adverse effects can be increased when Carbamazepine is combined with Desmopressin.]
[D07XC02, desoximetasone, The risk or severity of adverse effects can be increased when Desoximetasone is combined with Carbamazepine.]
[V04CH02, indigo carmine, Indigotindisulfonic acid may decrease the excretion rate of Carbamazepine which could result in a higher serum level.]
[J01DH03, ertapenem, Ertapenem may decrease the excretion rate of Carbamazepine which could result in a higher serum level.]
[C09XA02, aliskiren, The metabolism of Aliskiren can be increased when combined with Carbamazepine.]
[L01XA03, oxaliplatin, The risk or severity of adverse effects can be increased when Oxaliplatin is combined with Carbamazepine.]
[M01AE12, oxaprozin, Oxaprozin may decrease the excretion rate of Carbamazepine which could result in a higher serum level.]
[N03AF02, oxcarbazepine, The serum concentration of the active metabolites of Oxcarbazepine can be reduced when Oxcarbazepine is used in combination with Carbamazepine resulting in a loss in efficacy.]
[S03BA01, dexamethasone, The metabolism of Carbamazepine can be increased when combined with Dexamethasone.]
[N06BX07, oxiracetam, The risk or severity of adverse effects can be increased when Carbamazepine is combined with Oxiracetam.]
[N04AA08, dexetimide, Carbamazepine may increase the central nervous system depressant (CNS depressant) activities of Dexetimide.]
[G04BD04, oxybutynin, The metabolism of Carbamazepine can be decreased when combined with Oxybutynin.]
[A08AA04, dexfenfluramine, The metabolism of Dexfenfluramine can be increased when combined with Carbamazepine.]
[A03AA01, oxyphencyclimine, Carbamazepine may increase the central nervous system depressant (CNS depressant) activities of Oxyphencyclimine.]
[L04AB04, adalimumab, The metabolism of Carbamazepine can be increased when combined with Adalimumab.]
[L01EB01, gefitinib, The metabolism of Gefitinib can be increased when combined with Carbamazepine.]
[N06BA02, dextroamphetamine, Amphetamine may decrease the excretion rate of Carbamazepine which could result in a higher serum level.]
[R05DA09, dextromethorphan, The metabolism of Carbamazepine can be decreased when combined with Dextromethorphan.]
[N03AC01, paramethadione, Carbamazepine may increase the Change in thyroid function activities of Paramethadione.]
[N02AC01, dextromoramide, The risk or severity of adverse effects can be increased when Carbamazepine is combined with Dextromoramide.]
[N06AB05, paroxetine, The metabolism of Paroxetine can be increased when combined with Carbamazepine.]
[B01AC04, clopidogrel, The metabolism of Carbamazepine can be decreased when combined with Clopidogrel.]
[N07BC06, heroin, The therapeutic efficacy of Carbamazepine can be decreased when used in combination with Diamorphine.]
[C01DA05, pentaerythritol tetranitrate, Pentaerythritol tetranitrate may decrease the excretion rate of Carbamazepine which could result in a higher serum level.]
[C04AD01, pentifylline, The serum concentration of Pentifylline can be decreased when it is combined with Carbamazepine.]
[P03AC04, permethrin, Permethrin may decrease the excretion rate of Carbamazepine which could result in a higher serum level.]
[N05BA01, diazepam, Carbamazepine may increase the Change in thyroid function activities of Diazepam.]
[N03AX07, phenacemide, Carbamazepine may increase the Change in thyroid function activities of Phenacemide.]
[R02AA19, phenol, The risk or severity of methemoglobinemia can be increased when Carbamazepine is combined with Phenol.]
[N03AD02, phensuximide, Carbamazepine may increase the Change in thyroid function activities of Phensuximide.]
[N06AA08, dibenzepin, The risk or severity of adverse effects can be increased when Carbamazepine is combined with Dibenzepin.]
[S02DA04, dibucaine, The risk or severity of methemoglobinemia can be increased when Carbamazepine is combined with Cinchocaine.]
[R05DA08, pholcodine, Pholcodine may decrease the excretion rate of Carbamazepine which could result in a higher serum level.]
[S01EC02, dichlorphenamide, Diclofenamide may increase the excretion rate of Carbamazepine which could result in a lower serum level and potentially a reduction in efficacy.]
[S01BC03, diclofenac, The metabolism of Diclofenac can be increased when combined with Carbamazepine.]
[J01CF01, dicloxacillin, The metabolism of Carbamazepine can be increased when combined with Dicloxacillin.]
[J05AD01, foscarnet, Foscarnet may decrease the excretion rate of Carbamazepine which could result in a higher serum level.]
[A03AA07, dicyclomine, Dicyclomine may decrease the excretion rate of Carbamazepine which could result in a higher serum level.]
[J05AF02, didanosine, Didanosine may decrease the excretion rate of Carbamazepine which could result in a higher serum level.]
[C02DG01, pinacidil, The metabolism of Pinacidil can be increased when combined with Carbamazepine.]
[A03AX04, pinaverium, The metabolism of Pinaverium can be increased when combined with Carbamazepine.]
[A10BG03, pioglitazone, The metabolism of Pioglitazone can be increased when combined with Carbamazepine.]
[N05AD05, pipamperone, The risk or severity of adverse effects can be increased when Carbamazepine is combined with Pipamperone.]
[A03AB14, pipenzolate, Carbamazepine may increase the central nervous system depressant (CNS depressant) activities of Pipenzolate.]
[L01DC04, ixabepilone, The metabolism of Carbamazepine can be decreased when combined with Ixabepilone.]
[L01EB02, erlotinib, The metabolism of Erlotinib can be increased when combined with Carbamazepine.]
[L01DB08, pirarubicin, The risk or severity of adverse effects can be increased when Carbamazepine is combined with Pirarubicin.]
[C03CA03, piretanide, Piretanide may increase the excretion rate of Carbamazepine which could result in a lower serum level and potentially a reduction in efficacy.]
[A08AA03, diethylpropion, The risk or severity of adverse effects can be increased when Carbamazepine is combined with Diethylpropion.]
[L02AA01, diethylstilbestrol, The serum concentration of Diethylstilbestrol can be decreased when it is combined with Carbamazepine.]
[C08CA03, isradipine, The metabolism of Carbamazepine can be decreased when combined with Isradipine.]
[D07XC04, diflucortolone, The metabolism of Carbamazepine can be increased when combined with Difluocortolone.]
[A03AB11, poldine, Carbamazepine may increase the central nervous system depressant (CNS depressant) activities of Poldine.]
[N02BA11, diflunisal, Diflunisal may decrease the excretion rate of Carbamazepine which could result in a higher serum level.]
[C01AA04, digitoxin, The metabolism of Digitoxin can be increased when combined with Carbamazepine.]
[C01AA05, digoxin, Digoxin may decrease the excretion rate of Carbamazepine which could result in a higher serum level.]
[C02DB01, dihydralazine, The metabolism of Dihydralazine can be increased when combined with Carbamazepine.]
[C10AX09, ezetimibe, The metabolism of Ezetimibe can be increased when combined with Carbamazepine.]
[L01XX24, pegaspargase, The risk or severity of adverse effects can be increased when Pegaspargase is combined with Carbamazepine.]
[C04AE04, dihydroergocristine, The metabolism of Dihydroergocristine can be increased when combined with Carbamazepine.]
[N02CA01, dihydroergotamine, The metabolism of Dihydroergotamine can be increased when combined with Carbamazepine.]
[N02AA03, hydromorphone, Hydromorphone may decrease the excretion rate of Carbamazepine which could result in a higher serum level.]
[L04AX04, lenalidomide, The risk or severity of adverse effects can be increased when Lenalidomide is combined with Carbamazepine.]
[J05AE08, atazanavir, The serum concentration of Atazanavir can be decreased when it is combined with Carbamazepine.]
[H03BC01, potassium perchlorate, Potassium perchlorate may decrease the excretion rate of Carbamazepine which could result in a higher serum level.]
[V03AB04, pralidoxime, Pralidoxime may decrease the excretion rate of Carbamazepine which could result in a higher serum level.]
[D04AB07, pramoxine, The risk or severity of methemoglobinemia can be increased when Carbamazepine is combined with Pramocaine.]
[C08DB01, diltiazem, The metabolism of Carbamazepine can be decreased when combined with Diltiazem.]
[R06AA11, dimenhydrinate, The risk or severity of adverse effects can be increased when Carbamazepine is combined with Dimenhydrinate.]
[V03AB09, dimercaprol, Dimercaprol may decrease the excretion rate of Carbamazepine which could result in a higher serum level.]
[M03BX03, pridinol, The risk or severity of adverse effects can be increased when Carbamazepine is combined with Pridinol.]
[R06AB03, dimethindene, Carbamazepine may increase the central nervous system depressant (CNS depressant) activities of Dimetindene.]
[M02AX03, dimethyl sulfoxide, The metabolism of Carbamazepine can be decreased when combined with Dimethyl sulfoxide.]
[N03AG05, progabide, Carbamazepine may increase the Change in thyroid function activities of Progabide.]
[N06BC02, propentofylline, The serum concentration of Propentofylline can be decreased when it is combined with Carbamazepine.]
[N02BB04, propyphenazone, Propyphenazone may decrease the excretion rate of Carbamazepine which could result in a higher serum level.]
[M01AB14, proglumetacin, Proglumetacin may decrease the excretion rate of Carbamazepine which could result in a higher serum level.]
[C05CA03, diosmin, The metabolism of Carbamazepine can be decreased when combined with Diosmin.]
[S01HA04, proparacaine, The risk or severity of methemoglobinemia can be increased when Carbamazepine is combined with Proparacaine.]
[R03DA03, proxyphylline, The serum concentration of Proxyphylline can be decreased when it is combined with Carbamazepine.]
[R06AA02, diphenhydramine, The risk or severity of methemoglobinemia can be increased when Carbamazepine is combined with Diphenhydramine.]
[A07DA01, diphenoxylate, The risk or severity of adverse effects can be increased when Carbamazepine is combined with Diphenoxylate.]
[N05CD10, quazepam, The metabolism of Quazepam can be increased when combined with Carbamazepine.]
[B01AC07, dipyridamole, The risk or severity of bleeding can be increased when Dipyridamole is combined with Carbamazepine.]
[N06BA11, dexmethylphenidate, The risk or severity of adverse effects can be increased when Carbamazepine is combined with Dexmethylphenidate.]
[B01AD10, drotrecogin alfa, The risk or severity of bleeding can be increased when Drotrecogin alfa is combined with Carbamazepine.]
[N06AA23, quinupramine, The risk or severity of adverse effects can be increased when Carbamazepine is combined with Quinupramine.]
[A03FA02, cisapride, The metabolism of Carbamazepine can be decreased when combined with Cisapride.]
[S01XA23, sirolimus, The metabolism of Carbamazepine can be decreased when combined with Sirolimus.]
[N05AL04, remoxipride, The risk or severity of adverse effects can be increased when Remoxipride is combined with Carbamazepine.]
[S01AX06, resorcinol, Resorcinol may decrease the excretion rate of Carbamazepine which could result in a higher serum level.]
[C01BA03, disopyramide, The metabolism of Disopyramide can be increased when combined with Carbamazepine.]
[L04AA23, natalizumab, The risk or severity of adverse effects can be increased when Carbamazepine is combined with Natalizumab.]
[P03AA04, disulfiram, The metabolism of Carbamazepine can be decreased when combined with Disulfiram.]
[S02AA12, rifamycin SV, The metabolism of Carbamazepine can be increased when combined with Rifamycin.]
[J04AB05, rifapentine, The metabolism of Carbamazepine can be increased when combined with Rifapentine.]
[N07XX02, riluzole, Carbamazepine may increase the Change in thyroid function activities of Riluzole.]
[N05AX08, risperidone, The serum concentration of Risperidone can be decreased when it is combined with Carbamazepine.]
[R06AE09, levocetirizine, The metabolism of Levocetirizine can be increased when combined with Carbamazepine.]
[L04AA21, efalizumab, The risk or severity of adverse effects can be increased when Efalizumab is combined with Carbamazepine.]
[N01BB09, ropivacaine, The risk or severity of methemoglobinemia can be increased when Carbamazepine is combined with Ropivacaine.]
[L01EX01, sunitinib, The metabolism of Sunitinib can be increased when combined with Carbamazepine.]
[A04AD12, aprepitant, The metabolism of Carbamazepine can be decreased when combined with Aprepitant.]
[C03XA01, tolvaptan, The metabolism of Tolvaptan can be increased when combined with Carbamazepine.]
[L01XG01, bortezomib, The metabolism of Bortezomib can be increased when combined with Carbamazepine.]
[J05AE07, fosamprenavir, The serum concentration of Fosamprenavir can be decreased when it is combined with Carbamazepine.]
[G04BE08, tadalafil, The metabolism of Carbamazepine can be decreased when combined with Tadalafil.]
[S01BC05, ketorolac, Ketorolac may decrease the excretion rate of Carbamazepine which could result in a higher serum level.]
[C02KX02, ambrisentan, The metabolism of Carbamazepine can be decreased when combined with Ambrisentan.]
[C01EB18, ranolazine, The metabolism of Ranolazine can be increased when combined with Carbamazepine.]
[N02BA06, salsalate, Salsalate may decrease the excretion rate of Carbamazepine which could result in a higher serum level.]
[R03AC12, salmeterol, The metabolism of Carbamazepine can be decreased when combined with Salmeterol.]
[H05BA01, salmon calcitonin, Salmon calcitonin may decrease the excretion rate of Carbamazepine which could result in a higher serum level.]
[C01CA07, dobutamine, Dobutamine may decrease the excretion rate of Carbamazepine which could result in a higher serum level.]
[A03FA03, domperidone, The metabolism of Carbamazepine can be decreased when combined with Domperidone.]
[C01CA04, dopamine, Dopamine may decrease the excretion rate of Carbamazepine which could result in a higher serum level.]
[N06AA16, dothiepin, Carbamazepine may increase the central nervous system depressant (CNS depressant) activities of Dosulepin.]
[N06AA12, doxepin, The metabolism of Doxepin can be increased when combined with Carbamazepine.]
[L01DB01, doxorubicin, The metabolism of Doxorubicin can be increased when combined with Carbamazepine.]
[J01AA02, doxycycline, Doxycycline may decrease the excretion rate of Carbamazepine which could result in a higher serum level.]
[R06AA09, doxylamine, Doxylamine may increase the central nervous system depressant (CNS depressant) activities of Carbamazepine.]
[N06AB06, sertraline, The metabolism of Sertraline can be increased when combined with Carbamazepine.]
[N01AB08, sevoflurane, The risk or severity of adverse effects can be increased when Carbamazepine is combined with Sevoflurane.]
[N05AD08, droperidol, Droperidol may increase the central nervous system depressant (CNS depressant) activities of Carbamazepine.]
[A08AA10, sibutramine, The metabolism of Sibutramine can be increased when combined with Carbamazepine.]
[C10AA01, simvastatin, The metabolism of Carbamazepine can be decreased when combined with Simvastatin.]
[V03AG05, sodium phosphate, The therapeutic efficacy of Carbamazepine can be decreased when used in combination with Sodium phosphate, monobasic.]
[A12CA02, sodium sulfate, Sodium sulfate may decrease the excretion rate of Carbamazepine which could result in a higher serum level.]
[G03DB01, dydrogesterone, The metabolism of Dydrogesterone can be increased when combined with Carbamazepine.]
[R03DA01, dyphylline, The serum concentration of Dyphylline can be decreased when it is combined with Carbamazepine.]
[N05AL02, sultopride, The risk or severity of adverse effects can be increased when Carbamazepine is combined with Sultopride.]
[N02CC01, sumatriptan, Sumatriptan may decrease the excretion rate of Carbamazepine which could result in a higher serum level.]
[V04CX07, edrophonium, Edrophonium may decrease the excretion rate of Carbamazepine which could result in a higher serum level.]
[H01AA01, corticotropin, The metabolism of Carbamazepine can be increased when combined with Corticotropin.]
[J01MA05, temafloxacin, The metabolism of Temafloxacin can be increased when combined with Carbamazepine.]
[L01AX03, temozolomide, The risk or severity of adverse effects can be increased when Carbamazepine is combined with Temozolomide.]
[M01AC02, tenoxicam, Tenoxicam may decrease the excretion rate of Carbamazepine which could result in a higher serum level.]
[D01BA02, terbinafine, The metabolism of Carbamazepine can be increased when combined with Terbinafine.]
[G04BD05, terodiline, The metabolism of Terodiline can be increased when combined with Carbamazepine.]
[A08AB01, orlistat, Orlistat can cause a decrease in the absorption of Carbamazepine resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[M03BX07, tetrazepam, The risk or severity of adverse effects can be increased when Carbamazepine is combined with Tetrazepam.]
[M03BX05, thiocolchicoside, The risk or severity of adverse effects can be increased when Carbamazepine is combined with Thiocolchicoside.]
[N05AB05, thiopropazate, The risk or severity of adverse effects can be increased when Carbamazepine is combined with Thiopropazate.]
[G04BD01, emepronium, Carbamazepine may increase the central nervous system depressant (CNS depressant) activities of Emepronium.]
[N06AX14, tianeptine, The metabolism of Tianeptine can be increased when combined with Carbamazepine.]
[N05BA23, tofisopam, The risk or severity of adverse effects can be increased when Carbamazepine is combined with Tofisopam.]
[M01AG02, tolfenamic acid, The metabolism of Tolfenamic acid can be increased when combined with Carbamazepine.]
[N06AG03, toloxatone, The risk or severity of adverse effects can be increased when Carbamazepine is combined with Toloxatone.]
[N06BA09, atomoxetine, Atomoxetine may decrease the excretion rate of Carbamazepine which could result in a higher serum level.]
[N03AX11, topiramate, The therapeutic efficacy of Topiramate can be decreased when used in combination with Carbamazepine.]
[L02BA02, toremifene, The metabolism of Toremifene can be increased when combined with Carbamazepine.]
[C03CA04, torsemide, Torasemide may increase the excretion rate of Carbamazepine which could result in a lower serum level and potentially a reduction in efficacy.]
[N05CD11, triazulenone, The risk or severity of adverse effects can be increased when Carbamazepine is combined with Loprazolam.]
[N05CC01, chloral hydrate, Chloral hydrate may decrease the excretion rate of Carbamazepine which could result in a higher serum level.]
[N05CM07, triclofos, The risk or severity of adverse effects can be increased when Carbamazepine is combined with Triclofos.]
[A03AB08, tridihexethyl, Carbamazepine may increase the central nervous system depressant (CNS depressant) activities of Tridihexethyl.]
[B01AC18, triflusal, The risk or severity of bleeding can be increased when Triflusal is combined with Carbamazepine.]
[H02CA01, trilostane, The risk or severity of adverse effects can be increased when Carbamazepine is combined with Trilostane.]
[R06AA10, trimethobenzamide, The risk or severity of adverse effects can be increased when Carbamazepine is combined with Trimethobenzamide.]
[L01AA07, trofosfamide, The risk or severity of adverse effects can be increased when Carbamazepine is combined with Trofosfamide.]
[N04AA12, tropatepine, Carbamazepine may increase the central nervous system depressant (CNS depressant) activities of Tropatepine.]
[C05CA04, troxerutin, The risk or severity of bleeding can be increased when Troxerutin is combined with Carbamazepine.]
[N01AB04, enflurane, The risk or severity of adverse effects can be increased when Enflurane is combined with Carbamazepine.]
[C02CA06, urapidil, The risk or severity of adverse effects can be increased when Carbamazepine is combined with Urapidil.]
[N05AL06, veralipride, The risk or severity of adverse effects can be increased when Carbamazepine is combined with Veralipride.]
[L01CA04, vinorelbine, The metabolism of Vinorelbine can be increased when combined with Carbamazepine.]
[S01GX10, epinastine, The metabolism of Epinastine can be increased when combined with Carbamazepine.]
[N06AX16, venlafaxine, The risk or severity of serotonin syndrome can be increased when Carbamazepine is combined with Venlafaxine.]
[C08CA12, mepirodipine, The metabolism of Carbamazepine can be decreased when combined with Barnidipine.]
[S01EA01, epinephrine, The metabolism of Carbamazepine can be decreased when combined with Epinephrine.]
[B05XA12, zinc chloride, Zinc chloride can cause a decrease in the absorption of Carbamazepine resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[L01DB03, epirubicin, The risk or severity of adverse effects can be increased when Epirubicin is combined with Carbamazepine.]
[B05XA18, zinc sulfate, Zinc sulfate can cause a decrease in the absorption of Carbamazepine resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[N05CF02, zolpidem, Zolpidem may increase the central nervous system depressant (CNS depressant) activities of Carbamazepine.]
[M01AB04, zomepirac, The metabolism of Zomepirac can be increased when combined with Carbamazepine.]
[N03AX15, zonisamide, Carbamazepine may increase the Change in thyroid function activities of Zonisamide.]
[N05CF01, zopiclone, The metabolism of Zopiclone can be increased when combined with Carbamazepine.]
[N05AX11, zotepine, The metabolism of Zotepine can be increased when combined with Carbamazepine.]
[B01AD03, anistreplase, The risk or severity of bleeding can be increased when Anistreplase is combined with Carbamazepine.]
[L01XA02, carboplatin, The risk or severity of adverse effects can be increased when Carbamazepine is combined with Carboplatin.]
[C02AC02, guanfacine, The metabolism of Guanfacine can be increased when combined with Carbamazepine.]
[B01AC11, iloprost, The risk or severity of bleeding can be increased when Iloprost is combined with Carbamazepine.]
[C01BG01, moricizine, The risk or severity of adverse effects can be increased when Carbamazepine is combined with Moricizine.]
[G02AB03, ergonovine, The metabolism of Ergometrine can be increased when combined with Carbamazepine.]
[C04AE01, ergoloid mesylates, USP, The metabolism of Ergoloid mesylate can be increased when combined with Carbamazepine.]
[N02CA02, ergotamine, The metabolism of Carbamazepine can be decreased when combined with Ergotamine.]
[L03AX05, pidotimod, Pidotimod may decrease the excretion rate of Carbamazepine which could result in a higher serum level.]
[S01AA17, erythromycin, The metabolism of Carbamazepine can be decreased when combined with Erythromycin.]
[N05CD04, estazolam, Carbamazepine may increase the Change in thyroid function activities of Estazolam.]
[A02BC02, pantoprazole, The metabolism of Pantoprazole can be increased when combined with Carbamazepine.]
[H05BX01, cinacalcet, The metabolism of Cinacalcet can be increased when combined with Carbamazepine.]
[G03CA03, estradiol, The serum concentration of Estradiol can be decreased when it is combined with Carbamazepine.]
[L01XX11, estramustine, The risk or severity of adverse effects can be increased when Carbamazepine is combined with Estramustine.]
[G03CC06, estriol, The therapeutic efficacy of Carbamazepine can be decreased when used in combination with Estriol.]
[G03CA57, estrogens, conjugated (USP), The metabolism of Conjugated estrogens can be increased when combined with Carbamazepine.]
[J04AK02, ethambutol, The metabolism of Carbamazepine can be decreased when combined with Ethambutol.]
[R03BA09, fluticasone furoate, The metabolism of Carbamazepine can be increased when combined with Fluticasone furoate.]
[R03BA05, fluticasone, The metabolism of Carbamazepine can be increased when combined with Fluticasone.]
[C10AA04, fluvastatin, The metabolism of Carbamazepine can be decreased when combined with Fluvastatin.]
[V08CA03, gadodiamide, Gadodiamide may decrease the excretion rate of Carbamazepine which could result in a higher serum level.]
[C01CA15, gepefrine, The risk or severity of serotonin syndrome can be increased when Carbamazepine is combined with Gepefrine.]
[N05CM08, ethchlorvynol, The risk or severity of adverse effects can be increased when Ethchlorvynol is combined with Carbamazepine.]
[L02AA03, ethinyl estradiol, The serum concentration of Ethinylestradiol can be decreased when it is combined with Carbamazepine.]
[C01BD05, ibutilide, Ibutilide may decrease the excretion rate of Carbamazepine which could result in a higher serum level.]
[N04AA05, profenamine, Carbamazepine may increase the central nervous system depressant (CNS depressant) activities of Profenamine.]
[N03AD01, ethosuximide, Carbamazepine may increase the Change in thyroid function activities of Ethosuximide.]
[N03AB01, ethotoin, Carbamazepine may increase the Change in thyroid function activities of Ethotoin.]
[N01BX01, ethyl chloride, The risk or severity of methemoglobinemia can be increased when Carbamazepine is combined with Ethyl chloride.]
[M01AC06, meloxicam, The risk or severity of methemoglobinemia can be increased when Carbamazepine is combined with Meloxicam.]
[S01XA06, ethylmorphine, The metabolism of Ethylmorphine can be increased when combined with Carbamazepine.]
[N01BB07, etidocaine, The risk or severity of methemoglobinemia can be increased when Carbamazepine is combined with Etidocaine.]
[N01AX07, etomidate, Etomidate may decrease the excretion rate of Carbamazepine which could result in a higher serum level.]
[L01CB01, etoposide, The metabolism of Etoposide can be increased when combined with Carbamazepine.]
[N05AE03, sertindole, The metabolism of Sertindole can be increased when combined with Carbamazepine.]
[L04AD02, tacrolimus, Tacrolimus may increase the immunosuppressive activities of Carbamazepine.]
[R06AX11, astemizole, The metabolism of Astemizole can be increased when combined with Carbamazepine.]
[R06AX12, terfenadine, The metabolism of Carbamazepine can be decreased when combined with Terfenadine.]
[P01AX07, trimetrexate, Trimetrexate may decrease the excretion rate of Carbamazepine which could result in a higher serum level.]
[N06AX12, bupropion, Bupropion may decrease the excretion rate of Carbamazepine which could result in a higher serum level.]
[N06AB08, fluvoxamine, The metabolism of Carbamazepine can be decreased when combined with Fluvoxamine.]
[C01BB03, tocainide, The metabolism of Tocainide can be increased when combined with Carbamazepine.]
[L02AE02, leuprolide, Leuprolide may decrease the excretion rate of Carbamazepine which could result in a higher serum level.]
[L04AA02, muromonab-CD3, The risk or severity of adverse effects can be increased when Muromonab is combined with Carbamazepine.]
[M01CB01, gold sodium thiomalate, Sodium aurothiomalate may decrease the excretion rate of Carbamazepine which could result in a higher serum level.]
[A05AA01, chenodeoxycholic acid, The metabolism of Chenodeoxycholic acid can be increased when combined with Carbamazepine.]
[B05AA05, dextran, Dextran may decrease the excretion rate of Carbamazepine which could result in a higher serum level.]
[V03AF02, dexrazoxane, The risk or severity of adverse effects can be increased when Dexrazoxane is combined with Carbamazepine.]
[A16AA01, levocarnitine, Levocarnitine may decrease the excretion rate of Carbamazepine which could result in a higher serum level.]
[P02CA03, albendazole, The metabolism of Albendazole can be increased when combined with Carbamazepine.]
[C08CA02, felodipine, The metabolism of Carbamazepine can be decreased when combined with Felodipine.]
[C08EA01, fendiline, The metabolism of Fendiline can be increased when combined with Carbamazepine.]
[N03AX26, fenfluramine, The serum concentration of Fenfluramine can be decreased when it is combined with Carbamazepine.]
[M01AE04, fenoprofen, Fenoprofen may decrease the excretion rate of Carbamazepine which could result in a higher serum level.]
[N02AB03, fentanyl, The metabolism of Fentanyl can be increased when combined with Carbamazepine.]
[R03CC02, albuterol, Salbutamol may decrease the excretion rate of Carbamazepine which could result in a higher serum level.]
[B01AD05, plasmin, The risk or severity of bleeding can be increased when Fibrinolysin is combined with Carbamazepine.]
[L01BB06, clofarabine, The risk or severity of adverse effects can be increased when Carbamazepine is combined with Clofarabine.]
[L04AA40, cladribine, The risk or severity of adverse effects can be increased when Cladribine is combined with Carbamazepine.]
[N07AX03, cevimeline, The metabolism of Cevimeline can be increased when combined with Carbamazepine.]
[G04BD02, flavoxate, Flavoxate may decrease the excretion rate of Carbamazepine which could result in a higher serum level.]
[C01BC04, flecainide, The metabolism of Flecainide can be increased when combined with Carbamazepine.]
[N02BG04, floctafenine, Floctafenine may decrease the excretion rate of Carbamazepine which could result in a higher serum level.]
[J01CF05, floxacillin, The metabolism of Carbamazepine can be increased when combined with Flucloxacillin.]
[J02AC01, fluconazole, The metabolism of Carbamazepine can be decreased when combined with Fluconazole.]
[J02AX01, flucytosine, The risk or severity of adverse effects can be increased when Carbamazepine is combined with Flucytosine.]
[H02AA02, fludrocortisone, The risk or severity of adverse effects can be increased when Carbamazepine is combined with Fludrocortisone.]
[V03AB25, flumazenil, Flumazenil may decrease the excretion rate of Carbamazepine which could result in a higher serum level.]
[D07XB01, flumethasone, The metabolism of Flumethasone can be increased when combined with Carbamazepine.]
[N07CA03, flunarizine, The serum concentration of Flunarizine can be decreased when it is combined with Carbamazepine.]
[N05CD03, flunitrazepam, The metabolism of Flunitrazepam can be increased when combined with Carbamazepine.]
[D07AC08, fluocinonide, The metabolism of Carbamazepine can be increased when combined with Fluocinonide.]
[N06AA14, melitracen, The risk or severity of adverse effects can be increased when Carbamazepine is combined with Melitracen.]
[H02AB03, fluocortolone, The metabolism of Carbamazepine can be increased when combined with Fluocortolone.]
[V03AZ01, ethanol, Carbamazepine may increase the central nervous system depressant (CNS depressant) activities of Ethanol.]
[L01BC09, floxuridine, The risk or severity of adverse effects can be increased when Floxuridine is combined with Carbamazepine.]
[S01CB05, fluorometholone, The risk or severity of adverse effects can be increased when Fluorometholone is combined with Carbamazepine.]
[L01BC02, fluorouracil, The risk or severity of adverse effects can be increased when Fluorouracil is combined with Carbamazepine.]
[N06AB03, fluoxetine, The serum concentration of Carbamazepine can be increased when it is combined with Fluoxetine.]
[N05AF01, flupenthixol, The risk or severity of myelosuppression can be increased when Flupentixol is combined with Carbamazepine.]
[N05AB02, fluphenazine, The risk or severity of adverse effects can be increased when Carbamazepine is combined with Fluphenazine.]
[N05CD01, flurazepam, The metabolism of Flurazepam can be increased when combined with Carbamazepine.]
[S01BC04, flurbiprofen, Flurbiprofen may decrease the excretion rate of Carbamazepine which could result in a higher serum level.]
[N05AG01, fluspirilene, The metabolism of Fluspirilene can be increased when combined with Carbamazepine.]
[L02BB01, flutamide, The metabolism of Carbamazepine can be decreased when combined with Flutamide.]
[V04CX02, folic acid, The serum concentration of Folic acid can be decreased when it is combined with Carbamazepine.]
[S02AA17, fosfomycin, Fosfomycin may decrease the excretion rate of Carbamazepine which could result in a higher serum level.]
[S01AA07, framycetin, Framycetin may decrease the excretion rate of Carbamazepine which could result in a higher serum level.]
[L01BC03, tegafur, The metabolism of Tegafur can be decreased when combined with Carbamazepine.]
[M03AA01, alcuronium, The risk or severity of adverse effects can be increased when Carbamazepine is combined with Alcuronium.]
[G01AX06, furazolidone, The risk or severity of adverse effects can be increased when Carbamazepine is combined with Furazolidone.]
[J05AE10, darunavir, The serum concentration of Carbamazepine can be increased when it is combined with Darunavir.]
[C03CA01, furosemide, Furosemide may decrease the excretion rate of Carbamazepine which could result in a higher serum level.]
[N05CF04, eszopiclone, The risk or severity of CNS depression can be increased when Carbamazepine is combined with Eszopiclone.]
[D10AX01, aluminum chloride, Aluminum chloride can cause a decrease in the absorption of Carbamazepine resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[N05AL05, amisulpride, The risk or severity of adverse effects can be increased when Carbamazepine is combined with Amisulpride.]
