[P02BB01, trichlorfon, Metrifonate may increase the bradycardic activities of Oxprenolol.]
[C01EB18, ranolazine, The serum concentration of Oxprenolol can be increased when it is combined with Ranolazine.]
[N02BA06, salsalate, Salsalate may decrease the antihypertensive activities of Oxprenolol.]
[R03AC12, salmeterol, Oxprenolol may decrease the bronchodilatory activities of Salmeterol.]
[C01CA07, dobutamine, Oxprenolol may decrease the bronchodilatory activities of Dobutamine.]
[A03FA03, domperidone, The metabolism of Domperidone can be decreased when combined with Oxprenolol.]
[C01CA04, dopamine, The serum concentration of Dopamine can be increased when it is combined with Oxprenolol.]
[N06AA16, dothiepin, The metabolism of Oxprenolol can be decreased when combined with Dosulepin.]
[R07AB01, doxapram, Doxapram may decrease the antihypertensive activities of Oxprenolol.]
[N06AA12, doxepin, Oxprenolol may increase the orthostatic hypotensive activities of Doxepin.]
[L01DB01, doxorubicin, The metabolism of Oxprenolol can be decreased when combined with Doxorubicin.]
[R06AA09, doxylamine, Doxylamine may increase the central nervous system depressant (CNS depressant) activities of Oxprenolol.]
[N06AB06, sertraline, The risk or severity of adverse effects can be increased when Oxprenolol is combined with Sertraline.]
[N01AB08, sevoflurane, The risk or severity of adverse effects can be increased when Sevoflurane is combined with Oxprenolol.]
[N05AD08, droperidol, Droperidol may increase the central nervous system depressant (CNS depressant) activities of Oxprenolol.]
[A08AA10, sibutramine, The risk or severity of adverse effects can be increased when Oxprenolol is combined with Sibutramine.]
[C10AA01, simvastatin, The metabolism of Simvastatin can be decreased when combined with Oxprenolol.]
[V03AG05, sodium phosphate, Sodium phosphate, monobasic may increase the hyperkalemic activities of Oxprenolol.]
[C09AA11, spirapril, Spirapril may increase the hypotensive activities of Oxprenolol.]
[R03DA01, dyphylline, The risk or severity of adverse effects can be increased when Oxprenolol is combined with Dyphylline.]
[N05AL02, sultopride, The risk or severity of adverse effects can be increased when Oxprenolol is combined with Sultopride.]
[N02CC01, sumatriptan, The risk or severity of adverse effects can be increased when Sumatriptan is combined with Oxprenolol.]
[V04CX07, edrophonium, Edrophonium may increase the bradycardic activities of Oxprenolol.]
[C07AB13, talinolol, Oxprenolol may increase the arrhythmogenic activities of Talinolol.]
[M01AC02, tenoxicam, Tenoxicam may decrease the antihypertensive activities of Oxprenolol.]
[G04CA03, terazosin, Oxprenolol may increase the orthostatic hypotensive activities of Terazosin.]
[D01BA02, terbinafine, The metabolism of Oxprenolol can be decreased when combined with Terbinafine.]
[G04BD05, terodiline, Oxprenolol may increase the arrhythmogenic activities of Terodiline.]
[C07AA16, tertatolol, Oxprenolol may increase the arrhythmogenic activities of Tertatolol.]
[S01GA02, tetrahydrozoline, The therapeutic efficacy of Tetryzoline can be decreased when used in combination with Oxprenolol.]
[M03BX07, tetrazepam, The risk or severity of adverse effects can be increased when Oxprenolol is combined with Tetrazepam.]
[M03BX05, thiocolchicoside, The risk or severity of adverse effects can be increased when Oxprenolol is combined with Thiocolchicoside.]
[N05AB05, thiopropazate, The risk or severity of adverse effects can be increased when Oxprenolol is combined with Thiopropazate.]
[G04BD01, emepronium, Oxprenolol may increase the central nervous system depressant (CNS depressant) activities of Emepronium.]
[N06AX14, tianeptine, The risk or severity of adverse effects can be increased when Oxprenolol is combined with Tianeptine.]
[C09AA02, enalapril, Enalapril may increase the hypotensive activities of Oxprenolol.]
[N05BA23, tofisopam, The risk or severity of adverse effects can be increased when Oxprenolol is combined with Tofisopam.]
[M01AG02, tolfenamic acid, Tolfenamic acid may decrease the antihypertensive activities of Oxprenolol.]
[N06AG03, toloxatone, Toloxatone may increase the hypotensive activities of Oxprenolol.]
[N06BA09, atomoxetine, The metabolism of Atomoxetine can be decreased when combined with Oxprenolol.]
[N03AX11, topiramate, The risk or severity of adverse effects can be increased when Topiramate is combined with Oxprenolol.]
[C03CA04, torsemide, Torasemide may increase the hypotensive activities of Oxprenolol.]
[R01AA09, tramazoline, Tramazoline may decrease the antihypertensive activities of Oxprenolol.]
[C09AA10, trandolapril, Trandolapril may increase the hypotensive activities of Oxprenolol.]
[N05CD11, triazulenone, The risk or severity of adverse effects can be increased when Oxprenolol is combined with Loprazolam.]
[N05CC01, chloral hydrate, The risk or severity of adverse effects can be increased when Chloral hydrate is combined with Oxprenolol.]
[N05CM07, triclofos, The risk or severity of adverse effects can be increased when Oxprenolol is combined with Triclofos.]
[A03AB08, tridihexethyl, Oxprenolol may increase the central nervous system depressant (CNS depressant) activities of Tridihexethyl.]
[R06AA10, trimethobenzamide, The risk or severity of adverse effects can be increased when Trimethobenzamide is combined with Oxprenolol.]
[N04AA12, tropatepine, Oxprenolol may increase the central nervous system depressant (CNS depressant) activities of Tropatepine.]
[R03CC11, tulobuterol, The therapeutic efficacy of Tulobuterol can be decreased when used in combination with Oxprenolol.]
[N01AB04, enflurane, The risk or severity of adverse effects can be increased when Enflurane is combined with Oxprenolol.]
[C02CA06, urapidil, Oxprenolol may increase the orthostatic hypotensive activities of Urapidil.]
[N05AL06, veralipride, The risk or severity of adverse effects can be increased when Oxprenolol is combined with Veralipride.]
[L01CA04, vinorelbine, The metabolism of Oxprenolol can be decreased when combined with Vinorelbine.]
[S01FB02, ephedrine, The therapeutic efficacy of Ephedrine can be decreased when used in combination with Oxprenolol.]
[S01GX10, epinastine, The risk or severity of adverse effects can be increased when Epinastine is combined with Oxprenolol.]
[N06AX16, venlafaxine, The metabolism of Oxprenolol can be decreased when combined with Venlafaxine.]
[C01CX07, xamoterol, The therapeutic efficacy of Xamoterol can be decreased when used in combination with Oxprenolol.]
[S01GA03, xylometazoline, Oxprenolol may increase the arrhythmogenic activities of Xylometazoline.]
[C08CA12, mepirodipine, Oxprenolol may increase the antihypertensive activities of Barnidipine.]
[S01EA01, epinephrine, Oxprenolol may decrease the bronchodilatory activities of Epinephrine.]
[C09AA15, zofenopril, Oxprenolol may increase the hypotensive activities of Zofenopril.]
[N05CF02, zolpidem, Oxprenolol may increase the central nervous system depressant (CNS depressant) activities of Zolpidem.]
[M01AB04, zomepirac, Zomepirac may decrease the antihypertensive activities of Oxprenolol.]
[N03AX15, zonisamide, Zonisamide may increase the arrhythmogenic activities of Oxprenolol.]
[A10AB06, insulin glulisine, human, The therapeutic efficacy of Insulin glulisine can be increased when used in combination with Oxprenolol.]
[N05CF01, zopiclone, The risk or severity of adverse effects can be increased when Oxprenolol is combined with Zopiclone.]
[N05AX11, zotepine, The risk or severity of adverse effects can be increased when Oxprenolol is combined with Zotepine.]
[C02AC02, guanfacine, The therapeutic efficacy of Guanfacine can be decreased when used in combination with Oxprenolol.]
[B01AC11, iloprost, Iloprost may increase the hypotensive activities of Oxprenolol.]
[C01BG01, moricizine, Moricizine may increase the arrhythmogenic activities of Oxprenolol.]
[G02AB03, ergonovine, The therapeutic efficacy of Ergometrine can be decreased when used in combination with Oxprenolol.]
[C04AE01, ergoloid mesylates, USP, Oxprenolol may increase the vasoconstricting activities of Ergoloid mesylate.]
[N02CA02, ergotamine, Oxprenolol may increase the vasoconstricting activities of Ergotamine.]
[N03AG01, valproic acid, The risk or severity of adverse effects can be increased when Valproic acid is combined with Oxprenolol.]
[N05CD04, estazolam, The risk or severity of adverse effects can be increased when Estazolam is combined with Oxprenolol.]
[H05BX01, cinacalcet, The metabolism of Oxprenolol can be decreased when combined with Cinacalcet.]
[J04AK02, ethambutol, The metabolism of Oxprenolol can be decreased when combined with Ethambutol.]
[C10AA04, fluvastatin, The metabolism of Fluvastatin can be decreased when combined with Oxprenolol.]
[C01CA15, gepefrine, The therapeutic efficacy of Oxprenolol can be decreased when used in combination with Gepefrine.]
[N05CM08, ethchlorvynol, The risk or severity of adverse effects can be increased when Ethchlorvynol is combined with Oxprenolol.]
[V03AF05, amifostine, Oxprenolol may increase the hypotensive activities of Amifostine.]
[C01BD05, ibutilide, Ibutilide may increase the arrhythmogenic activities of Oxprenolol.]
[N04AA05, profenamine, Profenamine may increase the bradycardic activities of Oxprenolol.]
[N03AD01, ethosuximide, Ethosuximide may increase the arrhythmogenic activities of Oxprenolol.]
[N03AB01, ethotoin, The risk or severity of adverse effects can be increased when Ethotoin is combined with Oxprenolol.]
[M01AC06, meloxicam, Meloxicam may decrease the antihypertensive activities of Oxprenolol.]
[S01XA06, ethylmorphine, The risk or severity of adverse effects can be increased when Ethylmorphine is combined with Oxprenolol.]
[C01CA01, etilefrine, The therapeutic efficacy of Etilefrine can be decreased when used in combination with Oxprenolol.]
[N01AX07, etomidate, The therapeutic efficacy of Etomidate can be decreased when used in combination with Oxprenolol.]
[N05AE03, sertindole, The risk or severity of adverse effects can be increased when Oxprenolol is combined with Sertindole.]
[C01BA05, ajmaline, Ajmaline may increase the arrhythmogenic activities of Oxprenolol.]
[L04AD02, tacrolimus, The risk or severity of hyperkalemia can be increased when Tacrolimus is combined with Oxprenolol.]
[A02BA04, nizatidine, Nizatidine may increase the bradycardic activities of Oxprenolol.]
[R06AX11, astemizole, The metabolism of Astemizole can be decreased when combined with Oxprenolol.]
[R06AX12, terfenadine, The metabolism of Oxprenolol can be decreased when combined with Terfenadine.]
[N06AX12, bupropion, The metabolism of Oxprenolol can be decreased when combined with Bupropion.]
[N06AB08, fluvoxamine, The metabolism of Oxprenolol can be decreased when combined with Fluvoxamine.]
[C01BB03, tocainide, Tocainide may increase the arrhythmogenic activities of Oxprenolol.]
[C01BC08, encainide, Encainide may increase the arrhythmogenic activities of Oxprenolol.]
[C08CA02, felodipine, Felodipine may increase the arrhythmogenic activities of Oxprenolol.]
[C08EA01, fendiline, Oxprenolol may increase the arrhythmogenic activities of Fendiline.]
[N03AX26, fenfluramine, The risk or severity of adverse effects can be increased when Fenfluramine is combined with Oxprenolol.]
[M01AE04, fenoprofen, Fenoprofen may decrease the antihypertensive activities of Oxprenolol.]
[R03CC04, fenoterol, Oxprenolol may decrease the bronchodilatory activities of Fenoterol.]
[N02AB03, fentanyl, The risk or severity of adverse effects can be increased when Fentanyl is combined with Oxprenolol.]
[R03CC02, albuterol, Oxprenolol may decrease the bronchodilatory activities of Salbutamol.]
[L01BB06, clofarabine, The serum concentration of Clofarabine can be increased when it is combined with Oxprenolol.]
[N07AX03, cevimeline, The risk or severity of adverse effects can be increased when Oxprenolol is combined with Cevimeline.]
[G04BD02, flavoxate, Oxprenolol may increase the central nervous system depressant (CNS depressant) activities of Flavoxate.]
[C01BC04, flecainide, Flecainide may increase the arrhythmogenic activities of Oxprenolol.]
[N02BG04, floctafenine, The risk or severity of adverse effects can be increased when Oxprenolol is combined with Floctafenine.]
[J02AC01, fluconazole, The risk or severity of hyperkalemia can be increased when Fluconazole is combined with Oxprenolol.]
[N07CA03, flunarizine, Oxprenolol may increase the arrhythmogenic activities of Flunarizine.]
[N05CD03, flunitrazepam, The risk or severity of adverse effects can be increased when Flunitrazepam is combined with Oxprenolol.]
[N06AA14, melitracen, The risk or severity of adverse effects can be increased when Oxprenolol is combined with Melitracen.]
[V03AZ01, ethanol, Oxprenolol may increase the central nervous system depressant (CNS depressant) activities of Ethanol.]
[N06AB03, fluoxetine, The serum concentration of Oxprenolol can be increased when it is combined with Fluoxetine.]
[N05AF01, flupenthixol, Oxprenolol may increase the orthostatic hypotensive activities of Flupentixol.]
[N05AB02, fluphenazine, The serum concentration of Oxprenolol can be increased when it is combined with Fluphenazine.]
[N05CD01, flurazepam, The risk or severity of adverse effects can be increased when Flurazepam is combined with Oxprenolol.]
[S01BC04, flurbiprofen, Flurbiprofen may decrease the antihypertensive activities of Oxprenolol.]
[N05AG01, fluspirilene, Oxprenolol may increase the arrhythmogenic activities of Fluspirilene.]
[N06BX17, adrafinil, The therapeutic efficacy of Adrafinil can be decreased when used in combination with Oxprenolol.]
[M03AA01, alcuronium, The risk or severity of adverse effects can be increased when Oxprenolol is combined with Alcuronium.]
[G01AX06, furazolidone, Furazolidone may increase the hypotensive activities of Oxprenolol.]
[J05AE10, darunavir, The metabolism of Oxprenolol can be decreased when combined with Darunavir.]
[C03CA01, furosemide, Furosemide may increase the hypotensive activities of Oxprenolol.]
[N05CF04, eszopiclone, The risk or severity of CNS depression can be increased when Oxprenolol is combined with Eszopiclone.]
[N05AL05, amisulpride, The risk or severity of adverse effects can be increased when Oxprenolol is combined with Amisulpride.]
[N06DA04, galantamine, Galantamine may increase the bradycardic activities of Oxprenolol.]
[M03AC02, gallamine, The risk or severity of adverse effects can be increased when Oxprenolol is combined with Gallamine.]
[C08DA02, gallopamil, Oxprenolol may increase the arrhythmogenic activities of Gallopamil.]
[N03AA04, barbexaclone, Barbexaclone may increase the hypotensive activities of Oxprenolol.]
[N06AX08, bifemelane, The risk or severity of adverse effects can be increased when Oxprenolol is combined with Bifemelane.]
[N04BC06, cabergoline, Oxprenolol may increase the vasoconstricting activities of Cabergoline.]
[C01CA21, cafedrine, The risk or severity of adverse effects can be increased when Oxprenolol is combined with Cafedrine.]
[A10BJ02, liraglutide, The therapeutic efficacy of Liraglutide can be increased when used in combination with Oxprenolol.]
[A12AA13, calcium citrate, The therapeutic efficacy of Oxprenolol can be decreased when used in combination with Calcium citrate.]
[A12AA10, calcium gluceptate, The therapeutic efficacy of Oxprenolol can be decreased when used in combination with Calcium glucoheptonate.]
[A12AA05, calcium lactate, The therapeutic efficacy of Oxprenolol can be decreased when used in combination with Calcium lactate.]
[A12AA30, calcium levulinate, The therapeutic efficacy of Oxprenolol can be decreased when used in combination with Calcium levulinate.]
[N03AD03, methsuximide, Oxprenolol may increase the arrhythmogenic activities of Methsuximide.]
[N01AH02, alfentanil, The risk or severity of adverse effects can be increased when Alfentanil is combined with Oxprenolol.]
[A10BB01, glyburide, The therapeutic efficacy of Glyburide can be increased when used in combination with Oxprenolol.]
[A10BB09, gliclazide, The therapeutic efficacy of Gliclazide can be increased when used in combination with Oxprenolol.]
[A10BB07, glipizide, The therapeutic efficacy of Glipizide can be increased when used in combination with Oxprenolol.]
[H04AA01, glucagon, The therapeutic efficacy of Oxprenolol can be decreased when used in combination with Glucagon.]
[N05CM18, dexmedetomidine, The therapeutic efficacy of Dexmedetomidine can be decreased when used in combination with Oxprenolol.]
[N05CE01, glutethimide, The risk or severity of adverse effects can be increased when Glutethimide is combined with Oxprenolol.]
[C05AE01, nitroglycerin, Nitroglycerin may increase the hypotensive activities of Oxprenolol.]
[C01BD04, dofetilide, Dofetilide may increase the arrhythmogenic activities of Oxprenolol.]
[C02CA04, doxazosin, Oxprenolol may increase the orthostatic hypotensive activities of Doxazosin.]
[H01AB01, thyrotropin alfa, The therapeutic efficacy of Thyrotropin alfa can be decreased when used in combination with Oxprenolol.]
[C07AB09, esmolol, Esmolol may increase the arrhythmogenic activities of Oxprenolol.]
[C09AA09, fosinopril, Fosinopril may increase the hypotensive activities of Oxprenolol.]
[S01EX01, guanethidine, Guanethidine may increase the hypotensive activities of Oxprenolol.]
[P01BX01, halofantrine, The metabolism of Oxprenolol can be decreased when combined with Halofantrine.]
[N05AD01, haloperidol, The risk or severity of QTc prolongation can be increased when Oxprenolol is combined with Haloperidol.]
[N01AB01, halothane, The risk or severity of adverse effects can be increased when Halothane is combined with Oxprenolol.]
[N05AH04, quetiapine, Quetiapine may increase the hypotensive activities of Oxprenolol.]
[A10AD05, insulin aspart, human, The therapeutic efficacy of Insulin aspart can be increased when used in combination with Oxprenolol.]
[N02CX03, iprazochrome, The risk or severity of adverse effects can be increased when Oxprenolol is combined with Iprazochrome.]
[N05CA21, allobarbital, The risk or severity of adverse effects can be increased when Oxprenolol is combined with Allobarbital.]
[C09CA01, losartan, Losartan may increase the arrhythmogenic activities of Oxprenolol.]
[S01XA14, heparin, The risk or severity of hyperkalemia can be increased when Heparin is combined with Oxprenolol.]
[A07EC02, mesalamine, Mesalazine may decrease the antihypertensive activities of Oxprenolol.]
[N05CA16, hexobarbital, Hexobarbital may increase the hypotensive activities of Oxprenolol.]
[R03CC05, hexoprenaline, Oxprenolol may decrease the bronchodilatory activities of Hexoprenaline.]
[J05AG01, nevirapine, The metabolism of Nevirapine can be decreased when combined with Oxprenolol.]
[C08CA10, nilvadipine, Oxprenolol may increase the arrhythmogenic activities of Nilvadipine.]
[M02AA26, nimesulide, Nimesulide may decrease the antihypertensive activities of Oxprenolol.]
[C09AA04, perindopril, Perindopril may increase the hypotensive activities of Oxprenolol.]
[C02DB02, hydralazine, Hydralazine may increase the hypotensive activities of Oxprenolol.]
[C03AA03, hydrochlorothiazide, The therapeutic efficacy of Oxprenolol can be increased when used in combination with Hydrochlorothiazide.]
[R05DA03, hydrocodone, Oxprenolol may increase the central nervous system depressant (CNS depressant) activities of Hydrocodone.]
[C03AA02, hydroflumethiazide, The therapeutic efficacy of Oxprenolol can be increased when used in combination with Hydroflumethiazide.]
[B05XA17, potassium acetate, Potassium acetate may increase the hyperkalemic activities of Oxprenolol.]
[S01XA07, aluminum potassium sulfate, Potassium alum may increase the hyperkalemic activities of Oxprenolol.]
[A12BA02, potassium citrate, Potassium citrate may increase the hyperkalemic activities of Oxprenolol.]
[G04BD06, propiverine, Oxprenolol may increase the orthostatic hypotensive activities of Propiverine.]
[P01BA02, hydroxychloroquine, The risk or severity of QTc prolongation can be decreased when Hydroxychloroquine is combined with Oxprenolol.]
[N05AX07, prothipendyl, The risk or severity of adverse effects can be increased when Oxprenolol is combined with Prothipendyl.]
[N05BB01, hydroxyzine, The risk or severity of QTc prolongation can be increased when Oxprenolol is combined with Hydroxyzine.]
[C02AC06, rilmenidine, The therapeutic efficacy of Rilmenidine can be decreased when used in combination with Oxprenolol.]
[R02AX02, ibuprofen, Ibuprofen may decrease the antihypertensive activities of Oxprenolol.]
[L01DB06, idarubicin, The metabolism of Idarubicin can be decreased when combined with Oxprenolol.]
[N01AH03, sufentanil, The risk or severity of adverse effects can be increased when Sufentanil is combined with Oxprenolol.]
[N06AA02, imipramine, The metabolism of Oxprenolol can be decreased when combined with Imipramine.]
[L01CD01, paclitaxel, The risk or severity of adverse effects can be increased when Paclitaxel is combined with Oxprenolol.]
[M03BX02, tizanidine, The therapeutic efficacy of Tizanidine can be decreased when used in combination with Oxprenolol.]
[C03BA11, indapamide, The therapeutic efficacy of Indapamide can be increased when used in combination with Oxprenolol.]
[S01BC01, indomethacin, Indomethacin may decrease the antihypertensive activities of Oxprenolol.]
[C02CA02, indoramin, Oxprenolol may increase the orthostatic hypotensive activities of Indoramin.]
[N06AX17, milnacipran, The risk or severity of adverse effects can be increased when Oxprenolol is combined with Milnacipran.]
[A03AA30, piperidolate, Oxprenolol may increase the central nervous system depressant (CNS depressant) activities of Piperidolate.]
[S01XA28, varenicline, The excretion of Varenicline can be decreased when combined with Oxprenolol.]
[N01BB08, articaine, The risk or severity of adverse effects can be increased when Oxprenolol is combined with Articaine.]
[A10BH01, sitagliptin, The therapeutic efficacy of Sitagliptin can be increased when used in combination with Oxprenolol.]
[N05BA12, alprazolam, The risk or severity of adverse effects can be increased when Alprazolam is combined with Oxprenolol.]
[N05CH02, ramelteon, The risk or severity of adverse effects can be increased when Ramelteon is combined with Oxprenolol.]
[R06AE01, buclizine, Oxprenolol may increase the central nervous system depressant (CNS depressant) activities of Buclizine.]
[A10BH02, vildagliptin, The therapeutic efficacy of Vildagliptin can be increased when used in combination with Oxprenolol.]
[C10AA06, cerivastatin, The metabolism of Oxprenolol can be decreased when combined with Cerivastatin.]
[C07AA01, alprenolol, Alprenolol may increase the arrhythmogenic activities of Oxprenolol.]
[V03AB01, ipecac, The metabolism of Ipecac can be decreased when combined with Oxprenolol.]
[N06AA13, iprindole, The risk or severity of adverse effects can be increased when Oxprenolol is combined with Iprindole.]
[N06AF05, iproniazid, Iproniazid may increase the hypotensive activities of Oxprenolol.]
[N05AA07, chlorproethazine, The serum concentration of Oxprenolol can be increased when it is combined with Chlorproethazine.]
[N06AF01, isocarboxazid, Isocarboxazid may increase the hypotensive activities of Oxprenolol.]
[S01EC03, dorzolamide, Dorzolamide may increase the hypotensive activities of Oxprenolol.]
[R03CC06, isoetharine, Oxprenolol may decrease the bronchodilatory activities of Isoetharine.]
[C09AA16, imidapril, Oxprenolol may increase the hypotensive activities of Imidapril.]
[N01AB06, isoflurane, The risk or severity of adverse effects can be increased when Isoflurane is combined with Oxprenolol.]
[S01EB07, isoflurophate, Isoflurophate may increase the bradycardic activities of Oxprenolol.]
[N04BX02, entacapone, The risk or severity of adverse effects can be increased when Entacapone is combined with Oxprenolol.]
[R03CB01, isoproterenol, Oxprenolol may decrease the bronchodilatory activities of Isoprenaline.]
[A10BJ01, exenatide, The therapeutic efficacy of Exenatide can be increased when used in combination with Oxprenolol.]
[C01DA14, isosorbide mononitrate, Oxprenolol may increase the vasodilatory activities of Isosorbide mononitrate.]
[C05AE02, isosorbide dinitrate, The risk or severity of adverse effects can be increased when Isosorbide dinitrate is combined with Oxprenolol.]
[C04AA01, isoxsuprine, The therapeutic efficacy of Isoxsuprine can be decreased when used in combination with Oxprenolol.]
[N06AX18, reboxetine, The risk or severity of adverse effects can be increased when Reboxetine is combined with Oxprenolol.]
[L04AC07, tocilizumab, The metabolism of Oxprenolol can be increased when combined with Tocilizumab.]
[N01AX03, ketamine, Ketamine may increase the bradycardic activities of Oxprenolol.]
[C02KD01, ketanserin, The risk or severity of adverse effects can be increased when Oxprenolol is combined with Ketanserin.]
[J02AB02, ketoconazole, The metabolism of Oxprenolol can be decreased when combined with Ketoconazole.]
[N05AH03, olanzapine, Oxprenolol may increase the orthostatic hypotensive activities of Olanzapine.]
[M02AA10, ketoprofen, Ketoprofen may decrease the antihypertensive activities of Oxprenolol.]
[L04AA24, abatacept, The metabolism of Oxprenolol can be increased when combined with Abatacept.]
[C01CA22, arbutamine, Oxprenolol may decrease the bronchodilatory activities of Arbutamine.]
[N04BC09, rotigotine, Oxprenolol may increase the sedative activities of Rotigotine.]
[M01AE11, tiaprofenic acid, Tiaprofenic acid may decrease the antihypertensive activities of Oxprenolol.]
[C07AG01, labetalol, Oxprenolol may increase the orthostatic hypotensive activities of Labetalol.]
[N04BB01, amantadine, The serum concentration of Amantadine can be increased when it is combined with Oxprenolol.]
[C02AA05, deserpidine, Deserpidine may increase the hypotensive activities of Oxprenolol.]
[N07AA30, ambenonium, Ambenonium may increase the bradycardic activities of Oxprenolol.]
[N03AX18, lacosamide, The risk or severity of adverse effects can be increased when Oxprenolol is combined with Lacosamide.]
[C03CC01, ethacrynic acid, The risk or severity of adverse effects can be increased when Etacrynic acid is combined with Oxprenolol.]
[N04BA01, levodopa, The risk or severity of hypotension and orthostatic hypotension can be increased when Oxprenolol is combined with Levodopa.]
[S02DA01, lidocaine, The serum concentration of Lidocaine can be increased when it is combined with Oxprenolol.]
[C08EX01, lidoflazine, Oxprenolol may increase the arrhythmogenic activities of Lidoflazine.]
[C03DB01, amiloride, The risk or severity of adverse effects can be increased when Amiloride is combined with Oxprenolol.]
[N02CA07, lisuride, Oxprenolol may increase the vasoconstricting activities of Lisuride.]
[N06AA07, lofepramine, The risk or severity of adverse effects can be increased when Oxprenolol is combined with Lofepramine.]
[A07DA03, loperamide, Loperamide may increase the arrhythmogenic activities of Oxprenolol.]
[A12AA11, calcium pangamate, The therapeutic efficacy of Oxprenolol can be decreased when used in combination with Calcium pangamate.]
[N05BA06, lorazepam, The risk or severity of adverse effects can be increased when Lorazepam is combined with Oxprenolol.]
[C10AA02, lovastatin, The metabolism of Oxprenolol can be decreased when combined with Lovastatin.]
[N05AH01, loxapine, The risk or severity of adverse effects can be increased when Loxapine is combined with Oxprenolol.]
[L01EG01, temsirolimus, The metabolism of Oxprenolol can be decreased when combined with Temsirolimus.]
[V04CC02, magnesium sulfate, The therapeutic efficacy of Oxprenolol can be increased when used in combination with Magnesium sulfate.]
[V04CX04, mannitol, The risk or severity of adverse effects can be increased when Mannitol is combined with Oxprenolol.]
[N06AA21, maprotiline, Oxprenolol may increase the central nervous system depressant (CNS depressant) activities of Maprotiline.]
[A08AA05, mazindol, The risk or severity of adverse effects can be increased when Mazindol is combined with Oxprenolol.]
[C02BB01, mecamylamine, Mecamylamine may increase the hypotensive activities of Oxprenolol.]
[L01AA05, mechlorethamine, Mechlorethamine may increase the bradycardic activities of Oxprenolol.]
[R06AE05, meclizine, The risk or severity of adverse effects can be increased when Meclizine is combined with Oxprenolol.]
[M02AA18, meclofenamic acid, Meclofenamic acid may decrease the antihypertensive activities of Oxprenolol.]
[N05BA03, medazepam, The risk or severity of adverse effects can be increased when Oxprenolol is combined with Medazepam.]
[C01AA08, medigoxin, Oxprenolol may increase the arrhythmogenic activities of Metildigoxin.]
[P01BC02, mefloquine, The risk or severity of QTc prolongation can be decreased when Mefloquine is combined with Oxprenolol.]
[B01AB06, nadroparin, The risk or severity of hyperkalemia can be increased when Oxprenolol is combined with Nadroparin.]
[B01AB05, enoxaparin, The risk or severity of hyperkalemia can be increased when Enoxaparin is combined with Oxprenolol.]
[B01AB04, dalteparin, The risk or severity of hyperkalemia can be increased when Oxprenolol is combined with Dalteparin.]
[N05CH01, melatonin, The risk or severity of adverse effects can be increased when Melatonin is combined with Oxprenolol.]
[N06DX01, memantine, Memantine may increase the bradycardic activities of Oxprenolol.]
[N02AB02, meperidine, The risk or severity of adverse effects can be increased when Meperidine is combined with Oxprenolol.]
[C01CA11, mephentermine, The therapeutic efficacy of Oxprenolol can be decreased when used in combination with Mephentermine.]
[N03AB04, mephenytoin, The risk or severity of adverse effects can be increased when Mephenytoin is combined with Oxprenolol.]
[N03AA01, mephobarbital, Methylphenobarbital may increase the hypotensive activities of Oxprenolol.]
[N01BB03, mepivacaine, The serum concentration of Mepivacaine can be increased when it is combined with Oxprenolol.]
[N05BC01, meprobamate, The risk or severity of adverse effects can be increased when Meprobamate is combined with Oxprenolol.]
[N02AX05, meptazinol, The risk or severity of adverse effects can be increased when Oxprenolol is combined with Meptazinol.]
[N05AC03, mesoridazine, The serum concentration of Oxprenolol can be increased when it is combined with Mesoridazine.]
[N05AX13, paliperidone, Oxprenolol may increase the orthostatic hypotensive activities of Paliperidone.]
[C01CA09, metaraminol, The therapeutic efficacy of Metaraminol can be decreased when used in combination with Oxprenolol.]
[A10BA02, metformin, The therapeutic efficacy of Metformin can be increased when used in combination with Oxprenolol.]
[A04AA04, dolasetron, The risk or severity of adverse effects can be increased when Dolasetron is combined with Oxprenolol.]
[H01CB03, lanreotide, Oxprenolol may increase the bradycardic activities of Lanreotide.]
[N07BC02, methadone, The risk or severity of adverse effects can be increased when Methadone is combined with Oxprenolol.]
[N06BA03, methamphetamine, The therapeutic efficacy of Oxprenolol can be decreased when used in combination with Metamfetamine.]
[A03AB07, methantheline, Oxprenolol may increase the central nervous system depressant (CNS depressant) activities of Methantheline.]
[R06AC05, methapyrilene, The risk or severity of adverse effects can be increased when Oxprenolol is combined with Methapyrilene.]
[N05CM01, methaqualone, The risk or severity of adverse effects can be increased when Oxprenolol is combined with Methaqualone.]
[J05AF05, lamivudine, The serum concentration of Lamivudine can be increased when it is combined with Oxprenolol.]
[N03AA30, metharbital, The risk or severity of adverse effects can be increased when Metharbital is combined with Oxprenolol.]
[S01EC05, methazolamide, The risk or severity of adverse effects can be increased when Methazolamide is combined with Oxprenolol.]
[G02CB05, metergoline, Oxprenolol may increase the vasoconstricting activities of Metergoline.]
[H03BB02, methimazole, The excretion of Oxprenolol can be decreased when combined with Methimazole.]
[M03BA03, methocarbamol, The risk or severity of adverse effects can be increased when Methocarbamol is combined with Oxprenolol.]
[N05CA15, methohexital, Methohexital may increase the hypotensive activities of Oxprenolol.]
[N02BG08, ziconotide, Oxprenolol may increase the arrhythmogenic activities of Ziconotide.]
[N05AA02, methotrimeprazine, Oxprenolol may increase the central nervous system depressant (CNS depressant) activities of Methotrimeprazine.]
[C01CA10, methoxamine, The therapeutic efficacy of Methoxamine can be decreased when used in combination with Oxprenolol.]
