[S02DA03, antipyrine, The metabolism of Cabazitaxel can be decreased when combined with Antipyrine.]
[L01BC03, tegafur, The metabolism of Tegafur can be decreased when combined with Cabazitaxel.]
[J05AE10, darunavir, The serum concentration of Cabazitaxel can be increased when it is combined with Darunavir.]
[N05CF04, eszopiclone, The metabolism of Cabazitaxel can be decreased when combined with Eszopiclone.]
[N03AA04, barbexaclone, The metabolism of Cabazitaxel can be increased when combined with Barbexaclone.]
[C10AB04, gemfibrozil, The metabolism of Cabazitaxel can be decreased when combined with Gemfibrozil.]
[L01EA02, dasatinib, The metabolism of Cabazitaxel can be decreased when combined with Dasatinib.]
[N04BC06, cabergoline, The serum concentration of Cabergoline can be increased when it is combined with Cabazitaxel.]
[J05AG04, etravirine, The metabolism of Cabazitaxel can be increased when combined with Etravirine.]
[N01AH02, alfentanil, The metabolism of Cabazitaxel can be decreased when combined with Alfentanil.]
[L01EH01, lapatinib, The serum concentration of Cabazitaxel can be increased when it is combined with Lapatinib.]
[A10BB01, glyburide, The metabolism of Cabazitaxel can be decreased when combined with Glyburide.]
[C02CA04, doxazosin, The metabolism of Cabazitaxel can be decreased when combined with Doxazosin.]
[L01EX02, sorafenib, The serum concentration of Cabazitaxel can be increased when it is combined with Sorafenib.]
[B01AA12, fluindione, The risk or severity of bleeding can be increased when Fluindione is combined with Cabazitaxel.]
[D01BA01, griseofulvin, The metabolism of Cabazitaxel can be increased when combined with Griseofulvin.]
[P01BX01, halofantrine, The metabolism of Cabazitaxel can be decreased when combined with Halofantrine.]
[N05AD01, haloperidol, The serum concentration of Haloperidol can be increased when it is combined with Cabazitaxel.]
[N05AH04, quetiapine, The metabolism of Cabazitaxel can be decreased when combined with Quetiapine.]
[L01CE02, irinotecan, The metabolism of Cabazitaxel can be decreased when combined with Irinotecan.]
[M04AA01, allopurinol, The risk or severity of adverse effects can be increased when Allopurinol is combined with Cabazitaxel.]
[C09CA01, losartan, The metabolism of Cabazitaxel can be decreased when combined with Losartan.]
[S01XA14, heparin, The risk or severity of bleeding can be increased when Heparin is combined with Cabazitaxel.]
[G03DC01, allylestrenol, The metabolism of Cabazitaxel can be decreased when combined with Allylestrenol.]
[A07EC02, mesalamine, The excretion of Mesalazine can be decreased when combined with Cabazitaxel.]
[L01XX03, altretamine, The risk or severity of adverse effects can be increased when Altretamine is combined with Cabazitaxel.]
[J05AG01, nevirapine, The metabolism of Cabazitaxel can be decreased when combined with Nevirapine.]
[C08CA10, nilvadipine, The metabolism of Cabazitaxel can be decreased when combined with Nilvadipine.]
[M02AA26, nimesulide, The risk or severity of bleeding can be increased when Nimesulide is combined with Cabazitaxel.]
[C02DB02, hydralazine, The metabolism of Cabazitaxel can be decreased when combined with Hydralazine.]
[C03AA03, hydrochlorothiazide, The risk or severity of neutropenia and thrombocytopenia can be increased when Hydrochlorothiazide is combined with Cabazitaxel.]
[S02BA01, hydrocortisone, The metabolism of Cabazitaxel can be increased when combined with Hydrocortisone.]
[D07AB02, hydrocortisone butyrate, The metabolism of Cabazitaxel can be increased when combined with Hydrocortisone butyrate.]
[C03AA02, hydroflumethiazide, The risk or severity of neutropenia and thrombocytopenia can be increased when Hydroflumethiazide is combined with Cabazitaxel.]
[P01BA02, hydroxychloroquine, The metabolism of Cabazitaxel can be decreased when combined with Hydroxychloroquine.]
[L01XX05, hydroxyurea, The risk or severity of adverse effects can be increased when Hydroxyurea is combined with Cabazitaxel.]
[N05BB01, hydroxyzine, The metabolism of Cabazitaxel can be decreased when combined with Hydroxyzine.]
[J04AB04, rifabutin, The metabolism of Cabazitaxel can be increased when combined with Rifabutin.]
[R02AX02, ibuprofen, The metabolism of Cabazitaxel can be decreased when combined with Ibuprofen.]
[B05CB02, sodium citrate, The risk or severity of bleeding can be increased when Sodium citrate is combined with Cabazitaxel.]
[L01DB06, idarubicin, The risk or severity of adverse effects can be increased when Idarubicin is combined with Cabazitaxel.]
[L01AA06, ifosfamide, The metabolism of Cabazitaxel can be increased when combined with Ifosfamide.]
[N06AA02, imipramine, The serum concentration of Imipramine can be increased when it is combined with Cabazitaxel.]
[L01CD01, paclitaxel, The metabolism of Cabazitaxel can be increased when combined with Paclitaxel.]
[L01CD03, paclitaxel poliglumex, The risk or severity of cardiotoxicity can be increased when Cabazitaxel is combined with Paclitaxel poliglumex.]
[R01AD07, tixocortol, The risk or severity of adverse effects can be increased when Cabazitaxel is combined with Tixocortol.]
[L01CE01, topotecan, The risk or severity of adverse effects can be increased when Topotecan is combined with Cabazitaxel.]
[S01BC01, indomethacin, The risk or severity of adverse effects can be increased when Indomethacin is combined with Cabazitaxel.]
[L03AB04, interferon alfa-2a, The risk or severity of adverse effects can be increased when Interferon alfa-2a is combined with Cabazitaxel.]
[L03AB05, interferon alfa-2b, The risk or severity of adverse effects can be increased when Interferon alfa-2b is combined with Cabazitaxel.]
[N06AX17, milnacipran, The metabolism of Cabazitaxel can be decreased when combined with Milnacipran.]
[L04AA25, eculizumab, The risk or severity of adverse effects can be increased when Eculizumab is combined with Cabazitaxel.]
[N01BB08, articaine, The risk or severity of methemoglobinemia can be increased when Cabazitaxel is combined with Articaine.]
[A10BH01, sitagliptin, The metabolism of Cabazitaxel can be decreased when combined with Sitagliptin.]
[N05BA12, alprazolam, The metabolism of Cabazitaxel can be decreased when combined with Alprazolam.]
[C10AA06, cerivastatin, The metabolism of Cabazitaxel can be increased when combined with Cerivastatin.]
[L01XX35, anagrelide, The risk or severity of bleeding can be increased when Anagrelide is combined with Cabazitaxel.]
[L03AB09, interferon alfacon-1, The risk or severity of adverse effects can be increased when Interferon alfacon-1 is combined with Cabazitaxel.]
[J04AC01, isoniazid, The metabolism of Cabazitaxel can be decreased when combined with Isoniazid.]
[P02CF01, ivermectin, Cabazitaxel may decrease the excretion rate of Ivermectin which could result in a higher serum level.]
[B01AE06, bivalirudin, The risk or severity of bleeding can be increased when Bivalirudin is combined with Cabazitaxel.]
[L04AC07, tocilizumab, The metabolism of Cabazitaxel can be increased when combined with Tocilizumab.]
[N01AX03, ketamine, The metabolism of Cabazitaxel can be decreased when combined with Ketamine.]
[C02KD01, ketanserin, The risk or severity of bleeding can be increased when Ketanserin is combined with Cabazitaxel.]
[B01AC22, prasugrel, The risk or severity of bleeding can be increased when Prasugrel is combined with Cabazitaxel.]
[J02AB02, ketoconazole, The metabolism of Cabazitaxel can be decreased when combined with Ketoconazole.]
[H02CA04, levoketoconazole, The metabolism of Cabazitaxel can be decreased when combined with Levoketoconazole.]
[M02AA10, ketoprofen, The metabolism of Cabazitaxel can be decreased when combined with Ketoprofen.]
[V03AC03, deferasirox, The metabolism of Cabazitaxel can be increased when combined with Deferasirox.]
[L04AA24, abatacept, The metabolism of Cabazitaxel can be increased when combined with Abatacept.]
[N03AX18, lacosamide, The metabolism of Cabazitaxel can be decreased when combined with Lacosamide.]
[L01DC03, mitomycin, The risk or severity of adverse effects can be increased when Mitomycin is combined with Cabazitaxel.]
[G03AD01, levonorgestrel, The metabolism of Cabazitaxel can be decreased when combined with Levonorgestrel.]
[S02DA01, lidocaine, The risk or severity of methemoglobinemia can be increased when Cabazitaxel is combined with Lidocaine.]
[N06BA13, armodafinil, The metabolism of Cabazitaxel can be increased when combined with Armodafinil.]
[L01AD02, lomustine, The risk or severity of adverse effects can be increased when Lomustine is combined with Cabazitaxel.]
[A07DA03, loperamide, The metabolism of Cabazitaxel can be decreased when combined with Loperamide.]
[C10AA02, lovastatin, The metabolism of Cabazitaxel can be decreased when combined with Lovastatin.]
[N05AH01, loxapine, The serum concentration of Cabazitaxel can be increased when it is combined with Loxapine.]
[L01EG01, temsirolimus, The serum concentration of Cabazitaxel can be increased when it is combined with Temsirolimus.]
[L01BA05, pralatrexate, The risk or severity of adverse effects can be increased when Cabazitaxel is combined with Pralatrexate.]
[L01EA03, nilotinib, The metabolism of Cabazitaxel can be decreased when combined with Nilotinib.]
[V04CX04, mannitol, The serum concentration of Cabazitaxel can be increased when it is combined with Mannitol.]
[L01AA05, mechlorethamine, The risk or severity of adverse effects can be increased when Mechlorethamine is combined with Cabazitaxel.]
[C01AA08, medigoxin, Metildigoxin may decrease the cardiotoxic activities of Cabazitaxel.]
[P01BC02, mefloquine, The serum concentration of Cabazitaxel can be increased when it is combined with Mefloquine.]
[B01AB06, nadroparin, The risk or severity of bleeding can be increased when Nadroparin is combined with Cabazitaxel.]
[B01AB05, enoxaparin, The risk or severity of bleeding can be increased when Enoxaparin is combined with Cabazitaxel.]
[B01AB04, dalteparin, The risk or severity of bleeding can be increased when Dalteparin is combined with Cabazitaxel.]
[L01AA03, melphalan, The risk or severity of adverse effects can be increased when Melphalan is combined with Cabazitaxel.]
[N02AB02, meperidine, The metabolism of Cabazitaxel can be decreased when combined with Meperidine.]
[N03AB04, mephenytoin, The metabolism of Cabazitaxel can be decreased when combined with Mephenytoin.]
[N03AA01, mephobarbital, The metabolism of Cabazitaxel can be increased when combined with Methylphenobarbital.]
[N01BB03, mepivacaine, The risk or severity of methemoglobinemia can be increased when Cabazitaxel is combined with Mepivacaine.]
[L02BG01, aminoglutethimide, The metabolism of Cabazitaxel can be increased when combined with Aminoglutethimide.]
[N05AX13, paliperidone, The serum concentration of Cabazitaxel can be increased when it is combined with Paliperidone.]
[H01CB03, lanreotide, The metabolism of Cabazitaxel can be decreased when combined with Lanreotide.]
[N07BC02, methadone, The metabolism of Cabazitaxel can be decreased when combined with Methadone.]
[J05AF05, lamivudine, Cabazitaxel may decrease the excretion rate of Lamivudine which could result in a higher serum level.]
[H03BB02, methimazole, The metabolism of Cabazitaxel can be decreased when combined with Methimazole.]
[L01BA04, pemetrexed, The risk or severity of adverse effects can be increased when Pemetrexed is combined with Cabazitaxel.]
[L04AX03, methotrexate, The risk or severity of adverse effects can be increased when Methotrexate is combined with Cabazitaxel.]
[C03AA08, methyclothiazide, The risk or severity of neutropenia and thrombocytopenia can be increased when Methyclothiazide is combined with Cabazitaxel.]
[V04CG05, methylene blue, The serum concentration of Cabazitaxel can be increased when it is combined with Methylene blue.]
[G02AB01, methylergonovine, The metabolism of Cabazitaxel can be decreased when combined with Methylergometrine.]
[H02AB04, methylprednisolone, The metabolism of Cabazitaxel can be increased when combined with Methylprednisolone.]
[N03AF03, rufinamide, The metabolism of Cabazitaxel can be increased when combined with Rufinamide.]
[N02CA04, methysergide, The metabolism of Cabazitaxel can be decreased when combined with Methysergide.]
[P01AB01, metronidazole, The metabolism of Cabazitaxel can be decreased when combined with Metronidazole.]
[V04CD01, metyrapone, The metabolism of Cabazitaxel can be increased when combined with Metyrapone.]
[S02AA13, miconazole, The metabolism of Cabazitaxel can be decreased when combined with Miconazole.]
[N02BB03, aminopyrine, The metabolism of Cabazitaxel can be decreased when combined with Aminophenazone.]
[B01AB07, parnaparin, The risk or severity of bleeding can be increased when Parnaparin is combined with Cabazitaxel.]
[N05CD08, midazolam, The metabolism of Cabazitaxel can be decreased when combined with Midazolam.]
[G03XB01, mifepristone, The serum concentration of Cabazitaxel can be increased when it is combined with Mifepristone.]
[B01AB10, tinzaparin, The risk or severity of bleeding can be increased when Tinzaparin is combined with Cabazitaxel.]
[C09CA03, valsartan, The excretion of Valsartan can be decreased when combined with Cabazitaxel.]
[J01FA11, miocamycin, The metabolism of Cabazitaxel can be decreased when combined with Miocamycin.]
[L01XX23, mitotane, The metabolism of Cabazitaxel can be increased when combined with Mitotane.]
[L01DB07, mitoxantrone, The risk or severity of adverse effects can be increased when Mitoxantrone is combined with Cabazitaxel.]
[L03AC01, aldesleukin, The metabolism of Cabazitaxel can be decreased when combined with Aldesleukin.]
[C01BD01, amiodarone, The metabolism of Cabazitaxel can be decreased when combined with Amiodarone.]
[N06AA09, amitriptyline, The metabolism of Cabazitaxel can be decreased when combined with Amitriptyline.]
[N02AA01, morphine, The metabolism of Cabazitaxel can be decreased when combined with Morphine.]
[L04AB05, certolizumab pegol, The metabolism of Cabazitaxel can be increased when combined with Certolizumab pegol.]
[B02BX05, eltrombopag, The metabolism of Cabazitaxel can be decreased when combined with Eltrombopag.]
[L04AA52, ofatumumab, The risk or severity of adverse effects can be increased when Ofatumumab is combined with Cabazitaxel.]
[L01EX03, pazopanib, The metabolism of Cabazitaxel can be decreased when combined with Pazopanib.]
[L04AA06, mycophenolic acid, The risk or severity of adverse effects can be increased when Mycophenolic acid is combined with Cabazitaxel.]
[N05CA02, amobarbital, The metabolism of Cabazitaxel can be increased when combined with Amobarbital.]
[P01BA06, amodiaquine, The metabolism of Cabazitaxel can be decreased when combined with Amodiaquine.]
[G04CA04, silodosin, The serum concentration of Cabazitaxel can be increased when it is combined with Silodosin.]
[G03XC01, raloxifene, The metabolism of Cabazitaxel can be decreased when combined with Raloxifene.]
[N03AB05, fosphenytoin, The metabolism of Cabazitaxel can be increased when combined with Fosphenytoin.]
[L03AB08, interferon beta-1b, The risk or severity of adverse effects can be increased when Interferon beta-1b is combined with Cabazitaxel.]
[J01CF06, nafcillin, The metabolism of Cabazitaxel can be increased when combined with Nafcillin.]
[V03AB15, naloxone, The metabolism of Cabazitaxel can be decreased when combined with Naloxone.]
[L04AC03, anakinra, The metabolism of Cabazitaxel can be increased when combined with Anakinra.]
[M02AA12, naproxen, The metabolism of Cabazitaxel can be decreased when combined with Naproxen.]
[A10BG01, troglitazone, The metabolism of Cabazitaxel can be increased when combined with Troglitazone.]
[B03XA03, methoxy polyethylene glycol-epoetin beta, The risk or severity of Thrombosis can be increased when Methoxy polyethylene glycol-epoetin beta is combined with Cabazitaxel.]
[L01CD02, docetaxel, The metabolism of Cabazitaxel can be decreased when combined with Docetaxel.]
[A10BX02, repaglinide, The metabolism of Cabazitaxel can be decreased when combined with Repaglinide.]
[B01AC17, tirofiban, The risk or severity of bleeding can be increased when Tirofiban is combined with Cabazitaxel.]
[N05AX14, iloperidone, The metabolism of Cabazitaxel can be decreased when combined with Iloperidone.]
[N06AX23, desvenlafaxine, The metabolism of Cabazitaxel can be decreased when combined with Desvenlafaxine.]
[L01XX01, amsacrine, The risk or severity of adverse effects can be increased when Amsacrine is combined with Cabazitaxel.]
[C10AD02, niacin, The metabolism of Cabazitaxel can be decreased when combined with Niacin.]
[C08CA04, nicardipine, The metabolism of Cabazitaxel can be decreased when combined with Nicardipine.]
[C08CA05, nifedipine, The metabolism of Cabazitaxel can be decreased when combined with Nifedipine.]
[C08CA07, nisoldipine, The metabolism of Cabazitaxel can be decreased when combined with Nisoldipine.]
[C08CA08, nitrendipine, The metabolism of Cabazitaxel can be decreased when combined with Nitrendipine.]
[J01XE01, nitrofurantoin, Cabazitaxel may decrease the excretion rate of Nitrofurantoin which could result in a higher serum level.]
[N05CF03, zaleplon, The metabolism of Cabazitaxel can be decreased when combined with Zaleplon.]
[G03DC02, norethindrone, The metabolism of Cabazitaxel can be decreased when combined with Norethisterone.]
[C02KX01, bosentan, The metabolism of Cabazitaxel can be increased when combined with Bosentan.]
[N06AA10, nortriptyline, The serum concentration of Nortriptyline can be increased when it is combined with Cabazitaxel.]
[R05DA07, noscapine, The metabolism of Cabazitaxel can be decreased when combined with Noscapine.]
[A16AX07, sapropterin, The serum concentration of Cabazitaxel can be increased when it is combined with Sapropterin.]
[B01AC16, eptifibatide, The risk or severity of bleeding can be increased when Eptifibatide is combined with Cabazitaxel.]
[B01AB08, reviparin, The risk or severity of bleeding can be increased when Reviparin is combined with Cabazitaxel.]
[H01CB02, octreotide, The serum concentration of Cabazitaxel can be increased when it is combined with Octreotide.]
[J01FA05, oleandomycin, The metabolism of Cabazitaxel can be decreased when combined with Oleandomycin.]
[L04AC04, rilonacept, The metabolism of Cabazitaxel can be increased when combined with Rilonacept.]
[A02BC01, omeprazole, The metabolism of Cabazitaxel can be increased when combined with Omeprazole.]
[B01AD07, reteplase, The risk or severity of bleeding can be increased when Reteplase is combined with Cabazitaxel.]
[B01AD09, ancrod, The risk or severity of bleeding can be increased when Ancrod is combined with Cabazitaxel.]
[C01AC01, ouabain, Ouabain may decrease the cardiotoxic activities of Cabazitaxel.]
[N02AA05, oxycodone, The metabolism of Cabazitaxel can be decreased when combined with Oxycodone.]
[B01AB09, danaparoid, The risk or severity of bleeding can be increased when Danaparoid is combined with Cabazitaxel.]
[H02AB05, paramethasone, The metabolism of Cabazitaxel can be increased when combined with Paramethasone.]
[M01CC01, penicillamine, The risk or severity of adverse effects can be increased when Penicillamine is combined with Cabazitaxel.]
[S01AA14, penicillin G, The excretion of Benzylpenicillin can be decreased when combined with Cabazitaxel.]
[J07AF01, diphtheria toxoid vaccine, inactivated, The therapeutic efficacy of Corynebacterium diphtheriae toxoid antigen (formaldehyde inactivated) can be decreased when used in combination with Cabazitaxel.]
[J07AM01, tetanus toxoid vaccine, inactivated, The therapeutic efficacy of Clostridium tetani toxoid antigen (formaldehyde inactivated) can be decreased when used in combination with Cabazitaxel.]
[N05CA01, pentobarbital, The metabolism of Cabazitaxel can be increased when combined with Pentobarbital.]
[L01XX08, pentostatin, The risk or severity of adverse effects can be increased when Pentostatin is combined with Cabazitaxel.]
[C04AD03, pentoxifylline, The risk or severity of bleeding can be increased when Pentoxifylline is combined with Cabazitaxel.]
[J07AJ, pertussis vaccine, The therapeutic efficacy of Pertussis vaccine can be decreased when used in combination with Cabazitaxel.]
[B01AA02, phenindione, The risk or severity of bleeding can be increased when Phenindione is combined with Cabazitaxel.]
[N03AA02, phenobarbital, The metabolism of Cabazitaxel can be increased when combined with Phenobarbital.]
[B01AA04, phenprocoumon, The metabolism of Cabazitaxel can be decreased when combined with Phenprocoumon.]
[M02AA01, phenylbutazone, The metabolism of Cabazitaxel can be increased when combined with Phenylbutazone.]
[N03AB02, phenytoin, The metabolism of Cabazitaxel can be increased when combined with Phenytoin.]
[L04AB06, golimumab, The metabolism of Cabazitaxel can be increased when combined with Golimumab.]
[L02BB03, bicalutamide, The metabolism of Cabazitaxel can be decreased when combined with Bicalutamide.]
[C08CX01, mibefradil, The serum concentration of Cabazitaxel can be increased when it is combined with Mibefradil.]
[N05AG02, pimozide, The metabolism of Cabazitaxel can be decreased when combined with Pimozide.]
[C10AA05, atorvastatin, The metabolism of Cabazitaxel can be decreased when combined with Atorvastatin.]
[J05AE01, saquinavir, The metabolism of Cabazitaxel can be decreased when combined with Saquinavir.]
[S01BC06, piroxicam, The metabolism of Cabazitaxel can be decreased when combined with Piroxicam.]
[J05AG02, delavirdine, The metabolism of Cabazitaxel can be decreased when combined with Delavirdine.]
[C09CA04, irbesartan, The metabolism of Cabazitaxel can be decreased when combined with Irbesartan.]
[B01AC13, abciximab, The risk or severity of bleeding can be increased when Abciximab is combined with Cabazitaxel.]
[D05AX05, tazarotene, The metabolism of Cabazitaxel can be decreased when combined with Tazarotene.]
[S01XA13, alteplase, The risk or severity of bleeding can be increased when Alteplase is combined with Cabazitaxel.]
[A10BG02, rosiglitazone, The metabolism of Cabazitaxel can be decreased when combined with Rosiglitazone.]
[L02BG03, anastrozole, The metabolism of Cabazitaxel can be decreased when combined with Anastrozole.]
[L04AC08, canakinumab, The metabolism of Cabazitaxel can be increased when combined with Canakinumab.]
[C03AA05, polythiazide, The risk or severity of neutropenia and thrombocytopenia can be increased when Polythiazide is combined with Cabazitaxel.]
[J05AE03, ritonavir, The metabolism of Cabazitaxel can be decreased when combined with Ritonavir.]
[A10BH03, saxagliptin, The metabolism of Cabazitaxel can be decreased when combined with Saxagliptin.]
[C10AA08, pitavastatin, The metabolism of Cabazitaxel can be decreased when combined with Pitavastatin.]
[P02BA01, praziquantel, The metabolism of Cabazitaxel can be decreased when combined with Praziquantel.]
[C02CA01, prazosin, Cabazitaxel may decrease the excretion rate of Prazosin which could result in a higher serum level.]
[S03BA02, prednisolone, The metabolism of Cabazitaxel can be increased when combined with Prednisolone.]
[H02AB07, prednisone, The risk or severity of adverse effects can be increased when Prednisone is combined with Cabazitaxel.]
[N01BB04, prilocaine, The risk or severity of methemoglobinemia can be increased when Cabazitaxel is combined with Prilocaine.]
[P01BA03, primaquine, The metabolism of Cabazitaxel can be decreased when combined with Primaquine.]
[N03AA03, primidone, The metabolism of Cabazitaxel can be increased when combined with Primidone.]
[M04AB01, probenecid, The metabolism of Cabazitaxel can be increased when combined with Probenecid.]
[S01HA05, procaine, The risk or severity of methemoglobinemia can be increased when Cabazitaxel is combined with Procaine.]
[L01XB01, procarbazine, The risk or severity of adverse effects can be increased when Procarbazine is combined with Cabazitaxel.]
[C10AB05, fenofibrate, The metabolism of Cabazitaxel can be decreased when combined with Fenofibrate.]
[G03DA04, progesterone, The metabolism of Cabazitaxel can be decreased when combined with Progesterone.]
[C01BC03, propafenone, The serum concentration of Cabazitaxel can be increased when it is combined with Propafenone.]
[R06AX26, fexofenadine, The serum concentration of Cabazitaxel can be increased when it is combined with Fexofenadine.]
[L01XH02, romidepsin, The metabolism of Cabazitaxel can be decreased when combined with Romidepsin.]
[N01AX10, propofol, The metabolism of Cabazitaxel can be decreased when combined with Propofol.]
[N02AC04, propoxyphene, The metabolism of Cabazitaxel can be decreased when combined with Dextropropoxyphene.]
[C07AA05, propranolol, The metabolism of Cabazitaxel can be decreased when combined with Propranolol.]
[H03BA02, propylthiouracil, The risk or severity of adverse effects can be increased when Propylthiouracil is combined with Cabazitaxel.]
[C01AB01, proscillaridin, Proscillaridin may decrease the cardiotoxic activities of Cabazitaxel.]
[B01AC09, epoprostenol, The risk or severity of bleeding can be increased when Epoprostenol is combined with Cabazitaxel.]
[R03DC03, montelukast, The metabolism of Cabazitaxel can be decreased when combined with Montelukast.]
[N05AX12, aripiprazole, The metabolism of Cabazitaxel can be decreased when combined with Aripiprazole.]
[J06BB05, rabies immune globulin, human, The therapeutic efficacy of Rabies immune globulin, human can be decreased when used in combination with Cabazitaxel.]
[P01BD01, pyrimethamine, The metabolism of Cabazitaxel can be decreased when combined with Pyrimethamine.]
[P01AX05, quinacrine, The metabolism of Cabazitaxel can be decreased when combined with Quinacrine.]
[C01BA01, quinidine, The serum concentration of Cabazitaxel can be increased when it is combined with Quinidine.]
[P01BC01, quinine, The serum concentration of Cabazitaxel can be increased when it is combined with Quinine.]
[C02AA02, reserpine, The serum concentration of Cabazitaxel can be increased when it is combined with Reserpine.]
[J04AB02, rifampin, The serum concentration of Cabazitaxel can be decreased when it is combined with Rifampicin.]
[J01FA06, roxithromycin, The metabolism of Cabazitaxel can be decreased when combined with Roxithromycin.]
[A07EC01, sulfasalazine, The risk or severity of adverse effects can be increased when Sulfasalazine is combined with Cabazitaxel.]
[N05CA06, secobarbital, The metabolism of Cabazitaxel can be increased when combined with Secobarbital.]
[N04BD01, selegiline, The metabolism of Cabazitaxel can be decreased when combined with Selegiline.]
[L01FA03, obinutuzumab, The risk or severity of adverse effects can be increased when Cabazitaxel is combined with Obinutuzumab.]
[V04CC03, sincalide, The excretion of Sincalide can be decreased when combined with Cabazitaxel.]
[M05BX04, denosumab, The risk or severity of adverse effects can be increased when Denosumab is combined with Cabazitaxel.]
[H01CB01, somatostatin, The metabolism of Cabazitaxel can be decreased when combined with Somatostatin.]
[L03AX17, sipuleucel-T, The therapeutic efficacy of Sipuleucel-T can be decreased when used in combination with Cabazitaxel.]
[C03DA01, spironolactone, The metabolism of Cabazitaxel can be decreased when combined with Spironolactone.]
