[P02BB01, trichlorfon, The therapeutic efficacy of Metrifonate can be decreased when used in combination with Mometasone.]
[C03AA06, trichlormethiazide, The risk or severity of electrolyte imbalance can be increased when Mometasone furoate is combined with Trichlormethiazide.]
[S01EB04, demecarium, The therapeutic efficacy of Demecarium can be decreased when used in combination with Mometasone furoate.]
[S01AD02, trifluridine, The risk or severity of adverse effects can be increased when Trifluridine is combined with Mometasone furoate.]
[N05AA05, triflupromazine, The therapeutic efficacy of Triflupromazine can be decreased when used in combination with Mometasone furoate.]
[D07AC02, fluclorolone, The risk or severity of adverse effects can be increased when Fluclorolone is combined with Mometasone furoate.]
[L04AA03, lymphocyte immune globulin, anti-thymocyte globulin, equine, The risk or severity of adverse effects can be increased when Antilymphocyte immunoglobulin (horse) is combined with Mometasone furoate.]
[S01AA13, fusidic acid, The metabolism of Mometasone furoate can be decreased when combined with Fusidic acid.]
[J01MB04, pipemidic acid, The risk or severity of tendinopathy can be increased when Mometasone furoate is combined with Pipemidic acid.]
[S02BA08, fluocinolone acetonide, The risk or severity of adverse effects can be increased when Fluocinolone acetonide is combined with Mometasone furoate.]
[M01AG01, mefenamic acid, The risk or severity of gastrointestinal irritation can be increased when Mometasone furoate is combined with Mefenamic acid.]
[C10AA07, rosuvastatin, The metabolism of Rosuvastatin can be increased when combined with Mometasone furoate.]
[M02AA02, mofebutazone, The risk or severity of gastrointestinal irritation can be increased when Mometasone furoate is combined with Mofebutazone.]
[M01AX22, morniflumate, The risk or severity of gastrointestinal irritation can be increased when Mometasone furoate is combined with Morniflumate.]
[C03XA02, conivaptan, The metabolism of Mometasone furoate can be decreased when combined with Conivaptan.]
[L01BC01, cytarabine, The risk or severity of adverse effects can be increased when Cytarabine is combined with Mometasone furoate.]
[G04BE09, vardenafil, The metabolism of Vardenafil can be increased when combined with Mometasone furoate.]
[M01AH05, etoricoxib, The risk or severity of gastrointestinal irritation can be increased when Mometasone furoate is combined with Etoricoxib.]
[L01AX04, dacarbazine, The risk or severity of adverse effects can be increased when Dacarbazine is combined with Mometasone furoate.]
[L01DA01, dactinomycin, The risk or severity of adverse effects can be increased when Dactinomycin is combined with Mometasone furoate.]
[G03XA01, danazol, The metabolism of Mometasone furoate can be decreased when combined with Danazol.]
[J04BA02, dapsone, The metabolism of Dapsone can be decreased when combined with Mometasone furoate.]
[L01DB02, daunorubicin, The risk or severity of adverse effects can be increased when Daunorubicin is combined with Mometasone furoate.]
[M01AX01, nabumetone, The risk or severity of gastrointestinal irritation can be increased when Mometasone furoate is combined with Nabumetone.]
[N06AX06, nefazodone, The metabolism of Mometasone furoate can be decreased when combined with Nefazodone.]
[C01DX16, nicorandil, The risk or severity of ulceration can be increased when Mometasone furoate is combined with Nicorandil.]
[G03DB04, nomegestrol, The serum concentration of Mometasone furoate can be increased when it is combined with Nomegestrol.]
[M03AC11, cisatracurium, The risk or severity of myopathy and weakness can be increased when Cisatracurium is combined with Mometasone furoate.]
[D11AH02, pimecrolimus, The risk or severity of adverse effects can be increased when Pimecrolimus is combined with Mometasone furoate.]
[A07EC03, olsalazine, The risk or severity of gastrointestinal irritation can be increased when Mometasone furoate is combined with Olsalazine.]
[C01AA07, deslanoside, The risk or severity of adverse effects can be increased when Mometasone furoate is combined with Deslanoside.]
[D07XC02, desoximetasone, The risk or severity of adverse effects can be increased when Desoximetasone is combined with Mometasone furoate.]
[L01XA03, oxaliplatin, The risk or severity of adverse effects can be increased when Oxaliplatin is combined with Mometasone furoate.]
[M01AE12, oxaprozin, The risk or severity of gastrointestinal irritation can be increased when Mometasone furoate is combined with Oxaprozin.]
[S03BA01, dexamethasone, The risk or severity of adverse effects can be increased when Dexamethasone is combined with Mometasone furoate.]
[G04BD04, oxybutynin, The metabolism of Oxybutynin can be increased when combined with Mometasone furoate.]
[L04AB04, adalimumab, The risk or severity of adverse effects can be increased when Adalimumab is combined with Mometasone furoate.]
[L01EB01, gefitinib, The metabolism of Gefitinib can be increased when combined with Mometasone furoate.]
[R05DA09, dextromethorphan, The metabolism of Dextromethorphan can be increased when combined with Mometasone furoate.]
[N03AC01, paramethadione, The metabolism of Paramethadione can be decreased when combined with Mometasone furoate.]
[B01AC04, clopidogrel, The metabolism of Clopidogrel can be increased when combined with Mometasone furoate.]
[N05BA01, diazepam, The metabolism of Diazepam can be increased when combined with Mometasone furoate.]
[S02DA04, dibucaine, The therapeutic efficacy of Cinchocaine can be decreased when used in combination with Mometasone furoate.]
[S01BC03, diclofenac, The risk or severity of gastrointestinal irritation can be increased when Mometasone furoate is combined with Diclofenac.]
[A10BG03, pioglitazone, The serum concentration of Pioglitazone can be increased when it is combined with Mometasone furoate.]
[L01DC04, ixabepilone, The metabolism of Ixabepilone can be increased when combined with Mometasone furoate.]
[L01EB02, erlotinib, The metabolism of Erlotinib can be increased when combined with Mometasone furoate.]
[L01DB08, pirarubicin, The risk or severity of adverse effects can be increased when Pirarubicin is combined with Mometasone furoate.]
[R03CC07, pirbuterol, The risk or severity of hypokalemia can be increased when Mometasone furoate is combined with Pirbuterol.]
[C03CA03, piretanide, The risk or severity of hypokalemia can be increased when Mometasone furoate is combined with Piretanide.]
[P02CB02, diethylcarbamazine, The therapeutic efficacy of Diethylcarbamazine can be decreased when used in combination with Mometasone furoate.]
[L02AA01, diethylstilbestrol, The serum concentration of Mometasone furoate can be increased when it is combined with Diethylstilbestrol.]
[C08CA03, isradipine, The metabolism of Mometasone furoate can be decreased when combined with Isradipine.]
[D07XC04, diflucortolone, The risk or severity of adverse effects can be increased when Difluocortolone is combined with Mometasone furoate.]
[N02BA11, diflunisal, The risk or severity of gastrointestinal irritation can be increased when Mometasone furoate is combined with Diflunisal.]
[C01AA04, digitoxin, The risk or severity of adverse effects can be increased when Mometasone furoate is combined with Digitoxin.]
[C01AA05, digoxin, The risk or severity of adverse effects can be increased when Mometasone furoate is combined with Digoxin.]
[L01XX24, pegaspargase, The risk or severity of adverse effects can be increased when Pegaspargase is combined with Mometasone furoate.]
[C04AE04, dihydroergocristine, The metabolism of Dihydroergocristine can be increased when combined with Mometasone furoate.]
[N02CA01, dihydroergotamine, The metabolism of Dihydroergotamine can be increased when combined with Mometasone furoate.]
[L04AX04, lenalidomide, The risk or severity of adverse effects can be increased when Lenalidomide is combined with Mometasone furoate.]
[A11CC02, dihydrotachysterol, The therapeutic efficacy of Dihydrotachysterol can be decreased when used in combination with Mometasone furoate.]
[J05AE08, atazanavir, The metabolism of Mometasone furoate can be decreased when combined with Atazanavir.]
[B01AC21, treprostinil, The serum concentration of Treprostinil can be increased when it is combined with Mometasone furoate.]
[C08DB01, diltiazem, The metabolism of Diltiazem can be decreased when combined with Mometasone furoate.]
[R03CC08, procaterol, The risk or severity of hypokalemia can be increased when Mometasone furoate is combined with Procaterol.]
[N02BB04, propyphenazone, The risk or severity of gastrointestinal irritation can be increased when Mometasone furoate is combined with Propyphenazone.]
[M01AB14, proglumetacin, The risk or severity of gastrointestinal irritation can be increased when Mometasone furoate is combined with Proglumetacin.]
[A03FA02, cisapride, The metabolism of Cisapride can be decreased when combined with Mometasone furoate.]
[S01XA23, sirolimus, The metabolism of Sirolimus can be increased when combined with Mometasone furoate.]
[C01BA03, disopyramide, The risk or severity of hyperglycemia can be increased when Mometasone furoate is combined with Disopyramide.]
[L04AA23, natalizumab, The risk or severity of adverse effects can be increased when Mometasone furoate is combined with Natalizumab.]
[N07AA03, distigmine, The therapeutic efficacy of Distigmine can be decreased when used in combination with Mometasone furoate.]
[P03AA04, disulfiram, The metabolism of Disulfiram can be increased when combined with Mometasone furoate.]
[S02AA12, rifamycin SV, The metabolism of Mometasone furoate can be increased when combined with Rifamycin.]
[J04AB05, rifapentine, The metabolism of Mometasone furoate can be increased when combined with Rifapentine.]
[N05AX08, risperidone, The metabolism of Risperidone can be increased when combined with Mometasone furoate.]
[L04AA21, efalizumab, The risk or severity of adverse effects can be increased when Efalizumab is combined with Mometasone furoate.]
[J01MB01, rosoxacin, The risk or severity of tendinopathy can be increased when Mometasone furoate is combined with Rosoxacin.]
[L01EX01, sunitinib, The risk or severity of hyperglycemia can be increased when Mometasone furoate is combined with Sunitinib.]
[A04AD12, aprepitant, The metabolism of Mometasone furoate can be decreased when combined with Aprepitant.]
[C03XA01, tolvaptan, The metabolism of Tolvaptan can be increased when combined with Mometasone furoate.]
[L01XG01, bortezomib, The metabolism of Bortezomib can be increased when combined with Mometasone furoate.]
[G04BE08, tadalafil, The metabolism of Tadalafil can be increased when combined with Mometasone furoate.]
[S01BC05, ketorolac, The risk or severity of gastrointestinal irritation can be increased when Mometasone furoate is combined with Ketorolac.]
[C02KX02, ambrisentan, The metabolism of Ambrisentan can be increased when combined with Mometasone furoate.]
[N02BA06, salsalate, The risk or severity of gastrointestinal irritation can be increased when Mometasone furoate is combined with Salsalate.]
[R03AC12, salmeterol, The risk or severity of hypokalemia can be increased when Mometasone furoate is combined with Salmeterol.]
[C01CA07, dobutamine, The risk or severity of hypokalemia can be increased when Mometasone furoate is combined with Dobutamine.]
[A03FA03, domperidone, The metabolism of Domperidone can be decreased when combined with Mometasone furoate.]
[L01DB01, doxorubicin, The metabolism of Doxorubicin can be increased when combined with Mometasone furoate.]
[C10AA01, simvastatin, The metabolism of Simvastatin can be decreased when combined with Mometasone furoate.]
[B05XA02, sodium bicarbonate, The bioavailability of Mometasone furoate can be decreased when combined with Sodium bicarbonate.]
[V04CX07, edrophonium, The therapeutic efficacy of Edrophonium can be decreased when used in combination with Mometasone furoate.]
[H01AA01, corticotropin, The risk or severity of adverse effects can be increased when Corticotropin is combined with Mometasone furoate.]
[J01MA05, temafloxacin, The risk or severity of tendinopathy can be increased when Mometasone furoate is combined with Temafloxacin.]
[L01AX03, temozolomide, The risk or severity of adverse effects can be increased when Temozolomide is combined with Mometasone furoate.]
[M01AC02, tenoxicam, The risk or severity of gastrointestinal irritation can be increased when Mometasone furoate is combined with Tenoxicam.]
[D01BA02, terbinafine, The metabolism of Terbinafine can be decreased when combined with Mometasone furoate.]
[N06AX14, tianeptine, The metabolism of Tianeptine can be increased when combined with Mometasone furoate.]
[M01AG02, tolfenamic acid, The risk or severity of gastrointestinal irritation can be increased when Mometasone furoate is combined with Tolfenamic acid.]
[C03CA04, torsemide, The metabolism of Torasemide can be decreased when combined with Mometasone furoate.]
[H02CA01, trilostane, The risk or severity of edema formation can be increased when Trilostane is combined with Mometasone furoate.]
[L01AA07, trofosfamide, The risk or severity of adverse effects can be increased when Trofosfamide is combined with Mometasone furoate.]
[J01MA04, enoxacin, The risk or severity of tendinopathy can be increased when Mometasone furoate is combined with Enoxacin.]
[L01CA04, vinorelbine, The metabolism of Vinorelbine can be increased when combined with Mometasone furoate.]
[S01FB02, ephedrine, Ephedrine may increase the excretion rate of Mometasone furoate which could result in a lower serum level and potentially a reduction in efficacy.]
[C08CA12, mepirodipine, The metabolism of Mometasone furoate can be decreased when combined with Barnidipine.]
[S01EA01, epinephrine, The risk or severity of hypokalemia can be increased when Mometasone furoate is combined with Epinephrine.]
[L01DB03, epirubicin, The risk or severity of adverse effects can be increased when Epirubicin is combined with Mometasone furoate.]
[N05CF02, zolpidem, The metabolism of Zolpidem can be increased when combined with Mometasone furoate.]
[M01AB04, zomepirac, The risk or severity of gastrointestinal irritation can be increased when Mometasone furoate is combined with Zomepirac.]
[N03AX15, zonisamide, The metabolism of Zonisamide can be increased when combined with Mometasone furoate.]
[A10AB06, insulin glulisine, human, The risk or severity of hyperglycemia can be increased when Mometasone furoate is combined with Insulin glulisine.]
[N05CF01, zopiclone, The metabolism of Zopiclone can be decreased when combined with Mometasone furoate.]
[L01XA02, carboplatin, The risk or severity of adverse effects can be increased when Carboplatin is combined with Mometasone furoate.]
[A11CC01, ergocalciferol, The therapeutic efficacy of Ergocalciferol can be decreased when used in combination with Mometasone furoate.]
[N02CA02, ergotamine, The metabolism of Mometasone furoate can be decreased when combined with Ergotamine.]
[S01AA17, erythromycin, The metabolism of Mometasone furoate can be decreased when combined with Erythromycin.]
[G03CA03, estradiol, The serum concentration of Mometasone furoate can be increased when it is combined with Estradiol.]
[L01XX11, estramustine, The risk or severity of adverse effects can be increased when Estramustine is combined with Mometasone furoate.]
[R03BA09, fluticasone furoate, The risk or severity of adverse effects can be increased when Fluticasone furoate is combined with Mometasone furoate.]
[R03BA05, fluticasone, The risk or severity of adverse effects can be increased when Fluticasone is combined with Mometasone furoate.]
[C10AA04, fluvastatin, The metabolism of Fluvastatin can be decreased when combined with Mometasone furoate.]
[L02AA03, ethinyl estradiol, The serum concentration of Mometasone furoate can be increased when it is combined with Ethinylestradiol.]
[N04AA05, profenamine, The therapeutic efficacy of Profenamine can be decreased when used in combination with Mometasone furoate.]
[M01AC06, meloxicam, The risk or severity of gastrointestinal irritation can be increased when Mometasone furoate is combined with Meloxicam.]
[L01CB01, etoposide, The metabolism of Etoposide can be increased when combined with Mometasone furoate.]
[L04AD02, tacrolimus, Tacrolimus may increase the immunosuppressive activities of Mometasone furoate.]
[A02BA04, nizatidine, The therapeutic efficacy of Nizatidine can be decreased when used in combination with Mometasone furoate.]
[J01MA08, fleroxacin, The risk or severity of tendinopathy can be increased when Mometasone furoate is combined with Fleroxacin.]
[R06AX11, astemizole, The metabolism of Astemizole can be increased when combined with Mometasone furoate.]
[R06AX12, terfenadine, The metabolism of Mometasone furoate can be decreased when combined with Terfenadine.]
[N06AB08, fluvoxamine, The metabolism of Mometasone furoate can be decreased when combined with Fluvoxamine.]
[L04AA02, muromonab-CD3, The risk or severity of adverse effects can be increased when Muromonab is combined with Mometasone furoate.]
[V03AF02, dexrazoxane, The risk or severity of adverse effects can be increased when Dexrazoxane is combined with Mometasone furoate.]
[P02CA03, albendazole, The metabolism of Albendazole can be increased when combined with Mometasone furoate.]
[C08CA02, felodipine, The metabolism of Felodipine can be increased when combined with Mometasone furoate.]
[M01AE04, fenoprofen, The risk or severity of gastrointestinal irritation can be increased when Mometasone furoate is combined with Fenoprofen.]
[R03CC04, fenoterol, The risk or severity of hypokalemia can be increased when Mometasone furoate is combined with Fenoterol.]
[R03CC02, albuterol, The risk or severity of hypokalemia can be increased when Mometasone furoate is combined with Salbutamol.]
[L01BB06, clofarabine, The risk or severity of adverse effects can be increased when Clofarabine is combined with Mometasone furoate.]
[L04AA40, cladribine, The risk or severity of adverse effects can be increased when Cladribine is combined with Mometasone furoate.]
[N02BG04, floctafenine, The risk or severity of gastrointestinal irritation can be increased when Mometasone furoate is combined with Floctafenine.]
[J02AC01, fluconazole, The metabolism of Mometasone furoate can be decreased when combined with Fluconazole.]
[J02AX01, flucytosine, The risk or severity of adverse effects can be increased when Flucytosine is combined with Mometasone furoate.]
[H02AA02, fludrocortisone, The risk or severity of adverse effects can be increased when Fludrocortisone is combined with Mometasone furoate.]
[D07AC08, fluocinonide, The risk or severity of adverse effects can be increased when Fluocinonide is combined with Mometasone furoate.]
[H02AB03, fluocortolone, The risk or severity of adverse effects can be increased when Fluocortolone is combined with Mometasone furoate.]
[L01BC09, floxuridine, The risk or severity of adverse effects can be increased when Floxuridine is combined with Mometasone furoate.]
[S01CB05, fluorometholone, The risk or severity of adverse effects can be increased when Fluorometholone is combined with Mometasone furoate.]
[L01BC02, fluorouracil, The metabolism of Fluorouracil can be decreased when combined with Mometasone furoate.]
[G03BA01, fluoxymesterone, The risk or severity of fluid retention can be increased when Mometasone furoate is combined with Fluoxymesterone.]
[S01BC04, flurbiprofen, The risk or severity of gastrointestinal irritation can be increased when Mometasone furoate is combined with Flurbiprofen.]
[L02BB01, flutamide, The metabolism of Flutamide can be increased when combined with Mometasone furoate.]
[L01BC03, tegafur, The metabolism of Tegafur can be decreased when combined with Mometasone furoate.]
[M03AA01, alcuronium, The risk or severity of myopathy and weakness can be increased when Alcuronium is combined with Mometasone furoate.]
[J05AE10, darunavir, The metabolism of Mometasone furoate can be decreased when combined with Darunavir.]
[C03CA01, furosemide, The risk or severity of hypokalemia can be increased when Mometasone furoate is combined with Furosemide.]
[N05CF04, eszopiclone, The metabolism of Eszopiclone can be decreased when combined with Mometasone furoate.]
[N06DA04, galantamine, The therapeutic efficacy of Galantamine can be decreased when used in combination with Mometasone furoate.]
[M03AC02, gallamine, The risk or severity of myopathy and weakness can be increased when Gallamine is combined with Mometasone furoate.]
[L01EA02, dasatinib, The metabolism of Dasatinib can be increased when combined with Mometasone furoate.]
[N04BC06, cabergoline, The metabolism of Cabergoline can be increased when combined with Mometasone furoate.]
[A10BJ02, liraglutide, The risk or severity of hyperglycemia can be increased when Mometasone furoate is combined with Liraglutide.]
[G03XA02, gestrinone, The serum concentration of Mometasone furoate can be increased when it is combined with Gestrinone.]
[N01AH02, alfentanil, The metabolism of Alfentanil can be increased when combined with Mometasone furoate.]
[L01EH01, lapatinib, The metabolism of Lapatinib can be decreased when combined with Mometasone furoate.]
[A10BB01, glyburide, The risk or severity of hyperglycemia can be increased when Mometasone furoate is combined with Glyburide.]
[A10BB09, gliclazide, The risk or severity of hyperglycemia can be increased when Mometasone furoate is combined with Gliclazide.]
[A10BB07, glipizide, The risk or severity of hyperglycemia can be increased when Mometasone furoate is combined with Glipizide.]
[C01BD04, dofetilide, The metabolism of Dofetilide can be increased when combined with Mometasone furoate.]
[C02CA04, doxazosin, The metabolism of Doxazosin can be increased when combined with Mometasone furoate.]
[H01AB01, thyrotropin alfa, The therapeutic efficacy of Thyrotropin alfa can be decreased when used in combination with Mometasone furoate.]
[L01EX02, sorafenib, The metabolism of Sorafenib can be increased when combined with Mometasone furoate.]
[B01AA12, fluindione, Mometasone furoate may increase the anticoagulant activities of Fluindione.]
[P01BX01, halofantrine, The metabolism of Halofantrine can be decreased when combined with Mometasone furoate.]
[N05AD01, haloperidol, The serum concentration of Haloperidol can be increased when it is combined with Mometasone furoate.]
[N05AH04, quetiapine, The metabolism of Quetiapine can be increased when combined with Mometasone furoate.]
[A10AD05, insulin aspart, human, The risk or severity of hyperglycemia can be increased when Mometasone furoate is combined with Insulin aspart.]
[L01CE02, irinotecan, The metabolism of Irinotecan can be increased when combined with Mometasone furoate.]
[G03DC01, allylestrenol, The metabolism of Allylestrenol can be increased when combined with Mometasone furoate.]
[A07EC02, mesalamine, The risk or severity of gastrointestinal irritation can be increased when Mometasone furoate is combined with Mesalazine.]
[L01XX03, altretamine, The risk or severity of adverse effects can be increased when Altretamine is combined with Mometasone furoate.]
[R03CC05, hexoprenaline, The risk or severity of hypokalemia can be increased when Mometasone furoate is combined with Hexoprenaline.]
[J05AG01, nevirapine, The metabolism of Nevirapine can be increased when combined with Mometasone furoate.]
[C08CA10, nilvadipine, The metabolism of Mometasone furoate can be decreased when combined with Nilvadipine.]
[M02AA26, nimesulide, The risk or severity of gastrointestinal irritation can be increased when Mometasone furoate is combined with Nimesulide.]
[C03AA03, hydrochlorothiazide, The risk or severity of electrolyte imbalance can be increased when Mometasone furoate is combined with Hydrochlorothiazide.]
[S02BA01, hydrocortisone, The metabolism of Hydrocortisone can be increased when combined with Mometasone furoate.]
[C03AA02, hydroflumethiazide, The risk or severity of electrolyte imbalance can be increased when Mometasone furoate is combined with Hydroflumethiazide.]
[P01BA02, hydroxychloroquine, The risk or severity of adverse effects can be increased when Hydroxychloroquine is combined with Mometasone furoate.]
[L01XX05, hydroxyurea, The risk or severity of adverse effects can be increased when Hydroxyurea is combined with Mometasone furoate.]
[N05BB01, hydroxyzine, The metabolism of Hydroxyzine can be increased when combined with Mometasone furoate.]
[R02AX02, ibuprofen, The risk or severity of gastrointestinal irritation can be increased when Mometasone furoate is combined with Ibuprofen.]
[L01DB06, idarubicin, The risk or severity of adverse effects can be increased when Idarubicin is combined with Mometasone furoate.]
[L01AA06, ifosfamide, The metabolism of Ifosfamide can be increased when combined with Mometasone furoate.]
[L01CD01, paclitaxel, The metabolism of Paclitaxel can be increased when combined with Mometasone furoate.]
[R01AD07, tixocortol, The risk or severity of adverse effects can be increased when Tixocortol is combined with Mometasone furoate.]
[L01CE01, topotecan, The risk or severity of adverse effects can be increased when Topotecan is combined with Mometasone furoate.]
[C03BA11, indapamide, Mometasone furoate may increase the hypokalemic activities of Indapamide.]
[S01BC01, indomethacin, The risk or severity of gastrointestinal irritation can be increased when Mometasone furoate is combined with Indomethacin.]
[L03AB04, interferon alfa-2a, The risk or severity of adverse effects can be increased when Interferon alfa-2a is combined with Mometasone furoate.]
[L03AB05, interferon alfa-2b, The risk or severity of adverse effects can be increased when Interferon alfa-2b is combined with Mometasone furoate.]
[N06AX17, milnacipran, The metabolism of Mometasone furoate can be decreased when combined with Milnacipran.]
[L04AA25, eculizumab, The risk or severity of adverse effects can be increased when Eculizumab is combined with Mometasone furoate.]
[A10BH01, sitagliptin, The risk or severity of hyperglycemia can be increased when Mometasone furoate is combined with Sitagliptin.]
[N05BA12, alprazolam, The metabolism of Alprazolam can be increased when combined with Mometasone furoate.]
[A10BH02, vildagliptin, The risk or severity of hyperglycemia can be increased when Mometasone furoate is combined with Vildagliptin.]
[C10AA06, cerivastatin, The metabolism of Cerivastatin can be decreased when combined with Mometasone furoate.]
[C03BA02, quinethazone, Mometasone furoate may increase the hypokalemic activities of Quinethazone.]
[L03AB09, interferon alfacon-1, The risk or severity of adverse effects can be increased when Interferon alfacon-1 is combined with Mometasone furoate.]
[R03CC06, isoetharine, The risk or severity of hypokalemia can be increased when Mometasone furoate is combined with Isoetharine.]
[S01EB07, isoflurophate, The therapeutic efficacy of Isoflurophate can be decreased when used in combination with Mometasone furoate.]
[J04AC01, isoniazid, The serum concentration of Isoniazid can be decreased when it is combined with Mometasone furoate.]
[R03CB01, isoproterenol, The therapeutic efficacy of Isoprenaline can be decreased when used in combination with Mometasone furoate.]
[A10BJ01, exenatide, The risk or severity of hyperglycemia can be increased when Mometasone furoate is combined with Exenatide.]
[H01AC01, somatropin, The therapeutic efficacy of Somatotropin can be decreased when used in combination with Mometasone furoate.]
[A02AB01, aluminum hydroxide, The bioavailability of Mometasone furoate can be decreased when combined with Aluminum hydroxide.]
[L04AC07, tocilizumab, The risk or severity of adverse effects can be increased when Tocilizumab is combined with Mometasone furoate.]
[N01AX03, ketamine, The therapeutic efficacy of Ketamine can be decreased when used in combination with Mometasone furoate.]
[J02AB02, ketoconazole, The metabolism of Mometasone furoate can be decreased when combined with Ketoconazole.]
[M02AA10, ketoprofen, The risk or severity of gastrointestinal irritation can be increased when Mometasone furoate is combined with Ketoprofen.]
[V03AC03, deferasirox, The risk or severity of gastrointestinal ulceration and gastrointestinal irritation can be increased when Mometasone furoate is combined with Deferasirox.]
[L04AA24, abatacept, The risk or severity of adverse effects can be increased when Abatacept is combined with Mometasone furoate.]
[C01CA22, arbutamine, The risk or severity of hypokalemia can be increased when Mometasone furoate is combined with Arbutamine.]
[J01MB02, nalidixic acid, The risk or severity of tendinopathy can be increased when Mometasone furoate is combined with Nalidixic acid.]
[M01AE11, tiaprofenic acid, The risk or severity of gastrointestinal irritation can be increased when Mometasone furoate is combined with Tiaprofenic acid.]
[N07AA30, ambenonium, The therapeutic efficacy of Ambenonium can be decreased when used in combination with Mometasone furoate.]
[N03AX18, lacosamide, The metabolism of Lacosamide can be increased when combined with Mometasone furoate.]
[C03CC01, ethacrynic acid, The risk or severity of hypokalemia can be increased when Mometasone furoate is combined with Etacrynic acid.]
[L01DC03, mitomycin, The risk or severity of adverse effects can be increased when Mitomycin is combined with Mometasone furoate.]
[G03AD01, levonorgestrel, The serum concentration of Mometasone furoate can be increased when it is combined with Levonorgestrel.]
[S02DA01, lidocaine, The metabolism of Lidocaine can be increased when combined with Mometasone furoate.]
[L01AD02, lomustine, The risk or severity of adverse effects can be increased when Lomustine is combined with Mometasone furoate.]
[A07DA03, loperamide, The metabolism of Loperamide can be decreased when combined with Mometasone furoate.]
[C10AA02, lovastatin, The metabolism of Lovastatin can be decreased when combined with Mometasone furoate.]
[G03DC03, lynestrenol, The serum concentration of Mometasone furoate can be increased when it is combined with Lynestrenol.]
[L01EG01, temsirolimus, The metabolism of Temsirolimus can be increased when combined with Mometasone furoate.]
[G04BX01, magnesium hydroxide, The bioavailability of Mometasone furoate can be decreased when combined with Magnesium hydroxide.]
[A12CC10, magnesium oxide, The bioavailability of Mometasone furoate can be decreased when combined with Magnesium oxide.]
[L01BA05, pralatrexate, The risk or severity of adverse effects can be increased when Pralatrexate is combined with Mometasone furoate.]
[L01EA03, nilotinib, The metabolism of Mometasone furoate can be decreased when combined with Nilotinib.]
[L01AA05, mechlorethamine, The therapeutic efficacy of Mechlorethamine can be decreased when used in combination with Mometasone furoate.]
[M02AA18, meclofenamic acid, The risk or severity of gastrointestinal irritation can be increased when Mometasone furoate is combined with Meclofenamic acid.]
[C01AA08, medigoxin, The risk or severity of adverse effects can be increased when Mometasone furoate is combined with Metildigoxin.]
[P01BC02, mefloquine, The therapeutic efficacy of Mefloquine can be decreased when used in combination with Mometasone furoate.]
[L01AA03, melphalan, The risk or severity of adverse effects can be increased when Melphalan is combined with Mometasone furoate.]
[N06DX01, memantine, The therapeutic efficacy of Memantine can be decreased when used in combination with Mometasone furoate.]
[N02AB02, meperidine, The metabolism of Meperidine can be increased when combined with Mometasone furoate.]
[N03AB04, mephenytoin, The metabolism of Mephenytoin can be decreased when combined with Mometasone furoate.]
[L02BG01, aminoglutethimide, The therapeutic efficacy of Mometasone furoate can be decreased when used in combination with Aminoglutethimide.]
[G03BB01, mesterolone, The risk or severity of edema formation can be increased when Mesterolone is combined with Mometasone furoate.]
[N05AX13, paliperidone, The metabolism of Paliperidone can be increased when combined with Mometasone furoate.]
[A10BA02, metformin, The therapeutic efficacy of Metformin can be decreased when used in combination with Mometasone furoate.]
[A14AA04, methenolone, The risk or severity of edema formation can be increased when Metenolone is combined with Mometasone furoate.]
[H03BB02, methimazole, The metabolism of Mometasone furoate can be decreased when combined with Methimazole.]
[L01BA04, pemetrexed, The risk or severity of adverse effects can be increased when Pemetrexed is combined with Mometasone furoate.]
[L04AX03, methotrexate, The metabolism of Methotrexate can be increased when combined with Mometasone furoate.]
[C03AA08, methyclothiazide, The risk or severity of electrolyte imbalance can be increased when Mometasone furoate is combined with Methyclothiazide.]
[R03DA05, aminophylline, The metabolism of Aminophylline can be increased when combined with Mometasone furoate.]
[H02AB04, methylprednisolone, The risk or severity of adverse effects can be increased when Methylprednisolone is combined with Mometasone furoate.]
[G03EK01, methyltestosterone, The risk or severity of edema formation can be increased when Methyltestosterone is combined with Mometasone furoate.]
[N02CA04, methysergide, The metabolism of Methysergide can be increased when combined with Mometasone furoate.]
[A03FA01, metoclopramide, The therapeutic efficacy of Metoclopramide can be decreased when used in combination with Mometasone furoate.]
[C03BA08, metolazone, Mometasone furoate may increase the hypokalemic activities of Metolazone.]
[P01AB01, metronidazole, The metabolism of Metronidazole can be increased when combined with Mometasone furoate.]
[S02AA13, miconazole, The metabolism of Mometasone furoate can be decreased when combined with Miconazole.]
[N02BB03, aminopyrine, The risk or severity of gastrointestinal irritation can be increased when Mometasone furoate is combined with Aminophenazone.]
[N05CD08, midazolam, The metabolism of Midazolam can be increased when combined with Mometasone furoate.]
[G03XB01, mifepristone, The therapeutic efficacy of Mometasone furoate can be decreased when used in combination with Mifepristone.]
[L01XX23, mitotane, The serum concentration of Mometasone furoate can be decreased when it is combined with Mitotane.]
[L01DB07, mitoxantrone, The risk or severity of adverse effects can be increased when Mitoxantrone is combined with Mometasone furoate.]
[L03AC01, aldesleukin, The therapeutic efficacy of Aldesleukin can be decreased when used in combination with Mometasone furoate.]
[C01BD01, amiodarone, The metabolism of Mometasone furoate can be decreased when combined with Amiodarone.]
[N06AA09, amitriptyline, The metabolism of Amitriptyline can be decreased when combined with Mometasone furoate.]
[N02AA01, morphine, The metabolism of Morphine can be decreased when combined with Mometasone furoate.]
