[S02DA03, antipyrine, The metabolism of Antipyrine can be increased when combined with Cyproterone acetate.]
[N04BC04, ropinirole, The metabolism of Ropinirole can be increased when combined with Cyproterone acetate.]
[J01CF06, nafcillin, The metabolism of Cyproterone acetate can be increased when combined with Nafcillin.]
[V03AB15, naloxone, The metabolism of Cyproterone acetate can be decreased when combined with Naloxone.]
[M02AA12, naproxen, The metabolism of Naproxen can be increased when combined with Cyproterone acetate.]
[A10BG01, troglitazone, The therapeutic efficacy of Troglitazone can be decreased when used in combination with Cyproterone acetate.]
[B03XA03, methoxy polyethylene glycol-epoetin beta, The risk or severity of Thrombosis can be increased when Methoxy polyethylene glycol-epoetin beta is combined with Cyproterone acetate.]
[L01CD02, docetaxel, The metabolism of Docetaxel can be decreased when combined with Cyproterone acetate.]
[A10BX02, repaglinide, The therapeutic efficacy of Repaglinide can be decreased when used in combination with Cyproterone acetate.]
[N05AX14, iloperidone, The metabolism of Iloperidone can be decreased when combined with Cyproterone acetate.]
[S01AA19, ampicillin, The therapeutic efficacy of Cyproterone acetate can be decreased when used in combination with Ampicillin.]
[N06AX23, desvenlafaxine, The metabolism of Cyproterone acetate can be decreased when combined with Desvenlafaxine.]
[C08CA04, nicardipine, The metabolism of Cyproterone acetate can be decreased when combined with Nicardipine.]
[C08CA05, nifedipine, The metabolism of Nifedipine can be increased when combined with Cyproterone acetate.]
[N05CD02, nitrazepam, The metabolism of Cyproterone acetate can be increased when combined with Nitrazepam.]
[N05CF03, zaleplon, The metabolism of Cyproterone acetate can be increased when combined with Zaleplon.]
[G03DC02, norethindrone, The metabolism of Norethisterone can be decreased when combined with Cyproterone acetate.]
[C02KX01, bosentan, The serum concentration of Cyproterone acetate can be decreased when it is combined with Bosentan.]
[N06AA10, nortriptyline, The metabolism of Nortriptyline can be decreased when combined with Cyproterone acetate.]
[B01AB08, reviparin, The risk or severity of adverse effects can be increased when Cyproterone acetate is combined with Reviparin.]
[H01CB02, octreotide, The therapeutic efficacy of Cyproterone acetate can be decreased when used in combination with Octreotide.]
[A02BC01, omeprazole, The metabolism of Cyproterone acetate can be increased when combined with Omeprazole.]
[B01AD07, reteplase, The risk or severity of adverse effects can be increased when Cyproterone acetate is combined with Reteplase.]
[B01AD09, ancrod, The risk or severity of adverse effects can be increased when Cyproterone acetate is combined with Ancrod.]
[J01CF04, oxacillin, The therapeutic efficacy of Cyproterone acetate can be decreased when used in combination with Oxacillin.]
[S01AA04, oxytetracycline, The serum concentration of Cyproterone acetate can be decreased when it is combined with Oxytetracycline.]
[N05AH05, asenapine, The metabolism of Asenapine can be increased when combined with Cyproterone acetate.]
[B01AB09, danaparoid, The risk or severity of adverse effects can be increased when Cyproterone acetate is combined with Danaparoid.]
[N05CC05, paraldehyde, The metabolism of Cyproterone acetate can be increased when combined with Paraldehyde.]
[H02AB05, paramethasone, The serum concentration of Paramethasone can be increased when it is combined with Cyproterone acetate.]
[S01AA14, penicillin G, The therapeutic efficacy of Cyproterone acetate can be decreased when used in combination with Benzylpenicillin.]
[J01CE09, penicillin G procaine, The therapeutic efficacy of Cyproterone acetate can be decreased when used in combination with Procaine benzylpenicillin.]
[J01CE02, penicillin V, The therapeutic efficacy of Cyproterone acetate can be decreased when used in combination with Phenoxymethylpenicillin.]
[N05CA01, pentobarbital, The metabolism of Cyproterone acetate can be increased when combined with Pentobarbital.]
[C04AD03, pentoxifylline, The metabolism of Pentoxifylline can be increased when combined with Cyproterone acetate.]
[N05AB03, perphenazine, The metabolism of Perphenazine can be increased when combined with Cyproterone acetate.]
[N02BE03, phenacetin, The metabolism of Phenacetin can be increased when combined with Cyproterone acetate.]
[A10BA01, phenformin, The therapeutic efficacy of Phenformin can be decreased when used in combination with Cyproterone acetate.]
[B01AA02, phenindione, The risk or severity of adverse effects can be increased when Cyproterone acetate is combined with Phenindione.]
[N03AA02, phenobarbital, The metabolism of Cyproterone acetate can be increased when combined with Phenobarbital.]
[B01AA04, phenprocoumon, The risk or severity of adverse effects can be increased when Cyproterone acetate is combined with Phenprocoumon.]
[M02AA01, phenylbutazone, The metabolism of Cyproterone acetate can be increased when combined with Phenylbutazone.]
[N03AB02, phenytoin, The metabolism of Cyproterone acetate can be increased when combined with Phenytoin.]
[L01XF02, alitretinoin, The therapeutic efficacy of Cyproterone acetate can be decreased when used in combination with Alitretinoin.]
[L02BB03, bicalutamide, The metabolism of Bicalutamide can be decreased when combined with Cyproterone acetate.]
[N05AG02, pimozide, The metabolism of Pimozide can be increased when combined with Cyproterone acetate.]
[C10AA05, atorvastatin, The metabolism of Atorvastatin can be decreased when combined with Cyproterone acetate.]
[J01CA12, piperacillin, The therapeutic efficacy of Cyproterone acetate can be decreased when used in combination with Piperacillin.]
[J05AE01, saquinavir, The metabolism of Cyproterone acetate can be decreased when combined with Saquinavir.]
[J01MA11, grepafloxacin, The metabolism of Grepafloxacin can be increased when combined with Cyproterone acetate.]
[J01CA02, pivampicillin, The therapeutic efficacy of Cyproterone acetate can be decreased when used in combination with Pivampicillin.]
[J05AG02, delavirdine, The metabolism of Cyproterone acetate can be decreased when combined with Delavirdine.]
[B01AC13, abciximab, The risk or severity of adverse effects can be increased when Cyproterone acetate is combined with Abciximab.]
[D05AX05, tazarotene, The therapeutic efficacy of Cyproterone acetate can be decreased when used in combination with Tazarotene.]
[S01XA13, alteplase, The risk or severity of adverse effects can be increased when Cyproterone acetate is combined with Alteplase.]
[A10BG02, rosiglitazone, The therapeutic efficacy of Rosiglitazone can be decreased when used in combination with Cyproterone acetate.]
[A03AE01, alosetron, The metabolism of Alosetron can be increased when combined with Cyproterone acetate.]
[J05AE03, ritonavir, The serum concentration of Cyproterone acetate can be decreased when it is combined with Ritonavir.]
[A10BH03, saxagliptin, The therapeutic efficacy of Saxagliptin can be decreased when used in combination with Cyproterone acetate.]
[A10AD04, insulin lispro, The therapeutic efficacy of Insulin lispro can be decreased when used in combination with Cyproterone acetate.]
[P02BA01, praziquantel, The metabolism of Praziquantel can be increased when combined with Cyproterone acetate.]
[S03BA02, prednisolone, The serum concentration of Prednisolone can be increased when it is combined with Cyproterone acetate.]
[H02AB07, prednisone, The serum concentration of Prednisone can be increased when it is combined with Cyproterone acetate.]
[N01BB04, prilocaine, The risk or severity of methemoglobinemia can be increased when Cyproterone acetate is combined with Prilocaine.]
[P01BA03, primaquine, The metabolism of Primaquine can be increased when combined with Cyproterone acetate.]
[N03AA03, primidone, The metabolism of Cyproterone acetate can be increased when combined with Primidone.]
[M04AB01, probenecid, The metabolism of Cyproterone acetate can be increased when combined with Probenecid.]
[S01HA05, procaine, The risk or severity of methemoglobinemia can be increased when Cyproterone acetate is combined with Procaine.]
[C10AB05, fenofibrate, The metabolism of Fenofibrate can be decreased when combined with Cyproterone acetate.]
[N05AA03, promazine, The metabolism of Promazine can be increased when combined with Cyproterone acetate.]
[C01BC03, propafenone, The metabolism of Propafenone can be increased when combined with Cyproterone acetate.]
[L01XH02, romidepsin, The metabolism of Romidepsin can be decreased when combined with Cyproterone acetate.]
[C07AA05, propranolol, The metabolism of Propranolol can be increased when combined with Cyproterone acetate.]
[B01AC09, epoprostenol, The risk or severity of adverse effects can be increased when Cyproterone acetate is combined with Epoprostenol.]
[N05AX12, aripiprazole, The metabolism of Aripiprazole can be decreased when combined with Cyproterone acetate.]
[C01BA01, quinidine, The metabolism of Quinidine can be decreased when combined with Cyproterone acetate.]
[P01BC01, quinine, The metabolism of Quinine can be increased when combined with Cyproterone acetate.]
[A02BA02, ranitidine, The metabolism of Ranitidine can be increased when combined with Cyproterone acetate.]
[J04AB02, rifampin, The metabolism of Cyproterone acetate can be increased when combined with Rifampicin.]
[J01AA09, rolitetracycline, The serum concentration of Cyproterone acetate can be decreased when it is combined with Rolitetracycline.]
[N05CA06, secobarbital, The metabolism of Cyproterone acetate can be increased when combined with Secobarbital.]
[N04BD01, selegiline, The bioavailability of Selegiline can be increased when combined with Cyproterone acetate.]
[L01CD04, cabazitaxel, The metabolism of Cabazitaxel can be decreased when combined with Cyproterone acetate.]
[N03AG01, valproic acid, The metabolism of Cyproterone acetate can be increased when combined with Valproic acid.]
[D07AB02, hydrocortisone butyrate, The serum concentration of Hydrocortisone butyrate can be increased when it is combined with Cyproterone acetate.]
[A05AA02, ursodiol, The therapeutic efficacy of Ursodeoxycholic acid can be decreased when used in combination with Cyproterone acetate.]
