[P02BB01, trichlorfon, The therapeutic efficacy of Tramadol can be decreased when used in combination with Metrifonate.]
[V04CG05, methylene blue, The risk or severity of serotonin syndrome and seizure can be increased when Methylene blue is combined with Tramadol.]
[G02AB01, methylergonovine, The metabolism of Tramadol can be decreased when combined with Methylergometrine.]
[H02AB04, methylprednisolone, The metabolism of Tramadol can be increased when combined with Methylprednisolone.]
[N03AF03, rufinamide, The metabolism of Tramadol can be increased when combined with Rufinamide.]
[G03EK01, methyltestosterone, The metabolism of Methyltestosterone can be decreased when combined with Tramadol.]
[N05CE02, methyprylon, The risk or severity of CNS depression can be increased when Methyprylon is combined with Tramadol.]
[N02CA04, methysergide, The risk or severity of CNS depression can be increased when Methysergide is combined with Tramadol.]
[A03FA01, metoclopramide, The risk or severity of serotonin syndrome can be increased when Metoclopramide is combined with Tramadol.]
[C03BA08, metolazone, Metolazone may increase the excretion rate of Tramadol which could result in a lower serum level and potentially a reduction in efficacy.]
[C07AB02, metoprolol, The metabolism of Tramadol can be decreased when combined with Metoprolol.]
[P01AB01, metronidazole, The metabolism of Tramadol can be decreased when combined with Metronidazole.]
[V04CD01, metyrapone, The metabolism of Tramadol can be decreased when combined with Metyrapone.]
[C01BB02, mexiletine, The metabolism of Mexiletine can be decreased when combined with Tramadol.]
[N06AX03, mianserin, The risk or severity of serotonin syndrome can be increased when Mianserin is combined with Tramadol.]
[S02AA13, miconazole, The metabolism of Tramadol can be decreased when combined with Miconazole.]
[N02BB03, aminopyrine, Aminophenazone may decrease the excretion rate of Tramadol which could result in a higher serum level.]
[N05CD08, midazolam, The metabolism of Tramadol can be decreased when combined with Midazolam.]
[C01CA17, midodrine, The risk or severity of Tachycardia can be increased when Tramadol is combined with Midodrine.]
[G03XB01, mifepristone, The metabolism of Tramadol can be decreased when combined with Mifepristone.]
[A06AA01, mineral oil, The therapeutic efficacy of Mineral oil can be decreased when used in combination with Tramadol.]
[J05AH01, zanamivir, Tramadol may decrease the excretion rate of Zanamivir which could result in a higher serum level.]
[J01AA08, minocycline, Minocycline may increase the central nervous system depressant (CNS depressant) activities of Tramadol.]
[L01XX23, mitotane, The metabolism of Tramadol can be increased when combined with Mitotane.]
[N06BA12, lisdexamfetamine, The risk or severity of serotonin syndrome can be increased when Lisdexamfetamine is combined with Tramadol.]
[N05AE02, molindone, The risk or severity of CNS depression can be increased when Molindone is combined with Tramadol.]
[L03AC01, aldesleukin, The metabolism of Tramadol can be decreased when combined with Aldesleukin.]
[C01BD01, amiodarone, The metabolism of Tramadol can be decreased when combined with Amiodarone.]
[N06AA09, amitriptyline, The risk or severity of serotonin syndrome can be increased when Amitriptyline is combined with Tramadol.]
[N02AA01, morphine, The risk or severity of serotonin syndrome can be increased when Morphine is combined with Tramadol.]
[A04AA05, palonosetron, The risk or severity of serotonin syndrome can be increased when Palonosetron is combined with Tramadol.]
[J01DD06, moxalactam, Latamoxef may decrease the excretion rate of Tramadol which could result in a higher serum level.]
[L04AB05, certolizumab pegol, The metabolism of Tramadol can be increased when combined with Certolizumab pegol.]
[B02BX05, eltrombopag, The metabolism of Tramadol can be decreased when combined with Eltrombopag.]
[G04BA01, ammonium chloride, Tramadol may decrease the excretion rate of Ammonium chloride which could result in a higher serum level.]
[L01EX03, pazopanib, The metabolism of Tramadol can be decreased when combined with Pazopanib.]
[L04AA06, mycophenolic acid, Tramadol may decrease the excretion rate of Mycophenolic acid which could result in a higher serum level.]
[M03AC03, vecuronium, The risk or severity of CNS depression can be increased when Vecuronium is combined with Tramadol.]
[N05CA02, amobarbital, The metabolism of Tramadol can be increased when combined with Amobarbital.]
[P01BA06, amodiaquine, The metabolism of Tramadol can be decreased when combined with Amodiaquine.]
[R03BB01, ipratropium bromide, The risk or severity of adverse effects can be increased when Tramadol is combined with Ipratropium.]
[G03XC01, raloxifene, The metabolism of Tramadol can be decreased when combined with Raloxifene.]
[N06AA17, amoxapine, The risk or severity of serotonin syndrome can be increased when Amoxapine is combined with Tramadol.]
[N03AB05, fosphenytoin, The metabolism of Tramadol can be increased when combined with Fosphenytoin.]
[C07AA12, nadolol, Tramadol may decrease the excretion rate of Nadolol which could result in a higher serum level.]
[J01CA04, amoxicillin, Tramadol may decrease the excretion rate of Amoxicillin which could result in a higher serum level.]
[N04BC04, ropinirole, Tramadol may increase the sedative activities of Ropinirole.]
[J01CF06, nafcillin, The metabolism of Tramadol can be increased when combined with Nafcillin.]
[C04AX21, nafronyl, The risk or severity of CNS depression can be increased when Naftidrofuryl is combined with Tramadol.]
[N02AF02, nalbuphine, The risk or severity of serotonin syndrome can be increased when Nalbuphine is combined with Tramadol.]
[V03AB15, naloxone, The metabolism of Tramadol can be decreased when combined with Naloxone.]
[N07BB04, naltrexone, The risk or severity of serotonin syndrome can be increased when Naltrexone is combined with Tramadol.]
[L04AC03, anakinra, The metabolism of Tramadol can be increased when combined with Anakinra.]
[S01GA01, naphazoline, Naphazoline may increase the central nervous system depressant (CNS depressant) activities of Tramadol.]
[N06BA01, amphetamine, The risk or severity of serotonin syndrome can be increased when Amphetamine is combined with Tramadol.]
[M02AA12, naproxen, Naproxen may decrease the excretion rate of Tramadol which could result in a higher serum level.]
[A10BG01, troglitazone, The metabolism of Tramadol can be increased when combined with Troglitazone.]
[N06AX21, duloxetine, The risk or severity of serotonin syndrome can be increased when Duloxetine is combined with Tramadol.]
[N04BX01, tolcapone, The risk or severity of CNS depression can be increased when Tolcapone is combined with Tramadol.]
[L01CD02, docetaxel, The metabolism of Tramadol can be decreased when combined with Docetaxel.]
[S03AA01, neomycin, Tramadol may decrease the excretion rate of Neomycin which could result in a higher serum level.]
[N01AH06, remifentanil, The risk or severity of serotonin syndrome can be increased when Remifentanil is combined with Tramadol.]
[B01AC17, tirofiban, Tramadol may decrease the excretion rate of Tirofiban which could result in a higher serum level.]
[S01EB06, neostigmine, The therapeutic efficacy of Tramadol can be decreased when used in combination with Neostigmine.]
[N05AX14, iloperidone, The risk or severity of serotonin syndrome can be increased when Iloperidone is combined with Tramadol.]
[J02AA01, amphotericin B, Amphotericin B may decrease the excretion rate of Tramadol which could result in a higher serum level.]
[S01AA19, ampicillin, Tramadol may decrease the excretion rate of Ampicillin which could result in a higher serum level.]
[L03AX16, plerixafor, Tramadol may decrease the excretion rate of Plerixafor which could result in a higher serum level.]
[S01AA23, netilmicin, Tramadol may decrease the excretion rate of Netilmicin which could result in a higher serum level.]
[N06AX23, desvenlafaxine, The risk or severity of serotonin syndrome can be increased when Desvenlafaxine is combined with Tramadol.]
[J05AB11, valacyclovir, Valaciclovir may decrease the excretion rate of Tramadol which could result in a higher serum level.]
[C01CE01, inamrinone, Tramadol may decrease the excretion rate of Amrinone which could result in a higher serum level.]
[C10AD02, niacin, The metabolism of Tramadol can be decreased when combined with Niacin.]
[N06AF02, nialamide, The risk or severity of serotonin syndrome and seizure can be increased when Nialamide is combined with Tramadol.]
[C08CA04, nicardipine, The metabolism of Tramadol can be decreased when combined with Nicardipine.]
[C04AE02, nicergoline, The metabolism of Nicergoline can be decreased when combined with Tramadol.]
[N07BA01, nicotine, The metabolism of Tramadol can be decreased when combined with Nicotine.]
[C08CA05, nifedipine, The metabolism of Tramadol can be increased when combined with Nifedipine.]
[M02AA17, niflumic acid, Niflumic acid may decrease the excretion rate of Tramadol which could result in a higher serum level.]
[C08CA07, nisoldipine, Tramadol may decrease the excretion rate of Nisoldipine which could result in a higher serum level.]
[N05CD02, nitrazepam, The risk or severity of CNS depression can be increased when Nitrazepam is combined with Tramadol.]
[R07AX01, nitric oxide, The metabolism of Tramadol can be decreased when combined with Nitric Oxide.]
[J01XE01, nitrofurantoin, Tramadol may decrease the excretion rate of Nitrofurantoin which could result in a higher serum level.]
[N05CF03, zaleplon, The risk or severity of CNS depression can be increased when Zaleplon is combined with Tramadol.]
[N04BC05, pramipexole, Tramadol may increase the sedative activities of Pramipexole.]
[C02DD01, nitroprusside, Tramadol may decrease the excretion rate of Nitroprusside which could result in a higher serum level.]
[N01AX13, nitrous oxide, The risk or severity of CNS depression can be increased when Nitrous oxide is combined with Tramadol.]
[N06AX04, nomifensine, The risk or severity of CNS depression can be increased when Nomifensine is combined with Tramadol.]
[C01CA03, norepinephrine, The risk or severity of Tachycardia can be increased when Tramadol is combined with Norepinephrine.]
[S01AE02, norfloxacin, The metabolism of Tramadol can be decreased when combined with Norfloxacin.]
[C02KX01, bosentan, The metabolism of Tramadol can be increased when combined with Bosentan.]
[N06AA10, nortriptyline, The risk or severity of serotonin syndrome can be increased when Nortriptyline is combined with Tramadol.]
[R05DA07, noscapine, The metabolism of Tramadol can be decreased when combined with Noscapine.]
[G02CA02, nylidrin, The risk or severity of Tachycardia can be increased when Tramadol is combined with Nylidrin.]
[H01CB02, octreotide, The metabolism of Tramadol can be decreased when combined with Octreotide.]
[J01FA05, oleandomycin, The metabolism of Tramadol can be decreased when combined with Oleandomycin.]
[L04AC04, rilonacept, The metabolism of Tramadol can be increased when combined with Rilonacept.]
[A02BC01, omeprazole, The metabolism of Tramadol can be decreased when combined with Omeprazole.]
[N06AA05, opipramol, The risk or severity of serotonin syndrome can be increased when Opipramol is combined with Tramadol.]
[N02AA02, opium, The risk or severity of serotonin syndrome can be increased when Opium is combined with Tramadol.]
[R03CB03, metaproterenol, The risk or severity of Tachycardia can be increased when Tramadol is combined with Orciprenaline.]
[G04CA02, tamsulosin, Tramadol may decrease the excretion rate of Tamsulosin which could result in a higher serum level.]
[J01CF04, oxacillin, Tramadol may decrease the excretion rate of Oxacillin which could result in a higher serum level.]
[P02BA02, oxamniquine, The metabolism of Tramadol can be decreased when combined with Oxamniquine.]
[N05BA04, oxazepam, The risk or severity of CNS depression can be increased when Oxazepam is combined with Tramadol.]
[C07AA02, oxprenolol, The metabolism of Tramadol can be decreased when combined with Oxprenolol.]
[N02AA05, oxycodone, The risk or severity of serotonin syndrome can be increased when Oxycodone is combined with Tramadol.]
[C01DX03, oxyfedrine, The risk or severity of Tachycardia can be increased when Tramadol is combined with Oxyfedrine.]
[S01GA04, oxymetazoline, The risk or severity of Tachycardia can be increased when Tramadol is combined with Oxymetazoline.]
[A14AA05, oxymetholone, The metabolism of Tramadol can be decreased when combined with Oxymetholone.]
[N02AA11, oxymorphone, The risk or severity of serotonin syndrome can be increased when Oxymorphone is combined with Tramadol.]
[N05AE01, oxypertine, The risk or severity of CNS depression can be increased when Oxypertine is combined with Tramadol.]
[S01BC02, oxyphenbutazone, Oxyphenbutazone may decrease the excretion rate of Tramadol which could result in a higher serum level.]
[A03AB03, oxyphenonium, The risk or severity of adverse effects can be increased when Oxyphenonium is combined with Tramadol.]
[N05AH05, asenapine, The risk or severity of serotonin syndrome can be increased when Asenapine is combined with Tramadol.]
[N02AX06, tapentadol, The risk or severity of serotonin syndrome can be increased when Tapentadol is combined with Tramadol.]
[M03AC01, pancuronium, The risk or severity of CNS depression can be increased when Pancuronium is combined with Tramadol.]
[J04AB30, capreomycin, Tramadol may decrease the excretion rate of Capreomycin which could result in a higher serum level.]
[N05CC05, paraldehyde, The risk or severity of CNS depression can be increased when Paraldehyde is combined with Tramadol.]
[H02AB05, paramethasone, The metabolism of Tramadol can be decreased when combined with Paramethasone.]
[C02KC01, pargyline, The risk or severity of serotonin syndrome and seizure can be increased when Pargyline is combined with Tramadol.]
[A07AA06, paromomycin, Paromomycin may decrease the excretion rate of Tramadol which could result in a higher serum level.]
[G04BD11, fesoterodine, The risk or severity of adverse effects can be increased when Fesoterodine is combined with Tramadol.]
[C07AA23, penbutolol, The risk or severity of CNS depression can be increased when Penbutolol is combined with Tramadol.]
[N05AG03, penfluridol, The risk or severity of CNS depression can be increased when Penfluridol is combined with Tramadol.]
[J01CE09, penicillin G procaine, Tramadol may decrease the excretion rate of Procaine benzylpenicillin which could result in a higher serum level.]
[N02AD01, pentazocine, The risk or severity of serotonin syndrome can be increased when Pentazocine is combined with Tramadol.]
[N05CA01, pentobarbital, The metabolism of Tramadol can be increased when combined with Pentobarbital.]
[L01XX08, pentostatin, Tramadol may decrease the excretion rate of Pentostatin which could result in a higher serum level.]
[C04AD03, pentoxifylline, Tramadol may decrease the excretion rate of Pentoxifylline which could result in a higher serum level.]
[N05AB10, perazine, The risk or severity of CNS depression can be increased when Perazine is combined with Tramadol.]
[N04BC02, pergolide, The risk or severity of serotonin syndrome can be increased when Pergolide is combined with Tramadol.]
[C08EX02, perhexiline, The metabolism of Tramadol can be decreased when combined with Perhexiline.]
[N05AB03, perphenazine, The metabolism of Tramadol can be decreased when combined with Perphenazine.]
[N02BE03, phenacetin, The metabolism of Phenacetin can be decreased when combined with Tramadol.]
[N02AD02, phenazocine, The risk or severity of serotonin syndrome can be increased when Phenazocine is combined with Tramadol.]
[G04BX06, phenazopyridine, Phenazopyridine may decrease the excretion rate of Tramadol which could result in a higher serum level.]
[N06AF03, phenelzine, The risk or severity of serotonin syndrome and seizure can be increased when Phenelzine is combined with Tramadol.]
[A10BA01, phenformin, The metabolism of Phenformin can be decreased when combined with Tramadol.]
[B01AA02, phenindione, The risk or severity of adverse effects can be increased when Tramadol is combined with Phenindione.]
[N03AA02, phenobarbital, The metabolism of Tramadol can be increased when combined with Phenobarbital.]
[A06AB01, oxyphenisatin, The therapeutic efficacy of Oxyphenisatin can be decreased when used in combination with Tramadol.]
[N01AH04, phenoperidine, The risk or severity of serotonin syndrome can be increased when Phenoperidine is combined with Tramadol.]
[B01AA04, phenprocoumon, The risk or severity of adverse effects can be increased when Tramadol is combined with Phenprocoumon.]
[A08AA01, phentermine, The risk or severity of serotonin syndrome can be increased when Phentermine is combined with Tramadol.]
[V03AB36, phentolamine, Tramadol may decrease the excretion rate of Phentolamine which could result in a higher serum level.]
[M02AA01, phenylbutazone, The metabolism of Tramadol can be increased when combined with Phenylbutazone.]
[S01GA05, phenylephrine, The risk or severity of Tachycardia can be increased when Tramadol is combined with Phenylephrine.]
[R01BA01, phenylpropanolamine, The risk or severity of Tachycardia can be increased when Tramadol is combined with Phenylpropanolamine.]
[N03AB02, phenytoin, The metabolism of Tramadol can be increased when combined with Phenytoin.]
[L04AB06, golimumab, The metabolism of Tramadol can be increased when combined with Golimumab.]
[S01AE05, levofloxacin, Tramadol may decrease the excretion rate of Levofloxacin which could result in a higher serum level.]
[V03AB19, physostigmine, The therapeutic efficacy of Tramadol can be decreased when used in combination with Physostigmine.]
[L02BB03, bicalutamide, The metabolism of Tramadol can be decreased when combined with Bicalutamide.]
[B02BA01, vitamin K1, Tramadol may decrease the excretion rate of Phylloquinone which could result in a higher serum level.]
[J05AB12, cidofovir, Cidofovir may decrease the excretion rate of Tramadol which could result in a higher serum level.]
[C08CX01, mibefradil, The metabolism of Tramadol can be decreased when combined with Mibefradil.]
[S01EB01, pilocarpine, The metabolism of Tramadol can be decreased when combined with Pilocarpine.]
[N05AG02, pimozide, The metabolism of Tramadol can be decreased when combined with Pimozide.]
[C07AA03, pindolol, The risk or severity of serotonin syndrome can be increased when Pindolol is combined with Tramadol.]
[J01CA12, piperacillin, Tramadol may decrease the excretion rate of Piperacillin which could result in a higher serum level.]
[J05AE01, saquinavir, The metabolism of Tramadol can be decreased when combined with Saquinavir.]
[P02CB01, piperazine, The metabolism of Piperazine can be decreased when combined with Tramadol.]
[N05AC04, pipothiazine, The metabolism of Tramadol can be decreased when combined with Pipotiazine.]
[N06BX03, piracetam, Tramadol may decrease the excretion rate of Piracetam which could result in a higher serum level.]
[A02BX03, pirenzepine, The risk or severity of adverse effects can be increased when Pirenzepine is combined with Tramadol.]
[N02AC03, pirinitramide, The risk or severity of serotonin syndrome can be increased when Piritramide is combined with Tramadol.]
[S01BC06, piroxicam, Piroxicam may decrease the excretion rate of Tramadol which could result in a higher serum level.]
[J01DD16, cefditoren, Cefditoren may decrease the excretion rate of Tramadol which could result in a higher serum level.]
[N02CX01, pizotyline, The risk or severity of serotonin syndrome can be increased when Pizotifen is combined with Tramadol.]
[J05AG02, delavirdine, The metabolism of Tramadol can be decreased when combined with Delavirdine.]
[C09CA04, irbesartan, The metabolism of Tramadol can be decreased when combined with Irbesartan.]
[N05CA22, proxibarbal, The risk or severity of CNS depression can be increased when Proxibarbal is combined with Tramadol.]
[A10BG02, rosiglitazone, The metabolism of Tramadol can be decreased when combined with Rosiglitazone.]
[A06AD15, polyethylene glycols, The therapeutic efficacy of Polyethylene glycol can be decreased when used in combination with Tramadol.]
[A03AE01, alosetron, The risk or severity of CNS depression can be increased when Alosetron is combined with Tramadol.]
[L04AC08, canakinumab, The metabolism of Tramadol can be increased when combined with Canakinumab.]
[C03AA05, polythiazide, Polythiazide may increase the excretion rate of Tramadol which could result in a lower serum level and potentially a reduction in efficacy.]
[J05AE03, ritonavir, The metabolism of Tramadol can be decreased when combined with Ritonavir.]
[A10BH03, saxagliptin, Tramadol may decrease the excretion rate of Saxagliptin which could result in a higher serum level.]
[B05XA01, potassium chloride, The risk or severity of gastrointestinal ulceration can be increased when Tramadol is combined with Potassium chloride.]
[C07AB01, practolol, The metabolism of Practolol can be decreased when combined with Tramadol.]
[N05BA11, prazepam, The risk or severity of CNS depression can be increased when Prazepam is combined with Tramadol.]
[S03BA02, prednisolone, The metabolism of Tramadol can be increased when combined with Prednisolone.]
[H02AB07, prednisone, Tramadol may decrease the excretion rate of Prednisone which could result in a higher serum level.]
[N01BB04, prilocaine, The risk or severity of CNS depression can be increased when Prilocaine is combined with Tramadol.]
[P01BA03, primaquine, The metabolism of Tramadol can be decreased when combined with Primaquine.]
[N03AA03, primidone, The metabolism of Tramadol can be increased when combined with Primidone.]
[M04AB01, probenecid, The metabolism of Tramadol can be increased when combined with Probenecid.]
[C01BA02, procainamide, The metabolism of Procainamide can be decreased when combined with Tramadol.]
[S01HA05, procaine, The risk or severity of serotonin syndrome can be increased when Procaine is combined with Tramadol.]
[L01XB01, procarbazine, The risk or severity of serotonin syndrome and seizure can be increased when Procarbazine is combined with Tramadol.]
[C10AB05, fenofibrate, Tramadol may decrease the excretion rate of Fenofibrate which could result in a higher serum level.]
[N05AB04, prochlorperazine, The risk or severity of CNS depression can be increased when Prochlorperazine is combined with Tramadol.]
[N04AA04, procyclidine, The risk or severity of adverse effects can be increased when Procyclidine is combined with Tramadol.]
[G03DA04, progesterone, The metabolism of Tramadol can be increased when combined with Progesterone.]
[N05AA03, promazine, The risk or severity of serotonin syndrome can be increased when Promazine is combined with Tramadol.]
[R06AD02, promethazine, The risk or severity of serotonin syndrome can be increased when Promethazine is combined with Tramadol.]
[C01BC03, propafenone, The metabolism of Tramadol can be decreased when combined with Propafenone.]
[N01AX04, propanidid, The risk or severity of CNS depression can be increased when Propanidid is combined with Tramadol.]
[A03AB05, propantheline, The risk or severity of adverse effects can be increased when Propantheline is combined with Tramadol.]
[N05AC01, periciazine, The risk or severity of CNS depression can be increased when Periciazine is combined with Tramadol.]
[N05CM06, propiomazine, The risk or severity of CNS depression can be increased when Propiomazine is combined with Tramadol.]
[L01XH02, romidepsin, The metabolism of Romidepsin can be decreased when combined with Tramadol.]
[N01AX10, propofol, The metabolism of Tramadol can be decreased when combined with Propofol.]
[N02AC04, propoxyphene, The risk or severity of serotonin syndrome can be increased when Dextropropoxyphene is combined with Tramadol.]
[C07AA05, propranolol, The metabolism of Tramadol can be decreased when combined with Propranolol.]
[N02CC04, rizatriptan, The risk or severity of serotonin syndrome can be increased when Rizatriptan is combined with Tramadol.]
[B01AC09, epoprostenol, Tramadol may decrease the excretion rate of Epoprostenol which could result in a higher serum level.]
[N06AA11, protriptyline, The risk or severity of serotonin syndrome can be increased when Protriptyline is combined with Tramadol.]
[R01BA02, pseudoephedrine, The risk or severity of serotonin syndrome can be increased when Pseudoephedrine is combined with Tramadol.]
[N05AX12, aripiprazole, The risk or severity of serotonin syndrome can be increased when Aripiprazole is combined with Tramadol.]
[N07XX07, dalfampridine, The risk or severity of seizure can be increased when Tramadol is combined with Dalfampridine.]
[A03AB15, diphemanil, The risk or severity of adverse effects can be increased when Diphemanil is combined with Tramadol.]
[A03AB09, isopropamide, The risk or severity of adverse effects can be increased when Isopropamide is combined with Tramadol.]
[S01FA03, methscopolamine, The risk or severity of adverse effects can be increased when Methscopolamine is combined with Tramadol.]
[N05CA07, talbutal, The risk or severity of CNS depression can be increased when Talbutal is combined with Tramadol.]
[N05CA09, vinbarbital, The risk or severity of CNS depression can be increased when Vinbarbital is combined with Tramadol.]
[N05BB02, captodiamine, The risk or severity of CNS depression can be increased when Captodiame is combined with Tramadol.]
[M03BA04, styramate, The risk or severity of CNS depression can be increased when Styramate is combined with Tramadol.]
[P02CC01, pyrantel, The risk or severity of CNS depression can be increased when Pyrantel is combined with Tramadol.]
[J04AK01, pyrazinamide, Tramadol may decrease the excretion rate of Pyrazinamide which could result in a higher serum level.]
[N07AA02, pyridostigmine, The therapeutic efficacy of Tramadol can be decreased when used in combination with Pyridostigmine.]
[R06AC01, pyrilamine, The metabolism of Tramadol can be decreased when combined with Mepyramine.]
[C01BA01, quinidine, The metabolism of Tramadol can be decreased when combined with Quinidine.]
[P01BC01, quinine, The metabolism of Tramadol can be decreased when combined with Quinine.]
[A02BA02, ranitidine, The metabolism of Tramadol can be decreased when combined with Ranitidine.]
[C02AA02, reserpine, The risk or severity of CNS depression can be increased when Reserpine is combined with Tramadol.]
[J05AP01, ribavirin, Tramadol may decrease the excretion rate of Ribavirin which could result in a higher serum level.]
[J04AB02, rifampin, The metabolism of Tramadol can be increased when combined with Rifampicin.]
[R03AC05, rimiterol, The risk or severity of Tachycardia can be increased when Tramadol is combined with Rimiterol.]
[G02CA01, ritodrine, The risk or severity of Tachycardia can be increased when Tramadol is combined with Ritodrine.]
[N06AX01, 5-hydroxytryptophan, The risk or severity of CNS depression can be increased when Oxitriptan is combined with Tramadol.]
[J01FA06, roxithromycin, The metabolism of Tramadol can be decreased when combined with Roxithromycin.]
[C05CA01, rutin, The metabolism of Tramadol can be decreased when combined with Rutin.]
[N02BA05, salicylamide, Salicylamide may decrease the excretion rate of Tramadol which could result in a higher serum level.]
[A07EC01, sulfasalazine, Sulfasalazine may decrease the excretion rate of Tramadol which could result in a higher serum level.]
[S01BC08, salicylic acid, Salicylic acid may decrease the excretion rate of Tramadol which could result in a higher serum level.]
[S01FA02, scopolamine, The risk or severity of CNS depression can be increased when Scopolamine is combined with Tramadol.]
[N05CA06, secobarbital, The metabolism of Tramadol can be increased when combined with Secobarbital.]
[V04CK01, secretin, The therapeutic efficacy of Secretin porcine can be decreased when used in combination with Tramadol.]
[N04BD01, selegiline, The risk or severity of serotonin syndrome and seizure can be increased when Selegiline is combined with Tramadol.]
[J01GB08, sisomicin, Tramadol may decrease the excretion rate of Sisomicin which could result in a higher serum level.]
[A12CD01, sodium fluoride, Tramadol may decrease the excretion rate of Sodium fluoride which could result in a higher serum level.]
[H01CB01, somatostatin, The metabolism of Tramadol can be decreased when combined with Somatostatin.]
[V04CC01, sorbitol, The therapeutic efficacy of Sorbitol can be decreased when used in combination with Tramadol.]
[C07AA07, sotalol, The metabolism of Sotalol can be decreased when combined with Tramadol.]
[C03DA01, spironolactone, Spironolactone may increase the excretion rate of Tramadol which could result in a lower serum level and potentially a reduction in efficacy.]
[D07AB02, hydrocortisone butyrate, The metabolism of Tramadol can be increased when combined with Hydrocortisone butyrate.]
[S02DA03, antipyrine, The risk or severity of adverse effects can be increased when Acetaminophen is combined with Antipyrine.]
[G03XB02, ulipristal, The metabolism of Ulipristal can be increased when combined with Acetaminophen.]
[J01GA01, streptomycin, Acetaminophen may decrease the excretion rate of Streptomycin which could result in a higher serum level.]
[L01AD04, streptozocin, Streptozocin may increase the hepatotoxic activities of Acetaminophen.]
[L04AA27, fingolimod, Fingolimod may increase the hepatotoxic activities of Acetaminophen.]
[A02BX02, sucralfate, Acetaminophen may decrease the excretion rate of Sucralfate which could result in a higher serum level.]
[J01CG01, sulbactam, Acetaminophen may decrease the excretion rate of Sulbactam which could result in a higher serum level.]
[J01EC02, sulfadiazine, The risk or severity of methemoglobinemia can be increased when Acetaminophen is combined with Sulfadiazine.]
[J01EC01, sulfamethoxazole, The risk or severity of methemoglobinemia can be increased when Acetaminophen is combined with Sulfamethoxazole.]
[J01EB04, sulfapyridine, The risk or severity of methemoglobinemia can be increased when Acetaminophen is combined with Sulfapyridine.]
[M01AB02, sulindac, The risk or severity of adverse effects can be increased when Acetaminophen is combined with Sulindac.]
[M01AX04, apazone, The risk or severity of adverse effects can be increased when Acetaminophen is combined with Azapropazone.]
[N06DA01, tacrine, The metabolism of Tacrine can be decreased when combined with Acetaminophen.]
[L02BA01, tamoxifen, Tamoxifen may increase the hepatotoxic activities of Acetaminophen.]
[N05CD07, temazepam, Temazepam may decrease the excretion rate of Acetaminophen which could result in a higher serum level.]
[L01CB02, teniposide, The metabolism of Teniposide can be increased when combined with Acetaminophen.]
[R03CC03, terbutaline, Acetaminophen may decrease the excretion rate of Terbutaline which could result in a higher serum level.]
[B01AE07, dabigatran etexilate, Acetaminophen may decrease the excretion rate of Dabigatran etexilate which could result in a higher serum level.]
[G03BA03, testosterone, Acetaminophen may decrease the excretion rate of Testosterone which could result in a higher serum level.]
[N07XX06, tetrabenazine, The metabolism of Tetrabenazine can be decreased when combined with Acetaminophen.]
[S01HA03, tetracaine, The risk or severity of methemoglobinemia can be increased when Acetaminophen is combined with Tetracaine.]
[S03AA02, tetracycline, Acetaminophen may decrease the excretion rate of Tetracycline which could result in a higher serum level.]
[J01DI02, ceftaroline fosamil, Ceftaroline fosamil may decrease the excretion rate of Acetaminophen which could result in a higher serum level.]
[A04AD10, dronabinol, The serum concentration of Dronabinol can be increased when it is combined with Acetaminophen.]
[R03DA07, theobromine, Theobromine may increase the excretion rate of Acetaminophen which could result in a lower serum level and potentially a reduction in efficacy.]
[R03DA04, theophylline, Theophylline may increase the hepatotoxic activities of Acetaminophen.]
[P02CA02, thiabendazole, The metabolism of Acetaminophen can be decreased when combined with Thiabendazole.]
[R06AD03, thiethylperazine, Acetaminophen may decrease the excretion rate of Thiethylperazine which could result in a higher serum level.]
[L01AC01, thiotepa, The metabolism of Thiotepa can be increased when combined with Acetaminophen.]
[N05CA19, thiopental, The metabolism of Acetaminophen can be increased when combined with Thiopental.]
[N05AC02, thioridazine, Thioridazine may increase the hepatotoxic activities of Acetaminophen.]
[N05AF04, thiothixene, The metabolism of Thiothixene can be decreased when combined with Acetaminophen.]
[C01BB04, aprindine, The metabolism of Aprindine can be decreased when combined with Acetaminophen.]
[G04BE06, moxisylyte, Acetaminophen may decrease the excretion rate of Moxisylyte which could result in a higher serum level.]
[N05AL03, tiapride, Acetaminophen may decrease the excretion rate of Tiapride which could result in a higher serum level.]
[B01AC05, ticlopidine, Ticlopidine may increase the hepatotoxic activities of Acetaminophen.]
[S01ED01, timolol, Acetaminophen may decrease the excretion rate of Timolol which could result in a higher serum level.]
[P01AB02, tinidazole, Acetaminophen may decrease the excretion rate of Tinidazole which could result in a higher serum level.]
[S01AA12, tobramycin, Acetaminophen may decrease the excretion rate of Tobramycin which could result in a higher serum level.]
[A10BB05, tolazamide, Acetaminophen may decrease the excretion rate of Tolazamide which could result in a higher serum level.]
[V04CA01, tolbutamide, Acetaminophen may decrease the excretion rate of Tolbutamide which could result in a higher serum level.]
[M02AA21, tolmetin, The risk or severity of adverse effects can be increased when Acetaminophen is combined with Tolmetin.]
[N06AF04, tranylcypromine, The metabolism of Acetaminophen can be decreased when combined with Tranylcypromine.]
[N06AX05, trazodone, The metabolism of Acetaminophen can be decreased when combined with Trazodone.]
[L01XF01, tretinoin, The metabolism of Tretinoin can be decreased when combined with Acetaminophen.]
[C03DB02, triamterene, Triamterene may increase the excretion rate of Acetaminophen which could result in a lower serum level and potentially a reduction in efficacy.]
