[S02DA03, antipyrine, The risk or severity of bleeding can be increased when Antipyrine is combined with Pentoxifylline.]
[N03AG05, progabide, Progabide may increase the excretion rate of Pentoxifylline which could result in a lower serum level and potentially a reduction in efficacy.]
[N06BC02, propentofylline, The serum concentration of Propentofylline can be increased when it is combined with Pentoxifylline.]
[N02BB04, propyphenazone, The risk or severity of bleeding can be increased when Propyphenazone is combined with Pentoxifylline.]
[M01AB14, proglumetacin, The risk or severity of bleeding can be increased when Proglumetacin is combined with Pentoxifylline.]
[R03DA03, proxyphylline, The serum concentration of Proxyphylline can be increased when it is combined with Pentoxifylline.]
[N05CD10, quazepam, The therapeutic efficacy of Quazepam can be decreased when used in combination with Pentoxifylline.]
[C09AA06, quinapril, Pentoxifylline may increase the hypotensive activities of Quinapril.]
[B01AC07, dipyridamole, The therapeutic efficacy of Dipyridamole can be increased when used in combination with Pentoxifylline.]
[B01AD10, drotrecogin alfa, The therapeutic efficacy of Drotrecogin alfa can be increased when used in combination with Pentoxifylline.]
[C09AA05, ramipril, Pentoxifylline may increase the hypotensive activities of Ramipril.]
[S01XA23, sirolimus, The metabolism of Pentoxifylline can be decreased when combined with Sirolimus.]
[S01AX06, resorcinol, Pentoxifylline may decrease the excretion rate of Resorcinol which could result in a higher serum level.]
[C01BA03, disopyramide, The metabolism of Pentoxifylline can be decreased when combined with Disopyramide.]
[P03AA04, disulfiram, The serum concentration of Pentoxifylline can be increased when it is combined with Disulfiram.]
[S02AA12, rifamycin SV, The metabolism of Pentoxifylline can be decreased when combined with Rifamycin.]
[N07XX02, riluzole, Riluzole may increase the excretion rate of Pentoxifylline which could result in a lower serum level and potentially a reduction in efficacy.]
[R06AE09, levocetirizine, Pentoxifylline may decrease the excretion rate of Levocetirizine which could result in a higher serum level.]
[N01BB09, ropivacaine, The metabolism of Pentoxifylline can be decreased when combined with Ropivacaine.]
[J01MB01, rosoxacin, The metabolism of Pentoxifylline can be decreased when combined with Rosoxacin.]
[C03XA01, tolvaptan, Tolvaptan may increase the excretion rate of Pentoxifylline which could result in a lower serum level and potentially a reduction in efficacy.]
[L01XG01, bortezomib, The metabolism of Pentoxifylline can be decreased when combined with Bortezomib.]
[G04BE08, tadalafil, Pentoxifylline may increase the hypotensive activities of Tadalafil.]
[S01BC05, ketorolac, The risk or severity of bleeding can be increased when Ketorolac is combined with Pentoxifylline.]
[C02KX02, ambrisentan, Pentoxifylline may increase the hypotensive activities of Ambrisentan.]
[C01EB18, ranolazine, Ranolazine may decrease the excretion rate of Pentoxifylline which could result in a higher serum level.]
[N02BA06, salsalate, The risk or severity of bleeding can be increased when Salsalate is combined with Pentoxifylline.]
[R03AC12, salmeterol, The risk or severity of hypokalemia can be increased when Pentoxifylline is combined with Salmeterol.]
[H05BA01, salmon calcitonin, Salmon calcitonin may decrease the excretion rate of Pentoxifylline which could result in a higher serum level.]
[C01CA07, dobutamine, The risk or severity of adverse effects can be increased when Dobutamine is combined with Pentoxifylline.]
[A03FA03, domperidone, The metabolism of Domperidone can be decreased when combined with Pentoxifylline.]
[C01CA04, dopamine, The risk or severity of adverse effects can be increased when Dopamine is combined with Pentoxifylline.]
[N06AA16, dothiepin, The metabolism of Pentoxifylline can be decreased when combined with Dosulepin.]
[N06AA12, doxepin, The metabolism of Doxepin can be decreased when combined with Pentoxifylline.]
[L01DB01, doxorubicin, The risk or severity of bleeding can be increased when Pentoxifylline is combined with Doxorubicin.]
[J01AA02, doxycycline, Doxycycline may decrease the excretion rate of Pentoxifylline which could result in a higher serum level.]
[N06AB06, sertraline, The risk or severity of bleeding can be increased when Sertraline is combined with Pentoxifylline.]
[A08AA10, sibutramine, The risk or severity of hemorrhage can be increased when Sibutramine is combined with Pentoxifylline.]
[A12CA02, sodium sulfate, Pentoxifylline may decrease the excretion rate of Sodium sulfate which could result in a higher serum level.]
[C09AA11, spirapril, Pentoxifylline may increase the hypotensive activities of Spirapril.]
[R03DA01, dyphylline, The serum concentration of Dyphylline can be increased when it is combined with Pentoxifylline.]
[N02CC01, sumatriptan, Sumatriptan may decrease the excretion rate of Pentoxifylline which could result in a higher serum level.]
[V04CX07, edrophonium, Pentoxifylline may decrease the excretion rate of Edrophonium which could result in a higher serum level.]
[C07AB13, talinolol, Pentoxifylline may increase the hypotensive activities of Talinolol.]
[J01MA05, temafloxacin, The metabolism of Pentoxifylline can be decreased when combined with Temafloxacin.]
[L01AX03, temozolomide, The risk or severity of bleeding can be increased when Pentoxifylline is combined with Temozolomide.]
[M01AC02, tenoxicam, The risk or severity of bleeding can be increased when Tenoxicam is combined with Pentoxifylline.]
[G04CA03, terazosin, Pentoxifylline may increase the hypotensive activities of Terazosin.]
[D01BA02, terbinafine, The metabolism of Terbinafine can be decreased when combined with Pentoxifylline.]
[C07AA16, tertatolol, The risk or severity of adverse effects can be increased when Tertatolol is combined with Pentoxifylline.]
[S01GA02, tetrahydrozoline, The risk or severity of adverse effects can be increased when Tetryzoline is combined with Pentoxifylline.]
[C09AA02, enalapril, Pentoxifylline may increase the hypotensive activities of Enalapril.]
[M01AG02, tolfenamic acid, The risk or severity of bleeding can be increased when Tolfenamic acid is combined with Pentoxifylline.]
[N06AG03, toloxatone, The risk or severity of bleeding and hemorrhage can be increased when Toloxatone is combined with Pentoxifylline.]
[N06BA09, atomoxetine, Atomoxetine may decrease the excretion rate of Pentoxifylline which could result in a higher serum level.]
[N03AX11, topiramate, Topiramate may increase the excretion rate of Pentoxifylline which could result in a lower serum level and potentially a reduction in efficacy.]
[C03CA04, torsemide, Pentoxifylline may increase the hypotensive activities of Torasemide.]
[R01AA09, tramazoline, The risk or severity of adverse effects can be increased when Tramazoline is combined with Pentoxifylline.]
[C09AA10, trandolapril, Pentoxifylline may increase the hypotensive activities of Trandolapril.]
[N05CD11, triazulenone, The therapeutic efficacy of Loprazolam can be decreased when used in combination with Pentoxifylline.]
[N05CC01, chloral hydrate, Pentoxifylline may decrease the excretion rate of Chloral hydrate which could result in a higher serum level.]
[B01AC18, triflusal, The therapeutic efficacy of Triflusal can be increased when used in combination with Pentoxifylline.]
[C05CA04, troxerutin, The therapeutic efficacy of Troxerutin can be increased when used in combination with Pentoxifylline.]
[C02CA06, urapidil, Pentoxifylline may increase the hypotensive activities of Urapidil.]
[J01MA04, enoxacin, The serum concentration of Pentoxifylline can be increased when it is combined with Enoxacin.]
[L01CA04, vinorelbine, The risk or severity of bleeding can be increased when Pentoxifylline is combined with Vinorelbine.]
[S01FB02, ephedrine, The risk or severity of adverse effects can be increased when Ephedrine is combined with Pentoxifylline.]
[N06AX16, venlafaxine, The risk or severity of bleeding can be increased when Pentoxifylline is combined with Venlafaxine.]
[S01EA01, epinephrine, The risk or severity of adverse effects can be increased when Epinephrine is combined with Pentoxifylline.]
[L01DB03, epirubicin, The risk or severity of bleeding can be increased when Pentoxifylline is combined with Epirubicin.]
[C09AA15, zofenopril, Pentoxifylline may increase the hypotensive activities of Zofenopril.]
[N05CF02, zolpidem, The metabolism of Pentoxifylline can be decreased when combined with Zolpidem.]
[M01AB04, zomepirac, The risk or severity of bleeding can be increased when Zomepirac is combined with Pentoxifylline.]
[N03AX15, zonisamide, Zonisamide may increase the excretion rate of Pentoxifylline which could result in a lower serum level and potentially a reduction in efficacy.]
[A10AB06, insulin glulisine, human, The risk or severity of hypoglycemia can be increased when Pentoxifylline is combined with Insulin glulisine.]
[N05AX11, zotepine, The metabolism of Zotepine can be decreased when combined with Pentoxifylline.]
[B01AD03, anistreplase, The therapeutic efficacy of Anistreplase can be increased when used in combination with Pentoxifylline.]
[L01XA02, carboplatin, The risk or severity of bleeding can be increased when Pentoxifylline is combined with Carboplatin.]
[C02AC02, guanfacine, Pentoxifylline may increase the hypotensive activities of Guanfacine.]
[B01AC11, iloprost, Pentoxifylline may increase the antiplatelet activities of Iloprost.]
[N03AG01, valproic acid, Valproic acid may increase the excretion rate of Pentoxifylline which could result in a lower serum level and potentially a reduction in efficacy.]
[L03AX05, pidotimod, Pentoxifylline may decrease the excretion rate of Pidotimod which could result in a higher serum level.]
[S01AA17, erythromycin, The metabolism of Pentoxifylline can be decreased when combined with Erythromycin.]
[N05CD04, estazolam, The therapeutic efficacy of Estazolam can be decreased when used in combination with Pentoxifylline.]
[A02BC02, pantoprazole, Pantoprazole may decrease the excretion rate of Pentoxifylline which could result in a higher serum level.]
[H05BX01, cinacalcet, The metabolism of Cinacalcet can be decreased when combined with Pentoxifylline.]
[G03CA03, estradiol, The metabolism of Pentoxifylline can be decreased when combined with Estradiol.]
[G03CA57, estrogens, conjugated (USP), The metabolism of Pentoxifylline can be decreased when combined with Conjugated estrogens.]
[J04AK02, ethambutol, Ethambutol may decrease the excretion rate of Pentoxifylline which could result in a higher serum level.]
[V08CA03, gadodiamide, Gadodiamide may decrease the excretion rate of Pentoxifylline which could result in a higher serum level.]
[C01CA15, gepefrine, The risk or severity of adverse effects can be increased when Gepefrine is combined with Pentoxifylline.]
[L02AA03, ethinyl estradiol, The metabolism of Ethinylestradiol can be decreased when combined with Pentoxifylline.]
[C01BD05, ibutilide, Ibutilide may decrease the excretion rate of Pentoxifylline which could result in a higher serum level.]
[N03AD01, ethosuximide, Ethosuximide may increase the excretion rate of Pentoxifylline which could result in a lower serum level and potentially a reduction in efficacy.]
[N03AB01, ethotoin, Ethotoin may increase the excretion rate of Pentoxifylline which could result in a lower serum level and potentially a reduction in efficacy.]
[M01AC06, meloxicam, The risk or severity of bleeding can be increased when Meloxicam is combined with Pentoxifylline.]
[C01CA01, etilefrine, The risk or severity of adverse effects can be increased when Etilefrine is combined with Pentoxifylline.]
[N01AX07, etomidate, Etomidate may decrease the excretion rate of Pentoxifylline which could result in a higher serum level.]
[L01CB01, etoposide, The metabolism of Pentoxifylline can be decreased when combined with Etoposide.]
[L04AD02, tacrolimus, The risk or severity of bleeding can be increased when Pentoxifylline is combined with Tacrolimus.]
[J01MA08, fleroxacin, The metabolism of Pentoxifylline can be decreased when combined with Fleroxacin.]
[P01AX07, trimetrexate, Pentoxifylline may decrease the excretion rate of Trimetrexate which could result in a higher serum level.]
[N06AX12, bupropion, Pentoxifylline may decrease the excretion rate of Bupropion which could result in a higher serum level.]
[N06AB08, fluvoxamine, The metabolism of Pentoxifylline can be decreased when combined with Fluvoxamine.]
[C01BB03, tocainide, The metabolism of Tocainide can be decreased when combined with Pentoxifylline.]
[L02AE02, leuprolide, Leuprolide may decrease the excretion rate of Pentoxifylline which could result in a higher serum level.]
[M01CB01, gold sodium thiomalate, Pentoxifylline may decrease the excretion rate of Sodium aurothiomalate which could result in a higher serum level.]
[A05AA01, chenodeoxycholic acid, The risk or severity of adverse effects can be increased when Pentoxifylline is combined with Chenodeoxycholic acid.]
[D11AX24, deoxycholic acid, The risk or severity of adverse effects can be increased when Pentoxifylline is combined with Deoxycholic acid.]
[B05AA05, dextran, The therapeutic efficacy of Dextran can be increased when used in combination with Pentoxifylline.]
[V03AF02, dexrazoxane, The risk or severity of bleeding can be increased when Pentoxifylline is combined with Dexrazoxane.]
[A02BA03, famotidine, The metabolism of Pentoxifylline can be decreased when combined with Famotidine.]
[A16AA01, levocarnitine, Levocarnitine may decrease the excretion rate of Pentoxifylline which could result in a higher serum level.]
[P02CA03, albendazole, The metabolism of Pentoxifylline can be increased when combined with Albendazole.]
[C08CA02, felodipine, Pentoxifylline may increase the hypotensive activities of Felodipine.]
[N03AX26, fenfluramine, Fenfluramine may increase the excretion rate of Pentoxifylline which could result in a lower serum level and potentially a reduction in efficacy.]
[M01AE04, fenoprofen, The risk or severity of bleeding can be increased when Fenoprofen is combined with Pentoxifylline.]
[R03CC04, fenoterol, The risk or severity of adverse effects can be increased when Fenoterol is combined with Pentoxifylline.]
[N02AB03, fentanyl, Pentoxifylline may decrease the excretion rate of Fentanyl which could result in a higher serum level.]
[R03CC02, albuterol, Pentoxifylline may decrease the excretion rate of Salbutamol which could result in a higher serum level.]
[L03AB02, interferon-beta, The metabolism of Pentoxifylline can be decreased when combined with Human interferon beta.]
[B01AD05, plasmin, The therapeutic efficacy of Fibrinolysin can be increased when used in combination with Pentoxifylline.]
[L01BB06, clofarabine, The risk or severity of bleeding can be increased when Pentoxifylline is combined with Clofarabine.]
[L04AA40, cladribine, The risk or severity of bleeding can be increased when Pentoxifylline is combined with Cladribine.]
[N07AX03, cevimeline, Cevimeline may decrease the excretion rate of Pentoxifylline which could result in a higher serum level.]
[G04BD02, flavoxate, Pentoxifylline may decrease the excretion rate of Flavoxate which could result in a higher serum level.]
[C01BC04, flecainide, The metabolism of Flecainide can be decreased when combined with Pentoxifylline.]
[N02BG04, floctafenine, The risk or severity of bleeding can be increased when Floctafenine is combined with Pentoxifylline.]
[J02AC01, fluconazole, Fluconazole may decrease the excretion rate of Pentoxifylline which could result in a higher serum level.]
[J02AX01, flucytosine, The risk or severity of bleeding can be increased when Pentoxifylline is combined with Flucytosine.]
[V03AB25, flumazenil, Pentoxifylline may decrease the excretion rate of Flumazenil which could result in a higher serum level.]
[N07CA03, flunarizine, Flunarizine may increase the excretion rate of Pentoxifylline which could result in a lower serum level and potentially a reduction in efficacy.]
[N05CD03, flunitrazepam, The therapeutic efficacy of Flunitrazepam can be decreased when used in combination with Pentoxifylline.]
[V03AZ01, ethanol, The metabolism of Ethanol can be decreased when combined with Pentoxifylline.]
[L01BC09, floxuridine, The risk or severity of bleeding can be increased when Pentoxifylline is combined with Floxuridine.]
[L01BC02, fluorouracil, The metabolism of Pentoxifylline can be decreased when combined with Fluorouracil.]
[N06AB03, fluoxetine, The risk or severity of hemorrhage can be increased when Fluoxetine is combined with Pentoxifylline.]
[N05CD01, flurazepam, The therapeutic efficacy of Flurazepam can be decreased when used in combination with Pentoxifylline.]
[S01BC04, flurbiprofen, The risk or severity of bleeding can be increased when Flurbiprofen is combined with Pentoxifylline.]
[L02BB01, flutamide, The metabolism of Pentoxifylline can be decreased when combined with Flutamide.]
[V04CX02, folic acid, Folic acid may decrease the excretion rate of Pentoxifylline which could result in a higher serum level.]
[S02AA17, fosfomycin, Pentoxifylline may decrease the excretion rate of Fosfomycin which could result in a higher serum level.]
[S01AA07, framycetin, Framycetin may decrease the excretion rate of Pentoxifylline which could result in a higher serum level.]
[L01BC03, tegafur, The metabolism of Tegafur can be decreased when combined with Pentoxifylline.]
[G01AX06, furazolidone, The risk or severity of bleeding and hemorrhage can be increased when Furazolidone is combined with Pentoxifylline.]
[C03CA01, furosemide, Pentoxifylline may increase the hypotensive activities of Furosemide.]
[N05CF04, eszopiclone, Eszopiclone may decrease the excretion rate of Pentoxifylline which could result in a higher serum level.]
[S01AD09, ganciclovir, Pentoxifylline may decrease the excretion rate of Ganciclovir which could result in a higher serum level.]
[N03AA04, barbexaclone, The serum concentration of Pentoxifylline can be decreased when it is combined with Barbexaclone.]
[C10AB04, gemfibrozil, The metabolism of Pentoxifylline can be decreased when combined with Gemfibrozil.]
[J01XA03, telavancin, Pentoxifylline may decrease the excretion rate of Telavancin which could result in a higher serum level.]
[L01EA02, dasatinib, Dasatinib may increase the anticoagulant activities of Pentoxifylline.]
[C01CA21, cafedrine, The serum concentration of Cafedrine can be increased when it is combined with Pentoxifylline.]
[N03AD03, methsuximide, Methsuximide may increase the excretion rate of Pentoxifylline which could result in a lower serum level and potentially a reduction in efficacy.]
[A10BB07, glipizide, Pentoxifylline may decrease the excretion rate of Glipizide which could result in a higher serum level.]
[M01AX05, glucosamine, Glucosamine may increase the antiplatelet activities of Pentoxifylline.]
[N05CM18, dexmedetomidine, The metabolism of Pentoxifylline can be decreased when combined with Dexmedetomidine.]
[C05AE01, nitroglycerin, Pentoxifylline may increase the hypotensive activities of Nitroglycerin.]
[C02CA04, doxazosin, Pentoxifylline may increase the hypotensive activities of Doxazosin.]
[H01AB01, thyrotropin alfa, Thyrotropin alfa may increase the excretion rate of Pentoxifylline which could result in a lower serum level and potentially a reduction in efficacy.]
[L01EX02, sorafenib, The metabolism of Pentoxifylline can be decreased when combined with Sorafenib.]
[C07AB09, esmolol, Pentoxifylline may increase the hypotensive activities of Esmolol.]
[M01CB04, aurothioglucose, Pentoxifylline may decrease the excretion rate of Aurothioglucose which could result in a higher serum level.]
[S01LA03, pegaptanib, Pentoxifylline may decrease the excretion rate of Pegaptanib which could result in a higher serum level.]
[B01AA12, fluindione, The therapeutic efficacy of Fluindione can be increased when used in combination with Pentoxifylline.]
[C09AA09, fosinopril, Pentoxifylline may increase the hypotensive activities of Fosinopril.]
[S01EX01, guanethidine, Pentoxifylline may increase the hypotensive activities of Guanethidine.]
[L02AE03, goserelin, Goserelin may decrease the excretion rate of Pentoxifylline which could result in a higher serum level.]
[N05AD01, haloperidol, The metabolism of Pentoxifylline can be decreased when combined with Haloperidol.]
[N05AH04, quetiapine, Pentoxifylline may decrease the excretion rate of Quetiapine which could result in a higher serum level.]
[N06BX13, idebenone, Pentoxifylline may decrease the excretion rate of Idebenone which could result in a higher serum level.]
[A10AD05, insulin aspart, human, The risk or severity of hypoglycemia can be increased when Pentoxifylline is combined with Insulin aspart.]
[L01CE02, irinotecan, The risk or severity of bleeding can be increased when Pentoxifylline is combined with Irinotecan.]
[M04AA01, allopurinol, The serum concentration of Pentoxifylline can be increased when it is combined with Allopurinol.]
[C09CA01, losartan, Pentoxifylline may increase the hypotensive activities of Losartan.]
[S01XA14, heparin, The therapeutic efficacy of Heparin can be increased when used in combination with Pentoxifylline.]
[G03DC01, allylestrenol, Pentoxifylline may decrease the excretion rate of Allylestrenol which could result in a higher serum level.]
[A07EC02, mesalamine, The risk or severity of bleeding can be increased when Mesalazine is combined with Pentoxifylline.]
[C01CE02, milrinone, Milrinone may decrease the excretion rate of Pentoxifylline which could result in a higher serum level.]
[L01XX03, altretamine, The risk or severity of bleeding can be increased when Pentoxifylline is combined with Altretamine.]
[N05CA16, hexobarbital, The serum concentration of Pentoxifylline can be decreased when it is combined with Hexobarbital.]
[R03CC05, hexoprenaline, The risk or severity of hypokalemia can be increased when Pentoxifylline is combined with Hexoprenaline.]
[J05AG01, nevirapine, The metabolism of Pentoxifylline can be decreased when combined with Nevirapine.]
[C08CA10, nilvadipine, Pentoxifylline may increase the hypotensive activities of Nilvadipine.]
[M02AA26, nimesulide, Pentoxifylline may increase the antiplatelet activities of Nimesulide.]
[C09AA04, perindopril, Pentoxifylline may increase the hypotensive activities of Perindopril.]
[C02DB02, hydralazine, Pentoxifylline may increase the hypotensive activities of Hydralazine.]
[C03AA03, hydrochlorothiazide, Pentoxifylline may increase the hypotensive activities of Hydrochlorothiazide.]
[C03AA02, hydroflumethiazide, Pentoxifylline may increase the hypotensive activities of Hydroflumethiazide.]
[B05XA17, potassium acetate, Pentoxifylline may decrease the excretion rate of Potassium acetate which could result in a higher serum level.]
[A12BA02, potassium citrate, Potassium citrate may increase the excretion rate of Pentoxifylline which could result in a lower serum level and potentially a reduction in efficacy.]
[V03AB33, hydroxocobalamin, Hydroxocobalamin may decrease the excretion rate of Pentoxifylline which could result in a higher serum level.]
[G04BD06, propiverine, Pentoxifylline may decrease the excretion rate of Propiverine which could result in a higher serum level.]
[B05AA07, hetastarch, Pentoxifylline may decrease the excretion rate of Hydroxyethyl Starch which could result in a higher serum level.]
[L01XX05, hydroxyurea, The risk or severity of bleeding can be increased when Pentoxifylline is combined with Hydroxyurea.]
[C02AC06, rilmenidine, Pentoxifylline may increase the hypotensive activities of Rilmenidine.]
[R02AX02, ibuprofen, The risk or severity of bleeding can be increased when Ibuprofen is combined with Pentoxifylline.]
[B05XA08, sodium acetate, Pentoxifylline may decrease the excretion rate of Sodium acetate which could result in a higher serum level.]
[B05CB02, sodium citrate, The therapeutic efficacy of Sodium citrate can be increased when used in combination with Pentoxifylline.]
[L01DB06, idarubicin, The risk or severity of bleeding can be increased when Pentoxifylline is combined with Idarubicin.]
[L01AA06, ifosfamide, The risk or severity of bleeding can be increased when Pentoxifylline is combined with Ifosfamide.]
[H01AC02, somatrem, The metabolism of Pentoxifylline can be increased when combined with Somatrem.]
[N06AA02, imipramine, The metabolism of Pentoxifylline can be decreased when combined with Imipramine.]
[L01CD01, paclitaxel, The risk or severity of bleeding can be increased when Pentoxifylline is combined with Paclitaxel.]
[R01AD07, tixocortol, Pentoxifylline may decrease the excretion rate of Tixocortol which could result in a higher serum level.]
[M03BX02, tizanidine, Tizanidine may increase the excretion rate of Pentoxifylline which could result in a lower serum level and potentially a reduction in efficacy.]
[L01CE01, topotecan, The risk or severity of bleeding can be increased when Pentoxifylline is combined with Topotecan.]
[C03BA11, indapamide, Pentoxifylline may increase the hypotensive activities of Indapamide.]
[S01BC01, indomethacin, The risk or severity of bleeding can be increased when Indomethacin is combined with Pentoxifylline.]
[C02CA02, indoramin, Pentoxifylline may increase the hypotensive activities of Indoramin.]
[A11HA07, inositol, Pentoxifylline may decrease the excretion rate of Inositol which could result in a higher serum level.]
[L03AB04, interferon alfa-2a, The metabolism of Pentoxifylline can be decreased when combined with Interferon alfa-2a.]
[L03AB05, interferon alfa-2b, The metabolism of Pentoxifylline can be decreased when combined with Interferon alfa-2b.]
[N06AX17, milnacipran, The risk or severity of hemorrhage can be increased when Milnacipran is combined with Pentoxifylline.]
[S01XA28, varenicline, Pentoxifylline may decrease the excretion rate of Varenicline which could result in a higher serum level.]
[A10BH01, sitagliptin, Pentoxifylline may decrease the excretion rate of Sitagliptin which could result in a higher serum level.]
[N05BA12, alprazolam, The therapeutic efficacy of Alprazolam can be decreased when used in combination with Pentoxifylline.]
[N05CH02, ramelteon, The metabolism of Ramelteon can be decreased when combined with Pentoxifylline.]
[L01XX35, anagrelide, Pentoxifylline may increase the antiplatelet activities of Anagrelide.]
[C07AA01, alprenolol, Pentoxifylline may increase the hypotensive activities of Alprenolol.]
[C03BA02, quinethazone, Quinethazone may increase the excretion rate of Pentoxifylline which could result in a lower serum level and potentially a reduction in efficacy.]
[L03AB09, interferon alfacon-1, The metabolism of Pentoxifylline can be decreased when combined with Interferon alfacon-1.]
[V03AB01, ipecac, Pentoxifylline may decrease the excretion rate of Ipecac which could result in a higher serum level.]
[N06AF05, iproniazid, The risk or severity of bleeding and hemorrhage can be increased when Iproniazid is combined with Pentoxifylline.]
[J05AB13, penciclovir, The metabolism of Pentoxifylline can be decreased when combined with Penciclovir.]
[N06AF01, isocarboxazid, The risk or severity of bleeding and hemorrhage can be increased when Isocarboxazid is combined with Pentoxifylline.]
[R03CC06, isoetharine, The risk or severity of hypokalemia can be increased when Pentoxifylline is combined with Isoetharine.]
[C09AA16, imidapril, Pentoxifylline may increase the hypotensive activities of Imidapril.]
[J04AC01, isoniazid, The serum concentration of Pentoxifylline can be increased when it is combined with Isoniazid.]
[J05AX05, inosine pranobex, Pentoxifylline may decrease the excretion rate of Inosine pranobex which could result in a higher serum level.]
[R03CB01, isoproterenol, The serum concentration of Pentoxifylline can be decreased when it is combined with Isoprenaline.]
[C01DA14, isosorbide mononitrate, Pentoxifylline may increase the vasodilatory activities of Isosorbide mononitrate.]
[D10BA01, isotretinoin, Pentoxifylline may decrease the excretion rate of Isotretinoin which could result in a higher serum level.]
[C04AA01, isoxsuprine, The risk or severity of adverse effects can be increased when Isoxsuprine is combined with Pentoxifylline.]
[B01AE06, bivalirudin, The therapeutic efficacy of Bivalirudin can be increased when used in combination with Pentoxifylline.]
[J01FA07, josamycin, The metabolism of Pentoxifylline can be decreased when combined with Josamycin.]
[S01AA24, kanamycin, Pentoxifylline may decrease the excretion rate of Kanamycin which could result in a higher serum level.]
[H01AC01, somatropin, The metabolism of Pentoxifylline can be increased when combined with Somatotropin.]
[L04AC07, tocilizumab, The metabolism of Pentoxifylline can be increased when combined with Tocilizumab.]
[N01AX03, ketamine, Pentoxifylline may decrease the excretion rate of Ketamine which could result in a higher serum level.]
[C02KD01, ketanserin, Pentoxifylline may increase the hypotensive activities of Ketanserin.]
[B01AC22, prasugrel, The therapeutic efficacy of Prasugrel can be increased when used in combination with Pentoxifylline.]
[J02AB02, ketoconazole, The metabolism of Pentoxifylline can be decreased when combined with Ketoconazole.]
[N05AH03, olanzapine, The metabolism of Pentoxifylline can be decreased when combined with Olanzapine.]
[M02AA10, ketoprofen, The risk or severity of bleeding can be increased when Ketoprofen is combined with Pentoxifylline.]
[V03AC03, deferasirox, The serum concentration of Pentoxifylline can be increased when it is combined with Deferasirox.]
[L04AA24, abatacept, The metabolism of Pentoxifylline can be increased when combined with Abatacept.]
[C01CA22, arbutamine, The risk or severity of hypokalemia can be increased when Pentoxifylline is combined with Arbutamine.]
[D10AX03, azelaic acid, Azelaic acid may decrease the excretion rate of Pentoxifylline which could result in a higher serum level.]
[J01MB02, nalidixic acid, The metabolism of Pentoxifylline can be decreased when combined with Nalidixic acid.]
[M01AE11, tiaprofenic acid, The risk or severity of bleeding can be increased when Tiaprofenic acid is combined with Pentoxifylline.]
[C07AG01, labetalol, Pentoxifylline may increase the hypotensive activities of Labetalol.]
[N04BB01, amantadine, Pentoxifylline may decrease the excretion rate of Amantadine which could result in a higher serum level.]
[C02AA05, deserpidine, Pentoxifylline may increase the hypotensive activities of Deserpidine.]
[A06AX03, lubiprostone, Pentoxifylline may decrease the excretion rate of Lubiprostone which could result in a higher serum level.]
[N03AX18, lacosamide, Lacosamide may increase the excretion rate of Pentoxifylline which could result in a lower serum level and potentially a reduction in efficacy.]
[C03CC01, ethacrynic acid, Etacrynic acid may increase the excretion rate of Pentoxifylline which could result in a lower serum level and potentially a reduction in efficacy.]
[A05AA02, ursodiol, The risk or severity of adverse effects can be increased when Pentoxifylline is combined with Ursodeoxycholic acid.]
[L01DC03, mitomycin, The risk or severity of bleeding can be increased when Pentoxifylline is combined with Mitomycin.]
[S02DA01, lidocaine, The metabolism of Pentoxifylline can be decreased when combined with Lidocaine.]
[C01EB21, regadenoson, Pentoxifylline may decrease effectiveness of Regadenoson as a diagnostic agent.]
[S01AA21, amikacin, Pentoxifylline may decrease the excretion rate of Amikacin which could result in a higher serum level.]
[N06BA13, armodafinil, The metabolism of Pentoxifylline can be increased when combined with Armodafinil.]
[C03DB01, amiloride, Amiloride may increase the excretion rate of Pentoxifylline which could result in a lower serum level and potentially a reduction in efficacy.]
[L01AD02, lomustine, The risk or severity of bleeding can be increased when Pentoxifylline is combined with Lomustine.]
[N05BA06, lorazepam, The therapeutic efficacy of Lorazepam can be decreased when used in combination with Pentoxifylline.]
[L01EG01, temsirolimus, The metabolism of Pentoxifylline can be decreased when combined with Temsirolimus.]
[B05XA11, magnesium chloride, Pentoxifylline may decrease the excretion rate of Magnesium chloride which could result in a higher serum level.]
[G04BX01, magnesium hydroxide, Pentoxifylline may decrease the excretion rate of Magnesium hydroxide which could result in a higher serum level.]
[V04CC02, magnesium sulfate, Magnesium sulfate may increase the excretion rate of Pentoxifylline which could result in a lower serum level and potentially a reduction in efficacy.]
[L01BA05, pralatrexate, Pentoxifylline may decrease the excretion rate of Pralatrexate which could result in a higher serum level.]
[L01EA03, nilotinib, The risk or severity of bleeding can be increased when Pentoxifylline is combined with Nilotinib.]
[V04CX04, mannitol, Mannitol may increase the excretion rate of Pentoxifylline which could result in a lower serum level and potentially a reduction in efficacy.]
[N06AA21, maprotiline, The metabolism of Maprotiline can be decreased when combined with Pentoxifylline.]
[C02BB01, mecamylamine, Pentoxifylline may increase the hypotensive activities of Mecamylamine.]
[L01AA05, mechlorethamine, The risk or severity of bleeding can be increased when Pentoxifylline is combined with Mechlorethamine.]
[M02AA18, meclofenamic acid, The risk or severity of bleeding can be increased when Meclofenamic acid is combined with Pentoxifylline.]
[N05BA03, medazepam, The therapeutic efficacy of Medazepam can be decreased when used in combination with Pentoxifylline.]
[C03BA05, mefruside, Mefruside may increase the excretion rate of Pentoxifylline which could result in a lower serum level and potentially a reduction in efficacy.]
