[S02DA03, antipyrine, The metabolism of Antipyrine can be decreased when combined with Gemfibrozil.]
[L01AX03, temozolomide, Temozolomide may decrease the excretion rate of Gemfibrozil which could result in a higher serum level.]
[M01AC02, tenoxicam, The metabolism of Tenoxicam can be decreased when combined with Gemfibrozil.]
[D01BA02, terbinafine, The metabolism of Terbinafine can be decreased when combined with Gemfibrozil.]
[P01AX02, emetine, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Gemfibrozil is combined with Emetine.]
[N06AX14, tianeptine, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Gemfibrozil is combined with Tianeptine.]
[C09AA02, enalapril, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Enalapril is combined with Gemfibrozil.]
[M01AG02, tolfenamic acid, Tolfenamic acid may decrease the excretion rate of Gemfibrozil which could result in a higher serum level.]
[N06AG03, toloxatone, Gemfibrozil may decrease the excretion rate of Toloxatone which could result in a higher serum level.]
[N06BA09, atomoxetine, Atomoxetine may decrease the excretion rate of Gemfibrozil which could result in a higher serum level.]
[N03AX11, topiramate, Topiramate may decrease the excretion rate of Gemfibrozil which could result in a higher serum level.]
[C03CA04, torsemide, The metabolism of Torasemide can be decreased when combined with Gemfibrozil.]
[N05CC01, chloral hydrate, Gemfibrozil may decrease the excretion rate of Chloral hydrate which could result in a higher serum level.]
[N06AX16, venlafaxine, Venlafaxine may decrease the excretion rate of Gemfibrozil which could result in a higher serum level.]
[C08CA12, mepirodipine, The metabolism of Gemfibrozil can be decreased when combined with Barnidipine.]
[N05CF02, zolpidem, The metabolism of Zolpidem can be decreased when combined with Gemfibrozil.]
[M01AB04, zomepirac, Zomepirac may decrease the excretion rate of Gemfibrozil which could result in a higher serum level.]
[N03AX15, zonisamide, The metabolism of Zonisamide can be decreased when combined with Gemfibrozil.]
[A10AB06, insulin glulisine, human, The risk or severity of hypoglycemia can be increased when Gemfibrozil is combined with Insulin glulisine.]
[N05CF01, zopiclone, The metabolism of Zopiclone can be decreased when combined with Gemfibrozil.]
[N05AX11, zotepine, The metabolism of Zotepine can be decreased when combined with Gemfibrozil.]
[L01XA02, carboplatin, Carboplatin may decrease the excretion rate of Gemfibrozil which could result in a higher serum level.]
[C02AC02, guanfacine, Guanfacine may decrease the excretion rate of Gemfibrozil which could result in a higher serum level.]
[B01AC11, iloprost, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Iloprost is combined with Gemfibrozil.]
[N02CA02, ergotamine, The metabolism of Gemfibrozil can be decreased when combined with Ergotamine.]
[N03AG01, valproic acid, The metabolism of Valproic acid can be decreased when combined with Gemfibrozil.]
[L03AX05, pidotimod, Gemfibrozil may decrease the excretion rate of Pidotimod which could result in a higher serum level.]
[S01AA17, erythromycin, The metabolism of Gemfibrozil can be decreased when combined with Erythromycin.]
[N05CD04, estazolam, Estazolam may decrease the excretion rate of Gemfibrozil which could result in a higher serum level.]
[A02BC02, pantoprazole, The metabolism of Pantoprazole can be decreased when combined with Gemfibrozil.]
[H05BX01, cinacalcet, The metabolism of Cinacalcet can be decreased when combined with Gemfibrozil.]
[G03CA03, estradiol, The metabolism of Estradiol can be decreased when combined with Gemfibrozil.]
[G03CA57, estrogens, conjugated (USP), The excretion of Conjugated estrogens can be decreased when combined with Gemfibrozil.]
[J04AK02, ethambutol, Ethambutol may decrease the excretion rate of Gemfibrozil which could result in a higher serum level.]
[C10AA04, fluvastatin, The risk or severity of rhabdomyolysis, myoglobinuria, and elevated creatine kinase (CPK) can be increased when Gemfibrozil is combined with Fluvastatin.]
[V08CA03, gadodiamide, Gadodiamide may decrease the excretion rate of Gemfibrozil which could result in a higher serum level.]
[L02AA03, ethinyl estradiol, The metabolism of Ethinylestradiol can be decreased when combined with Gemfibrozil.]
[C01BD05, ibutilide, Ibutilide may decrease the excretion rate of Gemfibrozil which could result in a higher serum level.]
[M01AC06, meloxicam, The metabolism of Meloxicam can be decreased when combined with Gemfibrozil.]
[N01AX07, etomidate, Etomidate may decrease the excretion rate of Gemfibrozil which could result in a higher serum level.]
[L01CB01, etoposide, The metabolism of Etoposide can be decreased when combined with Gemfibrozil.]
[L04AD02, tacrolimus, Tacrolimus may increase the nephrotoxic activities of Gemfibrozil.]
[A02BA04, nizatidine, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Nizatidine is combined with Gemfibrozil.]
[R06AX12, terfenadine, The metabolism of Gemfibrozil can be decreased when combined with Terfenadine.]
[P01AX07, trimetrexate, Trimetrexate may decrease the excretion rate of Gemfibrozil which could result in a higher serum level.]
[N06AX12, bupropion, The metabolism of Bupropion can be decreased when combined with Gemfibrozil.]
[N06AB08, fluvoxamine, The metabolism of Gemfibrozil can be decreased when combined with Fluvoxamine.]
[C01BB03, tocainide, The metabolism of Tocainide can be decreased when combined with Gemfibrozil.]
[L02AE02, leuprolide, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Leuprolide is combined with Gemfibrozil.]
[C10AA03, pravastatin, The risk or severity of rhabdomyolysis, myoglobinuria, and elevated creatine kinase (CPK) can be increased when Gemfibrozil is combined with Pravastatin.]
[A05AA01, chenodeoxycholic acid, The therapeutic efficacy of Chenodeoxycholic acid can be decreased when used in combination with Gemfibrozil.]
[D11AX24, deoxycholic acid, The therapeutic efficacy of Deoxycholic acid can be decreased when used in combination with Gemfibrozil.]
[B05AA05, dextran, Gemfibrozil may decrease the excretion rate of Dextran which could result in a higher serum level.]
[V03AF02, dexrazoxane, Dexrazoxane may decrease the excretion rate of Gemfibrozil which could result in a higher serum level.]
[A02BA03, famotidine, The excretion of Famotidine can be decreased when combined with Gemfibrozil.]
[A16AA01, levocarnitine, The excretion of Levocarnitine can be decreased when combined with Gemfibrozil.]
[P02CA03, albendazole, The metabolism of Albendazole can be decreased when combined with Gemfibrozil.]
[N03AX26, fenfluramine, The metabolism of Fenfluramine can be decreased when combined with Gemfibrozil.]
[M01AE04, fenoprofen, Fenoprofen may decrease the excretion rate of Gemfibrozil which could result in a higher serum level.]
[N02AB03, fentanyl, Fentanyl may decrease the excretion rate of Gemfibrozil which could result in a higher serum level.]
[R03CC02, albuterol, Salbutamol may decrease the excretion rate of Gemfibrozil which could result in a higher serum level.]
[L01BB06, clofarabine, The excretion of Clofarabine can be decreased when combined with Gemfibrozil.]
[L04AA40, cladribine, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Cladribine is combined with Gemfibrozil.]
[N07AX03, cevimeline, Cevimeline may decrease the excretion rate of Gemfibrozil which could result in a higher serum level.]
[G04BD02, flavoxate, Flavoxate may decrease the excretion rate of Gemfibrozil which could result in a higher serum level.]
[C01BC04, flecainide, The metabolism of Flecainide can be decreased when combined with Gemfibrozil.]
[N02BG04, floctafenine, Floctafenine may decrease the excretion rate of Gemfibrozil which could result in a higher serum level.]
[J02AC01, fluconazole, The metabolism of Gemfibrozil can be decreased when combined with Fluconazole.]
[J02AX01, flucytosine, Flucytosine may decrease the excretion rate of Gemfibrozil which could result in a higher serum level.]
[V03AB25, flumazenil, Flumazenil may decrease the excretion rate of Gemfibrozil which could result in a higher serum level.]
[N07CA03, flunarizine, The metabolism of Flunarizine can be decreased when combined with Gemfibrozil.]
[N05CD03, flunitrazepam, The metabolism of Flunitrazepam can be decreased when combined with Gemfibrozil.]
[V03AZ01, ethanol, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Ethanol is combined with Gemfibrozil.]
[L01BC09, floxuridine, Floxuridine may decrease the excretion rate of Gemfibrozil which could result in a higher serum level.]
[L01BC02, fluorouracil, The metabolism of Fluorouracil can be decreased when combined with Gemfibrozil.]
[N06AB03, fluoxetine, The metabolism of Fluoxetine can be decreased when combined with Gemfibrozil.]
[N05CD01, flurazepam, Flurazepam may decrease the excretion rate of Gemfibrozil which could result in a higher serum level.]
[S01BC04, flurbiprofen, The metabolism of Flurbiprofen can be decreased when combined with Gemfibrozil.]
[L02BB01, flutamide, The metabolism of Flutamide can be decreased when combined with Gemfibrozil.]
[V04CX02, folic acid, Folic acid may decrease the excretion rate of Gemfibrozil which could result in a higher serum level.]
[S02AA17, fosfomycin, Fosfomycin may decrease the excretion rate of Gemfibrozil which could result in a higher serum level.]
[S01AA07, framycetin, Framycetin may decrease the excretion rate of Gemfibrozil which could result in a higher serum level.]
[L01BC03, tegafur, The metabolism of Tegafur can be decreased when combined with Gemfibrozil.]
[J05AE10, darunavir, The metabolism of Gemfibrozil can be decreased when combined with Darunavir.]
[C03CA01, furosemide, Furosemide may increase the excretion rate of Gemfibrozil which could result in a lower serum level and potentially a reduction in efficacy.]
[M05BA04, alendronic acid, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Alendronic acid is combined with Gemfibrozil.]
[N05CF04, eszopiclone, The metabolism of Eszopiclone can be decreased when combined with Gemfibrozil.]
[S01AD09, ganciclovir, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Ganciclovir is combined with Gemfibrozil.]
[M01AG01, mefenamic acid, The metabolism of Mefenamic acid can be decreased when combined with Gemfibrozil.]
[C01DA05, pentaerythritol tetranitrate, Gemfibrozil may decrease the excretion rate of Pentaerythritol tetranitrate which could result in a higher serum level.]
[M01CB01, gold sodium thiomalate, The metabolism of Gemfibrozil can be decreased when combined with Sodium aurothiomalate.]
[J01XA03, telavancin, Gemfibrozil may decrease the excretion rate of Telavancin which could result in a higher serum level.]
[L01EA02, dasatinib, The metabolism of Dasatinib can be decreased when combined with Gemfibrozil.]
[C01CA21, cafedrine, The metabolism of Cafedrine can be decreased when combined with Gemfibrozil.]
[J05AG04, etravirine, The metabolism of Etravirine can be decreased when combined with Gemfibrozil.]
[N03AD03, methsuximide, The metabolism of Methsuximide can be decreased when combined with Gemfibrozil.]
[L01EH01, lapatinib, The metabolism of Lapatinib can be decreased when combined with Gemfibrozil.]
[A10BB01, glyburide, The metabolism of Glyburide can be decreased when combined with Gemfibrozil.]
[A10BB09, gliclazide, The metabolism of Gliclazide can be decreased when combined with Gemfibrozil.]
[A10BB07, glipizide, The metabolism of Glipizide can be decreased when combined with Gemfibrozil.]
[N05CM18, dexmedetomidine, Dexmedetomidine may decrease the excretion rate of Gemfibrozil which could result in a higher serum level.]
[C02CA04, doxazosin, The metabolism of Doxazosin can be decreased when combined with Gemfibrozil.]
[L01EX02, sorafenib, The metabolism of Sorafenib can be decreased when combined with Gemfibrozil.]
[M01CB04, aurothioglucose, Gemfibrozil may decrease the excretion rate of Aurothioglucose which could result in a higher serum level.]
[S01LA03, pegaptanib, Gemfibrozil may decrease the excretion rate of Pegaptanib which could result in a higher serum level.]
[B01AA12, fluindione, The metabolism of Fluindione can be decreased when combined with Gemfibrozil.]
[C09AA09, fosinopril, Fosinopril may decrease the excretion rate of Gemfibrozil which could result in a higher serum level.]
[S01EX01, guanethidine, Guanethidine may decrease the excretion rate of Gemfibrozil which could result in a higher serum level.]
[L02AE03, goserelin, Goserelin may decrease the excretion rate of Gemfibrozil which could result in a higher serum level.]
[P01BX01, halofantrine, The metabolism of Halofantrine can be decreased when combined with Gemfibrozil.]
[N05AD01, haloperidol, The serum concentration of Haloperidol can be increased when it is combined with Gemfibrozil.]
[N01AB01, halothane, The metabolism of Halothane can be decreased when combined with Gemfibrozil.]
[N05AH04, quetiapine, Quetiapine may decrease the excretion rate of Gemfibrozil which could result in a higher serum level.]
[N06BX13, idebenone, Gemfibrozil may decrease the excretion rate of Idebenone which could result in a higher serum level.]
[A10AD05, insulin aspart, human, The risk or severity of hypoglycemia can be increased when Gemfibrozil is combined with Insulin aspart.]
[L01CE02, irinotecan, The risk or severity of neutropenia can be increased when Gemfibrozil is combined with Irinotecan.]
[M04AA01, allopurinol, The excretion of Allopurinol can be decreased when combined with Gemfibrozil.]
[C09CA01, losartan, The metabolism of Losartan can be decreased when combined with Gemfibrozil.]
[G03DC01, allylestrenol, Gemfibrozil may decrease the excretion rate of Allylestrenol which could result in a higher serum level.]
[A07EC02, mesalamine, The excretion of Mesalazine can be decreased when combined with Gemfibrozil.]
[C01CE02, milrinone, Milrinone may decrease the excretion rate of Gemfibrozil which could result in a higher serum level.]
[N05CA16, hexobarbital, The metabolism of Hexobarbital can be decreased when combined with Gemfibrozil.]
[J05AG01, nevirapine, The metabolism of Nevirapine can be decreased when combined with Gemfibrozil.]
[C08CA10, nilvadipine, The metabolism of Gemfibrozil can be decreased when combined with Nilvadipine.]
[M02AA26, nimesulide, Nimesulide may decrease the excretion rate of Gemfibrozil which could result in a higher serum level.]
[C09AA04, perindopril, Perindopril may decrease the excretion rate of Gemfibrozil which could result in a higher serum level.]
[C02DB02, hydralazine, Gemfibrozil may decrease the excretion rate of Hydralazine which could result in a higher serum level.]
[C03AA03, hydrochlorothiazide, The excretion of Hydrochlorothiazide can be decreased when combined with Gemfibrozil.]
[S02BA01, hydrocortisone, The excretion of Hydrocortisone can be decreased when combined with Gemfibrozil.]
[C03AA02, hydroflumethiazide, Hydroflumethiazide may increase the excretion rate of Gemfibrozil which could result in a lower serum level and potentially a reduction in efficacy.]
[B05XA17, potassium acetate, Gemfibrozil may decrease the excretion rate of Potassium acetate which could result in a higher serum level.]
[A12BA02, potassium citrate, Potassium citrate may increase the excretion rate of Gemfibrozil which could result in a lower serum level and potentially a reduction in efficacy.]
[V03AB33, hydroxocobalamin, Hydroxocobalamin may decrease the excretion rate of Gemfibrozil which could result in a higher serum level.]
[G04BD06, propiverine, Gemfibrozil may decrease the excretion rate of Propiverine which could result in a higher serum level.]
[P01BA02, hydroxychloroquine, The metabolism of Hydroxychloroquine can be decreased when combined with Gemfibrozil.]
[B05AA07, hetastarch, Gemfibrozil may decrease the excretion rate of Hydroxyethyl Starch which could result in a higher serum level.]
[M05BA07, risedronic acid, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Risedronic acid is combined with Gemfibrozil.]
[R02AX02, ibuprofen, The metabolism of Ibuprofen can be decreased when combined with Gemfibrozil.]
[B05XA08, sodium acetate, Gemfibrozil may decrease the excretion rate of Sodium acetate which could result in a higher serum level.]
[L01DB06, idarubicin, The metabolism of Idarubicin can be decreased when combined with Gemfibrozil.]
[L01AA06, ifosfamide, The metabolism of Ifosfamide can be decreased when combined with Gemfibrozil.]
[N06AA02, imipramine, The metabolism of Imipramine can be decreased when combined with Gemfibrozil.]
[L01CD01, paclitaxel, The metabolism of Paclitaxel can be decreased when combined with Gemfibrozil.]
[R01AD07, tixocortol, Gemfibrozil may decrease the excretion rate of Tixocortol which could result in a higher serum level.]
[M03BX02, tizanidine, The metabolism of Tizanidine can be decreased when combined with Gemfibrozil.]
[L01CE01, topotecan, Topotecan may decrease the excretion rate of Gemfibrozil which could result in a higher serum level.]
[C03BA11, indapamide, Indapamide may increase the excretion rate of Gemfibrozil which could result in a lower serum level and potentially a reduction in efficacy.]
[S01BC01, indomethacin, The metabolism of Indomethacin can be decreased when combined with Gemfibrozil.]
[A11HA07, inositol, Gemfibrozil may decrease the excretion rate of Inositol which could result in a higher serum level.]
[N06AX17, milnacipran, The metabolism of Gemfibrozil can be decreased when combined with Milnacipran.]
[S01XA28, varenicline, Gemfibrozil may decrease the excretion rate of Varenicline which could result in a higher serum level.]
[A10BH01, sitagliptin, The metabolism of Sitagliptin can be decreased when combined with Gemfibrozil.]
[N05BA12, alprazolam, Alprazolam may decrease the excretion rate of Gemfibrozil which could result in a higher serum level.]
[N05CH02, ramelteon, The metabolism of Ramelteon can be decreased when combined with Gemfibrozil.]
[C10AA06, cerivastatin, The risk or severity of rhabdomyolysis, myoglobinuria, and elevated creatine kinase (CPK) can be increased when Gemfibrozil is combined with Cerivastatin.]
[L01XX35, anagrelide, The metabolism of Anagrelide can be decreased when combined with Gemfibrozil.]
[C03BA02, quinethazone, Quinethazone may increase the excretion rate of Gemfibrozil which could result in a lower serum level and potentially a reduction in efficacy.]
[V03AB01, ipecac, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Gemfibrozil is combined with Ipecac.]
[J05AF04, stavudine, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Stavudine is combined with Gemfibrozil.]
[G04BE01, alprostadil, The excretion of Alprostadil can be decreased when combined with Gemfibrozil.]
[J05AB13, penciclovir, The metabolism of Penciclovir can be decreased when combined with Gemfibrozil.]
[J04AC01, isoniazid, The metabolism of Gemfibrozil can be decreased when combined with Isoniazid.]
[J05AX05, inosine pranobex, Gemfibrozil may decrease the excretion rate of Inosine pranobex which could result in a higher serum level.]
[D10BA01, isotretinoin, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Isotretinoin is combined with Gemfibrozil.]
[P02CF01, ivermectin, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Ivermectin is combined with Gemfibrozil.]
[S01AA24, kanamycin, Gemfibrozil may decrease the excretion rate of Kanamycin which could result in a higher serum level.]
[H01AC01, somatropin, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Somatotropin is combined with Gemfibrozil.]
[N01AX03, ketamine, The metabolism of Ketamine can be decreased when combined with Gemfibrozil.]
[B01AC22, prasugrel, The metabolism of Prasugrel can be decreased when combined with Gemfibrozil.]
[J02AB02, ketoconazole, The metabolism of Gemfibrozil can be decreased when combined with Ketoconazole.]
[N05AH03, olanzapine, The metabolism of Olanzapine can be decreased when combined with Gemfibrozil.]
[M02AA10, ketoprofen, The metabolism of Ketoprofen can be decreased when combined with Gemfibrozil.]
[V03AC03, deferasirox, The metabolism of Deferasirox can be decreased when combined with Gemfibrozil.]
[C07AG01, labetalol, The metabolism of Labetalol can be decreased when combined with Gemfibrozil.]
[N04BB01, amantadine, Amantadine may decrease the excretion rate of Gemfibrozil which could result in a higher serum level.]
[A06AX03, lubiprostone, Lubiprostone may decrease the excretion rate of Gemfibrozil which could result in a higher serum level.]
[N03AX18, lacosamide, The metabolism of Lacosamide can be decreased when combined with Gemfibrozil.]
[S02DA01, lidocaine, The metabolism of Lidocaine can be decreased when combined with Gemfibrozil.]
[S01AA21, amikacin, Gemfibrozil may decrease the excretion rate of Amikacin which could result in a higher serum level.]
[C03DB01, amiloride, Amiloride may increase the excretion rate of Gemfibrozil which could result in a lower serum level and potentially a reduction in efficacy.]
[A07DA03, loperamide, The metabolism of Loperamide can be decreased when combined with Gemfibrozil.]
[N05BA06, lorazepam, Lorazepam may decrease the excretion rate of Gemfibrozil which could result in a higher serum level.]
[C10AA02, lovastatin, The risk or severity of rhabdomyolysis, myoglobinuria, and elevated creatine kinase (CPK) can be increased when Gemfibrozil is combined with Lovastatin.]
[G03DC03, lynestrenol, The metabolism of Lynestrenol can be decreased when combined with Gemfibrozil.]
[B05XA11, magnesium chloride, Gemfibrozil may decrease the excretion rate of Magnesium chloride which could result in a higher serum level.]
[G04BX01, magnesium hydroxide, Gemfibrozil may decrease the excretion rate of Magnesium hydroxide which could result in a higher serum level.]
[L01BA05, pralatrexate, Gemfibrozil may decrease the excretion rate of Pralatrexate which could result in a higher serum level.]
[L01EA03, nilotinib, The metabolism of Gemfibrozil can be decreased when combined with Nilotinib.]
[V04CX04, mannitol, Mannitol may increase the excretion rate of Gemfibrozil which could result in a lower serum level and potentially a reduction in efficacy.]
[N06AA21, maprotiline, The metabolism of Maprotiline can be decreased when combined with Gemfibrozil.]
[C02BB01, mecamylamine, Mecamylamine may decrease the excretion rate of Gemfibrozil which could result in a higher serum level.]
[M02AA18, meclofenamic acid, Meclofenamic acid may decrease the excretion rate of Gemfibrozil which could result in a higher serum level.]
[P01BC02, mefloquine, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Mefloquine is combined with Gemfibrozil.]
[C03BA05, mefruside, Mefruside may increase the excretion rate of Gemfibrozil which could result in a lower serum level and potentially a reduction in efficacy.]
[N05CH01, melatonin, The metabolism of Melatonin can be decreased when combined with Gemfibrozil.]
[N06DX01, memantine, Memantine may decrease the excretion rate of Gemfibrozil which could result in a higher serum level.]
[N02AB02, meperidine, Meperidine may decrease the excretion rate of Gemfibrozil which could result in a higher serum level.]
[N03AB04, mephenytoin, The metabolism of Mephenytoin can be decreased when combined with Gemfibrozil.]
[N03AA01, mephobarbital, The metabolism of Methylphenobarbital can be decreased when combined with Gemfibrozil.]
[N01BB03, mepivacaine, Mepivacaine may decrease the excretion rate of Gemfibrozil which could result in a higher serum level.]
[G04BX16, tiopronin, Gemfibrozil may decrease the excretion rate of Tiopronin which could result in a higher serum level.]
[C03BC01, mersalyl, Mersalyl may increase the excretion rate of Gemfibrozil which could result in a lower serum level and potentially a reduction in efficacy.]
[N05AX13, paliperidone, Gemfibrozil may decrease the excretion rate of Paliperidone which could result in a higher serum level.]
[A10BA02, metformin, Metformin may decrease the excretion rate of Gemfibrozil which could result in a higher serum level.]
[N07BC02, methadone, The metabolism of Methadone can be decreased when combined with Gemfibrozil.]
[N06BA03, methamphetamine, Gemfibrozil may decrease the excretion rate of Metamfetamine which could result in a higher serum level.]
[J05AF05, lamivudine, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Lamivudine is combined with Gemfibrozil.]
[S01EC05, methazolamide, Methazolamide may increase the excretion rate of Gemfibrozil which could result in a lower serum level and potentially a reduction in efficacy.]
[H03BB02, methimazole, The metabolism of Gemfibrozil can be decreased when combined with Methimazole.]
[L01BA04, pemetrexed, Gemfibrozil may decrease the excretion rate of Pemetrexed which could result in a higher serum level.]
[A11HA02, pyridoxine, Pyridoxine may decrease the excretion rate of Gemfibrozil which could result in a higher serum level.]
[L04AX03, methotrexate, The excretion of Methotrexate can be decreased when combined with Gemfibrozil.]
[D05BA02, methoxsalen, Methoxsalen may decrease the excretion rate of Gemfibrozil which could result in a higher serum level.]
[N02BG09, methoxyflurane, The metabolism of Methoxyflurane can be decreased when combined with Gemfibrozil.]
[C03AA08, methyclothiazide, Methyclothiazide may increase the excretion rate of Gemfibrozil which could result in a lower serum level and potentially a reduction in efficacy.]
[C02AB01, methyldopa, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Methyldopa is combined with Gemfibrozil.]
[V04CG05, methylene blue, The metabolism of Methylene blue can be decreased when combined with Gemfibrozil.]
[R03DA05, aminophylline, The metabolism of Aminophylline can be decreased when combined with Gemfibrozil.]
[G03EK01, methyltestosterone, Gemfibrozil may decrease the excretion rate of Methyltestosterone which could result in a higher serum level.]
[A03FA01, metoclopramide, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Metoclopramide is combined with Gemfibrozil.]
[C03BA08, metolazone, Metolazone may increase the excretion rate of Gemfibrozil which could result in a lower serum level and potentially a reduction in efficacy.]
[C07AB02, metoprolol, Metoprolol may decrease the excretion rate of Gemfibrozil which could result in a higher serum level.]
[P01AB01, metronidazole, The metabolism of Metronidazole can be decreased when combined with Gemfibrozil.]
[V04CD01, metyrapone, Metyrapone may decrease the excretion rate of Gemfibrozil which could result in a higher serum level.]
[C01BB02, mexiletine, The metabolism of Mexiletine can be decreased when combined with Gemfibrozil.]
[N06AX03, mianserin, The metabolism of Mianserin can be decreased when combined with Gemfibrozil.]
[S02AA13, miconazole, The metabolism of Gemfibrozil can be decreased when combined with Miconazole.]
[N02BB03, aminopyrine, The metabolism of Aminophenazone can be decreased when combined with Gemfibrozil.]
[N05CD08, midazolam, Midazolam may decrease the excretion rate of Gemfibrozil which could result in a higher serum level.]
[J05AH01, zanamivir, Zanamivir may decrease the excretion rate of Gemfibrozil which could result in a higher serum level.]
[C09CA03, valsartan, The metabolism of Valsartan can be decreased when combined with Gemfibrozil.]
[J01AA08, minocycline, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Minocycline is combined with Gemfibrozil.]
[D11AX01, minoxidil, The metabolism of Minoxidil can be decreased when combined with Gemfibrozil.]
[L01XX23, mitotane, The metabolism of Gemfibrozil can be increased when combined with Mitotane.]
[L03AC01, aldesleukin, Aldesleukin may decrease the excretion rate of Gemfibrozil which could result in a higher serum level.]
[C01BD01, amiodarone, The metabolism of Gemfibrozil can be decreased when combined with Amiodarone.]
[N06AA09, amitriptyline, The metabolism of Amitriptyline can be decreased when combined with Gemfibrozil.]
[N02AA01, morphine, The metabolism of Morphine can be decreased when combined with Gemfibrozil.]
[A04AA05, palonosetron, Palonosetron may decrease the excretion rate of Gemfibrozil which could result in a higher serum level.]
[J01DD06, moxalactam, Latamoxef may decrease the excretion rate of Gemfibrozil which could result in a higher serum level.]
[L04AB05, certolizumab pegol, Gemfibrozil may decrease the excretion rate of Certolizumab pegol which could result in a higher serum level.]
[B02BX05, eltrombopag, The metabolism of Eltrombopag can be decreased when combined with Gemfibrozil.]
[G04BA01, ammonium chloride, Gemfibrozil may decrease the excretion rate of Ammonium chloride which could result in a higher serum level.]
[L01EX03, pazopanib, The metabolism of Pazopanib can be decreased when combined with Gemfibrozil.]
[L04AA06, mycophenolic acid, The metabolism of Mycophenolic acid can be decreased when combined with Gemfibrozil.]
[J05AJ01, raltegravir, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Gemfibrozil is combined with Raltegravir.]
[P01BA06, amodiaquine, The metabolism of Amodiaquine can be decreased when combined with Gemfibrozil.]
[G03XC01, raloxifene, The metabolism of Raloxifene can be decreased when combined with Gemfibrozil.]
[N03AB05, fosphenytoin, The metabolism of Fosphenytoin can be decreased when combined with Gemfibrozil.]
[C07AA12, nadolol, Nadolol may decrease the excretion rate of Gemfibrozil which could result in a higher serum level.]
[J01CA04, amoxicillin, Amoxicillin may decrease the excretion rate of Gemfibrozil which could result in a higher serum level.]
[N04BC04, ropinirole, The risk or severity of adverse effects can be increased when Gemfibrozil is combined with Ropinirole.]
[V03AB15, naloxone, The metabolism of Gemfibrozil can be decreased when combined with Naloxone.]
[N07BB04, naltrexone, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Naltrexone is combined with Gemfibrozil.]
[N06BA01, amphetamine, Amphetamine may decrease the excretion rate of Gemfibrozil which could result in a higher serum level.]
[M02AA12, naproxen, The metabolism of Naproxen can be decreased when combined with Gemfibrozil.]
[A10BG01, troglitazone, The metabolism of Troglitazone can be decreased when combined with Gemfibrozil.]
[N06AX21, duloxetine, The metabolism of Duloxetine can be decreased when combined with Gemfibrozil.]
[N04BX01, tolcapone, Tolcapone may decrease the excretion rate of Gemfibrozil which could result in a higher serum level.]
[L01CD02, docetaxel, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Gemfibrozil is combined with Docetaxel.]
[L02BG04, letrozole, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Letrozole is combined with Gemfibrozil.]
[S03AA01, neomycin, Gemfibrozil may decrease the excretion rate of Neomycin which could result in a higher serum level.]
[A10BX02, repaglinide, The serum concentration of Repaglinide can be increased when it is combined with Gemfibrozil.]
[B01AC17, tirofiban, Tirofiban may decrease the excretion rate of Gemfibrozil which could result in a higher serum level.]
[J02AA01, amphotericin B, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Amphotericin B is combined with Gemfibrozil.]
[S01AA19, ampicillin, Ampicillin may decrease the excretion rate of Gemfibrozil which could result in a higher serum level.]
[L03AX16, plerixafor, Gemfibrozil may decrease the excretion rate of Plerixafor which could result in a higher serum level.]
[S01AA23, netilmicin, Gemfibrozil may decrease the excretion rate of Netilmicin which could result in a higher serum level.]
[N06AX23, desvenlafaxine, The metabolism of Gemfibrozil can be decreased when combined with Desvenlafaxine.]
[C09CA07, telmisartan, The metabolism of Telmisartan can be decreased when combined with Gemfibrozil.]
[J05AB11, valacyclovir, The excretion of Valaciclovir can be decreased when combined with Gemfibrozil.]
[M04AA03, febuxostat, The metabolism of Febuxostat can be decreased when combined with Gemfibrozil.]
