[S02DA03, antipyrine, The metabolism of Bendamustine can be decreased when combined with Antipyrine.]
[B01AD07, reteplase, The risk or severity of bleeding can be increased when Reteplase is combined with Bendamustine.]
[B01AD09, ancrod, The risk or severity of bleeding can be increased when Ancrod is combined with Bendamustine.]
[N05AH05, asenapine, The metabolism of Bendamustine can be decreased when combined with Asenapine.]
[B01AB09, danaparoid, The risk or severity of bleeding can be increased when Danaparoid is combined with Bendamustine.]
[H02AB05, paramethasone, The risk or severity of adverse effects can be increased when Paramethasone is combined with Bendamustine.]
[J01MA03, pefloxacin, The metabolism of Bendamustine can be decreased when combined with Pefloxacin.]
[M01CC01, penicillamine, The risk or severity of adverse effects can be increased when Penicillamine is combined with Bendamustine.]
[J07AF01, diphtheria toxoid vaccine, inactivated, The therapeutic efficacy of Corynebacterium diphtheriae toxoid antigen (formaldehyde inactivated) can be decreased when used in combination with Bendamustine.]
[J07AM01, tetanus toxoid vaccine, inactivated, The therapeutic efficacy of Clostridium tetani toxoid antigen (formaldehyde inactivated) can be decreased when used in combination with Bendamustine.]
[L01XX08, pentostatin, The risk or severity of adverse effects can be increased when Pentostatin is combined with Bendamustine.]
[C04AD03, pentoxifylline, The metabolism of Bendamustine can be decreased when combined with Pentoxifylline.]
[N05AB03, perphenazine, The metabolism of Bendamustine can be decreased when combined with Perphenazine.]
[J07AJ, pertussis vaccine, The therapeutic efficacy of Pertussis vaccine can be decreased when used in combination with Bendamustine.]
[N02BE03, phenacetin, The metabolism of Bendamustine can be decreased when combined with Phenacetin.]
[B01AA02, phenindione, The risk or severity of bleeding can be increased when Phenindione is combined with Bendamustine.]
[B01AA04, phenprocoumon, The risk or severity of bleeding can be increased when Phenprocoumon is combined with Bendamustine.]
[S01GA05, phenylephrine, The metabolism of Bendamustine can be increased when combined with Phenylephrine.]
[L04AB06, golimumab, The metabolism of Bendamustine can be increased when combined with Golimumab.]
[C08CX01, mibefradil, The serum concentration of Bendamustine can be increased when it is combined with Mibefradil.]
[N05AG02, pimozide, The metabolism of Bendamustine can be decreased when combined with Pimozide.]
[J05AE01, saquinavir, The serum concentration of Bendamustine can be increased when it is combined with Saquinavir.]
[J01MA11, grepafloxacin, The metabolism of Bendamustine can be decreased when combined with Grepafloxacin.]
[B01AC13, abciximab, The risk or severity of bleeding can be increased when Abciximab is combined with Bendamustine.]
[S01XA13, alteplase, The risk or severity of bleeding can be increased when Alteplase is combined with Bendamustine.]
[A03AE01, alosetron, The metabolism of Bendamustine can be decreased when combined with Alosetron.]
[L04AC08, canakinumab, The metabolism of Bendamustine can be increased when combined with Canakinumab.]
[C03AA05, polythiazide, The risk or severity of neutropenia and thrombocytopenia can be increased when Polythiazide is combined with Bendamustine.]
[J05AE03, ritonavir, The serum concentration of Bendamustine can be increased when it is combined with Ritonavir.]
[P02BA01, praziquantel, The metabolism of Bendamustine can be decreased when combined with Praziquantel.]
[S03BA02, prednisolone, The risk or severity of adverse effects can be increased when Prednisolone is combined with Bendamustine.]
[H02AB07, prednisone, The risk or severity of adverse effects can be increased when Prednisone is combined with Bendamustine.]
[N01BB04, prilocaine, The risk or severity of methemoglobinemia can be increased when Bendamustine is combined with Prilocaine.]
[P01BA03, primaquine, The metabolism of Bendamustine can be increased when combined with Primaquine.]
[N03AA03, primidone, The serum concentration of Bendamustine can be increased when it is combined with Primidone.]
[S01HA05, procaine, The risk or severity of methemoglobinemia can be increased when Bendamustine is combined with Procaine.]
[L01XB01, procarbazine, The risk or severity of adverse effects can be increased when Procarbazine is combined with Bendamustine.]
[N05AA03, promazine, The metabolism of Bendamustine can be decreased when combined with Promazine.]
[C01BC03, propafenone, The serum concentration of Bendamustine can be increased when it is combined with Propafenone.]
[R06AX26, fexofenadine, The serum concentration of Bendamustine can be increased when it is combined with Fexofenadine.]
[L01XH02, romidepsin, The serum concentration of Bendamustine can be increased when it is combined with Romidepsin.]
[C07AA05, propranolol, The metabolism of Bendamustine can be decreased when combined with Propranolol.]
[H03BA02, propylthiouracil, The risk or severity of adverse effects can be increased when Propylthiouracil is combined with Bendamustine.]
[B01AC09, epoprostenol, The risk or severity of bleeding can be increased when Epoprostenol is combined with Bendamustine.]
[J06BB05, rabies immune globulin, human, The therapeutic efficacy of Rabies immune globulin, human can be decreased when used in combination with Bendamustine.]
[C01BA01, quinidine, The serum concentration of Bendamustine can be increased when it is combined with Quinidine.]
[P01BC01, quinine, The serum concentration of Bendamustine can be increased when it is combined with Quinine.]
[A02BA02, ranitidine, The metabolism of Bendamustine can be decreased when combined with Ranitidine.]
[C02AA02, reserpine, The serum concentration of Bendamustine can be increased when it is combined with Reserpine.]
[J04AB02, rifampin, The serum concentration of Bendamustine can be increased when it is combined with Rifampicin.]
[A07EC01, sulfasalazine, The risk or severity of adverse effects can be increased when Sulfasalazine is combined with Bendamustine.]
[N04BD01, selegiline, The metabolism of Bendamustine can be decreased when combined with Selegiline.]
[L01FA03, obinutuzumab, The risk or severity of adverse effects can be increased when Bendamustine is combined with Obinutuzumab.]
[M05BX04, denosumab, The risk or severity of adverse effects can be increased when Denosumab is combined with Bendamustine.]
[L01CD04, cabazitaxel, The risk or severity of adverse effects can be increased when Bendamustine is combined with Cabazitaxel.]
[L03AX17, sipuleucel-T, The therapeutic efficacy of Sipuleucel-T can be decreased when used in combination with Bendamustine.]
[N03AG01, valproic acid, The metabolism of Bendamustine can be decreased when combined with Valproic acid.]
[D07AB02, hydrocortisone butyrate, The risk or severity of adverse effects can be increased when Bendamustine is combined with Hydrocortisone butyrate.]
