[S02DA03, antipyrine, The risk or severity of hyperkalemia can be increased when Dantrolene is combined with Antipyrine.]
[M02AA18, meclofenamic acid, The risk or severity of hyperkalemia can be increased when Meclofenamic acid is combined with Dantrolene.]
[N05BA03, medazepam, The risk or severity of adverse effects can be increased when Dantrolene is combined with Medazepam.]
[B01AB06, nadroparin, The risk or severity of hyperkalemia can be increased when Dantrolene is combined with Nadroparin.]
[B01AB05, enoxaparin, The risk or severity of hyperkalemia can be increased when Dantrolene is combined with Enoxaparin.]
[B01AB04, dalteparin, The risk or severity of hyperkalemia can be increased when Dantrolene is combined with Dalteparin.]
[N05CH01, melatonin, The risk or severity of adverse effects can be increased when Melatonin is combined with Dantrolene.]
[N02AB02, meperidine, The risk or severity of adverse effects can be increased when Meperidine is combined with Dantrolene.]
[N03AB04, mephenytoin, The risk or severity of adverse effects can be increased when Mephenytoin is combined with Dantrolene.]
[N03AA01, mephobarbital, The risk or severity of adverse effects can be increased when Methylphenobarbital is combined with Dantrolene.]
[N01BB03, mepivacaine, The risk or severity of adverse effects can be increased when Mepivacaine is combined with Dantrolene.]
[N05BC01, meprobamate, The risk or severity of adverse effects can be increased when Meprobamate is combined with Dantrolene.]
[N02AX05, meptazinol, The risk or severity of adverse effects can be increased when Dantrolene is combined with Meptazinol.]
[N05AC03, mesoridazine, The risk or severity of adverse effects can be increased when Mesoridazine is combined with Dantrolene.]
[N05AX13, paliperidone, The risk or severity of adverse effects can be increased when Dantrolene is combined with Paliperidone.]
[A04AA04, dolasetron, The risk or severity of adverse effects can be increased when Dolasetron is combined with Dantrolene.]
[J01AA05, methacycline, The risk or severity of neuromuscular blockade can be increased when Metacycline is combined with Dantrolene.]
[N07BC02, methadone, The risk or severity of adverse effects can be increased when Methadone is combined with Dantrolene.]
[N06BA03, methamphetamine, The risk or severity of adverse effects can be increased when Dantrolene is combined with Metamfetamine.]
[A03AB07, methantheline, Dantrolene may increase the central nervous system depressant (CNS depressant) activities of Methantheline.]
[R06AC05, methapyrilene, The risk or severity of adverse effects can be increased when Dantrolene is combined with Methapyrilene.]
[N05CM01, methaqualone, The risk or severity of adverse effects can be increased when Dantrolene is combined with Methaqualone.]
[N03AA30, metharbital, The risk or severity of adverse effects can be increased when Metharbital is combined with Dantrolene.]
[G02CB05, metergoline, The risk or severity of adverse effects can be increased when Dantrolene is combined with Metergoline.]
[M03BA03, methocarbamol, The risk or severity of adverse effects can be increased when Methocarbamol is combined with Dantrolene.]
[N05CA15, methohexital, The risk or severity of adverse effects can be increased when Methohexital is combined with Dantrolene.]
[N02BG08, ziconotide, The risk or severity of hyperkalemia can be increased when Dantrolene is combined with Ziconotide.]
[N05AA02, methotrimeprazine, Dantrolene may increase the central nervous system depressant (CNS depressant) activities of Methotrimeprazine.]
[N02BG09, methoxyflurane, The risk or severity of adverse effects can be increased when Methoxyflurane is combined with Dantrolene.]
[V04CG05, methylene blue, The risk or severity of adverse effects can be increased when Dantrolene is combined with Methylene blue.]
[N03AF03, rufinamide, The risk or severity of adverse effects can be increased when Rufinamide is combined with Dantrolene.]
[G03EK01, methyltestosterone, The therapeutic efficacy of Dantrolene can be increased when used in combination with Methyltestosterone.]
[N05CE02, methyprylon, The risk or severity of adverse effects can be increased when Methyprylon is combined with Dantrolene.]
[N02CA04, methysergide, The risk or severity of adverse effects can be increased when Methysergide is combined with Dantrolene.]
[A03FA01, metoclopramide, The risk or severity of sedation can be increased when Metoclopramide is combined with Dantrolene.]
[C07AB02, metoprolol, The risk or severity of hyperkalemia can be increased when Metoprolol is combined with Dantrolene.]
[N06AX03, mianserin, The risk or severity of adverse effects can be increased when Dantrolene is combined with Mianserin.]
[N02BB03, aminopyrine, The risk or severity of hyperkalemia can be increased when Dantrolene is combined with Aminophenazone.]
[B01AB07, parnaparin, The risk or severity of hyperkalemia can be increased when Dantrolene is combined with Parnaparin.]
[N05CD08, midazolam, The risk or severity of adverse effects can be increased when Midazolam is combined with Dantrolene.]
[B01AB10, tinzaparin, The risk or severity of hyperkalemia can be increased when Dantrolene is combined with Tinzaparin.]
[C09CA03, valsartan, The risk or severity of hyperkalemia can be increased when Valsartan is combined with Dantrolene.]
[J01AA08, minocycline, Minocycline may increase the central nervous system depressant (CNS depressant) activities of Dantrolene.]
[L01XX23, mitotane, The therapeutic efficacy of Dantrolene can be decreased when used in combination with Mitotane.]
[N05AE02, molindone, The risk or severity of adverse effects can be increased when Dantrolene is combined with Molindone.]
[C01BD01, amiodarone, The risk or severity of hyperkalemia can be increased when Dantrolene is combined with Amiodarone.]
[N06AA09, amitriptyline, Dantrolene may increase the central nervous system depressant (CNS depressant) activities of Amitriptyline.]
[N02AA01, morphine, The risk or severity of adverse effects can be increased when Morphine is combined with Dantrolene.]
[A04AA05, palonosetron, The risk or severity of adverse effects can be increased when Palonosetron is combined with Dantrolene.]
[G04BA01, ammonium chloride, The risk or severity of hyperkalemia can be increased when Dantrolene is combined with Ammonium chloride.]
[M03AC03, vecuronium, The therapeutic efficacy of Vecuronium can be increased when used in combination with Dantrolene.]
[N05CA02, amobarbital, The risk or severity of adverse effects can be increased when Dantrolene is combined with Amobarbital.]
[N06AA17, amoxapine, Dantrolene may increase the central nervous system depressant (CNS depressant) activities of Amoxapine.]
[N03AB05, fosphenytoin, The risk or severity of adverse effects can be increased when Dantrolene is combined with Fosphenytoin.]
[C07AA12, nadolol, The risk or severity of hyperkalemia can be increased when Nadolol is combined with Dantrolene.]
[N04BC04, ropinirole, Dantrolene may increase the sedative activities of Ropinirole.]
[C04AX21, nafronyl, The risk or severity of adverse effects can be increased when Dantrolene is combined with Naftidrofuryl.]
[N02AF02, nalbuphine, The risk or severity of adverse effects can be increased when Nalbuphine is combined with Dantrolene.]
[N07BB04, naltrexone, The risk or severity of respiratory depression can be increased when Naltrexone is combined with Dantrolene.]
[S01XA11, nandrolone, The therapeutic efficacy of Dantrolene can be increased when used in combination with Nandrolone phenpropionate.]
[M02AA12, naproxen, The risk or severity of hyperkalemia can be increased when Naproxen is combined with Dantrolene.]
[N06AX21, duloxetine, The risk or severity of adverse effects can be increased when Dantrolene is combined with Duloxetine.]
[N04BX01, tolcapone, The risk or severity of adverse effects can be increased when Tolcapone is combined with Dantrolene.]
[S03AA01, neomycin, The risk or severity of neuromuscular blockade can be increased when Neomycin is combined with Dantrolene.]
[N01AH06, remifentanil, The risk or severity of adverse effects can be increased when Remifentanil is combined with Dantrolene.]
[N05AX14, iloperidone, The risk or severity of adverse effects can be increased when Dantrolene is combined with Iloperidone.]
[S01AA23, netilmicin, The risk or severity of neuromuscular blockade can be increased when Netilmicin is combined with Dantrolene.]
[N06AX23, desvenlafaxine, The risk or severity of adverse effects can be increased when Dantrolene is combined with Desvenlafaxine.]
[C09CA07, telmisartan, The risk or severity of hyperkalemia can be increased when Telmisartan is combined with Dantrolene.]
[C10AD02, niacin, The therapeutic efficacy of Dantrolene can be increased when used in combination with Niacin.]
[N06AF02, nialamide, The risk or severity of adverse effects can be increased when Dantrolene is combined with Nialamide.]
[C08CA04, nicardipine, The risk or severity of hyperkalemia can be increased when Dantrolene is combined with Nicardipine.]
[N07BA01, nicotine, The risk or severity of adverse effects can be increased when Dantrolene is combined with Nicotine.]
[C08CA05, nifedipine, The risk or severity of hyperkalemia can be increased when Dantrolene is combined with Nifedipine.]
[M02AA17, niflumic acid, The risk or severity of hyperkalemia can be increased when Dantrolene is combined with Niflumic acid.]
[C08CA06, nimodipine, The risk or severity of hyperkalemia can be increased when Dantrolene is combined with Nimodipine.]
[C08CA07, nisoldipine, The risk or severity of hyperkalemia can be increased when Dantrolene is combined with Nisoldipine.]
[N05CD02, nitrazepam, The risk or severity of adverse effects can be increased when Dantrolene is combined with Nitrazepam.]
[C08CA08, nitrendipine, The risk or severity of hyperkalemia can be increased when Dantrolene is combined with Nitrendipine.]
[J01XE01, nitrofurantoin, The risk or severity of hyperkalemia can be increased when Nitrofurantoin is combined with Dantrolene.]
[N05CF03, zaleplon, The risk or severity of adverse effects can be increased when Zaleplon is combined with Dantrolene.]
[N04BC05, pramipexole, Dantrolene may increase the sedative activities of Pramipexole.]
[N01AX13, nitrous oxide, The risk or severity of adverse effects can be increased when Dantrolene is combined with Nitrous oxide.]
[N06AX04, nomifensine, The risk or severity of adverse effects can be increased when Dantrolene is combined with Nomifensine.]
[N06AA10, nortriptyline, Dantrolene may increase the central nervous system depressant (CNS depressant) activities of Nortriptyline.]
[G02CA02, nylidrin, The risk or severity of hyperkalemia can be increased when Dantrolene is combined with Nylidrin.]
[B01AB08, reviparin, The risk or severity of hyperkalemia can be increased when Dantrolene is combined with Reviparin.]
[N06AA05, opipramol, The risk or severity of adverse effects can be increased when Dantrolene is combined with Opipramol.]
[N02AA02, opium, The risk or severity of adverse effects can be increased when Dantrolene is combined with Opium.]
[A14AA08, oxandrolone, The therapeutic efficacy of Dantrolene can be increased when used in combination with Oxandrolone.]
[N05BA04, oxazepam, The risk or severity of adverse effects can be increased when Oxazepam is combined with Dantrolene.]
[C07AA02, oxprenolol, The risk or severity of adverse effects can be increased when Dantrolene is combined with Oxprenolol.]
[N02AA05, oxycodone, The risk or severity of adverse effects can be increased when Oxycodone is combined with Dantrolene.]
[A14AA05, oxymetholone, The therapeutic efficacy of Dantrolene can be increased when used in combination with Oxymetholone.]
[N02AA11, oxymorphone, The risk or severity of adverse effects can be increased when Oxymorphone is combined with Dantrolene.]
[N05AE01, oxypertine, The risk or severity of adverse effects can be increased when Dantrolene is combined with Oxypertine.]
[S01BC02, oxyphenbutazone, The risk or severity of hyperkalemia can be increased when Dantrolene is combined with Oxyphenbutazone.]
[A03AB03, oxyphenonium, Dantrolene may increase the central nervous system depressant (CNS depressant) activities of Oxyphenonium.]
[S01AA04, oxytetracycline, The risk or severity of neuromuscular blockade can be increased when Oxytetracycline is combined with Dantrolene.]
[N05AH05, asenapine, The risk or severity of adverse effects can be increased when Dantrolene is combined with Asenapine.]
[B01AB09, danaparoid, The risk or severity of hyperkalemia can be increased when Dantrolene is combined with Danaparoid.]
[N02AX06, tapentadol, Tapentadol may increase the central nervous system depressant (CNS depressant) activities of Dantrolene.]
[M03AC01, pancuronium, The therapeutic efficacy of Pancuronium can be increased when used in combination with Dantrolene.]
[J04AB30, capreomycin, The risk or severity of neuromuscular blockade can be increased when Capreomycin is combined with Dantrolene.]
[N05CC05, paraldehyde, Dantrolene may increase the central nervous system depressant (CNS depressant) activities of Paraldehyde.]
[C02KC01, pargyline, The risk or severity of adverse effects can be increased when Dantrolene is combined with Pargyline.]
[A07AA06, paromomycin, The risk or severity of neuromuscular blockade can be increased when Dantrolene is combined with Paromomycin.]
[G04BD11, fesoterodine, Dantrolene may increase the central nervous system depressant (CNS depressant) activities of Fesoterodine.]
[C07AA23, penbutolol, The risk or severity of adverse effects can be increased when Dantrolene is combined with Penbutolol.]
[N05AG03, penfluridol, The risk or severity of hyperkalemia can be increased when Dantrolene is combined with Penfluridol.]
[N02AD01, pentazocine, The risk or severity of adverse effects can be increased when Pentazocine is combined with Dantrolene.]
[N05CA01, pentobarbital, The risk or severity of adverse effects can be increased when Pentobarbital is combined with Dantrolene.]
[N05AB10, perazine, The risk or severity of adverse effects can be increased when Dantrolene is combined with Perazine.]
[N04BC02, pergolide, The risk or severity of adverse effects can be increased when Pergolide is combined with Dantrolene.]
[C08EX02, perhexiline, The risk or severity of hyperkalemia can be increased when Dantrolene is combined with Perhexiline.]
[N05AB03, perphenazine, The risk or severity of adverse effects can be increased when Perphenazine is combined with Dantrolene.]
[N02AD02, phenazocine, The risk or severity of adverse effects can be increased when Dantrolene is combined with Phenazocine.]
[N06AF03, phenelzine, The risk or severity of adverse effects can be increased when Phenelzine is combined with Dantrolene.]
[N03AA02, phenobarbital, The risk or severity of adverse effects can be increased when Phenobarbital is combined with Dantrolene.]
[N01AH04, phenoperidine, The risk or severity of adverse effects can be increased when Dantrolene is combined with Phenoperidine.]
[M02AA01, phenylbutazone, The risk or severity of hyperkalemia can be increased when Phenylbutazone is combined with Dantrolene.]
[N03AB02, phenytoin, The risk or severity of adverse effects can be increased when Phenytoin is combined with Dantrolene.]
[C08CX01, mibefradil, The risk or severity of hyperkalemia can be increased when Dantrolene is combined with Mibefradil.]
[N05AG02, pimozide, The risk or severity of adverse effects can be increased when Pimozide is combined with Dantrolene.]
[C07AA03, pindolol, The risk or severity of adverse effects can be increased when Pindolol is combined with Dantrolene.]
[J01CA12, piperacillin, The risk or severity of neuromuscular blockade can be increased when Piperacillin is combined with Dantrolene.]
[N05AC04, pipothiazine, The risk or severity of adverse effects can be increased when Dantrolene is combined with Pipotiazine.]
[C09CA02, eprosartan, The risk or severity of hyperkalemia can be increased when Eprosartan is combined with Dantrolene.]
[A02BX03, pirenzepine, Dantrolene may increase the central nervous system depressant (CNS depressant) activities of Pirenzepine.]
[N02AC03, pirinitramide, The risk or severity of adverse effects can be increased when Dantrolene is combined with Piritramide.]
[S01BC06, piroxicam, The risk or severity of hyperkalemia can be increased when Piroxicam is combined with Dantrolene.]
[N02CX01, pizotyline, Dantrolene may increase the central nervous system depressant (CNS depressant) activities of Pizotifen.]
[C09CA04, irbesartan, The risk or severity of hyperkalemia can be increased when Irbesartan is combined with Dantrolene.]
[N05CA22, proxibarbal, The risk or severity of adverse effects can be increased when Dantrolene is combined with Proxibarbal.]
[A03AE01, alosetron, The risk or severity of adverse effects can be increased when Alosetron is combined with Dantrolene.]
[B05XA01, potassium chloride, Potassium chloride may increase the hyperkalemic activities of Dantrolene.]
[V03AB21, potassium iodide, Potassium Iodide may increase the hyperkalemic activities of Dantrolene.]
[C07AB01, practolol, The risk or severity of hyperkalemia can be increased when Dantrolene is combined with Practolol.]
[N05BA11, prazepam, The risk or severity of adverse effects can be increased when Dantrolene is combined with Prazepam.]
[H02AB07, prednisone, The therapeutic efficacy of Dantrolene can be increased when used in combination with Prednisone.]
[C01DX02, prenylamine, The risk or severity of hyperkalemia can be increased when Dantrolene is combined with Prenylamine.]
[N01BB04, prilocaine, The risk or severity of adverse effects can be increased when Prilocaine is combined with Dantrolene.]
[N03AA03, primidone, The risk or severity of adverse effects can be increased when Primidone is combined with Dantrolene.]
[C01BA02, procainamide, The risk or severity of neuromuscular blockade can be increased when Procainamide is combined with Dantrolene.]
[S01HA05, procaine, The risk or severity of adverse effects can be increased when Procaine is combined with Dantrolene.]
[L01XB01, procarbazine, The risk or severity of adverse effects can be increased when Procarbazine is combined with Dantrolene.]
[N05AB04, prochlorperazine, The risk or severity of adverse effects can be increased when Prochlorperazine is combined with Dantrolene.]
[N04AA04, procyclidine, Dantrolene may increase the central nervous system depressant (CNS depressant) activities of Procyclidine.]
[N05AA03, promazine, Dantrolene may increase the central nervous system depressant (CNS depressant) activities of Promazine.]
[R06AD02, promethazine, Dantrolene may increase the central nervous system depressant (CNS depressant) activities of Promethazine.]
[C01BC03, propafenone, The risk or severity of hyperkalemia can be increased when Propafenone is combined with Dantrolene.]
[N01AX04, propanidid, The risk or severity of adverse effects can be increased when Dantrolene is combined with Propanidid.]
[A03AB05, propantheline, Dantrolene may increase the central nervous system depressant (CNS depressant) activities of Propantheline.]
[N05AC01, periciazine, The risk or severity of adverse effects can be increased when Dantrolene is combined with Periciazine.]
[N05CM06, propiomazine, Dantrolene may increase the central nervous system depressant (CNS depressant) activities of Propiomazine.]
[N01AX10, propofol, The risk or severity of adverse effects can be increased when Propofol is combined with Dantrolene.]
[N02AC04, propoxyphene, The risk or severity of adverse effects can be increased when Dextropropoxyphene is combined with Dantrolene.]
[C07AA05, propranolol, The risk or severity of hyperkalemia can be increased when Propranolol is combined with Dantrolene.]
[N02CC04, rizatriptan, The risk or severity of adverse effects can be increased when Rizatriptan is combined with Dantrolene.]
[N06AA11, protriptyline, The risk or severity of adverse effects can be increased when Protriptyline is combined with Dantrolene.]
[N05AX12, aripiprazole, Dantrolene may increase the central nervous system depressant (CNS depressant) activities of Aripiprazole.]
[A03AB15, diphemanil, Dantrolene may increase the central nervous system depressant (CNS depressant) activities of Diphemanil.]
[A03AB09, isopropamide, Dantrolene may increase the central nervous system depressant (CNS depressant) activities of Isopropamide.]
[S01FA03, methscopolamine, Dantrolene may increase the central nervous system depressant (CNS depressant) activities of Methscopolamine.]
[N05CA07, talbutal, The risk or severity of adverse effects can be increased when Talbutal is combined with Dantrolene.]
[N05CA09, vinbarbital, The risk or severity of adverse effects can be increased when Dantrolene is combined with Vinbarbital.]
[N05BB02, captodiamine, The risk or severity of adverse effects can be increased when Dantrolene is combined with Captodiame.]
[M03BA04, styramate, The risk or severity of adverse effects can be increased when Dantrolene is combined with Styramate.]
[P02CC01, pyrantel, The therapeutic efficacy of Pyrantel can be increased when used in combination with Dantrolene.]
[A12BA05, potassium gluconate, Potassium gluconate may increase the hyperkalemic activities of Dantrolene.]
[R06AC01, pyrilamine, The risk or severity of adverse effects can be increased when Dantrolene is combined with Mepyramine.]
[C01BA01, quinidine, Dantrolene may increase the central nervous system depressant (CNS depressant) activities of Quinidine.]
[P01BC01, quinine, The risk or severity of adverse effects can be increased when Quinine is combined with Dantrolene.]
[C02AA01, rescinnamine, The risk or severity of hyperkalemia can be increased when Rescinnamine is combined with Dantrolene.]
[C02AA02, reserpine, The risk or severity of adverse effects can be increased when Reserpine is combined with Dantrolene.]
[N06AX01, 5-hydroxytryptophan, The risk or severity of adverse effects can be increased when Dantrolene is combined with Oxitriptan.]
[J01AA09, rolitetracycline, The risk or severity of neuromuscular blockade can be increased when Dantrolene is combined with Rolitetracycline.]
[N02BA05, salicylamide, The risk or severity of hyperkalemia can be increased when Dantrolene is combined with Salicylamide.]
[A07EC01, sulfasalazine, The risk or severity of hyperkalemia can be increased when Sulfasalazine is combined with Dantrolene.]
[S01BC08, salicylic acid, The risk or severity of hyperkalemia can be increased when Salicylic acid is combined with Dantrolene.]
[S01FA02, scopolamine, Dantrolene may increase the central nervous system depressant (CNS depressant) activities of Scopolamine.]
[N05CA06, secobarbital, The risk or severity of adverse effects can be increased when Secobarbital is combined with Dantrolene.]
[N04BD01, selegiline, The risk or severity of adverse effects can be increased when Selegiline is combined with Dantrolene.]
[J01GB08, sisomicin, The risk or severity of neuromuscular blockade can be increased when Dantrolene is combined with Sisomicin.]
[C07AA07, sotalol, The risk or severity of hyperkalemia can be increased when Sotalol is combined with Dantrolene.]
[C03DA01, spironolactone, The risk or severity of hyperkalemia can be increased when Spironolactone is combined with Dantrolene.]
[N05CC01, chloral hydrate, The risk or severity of adverse effects can be increased when Dantrolene is combined with Chloral hydrate.]
[N03AG01, valproic acid, The risk or severity of adverse effects can be increased when Valproic acid is combined with Dantrolene.]
[R03BB01, ipratropium bromide, Dantrolene may increase the central nervous system depressant (CNS depressant) activities of Ipratropium.]
