[S02DA03, antipyrine, The metabolism of Fluorouracil can be decreased when combined with Antipyrine.]
[N03AX15, zonisamide, The risk or severity of QTc prolongation can be increased when Zonisamide is combined with Fluorouracil.]
[N05CF01, zopiclone, The metabolism of Fluorouracil can be decreased when combined with Zopiclone.]
[N05AX11, zotepine, The metabolism of Zotepine can be decreased when combined with Fluorouracil.]
[B01AD03, anistreplase, The risk or severity of bleeding can be increased when Anistreplase is combined with Fluorouracil.]
[L01XA02, carboplatin, The risk or severity of adverse effects can be increased when Fluorouracil is combined with Carboplatin.]
[B01AC11, iloprost, The risk or severity of bleeding can be increased when Iloprost is combined with Fluorouracil.]
[C01BG01, moricizine, The risk or severity of QTc prolongation can be increased when Moricizine is combined with Fluorouracil.]
[N03AG01, valproic acid, The metabolism of Fluorouracil can be decreased when combined with Valproic acid.]
[S01AA17, erythromycin, The risk or severity of QTc prolongation can be increased when Erythromycin is combined with Fluorouracil.]
[A02BC02, pantoprazole, Pantoprazole may decrease the excretion rate of Fluorouracil which could result in a higher serum level.]
[H05BX01, cinacalcet, The metabolism of Cinacalcet can be decreased when combined with Fluorouracil.]
[G03CA03, estradiol, The metabolism of Fluorouracil can be decreased when combined with Estradiol.]
[L01XX11, estramustine, The risk or severity of adverse effects can be increased when Fluorouracil is combined with Estramustine.]
[G03CA57, estrogens, conjugated (USP), The metabolism of Fluorouracil can be decreased when combined with Conjugated estrogens.]
[J04AK02, ethambutol, The metabolism of Fluorouracil can be decreased when combined with Ethambutol.]
[R03BA05, fluticasone, The metabolism of Fluorouracil can be decreased when combined with Fluticasone.]
[C10AA04, fluvastatin, The metabolism of Fluorouracil can be decreased when combined with Fluvastatin.]
[L02AA03, ethinyl estradiol, The metabolism of Fluorouracil can be decreased when combined with Ethinylestradiol.]
[C01BD05, ibutilide, The risk or severity of QTc prolongation can be increased when Fluorouracil is combined with Ibutilide.]
[N03AD01, ethosuximide, The risk or severity of QTc prolongation can be increased when Ethosuximide is combined with Fluorouracil.]
[N03AB01, ethotoin, The therapeutic efficacy of Ethotoin can be decreased when used in combination with Fluorouracil.]
[N01BX01, ethyl chloride, The risk or severity of methemoglobinemia can be increased when Fluorouracil is combined with Ethyl chloride.]
[M01AC06, meloxicam, The risk or severity of methemoglobinemia can be increased when Fluorouracil is combined with Meloxicam.]
[N01BB07, etidocaine, The risk or severity of methemoglobinemia can be increased when Fluorouracil is combined with Etidocaine.]
[L01CB01, etoposide, The risk or severity of adverse effects can be increased when Fluorouracil is combined with Etoposide.]
[C01BA05, ajmaline, The risk or severity of QTc prolongation can be increased when Ajmaline is combined with Fluorouracil.]
[L04AD02, tacrolimus, Tacrolimus may increase the immunosuppressive activities of Fluorouracil.]
[J01MA08, fleroxacin, The risk or severity of QTc prolongation can be increased when Fleroxacin is combined with Fluorouracil.]
[R06AX11, astemizole, The risk or severity of QTc prolongation can be increased when Fluorouracil is combined with Astemizole.]
[R06AX12, terfenadine, The metabolism of Fluorouracil can be decreased when combined with Terfenadine.]
[N06AX12, bupropion, The metabolism of Bupropion can be decreased when combined with Fluorouracil.]
[N06AB08, fluvoxamine, The metabolism of Fluorouracil can be decreased when combined with Fluvoxamine.]
[C01BB03, tocainide, The metabolism of Fluorouracil can be decreased when combined with Tocainide.]
[C01BC08, encainide, The risk or severity of QTc prolongation can be increased when Encainide is combined with Fluorouracil.]
[L02AE02, leuprolide, The risk or severity of QTc prolongation can be increased when Leuprolide is combined with Fluorouracil.]
[L04AA02, muromonab-CD3, The risk or severity of adverse effects can be increased when Muromonab is combined with Fluorouracil.]
[C10AA03, pravastatin, Pravastatin may decrease the excretion rate of Fluorouracil which could result in a higher serum level.]
[B05AA05, dextran, The risk or severity of bleeding can be increased when Dextran is combined with Fluorouracil.]
[V03AF02, dexrazoxane, The risk or severity of adverse effects can be increased when Dexrazoxane is combined with Fluorouracil.]
[A02BA03, famotidine, The metabolism of Fluorouracil can be decreased when combined with Famotidine.]
[P02CA03, albendazole, The metabolism of Fluorouracil can be increased when combined with Albendazole.]
[C08CA02, felodipine, The metabolism of Fluorouracil can be decreased when combined with Felodipine.]
[C08EA01, fendiline, The risk or severity of QTc prolongation can be increased when Fluorouracil is combined with Fendiline.]
[N03AX26, fenfluramine, The metabolism of Fenfluramine can be decreased when combined with Fluorouracil.]
[R03CC02, albuterol, The risk or severity of QTc prolongation can be increased when Salbutamol is combined with Fluorouracil.]
[B01AD05, plasmin, The risk or severity of bleeding can be increased when Fibrinolysin is combined with Fluorouracil.]
[L01BB06, clofarabine, The risk or severity of adverse effects can be increased when Fluorouracil is combined with Clofarabine.]
[L04AA40, cladribine, The risk or severity of adverse effects can be increased when Cladribine is combined with Fluorouracil.]
[C01BC04, flecainide, The risk or severity of QTc prolongation can be increased when Fluorouracil is combined with Flecainide.]
[J02AC01, fluconazole, The risk or severity of QTc prolongation can be increased when Fluconazole is combined with Fluorouracil.]
[J02AX01, flucytosine, The risk or severity of adverse effects can be increased when Fluorouracil is combined with Flucytosine.]
[H02AA02, fludrocortisone, The risk or severity of adverse effects can be increased when Fluorouracil is combined with Fludrocortisone.]
[N07CA03, flunarizine, The metabolism of Fluorouracil can be decreased when combined with Flunarizine.]
[N05CD03, flunitrazepam, The metabolism of Fluorouracil can be decreased when combined with Flunitrazepam.]
[D07AC08, fluocinonide, The risk or severity of adverse effects can be increased when Fluorouracil is combined with Fluocinonide.]
[H02AB03, fluocortolone, The risk or severity of adverse effects can be increased when Fluorouracil is combined with Fluocortolone.]
[V03AZ01, ethanol, The metabolism of Ethanol can be decreased when combined with Fluorouracil.]
[L01BC09, floxuridine, The risk or severity of adverse effects can be increased when Floxuridine is combined with Fluorouracil.]
[S01CB05, fluorometholone, The risk or severity of adverse effects can be increased when Fluorometholone is combined with Fluorouracil.]
[L04AA03, lymphocyte immune globulin, anti-thymocyte globulin, equine, The risk or severity of adverse effects can be increased when Fluorouracil is combined with Antilymphocyte immunoglobulin (horse).]
[S01AA13, fusidic acid, Fusidic acid may decrease the excretion rate of Fluorouracil which could result in a higher serum level.]
[J01MB04, pipemidic acid, The metabolism of Fluorouracil can be decreased when combined with Pipemidic acid.]
[M01AG01, mefenamic acid, The metabolism of Mefenamic acid can be decreased when combined with Fluorouracil.]
[R03BA09, fluticasone furoate, The metabolism of Fluorouracil can be decreased when combined with Fluticasone furoate.]
[N06AB03, fluoxetine, The risk or severity of QTc prolongation can be increased when Fluoxetine is combined with Fluorouracil.]
[N05AF01, flupenthixol, The risk or severity of QTc prolongation can be increased when Fluorouracil is combined with Flupentixol.]
[N05CD01, flurazepam, The metabolism of Fluorouracil can be decreased when combined with Flurazepam.]
[S01BC04, flurbiprofen, The metabolism of Flurbiprofen can be decreased when combined with Fluorouracil.]
[N05AG01, fluspirilene, The risk or severity of QTc prolongation can be increased when Fluorouracil is combined with Fluspirilene.]
[L02BB01, flutamide, The metabolism of Fluorouracil can be decreased when combined with Flutamide.]
[V04CX02, folic acid, The risk or severity of adverse effects can be increased when Folic acid is combined with Fluorouracil.]
[L01BC03, tegafur, The metabolism of Tegafur can be decreased when combined with Fluorouracil.]
[C03CA01, furosemide, The therapeutic efficacy of Furosemide can be decreased when used in combination with Fluorouracil.]
[N05CF04, eszopiclone, The metabolism of Fluorouracil can be decreased when combined with Eszopiclone.]
[N05AL05, amisulpride, The risk or severity of QTc prolongation can be increased when Fluorouracil is combined with Amisulpride.]
[N06DA04, galantamine, The risk or severity of QTc prolongation can be increased when Galantamine is combined with Fluorouracil.]
[C08DA02, gallopamil, The risk or severity of QTc prolongation can be increased when Gallopamil is combined with Fluorouracil.]
[C10AB04, gemfibrozil, The metabolism of Fluorouracil can be decreased when combined with Gemfibrozil.]
[J01XA03, telavancin, The risk or severity of QTc prolongation can be increased when Fluorouracil is combined with Telavancin.]
[L02BX02, degarelix, The risk or severity of QTc prolongation can be increased when Degarelix is combined with Fluorouracil.]
[L01EA02, dasatinib, The risk or severity of adverse effects can be increased when Fluorouracil is combined with Dasatinib.]
[C01CA21, cafedrine, The metabolism of Cafedrine can be decreased when combined with Fluorouracil.]
[J05AG04, etravirine, The metabolism of Etravirine can be decreased when combined with Fluorouracil.]
[N03AD03, methsuximide, The risk or severity of QTc prolongation can be increased when Methsuximide is combined with Fluorouracil.]
[L01EH01, lapatinib, The metabolism of Fluorouracil can be decreased when combined with Lapatinib.]
[A10BB01, glyburide, The metabolism of Glyburide can be decreased when combined with Fluorouracil.]
[A10BB09, gliclazide, The metabolism of Gliclazide can be decreased when combined with Fluorouracil.]
[A10BB07, glipizide, The metabolism of Glipizide can be decreased when combined with Fluorouracil.]
[N05CM18, dexmedetomidine, The metabolism of Fluorouracil can be decreased when combined with Dexmedetomidine.]
[C01BD04, dofetilide, The risk or severity of QTc prolongation can be increased when Fluorouracil is combined with Dofetilide.]
[C02CA04, doxazosin, The metabolism of Doxazosin can be decreased when combined with Fluorouracil.]
[L01EX02, sorafenib, The risk or severity of QTc prolongation can be increased when Sorafenib is combined with Fluorouracil.]
[C07AB09, esmolol, The risk or severity of QTc prolongation can be increased when Esmolol is combined with Fluorouracil.]
[B01AA12, fluindione, The metabolism of Fluindione can be decreased when combined with Fluorouracil.]
[L02AE03, goserelin, The risk or severity of QTc prolongation can be increased when Goserelin is combined with Fluorouracil.]
[P01BX01, halofantrine, The metabolism of Fluorouracil can be decreased when combined with Halofantrine.]
[N05AD01, haloperidol, The risk or severity of QTc prolongation can be increased when Fluorouracil is combined with Haloperidol.]
[N01AB01, halothane, The metabolism of Fluorouracil can be decreased when combined with Halothane.]
[L02AE05, histrelin, The risk or severity of QTc prolongation can be increased when Histrelin is combined with Fluorouracil.]
[N05AH04, quetiapine, The risk or severity of QTc prolongation can be increased when Fluorouracil is combined with Quetiapine.]
[L01CE02, irinotecan, The risk or severity of adverse effects can be increased when Fluorouracil is combined with Irinotecan.]
[M04AA01, allopurinol, The risk or severity of adverse effects can be increased when Allopurinol is combined with Fluorouracil.]
[C09CA01, losartan, The metabolism of Fluorouracil can be decreased when combined with Losartan.]
[S01XA14, heparin, The therapeutic efficacy of Heparin can be decreased when used in combination with Fluorouracil.]
[L01XX03, altretamine, The risk or severity of adverse effects can be increased when Altretamine is combined with Fluorouracil.]
[N05CA16, hexobarbital, The metabolism of Hexobarbital can be decreased when combined with Fluorouracil.]
[J05AG01, nevirapine, The metabolism of Fluorouracil can be decreased when combined with Nevirapine.]
[C08CA10, nilvadipine, The metabolism of Fluorouracil can be decreased when combined with Nilvadipine.]
[M02AA26, nimesulide, The risk or severity of bleeding can be increased when Nimesulide is combined with Fluorouracil.]
[R06AE06, oxatomide, The risk or severity of QTc prolongation can be increased when Fluorouracil is combined with Oxatomide.]
[C03AA03, hydrochlorothiazide, The risk or severity of QTc prolongation can be increased when Hydrochlorothiazide is combined with Fluorouracil.]
[S02BA01, hydrocortisone, The metabolism of Fluorouracil can be increased when combined with Hydrocortisone.]
[C03AA02, hydroflumethiazide, The risk or severity of neutropenia and thrombocytopenia can be increased when Hydroflumethiazide is combined with Fluorouracil.]
[P01BA02, hydroxychloroquine, The metabolism of Fluorouracil can be decreased when combined with Hydroxychloroquine.]
[L01XX05, hydroxyurea, The risk or severity of adverse effects can be increased when Fluorouracil is combined with Hydroxyurea.]
[N05BB01, hydroxyzine, The risk or severity of QTc prolongation can be increased when Fluorouracil is combined with Hydroxyzine.]
[J04AB04, rifabutin, The metabolism of Fluorouracil can be increased when combined with Rifabutin.]
[R02AX02, ibuprofen, The metabolism of Fluorouracil can be decreased when combined with Ibuprofen.]
[B05CB02, sodium citrate, The risk or severity of bleeding can be increased when Sodium citrate is combined with Fluorouracil.]
[L01DB06, idarubicin, The risk or severity of adverse effects can be increased when Fluorouracil is combined with Idarubicin.]
[L01AA06, ifosfamide, The metabolism of Fluorouracil can be increased when combined with Ifosfamide.]
[H01AC02, somatrem, The metabolism of Fluorouracil can be increased when combined with Somatrem.]
[N06AA02, imipramine, The metabolism of Fluorouracil can be decreased when combined with Imipramine.]
[L01CD01, paclitaxel, The metabolism of Paclitaxel can be decreased when combined with Fluorouracil.]
[H01BA04, terlipressin, The risk or severity of QTc prolongation can be increased when Fluorouracil is combined with Terlipressin.]
[R01AD07, tixocortol, The risk or severity of adverse effects can be increased when Fluorouracil is combined with Tixocortol.]
[M03BX02, tizanidine, The metabolism of Tizanidine can be decreased when combined with Fluorouracil.]
[L01CE01, topotecan, The risk or severity of adverse effects can be increased when Fluorouracil is combined with Topotecan.]
[C03BA11, indapamide, The risk or severity of QTc prolongation can be increased when Indapamide is combined with Fluorouracil.]
[S01BC01, indomethacin, The risk or severity of adverse effects can be increased when Indomethacin is combined with Fluorouracil.]
[L03AB04, interferon alfa-2a, The risk or severity of adverse effects can be increased when Interferon alfa-2a is combined with Fluorouracil.]
[L03AB05, interferon alfa-2b, The risk or severity of adverse effects can be increased when Interferon alfa-2b is combined with Fluorouracil.]
[L04AA25, eculizumab, The risk or severity of adverse effects can be increased when Fluorouracil is combined with Eculizumab.]
[N01BB08, articaine, The risk or severity of methemoglobinemia can be increased when Fluorouracil is combined with Articaine.]
[A10BH01, sitagliptin, The metabolism of Fluorouracil can be decreased when combined with Sitagliptin.]
[N05CH02, ramelteon, The metabolism of Ramelteon can be decreased when combined with Fluorouracil.]
[R06AE01, buclizine, The risk or severity of QTc prolongation can be increased when Buclizine is combined with Fluorouracil.]
[C10AA06, cerivastatin, The metabolism of Fluorouracil can be decreased when combined with Cerivastatin.]
[L01XX35, anagrelide, The risk or severity of QTc prolongation can be increased when Fluorouracil is combined with Anagrelide.]
[L03AB09, interferon alfacon-1, The risk or severity of adverse effects can be increased when Interferon alfacon-1 is combined with Fluorouracil.]
[J05AB13, penciclovir, The metabolism of Fluorouracil can be decreased when combined with Penciclovir.]
[N01AB06, isoflurane, The risk or severity of QTc prolongation can be increased when Isoflurane is combined with Fluorouracil.]
[J04AC01, isoniazid, The metabolism of Fluorouracil can be decreased when combined with Isoniazid.]
[B01AE06, bivalirudin, The risk or severity of bleeding can be increased when Bivalirudin is combined with Fluorouracil.]
[H01AC01, somatropin, The metabolism of Fluorouracil can be increased when combined with Somatotropin.]
[L04AC07, tocilizumab, The metabolism of Fluorouracil can be increased when combined with Tocilizumab.]
[N01AX03, ketamine, The metabolism of Fluorouracil can be decreased when combined with Ketamine.]
[C02KD01, ketanserin, The risk or severity of bleeding can be increased when Ketanserin is combined with Fluorouracil.]
[B01AC22, prasugrel, The metabolism of Prasugrel can be decreased when combined with Fluorouracil.]
[J02AB02, ketoconazole, The metabolism of Fluorouracil can be decreased when combined with Ketoconazole.]
[N05AH03, olanzapine, The metabolism of Fluorouracil can be decreased when combined with Olanzapine.]
[M02AA10, ketoprofen, The metabolism of Fluorouracil can be decreased when combined with Ketoprofen.]
[V03AC03, deferasirox, The serum concentration of Fluorouracil can be increased when it is combined with Deferasirox.]
[L04AA24, abatacept, The metabolism of Fluorouracil can be increased when combined with Abatacept.]
[R06AX25, mizolastine, The risk or severity of QTc prolongation can be increased when Fluorouracil is combined with Mizolastine.]
[J01MB02, nalidixic acid, The metabolism of Fluorouracil can be decreased when combined with Nalidixic acid.]
[N04BB01, amantadine, The risk or severity of QTc prolongation can be increased when Amantadine is combined with Fluorouracil.]
[N03AX18, lacosamide, The metabolism of Lacosamide can be decreased when combined with Fluorouracil.]
[L01DC03, mitomycin, The risk or severity of adverse effects can be increased when Mitomycin is combined with Fluorouracil.]
[S02DA01, lidocaine, The risk or severity of methemoglobinemia can be increased when Fluorouracil is combined with Lidocaine.]
[C08EX01, lidoflazine, The risk or severity of QTc prolongation can be increased when Lidoflazine is combined with Fluorouracil.]
[N06BA13, armodafinil, The metabolism of Fluorouracil can be increased when combined with Armodafinil.]
[L01AD02, lomustine, The risk or severity of adverse effects can be increased when Fluorouracil is combined with Lomustine.]
[A07DA03, loperamide, The metabolism of Fluorouracil can be decreased when combined with Loperamide.]
[C10AA02, lovastatin, The metabolism of Fluorouracil can be decreased when combined with Lovastatin.]
[G03DC03, lynestrenol, The metabolism of Lynestrenol can be decreased when combined with Fluorouracil.]
[L01EG01, temsirolimus, The risk or severity of adverse effects can be increased when Fluorouracil is combined with Temsirolimus.]
[L01BA05, pralatrexate, The risk or severity of adverse effects can be increased when Fluorouracil is combined with Pralatrexate.]
[L01EA03, nilotinib, The risk or severity of adverse effects can be increased when Fluorouracil is combined with Nilotinib.]
[N06AA21, maprotiline, The metabolism of Maprotiline can be decreased when combined with Fluorouracil.]
[L01AA05, mechlorethamine, The risk or severity of adverse effects can be increased when Fluorouracil is combined with Mechlorethamine.]
[M02AA18, meclofenamic acid, The therapeutic efficacy of Meclofenamic acid can be decreased when used in combination with Fluorouracil.]
[C01AA08, medigoxin, Metildigoxin may decrease the cardiotoxic activities of Fluorouracil.]
[P01BC02, mefloquine, The risk or severity of QTc prolongation can be increased when Mefloquine is combined with Fluorouracil.]
[B01AB06, nadroparin, The risk or severity of bleeding can be increased when Nadroparin is combined with Fluorouracil.]
[B01AB05, enoxaparin, The risk or severity of bleeding can be increased when Enoxaparin is combined with Fluorouracil.]
[B01AB04, dalteparin, The risk or severity of bleeding can be increased when Dalteparin is combined with Fluorouracil.]
[N05CH01, melatonin, The metabolism of Melatonin can be decreased when combined with Fluorouracil.]
[L01AA03, melphalan, The risk or severity of adverse effects can be increased when Fluorouracil is combined with Melphalan.]
[N06DX01, memantine, The metabolism of Fluorouracil can be decreased when combined with Memantine.]
[N03AB04, mephenytoin, The metabolism of Fluorouracil can be decreased when combined with Mephenytoin.]
[N01BB03, mepivacaine, The risk or severity of methemoglobinemia can be increased when Fluorouracil is combined with Mepivacaine.]
[N05AC03, mesoridazine, The risk or severity of QTc prolongation can be increased when Fluorouracil is combined with Mesoridazine.]
[N05AX13, paliperidone, The risk or severity of QTc prolongation can be increased when Fluorouracil is combined with Paliperidone.]
[A04AA04, dolasetron, The risk or severity of QTc prolongation can be increased when Fluorouracil is combined with Dolasetron.]
[N07BC02, methadone, The risk or severity of QTc prolongation can be increased when Methadone is combined with Fluorouracil.]
[H03BB02, methimazole, The metabolism of Fluorouracil can be decreased when combined with Methimazole.]
[L01BA04, pemetrexed, The risk or severity of adverse effects can be increased when Fluorouracil is combined with Pemetrexed.]
[L04AX03, methotrexate, The risk or severity of adverse effects can be increased when Methotrexate is combined with Fluorouracil.]
[N05AA02, methotrimeprazine, The risk or severity of QTc prolongation can be increased when Methotrimeprazine is combined with Fluorouracil.]
[D05BA02, methoxsalen, The metabolism of Fluorouracil can be decreased when combined with Methoxsalen.]
[N02BG09, methoxyflurane, The metabolism of Fluorouracil can be decreased when combined with Methoxyflurane.]
[C03AA08, methyclothiazide, The risk or severity of neutropenia and thrombocytopenia can be increased when Methyclothiazide is combined with Fluorouracil.]
[V04CG05, methylene blue, The metabolism of Fluorouracil can be decreased when combined with Methylene blue.]
[R03DA05, aminophylline, The metabolism of Aminophylline can be decreased when combined with Fluorouracil.]
[H02AB04, methylprednisolone, The risk or severity of adverse effects can be increased when Fluorouracil is combined with Methylprednisolone.]
[A03FA01, metoclopramide, The metabolism of Metoclopramide can be decreased when combined with Fluorouracil.]
[P01AB01, metronidazole, The serum concentration of Fluorouracil can be increased when it is combined with Metronidazole.]
[V04CD01, metyrapone, The metabolism of Fluorouracil can be decreased when combined with Metyrapone.]
[C01BB02, mexiletine, The metabolism of Fluorouracil can be decreased when combined with Mexiletine.]
[N06AX03, mianserin, The metabolism of Mianserin can be decreased when combined with Fluorouracil.]
[S02AA13, miconazole, The metabolism of Fluorouracil can be decreased when combined with Miconazole.]
[N02BB03, aminopyrine, The metabolism of Fluorouracil can be decreased when combined with Aminophenazone.]
[B01AB07, parnaparin, The risk or severity of bleeding can be increased when Parnaparin is combined with Fluorouracil.]
[G03XB01, mifepristone, The serum concentration of Fluorouracil can be increased when it is combined with Mifepristone.]
[B01AB10, tinzaparin, The risk or severity of bleeding can be increased when Tinzaparin is combined with Fluorouracil.]
[C09CA03, valsartan, The metabolism of Valsartan can be decreased when combined with Fluorouracil.]
[L01DB07, mitoxantrone, The risk or severity of adverse effects can be increased when Fluorouracil is combined with Mitoxantrone.]
[L03AC01, aldesleukin, The risk or severity of adverse effects can be increased when Aldesleukin is combined with Fluorouracil.]
[C01BD01, amiodarone, The metabolism of Amiodarone can be decreased when combined with Fluorouracil.]
[N06AA09, amitriptyline, The metabolism of Fluorouracil can be decreased when combined with Amitriptyline.]
[N02AA01, morphine, The metabolism of Fluorouracil can be decreased when combined with Morphine.]
[L04AB05, certolizumab pegol, The metabolism of Fluorouracil can be increased when combined with Certolizumab pegol.]
[B02BX05, eltrombopag, The metabolism of Fluorouracil can be decreased when combined with Eltrombopag.]
[L04AA52, ofatumumab, The risk or severity of adverse effects can be increased when Fluorouracil is combined with Ofatumumab.]
[L01EX03, pazopanib, The metabolism of Fluorouracil can be decreased when combined with Pazopanib.]
[L04AA06, mycophenolic acid, The risk or severity of adverse effects can be increased when Fluorouracil is combined with Mycophenolic acid.]
[P01BA06, amodiaquine, The metabolism of Fluorouracil can be decreased when combined with Amodiaquine.]
[G03XC01, raloxifene, The metabolism of Fluorouracil can be decreased when combined with Raloxifene.]
[N06AA17, amoxapine, The risk or severity of QTc prolongation can be increased when Amoxapine is combined with Fluorouracil.]
[N03AB05, fosphenytoin, The serum concentration of Fosphenytoin can be increased when it is combined with Fluorouracil.]
[L03AB08, interferon beta-1b, The risk or severity of adverse effects can be increased when Interferon beta-1b is combined with Fluorouracil.]
[J01CF06, nafcillin, The metabolism of Fluorouracil can be increased when combined with Nafcillin.]
[L04AC03, anakinra, The metabolism of Fluorouracil can be increased when combined with Anakinra.]
[N06BA01, amphetamine, The metabolism of Fluorouracil can be decreased when combined with Amphetamine.]
[M02AA12, naproxen, The metabolism of Fluorouracil can be decreased when combined with Naproxen.]
[A10BG01, troglitazone, The metabolism of Fluorouracil can be decreased when combined with Troglitazone.]
[N06AX21, duloxetine, The metabolism of Duloxetine can be decreased when combined with Fluorouracil.]
[B03XA03, methoxy polyethylene glycol-epoetin beta, The risk or severity of Thrombosis can be increased when Methoxy polyethylene glycol-epoetin beta is combined with Fluorouracil.]
[L01CD02, docetaxel, The risk or severity of adverse effects can be increased when Fluorouracil is combined with Docetaxel.]
[L02BG04, letrozole, The metabolism of Fluorouracil can be decreased when combined with Letrozole.]
[S03AA01, neomycin, Neomycin can cause a decrease in the absorption of Fluorouracil resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[A10BX02, repaglinide, The metabolism of Fluorouracil can be decreased when combined with Repaglinide.]
[C01CX08, levosimendan, The risk or severity of QTc prolongation can be increased when Fluorouracil is combined with Levosimendan.]
[B01AC17, tirofiban, The risk or severity of bleeding can be increased when Tirofiban is combined with Fluorouracil.]
[N05AX14, iloperidone, The risk or severity of QTc prolongation can be increased when Fluorouracil is combined with Iloperidone.]
[C09CA07, telmisartan, Telmisartan may decrease the excretion rate of Fluorouracil which could result in a higher serum level.]
[M04AA03, febuxostat, The excretion of Fluorouracil can be decreased when combined with Febuxostat.]
[L01XX01, amsacrine, The risk or severity of adverse effects can be increased when Amsacrine is combined with Fluorouracil.]
[C08CA04, nicardipine, The metabolism of Fluorouracil can be decreased when combined with Nicardipine.]
[P02DA01, niclosamide, The metabolism of Fluorouracil can be decreased when combined with Niclosamide.]
[N07BA01, nicotine, The metabolism of Fluorouracil can be decreased when combined with Nicotine.]
[C08CA05, nifedipine, The metabolism of Fluorouracil can be decreased when combined with Nifedipine.]
[C08CA06, nimodipine, The risk or severity of QTc prolongation can be increased when Nimodipine is combined with Fluorouracil.]
[C08CA08, nitrendipine, The risk or severity of QTc prolongation can be increased when Nitrendipine is combined with Fluorouracil.]
[J01XE01, nitrofurantoin, The therapeutic efficacy of Nitrofurantoin can be decreased when used in combination with Fluorouracil.]
[S01AE02, norfloxacin, The metabolism of Fluorouracil can be decreased when combined with Norfloxacin.]
[C02KX01, bosentan, The metabolism of Bosentan can be decreased when combined with Fluorouracil.]
[N06AA10, nortriptyline, The risk or severity of QTc prolongation can be increased when Nortriptyline is combined with Fluorouracil.]
[B01AC16, eptifibatide, The risk or severity of bleeding can be increased when Eptifibatide is combined with Fluorouracil.]
[L03AB07, interferon beta-1a, The metabolism of Fluorouracil can be decreased when combined with Interferon beta-1a.]
[B01AB08, reviparin, The risk or severity of bleeding can be increased when Reviparin is combined with Fluorouracil.]
[H01CB02, octreotide, The risk or severity of QTc prolongation can be increased when Octreotide is combined with Fluorouracil.]
[S02AA16, ofloxacin, The risk or severity of QTc prolongation can be increased when Fluorouracil is combined with Ofloxacin.]
[L04AC04, rilonacept, The metabolism of Fluorouracil can be increased when combined with Rilonacept.]
[A02BC01, omeprazole, The metabolism of Fluorouracil can be decreased when combined with Omeprazole.]
[B01AD07, reteplase, The risk or severity of bleeding can be increased when Reteplase is combined with Fluorouracil.]
[B01AD09, ancrod, The risk or severity of bleeding can be increased when Ancrod is combined with Fluorouracil.]
[C01AC01, ouabain, Ouabain may decrease the cardiotoxic activities of Fluorouracil.]
[J01MB05, oxolinic acid, The risk or severity of QTc prolongation can be increased when Oxolinic acid is combined with Fluorouracil.]
[H01BB02, oxytocin, The risk or severity of QTc prolongation can be increased when Oxytocin is combined with Fluorouracil.]
[N05AH05, asenapine, The risk or severity of QTc prolongation can be increased when Fluorouracil is combined with Asenapine.]
[B01AB09, danaparoid, The risk or severity of bleeding can be increased when Danaparoid is combined with Fluorouracil.]
[G04BE02, papaverine, The risk or severity of QTc prolongation can be increased when Fluorouracil is combined with Papaverine.]
[H02AB05, paramethasone, The risk or severity of adverse effects can be increased when Fluorouracil is combined with Paramethasone.]
[J01MA03, pefloxacin, The metabolism of Fluorouracil can be decreased when combined with Pefloxacin.]
[N05AG03, penfluridol, The risk or severity of QTc prolongation can be increased when Fluorouracil is combined with Penfluridol.]
[M01CC01, penicillamine, The risk or severity of adverse effects can be increased when Fluorouracil is combined with Penicillamine.]
[J07AF01, diphtheria toxoid vaccine, inactivated, The therapeutic efficacy of Corynebacterium diphtheriae toxoid antigen (formaldehyde inactivated) can be decreased when used in combination with Fluorouracil.]
[J07AM01, tetanus toxoid vaccine, inactivated, The therapeutic efficacy of Clostridium tetani toxoid antigen (formaldehyde inactivated) can be decreased when used in combination with Fluorouracil.]
[N05CA01, pentobarbital, The metabolism of Fluorouracil can be increased when combined with Pentobarbital.]
[L01XX08, pentostatin, The risk or severity of adverse effects can be increased when Fluorouracil is combined with Pentostatin.]
[C04AD03, pentoxifylline, The metabolism of Pentoxifylline can be decreased when combined with Fluorouracil.]
[C08EX02, perhexiline, The risk or severity of QTc prolongation can be increased when Perhexiline is combined with Fluorouracil.]
[N05AB03, perphenazine, The metabolism of Perphenazine can be decreased when combined with Fluorouracil.]
[J07AJ, pertussis vaccine, The therapeutic efficacy of Pertussis vaccine can be decreased when used in combination with Fluorouracil.]
[N02BE03, phenacetin, The metabolism of Fluorouracil can be decreased when combined with Phenacetin.]
[B01AA02, phenindione, The risk or severity of bleeding can be increased when Fluorouracil is combined with Phenindione.]
[R06AB05, pheniramine, The risk or severity of QTc prolongation can be increased when Pheniramine is combined with Fluorouracil.]
[N03AA02, phenobarbital, The metabolism of Fluorouracil can be increased when combined with Phenobarbital.]
[B01AA04, phenprocoumon, The metabolism of Phenprocoumon can be decreased when combined with Fluorouracil.]
[M02AA01, phenylbutazone, The metabolism of Phenylbutazone can be decreased when combined with Fluorouracil.]
[S01GA05, phenylephrine, The metabolism of Fluorouracil can be increased when combined with Phenylephrine.]
[N03AB02, phenytoin, The serum concentration of Phenytoin can be increased when it is combined with Fluorouracil.]
[L04AB06, golimumab, The metabolism of Fluorouracil can be increased when combined with Golimumab.]
