[S02DA03, antipyrine, The metabolism of Antipyrine can be decreased when combined with Fluconazole.]
[L01EA01, imatinib, The metabolism of Imatinib can be decreased when combined with Fluconazole.]
[J02AC04, posaconazole, The metabolism of Posaconazole can be decreased when combined with Fluconazole.]
[A02BC05, esomeprazole, The metabolism of Esomeprazole can be decreased when combined with Fluconazole.]
[C08CA09, lacidipine, The metabolism of Lacidipine can be decreased when combined with Fluconazole.]
[N03AX09, lamotrigine, The risk or severity of QTc prolongation can be increased when Fluconazole is combined with Lamotrigine.]
[S01GX02, levocabastine, The risk or severity of QTc prolongation can be increased when Fluconazole is combined with Levocabastine.]
[N07BC04, lofexidine, The risk or severity of QTc prolongation can be increased when Fluconazole is combined with Lofexidine.]
[S01AE04, lomefloxacin, The risk or severity of QTc prolongation can be increased when Fluconazole is combined with Lomefloxacin.]
[M01AB09, lonazolac, The risk or severity of hyperkalemia can be increased when Fluconazole is combined with Lonazolac.]
[R06AX13, loratadine, The metabolism of Loratadine can be decreased when combined with Fluconazole.]
[M02AA31, loxoprofen, The risk or severity of hyperkalemia can be increased when Fluconazole is combined with Loxoprofen.]
[J01DC08, loracarbef, Loracarbef may decrease the excretion rate of Fluconazole which could result in a higher serum level.]
[C09AA03, lisinopril, The risk or severity of hyperkalemia can be increased when Fluconazole is combined with Lisinopril.]
[A06AD01, magnesium carbonate, Fluconazole may decrease the excretion rate of Magnesium carbonate which could result in a higher serum level.]
[C08CA11, manidipine, The metabolism of Manidipine can be decreased when combined with Fluconazole.]
[C07AA14, mepindolol, The risk or severity of hyperkalemia can be increased when Fluconazole is combined with Mepindolol.]
[H02AB15, meprednisone, The metabolism of Meprednisone can be decreased when combined with Fluconazole.]
[R06AD07, mequitazine, The risk or severity of QTc prolongation can be increased when Fluconazole is combined with Mequitazine.]
[J01DH02, meropenem, Fluconazole may decrease the excretion rate of Meropenem which could result in a higher serum level.]
[C01EB10, adenosine, The risk or severity of QTc prolongation can be increased when Fluconazole is combined with Adenosine.]
[C04AX01, cyclandelate, The metabolism of Cyclandelate can be decreased when combined with Fluconazole.]
[R06AE03, cyclizine, The risk or severity of QTc prolongation can be increased when Fluconazole is combined with Cyclizine.]
[C03DA04, eplerenone, The metabolism of Eplerenone can be decreased when combined with Fluconazole.]
[N05AD03, metylperon, The risk or severity of QTc prolongation can be increased when Fluconazole is combined with Melperone.]
[C03AA07, cyclopenthiazide, Cyclopenthiazide may increase the excretion rate of Fluconazole which could result in a lower serum level and potentially a reduction in efficacy.]
[J01FA03, midecamycin, The metabolism of Midecamycin can be decreased when combined with Fluconazole.]
[A10BF02, miglitol, The risk or severity of hypoglycemia can be increased when Miglitol is combined with Fluconazole.]
[J05AF07, tenofovir disoproxil, The serum concentration of Tenofovir disoproxil can be increased when it is combined with Fluconazole.]
[L01AA01, cyclophosphamide, The metabolism of Cyclophosphamide can be decreased when combined with Fluconazole.]
[S01XA18, cyclosporine, The serum concentration of Cyclosporine can be increased when it is combined with Fluconazole.]
[N06AG02, moclobemide, The metabolism of Moclobemide can be decreased when combined with Fluconazole.]
[N06BA07, modafinil, The metabolism of Modafinil can be decreased when combined with Fluconazole.]
[R06AX02, cyproheptadine, The risk or severity of QTc prolongation can be increased when Fluconazole is combined with Cyproheptadine.]
[C09AA13, moexipril, The risk or severity of QTc prolongation can be increased when Fluconazole is combined with Moexipril.]
[C10AA07, rosuvastatin, The metabolism of Rosuvastatin can be decreased when combined with Fluconazole.]
[M02AA02, mofebutazone, The risk or severity of hyperkalemia can be increased when Fluconazole is combined with Mofebutazone.]
[M01AX22, morniflumate, The risk or severity of hyperkalemia can be increased when Fluconazole is combined with Morniflumate.]
[C03XA02, conivaptan, The metabolism of Conivaptan can be decreased when combined with Fluconazole.]
[G04BE09, vardenafil, The metabolism of Vardenafil can be decreased when combined with Fluconazole.]
[M01AH05, etoricoxib, The metabolism of Etoricoxib can be decreased when combined with Fluconazole.]
[L01AX04, dacarbazine, Fluconazole may decrease the excretion rate of Dacarbazine which could result in a higher serum level.]
[L01DA01, dactinomycin, The serum concentration of Dactinomycin can be increased when it is combined with Fluconazole.]
[M03CA01, dantrolene, The risk or severity of hyperkalemia can be increased when Fluconazole is combined with Dantrolene.]
[J04BA02, dapsone, The metabolism of Dapsone can be decreased when combined with Fluconazole.]
[A04AD11, nabilone, The metabolism of Nabilone can be decreased when combined with Fluconazole.]
[M01AX01, nabumetone, The metabolism of Nabumetone can be decreased when combined with Fluconazole.]
[N07BB05, nalmefene, Fluconazole may decrease the excretion rate of Nalmefene which could result in a higher serum level.]
[B05XA15, potassium lactate, Potassium lactate may increase the hyperkalemic activities of Fluconazole.]
[C07AB12, nebivolol, The metabolism of Nebivolol can be decreased when combined with Fluconazole.]
[S01GX04, nedocromil, Fluconazole may decrease the excretion rate of Nedocromil which could result in a higher serum level.]
[N06AX06, nefazodone, The metabolism of Nefazodone can be decreased when combined with Fluconazole.]
[C01DX16, nicorandil, The risk or severity of hyperkalemia can be increased when Fluconazole is combined with Nicorandil.]
[L02BB02, nilutamide, The metabolism of Nilutamide can be decreased when combined with Fluconazole.]
[N03AG06, tiagabine, The metabolism of Tiagabine can be decreased when combined with Fluconazole.]
[G03DB04, nomegestrol, The metabolism of Nomegestrol can be decreased when combined with Fluconazole.]
[B01AX05, fondaparinux, Fluconazole may decrease the excretion rate of Fondaparinux which could result in a higher serum level.]
[N06AB10, escitalopram, The metabolism of Escitalopram can be decreased when combined with Fluconazole.]
[G04BD08, solifenacin, The metabolism of Solifenacin can be decreased when combined with Fluconazole.]
[A07EC03, olsalazine, The risk or severity of hyperkalemia can be increased when Fluconazole is combined with Olsalazine.]
[N06AA01, desipramine, The risk or severity of QTc prolongation can be increased when Fluconazole is combined with Desipramine.]
[H01BA02, desmopressin, Desmopressin may decrease the excretion rate of Fluconazole which could result in a higher serum level.]
[V04CH02, indigo carmine, Fluconazole may decrease the excretion rate of Indigotindisulfonic acid which could result in a higher serum level.]
[J01DH03, ertapenem, Fluconazole may decrease the excretion rate of Ertapenem which could result in a higher serum level.]
[C09XA02, aliskiren, The metabolism of Aliskiren can be decreased when combined with Fluconazole.]
[L01XA03, oxaliplatin, The risk or severity of QTc prolongation can be increased when Fluconazole is combined with Oxaliplatin.]
[M01AE12, oxaprozin, The risk or severity of hyperkalemia can be increased when Fluconazole is combined with Oxaprozin.]
[S03BA01, dexamethasone, The metabolism of Dexamethasone can be decreased when combined with Fluconazole.]
[G04BD04, oxybutynin, The metabolism of Oxybutynin can be decreased when combined with Fluconazole.]
[L01EB01, gefitinib, The metabolism of Gefitinib can be decreased when combined with Fluconazole.]
[N06BA02, dextroamphetamine, Amphetamine may decrease the excretion rate of Fluconazole which could result in a higher serum level.]
[R05DA09, dextromethorphan, The metabolism of Dextromethorphan can be decreased when combined with Fluconazole.]
[N03AC01, paramethadione, The metabolism of Paramethadione can be decreased when combined with Fluconazole.]
[N06AB05, paroxetine, The metabolism of Paroxetine can be decreased when combined with Fluconazole.]
[B01AC04, clopidogrel, The metabolism of Clopidogrel can be decreased when combined with Fluconazole.]
[P03AC04, permethrin, Fluconazole may decrease the excretion rate of Permethrin which could result in a higher serum level.]
[N05BA01, diazepam, The metabolism of Diazepam can be decreased when combined with Fluconazole.]
[R05DA08, pholcodine, Fluconazole may decrease the excretion rate of Pholcodine which could result in a higher serum level.]
[S01EC02, dichlorphenamide, Diclofenamide may increase the excretion rate of Fluconazole which could result in a lower serum level and potentially a reduction in efficacy.]
[S01BC03, diclofenac, The metabolism of Diclofenac can be decreased when combined with Fluconazole.]
[J05AD01, foscarnet, The risk or severity of QTc prolongation can be increased when Fluconazole is combined with Foscarnet.]
[A03AA07, dicyclomine, Fluconazole may decrease the excretion rate of Dicyclomine which could result in a higher serum level.]
[J05AF02, didanosine, Didanosine can cause a decrease in the absorption of Fluconazole resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[C02DG01, pinacidil, The metabolism of Pinacidil can be decreased when combined with Fluconazole.]
[A03AX04, pinaverium, The metabolism of Pinaverium can be decreased when combined with Fluconazole.]
[A10BG03, pioglitazone, The risk or severity of hypoglycemia can be increased when Pioglitazone is combined with Fluconazole.]
[L01DC04, ixabepilone, The metabolism of Ixabepilone can be decreased when combined with Fluconazole.]
[L01EB02, erlotinib, The metabolism of Erlotinib can be decreased when combined with Fluconazole.]
[C03CA03, piretanide, Piretanide may increase the excretion rate of Fluconazole which could result in a lower serum level and potentially a reduction in efficacy.]
[L02AA01, diethylstilbestrol, The metabolism of Diethylstilbestrol can be decreased when combined with Fluconazole.]
[C08CA03, isradipine, The metabolism of Isradipine can be decreased when combined with Fluconazole.]
[D07XC04, diflucortolone, The metabolism of Difluocortolone can be decreased when combined with Fluconazole.]
[N02BA11, diflunisal, The risk or severity of hyperkalemia can be increased when Fluconazole is combined with Diflunisal.]
[C01AA04, digitoxin, The serum concentration of Digitoxin can be increased when it is combined with Fluconazole.]
[C01AA05, digoxin, Fluconazole may decrease the excretion rate of Digoxin which could result in a higher serum level.]
[C04AE04, dihydroergocristine, The metabolism of Dihydroergocristine can be decreased when combined with Fluconazole.]
[N02CA01, dihydroergotamine, The metabolism of Dihydroergotamine can be decreased when combined with Fluconazole.]
[N02AA03, hydromorphone, The metabolism of Hydromorphone can be decreased when combined with Fluconazole.]
[L04AX04, lenalidomide, Fluconazole may decrease the excretion rate of Lenalidomide which could result in a higher serum level.]
[J05AE08, atazanavir, The metabolism of Atazanavir can be decreased when combined with Fluconazole.]
[B01AC21, treprostinil, The metabolism of Treprostinil can be decreased when combined with Fluconazole.]
[H03BC01, potassium perchlorate, Potassium perchlorate may increase the hyperkalemic activities of Fluconazole.]
[V03AB04, pralidoxime, Fluconazole may decrease the excretion rate of Pralidoxime which could result in a higher serum level.]
[C08DB01, diltiazem, The metabolism of Diltiazem can be decreased when combined with Fluconazole.]
[R06AA11, dimenhydrinate, The risk or severity of QTc prolongation can be increased when Fluconazole is combined with Dimenhydrinate.]
[V03AB09, dimercaprol, Fluconazole may decrease the excretion rate of Dimercaprol which could result in a higher serum level.]
[M02AX03, dimethyl sulfoxide, Fluconazole may decrease the excretion rate of Dimethyl sulfoxide which could result in a higher serum level.]
[N02BB04, propyphenazone, The risk or severity of hyperkalemia can be increased when Fluconazole is combined with Propyphenazone.]
[M01AB14, proglumetacin, The risk or severity of hyperkalemia can be increased when Fluconazole is combined with Proglumetacin.]
[R06AA02, diphenhydramine, The metabolism of Diphenhydramine can be decreased when combined with Fluconazole.]
[N05CD10, quazepam, The metabolism of Quazepam can be decreased when combined with Fluconazole.]
[C09AA06, quinapril, The risk or severity of hyperkalemia can be increased when Fluconazole is combined with Quinapril.]
[A03FA02, cisapride, The metabolism of Cisapride can be decreased when combined with Fluconazole.]
[C09AA05, ramipril, The risk or severity of hyperkalemia can be increased when Ramipril is combined with Fluconazole.]
[S01XA23, sirolimus, The serum concentration of Sirolimus can be increased when it is combined with Fluconazole.]
[S01AX06, resorcinol, Fluconazole may decrease the excretion rate of Resorcinol which could result in a higher serum level.]
[C01BA03, disopyramide, The risk or severity of hypoglycemia can be increased when Disopyramide is combined with Fluconazole.]
[P03AA04, disulfiram, The metabolism of Disulfiram can be decreased when combined with Fluconazole.]
[S02AA12, rifamycin SV, The serum concentration of Rifamycin can be increased when it is combined with Fluconazole.]
[J04AB05, rifapentine, The metabolism of Rifapentine can be decreased when combined with Fluconazole.]
[D06AX11, rifaximin, The serum concentration of Rifaximin can be increased when it is combined with Fluconazole.]
[N05AX08, risperidone, The metabolism of Risperidone can be decreased when combined with Fluconazole.]
[R06AE09, levocetirizine, The metabolism of Levocetirizine can be decreased when combined with Fluconazole.]
[N01BB09, ropivacaine, Fluconazole may decrease the excretion rate of Ropivacaine which could result in a higher serum level.]
[J01MB01, rosoxacin, The risk or severity of QTc prolongation can be increased when Fluconazole is combined with Rosoxacin.]
[L01EX01, sunitinib, The risk or severity of hypoglycemia can be increased when Sunitinib is combined with Fluconazole.]
[A04AD12, aprepitant, The metabolism of Aprepitant can be decreased when combined with Fluconazole.]
[C03XA01, tolvaptan, The serum concentration of Tolvaptan can be increased when it is combined with Fluconazole.]
[L01XG01, bortezomib, The serum concentration of Bortezomib can be increased when it is combined with Fluconazole.]
[J05AE07, fosamprenavir, The metabolism of Fosamprenavir can be decreased when combined with Fluconazole.]
[G04BE08, tadalafil, The metabolism of Tadalafil can be decreased when combined with Fluconazole.]
[S01BC05, ketorolac, The metabolism of Ketorolac can be decreased when combined with Fluconazole.]
[C02KX02, ambrisentan, The metabolism of Ambrisentan can be decreased when combined with Fluconazole.]
[C01EB18, ranolazine, The serum concentration of Ranolazine can be increased when it is combined with Fluconazole.]
[N02BA06, salsalate, The risk or severity of hyperkalemia can be increased when Fluconazole is combined with Salsalate.]
[R03AC12, salmeterol, The metabolism of Salmeterol can be decreased when combined with Fluconazole.]
[H05BA01, salmon calcitonin, Salmon calcitonin may decrease the excretion rate of Fluconazole which could result in a higher serum level.]
[C01CA07, dobutamine, Fluconazole may decrease the excretion rate of Dobutamine which could result in a higher serum level.]
[A03FA03, domperidone, The metabolism of Domperidone can be decreased when combined with Fluconazole.]
[C01CA04, dopamine, Fluconazole may decrease the excretion rate of Dopamine which could result in a higher serum level.]
[N06AA16, dothiepin, The risk or severity of QTc prolongation can be increased when Fluconazole is combined with Dosulepin.]
[N06AA12, doxepin, The metabolism of Doxepin can be decreased when combined with Fluconazole.]
[L01DB01, doxorubicin, The serum concentration of Doxorubicin can be increased when it is combined with Fluconazole.]
[J01AA02, doxycycline, Fluconazole may decrease the excretion rate of Doxycycline which could result in a higher serum level.]
[R06AA09, doxylamine, The risk or severity of QTc prolongation can be increased when Fluconazole is combined with Doxylamine.]
[N06AB06, sertraline, The metabolism of Sertraline can be decreased when combined with Fluconazole.]
[N01AB08, sevoflurane, The risk or severity of QTc prolongation can be increased when Fluconazole is combined with Sevoflurane.]
[N05AD08, droperidol, The risk or severity of QTc prolongation can be increased when Fluconazole is combined with Droperidol.]
[A08AA10, sibutramine, The metabolism of Sibutramine can be decreased when combined with Fluconazole.]
[C10AA01, simvastatin, The metabolism of Simvastatin can be decreased when combined with Fluconazole.]
[V03AG05, sodium phosphate, Sodium phosphate, monobasic may increase the hyperkalemic activities of Fluconazole.]
[A12CA02, sodium sulfate, Fluconazole may decrease the excretion rate of Sodium sulfate which could result in a higher serum level.]
[C09AA11, spirapril, The risk or severity of hyperkalemia can be increased when Fluconazole is combined with Spirapril.]
[G03DB01, dydrogesterone, The metabolism of Dydrogesterone can be decreased when combined with Fluconazole.]
[R03DA01, dyphylline, Fluconazole may decrease the excretion rate of Dyphylline which could result in a higher serum level.]
[N05AL02, sultopride, The risk or severity of QTc prolongation can be increased when Fluconazole is combined with Sultopride.]
[N02CC01, sumatriptan, Fluconazole may decrease the excretion rate of Sumatriptan which could result in a higher serum level.]
[V04CX07, edrophonium, Fluconazole may decrease the excretion rate of Edrophonium which could result in a higher serum level.]
[C07AB13, talinolol, The serum concentration of Talinolol can be increased when it is combined with Fluconazole.]
[H01AA01, corticotropin, The metabolism of Corticotropin can be decreased when combined with Fluconazole.]
[J01MA05, temafloxacin, The risk or severity of QTc prolongation can be increased when Fluconazole is combined with Temafloxacin.]
[L01AX03, temozolomide, Fluconazole may decrease the excretion rate of Temozolomide which could result in a higher serum level.]
[M01AC02, tenoxicam, The metabolism of Tenoxicam can be decreased when combined with Fluconazole.]
[D01BA02, terbinafine, The metabolism of Terbinafine can be decreased when combined with Fluconazole.]
[G04BD05, terodiline, The metabolism of Terodiline can be decreased when combined with Fluconazole.]
[C07AA16, tertatolol, The risk or severity of hyperkalemia can be increased when Fluconazole is combined with Tertatolol.]
[N06AX14, tianeptine, The metabolism of Tianeptine can be decreased when combined with Fluconazole.]
[C09AA02, enalapril, The risk or severity of hyperkalemia can be increased when Fluconazole is combined with Enalapril.]
[M01AG02, tolfenamic acid, The metabolism of Tolfenamic acid can be decreased when combined with Fluconazole.]
[N06AG03, toloxatone, Fluconazole may decrease the excretion rate of Toloxatone which could result in a higher serum level.]
[N06BA09, atomoxetine, The risk or severity of QTc prolongation can be increased when Fluconazole is combined with Atomoxetine.]
[N03AX11, topiramate, Fluconazole may decrease the excretion rate of Topiramate which could result in a higher serum level.]
[L02BA02, toremifene, The metabolism of Toremifene can be decreased when combined with Fluconazole.]
[C03CA04, torsemide, The metabolism of Torasemide can be decreased when combined with Fluconazole.]
[C09AA10, trandolapril, The risk or severity of hyperkalemia can be increased when Fluconazole is combined with Trandolapril.]
[N05CC01, chloral hydrate, Fluconazole may decrease the excretion rate of Chloral hydrate which could result in a higher serum level.]
[L02AE04, triptorelin, The risk or severity of QTc prolongation can be increased when Fluconazole is combined with Triptorelin.]
[J01MA04, enoxacin, The risk or severity of QTc prolongation can be increased when Fluconazole is combined with Enoxacin.]
[L01CA04, vinorelbine, The metabolism of Vinorelbine can be decreased when combined with Fluconazole.]
[S01GX10, epinastine, The metabolism of Epinastine can be decreased when combined with Fluconazole.]
[N06AX16, venlafaxine, The metabolism of Venlafaxine can be decreased when combined with Fluconazole.]
[S01GA03, xylometazoline, The therapeutic efficacy of Fluconazole can be increased when used in combination with Xylometazoline.]
[C08CA12, mepirodipine, The metabolism of Barnidipine can be decreased when combined with Fluconazole.]
[C09AA15, zofenopril, The risk or severity of hyperkalemia can be increased when Fluconazole is combined with Zofenopril.]
[N05CF02, zolpidem, The metabolism of Zolpidem can be decreased when combined with Fluconazole.]
[M01AB04, zomepirac, The metabolism of Zomepirac can be decreased when combined with Fluconazole.]
[N03AX15, zonisamide, The metabolism of Zonisamide can be decreased when combined with Fluconazole.]
[A10AB06, insulin glulisine, human, The risk or severity of hypoglycemia can be increased when Insulin glulisine is combined with Fluconazole.]
[N05CF01, zopiclone, The metabolism of Zopiclone can be decreased when combined with Fluconazole.]
[N05AX11, zotepine, The metabolism of Zotepine can be decreased when combined with Fluconazole.]
[L01XA02, carboplatin, Carboplatin may decrease the excretion rate of Fluconazole which could result in a higher serum level.]
[C02AC02, guanfacine, The metabolism of Guanfacine can be decreased when combined with Fluconazole.]
[C01BG01, moricizine, The risk or severity of QTc prolongation can be increased when Fluconazole is combined with Moricizine.]
[G02AB03, ergonovine, The metabolism of Ergometrine can be decreased when combined with Fluconazole.]
[C04AE01, ergoloid mesylates, USP, The metabolism of Ergoloid mesylate can be decreased when combined with Fluconazole.]
[N02CA02, ergotamine, The metabolism of Ergotamine can be decreased when combined with Fluconazole.]
[N03AG01, valproic acid, The metabolism of Valproic acid can be decreased when combined with Fluconazole.]
[L03AX05, pidotimod, Fluconazole may decrease the excretion rate of Pidotimod which could result in a higher serum level.]
[S01AA17, erythromycin, Fluconazole may increase the QTc-prolonging and arrhythmogenic activities of Erythromycin.]
[N05CD04, estazolam, The metabolism of Estazolam can be decreased when combined with Fluconazole.]
[A02BC02, pantoprazole, The metabolism of Pantoprazole can be decreased when combined with Fluconazole.]
[H05BX01, cinacalcet, The metabolism of Cinacalcet can be decreased when combined with Fluconazole.]
[G03CA03, estradiol, The bioavailability of Estradiol can be increased when combined with Fluconazole.]
[L01XX11, estramustine, The metabolism of Estramustine can be decreased when combined with Fluconazole.]
[G03CA57, estrogens, conjugated (USP), The metabolism of Conjugated estrogens can be decreased when combined with Fluconazole.]
[J04AK02, ethambutol, Fluconazole may decrease the excretion rate of Ethambutol which could result in a higher serum level.]
[R03BA05, fluticasone, The metabolism of Fluticasone can be decreased when combined with Fluconazole.]
[C10AA04, fluvastatin, The metabolism of Fluvastatin can be decreased when combined with Fluconazole.]
[V08CA03, gadodiamide, Fluconazole may decrease the excretion rate of Gadodiamide which could result in a higher serum level.]
[L02AA03, ethinyl estradiol, The bioavailability of Ethinylestradiol can be increased when combined with Fluconazole.]
[C01BD05, ibutilide, The risk or severity of QTc prolongation can be increased when Fluconazole is combined with Ibutilide.]
[N03AD01, ethosuximide, The metabolism of Ethosuximide can be decreased when combined with Fluconazole.]
[M01AC06, meloxicam, The metabolism of Meloxicam can be decreased when combined with Fluconazole.]
[S01XA06, ethylmorphine, The metabolism of Ethylmorphine can be decreased when combined with Fluconazole.]
[N01AX07, etomidate, Fluconazole may decrease the excretion rate of Etomidate which could result in a higher serum level.]
[L01CB01, etoposide, The serum concentration of Etoposide can be increased when it is combined with Fluconazole.]
[N05AE03, sertindole, The metabolism of Sertindole can be decreased when combined with Fluconazole.]
[C01BA05, ajmaline, The risk or severity of QTc prolongation can be increased when Fluconazole is combined with Ajmaline.]
[L04AD02, tacrolimus, The serum concentration of Tacrolimus can be increased when it is combined with Fluconazole.]
[A02BA04, nizatidine, Nizatidine can cause a decrease in the absorption of Fluconazole resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[J01MA08, fleroxacin, The risk or severity of QTc prolongation can be increased when Fluconazole is combined with Fleroxacin.]
[R06AX11, astemizole, The metabolism of Astemizole can be decreased when combined with Fluconazole.]
[R06AX12, terfenadine, The risk or severity of adverse effects can be increased when Fluconazole is combined with Terfenadine.]
[P01AX07, trimetrexate, Fluconazole may decrease the excretion rate of Trimetrexate which could result in a higher serum level.]
[N06AX12, bupropion, The metabolism of Bupropion can be decreased when combined with Fluconazole.]
[N06AB08, fluvoxamine, The metabolism of Fluvoxamine can be decreased when combined with Fluconazole.]
[C01BC08, encainide, The risk or severity of QTc prolongation can be increased when Fluconazole is combined with Encainide.]
[L02AE02, leuprolide, The risk or severity of QTc prolongation can be increased when Fluconazole is combined with Leuprolide.]
[C10AA03, pravastatin, The serum concentration of Pravastatin can be increased when it is combined with Fluconazole.]
[A05AA01, chenodeoxycholic acid, The metabolism of Chenodeoxycholic acid can be decreased when combined with Fluconazole.]
[B05AA05, dextran, Fluconazole may decrease the excretion rate of Dextran which could result in a higher serum level.]
[V03AF02, dexrazoxane, Fluconazole may decrease the excretion rate of Dexrazoxane which could result in a higher serum level.]
[A02BA03, famotidine, The risk or severity of QTc prolongation can be increased when Fluconazole is combined with Famotidine.]
[A16AA01, levocarnitine, Fluconazole may decrease the excretion rate of Levocarnitine which could result in a higher serum level.]
[P02CA03, albendazole, The metabolism of Albendazole can be decreased when combined with Fluconazole.]
[C08CA02, felodipine, The metabolism of Felodipine can be decreased when combined with Fluconazole.]
[C08EA01, fendiline, The metabolism of Fendiline can be decreased when combined with Fluconazole.]
[M01AE04, fenoprofen, The risk or severity of hyperkalemia can be increased when Fluconazole is combined with Fenoprofen.]
[N02AB03, fentanyl, The metabolism of Fentanyl can be decreased when combined with Fluconazole.]
[R03CC02, albuterol, The risk or severity of QTc prolongation can be increased when Fluconazole is combined with Salbutamol.]
[L01BB06, clofarabine, Fluconazole may decrease the excretion rate of Clofarabine which could result in a higher serum level.]
[N07AX03, cevimeline, The metabolism of Cevimeline can be decreased when combined with Fluconazole.]
[G04BD02, flavoxate, Fluconazole may decrease the excretion rate of Flavoxate which could result in a higher serum level.]
[C01BC04, flecainide, The risk or severity of QTc prolongation can be increased when Fluconazole is combined with Flecainide.]
[N02BG04, floctafenine, The risk or severity of hyperkalemia can be increased when Fluconazole is combined with Floctafenine.]
[S01AA13, fusidic acid, The metabolism of Fusidic acid can be decreased when combined with Fluconazole.]
[J01MB04, pipemidic acid, The risk or severity of QTc prolongation can be increased when Fluconazole is combined with Pipemidic acid.]
[S02BA08, fluocinolone acetonide, The metabolism of Fluocinolone acetonide can be decreased when combined with Fluconazole.]
[M01AG01, mefenamic acid, The metabolism of Mefenamic acid can be decreased when combined with Fluconazole.]
[C01DA05, pentaerythritol tetranitrate, Fluconazole may decrease the excretion rate of Pentaerythritol tetranitrate which could result in a higher serum level.]
[R03BA09, fluticasone furoate, The metabolism of Fluticasone furoate can be decreased when combined with Fluconazole.]
[M01CB01, gold sodium thiomalate, Fluconazole may decrease the excretion rate of Sodium aurothiomalate which could result in a higher serum level.]
[J02AX01, flucytosine, Fluconazole may decrease the excretion rate of Flucytosine which could result in a higher serum level.]
[H02AA02, fludrocortisone, The metabolism of Fludrocortisone can be decreased when combined with Fluconazole.]
[V03AB25, flumazenil, Fluconazole may decrease the excretion rate of Flumazenil which could result in a higher serum level.]
[D07XB01, flumethasone, The metabolism of Flumethasone can be decreased when combined with Fluconazole.]
[N07CA03, flunarizine, The metabolism of Flunarizine can be decreased when combined with Fluconazole.]
[N05CD03, flunitrazepam, The metabolism of Flunitrazepam can be decreased when combined with Fluconazole.]
[D07AC08, fluocinonide, The metabolism of Fluocinonide can be decreased when combined with Fluconazole.]
[H02AB03, fluocortolone, The metabolism of Fluocortolone can be decreased when combined with Fluconazole.]
[V03AZ01, ethanol, The metabolism of Ethanol can be decreased when combined with Fluconazole.]
[L01BC09, floxuridine, Fluconazole may decrease the excretion rate of Floxuridine which could result in a higher serum level.]
[L01BC02, fluorouracil, The risk or severity of QTc prolongation can be increased when Fluconazole is combined with Fluorouracil.]
[N06AB03, fluoxetine, The risk or severity of QTc prolongation can be increased when Fluoxetine is combined with Fluconazole.]
[N05AF01, flupenthixol, The risk or severity of QTc prolongation can be increased when Fluconazole is combined with Flupentixol.]
[N05CD01, flurazepam, The metabolism of Flurazepam can be decreased when combined with Fluconazole.]
[S01BC04, flurbiprofen, The metabolism of Flurbiprofen can be decreased when combined with Fluconazole.]
[N05AG01, fluspirilene, The metabolism of Fluspirilene can be decreased when combined with Fluconazole.]
[L02BB01, flutamide, The metabolism of Flutamide can be decreased when combined with Fluconazole.]
[V04CX02, folic acid, Folic acid may decrease the excretion rate of Fluconazole which could result in a higher serum level.]
[S02AA17, fosfomycin, Fluconazole may decrease the excretion rate of Fosfomycin which could result in a higher serum level.]
[S01AA07, framycetin, Framycetin may decrease the excretion rate of Fluconazole which could result in a higher serum level.]
[L01BC03, tegafur, The metabolism of Tegafur can be decreased when combined with Fluconazole.]
[J05AE10, darunavir, The metabolism of Darunavir can be decreased when combined with Fluconazole.]
[C03CA01, furosemide, Furosemide may increase the excretion rate of Fluconazole which could result in a lower serum level and potentially a reduction in efficacy.]
[N05CF04, eszopiclone, The metabolism of Eszopiclone can be decreased when combined with Fluconazole.]
[N05AL05, amisulpride, The risk or severity of QTc prolongation can be increased when Fluconazole is combined with Amisulpride.]
[N06DA04, galantamine, The metabolism of Galantamine can be decreased when combined with Fluconazole.]
[C08DA02, gallopamil, The metabolism of Gallopamil can be decreased when combined with Fluconazole.]
[S01AD09, ganciclovir, Fluconazole may decrease the excretion rate of Ganciclovir which could result in a higher serum level.]
[C10AB04, gemfibrozil, The metabolism of Gemfibrozil can be decreased when combined with Fluconazole.]
[J01XA03, telavancin, The risk or severity of QTc prolongation can be increased when Fluconazole is combined with Telavancin.]
[L02BX02, degarelix, The risk or severity of QTc prolongation can be increased when Fluconazole is combined with Degarelix.]
[L01EA02, dasatinib, The serum concentration of Dasatinib can be increased when it is combined with Fluconazole.]
[N04BC06, cabergoline, The serum concentration of Cabergoline can be increased when it is combined with Fluconazole.]
[A10BJ02, liraglutide, The risk or severity of hypoglycemia can be increased when Liraglutide is combined with Fluconazole.]
[J05AG04, etravirine, The metabolism of Etravirine can be decreased when combined with Fluconazole.]
[N03AD03, methsuximide, The risk or severity of QTc prolongation can be increased when Fluconazole is combined with Methsuximide.]
[G03XA02, gestrinone, The bioavailability of Gestrinone can be increased when combined with Fluconazole.]
[N01AH02, alfentanil, Fluconazole may decrease the excretion rate of Alfentanil which could result in a higher serum level.]
[L01EH01, lapatinib, The metabolism of Lapatinib can be decreased when combined with Fluconazole.]
[A10BB01, glyburide, The serum concentration of Glyburide can be increased when it is combined with Fluconazole.]
[A10BB09, gliclazide, The serum concentration of Gliclazide can be increased when it is combined with Fluconazole.]
[A10BB07, glipizide, The serum concentration of Glipizide can be increased when it is combined with Fluconazole.]
