[S02DA03, antipyrine, Potassium chloride may increase the hyperkalemic activities of Antipyrine.]
[A03AB07, methantheline, The risk or severity of gastrointestinal ulceration can be increased when Methantheline is combined with Potassium chloride.]
[J05AF05, lamivudine, Lamivudine may decrease the excretion rate of Potassium chloride which could result in a higher serum level.]
[S01EC05, methazolamide, Methazolamide may increase the excretion rate of Potassium chloride which could result in a lower serum level and potentially a reduction in efficacy.]
[H03BB02, methimazole, Potassium chloride may decrease the excretion rate of Methimazole which could result in a higher serum level.]
[L01BA04, pemetrexed, Potassium chloride may decrease the excretion rate of Pemetrexed which could result in a higher serum level.]
[L04AX03, methotrexate, Methotrexate may decrease the excretion rate of Potassium chloride which could result in a higher serum level.]
[N05AA02, methotrimeprazine, The risk or severity of gastrointestinal ulceration can be increased when Methotrimeprazine is combined with Potassium chloride.]
[D05BA02, methoxsalen, Methoxsalen may decrease the excretion rate of Potassium chloride which could result in a higher serum level.]
[C03AA08, methyclothiazide, Methyclothiazide may increase the excretion rate of Potassium chloride which could result in a lower serum level and potentially a reduction in efficacy.]
[C02AB01, methyldopa, Potassium chloride may decrease the excretion rate of Methyldopa which could result in a higher serum level.]
[V04CG05, methylene blue, Potassium chloride may decrease the excretion rate of Methylene blue which could result in a higher serum level.]
[G03EK01, methyltestosterone, Potassium chloride may decrease the excretion rate of Methyltestosterone which could result in a higher serum level.]
[A03FA01, metoclopramide, Potassium chloride may decrease the excretion rate of Metoclopramide which could result in a higher serum level.]
[C03BA08, metolazone, Metolazone may increase the excretion rate of Potassium chloride which could result in a lower serum level and potentially a reduction in efficacy.]
[C07AB02, metoprolol, Potassium chloride may increase the hyperkalemic activities of Metoprolol.]
[V04CD01, metyrapone, Potassium chloride may decrease the excretion rate of Metyrapone which could result in a higher serum level.]
[N02BB03, aminopyrine, Potassium chloride may increase the hyperkalemic activities of Aminophenazone.]
[B01AB07, parnaparin, Potassium chloride may increase the hyperkalemic activities of Parnaparin.]
[N05CD08, midazolam, Midazolam may decrease the excretion rate of Potassium chloride which could result in a higher serum level.]
[B01AB10, tinzaparin, Potassium chloride may increase the hyperkalemic activities of Tinzaparin.]
[J05AH01, zanamivir, Zanamivir may decrease the excretion rate of Potassium chloride which could result in a higher serum level.]
[C09CA03, valsartan, Potassium chloride may increase the hyperkalemic activities of Valsartan.]
[L03AC01, aldesleukin, Aldesleukin may decrease the excretion rate of Potassium chloride which could result in a higher serum level.]
[C01BD01, amiodarone, Potassium chloride may increase the hyperkalemic activities of Amiodarone.]
[N06AA09, amitriptyline, The risk or severity of gastrointestinal ulceration can be increased when Amitriptyline is combined with Potassium chloride.]
[A04AA05, palonosetron, Palonosetron may decrease the excretion rate of Potassium chloride which could result in a higher serum level.]
[J01DD06, moxalactam, Latamoxef may decrease the excretion rate of Potassium chloride which could result in a higher serum level.]
[L04AB05, certolizumab pegol, Potassium chloride may decrease the excretion rate of Certolizumab pegol which could result in a higher serum level.]
[L04AA06, mycophenolic acid, Potassium chloride may decrease the excretion rate of Mycophenolic acid which could result in a higher serum level.]
[R03BB01, ipratropium bromide, The risk or severity of gastrointestinal ulceration can be increased when Ipratropium is combined with Potassium chloride.]
[N06AA17, amoxapine, The risk or severity of gastrointestinal ulceration can be increased when Amoxapine is combined with Potassium chloride.]
[C07AA12, nadolol, Potassium chloride may increase the hyperkalemic activities of Nadolol.]
[J01CA04, amoxicillin, Potassium chloride may decrease the excretion rate of Amoxicillin which could result in a higher serum level.]
[V03AB15, naloxone, Potassium chloride may decrease the excretion rate of Naloxone which could result in a higher serum level.]
[N06BA01, amphetamine, Amphetamine may decrease the excretion rate of Potassium chloride which could result in a higher serum level.]
[M02AA12, naproxen, Potassium chloride may increase the hyperkalemic activities of Naproxen.]
[N06AX21, duloxetine, Duloxetine may decrease the excretion rate of Potassium chloride which could result in a higher serum level.]
[N04BX01, tolcapone, Tolcapone may decrease the excretion rate of Potassium chloride which could result in a higher serum level.]
[S03AA01, neomycin, Potassium chloride may decrease the excretion rate of Neomycin which could result in a higher serum level.]
[B01AC17, tirofiban, Potassium chloride may decrease the excretion rate of Tirofiban which could result in a higher serum level.]
[J02AA01, amphotericin B, Amphotericin B may decrease the excretion rate of Potassium chloride which could result in a higher serum level.]
[S01AA19, ampicillin, Ampicillin may decrease the excretion rate of Potassium chloride which could result in a higher serum level.]
[L03AX16, plerixafor, Potassium chloride may decrease the excretion rate of Plerixafor which could result in a higher serum level.]
[S01AA23, netilmicin, Potassium chloride may decrease the excretion rate of Netilmicin which could result in a higher serum level.]
[N06AX23, desvenlafaxine, Potassium chloride may decrease the excretion rate of Desvenlafaxine which could result in a higher serum level.]
[C09CA07, telmisartan, Potassium chloride may increase the hyperkalemic activities of Telmisartan.]
[J05AB11, valacyclovir, Valaciclovir may decrease the excretion rate of Potassium chloride which could result in a higher serum level.]
[C01CE01, inamrinone, Potassium chloride may decrease the excretion rate of Amrinone which could result in a higher serum level.]
[C08CA04, nicardipine, The risk or severity of gastrointestinal ulceration can be increased when Nicardipine is combined with Potassium chloride.]
[C08CA05, nifedipine, Potassium chloride may increase the hyperkalemic activities of Nifedipine.]
[M02AA17, niflumic acid, Potassium chloride may increase the hyperkalemic activities of Niflumic acid.]
[C08CA06, nimodipine, Potassium chloride may increase the hyperkalemic activities of Nimodipine.]
[C08CA07, nisoldipine, Potassium chloride may increase the hyperkalemic activities of Nisoldipine.]
[C08CA08, nitrendipine, Potassium chloride may increase the hyperkalemic activities of Nitrendipine.]
[R07AX01, nitric oxide, Nitric Oxide may decrease the excretion rate of Potassium chloride which could result in a higher serum level.]
[J01XE01, nitrofurantoin, Potassium chloride may increase the hyperkalemic activities of Nitrofurantoin.]
[N05CF03, zaleplon, Potassium chloride may decrease the excretion rate of Zaleplon which could result in a higher serum level.]
[N04BC05, pramipexole, Pramipexole may decrease the excretion rate of Potassium chloride which could result in a higher serum level.]
[C02DD01, nitroprusside, Nitroprusside may decrease the excretion rate of Potassium chloride which could result in a higher serum level.]
[N06AA10, nortriptyline, The risk or severity of gastrointestinal ulceration can be increased when Nortriptyline is combined with Potassium chloride.]
[G02CA02, nylidrin, Potassium chloride may increase the hyperkalemic activities of Nylidrin.]
[B01AB08, reviparin, Potassium chloride may increase the hyperkalemic activities of Reviparin.]
[N02AA02, opium, Potassium chloride may decrease the excretion rate of Opium which could result in a higher serum level.]
[G04CA02, tamsulosin, Tamsulosin may decrease the excretion rate of Potassium chloride which could result in a higher serum level.]
[J01CF04, oxacillin, Oxacillin may decrease the excretion rate of Potassium chloride which could result in a higher serum level.]
[N05BA04, oxazepam, Potassium chloride may decrease the excretion rate of Oxazepam which could result in a higher serum level.]
[C07AA02, oxprenolol, Potassium chloride may increase the hyperkalemic activities of Oxprenolol.]
[S01BC02, oxyphenbutazone, Potassium chloride may increase the hyperkalemic activities of Oxyphenbutazone.]
[A03AB03, oxyphenonium, The risk or severity of gastrointestinal ulceration can be increased when Oxyphenonium is combined with Potassium chloride.]
[B01AB09, danaparoid, Potassium chloride may increase the hyperkalemic activities of Danaparoid.]
[M03AC01, pancuronium, The risk or severity of gastrointestinal ulceration can be increased when Pancuronium is combined with Potassium chloride.]
[J04AB30, capreomycin, Potassium chloride may decrease the excretion rate of Capreomycin which could result in a higher serum level.]
[A07AA06, paromomycin, Paromomycin may decrease the excretion rate of Potassium chloride which could result in a higher serum level.]
[G04BD11, fesoterodine, The risk or severity of gastrointestinal ulceration can be increased when Fesoterodine is combined with Potassium chloride.]
[C07AA23, penbutolol, Potassium chloride may increase the hyperkalemic activities of Penbutolol.]
[N05AG03, penfluridol, Potassium chloride may increase the hyperkalemic activities of Penfluridol.]
[J01CE09, penicillin G procaine, Potassium chloride may decrease the excretion rate of Procaine benzylpenicillin which could result in a higher serum level.]
[N05CA01, pentobarbital, Pentobarbital may decrease the excretion rate of Potassium chloride which could result in a higher serum level.]
[L01XX08, pentostatin, Potassium chloride may decrease the excretion rate of Pentostatin which could result in a higher serum level.]
[C04AD03, pentoxifylline, Potassium chloride may decrease the excretion rate of Pentoxifylline which could result in a higher serum level.]
[C08EX02, perhexiline, Potassium chloride may increase the hyperkalemic activities of Perhexiline.]
[G04BX06, phenazopyridine, Phenazopyridine may decrease the excretion rate of Potassium chloride which could result in a higher serum level.]
[N06AF03, phenelzine, Potassium chloride may decrease the excretion rate of Phenelzine which could result in a higher serum level.]
[V03AB36, phentolamine, Phentolamine may decrease the excretion rate of Potassium chloride which could result in a higher serum level.]
[M02AA01, phenylbutazone, Potassium chloride may increase the hyperkalemic activities of Phenylbutazone.]
[S01AE05, levofloxacin, Potassium chloride may decrease the excretion rate of Levofloxacin which could result in a higher serum level.]
[B02BA01, vitamin K1, Potassium chloride may decrease the excretion rate of Phylloquinone which could result in a higher serum level.]
[J05AB12, cidofovir, Cidofovir may decrease the excretion rate of Potassium chloride which could result in a higher serum level.]
[C08CX01, mibefradil, Potassium chloride may increase the hyperkalemic activities of Mibefradil.]
[C07AA03, pindolol, Potassium chloride may increase the hyperkalemic activities of Pindolol.]
[J01CA12, piperacillin, Piperacillin may decrease the excretion rate of Potassium chloride which could result in a higher serum level.]
[N06BX03, piracetam, Potassium chloride may decrease the excretion rate of Piracetam which could result in a higher serum level.]
[C09CA02, eprosartan, Potassium chloride may increase the hyperkalemic activities of Eprosartan.]
[A02BX03, pirenzepine, The risk or severity of gastrointestinal ulceration can be increased when Pirenzepine is combined with Potassium chloride.]
[S01BC06, piroxicam, Potassium chloride may increase the hyperkalemic activities of Piroxicam.]
[J01DD16, cefditoren, Cefditoren may decrease the excretion rate of Potassium chloride which could result in a higher serum level.]
[N02CX01, pizotyline, The risk or severity of gastrointestinal ulceration can be increased when Pizotifen is combined with Potassium chloride.]
[C09CA04, irbesartan, Potassium chloride may increase the hyperkalemic activities of Irbesartan.]
[A10BG02, rosiglitazone, Rosiglitazone may decrease the excretion rate of Potassium chloride which could result in a higher serum level.]
[C03AA05, polythiazide, Polythiazide may increase the excretion rate of Potassium chloride which could result in a lower serum level and potentially a reduction in efficacy.]
[A10BH03, saxagliptin, Potassium chloride may decrease the excretion rate of Saxagliptin which could result in a higher serum level.]
[C07AB01, practolol, Potassium chloride may increase the hyperkalemic activities of Practolol.]
[H02AB07, prednisone, Prednisone may decrease the excretion rate of Potassium chloride which could result in a higher serum level.]
[C01DX02, prenylamine, Potassium chloride may increase the hyperkalemic activities of Prenylamine.]
[M04AB01, probenecid, Potassium chloride may decrease the excretion rate of Probenecid which could result in a higher serum level.]
[C01BA02, procainamide, Potassium chloride may decrease the excretion rate of Procainamide which could result in a higher serum level.]
[C10AB05, fenofibrate, Potassium chloride may decrease the excretion rate of Fenofibrate which could result in a higher serum level.]
[N04AA04, procyclidine, The risk or severity of gastrointestinal ulceration can be increased when Procyclidine is combined with Potassium chloride.]
[N05AA03, promazine, The risk or severity of gastrointestinal ulceration can be increased when Promazine is combined with Potassium chloride.]
[R06AD02, promethazine, The risk or severity of gastrointestinal ulceration can be increased when Promethazine is combined with Potassium chloride.]
[C01BC03, propafenone, Potassium chloride may increase the hyperkalemic activities of Propafenone.]
[A03AB05, propantheline, The risk or severity of gastrointestinal ulceration can be increased when Propantheline is combined with Potassium chloride.]
[N05CM06, propiomazine, The risk or severity of gastrointestinal ulceration can be increased when Propiomazine is combined with Potassium chloride.]
[C07AA05, propranolol, Potassium chloride may increase the hyperkalemic activities of Propranolol.]
[N02CC04, rizatriptan, Potassium chloride may decrease the excretion rate of Rizatriptan which could result in a higher serum level.]
[B01AC09, epoprostenol, Potassium chloride may decrease the excretion rate of Epoprostenol which could result in a higher serum level.]
[N05AX12, aripiprazole, The risk or severity of gastrointestinal ulceration can be increased when Aripiprazole is combined with Potassium chloride.]
[N07XX07, dalfampridine, Potassium chloride may decrease the excretion rate of Dalfampridine which could result in a higher serum level.]
[A03AB15, diphemanil, The risk or severity of gastrointestinal ulceration can be increased when Diphemanil is combined with Potassium chloride.]
[A03AB09, isopropamide, The risk or severity of gastrointestinal ulceration can be increased when Isopropamide is combined with Potassium chloride.]
[S01FA03, methscopolamine, The risk or severity of gastrointestinal ulceration can be increased when Methscopolamine is combined with Potassium chloride.]
[P02CC01, pyrantel, Potassium chloride may decrease the excretion rate of Pyrantel which could result in a higher serum level.]
[J04AK01, pyrazinamide, Pyrazinamide may decrease the excretion rate of Potassium chloride which could result in a higher serum level.]
[A12BA05, potassium gluconate, Potassium gluconate may increase the hyperkalemic activities of Potassium chloride.]
[C01BA01, quinidine, The risk or severity of gastrointestinal ulceration can be increased when Quinidine is combined with Potassium chloride.]
[A02BA02, ranitidine, Potassium chloride may decrease the excretion rate of Ranitidine which could result in a higher serum level.]
[C02AA01, rescinnamine, The risk or severity of hyperkalemia can be increased when Potassium chloride is combined with Rescinnamine.]
[C02AA02, reserpine, Reserpine may decrease the excretion rate of Potassium chloride which could result in a higher serum level.]
[J05AP01, ribavirin, Potassium chloride may decrease the excretion rate of Ribavirin which could result in a higher serum level.]
[N02BA05, salicylamide, Potassium chloride may increase the hyperkalemic activities of Salicylamide.]
[A07EC01, sulfasalazine, Potassium chloride may increase the hyperkalemic activities of Sulfasalazine.]
[S01BC08, salicylic acid, Potassium chloride may increase the hyperkalemic activities of Salicylic acid.]
[S01FA02, scopolamine, The risk or severity of gastrointestinal ulceration can be increased when Scopolamine is combined with Potassium chloride.]
[N05CA06, secobarbital, Secobarbital may decrease the excretion rate of Potassium chloride which could result in a higher serum level.]
[J01GB08, sisomicin, Potassium chloride may decrease the excretion rate of Sisomicin which could result in a higher serum level.]
[A12CD01, sodium fluoride, Potassium chloride may decrease the excretion rate of Sodium fluoride which could result in a higher serum level.]
[C07AA07, sotalol, Potassium chloride may increase the hyperkalemic activities of Sotalol.]
[C03DA01, spironolactone, The risk or severity of hyperkalemia can be increased when Potassium chloride is combined with Spironolactone.]
