[S02DA03, antipyrine, The metabolism of Antipyrine can be decreased when combined with Flurazepam.]
[N06AA23, quinupramine, The risk or severity of adverse effects can be increased when Flurazepam is combined with Quinupramine.]
[A03FA02, cisapride, The risk or severity of adverse effects can be increased when Cisapride is combined with Flurazepam.]
[N05AL04, remoxipride, The risk or severity of adverse effects can be increased when Remoxipride is combined with Flurazepam.]
[S01AX06, resorcinol, Flurazepam may decrease the excretion rate of Resorcinol which could result in a higher serum level.]
[C01BA03, disopyramide, Flurazepam may increase the central nervous system depressant (CNS depressant) activities of Disopyramide.]
[S02AA12, rifamycin SV, The metabolism of Flurazepam can be increased when combined with Rifamycin.]
[J04AB05, rifapentine, The metabolism of Flurazepam can be increased when combined with Rifapentine.]
[N07XX02, riluzole, The risk or severity of adverse effects can be increased when Flurazepam is combined with Riluzole.]
[N05AX08, risperidone, The risk or severity of adverse effects can be increased when Flurazepam is combined with Risperidone.]
[R06AE09, levocetirizine, The risk or severity of adverse effects can be increased when Flurazepam is combined with Levocetirizine.]
[N01BB09, ropivacaine, The risk or severity of adverse effects can be increased when Ropivacaine is combined with Flurazepam.]
[A04AD12, aprepitant, The metabolism of Flurazepam can be decreased when combined with Aprepitant.]
[C03XA01, tolvaptan, Tolvaptan may increase the excretion rate of Flurazepam which could result in a lower serum level and potentially a reduction in efficacy.]
[G04BE08, tadalafil, Flurazepam may decrease the excretion rate of Tadalafil which could result in a higher serum level.]
[S01BC05, ketorolac, Ketorolac may decrease the excretion rate of Flurazepam which could result in a higher serum level.]
[C01EB18, ranolazine, Ranolazine may decrease the excretion rate of Flurazepam which could result in a higher serum level.]
[N02BA06, salsalate, Salsalate may decrease the excretion rate of Flurazepam which could result in a higher serum level.]
[H05BA01, salmon calcitonin, Salmon calcitonin may decrease the excretion rate of Flurazepam which could result in a higher serum level.]
[C01CA07, dobutamine, Flurazepam may decrease the excretion rate of Dobutamine which could result in a higher serum level.]
[C01CA04, dopamine, The serum concentration of Dopamine can be increased when it is combined with Flurazepam.]
[N06AA16, dothiepin, Flurazepam may increase the central nervous system depressant (CNS depressant) activities of Dosulepin.]
[N06AA12, doxepin, Flurazepam may increase the central nervous system depressant (CNS depressant) activities of Doxepin.]
[J01AA02, doxycycline, Doxycycline may decrease the excretion rate of Flurazepam which could result in a higher serum level.]
[R06AA09, doxylamine, Doxylamine may increase the central nervous system depressant (CNS depressant) activities of Flurazepam.]
[N06AB06, sertraline, The risk or severity of adverse effects can be increased when Flurazepam is combined with Sertraline.]
[N01AB08, sevoflurane, The risk or severity of adverse effects can be increased when Flurazepam is combined with Sevoflurane.]
[N05AD08, droperidol, Droperidol may increase the central nervous system depressant (CNS depressant) activities of Flurazepam.]
[A08AA10, sibutramine, The risk or severity of adverse effects can be increased when Flurazepam is combined with Sibutramine.]
[A12CA02, sodium sulfate, Flurazepam may decrease the excretion rate of Sodium sulfate which could result in a higher serum level.]
[R03DA01, dyphylline, The therapeutic efficacy of Flurazepam can be decreased when used in combination with Dyphylline.]
[N05AL02, sultopride, The risk or severity of adverse effects can be increased when Flurazepam is combined with Sultopride.]
[N02CC01, sumatriptan, The risk or severity of adverse effects can be increased when Sumatriptan is combined with Flurazepam.]
[V04CX07, edrophonium, Flurazepam may decrease the excretion rate of Edrophonium which could result in a higher serum level.]
[L01AX03, temozolomide, Flurazepam may decrease the excretion rate of Temozolomide which could result in a higher serum level.]
[M01AC02, tenoxicam, Tenoxicam may decrease the excretion rate of Flurazepam which could result in a higher serum level.]
[M03BX07, tetrazepam, The risk or severity of adverse effects can be increased when Flurazepam is combined with Tetrazepam.]
[M03BX05, thiocolchicoside, The risk or severity of adverse effects can be increased when Flurazepam is combined with Thiocolchicoside.]
[N05AB05, thiopropazate, The risk or severity of adverse effects can be increased when Flurazepam is combined with Thiopropazate.]
[G04BD01, emepronium, Flurazepam may increase the central nervous system depressant (CNS depressant) activities of Emepronium.]
[N06AX14, tianeptine, The risk or severity of adverse effects can be increased when Flurazepam is combined with Tianeptine.]
[N05BA23, tofisopam, The risk or severity of adverse effects can be increased when Flurazepam is combined with Tofisopam.]
[M01AG02, tolfenamic acid, Tolfenamic acid may decrease the excretion rate of Flurazepam which could result in a higher serum level.]
[N06AG03, toloxatone, The risk or severity of adverse effects can be increased when Flurazepam is combined with Toloxatone.]
[N06BA09, atomoxetine, Atomoxetine may decrease the excretion rate of Flurazepam which could result in a higher serum level.]
[N03AX11, topiramate, The risk or severity of adverse effects can be increased when Topiramate is combined with Flurazepam.]
[C03CA04, torsemide, Torasemide may increase the excretion rate of Flurazepam which could result in a lower serum level and potentially a reduction in efficacy.]
[N05CD11, triazulenone, The risk or severity of adverse effects can be increased when Flurazepam is combined with Loprazolam.]
[N05CC01, chloral hydrate, The risk or severity of adverse effects can be increased when Flurazepam is combined with Chloral hydrate.]
[N05CM07, triclofos, The risk or severity of adverse effects can be increased when Flurazepam is combined with Triclofos.]
[A03AB08, tridihexethyl, Flurazepam may increase the central nervous system depressant (CNS depressant) activities of Tridihexethyl.]
[R06AA10, trimethobenzamide, The risk or severity of adverse effects can be increased when Trimethobenzamide is combined with Flurazepam.]
[N04AA12, tropatepine, Flurazepam may increase the central nervous system depressant (CNS depressant) activities of Tropatepine.]
[N01AB04, enflurane, The risk or severity of adverse effects can be increased when Enflurane is combined with Flurazepam.]
[C02CA06, urapidil, The risk or severity of adverse effects can be increased when Flurazepam is combined with Urapidil.]
[N05AL06, veralipride, The risk or severity of adverse effects can be increased when Flurazepam is combined with Veralipride.]
[S01GX10, epinastine, The risk or severity of adverse effects can be increased when Flurazepam is combined with Epinastine.]
[N06AX16, venlafaxine, The risk or severity of adverse effects can be increased when Venlafaxine is combined with Flurazepam.]
[C08CA12, mepirodipine, The metabolism of Flurazepam can be decreased when combined with Barnidipine.]
[S01EA01, epinephrine, The serum concentration of Epinephrine can be increased when it is combined with Flurazepam.]
[N05CF02, zolpidem, Flurazepam may increase the central nervous system depressant (CNS depressant) activities of Zolpidem.]
[M01AB04, zomepirac, Zomepirac may decrease the excretion rate of Flurazepam which could result in a higher serum level.]
[N03AX15, zonisamide, The risk or severity of adverse effects can be increased when Flurazepam is combined with Zonisamide.]
[N05CF01, zopiclone, The risk or severity of adverse effects can be increased when Flurazepam is combined with Zopiclone.]
[N05AX11, zotepine, The risk or severity of adverse effects can be increased when Flurazepam is combined with Zotepine.]
[L01XA02, carboplatin, Carboplatin may decrease the excretion rate of Flurazepam which could result in a higher serum level.]
[C02AC02, guanfacine, The risk or severity of adverse effects can be increased when Flurazepam is combined with Guanfacine.]
[C01BG01, moricizine, The risk or severity of adverse effects can be increased when Moricizine is combined with Flurazepam.]
[G02AB03, ergonovine, The risk or severity of adverse effects can be increased when Flurazepam is combined with Ergometrine.]
[C04AE01, ergoloid mesylates, USP, The risk or severity of adverse effects can be increased when Flurazepam is combined with Ergoloid mesylate.]
[N02CA02, ergotamine, The metabolism of Flurazepam can be decreased when combined with Ergotamine.]
[N03AG01, valproic acid, The risk or severity of adverse effects can be increased when Valproic acid is combined with Flurazepam.]
[L03AX05, pidotimod, Flurazepam may decrease the excretion rate of Pidotimod which could result in a higher serum level.]
[S01AA17, erythromycin, The metabolism of Flurazepam can be decreased when combined with Erythromycin.]
[N05CD04, estazolam, The risk or severity of adverse effects can be increased when Flurazepam is combined with Estazolam.]
[A02BC02, pantoprazole, Pantoprazole may decrease the excretion rate of Flurazepam which could result in a higher serum level.]
[G03CA03, estradiol, Flurazepam may decrease the excretion rate of Estradiol which could result in a higher serum level.]
[G03CA57, estrogens, conjugated (USP), Conjugated estrogens may decrease the excretion rate of Flurazepam which could result in a higher serum level.]
[J04AK02, ethambutol, Ethambutol may decrease the excretion rate of Flurazepam which could result in a higher serum level.]
[V08CA03, gadodiamide, Gadodiamide may decrease the excretion rate of Flurazepam which could result in a higher serum level.]
[N05CM08, ethchlorvynol, The risk or severity of adverse effects can be increased when Ethchlorvynol is combined with Flurazepam.]
[C01BD05, ibutilide, Ibutilide may decrease the excretion rate of Flurazepam which could result in a higher serum level.]
[N04AA05, profenamine, Flurazepam may increase the central nervous system depressant (CNS depressant) activities of Profenamine.]
[N03AD01, ethosuximide, The risk or severity of adverse effects can be increased when Ethosuximide is combined with Flurazepam.]
[N03AB01, ethotoin, The risk or severity of adverse effects can be increased when Flurazepam is combined with Ethotoin.]
[M01AC06, meloxicam, Meloxicam may decrease the excretion rate of Flurazepam which could result in a higher serum level.]
[S01XA06, ethylmorphine, The risk or severity of adverse effects can be increased when Ethylmorphine is combined with Flurazepam.]
[N01AX07, etomidate, The risk or severity of adverse effects can be increased when Etomidate is combined with Flurazepam.]
[N05AE03, sertindole, The risk or severity of adverse effects can be increased when Flurazepam is combined with Sertindole.]
[L04AD02, tacrolimus, Tacrolimus may decrease the excretion rate of Flurazepam which could result in a higher serum level.]
[R06AX12, terfenadine, The metabolism of Flurazepam can be decreased when combined with Terfenadine.]
[P01AX07, trimetrexate, Flurazepam may decrease the excretion rate of Trimetrexate which could result in a higher serum level.]
[N06AX12, bupropion, The risk or severity of adverse effects can be increased when Flurazepam is combined with Bupropion.]
[N06AB08, fluvoxamine, The risk or severity of adverse effects can be increased when Flurazepam is combined with Fluvoxamine.]
[L02AE02, leuprolide, Leuprolide may decrease the excretion rate of Flurazepam which could result in a higher serum level.]
[B05AA05, dextran, Flurazepam may decrease the excretion rate of Dextran which could result in a higher serum level.]
[V03AF02, dexrazoxane, Dexrazoxane may decrease the excretion rate of Flurazepam which could result in a higher serum level.]
[A16AA01, levocarnitine, Levocarnitine may decrease the excretion rate of Flurazepam which could result in a higher serum level.]
[N03AX26, fenfluramine, The risk or severity of adverse effects can be increased when Fenfluramine is combined with Flurazepam.]
[M01AE04, fenoprofen, Fenoprofen may decrease the excretion rate of Flurazepam which could result in a higher serum level.]
[N02AB03, fentanyl, The risk or severity of adverse effects can be increased when Fentanyl is combined with Flurazepam.]
[R03CC02, albuterol, Flurazepam may decrease the excretion rate of Salbutamol which could result in a higher serum level.]
[L01BB06, clofarabine, The serum concentration of Clofarabine can be increased when it is combined with Flurazepam.]
[N07AX03, cevimeline, Cevimeline may decrease the excretion rate of Flurazepam which could result in a higher serum level.]
[G04BD02, flavoxate, Flurazepam may increase the central nervous system depressant (CNS depressant) activities of Flavoxate.]
[N02BG04, floctafenine, Floctafenine may decrease the excretion rate of Flurazepam which could result in a higher serum level.]
[J02AC01, fluconazole, The metabolism of Flurazepam can be decreased when combined with Fluconazole.]
[J02AX01, flucytosine, Flurazepam may decrease the excretion rate of Flucytosine which could result in a higher serum level.]
[V03AB25, flumazenil, Flurazepam may decrease the excretion rate of Flumazenil which could result in a higher serum level.]
[N07CA03, flunarizine, The risk or severity of adverse effects can be increased when Flurazepam is combined with Flunarizine.]
[N05CD03, flunitrazepam, The risk or severity of adverse effects can be increased when Flurazepam is combined with Flunitrazepam.]
[N06AA14, melitracen, The risk or severity of adverse effects can be increased when Flurazepam is combined with Melitracen.]
[V03AZ01, ethanol, Flurazepam may increase the central nervous system depressant (CNS depressant) activities of Ethanol.]
[L01BC09, floxuridine, Floxuridine may decrease the excretion rate of Flurazepam which could result in a higher serum level.]
[L01BC02, fluorouracil, The metabolism of Fluorouracil can be decreased when combined with Flurazepam.]
[N06AB03, fluoxetine, The serum concentration of Flurazepam can be increased when it is combined with Fluoxetine.]
[N05AF01, flupenthixol, Flupentixol may increase the sedative activities of Flurazepam.]
[N05AB02, fluphenazine, The risk or severity of adverse effects can be increased when Fluphenazine is combined with Flurazepam.]
[S01AA13, fusidic acid, The metabolism of Flurazepam can be decreased when combined with Fusidic acid.]
[N07XX04, sodium oxybate, Flurazepam may increase the central nervous system depressant (CNS depressant) activities of Sodium oxybate.]
[M01AG01, mefenamic acid, Mefenamic acid may decrease the excretion rate of Flurazepam which could result in a higher serum level.]
[C01DA05, pentaerythritol tetranitrate, Flurazepam may decrease the excretion rate of Pentaerythritol tetranitrate which could result in a higher serum level.]
[M01CB01, gold sodium thiomalate, Flurazepam may decrease the excretion rate of Sodium aurothiomalate which could result in a higher serum level.]
[S01BC04, flurbiprofen, Flurbiprofen may decrease the excretion rate of Flurazepam which could result in a higher serum level.]
[N05AG01, fluspirilene, The risk or severity of adverse effects can be increased when Flurazepam is combined with Fluspirilene.]
[L02BB01, flutamide, Flutamide may decrease the excretion rate of Flurazepam which could result in a higher serum level.]
[V04CX02, folic acid, Folic acid may decrease the excretion rate of Flurazepam which could result in a higher serum level.]
[S02AA17, fosfomycin, Flurazepam may decrease the excretion rate of Fosfomycin which could result in a higher serum level.]
[S01AA07, framycetin, Framycetin may decrease the excretion rate of Flurazepam which could result in a higher serum level.]
[L01BC03, tegafur, The metabolism of Tegafur can be decreased when combined with Flurazepam.]
[M03AA01, alcuronium, The risk or severity of adverse effects can be increased when Flurazepam is combined with Alcuronium.]
[G01AX06, furazolidone, The risk or severity of adverse effects can be increased when Furazolidone is combined with Flurazepam.]
[J05AE10, darunavir, The metabolism of Flurazepam can be decreased when combined with Darunavir.]
[C03CA01, furosemide, Furosemide may increase the excretion rate of Flurazepam which could result in a lower serum level and potentially a reduction in efficacy.]
[N05CF04, eszopiclone, The risk or severity of CNS depression can be increased when Flurazepam is combined with Eszopiclone.]
[N05AL05, amisulpride, The risk or severity of adverse effects can be increased when Flurazepam is combined with Amisulpride.]
[M03AC02, gallamine, The risk or severity of adverse effects can be increased when Flurazepam is combined with Gallamine.]
[S01AD09, ganciclovir, Flurazepam may decrease the excretion rate of Ganciclovir which could result in a higher serum level.]
[N03AA04, barbexaclone, The risk or severity of adverse effects can be increased when Flurazepam is combined with Barbexaclone.]
[N06AX08, bifemelane, The risk or severity of adverse effects can be increased when Flurazepam is combined with Bifemelane.]
[C10AB04, gemfibrozil, Flurazepam may decrease the excretion rate of Gemfibrozil which could result in a higher serum level.]
[J01XA03, telavancin, Flurazepam may decrease the excretion rate of Telavancin which could result in a higher serum level.]
[N04BC06, cabergoline, The risk or severity of adverse effects can be increased when Cabergoline is combined with Flurazepam.]
[C01CA21, cafedrine, The therapeutic efficacy of Flurazepam can be decreased when used in combination with Cafedrine.]
[N03AD03, methsuximide, The risk or severity of adverse effects can be increased when Flurazepam is combined with Methsuximide.]
[N01AH02, alfentanil, The risk or severity of adverse effects can be increased when Alfentanil is combined with Flurazepam.]
[A10BB07, glipizide, Flurazepam may decrease the excretion rate of Glipizide which could result in a higher serum level.]
[N05CM18, dexmedetomidine, The risk or severity of adverse effects can be increased when Dexmedetomidine is combined with Flurazepam.]
[N05CE01, glutethimide, The risk or severity of adverse effects can be increased when Flurazepam is combined with Glutethimide.]
[C01BD04, dofetilide, The serum concentration of Dofetilide can be increased when it is combined with Flurazepam.]
[L01EX02, sorafenib, Sorafenib may decrease the excretion rate of Flurazepam which could result in a higher serum level.]
[M01CB04, aurothioglucose, Flurazepam may decrease the excretion rate of Aurothioglucose which could result in a higher serum level.]
[S01LA03, pegaptanib, Flurazepam may decrease the excretion rate of Pegaptanib which could result in a higher serum level.]
[C09AA09, fosinopril, Fosinopril may decrease the excretion rate of Flurazepam which could result in a higher serum level.]
[S01EX01, guanethidine, Flurazepam may decrease the excretion rate of Guanethidine which could result in a higher serum level.]
[L02AE03, goserelin, Goserelin may decrease the excretion rate of Flurazepam which could result in a higher serum level.]
[N05AD01, haloperidol, The risk or severity of CNS depression can be increased when Haloperidol is combined with Flurazepam.]
[N01AB01, halothane, The risk or severity of adverse effects can be increased when Flurazepam is combined with Halothane.]
[N05AH04, quetiapine, Flurazepam may increase the central nervous system depressant (CNS depressant) activities of Quetiapine.]
[N06BX13, idebenone, Flurazepam may decrease the excretion rate of Idebenone which could result in a higher serum level.]
[N02CX03, iprazochrome, The risk or severity of adverse effects can be increased when Flurazepam is combined with Iprazochrome.]
[N05CA21, allobarbital, The risk or severity of adverse effects can be increased when Flurazepam is combined with Allobarbital.]
[M04AA01, allopurinol, Allopurinol may decrease the excretion rate of Flurazepam which could result in a higher serum level.]
[G03DC01, allylestrenol, Flurazepam may decrease the excretion rate of Allylestrenol which could result in a higher serum level.]
[A07EC02, mesalamine, Mesalazine may decrease the excretion rate of Flurazepam which could result in a higher serum level.]
[C01CE02, milrinone, Milrinone may decrease the excretion rate of Flurazepam which could result in a higher serum level.]
[N05CA16, hexobarbital, The risk or severity of adverse effects can be increased when Flurazepam is combined with Hexobarbital.]
[J05AG01, nevirapine, The metabolism of Flurazepam can be decreased when combined with Nevirapine.]
[C08CA10, nilvadipine, The metabolism of Flurazepam can be decreased when combined with Nilvadipine.]
[M02AA26, nimesulide, Nimesulide may decrease the excretion rate of Flurazepam which could result in a higher serum level.]
[C09AA04, perindopril, Flurazepam may decrease the excretion rate of Perindopril which could result in a higher serum level.]
[C02DB02, hydralazine, Flurazepam may decrease the excretion rate of Hydralazine which could result in a higher serum level.]
[C03AA03, hydrochlorothiazide, Hydrochlorothiazide may increase the excretion rate of Flurazepam which could result in a lower serum level and potentially a reduction in efficacy.]
[R05DA03, hydrocodone, Flurazepam may increase the central nervous system depressant (CNS depressant) activities of Hydrocodone.]
[S02BA01, hydrocortisone, The metabolism of Flurazepam can be increased when combined with Hydrocortisone.]
[C03AA02, hydroflumethiazide, Hydroflumethiazide may increase the excretion rate of Flurazepam which could result in a lower serum level and potentially a reduction in efficacy.]
[B05XA17, potassium acetate, Flurazepam may decrease the excretion rate of Potassium acetate which could result in a higher serum level.]
[A12BA02, potassium citrate, Potassium citrate may increase the excretion rate of Flurazepam which could result in a lower serum level and potentially a reduction in efficacy.]
[V03AB33, hydroxocobalamin, Hydroxocobalamin may decrease the excretion rate of Flurazepam which could result in a higher serum level.]
[G04BD06, propiverine, Flurazepam may increase the central nervous system depressant (CNS depressant) activities of Propiverine.]
[N05AX07, prothipendyl, The risk or severity of adverse effects can be increased when Flurazepam is combined with Prothipendyl.]
[B05AA07, hetastarch, Flurazepam may decrease the excretion rate of Hydroxyethyl Starch which could result in a higher serum level.]
[N05BB01, hydroxyzine, Hydroxyzine may increase the central nervous system depressant (CNS depressant) activities of Flurazepam.]
[R02AX02, ibuprofen, Ibuprofen may decrease the excretion rate of Flurazepam which could result in a higher serum level.]
[B05XA08, sodium acetate, Flurazepam may decrease the excretion rate of Sodium acetate which could result in a higher serum level.]
[L01AA06, ifosfamide, The metabolism of Ifosfamide can be decreased when combined with Flurazepam.]
[N01AH03, sufentanil, The risk or severity of adverse effects can be increased when Sufentanil is combined with Flurazepam.]
[N06AA02, imipramine, Flurazepam may increase the central nervous system depressant (CNS depressant) activities of Imipramine.]
[R01AD07, tixocortol, Flurazepam may decrease the excretion rate of Tixocortol which could result in a higher serum level.]
[M03BX02, tizanidine, The risk or severity of adverse effects can be increased when Flurazepam is combined with Tizanidine.]
[L01CE01, topotecan, Flurazepam may decrease the excretion rate of Topotecan which could result in a higher serum level.]
[C03BA11, indapamide, Indapamide may increase the excretion rate of Flurazepam which could result in a lower serum level and potentially a reduction in efficacy.]
[S01BC01, indomethacin, Indomethacin may decrease the excretion rate of Flurazepam which could result in a higher serum level.]
[A11HA07, inositol, Flurazepam may decrease the excretion rate of Inositol which could result in a higher serum level.]
[N06AX17, milnacipran, The risk or severity of adverse effects can be increased when Flurazepam is combined with Milnacipran.]
[A03AA30, piperidolate, Flurazepam may increase the central nervous system depressant (CNS depressant) activities of Piperidolate.]
[S01XA28, varenicline, The excretion of Varenicline can be decreased when combined with Flurazepam.]
[N01BB08, articaine, The risk or severity of adverse effects can be increased when Flurazepam is combined with Articaine.]
[A10BH01, sitagliptin, Flurazepam may decrease the excretion rate of Sitagliptin which could result in a higher serum level.]
[N05BA12, alprazolam, The risk or severity of adverse effects can be increased when Alprazolam is combined with Flurazepam.]
[N05CH02, ramelteon, The risk or severity of adverse effects can be increased when Flurazepam is combined with Ramelteon.]
[R06AE01, buclizine, Flurazepam may increase the central nervous system depressant (CNS depressant) activities of Buclizine.]
[C07AA01, alprenolol, The risk or severity of adverse effects can be increased when Flurazepam is combined with Alprenolol.]
[C03BA02, quinethazone, Quinethazone may increase the excretion rate of Flurazepam which could result in a lower serum level and potentially a reduction in efficacy.]
[V03AB01, ipecac, Flurazepam may decrease the excretion rate of Ipecac which could result in a higher serum level.]
[N06AA13, iprindole, The risk or severity of adverse effects can be increased when Flurazepam is combined with Iprindole.]
[N06AF05, iproniazid, The risk or severity of adverse effects can be increased when Flurazepam is combined with Iproniazid.]
[N05AA07, chlorproethazine, The risk or severity of adverse effects can be increased when Flurazepam is combined with Chlorproethazine.]
[N06AF01, isocarboxazid, The risk or severity of adverse effects can be increased when Flurazepam is combined with Isocarboxazid.]
[N01AB06, isoflurane, The risk or severity of adverse effects can be increased when Flurazepam is combined with Isoflurane.]
[N04BX02, entacapone, The risk or severity of adverse effects can be increased when Entacapone is combined with Flurazepam.]
[J04AC01, isoniazid, The metabolism of Flurazepam can be decreased when combined with Isoniazid.]
[J05AX05, inosine pranobex, Flurazepam may decrease the excretion rate of Inosine pranobex which could result in a higher serum level.]
[D10BA01, isotretinoin, Flurazepam may decrease the excretion rate of Isotretinoin which could result in a higher serum level.]
[N06AX18, reboxetine, The risk or severity of adverse effects can be increased when Reboxetine is combined with Flurazepam.]
[S01AA24, kanamycin, Flurazepam may decrease the excretion rate of Kanamycin which could result in a higher serum level.]
[L04AC07, tocilizumab, The metabolism of Flurazepam can be increased when combined with Tocilizumab.]
[N01AX03, ketamine, The risk or severity of adverse effects can be increased when Flurazepam is combined with Ketamine.]
[C02KD01, ketanserin, The risk or severity of adverse effects can be increased when Flurazepam is combined with Ketanserin.]
[B01AC22, prasugrel, Flurazepam may decrease the excretion rate of Prasugrel which could result in a higher serum level.]
[J02AB02, ketoconazole, The metabolism of Flurazepam can be decreased when combined with Ketoconazole.]
[N05AH03, olanzapine, Flurazepam may increase the central nervous system depressant (CNS depressant) activities of Olanzapine.]
[M02AA10, ketoprofen, Ketoprofen may decrease the excretion rate of Flurazepam which could result in a higher serum level.]
[L04AA24, abatacept, The metabolism of Flurazepam can be increased when combined with Abatacept.]
[N04BC09, rotigotine, Flurazepam may increase the sedative activities of Rotigotine.]
[C07AG01, labetalol, Labetalol may decrease the excretion rate of Flurazepam which could result in a higher serum level.]
[N04BB01, amantadine, The serum concentration of Amantadine can be increased when it is combined with Flurazepam.]
[A06AX03, lubiprostone, Flurazepam may decrease the excretion rate of Lubiprostone which could result in a higher serum level.]
[N03AX18, lacosamide, The risk or severity of adverse effects can be increased when Flurazepam is combined with Lacosamide.]
[N04BA01, levodopa, The risk or severity of adverse effects can be increased when Flurazepam is combined with Levodopa.]
[S02DA01, lidocaine, The risk or severity of adverse effects can be increased when Lidocaine is combined with Flurazepam.]
[S01AA21, amikacin, Flurazepam may decrease the excretion rate of Amikacin which could result in a higher serum level.]
[C03DB01, amiloride, Amiloride may increase the excretion rate of Flurazepam which could result in a lower serum level and potentially a reduction in efficacy.]
[N02CA07, lisuride, The risk or severity of adverse effects can be increased when Lisuride is combined with Flurazepam.]
[N06AA07, lofepramine, The risk or severity of adverse effects can be increased when Flurazepam is combined with Lofepramine.]
[N05BA06, lorazepam, The risk or severity of adverse effects can be increased when Lorazepam is combined with Flurazepam.]
[C10AA02, lovastatin, The metabolism of Flurazepam can be decreased when combined with Lovastatin.]
[N05AH01, loxapine, The risk or severity of adverse effects can be increased when Loxapine is combined with Flurazepam.]
[B05XA11, magnesium chloride, Flurazepam may decrease the excretion rate of Magnesium chloride which could result in a higher serum level.]
[G04BX01, magnesium hydroxide, Flurazepam may decrease the excretion rate of Magnesium hydroxide which could result in a higher serum level.]
[V04CC02, magnesium sulfate, The therapeutic efficacy of Flurazepam can be increased when used in combination with Magnesium sulfate.]
[L01BA05, pralatrexate, Flurazepam may decrease the excretion rate of Pralatrexate which could result in a higher serum level.]
[L01EA03, nilotinib, The metabolism of Flurazepam can be decreased when combined with Nilotinib.]
[V04CX04, mannitol, Mannitol may increase the excretion rate of Flurazepam which could result in a lower serum level and potentially a reduction in efficacy.]
[N06AA21, maprotiline, Flurazepam may increase the central nervous system depressant (CNS depressant) activities of Maprotiline.]
[A08AA05, mazindol, The risk or severity of adverse effects can be increased when Mazindol is combined with Flurazepam.]
[C02BB01, mecamylamine, Mecamylamine may decrease the excretion rate of Flurazepam which could result in a higher serum level.]
[R06AE05, meclizine, The risk or severity of adverse effects can be increased when Flurazepam is combined with Meclizine.]
[M02AA18, meclofenamic acid, Meclofenamic acid may decrease the excretion rate of Flurazepam which could result in a higher serum level.]
[N05BA03, medazepam, The risk or severity of adverse effects can be increased when Flurazepam is combined with Medazepam.]
[C03BA05, mefruside, Mefruside may increase the excretion rate of Flurazepam which could result in a lower serum level and potentially a reduction in efficacy.]
[N05CH01, melatonin, The risk or severity of adverse effects can be increased when Flurazepam is combined with Melatonin.]
[N06DX01, memantine, The serum concentration of Memantine can be increased when it is combined with Flurazepam.]
[N02AB02, meperidine, The risk or severity of adverse effects can be increased when Meperidine is combined with Flurazepam.]
[N03AB04, mephenytoin, The risk or severity of adverse effects can be increased when Mephenytoin is combined with Flurazepam.]
[N03AA01, mephobarbital, The risk or severity of adverse effects can be increased when Flurazepam is combined with Methylphenobarbital.]
[N01BB03, mepivacaine, The risk or severity of adverse effects can be increased when Flurazepam is combined with Mepivacaine.]
[N05BC01, meprobamate, The risk or severity of adverse effects can be increased when Meprobamate is combined with Flurazepam.]
[N02AX05, meptazinol, The risk or severity of adverse effects can be increased when Meptazinol is combined with Flurazepam.]
[G04BX16, tiopronin, Flurazepam may decrease the excretion rate of Tiopronin which could result in a higher serum level.]
[C03BC01, mersalyl, Mersalyl may increase the excretion rate of Flurazepam which could result in a lower serum level and potentially a reduction in efficacy.]
[N05AC03, mesoridazine, The risk or severity of adverse effects can be increased when Flurazepam is combined with Mesoridazine.]
[N05AX13, paliperidone, The risk or severity of adverse effects can be increased when Flurazepam is combined with Paliperidone.]
[A10BA02, metformin, The serum concentration of Metformin can be increased when it is combined with Flurazepam.]
[A04AA04, dolasetron, The risk or severity of adverse effects can be increased when Flurazepam is combined with Dolasetron.]
[N07BC02, methadone, Flurazepam may increase the central nervous system depressant (CNS depressant) activities of Methadone.]
[N06BA03, methamphetamine, The risk or severity of adverse effects can be increased when Flurazepam is combined with Metamfetamine.]
[A03AB07, methantheline, Flurazepam may increase the central nervous system depressant (CNS depressant) activities of Methantheline.]
[R06AC05, methapyrilene, The risk or severity of adverse effects can be increased when Flurazepam is combined with Methapyrilene.]
[N05CM01, methaqualone, The risk or severity of adverse effects can be increased when Flurazepam is combined with Methaqualone.]
[J05AF05, lamivudine, The serum concentration of Lamivudine can be increased when it is combined with Flurazepam.]
[N03AA30, metharbital, The risk or severity of adverse effects can be increased when Metharbital is combined with Flurazepam.]
[S01EC05, methazolamide, Methazolamide may increase the excretion rate of Flurazepam which could result in a lower serum level and potentially a reduction in efficacy.]
[G02CB05, metergoline, The risk or severity of adverse effects can be increased when Flurazepam is combined with Metergoline.]
[H03BB02, methimazole, The metabolism of Flurazepam can be decreased when combined with Methimazole.]
[L01BA04, pemetrexed, Flurazepam may decrease the excretion rate of Pemetrexed which could result in a higher serum level.]
[M03BA03, methocarbamol, The risk or severity of adverse effects can be increased when Methocarbamol is combined with Flurazepam.]
[N05CA15, methohexital, The risk or severity of adverse effects can be increased when Methohexital is combined with Flurazepam.]
[A11HA02, pyridoxine, Pyridoxine may decrease the excretion rate of Flurazepam which could result in a higher serum level.]
[N02BG08, ziconotide, The risk or severity of CNS depression can be increased when Flurazepam is combined with Ziconotide.]
[L04AX03, methotrexate, Methotrexate may decrease the excretion rate of Flurazepam which could result in a higher serum level.]
[N05AA02, methotrimeprazine, Flurazepam may increase the central nervous system depressant (CNS depressant) activities of Methotrimeprazine.]
