[S02DA03, antipyrine, The metabolism of Antipyrine can be decreased when combined with Apomorphine.]
[C03CA04, torsemide, The metabolism of Apomorphine can be decreased when combined with Torasemide.]
[C09AA10, trandolapril, The risk or severity of adverse effects can be increased when Trandolapril is combined with Apomorphine.]
[N05CD11, triazulenone, The risk or severity of adverse effects can be increased when Apomorphine is combined with Loprazolam.]
[N05CC01, chloral hydrate, The risk or severity of adverse effects can be increased when Apomorphine is combined with Chloral hydrate.]
[N05CM07, triclofos, The risk or severity of adverse effects can be increased when Apomorphine is combined with Triclofos.]
[A03AB08, tridihexethyl, Apomorphine may increase the central nervous system depressant (CNS depressant) activities of Tridihexethyl.]
[R06AA10, trimethobenzamide, The risk or severity of adverse effects can be increased when Trimethobenzamide is combined with Apomorphine.]
[L02AE04, triptorelin, The risk or severity of QTc prolongation can be increased when Apomorphine is combined with Triptorelin.]
[N04AA12, tropatepine, Apomorphine may increase the central nervous system depressant (CNS depressant) activities of Tropatepine.]
[N01AB04, enflurane, The risk or severity of adverse effects can be increased when Enflurane is combined with Apomorphine.]
[C02CA06, urapidil, The risk or severity of adverse effects can be increased when Apomorphine is combined with Urapidil.]
[J01MA04, enoxacin, The risk or severity of QTc prolongation can be increased when Enoxacin is combined with Apomorphine.]
[N05AL06, veralipride, The risk or severity of adverse effects can be increased when Apomorphine is combined with Veralipride.]
[S01GX10, epinastine, The risk or severity of adverse effects can be increased when Apomorphine is combined with Epinastine.]
[N06AX16, venlafaxine, The risk or severity of serotonin syndrome can be increased when Apomorphine is combined with Venlafaxine.]
[C08CA12, mepirodipine, The risk or severity of adverse effects can be increased when Apomorphine is combined with Barnidipine.]
[C09AA15, zofenopril, Apomorphine may increase the hypotensive activities of Zofenopril.]
[N05CF02, zolpidem, Apomorphine may increase the central nervous system depressant (CNS depressant) activities of Zolpidem.]
[N03AX15, zonisamide, The risk or severity of adverse effects can be increased when Apomorphine is combined with Zonisamide.]
[N05CF01, zopiclone, The risk or severity of adverse effects can be increased when Apomorphine is combined with Zopiclone.]
[N05AX11, zotepine, The therapeutic efficacy of Apomorphine can be decreased when used in combination with Zotepine.]
[C02AC02, guanfacine, The risk or severity of adverse effects can be increased when Apomorphine is combined with Guanfacine.]
[B01AC11, iloprost, The risk or severity of adverse effects can be increased when Apomorphine is combined with Iloprost.]
[C01BG01, moricizine, The risk or severity of adverse effects can be increased when Moricizine is combined with Apomorphine.]
[G02AB03, ergonovine, The risk or severity of adverse effects can be increased when Apomorphine is combined with Ergometrine.]
[C04AE01, ergoloid mesylates, USP, The risk or severity of adverse effects can be decreased when Apomorphine is combined with Ergoloid mesylate.]
[N02CA02, ergotamine, The risk or severity of adverse effects can be increased when Ergotamine is combined with Apomorphine.]
[N03AG01, valproic acid, The risk or severity of QTc prolongation can be increased when Apomorphine is combined with Valproic acid.]
[S01AA17, erythromycin, The metabolism of Apomorphine can be decreased when combined with Erythromycin.]
[N05CD04, estazolam, The risk or severity of adverse effects can be increased when Apomorphine is combined with Estazolam.]
[G03CA03, estradiol, The metabolism of Estradiol can be decreased when combined with Apomorphine.]
[R03BA09, fluticasone furoate, The metabolism of Apomorphine can be decreased when combined with Fluticasone furoate.]
[R03BA05, fluticasone, The metabolism of Apomorphine can be decreased when combined with Fluticasone.]
[C10AA04, fluvastatin, The metabolism of Apomorphine can be decreased when combined with Fluvastatin.]
[C01CA15, gepefrine, The risk or severity of serotonin syndrome can be increased when Apomorphine is combined with Gepefrine.]
[N05CM08, ethchlorvynol, The risk or severity of adverse effects can be increased when Ethchlorvynol is combined with Apomorphine.]
[L02AA03, ethinyl estradiol, The metabolism of Apomorphine can be decreased when combined with Ethinylestradiol.]
[V03AF05, amifostine, The risk or severity of adverse effects can be increased when Apomorphine is combined with Amifostine.]
[C01BD05, ibutilide, The risk or severity of QTc prolongation can be increased when Apomorphine is combined with Ibutilide.]
[N04AA05, profenamine, Apomorphine may increase the central nervous system depressant (CNS depressant) activities of Profenamine.]
[N03AD01, ethosuximide, The risk or severity of adverse effects can be increased when Ethosuximide is combined with Apomorphine.]
[N03AB01, ethotoin, The risk or severity of adverse effects can be increased when Apomorphine is combined with Ethotoin.]
[S01XA06, ethylmorphine, The risk or severity of adverse effects can be increased when Apomorphine is combined with Ethylmorphine.]
[N01AX07, etomidate, The risk or severity of adverse effects can be increased when Etomidate is combined with Apomorphine.]
[L01CB01, etoposide, The metabolism of Etoposide can be decreased when combined with Apomorphine.]
[N05AE03, sertindole, The therapeutic efficacy of Apomorphine can be decreased when used in combination with Sertindole.]
[C01BA05, ajmaline, The risk or severity of QTc prolongation can be increased when Apomorphine is combined with Ajmaline.]
[L04AD02, tacrolimus, The metabolism of Tacrolimus can be decreased when combined with Apomorphine.]
[J01MA08, fleroxacin, The risk or severity of QTc prolongation can be increased when Apomorphine is combined with Fleroxacin.]
[R06AX11, astemizole, The metabolism of Astemizole can be decreased when combined with Apomorphine.]
[R06AX12, terfenadine, Apomorphine may increase the central nervous system depressant (CNS depressant) activities of Terfenadine.]
[N06AX12, bupropion, The risk or severity of adverse effects can be increased when Bupropion is combined with Apomorphine.]
[N06AB08, fluvoxamine, The risk or severity of adverse effects can be increased when Apomorphine is combined with Fluvoxamine.]
[C01BC08, encainide, The risk or severity of QTc prolongation can be increased when Apomorphine is combined with Encainide.]
[L02AE02, leuprolide, The risk or severity of QTc prolongation can be increased when Apomorphine is combined with Leuprolide.]
[A02BA03, famotidine, The risk or severity of QTc prolongation can be increased when Apomorphine is combined with Famotidine.]
[C08CA02, felodipine, The metabolism of Apomorphine can be decreased when combined with Felodipine.]
[C08EA01, fendiline, The risk or severity of QTc prolongation can be increased when Apomorphine is combined with Fendiline.]
[N03AX26, fenfluramine, The risk or severity of serotonin syndrome can be increased when Apomorphine is combined with Fenfluramine.]
[N02AB03, fentanyl, The risk or severity of adverse effects can be increased when Apomorphine is combined with Fentanyl.]
[R03CC02, albuterol, The risk or severity of QTc prolongation can be increased when Apomorphine is combined with Salbutamol.]
[L01BB06, clofarabine, The risk or severity of adverse effects can be increased when Clofarabine is combined with Apomorphine.]
[G04BD02, flavoxate, Apomorphine may increase the central nervous system depressant (CNS depressant) activities of Flavoxate.]
[C01BC04, flecainide, The risk or severity of QTc prolongation can be increased when Apomorphine is combined with Flecainide.]
[J02AC01, fluconazole, The risk or severity of QTc prolongation can be increased when Fluconazole is combined with Apomorphine.]
[N07CA03, flunarizine, The risk or severity of adverse effects can be increased when Apomorphine is combined with Flunarizine.]
[N05CD03, flunitrazepam, The risk or severity of adverse effects can be increased when Apomorphine is combined with Flunitrazepam.]
[D07AC08, fluocinonide, The metabolism of Apomorphine can be increased when combined with Fluocinonide.]
[N06AA14, melitracen, The risk or severity of adverse effects can be increased when Apomorphine is combined with Melitracen.]
[H02AB03, fluocortolone, The metabolism of Apomorphine can be increased when combined with Fluocortolone.]
[V03AZ01, ethanol, Apomorphine may increase the central nervous system depressant (CNS depressant) activities of Ethanol.]
[L01BC02, fluorouracil, The metabolism of Fluorouracil can be decreased when combined with Apomorphine.]
[N06AB03, fluoxetine, The risk or severity of serotonin syndrome can be increased when Apomorphine is combined with Fluoxetine.]
[N05AF01, flupenthixol, The therapeutic efficacy of Apomorphine can be decreased when used in combination with Flupentixol.]
[N05AB02, fluphenazine, The therapeutic efficacy of Apomorphine can be decreased when used in combination with Fluphenazine.]
[N05CD01, flurazepam, The risk or severity of adverse effects can be increased when Flurazepam is combined with Apomorphine.]
[N05AG01, fluspirilene, The risk or severity of adverse effects can be increased when Apomorphine is combined with Fluspirilene.]
[L02BB01, flutamide, The metabolism of Apomorphine can be decreased when combined with Flutamide.]
[L01BC03, tegafur, The metabolism of Tegafur can be decreased when combined with Apomorphine.]
[M03AA01, alcuronium, The risk or severity of adverse effects can be increased when Apomorphine is combined with Alcuronium.]
[G01AX06, furazolidone, Furazolidone may increase the orthostatic hypotensive activities of Apomorphine.]
[C03CA01, furosemide, The risk or severity of adverse effects can be increased when Furosemide is combined with Apomorphine.]
[N05CF04, eszopiclone, The risk or severity of CNS depression can be increased when Apomorphine is combined with Eszopiclone.]
[N05AL05, amisulpride, The therapeutic efficacy of Apomorphine can be decreased when used in combination with Amisulpride.]
[N06DA04, galantamine, The risk or severity of QTc prolongation can be increased when Galantamine is combined with Apomorphine.]
[M03AC02, gallamine, The risk or severity of adverse effects can be increased when Apomorphine is combined with Gallamine.]
[C08DA02, gallopamil, The risk or severity of QTc prolongation can be increased when Apomorphine is combined with Gallopamil.]
[N03AA04, barbexaclone, Barbexaclone may increase the hypotensive activities of Apomorphine.]
[N06AX08, bifemelane, The risk or severity of adverse effects can be increased when Apomorphine is combined with Bifemelane.]
[C10AB04, gemfibrozil, The metabolism of Apomorphine can be decreased when combined with Gemfibrozil.]
[J01XA03, telavancin, The risk or severity of QTc prolongation can be increased when Apomorphine is combined with Telavancin.]
[L02BX02, degarelix, The risk or severity of QTc prolongation can be increased when Apomorphine is combined with Degarelix.]
[L01EA02, dasatinib, The metabolism of Dasatinib can be decreased when combined with Apomorphine.]
[N04BC06, cabergoline, The risk or severity of adverse effects can be decreased when Cabergoline is combined with Apomorphine.]
[N03AD03, methsuximide, The risk or severity of adverse effects can be increased when Apomorphine is combined with Methsuximide.]
[N01AH02, alfentanil, The risk or severity of adverse effects can be increased when Apomorphine is combined with Alfentanil.]
[L01EH01, lapatinib, The risk or severity of QTc prolongation can be increased when Apomorphine is combined with Lapatinib.]
[A10BB01, glyburide, The metabolism of Glyburide can be decreased when combined with Apomorphine.]
[N05CM18, dexmedetomidine, The risk or severity of adverse effects can be increased when Dexmedetomidine is combined with Apomorphine.]
[N05CE01, glutethimide, The risk or severity of adverse effects can be increased when Apomorphine is combined with Glutethimide.]
[C05AE01, nitroglycerin, The risk or severity of adverse effects can be increased when Apomorphine is combined with Nitroglycerin.]
[C01BD04, dofetilide, The risk or severity of QTc prolongation can be increased when Apomorphine is combined with Dofetilide.]
[C02CA04, doxazosin, The risk or severity of adverse effects can be increased when Doxazosin is combined with Apomorphine.]
[L01EX02, sorafenib, The metabolism of Sorafenib can be decreased when combined with Apomorphine.]
[C07AB09, esmolol, The risk or severity of QTc prolongation can be increased when Esmolol is combined with Apomorphine.]
[B01AA12, fluindione, The risk or severity of adverse effects can be increased when Apomorphine is combined with Fluindione.]
[C09AA09, fosinopril, The risk or severity of adverse effects can be increased when Fosinopril is combined with Apomorphine.]
[S01EX01, guanethidine, Apomorphine may increase the hypotensive activities of Guanethidine.]
[L02AE03, goserelin, The risk or severity of QTc prolongation can be increased when Apomorphine is combined with Goserelin.]
[P01BX01, halofantrine, The risk or severity of QTc prolongation can be increased when Apomorphine is combined with Halofantrine.]
[N05AD01, haloperidol, The risk or severity of QTc prolongation can be increased when Apomorphine is combined with Haloperidol.]
[N01AB01, halothane, The risk or severity of adverse effects can be increased when Apomorphine is combined with Halothane.]
[L02AE05, histrelin, The risk or severity of QTc prolongation can be increased when Apomorphine is combined with Histrelin.]
[N05AH04, quetiapine, The therapeutic efficacy of Apomorphine can be decreased when used in combination with Quetiapine.]
[N02CX03, iprazochrome, The risk or severity of adverse effects can be increased when Apomorphine is combined with Iprazochrome.]
[L01CE02, irinotecan, The metabolism of Irinotecan can be decreased when combined with Apomorphine.]
[N05CA21, allobarbital, The risk or severity of adverse effects can be increased when Apomorphine is combined with Allobarbital.]
[C09CA01, losartan, The risk or severity of QTc prolongation can be increased when Losartan is combined with Apomorphine.]
[N05CA16, hexobarbital, Hexobarbital may increase the hypotensive activities of Apomorphine.]
[J05AG01, nevirapine, The metabolism of Apomorphine can be increased when combined with Nevirapine.]
[C08CA10, nilvadipine, The metabolism of Apomorphine can be decreased when combined with Nilvadipine.]
[R06AE06, oxatomide, The risk or severity of QTc prolongation can be increased when Apomorphine is combined with Oxatomide.]
[C09AA04, perindopril, The risk or severity of adverse effects can be increased when Apomorphine is combined with Perindopril.]
[C02DB02, hydralazine, The risk or severity of adverse effects can be increased when Apomorphine is combined with Hydralazine.]
[C03AA03, hydrochlorothiazide, The risk or severity of QTc prolongation can be increased when Apomorphine is combined with Hydrochlorothiazide.]
[R05DA03, hydrocodone, Apomorphine may increase the central nervous system depressant (CNS depressant) activities of Hydrocodone.]
[S02BA01, hydrocortisone, The metabolism of Apomorphine can be increased when combined with Hydrocortisone.]
[C03AA02, hydroflumethiazide, The risk or severity of adverse effects can be increased when Apomorphine is combined with Hydroflumethiazide.]
[G04BD06, propiverine, Apomorphine may increase the central nervous system depressant (CNS depressant) activities of Propiverine.]
[P01BA02, hydroxychloroquine, The risk or severity of QTc prolongation can be increased when Apomorphine is combined with Hydroxychloroquine.]
[N05AX07, prothipendyl, The risk or severity of adverse effects can be increased when Apomorphine is combined with Prothipendyl.]
[N05BB01, hydroxyzine, The risk or severity of QTc prolongation can be increased when Apomorphine is combined with Hydroxyzine.]
[J04AB04, rifabutin, The metabolism of Apomorphine can be increased when combined with Rifabutin.]
[C02AC06, rilmenidine, Apomorphine may increase the hypotensive activities of Rilmenidine.]
[R02AX02, ibuprofen, The metabolism of Ibuprofen can be decreased when combined with Apomorphine.]
[L01AA06, ifosfamide, The metabolism of Ifosfamide can be decreased when combined with Apomorphine.]
[N01AH03, sufentanil, The risk or severity of adverse effects can be increased when Sufentanil is combined with Apomorphine.]
[N06AA02, imipramine, Apomorphine may increase the central nervous system depressant (CNS depressant) activities of Imipramine.]
[L01CD01, paclitaxel, The metabolism of Paclitaxel can be decreased when combined with Apomorphine.]
[H01BA04, terlipressin, The risk or severity of QTc prolongation can be increased when Apomorphine is combined with Terlipressin.]
[M03BX02, tizanidine, The risk or severity of adverse effects can be increased when Tizanidine is combined with Apomorphine.]
[C03BA11, indapamide, The risk or severity of QTc prolongation can be increased when Apomorphine is combined with Indapamide.]
[C02CA02, indoramin, The risk or severity of adverse effects can be increased when Apomorphine is combined with Indoramin.]
[N06AX17, milnacipran, The risk or severity of adverse effects can be increased when Apomorphine is combined with Milnacipran.]
[A03AA30, piperidolate, Apomorphine may increase the central nervous system depressant (CNS depressant) activities of Piperidolate.]
[N01BB08, articaine, The risk or severity of adverse effects can be increased when Apomorphine is combined with Articaine.]
[A10BH01, sitagliptin, The metabolism of Sitagliptin can be decreased when combined with Apomorphine.]
[N05BA12, alprazolam, The risk or severity of adverse effects can be increased when Alprazolam is combined with Apomorphine.]
[N05CH02, ramelteon, The risk or severity of adverse effects can be increased when Apomorphine is combined with Ramelteon.]
[R06AE01, buclizine, Apomorphine may increase the central nervous system depressant (CNS depressant) activities of Buclizine.]
[C10AA06, cerivastatin, The metabolism of Apomorphine can be decreased when combined with Cerivastatin.]
[L01XX35, anagrelide, The risk or severity of QTc prolongation can be increased when Apomorphine is combined with Anagrelide.]
[C07AA01, alprenolol, The risk or severity of adverse effects can be increased when Apomorphine is combined with Alprenolol.]
[N06AA13, iprindole, The risk or severity of adverse effects can be increased when Apomorphine is combined with Iprindole.]
[N06AF05, iproniazid, Iproniazid may increase the orthostatic hypotensive activities of Apomorphine.]
[N05AA07, chlorproethazine, The risk or severity of adverse effects can be increased when Apomorphine is combined with Chlorproethazine.]
[N06AF01, isocarboxazid, Isocarboxazid may increase the orthostatic hypotensive activities of Apomorphine.]
[C09AA16, imidapril, The risk or severity of adverse effects can be increased when Apomorphine is combined with Imidapril.]
[N01AB06, isoflurane, The risk or severity of adverse effects can be increased when Apomorphine is combined with Isoflurane.]
[N04BX02, entacapone, The risk or severity of adverse effects can be increased when Entacapone is combined with Apomorphine.]
[J04AC01, isoniazid, The risk or severity of serotonin syndrome can be increased when Apomorphine is combined with Isoniazid.]
[C01DA14, isosorbide mononitrate, The risk or severity of adverse effects can be increased when Apomorphine is combined with Isosorbide mononitrate.]
[C05AE02, isosorbide dinitrate, The risk or severity of adverse effects can be increased when Apomorphine is combined with Isosorbide dinitrate.]
[C04AA01, isoxsuprine, The risk or severity of adverse effects can be increased when Apomorphine is combined with Isoxsuprine.]
[N06AX18, reboxetine, The risk or severity of adverse effects can be increased when Reboxetine is combined with Apomorphine.]
[L04AC07, tocilizumab, The metabolism of Apomorphine can be increased when combined with Tocilizumab.]
[N01AX03, ketamine, The risk or severity of adverse effects can be increased when Apomorphine is combined with Ketamine.]
[C02KD01, ketanserin, The risk or severity of adverse effects can be increased when Apomorphine is combined with Ketanserin.]
[B01AC22, prasugrel, The metabolism of Prasugrel can be decreased when combined with Apomorphine.]
[J02AB02, ketoconazole, The metabolism of Apomorphine can be decreased when combined with Ketoconazole.]
[H02CA04, levoketoconazole, The metabolism of Apomorphine can be decreased when combined with Levoketoconazole.]
[N05AH03, olanzapine, The therapeutic efficacy of Apomorphine can be decreased when used in combination with Olanzapine.]
[M02AA10, ketoprofen, The metabolism of Apomorphine can be decreased when combined with Ketoprofen.]
[V03AC03, deferasirox, The metabolism of Apomorphine can be decreased when combined with Deferasirox.]
[L04AA24, abatacept, The metabolism of Apomorphine can be increased when combined with Abatacept.]
[R06AX25, mizolastine, The risk or severity of QTc prolongation can be increased when Apomorphine is combined with Mizolastine.]
[N04BC09, rotigotine, Apomorphine may increase the sedative activities of Rotigotine.]
[J01MB02, nalidixic acid, The risk or severity of QTc prolongation can be increased when Apomorphine is combined with Nalidixic acid.]
[C07AG01, labetalol, The risk or severity of adverse effects can be increased when Labetalol is combined with Apomorphine.]
[N04BB01, amantadine, The risk or severity of QTc prolongation can be increased when Apomorphine is combined with Amantadine.]
[C02AA05, deserpidine, Apomorphine may increase the hypotensive activities of Deserpidine.]
[N03AX18, lacosamide, The risk or severity of adverse effects can be increased when Apomorphine is combined with Lacosamide.]
[C03CC01, ethacrynic acid, The risk or severity of adverse effects can be increased when Apomorphine is combined with Etacrynic acid.]
[G03AD01, levonorgestrel, The metabolism of Apomorphine can be decreased when combined with Levonorgestrel.]
[N04BA01, levodopa, The risk or severity of hypotension and orthostatic hypotension can be increased when Apomorphine is combined with Levodopa.]
[S02DA01, lidocaine, The risk or severity of adverse effects can be increased when Lidocaine is combined with Apomorphine.]
[C08EX01, lidoflazine, The risk or severity of QTc prolongation can be increased when Apomorphine is combined with Lidoflazine.]
[N06BA13, armodafinil, The metabolism of Apomorphine can be increased when combined with Armodafinil.]
[C03DB01, amiloride, The risk or severity of adverse effects can be increased when Amiloride is combined with Apomorphine.]
[N02CA07, lisuride, The risk or severity of adverse effects can be decreased when Lisuride is combined with Apomorphine.]
[N06AA07, lofepramine, The risk or severity of adverse effects can be increased when Apomorphine is combined with Lofepramine.]
[A07DA03, loperamide, The metabolism of Loperamide can be decreased when combined with Apomorphine.]
[N05BA06, lorazepam, The risk or severity of adverse effects can be increased when Lorazepam is combined with Apomorphine.]
[C10AA02, lovastatin, The metabolism of Apomorphine can be decreased when combined with Lovastatin.]
[N05AH01, loxapine, The therapeutic efficacy of Apomorphine can be decreased when used in combination with Loxapine.]
[L01EG01, temsirolimus, The metabolism of Temsirolimus can be decreased when combined with Apomorphine.]
[V04CC02, magnesium sulfate, The therapeutic efficacy of Apomorphine can be increased when used in combination with Magnesium sulfate.]
[L01EA03, nilotinib, The risk or severity of QTc prolongation can be increased when Apomorphine is combined with Nilotinib.]
[V04CX04, mannitol, The risk or severity of adverse effects can be increased when Apomorphine is combined with Mannitol.]
[N06AA21, maprotiline, Apomorphine may increase the central nervous system depressant (CNS depressant) activities of Maprotiline.]
[A08AA05, mazindol, The risk or severity of adverse effects can be increased when Mazindol is combined with Apomorphine.]
[C02BB01, mecamylamine, The risk or severity of adverse effects can be increased when Mecamylamine is combined with Apomorphine.]
[R06AE05, meclizine, The risk or severity of adverse effects can be increased when Apomorphine is combined with Meclizine.]
[N05BA03, medazepam, The risk or severity of adverse effects can be increased when Apomorphine is combined with Medazepam.]
[P01BC02, mefloquine, The risk or severity of QTc prolongation can be increased when Mefloquine is combined with Apomorphine.]
[N05CH01, melatonin, The risk or severity of adverse effects can be increased when Apomorphine is combined with Melatonin.]
[N06DX01, memantine, The metabolism of Apomorphine can be decreased when combined with Memantine.]
[N02AB02, meperidine, The risk or severity of adverse effects can be increased when Meperidine is combined with Apomorphine.]
[C01CA11, mephentermine, The risk or severity of serotonin syndrome can be increased when Apomorphine is combined with Mephentermine.]
[N03AB04, mephenytoin, The risk or severity of adverse effects can be increased when Mephenytoin is combined with Apomorphine.]
[N03AA01, mephobarbital, Methylphenobarbital may increase the hypotensive activities of Apomorphine.]
[N01BB03, mepivacaine, The risk or severity of adverse effects can be increased when Apomorphine is combined with Mepivacaine.]
[N05BC01, meprobamate, The risk or severity of adverse effects can be increased when Meprobamate is combined with Apomorphine.]
[N02AX05, meptazinol, The risk or severity of adverse effects can be increased when Apomorphine is combined with Meptazinol.]
[N05AC03, mesoridazine, The therapeutic efficacy of Apomorphine can be decreased when used in combination with Mesoridazine.]
[N05AX13, paliperidone, The therapeutic efficacy of Apomorphine can be decreased when used in combination with Paliperidone.]
[A04AA04, dolasetron, The risk or severity of hypotension can be increased when Dolasetron is combined with Apomorphine.]
[N07BC02, methadone, The risk or severity of adverse effects can be increased when Methadone is combined with Apomorphine.]
[N06BA03, methamphetamine, The risk or severity of adverse effects can be increased when Apomorphine is combined with Metamfetamine.]
[A03AB07, methantheline, Apomorphine may increase the central nervous system depressant (CNS depressant) activities of Methantheline.]
[R06AC05, methapyrilene, The risk or severity of adverse effects can be increased when Apomorphine is combined with Methapyrilene.]
[N05CM01, methaqualone, The risk or severity of adverse effects can be increased when Apomorphine is combined with Methaqualone.]
[N03AA30, metharbital, The risk or severity of adverse effects can be increased when Metharbital is combined with Apomorphine.]
[S01EC05, methazolamide, The risk or severity of adverse effects can be increased when Methazolamide is combined with Apomorphine.]
[G02CB05, metergoline, The risk or severity of adverse effects can be decreased when Apomorphine is combined with Metergoline.]
[H03BB02, methimazole, The metabolism of Apomorphine can be decreased when combined with Methimazole.]
[M03BA03, methocarbamol, The risk or severity of adverse effects can be increased when Methocarbamol is combined with Apomorphine.]
[N05CA15, methohexital, Methohexital may increase the hypotensive activities of Apomorphine.]
[N02BG08, ziconotide, The risk or severity of adverse effects can be increased when Apomorphine is combined with Ziconotide.]
[N05AA02, methotrimeprazine, Apomorphine may increase the central nervous system depressant (CNS depressant) activities of Methotrimeprazine.]
[N02BG09, methoxyflurane, The risk or severity of adverse effects can be increased when Apomorphine is combined with Methoxyflurane.]
[C03AA08, methyclothiazide, The risk or severity of adverse effects can be increased when Methyclothiazide is combined with Apomorphine.]
[C02AB01, methyldopa, The risk or severity of adverse effects can be increased when Apomorphine is combined with Methyldopa.]
[V04CG05, methylene blue, Apomorphine may increase the serotonergic activities of Methylene blue.]
[G02AB01, methylergonovine, The therapeutic efficacy of Apomorphine can be decreased when used in combination with Methylergometrine.]
[N06BA04, methylphenidate, The risk or severity of adverse effects can be increased when Methylphenidate is combined with Apomorphine.]
[N03AF03, rufinamide, The risk or severity of adverse effects can be increased when Rufinamide is combined with Apomorphine.]
[G03EK01, methyltestosterone, The metabolism of Methyltestosterone can be decreased when combined with Apomorphine.]
[N05CE02, methyprylon, The risk or severity of adverse effects can be increased when Apomorphine is combined with Methyprylon.]
[N02CA04, methysergide, The risk or severity of adverse effects can be increased when Methysergide is combined with Apomorphine.]
[A03FA01, metoclopramide, The risk or severity of sedation can be increased when Metoclopramide is combined with Apomorphine.]
[C03BA08, metolazone, The risk or severity of adverse effects can be increased when Metolazone is combined with Apomorphine.]
[C07AB02, metoprolol, The risk or severity of adverse effects can be increased when Metoprolol is combined with Apomorphine.]
[P01AB01, metronidazole, The risk or severity of QTc prolongation can be increased when Apomorphine is combined with Metronidazole.]
[C01BB02, mexiletine, The metabolism of Apomorphine can be decreased when combined with Mexiletine.]
[N06AX03, mianserin, The risk or severity of adverse effects can be increased when Apomorphine is combined with Mianserin.]
[S02AA13, miconazole, The metabolism of Apomorphine can be decreased when combined with Miconazole.]
[N02BB03, aminopyrine, The metabolism of Aminophenazone can be decreased when combined with Apomorphine.]
[N05CD08, midazolam, The risk or severity of adverse effects can be increased when Midazolam is combined with Apomorphine.]
[G03XB01, mifepristone, The serum concentration of Apomorphine can be increased when it is combined with Mifepristone.]
[C09CA03, valsartan, The risk or severity of adverse effects can be increased when Valsartan is combined with Apomorphine.]
[J01AA08, minocycline, Minocycline may increase the central nervous system depressant (CNS depressant) activities of Apomorphine.]
[D11AX01, minoxidil, The risk or severity of adverse effects can be increased when Minoxidil is combined with Apomorphine.]
[N06BA12, lisdexamfetamine, The risk or severity of serotonin syndrome can be increased when Apomorphine is combined with Lisdexamfetamine.]
[N05AE02, molindone, The therapeutic efficacy of Apomorphine can be decreased when used in combination with Molindone.]
[L03AC01, aldesleukin, The risk or severity of adverse effects can be increased when Aldesleukin is combined with Apomorphine.]
[C01BD01, amiodarone, The metabolism of Amiodarone can be decreased when combined with Apomorphine.]
[N06AA09, amitriptyline, Apomorphine may increase the central nervous system depressant (CNS depressant) activities of Amitriptyline.]
[N02AA01, morphine, The risk or severity of adverse effects can be increased when Morphine is combined with Apomorphine.]
[A04AA05, palonosetron, The risk or severity of hypotension can be increased when Palonosetron is combined with Apomorphine.]
[L04AB05, certolizumab pegol, The metabolism of Apomorphine can be increased when combined with Certolizumab pegol.]
[B02BX05, eltrombopag, The metabolism of Apomorphine can be decreased when combined with Eltrombopag.]
[L01EX03, pazopanib, The metabolism of Pazopanib can be decreased when combined with Apomorphine.]
[M03AC03, vecuronium, The risk or severity of adverse effects can be increased when Apomorphine is combined with Vecuronium.]
[N05CA02, amobarbital, Amobarbital may increase the hypotensive activities of Apomorphine.]
[P01BA06, amodiaquine, The risk or severity of QTc prolongation can be increased when Amodiaquine is combined with Apomorphine.]
[R03BB01, ipratropium bromide, Apomorphine may increase the central nervous system depressant (CNS depressant) activities of Ipratropium.]
[G03XC01, raloxifene, The metabolism of Apomorphine can be decreased when combined with Raloxifene.]
[N06AA17, amoxapine, Apomorphine may increase the central nervous system depressant (CNS depressant) activities of Amoxapine.]
[N03AB05, fosphenytoin, The metabolism of Fosphenytoin can be decreased when combined with Apomorphine.]
[C07AA12, nadolol, The risk or severity of adverse effects can be increased when Apomorphine is combined with Nadolol.]
[N04BC04, ropinirole, Apomorphine may increase the sedative activities of Ropinirole.]
[C04AX21, nafronyl, The risk or severity of adverse effects can be increased when Apomorphine is combined with Naftidrofuryl.]
[N02AF02, nalbuphine, The risk or severity of adverse effects can be increased when Apomorphine is combined with Nalbuphine.]
[N07BB04, naltrexone, The risk or severity of serotonin syndrome can be increased when Naltrexone is combined with Apomorphine.]
[L04AC03, anakinra, The metabolism of Apomorphine can be increased when combined with Anakinra.]
[N06BA01, amphetamine, The risk or severity of serotonin syndrome can be increased when Amphetamine is combined with Apomorphine.]
[M02AA12, naproxen, The metabolism of Naproxen can be decreased when combined with Apomorphine.]
[A10BG01, troglitazone, The metabolism of Apomorphine can be decreased when combined with Troglitazone.]
[N06AX21, duloxetine, The risk or severity of orthostatic hypotension and syncope can be increased when Apomorphine is combined with Duloxetine.]
[N04BX01, tolcapone, The risk or severity of adverse effects can be increased when Tolcapone is combined with Apomorphine.]
[L01CD02, docetaxel, The metabolism of Docetaxel can be decreased when combined with Apomorphine.]
[N01AH06, remifentanil, The risk or severity of adverse effects can be increased when Apomorphine is combined with Remifentanil.]
[A10BX02, repaglinide, The metabolism of Repaglinide can be decreased when combined with Apomorphine.]
[C01CX08, levosimendan, The risk or severity of QTc prolongation can be increased when Apomorphine is combined with Levosimendan.]
[N05AX14, iloperidone, The therapeutic efficacy of Apomorphine can be decreased when used in combination with Iloperidone.]
[J02AA01, amphotericin B, The risk or severity of adverse effects can be increased when Amphotericin B is combined with Apomorphine.]
[N06AX23, desvenlafaxine, The risk or severity of adverse effects can be increased when Apomorphine is combined with Desvenlafaxine.]
