[P02BB01, trichlorfon, Metrifonate may increase the bradycardic activities of Pindolol.]
[C03AA07, cyclopenthiazide, The therapeutic efficacy of Pindolol can be increased when used in combination with Cyclopenthiazide.]
[A10BF02, miglitol, The therapeutic efficacy of Miglitol can be increased when used in combination with Pindolol.]
[J05AF07, tenofovir disoproxil, Tenofovir disoproxil may decrease the excretion rate of Pindolol which could result in a higher serum level.]
[N06AX07, minaprine, Minaprine may increase the bradycardic activities of Pindolol.]
[S01XA18, cyclosporine, The metabolism of Pindolol can be decreased when combined with Cyclosporine.]
[N06AG02, moclobemide, Moclobemide may increase the hypotensive activities of Pindolol.]
[R06AX02, cyproheptadine, Pindolol may increase the central nervous system depressant (CNS depressant) activities of Cyproheptadine.]
[C09AA13, moexipril, Moexipril may increase the hypotensive activities of Pindolol.]
[M02AA02, mofebutazone, Mofebutazone may decrease the antihypertensive activities of Pindolol.]
[M01AX22, morniflumate, Morniflumate may decrease the antihypertensive activities of Pindolol.]
[C03XA02, conivaptan, Conivaptan may increase the excretion rate of Pindolol which could result in a lower serum level and potentially a reduction in efficacy.]
[C02AC05, moxonidine, The therapeutic efficacy of Moxonidine can be decreased when used in combination with Pindolol.]
[G04BE09, vardenafil, Vardenafil may increase the antihypertensive activities of Pindolol.]
[M01AH05, etoricoxib, Etoricoxib may decrease the antihypertensive activities of Pindolol.]
[L01AX04, dacarbazine, Dacarbazine may decrease the excretion rate of Pindolol which could result in a higher serum level.]
[M03CA01, dantrolene, The risk or severity of adverse effects can be increased when Pindolol is combined with Dantrolene.]
[N06BX04, deanol, The risk or severity of adverse effects can be increased when Pindolol is combined with Deanol.]
[C02CC04, debrisoquin, Pindolol may increase the hypotensive activities of Debrisoquine.]
[A04AD11, nabilone, Nabilone may increase the central nervous system depressant (CNS depressant) activities of Pindolol.]
[M01AX01, nabumetone, Nabumetone may decrease the antihypertensive activities of Pindolol.]
[N07BB05, nalmefene, Pindolol may decrease the excretion rate of Nalmefene which could result in a higher serum level.]
[B05XA15, potassium lactate, Potassium lactate may increase the hyperkalemic activities of Pindolol.]
[N05BA16, nordazepam, The risk or severity of adverse effects can be increased when Pindolol is combined with Nordazepam.]
[C07AB12, nebivolol, The therapeutic efficacy of Nebivolol can be decreased when used in combination with Pindolol.]
[S01GX04, nedocromil, Nedocromil may decrease the excretion rate of Pindolol which could result in a higher serum level.]
[N06AX06, nefazodone, The risk or severity of adverse effects can be increased when Pindolol is combined with Nefazodone.]
[N05CM16, niaprazine, The risk or severity of adverse effects can be increased when Pindolol is combined with Niaprazine.]
[C01DX16, nicorandil, Nicorandil may increase the hypotensive activities of Pindolol.]
[L02BB02, nilutamide, Nilutamide may decrease the excretion rate of Pindolol which could result in a higher serum level.]
[N03AG06, tiagabine, The risk or severity of adverse effects can be increased when Tiagabine is combined with Pindolol.]
[C01CA23, theodrenaline, The risk or severity of adverse effects can be increased when Pindolol is combined with Theodrenaline.]
[M03AC11, cisatracurium, The risk or severity of adverse effects can be increased when Cisatracurium is combined with Pindolol.]
[C01CA05, norfenefrine, The therapeutic efficacy of Norfenefrine can be decreased when used in combination with Pindolol.]
[R05DA06, normethadone, The risk or severity of adverse effects can be increased when Pindolol is combined with Normethadone.]
[B01AX05, fondaparinux, Fondaparinux may decrease the excretion rate of Pindolol which could result in a higher serum level.]
[N06AB10, escitalopram, The risk or severity of serotonin syndrome can be increased when Pindolol is combined with Escitalopram.]
[G04BD08, solifenacin, Pindolol may increase the central nervous system depressant (CNS depressant) activities of Solifenacin.]
[A07EC03, olsalazine, Olsalazine may decrease the antihypertensive activities of Pindolol.]
[N06AA01, desipramine, The metabolism of Pindolol can be decreased when combined with Desipramine.]
[C01AA07, deslanoside, Pindolol may increase the bradycardic activities of Deslanoside.]
[H01BA02, desmopressin, Desmopressin may decrease the antihypertensive activities of Pindolol.]
[V04CH02, indigo carmine, Pindolol may decrease the excretion rate of Indigotindisulfonic acid which could result in a higher serum level.]
[J01DH03, ertapenem, Ertapenem may decrease the excretion rate of Pindolol which could result in a higher serum level.]
[C09XA02, aliskiren, Pindolol may increase the hypotensive activities of Aliskiren.]
[M01AE12, oxaprozin, Oxaprozin may decrease the antihypertensive activities of Pindolol.]
[N03AF02, oxcarbazepine, The risk or severity of adverse effects can be increased when Oxcarbazepine is combined with Pindolol.]
[N06BX07, oxiracetam, The risk or severity of adverse effects can be increased when Pindolol is combined with Oxiracetam.]
[N04AA08, dexetimide, Pindolol may increase the central nervous system depressant (CNS depressant) activities of Dexetimide.]
[G04BD04, oxybutynin, Pindolol may increase the central nervous system depressant (CNS depressant) activities of Oxybutynin.]
[A08AA04, dexfenfluramine, The risk or severity of serotonin syndrome can be increased when Pindolol is combined with Dexfenfluramine.]
[A03AA01, oxyphencyclimine, Pindolol may increase the central nervous system depressant (CNS depressant) activities of Oxyphencyclimine.]
[L04AB04, adalimumab, The metabolism of Pindolol can be increased when combined with Adalimumab.]
[L01EB01, gefitinib, The metabolism of Pindolol can be decreased when combined with Gefitinib.]
[N06BA02, dextroamphetamine, The therapeutic efficacy of Pindolol can be decreased when used in combination with Amphetamine.]
[R05DA09, dextromethorphan, The risk or severity of adverse effects can be increased when Dextromethorphan is combined with Pindolol.]
[N03AC01, paramethadione, The risk or severity of adverse effects can be increased when Paramethadione is combined with Pindolol.]
[N02AC01, dextromoramide, The risk or severity of adverse effects can be increased when Pindolol is combined with Dextromoramide.]
[N06AB05, paroxetine, The metabolism of Pindolol can be decreased when combined with Paroxetine.]
[N07BC06, heroin, The risk or severity of adverse effects can be increased when Pindolol is combined with Diamorphine.]
[C01DA05, pentaerythritol tetranitrate, Pindolol may decrease the excretion rate of Pentaerythritol tetranitrate which could result in a higher serum level.]
[C04AD01, pentifylline, The risk or severity of adverse effects can be increased when Pindolol is combined with Pentifylline.]
[P03AC04, permethrin, Pindolol may decrease the excretion rate of Permethrin which could result in a higher serum level.]
[N05BA01, diazepam, The risk or severity of adverse effects can be increased when Diazepam is combined with Pindolol.]
[N03AX07, phenacemide, The risk or severity of adverse effects can be increased when Pindolol is combined with Phenacemide.]
[V03AH01, diazoxide, Diazoxide may increase the hypotensive activities of Pindolol.]
[N03AD02, phensuximide, The risk or severity of adverse effects can be increased when Phensuximide is combined with Pindolol.]
[N06AA08, dibenzepin, The risk or severity of adverse effects can be increased when Pindolol is combined with Dibenzepin.]
[S02DA04, dibucaine, Cinchocaine may increase the bradycardic activities of Pindolol.]
[R05DA08, pholcodine, Pindolol may decrease the excretion rate of Pholcodine which could result in a higher serum level.]
[S01EC02, dichlorphenamide, Diclofenamide may increase the excretion rate of Pindolol which could result in a lower serum level and potentially a reduction in efficacy.]
[S01BC03, diclofenac, Diclofenac may decrease the antihypertensive activities of Pindolol.]
[J05AD01, foscarnet, Foscarnet may decrease the excretion rate of Pindolol which could result in a higher serum level.]
[A03AA07, dicyclomine, Pindolol may increase the central nervous system depressant (CNS depressant) activities of Dicyclomine.]
[J05AF02, didanosine, Didanosine may decrease the excretion rate of Pindolol which could result in a higher serum level.]
[C02DG01, pinacidil, Pindolol may increase the hypotensive activities of Pinacidil.]
[A03AX04, pinaverium, The risk or severity of bradycardia can be increased when Pinaverium is combined with Pindolol.]
[A10BG03, pioglitazone, The therapeutic efficacy of Pioglitazone can be increased when used in combination with Pindolol.]
[N05AD05, pipamperone, The risk or severity of adverse effects can be increased when Pindolol is combined with Pipamperone.]
[A03AB14, pipenzolate, Pindolol may increase the central nervous system depressant (CNS depressant) activities of Pipenzolate.]
[L01EB02, erlotinib, The metabolism of Erlotinib can be decreased when combined with Pindolol.]
[R03CC07, pirbuterol, Pindolol may decrease the bronchodilatory activities of Pirbuterol.]
[C03CA03, piretanide, Piretanide may increase the excretion rate of Pindolol which could result in a lower serum level and potentially a reduction in efficacy.]
[P02CB02, diethylcarbamazine, Diethylcarbamazine may increase the bradycardic activities of Pindolol.]
[A08AA03, diethylpropion, The therapeutic efficacy of Pindolol can be decreased when used in combination with Diethylpropion.]
[C08CA03, isradipine, The risk or severity of bradycardia can be increased when Isradipine is combined with Pindolol.]
[D07XC04, diflucortolone, Pindolol may decrease the excretion rate of Difluocortolone which could result in a higher serum level.]
[A03AB11, poldine, Pindolol may increase the central nervous system depressant (CNS depressant) activities of Poldine.]
[N02BA11, diflunisal, Diflunisal may decrease the antihypertensive activities of Pindolol.]
[C01AA04, digitoxin, Pindolol may increase the bradycardic activities of Digitoxin.]
[C01AA05, digoxin, Pindolol may decrease the excretion rate of Digoxin which could result in a higher serum level.]
[C02DB01, dihydralazine, Pindolol may increase the hypotensive activities of Dihydralazine.]
[C04AE04, dihydroergocristine, Pindolol may increase the vasoconstricting activities of Dihydroergocristine.]
[N02CA01, dihydroergotamine, Pindolol may increase the vasoconstricting activities of Dihydroergotamine.]
[N02AA03, hydromorphone, The risk or severity of adverse effects can be increased when Hydromorphone is combined with Pindolol.]
[L04AX04, lenalidomide, Lenalidomide may decrease the excretion rate of Pindolol which could result in a higher serum level.]
[J05AE08, atazanavir, Atazanavir may decrease the excretion rate of Pindolol which could result in a higher serum level.]
[B01AC21, treprostinil, Treprostinil may increase the hypotensive activities of Pindolol.]
[H03BC01, potassium perchlorate, Potassium perchlorate may increase the hyperkalemic activities of Pindolol.]
[V03AB04, pralidoxime, Pralidoxime may decrease the excretion rate of Pindolol which could result in a higher serum level.]
[D04AB07, pramoxine, The risk or severity of adverse effects can be increased when Pindolol is combined with Pramocaine.]
[C08DB01, diltiazem, The risk or severity of bradycardia can be increased when Diltiazem is combined with Pindolol.]
[R06AA11, dimenhydrinate, The risk or severity of adverse effects can be increased when Pindolol is combined with Dimenhydrinate.]
[V03AB09, dimercaprol, Pindolol may decrease the excretion rate of Dimercaprol which could result in a higher serum level.]
[M03BX03, pridinol, The risk or severity of adverse effects can be increased when Pindolol is combined with Pridinol.]
[R06AB03, dimethindene, Pindolol may increase the central nervous system depressant (CNS depressant) activities of Dimetindene.]
[R03CC08, procaterol, Pindolol may decrease the bronchodilatory activities of Procaterol.]
[M02AX03, dimethyl sulfoxide, The metabolism of Pindolol can be decreased when combined with Dimethyl sulfoxide.]
[N03AG05, progabide, The risk or severity of adverse effects can be increased when Progabide is combined with Pindolol.]
[N06BC02, propentofylline, The risk or severity of adverse effects can be increased when Pindolol is combined with Propentofylline.]
[N02BB04, propyphenazone, Propyphenazone may decrease the antihypertensive activities of Pindolol.]
[M01AB14, proglumetacin, Proglumetacin may decrease the antihypertensive activities of Pindolol.]
[R03DA03, proxyphylline, The risk or severity of adverse effects can be increased when Pindolol is combined with Proxyphylline.]
[R06AA02, diphenhydramine, Pindolol may increase the central nervous system depressant (CNS depressant) activities of Diphenhydramine.]
[A07DA01, diphenoxylate, The risk or severity of adverse effects can be increased when Pindolol is combined with Diphenoxylate.]
[N05CD10, quazepam, The risk or severity of adverse effects can be increased when Pindolol is combined with Quazepam.]
[C09AA06, quinapril, Quinapril may increase the hypotensive activities of Pindolol.]
[B01AC07, dipyridamole, Dipyridamole may increase the bradycardic activities of Pindolol.]
[N06BA11, dexmethylphenidate, Dexmethylphenidate may decrease the antihypertensive activities of Pindolol.]
[N06AA23, quinupramine, The risk or severity of adverse effects can be increased when Pindolol is combined with Quinupramine.]
[A03FA02, cisapride, The metabolism of Pindolol can be decreased when combined with Cisapride.]
[C09AA05, ramipril, Ramipril may increase the hypotensive activities of Pindolol.]
[N05AL04, remoxipride, The risk or severity of adverse effects can be increased when Remoxipride is combined with Pindolol.]
[R03CC14, reproterol, The therapeutic efficacy of Reproterol can be decreased when used in combination with Pindolol.]
[S01AX06, resorcinol, Pindolol may decrease the excretion rate of Resorcinol which could result in a higher serum level.]
[C01BA03, disopyramide, Disopyramide may increase the bradycardic activities of Pindolol.]
[N07AA03, distigmine, Distigmine may increase the bradycardic activities of Pindolol.]
[S02AA12, rifamycin SV, The metabolism of Pindolol can be increased when combined with Rifamycin.]
[J04AB05, rifapentine, The metabolism of Pindolol can be increased when combined with Rifapentine.]
[D06AX11, rifaximin, The metabolism of Pindolol can be increased when combined with Rifaximin.]
[N07XX02, riluzole, The risk or severity of adverse effects can be increased when Riluzole is combined with Pindolol.]
[N05AX08, risperidone, Pindolol may increase the hypotensive activities of Risperidone.]
[R06AE09, levocetirizine, The risk or severity of adverse effects can be increased when Pindolol is combined with Levocetirizine.]
[N01BB09, ropivacaine, The risk or severity of adverse effects can be increased when Ropivacaine is combined with Pindolol.]
[L01EX01, sunitinib, The therapeutic efficacy of Sunitinib can be increased when used in combination with Pindolol.]
[C03XA01, tolvaptan, Tolvaptan may increase the excretion rate of Pindolol which could result in a lower serum level and potentially a reduction in efficacy.]
[L01XG01, bortezomib, The metabolism of Bortezomib can be decreased when combined with Pindolol.]
[G04BE08, tadalafil, Tadalafil may increase the hypotensive activities of Pindolol.]
[S01BC05, ketorolac, Ketorolac may decrease the antihypertensive activities of Pindolol.]
[C02KX02, ambrisentan, Pindolol may increase the hypotensive activities of Ambrisentan.]
[C01EB18, ranolazine, The serum concentration of Pindolol can be increased when it is combined with Ranolazine.]
[N02BA06, salsalate, Salsalate may decrease the antihypertensive activities of Pindolol.]
[R03AC12, salmeterol, Pindolol may decrease the bronchodilatory activities of Salmeterol.]
[H05BA01, salmon calcitonin, Salmon calcitonin may decrease the excretion rate of Pindolol which could result in a higher serum level.]
[C01CA07, dobutamine, Pindolol may decrease the bronchodilatory activities of Dobutamine.]
[A03FA03, domperidone, The metabolism of Domperidone can be decreased when combined with Pindolol.]
[C01CA04, dopamine, Dopamine may decrease the antihypertensive activities of Pindolol.]
[N06AA16, dothiepin, The metabolism of Pindolol can be decreased when combined with Dosulepin.]
[R07AB01, doxapram, Doxapram may decrease the antihypertensive activities of Pindolol.]
[N06AA12, doxepin, Pindolol may increase the orthostatic hypotensive activities of Doxepin.]
[L01DB01, doxorubicin, The metabolism of Pindolol can be decreased when combined with Doxorubicin.]
[J01AA02, doxycycline, Doxycycline may decrease the excretion rate of Pindolol which could result in a higher serum level.]
[R06AA09, doxylamine, Doxylamine may increase the central nervous system depressant (CNS depressant) activities of Pindolol.]
[N06AB06, sertraline, The risk or severity of adverse effects can be increased when Pindolol is combined with Sertraline.]
[N01AB08, sevoflurane, The risk or severity of adverse effects can be increased when Pindolol is combined with Sevoflurane.]
[N05AD08, droperidol, Droperidol may increase the central nervous system depressant (CNS depressant) activities of Pindolol.]
[A08AA10, sibutramine, The risk or severity of adverse effects can be increased when Pindolol is combined with Sibutramine.]
[C10AA01, simvastatin, The metabolism of Simvastatin can be decreased when combined with Pindolol.]
[V03AG05, sodium phosphate, Sodium phosphate, monobasic may increase the hyperkalemic activities of Pindolol.]
[A12CA02, sodium sulfate, Pindolol may decrease the excretion rate of Sodium sulfate which could result in a higher serum level.]
[C09AA11, spirapril, Pindolol may increase the hypotensive activities of Spirapril.]
[R03DA01, dyphylline, The risk or severity of adverse effects can be increased when Pindolol is combined with Dyphylline.]
[N05AL02, sultopride, The risk or severity of adverse effects can be increased when Pindolol is combined with Sultopride.]
[N02CC01, sumatriptan, The risk or severity of adverse effects can be increased when Sumatriptan is combined with Pindolol.]
[V04CX07, edrophonium, Edrophonium may increase the bradycardic activities of Pindolol.]
[C07AB13, talinolol, Pindolol may increase the hypotensive activities of Talinolol.]
[L01AX03, temozolomide, Temozolomide may decrease the excretion rate of Pindolol which could result in a higher serum level.]
[M01AC02, tenoxicam, Tenoxicam may decrease the antihypertensive activities of Pindolol.]
[G04CA03, terazosin, Pindolol may increase the orthostatic hypotensive activities of Terazosin.]
[D01BA02, terbinafine, The metabolism of Pindolol can be decreased when combined with Terbinafine.]
[G04BD05, terodiline, The risk or severity of bradycardia can be increased when Terodiline is combined with Pindolol.]
[C07AA16, tertatolol, Pindolol may increase the bradycardic activities of Tertatolol.]
[S01GA02, tetrahydrozoline, The therapeutic efficacy of Tetryzoline can be decreased when used in combination with Pindolol.]
[M03BX07, tetrazepam, The risk or severity of adverse effects can be increased when Pindolol is combined with Tetrazepam.]
[M03BX05, thiocolchicoside, The risk or severity of adverse effects can be increased when Pindolol is combined with Thiocolchicoside.]
[N05AB05, thiopropazate, The risk or severity of adverse effects can be increased when Pindolol is combined with Thiopropazate.]
[G04BD01, emepronium, Pindolol may increase the central nervous system depressant (CNS depressant) activities of Emepronium.]
[N06AX14, tianeptine, The risk or severity of adverse effects can be increased when Pindolol is combined with Tianeptine.]
[C09AA02, enalapril, Enalapril may increase the hypotensive activities of Pindolol.]
[N05BA23, tofisopam, The risk or severity of adverse effects can be increased when Pindolol is combined with Tofisopam.]
[M01AG02, tolfenamic acid, Tolfenamic acid may decrease the antihypertensive activities of Pindolol.]
[N06AG03, toloxatone, Toloxatone may increase the hypotensive activities of Pindolol.]
[N06BA09, atomoxetine, The metabolism of Atomoxetine can be decreased when combined with Pindolol.]
[N03AX11, topiramate, The risk or severity of adverse effects can be increased when Topiramate is combined with Pindolol.]
[C03CA04, torsemide, Torasemide may increase the excretion rate of Pindolol which could result in a lower serum level and potentially a reduction in efficacy.]
[R01AA09, tramazoline, Tramazoline may decrease the antihypertensive activities of Pindolol.]
[C09AA10, trandolapril, Trandolapril may increase the hypotensive activities of Pindolol.]
[N05CD11, triazulenone, The risk or severity of adverse effects can be increased when Pindolol is combined with Loprazolam.]
[N05CC01, chloral hydrate, The risk or severity of adverse effects can be increased when Pindolol is combined with Chloral hydrate.]
[N05CM07, triclofos, The risk or severity of adverse effects can be increased when Pindolol is combined with Triclofos.]
[A03AB08, tridihexethyl, Pindolol may increase the central nervous system depressant (CNS depressant) activities of Tridihexethyl.]
[R06AA10, trimethobenzamide, The risk or severity of adverse effects can be increased when Trimethobenzamide is combined with Pindolol.]
[N04AA12, tropatepine, Pindolol may increase the central nervous system depressant (CNS depressant) activities of Tropatepine.]
[R03CC11, tulobuterol, The therapeutic efficacy of Tulobuterol can be decreased when used in combination with Pindolol.]
[N01AB04, enflurane, The risk or severity of adverse effects can be increased when Enflurane is combined with Pindolol.]
[C02CA06, urapidil, Pindolol may increase the orthostatic hypotensive activities of Urapidil.]
[N05AL06, veralipride, The risk or severity of adverse effects can be increased when Pindolol is combined with Veralipride.]
[L01CA04, vinorelbine, The metabolism of Pindolol can be decreased when combined with Vinorelbine.]
[S01FB02, ephedrine, The therapeutic efficacy of Ephedrine can be decreased when used in combination with Pindolol.]
[S01GX10, epinastine, The risk or severity of adverse effects can be increased when Epinastine is combined with Pindolol.]
[N06AX16, venlafaxine, The risk or severity of serotonin syndrome can be increased when Pindolol is combined with Venlafaxine.]
[C01CX07, xamoterol, The therapeutic efficacy of Xamoterol can be decreased when used in combination with Pindolol.]
[S01GA03, xylometazoline, The risk or severity of bradycardia can be increased when Xylometazoline is combined with Pindolol.]
[C08CA12, mepirodipine, Pindolol may increase the antihypertensive activities of Barnidipine.]
[S01EA01, epinephrine, Pindolol may decrease the bronchodilatory activities of Epinephrine.]
[C09AA15, zofenopril, Pindolol may increase the hypotensive activities of Zofenopril.]
[N05CF02, zolpidem, Pindolol may increase the central nervous system depressant (CNS depressant) activities of Zolpidem.]
[M01AB04, zomepirac, Zomepirac may decrease the antihypertensive activities of Pindolol.]
[N03AX15, zonisamide, The risk or severity of bradycardia can be increased when Zonisamide is combined with Pindolol.]
[A10AB06, insulin glulisine, human, The therapeutic efficacy of Insulin glulisine can be increased when used in combination with Pindolol.]
[N05CF01, zopiclone, The risk or severity of adverse effects can be increased when Pindolol is combined with Zopiclone.]
[N05AX11, zotepine, The risk or severity of adverse effects can be increased when Pindolol is combined with Zotepine.]
[L01XA02, carboplatin, Carboplatin may decrease the excretion rate of Pindolol which could result in a higher serum level.]
[C02AC02, guanfacine, The therapeutic efficacy of Guanfacine can be decreased when used in combination with Pindolol.]
[B01AC11, iloprost, Iloprost may increase the hypotensive activities of Pindolol.]
[C01BG01, moricizine, The serum concentration of Pindolol can be increased when it is combined with Moricizine.]
[G02AB03, ergonovine, The therapeutic efficacy of Ergometrine can be decreased when used in combination with Pindolol.]
[C04AE01, ergoloid mesylates, USP, Pindolol may increase the vasoconstricting activities of Ergoloid mesylate.]
[N02CA02, ergotamine, Pindolol may increase the vasoconstricting activities of Ergotamine.]
[N03AG01, valproic acid, The risk or severity of adverse effects can be increased when Valproic acid is combined with Pindolol.]
[L03AX05, pidotimod, Pindolol may decrease the excretion rate of Pidotimod which could result in a higher serum level.]
[N05CD04, estazolam, The risk or severity of adverse effects can be increased when Pindolol is combined with Estazolam.]
[A02BC02, pantoprazole, Pantoprazole may decrease the excretion rate of Pindolol which could result in a higher serum level.]
[H05BX01, cinacalcet, The metabolism of Pindolol can be decreased when combined with Cinacalcet.]
[G03CA03, estradiol, Estradiol may decrease the excretion rate of Pindolol which could result in a higher serum level.]
[G03CA57, estrogens, conjugated (USP), Conjugated estrogens may decrease the excretion rate of Pindolol which could result in a higher serum level.]
[J04AK02, ethambutol, Ethambutol may decrease the excretion rate of Pindolol which could result in a higher serum level.]
[C10AA04, fluvastatin, The metabolism of Fluvastatin can be decreased when combined with Pindolol.]
[V08CA03, gadodiamide, Gadodiamide may decrease the excretion rate of Pindolol which could result in a higher serum level.]
[C01CA15, gepefrine, The therapeutic efficacy of Pindolol can be decreased when used in combination with Gepefrine.]
[N05CM08, ethchlorvynol, The risk or severity of adverse effects can be increased when Ethchlorvynol is combined with Pindolol.]
[V03AF05, amifostine, Pindolol may increase the hypotensive activities of Amifostine.]
[C01BD05, ibutilide, Ibutilide may decrease the excretion rate of Pindolol which could result in a higher serum level.]
[N04AA05, profenamine, Profenamine may increase the bradycardic activities of Pindolol.]
[N03AD01, ethosuximide, The risk or severity of bradycardia can be increased when Ethosuximide is combined with Pindolol.]
[N03AB01, ethotoin, The risk or severity of adverse effects can be increased when Ethotoin is combined with Pindolol.]
[M01AC06, meloxicam, Meloxicam may decrease the antihypertensive activities of Pindolol.]
[S01XA06, ethylmorphine, The risk or severity of adverse effects can be increased when Pindolol is combined with Ethylmorphine.]
[C01CA01, etilefrine, The therapeutic efficacy of Etilefrine can be decreased when used in combination with Pindolol.]
[N01AX07, etomidate, The therapeutic efficacy of Etomidate can be decreased when used in combination with Pindolol.]
[N05AE03, sertindole, The risk or severity of adverse effects can be increased when Pindolol is combined with Sertindole.]
[L04AD02, tacrolimus, The risk or severity of hyperkalemia can be increased when Tacrolimus is combined with Pindolol.]
[A02BA04, nizatidine, Nizatidine may increase the bradycardic activities of Pindolol.]
[R06AX11, astemizole, The metabolism of Astemizole can be decreased when combined with Pindolol.]
[R06AX12, terfenadine, The metabolism of Pindolol can be decreased when combined with Terfenadine.]
[P01AX07, trimetrexate, Pindolol may decrease the excretion rate of Trimetrexate which could result in a higher serum level.]
[N06AX12, bupropion, The metabolism of Pindolol can be decreased when combined with Bupropion.]
[N06AB08, fluvoxamine, The metabolism of Pindolol can be decreased when combined with Fluvoxamine.]
[C01BC08, encainide, The metabolism of Encainide can be decreased when combined with Pindolol.]
[L02AE02, leuprolide, Leuprolide may decrease the excretion rate of Pindolol which could result in a higher serum level.]
[M01CB01, gold sodium thiomalate, Pindolol may decrease the excretion rate of Sodium aurothiomalate which could result in a higher serum level.]
[B05AA05, dextran, Pindolol may decrease the excretion rate of Dextran which could result in a higher serum level.]
[V03AF02, dexrazoxane, Dexrazoxane may decrease the excretion rate of Pindolol which could result in a higher serum level.]
[A16AA01, levocarnitine, Levocarnitine may decrease the excretion rate of Pindolol which could result in a higher serum level.]
[C08CA02, felodipine, The risk or severity of bradycardia can be increased when Felodipine is combined with Pindolol.]
[C08EA01, fendiline, The risk or severity of bradycardia can be increased when Fendiline is combined with Pindolol.]
[N03AX26, fenfluramine, The therapeutic efficacy of Fenfluramine can be decreased when used in combination with Pindolol.]
[M01AE04, fenoprofen, Fenoprofen may decrease the antihypertensive activities of Pindolol.]
[R03CC04, fenoterol, Pindolol may decrease the bronchodilatory activities of Fenoterol.]
[N02AB03, fentanyl, The risk or severity of adverse effects can be increased when Fentanyl is combined with Pindolol.]
[R03CC02, albuterol, Pindolol may decrease the bronchodilatory activities of Salbutamol.]
[L01BB06, clofarabine, The risk or severity of adverse effects can be increased when Clofarabine is combined with Pindolol.]
[N07AX03, cevimeline, The risk or severity of adverse effects can be increased when Pindolol is combined with Cevimeline.]
[G04BD02, flavoxate, Pindolol may increase the central nervous system depressant (CNS depressant) activities of Flavoxate.]
[C01BC04, flecainide, The metabolism of Flecainide can be decreased when combined with Pindolol.]
[N02BG04, floctafenine, The risk or severity of adverse effects can be increased when Pindolol is combined with Floctafenine.]
[J02AC01, fluconazole, The risk or severity of hyperkalemia can be increased when Fluconazole is combined with Pindolol.]
[J02AX01, flucytosine, Pindolol may decrease the excretion rate of Flucytosine which could result in a higher serum level.]
[V03AB25, flumazenil, Pindolol may decrease the excretion rate of Flumazenil which could result in a higher serum level.]
[N07CA03, flunarizine, The risk or severity of bradycardia can be increased when Flunarizine is combined with Pindolol.]
[N05CD03, flunitrazepam, The risk or severity of adverse effects can be increased when Pindolol is combined with Flunitrazepam.]
[N06AA14, melitracen, The risk or severity of adverse effects can be increased when Pindolol is combined with Melitracen.]
[V03AZ01, ethanol, Pindolol may increase the central nervous system depressant (CNS depressant) activities of Ethanol.]
[L01BC09, floxuridine, Floxuridine may decrease the excretion rate of Pindolol which could result in a higher serum level.]
[N06AB03, fluoxetine, The serum concentration of Pindolol can be increased when it is combined with Fluoxetine.]
[N05AF01, flupenthixol, Pindolol may increase the orthostatic hypotensive activities of Flupentixol.]
[N05AB02, fluphenazine, The serum concentration of Pindolol can be increased when it is combined with Fluphenazine.]
[N05CD01, flurazepam, The risk or severity of adverse effects can be increased when Flurazepam is combined with Pindolol.]
[S01BC04, flurbiprofen, Flurbiprofen may decrease the antihypertensive activities of Pindolol.]
[N05AG01, fluspirilene, The risk or severity of bradycardia can be increased when Fluspirilene is combined with Pindolol.]
[L02BB01, flutamide, Flutamide may decrease the excretion rate of Pindolol which could result in a higher serum level.]
[V04CX02, folic acid, Folic acid may decrease the excretion rate of Pindolol which could result in a higher serum level.]
[S02AA17, fosfomycin, Fosfomycin may decrease the excretion rate of Pindolol which could result in a higher serum level.]
[S01AA07, framycetin, Framycetin may decrease the excretion rate of Pindolol which could result in a higher serum level.]
[L01BC03, tegafur, Pindolol may decrease the excretion rate of Tegafur which could result in a higher serum level.]
[N06BX17, adrafinil, The therapeutic efficacy of Adrafinil can be decreased when used in combination with Pindolol.]
[M03AA01, alcuronium, The risk or severity of adverse effects can be increased when Pindolol is combined with Alcuronium.]
[G01AX06, furazolidone, Furazolidone may increase the hypotensive activities of Pindolol.]
[J05AE10, darunavir, The metabolism of Pindolol can be decreased when combined with Darunavir.]
[C03CA01, furosemide, Furosemide may increase the excretion rate of Pindolol which could result in a lower serum level and potentially a reduction in efficacy.]
[N05CF04, eszopiclone, The risk or severity of CNS depression can be increased when Pindolol is combined with Eszopiclone.]
[N05AL05, amisulpride, The risk or severity of adverse effects can be increased when Pindolol is combined with Amisulpride.]
[N06DA04, galantamine, Galantamine may increase the bradycardic activities of Pindolol.]
[M03AC02, gallamine, The risk or severity of adverse effects can be increased when Pindolol is combined with Gallamine.]
[C08DA02, gallopamil, The risk or severity of bradycardia can be increased when Gallopamil is combined with Pindolol.]
[S01AD09, ganciclovir, Pindolol may decrease the excretion rate of Ganciclovir which could result in a higher serum level.]
[N03AA04, barbexaclone, Barbexaclone may increase the hypotensive activities of Pindolol.]
[N06AX08, bifemelane, The risk or severity of adverse effects can be increased when Pindolol is combined with Bifemelane.]
[C10AB04, gemfibrozil, Pindolol may decrease the excretion rate of Gemfibrozil which could result in a higher serum level.]
[J01XA03, telavancin, Pindolol may decrease the excretion rate of Telavancin which could result in a higher serum level.]
[N04BC06, cabergoline, Pindolol may increase the vasoconstricting activities of Cabergoline.]
