[S02DA03, antipyrine, The metabolism of Antipyrine can be decreased when combined with Ethinylestradiol.]
[C05CA03, diosmin, The metabolism of Ethinylestradiol can be decreased when combined with Diosmin.]
[R03DA03, proxyphylline, The metabolism of Proxyphylline can be decreased when combined with Ethinylestradiol.]
[R06AA02, diphenhydramine, The metabolism of Diphenhydramine can be decreased when combined with Ethinylestradiol.]
[N05CD10, quazepam, The metabolism of Quazepam can be decreased when combined with Ethinylestradiol.]
[B01AC07, dipyridamole, The risk or severity of adverse effects can be increased when Ethinylestradiol is combined with Dipyridamole.]
[B01AD10, drotrecogin alfa, The risk or severity of adverse effects can be increased when Ethinylestradiol is combined with Drotrecogin alfa.]
[N06AA23, quinupramine, The serum concentration of Quinupramine can be increased when it is combined with Ethinylestradiol.]
[A03FA02, cisapride, The metabolism of Cisapride can be decreased when combined with Ethinylestradiol.]
[S01XA23, sirolimus, The metabolism of Sirolimus can be decreased when combined with Ethinylestradiol.]
[C01BA03, disopyramide, The therapeutic efficacy of Disopyramide can be decreased when used in combination with Ethinylestradiol.]
[J06BB01, Rho(D) immune globulin, Ethinylestradiol may increase the thrombogenic activities of Human Rho(D) immune globulin.]
[L04AA23, natalizumab, Ethinylestradiol may increase the thrombogenic activities of Natalizumab.]
[P03AA04, disulfiram, Ethinylestradiol may decrease the excretion rate of Disulfiram which could result in a higher serum level.]
[S02AA12, rifamycin SV, The metabolism of Ethinylestradiol can be increased when combined with Rifamycin.]
[J04AB05, rifapentine, The metabolism of Ethinylestradiol can be increased when combined with Rifapentine.]
[N07XX02, riluzole, The metabolism of Ethinylestradiol can be increased when combined with Riluzole.]
[N05AX08, risperidone, The metabolism of Ethinylestradiol can be decreased when combined with Risperidone.]
[L04AA21, efalizumab, Ethinylestradiol may increase the thrombogenic activities of Efalizumab.]
[N01BB09, ropivacaine, The metabolism of Ethinylestradiol can be decreased when combined with Ropivacaine.]
[J01MB01, rosoxacin, The metabolism of Ethinylestradiol can be decreased when combined with Rosoxacin.]
[L01EX01, sunitinib, The metabolism of Sunitinib can be decreased when combined with Ethinylestradiol.]
[A04AD12, aprepitant, The serum concentration of Ethinylestradiol can be decreased when it is combined with Aprepitant.]
[L01XG01, bortezomib, The metabolism of Ethinylestradiol can be decreased when combined with Bortezomib.]
[G04BE08, tadalafil, The metabolism of Ethinylestradiol can be decreased when combined with Tadalafil.]
[S01BC05, ketorolac, The metabolism of Ketorolac can be decreased when combined with Ethinylestradiol.]
[C02KX02, ambrisentan, The metabolism of Ambrisentan can be decreased when combined with Ethinylestradiol.]
[C01EB18, ranolazine, Ethinylestradiol may decrease the excretion rate of Ranolazine which could result in a higher serum level.]
[R03AC12, salmeterol, The metabolism of Ethinylestradiol can be decreased when combined with Salmeterol.]
[A03FA03, domperidone, The metabolism of Domperidone can be decreased when combined with Ethinylestradiol.]
[N06AA16, dothiepin, The metabolism of Ethinylestradiol can be decreased when combined with Dosulepin.]
[N06AA12, doxepin, The metabolism of Doxepin can be decreased when combined with Ethinylestradiol.]
[L01DB01, doxorubicin, Ethinylestradiol may decrease the excretion rate of Doxorubicin which could result in a higher serum level.]
[J01AA02, doxycycline, The serum concentration of Ethinylestradiol can be decreased when it is combined with Doxycycline.]
[N06AB06, sertraline, The metabolism of Sertraline can be decreased when combined with Ethinylestradiol.]
[C10AA01, simvastatin, Ethinylestradiol may decrease the excretion rate of Simvastatin which could result in a higher serum level.]
[H01AA01, corticotropin, The serum concentration of Corticotropin can be increased when it is combined with Ethinylestradiol.]
[J01MA05, temafloxacin, The metabolism of Ethinylestradiol can be decreased when combined with Temafloxacin.]
[J01CA17, temocillin, The therapeutic efficacy of Ethinylestradiol can be decreased when used in combination with Temocillin.]
[M01AC02, tenoxicam, The metabolism of Ethinylestradiol can be decreased when combined with Tenoxicam.]
[D01BA02, terbinafine, The metabolism of Ethinylestradiol can be increased when combined with Terbinafine.]
[N06AX14, tianeptine, The serum concentration of Tianeptine can be increased when it is combined with Ethinylestradiol.]
[N03AX11, topiramate, The metabolism of Ethinylestradiol can be increased when combined with Topiramate.]
[C03CA04, torsemide, The metabolism of Torasemide can be decreased when combined with Ethinylestradiol.]
[J01AA12, tigecycline, The serum concentration of Ethinylestradiol can be decreased when it is combined with Tigecycline.]
[B01AC18, triflusal, The risk or severity of adverse effects can be increased when Ethinylestradiol is combined with Triflusal.]
[H02CA01, trilostane, The serum concentration of Trilostane can be increased when it is combined with Ethinylestradiol.]
[C05CA04, troxerutin, The risk or severity of adverse effects can be increased when Ethinylestradiol is combined with Troxerutin.]
[J01MA04, enoxacin, The metabolism of Ethinylestradiol can be decreased when combined with Enoxacin.]
[J06BB03, varicella-zoster immune globulin, Ethinylestradiol may increase the thrombogenic activities of Human varicella-zoster immune globulin.]
[C08CA12, mepirodipine, The metabolism of Ethinylestradiol can be decreased when combined with Barnidipine.]
[S01EA01, epinephrine, The metabolism of Ethinylestradiol can be decreased when combined with Epinephrine.]
[N05CF02, zolpidem, The metabolism of Zolpidem can be decreased when combined with Ethinylestradiol.]
[N03AX15, zonisamide, The metabolism of Ethinylestradiol can be increased when combined with Zonisamide.]
[A10AB06, insulin glulisine, human, The therapeutic efficacy of Insulin glulisine can be decreased when used in combination with Ethinylestradiol.]
[N05CF01, zopiclone, The metabolism of Zopiclone can be decreased when combined with Ethinylestradiol.]
[N05AX11, zotepine, The metabolism of Zotepine can be decreased when combined with Ethinylestradiol.]
[B01AD03, anistreplase, The risk or severity of adverse effects can be increased when Ethinylestradiol is combined with Anistreplase.]
[N02CA02, ergotamine, The metabolism of Ethinylestradiol can be decreased when combined with Ergotamine.]
[N03AG01, valproic acid, The metabolism of Ethinylestradiol can be increased when combined with Valproic acid.]
[S01AA17, erythromycin, Ethinylestradiol may decrease the excretion rate of Erythromycin which could result in a higher serum level.]
[N05CD04, estazolam, The metabolism of Ethinylestradiol can be increased when combined with Estazolam.]
[A02BC02, pantoprazole, The metabolism of Pantoprazole can be decreased when combined with Ethinylestradiol.]
[H05BX01, cinacalcet, The metabolism of Cinacalcet can be decreased when combined with Ethinylestradiol.]
[G03CA03, estradiol, The metabolism of Estradiol can be increased when combined with Ethinylestradiol.]
[G03CA57, estrogens, conjugated (USP), The metabolism of Ethinylestradiol can be decreased when combined with Conjugated estrogens.]
[J04AK02, ethambutol, The metabolism of Ethinylestradiol can be decreased when combined with Ethambutol.]
[R03BA05, fluticasone, The serum concentration of Fluticasone can be increased when it is combined with Ethinylestradiol.]
[C10AA04, fluvastatin, The metabolism of Fluvastatin can be increased when combined with Ethinylestradiol.]
[L04AA03, lymphocyte immune globulin, anti-thymocyte globulin, equine, Ethinylestradiol may increase the thrombogenic activities of Antilymphocyte immunoglobulin (horse).]
[S01AA13, fusidic acid, The metabolism of Fusidic acid can be increased when combined with Ethinylestradiol.]
[J01MB04, pipemidic acid, The metabolism of Ethinylestradiol can be decreased when combined with Pipemidic acid.]
[S02BA08, fluocinolone acetonide, The serum concentration of Fluocinolone acetonide can be increased when it is combined with Ethinylestradiol.]
[M01AG01, mefenamic acid, The metabolism of Ethinylestradiol can be decreased when combined with Mefenamic acid.]
[R03BA09, fluticasone furoate, The serum concentration of Fluticasone furoate can be increased when it is combined with Ethinylestradiol.]
[N03AD01, ethosuximide, The metabolism of Ethinylestradiol can be increased when combined with Ethosuximide.]
[N03AB01, ethotoin, The metabolism of Ethinylestradiol can be increased when combined with Ethotoin.]
[M01AC06, meloxicam, Meloxicam may increase the thrombogenic activities of Ethinylestradiol.]
[L01CB01, etoposide, The metabolism of Etoposide can be decreased when combined with Ethinylestradiol.]
[D05BB01, etretinate, The therapeutic efficacy of Ethinylestradiol can be decreased when used in combination with Etretinate.]
[L04AD02, tacrolimus, The metabolism of Tacrolimus can be decreased when combined with Ethinylestradiol.]
[R06AX11, astemizole, The metabolism of Astemizole can be decreased when combined with Ethinylestradiol.]
[R06AX12, terfenadine, The metabolism of Ethinylestradiol can be decreased when combined with Terfenadine.]
[N06AX12, bupropion, The metabolism of Bupropion can be decreased when combined with Ethinylestradiol.]
[N06AB08, fluvoxamine, The metabolism of Ethinylestradiol can be decreased when combined with Fluvoxamine.]
[C01BB03, tocainide, The metabolism of Tocainide can be decreased when combined with Ethinylestradiol.]
[L04AA02, muromonab-CD3, Ethinylestradiol may increase the thrombogenic activities of Muromonab.]
[C10AA03, pravastatin, Ethinylestradiol may decrease the excretion rate of Pravastatin which could result in a higher serum level.]
[M01CB01, gold sodium thiomalate, The metabolism of Ethinylestradiol can be decreased when combined with Sodium aurothiomalate.]
[B05AA05, dextran, The risk or severity of adverse effects can be increased when Ethinylestradiol is combined with Dextran.]
[A02BA03, famotidine, The metabolism of Ethinylestradiol can be decreased when combined with Famotidine.]
[P02CA03, albendazole, The metabolism of Ethinylestradiol can be increased when combined with Albendazole.]
[C08CA02, felodipine, The metabolism of Ethinylestradiol can be decreased when combined with Felodipine.]
[N03AX26, fenfluramine, The metabolism of Ethinylestradiol can be increased when combined with Fenfluramine.]
[B01AD05, plasmin, The risk or severity of adverse effects can be increased when Ethinylestradiol is combined with Fibrinolysin.]
[C01BC04, flecainide, The metabolism of Flecainide can be decreased when combined with Ethinylestradiol.]
[J01CF05, floxacillin, Ethinylestradiol may decrease the excretion rate of Flucloxacillin which could result in a higher serum level.]
[J02AC01, fluconazole, The bioavailability of Ethinylestradiol can be increased when combined with Fluconazole.]
[H02AA02, fludrocortisone, The serum concentration of Fludrocortisone can be increased when it is combined with Ethinylestradiol.]
[D07XB01, flumethasone, The serum concentration of Flumethasone can be increased when it is combined with Ethinylestradiol.]
[N07CA03, flunarizine, The metabolism of Ethinylestradiol can be increased when combined with Flunarizine.]
[N05CD03, flunitrazepam, The metabolism of Ethinylestradiol can be decreased when combined with Flunitrazepam.]
[D07AC08, fluocinonide, The serum concentration of Fluocinonide can be increased when it is combined with Ethinylestradiol.]
[N06AA14, melitracen, The serum concentration of Melitracen can be increased when it is combined with Ethinylestradiol.]
[H02AB03, fluocortolone, The serum concentration of Fluocortolone can be increased when it is combined with Ethinylestradiol.]
[V03AZ01, ethanol, The metabolism of Ethinylestradiol can be increased when combined with Ethanol.]
[L01BC09, floxuridine, The metabolism of Ethinylestradiol can be decreased when combined with Floxuridine.]
[S01CB05, fluorometholone, The serum concentration of Fluorometholone can be increased when it is combined with Ethinylestradiol.]
[L01BC02, fluorouracil, The metabolism of Fluorouracil can be decreased when combined with Ethinylestradiol.]
[N06AB03, fluoxetine, The metabolism of Ethinylestradiol can be decreased when combined with Fluoxetine.]
[S01BC04, flurbiprofen, The metabolism of Flurbiprofen can be increased when combined with Ethinylestradiol.]
[L02BB01, flutamide, The metabolism of Ethinylestradiol can be decreased when combined with Flutamide.]
[L01BC03, tegafur, The metabolism of Tegafur can be decreased when combined with Ethinylestradiol.]
[J05AE10, darunavir, The therapeutic efficacy of Ethinylestradiol can be decreased when used in combination with Darunavir.]
[C03CA01, furosemide, The therapeutic efficacy of Furosemide can be decreased when used in combination with Ethinylestradiol.]
[N05CF04, eszopiclone, The metabolism of Eszopiclone can be decreased when combined with Ethinylestradiol.]
[N03AA04, barbexaclone, The metabolism of Ethinylestradiol can be increased when combined with Barbexaclone.]
[C10AB04, gemfibrozil, The metabolism of Ethinylestradiol can be decreased when combined with Gemfibrozil.]
[L01EA02, dasatinib, The metabolism of Dasatinib can be decreased when combined with Ethinylestradiol.]
[C01CA21, cafedrine, The metabolism of Cafedrine can be decreased when combined with Ethinylestradiol.]
[A10BJ02, liraglutide, The therapeutic efficacy of Liraglutide can be decreased when used in combination with Ethinylestradiol.]
[J05AG04, etravirine, The metabolism of Ethinylestradiol can be increased when combined with Etravirine.]
[N03AD03, methsuximide, The metabolism of Ethinylestradiol can be increased when combined with Methsuximide.]
[N01AH02, alfentanil, The metabolism of Ethinylestradiol can be decreased when combined with Alfentanil.]
[L01EH01, lapatinib, The metabolism of Lapatinib can be decreased when combined with Ethinylestradiol.]
[A10BB01, glyburide, The therapeutic efficacy of Glyburide can be decreased when used in combination with Ethinylestradiol.]
[A10BB09, gliclazide, The therapeutic efficacy of Gliclazide can be decreased when used in combination with Ethinylestradiol.]
[A10BB07, glipizide, The therapeutic efficacy of Glipizide can be decreased when used in combination with Ethinylestradiol.]
[N05CM18, dexmedetomidine, The metabolism of Ethinylestradiol can be decreased when combined with Dexmedetomidine.]
[C02CA04, doxazosin, The metabolism of Doxazosin can be decreased when combined with Ethinylestradiol.]
[H01AB01, thyrotropin alfa, The therapeutic efficacy of Thyrotropin alfa can be decreased when used in combination with Ethinylestradiol.]
[L01EX02, sorafenib, The metabolism of Sorafenib can be decreased when combined with Ethinylestradiol.]
[B01AA12, fluindione, The risk or severity of adverse effects can be increased when Ethinylestradiol is combined with Fluindione.]
[D01BA01, griseofulvin, The metabolism of Ethinylestradiol can be increased when combined with Griseofulvin.]
[P01BX01, halofantrine, The metabolism of Halofantrine can be decreased when combined with Ethinylestradiol.]
[N05AD01, haloperidol, The serum concentration of Haloperidol can be increased when it is combined with Ethinylestradiol.]
[N01AB01, halothane, The metabolism of Halothane can be decreased when combined with Ethinylestradiol.]
[N05AH04, quetiapine, The metabolism of Quetiapine can be decreased when combined with Ethinylestradiol.]
[A10AD05, insulin aspart, human, The therapeutic efficacy of Insulin aspart can be decreased when used in combination with Ethinylestradiol.]
[L01CE02, irinotecan, The metabolism of Irinotecan can be increased when combined with Ethinylestradiol.]
[C09CA01, losartan, Ethinylestradiol may decrease the excretion rate of Losartan which could result in a higher serum level.]
[S01XA14, heparin, The risk or severity of adverse effects can be increased when Ethinylestradiol is combined with Heparin.]
[N05CA16, hexobarbital, The metabolism of Ethinylestradiol can be increased when combined with Hexobarbital.]
[J05AG01, nevirapine, The metabolism of Ethinylestradiol can be decreased when combined with Nevirapine.]
[C08CA10, nilvadipine, The metabolism of Ethinylestradiol can be decreased when combined with Nilvadipine.]
[M02AA26, nimesulide, Nimesulide may increase the thrombogenic activities of Ethinylestradiol.]
[S02BA01, hydrocortisone, The serum concentration of Hydrocortisone can be increased when it is combined with Ethinylestradiol.]
[P01BA02, hydroxychloroquine, The metabolism of Hydroxychloroquine can be decreased when combined with Ethinylestradiol.]
[N05BB01, hydroxyzine, The metabolism of Ethinylestradiol can be decreased when combined with Hydroxyzine.]
[J04AB04, rifabutin, Rifabutin may increase the excretion rate of Ethinylestradiol which could result in a lower serum level and potentially a reduction in efficacy.]
[R02AX02, ibuprofen, The metabolism of Ibuprofen can be increased when combined with Ethinylestradiol.]
[B05CB02, sodium citrate, The risk or severity of adverse effects can be increased when Ethinylestradiol is combined with Sodium citrate.]
[L01DB06, idarubicin, The metabolism of Idarubicin can be decreased when combined with Ethinylestradiol.]
[L01AA06, ifosfamide, The metabolism of Ifosfamide can be decreased when combined with Ethinylestradiol.]
[H01AC02, somatrem, The metabolism of Ethinylestradiol can be increased when combined with Somatrem.]
[N06AA02, imipramine, The metabolism of Imipramine can be decreased when combined with Ethinylestradiol.]
[L01CD01, paclitaxel, The metabolism of Paclitaxel can be decreased when combined with Ethinylestradiol.]
[R01AD07, tixocortol, The serum concentration of Tixocortol can be increased when it is combined with Ethinylestradiol.]
[M03BX02, tizanidine, The metabolism of Ethinylestradiol can be increased when combined with Tizanidine.]
[S01BC01, indomethacin, Ethinylestradiol may decrease the excretion rate of Indomethacin which could result in a higher serum level.]
[L03AB04, interferon alfa-2a, The metabolism of Ethinylestradiol can be decreased when combined with Interferon alfa-2a.]
[L03AB05, interferon alfa-2b, The metabolism of Ethinylestradiol can be decreased when combined with Interferon alfa-2b.]
[N06AX17, milnacipran, The metabolism of Ethinylestradiol can be decreased when combined with Milnacipran.]
[L04AA25, eculizumab, Ethinylestradiol may increase the thrombogenic activities of Eculizumab.]
[A10BH01, sitagliptin, The therapeutic efficacy of Sitagliptin can be decreased when used in combination with Ethinylestradiol.]
[S01LA04, ranibizumab, Ethinylestradiol may increase the thrombogenic activities of Ranibizumab.]
[N05BA12, alprazolam, The metabolism of Ethinylestradiol can be decreased when combined with Alprazolam.]
[N05CH02, ramelteon, The metabolism of Ramelteon can be decreased when combined with Ethinylestradiol.]
[A10BH02, vildagliptin, The therapeutic efficacy of Vildagliptin can be decreased when used in combination with Ethinylestradiol.]
[C10AA06, cerivastatin, Ethinylestradiol may decrease the excretion rate of Cerivastatin which could result in a higher serum level.]
[L01XX35, anagrelide, The metabolism of Ethinylestradiol can be decreased when combined with Anagrelide.]
[L03AB09, interferon alfacon-1, The metabolism of Ethinylestradiol can be decreased when combined with Interferon alfacon-1.]
[N06AA13, iprindole, The serum concentration of Iprindole can be increased when it is combined with Ethinylestradiol.]
[N06AF05, iproniazid, The metabolism of Ethinylestradiol can be decreased when combined with Iproniazid.]
[J05AB13, penciclovir, The metabolism of Ethinylestradiol can be decreased when combined with Penciclovir.]
[P01AX06, atovaquone, The metabolism of Ethinylestradiol can be decreased when combined with Atovaquone.]
[N04BX02, entacapone, The metabolism of Ethinylestradiol can be decreased when combined with Entacapone.]
[J04AC01, isoniazid, The metabolism of Ethinylestradiol can be decreased when combined with Isoniazid.]
[A10BJ01, exenatide, Exenatide can cause a decrease in the absorption of Ethinylestradiol resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[D10BA01, isotretinoin, The therapeutic efficacy of Ethinylestradiol can be decreased when used in combination with Isotretinoin.]
[B01AE06, bivalirudin, The risk or severity of adverse effects can be increased when Ethinylestradiol is combined with Bivalirudin.]
[H01AC01, somatropin, The therapeutic efficacy of Somatotropin can be decreased when used in combination with Ethinylestradiol.]
[L04AC07, tocilizumab, The metabolism of Ethinylestradiol can be increased when combined with Tocilizumab.]
[N01AX03, ketamine, The metabolism of Ketamine can be decreased when combined with Ethinylestradiol.]
[B01AC22, prasugrel, The risk or severity of adverse effects can be increased when Ethinylestradiol is combined with Prasugrel.]
[J02AB02, ketoconazole, The metabolism of Ethinylestradiol can be decreased when combined with Ketoconazole.]
[N05AH03, olanzapine, The metabolism of Ethinylestradiol can be decreased when combined with Olanzapine.]
[M02AA10, ketoprofen, The metabolism of Ketoprofen can be increased when combined with Ethinylestradiol.]
[V03AC03, deferasirox, The metabolism of Deferasirox can be increased when combined with Ethinylestradiol.]
[L04AA24, abatacept, The metabolism of Ethinylestradiol can be increased when combined with Abatacept.]
[J01MB02, nalidixic acid, The metabolism of Ethinylestradiol can be decreased when combined with Nalidixic acid.]
[C07AG01, labetalol, The metabolism of Labetalol can be increased when combined with Ethinylestradiol.]
[N03AX18, lacosamide, The metabolism of Ethinylestradiol can be increased when combined with Lacosamide.]
[J01CA11, amdinocillin, The therapeutic efficacy of Ethinylestradiol can be decreased when used in combination with Amdinocillin.]
[J01CA08, amdinocillin pivoxil, The therapeutic efficacy of Ethinylestradiol can be decreased when used in combination with Pivmecillinam.]
[S02DA01, lidocaine, The metabolism of Ethinylestradiol can be decreased when combined with Lidocaine.]
[N06BA13, armodafinil, The metabolism of Ethinylestradiol can be increased when combined with Armodafinil.]
[N06AA07, lofepramine, The serum concentration of Lofepramine can be increased when it is combined with Ethinylestradiol.]
[A07DA03, loperamide, The metabolism of Loperamide can be decreased when combined with Ethinylestradiol.]
[N05BA06, lorazepam, The metabolism of Ethinylestradiol can be increased when combined with Lorazepam.]
[C10AA02, lovastatin, Ethinylestradiol may decrease the excretion rate of Lovastatin which could result in a higher serum level.]
[J01AA04, lymecycline, The serum concentration of Ethinylestradiol can be decreased when it is combined with Lymecycline.]
[G03DC03, lynestrenol, The metabolism of Lynestrenol can be decreased when combined with Ethinylestradiol.]
[L01EG01, temsirolimus, The metabolism of Temsirolimus can be decreased when combined with Ethinylestradiol.]
[V04CC02, magnesium sulfate, The metabolism of Ethinylestradiol can be increased when combined with Magnesium sulfate.]
[L01EA03, nilotinib, The metabolism of Ethinylestradiol can be decreased when combined with Nilotinib.]
[N06AA21, maprotiline, The metabolism of Ethinylestradiol can be decreased when combined with Maprotiline.]
[M02AA18, meclofenamic acid, The therapeutic efficacy of Meclofenamic acid can be decreased when used in combination with Ethinylestradiol.]
[N05BA03, medazepam, The metabolism of Ethinylestradiol can be increased when combined with Medazepam.]
[B01AB06, nadroparin, The risk or severity of adverse effects can be increased when Ethinylestradiol is combined with Nadroparin.]
[B01AB05, enoxaparin, The risk or severity of adverse effects can be increased when Ethinylestradiol is combined with Enoxaparin.]
[B01AB04, dalteparin, The risk or severity of adverse effects can be increased when Ethinylestradiol is combined with Dalteparin.]
[N05CH01, melatonin, The metabolism of Melatonin can be decreased when combined with Ethinylestradiol.]
[N03AB04, mephenytoin, The metabolism of Ethinylestradiol can be increased when combined with Mephenytoin.]
[N03AA01, mephobarbital, The metabolism of Ethinylestradiol can be increased when combined with Methylphenobarbital.]
[L02BG01, aminoglutethimide, The metabolism of Ethinylestradiol can be increased when combined with Aminoglutethimide.]
[N05AX13, paliperidone, The metabolism of Paliperidone can be decreased when combined with Ethinylestradiol.]
[A10BA02, metformin, The therapeutic efficacy of Metformin can be decreased when used in combination with Ethinylestradiol.]
[J01AA05, methacycline, The serum concentration of Ethinylestradiol can be decreased when it is combined with Metacycline.]
[N07BC02, methadone, The metabolism of Methadone can be decreased when combined with Ethinylestradiol.]
[N03AA30, metharbital, The metabolism of Ethinylestradiol can be increased when combined with Metharbital.]
[H03BB02, methimazole, The metabolism of Ethinylestradiol can be decreased when combined with Methimazole.]
[L01BA04, pemetrexed, The metabolism of Ethinylestradiol can be decreased when combined with Pemetrexed.]
[N05CA15, methohexital, The metabolism of Ethinylestradiol can be increased when combined with Methohexital.]
[D05BA02, methoxsalen, The metabolism of Ethinylestradiol can be decreased when combined with Methoxsalen.]
[N02BG09, methoxyflurane, The metabolism of Methoxyflurane can be decreased when combined with Ethinylestradiol.]
[V04CG05, methylene blue, The metabolism of Ethinylestradiol can be decreased when combined with Methylene blue.]
[R03DA05, aminophylline, The metabolism of Aminophylline can be decreased when combined with Ethinylestradiol.]
[H02AB04, methylprednisolone, The serum concentration of Methylprednisolone can be increased when it is combined with Ethinylestradiol.]
[D07AC14, methylprednisolone aceponate, The serum concentration of Methylprednisolone aceponate can be increased when it is combined with Ethinylestradiol.]
[N03AF03, rufinamide, The therapeutic efficacy of Ethinylestradiol can be decreased when used in combination with Rufinamide.]
[A03FA01, metoclopramide, The metabolism of Metoclopramide can be decreased when combined with Ethinylestradiol.]
[P01AB01, metronidazole, The metabolism of Metronidazole can be increased when combined with Ethinylestradiol.]
[V04CD01, metyrapone, The metabolism of Ethinylestradiol can be increased when combined with Metyrapone.]
[C01BB02, mexiletine, The metabolism of Ethinylestradiol can be decreased when combined with Mexiletine.]
[J01CA10, mezlocillin, The therapeutic efficacy of Ethinylestradiol can be decreased when used in combination with Mezlocillin.]
[N06AX03, mianserin, The metabolism of Mianserin can be decreased when combined with Ethinylestradiol.]
[S02AA13, miconazole, The metabolism of Ethinylestradiol can be decreased when combined with Miconazole.]
[N02BB03, aminopyrine, The metabolism of Aminophenazone can be decreased when combined with Ethinylestradiol.]
[B01AB07, parnaparin, The risk or severity of adverse effects can be increased when Ethinylestradiol is combined with Parnaparin.]
[N05CD08, midazolam, The metabolism of Ethinylestradiol can be decreased when combined with Midazolam.]
[G03XB01, mifepristone, The serum concentration of Ethinylestradiol can be increased when it is combined with Mifepristone.]
[B01AB10, tinzaparin, The risk or severity of adverse effects can be increased when Ethinylestradiol is combined with Tinzaparin.]
[C09CA03, valsartan, The metabolism of Ethinylestradiol can be decreased when combined with Valsartan.]
[J01AA08, minocycline, The serum concentration of Ethinylestradiol can be decreased when it is combined with Minocycline.]
[D11AX01, minoxidil, The metabolism of Minoxidil can be increased when combined with Ethinylestradiol.]
[L01XX23, mitotane, The metabolism of Ethinylestradiol can be increased when combined with Mitotane.]
[C01BD01, amiodarone, The metabolism of Ethinylestradiol can be decreased when combined with Amiodarone.]
[N06AA09, amitriptyline, The metabolism of Ethinylestradiol can be decreased when combined with Amitriptyline.]
[N02AA01, morphine, Ethinylestradiol may increase the excretion rate of Morphine which could result in a lower serum level and potentially a reduction in efficacy.]
[L04AB05, certolizumab pegol, The metabolism of Ethinylestradiol can be increased when combined with Certolizumab pegol.]
[B02BX05, eltrombopag, The metabolism of Eltrombopag can be increased when combined with Ethinylestradiol.]
[L04AA52, ofatumumab, Ethinylestradiol may increase the thrombogenic activities of Ofatumumab.]
[L01EX03, pazopanib, The metabolism of Pazopanib can be decreased when combined with Ethinylestradiol.]
[L04AA06, mycophenolic acid, The serum concentration of Ethinylestradiol can be decreased when it is combined with Mycophenolic acid.]
[N05CA02, amobarbital, The metabolism of Ethinylestradiol can be increased when combined with Amobarbital.]
[J05AJ01, raltegravir, The metabolism of Raltegravir can be increased when combined with Ethinylestradiol.]
[P01BA06, amodiaquine, The metabolism of Amodiaquine can be decreased when combined with Ethinylestradiol.]
[G03XC01, raloxifene, The metabolism of Raloxifene can be increased when combined with Ethinylestradiol.]
[N06AA17, amoxapine, The serum concentration of Amoxapine can be increased when it is combined with Ethinylestradiol.]
[N03AB05, fosphenytoin, The serum concentration of Ethinylestradiol can be decreased when it is combined with Fosphenytoin.]
[L03AB08, interferon beta-1b, The metabolism of Ethinylestradiol can be decreased when combined with Interferon beta-1b.]
[J01CA04, amoxicillin, The therapeutic efficacy of Ethinylestradiol can be decreased when used in combination with Amoxicillin.]
[N04BC04, ropinirole, Ethinylestradiol may increase the excretion rate of Ropinirole which could result in a lower serum level and potentially a reduction in efficacy.]
[J01CF06, nafcillin, The metabolism of Ethinylestradiol can be increased when combined with Nafcillin.]
[V03AB15, naloxone, The metabolism of Ethinylestradiol can be decreased when combined with Naloxone.]
[N07BB04, naltrexone, The metabolism of Naltrexone can be increased when combined with Ethinylestradiol.]
[L04AC03, anakinra, The metabolism of Ethinylestradiol can be increased when combined with Anakinra.]
[M02AA12, naproxen, Ethinylestradiol may decrease the excretion rate of Naproxen which could result in a higher serum level.]
[A10BG01, troglitazone, The metabolism of Troglitazone can be increased when combined with Ethinylestradiol.]
[N06AX21, duloxetine, The metabolism of Ethinylestradiol can be decreased when combined with Duloxetine.]
[N04BX01, tolcapone, The metabolism of Ethinylestradiol can be decreased when combined with Tolcapone.]
[L01CD02, docetaxel, The metabolism of Docetaxel can be decreased when combined with Ethinylestradiol.]
[A10BX02, repaglinide, Ethinylestradiol may decrease the excretion rate of Repaglinide which could result in a higher serum level.]
[N05AX14, iloperidone, The metabolism of Iloperidone can be decreased when combined with Ethinylestradiol.]
[S01AA19, ampicillin, The therapeutic efficacy of Ethinylestradiol can be decreased when used in combination with Ampicillin.]
[N06AX23, desvenlafaxine, The metabolism of Ethinylestradiol can be decreased when combined with Desvenlafaxine.]
[C09CA07, telmisartan, Ethinylestradiol may decrease the excretion rate of Telmisartan which could result in a higher serum level.]
[M04AA03, febuxostat, The metabolism of Febuxostat can be increased when combined with Ethinylestradiol.]
[C08CA04, nicardipine, The metabolism of Ethinylestradiol can be decreased when combined with Nicardipine.]
[P02DA01, niclosamide, The metabolism of Ethinylestradiol can be decreased when combined with Niclosamide.]
[C08CA05, nifedipine, Ethinylestradiol may decrease the excretion rate of Nifedipine which could result in a higher serum level.]
[M02AA17, niflumic acid, The metabolism of Ethinylestradiol can be decreased when combined with Niflumic acid.]
[C08CA07, nisoldipine, The metabolism of Ethinylestradiol can be decreased when combined with Nisoldipine.]
[N05CD02, nitrazepam, The metabolism of Ethinylestradiol can be increased when combined with Nitrazepam.]
[C08CA08, nitrendipine, Ethinylestradiol may decrease the excretion rate of Nitrendipine which could result in a higher serum level.]
[J01XE01, nitrofurantoin, The therapeutic efficacy of Nitrofurantoin can be decreased when used in combination with Ethinylestradiol.]
[N05CF03, zaleplon, The metabolism of Ethinylestradiol can be increased when combined with Zaleplon.]
