[S02DA03, antipyrine, The metabolism of Antipyrine can be decreased when combined with Nilutamide.]
[B05AA07, hetastarch, Nilutamide may decrease the excretion rate of Hydroxyethyl Starch which could result in a higher serum level.]
[J04AB04, rifabutin, The metabolism of Nilutamide can be increased when combined with Rifabutin.]
[R02AX02, ibuprofen, The metabolism of Ibuprofen can be decreased when combined with Nilutamide.]
[B05XA08, sodium acetate, Nilutamide may decrease the excretion rate of Sodium acetate which could result in a higher serum level.]
[L01DB06, idarubicin, The metabolism of Idarubicin can be decreased when combined with Nilutamide.]
[L01AA06, ifosfamide, The metabolism of Ifosfamide can be decreased when combined with Nilutamide.]
[N06AA02, imipramine, The metabolism of Nilutamide can be decreased when combined with Imipramine.]
[L01CD01, paclitaxel, The metabolism of Paclitaxel can be decreased when combined with Nilutamide.]
[R01AD07, tixocortol, Nilutamide may decrease the excretion rate of Tixocortol which could result in a higher serum level.]
[L01CE01, topotecan, Nilutamide may decrease the excretion rate of Topotecan which could result in a higher serum level.]
[C03BA11, indapamide, Indapamide may increase the excretion rate of Nilutamide which could result in a lower serum level and potentially a reduction in efficacy.]
[S01BC01, indomethacin, The metabolism of Indomethacin can be decreased when combined with Nilutamide.]
[A11HA07, inositol, Nilutamide may decrease the excretion rate of Inositol which could result in a higher serum level.]
[N06AX17, milnacipran, Nilutamide may decrease the excretion rate of Milnacipran which could result in a higher serum level.]
[S01XA28, varenicline, Nilutamide may decrease the excretion rate of Varenicline which could result in a higher serum level.]
[N01BB08, articaine, The risk or severity of methemoglobinemia can be increased when Nilutamide is combined with Articaine.]
[A10BH01, sitagliptin, The metabolism of Sitagliptin can be decreased when combined with Nilutamide.]
[N05BA12, alprazolam, Alprazolam may decrease the excretion rate of Nilutamide which could result in a higher serum level.]
[N05CH02, ramelteon, The metabolism of Ramelteon can be decreased when combined with Nilutamide.]
[C10AA06, cerivastatin, The metabolism of Cerivastatin can be decreased when combined with Nilutamide.]
[C03BA02, quinethazone, Quinethazone may increase the excretion rate of Nilutamide which could result in a lower serum level and potentially a reduction in efficacy.]
[V03AB01, ipecac, Nilutamide may decrease the excretion rate of Ipecac which could result in a higher serum level.]
[J04AC01, isoniazid, The metabolism of Nilutamide can be decreased when combined with Isoniazid.]
[J05AX05, inosine pranobex, Nilutamide may decrease the excretion rate of Inosine pranobex which could result in a higher serum level.]
[D10BA01, isotretinoin, Nilutamide may decrease the excretion rate of Isotretinoin which could result in a higher serum level.]
[S01AA24, kanamycin, Nilutamide may decrease the excretion rate of Kanamycin which could result in a higher serum level.]
[L04AC07, tocilizumab, The metabolism of Nilutamide can be increased when combined with Tocilizumab.]
[N01AX03, ketamine, The metabolism of Ketamine can be decreased when combined with Nilutamide.]
[B01AC22, prasugrel, The metabolism of Prasugrel can be decreased when combined with Nilutamide.]
[N05AH03, olanzapine, The metabolism of Nilutamide can be decreased when combined with Olanzapine.]
[M02AA10, ketoprofen, Ketoprofen may decrease the excretion rate of Nilutamide which could result in a higher serum level.]
[L04AA24, abatacept, The metabolism of Nilutamide can be increased when combined with Abatacept.]
[M01AE11, tiaprofenic acid, Tiaprofenic acid may decrease the excretion rate of Nilutamide which could result in a higher serum level.]
[C07AG01, labetalol, The metabolism of Labetalol can be decreased when combined with Nilutamide.]
[N04BB01, amantadine, Nilutamide may decrease the excretion rate of Amantadine which could result in a higher serum level.]
[A06AX03, lubiprostone, Nilutamide may decrease the excretion rate of Lubiprostone which could result in a higher serum level.]
[N03AX18, lacosamide, The metabolism of Lacosamide can be decreased when combined with Nilutamide.]
[C03CC01, ethacrynic acid, Etacrynic acid may increase the excretion rate of Nilutamide which could result in a lower serum level and potentially a reduction in efficacy.]
[S02DA01, lidocaine, The risk or severity of methemoglobinemia can be increased when Nilutamide is combined with Lidocaine.]
[S01AA21, amikacin, Nilutamide may decrease the excretion rate of Amikacin which could result in a higher serum level.]
[N06BA13, armodafinil, The metabolism of Nilutamide can be decreased when combined with Armodafinil.]
[C03DB01, amiloride, Amiloride may increase the excretion rate of Nilutamide which could result in a lower serum level and potentially a reduction in efficacy.]
[A07DA03, loperamide, The metabolism of Loperamide can be decreased when combined with Nilutamide.]
[N05BA06, lorazepam, Lorazepam may decrease the excretion rate of Nilutamide which could result in a higher serum level.]
[C10AA02, lovastatin, The metabolism of Lovastatin can be decreased when combined with Nilutamide.]
[G03DC03, lynestrenol, The metabolism of Lynestrenol can be decreased when combined with Nilutamide.]
[B05XA11, magnesium chloride, Nilutamide may decrease the excretion rate of Magnesium chloride which could result in a higher serum level.]
[G04BX01, magnesium hydroxide, Nilutamide may decrease the excretion rate of Magnesium hydroxide which could result in a higher serum level.]
[L01BA05, pralatrexate, Nilutamide may decrease the excretion rate of Pralatrexate which could result in a higher serum level.]
[V04CX04, mannitol, Mannitol may increase the excretion rate of Nilutamide which could result in a lower serum level and potentially a reduction in efficacy.]
[N06AA21, maprotiline, Nilutamide may decrease the excretion rate of Maprotiline which could result in a higher serum level.]
[C02BB01, mecamylamine, Mecamylamine may decrease the excretion rate of Nilutamide which could result in a higher serum level.]
[M02AA18, meclofenamic acid, Meclofenamic acid may decrease the excretion rate of Nilutamide which could result in a higher serum level.]
[C03BA05, mefruside, Mefruside may increase the excretion rate of Nilutamide which could result in a lower serum level and potentially a reduction in efficacy.]
[N06DX01, memantine, The metabolism of Nilutamide can be decreased when combined with Memantine.]
[N02AB02, meperidine, Meperidine may decrease the excretion rate of Nilutamide which could result in a higher serum level.]
[N03AB04, mephenytoin, The metabolism of Mephenytoin can be decreased when combined with Nilutamide.]
[N03AA01, mephobarbital, The metabolism of Methylphenobarbital can be decreased when combined with Nilutamide.]
[N01BB03, mepivacaine, The risk or severity of methemoglobinemia can be increased when Nilutamide is combined with Mepivacaine.]
[G04BX16, tiopronin, Nilutamide may decrease the excretion rate of Tiopronin which could result in a higher serum level.]
[C03BC01, mersalyl, Mersalyl may increase the excretion rate of Nilutamide which could result in a lower serum level and potentially a reduction in efficacy.]
[N05AX13, paliperidone, Nilutamide may decrease the excretion rate of Paliperidone which could result in a higher serum level.]
[A10BA02, metformin, Metformin may decrease the excretion rate of Nilutamide which could result in a higher serum level.]
[N07BC02, methadone, The metabolism of Methadone can be decreased when combined with Nilutamide.]
[N06BA03, methamphetamine, Nilutamide may decrease the excretion rate of Metamfetamine which could result in a higher serum level.]
[J05AF05, lamivudine, Nilutamide may decrease the excretion rate of Lamivudine which could result in a higher serum level.]
[S01EC05, methazolamide, Methazolamide may increase the excretion rate of Nilutamide which could result in a lower serum level and potentially a reduction in efficacy.]
[H03BB02, methimazole, The metabolism of Nilutamide can be decreased when combined with Methimazole.]
[L01BA04, pemetrexed, Nilutamide may decrease the excretion rate of Pemetrexed which could result in a higher serum level.]
[A11HA02, pyridoxine, Pyridoxine may decrease the excretion rate of Nilutamide which could result in a higher serum level.]
[L04AX03, methotrexate, Methotrexate may decrease the excretion rate of Nilutamide which could result in a higher serum level.]
[D05BA02, methoxsalen, Methoxsalen may decrease the excretion rate of Nilutamide which could result in a higher serum level.]
[N02BG09, methoxyflurane, The metabolism of Methoxyflurane can be decreased when combined with Nilutamide.]
[C03AA08, methyclothiazide, Methyclothiazide may increase the excretion rate of Nilutamide which could result in a lower serum level and potentially a reduction in efficacy.]
[C02AB01, methyldopa, Nilutamide may decrease the excretion rate of Methyldopa which could result in a higher serum level.]
[V04CG05, methylene blue, The metabolism of Methylene blue can be decreased when combined with Nilutamide.]
[G03EK01, methyltestosterone, Nilutamide may decrease the excretion rate of Methyltestosterone which could result in a higher serum level.]
[A03FA01, metoclopramide, Nilutamide may decrease the excretion rate of Metoclopramide which could result in a higher serum level.]
[C03BA08, metolazone, Metolazone may increase the excretion rate of Nilutamide which could result in a lower serum level and potentially a reduction in efficacy.]
[C07AB02, metoprolol, Metoprolol may decrease the excretion rate of Nilutamide which could result in a higher serum level.]
[V04CD01, metyrapone, Nilutamide may decrease the excretion rate of Metyrapone which could result in a higher serum level.]
[S02AA13, miconazole, The metabolism of Nilutamide can be decreased when combined with Miconazole.]
[N02BB03, aminopyrine, The metabolism of Aminophenazone can be decreased when combined with Nilutamide.]
[N05CD08, midazolam, Nilutamide may decrease the excretion rate of Midazolam which could result in a higher serum level.]
[J05AH01, zanamivir, Zanamivir may decrease the excretion rate of Nilutamide which could result in a higher serum level.]
[C09CA03, valsartan, The metabolism of Valsartan can be decreased when combined with Nilutamide.]
[L03AC01, aldesleukin, Aldesleukin may decrease the excretion rate of Nilutamide which could result in a higher serum level.]
[C01BD01, amiodarone, The metabolism of Amiodarone can be decreased when combined with Nilutamide.]
[N06AA09, amitriptyline, The metabolism of Amitriptyline can be decreased when combined with Nilutamide.]
[N02AA01, morphine, The metabolism of Morphine can be decreased when combined with Nilutamide.]
[A04AA05, palonosetron, Palonosetron may decrease the excretion rate of Nilutamide which could result in a higher serum level.]
[J01DD06, moxalactam, Latamoxef may decrease the excretion rate of Nilutamide which could result in a higher serum level.]
[L04AB05, certolizumab pegol, The metabolism of Nilutamide can be increased when combined with Certolizumab pegol.]
[B02BX05, eltrombopag, The metabolism of Eltrombopag can be decreased when combined with Nilutamide.]
[G04BA01, ammonium chloride, Nilutamide may decrease the excretion rate of Ammonium chloride which could result in a higher serum level.]
[L01EX03, pazopanib, The metabolism of Pazopanib can be decreased when combined with Nilutamide.]
[L04AA06, mycophenolic acid, Nilutamide may decrease the excretion rate of Mycophenolic acid which could result in a higher serum level.]
[P01BA06, amodiaquine, The metabolism of Amodiaquine can be decreased when combined with Nilutamide.]
[N03AB05, fosphenytoin, The metabolism of Fosphenytoin can be decreased when combined with Nilutamide.]
[C07AA12, nadolol, Nilutamide may decrease the excretion rate of Nadolol which could result in a higher serum level.]
[J01CA04, amoxicillin, Nilutamide may decrease the excretion rate of Amoxicillin which could result in a higher serum level.]
[V03AB15, naloxone, Nilutamide may decrease the excretion rate of Naloxone which could result in a higher serum level.]
[L04AC03, anakinra, The metabolism of Nilutamide can be increased when combined with Anakinra.]
[N06BA01, amphetamine, Amphetamine may decrease the excretion rate of Nilutamide which could result in a higher serum level.]
[M02AA12, naproxen, The metabolism of Naproxen can be decreased when combined with Nilutamide.]
[A10BG01, troglitazone, The metabolism of Troglitazone can be decreased when combined with Nilutamide.]
[N06AX21, duloxetine, The metabolism of Duloxetine can be decreased when combined with Nilutamide.]
[N04BX01, tolcapone, Tolcapone may decrease the excretion rate of Nilutamide which could result in a higher serum level.]
[B03XA03, methoxy polyethylene glycol-epoetin beta, The risk or severity of Thrombosis can be increased when Methoxy polyethylene glycol-epoetin beta is combined with Nilutamide.]
[L02BG04, letrozole, The metabolism of Nilutamide can be decreased when combined with Letrozole.]
[S03AA01, neomycin, Nilutamide may decrease the excretion rate of Neomycin which could result in a higher serum level.]
[A10BX02, repaglinide, The metabolism of Repaglinide can be decreased when combined with Nilutamide.]
[B01AC17, tirofiban, Nilutamide may decrease the excretion rate of Tirofiban which could result in a higher serum level.]
[J02AA01, amphotericin B, Amphotericin B may decrease the excretion rate of Nilutamide which could result in a higher serum level.]
[S01AA19, ampicillin, Ampicillin may decrease the excretion rate of Nilutamide which could result in a higher serum level.]
[L03AX16, plerixafor, Nilutamide may decrease the excretion rate of Plerixafor which could result in a higher serum level.]
[S01AA23, netilmicin, Nilutamide may decrease the excretion rate of Netilmicin which could result in a higher serum level.]
[N06AX23, desvenlafaxine, Nilutamide may decrease the excretion rate of Desvenlafaxine which could result in a higher serum level.]
[C09CA07, telmisartan, The metabolism of Nilutamide can be decreased when combined with Telmisartan.]
[J05AB11, valacyclovir, Valaciclovir may decrease the excretion rate of Nilutamide which could result in a higher serum level.]
[C01CE01, inamrinone, Nilutamide may decrease the excretion rate of Amrinone which could result in a higher serum level.]
[C08CA04, nicardipine, The metabolism of Nicardipine can be decreased when combined with Nilutamide.]
[P02DA01, niclosamide, The metabolism of Niclosamide can be decreased when combined with Nilutamide.]
[C08CA05, nifedipine, Nilutamide may decrease the excretion rate of Nifedipine which could result in a higher serum level.]
[M02AA17, niflumic acid, Niflumic acid may decrease the excretion rate of Nilutamide which could result in a higher serum level.]
[C08CA07, nisoldipine, Nisoldipine may decrease the excretion rate of Nilutamide which could result in a higher serum level.]
[R07AX01, nitric oxide, Nitric Oxide may decrease the excretion rate of Nilutamide which could result in a higher serum level.]
[J01XE01, nitrofurantoin, Nilutamide may decrease the excretion rate of Nitrofurantoin which could result in a higher serum level.]
[N05CF03, zaleplon, Nilutamide may decrease the excretion rate of Zaleplon which could result in a higher serum level.]
[N04BC05, pramipexole, Pramipexole may decrease the excretion rate of Nilutamide which could result in a higher serum level.]
[C02DD01, nitroprusside, Nitroprusside may decrease the excretion rate of Nilutamide which could result in a higher serum level.]
[C02KX01, bosentan, The metabolism of Bosentan can be decreased when combined with Nilutamide.]
[L04AC04, rilonacept, The metabolism of Nilutamide can be increased when combined with Rilonacept.]
[A02BC01, omeprazole, The metabolism of Omeprazole can be decreased when combined with Nilutamide.]
[N02AA02, opium, Nilutamide may decrease the excretion rate of Opium which could result in a higher serum level.]
[G04CA02, tamsulosin, Nilutamide may decrease the excretion rate of Tamsulosin which could result in a higher serum level.]
[J01CF04, oxacillin, Nilutamide may decrease the excretion rate of Oxacillin which could result in a higher serum level.]
[N05BA04, oxazepam, Nilutamide may decrease the excretion rate of Oxazepam which could result in a higher serum level.]
[S01BC02, oxyphenbutazone, Oxyphenbutazone may decrease the excretion rate of Nilutamide which could result in a higher serum level.]
[J04AB30, capreomycin, Nilutamide may decrease the excretion rate of Capreomycin which could result in a higher serum level.]
[A07AA06, paromomycin, Paromomycin may decrease the excretion rate of Nilutamide which could result in a higher serum level.]
[G04BD11, fesoterodine, Nilutamide may decrease the excretion rate of Fesoterodine which could result in a higher serum level.]
[C07AA23, penbutolol, Nilutamide may decrease the excretion rate of Penbutolol which could result in a higher serum level.]
[J01CE09, penicillin G procaine, Nilutamide may decrease the excretion rate of Procaine benzylpenicillin which could result in a higher serum level.]
[N05CA01, pentobarbital, The metabolism of Pentobarbital can be decreased when combined with Nilutamide.]
[L01XX08, pentostatin, Nilutamide may decrease the excretion rate of Pentostatin which could result in a higher serum level.]
[C04AD03, pentoxifylline, Nilutamide may decrease the excretion rate of Pentoxifylline which could result in a higher serum level.]
[N02BE03, phenacetin, The metabolism of Phenacetin can be decreased when combined with Nilutamide.]
[G04BX06, phenazopyridine, Phenazopyridine may decrease the excretion rate of Nilutamide which could result in a higher serum level.]
[N06AF03, phenelzine, Nilutamide may decrease the excretion rate of Phenelzine which could result in a higher serum level.]
[N03AA02, phenobarbital, The metabolism of Phenobarbital can be decreased when combined with Nilutamide.]
[B01AA04, phenprocoumon, The metabolism of Phenprocoumon can be decreased when combined with Nilutamide.]
[V03AB36, phentolamine, Nilutamide may decrease the excretion rate of Phentolamine which could result in a higher serum level.]
[M02AA01, phenylbutazone, The metabolism of Phenylbutazone can be decreased when combined with Nilutamide.]
[A02BC06, dexlansoprazole, The metabolism of Dexlansoprazole can be decreased when combined with Nilutamide.]
[N03AB02, phenytoin, The metabolism of Phenytoin can be decreased when combined with Nilutamide.]
[L04AB06, golimumab, The metabolism of Nilutamide can be increased when combined with Golimumab.]
[S01AE05, levofloxacin, Nilutamide may decrease the excretion rate of Levofloxacin which could result in a higher serum level.]
[B02BA01, vitamin K1, Nilutamide may decrease the excretion rate of Phylloquinone which could result in a higher serum level.]
[J05AB12, cidofovir, Cidofovir may decrease the excretion rate of Nilutamide which could result in a higher serum level.]
[C07AA03, pindolol, Nilutamide may decrease the excretion rate of Pindolol which could result in a higher serum level.]
[C10AA05, atorvastatin, The metabolism of Atorvastatin can be decreased when combined with Nilutamide.]
[J01CA12, piperacillin, Piperacillin may decrease the excretion rate of Nilutamide which could result in a higher serum level.]
[N06BX03, piracetam, Nilutamide may decrease the excretion rate of Piracetam which could result in a higher serum level.]
[S01BC06, piroxicam, The metabolism of Piroxicam can be decreased when combined with Nilutamide.]
[J01DD16, cefditoren, Cefditoren may decrease the excretion rate of Nilutamide which could result in a higher serum level.]
[J05AG02, delavirdine, The metabolism of Nilutamide can be decreased when combined with Delavirdine.]
[C09CA04, irbesartan, The metabolism of Irbesartan can be decreased when combined with Nilutamide.]
[D05AX05, tazarotene, The metabolism of Tazarotene can be decreased when combined with Nilutamide.]
[A10BG02, rosiglitazone, The metabolism of Rosiglitazone can be decreased when combined with Nilutamide.]
[L02BG03, anastrozole, The metabolism of Anastrozole can be decreased when combined with Nilutamide.]
[A03AE01, alosetron, The metabolism of Alosetron can be decreased when combined with Nilutamide.]
[L04AC08, canakinumab, The metabolism of Nilutamide can be increased when combined with Canakinumab.]
[C03AA05, polythiazide, Polythiazide may increase the excretion rate of Nilutamide which could result in a lower serum level and potentially a reduction in efficacy.]
[J05AE03, ritonavir, The metabolism of Nilutamide can be decreased when combined with Ritonavir.]
[A10BH03, saxagliptin, Nilutamide may decrease the excretion rate of Saxagliptin which could result in a higher serum level.]
[B05XA01, potassium chloride, Nilutamide may decrease the excretion rate of Potassium chloride which could result in a higher serum level.]
[C10AA08, pitavastatin, The metabolism of Pitavastatin can be decreased when combined with Nilutamide.]
[P02BA01, praziquantel, The metabolism of Praziquantel can be decreased when combined with Nilutamide.]
[H02AB07, prednisone, Prednisone may decrease the excretion rate of Nilutamide which could result in a higher serum level.]
[N01BB04, prilocaine, The risk or severity of methemoglobinemia can be increased when Nilutamide is combined with Prilocaine.]
[N03AA03, primidone, The metabolism of Primidone can be decreased when combined with Nilutamide.]
[M04AB01, probenecid, Nilutamide may decrease the excretion rate of Probenecid which could result in a higher serum level.]
[C01BA02, procainamide, Nilutamide may decrease the excretion rate of Procainamide which could result in a higher serum level.]
[S01HA05, procaine, The risk or severity of methemoglobinemia can be increased when Nilutamide is combined with Procaine.]
[C10AB05, fenofibrate, The metabolism of Nilutamide can be decreased when combined with Fenofibrate.]
[G03DA04, progesterone, The metabolism of Progesterone can be decreased when combined with Nilutamide.]
[N05AA03, promazine, The metabolism of Promazine can be decreased when combined with Nilutamide.]
[R06AD02, promethazine, Nilutamide may decrease the excretion rate of Promethazine which could result in a higher serum level.]
[A03AB05, propantheline, Nilutamide may decrease the excretion rate of Propantheline which could result in a higher serum level.]
[N01AX10, propofol, The metabolism of Propofol can be decreased when combined with Nilutamide.]
[C07AA05, propranolol, The serum concentration of Propranolol can be increased when it is combined with Nilutamide.]
[N02CC04, rizatriptan, Nilutamide may decrease the excretion rate of Rizatriptan which could result in a higher serum level.]
[B01AC09, epoprostenol, Nilutamide may decrease the excretion rate of Epoprostenol which could result in a higher serum level.]
[R03DC03, montelukast, The metabolism of Montelukast can be decreased when combined with Nilutamide.]
[N07XX07, dalfampridine, Nilutamide may decrease the excretion rate of Dalfampridine which could result in a higher serum level.]
[P02CC01, pyrantel, Nilutamide may decrease the excretion rate of Pyrantel which could result in a higher serum level.]
[J04AK01, pyrazinamide, Pyrazinamide may decrease the excretion rate of Nilutamide which could result in a higher serum level.]
[C01BA01, quinidine, Nilutamide may decrease the excretion rate of Quinidine which could result in a higher serum level.]
[P01BC01, quinine, The metabolism of Quinine can be decreased when combined with Nilutamide.]
[A02BA02, ranitidine, Nilutamide may decrease the excretion rate of Ranitidine which could result in a higher serum level.]
[C02AA02, reserpine, Reserpine may decrease the excretion rate of Nilutamide which could result in a higher serum level.]
[J05AP01, ribavirin, Nilutamide may decrease the excretion rate of Ribavirin which could result in a higher serum level.]
[J04AB02, rifampin, The metabolism of Nilutamide can be increased when combined with Rifampicin.]
[N02BA05, salicylamide, Salicylamide may decrease the excretion rate of Nilutamide which could result in a higher serum level.]
[A07EC01, sulfasalazine, Sulfasalazine may decrease the excretion rate of Nilutamide which could result in a higher serum level.]
[S01BC08, salicylic acid, The metabolism of Salicylic acid can be decreased when combined with Nilutamide.]
[N05CA06, secobarbital, Secobarbital may decrease the excretion rate of Nilutamide which could result in a higher serum level.]
[N04BD01, selegiline, The metabolism of Selegiline can be decreased when combined with Nilutamide.]
[J01GB08, sisomicin, Nilutamide may decrease the excretion rate of Sisomicin which could result in a higher serum level.]
[A12CD01, sodium fluoride, Nilutamide may decrease the excretion rate of Sodium fluoride which could result in a higher serum level.]
[V04CC01, sorbitol, Nilutamide may decrease the excretion rate of Sorbitol which could result in a higher serum level.]
[L01CD04, cabazitaxel, The metabolism of Cabazitaxel can be decreased when combined with Nilutamide.]
[C03DA01, spironolactone, Spironolactone may increase the excretion rate of Nilutamide which could result in a lower serum level and potentially a reduction in efficacy.]
[V04CH02, indigo carmine, Nilutamide may decrease the excretion rate of Indigotindisulfonic acid which could result in a higher serum level.]
[N05CC01, chloral hydrate, Nilutamide may decrease the excretion rate of Chloral hydrate which could result in a higher serum level.]
[N03AG01, valproic acid, The metabolism of Nilutamide can be decreased when combined with Valproic acid.]
[C01DA14, isosorbide mononitrate, Nilutamide may decrease the excretion rate of Isosorbide mononitrate which could result in a higher serum level.]
[D10AX03, azelaic acid, Azelaic acid may decrease the excretion rate of Nilutamide which could result in a higher serum level.]
