[G03XB02, ulipristal, The metabolism of Ulipristal can be increased when combined with Levetiracetam.]
[P02CC01, pyrantel, The risk or severity of adverse effects can be increased when Levetiracetam is combined with Pyrantel.]
[R06AC01, pyrilamine, The risk or severity of adverse effects can be increased when Levetiracetam is combined with Mepyramine.]
[C01BA01, quinidine, Levetiracetam may increase the central nervous system depressant (CNS depressant) activities of Quinidine.]
[P01BC01, quinine, The risk or severity of adverse effects can be increased when Quinine is combined with Levetiracetam.]
[C02AA02, reserpine, The risk or severity of adverse effects can be increased when Reserpine is combined with Levetiracetam.]
[N06AX01, 5-hydroxytryptophan, The risk or severity of adverse effects can be increased when Levetiracetam is combined with Oxitriptan.]
[S01FA02, scopolamine, Levetiracetam may increase the central nervous system depressant (CNS depressant) activities of Scopolamine.]
[N05CA06, secobarbital, The risk or severity of adverse effects can be increased when Secobarbital is combined with Levetiracetam.]
[N04BD01, selegiline, The risk or severity of adverse effects can be increased when Selegiline is combined with Levetiracetam.]
[N03AG01, valproic acid, The risk or severity of adverse effects can be increased when Valproic acid is combined with Levetiracetam.]
