[B01AD01, streptokinase, The risk or severity of bleeding can be increased when Streptokinase is combined with Oxaliplatin.]
[N01BB08, articaine, The risk or severity of methemoglobinemia can be increased when Oxaliplatin is combined with Articaine.]
[R06AE01, buclizine, The risk or severity of QTc prolongation can be increased when Buclizine is combined with Oxaliplatin.]
[L01XX35, anagrelide, The risk or severity of QTc prolongation can be increased when Oxaliplatin is combined with Anagrelide.]
[L03AB09, interferon alfacon-1, The risk or severity of adverse effects can be increased when Interferon alfacon-1 is combined with Oxaliplatin.]
[N01AB06, isoflurane, The risk or severity of QTc prolongation can be increased when Isoflurane is combined with Oxaliplatin.]
[B01AE06, bivalirudin, The risk or severity of bleeding can be increased when Bivalirudin is combined with Oxaliplatin.]
[L04AC07, tocilizumab, The risk or severity of adverse effects can be increased when Oxaliplatin is combined with Tocilizumab.]
[C02KD01, ketanserin, The risk or severity of bleeding can be increased when Ketanserin is combined with Oxaliplatin.]
[B01AC22, prasugrel, The risk or severity of bleeding can be increased when Prasugrel is combined with Oxaliplatin.]
[J02AB02, ketoconazole, The risk or severity of QTc prolongation can be increased when Ketoconazole is combined with Oxaliplatin.]
[N05AH03, olanzapine, The risk or severity of QTc prolongation can be increased when Olanzapine is combined with Oxaliplatin.]
[L04AA24, abatacept, The risk or severity of adverse effects can be increased when Oxaliplatin is combined with Abatacept.]
[R06AX25, mizolastine, The risk or severity of QTc prolongation can be increased when Oxaliplatin is combined with Mizolastine.]
[J01MB02, nalidixic acid, The risk or severity of QTc prolongation can be increased when Oxaliplatin is combined with Nalidixic acid.]
[N04BB01, amantadine, The serum concentration of Oxaliplatin can be increased when it is combined with Amantadine.]
[L01DC03, mitomycin, The risk or severity of adverse effects can be increased when Mitomycin is combined with Oxaliplatin.]
[S02DA01, lidocaine, The risk or severity of methemoglobinemia can be increased when Oxaliplatin is combined with Lidocaine.]
[C08EX01, lidoflazine, The risk or severity of QTc prolongation can be increased when Lidoflazine is combined with Oxaliplatin.]
[C03DB01, amiloride, The serum concentration of Oxaliplatin can be increased when it is combined with Amiloride.]
[L01AD02, lomustine, The risk or severity of adverse effects can be increased when Oxaliplatin is combined with Lomustine.]
[A07DA03, loperamide, The risk or severity of QTc prolongation can be increased when Oxaliplatin is combined with Loperamide.]
[L01EG01, temsirolimus, The risk or severity of adverse effects can be increased when Oxaliplatin is combined with Temsirolimus.]
[L01BA05, pralatrexate, The risk or severity of adverse effects can be increased when Oxaliplatin is combined with Pralatrexate.]
[L01EA03, nilotinib, The risk or severity of adverse effects can be increased when Oxaliplatin is combined with Nilotinib.]
[N06AA21, maprotiline, The risk or severity of QTc prolongation can be increased when Maprotiline is combined with Oxaliplatin.]
[L01AA05, mechlorethamine, The risk or severity of adverse effects can be increased when Oxaliplatin is combined with Mechlorethamine.]
[P01BC02, mefloquine, The risk or severity of QTc prolongation can be increased when Mefloquine is combined with Oxaliplatin.]
[B01AB06, nadroparin, The risk or severity of bleeding can be increased when Nadroparin is combined with Oxaliplatin.]
[B01AB05, enoxaparin, The risk or severity of bleeding can be increased when Enoxaparin is combined with Oxaliplatin.]
[B01AB04, dalteparin, The risk or severity of bleeding can be increased when Dalteparin is combined with Oxaliplatin.]
[L01AA03, melphalan, The risk or severity of adverse effects can be increased when Oxaliplatin is combined with Melphalan.]
[N01BB03, mepivacaine, The risk or severity of methemoglobinemia can be increased when Oxaliplatin is combined with Mepivacaine.]
[N05AC03, mesoridazine, The risk or severity of QTc prolongation can be increased when Oxaliplatin is combined with Mesoridazine.]
[N05AX13, paliperidone, The risk or severity of QTc prolongation can be increased when Oxaliplatin is combined with Paliperidone.]
[A04AA04, dolasetron, The risk or severity of QTc prolongation can be increased when Oxaliplatin is combined with Dolasetron.]
[N07BC02, methadone, The risk or severity of QTc prolongation can be increased when Methadone is combined with Oxaliplatin.]
[H03BB02, methimazole, The risk or severity of adverse effects can be increased when Oxaliplatin is combined with Methimazole.]
[L01BA04, pemetrexed, The risk or severity of adverse effects can be increased when Oxaliplatin is combined with Pemetrexed.]
[L04AX03, methotrexate, The risk or severity of adverse effects can be increased when Oxaliplatin is combined with Methotrexate.]
[N05AA02, methotrimeprazine, The risk or severity of QTc prolongation can be increased when Methotrimeprazine is combined with Oxaliplatin.]
[C03AA08, methyclothiazide, The risk or severity of neutropenia and thrombocytopenia can be increased when Methyclothiazide is combined with Oxaliplatin.]
[V04CG05, methylene blue, The serum concentration of Oxaliplatin can be increased when it is combined with Methylene blue.]
[H02AB04, methylprednisolone, The risk or severity of adverse effects can be increased when Oxaliplatin is combined with Methylprednisolone.]
[A03FA01, metoclopramide, The risk or severity of QTc prolongation can be increased when Metoclopramide is combined with Oxaliplatin.]
[C07AB02, metoprolol, The serum concentration of Oxaliplatin can be increased when it is combined with Metoprolol.]
[P01AB01, metronidazole, The risk or severity of QTc prolongation can be increased when Metronidazole is combined with Oxaliplatin.]
[B01AB07, parnaparin, The risk or severity of bleeding can be increased when Parnaparin is combined with Oxaliplatin.]
[G03XB01, mifepristone, The risk or severity of QTc prolongation can be increased when Oxaliplatin is combined with Mifepristone.]
[B01AB10, tinzaparin, The risk or severity of bleeding can be increased when Tinzaparin is combined with Oxaliplatin.]
[L01DB07, mitoxantrone, The risk or severity of adverse effects can be increased when Oxaliplatin is combined with Mitoxantrone.]
[L03AC01, aldesleukin, The risk or severity of adverse effects can be increased when Aldesleukin is combined with Oxaliplatin.]
[C01BD01, amiodarone, The risk or severity of QTc prolongation can be increased when Oxaliplatin is combined with Amiodarone.]
[N06AA09, amitriptyline, The risk or severity of QTc prolongation can be increased when Amitriptyline is combined with Oxaliplatin.]
[L04AB05, certolizumab pegol, The risk or severity of adverse effects can be increased when Oxaliplatin is combined with Certolizumab pegol.]
[B02BX05, eltrombopag, Eltrombopag may decrease the excretion rate of Oxaliplatin which could result in a higher serum level.]
[L04AA52, ofatumumab, The risk or severity of adverse effects can be increased when Oxaliplatin is combined with Ofatumumab.]
[L01EX03, pazopanib, The risk or severity of adverse effects can be increased when Oxaliplatin is combined with Pazopanib.]
[L04AA06, mycophenolic acid, The risk or severity of adverse effects can be increased when Oxaliplatin is combined with Mycophenolic acid.]
[P01BA06, amodiaquine, The risk or severity of QTc prolongation can be increased when Amodiaquine is combined with Oxaliplatin.]
[N06AA17, amoxapine, The risk or severity of QTc prolongation can be increased when Amoxapine is combined with Oxaliplatin.]
[N03AB05, fosphenytoin, Oxaliplatin can cause a decrease in the absorption of Fosphenytoin resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[L03AB08, interferon beta-1b, The risk or severity of adverse effects can be increased when Interferon beta-1b is combined with Oxaliplatin.]
[L04AC03, anakinra, The risk or severity of adverse effects can be increased when Anakinra is combined with Oxaliplatin.]
[B03XA03, methoxy polyethylene glycol-epoetin beta, The risk or severity of Thrombosis can be increased when Methoxy polyethylene glycol-epoetin beta is combined with Oxaliplatin.]
[L01CD02, docetaxel, The risk or severity of adverse effects can be increased when Oxaliplatin is combined with Docetaxel.]
[C01CX08, levosimendan, The risk or severity of QTc prolongation can be increased when Oxaliplatin is combined with Levosimendan.]
[B01AC17, tirofiban, The risk or severity of bleeding can be increased when Tirofiban is combined with Oxaliplatin.]
[N05AX14, iloperidone, The risk or severity of QTc prolongation can be increased when Oxaliplatin is combined with Iloperidone.]
[C09CA07, telmisartan, Telmisartan may decrease the excretion rate of Oxaliplatin which could result in a higher serum level.]
[M04AA03, febuxostat, The excretion of Oxaliplatin can be decreased when combined with Febuxostat.]
[L01XX01, amsacrine, The risk or severity of adverse effects can be increased when Amsacrine is combined with Oxaliplatin.]
[C08CA04, nicardipine, The risk or severity of QTc prolongation can be increased when Nicardipine is combined with Oxaliplatin.]
[N07BA01, nicotine, The serum concentration of Oxaliplatin can be increased when it is combined with Nicotine.]
[C08CA05, nifedipine, The risk or severity of QTc prolongation can be increased when Oxaliplatin is combined with Nifedipine.]
[C08CA06, nimodipine, The risk or severity of QTc prolongation can be increased when Nimodipine is combined with Oxaliplatin.]
[C08CA08, nitrendipine, The risk or severity of QTc prolongation can be increased when Nitrendipine is combined with Oxaliplatin.]
[C01CA03, norepinephrine, The serum concentration of Oxaliplatin can be increased when it is combined with Norepinephrine.]
[S01AE02, norfloxacin, The risk or severity of QTc prolongation can be increased when Norfloxacin is combined with Oxaliplatin.]
[N06AA10, nortriptyline, The risk or severity of QTc prolongation can be increased when Nortriptyline is combined with Oxaliplatin.]
[B01AC16, eptifibatide, The risk or severity of bleeding can be increased when Eptifibatide is combined with Oxaliplatin.]
[B01AB08, reviparin, The risk or severity of bleeding can be increased when Reviparin is combined with Oxaliplatin.]
[H01CB02, octreotide, The risk or severity of QTc prolongation can be increased when Octreotide is combined with Oxaliplatin.]
[S02AA16, ofloxacin, The risk or severity of QTc prolongation can be increased when Oxaliplatin is combined with Ofloxacin.]
[L04AC04, rilonacept, The risk or severity of adverse effects can be increased when Oxaliplatin is combined with Rilonacept.]
[A02BC01, omeprazole, Omeprazole may decrease the excretion rate of Oxaliplatin which could result in a higher serum level.]
[B01AD07, reteplase, The risk or severity of bleeding can be increased when Reteplase is combined with Oxaliplatin.]
[B01AD09, ancrod, The risk or severity of bleeding can be increased when Ancrod is combined with Oxaliplatin.]
[J01MB05, oxolinic acid, The risk or severity of QTc prolongation can be increased when Oxolinic acid is combined with Oxaliplatin.]
[C07AA02, oxprenolol, The serum concentration of Oxaliplatin can be increased when it is combined with Oxprenolol.]
[H01BB02, oxytocin, The risk or severity of QTc prolongation can be increased when Oxytocin is combined with Oxaliplatin.]
[V04CH30, 4-aminohippuric acid, The serum concentration of Oxaliplatin can be increased when it is combined with Aminohippuric acid.]
[N05AH05, asenapine, The risk or severity of QTc prolongation can be increased when Oxaliplatin is combined with Asenapine.]
[B01AB09, danaparoid, The risk or severity of bleeding can be increased when Danaparoid is combined with Oxaliplatin.]
[G04BE02, papaverine, The risk or severity of QTc prolongation can be increased when Oxaliplatin is combined with Papaverine.]
[H02AB05, paramethasone, The risk or severity of adverse effects can be increased when Oxaliplatin is combined with Paramethasone.]
[J01MA03, pefloxacin, The risk or severity of QTc prolongation can be increased when Pefloxacin is combined with Oxaliplatin.]
[N05AG03, penfluridol, The risk or severity of QTc prolongation can be increased when Oxaliplatin is combined with Penfluridol.]
[M01CC01, penicillamine, The risk or severity of adverse effects can be increased when Oxaliplatin is combined with Penicillamine.]
[J07AF01, diphtheria toxoid vaccine, inactivated, The therapeutic efficacy of Corynebacterium diphtheriae toxoid antigen (formaldehyde inactivated) can be decreased when used in combination with Oxaliplatin.]
[J07AM01, tetanus toxoid vaccine, inactivated, The therapeutic efficacy of Clostridium tetani toxoid antigen (formaldehyde inactivated) can be decreased when used in combination with Oxaliplatin.]
[L01XX08, pentostatin, The risk or severity of adverse effects can be increased when Oxaliplatin is combined with Pentostatin.]
[C04AD03, pentoxifylline, The risk or severity of bleeding can be increased when Pentoxifylline is combined with Oxaliplatin.]
[C08EX02, perhexiline, The risk or severity of QTc prolongation can be increased when Perhexiline is combined with Oxaliplatin.]
[J07AJ, pertussis vaccine, The therapeutic efficacy of Pertussis vaccine can be decreased when used in combination with Oxaliplatin.]
[A10BA01, phenformin, The serum concentration of Oxaliplatin can be increased when it is combined with Phenformin.]
[B01AA02, phenindione, The risk or severity of bleeding can be increased when Phenindione is combined with Oxaliplatin.]
[R06AB05, pheniramine, The risk or severity of QTc prolongation can be increased when Pheniramine is combined with Oxaliplatin.]
[C04AX02, phenoxybenzamine, The serum concentration of Oxaliplatin can be increased when it is combined with Phenoxybenzamine.]
[B01AA04, phenprocoumon, The risk or severity of bleeding can be increased when Phenprocoumon is combined with Oxaliplatin.]
[N03AB02, phenytoin, Oxaliplatin can cause a decrease in the absorption of Phenytoin resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[L04AB06, golimumab, The risk or severity of adverse effects can be increased when Oxaliplatin is combined with Golimumab.]
[S01AE05, levofloxacin, The risk or severity of QTc prolongation can be increased when Oxaliplatin is combined with Levofloxacin.]
[C08CX01, mibefradil, The risk or severity of QTc prolongation can be increased when Oxaliplatin is combined with Mibefradil.]
[N05AG02, pimozide, The risk or severity of QTc prolongation can be increased when Oxaliplatin is combined with Pimozide.]
[J05AE01, saquinavir, The risk or severity of QTc prolongation can be increased when Oxaliplatin is combined with Saquinavir.]
[J01MA11, grepafloxacin, The risk or severity of QTc prolongation can be increased when Oxaliplatin is combined with Grepafloxacin.]
[B01AC13, abciximab, The risk or severity of bleeding can be increased when Abciximab is combined with Oxaliplatin.]
[S01XA13, alteplase, The risk or severity of bleeding can be increased when Alteplase is combined with Oxaliplatin.]
[L04AC08, canakinumab, The risk or severity of adverse effects can be increased when Oxaliplatin is combined with Canakinumab.]
[C03AA05, polythiazide, The risk or severity of neutropenia and thrombocytopenia can be increased when Polythiazide is combined with Oxaliplatin.]
[J05AE03, ritonavir, Ritonavir may decrease the excretion rate of Oxaliplatin which could result in a higher serum level.]
[C01BA08, prajmaline, The risk or severity of QTc prolongation can be increased when Prajmaline is combined with Oxaliplatin.]
[S03BA02, prednisolone, The risk or severity of adverse effects can be increased when Oxaliplatin is combined with Prednisolone.]
[H02AB07, prednisone, The risk or severity of adverse effects can be increased when Oxaliplatin is combined with Prednisone.]
[R06AX05, antazoline, The risk or severity of QTc prolongation can be increased when Oxaliplatin is combined with Antazoline.]
[C01DX02, prenylamine, The risk or severity of QTc prolongation can be increased when Oxaliplatin is combined with Prenylamine.]
[N01BB04, prilocaine, The risk or severity of methemoglobinemia can be increased when Oxaliplatin is combined with Prilocaine.]
[P01BA03, primaquine, The risk or severity of QTc prolongation can be increased when Oxaliplatin is combined with Primaquine.]
[M04AB01, probenecid, The serum concentration of Oxaliplatin can be increased when it is combined with Probenecid.]
[C10AX02, probucol, The risk or severity of QTc prolongation can be increased when Oxaliplatin is combined with Probucol.]
[C01BA02, procainamide, The risk or severity of QTc prolongation can be increased when Oxaliplatin is combined with Procainamide.]
[S01HA05, procaine, The risk or severity of methemoglobinemia can be increased when Oxaliplatin is combined with Procaine.]
[L01XB01, procarbazine, The risk or severity of adverse effects can be increased when Oxaliplatin is combined with Procarbazine.]
[N05AB04, prochlorperazine, The risk or severity of QTc prolongation can be increased when Prochlorperazine is combined with Oxaliplatin.]
[G03DA04, progesterone, The serum concentration of Oxaliplatin can be increased when it is combined with Progesterone.]
[N05AA03, promazine, The risk or severity of QTc prolongation can be increased when Promazine is combined with Oxaliplatin.]
[R06AD02, promethazine, The risk or severity of QTc prolongation can be increased when Promethazine is combined with Oxaliplatin.]
[C01BC03, propafenone, The risk or severity of QTc prolongation can be increased when Oxaliplatin is combined with Propafenone.]
[L01XH02, romidepsin, The risk or severity of QTc prolongation can be increased when Oxaliplatin is combined with Romidepsin.]
[N01AX10, propofol, The risk or severity of QTc prolongation can be increased when Propofol is combined with Oxaliplatin.]
[C07AA05, propranolol, The serum concentration of Oxaliplatin can be increased when it is combined with Propranolol.]
[H03BA02, propylthiouracil, The risk or severity of adverse effects can be increased when Oxaliplatin is combined with Propylthiouracil.]
[B01AC09, epoprostenol, The risk or severity of bleeding can be increased when Epoprostenol is combined with Oxaliplatin.]
[N06AA11, protriptyline, The risk or severity of QTc prolongation can be increased when Protriptyline is combined with Oxaliplatin.]
[N05AX12, aripiprazole, The risk or severity of QTc prolongation can be increased when Aripiprazole is combined with Oxaliplatin.]
[J06BB05, rabies immune globulin, human, The therapeutic efficacy of Rabies immune globulin, human can be decreased when used in combination with Oxaliplatin.]
[R06AC01, pyrilamine, The risk or severity of QTc prolongation can be increased when Mepyramine is combined with Oxaliplatin.]
[P01AX05, quinacrine, The serum concentration of Oxaliplatin can be increased when it is combined with Quinacrine.]
[C01BA01, quinidine, The risk or severity of QTc prolongation can be increased when Oxaliplatin is combined with Quinidine.]
[P01BC01, quinine, The risk or severity of QTc prolongation can be increased when Oxaliplatin is combined with Quinine.]
[A02BA02, ranitidine, The serum concentration of Oxaliplatin can be increased when it is combined with Ranitidine.]
[J01FA06, roxithromycin, The risk or severity of QTc prolongation can be increased when Oxaliplatin is combined with Roxithromycin.]
[A07EC01, sulfasalazine, The risk or severity of adverse effects can be increased when Oxaliplatin is combined with Sulfasalazine.]
[L01FA03, obinutuzumab, The risk or severity of adverse effects can be increased when Oxaliplatin is combined with Obinutuzumab.]
[M05BX04, denosumab, The risk or severity of adverse effects can be increased when Denosumab is combined with Oxaliplatin.]
[C07AA07, sotalol, The risk or severity of QTc prolongation can be increased when Oxaliplatin is combined with Sotalol.]
[L01CD04, cabazitaxel, The risk or severity of adverse effects can be increased when Oxaliplatin is combined with Cabazitaxel.]
[L03AX17, sipuleucel-T, The therapeutic efficacy of Sipuleucel-T can be decreased when used in combination with Oxaliplatin.]
[N03AG01, valproic acid, The risk or severity of QTc prolongation can be increased when Oxaliplatin is combined with Valproic acid.]
[D07AB02, hydrocortisone butyrate, The risk or severity of adverse effects can be increased when Oxaliplatin is combined with Hydrocortisone butyrate.]
[H02CA04, levoketoconazole, The serum concentration of Oxaliplatin can be increased when it is combined with Levoketoconazole.]
[N05AL01, sulpiride, QT prolonging agents - QT prolonging agents]
[N05AC02, thioridazine, QT prolonging agents - QT prolonging agents]
[L01EX04, vandetanib, QT prolonging agents - QT prolonging agents]
[N06DA02, donepezil, QT prolonging agents - QT prolonging agents]
[S01AE07, moxifloxacin, QT prolonging agents - QT prolonging agents]
[C08EA02, bepridil, QT prolonging agents - QT prolonging agents]
[L01XX27, arsenic trioxide, QT prolonging agents - QT prolonging agents]
[J01MA09, sparfloxacin, QT prolonging agents - QT prolonging agents]
[S01AA26, azithromycin, QT prolonging agents - QT prolonging agents]
[B01AC23, cilostazol, QT prolonging agents - QT prolonging agents]
[J01FA09, clarithromycin, QT prolonging agents - QT prolonging agents]
[S01AE06, gatifloxacin, QT prolonging agents - QT prolonging agents]
[C01BD07, dronedarone, QT prolonging agents - QT prolonging agents]
[L01DB04, aclarubicin, QT prolonging agents - QT prolonging agents]
[P01BA01, chloroquine, QT prolonging agents - QT prolonging agents]
[N05AA01, chlorpromazine, QT prolonging agents - QT prolonging agents]
[N05AF03, chlorprothixene, QT prolonging agents - QT prolonging agents]
[S03AA07, ciprofloxacin, QT prolonging agents - QT prolonging agents]
[N06AB04, citalopram, QT prolonging agents - QT prolonging agents]
[L01EB10, mobocertinib, QT prolonging agents - QT prolonging agents]
[A04AA01, ondansetron, QT prolonging agents - QT prolonging agents]
[S02DA02, cocaine, QT prolonging agents - QT prolonging agents]
[C01BA13, hydroquinidine, QT prolonging agents - QT prolonging agents]
[P01CB01, meglumine antimoniate, QT prolonging agents - QT prolonging agents]
[A03FA02, cisapride, QT prolonging agents - QT prolonging agents]
[C01BA03, disopyramide, QT prolonging agents - QT prolonging agents]
[A03FA03, domperidone, QT prolonging agents - QT prolonging agents]
[N01AB08, sevoflurane, QT prolonging agents - QT prolonging agents]
[N05AD08, droperidol, QT prolonging agents - QT prolonging agents]
[N05AL02, sultopride, QT prolonging agents - QT prolonging agents]
[G04BD05, terodiline, QT prolonging agents - QT prolonging agents]
[S01AA17, erythromycin, QT prolonging agents - QT prolonging agents]
[C01BD05, ibutilide, QT prolonging agents - QT prolonging agents]
[N05AE03, sertindole, QT prolonging agents - QT prolonging agents]
[R06AX11, astemizole, QT prolonging agents - QT prolonging agents]
[R06AX12, terfenadine, QT prolonging agents - QT prolonging agents]
[C01BC04, flecainide, QT prolonging agents - QT prolonging agents]
[J02AC01, fluconazole, QT prolonging agents - QT prolonging agents]
[C01BD04, dofetilide, QT prolonging agents - QT prolonging agents]
[P01BX01, halofantrine, QT prolonging agents - QT prolonging agents]
[N05AD01, haloperidol, QT prolonging agents - QT prolonging agents]
[P01BA02, hydroxychloroquine, QT prolonging agents - QT prolonging agents]
[H01BA04, terlipressin, QT prolonging agents - QT prolonging agents]
[L01XX35, anagrelide, QT prolonging agents - QT prolonging agents]
[N05AC03, mesoridazine, QT prolonging agents - QT prolonging agents]
[N07BC02, methadone, QT prolonging agents - QT prolonging agents]
[N05AA02, methotrimeprazine, QT prolonging agents - QT prolonging agents]
[C01BD01, amiodarone, QT prolonging agents - QT prolonging agents]
[S01AE05, levofloxacin, QT prolonging agents - QT prolonging agents]
[N05AG02, pimozide, QT prolonging agents - QT prolonging agents]
[J01MA11, grepafloxacin, QT prolonging agents - QT prolonging agents]
[C10AX02, probucol, QT prolonging agents - QT prolonging agents]
[C01BA02, procainamide, QT prolonging agents - QT prolonging agents]
[N01AX10, propofol, QT prolonging agents - QT prolonging agents]
[C01BA01, quinidine, QT prolonging agents - QT prolonging agents]
[J01FA06, roxithromycin, QT prolonging agents - QT prolonging agents]
[C07AA07, sotalol, QT prolonging agents - QT prolonging agents]
