[P02BB01, trichlorfon, The therapeutic efficacy of Amantadine can be decreased when used in combination with Metrifonate.]
[C03XA01, tolvaptan, Tolvaptan may increase the excretion rate of Amantadine which could result in a lower serum level and potentially a reduction in efficacy.]
[L01XG01, bortezomib, The risk or severity of QTc prolongation can be increased when Bortezomib is combined with Amantadine.]
[G04BE08, tadalafil, Tadalafil may decrease the excretion rate of Amantadine which could result in a higher serum level.]
[S01BC05, ketorolac, Ketorolac may decrease the excretion rate of Amantadine which could result in a higher serum level.]
[C01EB18, ranolazine, The serum concentration of Amantadine can be increased when it is combined with Ranolazine.]
[N02BA06, salsalate, Salsalate may decrease the excretion rate of Amantadine which could result in a higher serum level.]
[R03AC12, salmeterol, The serum concentration of Amantadine can be increased when it is combined with Salmeterol.]
[H05BA01, salmon calcitonin, Salmon calcitonin may decrease the excretion rate of Amantadine which could result in a higher serum level.]
[C01CA07, dobutamine, Dobutamine may decrease the excretion rate of Amantadine which could result in a higher serum level.]
[A03FA03, domperidone, The risk or severity of QTc prolongation can be increased when Amantadine is combined with Domperidone.]
[C01CA04, dopamine, The serum concentration of Dopamine can be increased when it is combined with Amantadine.]
[N06AA16, dothiepin, The risk or severity of QTc prolongation can be increased when Amantadine is combined with Dosulepin.]
[N06AA12, doxepin, The risk or severity of QTc prolongation can be increased when Amantadine is combined with Doxepin.]
[A06AB06, sennosides, USP, The therapeutic efficacy of Sennosides can be decreased when used in combination with Amantadine.]
[J01AA02, doxycycline, Doxycycline may decrease the excretion rate of Amantadine which could result in a higher serum level.]
[R06AA09, doxylamine, The risk or severity of QTc prolongation can be increased when Doxylamine is combined with Amantadine.]
[N06AB06, sertraline, The risk or severity of serotonin syndrome can be increased when Amantadine is combined with Sertraline.]
[N01AB08, sevoflurane, The risk or severity of QTc prolongation can be increased when Amantadine is combined with Sevoflurane.]
[N05AD08, droperidol, The therapeutic efficacy of Amantadine can be decreased when used in combination with Droperidol.]
[A08AA10, sibutramine, The risk or severity of serotonin syndrome can be increased when Amantadine is combined with Sibutramine.]
[V03AG05, sodium phosphate, The therapeutic efficacy of Sodium phosphate, monobasic can be decreased when used in combination with Amantadine.]
[A12CA02, sodium sulfate, Amantadine may decrease the excretion rate of Sodium sulfate which could result in a higher serum level.]
[R03DA01, dyphylline, Dyphylline may decrease the excretion rate of Amantadine which could result in a higher serum level.]
[N05AL02, sultopride, The risk or severity of QTc prolongation can be increased when Amantadine is combined with Sultopride.]
[N02CC01, sumatriptan, The risk or severity of serotonin syndrome can be increased when Sumatriptan is combined with Amantadine.]
[V04CX07, edrophonium, The therapeutic efficacy of Amantadine can be decreased when used in combination with Edrophonium.]
[C07AB13, talinolol, The risk or severity of QTc prolongation can be increased when Amantadine is combined with Talinolol.]
[J01MA05, temafloxacin, The risk or severity of QTc prolongation can be increased when Amantadine is combined with Temafloxacin.]
[L01AX03, temozolomide, Temozolomide may decrease the excretion rate of Amantadine which could result in a higher serum level.]
[M01AC02, tenoxicam, Tenoxicam may decrease the excretion rate of Amantadine which could result in a higher serum level.]
[G04BD05, terodiline, The risk or severity of QTc prolongation can be increased when Amantadine is combined with Terodiline.]
[G04BD01, emepronium, The risk or severity of adverse effects can be increased when Amantadine is combined with Emepronium.]
[N06AX14, tianeptine, The risk or severity of serotonin syndrome can be increased when Amantadine is combined with Tianeptine.]
[M01AG02, tolfenamic acid, Tolfenamic acid may decrease the excretion rate of Amantadine which could result in a higher serum level.]
[N06AG03, toloxatone, The risk or severity of serotonin syndrome can be increased when Amantadine is combined with Toloxatone.]
[N06BA09, atomoxetine, The risk or severity of QTc prolongation can be increased when Atomoxetine is combined with Amantadine.]
[N03AX11, topiramate, Topiramate may decrease the excretion rate of Amantadine which could result in a higher serum level.]
[L02BA02, toremifene, The risk or severity of QTc prolongation can be increased when Amantadine is combined with Toremifene.]
[C03CA04, torsemide, Torasemide may increase the excretion rate of Amantadine which could result in a lower serum level and potentially a reduction in efficacy.]
[N05CC01, chloral hydrate, Amantadine may decrease the excretion rate of Chloral hydrate which could result in a higher serum level.]
[A03AB08, tridihexethyl, The risk or severity of adverse effects can be increased when Tridihexethyl is combined with Amantadine.]
[L02AE04, triptorelin, The risk or severity of QTc prolongation can be increased when Amantadine is combined with Triptorelin.]
[N04AA12, tropatepine, The risk or severity of adverse effects can be increased when Amantadine is combined with Tropatepine.]
[J01MA04, enoxacin, The risk or severity of QTc prolongation can be increased when Enoxacin is combined with Amantadine.]
[S01GX10, epinastine, The risk or severity of QTc prolongation can be increased when Epinastine is combined with Amantadine.]
[N06AX16, venlafaxine, The risk or severity of serotonin syndrome can be increased when Amantadine is combined with Venlafaxine.]
[S01EA01, epinephrine, The serum concentration of Amantadine can be increased when it is combined with Epinephrine.]
[M01AB04, zomepirac, Zomepirac may decrease the excretion rate of Amantadine which could result in a higher serum level.]
[N03AX15, zonisamide, The risk or severity of QTc prolongation can be increased when Zonisamide is combined with Amantadine.]
[N05AX11, zotepine, The therapeutic efficacy of Amantadine can be decreased when used in combination with Zotepine.]
[L01XA02, carboplatin, Carboplatin may decrease the excretion rate of Amantadine which could result in a higher serum level.]
[C02AC02, guanfacine, The risk or severity of adverse effects can be increased when Amantadine is combined with Guanfacine.]
[C01BG01, moricizine, The risk or severity of QTc prolongation can be increased when Moricizine is combined with Amantadine.]
[G02AB03, ergonovine, The risk or severity of serotonin syndrome can be increased when Amantadine is combined with Ergometrine.]
[C04AE01, ergoloid mesylates, USP, The risk or severity of serotonin syndrome can be increased when Amantadine is combined with Ergoloid mesylate.]
[N02CA02, ergotamine, The risk or severity of serotonin syndrome can be increased when Ergotamine is combined with Amantadine.]
[N03AG01, valproic acid, The risk or severity of QTc prolongation can be increased when Amantadine is combined with Valproic acid.]
[L03AX05, pidotimod, Amantadine may decrease the excretion rate of Pidotimod which could result in a higher serum level.]
[S01AA17, erythromycin, The risk or severity of QTc prolongation can be increased when Amantadine is combined with Erythromycin.]
[N05CD04, estazolam, Amantadine may decrease the excretion rate of Estazolam which could result in a higher serum level.]
[A02BC02, pantoprazole, Pantoprazole may decrease the excretion rate of Amantadine which could result in a higher serum level.]
[G03CA03, estradiol, The serum concentration of Amantadine can be increased when it is combined with Estradiol.]
[G03CA57, estrogens, conjugated (USP), Conjugated estrogens may decrease the excretion rate of Amantadine which could result in a higher serum level.]
[J04AK02, ethambutol, Ethambutol may decrease the excretion rate of Amantadine which could result in a higher serum level.]
[V08CA03, gadodiamide, Gadodiamide may decrease the excretion rate of Amantadine which could result in a higher serum level.]
[C01CA15, gepefrine, The risk or severity of serotonin syndrome can be increased when Amantadine is combined with Gepefrine.]
[C01BD05, ibutilide, The risk or severity of QTc prolongation can be increased when Amantadine is combined with Ibutilide.]
[N04AA05, profenamine, The risk or severity of adverse effects can be increased when Profenamine is combined with Amantadine.]
[N03AD01, ethosuximide, The risk or severity of QTc prolongation can be increased when Ethosuximide is combined with Amantadine.]
[M01AC06, meloxicam, Meloxicam may decrease the excretion rate of Amantadine which could result in a higher serum level.]
[S01XA06, ethylmorphine, The risk or severity of adverse effects can be increased when Amantadine is combined with Ethylmorphine.]
[N01AX07, etomidate, Etomidate may decrease the excretion rate of Amantadine which could result in a higher serum level.]
[N05AE03, sertindole, The therapeutic efficacy of Amantadine can be decreased when used in combination with Sertindole.]
[C01BA05, ajmaline, The risk or severity of QTc prolongation can be increased when Amantadine is combined with Ajmaline.]
[L04AD02, tacrolimus, The risk or severity of QTc prolongation can be increased when Tacrolimus is combined with Amantadine.]
[A02BA04, nizatidine, The therapeutic efficacy of Amantadine can be decreased when used in combination with Nizatidine.]
[J01MA08, fleroxacin, The risk or severity of QTc prolongation can be increased when Amantadine is combined with Fleroxacin.]
[R06AX11, astemizole, The risk or severity of QTc prolongation can be increased when Amantadine is combined with Astemizole.]
[R06AX12, terfenadine, The risk or severity of QTc prolongation can be increased when Amantadine is combined with Terfenadine.]
[P01AX07, trimetrexate, Amantadine may decrease the excretion rate of Trimetrexate which could result in a higher serum level.]
[N06AX12, bupropion, The excretion of Amantadine can be decreased when combined with Bupropion.]
[N06AB08, fluvoxamine, The risk or severity of serotonin syndrome can be increased when Fluvoxamine is combined with Amantadine.]
[C01BC08, encainide, The risk or severity of QTc prolongation can be increased when Amantadine is combined with Encainide.]
[L02AE02, leuprolide, The risk or severity of QTc prolongation can be increased when Amantadine is combined with Leuprolide.]
[M01CB01, gold sodium thiomalate, Amantadine may decrease the excretion rate of Sodium aurothiomalate which could result in a higher serum level.]
[B05AA05, dextran, Amantadine may decrease the excretion rate of Dextran which could result in a higher serum level.]
[V03AF02, dexrazoxane, Dexrazoxane may decrease the excretion rate of Amantadine which could result in a higher serum level.]
[A02BA03, famotidine, The serum concentration of Amantadine can be increased when it is combined with Famotidine.]
[A16AA01, levocarnitine, Levocarnitine may decrease the excretion rate of Amantadine which could result in a higher serum level.]
[C08CA02, felodipine, The risk or severity of QTc prolongation can be increased when Amantadine is combined with Felodipine.]
[C08EA01, fendiline, The risk or severity of QTc prolongation can be increased when Amantadine is combined with Fendiline.]
[N03AX26, fenfluramine, The risk or severity of serotonin syndrome can be increased when Amantadine is combined with Fenfluramine.]
[M01AE04, fenoprofen, Fenoprofen may decrease the excretion rate of Amantadine which could result in a higher serum level.]
[R03CC04, fenoterol, The risk or severity of adverse effects can be increased when Amantadine is combined with Fenoterol.]
[N02AB03, fentanyl, The risk or severity of adverse effects can be increased when Amantadine is combined with Fentanyl.]
[R03CC02, albuterol, The risk or severity of QTc prolongation can be increased when Amantadine is combined with Salbutamol.]
[L01BB06, clofarabine, The serum concentration of Clofarabine can be increased when it is combined with Amantadine.]
[N07AX03, cevimeline, Cevimeline may decrease the excretion rate of Amantadine which could result in a higher serum level.]
[G04BD02, flavoxate, The risk or severity of adverse effects can be increased when Amantadine is combined with Flavoxate.]
[C01BC04, flecainide, The risk or severity of QTc prolongation can be increased when Amantadine is combined with Flecainide.]
[N02BG04, floctafenine, Floctafenine may decrease the excretion rate of Amantadine which could result in a higher serum level.]
[J02AC01, fluconazole, The risk or severity of QTc prolongation can be increased when Fluconazole is combined with Amantadine.]
[J02AX01, flucytosine, Amantadine may decrease the excretion rate of Flucytosine which could result in a higher serum level.]
[V03AB25, flumazenil, Amantadine may decrease the excretion rate of Flumazenil which could result in a higher serum level.]
[N06AA14, melitracen, The risk or severity of serotonin syndrome can be increased when Amantadine is combined with Melitracen.]
[V03AZ01, ethanol, Ethanol may increase the central nervous system depressant (CNS depressant) activities of Amantadine.]
[L01BC09, floxuridine, Floxuridine may decrease the excretion rate of Amantadine which could result in a higher serum level.]
[L01BC02, fluorouracil, The risk or severity of QTc prolongation can be increased when Amantadine is combined with Fluorouracil.]
[N06AB03, fluoxetine, The risk or severity of serotonin syndrome can be increased when Amantadine is combined with Fluoxetine.]
[N05AF01, flupenthixol, The therapeutic efficacy of Amantadine can be decreased when used in combination with Flupentixol.]
[N05AB02, fluphenazine, The therapeutic efficacy of Amantadine can be decreased when used in combination with Fluphenazine.]
[N05CD01, flurazepam, The serum concentration of Amantadine can be increased when it is combined with Flurazepam.]
[S01BC04, flurbiprofen, Flurbiprofen may decrease the excretion rate of Amantadine which could result in a higher serum level.]
[N05AG01, fluspirilene, The risk or severity of serotonin syndrome can be increased when Amantadine is combined with Fluspirilene.]
[L02BB01, flutamide, Flutamide may decrease the excretion rate of Amantadine which could result in a higher serum level.]
[V04CX02, folic acid, Folic acid may decrease the excretion rate of Amantadine which could result in a higher serum level.]
[S02AA17, fosfomycin, Fosfomycin may decrease the excretion rate of Amantadine which could result in a higher serum level.]
[S01AA07, framycetin, Framycetin may decrease the excretion rate of Amantadine which could result in a higher serum level.]
[L01BC03, tegafur, Amantadine may decrease the excretion rate of Tegafur which could result in a higher serum level.]
[M03AA01, alcuronium, The risk or severity of adverse effects can be increased when Amantadine is combined with Alcuronium.]
[G01AX06, furazolidone, The risk or severity of serotonin syndrome can be increased when Furazolidone is combined with Amantadine.]
[C03CA01, furosemide, Furosemide may increase the excretion rate of Amantadine which could result in a lower serum level and potentially a reduction in efficacy.]
[N05CF04, eszopiclone, Eszopiclone may decrease the excretion rate of Amantadine which could result in a higher serum level.]
[N05AL05, amisulpride, The therapeutic efficacy of Amantadine can be decreased when used in combination with Amisulpride.]
[N06DA04, galantamine, The risk or severity of QTc prolongation can be increased when Galantamine is combined with Amantadine.]
[M03AC02, gallamine, The risk or severity of adverse effects can be increased when Amantadine is combined with Gallamine.]
[C08DA02, gallopamil, The risk or severity of QTc prolongation can be increased when Amantadine is combined with Gallopamil.]
[S01AD09, ganciclovir, The risk or severity of adverse effects can be increased when Amantadine is combined with Ganciclovir.]
[N06AX08, bifemelane, The risk or severity of serotonin syndrome can be increased when Amantadine is combined with Bifemelane.]
[C10AB04, gemfibrozil, Amantadine may decrease the excretion rate of Gemfibrozil which could result in a higher serum level.]
[J01XA03, telavancin, The risk or severity of QTc prolongation can be increased when Amantadine is combined with Telavancin.]
[L02BX02, degarelix, The risk or severity of QTc prolongation can be increased when Amantadine is combined with Degarelix.]
[L01EA02, dasatinib, The risk or severity of QTc prolongation can be increased when Amantadine is combined with Dasatinib.]
[N04BC06, cabergoline, The risk or severity of serotonin syndrome can be increased when Cabergoline is combined with Amantadine.]
[N03AD03, methsuximide, The risk or severity of QTc prolongation can be increased when Amantadine is combined with Methsuximide.]
[N01AH02, alfentanil, The risk or severity of adverse effects can be increased when Amantadine is combined with Alfentanil.]
[L01EH01, lapatinib, The risk or severity of QTc prolongation can be increased when Amantadine is combined with Lapatinib.]
[A10BB07, glipizide, Amantadine may decrease the excretion rate of Glipizide which could result in a higher serum level.]
[N05CM18, dexmedetomidine, Dexmedetomidine may decrease the excretion rate of Amantadine which could result in a higher serum level.]
[A06AX01, glycerin, The therapeutic efficacy of Glycerin can be decreased when used in combination with Amantadine.]
[C01BD04, dofetilide, The serum concentration of Dofetilide can be increased when it is combined with Amantadine.]
[C02CA04, doxazosin, The risk or severity of adverse effects can be increased when Doxazosin is combined with Amantadine.]
[L01EX02, sorafenib, The risk or severity of QTc prolongation can be increased when Sorafenib is combined with Amantadine.]
[C07AB09, esmolol, The risk or severity of QTc prolongation can be increased when Esmolol is combined with Amantadine.]
[M01CB04, aurothioglucose, Amantadine may decrease the excretion rate of Aurothioglucose which could result in a higher serum level.]
[S01LA03, pegaptanib, Amantadine may decrease the excretion rate of Pegaptanib which could result in a higher serum level.]
[C09AA09, fosinopril, Fosinopril may decrease the excretion rate of Amantadine which could result in a higher serum level.]
[S01EX01, guanethidine, Amantadine may decrease the excretion rate of Guanethidine which could result in a higher serum level.]
[L02AE03, goserelin, The risk or severity of QTc prolongation can be increased when Amantadine is combined with Goserelin.]
[P01BX01, halofantrine, The risk or severity of QTc prolongation can be increased when Amantadine is combined with Halofantrine.]
[N05AD01, haloperidol, The risk or severity of QTc prolongation can be increased when Amantadine is combined with Haloperidol.]
[L02AE05, histrelin, The risk or severity of QTc prolongation can be increased when Amantadine is combined with Histrelin.]
[N05AH04, quetiapine, The therapeutic efficacy of Amantadine can be decreased when used in combination with Quetiapine.]
[N06BX13, idebenone, Amantadine may decrease the excretion rate of Idebenone which could result in a higher serum level.]
[M04AA01, allopurinol, Allopurinol may decrease the excretion rate of Amantadine which could result in a higher serum level.]
[C09CA01, losartan, The risk or severity of QTc prolongation can be increased when Losartan is combined with Amantadine.]
[B05CB03, magnesium citrate, The therapeutic efficacy of Magnesium citrate can be decreased when used in combination with Amantadine.]
[G03DC01, allylestrenol, Amantadine may decrease the excretion rate of Allylestrenol which could result in a higher serum level.]
[A07EC02, mesalamine, Mesalazine may decrease the excretion rate of Amantadine which could result in a higher serum level.]
[C01CE02, milrinone, Milrinone may decrease the excretion rate of Amantadine which could result in a higher serum level.]
[A12CD02, sodium monofluorophosphate, The therapeutic efficacy of Sodium fluorophosphate can be decreased when used in combination with Amantadine.]
[N05CA16, hexobarbital, The risk or severity of adverse effects can be increased when Amantadine is combined with Hexobarbital.]
[J05AG01, nevirapine, The risk or severity of adverse effects can be increased when Nevirapine is combined with Amantadine.]
[C08CA10, nilvadipine, The risk or severity of QTc prolongation can be increased when Amantadine is combined with Nilvadipine.]
[M02AA26, nimesulide, Nimesulide may decrease the excretion rate of Amantadine which could result in a higher serum level.]
[R06AE06, oxatomide, The risk or severity of QTc prolongation can be increased when Amantadine is combined with Oxatomide.]
[C09AA04, perindopril, Perindopril may decrease the excretion rate of Amantadine which could result in a higher serum level.]
[C02DB02, hydralazine, Amantadine may decrease the excretion rate of Hydralazine which could result in a higher serum level.]
[C03AA03, hydrochlorothiazide, The risk or severity of QTc prolongation can be increased when Amantadine is combined with Hydrochlorothiazide.]
[R05DA03, hydrocodone, The risk or severity of serotonin syndrome can be increased when Hydrocodone is combined with Amantadine.]
[C03AA02, hydroflumethiazide, Hydroflumethiazide may increase the excretion rate of Amantadine which could result in a lower serum level and potentially a reduction in efficacy.]
[B05XA17, potassium acetate, Amantadine may decrease the excretion rate of Potassium acetate which could result in a higher serum level.]
[A12BA02, potassium citrate, Potassium citrate may increase the excretion rate of Amantadine which could result in a lower serum level and potentially a reduction in efficacy.]
[V03AB33, hydroxocobalamin, Hydroxocobalamin may decrease the excretion rate of Amantadine which could result in a higher serum level.]
[G04BD06, propiverine, The risk or severity of adverse effects can be increased when Amantadine is combined with Propiverine.]
[P01BA02, hydroxychloroquine, The risk or severity of QTc prolongation can be increased when Amantadine is combined with Hydroxychloroquine.]
[B05AA07, hetastarch, Amantadine may decrease the excretion rate of Hydroxyethyl Starch which could result in a higher serum level.]
[N05BB01, hydroxyzine, The risk or severity of QTc prolongation can be increased when Amantadine is combined with Hydroxyzine.]
[R02AX02, ibuprofen, Ibuprofen may decrease the excretion rate of Amantadine which could result in a higher serum level.]
[B05XA08, sodium acetate, Amantadine may decrease the excretion rate of Sodium acetate which could result in a higher serum level.]
[A06AD21, sodium tartrate, The therapeutic efficacy of Sodium tartrate can be decreased when used in combination with Amantadine.]
[L01AA06, ifosfamide, Amantadine may decrease the excretion rate of Ifosfamide which could result in a higher serum level.]
[N01AH03, sufentanil, The risk or severity of adverse effects can be increased when Amantadine is combined with Sufentanil.]
[N06AA02, imipramine, The serum concentration of Amantadine can be increased when it is combined with Imipramine.]
[H01BA04, terlipressin, The risk or severity of QTc prolongation can be increased when Amantadine is combined with Terlipressin.]
[R01AD07, tixocortol, Amantadine may decrease the excretion rate of Tixocortol which could result in a higher serum level.]
[M03BX02, tizanidine, The risk or severity of QTc prolongation can be increased when Tizanidine is combined with Amantadine.]
[L01CE01, topotecan, Amantadine may decrease the excretion rate of Topotecan which could result in a higher serum level.]
[C03BA11, indapamide, The risk or severity of QTc prolongation can be increased when Indapamide is combined with Amantadine.]
[S01BC01, indomethacin, Indomethacin may decrease the excretion rate of Amantadine which could result in a higher serum level.]
[A11HA07, inositol, Amantadine may decrease the excretion rate of Inositol which could result in a higher serum level.]
[N06AX17, milnacipran, The risk or severity of serotonin syndrome can be increased when Amantadine is combined with Milnacipran.]
[A03AA30, piperidolate, The risk or severity of adverse effects can be increased when Amantadine is combined with Piperidolate.]
[S01XA28, varenicline, The excretion of Varenicline can be decreased when combined with Amantadine.]
[A10BH01, sitagliptin, Amantadine may decrease the excretion rate of Sitagliptin which could result in a higher serum level.]
[N05BA12, alprazolam, Alprazolam may decrease the excretion rate of Amantadine which could result in a higher serum level.]
[N05CH02, ramelteon, Amantadine may decrease the excretion rate of Ramelteon which could result in a higher serum level.]
[R06AE01, buclizine, The risk or severity of QTc prolongation can be increased when Buclizine is combined with Amantadine.]
[L01XX35, anagrelide, The risk or severity of QTc prolongation can be increased when Amantadine is combined with Anagrelide.]
[C03BA02, quinethazone, Quinethazone may increase the excretion rate of Amantadine which could result in a lower serum level and potentially a reduction in efficacy.]
[V03AB01, ipecac, Amantadine may decrease the excretion rate of Ipecac which could result in a higher serum level.]
[N06AA13, iprindole, The risk or severity of serotonin syndrome can be increased when Amantadine is combined with Iprindole.]
[N06AF05, iproniazid, The risk or severity of serotonin syndrome can be increased when Amantadine is combined with Iproniazid.]
[N06AF01, isocarboxazid, The risk or severity of serotonin syndrome can be increased when Amantadine is combined with Isocarboxazid.]
[N01AB06, isoflurane, The risk or severity of QTc prolongation can be increased when Isoflurane is combined with Amantadine.]
[S01EB07, isoflurophate, The therapeutic efficacy of Amantadine can be decreased when used in combination with Isoflurophate.]
[J04AC01, isoniazid, The risk or severity of serotonin syndrome can be increased when Amantadine is combined with Isoniazid.]
[J05AX05, inosine pranobex, Amantadine may decrease the excretion rate of Inosine pranobex which could result in a higher serum level.]
[R03CB01, isoproterenol, The therapeutic efficacy of Amantadine can be decreased when used in combination with Isoprenaline.]
[C01DA14, isosorbide mononitrate, Amantadine may decrease the excretion rate of Isosorbide mononitrate which could result in a higher serum level.]
[D10BA01, isotretinoin, Amantadine may decrease the excretion rate of Isotretinoin which could result in a higher serum level.]
[S01AA24, kanamycin, Amantadine may decrease the excretion rate of Kanamycin which could result in a higher serum level.]
[N01AX03, ketamine, The therapeutic efficacy of Amantadine can be decreased when used in combination with Ketamine.]
[C02KD01, ketanserin, The risk or severity of serotonin syndrome can be increased when Amantadine is combined with Ketanserin.]
[B01AC22, prasugrel, Amantadine may decrease the excretion rate of Prasugrel which could result in a higher serum level.]
[J02AB02, ketoconazole, The risk or severity of QTc prolongation can be increased when Amantadine is combined with Ketoconazole.]
[H02CA04, levoketoconazole, The serum concentration of Amantadine can be increased when it is combined with Levoketoconazole.]
[N05AH03, olanzapine, The therapeutic efficacy of Amantadine can be decreased when used in combination with Olanzapine.]
[M02AA10, ketoprofen, Ketoprofen may decrease the excretion rate of Amantadine which could result in a higher serum level.]
[R06AX25, mizolastine, The risk or severity of QTc prolongation can be increased when Amantadine is combined with Mizolastine.]
[N04BC09, rotigotine, The risk or severity of serotonin syndrome can be increased when Amantadine is combined with Rotigotine.]
[D10AX03, azelaic acid, Azelaic acid may decrease the excretion rate of Amantadine which could result in a higher serum level.]
[M01AE11, tiaprofenic acid, Tiaprofenic acid may decrease the excretion rate of Amantadine which could result in a higher serum level.]
[C07AG01, labetalol, Labetalol may decrease the excretion rate of Amantadine which could result in a higher serum level.]
[J01MB04, pipemidic acid, The risk or severity of QTc prolongation can be increased when Amantadine is combined with Pipemidic acid.]
[M01AG01, mefenamic acid, Mefenamic acid may decrease the excretion rate of Amantadine which could result in a higher serum level.]
[C01DA05, pentaerythritol tetranitrate, Amantadine may decrease the excretion rate of Pentaerythritol tetranitrate which could result in a higher serum level.]
[J01MB02, nalidixic acid, The risk or severity of QTc prolongation can be increased when Amantadine is combined with Nalidixic acid.]
[A06AD11, lactulose, The therapeutic efficacy of Lactulose can be decreased when used in combination with Amantadine.]
[N07AA30, ambenonium, The therapeutic efficacy of Amantadine can be decreased when used in combination with Ambenonium.]
[A06AX03, lubiprostone, Amantadine may decrease the excretion rate of Lubiprostone which could result in a higher serum level.]
[N04BA01, levodopa, The risk or severity of serotonin syndrome can be increased when Amantadine is combined with Levodopa.]
[C08EX01, lidoflazine, The risk or severity of QTc prolongation can be increased when Amantadine is combined with Lidoflazine.]
[S01AA21, amikacin, Amantadine may decrease the excretion rate of Amikacin which could result in a higher serum level.]
[C03DB01, amiloride, The serum concentration of Amantadine can be increased when it is combined with Amiloride.]
[N02CA07, lisuride, The risk or severity of serotonin syndrome can be increased when Lisuride is combined with Amantadine.]
[N06AA07, lofepramine, The risk or severity of serotonin syndrome can be increased when Amantadine is combined with Lofepramine.]
[A07DA03, loperamide, The risk or severity of QTc prolongation can be increased when Amantadine is combined with Loperamide.]
[N05BA06, lorazepam, Lorazepam may decrease the excretion rate of Amantadine which could result in a higher serum level.]
[N05AH01, loxapine, The therapeutic efficacy of Amantadine can be decreased when used in combination with Loxapine.]
[B05XA11, magnesium chloride, Amantadine may decrease the excretion rate of Magnesium chloride which could result in a higher serum level.]
[G04BX01, magnesium hydroxide, Amantadine may decrease the excretion rate of Magnesium hydroxide which could result in a higher serum level.]
[A12CC10, magnesium oxide, The therapeutic efficacy of Magnesium oxide can be decreased when used in combination with Amantadine.]
[V04CC02, magnesium sulfate, The therapeutic efficacy of Magnesium sulfate can be decreased when used in combination with Amantadine.]
[L01BA05, pralatrexate, Amantadine may decrease the excretion rate of Pralatrexate which could result in a higher serum level.]
[L01EA03, nilotinib, The risk or severity of QTc prolongation can be increased when Amantadine is combined with Nilotinib.]
[V04CX04, mannitol, Mannitol may increase the excretion rate of Amantadine which could result in a lower serum level and potentially a reduction in efficacy.]
[N06AA21, maprotiline, The risk or severity of QTc prolongation can be increased when Amantadine is combined with Maprotiline.]
[A08AA05, mazindol, The risk or severity of serotonin syndrome can be increased when Mazindol is combined with Amantadine.]
[C02BB01, mecamylamine, The risk or severity of adverse effects can be increased when Mecamylamine is combined with Amantadine.]
[L01AA05, mechlorethamine, The therapeutic efficacy of Amantadine can be decreased when used in combination with Mechlorethamine.]
[R06AE05, meclizine, The risk or severity of adverse effects can be increased when Meclizine is combined with Amantadine.]
[M02AA18, meclofenamic acid, Meclofenamic acid may decrease the excretion rate of Amantadine which could result in a higher serum level.]
[A06AB07, cascara sagrada, The therapeutic efficacy of Frangula purshiana bark can be decreased when used in combination with Amantadine.]
[P01BC02, mefloquine, The risk or severity of QTc prolongation can be increased when Mefloquine is combined with Amantadine.]
[C03BA05, mefruside, Mefruside may increase the excretion rate of Amantadine which could result in a lower serum level and potentially a reduction in efficacy.]
[N06DX01, memantine, The risk or severity of adverse effects can be increased when Amantadine is combined with Memantine.]
[N02AB02, meperidine, The risk or severity of adverse effects can be increased when Amantadine is combined with Meperidine.]
[C01CA11, mephentermine, The risk or severity of serotonin syndrome can be increased when Amantadine is combined with Mephentermine.]
[N03AA01, mephobarbital, The risk or severity of adverse effects can be increased when Methylphenobarbital is combined with Amantadine.]
[N01BB03, mepivacaine, Amantadine may decrease the excretion rate of Mepivacaine which could result in a higher serum level.]
[N02AX05, meptazinol, The risk or severity of adverse effects can be increased when Amantadine is combined with Meptazinol.]
[G04BX16, tiopronin, Amantadine may decrease the excretion rate of Tiopronin which could result in a higher serum level.]
[C03BC01, mersalyl, Mersalyl may increase the excretion rate of Amantadine which could result in a lower serum level and potentially a reduction in efficacy.]
[N05AC03, mesoridazine, The therapeutic efficacy of Amantadine can be decreased when used in combination with Mesoridazine.]
[N05AX13, paliperidone, The therapeutic efficacy of Amantadine can be decreased when used in combination with Paliperidone.]
[A10BA02, metformin, The serum concentration of Amantadine can be increased when it is combined with Metformin.]
[A04AA04, dolasetron, The risk or severity of serotonin syndrome can be increased when Dolasetron is combined with Amantadine.]
[N07BC02, methadone, The risk or severity of adverse effects can be increased when Amantadine is combined with Methadone.]
[N06BA03, methamphetamine, The risk or severity of serotonin syndrome can be increased when Amantadine is combined with Metamfetamine.]
[A03AB07, methantheline, The risk or severity of adverse effects can be increased when Amantadine is combined with Methantheline.]
[J05AF05, lamivudine, The serum concentration of Lamivudine can be increased when it is combined with Amantadine.]
[N03AA30, metharbital, The risk or severity of adverse effects can be increased when Metharbital is combined with Amantadine.]
[S01EC05, methazolamide, Methazolamide may increase the excretion rate of Amantadine which could result in a lower serum level and potentially a reduction in efficacy.]
[H03BB02, methimazole, Methimazole may decrease the excretion rate of Amantadine which could result in a higher serum level.]
[L01BA04, pemetrexed, Amantadine may decrease the excretion rate of Pemetrexed which could result in a higher serum level.]
[A11HA02, pyridoxine, Pyridoxine may decrease the excretion rate of Amantadine which could result in a higher serum level.]
[L04AX03, methotrexate, Methotrexate may decrease the excretion rate of Amantadine which could result in a higher serum level.]
[N05AA02, methotrimeprazine, The therapeutic efficacy of Amantadine can be decreased when used in combination with Methotrimeprazine.]
