[G03XB02, ulipristal, The metabolism of Ulipristal can be increased when combined with Oxcarbazepine.]
[N03AD03, methsuximide, The risk or severity of adverse effects can be increased when Oxcarbazepine is combined with Methsuximide.]
[G03XA02, gestrinone, The metabolism of Gestrinone can be increased when combined with Oxcarbazepine.]
[N01AH02, alfentanil, The risk or severity of adverse effects can be increased when Oxcarbazepine is combined with Alfentanil.]
[L01EH01, lapatinib, The metabolism of Lapatinib can be increased when combined with Oxcarbazepine.]
[A10BB01, glyburide, The metabolism of Glyburide can be increased when combined with Oxcarbazepine.]
[A10BB09, gliclazide, The metabolism of Gliclazide can be decreased when combined with Oxcarbazepine.]
[N05CM18, dexmedetomidine, The risk or severity of adverse effects can be increased when Dexmedetomidine is combined with Oxcarbazepine.]
[N05CE01, glutethimide, The risk or severity of adverse effects can be increased when Oxcarbazepine is combined with Glutethimide.]
[C01BD04, dofetilide, The metabolism of Dofetilide can be increased when combined with Oxcarbazepine.]
[C02CA04, doxazosin, The metabolism of Doxazosin can be increased when combined with Oxcarbazepine.]
[L01EX02, sorafenib, The metabolism of Sorafenib can be increased when combined with Oxcarbazepine.]
[P01BX01, halofantrine, The metabolism of Halofantrine can be increased when combined with Oxcarbazepine.]
[N05AD01, haloperidol, The risk or severity of CNS depression can be increased when Haloperidol is combined with Oxcarbazepine.]
[N01AB01, halothane, The risk or severity of adverse effects can be increased when Oxcarbazepine is combined with Halothane.]
[N05AH04, quetiapine, Oxcarbazepine may increase the central nervous system depressant (CNS depressant) activities of Quetiapine.]
[N02CX03, iprazochrome, The risk or severity of adverse effects can be increased when Oxcarbazepine is combined with Iprazochrome.]
[L01CE02, irinotecan, The metabolism of Irinotecan can be increased when combined with Oxcarbazepine.]
[N05CA21, allobarbital, The risk or severity of adverse effects can be increased when Oxcarbazepine is combined with Allobarbital.]
[G03DC01, allylestrenol, The metabolism of Allylestrenol can be increased when combined with Oxcarbazepine.]
[N05CA16, hexobarbital, The risk or severity of adverse effects can be increased when Oxcarbazepine is combined with Hexobarbital.]
[J05AG01, nevirapine, The metabolism of Nevirapine can be increased when combined with Oxcarbazepine.]
[C03AA03, hydrochlorothiazide, The risk or severity of hyponatremia can be increased when Hydrochlorothiazide is combined with Oxcarbazepine.]
[R05DA03, hydrocodone, Oxcarbazepine may increase the central nervous system depressant (CNS depressant) activities of Hydrocodone.]
[S02BA01, hydrocortisone, The metabolism of Hydrocortisone can be increased when combined with Oxcarbazepine.]
[C03AA02, hydroflumethiazide, The risk or severity of hyponatremia can be increased when Hydroflumethiazide is combined with Oxcarbazepine.]
[G04BD06, propiverine, Oxcarbazepine may increase the central nervous system depressant (CNS depressant) activities of Propiverine.]
[P01BA02, hydroxychloroquine, The therapeutic efficacy of Oxcarbazepine can be decreased when used in combination with Hydroxychloroquine.]
[N05AX07, prothipendyl, The risk or severity of adverse effects can be increased when Oxcarbazepine is combined with Prothipendyl.]
[N05BB01, hydroxyzine, Hydroxyzine may increase the central nervous system depressant (CNS depressant) activities of Oxcarbazepine.]
[L01AA06, ifosfamide, The metabolism of Ifosfamide can be increased when combined with Oxcarbazepine.]
[N01AH03, sufentanil, The risk or severity of adverse effects can be increased when Sufentanil is combined with Oxcarbazepine.]
[N06AA02, imipramine, The metabolism of Imipramine can be decreased when combined with Oxcarbazepine.]
[L01CD01, paclitaxel, The metabolism of Paclitaxel can be increased when combined with Oxcarbazepine.]
[M03BX02, tizanidine, The risk or severity of adverse effects can be increased when Tizanidine is combined with Oxcarbazepine.]
[L01CE01, topotecan, Oxcarbazepine may increase the excretion rate of Topotecan which could result in a lower serum level and potentially a reduction in efficacy.]
[C03BA11, indapamide, The risk or severity of hyponatremia can be increased when Indapamide is combined with Oxcarbazepine.]
[N06AX17, milnacipran, The metabolism of Milnacipran can be increased when combined with Oxcarbazepine.]
[A03AA30, piperidolate, Oxcarbazepine may increase the central nervous system depressant (CNS depressant) activities of Piperidolate.]
[N01BB08, articaine, The risk or severity of methemoglobinemia can be increased when Oxcarbazepine is combined with Articaine.]
[V08AB02, iohexol, The therapeutic efficacy of Oxcarbazepine can be decreased when used in combination with Iohexol.]
[N05BA12, alprazolam, The metabolism of Alprazolam can be decreased when combined with Oxcarbazepine.]
[N05CH02, ramelteon, The risk or severity of adverse effects can be increased when Oxcarbazepine is combined with Ramelteon.]
[R06AE01, buclizine, Oxcarbazepine may increase the central nervous system depressant (CNS depressant) activities of Buclizine.]
[C10AA06, cerivastatin, The metabolism of Cerivastatin can be increased when combined with Oxcarbazepine.]
[C07AA01, alprenolol, The risk or severity of adverse effects can be increased when Oxcarbazepine is combined with Alprenolol.]
[C03BA02, quinethazone, The risk or severity of hyponatremia can be increased when Quinethazone is combined with Oxcarbazepine.]
[N06AA13, iprindole, The risk or severity of adverse effects can be increased when Oxcarbazepine is combined with Iprindole.]
[N06AF05, iproniazid, The risk or severity of adverse effects can be increased when Oxcarbazepine is combined with Iproniazid.]
[N05AA07, chlorproethazine, The risk or severity of adverse effects can be increased when Oxcarbazepine is combined with Chlorproethazine.]
[N06AF01, isocarboxazid, The risk or severity of adverse effects can be increased when Oxcarbazepine is combined with Isocarboxazid.]
[N01AB06, isoflurane, The risk or severity of adverse effects can be increased when Isoflurane is combined with Oxcarbazepine.]
[N04BX02, entacapone, The risk or severity of adverse effects can be increased when Entacapone is combined with Oxcarbazepine.]
[J04AC01, isoniazid, The therapeutic efficacy of Oxcarbazepine can be decreased when used in combination with Isoniazid.]
[N06AX18, reboxetine, The risk or severity of adverse effects can be increased when Reboxetine is combined with Oxcarbazepine.]
[N01AX03, ketamine, The risk or severity of adverse effects can be increased when Oxcarbazepine is combined with Ketamine.]
[C02KD01, ketanserin, The risk or severity of adverse effects can be increased when Oxcarbazepine is combined with Ketanserin.]
[N05AH03, olanzapine, Oxcarbazepine may increase the central nervous system depressant (CNS depressant) activities of Olanzapine.]
[N04BC09, rotigotine, Oxcarbazepine may increase the sedative activities of Rotigotine.]
[J01MB02, nalidixic acid, The therapeutic efficacy of Oxcarbazepine can be decreased when used in combination with Nalidixic acid.]
[C07AG01, labetalol, The metabolism of Labetalol can be decreased when combined with Oxcarbazepine.]
[N03AX18, lacosamide, The risk or severity of adverse effects can be increased when Oxcarbazepine is combined with Lacosamide.]
[G03AD01, levonorgestrel, The serum concentration of Levonorgestrel can be decreased when it is combined with Oxcarbazepine.]
[N04BA01, levodopa, The risk or severity of adverse effects can be increased when Oxcarbazepine is combined with Levodopa.]
[S02DA01, lidocaine, The risk or severity of methemoglobinemia can be increased when Oxcarbazepine is combined with Lidocaine.]
[D06AX13, retapamulin, The metabolism of Retapamulin can be decreased when combined with Oxcarbazepine.]
[N02CA07, lisuride, The risk or severity of adverse effects can be increased when Lisuride is combined with Oxcarbazepine.]
[N06AA07, lofepramine, The risk or severity of adverse effects can be increased when Oxcarbazepine is combined with Lofepramine.]
[N05BA06, lorazepam, The risk or severity of adverse effects can be increased when Lorazepam is combined with Oxcarbazepine.]
[C10AA02, lovastatin, The metabolism of Lovastatin can be decreased when combined with Oxcarbazepine.]
[N05AH01, loxapine, The risk or severity of adverse effects can be increased when Loxapine is combined with Oxcarbazepine.]
[G03DC03, lynestrenol, The metabolism of Lynestrenol can be increased when combined with Oxcarbazepine.]
[L01EG01, temsirolimus, The metabolism of Temsirolimus can be increased when combined with Oxcarbazepine.]
[V04CC02, magnesium sulfate, The therapeutic efficacy of Oxcarbazepine can be increased when used in combination with Magnesium sulfate.]
[L01EA03, nilotinib, The metabolism of Nilotinib can be increased when combined with Oxcarbazepine.]
[N06AA21, maprotiline, Oxcarbazepine may increase the central nervous system depressant (CNS depressant) activities of Maprotiline.]
[A08AA05, mazindol, The risk or severity of adverse effects can be increased when Mazindol is combined with Oxcarbazepine.]
[R06AE05, meclizine, The risk or severity of adverse effects can be increased when Meclizine is combined with Oxcarbazepine.]
[N05BA03, medazepam, The risk or severity of adverse effects can be increased when Oxcarbazepine is combined with Medazepam.]
[P01BC02, mefloquine, The therapeutic efficacy of Oxcarbazepine can be decreased when used in combination with Mefloquine.]
[N05CH01, melatonin, The risk or severity of adverse effects can be increased when Oxcarbazepine is combined with Melatonin.]
[N02AB02, meperidine, The risk or severity of adverse effects can be increased when Meperidine is combined with Oxcarbazepine.]
[N03AB04, mephenytoin, The risk or severity of adverse effects can be increased when Mephenytoin is combined with Oxcarbazepine.]
[N03AA01, mephobarbital, The risk or severity of adverse effects can be increased when Oxcarbazepine is combined with Methylphenobarbital.]
[N01BB03, mepivacaine, The risk or severity of methemoglobinemia can be increased when Oxcarbazepine is combined with Mepivacaine.]
[N05BC01, meprobamate, The risk or severity of adverse effects can be increased when Meprobamate is combined with Oxcarbazepine.]
[N02AX05, meptazinol, The risk or severity of adverse effects can be increased when Oxcarbazepine is combined with Meptazinol.]
[N05AC03, mesoridazine, The risk or severity of adverse effects can be increased when Oxcarbazepine is combined with Mesoridazine.]
[N05AX13, paliperidone, The risk or severity of adverse effects can be increased when Oxcarbazepine is combined with Paliperidone.]
[A04AA04, dolasetron, The risk or severity of adverse effects can be increased when Dolasetron is combined with Oxcarbazepine.]
[N07BC02, methadone, The risk or severity of adverse effects can be increased when Methadone is combined with Oxcarbazepine.]
[N06BA03, methamphetamine, The risk or severity of adverse effects can be increased when Oxcarbazepine is combined with Metamfetamine.]
[A03AB07, methantheline, Oxcarbazepine may increase the central nervous system depressant (CNS depressant) activities of Methantheline.]
[R06AC05, methapyrilene, The risk or severity of adverse effects can be increased when Oxcarbazepine is combined with Methapyrilene.]
[N05CM01, methaqualone, The risk or severity of adverse effects can be increased when Oxcarbazepine is combined with Methaqualone.]
[N03AA30, metharbital, The risk or severity of adverse effects can be increased when Metharbital is combined with Oxcarbazepine.]
[G02CB05, metergoline, The risk or severity of adverse effects can be increased when Oxcarbazepine is combined with Metergoline.]
[M03BA03, methocarbamol, The risk or severity of adverse effects can be increased when Methocarbamol is combined with Oxcarbazepine.]
[N05CA15, methohexital, The risk or severity of adverse effects can be increased when Methohexital is combined with Oxcarbazepine.]
[N02BG08, ziconotide, The risk or severity of CNS depression can be increased when Oxcarbazepine is combined with Ziconotide.]
[L04AX03, methotrexate, The metabolism of Methotrexate can be increased when combined with Oxcarbazepine.]
[N05AA02, methotrimeprazine, Oxcarbazepine may increase the central nervous system depressant (CNS depressant) activities of Methotrimeprazine.]
[N02BG09, methoxyflurane, The risk or severity of adverse effects can be increased when Oxcarbazepine is combined with Methoxyflurane.]
[C03AA08, methyclothiazide, The risk or severity of hyponatremia can be increased when Methyclothiazide is combined with Oxcarbazepine.]
[V04CG05, methylene blue, The risk or severity of adverse effects can be increased when Oxcarbazepine is combined with Methylene blue.]
[R03DA05, aminophylline, The metabolism of Aminophylline can be increased when combined with Oxcarbazepine.]
[N06BA04, methylphenidate, The therapeutic efficacy of Oxcarbazepine can be decreased when used in combination with Methylphenidate.]
[N03AF03, rufinamide, The risk or severity of adverse effects can be increased when Rufinamide is combined with Oxcarbazepine.]
[N05CE02, methyprylon, The risk or severity of adverse effects can be increased when Oxcarbazepine is combined with Methyprylon.]
[N02CA04, methysergide, The risk or severity of adverse effects can be increased when Methysergide is combined with Oxcarbazepine.]
[A03FA01, metoclopramide, The risk or severity of sedation can be increased when Metoclopramide is combined with Oxcarbazepine.]
[C03BA08, metolazone, The risk or severity of hyponatremia can be increased when Metolazone is combined with Oxcarbazepine.]
[P01AB01, metronidazole, The metabolism of Metronidazole can be increased when combined with Oxcarbazepine.]
[N06AX03, mianserin, The therapeutic efficacy of Oxcarbazepine can be decreased when used in combination with Mianserin.]
[N05CD08, midazolam, The serum concentration of Midazolam can be increased when it is combined with Oxcarbazepine.]
[G03XB01, mifepristone, The metabolism of Mifepristone can be increased when combined with Oxcarbazepine.]
[J01AA08, minocycline, Minocycline may increase the central nervous system depressant (CNS depressant) activities of Oxcarbazepine.]
[N05AE02, molindone, The risk or severity of adverse effects can be increased when Oxcarbazepine is combined with Molindone.]
[C01BD01, amiodarone, The metabolism of Amiodarone can be increased when combined with Oxcarbazepine.]
[N06AA09, amitriptyline, Oxcarbazepine may increase the central nervous system depressant (CNS depressant) activities of Amitriptyline.]
[N02AA01, morphine, The risk or severity of adverse effects can be increased when Morphine is combined with Oxcarbazepine.]
[A04AA05, palonosetron, The risk or severity of adverse effects can be increased when Palonosetron is combined with Oxcarbazepine.]
[L01EX03, pazopanib, The metabolism of Pazopanib can be increased when combined with Oxcarbazepine.]
[M03AC03, vecuronium, The risk or severity of adverse effects can be increased when Oxcarbazepine is combined with Vecuronium.]
[N05CA02, amobarbital, The risk or severity of adverse effects can be increased when Oxcarbazepine is combined with Amobarbital.]
[N06AA17, amoxapine, Oxcarbazepine may increase the central nervous system depressant (CNS depressant) activities of Amoxapine.]
[N03AB05, fosphenytoin, The metabolism of Fosphenytoin can be increased when combined with Oxcarbazepine.]
[N04BC04, ropinirole, Oxcarbazepine may increase the sedative activities of Ropinirole.]
[C04AX21, nafronyl, The risk or severity of adverse effects can be increased when Oxcarbazepine is combined with Naftidrofuryl.]
[N02AF02, nalbuphine, The risk or severity of adverse effects can be increased when Oxcarbazepine is combined with Nalbuphine.]
[N06BA01, amphetamine, The therapeutic efficacy of Oxcarbazepine can be decreased when used in combination with Amphetamine.]
[N06AX21, duloxetine, The risk or severity of adverse effects can be increased when Oxcarbazepine is combined with Duloxetine.]
[N04BX01, tolcapone, The risk or severity of adverse effects can be increased when Tolcapone is combined with Oxcarbazepine.]
[L01CD02, docetaxel, The metabolism of Docetaxel can be increased when combined with Oxcarbazepine.]
[N01AH06, remifentanil, The risk or severity of adverse effects can be increased when Oxcarbazepine is combined with Remifentanil.]
[N05AX14, iloperidone, The metabolism of Iloperidone can be decreased when combined with Oxcarbazepine.]
[J02AA01, amphotericin B, The therapeutic efficacy of Oxcarbazepine can be decreased when used in combination with Amphotericin B.]
[N06AX23, desvenlafaxine, The risk or severity of adverse effects can be increased when Oxcarbazepine is combined with Desvenlafaxine.]
[N06AF02, nialamide, The risk or severity of adverse effects can be increased when Oxcarbazepine is combined with Nialamide.]
[C08CA04, nicardipine, Oxcarbazepine may increase the central nervous system depressant (CNS depressant) activities of Nicardipine.]
[C08CA05, nifedipine, The metabolism of Nifedipine can be increased when combined with Oxcarbazepine.]
[C08CA07, nisoldipine, The metabolism of Nisoldipine can be increased when combined with Oxcarbazepine.]
[N05CD02, nitrazepam, The risk or severity of adverse effects can be increased when Oxcarbazepine is combined with Nitrazepam.]
[C08CA08, nitrendipine, The metabolism of Nitrendipine can be increased when combined with Oxcarbazepine.]
[N05CF03, zaleplon, The risk or severity of adverse effects can be increased when Oxcarbazepine is combined with Zaleplon.]
[N04BC05, pramipexole, Oxcarbazepine may increase the sedative activities of Pramipexole.]
[N01AX13, nitrous oxide, The risk or severity of adverse effects can be increased when Oxcarbazepine is combined with Nitrous oxide.]
[N06AX04, nomifensine, The risk or severity of adverse effects can be increased when Oxcarbazepine is combined with Nomifensine.]
[G03DC02, norethindrone, The metabolism of Norethisterone can be increased when combined with Oxcarbazepine.]
[G03AC07, norgestrienone, The metabolism of Norgestrienone can be increased when combined with Oxcarbazepine.]
[N06AA10, nortriptyline, The metabolism of Nortriptyline can be increased when combined with Oxcarbazepine.]
[A02BC01, omeprazole, The metabolism of Omeprazole can be decreased when combined with Oxcarbazepine.]
[N06AA05, opipramol, The risk or severity of adverse effects can be increased when Oxcarbazepine is combined with Opipramol.]
[N02AA02, opium, The risk or severity of adverse effects can be increased when Oxcarbazepine is combined with Opium.]
[N05BA04, oxazepam, The risk or severity of adverse effects can be increased when Oxcarbazepine is combined with Oxazepam.]
[C07AA02, oxprenolol, The risk or severity of adverse effects can be increased when Oxcarbazepine is combined with Oxprenolol.]
[N02AA05, oxycodone, The risk or severity of adverse effects can be increased when Oxycodone is combined with Oxcarbazepine.]
[N02AA11, oxymorphone, The risk or severity of adverse effects can be increased when Oxcarbazepine is combined with Oxymorphone.]
[N05AE01, oxypertine, The risk or severity of adverse effects can be increased when Oxcarbazepine is combined with Oxypertine.]
[A03AB03, oxyphenonium, Oxcarbazepine may increase the central nervous system depressant (CNS depressant) activities of Oxyphenonium.]
[N05AH05, asenapine, The risk or severity of adverse effects can be increased when Oxcarbazepine is combined with Asenapine.]
[N02AX06, tapentadol, Tapentadol may increase the central nervous system depressant (CNS depressant) activities of Oxcarbazepine.]
[M03AC01, pancuronium, Oxcarbazepine may increase the central nervous system depressant (CNS depressant) activities of Pancuronium.]
[G03DB06, chlormadinone, The metabolism of Chlormadinone can be increased when combined with Oxcarbazepine.]
[N05CC05, paraldehyde, Oxcarbazepine may increase the central nervous system depressant (CNS depressant) activities of Paraldehyde.]
[C02KC01, pargyline, The risk or severity of adverse effects can be increased when Oxcarbazepine is combined with Pargyline.]
[G04BD11, fesoterodine, Oxcarbazepine may increase the central nervous system depressant (CNS depressant) activities of Fesoterodine.]
[C07AA23, penbutolol, The risk or severity of adverse effects can be increased when Oxcarbazepine is combined with Penbutolol.]
[N05AG03, penfluridol, The risk or severity of adverse effects can be increased when Oxcarbazepine is combined with Penfluridol.]
[N02AD01, pentazocine, The risk or severity of adverse effects can be increased when Pentazocine is combined with Oxcarbazepine.]
[N05CA01, pentobarbital, The risk or severity of adverse effects can be increased when Pentobarbital is combined with Oxcarbazepine.]
[C04AD03, pentoxifylline, Oxcarbazepine may increase the excretion rate of Pentoxifylline which could result in a lower serum level and potentially a reduction in efficacy.]
[N05AB10, perazine, The risk or severity of adverse effects can be increased when Oxcarbazepine is combined with Perazine.]
[N04BC02, pergolide, The risk or severity of adverse effects can be increased when Oxcarbazepine is combined with Pergolide.]
[N05AB03, perphenazine, The risk or severity of adverse effects can be increased when Oxcarbazepine is combined with Perphenazine.]
[N02AD02, phenazocine, The risk or severity of adverse effects can be increased when Oxcarbazepine is combined with Phenazocine.]
[N06AF03, phenelzine, The risk or severity of adverse effects can be increased when Oxcarbazepine is combined with Phenelzine.]
[N03AA02, phenobarbital, The serum concentration of Phenobarbital can be increased when it is combined with Oxcarbazepine.]
[N01AH04, phenoperidine, The risk or severity of adverse effects can be increased when Oxcarbazepine is combined with Phenoperidine.]
[B01AA04, phenprocoumon, The metabolism of Phenprocoumon can be increased when combined with Oxcarbazepine.]
[A02BC06, dexlansoprazole, The metabolism of Dexlansoprazole can be decreased when combined with Oxcarbazepine.]
[R01BA01, phenylpropanolamine, The therapeutic efficacy of Oxcarbazepine can be decreased when used in combination with Phenylpropanolamine.]
[N03AB02, phenytoin, The serum concentration of Phenytoin can be increased when it is combined with Oxcarbazepine.]
[L02BB03, bicalutamide, The metabolism of Bicalutamide can be increased when combined with Oxcarbazepine.]
[N05AG02, pimozide, The metabolism of Pimozide can be increased when combined with Oxcarbazepine.]
[C07AA03, pindolol, The risk or severity of adverse effects can be increased when Oxcarbazepine is combined with Pindolol.]
[C10AA05, atorvastatin, The metabolism of Atorvastatin can be decreased when combined with Oxcarbazepine.]
[J05AE01, saquinavir, The metabolism of Saquinavir can be increased when combined with Oxcarbazepine.]
[N05AC04, pipothiazine, The risk or severity of adverse effects can be increased when Oxcarbazepine is combined with Pipotiazine.]
[A02BX03, pirenzepine, Oxcarbazepine may increase the central nervous system depressant (CNS depressant) activities of Pirenzepine.]
[N02AC03, pirinitramide, The risk or severity of adverse effects can be increased when Oxcarbazepine is combined with Piritramide.]
[N02CX01, pizotyline, Oxcarbazepine may increase the central nervous system depressant (CNS depressant) activities of Pizotifen.]
[N05CA22, proxibarbal, The risk or severity of adverse effects can be increased when Oxcarbazepine is combined with Proxibarbal.]
[A03AE01, alosetron, The risk or severity of adverse effects can be increased when Oxcarbazepine is combined with Alosetron.]
[C03AA05, polythiazide, The risk or severity of hyponatremia can be increased when Polythiazide is combined with Oxcarbazepine.]
[J05AE03, ritonavir, The metabolism of Ritonavir can be increased when combined with Oxcarbazepine.]
[A10BH03, saxagliptin, The metabolism of Saxagliptin can be increased when combined with Oxcarbazepine.]
[N05BA11, prazepam, The risk or severity of adverse effects can be increased when Oxcarbazepine is combined with Prazepam.]
[P02BA01, praziquantel, The metabolism of Praziquantel can be increased when combined with Oxcarbazepine.]
[N01BB04, prilocaine, The risk or severity of methemoglobinemia can be increased when Oxcarbazepine is combined with Prilocaine.]
[N03AA03, primidone, The risk or severity of adverse effects can be increased when Oxcarbazepine is combined with Primidone.]
[S01HA05, procaine, The risk or severity of methemoglobinemia can be increased when Oxcarbazepine is combined with Procaine.]
[L01XB01, procarbazine, The risk or severity of adverse effects can be increased when Oxcarbazepine is combined with Procarbazine.]
[C10AB05, fenofibrate, The metabolism of Fenofibrate can be increased when combined with Oxcarbazepine.]
[N05AB04, prochlorperazine, The risk or severity of adverse effects can be increased when Prochlorperazine is combined with Oxcarbazepine.]
[N04AA04, procyclidine, Oxcarbazepine may increase the central nervous system depressant (CNS depressant) activities of Procyclidine.]
[G03DA04, progesterone, The metabolism of Progesterone can be increased when combined with Oxcarbazepine.]
[N05AA03, promazine, Oxcarbazepine may increase the central nervous system depressant (CNS depressant) activities of Promazine.]
[R06AD02, promethazine, Oxcarbazepine may increase the central nervous system depressant (CNS depressant) activities of Promethazine.]
[N01AX04, propanidid, The risk or severity of adverse effects can be increased when Oxcarbazepine is combined with Propanidid.]
[A03AB05, propantheline, Oxcarbazepine may increase the central nervous system depressant (CNS depressant) activities of Propantheline.]
[N05AC01, periciazine, The risk or severity of adverse effects can be increased when Oxcarbazepine is combined with Periciazine.]
[N05CM06, propiomazine, Oxcarbazepine may increase the central nervous system depressant (CNS depressant) activities of Propiomazine.]
[L01XH02, romidepsin, The metabolism of Romidepsin can be increased when combined with Oxcarbazepine.]
[N01AX10, propofol, The risk or severity of adverse effects can be increased when Oxcarbazepine is combined with Propofol.]
[N02AC04, propoxyphene, The risk or severity of adverse effects can be increased when Dextropropoxyphene is combined with Oxcarbazepine.]
[C07AA05, propranolol, The serum concentration of Propranolol can be increased when it is combined with Oxcarbazepine.]
[N02CC04, rizatriptan, The risk or severity of adverse effects can be increased when Oxcarbazepine is combined with Rizatriptan.]
[N06AA11, protriptyline, The risk or severity of adverse effects can be increased when Protriptyline is combined with Oxcarbazepine.]
[N05AX12, aripiprazole, The metabolism of Aripiprazole can be increased when combined with Oxcarbazepine.]
[A03AB15, diphemanil, Oxcarbazepine may increase the central nervous system depressant (CNS depressant) activities of Diphemanil.]
[A03AB09, isopropamide, Oxcarbazepine may increase the central nervous system depressant (CNS depressant) activities of Isopropamide.]
[S01FA03, methscopolamine, Oxcarbazepine may increase the central nervous system depressant (CNS depressant) activities of Methscopolamine.]
[N05CA07, talbutal, The risk or severity of adverse effects can be increased when Talbutal is combined with Oxcarbazepine.]
[N05CA09, vinbarbital, The risk or severity of adverse effects can be increased when Oxcarbazepine is combined with Vinbarbital.]
[N05BB02, captodiamine, The risk or severity of adverse effects can be increased when Oxcarbazepine is combined with Captodiame.]
[M03BA04, styramate, The risk or severity of adverse effects can be increased when Oxcarbazepine is combined with Styramate.]
[P02CC01, pyrantel, The risk or severity of adverse effects can be increased when Oxcarbazepine is combined with Pyrantel.]
[R06AC01, pyrilamine, The risk or severity of adverse effects can be increased when Oxcarbazepine is combined with Mepyramine.]
[P01AX05, quinacrine, The metabolism of Quinacrine can be increased when combined with Oxcarbazepine.]
[C01BA01, quinidine, The metabolism of Quinidine can be increased when combined with Oxcarbazepine.]
[P01BC01, quinine, The risk or severity of adverse effects can be increased when Quinine is combined with Oxcarbazepine.]
[C02AA02, reserpine, The risk or severity of adverse effects can be increased when Reserpine is combined with Oxcarbazepine.]
[N06AX01, 5-hydroxytryptophan, The risk or severity of adverse effects can be increased when Oxcarbazepine is combined with Oxitriptan.]
[S01FA02, scopolamine, Oxcarbazepine may increase the central nervous system depressant (CNS depressant) activities of Scopolamine.]
[N05CA06, secobarbital, The risk or severity of adverse effects can be increased when Secobarbital is combined with Oxcarbazepine.]
[N04BD01, selegiline, Oxcarbazepine may increase the serotonergic activities of Selegiline.]
[L01CD04, cabazitaxel, The metabolism of Cabazitaxel can be increased when combined with Oxcarbazepine.]
[N05CC01, chloral hydrate, The risk or severity of adverse effects can be increased when Oxcarbazepine is combined with Chloral hydrate.]
[N03AG01, valproic acid, The serum concentration of the active metabolites of Oxcarbazepine can be decreased when Oxcarbazepine is used in combination with Valproic acid.]
[D07AB02, hydrocortisone butyrate, The metabolism of Hydrocortisone butyrate can be increased when combined with Oxcarbazepine.]
[D11AX02, gamma-linolenic acid, The therapeutic efficacy of Oxcarbazepine can be decreased when used in combination with Gamolenic acid.]
[R03BB01, ipratropium bromide, Oxcarbazepine may increase the central nervous system depressant (CNS depressant) activities of Ipratropium.]
