[S02DA03, antipyrine, The metabolism of Antipyrine can be decreased when combined with Ciprofloxacin.]
[R03BA03, flunisolide, The risk or severity of tendinopathy can be increased when Flunisolide is combined with Ciprofloxacin.]
[N02BG07, flupirtine, Ciprofloxacin may decrease the excretion rate of Flupirtine which could result in a higher serum level.]
[R03CC15, formoterol, The risk or severity of QTc prolongation can be increased when Formoterol is combined with Ciprofloxacin.]
[A10AF01, insulin, regular, human, The therapeutic efficacy of Insulin human can be increased when used in combination with Ciprofloxacin.]
[L04AA50, ponesimod, The risk or severity of bradycardia can be increased when Ponesimod is combined with Ciprofloxacin.]
[B03AB10, ferric maltol, Ferric maltol can cause a decrease in the absorption of Ciprofloxacin resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[A02BA01, cimetidine, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Cimetidine is combined with Ciprofloxacin.]
[V08CA04, gadoteridol, Ciprofloxacin may decrease the excretion rate of Gadoteridol which could result in a higher serum level.]
[N07CA02, cinnarizine, The metabolism of Cinnarizine can be decreased when combined with Ciprofloxacin.]
[J01MB06, cinoxacin, The risk or severity of QTc prolongation can be increased when Ciprofloxacin is combined with Cinoxacin.]
[L01EN03, infigratinib, The metabolism of Infigratinib can be decreased when combined with Ciprofloxacin.]
[S01AA13, fusidic acid, The metabolism of Fusidic acid can be decreased when combined with Ciprofloxacin.]
[J01MB04, pipemidic acid, The risk or severity of QTc prolongation can be increased when Pipemidic acid is combined with Ciprofloxacin.]
[S02BA08, fluocinolone acetonide, The risk or severity of tendinopathy can be increased when Fluocinolone acetonide is combined with Ciprofloxacin.]
[L01XA01, cisplatin, Ciprofloxacin may decrease the excretion rate of Cisplatin which could result in a higher serum level.]
[N06AB04, citalopram, The risk or severity of QTc prolongation can be increased when Ciprofloxacin is combined with Citalopram.]
[J02AX07, ibrexafungerp, The metabolism of Ibrexafungerp can be decreased when combined with Ciprofloxacin.]
[C03DA05, finerenone, The serum concentration of Finerenone can be increased when it is combined with Ciprofloxacin.]
[L04AA48, belumosudil, The metabolism of Belumosudil can be decreased when combined with Ciprofloxacin.]
[P01CA03, fexinidazole, The risk or severity of adverse effects can be increased when Ciprofloxacin is combined with Fexinidazole.]
[L01EB10, mobocertinib, The risk or severity of QTc prolongation can be increased when Ciprofloxacin is combined with Mobocertinib.]
[L01FX23, tisotumab vedotin, The metabolism of Tisotumab vedotin can be decreased when combined with Ciprofloxacin.]
[N02CD07, atogepant, The metabolism of Atogepant can be decreased when combined with Ciprofloxacin.]
[L04AA59, avacopan, The metabolism of Avacopan can be decreased when combined with Ciprofloxacin.]
[R06AA04, clemastine, The risk or severity of QTc prolongation can be increased when Ciprofloxacin is combined with Clemastine.]
[M01AG01, mefenamic acid, The metabolism of Mefenamic acid can be decreased when combined with Ciprofloxacin.]
[A10BB12, glimepiride, The therapeutic efficacy of Glimepiride can be increased when used in combination with Ciprofloxacin.]
[A10BB08, gliquidone, The therapeutic efficacy of Gliquidone can be increased when used in combination with Ciprofloxacin.]
[J01FF01, clindamycin, The metabolism of Clindamycin can be decreased when combined with Ciprofloxacin.]
[N06AX25, St. John's wort extract, The metabolism of St. John's Wort can be decreased when combined with Ciprofloxacin.]
[L01EA06, asciminib, The metabolism of Asciminib can be decreased when combined with Ciprofloxacin.]
[L02BG06, exemestane, The metabolism of Exemestane can be decreased when combined with Ciprofloxacin.]
[J05AX10, maribavir, The metabolism of Maribavir can be decreased when combined with Ciprofloxacin.]
[J04BA01, clofazimine, The risk or severity of QTc prolongation can be increased when Clofazimine is combined with Ciprofloxacin.]
[C10AB01, clofibrate, The metabolism of Clofibrate can be decreased when combined with Ciprofloxacin.]
[B06AX04, mitapivat, The metabolism of Mitapivat can be decreased when combined with Ciprofloxacin.]
[N01BB10, levobupivacaine, The risk or severity of methemoglobinemia can be increased when Ciprofloxacin is combined with Levobupivacaine.]
[L01EJ03, pacritinib, The serum concentration of Pacritinib can be increased when it is combined with Ciprofloxacin.]
[N06AA04, clomipramine, The metabolism of Clomipramine can be decreased when combined with Ciprofloxacin.]
[N03AE01, clonazepam, The metabolism of Clonazepam can be decreased when combined with Ciprofloxacin.]
[S01EA04, clonidine, The metabolism of Clonidine can be decreased when combined with Ciprofloxacin.]
[C01EB24, mavacamten, The serum concentration of Mavacamten can be increased when it is combined with Ciprofloxacin.]
[J05AH02, oseltamivir, Oseltamivir may decrease the excretion rate of Ciprofloxacin which could result in a higher serum level.]
[A10BX16, tirzepatide, The therapeutic efficacy of Tirzepatide can be increased when used in combination with Ciprofloxacin.]
[C03BA03, clopamide, Clopamide may increase the excretion rate of Ciprofloxacin which could result in a lower serum level and potentially a reduction in efficacy.]
[A02BC08, vonoprazan, The metabolism of Vonoprazan can be decreased when combined with Ciprofloxacin.]
[N05BA21, clotiazepam, The metabolism of Clotiazepam can be decreased when combined with Ciprofloxacin.]
[A04AA01, ondansetron, The metabolism of Ondansetron can be decreased when combined with Ciprofloxacin.]
[A04AA02, granisetron, The risk or severity of QTc prolongation can be increased when Ciprofloxacin is combined with Granisetron.]
[J01CF02, cloxacillin, The serum concentration of Ciprofloxacin can be increased when it is combined with Cloxacillin.]
[N05AH02, clozapine, The serum concentration of Clozapine can be increased when it is combined with Ciprofloxacin.]
[L01EN04, futibatinib, The metabolism of Futibatinib can be decreased when combined with Ciprofloxacin.]
[A10BX01, guar gum, The therapeutic efficacy of Guar gum can be increased when used in combination with Ciprofloxacin.]
[A10BK06, sotagliflozin, The therapeutic efficacy of Sotagliflozin can be increased when used in combination with Ciprofloxacin.]
[J01GB12, arbekacin, Ciprofloxacin may decrease the excretion rate of Arbekacin which could result in a higher serum level.]
[S02DA02, cocaine, The risk or severity of methemoglobinemia can be increased when Ciprofloxacin is combined with Cocaine.]
[M09AX11, palovarotene, The metabolism of Palovarotene can be decreased when combined with Ciprofloxacin.]
[M01AX13, proquazone, Proquazone may increase the neuroexcitatory activities of Ciprofloxacin.]
[R05DA04, codeine, The metabolism of Codeine can be decreased when combined with Ciprofloxacin.]
[J01CA18, hetacillin, The serum concentration of Ciprofloxacin can be increased when it is combined with Hetacillin.]
[M04AC01, colchicine, The metabolism of Colchicine can be decreased when combined with Ciprofloxacin.]
[J01XB01, colistin, Ciprofloxacin may decrease the excretion rate of Colistin which could result in a higher serum level.]
[J01DE02, cefpirome, Cefpirome may decrease the excretion rate of Ciprofloxacin which could result in a higher serum level.]
[L04AA13, leflunomide, The metabolism of Leflunomide can be decreased when combined with Ciprofloxacin.]
[A02AD04, hydrotalcite, Hydrotalcite can cause a decrease in the absorption of Ciprofloxacin resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[N01AB07, desflurane, The risk or severity of QTc prolongation can be increased when Desflurane is combined with Ciprofloxacin.]
[A04AA03, tropisetron, Ciprofloxacin may decrease the excretion rate of Tropisetron which could result in a higher serum level.]
[A10BX03, nateglinide, The therapeutic efficacy of Nateglinide can be increased when used in combination with Ciprofloxacin.]
[N02BA16, imidazole-2-hydroxybenzoate, Imidazole salicylate may increase the neuroexcitatory activities of Ciprofloxacin.]
[H01AC03, mecasermin, The therapeutic efficacy of Mecasermin can be increased when used in combination with Ciprofloxacin.]
[A10AE04, insulin glargine, The therapeutic efficacy of Insulin glargine can be increased when used in combination with Ciprofloxacin.]
[J01FA15, telithromycin, The risk or severity of QTc prolongation can be increased when Ciprofloxacin is combined with Telithromycin.]
[R03BA08, ciclesonide, The risk or severity of tendinopathy can be increased when Ciclesonide is combined with Ciprofloxacin.]
[B01AC10, indobufen, Indobufen may increase the neuroexcitatory activities of Ciprofloxacin.]
[R06AX27, desloratadine, The risk or severity of QTc prolongation can be increased when Ciprofloxacin is combined with Desloratadine.]
[J05AB14, valganciclovir, Ciprofloxacin may decrease the excretion rate of Valganciclovir which could result in a higher serum level.]
[J05AF09, emtricitabine, The excretion of Emtricitabine can be decreased when combined with Ciprofloxacin.]
[C05BB03, invert sugar, Ciprofloxacin may decrease the excretion rate of Invert sugar which could result in a higher serum level.]
[V08AB09, iodixanol, Ciprofloxacin may decrease the excretion rate of Iodixanol which could result in a higher serum level.]
[V08AB05, iopromide, Ciprofloxacin may decrease the excretion rate of Iopromide which could result in a higher serum level.]
[V08AB07, ioversol, Ciprofloxacin may decrease the excretion rate of Ioversol which could result in a higher serum level.]
[V08AB12, ioxilan, Ciprofloxacin may decrease the excretion rate of Ioxilan which could result in a higher serum level.]
[M01AH03, valdecoxib, The metabolism of Valdecoxib can be decreased when combined with Ciprofloxacin.]
[N02CC05, almotriptan, The metabolism of Almotriptan can be decreased when combined with Ciprofloxacin.]
[M01AH04, parecoxib, The metabolism of Parecoxib can be decreased when combined with Ciprofloxacin.]
[J02AC02, itraconazole, The metabolism of Itraconazole can be decreased when combined with Ciprofloxacin.]
[S01AD03, acyclovir, The metabolism of Acyclovir can be decreased when combined with Ciprofloxacin.]
[S01GX06, emedastine, The risk or severity of QTc prolongation can be increased when Ciprofloxacin is combined with Emedastine.]
[N05BA10, ketazolam, The metabolism of Ketazolam can be decreased when combined with Ciprofloxacin.]
[M01AA06, kebuzone, Kebuzone may increase the neuroexcitatory activities of Ciprofloxacin.]
[L01EA01, imatinib, The risk or severity of QTc prolongation can be increased when Ciprofloxacin is combined with Imatinib.]
[J02AC04, posaconazole, The metabolism of Posaconazole can be decreased when combined with Ciprofloxacin.]
[A02BC05, esomeprazole, The metabolism of Esomeprazole can be decreased when combined with Ciprofloxacin.]
[C08CA09, lacidipine, The metabolism of Lacidipine can be decreased when combined with Ciprofloxacin.]
[N03AX09, lamotrigine, The risk or severity of QTc prolongation can be increased when Lamotrigine is combined with Ciprofloxacin.]
[S01GX02, levocabastine, The risk or severity of QTc prolongation can be increased when Levocabastine is combined with Ciprofloxacin.]
[H01CA02, nafarelin, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Ciprofloxacin is combined with Nafarelin.]
[S01BA03, cortisone, The risk or severity of tendinopathy can be increased when Cortisone is combined with Ciprofloxacin.]
[N07BC04, lofexidine, The metabolism of Lofexidine can be decreased when combined with Ciprofloxacin.]
[S01AE04, lomefloxacin, The metabolism of Lomefloxacin can be decreased when combined with Ciprofloxacin.]
[M01AB09, lonazolac, Lonazolac may increase the neuroexcitatory activities of Ciprofloxacin.]
[R06AX13, loratadine, The metabolism of Loratadine can be decreased when combined with Ciprofloxacin.]
[M02AA31, loxoprofen, Loxoprofen may increase the neuroexcitatory activities of Ciprofloxacin.]
[J01DC08, loracarbef, Loracarbef may decrease the excretion rate of Ciprofloxacin which could result in a higher serum level.]
[C09AA03, lisinopril, The risk or severity of hyperkalemia can be increased when Lisinopril is combined with Ciprofloxacin.]
[A02AD02, magaldrate, Magaldrate can cause a decrease in the absorption of Ciprofloxacin resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[A06AD01, magnesium carbonate, Magnesium carbonate can cause a decrease in the absorption of Ciprofloxacin resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[C08CA11, manidipine, The metabolism of Manidipine can be decreased when combined with Ciprofloxacin.]
[A03AA04, mebeverine, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Ciprofloxacin is combined with Mebeverine.]
[H02AB15, meprednisone, The risk or severity of tendinopathy can be increased when Meprednisone is combined with Ciprofloxacin.]
[R06AD07, mequitazine, The risk or severity of QTc prolongation can be increased when Mequitazine is combined with Ciprofloxacin.]
[J01DH02, meropenem, Ciprofloxacin may decrease the excretion rate of Meropenem which could result in a higher serum level.]
[C01EB10, adenosine, The risk or severity of QTc prolongation can be increased when Ciprofloxacin is combined with Adenosine.]
[J01CA14, methampicillin, The serum concentration of Ciprofloxacin can be increased when it is combined with Metampicillin.]
[C04AX01, cyclandelate, The metabolism of Cyclandelate can be decreased when combined with Ciprofloxacin.]
[R06AE03, cyclizine, The risk or severity of QTc prolongation can be increased when Cyclizine is combined with Ciprofloxacin.]
[C03DA04, eplerenone, The metabolism of Eplerenone can be decreased when combined with Ciprofloxacin.]
[N05AD03, metylperon, The risk or severity of QTc prolongation can be increased when Ciprofloxacin is combined with Melperone.]
[C03AA07, cyclopenthiazide, Cyclopenthiazide may increase the excretion rate of Ciprofloxacin which could result in a lower serum level and potentially a reduction in efficacy.]
[J01FA03, midecamycin, The metabolism of Midecamycin can be decreased when combined with Ciprofloxacin.]
[A10BF02, miglitol, The therapeutic efficacy of Miglitol can be increased when used in combination with Ciprofloxacin.]
[J05AF07, tenofovir disoproxil, Tenofovir disoproxil may decrease the excretion rate of Ciprofloxacin which could result in a higher serum level.]
[L01AA01, cyclophosphamide, The metabolism of Cyclophosphamide can be decreased when combined with Ciprofloxacin.]
[S01XA18, cyclosporine, Cyclosporine may increase the nephrotoxic activities of Ciprofloxacin.]
[N06BA07, modafinil, The metabolism of Modafinil can be decreased when combined with Ciprofloxacin.]
[R06AX02, cyproheptadine, The risk or severity of QTc prolongation can be increased when Cyproheptadine is combined with Ciprofloxacin.]
[C09AA13, moexipril, The risk or severity of hyperkalemia can be increased when Moexipril is combined with Ciprofloxacin.]
[C10AA07, rosuvastatin, The metabolism of Rosuvastatin can be decreased when combined with Ciprofloxacin.]
[M02AA02, mofebutazone, Mofebutazone may increase the neuroexcitatory activities of Ciprofloxacin.]
[M01AX22, morniflumate, Morniflumate may increase the neuroexcitatory activities of Ciprofloxacin.]
[C03XA02, conivaptan, The metabolism of Conivaptan can be decreased when combined with Ciprofloxacin.]
[L01BC01, cytarabine, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Ciprofloxacin is combined with Cytarabine.]
[J05AF10, entecavir, The metabolism of Entecavir can be decreased when combined with Ciprofloxacin.]
[G04BE09, vardenafil, The metabolism of Vardenafil can be decreased when combined with Ciprofloxacin.]
[M01AH05, etoricoxib, The metabolism of Etoricoxib can be decreased when combined with Ciprofloxacin.]
[L01AX04, dacarbazine, The metabolism of Dacarbazine can be decreased when combined with Ciprofloxacin.]
[J04BA02, dapsone, The metabolism of Dapsone can be decreased when combined with Ciprofloxacin.]
[A04AD11, nabilone, The metabolism of Nabilone can be decreased when combined with Ciprofloxacin.]
[M01AX01, nabumetone, The metabolism of Nabumetone can be decreased when combined with Ciprofloxacin.]
[N07BB05, nalmefene, Ciprofloxacin may decrease the excretion rate of Nalmefene which could result in a higher serum level.]
[C07AB12, nebivolol, The metabolism of Nebivolol can be decreased when combined with Ciprofloxacin.]
[S01GX04, nedocromil, Ciprofloxacin may decrease the excretion rate of Nedocromil which could result in a higher serum level.]
[N06AX06, nefazodone, The metabolism of Nefazodone can be decreased when combined with Ciprofloxacin.]
[C01DX16, nicorandil, Ciprofloxacin may decrease the excretion rate of Nicorandil which could result in a higher serum level.]
[L02BB02, nilutamide, Ciprofloxacin may decrease the excretion rate of Nilutamide which could result in a higher serum level.]
[N03AG06, tiagabine, The metabolism of Tiagabine can be decreased when combined with Ciprofloxacin.]
[G03DB04, nomegestrol, The metabolism of Nomegestrol can be decreased when combined with Ciprofloxacin.]
[C01CA23, theodrenaline, The serum concentration of Theodrenaline can be increased when it is combined with Ciprofloxacin.]
[M03AC11, cisatracurium, Ciprofloxacin may increase the neuromuscular blocking activities of Cisatracurium.]
[B01AX05, fondaparinux, Ciprofloxacin may decrease the excretion rate of Fondaparinux which could result in a higher serum level.]
[N06AB10, escitalopram, The risk or severity of QTc prolongation can be increased when Ciprofloxacin is combined with Escitalopram.]
[G04BD08, solifenacin, The metabolism of Solifenacin can be decreased when combined with Ciprofloxacin.]
[A07EC03, olsalazine, Olsalazine may increase the neuroexcitatory activities of Ciprofloxacin.]
[N06AA01, desipramine, The risk or severity of QTc prolongation can be increased when Desipramine is combined with Ciprofloxacin.]
[H01BA02, desmopressin, Desmopressin may decrease the excretion rate of Ciprofloxacin which could result in a higher serum level.]
[D07XC02, desoximetasone, The risk or severity of tendinopathy can be increased when Desoximetasone is combined with Ciprofloxacin.]
[H02AA03, desoxycorticosterone, The risk or severity of tendinopathy can be increased when Desoxycortone is combined with Ciprofloxacin.]
[J01DH03, ertapenem, Ertapenem may decrease the excretion rate of Ciprofloxacin which could result in a higher serum level.]
[C09XA02, aliskiren, The metabolism of Aliskiren can be decreased when combined with Ciprofloxacin.]
[L01XA03, oxaliplatin, The risk or severity of QTc prolongation can be increased when Oxaliplatin is combined with Ciprofloxacin.]
[M01AE12, oxaprozin, Oxaprozin may increase the neuroexcitatory activities of Ciprofloxacin.]
[S03BA01, dexamethasone, The risk or severity of tendinopathy can be increased when Dexamethasone is combined with Ciprofloxacin.]
[G04BD04, oxybutynin, The metabolism of Oxybutynin can be decreased when combined with Ciprofloxacin.]
[A08AA04, dexfenfluramine, The metabolism of Dexfenfluramine can be decreased when combined with Ciprofloxacin.]
[L01EB01, gefitinib, The metabolism of Gefitinib can be decreased when combined with Ciprofloxacin.]
[N06BA02, dextroamphetamine, Amphetamine may decrease the excretion rate of Ciprofloxacin which could result in a higher serum level.]
[R05DA09, dextromethorphan, The metabolism of Dextromethorphan can be decreased when combined with Ciprofloxacin.]
[N03AC01, paramethadione, The metabolism of Paramethadione can be decreased when combined with Ciprofloxacin.]
[N06AB05, paroxetine, The metabolism of Paroxetine can be decreased when combined with Ciprofloxacin.]
[B01AC04, clopidogrel, The metabolism of Clopidogrel can be decreased when combined with Ciprofloxacin.]
[C01DA05, pentaerythritol tetranitrate, Ciprofloxacin may decrease the excretion rate of Pentaerythritol tetranitrate which could result in a higher serum level.]
[C04AD01, pentifylline, The serum concentration of Pentifylline can be increased when it is combined with Ciprofloxacin.]
[P03AC04, permethrin, Ciprofloxacin may decrease the excretion rate of Permethrin which could result in a higher serum level.]
[N05BA01, diazepam, The metabolism of Diazepam can be decreased when combined with Ciprofloxacin.]
[J01CE05, phenethicillin, The serum concentration of Ciprofloxacin can be increased when it is combined with Pheneticillin.]
[R02AA19, phenol, The risk or severity of methemoglobinemia can be increased when Ciprofloxacin is combined with Phenol.]
[S02DA04, dibucaine, The risk or severity of methemoglobinemia can be increased when Ciprofloxacin is combined with Cinchocaine.]
[R05DA08, pholcodine, Ciprofloxacin may decrease the excretion rate of Pholcodine which could result in a higher serum level.]
[S01EC02, dichlorphenamide, Diclofenamide may increase the excretion rate of Ciprofloxacin which could result in a lower serum level and potentially a reduction in efficacy.]
[S01BC03, diclofenac, The metabolism of Diclofenac can be decreased when combined with Ciprofloxacin.]
[J01CF01, dicloxacillin, The serum concentration of Ciprofloxacin can be increased when it is combined with Dicloxacillin.]
[J05AD01, foscarnet, The risk or severity of QTc prolongation can be increased when Foscarnet is combined with Ciprofloxacin.]
[A03AA07, dicyclomine, Ciprofloxacin may decrease the excretion rate of Dicyclomine which could result in a higher serum level.]
[J05AF02, didanosine, Didanosine can cause a decrease in the absorption of Ciprofloxacin resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[C02DG01, pinacidil, The metabolism of Pinacidil can be decreased when combined with Ciprofloxacin.]
[A03AX04, pinaverium, The metabolism of Pinaverium can be decreased when combined with Ciprofloxacin.]
[A10BG03, pioglitazone, The therapeutic efficacy of Pioglitazone can be increased when used in combination with Ciprofloxacin.]
[L01DC04, ixabepilone, The metabolism of Ixabepilone can be decreased when combined with Ciprofloxacin.]
[L01EB02, erlotinib, The serum concentration of Erlotinib can be increased when it is combined with Ciprofloxacin.]
[C03CA03, piretanide, Piretanide may increase the excretion rate of Ciprofloxacin which could result in a lower serum level and potentially a reduction in efficacy.]
[L02AA01, diethylstilbestrol, The metabolism of Diethylstilbestrol can be decreased when combined with Ciprofloxacin.]
[C08CA03, isradipine, The metabolism of Isradipine can be decreased when combined with Ciprofloxacin.]
[D07XC04, diflucortolone, The risk or severity of tendinopathy can be increased when Difluocortolone is combined with Ciprofloxacin.]
[N02BA11, diflunisal, Diflunisal may increase the neuroexcitatory activities of Ciprofloxacin.]
[C01AA04, digitoxin, The metabolism of Digitoxin can be decreased when combined with Ciprofloxacin.]
[C01AA05, digoxin, Ciprofloxacin may decrease the excretion rate of Digoxin which could result in a higher serum level.]
[C02DB01, dihydralazine, The metabolism of Dihydralazine can be decreased when combined with Ciprofloxacin.]
[C04AE04, dihydroergocristine, The metabolism of Dihydroergocristine can be decreased when combined with Ciprofloxacin.]
[N02CA01, dihydroergotamine, The metabolism of Dihydroergotamine can be decreased when combined with Ciprofloxacin.]
[N02AA03, hydromorphone, Hydromorphone may decrease the excretion rate of Ciprofloxacin which could result in a higher serum level.]
[L04AX04, lenalidomide, Lenalidomide may decrease the excretion rate of Ciprofloxacin which could result in a higher serum level.]
[J05AE08, atazanavir, The metabolism of Atazanavir can be decreased when combined with Ciprofloxacin.]
[B01AC21, treprostinil, The risk or severity of QTc prolongation can be increased when Treprostinil is combined with Ciprofloxacin.]
[H03BC01, potassium perchlorate, Ciprofloxacin may decrease the excretion rate of Potassium perchlorate which could result in a higher serum level.]
[V03AB04, pralidoxime, Ciprofloxacin may decrease the excretion rate of Pralidoxime which could result in a higher serum level.]
[D04AB07, pramoxine, The risk or severity of methemoglobinemia can be increased when Ciprofloxacin is combined with Pramocaine.]
[C08DB01, diltiazem, The risk or severity of QTc prolongation can be increased when Diltiazem is combined with Ciprofloxacin.]
[R06AA11, dimenhydrinate, The risk or severity of QTc prolongation can be increased when Ciprofloxacin is combined with Dimenhydrinate.]
[V03AB09, dimercaprol, Ciprofloxacin may decrease the excretion rate of Dimercaprol which could result in a higher serum level.]
[M02AX03, dimethyl sulfoxide, Ciprofloxacin may decrease the excretion rate of Dimethyl sulfoxide which could result in a higher serum level.]
[N06BC02, propentofylline, The serum concentration of Propentofylline can be increased when it is combined with Ciprofloxacin.]
[J01CE03, propicillin, The serum concentration of Ciprofloxacin can be increased when it is combined with Propicillin.]
[N02BB04, propyphenazone, Propyphenazone may increase the neuroexcitatory activities of Ciprofloxacin.]
[M01AB14, proglumetacin, Proglumetacin may increase the neuroexcitatory activities of Ciprofloxacin.]
[S01HA04, proparacaine, The risk or severity of methemoglobinemia can be increased when Ciprofloxacin is combined with Proparacaine.]
[R03DA03, proxyphylline, The serum concentration of Proxyphylline can be increased when it is combined with Ciprofloxacin.]
[R06AA02, diphenhydramine, The risk or severity of methemoglobinemia can be increased when Ciprofloxacin is combined with Diphenhydramine.]
[N05CD10, quazepam, The metabolism of Quazepam can be decreased when combined with Ciprofloxacin.]
[C09AA06, quinapril, Quinapril can cause a decrease in the absorption of Ciprofloxacin resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[A03FA02, cisapride, The risk or severity of QTc prolongation can be increased when Ciprofloxacin is combined with Cisapride.]
[C09AA05, ramipril, The risk or severity of hyperkalemia can be increased when Ramipril is combined with Ciprofloxacin.]
[S01XA23, sirolimus, The metabolism of Sirolimus can be decreased when combined with Ciprofloxacin.]
[S01AX06, resorcinol, Ciprofloxacin may decrease the excretion rate of Resorcinol which could result in a higher serum level.]
[C01BA03, disopyramide, The risk or severity of QTc prolongation can be increased when Ciprofloxacin is combined with Disopyramide.]
[P03AA04, disulfiram, The metabolism of Disulfiram can be decreased when combined with Ciprofloxacin.]
[S02AA12, rifamycin SV, The excretion of Ciprofloxacin can be decreased when combined with Rifamycin.]
[J04AB05, rifapentine, The metabolism of Rifapentine can be decreased when combined with Ciprofloxacin.]
[N07XX02, riluzole, The metabolism of Riluzole can be decreased when combined with Ciprofloxacin.]
[N05AX08, risperidone, The metabolism of Risperidone can be decreased when combined with Ciprofloxacin.]
[R06AE09, levocetirizine, The metabolism of Levocetirizine can be decreased when combined with Ciprofloxacin.]
[N01BB09, ropivacaine, The risk or severity of methemoglobinemia can be increased when Ciprofloxacin is combined with Ropivacaine.]
[J01MB01, rosoxacin, The risk or severity of QTc prolongation can be increased when Rosoxacin is combined with Ciprofloxacin.]
[L01EX01, sunitinib, The metabolism of Sunitinib can be decreased when combined with Ciprofloxacin.]
[A04AD12, aprepitant, The metabolism of Aprepitant can be decreased when combined with Ciprofloxacin.]
[C03XA01, tolvaptan, The metabolism of Tolvaptan can be decreased when combined with Ciprofloxacin.]
[L01XG01, bortezomib, The metabolism of Bortezomib can be decreased when combined with Ciprofloxacin.]
[J05AE07, fosamprenavir, The metabolism of Fosamprenavir can be decreased when combined with Ciprofloxacin.]
[G04BE08, tadalafil, The metabolism of Tadalafil can be decreased when combined with Ciprofloxacin.]
[S01BC05, ketorolac, Ketorolac may increase the neuroexcitatory activities of Ciprofloxacin.]
[C02KX02, ambrisentan, The metabolism of Ambrisentan can be decreased when combined with Ciprofloxacin.]
[C01EB18, ranolazine, The metabolism of Ranolazine can be decreased when combined with Ciprofloxacin.]
[N02BA06, salsalate, Salsalate may increase the neuroexcitatory activities of Ciprofloxacin.]
[R03AC12, salmeterol, The metabolism of Salmeterol can be decreased when combined with Ciprofloxacin.]
[H05BA01, salmon calcitonin, Salmon calcitonin may decrease the excretion rate of Ciprofloxacin which could result in a higher serum level.]
[C01CA07, dobutamine, Ciprofloxacin may decrease the excretion rate of Dobutamine which could result in a higher serum level.]
[A03FA03, domperidone, The risk or severity of QTc prolongation can be increased when Ciprofloxacin is combined with Domperidone.]
[C01CA04, dopamine, Ciprofloxacin may decrease the excretion rate of Dopamine which could result in a higher serum level.]
[N06AA16, dothiepin, The risk or severity of QTc prolongation can be increased when Dosulepin is combined with Ciprofloxacin.]
[N06AA12, doxepin, The metabolism of Doxepin can be decreased when combined with Ciprofloxacin.]
[L01DB01, doxorubicin, The metabolism of Doxorubicin can be decreased when combined with Ciprofloxacin.]
[J01AA02, doxycycline, Doxycycline may decrease the excretion rate of Ciprofloxacin which could result in a higher serum level.]
[R06AA09, doxylamine, The risk or severity of QTc prolongation can be increased when Doxylamine is combined with Ciprofloxacin.]
[N06AB06, sertraline, The metabolism of Sertraline can be decreased when combined with Ciprofloxacin.]
[N01AB08, sevoflurane, The risk or severity of QTc prolongation can be increased when Sevoflurane is combined with Ciprofloxacin.]
[N05AD08, droperidol, The risk or severity of QTc prolongation can be increased when Droperidol is combined with Ciprofloxacin.]
[A08AA10, sibutramine, The metabolism of Sibutramine can be decreased when combined with Ciprofloxacin.]
[C10AA01, simvastatin, The metabolism of Simvastatin can be decreased when combined with Ciprofloxacin.]
[B05XA02, sodium bicarbonate, Sodium bicarbonate can cause a decrease in the absorption of Ciprofloxacin resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[A12CA02, sodium sulfate, Ciprofloxacin may decrease the excretion rate of Sodium sulfate which could result in a higher serum level.]
[C09AA11, spirapril, The risk or severity of hyperkalemia can be increased when Spirapril is combined with Ciprofloxacin.]
[G03DB01, dydrogesterone, The metabolism of Dydrogesterone can be decreased when combined with Ciprofloxacin.]
[R03DA01, dyphylline, The serum concentration of Dyphylline can be increased when it is combined with Ciprofloxacin.]
[N05AL02, sultopride, The risk or severity of QTc prolongation can be increased when Ciprofloxacin is combined with Sultopride.]
[N02CC01, sumatriptan, Ciprofloxacin may decrease the excretion rate of Sumatriptan which could result in a higher serum level.]
[V04CX07, edrophonium, Ciprofloxacin may decrease the excretion rate of Edrophonium which could result in a higher serum level.]
[C07AB13, talinolol, The risk or severity of QTc prolongation can be increased when Talinolol is combined with Ciprofloxacin.]
[H01AA01, corticotropin, The risk or severity of tendinopathy can be increased when Corticotropin is combined with Ciprofloxacin.]
[J01MA05, temafloxacin, The risk or severity of QTc prolongation can be increased when Ciprofloxacin is combined with Temafloxacin.]
[J01CA17, temocillin, The serum concentration of Ciprofloxacin can be increased when it is combined with Temocillin.]
[L01AX03, temozolomide, Ciprofloxacin may decrease the excretion rate of Temozolomide which could result in a higher serum level.]
[M01AC02, tenoxicam, Tenoxicam may increase the neuroexcitatory activities of Ciprofloxacin.]
[D01BA02, terbinafine, The metabolism of Terbinafine can be decreased when combined with Ciprofloxacin.]
