[S02DA03, antipyrine, The metabolism of Antipyrine can be decreased when combined with Felodipine.]
[M01AC02, tenoxicam, The therapeutic efficacy of Felodipine can be decreased when used in combination with Tenoxicam.]
[G04CA03, terazosin, The risk or severity of hypotension can be increased when Terazosin is combined with Felodipine.]
[D01BA02, terbinafine, The metabolism of Terbinafine can be decreased when combined with Felodipine.]
[G04BD05, terodiline, Felodipine may increase the arrhythmogenic activities of Terodiline.]
[C07AA16, tertatolol, Felodipine may increase the arrhythmogenic activities of Tertatolol.]
[S01GA02, tetrahydrozoline, Tetryzoline may decrease the antihypertensive activities of Felodipine.]
[N06AX14, tianeptine, Tianeptine may decrease the antihypertensive activities of Felodipine.]
[M01AG02, tolfenamic acid, The therapeutic efficacy of Felodipine can be decreased when used in combination with Tolfenamic acid.]
[N06AG03, toloxatone, Toloxatone may increase the hypotensive activities of Felodipine.]
[N06BA09, atomoxetine, The metabolism of Atomoxetine can be decreased when combined with Felodipine.]
[L02BA02, toremifene, The risk or severity of QTc prolongation can be increased when Felodipine is combined with Toremifene.]
[C03CA04, torsemide, The metabolism of Torasemide can be decreased when combined with Felodipine.]
[R01AA09, tramazoline, Tramazoline may decrease the antihypertensive activities of Felodipine.]
[C09AA10, trandolapril, Trandolapril may increase the hypotensive activities of Felodipine.]
[L02AE04, triptorelin, The risk or severity of QTc prolongation can be increased when Felodipine is combined with Triptorelin.]
[R03CC11, tulobuterol, Tulobuterol may decrease the antihypertensive activities of Felodipine.]
[C02CA06, urapidil, The risk or severity of hypotension can be increased when Urapidil is combined with Felodipine.]
[J01MA04, enoxacin, The risk or severity of QTc prolongation can be increased when Enoxacin is combined with Felodipine.]
[S01FB02, ephedrine, Ephedrine may decrease the antihypertensive activities of Felodipine.]
[S01GX10, epinastine, The risk or severity of QTc prolongation can be increased when Epinastine is combined with Felodipine.]
[N06AX16, venlafaxine, The metabolism of Venlafaxine can be decreased when combined with Felodipine.]
[C01CX07, xamoterol, Xamoterol may decrease the antihypertensive activities of Felodipine.]
[S01GA03, xylometazoline, Felodipine may increase the arrhythmogenic activities of Xylometazoline.]
[C08CA12, mepirodipine, Felodipine may increase the antihypertensive activities of Barnidipine.]
[S01EA01, epinephrine, Epinephrine may decrease the antihypertensive activities of Felodipine.]
[C09AA15, zofenopril, Felodipine may increase the hypotensive activities of Zofenopril.]
[N05CF02, zolpidem, The metabolism of Zolpidem can be decreased when combined with Felodipine.]
[M01AB04, zomepirac, The therapeutic efficacy of Felodipine can be decreased when used in combination with Zomepirac.]
[N03AX15, zonisamide, Zonisamide may increase the arrhythmogenic activities of Felodipine.]
[A10AB06, insulin glulisine, human, The risk or severity of hypoglycemia can be increased when Felodipine is combined with Insulin glulisine.]
[N05CF01, zopiclone, The metabolism of Zopiclone can be decreased when combined with Felodipine.]
[C02AC02, guanfacine, Guanfacine may decrease the antihypertensive activities of Felodipine.]
[B01AC11, iloprost, Iloprost may increase the hypotensive activities of Felodipine.]
[C01BG01, moricizine, Moricizine may increase the arrhythmogenic activities of Felodipine.]
[G02AB03, ergonovine, Ergometrine may decrease the antihypertensive activities of Felodipine.]
[C04AE01, ergoloid mesylates, USP, Ergoloid mesylate may decrease the antihypertensive activities of Felodipine.]
[N02CA02, ergotamine, The metabolism of Felodipine can be decreased when combined with Ergotamine.]
[N03AG01, valproic acid, The risk or severity of QTc prolongation can be increased when Felodipine is combined with Valproic acid.]
[C01DA13, erythrityl tetranitrate, Felodipine may increase the vasodilatory activities of Erythrityl tetranitrate.]
[S01AA17, erythromycin, Erythromycin may decrease the excretion rate of Felodipine which could result in a higher serum level.]
[G03CA03, estradiol, The metabolism of Estradiol can be decreased when combined with Felodipine.]
[R03BA05, fluticasone, The metabolism of Felodipine can be decreased when combined with Fluticasone.]
[C10AA04, fluvastatin, The metabolism of Fluvastatin can be decreased when combined with Felodipine.]
[C01CA15, gepefrine, Gepefrine may decrease the antihypertensive activities of Felodipine.]
[L02AA03, ethinyl estradiol, The metabolism of Ethinylestradiol can be decreased when combined with Felodipine.]
[V03AF05, amifostine, Felodipine may increase the hypotensive activities of Amifostine.]
[C01BD05, ibutilide, Ibutilide may increase the arrhythmogenic activities of Felodipine.]
[N03AD01, ethosuximide, Ethosuximide may increase the arrhythmogenic activities of Felodipine.]
[M01AC06, meloxicam, The therapeutic efficacy of Felodipine can be decreased when used in combination with Meloxicam.]
[S01XA06, ethylmorphine, The metabolism of Ethylmorphine can be decreased when combined with Felodipine.]
[C01CA01, etilefrine, Etilefrine may decrease the antihypertensive activities of Felodipine.]
[N01AX07, etomidate, Etomidate may decrease the antihypertensive activities of Felodipine.]
[L01CB01, etoposide, The metabolism of Etoposide can be decreased when combined with Felodipine.]
[N05AE03, sertindole, The metabolism of Sertindole can be decreased when combined with Felodipine.]
[C01BA05, ajmaline, Felodipine may increase the arrhythmogenic activities of Ajmaline.]
[L04AD02, tacrolimus, Felodipine may increase the immunosuppressive activities of Tacrolimus.]
[J01MA08, fleroxacin, The risk or severity of QTc prolongation can be increased when Felodipine is combined with Fleroxacin.]
[R06AX11, astemizole, The metabolism of Astemizole can be decreased when combined with Felodipine.]
[R06AX12, terfenadine, The metabolism of Felodipine can be decreased when combined with Terfenadine.]
[N06AX12, bupropion, The metabolism of Bupropion can be decreased when combined with Felodipine.]
[N06AB08, fluvoxamine, The metabolism of Felodipine can be decreased when combined with Fluvoxamine.]
[C01BB03, tocainide, Felodipine may increase the arrhythmogenic activities of Tocainide.]
[C01BC08, encainide, Felodipine may increase the arrhythmogenic activities of Encainide.]
[L02AE02, leuprolide, The risk or severity of QTc prolongation can be increased when Felodipine is combined with Leuprolide.]
[C10AA03, pravastatin, Pravastatin may decrease the excretion rate of Felodipine which could result in a higher serum level.]
[D11AX24, deoxycholic acid, Deoxycholic acid may increase the excretion rate of Felodipine which could result in a lower serum level and potentially a reduction in efficacy.]
[A02BA03, famotidine, The risk or severity of QTc prolongation can be increased when Famotidine is combined with Felodipine.]
[S01AA13, fusidic acid, Fusidic acid may decrease the excretion rate of Felodipine which could result in a higher serum level.]
[J01MB04, pipemidic acid, The risk or severity of QTc prolongation can be increased when Felodipine is combined with Pipemidic acid.]
[M01AG01, mefenamic acid, The therapeutic efficacy of Felodipine can be decreased when used in combination with Mefenamic acid.]
[C01DA05, pentaerythritol tetranitrate, Felodipine may increase the vasodilatory activities of Pentaerythritol tetranitrate.]
[R03BA09, fluticasone furoate, The metabolism of Felodipine can be decreased when combined with Fluticasone furoate.]
[C08EA01, fendiline, Felodipine may increase the arrhythmogenic activities of Fendiline.]
[N03AX26, fenfluramine, The metabolism of Fenfluramine can be decreased when combined with Felodipine.]
[M01AE04, fenoprofen, The therapeutic efficacy of Felodipine can be decreased when used in combination with Fenoprofen.]
[R03CC04, fenoterol, Fenoterol may decrease the antihypertensive activities of Felodipine.]
[N02AB03, fentanyl, Fentanyl may decrease the antihypertensive activities of Felodipine.]
[R03CC02, albuterol, The risk or severity of QTc prolongation can be increased when Salbutamol is combined with Felodipine.]
[L01BB06, clofarabine, The risk or severity of adverse effects can be increased when Clofarabine is combined with Felodipine.]
[N07AX03, cevimeline, The metabolism of Cevimeline can be decreased when combined with Felodipine.]
[C01BC04, flecainide, Felodipine may increase the arrhythmogenic activities of Flecainide.]
[N02BG04, floctafenine, The therapeutic efficacy of Felodipine can be decreased when used in combination with Floctafenine.]
[J01CF05, floxacillin, Flucloxacillin may decrease the excretion rate of Felodipine which could result in a higher serum level.]
[J02AC01, fluconazole, The metabolism of Felodipine can be decreased when combined with Fluconazole.]
[N07CA03, flunarizine, Felodipine may increase the arrhythmogenic activities of Flunarizine.]
[N05CD03, flunitrazepam, The metabolism of Flunitrazepam can be decreased when combined with Felodipine.]
[D07AC08, fluocinonide, The metabolism of Felodipine can be increased when combined with Fluocinonide.]
[N06AA14, melitracen, Melitracen may decrease the antihypertensive activities of Felodipine.]
[H02AB03, fluocortolone, The metabolism of Felodipine can be increased when combined with Fluocortolone.]
[V03AZ01, ethanol, Ethanol may increase the hypotensive activities of Felodipine.]
[L01BC02, fluorouracil, The metabolism of Fluorouracil can be decreased when combined with Felodipine.]
[N06AB03, fluoxetine, The risk or severity of QTc prolongation can be increased when Fluoxetine is combined with Felodipine.]
[N05AF01, flupenthixol, The risk or severity of hypotension can be increased when Flupentixol is combined with Felodipine.]
[S01BC04, flurbiprofen, The therapeutic efficacy of Felodipine can be decreased when used in combination with Flurbiprofen.]
[N05AG01, fluspirilene, Felodipine may increase the arrhythmogenic activities of Fluspirilene.]
[L02BB01, flutamide, The metabolism of Felodipine can be decreased when combined with Flutamide.]
[L01BC03, tegafur, The metabolism of Tegafur can be decreased when combined with Felodipine.]
[N06BX17, adrafinil, Adrafinil may decrease the antihypertensive activities of Felodipine.]
[M03AA01, alcuronium, Felodipine may increase the neuromuscular blocking activities of Alcuronium.]
[G01AX06, furazolidone, Furazolidone may increase the hypotensive activities of Felodipine.]
[J05AE10, darunavir, The serum concentration of Felodipine can be increased when it is combined with Darunavir.]
[C03CA01, furosemide, Furosemide may increase the hypotensive activities of Felodipine.]
[N05CF04, eszopiclone, The metabolism of Eszopiclone can be decreased when combined with Felodipine.]
[N05AL05, amisulpride, The risk or severity of QTc prolongation can be increased when Felodipine is combined with Amisulpride.]
[N06DA04, galantamine, The risk or severity of QTc prolongation can be increased when Galantamine is combined with Felodipine.]
[M03AC02, gallamine, Felodipine may increase the neuromuscular blocking activities of Gallamine.]
[C08DA02, gallopamil, Felodipine may increase the arrhythmogenic activities of Gallopamil.]
[N03AA04, barbexaclone, Barbexaclone may increase the hypotensive activities of Felodipine.]
[J01XA03, telavancin, The risk or severity of QTc prolongation can be increased when Felodipine is combined with Telavancin.]
[L02BX02, degarelix, The risk or severity of QTc prolongation can be increased when Felodipine is combined with Degarelix.]
[L01EA02, dasatinib, The metabolism of Dasatinib can be decreased when combined with Felodipine.]
[N04BC06, cabergoline, Cabergoline may decrease the antihypertensive activities of Felodipine.]
[A10BJ02, liraglutide, The risk or severity of hypoglycemia can be increased when Felodipine is combined with Liraglutide.]
[J05AG04, etravirine, The metabolism of Etravirine can be decreased when combined with Felodipine.]
[A12AA10, calcium gluceptate, The therapeutic efficacy of Felodipine can be decreased when used in combination with Calcium glucoheptonate.]
[A12AA30, calcium levulinate, The therapeutic efficacy of Felodipine can be decreased when used in combination with Calcium levulinate.]
[N03AD03, methsuximide, Felodipine may increase the arrhythmogenic activities of Methsuximide.]
[N01AH02, alfentanil, Alfentanil may decrease the antihypertensive activities of Felodipine.]
[L01EH01, lapatinib, The metabolism of Lapatinib can be decreased when combined with Felodipine.]
[A10BB01, glyburide, Glyburide may decrease the excretion rate of Felodipine which could result in a higher serum level.]
[A10BB09, gliclazide, The metabolism of Gliclazide can be decreased when combined with Felodipine.]
[A10BB07, glipizide, Felodipine may decrease the excretion rate of Glipizide which could result in a higher serum level.]
[N05CM18, dexmedetomidine, Dexmedetomidine may decrease the antihypertensive activities of Felodipine.]
[A06AX01, glycerin, The therapeutic efficacy of Glycerin can be decreased when used in combination with Felodipine.]
[C05AE01, nitroglycerin, Felodipine may increase the vasodilatory activities of Nitroglycerin.]
[C01BD04, dofetilide, Dofetilide may increase the arrhythmogenic activities of Felodipine.]
[C02CA04, doxazosin, The risk or severity of hypotension can be increased when Doxazosin is combined with Felodipine.]
[L01EX02, sorafenib, The metabolism of Sorafenib can be decreased when combined with Felodipine.]
[C07AB09, esmolol, Esmolol may increase the arrhythmogenic activities of Felodipine.]
[B01AA12, fluindione, The metabolism of Fluindione can be decreased when combined with Felodipine.]
[C09AA09, fosinopril, Fosinopril may increase the hypotensive activities of Felodipine.]
[S01EX01, guanethidine, Felodipine may increase the hypotensive activities of Guanethidine.]
[L02AE03, goserelin, The risk or severity of QTc prolongation can be increased when Felodipine is combined with Goserelin.]
[P01BX01, halofantrine, The metabolism of Halofantrine can be decreased when combined with Felodipine.]
[N05AD01, haloperidol, The risk or severity of QTc prolongation can be increased when Felodipine is combined with Haloperidol.]
[N01AB01, halothane, The metabolism of Halothane can be decreased when combined with Felodipine.]
[L02AE05, histrelin, The risk or severity of QTc prolongation can be increased when Felodipine is combined with Histrelin.]
[N05AH04, quetiapine, Quetiapine may increase the hypotensive activities of Felodipine.]
[A10AD05, insulin aspart, human, The risk or severity of hypoglycemia can be increased when Felodipine is combined with Insulin aspart.]
[L01CE02, irinotecan, The metabolism of Felodipine can be decreased when combined with Irinotecan.]
[C09CA01, losartan, Losartan may increase the arrhythmogenic activities of Felodipine.]
[S01XA14, heparin, The risk or severity of hyperkalemia can be increased when Felodipine is combined with Heparin.]
[B05CB03, magnesium citrate, The risk or severity of hypotension can be increased when Magnesium citrate is combined with Felodipine.]
[A12CC03, magnesium gluconate, The risk or severity of hypotension can be increased when Magnesium gluconate is combined with Felodipine.]
[A07EC02, mesalamine, The therapeutic efficacy of Felodipine can be decreased when used in combination with Mesalazine.]
[A12CD02, sodium monofluorophosphate, The therapeutic efficacy of Sodium fluorophosphate can be decreased when used in combination with Felodipine.]
[N05CA16, hexobarbital, Hexobarbital may increase the hypotensive activities of Felodipine.]
[R03CC05, hexoprenaline, Hexoprenaline may decrease the antihypertensive activities of Felodipine.]
[J05AG01, nevirapine, The metabolism of Nevirapine can be decreased when combined with Felodipine.]
[C08CA10, nilvadipine, Felodipine may increase the arrhythmogenic activities of Nilvadipine.]
[M02AA26, nimesulide, Felodipine may increase the arrhythmogenic activities of Nimesulide.]
[R06AE06, oxatomide, The risk or severity of QTc prolongation can be increased when Felodipine is combined with Oxatomide.]
[C09AA04, perindopril, Perindopril may increase the hypotensive activities of Felodipine.]
[C02DB02, hydralazine, Felodipine may increase the hypotensive activities of Hydralazine.]
[C03AA03, hydrochlorothiazide, The therapeutic efficacy of Felodipine can be increased when used in combination with Hydrochlorothiazide.]
[R05DA03, hydrocodone, The metabolism of Hydrocodone can be decreased when combined with Felodipine.]
[S02BA01, hydrocortisone, The metabolism of Felodipine can be decreased when combined with Hydrocortisone.]
[C03AA02, hydroflumethiazide, The therapeutic efficacy of Felodipine can be increased when used in combination with Hydroflumethiazide.]
[B05XA17, potassium acetate, Potassium acetate may increase the hyperkalemic activities of Felodipine.]
[S01XA07, aluminum potassium sulfate, Potassium alum may increase the hyperkalemic activities of Felodipine.]
[A12BA02, potassium citrate, Potassium citrate may increase the hyperkalemic activities of Felodipine.]
[G04BD06, propiverine, The risk or severity of hypotension can be increased when Propiverine is combined with Felodipine.]
[P01BA02, hydroxychloroquine, The metabolism of Hydroxychloroquine can be decreased when combined with Felodipine.]
[N05BB01, hydroxyzine, The risk or severity of QTc prolongation can be increased when Felodipine is combined with Hydroxyzine.]
[C02AC06, rilmenidine, Rilmenidine may decrease the antihypertensive activities of Felodipine.]
[R02AX02, ibuprofen, The metabolism of Ibuprofen can be decreased when combined with Felodipine.]
[L01DB06, idarubicin, The metabolism of Idarubicin can be decreased when combined with Felodipine.]
[A06AD21, sodium tartrate, The therapeutic efficacy of Sodium tartrate can be decreased when used in combination with Felodipine.]
[L01AA06, ifosfamide, The metabolism of Ifosfamide can be decreased when combined with Felodipine.]
[N01AH03, sufentanil, Sufentanil may decrease the antihypertensive activities of Felodipine.]
[N06AA02, imipramine, The metabolism of Imipramine can be decreased when combined with Felodipine.]
[L01CD01, paclitaxel, The metabolism of Paclitaxel can be decreased when combined with Felodipine.]
[H01BA04, terlipressin, The risk or severity of QTc prolongation can be increased when Felodipine is combined with Terlipressin.]
[M03BX02, tizanidine, The risk or severity of QTc prolongation can be increased when Tizanidine is combined with Felodipine.]
[C03BA11, indapamide, The therapeutic efficacy of Indapamide can be increased when used in combination with Felodipine.]
[S01BC01, indomethacin, The therapeutic efficacy of Felodipine can be decreased when used in combination with Indomethacin.]
[C02CA02, indoramin, The risk or severity of hypotension can be increased when Indoramin is combined with Felodipine.]
[N06AX17, milnacipran, The metabolism of Felodipine can be decreased when combined with Milnacipran.]
[A10BH01, sitagliptin, The metabolism of Sitagliptin can be decreased when combined with Felodipine.]
[N05BA12, alprazolam, The metabolism of Felodipine can be decreased when combined with Alprazolam.]
[N05CH02, ramelteon, The metabolism of Ramelteon can be decreased when combined with Felodipine.]
[R06AE01, buclizine, The risk or severity of QTc prolongation can be increased when Buclizine is combined with Felodipine.]
[A10BH02, vildagliptin, The risk or severity of hypoglycemia can be increased when Felodipine is combined with Vildagliptin.]
[C10AA06, cerivastatin, The metabolism of Cerivastatin can be decreased when combined with Felodipine.]
[L01XX35, anagrelide, The risk or severity of QTc prolongation can be increased when Felodipine is combined with Anagrelide.]
[C07AA01, alprenolol, Alprenolol may increase the arrhythmogenic activities of Felodipine.]
[V03AB01, ipecac, The metabolism of Ipecac can be decreased when combined with Felodipine.]
[N06AA13, iprindole, Iprindole may decrease the antihypertensive activities of Felodipine.]
[N06AF05, iproniazid, Iproniazid may increase the hypotensive activities of Felodipine.]
[N06AF01, isocarboxazid, Isocarboxazid may increase the hypotensive activities of Felodipine.]
[S01EC03, dorzolamide, Dorzolamide may increase the hypotensive activities of Felodipine.]
[R03CC06, isoetharine, Isoetharine may decrease the antihypertensive activities of Felodipine.]
[C09AA16, imidapril, Felodipine may increase the hypotensive activities of Imidapril.]
[N01AB06, isoflurane, The risk or severity of QTc prolongation can be increased when Isoflurane is combined with Felodipine.]
[J04AC01, isoniazid, The metabolism of Felodipine can be decreased when combined with Isoniazid.]
[R03CB01, isoproterenol, Isoprenaline may decrease the antihypertensive activities of Felodipine.]
[A10BJ01, exenatide, The risk or severity of hypoglycemia can be increased when Felodipine is combined with Exenatide.]
[C05AE02, isosorbide dinitrate, Felodipine may increase the vasodilatory activities of Isosorbide dinitrate.]
[C04AA01, isoxsuprine, Isoxsuprine may decrease the antihypertensive activities of Felodipine.]
[L04AC07, tocilizumab, The metabolism of Felodipine can be increased when combined with Tocilizumab.]
[N01AX03, ketamine, The metabolism of Ketamine can be decreased when combined with Felodipine.]
[C02KD01, ketanserin, Felodipine may increase the hypotensive activities of Ketanserin.]
[B01AC22, prasugrel, The metabolism of Prasugrel can be decreased when combined with Felodipine.]
[J02AB02, ketoconazole, The metabolism of Felodipine can be decreased when combined with Ketoconazole.]
[N05AH03, olanzapine, The risk or severity of hypotension can be increased when Olanzapine is combined with Felodipine.]
[M02AA10, ketoprofen, The therapeutic efficacy of Felodipine can be decreased when used in combination with Ketoprofen.]
[L04AA24, abatacept, The metabolism of Felodipine can be increased when combined with Abatacept.]
[R06AX25, mizolastine, The risk or severity of QTc prolongation can be increased when Felodipine is combined with Mizolastine.]
[C01CA22, arbutamine, Arbutamine may decrease the antihypertensive activities of Felodipine.]
[N04BC09, rotigotine, The metabolism of Rotigotine can be decreased when combined with Felodipine.]
[J01MB02, nalidixic acid, The risk or severity of QTc prolongation can be increased when Felodipine is combined with Nalidixic acid.]
[C07AG01, labetalol, The risk or severity of bradycardia can be increased when Felodipine is combined with Labetalol.]
[N04BB01, amantadine, The risk or severity of QTc prolongation can be increased when Amantadine is combined with Felodipine.]
[C02AA05, deserpidine, Felodipine may increase the hypotensive activities of Deserpidine.]
[A06AD11, lactulose, The therapeutic efficacy of Lactulose can be decreased when used in combination with Felodipine.]
[A06AX03, lubiprostone, The therapeutic efficacy of Lubiprostone can be decreased when used in combination with Felodipine.]
[N03AX18, lacosamide, The metabolism of Lacosamide can be decreased when combined with Felodipine.]
[G03AD01, levonorgestrel, The metabolism of Felodipine can be decreased when combined with Levonorgestrel.]
[N04BA01, levodopa, The risk or severity of hypotension and orthostatic hypotension can be increased when Felodipine is combined with Levodopa.]
[S02DA01, lidocaine, Lidocaine may increase the arrhythmogenic activities of Felodipine.]
[C08EX01, lidoflazine, Felodipine may increase the arrhythmogenic activities of Lidoflazine.]
[N06BA13, armodafinil, The metabolism of Felodipine can be increased when combined with Armodafinil.]
[C03DB01, amiloride, The risk or severity of adverse effects can be increased when Amiloride is combined with Felodipine.]
[N02CA07, lisuride, The metabolism of Lisuride can be decreased when combined with Felodipine.]
[N06AA07, lofepramine, Lofepramine may decrease the antihypertensive activities of Felodipine.]
[A07DA03, loperamide, The metabolism of Loperamide can be decreased when combined with Felodipine.]
[C10AA02, lovastatin, The metabolism of Lovastatin can be decreased when combined with Felodipine.]
[G03DC03, lynestrenol, The metabolism of Lynestrenol can be decreased when combined with Felodipine.]
[L01EG01, temsirolimus, The metabolism of Temsirolimus can be decreased when combined with Felodipine.]
[B05XA11, magnesium chloride, The risk or severity of hypotension can be increased when Magnesium chloride is combined with Felodipine.]
[G04BX01, magnesium hydroxide, The risk or severity of hypotension can be increased when Magnesium hydroxide is combined with Felodipine.]
[A12CC10, magnesium oxide, The risk or severity of hypotension can be increased when Magnesium oxide is combined with Felodipine.]
[V04CC02, magnesium sulfate, Magnesium sulfate may increase the arrhythmogenic activities of Felodipine.]
[L01EA03, nilotinib, The metabolism of Felodipine can be decreased when combined with Nilotinib.]
[V04CX04, mannitol, The risk or severity of adverse effects can be increased when Mannitol is combined with Felodipine.]
[N06AA21, maprotiline, The risk or severity of QTc prolongation can be increased when Maprotiline is combined with Felodipine.]
[C02BB01, mecamylamine, Mecamylamine may increase the hypotensive activities of Felodipine.]
[R06AE05, meclizine, The metabolism of Meclizine can be decreased when combined with Felodipine.]
[M02AA18, meclofenamic acid, The therapeutic efficacy of Felodipine can be decreased when used in combination with Meclofenamic acid.]
[C01AA08, medigoxin, Felodipine may increase the arrhythmogenic activities of Metildigoxin.]
[A06AB07, cascara sagrada, The therapeutic efficacy of Frangula purshiana bark can be decreased when used in combination with Felodipine.]
[P01BC02, mefloquine, The risk or severity of QTc prolongation can be increased when Mefloquine is combined with Felodipine.]
[B01AB06, nadroparin, The risk or severity of hyperkalemia can be increased when Felodipine is combined with Nadroparin.]
[B01AB05, enoxaparin, The risk or severity of hyperkalemia can be increased when Felodipine is combined with Enoxaparin.]
[B01AB04, dalteparin, The risk or severity of hyperkalemia can be increased when Felodipine is combined with Dalteparin.]
[N05CH01, melatonin, The therapeutic efficacy of Felodipine can be decreased when used in combination with Melatonin.]
[C01CA11, mephentermine, Mephentermine may decrease the antihypertensive activities of Felodipine.]
[N03AB04, mephenytoin, The metabolism of Mephenytoin can be decreased when combined with Felodipine.]
[N03AA01, mephobarbital, Methylphenobarbital may increase the hypotensive activities of Felodipine.]
[N05AC03, mesoridazine, The metabolism of Mesoridazine can be decreased when combined with Felodipine.]
[N05AX13, paliperidone, The risk or severity of hypotension can be increased when Paliperidone is combined with Felodipine.]
[C01CA09, metaraminol, Metaraminol may decrease the antihypertensive activities of Felodipine.]
[A10BA02, metformin, The risk or severity of hypoglycemia can be increased when Felodipine is combined with Metformin.]
[A04AA04, dolasetron, The metabolism of Dolasetron can be decreased when combined with Felodipine.]
[H01CB03, lanreotide, Felodipine may increase the bradycardic activities of Lanreotide.]
[N07BC02, methadone, The metabolism of Methadone can be decreased when combined with Felodipine.]
[N06BA03, methamphetamine, The metabolism of Metamfetamine can be decreased when combined with Felodipine.]
[S01EC05, methazolamide, The risk or severity of adverse effects can be increased when Methazolamide is combined with Felodipine.]
[G02CB05, metergoline, Metergoline may decrease the antihypertensive activities of Felodipine.]
[H03BB02, methimazole, The metabolism of Felodipine can be decreased when combined with Methimazole.]
[N05CA15, methohexital, Methohexital may increase the hypotensive activities of Felodipine.]
[N02BG08, ziconotide, Felodipine may increase the arrhythmogenic activities of Ziconotide.]
[N05AA02, methotrimeprazine, The risk or severity of hypotension can be increased when Methotrimeprazine is combined with Felodipine.]
[C01CA10, methoxamine, Methoxamine may decrease the antihypertensive activities of Felodipine.]
[N02BG09, methoxyflurane, The metabolism of Methoxyflurane can be decreased when combined with Felodipine.]
[C03AA08, methyclothiazide, The therapeutic efficacy of Felodipine can be increased when used in combination with Methyclothiazide.]
[A06AC06, methylcellulose, The therapeutic efficacy of Methylcellulose can be decreased when used in combination with Felodipine.]
[C02AB01, methyldopa, Methyldopa may increase the hypotensive activities of Felodipine.]
[V04CG05, methylene blue, Methylene blue may increase the hypotensive activities of Felodipine.]
[G02AB01, methylergonovine, Methylergometrine may decrease the antihypertensive activities of Felodipine.]
[N06BA04, methylphenidate, Methylphenidate may decrease the antihypertensive activities of Felodipine.]
[N02CA04, methysergide, Methysergide may decrease the antihypertensive activities of Felodipine.]
[A03FA01, metoclopramide, The risk or severity of QTc prolongation can be increased when Felodipine is combined with Metoclopramide.]
[C03BA08, metolazone, Metolazone may increase the hypotensive activities of Felodipine.]
[P01AB01, metronidazole, The risk or severity of QTc prolongation can be increased when Metronidazole is combined with Felodipine.]
[C01BB02, mexiletine, Mexiletine may increase the arrhythmogenic activities of Felodipine.]
[N06AX03, mianserin, The metabolism of Mianserin can be decreased when combined with Felodipine.]
[S02AA13, miconazole, The metabolism of Felodipine can be decreased when combined with Miconazole.]
[N02BB03, aminopyrine, The metabolism of Aminophenazone can be decreased when combined with Felodipine.]
[B01AB07, parnaparin, The risk or severity of hyperkalemia can be increased when Felodipine is combined with Parnaparin.]
[N05CD08, midazolam, The metabolism of Felodipine can be decreased when combined with Midazolam.]
[C01CA17, midodrine, Midodrine may decrease the antihypertensive activities of Felodipine.]
[G03XB01, mifepristone, The risk or severity of QTc prolongation can be increased when Felodipine is combined with Mifepristone.]
[B01AB10, tinzaparin, The risk or severity of hyperkalemia can be increased when Felodipine is combined with Tinzaparin.]
[A06AA01, mineral oil, The therapeutic efficacy of Mineral oil can be decreased when used in combination with Felodipine.]
[C09CA03, valsartan, The metabolism of Valsartan can be decreased when combined with Felodipine.]
[D11AX01, minoxidil, Minoxidil may increase the hypotensive activities of Felodipine.]
[L01XX23, mitotane, The metabolism of Felodipine can be increased when combined with Mitotane.]
[N06BA12, lisdexamfetamine, The metabolism of Lisdexamfetamine can be decreased when combined with Felodipine.]
[L03AC01, aldesleukin, The risk or severity of adverse effects can be increased when Aldesleukin is combined with Felodipine.]
[C01DX12, molsidomine, Molsidomine may increase the hypotensive activities of Felodipine.]
[C01BD01, amiodarone, The risk or severity of adverse effects can be increased when Amiodarone is combined with Felodipine.]
[N06AA09, amitriptyline, The metabolism of Amitriptyline can be decreased when combined with Felodipine.]
[N02AA01, morphine, The metabolism of Morphine can be decreased when combined with Felodipine.]
[A04AA05, palonosetron, The metabolism of Palonosetron can be decreased when combined with Felodipine.]
[L04AB05, certolizumab pegol, The metabolism of Felodipine can be increased when combined with Certolizumab pegol.]
[B02BX05, eltrombopag, The metabolism of Eltrombopag can be decreased when combined with Felodipine.]
[G04BA01, ammonium chloride, The risk or severity of hyperkalemia can be increased when Felodipine is combined with Ammonium chloride.]
[L01EX03, pazopanib, The metabolism of Pazopanib can be decreased when combined with Felodipine.]
[M03AC03, vecuronium, Felodipine may increase the neuromuscular blocking activities of Vecuronium.]
[N05CA02, amobarbital, Amobarbital may increase the hypotensive activities of Felodipine.]
[P01BA06, amodiaquine, The metabolism of Amodiaquine can be decreased when combined with Felodipine.]
[G04CA04, silodosin, The risk or severity of orthostatic hypotension and dizziness can be increased when Felodipine is combined with Silodosin.]
[N06AA17, amoxapine, The metabolism of Amoxapine can be decreased when combined with Felodipine.]
[N03AB05, fosphenytoin, The metabolism of Fosphenytoin can be decreased when combined with Felodipine.]
[C07AA12, nadolol, Felodipine may increase the arrhythmogenic activities of Nadolol.]
[N04BC04, ropinirole, The risk or severity of adverse effects can be increased when Ropinirole is combined with Felodipine.]
[J01CF06, nafcillin, The therapeutic efficacy of Felodipine can be decreased when used in combination with Nafcillin.]
[V03AB15, naloxone, The metabolism of Felodipine can be decreased when combined with Naloxone.]
[L04AC03, anakinra, The metabolism of Felodipine can be increased when combined with Anakinra.]
[S01GA01, naphazoline, Naphazoline may decrease the antihypertensive activities of Felodipine.]
[N06BA01, amphetamine, The metabolism of Amphetamine can be decreased when combined with Felodipine.]
