[P02BB01, trichlorfon, Metrifonate may increase the bradycardic activities of Bisoprolol.]
[M01AX01, nabumetone, Nabumetone may decrease the antihypertensive activities of Bisoprolol.]
[N07BB05, nalmefene, Bisoprolol may decrease the excretion rate of Nalmefene which could result in a higher serum level.]
[B05XA15, potassium lactate, Potassium lactate may increase the hyperkalemic activities of Bisoprolol.]
[C07AB12, nebivolol, The risk or severity of adverse effects can be increased when Bisoprolol is combined with Nebivolol.]
[S01GX04, nedocromil, Bisoprolol may decrease the excretion rate of Nedocromil which could result in a higher serum level.]
[N06AX06, nefazodone, The metabolism of Bisoprolol can be decreased when combined with Nefazodone.]
[C01DX16, nicorandil, The therapeutic efficacy of Nicorandil can be increased when used in combination with Bisoprolol.]
[L02BB02, nilutamide, Bisoprolol may decrease the excretion rate of Nilutamide which could result in a higher serum level.]
[C01CA23, theodrenaline, The risk or severity of adverse effects can be increased when Bisoprolol is combined with Theodrenaline.]
[C01CA05, norfenefrine, The therapeutic efficacy of Norfenefrine can be decreased when used in combination with Bisoprolol.]
[B01AX05, fondaparinux, Fondaparinux may decrease the excretion rate of Bisoprolol which could result in a higher serum level.]
[G04BD08, solifenacin, Solifenacin may decrease the antihypertensive activities of Bisoprolol.]
[A07EC03, olsalazine, Olsalazine may decrease the antihypertensive activities of Bisoprolol.]
[N06AA01, desipramine, Desipramine may decrease the antihypertensive activities of Bisoprolol.]
[C01AA07, deslanoside, The therapeutic efficacy of Deslanoside can be increased when used in combination with Bisoprolol.]
[H01BA02, desmopressin, Desmopressin may decrease the antihypertensive activities of Bisoprolol.]
[V04CH02, indigo carmine, Bisoprolol may decrease the excretion rate of Indigotindisulfonic acid which could result in a higher serum level.]
[J01DH03, ertapenem, Ertapenem may decrease the excretion rate of Bisoprolol which could result in a higher serum level.]
[C09XA02, aliskiren, Bisoprolol may increase the hypotensive activities of Aliskiren.]
[M01AE12, oxaprozin, Oxaprozin may decrease the antihypertensive activities of Bisoprolol.]
[S03BA01, dexamethasone, The metabolism of Bisoprolol can be increased when combined with Dexamethasone.]
[N06BA02, dextroamphetamine, The therapeutic efficacy of Bisoprolol can be decreased when used in combination with Amphetamine.]
[N06AB05, paroxetine, The serum concentration of Bisoprolol can be increased when it is combined with Paroxetine.]
[C01DA05, pentaerythritol tetranitrate, Bisoprolol may decrease the excretion rate of Pentaerythritol tetranitrate which could result in a higher serum level.]
[C04AD01, pentifylline, The risk or severity of adverse effects can be increased when Bisoprolol is combined with Pentifylline.]
[P03AC04, permethrin, Bisoprolol may decrease the excretion rate of Permethrin which could result in a higher serum level.]
[N05BA01, diazepam, Bisoprolol may decrease the excretion rate of Diazepam which could result in a higher serum level.]
[V03AH01, diazoxide, Diazoxide may increase the hypotensive activities of Bisoprolol.]
[N06AA08, dibenzepin, Dibenzepin may decrease the antihypertensive activities of Bisoprolol.]
[S02DA04, dibucaine, Cinchocaine may increase the bradycardic activities of Bisoprolol.]
[R05DA08, pholcodine, Bisoprolol may decrease the excretion rate of Pholcodine which could result in a higher serum level.]
[S01EC02, dichlorphenamide, Diclofenamide may increase the excretion rate of Bisoprolol which could result in a lower serum level and potentially a reduction in efficacy.]
[S01BC03, diclofenac, Diclofenac may decrease the antihypertensive activities of Bisoprolol.]
[J05AD01, foscarnet, Foscarnet may decrease the excretion rate of Bisoprolol which could result in a higher serum level.]
[A03AA07, dicyclomine, Bisoprolol may decrease the excretion rate of Dicyclomine which could result in a higher serum level.]
[J05AF02, didanosine, Bisoprolol may decrease the excretion rate of Didanosine which could result in a higher serum level.]
[C02DG01, pinacidil, Bisoprolol may increase the hypotensive activities of Pinacidil.]
[A03AX04, pinaverium, The therapeutic efficacy of Pinaverium can be increased when used in combination with Bisoprolol.]
[A10BG03, pioglitazone, The therapeutic efficacy of Pioglitazone can be increased when used in combination with Bisoprolol.]
[N05AD05, pipamperone, The risk or severity of adverse effects can be increased when Bisoprolol is combined with Pipamperone.]
[L01DC04, ixabepilone, The serum concentration of Bisoprolol can be increased when it is combined with Ixabepilone.]
[R03CC07, pirbuterol, The therapeutic efficacy of Pirbuterol can be decreased when used in combination with Bisoprolol.]
[C03CA03, piretanide, Piretanide may increase the excretion rate of Bisoprolol which could result in a lower serum level and potentially a reduction in efficacy.]
[P02CB02, diethylcarbamazine, Diethylcarbamazine may increase the bradycardic activities of Bisoprolol.]
[A08AA03, diethylpropion, The therapeutic efficacy of Bisoprolol can be decreased when used in combination with Diethylpropion.]
[C08CA03, isradipine, The therapeutic efficacy of Isradipine can be increased when used in combination with Bisoprolol.]
[D07XC04, diflucortolone, Bisoprolol may decrease the excretion rate of Difluocortolone which could result in a higher serum level.]
[N02BA11, diflunisal, Diflunisal may decrease the antihypertensive activities of Bisoprolol.]
[C01AA04, digitoxin, The therapeutic efficacy of Digitoxin can be increased when used in combination with Bisoprolol.]
[C01AA05, digoxin, The therapeutic efficacy of Digoxin can be increased when used in combination with Bisoprolol.]
[C02DB01, dihydralazine, Bisoprolol may increase the hypotensive activities of Dihydralazine.]
[C04AE04, dihydroergocristine, Bisoprolol may increase the vasoconstricting activities of Dihydroergocristine.]
[N02CA01, dihydroergotamine, Bisoprolol may increase the vasoconstricting activities of Dihydroergotamine.]
[N02AA03, hydromorphone, Hydromorphone may decrease the excretion rate of Bisoprolol which could result in a higher serum level.]
[L04AX04, lenalidomide, Lenalidomide may decrease the excretion rate of Bisoprolol which could result in a higher serum level.]
[J05AE08, atazanavir, The metabolism of Bisoprolol can be decreased when combined with Atazanavir.]
[B01AC21, treprostinil, Treprostinil may increase the hypotensive activities of Bisoprolol.]
[H03BC01, potassium perchlorate, Potassium perchlorate may increase the hyperkalemic activities of Bisoprolol.]
[V03AB04, pralidoxime, Bisoprolol may decrease the excretion rate of Pralidoxime which could result in a higher serum level.]
[C08DB01, diltiazem, The therapeutic efficacy of Diltiazem can be increased when used in combination with Bisoprolol.]
[V03AB09, dimercaprol, Bisoprolol may decrease the excretion rate of Dimercaprol which could result in a higher serum level.]
[R03CC08, procaterol, The therapeutic efficacy of Procaterol can be decreased when used in combination with Bisoprolol.]
[M02AX03, dimethyl sulfoxide, Bisoprolol may decrease the excretion rate of Dimethyl sulfoxide which could result in a higher serum level.]
[N06BC02, propentofylline, The risk or severity of adverse effects can be increased when Bisoprolol is combined with Propentofylline.]
[N02BB04, propyphenazone, Propyphenazone may decrease the antihypertensive activities of Bisoprolol.]
[M01AB14, proglumetacin, Proglumetacin may decrease the antihypertensive activities of Bisoprolol.]
[C05CA03, diosmin, The serum concentration of Bisoprolol can be increased when it is combined with Diosmin.]
[R03DA03, proxyphylline, The risk or severity of adverse effects can be increased when Bisoprolol is combined with Proxyphylline.]
[C09AA06, quinapril, Bisoprolol may increase the hypotensive activities of Quinapril.]
[B01AC07, dipyridamole, Dipyridamole may increase the bradycardic activities of Bisoprolol.]
[N06BA11, dexmethylphenidate, Dexmethylphenidate may decrease the antihypertensive activities of Bisoprolol.]
[N06AA23, quinupramine, Quinupramine may decrease the antihypertensive activities of Bisoprolol.]
[C09AA05, ramipril, Ramipril may increase the hypotensive activities of Bisoprolol.]
[S01XA23, sirolimus, The serum concentration of Sirolimus can be increased when it is combined with Bisoprolol.]
[R03CC14, reproterol, The therapeutic efficacy of Reproterol can be decreased when used in combination with Bisoprolol.]
[S01AX06, resorcinol, Bisoprolol may decrease the excretion rate of Resorcinol which could result in a higher serum level.]
[C01BA03, disopyramide, The therapeutic efficacy of Disopyramide can be increased when used in combination with Bisoprolol.]
[N07AA03, distigmine, Distigmine may increase the bradycardic activities of Bisoprolol.]
[S02AA12, rifamycin SV, The metabolism of Bisoprolol can be increased when combined with Rifamycin.]
[J04AB05, rifapentine, The metabolism of Bisoprolol can be increased when combined with Rifapentine.]
[D06AX11, rifaximin, The metabolism of Bisoprolol can be increased when combined with Rifaximin.]
[N05AX08, risperidone, Bisoprolol may increase the hypotensive activities of Risperidone.]
[R06AE09, levocetirizine, Bisoprolol may decrease the excretion rate of Levocetirizine which could result in a higher serum level.]
[N01BB09, ropivacaine, The risk or severity of adverse effects can be increased when Ropivacaine is combined with Bisoprolol.]
[L01EX01, sunitinib, The therapeutic efficacy of Sunitinib can be increased when used in combination with Bisoprolol.]
[A04AD12, aprepitant, The metabolism of Bisoprolol can be decreased when combined with Aprepitant.]
[C03XA01, tolvaptan, Tolvaptan may increase the excretion rate of Bisoprolol which could result in a lower serum level and potentially a reduction in efficacy.]
[L01XG01, bortezomib, The serum concentration of Bortezomib can be increased when it is combined with Bisoprolol.]
[G04BE08, tadalafil, Bisoprolol may increase the hypotensive activities of Tadalafil.]
[S01BC05, ketorolac, Ketorolac may decrease the antihypertensive activities of Bisoprolol.]
[C02KX02, ambrisentan, The serum concentration of Ambrisentan can be increased when it is combined with Bisoprolol.]
[C01EB18, ranolazine, The serum concentration of Bisoprolol can be increased when it is combined with Ranolazine.]
[N02BA06, salsalate, Salsalate may decrease the antihypertensive activities of Bisoprolol.]
[R03AC12, salmeterol, The therapeutic efficacy of Salmeterol can be decreased when used in combination with Bisoprolol.]
[H05BA01, salmon calcitonin, Salmon calcitonin may decrease the excretion rate of Bisoprolol which could result in a higher serum level.]
[C01CA07, dobutamine, The therapeutic efficacy of Dobutamine can be decreased when used in combination with Bisoprolol.]
[C01CA04, dopamine, Dopamine may decrease the antihypertensive activities of Bisoprolol.]
[N06AA16, dothiepin, Dosulepin may decrease the antihypertensive activities of Bisoprolol.]
[R07AB01, doxapram, Doxapram may decrease the antihypertensive activities of Bisoprolol.]
[N06AA12, doxepin, Bisoprolol may increase the orthostatic hypotensive activities of Doxepin.]
[J01AA02, doxycycline, Doxycycline may decrease the excretion rate of Bisoprolol which could result in a higher serum level.]
[N06AB06, sertraline, The serum concentration of Bisoprolol can be increased when it is combined with Sertraline.]
[N01AB08, sevoflurane, Sevoflurane may decrease the antihypertensive activities of Bisoprolol.]
[N05AD08, droperidol, Bisoprolol may increase the orthostatic hypotensive activities of Droperidol.]
[A08AA10, sibutramine, The serum concentration of Bisoprolol can be increased when it is combined with Sibutramine.]
[C10AA01, simvastatin, The serum concentration of Bisoprolol can be increased when it is combined with Simvastatin.]
[V03AG05, sodium phosphate, Sodium phosphate, monobasic may increase the hyperkalemic activities of Bisoprolol.]
[A12CA02, sodium sulfate, Bisoprolol may decrease the excretion rate of Sodium sulfate which could result in a higher serum level.]
[C09AA11, spirapril, Bisoprolol may increase the hypotensive activities of Spirapril.]
[R03DA01, dyphylline, The risk or severity of adverse effects can be increased when Bisoprolol is combined with Dyphylline.]
[N02CC01, sumatriptan, Sumatriptan may decrease the antihypertensive activities of Bisoprolol.]
[V04CX07, edrophonium, Edrophonium may increase the bradycardic activities of Bisoprolol.]
[C07AB13, talinolol, The risk or severity of adverse effects can be increased when Bisoprolol is combined with Talinolol.]
[L01AX03, temozolomide, Bisoprolol may decrease the excretion rate of Temozolomide which could result in a higher serum level.]
[M01AC02, tenoxicam, Tenoxicam may decrease the antihypertensive activities of Bisoprolol.]
[G04CA03, terazosin, Bisoprolol may increase the orthostatic hypotensive activities of Terazosin.]
[G04BD05, terodiline, The therapeutic efficacy of Terodiline can be increased when used in combination with Bisoprolol.]
[C07AA16, tertatolol, The risk or severity of adverse effects can be increased when Bisoprolol is combined with Tertatolol.]
[S01GA02, tetrahydrozoline, The therapeutic efficacy of Tetryzoline can be decreased when used in combination with Bisoprolol.]
[N06AX14, tianeptine, Tianeptine may decrease the antihypertensive activities of Bisoprolol.]
[C09AA02, enalapril, Enalapril may increase the hypotensive activities of Bisoprolol.]
[M01AG02, tolfenamic acid, Tolfenamic acid may decrease the antihypertensive activities of Bisoprolol.]
[N06AG03, toloxatone, Toloxatone may increase the hypotensive activities of Bisoprolol.]
[N06BA09, atomoxetine, Atomoxetine may decrease the antihypertensive activities of Bisoprolol.]
[N03AX11, topiramate, Topiramate may decrease the excretion rate of Bisoprolol which could result in a higher serum level.]
[L02BA02, toremifene, The serum concentration of Bisoprolol can be increased when it is combined with Toremifene.]
[C03CA04, torsemide, Torasemide may increase the excretion rate of Bisoprolol which could result in a lower serum level and potentially a reduction in efficacy.]
[R01AA09, tramazoline, Tramazoline may decrease the antihypertensive activities of Bisoprolol.]
[C09AA10, trandolapril, Trandolapril may increase the hypotensive activities of Bisoprolol.]
[N05CC01, chloral hydrate, Bisoprolol may decrease the excretion rate of Chloral hydrate which could result in a higher serum level.]
[R03CC11, tulobuterol, The therapeutic efficacy of Tulobuterol can be decreased when used in combination with Bisoprolol.]
[N01AB04, enflurane, Enflurane may increase the cardiodepressant activities of Bisoprolol.]
[C02CA06, urapidil, Bisoprolol may increase the orthostatic hypotensive activities of Urapidil.]
[S01FB02, ephedrine, The therapeutic efficacy of Ephedrine can be decreased when used in combination with Bisoprolol.]
[N06AX16, venlafaxine, Venlafaxine may decrease the excretion rate of Bisoprolol which could result in a higher serum level.]
[C01CX07, xamoterol, The therapeutic efficacy of Xamoterol can be decreased when used in combination with Bisoprolol.]
[S01GA03, xylometazoline, The therapeutic efficacy of Xylometazoline can be increased when used in combination with Bisoprolol.]
[C08CA12, mepirodipine, The therapeutic efficacy of Barnidipine can be increased when used in combination with Bisoprolol.]
[S01EA01, epinephrine, The therapeutic efficacy of Epinephrine can be decreased when used in combination with Bisoprolol.]
[C09AA15, zofenopril, Bisoprolol may increase the hypotensive activities of Zofenopril.]
[M01AB04, zomepirac, Zomepirac may decrease the antihypertensive activities of Bisoprolol.]
[N03AX15, zonisamide, The therapeutic efficacy of Zonisamide can be increased when used in combination with Bisoprolol.]
[A10AB06, insulin glulisine, human, The therapeutic efficacy of Insulin glulisine can be increased when used in combination with Bisoprolol.]
[L01XA02, carboplatin, Carboplatin may decrease the excretion rate of Bisoprolol which could result in a higher serum level.]
[C02AC02, guanfacine, The therapeutic efficacy of Guanfacine can be decreased when used in combination with Bisoprolol.]
[B01AC11, iloprost, Iloprost may increase the hypotensive activities of Bisoprolol.]
[C01BG01, moricizine, The therapeutic efficacy of Moricizine can be increased when used in combination with Bisoprolol.]
[G02AB03, ergonovine, The therapeutic efficacy of Ergometrine can be decreased when used in combination with Bisoprolol.]
[C04AE01, ergoloid mesylates, USP, Bisoprolol may increase the vasoconstricting activities of Ergoloid mesylate.]
[N02CA02, ergotamine, The metabolism of Bisoprolol can be decreased when combined with Ergotamine.]
[L03AX05, pidotimod, Bisoprolol may decrease the excretion rate of Pidotimod which could result in a higher serum level.]
[S01AA17, erythromycin, The metabolism of Bisoprolol can be decreased when combined with Erythromycin.]
[N05CD04, estazolam, Bisoprolol may decrease the excretion rate of Estazolam which could result in a higher serum level.]
[A02BC02, pantoprazole, Pantoprazole may decrease the excretion rate of Bisoprolol which could result in a higher serum level.]
[G03CA03, estradiol, Bisoprolol may decrease the excretion rate of Estradiol which could result in a higher serum level.]
[G03CA57, estrogens, conjugated (USP), Conjugated estrogens may decrease the excretion rate of Bisoprolol which could result in a higher serum level.]
[J04AK02, ethambutol, Ethambutol may decrease the excretion rate of Bisoprolol which could result in a higher serum level.]
[V08CA03, gadodiamide, Gadodiamide may decrease the excretion rate of Bisoprolol which could result in a higher serum level.]
[C01CA15, gepefrine, The therapeutic efficacy of Bisoprolol can be decreased when used in combination with Gepefrine.]
[V03AF05, amifostine, Bisoprolol may increase the hypotensive activities of Amifostine.]
[C01BD05, ibutilide, The therapeutic efficacy of Ibutilide can be increased when used in combination with Bisoprolol.]
[N04AA05, profenamine, Profenamine may increase the bradycardic activities of Bisoprolol.]
[N03AD01, ethosuximide, The therapeutic efficacy of Ethosuximide can be increased when used in combination with Bisoprolol.]
[M01AC06, meloxicam, Meloxicam may decrease the antihypertensive activities of Bisoprolol.]
[C01CA01, etilefrine, The therapeutic efficacy of Etilefrine can be decreased when used in combination with Bisoprolol.]
[N01AX07, etomidate, The therapeutic efficacy of Etomidate can be decreased when used in combination with Bisoprolol.]
[L01CB01, etoposide, The serum concentration of Etoposide can be increased when it is combined with Bisoprolol.]
[C01BA05, ajmaline, The therapeutic efficacy of Ajmaline can be increased when used in combination with Bisoprolol.]
[L04AD02, tacrolimus, The serum concentration of Bisoprolol can be increased when it is combined with Tacrolimus.]
[A02BA04, nizatidine, Nizatidine may increase the bradycardic activities of Bisoprolol.]
[R06AX12, terfenadine, The metabolism of Bisoprolol can be decreased when combined with Terfenadine.]
[P01AX07, trimetrexate, Bisoprolol may decrease the excretion rate of Trimetrexate which could result in a higher serum level.]
[N06AX12, bupropion, Bisoprolol may decrease the excretion rate of Bupropion which could result in a higher serum level.]
[N06AB08, fluvoxamine, The metabolism of Bisoprolol can be decreased when combined with Fluvoxamine.]
[C01BB03, tocainide, The therapeutic efficacy of Tocainide can be increased when used in combination with Bisoprolol.]
[C01BC08, encainide, The therapeutic efficacy of Encainide can be increased when used in combination with Bisoprolol.]
[L02AE02, leuprolide, Leuprolide may decrease the excretion rate of Bisoprolol which could result in a higher serum level.]
[C10AA03, pravastatin, The serum concentration of Bisoprolol can be increased when it is combined with Pravastatin.]
[M01CB01, gold sodium thiomalate, Bisoprolol may decrease the excretion rate of Sodium aurothiomalate which could result in a higher serum level.]
[B05AA05, dextran, Bisoprolol may decrease the excretion rate of Dextran which could result in a higher serum level.]
[V03AF02, dexrazoxane, Dexrazoxane may decrease the excretion rate of Bisoprolol which could result in a higher serum level.]
[A16AA01, levocarnitine, Levocarnitine may decrease the excretion rate of Bisoprolol which could result in a higher serum level.]
[C08CA02, felodipine, The therapeutic efficacy of Felodipine can be increased when used in combination with Bisoprolol.]
[C08EA01, fendiline, The therapeutic efficacy of Fendiline can be increased when used in combination with Bisoprolol.]
[M01AE04, fenoprofen, Fenoprofen may decrease the antihypertensive activities of Bisoprolol.]
[R03CC04, fenoterol, The therapeutic efficacy of Fenoterol can be decreased when used in combination with Bisoprolol.]
[N02AB03, fentanyl, Fentanyl may decrease the antihypertensive activities of Bisoprolol.]
[R03CC02, albuterol, The therapeutic efficacy of Salbutamol can be decreased when used in combination with Bisoprolol.]
[L01BB06, clofarabine, The risk or severity of adverse effects can be increased when Bisoprolol is combined with Clofarabine.]
[N07AX03, cevimeline, The risk or severity of adverse effects can be increased when Bisoprolol is combined with Cevimeline.]
[G04BD02, flavoxate, Bisoprolol may decrease the excretion rate of Flavoxate which could result in a higher serum level.]
[C01BC04, flecainide, The therapeutic efficacy of Flecainide can be increased when used in combination with Bisoprolol.]
[N02BG04, floctafenine, The risk or severity of adverse effects can be increased when Bisoprolol is combined with Floctafenine.]
[J02AC01, fluconazole, The metabolism of Bisoprolol can be decreased when combined with Fluconazole.]
[J02AX01, flucytosine, Bisoprolol may decrease the excretion rate of Flucytosine which could result in a higher serum level.]
[V03AB25, flumazenil, Bisoprolol may decrease the excretion rate of Flumazenil which could result in a higher serum level.]
[N07CA03, flunarizine, The therapeutic efficacy of Flunarizine can be increased when used in combination with Bisoprolol.]
[N06AA14, melitracen, Melitracen may decrease the antihypertensive activities of Bisoprolol.]
[V03AZ01, ethanol, Ethanol may increase the hypotensive activities of Bisoprolol.]
[L01BC09, floxuridine, Floxuridine may decrease the excretion rate of Bisoprolol which could result in a higher serum level.]
[N06AB03, fluoxetine, The serum concentration of Bisoprolol can be increased when it is combined with Fluoxetine.]
[N05AF01, flupenthixol, Bisoprolol may increase the orthostatic hypotensive activities of Flupentixol.]
[N05AB02, fluphenazine, The serum concentration of Bisoprolol can be increased when it is combined with Fluphenazine.]
[N05CD01, flurazepam, Bisoprolol may decrease the excretion rate of Flurazepam which could result in a higher serum level.]
[S01BC04, flurbiprofen, Flurbiprofen may decrease the antihypertensive activities of Bisoprolol.]
[N05AG01, fluspirilene, The therapeutic efficacy of Fluspirilene can be increased when used in combination with Bisoprolol.]
[L02BB01, flutamide, Flutamide may decrease the excretion rate of Bisoprolol which could result in a higher serum level.]
[V04CX02, folic acid, Folic acid may decrease the excretion rate of Bisoprolol which could result in a higher serum level.]
[S02AA17, fosfomycin, Bisoprolol may decrease the excretion rate of Fosfomycin which could result in a higher serum level.]
[S01AA07, framycetin, Framycetin may decrease the excretion rate of Bisoprolol which could result in a higher serum level.]
[L01BC03, tegafur, Bisoprolol may decrease the excretion rate of Tegafur which could result in a higher serum level.]
[N06BX17, adrafinil, The therapeutic efficacy of Adrafinil can be decreased when used in combination with Bisoprolol.]
[G01AX06, furazolidone, Furazolidone may increase the hypotensive activities of Bisoprolol.]
[J05AE10, darunavir, The metabolism of Bisoprolol can be decreased when combined with Darunavir.]
[C03CA01, furosemide, Furosemide may increase the excretion rate of Bisoprolol which could result in a lower serum level and potentially a reduction in efficacy.]
[N05CF04, eszopiclone, Eszopiclone may decrease the excretion rate of Bisoprolol which could result in a higher serum level.]
[N06DA04, galantamine, Galantamine may increase the bradycardic activities of Bisoprolol.]
[C08DA02, gallopamil, The therapeutic efficacy of Gallopamil can be increased when used in combination with Bisoprolol.]
[S01AD09, ganciclovir, Bisoprolol may decrease the excretion rate of Ganciclovir which could result in a higher serum level.]
[N03AA04, barbexaclone, Barbexaclone may increase the hypotensive activities of Bisoprolol.]
[C10AB04, gemfibrozil, Bisoprolol may decrease the excretion rate of Gemfibrozil which could result in a higher serum level.]
[J01XA03, telavancin, Bisoprolol may decrease the excretion rate of Telavancin which could result in a higher serum level.]
[L01EA02, dasatinib, The serum concentration of Dasatinib can be increased when it is combined with Bisoprolol.]
[N04BC06, cabergoline, Bisoprolol may increase the vasoconstricting activities of Cabergoline.]
[C01CA21, cafedrine, The risk or severity of adverse effects can be increased when Bisoprolol is combined with Cafedrine.]
[A10BJ02, liraglutide, The therapeutic efficacy of Liraglutide can be increased when used in combination with Bisoprolol.]
[A12AA13, calcium citrate, The therapeutic efficacy of Bisoprolol can be decreased when used in combination with Calcium citrate.]
[A12AA10, calcium gluceptate, The therapeutic efficacy of Bisoprolol can be decreased when used in combination with Calcium glucoheptonate.]
[A12AA05, calcium lactate, The therapeutic efficacy of Bisoprolol can be decreased when used in combination with Calcium lactate.]
[A12AA30, calcium levulinate, The therapeutic efficacy of Bisoprolol can be decreased when used in combination with Calcium levulinate.]
[N03AD03, methsuximide, The therapeutic efficacy of Methsuximide can be increased when used in combination with Bisoprolol.]
[N01AH02, alfentanil, Alfentanil may decrease the antihypertensive activities of Bisoprolol.]
[L01EH01, lapatinib, The serum concentration of Bisoprolol can be increased when it is combined with Lapatinib.]
[A10BB01, glyburide, The therapeutic efficacy of Glyburide can be increased when used in combination with Bisoprolol.]
[A10BB09, gliclazide, The therapeutic efficacy of Gliclazide can be increased when used in combination with Bisoprolol.]
[A10BB07, glipizide, The therapeutic efficacy of Glipizide can be increased when used in combination with Bisoprolol.]
[H04AA01, glucagon, The therapeutic efficacy of Bisoprolol can be decreased when used in combination with Glucagon.]
[N05CM18, dexmedetomidine, The therapeutic efficacy of Dexmedetomidine can be decreased when used in combination with Bisoprolol.]
[C05AE01, nitroglycerin, Bisoprolol may increase the hypotensive activities of Nitroglycerin.]
[C01BD04, dofetilide, The therapeutic efficacy of Dofetilide can be increased when used in combination with Bisoprolol.]
[C02CA04, doxazosin, Bisoprolol may increase the orthostatic hypotensive activities of Doxazosin.]
[H01AB01, thyrotropin alfa, The therapeutic efficacy of Thyrotropin alfa can be decreased when used in combination with Bisoprolol.]
[L01EX02, sorafenib, The serum concentration of Bisoprolol can be increased when it is combined with Sorafenib.]
[C07AB09, esmolol, The risk or severity of adverse effects can be increased when Bisoprolol is combined with Esmolol.]
[M01CB04, aurothioglucose, Bisoprolol may decrease the excretion rate of Aurothioglucose which could result in a higher serum level.]
[S01LA03, pegaptanib, Bisoprolol may decrease the excretion rate of Pegaptanib which could result in a higher serum level.]
[C09AA09, fosinopril, Fosinopril may increase the hypotensive activities of Bisoprolol.]
[S01EX01, guanethidine, The therapeutic efficacy of Guanethidine can be increased when used in combination with Bisoprolol.]
[L02AE03, goserelin, Goserelin may decrease the excretion rate of Bisoprolol which could result in a higher serum level.]
[N05AD01, haloperidol, The serum concentration of Haloperidol can be increased when it is combined with Bisoprolol.]
[N01AB01, halothane, Halothane may decrease the antihypertensive activities of Bisoprolol.]
[N05AH04, quetiapine, Quetiapine may increase the hypotensive activities of Bisoprolol.]
[N06BX13, idebenone, Bisoprolol may decrease the excretion rate of Idebenone which could result in a higher serum level.]
[A10AD05, insulin aspart, human, The therapeutic efficacy of Insulin aspart can be increased when used in combination with Bisoprolol.]
[M04AA01, allopurinol, Allopurinol may decrease the excretion rate of Bisoprolol which could result in a higher serum level.]
[C09CA01, losartan, The therapeutic efficacy of Losartan can be increased when used in combination with Bisoprolol.]
[S01XA14, heparin, The risk or severity of hyperkalemia can be increased when Bisoprolol is combined with Heparin.]
[G03DC01, allylestrenol, Bisoprolol may decrease the excretion rate of Allylestrenol which could result in a higher serum level.]
[A07EC02, mesalamine, Mesalazine may decrease the antihypertensive activities of Bisoprolol.]
[C01CE02, milrinone, Milrinone may decrease the excretion rate of Bisoprolol which could result in a higher serum level.]
[N05CA16, hexobarbital, Hexobarbital may increase the hypotensive activities of Bisoprolol.]
[R03CC05, hexoprenaline, The therapeutic efficacy of Hexoprenaline can be decreased when used in combination with Bisoprolol.]
[C08CA10, nilvadipine, The therapeutic efficacy of Nilvadipine can be increased when used in combination with Bisoprolol.]
[M02AA26, nimesulide, The therapeutic efficacy of Nimesulide can be increased when used in combination with Bisoprolol.]
[C02DB02, hydralazine, Bisoprolol may increase the hypotensive activities of Hydralazine.]
[C03AA02, hydroflumethiazide, The therapeutic efficacy of Bisoprolol can be increased when used in combination with Hydroflumethiazide.]
[B05XA17, potassium acetate, Potassium acetate may increase the hyperkalemic activities of Bisoprolol.]
[S01XA07, aluminum potassium sulfate, Potassium alum may increase the hyperkalemic activities of Bisoprolol.]
[A12BA02, potassium citrate, Potassium citrate may increase the excretion rate of Bisoprolol which could result in a lower serum level and potentially a reduction in efficacy.]
[V03AB33, hydroxocobalamin, Hydroxocobalamin may decrease the excretion rate of Bisoprolol which could result in a higher serum level.]
[G04BD06, propiverine, Bisoprolol may increase the orthostatic hypotensive activities of Propiverine.]
[P01BA02, hydroxychloroquine, The risk or severity of QTc prolongation can be decreased when Hydroxychloroquine is combined with Bisoprolol.]
[B05AA07, hetastarch, Bisoprolol may decrease the excretion rate of Hydroxyethyl Starch which could result in a higher serum level.]
[C02AC06, rilmenidine, The therapeutic efficacy of Rilmenidine can be decreased when used in combination with Bisoprolol.]
[R02AX02, ibuprofen, Ibuprofen may decrease the antihypertensive activities of Bisoprolol.]
[B05XA08, sodium acetate, Bisoprolol may decrease the excretion rate of Sodium acetate which could result in a higher serum level.]
[L01AA06, ifosfamide, Bisoprolol may decrease the excretion rate of Ifosfamide which could result in a higher serum level.]
[N01AH03, sufentanil, Sufentanil may decrease the antihypertensive activities of Bisoprolol.]
[N06AA02, imipramine, Bisoprolol may increase the orthostatic hypotensive activities of Imipramine.]
[L01CD01, paclitaxel, The risk or severity of adverse effects can be increased when Bisoprolol is combined with Paclitaxel.]
[R01AD07, tixocortol, Bisoprolol may decrease the excretion rate of Tixocortol which could result in a higher serum level.]
[M03BX02, tizanidine, The therapeutic efficacy of Tizanidine can be decreased when used in combination with Bisoprolol.]
[L01CE01, topotecan, The serum concentration of Topotecan can be increased when it is combined with Bisoprolol.]
[C03BA11, indapamide, The therapeutic efficacy of Indapamide can be increased when used in combination with Bisoprolol.]
[S01BC01, indomethacin, Indomethacin may decrease the antihypertensive activities of Bisoprolol.]
[C02CA02, indoramin, Bisoprolol may increase the orthostatic hypotensive activities of Indoramin.]
[A11HA07, inositol, Bisoprolol may decrease the excretion rate of Inositol which could result in a higher serum level.]
[N06AX17, milnacipran, The serum concentration of Bisoprolol can be increased when it is combined with Milnacipran.]
[S01XA28, varenicline, The risk or severity of adverse effects can be increased when Bisoprolol is combined with Varenicline.]
