[J01MB04, pipemidic acid, The serum concentration of Pipemidic acid can be increased when it is combined with Ampicillin.]
[M01AE16, alminoprofen, Alminoprofen may decrease the excretion rate of Ampicillin which could result in a higher serum level.]
[N03AX23, brivaracetam, Ampicillin may decrease the excretion rate of Brivaracetam which could result in a higher serum level.]
[N05BA08, bromazepam, Ampicillin may decrease the excretion rate of Bromazepam which could result in a higher serum level.]
[A02AD05, aluminum magnesium silicate, Ampicillin may decrease the excretion rate of Almasilate which could result in a higher serum level.]
[C03CA02, bumetanide, Bumetanide may increase the excretion rate of Ampicillin which could result in a lower serum level and potentially a reduction in efficacy.]
[N01BB01, bupivacaine, The risk or severity of methemoglobinemia can be increased when Ampicillin is combined with Bupivacaine.]
[N05BE01, buspirone, Ampicillin may decrease the excretion rate of Buspirone which could result in a higher serum level.]
[L01XX27, arsenic trioxide, Ampicillin may decrease the excretion rate of Arsenic trioxide which could result in a higher serum level.]
[M02AA03, clofezone, Ampicillin may decrease the excretion rate of Rabeprazole which could result in a higher serum level.]
[J01MA09, sparfloxacin, The serum concentration of Sparfloxacin can be increased when it is combined with Ampicillin.]
[A07EC04, balsalazide, Balsalazide may decrease the excretion rate of Ampicillin which could result in a higher serum level.]
[A06AH05, naldemedine, Ampicillin may decrease the excretion rate of Naldemedine which could result in a higher serum level.]
[N07XX16, deutetrabenazine, Ampicillin may decrease the excretion rate of Deutetrabenazine which could result in a higher serum level.]
[N02BF02, pregabalin, Pregabalin may decrease the excretion rate of Ampicillin which could result in a higher serum level.]
[S01HA02, benoxinate, The risk or severity of methemoglobinemia can be increased when Ampicillin is combined with Oxybuprocaine.]
[P01CA02, benznidazole, Ampicillin may decrease the excretion rate of Benznidazole which could result in a higher serum level.]
[J05AF06, abacavir, Ampicillin may decrease the excretion rate of Abacavir which could result in a higher serum level.]
[N07XX13, valbenazine, Ampicillin may decrease the excretion rate of Valbenazine which could result in a higher serum level.]
[J01MA23, delafloxacin, The serum concentration of Delafloxacin can be increased when it is combined with Ampicillin.]
[L01BC06, capecitabine, Ampicillin may decrease the excretion rate of Capecitabine which could result in a higher serum level.]
[C07AB07, bisoprolol, Ampicillin may decrease the excretion rate of Bisoprolol which could result in a higher serum level.]
[J01DC10, cefprozil, Cefprozil may decrease the excretion rate of Ampicillin which could result in a higher serum level.]
[C03DA03, canrenone, Canrenone may increase the excretion rate of Ampicillin which could result in a lower serum level and potentially a reduction in efficacy.]
[R03BA02, budesonide, Ampicillin may decrease the excretion rate of Budesonide which could result in a higher serum level.]
[M01AB07, bumadizone, Bumadizone may decrease the excretion rate of Ampicillin which could result in a higher serum level.]
[N01BX04, capsaicin, The risk or severity of methemoglobinemia can be increased when Ampicillin is combined with Capsaicin.]
[A10BK04, ertugliflozin, Ertugliflozin may increase the excretion rate of Ampicillin which could result in a lower serum level and potentially a reduction in efficacy.]
[R06AX18, acrivastine, Ampicillin may decrease the excretion rate of Acrivastine which could result in a higher serum level.]
[L02BB05, apalutamide, Ampicillin may decrease the excretion rate of Apalutamide which could result in a higher serum level.]
[N03AF01, carbamazepine, Ampicillin may decrease the excretion rate of Carbamazepine which could result in a higher serum level.]
[L04AA37, baricitinib, Ampicillin may decrease the excretion rate of Baricitinib which could result in a higher serum level.]
[J01DE01, cefepime, Cefepime may decrease the excretion rate of Ampicillin which could result in a higher serum level.]
[J01DD10, cefetamet, Cefetamet may decrease the excretion rate of Ampicillin which could result in a higher serum level.]
[J01DD09, cefodizime, Cefodizime may decrease the excretion rate of Ampicillin which could result in a higher serum level.]
[J01DC11, ceforanide, Ceforanide may decrease the excretion rate of Ampicillin which could result in a higher serum level.]
[J01DD13, cefpodoxime, Cefpodoxime may decrease the excretion rate of Ampicillin which could result in a higher serum level.]
[J01DD14, ceftibuten, Ceftibuten may decrease the excretion rate of Ampicillin which could result in a higher serum level.]
[J01GB14, plazomicin, Ampicillin may decrease the excretion rate of Plazomicin which could result in a higher serum level.]
[A16AX14, migalastat, Ampicillin may decrease the excretion rate of Migalastat which could result in a higher serum level.]
[N03AX17, stiripentol, Ampicillin may decrease the excretion rate of Stiripentol which could result in a higher serum level.]
[J01AA13, eravacycline, The therapeutic efficacy of Ampicillin can be decreased when used in combination with Eravacycline.]
[J01AA14, sarecycline, The therapeutic efficacy of Ampicillin can be decreased when used in combination with Sarecycline.]
[J01AA15, omadacycline, The therapeutic efficacy of Ampicillin can be decreased when used in combination with Omadacycline.]
[S01GX12, cetirizine, Cetirizine may decrease the excretion rate of Ampicillin which could result in a higher serum level.]
[N01BA04, chloroprocaine, The risk or severity of methemoglobinemia can be increased when Ampicillin is combined with Chloroprocaine.]
[D08AE05, chloroxylenol, Ampicillin may decrease the excretion rate of Chloroxylenol which could result in a higher serum level.]
[M01AC05, lornoxicam, Lornoxicam may decrease the excretion rate of Ampicillin which could result in a higher serum level.]
[N07XX15, inotersen, Inotersen may decrease the excretion rate of Ampicillin which could result in a higher serum level.]
[L01AD01, carmustine, Carmustine may decrease the excretion rate of Ampicillin which could result in a higher serum level.]
[A06AX05, prucalopride, Ampicillin may decrease the excretion rate of Prucalopride which could result in a higher serum level.]
[B01AC23, cilostazol, Ampicillin may decrease the excretion rate of Cilostazol which could result in a higher serum level.]
[N06BA14, solriamfetol, Ampicillin may decrease the excretion rate of Solriamfetol which could result in a higher serum level.]
[N05BA09, clobazam, Clobazam may decrease the excretion rate of Ampicillin which could result in a higher serum level.]
[J01AA11, clomocycline, The therapeutic efficacy of Ampicillin can be decreased when used in combination with Clomocycline.]
[J01DC04, cefaclor, Cefaclor may decrease the excretion rate of Ampicillin which could result in a higher serum level.]
[J01DB05, cefadroxil, Cefadroxil may decrease the excretion rate of Ampicillin which could result in a higher serum level.]
[J01DC03, cefamandole, Cefamandole may decrease the excretion rate of Ampicillin which could result in a higher serum level.]
[J01DB07, cefatrizine, Cefatrizine may decrease the excretion rate of Ampicillin which could result in a higher serum level.]
[J01DB04, cefazolin, Cefazolin may decrease the excretion rate of Ampicillin which could result in a higher serum level.]
[J01DC09, cefmetazole, Cefmetazole may decrease the excretion rate of Ampicillin which could result in a higher serum level.]
[J01DC06, cefonicid, Cefonicid may decrease the excretion rate of Ampicillin which could result in a higher serum level.]
[J01DD12, cefoperazone, Cefoperazone may decrease the excretion rate of Ampicillin which could result in a higher serum level.]
[J01DD01, cefotaxime, Cefotaxime may decrease the excretion rate of Ampicillin which could result in a higher serum level.]
[J01DC05, cefotetan, Cefotetan may decrease the excretion rate of Ampicillin which could result in a higher serum level.]
[J01DC07, cefotiam, Cefotiam may decrease the excretion rate of Ampicillin which could result in a higher serum level.]
[J01DC01, cefoxitin, Cefoxitin may decrease the excretion rate of Ampicillin which could result in a higher serum level.]
[J01DD03, cefsulodin, Cefsulodin may decrease the excretion rate of Ampicillin which could result in a higher serum level.]
[J01DD02, ceftazidime, Ceftazidime may decrease the excretion rate of Ampicillin which could result in a higher serum level.]
[C03BX03, cicletanine, Cicletanine may increase the excretion rate of Ampicillin which could result in a lower serum level and potentially a reduction in efficacy.]
[J01DD07, ceftizoxime, Ceftizoxime may decrease the excretion rate of Ampicillin which could result in a higher serum level.]
[J01DD04, ceftriaxone, Ceftriaxone may decrease the excretion rate of Ampicillin which could result in a higher serum level.]
[S01AA27, cefuroxime, Cefuroxime may decrease the excretion rate of Ampicillin which could result in a higher serum level.]
[N07XX11, pitolisant, Ampicillin may decrease the excretion rate of Pitolisant which could result in a higher serum level.]
[C03AA09, cyclothiazide, Cyclothiazide may increase the excretion rate of Ampicillin which could result in a lower serum level and potentially a reduction in efficacy.]
[J01XX09, daptomycin, Daptomycin may decrease the excretion rate of Ampicillin which could result in a higher serum level.]
[J01DB01, cephalexin, Cephalexin may decrease the excretion rate of Ampicillin which could result in a higher serum level.]
[J01DB02, cephaloridine, Cefaloridine may decrease the excretion rate of Ampicillin which could result in a higher serum level.]
[J01DB03, cephalothin, Cefalotin may decrease the excretion rate of Ampicillin which could result in a higher serum level.]
[J01DB08, cephapirin, Cefapirin may decrease the excretion rate of Ampicillin which could result in a higher serum level.]
[J01DB09, cephradine, Cefradine may decrease the excretion rate of Ampicillin which could result in a higher serum level.]
[G03DB05, demegestone, The therapeutic efficacy of Demegestone can be decreased when used in combination with Ampicillin.]
[G03AC09, desogestrel, The therapeutic efficacy of Desogestrel can be decreased when used in combination with Ampicillin.]
[A16AX16, givosiran, Givosiran may decrease the excretion rate of Ampicillin which could result in a higher serum level.]
[M09AX08, golodirsen, Ampicillin may decrease the excretion rate of Golodirsen which could result in a higher serum level.]
[S01XA12, dexpanthenol, Ampicillin may decrease the excretion rate of Dexpanthenol which could result in a higher serum level.]
[S01AE06, gatifloxacin, The serum concentration of Gatifloxacin can be increased when it is combined with Ampicillin.]
[R02AA03, dichlorobenzyl alcohol, Ampicillin may decrease the excretion rate of Dichlorobenzyl alcohol which could result in a higher serum level.]
[G03DB08, dienogest, The therapeutic efficacy of Dienogest can be decreased when used in combination with Ampicillin.]
[M01AH02, rofecoxib, Rofecoxib may decrease the excretion rate of Ampicillin which could result in a higher serum level.]
[C08CA16, clevidipine, Ampicillin may decrease the excretion rate of Clevidipine which could result in a higher serum level.]
[V03AE03, lanthanum carbonate, The serum concentration of Ampicillin can be decreased when it is combined with Lanthanum carbonate.]
[M01AC04, droxicam, Droxicam may decrease the excretion rate of Ampicillin which could result in a higher serum level.]
[V08CA05, mangafodipir, Ampicillin may decrease the excretion rate of Mangafodipir which could result in a higher serum level.]
[M02AA27, dexketoprofen, Dexketoprofen may decrease the excretion rate of Ampicillin which could result in a higher serum level.]
[R02AD04, dyclonine, The risk or severity of methemoglobinemia can be increased when Ampicillin is combined with Dyclonine.]
[P01BA01, chloroquine, The bioavailability of Ampicillin can be decreased when combined with Chloroquine.]
[C03AA04, chlorothiazide, Chlorothiazide may increase the excretion rate of Ampicillin which could result in a lower serum level and potentially a reduction in efficacy.]
[N05AA01, chlorpromazine, Ampicillin may decrease the excretion rate of Chlorpromazine which could result in a higher serum level.]
[A10BB02, chlorpropamide, Ampicillin may decrease the excretion rate of Chlorpropamide which could result in a higher serum level.]
[C03BA04, chlorthalidone, Chlorthalidone may increase the excretion rate of Ampicillin which could result in a lower serum level and potentially a reduction in efficacy.]
[M03BB03, chlorzoxazone, Chlorzoxazone may decrease the excretion rate of Ampicillin which could result in a higher serum level.]
[N02BA07, ethenzamide, Ethenzamide may decrease the excretion rate of Ampicillin which could result in a higher serum level.]
[N02BA03, choline salicylate, Ampicillin may decrease the excretion rate of Choline salicylate which could result in a higher serum level.]
[G03DC06, ethynodiol, The therapeutic efficacy of Etynodiol can be decreased when used in combination with Ampicillin.]
[M01AB08, etodolac, Etodolac may decrease the excretion rate of Ampicillin which could result in a higher serum level.]
[M02AA06, etofenamate, Etofenamate may decrease the excretion rate of Ampicillin which could result in a higher serum level.]
[M01AX25, chondroitin sulfates, Ampicillin may decrease the excretion rate of Chondroitin sulfate which could result in a higher serum level.]
[M01AE05, fenbufen, Fenbufen may decrease the excretion rate of Ampicillin which could result in a higher serum level.]
[C01CA19, fenoldopam, Ampicillin may decrease the excretion rate of Fenoldopam which could result in a higher serum level.]
[J01DD15, cefdinir, Ampicillin may decrease the excretion rate of Cefdinir which could result in a higher serum level.]
[J01MB07, flumequine, The serum concentration of Flumequine can be increased when it is combined with Ampicillin.]
[S02BA08, fluocinolone acetonide, Ampicillin may decrease the excretion rate of Fluocinolone acetonide which could result in a higher serum level.]
[N02BG07, flupirtine, Ampicillin may decrease the excretion rate of Flupirtine which could result in a higher serum level.]
[A02BA01, cimetidine, Ampicillin may decrease the excretion rate of Cimetidine which could result in a higher serum level.]
[V08CA04, gadoteridol, Ampicillin may decrease the excretion rate of Gadoteridol which could result in a higher serum level.]
[J01MB06, cinoxacin, The serum concentration of Cinoxacin can be increased when it is combined with Ampicillin.]
[S03AA07, ciprofloxacin, The serum concentration of Ciprofloxacin can be increased when it is combined with Ampicillin.]
[L01XA01, cisplatin, Ampicillin may decrease the excretion rate of Cisplatin which could result in a higher serum level.]
[C03DA05, finerenone, Finerenone may increase the excretion rate of Ampicillin which could result in a lower serum level and potentially a reduction in efficacy.]
[V09AB03, ioflupane I-123, Ampicillin may decrease the excretion rate of Ioflupane I-123 which could result in a higher serum level.]
[V09AA01, technetium Tc 99m exametazime, Ampicillin may decrease the excretion rate of Technetium Tc-99m exametazime which could result in a higher serum level.]
[V09AX06, florbetaben f-18, Ampicillin may decrease the excretion rate of Florbetaben (18F) which could result in a higher serum level.]
[M01AG01, mefenamic acid, Mefenamic acid may decrease the excretion rate of Ampicillin which could result in a higher serum level.]
[N01BB10, levobupivacaine, The risk or severity of methemoglobinemia can be increased when Ampicillin is combined with Levobupivacaine.]
[N06AA04, clomipramine, Ampicillin may decrease the excretion rate of Clomipramine which could result in a higher serum level.]
[N03AE01, clonazepam, Ampicillin may decrease the excretion rate of Clonazepam which could result in a higher serum level.]
[J05AH02, oseltamivir, Oseltamivir may decrease the excretion rate of Ampicillin which could result in a higher serum level.]
[C03BA03, clopamide, Clopamide may increase the excretion rate of Ampicillin which could result in a lower serum level and potentially a reduction in efficacy.]
[N05AH02, clozapine, Clozapine may decrease the excretion rate of Ampicillin which could result in a higher serum level.]
[J01GB12, arbekacin, Ampicillin may decrease the excretion rate of Arbekacin which could result in a higher serum level.]
[S02DA02, cocaine, The risk or severity of methemoglobinemia can be increased when Ampicillin is combined with Cocaine.]
[M01AX13, proquazone, Proquazone may decrease the excretion rate of Ampicillin which could result in a higher serum level.]
[M04AC01, colchicine, Ampicillin may decrease the excretion rate of Colchicine which could result in a higher serum level.]
[J01XB01, colistin, Ampicillin may decrease the excretion rate of Colistin which could result in a higher serum level.]
[J01DE02, cefpirome, Cefpirome may decrease the excretion rate of Ampicillin which could result in a higher serum level.]
[A04AA03, tropisetron, Ampicillin may decrease the excretion rate of Tropisetron which could result in a higher serum level.]
[A10BX03, nateglinide, Ampicillin may decrease the excretion rate of Nateglinide which could result in a higher serum level.]
[N02BA16, imidazole-2-hydroxybenzoate, Imidazole salicylate may decrease the excretion rate of Ampicillin which could result in a higher serum level.]
[B01AC10, indobufen, Indobufen may decrease the excretion rate of Ampicillin which could result in a higher serum level.]
[J05AB14, valganciclovir, Ampicillin may decrease the excretion rate of Valganciclovir which could result in a higher serum level.]
[C05BB03, invert sugar, Ampicillin may decrease the excretion rate of Invert sugar which could result in a higher serum level.]
[V08AB09, iodixanol, Ampicillin may decrease the excretion rate of Iodixanol which could result in a higher serum level.]
[V08AB05, iopromide, Ampicillin may decrease the excretion rate of Iopromide which could result in a higher serum level.]
[V08AB07, ioversol, Ampicillin may decrease the excretion rate of Ioversol which could result in a higher serum level.]
[V08AB12, ioxilan, Ampicillin may decrease the excretion rate of Ioxilan which could result in a higher serum level.]
[M01AH03, valdecoxib, Valdecoxib may decrease the excretion rate of Ampicillin which could result in a higher serum level.]
[N02CC05, almotriptan, Ampicillin may decrease the excretion rate of Almotriptan which could result in a higher serum level.]
[M01AH04, parecoxib, Parecoxib may decrease the excretion rate of Ampicillin which could result in a higher serum level.]
[S01AD03, acyclovir, Acyclovir may decrease the excretion rate of Ampicillin which could result in a higher serum level.]
[N05BA10, ketazolam, Ampicillin may decrease the excretion rate of Ketazolam which could result in a higher serum level.]
[M01AA06, kebuzone, Kebuzone may decrease the excretion rate of Ampicillin which could result in a higher serum level.]
[N03AX09, lamotrigine, Ampicillin may decrease the excretion rate of Lamotrigine which could result in a higher serum level.]
[N07BC04, lofexidine, Ampicillin may decrease the excretion rate of Lofexidine which could result in a higher serum level.]
[S01AE04, lomefloxacin, The serum concentration of Lomefloxacin can be increased when it is combined with Ampicillin.]
[M01AB09, lonazolac, Lonazolac may decrease the excretion rate of Ampicillin which could result in a higher serum level.]
[M02AA31, loxoprofen, Loxoprofen may decrease the excretion rate of Ampicillin which could result in a higher serum level.]
[J01DC08, loracarbef, Loracarbef may decrease the excretion rate of Ampicillin which could result in a higher serum level.]
[C09AA03, lisinopril, Ampicillin may decrease the excretion rate of Lisinopril which could result in a higher serum level.]
[A06AD01, magnesium carbonate, Ampicillin may decrease the excretion rate of Magnesium carbonate which could result in a higher serum level.]
[J01DH02, meropenem, Ampicillin may decrease the excretion rate of Meropenem which could result in a higher serum level.]
[C03DA04, eplerenone, Eplerenone may increase the excretion rate of Ampicillin which could result in a lower serum level and potentially a reduction in efficacy.]
[N05AD03, metylperon, Ampicillin may decrease the excretion rate of Melperone which could result in a higher serum level.]
[C03AA07, cyclopenthiazide, Cyclopenthiazide may increase the excretion rate of Ampicillin which could result in a lower serum level and potentially a reduction in efficacy.]
[J05AF07, tenofovir disoproxil, Tenofovir disoproxil may decrease the excretion rate of Ampicillin which could result in a higher serum level.]
[S01XA18, cyclosporine, Cyclosporine may decrease the excretion rate of Ampicillin which could result in a higher serum level.]
[M02AA02, mofebutazone, Mofebutazone may decrease the excretion rate of Ampicillin which could result in a higher serum level.]
[M01AX22, morniflumate, Morniflumate may decrease the excretion rate of Ampicillin which could result in a higher serum level.]
[C03XA02, conivaptan, Conivaptan may increase the excretion rate of Ampicillin which could result in a lower serum level and potentially a reduction in efficacy.]
[M01AH05, etoricoxib, Etoricoxib may decrease the excretion rate of Ampicillin which could result in a higher serum level.]
[L01AX04, dacarbazine, Ampicillin may decrease the excretion rate of Dacarbazine which could result in a higher serum level.]
[M01AX01, nabumetone, Nabumetone may decrease the excretion rate of Ampicillin which could result in a higher serum level.]
[N07BB05, nalmefene, Ampicillin may decrease the excretion rate of Nalmefene which could result in a higher serum level.]
[J01AA01, demeclocycline, The therapeutic efficacy of Ampicillin can be decreased when used in combination with Demeclocycline.]
[S01GX04, nedocromil, Ampicillin may decrease the excretion rate of Nedocromil which could result in a higher serum level.]
[N06AX06, nefazodone, Ampicillin may decrease the excretion rate of Nefazodone which could result in a higher serum level.]
[C01DX16, nicorandil, Ampicillin may decrease the excretion rate of Nicorandil which could result in a higher serum level.]
[L02BB02, nilutamide, Ampicillin may decrease the excretion rate of Nilutamide which could result in a higher serum level.]
[G03DB04, nomegestrol, The therapeutic efficacy of Nomegestrol can be decreased when used in combination with Ampicillin.]
[M03AC11, cisatracurium, Ampicillin may increase the neuromuscular blocking activities of Cisatracurium.]
[B01AX05, fondaparinux, Ampicillin may decrease the excretion rate of Fondaparinux which could result in a higher serum level.]
[A07EC03, olsalazine, Olsalazine may decrease the excretion rate of Ampicillin which could result in a higher serum level.]
[N06AA01, desipramine, Ampicillin may decrease the excretion rate of Desipramine which could result in a higher serum level.]
[H01BA02, desmopressin, Desmopressin may decrease the excretion rate of Ampicillin which could result in a higher serum level.]
[V04CH02, indigo carmine, Ampicillin may decrease the excretion rate of Indigotindisulfonic acid which could result in a higher serum level.]
[J01DH03, ertapenem, Ertapenem may decrease the excretion rate of Ampicillin which could result in a higher serum level.]
[M01AE12, oxaprozin, Oxaprozin may decrease the excretion rate of Ampicillin which could result in a higher serum level.]
[N06BA02, dextroamphetamine, Amphetamine may decrease the excretion rate of Ampicillin which could result in a higher serum level.]
[P03AC04, permethrin, Ampicillin may decrease the excretion rate of Permethrin which could result in a higher serum level.]
[N05BA01, diazepam, Ampicillin may decrease the excretion rate of Diazepam which could result in a higher serum level.]
[R02AA19, phenol, The risk or severity of methemoglobinemia can be increased when Ampicillin is combined with Phenol.]
[S02DA04, dibucaine, The risk or severity of methemoglobinemia can be increased when Ampicillin is combined with Cinchocaine.]
[R05DA08, pholcodine, Ampicillin may decrease the excretion rate of Pholcodine which could result in a higher serum level.]
[S01EC02, dichlorphenamide, Diclofenamide may increase the excretion rate of Ampicillin which could result in a lower serum level and potentially a reduction in efficacy.]
[S01BC03, diclofenac, Diclofenac may decrease the excretion rate of Ampicillin which could result in a higher serum level.]
[J05AD01, foscarnet, Foscarnet may decrease the excretion rate of Ampicillin which could result in a higher serum level.]
[A03AA07, dicyclomine, Ampicillin may decrease the excretion rate of Dicyclomine which could result in a higher serum level.]
[J05AF02, didanosine, Ampicillin may decrease the excretion rate of Didanosine which could result in a higher serum level.]
[C03CA03, piretanide, Piretanide may increase the excretion rate of Ampicillin which could result in a lower serum level and potentially a reduction in efficacy.]
[L02AA01, diethylstilbestrol, The therapeutic efficacy of Diethylstilbestrol can be decreased when used in combination with Ampicillin.]
[C08CA03, isradipine, Isradipine may decrease the excretion rate of Ampicillin which could result in a higher serum level.]
[D07XC04, diflucortolone, Ampicillin may decrease the excretion rate of Difluocortolone which could result in a higher serum level.]
[N02BA11, diflunisal, Diflunisal may decrease the excretion rate of Ampicillin which could result in a higher serum level.]
[C01AA05, digoxin, Ampicillin may decrease the excretion rate of Digoxin which could result in a higher serum level.]
[N02AA03, hydromorphone, Hydromorphone may decrease the excretion rate of Ampicillin which could result in a higher serum level.]
[L04AX04, lenalidomide, Ampicillin may decrease the excretion rate of Lenalidomide which could result in a higher serum level.]
[J05AE08, atazanavir, Atazanavir may decrease the excretion rate of Ampicillin which could result in a higher serum level.]
[H03BC01, potassium perchlorate, Ampicillin may decrease the excretion rate of Potassium perchlorate which could result in a higher serum level.]
[V03AB04, pralidoxime, Ampicillin may decrease the excretion rate of Pralidoxime which could result in a higher serum level.]
[D04AB07, pramoxine, The risk or severity of methemoglobinemia can be increased when Ampicillin is combined with Pramocaine.]
[V03AB09, dimercaprol, Ampicillin may decrease the excretion rate of Dimercaprol which could result in a higher serum level.]
[M02AX03, dimethyl sulfoxide, Ampicillin may decrease the excretion rate of Dimethyl sulfoxide which could result in a higher serum level.]
[N02BB04, propyphenazone, Propyphenazone may decrease the excretion rate of Ampicillin which could result in a higher serum level.]
[M01AB14, proglumetacin, Proglumetacin may decrease the excretion rate of Ampicillin which could result in a higher serum level.]
[S01HA04, proparacaine, The risk or severity of methemoglobinemia can be increased when Ampicillin is combined with Proparacaine.]
[R06AA02, diphenhydramine, The risk or severity of methemoglobinemia can be increased when Ampicillin is combined with Diphenhydramine.]
[S01AX06, resorcinol, Ampicillin may decrease the excretion rate of Resorcinol which could result in a higher serum level.]
[C01BA03, disopyramide, Disopyramide may decrease the excretion rate of Ampicillin which could result in a higher serum level.]
[R06AE09, levocetirizine, Ampicillin may decrease the excretion rate of Levocetirizine which could result in a higher serum level.]
[N01BB09, ropivacaine, The risk or severity of methemoglobinemia can be increased when Ampicillin is combined with Ropivacaine.]
[J01MB01, rosoxacin, The serum concentration of Rosoxacin can be increased when it is combined with Ampicillin.]
[C03XA01, tolvaptan, Tolvaptan may increase the excretion rate of Ampicillin which could result in a lower serum level and potentially a reduction in efficacy.]
[G04BE08, tadalafil, Ampicillin may decrease the excretion rate of Tadalafil which could result in a higher serum level.]
[S01BC05, ketorolac, Ketorolac may decrease the excretion rate of Ampicillin which could result in a higher serum level.]
[C01EB18, ranolazine, Ranolazine may decrease the excretion rate of Ampicillin which could result in a higher serum level.]
[N02BA06, salsalate, Salsalate may decrease the excretion rate of Ampicillin which could result in a higher serum level.]
[H05BA01, salmon calcitonin, Salmon calcitonin may decrease the excretion rate of Ampicillin which could result in a higher serum level.]
[C01CA07, dobutamine, Ampicillin may decrease the excretion rate of Dobutamine which could result in a higher serum level.]
[C01CA04, dopamine, Ampicillin may decrease the excretion rate of Dopamine which could result in a higher serum level.]
[N06AA12, doxepin, Ampicillin may decrease the excretion rate of Doxepin which could result in a higher serum level.]
[J01AA02, doxycycline, The therapeutic efficacy of Ampicillin can be decreased when used in combination with Doxycycline.]
[A08AA10, sibutramine, Ampicillin may decrease the excretion rate of Sibutramine which could result in a higher serum level.]
[A12CA02, sodium sulfate, Ampicillin may decrease the excretion rate of Sodium sulfate which could result in a higher serum level.]
[R03DA01, dyphylline, Ampicillin may decrease the excretion rate of Dyphylline which could result in a higher serum level.]
[N02CC01, sumatriptan, Ampicillin may decrease the excretion rate of Sumatriptan which could result in a higher serum level.]
[V04CX07, edrophonium, Ampicillin may decrease the excretion rate of Edrophonium which could result in a higher serum level.]
[J01MA05, temafloxacin, The serum concentration of Temafloxacin can be increased when it is combined with Ampicillin.]
[L01AX03, temozolomide, Ampicillin may decrease the excretion rate of Temozolomide which could result in a higher serum level.]
[M01AC02, tenoxicam, Tenoxicam may decrease the excretion rate of Ampicillin which could result in a higher serum level.]
[M01AG02, tolfenamic acid, Tolfenamic acid may decrease the excretion rate of Ampicillin which could result in a higher serum level.]
[N06AG03, toloxatone, Ampicillin may decrease the excretion rate of Toloxatone which could result in a higher serum level.]
[N06BA09, atomoxetine, Atomoxetine may decrease the excretion rate of Ampicillin which could result in a higher serum level.]
[N03AX11, topiramate, Topiramate may decrease the excretion rate of Ampicillin which could result in a higher serum level.]
[C03CA04, torsemide, Torasemide may increase the excretion rate of Ampicillin which could result in a lower serum level and potentially a reduction in efficacy.]
[J01AA12, tigecycline, The therapeutic efficacy of Ampicillin can be decreased when used in combination with Tigecycline.]
[N05CC01, chloral hydrate, Ampicillin may decrease the excretion rate of Chloral hydrate which could result in a higher serum level.]
[J01MA04, enoxacin, The serum concentration of Enoxacin can be increased when it is combined with Ampicillin.]
[N06AX16, venlafaxine, Venlafaxine may decrease the excretion rate of Ampicillin which could result in a higher serum level.]
[M01AB04, zomepirac, Zomepirac may decrease the excretion rate of Ampicillin which could result in a higher serum level.]
[N03AX15, zonisamide, Zonisamide may increase the excretion rate of Ampicillin which could result in a lower serum level and potentially a reduction in efficacy.]
[L01XA02, carboplatin, Carboplatin may decrease the excretion rate of Ampicillin which could result in a higher serum level.]
[C02AC02, guanfacine, Ampicillin may decrease the excretion rate of Guanfacine which could result in a higher serum level.]
[L03AX05, pidotimod, Ampicillin may decrease the excretion rate of Pidotimod which could result in a higher serum level.]
[N05CD04, estazolam, Ampicillin may decrease the excretion rate of Estazolam which could result in a higher serum level.]
[A02BC02, pantoprazole, Pantoprazole may decrease the excretion rate of Ampicillin which could result in a higher serum level.]
[G03CA03, estradiol, The therapeutic efficacy of Estradiol can be decreased when used in combination with Ampicillin.]
[G03CA57, estrogens, conjugated (USP), Conjugated estrogens may decrease the excretion rate of Ampicillin which could result in a higher serum level.]
[J04AK02, ethambutol, Ethambutol may decrease the excretion rate of Ampicillin which could result in a higher serum level.]
[V08CA03, gadodiamide, Gadodiamide may decrease the excretion rate of Ampicillin which could result in a higher serum level.]
[L02AA03, ethinyl estradiol, The therapeutic efficacy of Ethinylestradiol can be decreased when used in combination with Ampicillin.]
[C01BD05, ibutilide, Ibutilide may decrease the excretion rate of Ampicillin which could result in a higher serum level.]
[N01BX01, ethyl chloride, The risk or severity of methemoglobinemia can be increased when Ampicillin is combined with Ethyl chloride.]
[M01AC06, meloxicam, The risk or severity of methemoglobinemia can be increased when Ampicillin is combined with Meloxicam.]
[N01BB07, etidocaine, The risk or severity of methemoglobinemia can be increased when Ampicillin is combined with Etidocaine.]
[N01AX07, etomidate, Etomidate may decrease the excretion rate of Ampicillin which could result in a higher serum level.]
[L04AD02, tacrolimus, Tacrolimus may decrease the excretion rate of Ampicillin which could result in a higher serum level.]
[J01MA08, fleroxacin, The serum concentration of Fleroxacin can be increased when it is combined with Ampicillin.]
[P01AX07, trimetrexate, Ampicillin may decrease the excretion rate of Trimetrexate which could result in a higher serum level.]
[N06AX12, bupropion, Ampicillin may decrease the excretion rate of Bupropion which could result in a higher serum level.]
[N06AB08, fluvoxamine, Fluvoxamine may decrease the excretion rate of Ampicillin which could result in a higher serum level.]
[L02AE02, leuprolide, Leuprolide may decrease the excretion rate of Ampicillin which could result in a higher serum level.]
[M01CB01, gold sodium thiomalate, Ampicillin may decrease the excretion rate of Sodium aurothiomalate which could result in a higher serum level.]
[B05AA05, dextran, Ampicillin may decrease the excretion rate of Dextran which could result in a higher serum level.]
[V03AF02, dexrazoxane, Dexrazoxane may decrease the excretion rate of Ampicillin which could result in a higher serum level.]
