[S02DA03, antipyrine, The metabolism of Antipyrine can be decreased when combined with Selegiline.]
[R05DA08, pholcodine, Pholcodine may increase the serotonergic activities of Selegiline.]
[S01EC02, dichlorphenamide, Selegiline may increase the orthostatic hypotensive activities of Diclofenamide.]
[S01BC03, diclofenac, The metabolism of Selegiline can be decreased when combined with Diclofenac.]
[A03AA07, dicyclomine, Selegiline may increase the central nervous system depressant (CNS depressant) activities of Dicyclomine.]
[C02DG01, pinacidil, Selegiline may increase the hypotensive activities of Pinacidil.]
[A10BG03, pioglitazone, The metabolism of Selegiline can be decreased when combined with Pioglitazone.]
[N05AD05, pipamperone, Selegiline may increase the orthostatic hypotensive activities of Pipamperone.]
[A03AB14, pipenzolate, Selegiline may increase the central nervous system depressant (CNS depressant) activities of Pipenzolate.]
[L01EB02, erlotinib, The metabolism of Erlotinib can be decreased when combined with Selegiline.]
[R03CC07, pirbuterol, The risk or severity of hypertension can be increased when Selegiline is combined with Pirbuterol.]
[A08AA03, diethylpropion, The risk or severity of adverse effects can be increased when Selegiline is combined with Diethylpropion.]
[L02AA01, diethylstilbestrol, The metabolism of Selegiline can be decreased when combined with Diethylstilbestrol.]
[C08CA03, isradipine, Selegiline may increase the hypotensive activities of Isradipine.]
[A03AB11, poldine, Selegiline may increase the central nervous system depressant (CNS depressant) activities of Poldine.]
[N02BA11, diflunisal, The risk or severity of hypertension can be increased when Diflunisal is combined with Selegiline.]
[C02DB01, dihydralazine, Selegiline may increase the hypotensive activities of Dihydralazine.]
[C04AE04, dihydroergocristine, The risk or severity of hypertension can be increased when Selegiline is combined with Dihydroergocristine.]
[N02CA01, dihydroergotamine, The metabolism of Dihydroergotamine can be decreased when combined with Selegiline.]
[N02AA03, hydromorphone, Selegiline may increase the serotonergic activities of Hydromorphone.]
[J05AE08, atazanavir, The metabolism of Selegiline can be decreased when combined with Atazanavir.]
[B01AC21, treprostinil, Selegiline may increase the hypotensive activities of Treprostinil.]
[D04AB07, pramoxine, The risk or severity of adverse effects can be increased when Selegiline is combined with Pramocaine.]
[C08DB01, diltiazem, Selegiline may increase the hypotensive activities of Diltiazem.]
[R06AA11, dimenhydrinate, The risk or severity of adverse effects can be increased when Dimenhydrinate is combined with Selegiline.]
[M03BX03, pridinol, The risk or severity of adverse effects can be increased when Selegiline is combined with Pridinol.]
[R06AB03, dimethindene, Selegiline may increase the central nervous system depressant (CNS depressant) activities of Dimetindene.]
[R03CC08, procaterol, The risk or severity of hypertension can be increased when Selegiline is combined with Procaterol.]
[M02AX03, dimethyl sulfoxide, The metabolism of Selegiline can be decreased when combined with Dimethyl sulfoxide.]
[N03AG05, progabide, The risk or severity of adverse effects can be increased when Progabide is combined with Selegiline.]
[N06BC02, propentofylline, The metabolism of Propentofylline can be decreased when combined with Selegiline.]
[N02BB04, propyphenazone, The risk or severity of hypertension can be increased when Selegiline is combined with Propyphenazone.]
[M01AB14, proglumetacin, The risk or severity of hypertension can be increased when Selegiline is combined with Proglumetacin.]
[C05CA03, diosmin, The metabolism of Selegiline can be decreased when combined with Diosmin.]
[R03DA03, proxyphylline, The metabolism of Proxyphylline can be decreased when combined with Selegiline.]
[R06AA02, diphenhydramine, The risk or severity of adverse effects can be increased when Selegiline is combined with Diphenhydramine.]
[A07DA01, diphenoxylate, The risk or severity of adverse effects can be increased when Selegiline is combined with Diphenoxylate.]
[N05CD10, quazepam, The risk or severity of adverse effects can be increased when Selegiline is combined with Quazepam.]
[C09AA06, quinapril, Selegiline may increase the hypotensive activities of Quinapril.]
[B01AC07, dipyridamole, Selegiline may increase the orthostatic hypotensive activities of Dipyridamole.]
[N06BA11, dexmethylphenidate, Selegiline may increase the hypertensive activities of Dexmethylphenidate.]
[B01AD10, drotrecogin alfa, The risk or severity of bleeding and hemorrhage can be increased when Selegiline is combined with Drotrecogin alfa.]
[N06AA23, quinupramine, Selegiline may increase the serotonergic activities of Quinupramine.]
[A03FA02, cisapride, The metabolism of Selegiline can be decreased when combined with Cisapride.]
[C09AA05, ramipril, Selegiline may increase the hypotensive activities of Ramipril.]
[N05AL04, remoxipride, The risk or severity of adverse effects can be increased when Selegiline is combined with Remoxipride.]
[R03CC14, reproterol, The risk or severity of hypertension can be increased when Selegiline is combined with Reproterol.]
[C01BA03, disopyramide, Selegiline may increase the central nervous system depressant (CNS depressant) activities of Disopyramide.]
[S02AA12, rifamycin SV, The metabolism of Selegiline can be increased when combined with Rifamycin.]
[J04AB05, rifapentine, The metabolism of Selegiline can be increased when combined with Rifapentine.]
[N07XX02, riluzole, The risk or severity of adverse effects can be increased when Riluzole is combined with Selegiline.]
[N05AX08, risperidone, Selegiline may increase the hypotensive activities of Risperidone.]
[R06AE09, levocetirizine, The risk or severity of adverse effects can be increased when Selegiline is combined with Levocetirizine.]
[N01BB09, ropivacaine, Selegiline may increase the orthostatic hypotensive activities of Ropivacaine.]
[J01MB01, rosoxacin, The metabolism of Selegiline can be decreased when combined with Rosoxacin.]
[L01EX01, sunitinib, Selegiline may increase the hypoglycemic activities of Sunitinib.]
[A04AD12, aprepitant, The metabolism of Selegiline can be decreased when combined with Aprepitant.]
[L01XG01, bortezomib, The metabolism of Selegiline can be decreased when combined with Bortezomib.]
[G04BE08, tadalafil, Selegiline may increase the hypotensive activities of Tadalafil.]
[S01BC05, ketorolac, The metabolism of Selegiline can be decreased when combined with Ketorolac.]
[C02KX02, ambrisentan, Selegiline may increase the hypotensive activities of Ambrisentan.]
[C01EB18, ranolazine, The serum concentration of Selegiline can be increased when it is combined with Ranolazine.]
[N02BA06, salsalate, The risk or severity of hypertension can be increased when Selegiline is combined with Salsalate.]
[R03AC12, salmeterol, The metabolism of Selegiline can be decreased when combined with Salmeterol.]
[C01CA07, dobutamine, Selegiline may increase the hypertensive activities of Dobutamine.]
[A03FA03, domperidone, The risk or severity of QTc prolongation, torsade de pointes, and cardiotoxicity can be increased when Selegiline is combined with Domperidone.]
[C01CA04, dopamine, The metabolism of Dopamine can be decreased when combined with Selegiline.]
[N06AA16, dothiepin, Selegiline may increase the serotonergic activities of Dosulepin.]
[R07AB01, doxapram, Selegiline may increase the hypertensive activities of Doxapram.]
[N06AA12, doxepin, Selegiline may increase the serotonergic activities of Doxepin.]
[L01DB01, doxorubicin, The metabolism of Selegiline can be decreased when combined with Doxorubicin.]
[R06AA09, doxylamine, Doxylamine may increase the central nervous system depressant (CNS depressant) activities of Selegiline.]
[N06AB06, sertraline, The risk or severity of serotonin syndrome can be increased when Sertraline is combined with Selegiline.]
[N01AB08, sevoflurane, The risk or severity of adverse effects can be increased when Sevoflurane is combined with Selegiline.]
[N05AD08, droperidol, Droperidol may increase the central nervous system depressant (CNS depressant) activities of Selegiline.]
[A08AA10, sibutramine, Selegiline may increase the serotonergic activities of Sibutramine.]
[C10AA01, simvastatin, The metabolism of Selegiline can be decreased when combined with Simvastatin.]
[C09AA11, spirapril, Selegiline may increase the hypotensive activities of Spirapril.]
[N05AL02, sultopride, The risk or severity of adverse effects can be increased when Selegiline is combined with Sultopride.]
[N02CC01, sumatriptan, The metabolism of Sumatriptan can be decreased when combined with Selegiline.]
[C07AB13, talinolol, Selegiline may increase the hypotensive activities of Talinolol.]
[J01MA05, temafloxacin, The metabolism of Selegiline can be decreased when combined with Temafloxacin.]
[M01AC02, tenoxicam, The risk or severity of hypertension can be increased when Tenoxicam is combined with Selegiline.]
[G04CA03, terazosin, Selegiline may increase the hypotensive activities of Terazosin.]
[D01BA02, terbinafine, The metabolism of Selegiline can be decreased when combined with Terbinafine.]
[C07AA16, tertatolol, The metabolism of Tertatolol can be decreased when combined with Selegiline.]
[S01GA02, tetrahydrozoline, The risk or severity of hypertension can be increased when Selegiline is combined with Tetryzoline.]
[M03BX07, tetrazepam, The risk or severity of adverse effects can be increased when Selegiline is combined with Tetrazepam.]
[M03BX05, thiocolchicoside, The risk or severity of adverse effects can be increased when Selegiline is combined with Thiocolchicoside.]
[N05AB05, thiopropazate, The risk or severity of adverse effects can be increased when Selegiline is combined with Thiopropazate.]
[G04BD01, emepronium, Selegiline may increase the central nervous system depressant (CNS depressant) activities of Emepronium.]
[N06AX14, tianeptine, The risk or severity of adverse effects can be increased when Tianeptine is combined with Selegiline.]
[C09AA02, enalapril, Selegiline may increase the hypotensive activities of Enalapril.]
[N05BA23, tofisopam, The risk or severity of adverse effects can be increased when Selegiline is combined with Tofisopam.]
[M01AG02, tolfenamic acid, The risk or severity of hypertension can be increased when Selegiline is combined with Tolfenamic acid.]
[N06AG03, toloxatone, The risk or severity of adverse effects can be increased when Selegiline is combined with Toloxatone.]
[N06BA09, atomoxetine, The risk or severity of adverse effects can be increased when Selegiline is combined with Atomoxetine.]
[N03AX11, topiramate, The risk or severity of adverse effects can be increased when Topiramate is combined with Selegiline.]
[C03CA04, torsemide, Selegiline may increase the hypotensive activities of Torasemide.]
[R01AA09, tramazoline, The risk or severity of hypertension can be increased when Selegiline is combined with Tramazoline.]
[C09AA10, trandolapril, Selegiline may increase the hypotensive activities of Trandolapril.]
[N05CD11, triazulenone, The risk or severity of adverse effects can be increased when Selegiline is combined with Loprazolam.]
[N05CC01, chloral hydrate, The risk or severity of adverse effects can be increased when Selegiline is combined with Chloral hydrate.]
[N05CM07, triclofos, The risk or severity of adverse effects can be increased when Selegiline is combined with Triclofos.]
[A03AB08, tridihexethyl, Selegiline may increase the central nervous system depressant (CNS depressant) activities of Tridihexethyl.]
[B01AC18, triflusal, The risk or severity of bleeding and hemorrhage can be increased when Selegiline is combined with Triflusal.]
[R06AA10, trimethobenzamide, The risk or severity of adverse effects can be increased when Trimethobenzamide is combined with Selegiline.]
[N04AA12, tropatepine, Selegiline may increase the central nervous system depressant (CNS depressant) activities of Tropatepine.]
[C05CA04, troxerutin, The risk or severity of bleeding and hemorrhage can be increased when Selegiline is combined with Troxerutin.]
[R03CC11, tulobuterol, The risk or severity of hypertension can be increased when Selegiline is combined with Tulobuterol.]
[N01AB04, enflurane, The risk or severity of adverse effects can be increased when Enflurane is combined with Selegiline.]
[C02CA06, urapidil, Selegiline may increase the hypotensive activities of Urapidil.]
[J01MA04, enoxacin, The metabolism of Selegiline can be decreased when combined with Enoxacin.]
[N05AL06, veralipride, The risk or severity of adverse effects can be increased when Selegiline is combined with Veralipride.]
[L01CA04, vinorelbine, The metabolism of Selegiline can be decreased when combined with Vinorelbine.]
[S01FB02, ephedrine, The risk or severity of hypertension can be increased when Selegiline is combined with Ephedrine.]
[S01GX10, epinastine, The risk or severity of adverse effects can be increased when Epinastine is combined with Selegiline.]
[N06AX16, venlafaxine, The risk or severity of serotonin syndrome can be increased when Selegiline is combined with Venlafaxine.]
[C01CX07, xamoterol, The risk or severity of hypertension can be increased when Selegiline is combined with Xamoterol.]
[S01GA03, xylometazoline, Selegiline may increase the hypertensive activities of Xylometazoline.]
[C08CA12, mepirodipine, Selegiline may increase the orthostatic hypotensive activities of Barnidipine.]
[S01EA01, epinephrine, Selegiline may increase the hypertensive activities of Epinephrine.]
[C09AA15, zofenopril, Selegiline may increase the hypotensive activities of Zofenopril.]
[N05CF02, zolpidem, Selegiline may increase the central nervous system depressant (CNS depressant) activities of Zolpidem.]
[M01AB04, zomepirac, The risk or severity of hypertension can be increased when Selegiline is combined with Zomepirac.]
[N03AX15, zonisamide, The risk or severity of adverse effects can be increased when Zonisamide is combined with Selegiline.]
[A10AB06, insulin glulisine, human, The risk or severity of hypoglycemia can be increased when Selegiline is combined with Insulin glulisine.]
[N05CF01, zopiclone, The risk or severity of adverse effects can be increased when Selegiline is combined with Zopiclone.]
[N05AX11, zotepine, The therapeutic efficacy of Selegiline can be decreased when used in combination with Zotepine.]
[B01AD03, anistreplase, The risk or severity of bleeding and hemorrhage can be increased when Selegiline is combined with Anistreplase.]
[C02AC02, guanfacine, Selegiline may increase the hypotensive activities of Guanfacine.]
[B01AC11, iloprost, Selegiline may increase the orthostatic hypotensive activities of Iloprost.]
[C01BG01, moricizine, The risk or severity of extrapyramidal symptoms can be increased when Selegiline is combined with Moricizine.]
[G02AB03, ergonovine, Selegiline may increase the hypertensive activities of Ergometrine.]
[C04AE01, ergoloid mesylates, USP, The risk or severity of adverse effects can be increased when Selegiline is combined with Ergoloid mesylate.]
[N02CA02, ergotamine, The metabolism of Ergotamine can be decreased when combined with Selegiline.]
[N03AG01, valproic acid, The risk or severity of adverse effects can be increased when Valproic acid is combined with Selegiline.]
[S01AA17, erythromycin, The metabolism of Selegiline can be decreased when combined with Erythromycin.]
[N05CD04, estazolam, The risk or severity of adverse effects can be increased when Selegiline is combined with Estazolam.]
[H05BX01, cinacalcet, The metabolism of Selegiline can be decreased when combined with Cinacalcet.]
[G03CA03, estradiol, The bioavailability of Selegiline can be increased when combined with Estradiol.]
[G03CA57, estrogens, conjugated (USP), The metabolism of Selegiline can be decreased when combined with Conjugated estrogens.]
[J04AK02, ethambutol, The metabolism of Selegiline can be decreased when combined with Ethambutol.]
[R03BA09, fluticasone furoate, The metabolism of Selegiline can be decreased when combined with Fluticasone furoate.]
[R03BA05, fluticasone, The metabolism of Selegiline can be decreased when combined with Fluticasone.]
[C10AA04, fluvastatin, The metabolism of Selegiline can be decreased when combined with Fluvastatin.]
[C01CA15, gepefrine, The risk or severity of adverse effects can be increased when Gepefrine is combined with Selegiline.]
[N05CM08, ethchlorvynol, The risk or severity of adverse effects can be increased when Ethchlorvynol is combined with Selegiline.]
[L02AA03, ethinyl estradiol, The bioavailability of Selegiline can be increased when combined with Ethinylestradiol.]
[V03AF05, amifostine, Selegiline may increase the orthostatic hypotensive activities of Amifostine.]
[N04AA05, profenamine, Selegiline may increase the central nervous system depressant (CNS depressant) activities of Profenamine.]
[N03AD01, ethosuximide, The risk or severity of adverse effects can be increased when Ethosuximide is combined with Selegiline.]
[N03AB01, ethotoin, The risk or severity of adverse effects can be increased when Ethotoin is combined with Selegiline.]
[M01AC06, meloxicam, The risk or severity of hypertension can be increased when Meloxicam is combined with Selegiline.]
[S01XA06, ethylmorphine, The risk or severity of adverse effects can be increased when Ethylmorphine is combined with Selegiline.]
[C01CA01, etilefrine, The risk or severity of hypertension can be increased when Selegiline is combined with Etilefrine.]
[N01AX07, etomidate, The risk or severity of adverse effects can be increased when Etomidate is combined with Selegiline.]
[L01CB01, etoposide, The metabolism of Selegiline can be decreased when combined with Etoposide.]
[N05AE03, sertindole, The therapeutic efficacy of Selegiline can be decreased when used in combination with Sertindole.]
[R06AX11, astemizole, The metabolism of Astemizole can be decreased when combined with Selegiline.]
[R06AX12, terfenadine, The metabolism of Selegiline can be decreased when combined with Terfenadine.]
[N06AX12, bupropion, The risk or severity of adverse effects can be increased when Selegiline is combined with Bupropion.]
[N06AB08, fluvoxamine, Selegiline may increase the serotonergic activities of Fluvoxamine.]
[C01BB03, tocainide, The metabolism of Tocainide can be decreased when combined with Selegiline.]
[C01BC08, encainide, The metabolism of Encainide can be decreased when combined with Selegiline.]
[B05AA05, dextran, The risk or severity of bleeding and hemorrhage can be increased when Selegiline is combined with Dextran.]
[A02BA03, famotidine, The metabolism of Selegiline can be decreased when combined with Famotidine.]
[P02CA03, albendazole, The metabolism of Selegiline can be increased when combined with Albendazole.]
[C08CA02, felodipine, The metabolism of Selegiline can be decreased when combined with Felodipine.]
[N03AX26, fenfluramine, The risk or severity of serotonin syndrome can be increased when Selegiline is combined with Fenfluramine.]
[M01AE04, fenoprofen, The risk or severity of hypertension can be increased when Fenoprofen is combined with Selegiline.]
[R03CC04, fenoterol, The risk or severity of hypertension can be increased when Selegiline is combined with Fenoterol.]
[N02AB03, fentanyl, The risk or severity of serotonin syndrome can be increased when Selegiline is combined with Fentanyl.]
[R03CC02, albuterol, The risk or severity of hypertension can be increased when Salbutamol is combined with Selegiline.]
[B01AD05, plasmin, The risk or severity of bleeding and hemorrhage can be increased when Selegiline is combined with Fibrinolysin.]
[L01BB06, clofarabine, Selegiline may increase the orthostatic hypotensive activities of Clofarabine.]
[N07AX03, cevimeline, The metabolism of Cevimeline can be decreased when combined with Selegiline.]
[G04BD02, flavoxate, Selegiline may increase the central nervous system depressant (CNS depressant) activities of Flavoxate.]
[C01BC04, flecainide, The metabolism of Flecainide can be decreased when combined with Selegiline.]
[N02BG04, floctafenine, The risk or severity of hypertension can be increased when Selegiline is combined with Floctafenine.]
[J02AC01, fluconazole, The metabolism of Selegiline can be decreased when combined with Fluconazole.]
[N07CA03, flunarizine, The risk or severity of adverse effects can be increased when Selegiline is combined with Flunarizine.]
[N05CD03, flunitrazepam, The risk or severity of adverse effects can be increased when Selegiline is combined with Flunitrazepam.]
[N06AA14, melitracen, Selegiline may increase the serotonergic activities of Melitracen.]
[V03AZ01, ethanol, Selegiline may increase the central nervous system depressant (CNS depressant) activities of Ethanol.]
[L01BC09, floxuridine, The metabolism of Selegiline can be decreased when combined with Floxuridine.]
[L01BC02, fluorouracil, The metabolism of Fluorouracil can be decreased when combined with Selegiline.]
[N06AB03, fluoxetine, The risk or severity of serotonin syndrome can be increased when Selegiline is combined with Fluoxetine.]
[N05AF01, flupenthixol, The therapeutic efficacy of Selegiline can be decreased when used in combination with Flupentixol.]
[N05AB02, fluphenazine, The therapeutic efficacy of Selegiline can be decreased when used in combination with Fluphenazine.]
[N05CD01, flurazepam, The risk or severity of adverse effects can be increased when Flurazepam is combined with Selegiline.]
[S01BC04, flurbiprofen, The risk or severity of hypertension can be increased when Flurbiprofen is combined with Selegiline.]
[N05AG01, fluspirilene, The risk or severity of adverse effects can be increased when Selegiline is combined with Fluspirilene.]
[L02BB01, flutamide, The metabolism of Selegiline can be decreased when combined with Flutamide.]
[L01BC03, tegafur, The metabolism of Tegafur can be decreased when combined with Selegiline.]
[N06BX17, adrafinil, The risk or severity of hypertension can be increased when Selegiline is combined with Adrafinil.]
[M03AA01, alcuronium, The risk or severity of adverse effects can be increased when Selegiline is combined with Alcuronium.]
[G01AX06, furazolidone, The risk or severity of adverse effects can be increased when Furazolidone is combined with Selegiline.]
[J05AE10, darunavir, The metabolism of Selegiline can be decreased when combined with Darunavir.]
[C03CA01, furosemide, Selegiline may increase the hypotensive activities of Furosemide.]
[N05CF04, eszopiclone, The risk or severity of CNS depression can be increased when Selegiline is combined with Eszopiclone.]
[N05AL05, amisulpride, The therapeutic efficacy of Selegiline can be decreased when used in combination with Amisulpride.]
[N06DA04, galantamine, The metabolism of Galantamine can be decreased when combined with Selegiline.]
[M03AC02, gallamine, The risk or severity of adverse effects can be increased when Selegiline is combined with Gallamine.]
[N03AA04, barbexaclone, Barbexaclone may increase the hypotensive activities of Selegiline.]
[N06AX08, bifemelane, The risk or severity of adverse effects can be increased when Selegiline is combined with Bifemelane.]
[C10AB04, gemfibrozil, The metabolism of Selegiline can be decreased when combined with Gemfibrozil.]
[L01EA02, dasatinib, The metabolism of Dasatinib can be decreased when combined with Selegiline.]
[N04BC06, cabergoline, The metabolism of Cabergoline can be decreased when combined with Selegiline.]
[C01CA21, cafedrine, The metabolism of Cafedrine can be decreased when combined with Selegiline.]
[A10BJ02, liraglutide, Selegiline may increase the hypoglycemic activities of Liraglutide.]
[J05AG04, etravirine, The metabolism of Selegiline can be decreased when combined with Etravirine.]
[N03AD03, methsuximide, The risk or severity of adverse effects can be increased when Selegiline is combined with Methsuximide.]
[G03XA02, gestrinone, The bioavailability of Selegiline can be increased when combined with Gestrinone.]
[N01AH02, alfentanil, The risk or severity of adverse effects can be increased when Alfentanil is combined with Selegiline.]
[L01EH01, lapatinib, The metabolism of Lapatinib can be decreased when combined with Selegiline.]
[A10BB01, glyburide, The metabolism of Selegiline can be decreased when combined with Glyburide.]
[A10BB09, gliclazide, Selegiline may increase the hypoglycemic activities of Gliclazide.]
[A10BB07, glipizide, Selegiline may increase the hypoglycemic activities of Glipizide.]
[N05CM18, dexmedetomidine, Selegiline may increase the orthostatic hypotensive activities of Dexmedetomidine.]
[N05CE01, glutethimide, The risk or severity of adverse effects can be increased when Selegiline is combined with Glutethimide.]
[C05AE01, nitroglycerin, Selegiline may increase the hypotensive activities of Nitroglycerin.]
[C02CA04, doxazosin, Selegiline may increase the hypotensive activities of Doxazosin.]
[L01EX02, sorafenib, The metabolism of Sorafenib can be decreased when combined with Selegiline.]
[C07AB09, esmolol, Selegiline may increase the hypotensive activities of Esmolol.]
[B01AA12, fluindione, The risk or severity of bleeding and hemorrhage can be increased when Selegiline is combined with Fluindione.]
[C09AA09, fosinopril, Selegiline may increase the hypotensive activities of Fosinopril.]
[S01EX01, guanethidine, Selegiline may increase the hypotensive activities of Guanethidine.]
[P01BX01, halofantrine, The metabolism of Selegiline can be decreased when combined with Halofantrine.]
[N05AD01, haloperidol, The risk or severity of CNS depression can be increased when Haloperidol is combined with Selegiline.]
[N01AB01, halothane, The risk or severity of adverse effects can be increased when Halothane is combined with Selegiline.]
[N05AH04, quetiapine, The therapeutic efficacy of Selegiline can be decreased when used in combination with Quetiapine.]
[A10AD05, insulin aspart, human, The risk or severity of hypoglycemia can be increased when Selegiline is combined with Insulin aspart.]
[N02CX03, iprazochrome, The risk or severity of adverse effects can be increased when Selegiline is combined with Iprazochrome.]
[L01CE02, irinotecan, The metabolism of Selegiline can be decreased when combined with Irinotecan.]
[N05CA21, allobarbital, The risk or severity of adverse effects can be increased when Selegiline is combined with Allobarbital.]
[C09CA01, losartan, Selegiline may increase the hypotensive activities of Losartan.]
[S01XA14, heparin, The risk or severity of bleeding and hemorrhage can be increased when Selegiline is combined with Heparin.]
[A07EC02, mesalamine, The risk or severity of hypertension can be increased when Mesalazine is combined with Selegiline.]
[L01XX03, altretamine, Altretamine may increase the orthostatic hypotensive activities of Selegiline.]
[N05CA16, hexobarbital, Hexobarbital may increase the hypotensive activities of Selegiline.]
[R03CC05, hexoprenaline, The risk or severity of hypertension can be increased when Selegiline is combined with Hexoprenaline.]
[J05AG01, nevirapine, The metabolism of Selegiline can be increased when combined with Nevirapine.]
[C08CA10, nilvadipine, Selegiline may increase the hypotensive activities of Nilvadipine.]
[M02AA26, nimesulide, The risk or severity of bleeding and hemorrhage can be increased when Selegiline is combined with Nimesulide.]
[C09AA04, perindopril, Selegiline may increase the hypotensive activities of Perindopril.]
[C02DB02, hydralazine, Selegiline may increase the hypotensive activities of Hydralazine.]
[C03AA03, hydrochlorothiazide, Selegiline may increase the hypotensive activities of Hydrochlorothiazide.]
[R05DA03, hydrocodone, Selegiline may increase the serotonergic and central nervous system depressant (CNS depressant) activities of Hydrocodone.]
[S02BA01, hydrocortisone, The metabolism of Selegiline can be increased when combined with Hydrocortisone.]
[C03AA02, hydroflumethiazide, Selegiline may increase the hypotensive activities of Hydroflumethiazide.]
[G04BD06, propiverine, Selegiline may increase the central nervous system depressant (CNS depressant) activities of Propiverine.]
[P01BA02, hydroxychloroquine, The metabolism of Hydroxychloroquine can be decreased when combined with Selegiline.]
[N05AX07, prothipendyl, The risk or severity of adverse effects can be increased when Selegiline is combined with Prothipendyl.]
[N05BB01, hydroxyzine, Hydroxyzine may increase the central nervous system depressant (CNS depressant) activities of Selegiline.]
[J04AB04, rifabutin, The metabolism of Selegiline can be increased when combined with Rifabutin.]
[C02AC06, rilmenidine, Selegiline may increase the hypotensive activities of Rilmenidine.]
[R02AX02, ibuprofen, The metabolism of Ibuprofen can be decreased when combined with Selegiline.]
[B05CB02, sodium citrate, The risk or severity of bleeding and hemorrhage can be increased when Selegiline is combined with Sodium citrate.]
[L01DB06, idarubicin, The metabolism of Idarubicin can be decreased when combined with Selegiline.]
[L01AA06, ifosfamide, The metabolism of Ifosfamide can be decreased when combined with Selegiline.]
[H01AC02, somatrem, The metabolism of Selegiline can be increased when combined with Somatrem.]
[N01AH03, sufentanil, The risk or severity of adverse effects can be increased when Sufentanil is combined with Selegiline.]
[N06AA02, imipramine, Selegiline may increase the serotonergic activities of Imipramine.]
[L01CD01, paclitaxel, The metabolism of Paclitaxel can be decreased when combined with Selegiline.]
[M03BX02, tizanidine, Selegiline may increase the orthostatic hypotensive activities of Tizanidine.]
[C03BA11, indapamide, Selegiline may increase the hypotensive activities of Indapamide.]
[S01BC01, indomethacin, The risk or severity of hypertension can be increased when Indomethacin is combined with Selegiline.]
[C02CA02, indoramin, Selegiline may increase the hypotensive activities of Indoramin.]
[L03AB04, interferon alfa-2a, The metabolism of Selegiline can be decreased when combined with Interferon alfa-2a.]
[L03AB05, interferon alfa-2b, The metabolism of Selegiline can be decreased when combined with Interferon alfa-2b.]
[N06AX17, milnacipran, Selegiline may increase the serotonergic activities of Milnacipran.]
[A03AA30, piperidolate, Selegiline may increase the central nervous system depressant (CNS depressant) activities of Piperidolate.]
[N01BB08, articaine, The risk or severity of adverse effects can be increased when Selegiline is combined with Articaine.]
[A10BH01, sitagliptin, The metabolism of Sitagliptin can be decreased when combined with Selegiline.]
[N05BA12, alprazolam, The risk or severity of adverse effects can be increased when Alprazolam is combined with Selegiline.]
[N05CH02, ramelteon, The risk or severity of adverse effects can be increased when Ramelteon is combined with Selegiline.]
[R06AE01, buclizine, Selegiline may increase the central nervous system depressant (CNS depressant) activities of Buclizine.]
[A10BH02, vildagliptin, Selegiline may increase the hypoglycemic activities of Vildagliptin.]
[C10AA06, cerivastatin, The metabolism of Selegiline can be decreased when combined with Cerivastatin.]
[L01XX35, anagrelide, The risk or severity of bleeding and hemorrhage can be increased when Selegiline is combined with Anagrelide.]
[C07AA01, alprenolol, Selegiline may increase the hypotensive activities of Alprenolol.]
[L03AB09, interferon alfacon-1, The metabolism of Selegiline can be decreased when combined with Interferon alfacon-1.]
[V03AB01, ipecac, The metabolism of Ipecac can be decreased when combined with Selegiline.]
[N06AA13, iprindole, Selegiline may increase the serotonergic activities of Iprindole.]
[N06AF05, iproniazid, The risk or severity of adverse effects can be increased when Selegiline is combined with Iproniazid.]
[J05AB13, penciclovir, The metabolism of Selegiline can be decreased when combined with Penciclovir.]
[N05AA07, chlorproethazine, The risk or severity of extrapyramidal symptoms can be increased when Selegiline is combined with Chlorproethazine.]
[N06AF01, isocarboxazid, The risk or severity of adverse effects can be increased when Selegiline is combined with Isocarboxazid.]
[P01AX06, atovaquone, The metabolism of Selegiline can be decreased when combined with Atovaquone.]
[R03CC06, isoetharine, The risk or severity of hypertension can be increased when Isoetharine is combined with Selegiline.]
[C09AA16, imidapril, Selegiline may increase the hypotensive activities of Imidapril.]
[N01AB06, isoflurane, The risk or severity of adverse effects can be increased when Isoflurane is combined with Selegiline.]
[N04BX02, entacapone, The risk or severity of adverse effects can be increased when Entacapone is combined with Selegiline.]
[J04AC01, isoniazid, The metabolism of Selegiline can be decreased when combined with Isoniazid.]
[R03CB01, isoproterenol, The risk or severity of hypertension can be increased when Selegiline is combined with Isoprenaline.]
[A10BJ01, exenatide, Selegiline may increase the hypoglycemic activities of Exenatide.]
[C01DA14, isosorbide mononitrate, Selegiline may increase the orthostatic hypotensive activities of Isosorbide mononitrate.]
[C05AE02, isosorbide dinitrate, Selegiline may increase the orthostatic hypotensive activities of Isosorbide dinitrate.]
[C04AA01, isoxsuprine, Selegiline may increase the orthostatic hypotensive activities of Isoxsuprine.]
[B01AE06, bivalirudin, The risk or severity of bleeding and hemorrhage can be increased when Selegiline is combined with Bivalirudin.]
[N06AX18, reboxetine, The risk or severity of adverse effects can be increased when Reboxetine is combined with Selegiline.]
[H01AC01, somatropin, The metabolism of Selegiline can be increased when combined with Somatotropin.]
[L04AC07, tocilizumab, The metabolism of Selegiline can be increased when combined with Tocilizumab.]
[N01AX03, ketamine, The risk or severity of adverse effects can be increased when Selegiline is combined with Ketamine.]
[C02KD01, ketanserin, Selegiline may increase the hypotensive activities of Ketanserin.]
[B01AC22, prasugrel, The risk or severity of bleeding and hemorrhage can be increased when Selegiline is combined with Prasugrel.]
[J02AB02, ketoconazole, The metabolism of Selegiline can be decreased when combined with Ketoconazole.]
