[S02DA03, antipyrine, The metabolism of Olodaterol can be decreased when combined with Antipyrine.]
[C08EA01, fendiline, The risk or severity of QTc prolongation can be increased when Olodaterol is combined with Fendiline.]
[M01AE04, fenoprofen, The risk or severity of hypertension can be increased when Fenoprofen is combined with Olodaterol.]
[R03CC04, fenoterol, The risk or severity of adverse effects can be increased when Fenoterol is combined with Olodaterol.]
[N02AB03, fentanyl, The risk or severity of hypertension can be increased when Fentanyl is combined with Olodaterol.]
[R03CC02, albuterol, The risk or severity of adverse effects can be increased when Salbutamol is combined with Olodaterol.]
[G04BD02, flavoxate, The risk or severity of Tachycardia can be increased when Flavoxate is combined with Olodaterol.]
[C01BC04, flecainide, The metabolism of Olodaterol can be decreased when combined with Flecainide.]
[N02BG04, floctafenine, The risk or severity of hypertension can be increased when Floctafenine is combined with Olodaterol.]
[J02AC01, fluconazole, The metabolism of Olodaterol can be decreased when combined with Fluconazole.]
[H02AA02, fludrocortisone, The risk or severity of hypokalemia can be increased when Fludrocortisone is combined with Olodaterol.]
[D07XB01, flumethasone, The risk or severity of hypokalemia can be increased when Flumethasone is combined with Olodaterol.]
[N07CA03, flunarizine, The metabolism of Olodaterol can be decreased when combined with Flunarizine.]
[N05CD03, flunitrazepam, The metabolism of Olodaterol can be decreased when combined with Flunitrazepam.]
[D07AC08, fluocinonide, The risk or severity of hypokalemia can be increased when Fluocinonide is combined with Olodaterol.]
[N06AA14, melitracen, The risk or severity of hypertension can be increased when Melitracen is combined with Olodaterol.]
[H02AB03, fluocortolone, The risk or severity of hypokalemia can be increased when Fluocortolone is combined with Olodaterol.]
[V03AZ01, ethanol, The metabolism of Olodaterol can be decreased when combined with Ethanol.]
[L01BC09, floxuridine, The metabolism of Olodaterol can be decreased when combined with Floxuridine.]
[S01CB05, fluorometholone, The risk or severity of hypokalemia can be increased when Fluorometholone is combined with Olodaterol.]
[L01BC02, fluorouracil, The metabolism of Fluorouracil can be decreased when combined with Olodaterol.]
[N06AB03, fluoxetine, The risk or severity of QTc prolongation can be increased when Fluoxetine is combined with Olodaterol.]
[N05AF01, flupenthixol, The therapeutic efficacy of Olodaterol can be decreased when used in combination with Flupentixol.]
[S01BC04, flurbiprofen, The risk or severity of hypertension can be increased when Flurbiprofen is combined with Olodaterol.]
[N05AG01, fluspirilene, The risk or severity of QTc prolongation can be increased when Olodaterol is combined with Fluspirilene.]
[L01BC03, tegafur, The metabolism of Tegafur can be decreased when combined with Olodaterol.]
[N06BX17, adrafinil, The risk or severity of hypertension can be increased when Adrafinil is combined with Olodaterol.]
[G01AX06, furazolidone, The risk or severity of hypertension can be increased when Furazolidone is combined with Olodaterol.]
[C03CA01, furosemide, The risk or severity of hypokalemia can be increased when Olodaterol is combined with Furosemide.]
[N05CF04, eszopiclone, The metabolism of Olodaterol can be decreased when combined with Eszopiclone.]
[N05AL05, amisulpride, The risk or severity of QTc prolongation can be increased when Amisulpride is combined with Olodaterol.]
[N06DA04, galantamine, The risk or severity of QTc prolongation can be increased when Galantamine is combined with Olodaterol.]
[C08DA02, gallopamil, The risk or severity of QTc prolongation can be increased when Olodaterol is combined with Gallopamil.]
[C10AB04, gemfibrozil, The metabolism of Olodaterol can be decreased when combined with Gemfibrozil.]
[J01XA03, telavancin, The risk or severity of QTc prolongation can be increased when Olodaterol is combined with Telavancin.]
[L02BX02, degarelix, The risk or severity of QTc prolongation can be increased when Degarelix is combined with Olodaterol.]
[L01EA02, dasatinib, The risk or severity of QTc prolongation can be increased when Dasatinib is combined with Olodaterol.]
[N04BC06, cabergoline, Cabergoline may increase the hypertensive and vasoconstricting activities of Olodaterol.]
[C01CA21, cafedrine, Cafedrine may increase the hyperkalemic activities of Olodaterol.]
[J05AG04, etravirine, The metabolism of Olodaterol can be decreased when combined with Etravirine.]
[N03AD03, methsuximide, The risk or severity of QTc prolongation can be increased when Methsuximide is combined with Olodaterol.]
[N01AH02, alfentanil, The risk or severity of hypertension can be increased when Alfentanil is combined with Olodaterol.]
[L01EH01, lapatinib, The risk or severity of QTc prolongation can be increased when Lapatinib is combined with Olodaterol.]
[A10BB01, glyburide, The metabolism of Olodaterol can be decreased when combined with Glyburide.]
[A10BB09, gliclazide, The metabolism of Olodaterol can be decreased when combined with Gliclazide.]
[A10BB07, glipizide, The metabolism of Olodaterol can be decreased when combined with Glipizide.]
[N05CM18, dexmedetomidine, The risk or severity of hypertension can be increased when Dexmedetomidine is combined with Olodaterol.]
[C05AE01, nitroglycerin, Olodaterol may decrease the antihypertensive activities of Nitroglycerin.]
[C01BD04, dofetilide, The risk or severity of QTc prolongation can be increased when Olodaterol is combined with Dofetilide.]
[C02CA04, doxazosin, The therapeutic efficacy of Olodaterol can be decreased when used in combination with Doxazosin.]
[L01EX02, sorafenib, The metabolism of Sorafenib can be decreased when combined with Olodaterol.]
[C07AB09, esmolol, The therapeutic efficacy of Olodaterol can be decreased when used in combination with Esmolol.]
[B01AA12, fluindione, The metabolism of Fluindione can be decreased when combined with Olodaterol.]
[C09AA09, fosinopril, Olodaterol may decrease the antihypertensive activities of Fosinopril.]
[S01EX01, guanethidine, Olodaterol may decrease the antihypertensive activities of Guanethidine.]
[L02AE03, goserelin, The risk or severity of QTc prolongation can be increased when Olodaterol is combined with Goserelin.]
[P01BX01, halofantrine, The risk or severity of QTc prolongation can be increased when Olodaterol is combined with Halofantrine.]
[N05AD01, haloperidol, The risk or severity of QTc prolongation can be increased when Olodaterol is combined with Haloperidol.]
[N01AB01, halothane, The risk or severity of hypertension can be increased when Halothane is combined with Olodaterol.]
[L02AE05, histrelin, The risk or severity of QTc prolongation can be increased when Histrelin is combined with Olodaterol.]
[N05AH04, quetiapine, The therapeutic efficacy of Olodaterol can be decreased when used in combination with Quetiapine.]
[C09CA01, losartan, The risk or severity of QTc prolongation can be increased when Losartan is combined with Olodaterol.]
[A07EC02, mesalamine, The risk or severity of hypertension can be increased when Mesalazine is combined with Olodaterol.]
[N05CA16, hexobarbital, The metabolism of Olodaterol can be decreased when combined with Hexobarbital.]
[R03CC05, hexoprenaline, The risk or severity of adverse effects can be increased when Hexoprenaline is combined with Olodaterol.]
[J05AG01, nevirapine, The metabolism of Olodaterol can be decreased when combined with Nevirapine.]
[C08CA10, nilvadipine, The metabolism of Olodaterol can be decreased when combined with Nilvadipine.]
[M02AA26, nimesulide, The risk or severity of hypertension can be increased when Nimesulide is combined with Olodaterol.]
[R06AE06, oxatomide, The risk or severity of QTc prolongation can be increased when Olodaterol is combined with Oxatomide.]
[C09AA04, perindopril, Olodaterol may decrease the antihypertensive activities of Perindopril.]
[C02DB02, hydralazine, Olodaterol may decrease the antihypertensive activities of Hydralazine.]
[C03AA03, hydrochlorothiazide, The risk or severity of hypokalemia can be increased when Olodaterol is combined with Hydrochlorothiazide.]
[S02BA01, hydrocortisone, The risk or severity of hypokalemia can be increased when Hydrocortisone is combined with Olodaterol.]
[C03AA02, hydroflumethiazide, The risk or severity of hypokalemia can be increased when Olodaterol is combined with Hydroflumethiazide.]
[G04BD06, propiverine, The therapeutic efficacy of Olodaterol can be decreased when used in combination with Propiverine.]
[P01BA02, hydroxychloroquine, The risk or severity of QTc prolongation can be increased when Hydroxychloroquine is combined with Olodaterol.]
[N05BB01, hydroxyzine, The risk or severity of QTc prolongation can be increased when Olodaterol is combined with Hydroxyzine.]
[J04AB04, rifabutin, The metabolism of Olodaterol can be increased when combined with Rifabutin.]
[C02AC06, rilmenidine, Olodaterol may decrease the antihypertensive activities of Rilmenidine.]
[R02AX02, ibuprofen, The metabolism of Olodaterol can be decreased when combined with Ibuprofen.]
[L01DB06, idarubicin, The metabolism of Olodaterol can be decreased when combined with Idarubicin.]
[L01AA06, ifosfamide, The metabolism of Olodaterol can be increased when combined with Ifosfamide.]
[N01AH03, sufentanil, The risk or severity of hypertension can be increased when Sufentanil is combined with Olodaterol.]
[N06AA02, imipramine, The therapeutic efficacy of Olodaterol can be decreased when used in combination with Imipramine.]
[L01CD01, paclitaxel, The metabolism of Paclitaxel can be decreased when combined with Olodaterol.]
[H01BA04, terlipressin, The risk or severity of QTc prolongation can be increased when Olodaterol is combined with Terlipressin.]
[R01AD07, tixocortol, The risk or severity of hypokalemia can be increased when Tixocortol is combined with Olodaterol.]
[M03BX02, tizanidine, The risk or severity of QTc prolongation can be increased when Tizanidine is combined with Olodaterol.]
[C03BA11, indapamide, The risk or severity of QTc prolongation can be increased when Indapamide is combined with Olodaterol.]
[S01BC01, indomethacin, The risk or severity of hypertension can be increased when Indomethacin is combined with Olodaterol.]
[C02CA02, indoramin, The therapeutic efficacy of Olodaterol can be decreased when used in combination with Indoramin.]
[N06AX17, milnacipran, Milnacipran may increase the tachycardic activities of Olodaterol.]
[A03AA30, piperidolate, The risk or severity of Tachycardia can be increased when Olodaterol is combined with Piperidolate.]
[A10BH01, sitagliptin, The metabolism of Olodaterol can be decreased when combined with Sitagliptin.]
[N05CH02, ramelteon, The metabolism of Olodaterol can be decreased when combined with Ramelteon.]
[R06AE01, buclizine, The risk or severity of QTc prolongation can be increased when Buclizine is combined with Olodaterol.]
[G02CX01, atosiban, The risk or severity of adverse effects can be increased when Olodaterol is combined with Atosiban.]
[C10AA06, cerivastatin, The metabolism of Olodaterol can be decreased when combined with Cerivastatin.]
[L01XX35, anagrelide, The risk or severity of QTc prolongation can be increased when Olodaterol is combined with Anagrelide.]
[C07AA01, alprenolol, Alprenolol may decrease the bronchodilatory activities of Olodaterol.]
[C03BA02, quinethazone, Olodaterol may increase the hypokalemic activities of Quinethazone.]
[N06AA13, iprindole, The risk or severity of hypertension can be increased when Iprindole is combined with Olodaterol.]
[N06AF05, iproniazid, The metabolism of Olodaterol can be decreased when combined with Iproniazid.]
[N06AF01, isocarboxazid, The risk or severity of hypertension can be increased when Isocarboxazid is combined with Olodaterol.]
[P01AX06, atovaquone, The metabolism of Olodaterol can be decreased when combined with Atovaquone.]
[R03CC06, isoetharine, The risk or severity of adverse effects can be increased when Isoetharine is combined with Olodaterol.]
[C09AA16, imidapril, Olodaterol may decrease the antihypertensive activities of Imidapril.]
[N01AB06, isoflurane, The risk or severity of QTc prolongation can be increased when Isoflurane is combined with Olodaterol.]
[J04AC01, isoniazid, The metabolism of Olodaterol can be decreased when combined with Isoniazid.]
[R03CB01, isoproterenol, The risk or severity of adverse effects can be increased when Isoprenaline is combined with Olodaterol.]
[C04AA01, isoxsuprine, The risk or severity of hypertension can be increased when Isoxsuprine is combined with Olodaterol.]
[L04AC07, tocilizumab, The metabolism of Olodaterol can be increased when combined with Tocilizumab.]
[N01AX03, ketamine, The metabolism of Olodaterol can be decreased when combined with Ketamine.]
[C02KD01, ketanserin, Olodaterol may decrease the antihypertensive activities of Ketanserin.]
[B01AC22, prasugrel, The metabolism of Olodaterol can be decreased when combined with Prasugrel.]
[J02AB02, ketoconazole, The metabolism of Olodaterol can be decreased when combined with Ketoconazole.]
[H02CA04, levoketoconazole, The metabolism of Olodaterol can be decreased when combined with Levoketoconazole.]
[N05AH03, olanzapine, The therapeutic efficacy of Olodaterol can be decreased when used in combination with Olanzapine.]
[M02AA10, ketoprofen, The risk or severity of hypertension can be increased when Ketoprofen is combined with Olodaterol.]
[V03AC03, deferasirox, The metabolism of Olodaterol can be decreased when combined with Deferasirox.]
[L04AA24, abatacept, The metabolism of Olodaterol can be increased when combined with Abatacept.]
[R06AX25, mizolastine, The risk or severity of QTc prolongation can be increased when Olodaterol is combined with Mizolastine.]
[C01CA22, arbutamine, The risk or severity of adverse effects can be increased when Arbutamine is combined with Olodaterol.]
[N04BC09, rotigotine, The risk or severity of hypertension can be increased when Rotigotine is combined with Olodaterol.]
[J01MB02, nalidixic acid, The risk or severity of QTc prolongation can be increased when Olodaterol is combined with Nalidixic acid.]
[M01AE11, tiaprofenic acid, The risk or severity of hypertension can be increased when Tiaprofenic acid is combined with Olodaterol.]
[C07AG01, labetalol, The therapeutic efficacy of Olodaterol can be decreased when used in combination with Labetalol.]
[N04BB01, amantadine, The risk or severity of QTc prolongation can be increased when Amantadine is combined with Olodaterol.]
[C02AA05, deserpidine, Olodaterol may decrease the antihypertensive activities of Deserpidine.]
[N03AX18, lacosamide, The metabolism of Olodaterol can be decreased when combined with Lacosamide.]
[C03CC01, ethacrynic acid, The risk or severity of hypokalemia can be increased when Olodaterol is combined with Etacrynic acid.]
[C08EX01, lidoflazine, The risk or severity of QTc prolongation can be increased when Olodaterol is combined with Lidoflazine.]
[N06BA13, armodafinil, The metabolism of Olodaterol can be decreased when combined with Armodafinil.]
[N02CA07, lisuride, Lisuride may increase the hypertensive and vasoconstricting activities of Olodaterol.]
[N06AA07, lofepramine, The risk or severity of hypertension can be increased when Lofepramine is combined with Olodaterol.]
[A07DA03, loperamide, The metabolism of Olodaterol can be decreased when combined with Loperamide.]
[C10AA02, lovastatin, The metabolism of Olodaterol can be decreased when combined with Lovastatin.]
[N05AH01, loxapine, The therapeutic efficacy of Olodaterol can be decreased when used in combination with Loxapine.]
[G03DC03, lynestrenol, The metabolism of Lynestrenol can be decreased when combined with Olodaterol.]
[L01EA03, nilotinib, The risk or severity of QTc prolongation can be increased when Olodaterol is combined with Nilotinib.]
[N06AA21, maprotiline, The risk or severity of QTc prolongation can be increased when Maprotiline is combined with Olodaterol.]
[C02BB01, mecamylamine, Olodaterol may decrease the antihypertensive activities of Mecamylamine.]
[M02AA18, meclofenamic acid, The risk or severity of hypertension can be increased when Meclofenamic acid is combined with Olodaterol.]
[P01BC02, mefloquine, The risk or severity of QTc prolongation can be increased when Mefloquine is combined with Olodaterol.]
[C01CA11, mephentermine, The risk or severity of hypertension can be increased when Mephentermine is combined with Olodaterol.]
[N03AB04, mephenytoin, The metabolism of Olodaterol can be decreased when combined with Mephenytoin.]
[N05AC03, mesoridazine, The risk or severity of QTc prolongation can be increased when Olodaterol is combined with Mesoridazine.]
[N05AX13, paliperidone, The therapeutic efficacy of Olodaterol can be decreased when used in combination with Paliperidone.]
[C01CA09, metaraminol, The risk or severity of hypertension can be increased when Metaraminol is combined with Olodaterol.]
[A04AA04, dolasetron, The risk or severity of QTc prolongation can be increased when Olodaterol is combined with Dolasetron.]
[N07BC02, methadone, The risk or severity of QTc prolongation can be increased when Olodaterol is combined with Methadone.]
[N06BA03, methamphetamine, The risk or severity of hypertension can be increased when Metamfetamine is combined with Olodaterol.]
[A03AB07, methantheline, The risk or severity of Tachycardia can be increased when Methantheline is combined with Olodaterol.]
[G02CB05, metergoline, Metergoline may increase the hypertensive and vasoconstricting activities of Olodaterol.]
[H03BB02, methimazole, The metabolism of Olodaterol can be decreased when combined with Methimazole.]
[N05AA02, methotrimeprazine, The therapeutic efficacy of Olodaterol can be decreased when used in combination with Methotrimeprazine.]
[C01CA10, methoxamine, The risk or severity of hypertension can be increased when Methoxamine is combined with Olodaterol.]
[N02BG09, methoxyflurane, The risk or severity of hypertension can be increased when Methoxyflurane is combined with Olodaterol.]
[C03AA08, methyclothiazide, The risk or severity of hypokalemia can be increased when Olodaterol is combined with Methyclothiazide.]
[C02AB01, methyldopa, Olodaterol may decrease the antihypertensive activities of Methyldopa.]
[V04CG05, methylene blue, The metabolism of Olodaterol can be decreased when combined with Methylene blue.]
[G02AB01, methylergonovine, Methylergometrine may increase the hypertensive and vasoconstricting activities of Olodaterol.]
[R03DA05, aminophylline, Aminophylline may increase the hyperkalemic activities of Olodaterol.]
[N06BA04, methylphenidate, The risk or severity of hypertension can be increased when Methylphenidate is combined with Olodaterol.]
[H02AB04, methylprednisolone, The risk or severity of hypokalemia can be increased when Methylprednisolone is combined with Olodaterol.]
[D07AC14, methylprednisolone aceponate, The risk or severity of hypokalemia can be increased when Methylprednisolone aceponate is combined with Olodaterol.]
[N02CA04, methysergide, Methysergide may increase the hypertensive and vasoconstricting activities of Olodaterol.]
[A03FA01, metoclopramide, The risk or severity of QTc prolongation can be increased when Metoclopramide is combined with Olodaterol.]
[C03BA08, metolazone, Olodaterol may decrease the antihypertensive activities of Metolazone.]
[C07AB02, metoprolol, The therapeutic efficacy of Olodaterol can be decreased when used in combination with Metoprolol.]
[P01AB01, metronidazole, The risk or severity of QTc prolongation can be increased when Metronidazole is combined with Olodaterol.]
[N06AX03, mianserin, The risk or severity of hypertension can be increased when Mianserin is combined with Olodaterol.]
[S02AA13, miconazole, The metabolism of Olodaterol can be decreased when combined with Miconazole.]
[N02BB03, aminopyrine, The metabolism of Olodaterol can be decreased when combined with Aminophenazone.]
[C01CA17, midodrine, The risk or severity of hypertension can be increased when Midodrine is combined with Olodaterol.]
[G03XB01, mifepristone, The serum concentration of Olodaterol can be increased when it is combined with Mifepristone.]
[C09CA03, valsartan, The metabolism of Olodaterol can be decreased when combined with Valsartan.]
[D11AX01, minoxidil, Olodaterol may decrease the antihypertensive activities of Minoxidil.]
[N06BA12, lisdexamfetamine, The risk or severity of hypertension can be increased when Lisdexamfetamine is combined with Olodaterol.]
[C01BD01, amiodarone, The metabolism of Amiodarone can be decreased when combined with Olodaterol.]
[N06AA09, amitriptyline, The therapeutic efficacy of Olodaterol can be decreased when used in combination with Amitriptyline.]
[N02AA01, morphine, The metabolism of Olodaterol can be decreased when combined with Morphine.]
[L04AB05, certolizumab pegol, The metabolism of Olodaterol can be increased when combined with Certolizumab pegol.]
[B02BX05, eltrombopag, The metabolism of Olodaterol can be decreased when combined with Eltrombopag.]
[L01EX03, pazopanib, The metabolism of Pazopanib can be decreased when combined with Olodaterol.]
[P01BA06, amodiaquine, The risk or severity of QTc prolongation can be increased when Amodiaquine is combined with Olodaterol.]
[G04CA04, silodosin, The therapeutic efficacy of Olodaterol can be decreased when used in combination with Silodosin.]
[R03BB01, ipratropium bromide, The risk or severity of Tachycardia can be increased when Ipratropium is combined with Olodaterol.]
[G03XC01, raloxifene, The metabolism of Olodaterol can be decreased when combined with Raloxifene.]
[N06AA17, amoxapine, The therapeutic efficacy of Olodaterol can be decreased when used in combination with Amoxapine.]
[N03AB05, fosphenytoin, The metabolism of Fosphenytoin can be decreased when combined with Olodaterol.]
[C07AA12, nadolol, Nadolol may decrease the bronchodilatory activities of Olodaterol.]
[L04AC03, anakinra, The metabolism of Olodaterol can be increased when combined with Anakinra.]
[S01GA01, naphazoline, The risk or severity of hypertension can be increased when Naphazoline is combined with Olodaterol.]
[N06BA01, amphetamine, The risk or severity of hypertension can be increased when Amphetamine is combined with Olodaterol.]
[M02AA12, naproxen, The metabolism of Olodaterol can be decreased when combined with Naproxen.]
[A10BG01, troglitazone, The metabolism of Olodaterol can be decreased when combined with Troglitazone.]
[N06AX21, duloxetine, Duloxetine may increase the tachycardic activities of Olodaterol.]
[N01AH06, remifentanil, The risk or severity of hypertension can be increased when Remifentanil is combined with Olodaterol.]
[A10BX02, repaglinide, The metabolism of Olodaterol can be decreased when combined with Repaglinide.]
[C01CX08, levosimendan, The risk or severity of QTc prolongation can be increased when Olodaterol is combined with Levosimendan.]
[N05AX14, iloperidone, The therapeutic efficacy of Olodaterol can be decreased when used in combination with Iloperidone.]
[N06AX23, desvenlafaxine, Desvenlafaxine may increase the tachycardic activities of Olodaterol.]
[C09CA07, telmisartan, Olodaterol may decrease the antihypertensive activities of Telmisartan.]
[N06AF02, nialamide, The risk or severity of hypertension can be increased when Nialamide is combined with Olodaterol.]
[C08CA04, nicardipine, The metabolism of Olodaterol can be decreased when combined with Nicardipine.]
[C04AE02, nicergoline, Nicergoline may increase the hypertensive and vasoconstricting activities of Olodaterol.]
[P02DA01, niclosamide, The metabolism of Olodaterol can be decreased when combined with Niclosamide.]
[N07BA01, nicotine, The risk or severity of Tachycardia can be increased when Nicotine is combined with Olodaterol.]
[C08CA05, nifedipine, The risk or severity of QTc prolongation can be increased when Olodaterol is combined with Nifedipine.]
[M02AA17, niflumic acid, The risk or severity of hypertension can be increased when Niflumic acid is combined with Olodaterol.]
[C08CA06, nimodipine, Olodaterol may decrease the antihypertensive activities of Nimodipine.]
[C08CA07, nisoldipine, Olodaterol may decrease the antihypertensive activities of Nisoldipine.]
[C08CA08, nitrendipine, The risk or severity of QTc prolongation can be increased when Nitrendipine is combined with Olodaterol.]
[C02DD01, nitroprusside, Olodaterol may decrease the antihypertensive activities of Nitroprusside.]
[N01AX13, nitrous oxide, The risk or severity of hypertension can be increased when Nitrous oxide is combined with Olodaterol.]
[C01CA03, norepinephrine, The risk or severity of adverse effects can be increased when Norepinephrine is combined with Olodaterol.]
[S01AE02, norfloxacin, The risk or severity of QTc prolongation can be increased when Norfloxacin is combined with Olodaterol.]
[C02KX01, bosentan, The metabolism of Olodaterol can be increased when combined with Bosentan.]
[N06AA10, nortriptyline, The therapeutic efficacy of Olodaterol can be decreased when used in combination with Nortriptyline.]
[R05DA07, noscapine, The metabolism of Olodaterol can be decreased when combined with Noscapine.]
[G02CA02, nylidrin, The risk or severity of hypertension can be increased when Nylidrin is combined with Olodaterol.]
[H01CB02, octreotide, The risk or severity of QTc prolongation can be increased when Octreotide is combined with Olodaterol.]
[S02AA16, ofloxacin, The risk or severity of QTc prolongation can be increased when Olodaterol is combined with Ofloxacin.]
[L04AC04, rilonacept, The metabolism of Olodaterol can be increased when combined with Rilonacept.]
[A02BC01, omeprazole, The metabolism of Olodaterol can be decreased when combined with Omeprazole.]
[N06AA05, opipramol, The risk or severity of hypertension can be increased when Opipramol is combined with Olodaterol.]
[R03CB03, metaproterenol, The risk or severity of adverse effects can be increased when Orciprenaline is combined with Olodaterol.]
[G04CA02, tamsulosin, The therapeutic efficacy of Olodaterol can be decreased when used in combination with Tamsulosin.]
[A14AA08, oxandrolone, The metabolism of Olodaterol can be decreased when combined with Oxandrolone.]
[J01MB05, oxolinic acid, The risk or severity of QTc prolongation can be increased when Olodaterol is combined with Oxolinic acid.]
[C07AA02, oxprenolol, Oxprenolol may decrease the bronchodilatory activities of Olodaterol.]
[C01DX03, oxyfedrine, The risk or severity of hypertension can be increased when Olodaterol is combined with Oxyfedrine.]
[S01GA04, oxymetazoline, The risk or severity of hypertension can be increased when Oxymetazoline is combined with Olodaterol.]
[S01BC02, oxyphenbutazone, The risk or severity of hypertension can be increased when Oxyphenbutazone is combined with Olodaterol.]
[A03AB03, oxyphenonium, The risk or severity of Tachycardia can be increased when Oxyphenonium is combined with Olodaterol.]
[H01BB02, oxytocin, The risk or severity of QTc prolongation can be increased when Oxytocin is combined with Olodaterol.]
[N05AH05, asenapine, The therapeutic efficacy of Olodaterol can be decreased when used in combination with Asenapine.]
[M03AC01, pancuronium, The risk or severity of Tachycardia can be increased when Pancuronium is combined with Olodaterol.]
[G04BE02, papaverine, The risk or severity of QTc prolongation can be increased when Olodaterol is combined with Papaverine.]
[H02AB05, paramethasone, The risk or severity of hypokalemia can be increased when Paramethasone is combined with Olodaterol.]
[C02KC01, pargyline, Olodaterol may decrease the antihypertensive activities of Pargyline.]
[J01MA03, pefloxacin, The risk or severity of QTc prolongation can be increased when Pefloxacin is combined with Olodaterol.]
[G04BD11, fesoterodine, The risk or severity of Tachycardia can be increased when Fesoterodine is combined with Olodaterol.]
[C07AA23, penbutolol, Penbutolol may decrease the bronchodilatory activities of Olodaterol.]
[N05AG03, penfluridol, The risk or severity of QTc prolongation can be increased when Olodaterol is combined with Penfluridol.]
[C04AD03, pentoxifylline, Pentoxifylline may increase the hyperkalemic activities of Olodaterol.]
[N04BC02, pergolide, Pergolide may increase the hypertensive and vasoconstricting activities of Olodaterol.]
[C08EX02, perhexiline, The risk or severity of QTc prolongation can be increased when Perhexiline is combined with Olodaterol.]
[N02BE03, phenacetin, The metabolism of Olodaterol can be decreased when combined with Phenacetin.]
[N06AF03, phenelzine, The risk or severity of hypertension can be increased when Phenelzine is combined with Olodaterol.]
[R06AB05, pheniramine, The risk or severity of QTc prolongation can be increased when Pheniramine is combined with Olodaterol.]
[N03AA02, phenobarbital, The metabolism of Olodaterol can be increased when combined with Phenobarbital.]
[C04AX02, phenoxybenzamine, The therapeutic efficacy of Olodaterol can be decreased when used in combination with Phenoxybenzamine.]
[B01AA04, phenprocoumon, The metabolism of Phenprocoumon can be decreased when combined with Olodaterol.]
[A08AA01, phentermine, The risk or severity of hypertension can be increased when Phentermine is combined with Olodaterol.]
[V03AB36, phentolamine, The therapeutic efficacy of Olodaterol can be decreased when used in combination with Phentolamine.]
[M02AA01, phenylbutazone, The metabolism of Olodaterol can be decreased when combined with Phenylbutazone.]
[S01GA05, phenylephrine, The risk or severity of hypertension can be increased when Phenylephrine is combined with Olodaterol.]
[R01BA01, phenylpropanolamine, The risk or severity of adverse effects can be increased when Phenylpropanolamine is combined with Olodaterol.]
[N03AB02, phenytoin, The metabolism of Phenytoin can be decreased when combined with Olodaterol.]
[L04AB06, golimumab, The metabolism of Olodaterol can be increased when combined with Golimumab.]
[S01AE05, levofloxacin, The risk or severity of QTc prolongation can be increased when Olodaterol is combined with Levofloxacin.]
[C08CX01, mibefradil, Olodaterol may decrease the antihypertensive activities of Mibefradil.]
[N05AG02, pimozide, The risk or severity of QTc prolongation can be increased when Olodaterol is combined with Pimozide.]
[C07AA03, pindolol, Pindolol may decrease the bronchodilatory activities of Olodaterol.]
[C10AA05, atorvastatin, The metabolism of Olodaterol can be decreased when combined with Atorvastatin.]
[J05AE01, saquinavir, The metabolism of Olodaterol can be decreased when combined with Saquinavir.]
[C09CA02, eprosartan, Olodaterol may decrease the antihypertensive activities of Eprosartan.]
[A02BX03, pirenzepine, The risk or severity of Tachycardia can be increased when Pirenzepine is combined with Olodaterol.]
[S01BC06, piroxicam, The metabolism of Olodaterol can be decreased when combined with Piroxicam.]
[J01MA11, grepafloxacin, The risk or severity of QTc prolongation can be increased when Olodaterol is combined with Grepafloxacin.]
[N02CX01, pizotyline, The therapeutic efficacy of Olodaterol can be decreased when used in combination with Pizotifen.]
[J05AG02, delavirdine, The metabolism of Olodaterol can be decreased when combined with Delavirdine.]
[C09CA04, irbesartan, The metabolism of Olodaterol can be decreased when combined with Irbesartan.]
[D05AX05, tazarotene, The metabolism of Olodaterol can be decreased when combined with Tazarotene.]
[A10BG02, rosiglitazone, The metabolism of Olodaterol can be decreased when combined with Rosiglitazone.]
[L02BG03, anastrozole, The metabolism of Olodaterol can be decreased when combined with Anastrozole.]
[A03AE01, alosetron, The metabolism of Olodaterol can be decreased when combined with Alosetron.]
[L04AC08, canakinumab, The metabolism of Olodaterol can be increased when combined with Canakinumab.]
[C03AA05, polythiazide, The risk or severity of hypokalemia can be increased when Olodaterol is combined with Polythiazide.]
[J05AE03, ritonavir, The metabolism of Olodaterol can be decreased when combined with Ritonavir.]
[C10AA08, pitavastatin, The metabolism of Olodaterol can be decreased when combined with Pitavastatin.]
[C07AB01, practolol, The therapeutic efficacy of Olodaterol can be decreased when used in combination with Practolol.]
[C01BA08, prajmaline, The risk or severity of QTc prolongation can be increased when Olodaterol is combined with Prajmaline.]
[C02CA01, prazosin, The therapeutic efficacy of Olodaterol can be decreased when used in combination with Prazosin.]
[S03BA02, prednisolone, The risk or severity of hypokalemia can be increased when Prednisolone is combined with Olodaterol.]
[H02AB07, prednisone, The risk or severity of hypokalemia can be increased when Prednisone is combined with Olodaterol.]
[R06AX05, antazoline, The risk or severity of QTc prolongation can be increased when Olodaterol is combined with Antazoline.]
[C01DX02, prenylamine, The risk or severity of QTc prolongation can be increased when Olodaterol is combined with Prenylamine.]
[P01BA03, primaquine, The risk or severity of QTc prolongation can be increased when Olodaterol is combined with Primaquine.]
[N03AA03, primidone, The metabolism of Olodaterol can be decreased when combined with Primidone.]
[M04AB01, probenecid, The metabolism of Olodaterol can be increased when combined with Probenecid.]
[C10AX02, probucol, The risk or severity of QTc prolongation can be increased when Olodaterol is combined with Probucol.]
[C01BA02, procainamide, The risk or severity of QTc prolongation can be increased when Olodaterol is combined with Procainamide.]
