[S02DA03, antipyrine, Antipyrine may increase the neuroexcitatory activities of Ofloxacin.]
[D07AB02, hydrocortisone butyrate, The risk or severity of tendinopathy can be increased when Hydrocortisone butyrate is combined with Ofloxacin.]
[P01BA02, hydroxychloroquine, The risk or severity of QTc prolongation can be increased when Hydroxychloroquine is combined with Ofloxacin.]
[N05BB01, hydroxyzine, The risk or severity of QTc prolongation can be increased when Ofloxacin is combined with Hydroxyzine.]
[M05BA07, risedronic acid, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Risedronic acid is combined with Ofloxacin.]
[R02AX02, ibuprofen, Ibuprofen may increase the neuroexcitatory activities of Ofloxacin.]
[N06AA02, imipramine, The risk or severity of QTc prolongation can be increased when Imipramine is combined with Ofloxacin.]
[L01CD01, paclitaxel, Paclitaxel may decrease the excretion rate of Ofloxacin which could result in a higher serum level.]
[H01BA04, terlipressin, The risk or severity of QTc prolongation can be increased when Ofloxacin is combined with Terlipressin.]
[R01AD07, tixocortol, The risk or severity of tendinopathy can be increased when Tixocortol is combined with Ofloxacin.]
[M03BX02, tizanidine, The risk or severity of QTc prolongation can be increased when Tizanidine is combined with Ofloxacin.]
[C03BA11, indapamide, The risk or severity of QTc prolongation can be increased when Indapamide is combined with Ofloxacin.]
[S01BC01, indomethacin, Indomethacin may decrease the excretion rate of Ofloxacin which could result in a higher serum level.]
[A16AX05, zinc acetate, Zinc acetate can cause a decrease in the absorption of Ofloxacin resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[A12CB02, zinc gluconate, Zinc gluconate can cause a decrease in the absorption of Ofloxacin resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[N01BB08, articaine, The risk or severity of methemoglobinemia can be increased when Ofloxacin is combined with Articaine.]
[A10BH01, sitagliptin, The therapeutic efficacy of Sitagliptin can be increased when used in combination with Ofloxacin.]
[R06AE01, buclizine, The risk or severity of QTc prolongation can be increased when Buclizine is combined with Ofloxacin.]
[A10BH02, vildagliptin, The therapeutic efficacy of Vildagliptin can be increased when used in combination with Ofloxacin.]
[C10AA06, cerivastatin, Cerivastatin may decrease the excretion rate of Ofloxacin which could result in a higher serum level.]
[L01XX35, anagrelide, The risk or severity of QTc prolongation can be increased when Ofloxacin is combined with Anagrelide.]
[V03AB01, ipecac, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Ofloxacin is combined with Ipecac.]
[J05AF04, stavudine, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Stavudine is combined with Ofloxacin.]
[G04BE01, alprostadil, The excretion of Alprostadil can be decreased when combined with Ofloxacin.]
[N01AB06, isoflurane, The risk or severity of QTc prolongation can be increased when Isoflurane is combined with Ofloxacin.]
[J04AC01, isoniazid, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Isoniazid is combined with Ofloxacin.]
[A10BJ01, exenatide, The therapeutic efficacy of Exenatide can be increased when used in combination with Ofloxacin.]
[D10BA01, isotretinoin, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Isotretinoin is combined with Ofloxacin.]
[P02CF01, ivermectin, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Ivermectin is combined with Ofloxacin.]
[H01AC01, somatropin, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Somatotropin is combined with Ofloxacin.]
[A02AB01, aluminum hydroxide, Aluminum hydroxide can cause a decrease in the absorption of Ofloxacin resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[J02AB02, ketoconazole, Ketoconazole may decrease the excretion rate of Ofloxacin which could result in a higher serum level.]
[N05AH03, olanzapine, The risk or severity of QTc prolongation can be increased when Olanzapine is combined with Ofloxacin.]
[M02AA10, ketoprofen, Ketoprofen may increase the neuroexcitatory activities of Ofloxacin.]
[R06AX25, mizolastine, The risk or severity of QTc prolongation can be increased when Ofloxacin is combined with Mizolastine.]
[J01MB02, nalidixic acid, The risk or severity of QTc prolongation can be increased when Nalidixic acid is combined with Ofloxacin.]
[M01AE11, tiaprofenic acid, Tiaprofenic acid may increase the neuroexcitatory activities of Ofloxacin.]
[N04BB01, amantadine, The risk or severity of QTc prolongation can be increased when Amantadine is combined with Ofloxacin.]
[A06AD11, lactulose, The therapeutic efficacy of Lactulose can be decreased when used in combination with Ofloxacin.]
[A05AA02, ursodiol, Ursodeoxycholic acid may decrease the excretion rate of Ofloxacin which could result in a higher serum level.]
[J01CA11, amdinocillin, The serum concentration of Ofloxacin can be increased when it is combined with Amdinocillin.]
[J01CA08, amdinocillin pivoxil, The serum concentration of Ofloxacin can be increased when it is combined with Pivmecillinam.]
[S02DA01, lidocaine, The risk or severity of methemoglobinemia can be increased when Ofloxacin is combined with Lidocaine.]
[C08EX01, lidoflazine, The risk or severity of QTc prolongation can be increased when Lidoflazine is combined with Ofloxacin.]
[A07DA03, loperamide, The risk or severity of QTc prolongation can be increased when Loperamide is combined with Ofloxacin.]
[A12AA11, calcium pangamate, Calcium pangamate can cause a decrease in the absorption of Ofloxacin resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[C10AA02, lovastatin, Lovastatin may decrease the excretion rate of Ofloxacin which could result in a higher serum level.]
[B05XA11, magnesium chloride, Magnesium chloride can cause a decrease in the absorption of Ofloxacin resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[G04BX01, magnesium hydroxide, Magnesium hydroxide can cause a decrease in the absorption of Ofloxacin resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[A12CC10, magnesium oxide, Magnesium oxide can cause a decrease in the absorption of Ofloxacin resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[V04CC02, magnesium sulfate, Magnesium sulfate can cause a decrease in the absorption of Ofloxacin resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[L01EA03, nilotinib, The risk or severity of QTc prolongation can be increased when Ofloxacin is combined with Nilotinib.]
[N06AA21, maprotiline, The risk or severity of QTc prolongation can be increased when Maprotiline is combined with Ofloxacin.]
[M02AA18, meclofenamic acid, Meclofenamic acid may increase the neuroexcitatory activities of Ofloxacin.]
[P01BC02, mefloquine, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Mefloquine is combined with Ofloxacin.]
[N01BB03, mepivacaine, The risk or severity of methemoglobinemia can be increased when Ofloxacin is combined with Mepivacaine.]
[N05AC03, mesoridazine, The risk or severity of QTc prolongation can be increased when Mesoridazine is combined with Ofloxacin.]
[N05AX13, paliperidone, The risk or severity of QTc prolongation can be increased when Ofloxacin is combined with Paliperidone.]
[A10BA02, metformin, The therapeutic efficacy of Metformin can be increased when used in combination with Ofloxacin.]
[A04AA04, dolasetron, The risk or severity of QTc prolongation can be increased when Dolasetron is combined with Ofloxacin.]
[N07BC02, methadone, The risk or severity of QTc prolongation can be increased when Methadone is combined with Ofloxacin.]
[J05AF05, lamivudine, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Lamivudine is combined with Ofloxacin.]
[L04AX03, methotrexate, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Methotrexate is combined with Ofloxacin.]
[N05AA02, methotrimeprazine, The risk or severity of QTc prolongation can be increased when Methotrimeprazine is combined with Ofloxacin.]
[C02AB01, methyldopa, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Methyldopa is combined with Ofloxacin.]
[R03DA05, aminophylline, The metabolism of Aminophylline can be decreased when combined with Ofloxacin.]
[H02AB04, methylprednisolone, The risk or severity of tendinopathy can be increased when Methylprednisolone is combined with Ofloxacin.]
[D07AC14, methylprednisolone aceponate, The risk or severity of tendinopathy can be increased when Methylprednisolone aceponate is combined with Ofloxacin.]
[A03FA01, metoclopramide, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Ofloxacin is combined with Metoclopramide.]
[P01AB01, metronidazole, The risk or severity of QTc prolongation can be increased when Metronidazole is combined with Ofloxacin.]
[J01CA10, mezlocillin, The serum concentration of Ofloxacin can be increased when it is combined with Mezlocillin.]
[N02BB03, aminopyrine, Aminophenazone may increase the neuroexcitatory activities of Ofloxacin.]
[G03XB01, mifepristone, The risk or severity of QTc prolongation can be increased when Ofloxacin is combined with Mifepristone.]
[J01AA08, minocycline, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Minocycline is combined with Ofloxacin.]
[C01BD01, amiodarone, The risk or severity of QTc prolongation can be increased when Ofloxacin is combined with Amiodarone.]
[N06AA09, amitriptyline, Ofloxacin may increase the QTc-prolonging activities of Amitriptyline.]
[L01EX03, pazopanib, The risk or severity of QTc prolongation can be increased when Ofloxacin is combined with Pazopanib.]
[L04AA06, mycophenolic acid, The serum concentration of Mycophenolic acid can be decreased when it is combined with Ofloxacin.]
[J05AJ01, raltegravir, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Ofloxacin is combined with Raltegravir.]
[P01BA06, amodiaquine, The risk or severity of QTc prolongation can be increased when Amodiaquine is combined with Ofloxacin.]
[N06AA17, amoxapine, The risk or severity of QTc prolongation can be increased when Amoxapine is combined with Ofloxacin.]
[J01CA04, amoxicillin, The serum concentration of Ofloxacin can be increased when it is combined with Amoxicillin.]
[N04BC04, ropinirole, The risk or severity of adverse effects can be increased when Ofloxacin is combined with Ropinirole.]
[J01CF06, nafcillin, The serum concentration of Ofloxacin can be increased when it is combined with Nafcillin.]
[N07BB04, naltrexone, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Naltrexone is combined with Ofloxacin.]
[M02AA12, naproxen, Naproxen may decrease the excretion rate of Ofloxacin which could result in a higher serum level.]
[A10BG01, troglitazone, Troglitazone may decrease the excretion rate of Ofloxacin which could result in a higher serum level.]
[L01CD02, docetaxel, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Ofloxacin is combined with Docetaxel.]
[L02BG04, letrozole, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Letrozole is combined with Ofloxacin.]
[A10BX02, repaglinide, The therapeutic efficacy of Repaglinide can be increased when used in combination with Ofloxacin.]
[C01CX08, levosimendan, The risk or severity of QTc prolongation can be increased when Levosimendan is combined with Ofloxacin.]
[N05AX14, iloperidone, The risk or severity of QTc prolongation can be increased when Ofloxacin is combined with Iloperidone.]
[J02AA01, amphotericin B, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Amphotericin B is combined with Ofloxacin.]
[S01AA19, ampicillin, The serum concentration of Ofloxacin can be increased when it is combined with Ampicillin.]
[C09CA07, telmisartan, Telmisartan may decrease the excretion rate of Ofloxacin which could result in a higher serum level.]
[C10AD02, niacin, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Niacin is combined with Ofloxacin.]
[C08CA04, nicardipine, Nicardipine may decrease the excretion rate of Ofloxacin which could result in a higher serum level.]
[C08CA05, nifedipine, The risk or severity of QTc prolongation can be increased when Nifedipine is combined with Ofloxacin.]
[M02AA17, niflumic acid, Niflumic acid may increase the neuroexcitatory activities of Ofloxacin.]
[C08CA06, nimodipine, The risk or severity of QTc prolongation can be increased when Nimodipine is combined with Ofloxacin.]
[C08CA08, nitrendipine, Nitrendipine may decrease the excretion rate of Ofloxacin which could result in a higher serum level.]
[J01XE01, nitrofurantoin, The therapeutic efficacy of Ofloxacin can be decreased when used in combination with Nitrofurantoin.]
[C02DD01, nitroprusside, Nitroprusside can cause a decrease in the absorption of Ofloxacin resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[S01AE02, norfloxacin, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Norfloxacin is combined with Ofloxacin.]
[C02KX01, bosentan, Bosentan may decrease the excretion rate of Ofloxacin which could result in a higher serum level.]
[N06AA10, nortriptyline, The risk or severity of QTc prolongation can be increased when Nortriptyline is combined with Ofloxacin.]
[H01CB02, octreotide, The risk or severity of QTc prolongation can be increased when Octreotide is combined with Ofloxacin.]
[J01MB04, pipemidic acid, The risk or severity of QTc prolongation can be increased when Pipemidic acid is combined with Ofloxacin.]
[J01CF04, oxacillin, The serum concentration of Ofloxacin can be increased when it is combined with Oxacillin.]
[V08CB01, ferumoxsil, Ferumoxsil can cause a decrease in the absorption of Ofloxacin resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[J01MB05, oxolinic acid, The risk or severity of QTc prolongation can be increased when Oxolinic acid is combined with Ofloxacin.]
[S01BC02, oxyphenbutazone, Oxyphenbutazone may increase the neuroexcitatory activities of Ofloxacin.]
[H01BB02, oxytocin, The risk or severity of QTc prolongation can be increased when Oxytocin is combined with Ofloxacin.]
[V04CH30, 4-aminohippuric acid, The excretion of Aminohippuric acid can be decreased when combined with Ofloxacin.]
[N05AH05, asenapine, The risk or severity of QTc prolongation can be increased when Ofloxacin is combined with Asenapine.]
[G04BE02, papaverine, The risk or severity of QTc prolongation can be increased when Papaverine is combined with Ofloxacin.]
[H02AB05, paramethasone, The risk or severity of tendinopathy can be increased when Paramethasone is combined with Ofloxacin.]
[J01MA03, pefloxacin, The risk or severity of QTc prolongation can be increased when Pefloxacin is combined with Ofloxacin.]
[N05AG03, penfluridol, The risk or severity of QTc prolongation can be increased when Ofloxacin is combined with Penfluridol.]
[M01CC01, penicillamine, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Penicillamine is combined with Ofloxacin.]
[S01AA14, penicillin G, The serum concentration of Ofloxacin can be increased when it is combined with Benzylpenicillin.]
[J01CE09, penicillin G procaine, The serum concentration of Ofloxacin can be increased when it is combined with Procaine benzylpenicillin.]
[J01CE02, penicillin V, The serum concentration of Ofloxacin can be increased when it is combined with Phenoxymethylpenicillin.]
[C04AD03, pentoxifylline, The metabolism of Pentoxifylline can be decreased when combined with Ofloxacin.]
[C08EX02, perhexiline, The risk or severity of QTc prolongation can be increased when Perhexiline is combined with Ofloxacin.]
[A10BA01, phenformin, The therapeutic efficacy of Phenformin can be increased when used in combination with Ofloxacin.]
[B01AA02, phenindione, The therapeutic efficacy of Phenindione can be increased when used in combination with Ofloxacin.]
[R06AB05, pheniramine, The risk or severity of QTc prolongation can be increased when Pheniramine is combined with Ofloxacin.]
[N03AA02, phenobarbital, Phenobarbital may increase the excretion rate of Ofloxacin which could result in a lower serum level and potentially a reduction in efficacy.]
[B01AA04, phenprocoumon, The therapeutic efficacy of Phenprocoumon can be increased when used in combination with Ofloxacin.]
[M02AA01, phenylbutazone, Phenylbutazone may increase the neuroexcitatory activities of Ofloxacin.]
[N03AB02, phenytoin, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Phenytoin is combined with Ofloxacin.]
[S01AE05, levofloxacin, The risk or severity of QTc prolongation can be increased when Levofloxacin is combined with Ofloxacin.]
[J05AB12, cidofovir, The excretion of Cidofovir can be decreased when combined with Ofloxacin.]
[C08CX01, mibefradil, The risk or severity of QTc prolongation can be increased when Ofloxacin is combined with Mibefradil.]
[N05AG02, pimozide, The risk or severity of QTc prolongation can be increased when Ofloxacin is combined with Pimozide.]
[C10AA05, atorvastatin, Atorvastatin may decrease the excretion rate of Ofloxacin which could result in a higher serum level.]
[J01CA12, piperacillin, The serum concentration of Ofloxacin can be increased when it is combined with Piperacillin.]
[J05AE01, saquinavir, The risk or severity of QTc prolongation can be increased when Ofloxacin is combined with Saquinavir.]
[C09CA02, eprosartan, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Eprosartan is combined with Ofloxacin.]
[S01BC06, piroxicam, Piroxicam may increase the neuroexcitatory activities of Ofloxacin.]
[J01MA11, grepafloxacin, The risk or severity of QTc prolongation can be increased when Ofloxacin is combined with Grepafloxacin.]
[J01CA02, pivampicillin, The serum concentration of Ofloxacin can be increased when it is combined with Pivampicillin.]
[A10BG02, rosiglitazone, The therapeutic efficacy of Rosiglitazone can be increased when used in combination with Ofloxacin.]
[J05AE03, ritonavir, Ritonavir may decrease the excretion rate of Ofloxacin which could result in a higher serum level.]
[A10BH03, saxagliptin, The therapeutic efficacy of Saxagliptin can be increased when used in combination with Ofloxacin.]
[A10AD04, insulin lispro, The therapeutic efficacy of Insulin lispro can be increased when used in combination with Ofloxacin.]
[C10AA08, pitavastatin, Ofloxacin may decrease the excretion rate of Pitavastatin which could result in a higher serum level.]
[C01BA08, prajmaline, The risk or severity of QTc prolongation can be increased when Prajmaline is combined with Ofloxacin.]
[S03BA02, prednisolone, The risk or severity of tendinopathy can be increased when Prednisolone is combined with Ofloxacin.]
[H02AB07, prednisone, The risk or severity of tendinopathy can be increased when Prednisone is combined with Ofloxacin.]
[R06AX05, antazoline, The risk or severity of QTc prolongation can be increased when Ofloxacin is combined with Antazoline.]
[C01DX02, prenylamine, The risk or severity of QTc prolongation can be increased when Ofloxacin is combined with Prenylamine.]
[N01BB04, prilocaine, The risk or severity of methemoglobinemia can be increased when Ofloxacin is combined with Prilocaine.]
[P01BA03, primaquine, The risk or severity of QTc prolongation can be increased when Primaquine is combined with Ofloxacin.]
[M04AB01, probenecid, Probenecid may decrease the excretion rate of Ofloxacin which could result in a higher serum level.]
[C10AX02, probucol, The risk or severity of QTc prolongation can be increased when Ofloxacin is combined with Probucol.]
[C01BA02, procainamide, The risk or severity of QTc prolongation can be increased when Ofloxacin is combined with Procainamide.]
[S01HA05, procaine, The risk or severity of methemoglobinemia can be increased when Ofloxacin is combined with Procaine.]
[L01XB01, procarbazine, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Ofloxacin is combined with Procarbazine.]
[C10AB05, fenofibrate, Fenofibrate may decrease the excretion rate of Ofloxacin which could result in a higher serum level.]
[N05AB04, prochlorperazine, The risk or severity of QTc prolongation can be increased when Prochlorperazine is combined with Ofloxacin.]
[G03DA04, progesterone, Progesterone may decrease the excretion rate of Ofloxacin which could result in a higher serum level.]
[N05AA03, promazine, The risk or severity of QTc prolongation can be increased when Promazine is combined with Ofloxacin.]
[R06AD02, promethazine, The risk or severity of QTc prolongation can be increased when Promethazine is combined with Ofloxacin.]
[C01BC03, propafenone, The risk or severity of QTc prolongation can be increased when Ofloxacin is combined with Propafenone.]
[L01XH02, romidepsin, The risk or severity of QTc prolongation can be increased when Ofloxacin is combined with Romidepsin.]
[N01AX10, propofol, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Propofol is combined with Ofloxacin.]
[H03BA02, propylthiouracil, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Propylthiouracil is combined with Ofloxacin.]
[R03DC03, montelukast, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Montelukast is combined with Ofloxacin.]
[N06AA11, protriptyline, The risk or severity of QTc prolongation can be increased when Protriptyline is combined with Ofloxacin.]
[N05AX12, aripiprazole, The risk or severity of QTc prolongation can be increased when Aripiprazole is combined with Ofloxacin.]
[R06AC01, pyrilamine, The risk or severity of QTc prolongation can be increased when Mepyramine is combined with Ofloxacin.]
[C01BA01, quinidine, The risk or severity of QTc prolongation can be increased when Ofloxacin is combined with Quinidine.]
[P01BC01, quinine, The risk or severity of QTc prolongation can be increased when Ofloxacin is combined with Quinine.]
[A02BA02, ranitidine, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Ranitidine is combined with Ofloxacin.]
[C02AA02, reserpine, Reserpine may decrease the excretion rate of Ofloxacin which could result in a higher serum level.]
[J04AB02, rifampin, Rifampicin may decrease the excretion rate of Ofloxacin which could result in a higher serum level.]
[J01FA06, roxithromycin, The risk or severity of QTc prolongation can be increased when Roxithromycin is combined with Ofloxacin.]
[N02BA05, salicylamide, Salicylamide may increase the neuroexcitatory activities of Ofloxacin.]
[A07EC01, sulfasalazine, Sulfasalazine may increase the neuroexcitatory activities of Ofloxacin.]
[S01BC08, salicylic acid, Salicylic acid may increase the neuroexcitatory activities of Ofloxacin.]
[C07AA07, sotalol, The risk or severity of QTc prolongation can be increased when Ofloxacin is combined with Sotalol.]
[C03DA01, spironolactone, Spironolactone may decrease the excretion rate of Ofloxacin which could result in a higher serum level.]
