[P02BB01, trichlorfon, Metrifonate may increase the neuromuscular blocking activities of Ephedrine.]
[C01DX03, oxyfedrine, The risk or severity of hypertension can be increased when Ephedrine is combined with Oxyfedrine.]
[S01GA04, oxymetazoline, The absorption of Ephedrine can be decreased when combined with Oxymetazoline.]
[S01BC02, oxyphenbutazone, The risk or severity of hypertension can be increased when Ephedrine is combined with Oxyphenbutazone.]
[A03AB03, oxyphenonium, The risk or severity of Tachycardia can be increased when Oxyphenonium is combined with Ephedrine.]
[H01BB02, oxytocin, The risk or severity of hypertension can be increased when Oxytocin is combined with Ephedrine.]
[N05AH05, asenapine, The therapeutic efficacy of Ephedrine can be decreased when used in combination with Asenapine.]
[M03AC01, pancuronium, Pancuronium may increase the neuromuscular blocking activities of Ephedrine.]
[H02AB05, paramethasone, Ephedrine may increase the excretion rate of Paramethasone which could result in a lower serum level and potentially a reduction in efficacy.]
[C02KC01, pargyline, Ephedrine may decrease the antihypertensive activities of Pargyline.]
[G04BD11, fesoterodine, The risk or severity of Tachycardia can be increased when Ephedrine is combined with Fesoterodine.]
[C07AA23, penbutolol, The therapeutic efficacy of Ephedrine can be decreased when used in combination with Penbutolol.]
[C04AD03, pentoxifylline, The risk or severity of adverse effects can be increased when Ephedrine is combined with Pentoxifylline.]
[N04BC02, pergolide, Pergolide may increase the hypertensive and vasoconstricting activities of Ephedrine.]
[N06AF03, phenelzine, The risk or severity of hypertension can be increased when Phenelzine is combined with Ephedrine.]
[C04AX02, phenoxybenzamine, The therapeutic efficacy of Ephedrine can be decreased when used in combination with Phenoxybenzamine.]
[A08AA01, phentermine, The therapeutic efficacy of Phentermine can be increased when used in combination with Ephedrine.]
[V03AB36, phentolamine, The therapeutic efficacy of Ephedrine can be decreased when used in combination with Phentolamine.]
[M02AA01, phenylbutazone, The risk or severity of hypertension can be increased when Phenylbutazone is combined with Ephedrine.]
[S01GA05, phenylephrine, The therapeutic efficacy of Phenylephrine can be increased when used in combination with Ephedrine.]
[R01BA01, phenylpropanolamine, The therapeutic efficacy of Phenylpropanolamine can be increased when used in combination with Ephedrine.]
[V03AB19, physostigmine, Physostigmine may increase the neuromuscular blocking activities of Ephedrine.]
[C08CX01, mibefradil, Ephedrine may decrease the antihypertensive activities of Mibefradil.]
[C07AA03, pindolol, The therapeutic efficacy of Ephedrine can be decreased when used in combination with Pindolol.]
[C09CA02, eprosartan, Ephedrine may decrease the antihypertensive activities of Eprosartan.]
[A02BX03, pirenzepine, The risk or severity of Tachycardia can be increased when Pirenzepine is combined with Ephedrine.]
[S01BC06, piroxicam, The risk or severity of hypertension can be increased when Piroxicam is combined with Ephedrine.]
[N02CX01, pizotyline, The therapeutic efficacy of Ephedrine can be decreased when used in combination with Pizotifen.]
[C09CA04, irbesartan, Ephedrine may decrease the antihypertensive activities of Irbesartan.]
[C03AA05, polythiazide, The risk or severity of Cardiac Arrhythmia can be increased when Ephedrine is combined with Polythiazide.]
[C07AB01, practolol, The therapeutic efficacy of Ephedrine can be decreased when used in combination with Practolol.]
[C02CA01, prazosin, The therapeutic efficacy of Ephedrine can be decreased when used in combination with Prazosin.]
[S03BA02, prednisolone, Ephedrine may increase the excretion rate of Prednisolone which could result in a lower serum level and potentially a reduction in efficacy.]
[H02AB07, prednisone, Ephedrine may increase the excretion rate of Prednisone which could result in a lower serum level and potentially a reduction in efficacy.]
[R06AX05, antazoline, The therapeutic efficacy of Ephedrine can be increased when used in combination with Antazoline.]
[C01BA02, procainamide, Procainamide may increase the neuromuscular blocking activities of Ephedrine.]
[S01HA05, procaine, Procaine may increase the neuromuscular blocking activities of Ephedrine.]
[N04AA04, procyclidine, The risk or severity of Tachycardia can be increased when Procyclidine is combined with Ephedrine.]
[N05AA03, promazine, The therapeutic efficacy of Ephedrine can be decreased when used in combination with Promazine.]
[C01BC03, propafenone, The therapeutic efficacy of Ephedrine can be decreased when used in combination with Propafenone.]
[A03AB05, propantheline, The risk or severity of Tachycardia can be increased when Propantheline is combined with Ephedrine.]
[R06AX26, fexofenadine, The therapeutic efficacy of Ephedrine can be increased when used in combination with Fexofenadine.]
[N05AC01, periciazine, The therapeutic efficacy of Ephedrine can be decreased when used in combination with Periciazine.]
[N05CM06, propiomazine, The therapeutic efficacy of Ephedrine can be decreased when used in combination with Propiomazine.]
[N01AX10, propofol, Propofol may increase the hypertensive activities of Ephedrine.]
[C07AA05, propranolol, The therapeutic efficacy of Ephedrine can be decreased when used in combination with Propranolol.]
[H03BA02, propylthiouracil, The risk or severity of adverse effects can be increased when Ephedrine is combined with Propylthiouracil.]
[C01AB01, proscillaridin, The risk or severity of Cardiac Arrhythmia can be increased when Ephedrine is combined with Proscillaridin.]
[N02CC04, rizatriptan, The risk or severity of hypertension can be increased when Rizatriptan is combined with Ephedrine.]
[B01AC09, epoprostenol, Ephedrine may decrease the antihypertensive activities of Epoprostenol.]
[N06AA11, protriptyline, The risk or severity of hypertension can be increased when Protriptyline is combined with Ephedrine.]
[R01BA02, pseudoephedrine, The therapeutic efficacy of Pseudoephedrine can be increased when used in combination with Ephedrine.]
[N05AX12, aripiprazole, The therapeutic efficacy of Ephedrine can be decreased when used in combination with Aripiprazole.]
[A03AB15, diphemanil, The risk or severity of Tachycardia can be increased when Ephedrine is combined with Diphemanil.]
[A03AB09, isopropamide, The risk or severity of Tachycardia can be increased when Ephedrine is combined with Isopropamide.]
[S01FA03, methscopolamine, The risk or severity of Tachycardia can be increased when Ephedrine is combined with Methscopolamine.]
[N07AA02, pyridostigmine, Pyridostigmine may increase the neuromuscular blocking activities of Ephedrine.]
[C01BA01, quinidine, The therapeutic efficacy of Ephedrine can be decreased when used in combination with Quinidine.]
[C02AA01, rescinnamine, Ephedrine may decrease the antihypertensive activities of Rescinnamine.]
[C02AA02, reserpine, Ephedrine may decrease the antihypertensive activities of Reserpine.]
[R03AC05, rimiterol, The risk or severity of hypertension can be increased when Ephedrine is combined with Rimiterol.]
[G02CA01, ritodrine, The therapeutic efficacy of Ritodrine can be increased when used in combination with Ephedrine.]
[N02BA05, salicylamide, The risk or severity of hypertension can be increased when Ephedrine is combined with Salicylamide.]
[A07EC01, sulfasalazine, The risk or severity of hypertension can be increased when Sulfasalazine is combined with Ephedrine.]
[S01BC08, salicylic acid, The risk or severity of hypertension can be increased when Salicylic acid is combined with Ephedrine.]
[S01FA02, scopolamine, The risk or severity of Tachycardia can be increased when Scopolamine is combined with Ephedrine.]
[N04BD01, selegiline, The risk or severity of hypertension can be increased when Selegiline is combined with Ephedrine.]
[C07AA07, sotalol, The therapeutic efficacy of Ephedrine can be decreased when used in combination with Sotalol.]
[C03DA01, spironolactone, The therapeutic efficacy of Ephedrine can be decreased when used in combination with Spironolactone.]
[D07AB02, hydrocortisone butyrate, Ephedrine may increase the excretion rate of Hydrocortisone butyrate which could result in a lower serum level and potentially a reduction in efficacy.]
[M01AE11, tiaprofenic acid, The risk or severity of hypertension can be increased when Ephedrine is combined with Tiaprofenic acid.]
[R03BB01, ipratropium bromide, The risk or severity of Tachycardia can be increased when Ipratropium is combined with Ephedrine.]
