[S02DA03, antipyrine, The metabolism of Procainamide can be decreased when combined with Antipyrine.]
[P03AC04, permethrin, Permethrin may decrease the excretion rate of Procainamide which could result in a higher serum level.]
[N05BA01, diazepam, Diazepam may decrease the excretion rate of Procainamide which could result in a higher serum level.]
[R05DA08, pholcodine, Pholcodine may decrease the excretion rate of Procainamide which could result in a higher serum level.]
[S01EC02, dichlorphenamide, Diclofenamide may increase the excretion rate of Procainamide which could result in a lower serum level and potentially a reduction in efficacy.]
[S01BC03, diclofenac, Diclofenac may decrease the excretion rate of Procainamide which could result in a higher serum level.]
[J05AD01, foscarnet, Foscarnet may decrease the excretion rate of Procainamide which could result in a higher serum level.]
[A03AA07, dicyclomine, Dicyclomine may decrease the excretion rate of Procainamide which could result in a higher serum level.]
[J05AF02, didanosine, Didanosine may decrease the excretion rate of Procainamide which could result in a higher serum level.]
[A03AX04, pinaverium, Procainamide may increase the arrhythmogenic activities of Pinaverium.]
[A03AB14, pipenzolate, The therapeutic efficacy of Pipenzolate can be decreased when used in combination with Procainamide.]
[L01EB02, erlotinib, The metabolism of Procainamide can be decreased when combined with Erlotinib.]
[C03CA03, piretanide, Piretanide may increase the excretion rate of Procainamide which could result in a lower serum level and potentially a reduction in efficacy.]
[C08CA03, isradipine, Isradipine may increase the arrhythmogenic activities of Procainamide.]
[D07XC04, diflucortolone, The therapeutic efficacy of Procainamide can be decreased when used in combination with Difluocortolone.]
[A03AB11, poldine, The therapeutic efficacy of Poldine can be decreased when used in combination with Procainamide.]
[N02BA11, diflunisal, Diflunisal may decrease the excretion rate of Procainamide which could result in a higher serum level.]
[C01AA04, digitoxin, Procainamide may increase the arrhythmogenic activities of Digitoxin.]
[C01AA05, digoxin, Digoxin may increase the arrhythmogenic activities of Procainamide.]
[N02AA03, hydromorphone, Hydromorphone may decrease the excretion rate of Procainamide which could result in a higher serum level.]
[L04AX04, lenalidomide, Lenalidomide may decrease the excretion rate of Procainamide which could result in a higher serum level.]
[J05AE08, atazanavir, Atazanavir may decrease the excretion rate of Procainamide which could result in a higher serum level.]
[B01AC21, treprostinil, The risk or severity of QTc prolongation can be increased when Treprostinil is combined with Procainamide.]
[H03BC01, potassium perchlorate, Potassium perchlorate may decrease the excretion rate of Procainamide which could result in a higher serum level.]
[V03AB04, pralidoxime, Pralidoxime may decrease the excretion rate of Procainamide which could result in a higher serum level.]
[C08DB01, diltiazem, Diltiazem may increase the arrhythmogenic activities of Procainamide.]
[R06AA11, dimenhydrinate, The risk or severity of QTc prolongation can be increased when Dimenhydrinate is combined with Procainamide.]
[V03AB09, dimercaprol, Dimercaprol may decrease the excretion rate of Procainamide which could result in a higher serum level.]
[R06AB03, dimethindene, The therapeutic efficacy of Dimetindene can be decreased when used in combination with Procainamide.]
[M02AX03, dimethyl sulfoxide, The metabolism of Procainamide can be decreased when combined with Dimethyl sulfoxide.]
[N02BB04, propyphenazone, Propyphenazone may decrease the excretion rate of Procainamide which could result in a higher serum level.]
[M01AB14, proglumetacin, Proglumetacin may decrease the excretion rate of Procainamide which could result in a higher serum level.]
[G02AD02, dinoprostone, The serum concentration of Procainamide can be increased when it is combined with Dinoprostone.]
[R06AA02, diphenhydramine, The metabolism of Procainamide can be decreased when combined with Diphenhydramine.]
[B01AC07, dipyridamole, The therapeutic efficacy of Procainamide can be decreased when used in combination with Dipyridamole.]
[A03FA02, cisapride, The metabolism of Procainamide can be decreased when combined with Cisapride.]
[N05AL04, remoxipride, The metabolism of Procainamide can be decreased when combined with Remoxipride.]
[S01AX06, resorcinol, Resorcinol may decrease the excretion rate of Procainamide which could result in a higher serum level.]
[C01BA03, disopyramide, Disopyramide may increase the arrhythmogenic activities of Procainamide.]
[P03AA04, disulfiram, The risk or severity of QTc prolongation can be increased when Disulfiram is combined with Procainamide.]
[S02AA12, rifamycin SV, The excretion of Procainamide can be decreased when combined with Rifamycin.]
[N05AX08, risperidone, The metabolism of Procainamide can be decreased when combined with Risperidone.]
[R06AE09, levocetirizine, Levocetirizine may decrease the excretion rate of Procainamide which could result in a higher serum level.]
[N01BB09, ropivacaine, Ropivacaine may decrease the excretion rate of Procainamide which could result in a higher serum level.]
[J01MB01, rosoxacin, The risk or severity of QTc prolongation can be increased when Rosoxacin is combined with Procainamide.]
[L01EX01, sunitinib, The risk or severity of QTc prolongation can be increased when Sunitinib is combined with Procainamide.]
[C03XA01, tolvaptan, Tolvaptan may increase the excretion rate of Procainamide which could result in a lower serum level and potentially a reduction in efficacy.]
[L01XG01, bortezomib, The metabolism of Procainamide can be decreased when combined with Bortezomib.]
[G04BE08, tadalafil, Tadalafil may decrease the excretion rate of Procainamide which could result in a higher serum level.]
[S01BC05, ketorolac, Ketorolac may decrease the excretion rate of Procainamide which could result in a higher serum level.]
[C01EB18, ranolazine, The serum concentration of Procainamide can be increased when it is combined with Ranolazine.]
[N02BA06, salsalate, Salsalate may decrease the excretion rate of Procainamide which could result in a higher serum level.]
[R03AC12, salmeterol, The serum concentration of Procainamide can be increased when it is combined with Salmeterol.]
[H05BA01, salmon calcitonin, Salmon calcitonin may decrease the excretion rate of Procainamide which could result in a higher serum level.]
[C01CA07, dobutamine, Dobutamine may decrease the excretion rate of Procainamide which could result in a higher serum level.]
[A03FA03, domperidone, The metabolism of Procainamide can be decreased when combined with Domperidone.]
[C01CA04, dopamine, The serum concentration of Procainamide can be increased when it is combined with Dopamine.]
[N06AA16, dothiepin, The metabolism of Procainamide can be decreased when combined with Dosulepin.]
[N06AA12, doxepin, The metabolism of Procainamide can be decreased when combined with Doxepin.]
[L01DB01, doxorubicin, The metabolism of Procainamide can be decreased when combined with Doxorubicin.]
[J01AA02, doxycycline, Doxycycline may decrease the excretion rate of Procainamide which could result in a higher serum level.]
[R06AA09, doxylamine, The risk or severity of QTc prolongation can be increased when Doxylamine is combined with Procainamide.]
[N06AB06, sertraline, The metabolism of Procainamide can be decreased when combined with Sertraline.]
[N01AB08, sevoflurane, The risk or severity of QTc prolongation can be increased when Sevoflurane is combined with Procainamide.]
[N05AD08, droperidol, The risk or severity of QTc prolongation can be increased when Droperidol is combined with Procainamide.]
[A08AA10, sibutramine, Sibutramine may decrease the excretion rate of Procainamide which could result in a higher serum level.]
[C10AA01, simvastatin, The metabolism of Procainamide can be decreased when combined with Simvastatin.]
[A12CA02, sodium sulfate, Sodium sulfate may decrease the excretion rate of Procainamide which could result in a higher serum level.]
[R03DA01, dyphylline, Dyphylline may decrease the excretion rate of Procainamide which could result in a higher serum level.]
[N05AL02, sultopride, The risk or severity of QTc prolongation can be increased when Sultopride is combined with Procainamide.]
[N02CC01, sumatriptan, Sumatriptan may decrease the excretion rate of Procainamide which could result in a higher serum level.]
[V04CX07, edrophonium, Edrophonium may decrease the excretion rate of Procainamide which could result in a higher serum level.]
[C07AB13, talinolol, Procainamide may increase the arrhythmogenic activities of Talinolol.]
[H01AA01, corticotropin, The therapeutic efficacy of Procainamide can be decreased when used in combination with Corticotropin.]
[J01MA05, temafloxacin, The risk or severity of QTc prolongation can be increased when Procainamide is combined with Temafloxacin.]
[L01AX03, temozolomide, Temozolomide may decrease the excretion rate of Procainamide which could result in a higher serum level.]
[M01AC02, tenoxicam, Tenoxicam may decrease the excretion rate of Procainamide which could result in a higher serum level.]
[D01BA02, terbinafine, The metabolism of Procainamide can be decreased when combined with Terbinafine.]
[G04BD05, terodiline, Procainamide may increase the arrhythmogenic activities of Terodiline.]
[C07AA16, tertatolol, Procainamide may increase the arrhythmogenic activities of Tertatolol.]
[G04BD01, emepronium, The therapeutic efficacy of Emepronium can be decreased when used in combination with Procainamide.]
[P01AX02, emetine, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Procainamide is combined with Emetine.]
[N06AX14, tianeptine, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Procainamide is combined with Tianeptine.]
[C09AA02, enalapril, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Enalapril is combined with Procainamide.]
[M01AG02, tolfenamic acid, Tolfenamic acid may decrease the excretion rate of Procainamide which could result in a higher serum level.]
[N06AG03, toloxatone, Toloxatone may decrease the excretion rate of Procainamide which could result in a higher serum level.]
[N06BA09, atomoxetine, The metabolism of Procainamide can be decreased when combined with Atomoxetine.]
[N03AX11, topiramate, Topiramate may decrease the excretion rate of Procainamide which could result in a higher serum level.]
[L02BA02, toremifene, The risk or severity of QTc prolongation can be increased when Toremifene is combined with Procainamide.]
[C03CA04, torsemide, Torasemide may increase the excretion rate of Procainamide which could result in a lower serum level and potentially a reduction in efficacy.]
[J01AA12, tigecycline, The risk or severity of neuromuscular blockade can be increased when Tigecycline is combined with Procainamide.]
[N05CC01, chloral hydrate, Chloral hydrate may decrease the excretion rate of Procainamide which could result in a higher serum level.]
[A03AB08, tridihexethyl, The therapeutic efficacy of Tridihexethyl can be decreased when used in combination with Procainamide.]
[H02CA01, trilostane, The therapeutic efficacy of Procainamide can be decreased when used in combination with Trilostane.]
[L02AE04, triptorelin, The risk or severity of QTc prolongation can be increased when Triptorelin is combined with Procainamide.]
[N04AA12, tropatepine, The therapeutic efficacy of Tropatepine can be decreased when used in combination with Procainamide.]
[J01MA04, enoxacin, The risk or severity of QTc prolongation can be increased when Enoxacin is combined with Procainamide.]
[L01CA04, vinorelbine, The metabolism of Procainamide can be decreased when combined with Vinorelbine.]
[S01FB02, ephedrine, Procainamide may increase the neuromuscular blocking activities of Ephedrine.]
[S01GX10, epinastine, The metabolism of Procainamide can be decreased when combined with Epinastine.]
[N06AX16, venlafaxine, The metabolism of Procainamide can be decreased when combined with Venlafaxine.]
[S01GA03, xylometazoline, Procainamide may increase the arrhythmogenic activities of Xylometazoline.]
[C08CA12, mepirodipine, Procainamide may increase the arrhythmogenic activities of Barnidipine.]
[S01EA01, epinephrine, The serum concentration of Procainamide can be increased when it is combined with Epinephrine.]
[N05CF02, zolpidem, The metabolism of Procainamide can be decreased when combined with Zolpidem.]
[M01AB04, zomepirac, Zomepirac may decrease the excretion rate of Procainamide which could result in a higher serum level.]
[N03AX15, zonisamide, Zonisamide may increase the arrhythmogenic activities of Procainamide.]
[L01XA02, carboplatin, Carboplatin may decrease the excretion rate of Procainamide which could result in a higher serum level.]
[C02AC02, guanfacine, Guanfacine may decrease the excretion rate of Procainamide which could result in a higher serum level.]
[B01AC11, iloprost, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Procainamide is combined with Iloprost.]
[C01BG01, moricizine, Moricizine may increase the arrhythmogenic activities of Procainamide.]
[N03AG01, valproic acid, The risk or severity of QTc prolongation can be increased when Valproic acid is combined with Procainamide.]
[L03AX05, pidotimod, Pidotimod may decrease the excretion rate of Procainamide which could result in a higher serum level.]
[S01AA17, erythromycin, The risk or severity of QTc prolongation can be increased when Erythromycin is combined with Procainamide.]
[N05CD04, estazolam, Estazolam may decrease the excretion rate of Procainamide which could result in a higher serum level.]
[A02BC02, pantoprazole, Pantoprazole may decrease the excretion rate of Procainamide which could result in a higher serum level.]
[H05BX01, cinacalcet, The metabolism of Procainamide can be decreased when combined with Cinacalcet.]
[G03CA03, estradiol, The serum concentration of Procainamide can be increased when it is combined with Estradiol.]
[G03CA57, estrogens, conjugated (USP), Conjugated estrogens may decrease the excretion rate of Procainamide which could result in a higher serum level.]
[J04AK02, ethambutol, The metabolism of Procainamide can be decreased when combined with Ethambutol.]
[R03BA09, fluticasone furoate, The therapeutic efficacy of Procainamide can be decreased when used in combination with Fluticasone furoate.]
[R03BA05, fluticasone, The therapeutic efficacy of Procainamide can be decreased when used in combination with Fluticasone.]
[C10AA04, fluvastatin, The metabolism of Procainamide can be decreased when combined with Fluvastatin.]
[V08CA03, gadodiamide, Gadodiamide may decrease the excretion rate of Procainamide which could result in a higher serum level.]
[C01BD05, ibutilide, Ibutilide may increase the arrhythmogenic activities of Procainamide.]
[N04AA05, profenamine, The therapeutic efficacy of Profenamine can be decreased when used in combination with Procainamide.]
[N03AD01, ethosuximide, Ethosuximide may increase the arrhythmogenic activities of Procainamide.]
[M01AC06, meloxicam, Meloxicam may decrease the excretion rate of Procainamide which could result in a higher serum level.]
[S01XA06, ethylmorphine, The metabolism of Procainamide can be decreased when combined with Ethylmorphine.]
[N01AX07, etomidate, Etomidate may decrease the excretion rate of Procainamide which could result in a higher serum level.]
[N05AE03, sertindole, The metabolism of Procainamide can be decreased when combined with Sertindole.]
[C01BA05, ajmaline, Procainamide may increase the arrhythmogenic activities of Ajmaline.]
[L04AD02, tacrolimus, Tacrolimus may decrease the excretion rate of Procainamide which could result in a higher serum level.]
[A02BA04, nizatidine, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Nizatidine is combined with Procainamide.]
[J01MA08, fleroxacin, The risk or severity of QTc prolongation can be increased when Fleroxacin is combined with Procainamide.]
[R06AX11, astemizole, The metabolism of Procainamide can be decreased when combined with Astemizole.]
[R06AX12, terfenadine, The metabolism of Procainamide can be decreased when combined with Terfenadine.]
[P01AX07, trimetrexate, Trimetrexate may decrease the excretion rate of Procainamide which could result in a higher serum level.]
[N06AX12, bupropion, The metabolism of Procainamide can be decreased when combined with Bupropion.]
[N06AB08, fluvoxamine, The metabolism of Procainamide can be decreased when combined with Fluvoxamine.]
[C01BB03, tocainide, Procainamide may increase the arrhythmogenic activities of Tocainide.]
[C01BC08, encainide, Procainamide may increase the arrhythmogenic activities of Encainide.]
[L02AE02, leuprolide, The risk or severity of QTc prolongation can be increased when Leuprolide is combined with Procainamide.]
[C10AA03, pravastatin, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Pravastatin is combined with Procainamide.]
[M01CB01, gold sodium thiomalate, Sodium aurothiomalate may decrease the excretion rate of Procainamide which could result in a higher serum level.]
[B05AA05, dextran, Dextran may decrease the excretion rate of Procainamide which could result in a higher serum level.]
[V03AF02, dexrazoxane, Dexrazoxane may decrease the excretion rate of Procainamide which could result in a higher serum level.]
[A02BA03, famotidine, The excretion of Procainamide can be decreased when combined with Famotidine.]
[A16AA01, levocarnitine, Levocarnitine may decrease the excretion rate of Procainamide which could result in a higher serum level.]
[C08CA02, felodipine, Felodipine may increase the arrhythmogenic activities of Procainamide.]
[C08EA01, fendiline, Procainamide may increase the arrhythmogenic activities of Fendiline.]
[N03AX26, fenfluramine, The metabolism of Procainamide can be decreased when combined with Fenfluramine.]
[M01AE04, fenoprofen, Fenoprofen may decrease the excretion rate of Procainamide which could result in a higher serum level.]
[R03CC04, fenoterol, The therapeutic efficacy of Fenoterol can be decreased when used in combination with Procainamide.]
[N02AB03, fentanyl, Fentanyl may decrease the excretion rate of Procainamide which could result in a higher serum level.]
[R03CC02, albuterol, Salbutamol may decrease the excretion rate of Procainamide which could result in a higher serum level.]
[L01BB06, clofarabine, The serum concentration of Clofarabine can be increased when it is combined with Procainamide.]
[L04AA40, cladribine, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Cladribine is combined with Procainamide.]
[N07AX03, cevimeline, The metabolism of Procainamide can be decreased when combined with Cevimeline.]
[G04BD02, flavoxate, Flavoxate may decrease the excretion rate of Procainamide which could result in a higher serum level.]
[C01BC04, flecainide, Procainamide may increase the arrhythmogenic activities of Flecainide.]
[N02BG04, floctafenine, Floctafenine may decrease the excretion rate of Procainamide which could result in a higher serum level.]
[J02AC01, fluconazole, Fluconazole may decrease the excretion rate of Procainamide which could result in a higher serum level.]
[J02AX01, flucytosine, Flucytosine may decrease the excretion rate of Procainamide which could result in a higher serum level.]
[H02AA02, fludrocortisone, The therapeutic efficacy of Procainamide can be decreased when used in combination with Fludrocortisone.]
[V03AB25, flumazenil, Flumazenil may decrease the excretion rate of Procainamide which could result in a higher serum level.]
[D07XB01, flumethasone, The therapeutic efficacy of Procainamide can be decreased when used in combination with Flumethasone.]
[N07CA03, flunarizine, Procainamide may increase the arrhythmogenic activities of Flunarizine.]
[D07AC08, fluocinonide, The therapeutic efficacy of Procainamide can be decreased when used in combination with Fluocinonide.]
[H02AB03, fluocortolone, The therapeutic efficacy of Procainamide can be decreased when used in combination with Fluocortolone.]
[V03AZ01, ethanol, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Ethanol is combined with Procainamide.]
[L01BC09, floxuridine, Floxuridine may decrease the excretion rate of Procainamide which could result in a higher serum level.]
[S01CB05, fluorometholone, The therapeutic efficacy of Procainamide can be decreased when used in combination with Fluorometholone.]
[L01BC02, fluorouracil, The risk or severity of QTc prolongation can be increased when Fluorouracil is combined with Procainamide.]
[N06AB03, fluoxetine, The serum concentration of Procainamide can be increased when it is combined with Fluoxetine.]
[N05AF01, flupenthixol, The risk or severity of QTc prolongation can be increased when Procainamide is combined with Flupentixol.]
[N05AB02, fluphenazine, The metabolism of Procainamide can be decreased when combined with Fluphenazine.]
[N05CD01, flurazepam, The serum concentration of Procainamide can be increased when it is combined with Flurazepam.]
[S01BC04, flurbiprofen, Flurbiprofen may decrease the excretion rate of Procainamide which could result in a higher serum level.]
[N05AG01, fluspirilene, Procainamide may increase the arrhythmogenic activities of Fluspirilene.]
[L02BB01, flutamide, Flutamide may decrease the excretion rate of Procainamide which could result in a higher serum level.]
[V04CX02, folic acid, Folic acid may decrease the excretion rate of Procainamide which could result in a higher serum level.]
[S02AA17, fosfomycin, Fosfomycin may decrease the excretion rate of Procainamide which could result in a higher serum level.]
[S01AA07, framycetin, Framycetin may decrease the excretion rate of Procainamide which could result in a higher serum level.]
[L01BC03, tegafur, Tegafur may decrease the excretion rate of Procainamide which could result in a higher serum level.]
[M03AA01, alcuronium, The therapeutic efficacy of Alcuronium can be increased when used in combination with Procainamide.]
[J05AE10, darunavir, The metabolism of Procainamide can be decreased when combined with Darunavir.]
[C03CA01, furosemide, Furosemide may decrease the excretion rate of Procainamide which could result in a higher serum level.]
[M05BA04, alendronic acid, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Alendronic acid is combined with Procainamide.]
[N05CF04, eszopiclone, Eszopiclone may decrease the excretion rate of Procainamide which could result in a higher serum level.]
[N05AL05, amisulpride, The risk or severity of QTc prolongation can be increased when Amisulpride is combined with Procainamide.]
[N06DA04, galantamine, The metabolism of Procainamide can be decreased when combined with Galantamine.]
[M03AC02, gallamine, The therapeutic efficacy of Gallamine can be increased when used in combination with Procainamide.]
[C08DA02, gallopamil, Procainamide may increase the arrhythmogenic activities of Gallopamil.]
[S01AD09, ganciclovir, The excretion of Procainamide can be decreased when combined with Ganciclovir.]
[C10AB04, gemfibrozil, Gemfibrozil may decrease the excretion rate of Procainamide which could result in a higher serum level.]
[J01XA03, telavancin, The risk or severity of QTc prolongation can be increased when Telavancin is combined with Procainamide.]
[L02BX02, degarelix, The risk or severity of QTc prolongation can be increased when Degarelix is combined with Procainamide.]
[L01EA02, dasatinib, The risk or severity of QTc prolongation can be increased when Dasatinib is combined with Procainamide.]
[N03AD03, methsuximide, Procainamide may increase the arrhythmogenic activities of Methsuximide.]
[L01EH01, lapatinib, The risk or severity of QTc prolongation can be increased when Lapatinib is combined with Procainamide.]
[A10BB07, glipizide, Glipizide may decrease the excretion rate of Procainamide which could result in a higher serum level.]
[N05CM18, dexmedetomidine, The metabolism of Procainamide can be decreased when combined with Dexmedetomidine.]
[C01BD04, dofetilide, Dofetilide may increase the arrhythmogenic activities of Procainamide.]
[C02CA04, doxazosin, The metabolism of Procainamide can be decreased when combined with Doxazosin.]
[L01EX02, sorafenib, Sorafenib may decrease the excretion rate of Procainamide which could result in a higher serum level.]
[C07AB09, esmolol, Esmolol may increase the arrhythmogenic activities of Procainamide.]
[M01CB04, aurothioglucose, Aurothioglucose may decrease the excretion rate of Procainamide which could result in a higher serum level.]
[S01LA03, pegaptanib, Pegaptanib may decrease the excretion rate of Procainamide which could result in a higher serum level.]
[C09AA09, fosinopril, Fosinopril may decrease the excretion rate of Procainamide which could result in a higher serum level.]
[S01EX01, guanethidine, Guanethidine may decrease the excretion rate of Procainamide which could result in a higher serum level.]
[L02AE03, goserelin, The risk or severity of QTc prolongation can be increased when Goserelin is combined with Procainamide.]
[P01BX01, halofantrine, The metabolism of Procainamide can be decreased when combined with Halofantrine.]
[N05AD01, haloperidol, The risk or severity of QTc prolongation can be increased when Procainamide is combined with Haloperidol.]
[L02AE05, histrelin, The risk or severity of QTc prolongation can be increased when Histrelin is combined with Procainamide.]
[N05AH04, quetiapine, The metabolism of Procainamide can be decreased when combined with Quetiapine.]
[N06BX13, idebenone, Idebenone may decrease the excretion rate of Procainamide which could result in a higher serum level.]
[L01CE02, irinotecan, Procainamide may increase the neuromuscular blocking activities of Irinotecan.]
[M04AA01, allopurinol, Allopurinol may decrease the excretion rate of Procainamide which could result in a higher serum level.]
[C09CA01, losartan, Losartan may increase the arrhythmogenic activities of Procainamide.]
[B05CB03, magnesium citrate, The risk or severity of neuromuscular blockade can be increased when Procainamide is combined with Magnesium citrate.]
[A12CC03, magnesium gluconate, The risk or severity of neuromuscular blockade can be increased when Procainamide is combined with Magnesium gluconate.]
[G03DC01, allylestrenol, Allylestrenol may decrease the excretion rate of Procainamide which could result in a higher serum level.]
[A07EC02, mesalamine, Mesalazine may decrease the excretion rate of Procainamide which could result in a higher serum level.]
[C01CE02, milrinone, Milrinone may decrease the excretion rate of Procainamide which could result in a higher serum level.]
[N05CA16, hexobarbital, The therapeutic efficacy of Hexobarbital can be decreased when used in combination with Procainamide.]
[J05AG01, nevirapine, The metabolism of Procainamide can be decreased when combined with Nevirapine.]
[C08CA10, nilvadipine, Procainamide may increase the arrhythmogenic activities of Nilvadipine.]
[M02AA26, nimesulide, Procainamide may increase the arrhythmogenic activities of Nimesulide.]
[R06AE06, oxatomide, The risk or severity of QTc prolongation can be increased when Oxatomide is combined with Procainamide.]
[C09AA04, perindopril, Perindopril may decrease the excretion rate of Procainamide which could result in a higher serum level.]
[C02DB02, hydralazine, Hydralazine may decrease the excretion rate of Procainamide which could result in a higher serum level.]
[C03AA03, hydrochlorothiazide, Hydrochlorothiazide may decrease the excretion rate of Procainamide which could result in a higher serum level.]
[R05DA03, hydrocodone, The metabolism of Procainamide can be decreased when combined with Hydrocodone.]
[S02BA01, hydrocortisone, The therapeutic efficacy of Procainamide can be decreased when used in combination with Hydrocortisone.]
[D07AB02, hydrocortisone butyrate, The therapeutic efficacy of Procainamide can be decreased when used in combination with Hydrocortisone butyrate.]
[C03AA02, hydroflumethiazide, Hydroflumethiazide may increase the excretion rate of Procainamide which could result in a lower serum level and potentially a reduction in efficacy.]
[B05XA17, potassium acetate, Potassium acetate may decrease the excretion rate of Procainamide which could result in a higher serum level.]
[A12BA02, potassium citrate, Potassium citrate may increase the excretion rate of Procainamide which could result in a lower serum level and potentially a reduction in efficacy.]
[V03AB33, hydroxocobalamin, Hydroxocobalamin may decrease the excretion rate of Procainamide which could result in a higher serum level.]
[G04BD06, propiverine, Propiverine may decrease the excretion rate of Procainamide which could result in a higher serum level.]
[P01BA02, hydroxychloroquine, The metabolism of Procainamide can be decreased when combined with Hydroxychloroquine.]
[B05AA07, hetastarch, Hydroxyethyl Starch may decrease the excretion rate of Procainamide which could result in a higher serum level.]
[N05BB01, hydroxyzine, The risk or severity of QTc prolongation can be increased when Procainamide is combined with Hydroxyzine.]
[M05BA07, risedronic acid, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Risedronic acid is combined with Procainamide.]
[R02AX02, ibuprofen, Ibuprofen may decrease the excretion rate of Procainamide which could result in a higher serum level.]
[B05XA08, sodium acetate, Sodium acetate may decrease the excretion rate of Procainamide which could result in a higher serum level.]
[L01DB06, idarubicin, The metabolism of Procainamide can be decreased when combined with Idarubicin.]
[L01AA06, ifosfamide, Ifosfamide may decrease the excretion rate of Procainamide which could result in a higher serum level.]
[N06AA02, imipramine, The metabolism of Procainamide can be decreased when combined with Imipramine.]
[L01CD01, paclitaxel, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Procainamide is combined with Paclitaxel.]
[H01BA04, terlipressin, The risk or severity of QTc prolongation can be increased when Terlipressin is combined with Procainamide.]
[R01AD07, tixocortol, The therapeutic efficacy of Procainamide can be decreased when used in combination with Tixocortol.]
[M03BX02, tizanidine, The risk or severity of QTc prolongation can be increased when Tizanidine is combined with Procainamide.]
[L01CE01, topotecan, The excretion of Procainamide can be decreased when combined with Topotecan.]
[C03BA11, indapamide, Indapamide may decrease the excretion rate of Procainamide which could result in a higher serum level.]
[S01BC01, indomethacin, Indomethacin may decrease the excretion rate of Procainamide which could result in a higher serum level.]
[A11HA07, inositol, Inositol may decrease the excretion rate of Procainamide which could result in a higher serum level.]
[N06AX17, milnacipran, Milnacipran may decrease the excretion rate of Procainamide which could result in a higher serum level.]
[A03AA30, piperidolate, The therapeutic efficacy of Piperidolate can be decreased when used in combination with Procainamide.]
[R01AA02, cyclopentamine, The risk or severity of adverse effects can be increased when Procainamide is combined with Cyclopentamine.]
[S01XA28, varenicline, The excretion of Varenicline can be decreased when combined with Procainamide.]
[A10BH01, sitagliptin, Sitagliptin may decrease the excretion rate of Procainamide which could result in a higher serum level.]
[N05BA12, alprazolam, Alprazolam may decrease the excretion rate of Procainamide which could result in a higher serum level.]
[N05CH02, ramelteon, Ramelteon may decrease the excretion rate of Procainamide which could result in a higher serum level.]
[R06AE01, buclizine, The risk or severity of QTc prolongation can be increased when Buclizine is combined with Procainamide.]
[C10AA06, cerivastatin, The metabolism of Procainamide can be decreased when combined with Cerivastatin.]
[L01XX35, anagrelide, The risk or severity of QTc prolongation can be increased when Anagrelide is combined with Procainamide.]
[C07AA01, alprenolol, Alprenolol may increase the arrhythmogenic activities of Procainamide.]
[C03BA02, quinethazone, Quinethazone may increase the excretion rate of Procainamide which could result in a lower serum level and potentially a reduction in efficacy.]
[V03AB01, ipecac, The metabolism of Procainamide can be decreased when combined with Ipecac.]
[J05AF04, stavudine, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Stavudine is combined with Procainamide.]
[N06AF05, iproniazid, The metabolism of Procainamide can be decreased when combined with Iproniazid.]
[N01AB06, isoflurane, The risk or severity of QTc prolongation can be increased when Isoflurane is combined with Procainamide.]
[N04BX02, entacapone, The metabolism of Procainamide can be decreased when combined with Entacapone.]
[J04AC01, isoniazid, Isoniazid may decrease the excretion rate of Procainamide which could result in a higher serum level.]
[J05AX05, inosine pranobex, Inosine pranobex may decrease the excretion rate of Procainamide which could result in a higher serum level.]
[C01DA14, isosorbide mononitrate, Isosorbide mononitrate may decrease the excretion rate of Procainamide which could result in a higher serum level.]
[D10BA01, isotretinoin, Isotretinoin may decrease the excretion rate of Procainamide which could result in a higher serum level.]
[P02CF01, ivermectin, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Ivermectin is combined with Procainamide.]
[N06AX18, reboxetine, The metabolism of Procainamide can be decreased when combined with Reboxetine.]
[S01AA24, kanamycin, Kanamycin may decrease the excretion rate of Procainamide which could result in a higher serum level.]
[H01AC01, somatropin, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Somatotropin is combined with Procainamide.]
[L04AC07, tocilizumab, The metabolism of Procainamide can be increased when combined with Tocilizumab.]
[N01AX03, ketamine, Ketamine may decrease the excretion rate of Procainamide which could result in a higher serum level.]
[B01AC22, prasugrel, Prasugrel may decrease the excretion rate of Procainamide which could result in a higher serum level.]
[J02AB02, ketoconazole, The metabolism of Procainamide can be decreased when combined with Ketoconazole.]
[H02CA04, levoketoconazole, The excretion of Procainamide can be decreased when combined with Levoketoconazole.]
[N05AH03, olanzapine, The metabolism of Procainamide can be decreased when combined with Olanzapine.]
[M02AA10, ketoprofen, Ketoprofen may decrease the excretion rate of Procainamide which could result in a higher serum level.]
[L04AA24, abatacept, The metabolism of Procainamide can be increased when combined with Abatacept.]
