[S02DA03, antipyrine, The metabolism of Antipyrine can be decreased when combined with Bortezomib.]
[L01DB08, pirarubicin, The risk or severity of adverse effects can be increased when Bortezomib is combined with Pirarubicin.]
[L02AA01, diethylstilbestrol, The metabolism of Bortezomib can be decreased when combined with Diethylstilbestrol.]
[C08CA03, isradipine, The metabolism of Bortezomib can be decreased when combined with Isradipine.]
[D07XC04, diflucortolone, The metabolism of Bortezomib can be increased when combined with Difluocortolone.]
[C01AA04, digitoxin, The risk or severity of QTc prolongation can be increased when Bortezomib is combined with Digitoxin.]
[C01AA05, digoxin, The risk or severity of QTc prolongation can be increased when Bortezomib is combined with Digoxin.]
[C02DB01, dihydralazine, The metabolism of Bortezomib can be decreased when combined with Dihydralazine.]
[L01XX24, pegaspargase, The risk or severity of adverse effects can be increased when Pegaspargase is combined with Bortezomib.]
[C04AE04, dihydroergocristine, The metabolism of Bortezomib can be decreased when combined with Dihydroergocristine.]
[N02CA01, dihydroergotamine, The metabolism of Bortezomib can be decreased when combined with Dihydroergotamine.]
[N02AA03, hydromorphone, The metabolism of Hydromorphone can be decreased when combined with Bortezomib.]
[L04AX04, lenalidomide, The risk or severity of adverse effects can be increased when Bortezomib is combined with Lenalidomide.]
[J05AE08, atazanavir, The metabolism of Bortezomib can be decreased when combined with Atazanavir.]
[B01AC21, treprostinil, The risk or severity of QTc prolongation can be increased when Bortezomib is combined with Treprostinil.]
[D04AB07, pramoxine, The risk or severity of methemoglobinemia can be increased when Bortezomib is combined with Pramocaine.]
[C08DB01, diltiazem, The metabolism of Bortezomib can be decreased when combined with Diltiazem.]
[R06AA11, dimenhydrinate, The risk or severity of QTc prolongation can be increased when Bortezomib is combined with Dimenhydrinate.]
[M02AX03, dimethyl sulfoxide, The metabolism of Bortezomib can be decreased when combined with Dimethyl sulfoxide.]
[N06BC02, propentofylline, The metabolism of Propentofylline can be decreased when combined with Bortezomib.]
[C05CA03, diosmin, The serum concentration of Bortezomib can be increased when it is combined with Diosmin.]
[S01HA04, proparacaine, The risk or severity of methemoglobinemia can be increased when Bortezomib is combined with Proparacaine.]
[R03DA03, proxyphylline, The metabolism of Proxyphylline can be decreased when combined with Bortezomib.]
[R06AA02, diphenhydramine, The risk or severity of methemoglobinemia can be increased when Bortezomib is combined with Diphenhydramine.]
[N05CD10, quazepam, The metabolism of Quazepam can be decreased when combined with Bortezomib.]
[B01AC07, dipyridamole, The risk or severity of bleeding can be increased when Dipyridamole is combined with Bortezomib.]
[B01AD10, drotrecogin alfa, The risk or severity of bleeding can be increased when Drotrecogin alfa is combined with Bortezomib.]
[A03FA02, cisapride, The metabolism of Bortezomib can be decreased when combined with Cisapride.]
[S01XA23, sirolimus, The risk or severity of adverse effects can be increased when Bortezomib is combined with Sirolimus.]
[N05AL04, remoxipride, The metabolism of Remoxipride can be decreased when combined with Bortezomib.]
[C01BA03, disopyramide, The risk or severity of QTc prolongation can be increased when Bortezomib is combined with Disopyramide.]
[L04AA23, natalizumab, The risk or severity of adverse effects can be increased when Bortezomib is combined with Natalizumab.]
[P03AA04, disulfiram, The risk or severity of QTc prolongation can be increased when Bortezomib is combined with Disulfiram.]
[S02AA12, rifamycin SV, The metabolism of Bortezomib can be increased when combined with Rifamycin.]
[J04AB05, rifapentine, The metabolism of Bortezomib can be increased when combined with Rifapentine.]
[N07XX02, riluzole, The metabolism of Riluzole can be decreased when combined with Bortezomib.]
[N05AX08, risperidone, The risk or severity of QTc prolongation can be increased when Bortezomib is combined with Risperidone.]
[R06AE09, levocetirizine, The risk or severity of QTc prolongation can be increased when Bortezomib is combined with Levocetirizine.]
[L04AA21, efalizumab, The risk or severity of adverse effects can be increased when Efalizumab is combined with Bortezomib.]
[N01BB09, ropivacaine, The risk or severity of methemoglobinemia can be increased when Bortezomib is combined with Ropivacaine.]
[J01MB01, rosoxacin, The risk or severity of QTc prolongation can be increased when Bortezomib is combined with Rosoxacin.]
[L01EX01, sunitinib, The risk or severity of adverse effects can be increased when Bortezomib is combined with Sunitinib.]
[A04AD12, aprepitant, The metabolism of Bortezomib can be decreased when combined with Aprepitant.]
[C03XA01, tolvaptan, The serum concentration of Tolvaptan can be increased when it is combined with Bortezomib.]
[L04AA03, lymphocyte immune globulin, anti-thymocyte globulin, equine, The risk or severity of adverse effects can be increased when Bortezomib is combined with Antilymphocyte immunoglobulin (horse).]
[S01AA13, fusidic acid, The metabolism of Bortezomib can be decreased when combined with Fusidic acid.]
[J01MB04, pipemidic acid, The risk or severity of QTc prolongation can be increased when Bortezomib is combined with Pipemidic acid.]
[S02BA08, fluocinolone acetonide, The metabolism of Bortezomib can be increased when combined with Fluocinolone acetonide.]
[M01AG01, mefenamic acid, The metabolism of Mefenamic acid can be decreased when combined with Bortezomib.]
[J05AE07, fosamprenavir, The metabolism of Bortezomib can be decreased when combined with Fosamprenavir.]
[S01BC05, ketorolac, The metabolism of Ketorolac can be decreased when combined with Bortezomib.]
[C02KX02, ambrisentan, The serum concentration of Bortezomib can be increased when it is combined with Ambrisentan.]
[C01EB18, ranolazine, The serum concentration of Bortezomib can be increased when it is combined with Ranolazine.]
[R03AC12, salmeterol, The risk or severity of QTc prolongation can be increased when Bortezomib is combined with Salmeterol.]
[A03FA03, domperidone, The risk or severity of QTc prolongation can be increased when Bortezomib is combined with Domperidone.]
[N06AA16, dothiepin, The metabolism of Bortezomib can be decreased when combined with Dosulepin.]
[N06AA12, doxepin, The risk or severity of QTc prolongation can be increased when Bortezomib is combined with Doxepin.]
[L01DB01, doxorubicin, The metabolism of Bortezomib can be decreased when combined with Doxorubicin.]
[R06AA09, doxylamine, The risk or severity of QTc prolongation can be increased when Bortezomib is combined with Doxylamine.]
[N06AB06, sertraline, The metabolism of Sertraline can be decreased when combined with Bortezomib.]
[N01AB08, sevoflurane, The risk or severity of QTc prolongation can be increased when Bortezomib is combined with Sevoflurane.]
[N05AD08, droperidol, The risk or severity of QTc prolongation can be increased when Bortezomib is combined with Droperidol.]
[C10AA01, simvastatin, The serum concentration of Bortezomib can be increased when it is combined with Simvastatin.]
[N05AL02, sultopride, The risk or severity of QTc prolongation can be increased when Bortezomib is combined with Sultopride.]
[G01AF05, econazole, The metabolism of Bortezomib can be decreased when combined with Econazole.]
[C07AB13, talinolol, The risk or severity of QTc prolongation can be increased when Bortezomib is combined with Talinolol.]
[H01AA01, corticotropin, The metabolism of Bortezomib can be increased when combined with Corticotropin.]
[J01MA05, temafloxacin, The risk or severity of QTc prolongation can be increased when Bortezomib is combined with Temafloxacin.]
[L01AX03, temozolomide, The risk or severity of adverse effects can be increased when Bortezomib is combined with Temozolomide.]
[M01AC02, tenoxicam, The metabolism of Tenoxicam can be decreased when combined with Bortezomib.]
[D01BA02, terbinafine, The metabolism of Bortezomib can be decreased when combined with Terbinafine.]
[G04BD05, terodiline, The risk or severity of QTc prolongation can be increased when Bortezomib is combined with Terodiline.]
[C07AA16, tertatolol, The metabolism of Tertatolol can be decreased when combined with Bortezomib.]
[N06BA09, atomoxetine, The risk or severity of QTc prolongation can be increased when Bortezomib is combined with Atomoxetine.]
[N03AX11, topiramate, The metabolism of Bortezomib can be increased when combined with Topiramate.]
[L02BA02, toremifene, The serum concentration of Bortezomib can be increased when it is combined with Toremifene.]
[C03CA04, torsemide, The metabolism of Bortezomib can be decreased when combined with Torasemide.]
[B01AC18, triflusal, The risk or severity of bleeding can be increased when Triflusal is combined with Bortezomib.]
[H02CA01, trilostane, The risk or severity of adverse effects can be increased when Bortezomib is combined with Trilostane.]
[L02AE04, triptorelin, The risk or severity of QTc prolongation can be increased when Bortezomib is combined with Triptorelin.]
[L01AA07, trofosfamide, The risk or severity of adverse effects can be increased when Bortezomib is combined with Trofosfamide.]
[C05CA04, troxerutin, The risk or severity of bleeding can be increased when Troxerutin is combined with Bortezomib.]
[J01MA04, enoxacin, The metabolism of Bortezomib can be decreased when combined with Enoxacin.]
[L01CA04, vinorelbine, The risk or severity of adverse effects can be increased when Bortezomib is combined with Vinorelbine.]
[S01GX10, epinastine, The risk or severity of QTc prolongation can be increased when Bortezomib is combined with Epinastine.]
[N06AX16, venlafaxine, The metabolism of Bortezomib can be decreased when combined with Venlafaxine.]
[C08CA12, mepirodipine, The metabolism of Bortezomib can be decreased when combined with Barnidipine.]
[S01EA01, epinephrine, The metabolism of Bortezomib can be decreased when combined with Epinephrine.]
[L01DB03, epirubicin, The risk or severity of adverse effects can be increased when Bortezomib is combined with Epirubicin.]
[N05CF02, zolpidem, The metabolism of Zolpidem can be decreased when combined with Bortezomib.]
[N03AX15, zonisamide, The serum concentration of Bortezomib can be increased when it is combined with Zonisamide.]
[N05CF01, zopiclone, The metabolism of Zopiclone can be decreased when combined with Bortezomib.]
[N05AX11, zotepine, The metabolism of Zotepine can be decreased when combined with Bortezomib.]
[B01AD03, anistreplase, The risk or severity of bleeding can be increased when Anistreplase is combined with Bortezomib.]
[L01XA02, carboplatin, The risk or severity of adverse effects can be increased when Bortezomib is combined with Carboplatin.]
[B01AC11, iloprost, The risk or severity of bleeding can be increased when Iloprost is combined with Bortezomib.]
[C01BG01, moricizine, The risk or severity of QTc prolongation can be increased when Bortezomib is combined with Moricizine.]
[N02CA02, ergotamine, The metabolism of Bortezomib can be decreased when combined with Ergotamine.]
[S01AA17, erythromycin, The serum concentration of Bortezomib can be increased when it is combined with Erythromycin.]
[A02BC02, pantoprazole, The metabolism of Pantoprazole can be decreased when combined with Bortezomib.]
[H05BX01, cinacalcet, The metabolism of Bortezomib can be decreased when combined with Cinacalcet.]
[G03CA03, estradiol, The metabolism of Estradiol can be decreased when combined with Bortezomib.]
[L01XX11, estramustine, The risk or severity of adverse effects can be increased when Bortezomib is combined with Estramustine.]
[G03CA57, estrogens, conjugated (USP), The metabolism of Conjugated estrogens can be decreased when combined with Bortezomib.]
[J04AK02, ethambutol, The metabolism of Bortezomib can be decreased when combined with Ethambutol.]
[R03BA09, fluticasone furoate, The metabolism of Bortezomib can be increased when combined with Fluticasone furoate.]
[R03BA05, fluticasone, The metabolism of Bortezomib can be increased when combined with Fluticasone.]
[C10AA04, fluvastatin, The metabolism of Bortezomib can be decreased when combined with Fluvastatin.]
[L02AA03, ethinyl estradiol, The metabolism of Ethinylestradiol can be decreased when combined with Bortezomib.]
[C01BD05, ibutilide, The risk or severity of QTc prolongation can be increased when Bortezomib is combined with Ibutilide.]
[N03AD01, ethosuximide, The risk or severity of QTc prolongation can be increased when Bortezomib is combined with Ethosuximide.]
[N01BX01, ethyl chloride, The risk or severity of methemoglobinemia can be increased when Bortezomib is combined with Ethyl chloride.]
[M01AC06, meloxicam, The risk or severity of methemoglobinemia can be increased when Bortezomib is combined with Meloxicam.]
[S01XA06, ethylmorphine, The metabolism of Ethylmorphine can be decreased when combined with Bortezomib.]
[N01BB07, etidocaine, The risk or severity of methemoglobinemia can be increased when Bortezomib is combined with Etidocaine.]
[L01CB01, etoposide, The risk or severity of adverse effects can be increased when Bortezomib is combined with Etoposide.]
[N05AE03, sertindole, The metabolism of Sertindole can be decreased when combined with Bortezomib.]
[C01BA05, ajmaline, The risk or severity of QTc prolongation can be increased when Bortezomib is combined with Ajmaline.]
[L04AD02, tacrolimus, Tacrolimus may increase the immunosuppressive activities of Bortezomib.]
[J01MA08, fleroxacin, The risk or severity of QTc prolongation can be increased when Bortezomib is combined with Fleroxacin.]
[R06AX11, astemizole, The metabolism of Bortezomib can be decreased when combined with Astemizole.]
[R06AX12, terfenadine, The metabolism of Bortezomib can be decreased when combined with Terfenadine.]
[N06AX12, bupropion, The metabolism of Bortezomib can be decreased when combined with Bupropion.]
[N06AB08, fluvoxamine, The metabolism of Bortezomib can be decreased when combined with Fluvoxamine.]
[C01BB03, tocainide, The metabolism of Tocainide can be decreased when combined with Bortezomib.]
[C01BC08, encainide, The risk or severity of QTc prolongation can be increased when Bortezomib is combined with Encainide.]
[L02AE02, leuprolide, The risk or severity of QTc prolongation can be increased when Bortezomib is combined with Leuprolide.]
[L04AA02, muromonab-CD3, The risk or severity of adverse effects can be increased when Muromonab is combined with Bortezomib.]
[C10AA03, pravastatin, The serum concentration of Bortezomib can be increased when it is combined with Pravastatin.]
[B05AA05, dextran, The risk or severity of bleeding can be increased when Dextran is combined with Bortezomib.]
[V03AF02, dexrazoxane, The risk or severity of adverse effects can be increased when Bortezomib is combined with Dexrazoxane.]
[A02BA03, famotidine, The risk or severity of QTc prolongation can be increased when Bortezomib is combined with Famotidine.]
[P02CA03, albendazole, The metabolism of Bortezomib can be increased when combined with Albendazole.]
[C08CA02, felodipine, The risk or severity of QTc prolongation can be increased when Bortezomib is combined with Felodipine.]
[C08EA01, fendiline, The risk or severity of QTc prolongation can be increased when Bortezomib is combined with Fendiline.]
[N03AX26, fenfluramine, The metabolism of Bortezomib can be decreased when combined with Fenfluramine.]
[R03CC02, albuterol, The risk or severity of QTc prolongation can be increased when Bortezomib is combined with Salbutamol.]
[B01AD05, plasmin, The risk or severity of bleeding can be increased when Fibrinolysin is combined with Bortezomib.]
[L01BB06, clofarabine, The risk or severity of adverse effects can be increased when Bortezomib is combined with Clofarabine.]
[L04AA40, cladribine, The risk or severity of adverse effects can be increased when Bortezomib is combined with Cladribine.]
[N07AX03, cevimeline, The metabolism of Bortezomib can be decreased when combined with Cevimeline.]
[C01BC04, flecainide, The metabolism of Flecainide can be decreased when combined with Bortezomib.]
[J01CF05, floxacillin, The metabolism of Bortezomib can be increased when combined with Flucloxacillin.]
[J02AC01, fluconazole, The serum concentration of Bortezomib can be increased when it is combined with Fluconazole.]
[J02AX01, flucytosine, The risk or severity of adverse effects can be increased when Bortezomib is combined with Flucytosine.]
[H02AA02, fludrocortisone, The risk or severity of adverse effects can be increased when Bortezomib is combined with Fludrocortisone.]
[N07CA03, flunarizine, The metabolism of Flunarizine can be decreased when combined with Bortezomib.]
[N05CD03, flunitrazepam, The metabolism of Flunitrazepam can be decreased when combined with Bortezomib.]
[D07AC08, fluocinonide, The metabolism of Bortezomib can be increased when combined with Fluocinonide.]
[H02AB03, fluocortolone, The metabolism of Bortezomib can be increased when combined with Fluocortolone.]
[V03AZ01, ethanol, The metabolism of Bortezomib can be increased when combined with Ethanol.]
[L01BC09, floxuridine, The risk or severity of adverse effects can be increased when Bortezomib is combined with Floxuridine.]
[S01CB05, fluorometholone, The risk or severity of adverse effects can be increased when Bortezomib is combined with Fluorometholone.]
[L01BC02, fluorouracil, The risk or severity of adverse effects can be increased when Bortezomib is combined with Fluorouracil.]
[N06AB03, fluoxetine, The serum concentration of Bortezomib can be increased when it is combined with Fluoxetine.]
[N05AF01, flupenthixol, The risk or severity of myelosuppression can be increased when Flupentixol is combined with Bortezomib.]
[N05AB02, fluphenazine, The metabolism of Bortezomib can be decreased when combined with Fluphenazine.]
[S01BC04, flurbiprofen, The metabolism of Flurbiprofen can be decreased when combined with Bortezomib.]
[N05AG01, fluspirilene, The risk or severity of QTc prolongation can be increased when Bortezomib is combined with Fluspirilene.]
[L02BB01, flutamide, The metabolism of Flutamide can be decreased when combined with Bortezomib.]
[L01BC03, tegafur, The metabolism of Tegafur can be decreased when combined with Bortezomib.]
[J05AE10, darunavir, The serum concentration of Bortezomib can be increased when it is combined with Darunavir.]
[N05AL05, amisulpride, The risk or severity of QTc prolongation can be increased when Bortezomib is combined with Amisulpride.]
[N06DA04, galantamine, The risk or severity of QTc prolongation can be increased when Bortezomib is combined with Galantamine.]
[C08DA02, gallopamil, The risk or severity of QTc prolongation can be increased when Bortezomib is combined with Gallopamil.]
[N03AA04, barbexaclone, The metabolism of Bortezomib can be increased when combined with Barbexaclone.]
[C10AB04, gemfibrozil, The metabolism of Bortezomib can be decreased when combined with Gemfibrozil.]
[J01XA03, telavancin, The risk or severity of QTc prolongation can be increased when Bortezomib is combined with Telavancin.]
[L02BX02, degarelix, The risk or severity of QTc prolongation can be increased when Bortezomib is combined with Degarelix.]
[L01EA02, dasatinib, The metabolism of Bortezomib can be decreased when combined with Dasatinib.]
[N04BC06, cabergoline, The serum concentration of Cabergoline can be increased when it is combined with Bortezomib.]
[C01CA21, cafedrine, The metabolism of Cafedrine can be decreased when combined with Bortezomib.]
[J05AG04, etravirine, The metabolism of Bortezomib can be increased when combined with Etravirine.]
[N03AD03, methsuximide, The risk or severity of QTc prolongation can be increased when Bortezomib is combined with Methsuximide.]
[L01EH01, lapatinib, The serum concentration of Bortezomib can be increased when it is combined with Lapatinib.]
[A10BB01, glyburide, The metabolism of Bortezomib can be decreased when combined with Glyburide.]
[A10BB09, gliclazide, The metabolism of Gliclazide can be decreased when combined with Bortezomib.]
[A10BB07, glipizide, The metabolism of Glipizide can be decreased when combined with Bortezomib.]
[N05CM18, dexmedetomidine, The metabolism of Bortezomib can be decreased when combined with Dexmedetomidine.]
[C01BD04, dofetilide, The risk or severity of QTc prolongation can be increased when Bortezomib is combined with Dofetilide.]
[C02CA04, doxazosin, The metabolism of Bortezomib can be decreased when combined with Doxazosin.]
[L01EX02, sorafenib, The serum concentration of Bortezomib can be increased when it is combined with Sorafenib.]
[C07AB09, esmolol, The risk or severity of QTc prolongation can be increased when Esmolol is combined with Bortezomib.]
[B01AA12, fluindione, The risk or severity of bleeding can be increased when Fluindione is combined with Bortezomib.]
[D01BA01, griseofulvin, The metabolism of Bortezomib can be increased when combined with Griseofulvin.]
[L02AE03, goserelin, The risk or severity of QTc prolongation can be increased when Bortezomib is combined with Goserelin.]
[P01BX01, halofantrine, The metabolism of Bortezomib can be decreased when combined with Halofantrine.]
[N05AD01, haloperidol, The risk or severity of QTc prolongation can be increased when Bortezomib is combined with Haloperidol.]
[N01AB01, halothane, The metabolism of Halothane can be decreased when combined with Bortezomib.]
[L02AE05, histrelin, The risk or severity of QTc prolongation can be increased when Bortezomib is combined with Histrelin.]
[N05AH04, quetiapine, The risk or severity of QTc prolongation can be increased when Bortezomib is combined with Quetiapine.]
[L01CE02, irinotecan, The risk or severity of adverse effects can be increased when Bortezomib is combined with Irinotecan.]
[M04AA01, allopurinol, The risk or severity of adverse effects can be increased when Allopurinol is combined with Bortezomib.]
[C09CA01, losartan, The metabolism of Bortezomib can be decreased when combined with Losartan.]
[S01XA14, heparin, The risk or severity of bleeding can be increased when Heparin is combined with Bortezomib.]
[G03DC01, allylestrenol, The metabolism of Bortezomib can be decreased when combined with Allylestrenol.]
[L01XX03, altretamine, The risk or severity of adverse effects can be increased when Bortezomib is combined with Altretamine.]
[N05CA16, hexobarbital, The metabolism of Hexobarbital can be decreased when combined with Bortezomib.]
[J05AG01, nevirapine, The metabolism of Bortezomib can be decreased when combined with Nevirapine.]
[C08CA10, nilvadipine, The metabolism of Bortezomib can be decreased when combined with Nilvadipine.]
[M02AA26, nimesulide, The risk or severity of bleeding can be increased when Nimesulide is combined with Bortezomib.]
[R06AE06, oxatomide, The risk or severity of QTc prolongation can be increased when Bortezomib is combined with Oxatomide.]
[C02DB02, hydralazine, The metabolism of Bortezomib can be decreased when combined with Hydralazine.]
[C03AA03, hydrochlorothiazide, The risk or severity of QTc prolongation can be increased when Bortezomib is combined with Hydrochlorothiazide.]
[S02BA01, hydrocortisone, The metabolism of Bortezomib can be increased when combined with Hydrocortisone.]
[C03AA02, hydroflumethiazide, The risk or severity of neutropenia and thrombocytopenia can be increased when Hydroflumethiazide is combined with Bortezomib.]
[P01BA02, hydroxychloroquine, The risk or severity of adverse effects can be increased when Bortezomib is combined with Hydroxychloroquine.]
[L01XX05, hydroxyurea, The risk or severity of adverse effects can be increased when Bortezomib is combined with Hydroxyurea.]
[N05BB01, hydroxyzine, The risk or severity of QTc prolongation can be increased when Bortezomib is combined with Hydroxyzine.]
[J04AB04, rifabutin, The metabolism of Bortezomib can be increased when combined with Rifabutin.]
[R02AX02, ibuprofen, The metabolism of Ibuprofen can be decreased when combined with Bortezomib.]
[B05CB02, sodium citrate, The risk or severity of bleeding can be increased when Sodium citrate is combined with Bortezomib.]
[L01DB06, idarubicin, The risk or severity of adverse effects can be increased when Bortezomib is combined with Idarubicin.]
[L01AA06, ifosfamide, The metabolism of Bortezomib can be increased when combined with Ifosfamide.]
[H01AC02, somatrem, The metabolism of Bortezomib can be increased when combined with Somatrem.]
[N06AA02, imipramine, The metabolism of Bortezomib can be decreased when combined with Imipramine.]
[L01CD01, paclitaxel, The metabolism of Bortezomib can be increased when combined with Paclitaxel.]
[H01BA04, terlipressin, The risk or severity of QTc prolongation can be increased when Bortezomib is combined with Terlipressin.]
[R01AD07, tixocortol, The risk or severity of adverse effects can be increased when Bortezomib is combined with Tixocortol.]
[M03BX02, tizanidine, The risk or severity of QTc prolongation can be increased when Bortezomib is combined with Tizanidine.]
[L01CE01, topotecan, The risk or severity of adverse effects can be increased when Bortezomib is combined with Topotecan.]
[C03BA11, indapamide, The risk or severity of QTc prolongation can be increased when Bortezomib is combined with Indapamide.]
[S01BC01, indomethacin, The risk or severity of adverse effects can be increased when Bortezomib is combined with Indomethacin.]
[L03AB04, interferon alfa-2a, The risk or severity of adverse effects can be increased when Interferon alfa-2a is combined with Bortezomib.]
[L03AB05, interferon alfa-2b, The risk or severity of adverse effects can be increased when Interferon alfa-2b is combined with Bortezomib.]
[N06AX17, milnacipran, The metabolism of Bortezomib can be decreased when combined with Milnacipran.]
[L04AA25, eculizumab, The risk or severity of adverse effects can be increased when Bortezomib is combined with Eculizumab.]
[N01BB08, articaine, The risk or severity of methemoglobinemia can be increased when Bortezomib is combined with Articaine.]
[A10BH01, sitagliptin, The serum concentration of Bortezomib can be increased when it is combined with Sitagliptin.]
[N05CH02, ramelteon, The metabolism of Ramelteon can be decreased when combined with Bortezomib.]
[R06AE01, buclizine, The risk or severity of QTc prolongation can be increased when Bortezomib is combined with Buclizine.]
[C10AA06, cerivastatin, The metabolism of Bortezomib can be increased when combined with Cerivastatin.]
[L01XX35, anagrelide, The risk or severity of QTc prolongation can be increased when Bortezomib is combined with Anagrelide.]
[C07AA01, alprenolol, The metabolism of Alprenolol can be decreased when combined with Bortezomib.]
[L03AB09, interferon alfacon-1, The risk or severity of adverse effects can be increased when Interferon alfacon-1 is combined with Bortezomib.]
[V03AB01, ipecac, The metabolism of Ipecac can be decreased when combined with Bortezomib.]
[N06AF05, iproniazid, The metabolism of Bortezomib can be decreased when combined with Iproniazid.]
[J05AB13, penciclovir, The metabolism of Penciclovir can be decreased when combined with Bortezomib.]
[P01AX06, atovaquone, The metabolism of Bortezomib can be decreased when combined with Atovaquone.]
[N01AB06, isoflurane, The risk or severity of QTc prolongation can be increased when Bortezomib is combined with Isoflurane.]
[N04BX02, entacapone, The metabolism of Bortezomib can be decreased when combined with Entacapone.]
[J04AC01, isoniazid, The metabolism of Bortezomib can be decreased when combined with Isoniazid.]
[B01AE06, bivalirudin, The risk or severity of bleeding can be increased when Bivalirudin is combined with Bortezomib.]
[N06AX18, reboxetine, The metabolism of Bortezomib can be decreased when combined with Reboxetine.]
[H01AC01, somatropin, The metabolism of Bortezomib can be increased when combined with Somatotropin.]
[L04AC07, tocilizumab, The metabolism of Bortezomib can be increased when combined with Tocilizumab.]
[N01AX03, ketamine, The metabolism of Ketamine can be decreased when combined with Bortezomib.]
[C02KD01, ketanserin, The risk or severity of bleeding can be increased when Ketanserin is combined with Bortezomib.]
[B01AC22, prasugrel, The risk or severity of bleeding can be increased when Prasugrel is combined with Bortezomib.]
[J02AB02, ketoconazole, The metabolism of Bortezomib can be decreased when combined with Ketoconazole.]
[N05AH03, olanzapine, The risk or severity of QTc prolongation can be increased when Bortezomib is combined with Olanzapine.]
[V03AC03, deferasirox, The serum concentration of Bortezomib can be increased when it is combined with Deferasirox.]
[L04AA24, abatacept, The metabolism of Bortezomib can be increased when combined with Abatacept.]
[R06AX25, mizolastine, The risk or severity of QTc prolongation can be increased when Bortezomib is combined with Mizolastine.]
[N04BC09, rotigotine, The metabolism of Bortezomib can be decreased when combined with Rotigotine.]
[J01MB02, nalidixic acid, The metabolism of Bortezomib can be decreased when combined with Nalidixic acid.]
[C07AG01, labetalol, The metabolism of Labetalol can be decreased when combined with Bortezomib.]
[N04BB01, amantadine, The risk or severity of QTc prolongation can be increased when Bortezomib is combined with Amantadine.]
[N03AX18, lacosamide, The metabolism of Bortezomib can be decreased when combined with Lacosamide.]
[L01DC03, mitomycin, The risk or severity of adverse effects can be increased when Bortezomib is combined with Mitomycin.]
[S02DA01, lidocaine, The risk or severity of methemoglobinemia can be increased when Bortezomib is combined with Lidocaine.]
[C08EX01, lidoflazine, The risk or severity of QTc prolongation can be increased when Bortezomib is combined with Lidoflazine.]
[N06BA13, armodafinil, The metabolism of Bortezomib can be increased when combined with Armodafinil.]
[N02CA07, lisuride, The metabolism of Lisuride can be decreased when combined with Bortezomib.]
[L01AD02, lomustine, The risk or severity of adverse effects can be increased when Bortezomib is combined with Lomustine.]
[A07DA03, loperamide, The serum concentration of Bortezomib can be increased when it is combined with Loperamide.]
[C10AA02, lovastatin, The metabolism of Bortezomib can be decreased when combined with Lovastatin.]
[N05AH01, loxapine, The serum concentration of Bortezomib can be increased when it is combined with Loxapine.]
[G03DC03, lynestrenol, The metabolism of Lynestrenol can be decreased when combined with Bortezomib.]
[L01EG01, temsirolimus, The serum concentration of Bortezomib can be increased when it is combined with Temsirolimus.]
[L01BA05, pralatrexate, The risk or severity of adverse effects can be increased when Bortezomib is combined with Pralatrexate.]
[L01EA03, nilotinib, The metabolism of Bortezomib can be decreased when combined with Nilotinib.]
[V04CX04, mannitol, The serum concentration of Bortezomib can be increased when it is combined with Mannitol.]
[N06AA21, maprotiline, The risk or severity of QTc prolongation can be increased when Bortezomib is combined with Maprotiline.]
[L01AA05, mechlorethamine, The risk or severity of adverse effects can be increased when Bortezomib is combined with Mechlorethamine.]
[R06AE05, meclizine, The metabolism of Meclizine can be decreased when combined with Bortezomib.]
[C01AA08, medigoxin, Metildigoxin may decrease the cardiotoxic activities of Bortezomib.]
[P01BC02, mefloquine, The serum concentration of Bortezomib can be increased when it is combined with Mefloquine.]
[B01AB06, nadroparin, The risk or severity of bleeding can be increased when Nadroparin is combined with Bortezomib.]
[B01AB05, enoxaparin, The risk or severity of bleeding can be increased when Enoxaparin is combined with Bortezomib.]
[B01AB04, dalteparin, The risk or severity of bleeding can be increased when Dalteparin is combined with Bortezomib.]
[N05CH01, melatonin, The metabolism of Melatonin can be decreased when combined with Bortezomib.]
[L01AA03, melphalan, The risk or severity of adverse effects can be increased when Bortezomib is combined with Melphalan.]
[N02AB02, meperidine, The metabolism of Bortezomib can be decreased when combined with Meperidine.]
[N03AB04, mephenytoin, The metabolism of Mephenytoin can be decreased when combined with Bortezomib.]
[N03AA01, mephobarbital, The metabolism of Bortezomib can be increased when combined with Methylphenobarbital.]
[N01BB03, mepivacaine, The risk or severity of methemoglobinemia can be increased when Bortezomib is combined with Mepivacaine.]
[L02BG01, aminoglutethimide, The metabolism of Bortezomib can be increased when combined with Aminoglutethimide.]
[N05AC03, mesoridazine, The risk or severity of QTc prolongation can be increased when Bortezomib is combined with Mesoridazine.]
[N05AX13, paliperidone, The serum concentration of Bortezomib can be increased when it is combined with Paliperidone.]
[A04AA04, dolasetron, The risk or severity of QTc prolongation can be increased when Bortezomib is combined with Dolasetron.]
[H01CB03, lanreotide, The metabolism of Bortezomib can be decreased when combined with Lanreotide.]
[N07BC02, methadone, The metabolism of Bortezomib can be decreased when combined with Methadone.]
[N06BA03, methamphetamine, The metabolism of Metamfetamine can be decreased when combined with Bortezomib.]
[H03BB02, methimazole, The metabolism of Bortezomib can be decreased when combined with Methimazole.]
[L01BA04, pemetrexed, The risk or severity of adverse effects can be increased when Bortezomib is combined with Pemetrexed.]
[L04AX03, methotrexate, The risk or severity of adverse effects can be increased when Bortezomib is combined with Methotrexate.]
