[P02BB01, trichlorfon, The therapeutic efficacy of Isoflurane can be decreased when used in combination with Metrifonate.]
[N01AB08, sevoflurane, The risk or severity of adverse effects can be increased when Isoflurane is combined with Sevoflurane.]
[N05AD08, droperidol, Droperidol may increase the central nervous system depressant (CNS depressant) activities of Isoflurane.]
[A08AA10, sibutramine, The risk or severity of adverse effects can be increased when Isoflurane is combined with Sibutramine.]
[C10AA01, simvastatin, The metabolism of Isoflurane can be increased when combined with Simvastatin.]
[V03AG05, sodium phosphate, The therapeutic efficacy of Sodium phosphate, monobasic can be decreased when used in combination with Isoflurane.]
[A12CA02, sodium sulfate, The therapeutic efficacy of Sodium sulfate can be decreased when used in combination with Isoflurane.]
[C09AA11, spirapril, Isoflurane may decrease the antihypertensive activities of Spirapril.]
[N05AL02, sultopride, The risk or severity of adverse effects can be increased when Isoflurane is combined with Sultopride.]
[N02CC01, sumatriptan, The risk or severity of adverse effects can be increased when Sumatriptan is combined with Isoflurane.]
[V04CX07, edrophonium, The therapeutic efficacy of Isoflurane can be decreased when used in combination with Edrophonium.]
[C07AB13, talinolol, The risk or severity of QTc prolongation can be increased when Isoflurane is combined with Talinolol.]
[J01MA05, temafloxacin, The risk or severity of QTc prolongation can be increased when Isoflurane is combined with Temafloxacin.]
[M01AC02, tenoxicam, The risk or severity of hypertension can be increased when Tenoxicam is combined with Isoflurane.]
[G04CA03, terazosin, Isoflurane may decrease the antihypertensive activities of Terazosin.]
[G04BD05, terodiline, The risk or severity of QTc prolongation can be increased when Isoflurane is combined with Terodiline.]
[C07AA16, tertatolol, Isoflurane may increase the cardiodepressant activities of Tertatolol.]
[S01GA02, tetrahydrozoline, The risk or severity of hypertension can be increased when Isoflurane is combined with Tetryzoline.]
[M03BX07, tetrazepam, The risk or severity of adverse effects can be increased when Isoflurane is combined with Tetrazepam.]
[M03BX05, thiocolchicoside, The risk or severity of adverse effects can be increased when Isoflurane is combined with Thiocolchicoside.]
[N05AB05, thiopropazate, The risk or severity of adverse effects can be increased when Isoflurane is combined with Thiopropazate.]
[G04BD01, emepronium, Isoflurane may increase the central nervous system depressant (CNS depressant) activities of Emepronium.]
[N06AX14, tianeptine, The risk or severity of adverse effects can be increased when Isoflurane is combined with Tianeptine.]
[C09AA02, enalapril, Isoflurane may decrease the antihypertensive activities of Enalapril.]
[N05BA23, tofisopam, The risk or severity of adverse effects can be increased when Isoflurane is combined with Tofisopam.]
[M01AG02, tolfenamic acid, The risk or severity of hypertension can be increased when Isoflurane is combined with Tolfenamic acid.]
[N06AG03, toloxatone, The risk or severity of adverse effects can be increased when Isoflurane is combined with Toloxatone.]
[N06BA09, atomoxetine, The risk or severity of QTc prolongation can be increased when Atomoxetine is combined with Isoflurane.]
[N03AX11, topiramate, The risk or severity of adverse effects can be increased when Topiramate is combined with Isoflurane.]
[L02BA02, toremifene, The risk or severity of QTc prolongation can be increased when Isoflurane is combined with Toremifene.]
[C03CA04, torsemide, Isoflurane may decrease the antihypertensive activities of Torasemide.]
[R01AA09, tramazoline, The risk or severity of hypertension can be increased when Isoflurane is combined with Tramazoline.]
[C09AA10, trandolapril, Isoflurane may decrease the antihypertensive activities of Trandolapril.]
[N05CD11, triazulenone, The risk or severity of adverse effects can be increased when Isoflurane is combined with Loprazolam.]
[N05CC01, chloral hydrate, The risk or severity of adverse effects can be increased when Isoflurane is combined with Chloral hydrate.]
[N05CM07, triclofos, The risk or severity of adverse effects can be increased when Isoflurane is combined with Triclofos.]
[A03AB08, tridihexethyl, Isoflurane may increase the central nervous system depressant (CNS depressant) activities of Tridihexethyl.]
[R06AA10, trimethobenzamide, The risk or severity of adverse effects can be increased when Trimethobenzamide is combined with Isoflurane.]
[L02AE04, triptorelin, The risk or severity of QTc prolongation can be increased when Isoflurane is combined with Triptorelin.]
[N04AA12, tropatepine, Isoflurane may increase the central nervous system depressant (CNS depressant) activities of Tropatepine.]
[R03CC11, tulobuterol, The risk or severity of hypertension can be increased when Isoflurane is combined with Tulobuterol.]
[N01AB04, enflurane, The risk or severity of adverse effects can be increased when Enflurane is combined with Isoflurane.]
[C02CA06, urapidil, The risk or severity of adverse effects can be increased when Isoflurane is combined with Urapidil.]
[J01MA04, enoxacin, The risk or severity of QTc prolongation can be increased when Enoxacin is combined with Isoflurane.]
[N05AL06, veralipride, The risk or severity of adverse effects can be increased when Isoflurane is combined with Veralipride.]
[S01FB02, ephedrine, Ephedrine may increase the arrhythmogenic activities of Isoflurane.]
[S01GX10, epinastine, The risk or severity of adverse effects can be increased when Epinastine is combined with Isoflurane.]
[N06AX16, venlafaxine, The risk or severity of adverse effects can be increased when Venlafaxine is combined with Isoflurane.]
[C01CX07, xamoterol, The risk or severity of hypertension can be increased when Isoflurane is combined with Xamoterol.]
[S01GA03, xylometazoline, The risk or severity of hypertension can be increased when Isoflurane is combined with Xylometazoline.]
[C08CA12, mepirodipine, The risk or severity of adverse effects can be increased when Isoflurane is combined with Barnidipine.]
[S01EA01, epinephrine, Isoflurane may increase the arrhythmogenic activities of Epinephrine.]
[C09AA15, zofenopril, Isoflurane may decrease the antihypertensive activities of Zofenopril.]
[N05CF02, zolpidem, Isoflurane may increase the central nervous system depressant (CNS depressant) activities of Zolpidem.]
[M01AB04, zomepirac, The risk or severity of hypertension can be increased when Isoflurane is combined with Zomepirac.]
[N03AX15, zonisamide, The risk or severity of adverse effects can be increased when Isoflurane is combined with Zonisamide.]
[N05CF01, zopiclone, The risk or severity of adverse effects can be increased when Isoflurane is combined with Zopiclone.]
[N05AX11, zotepine, The risk or severity of adverse effects can be increased when Isoflurane is combined with Zotepine.]
[C02AC02, guanfacine, The risk or severity of adverse effects can be increased when Isoflurane is combined with Guanfacine.]
[B01AC11, iloprost, The risk or severity of adverse effects can be increased when Isoflurane is combined with Iloprost.]
[C01BG01, moricizine, The risk or severity of adverse effects can be increased when Moricizine is combined with Isoflurane.]
[G02AB03, ergonovine, The risk or severity of adverse effects can be increased when Isoflurane is combined with Ergometrine.]
[C04AE01, ergoloid mesylates, USP, The risk or severity of adverse effects can be increased when Isoflurane is combined with Ergoloid mesylate.]
[N02CA02, ergotamine, The risk or severity of adverse effects can be increased when Ergotamine is combined with Isoflurane.]
[N03AG01, valproic acid, The risk or severity of QTc prolongation can be increased when Isoflurane is combined with Valproic acid.]
[S01AA17, erythromycin, The risk or severity of QTc prolongation can be increased when Isoflurane is combined with Erythromycin.]
[N05CD04, estazolam, The risk or severity of adverse effects can be increased when Isoflurane is combined with Estazolam.]
[J04AK02, ethambutol, The metabolism of Isoflurane can be decreased when combined with Ethambutol.]
[C10AA04, fluvastatin, The metabolism of Isoflurane can be increased when combined with Fluvastatin.]
[C01CA15, gepefrine, The risk or severity of hypertension can be increased when Isoflurane is combined with Gepefrine.]
[N05CM08, ethchlorvynol, The risk or severity of adverse effects can be increased when Ethchlorvynol is combined with Isoflurane.]
[V03AF05, amifostine, The risk or severity of adverse effects can be increased when Isoflurane is combined with Amifostine.]
[C01BD05, ibutilide, The risk or severity of QTc prolongation can be increased when Isoflurane is combined with Ibutilide.]
[N04AA05, profenamine, Isoflurane may increase the central nervous system depressant (CNS depressant) activities of Profenamine.]
[N03AD01, ethosuximide, The risk or severity of adverse effects can be increased when Ethosuximide is combined with Isoflurane.]
[N03AB01, ethotoin, The risk or severity of adverse effects can be increased when Isoflurane is combined with Ethotoin.]
[M01AC06, meloxicam, The risk or severity of hypertension can be increased when Isoflurane is combined with Meloxicam.]
[S01XA06, ethylmorphine, The risk or severity of adverse effects can be increased when Isoflurane is combined with Ethylmorphine.]
[C01CA01, etilefrine, The risk or severity of hypertension can be increased when Isoflurane is combined with Etilefrine.]
[N01AX07, etomidate, The risk or severity of adverse effects can be increased when Etomidate is combined with Isoflurane.]
[N05AE03, sertindole, The risk or severity of adverse effects can be increased when Isoflurane is combined with Sertindole.]
[C01BA05, ajmaline, The risk or severity of QTc prolongation can be increased when Isoflurane is combined with Ajmaline.]
[L04AD02, tacrolimus, The risk or severity of QTc prolongation can be increased when Isoflurane is combined with Tacrolimus.]
[A02BA04, nizatidine, The therapeutic efficacy of Isoflurane can be decreased when used in combination with Nizatidine.]
[J01MA08, fleroxacin, The risk or severity of QTc prolongation can be increased when Isoflurane is combined with Fleroxacin.]
[R06AX11, astemizole, The risk or severity of QTc prolongation can be increased when Isoflurane is combined with Astemizole.]
[R06AX12, terfenadine, Isoflurane may increase the central nervous system depressant (CNS depressant) activities of Terfenadine.]
[N06AX12, bupropion, The risk or severity of seizure can be increased when Bupropion is combined with Isoflurane.]
[N06AB08, fluvoxamine, The risk or severity of adverse effects can be increased when Isoflurane is combined with Fluvoxamine.]
[C01BC08, encainide, The risk or severity of QTc prolongation can be increased when Isoflurane is combined with Encainide.]
[L02AE02, leuprolide, The risk or severity of QTc prolongation can be increased when Isoflurane is combined with Leuprolide.]
[A02BA03, famotidine, The risk or severity of QTc prolongation can be increased when Isoflurane is combined with Famotidine.]
[C08CA02, felodipine, The risk or severity of QTc prolongation can be increased when Isoflurane is combined with Felodipine.]
[C08EA01, fendiline, The risk or severity of QTc prolongation can be increased when Isoflurane is combined with Fendiline.]
[N03AX26, fenfluramine, The risk or severity of adverse effects can be increased when Fenfluramine is combined with Isoflurane.]
[M01AE04, fenoprofen, The risk or severity of hypertension can be increased when Fenoprofen is combined with Isoflurane.]
[R03CC04, fenoterol, The risk or severity of hypertension can be increased when Isoflurane is combined with Fenoterol.]
[N02AB03, fentanyl, The risk or severity of adverse effects can be increased when Isoflurane is combined with Fentanyl.]
[R03CC02, albuterol, The risk or severity of QTc prolongation can be increased when Isoflurane is combined with Salbutamol.]
[L01BB06, clofarabine, The risk or severity of adverse effects can be increased when Clofarabine is combined with Isoflurane.]
[G04BD02, flavoxate, Isoflurane may increase the central nervous system depressant (CNS depressant) activities of Flavoxate.]
[C01BC04, flecainide, The risk or severity of QTc prolongation can be increased when Isoflurane is combined with Flecainide.]
[N02BG04, floctafenine, The risk or severity of hypertension can be increased when Isoflurane is combined with Floctafenine.]
[J02AC01, fluconazole, The risk or severity of QTc prolongation can be increased when Fluconazole is combined with Isoflurane.]
[N07CA03, flunarizine, The risk or severity of adverse effects can be increased when Isoflurane is combined with Flunarizine.]
[N05CD03, flunitrazepam, The risk or severity of adverse effects can be increased when Isoflurane is combined with Flunitrazepam.]
[N06AA14, melitracen, The risk or severity of adverse effects can be increased when Isoflurane is combined with Melitracen.]
[V03AZ01, ethanol, Isoflurane may increase the central nervous system depressant (CNS depressant) activities of Ethanol.]
[L01BC02, fluorouracil, The risk or severity of QTc prolongation can be increased when Isoflurane is combined with Fluorouracil.]
[N06AB03, fluoxetine, Isoflurane may increase the central nervous system depressant (CNS depressant) activities of Fluoxetine.]
[N05AF01, flupenthixol, Isoflurane may increase the central nervous system depressant (CNS depressant) activities of Flupentixol.]
[N05AB02, fluphenazine, The risk or severity of adverse effects can be increased when Fluphenazine is combined with Isoflurane.]
[N05CD01, flurazepam, The risk or severity of adverse effects can be increased when Flurazepam is combined with Isoflurane.]
[S01BC04, flurbiprofen, The risk or severity of hypertension can be increased when Flurbiprofen is combined with Isoflurane.]
[N05AG01, fluspirilene, The risk or severity of adverse effects can be increased when Isoflurane is combined with Fluspirilene.]
[N06BX17, adrafinil, The risk or severity of hypertension can be increased when Isoflurane is combined with Adrafinil.]
[M03AA01, alcuronium, The risk or severity of adverse effects can be increased when Isoflurane is combined with Alcuronium.]
[G01AX06, furazolidone, The risk or severity of adverse effects can be increased when Isoflurane is combined with Furazolidone.]
[C03CA01, furosemide, Isoflurane may decrease the antihypertensive activities of Furosemide.]
[N05CF04, eszopiclone, The risk or severity of CNS depression can be increased when Isoflurane is combined with Eszopiclone.]
[N05AL05, amisulpride, The risk or severity of adverse effects can be increased when Isoflurane is combined with Amisulpride.]
[N06DA04, galantamine, The risk or severity of QTc prolongation can be increased when Galantamine is combined with Isoflurane.]
[M03AC02, gallamine, The risk or severity of adverse effects can be increased when Isoflurane is combined with Gallamine.]
[C08DA02, gallopamil, The risk or severity of QTc prolongation can be increased when Isoflurane is combined with Gallopamil.]
[N03AA04, barbexaclone, Barbexaclone may increase the hypotensive activities of Isoflurane.]
[N06AX08, bifemelane, The risk or severity of adverse effects can be increased when Isoflurane is combined with Bifemelane.]
[J01XA03, telavancin, The risk or severity of QTc prolongation can be increased when Isoflurane is combined with Telavancin.]
[L02BX02, degarelix, The risk or severity of QTc prolongation can be increased when Isoflurane is combined with Degarelix.]
[L01EA02, dasatinib, The risk or severity of QTc prolongation can be increased when Isoflurane is combined with Dasatinib.]
[N04BC06, cabergoline, The risk or severity of adverse effects can be increased when Cabergoline is combined with Isoflurane.]
[N03AD03, methsuximide, The risk or severity of adverse effects can be increased when Isoflurane is combined with Methsuximide.]
[N01AH02, alfentanil, The risk or severity of adverse effects can be increased when Isoflurane is combined with Alfentanil.]
[L01EH01, lapatinib, The risk or severity of QTc prolongation can be increased when Isoflurane is combined with Lapatinib.]
[N05CM18, dexmedetomidine, The risk or severity of adverse effects can be increased when Dexmedetomidine is combined with Isoflurane.]
[N05CE01, glutethimide, The risk or severity of adverse effects can be increased when Isoflurane is combined with Glutethimide.]
[A06AX01, glycerin, The metabolism of Isoflurane can be increased when combined with Glycerin.]
[C05AE01, nitroglycerin, Isoflurane may decrease the antihypertensive activities of Nitroglycerin.]
[C01BD04, dofetilide, The risk or severity of QTc prolongation can be increased when Isoflurane is combined with Dofetilide.]
[C02CA04, doxazosin, Isoflurane may decrease the antihypertensive activities of Doxazosin.]
[L01EX02, sorafenib, The risk or severity of QTc prolongation can be increased when Sorafenib is combined with Isoflurane.]
[C07AB09, esmolol, The risk or severity of QTc prolongation can be increased when Esmolol is combined with Isoflurane.]
[C09AA09, fosinopril, Isoflurane may decrease the antihypertensive activities of Fosinopril.]
[S01EX01, guanethidine, Isoflurane may decrease the antihypertensive activities of Guanethidine.]
[L02AE03, goserelin, The risk or severity of QTc prolongation can be increased when Isoflurane is combined with Goserelin.]
[P01BX01, halofantrine, The risk or severity of QTc prolongation can be increased when Isoflurane is combined with Halofantrine.]
[N05AD01, haloperidol, The risk or severity of QTc prolongation can be increased when Isoflurane is combined with Haloperidol.]
[N01AB01, halothane, The risk or severity of adverse effects can be increased when Isoflurane is combined with Halothane.]
[L02AE05, histrelin, The risk or severity of QTc prolongation can be increased when Isoflurane is combined with Histrelin.]
[N05AH04, quetiapine, Isoflurane may increase the central nervous system depressant (CNS depressant) activities of Quetiapine.]
[N02CX03, iprazochrome, The risk or severity of adverse effects can be increased when Isoflurane is combined with Iprazochrome.]
[L01CE02, irinotecan, The metabolism of Irinotecan can be decreased when combined with Isoflurane.]
[N05CA21, allobarbital, The risk or severity of adverse effects can be increased when Isoflurane is combined with Allobarbital.]
[C09CA01, losartan, The risk or severity of QTc prolongation can be increased when Losartan is combined with Isoflurane.]
[B05CB03, magnesium citrate, The therapeutic efficacy of Magnesium citrate can be decreased when used in combination with Isoflurane.]
[A07EC02, mesalamine, The risk or severity of hypertension can be increased when Mesalazine is combined with Isoflurane.]
[A12CD02, sodium monofluorophosphate, The therapeutic efficacy of Sodium fluorophosphate can be decreased when used in combination with Isoflurane.]
[N05CA16, hexobarbital, Hexobarbital may increase the hypotensive activities of Isoflurane.]
[R03CC05, hexoprenaline, The risk or severity of hypertension can be increased when Isoflurane is combined with Hexoprenaline.]
[J05AG01, nevirapine, The metabolism of Isoflurane can be increased when combined with Nevirapine.]
[C08CA10, nilvadipine, The metabolism of Nilvadipine can be decreased when combined with Isoflurane.]
[M02AA26, nimesulide, The risk or severity of hypertension can be increased when Isoflurane is combined with Nimesulide.]
[R06AE06, oxatomide, The risk or severity of QTc prolongation can be increased when Isoflurane is combined with Oxatomide.]
[C09AA04, perindopril, Isoflurane may decrease the antihypertensive activities of Perindopril.]
[C02DB02, hydralazine, Isoflurane may decrease the antihypertensive activities of Hydralazine.]
[C03AA03, hydrochlorothiazide, The risk or severity of QTc prolongation can be increased when Isoflurane is combined with Hydrochlorothiazide.]
[R05DA03, hydrocodone, Isoflurane may increase the central nervous system depressant (CNS depressant) activities of Hydrocodone.]
[S02BA01, hydrocortisone, The metabolism of Isoflurane can be increased when combined with Hydrocortisone.]
[C03AA02, hydroflumethiazide, Isoflurane may decrease the antihypertensive activities of Hydroflumethiazide.]
[G04BD06, propiverine, Isoflurane may increase the central nervous system depressant (CNS depressant) activities of Propiverine.]
[P01BA02, hydroxychloroquine, The risk or severity of QTc prolongation can be increased when Isoflurane is combined with Hydroxychloroquine.]
[N05AX07, prothipendyl, The risk or severity of adverse effects can be increased when Isoflurane is combined with Prothipendyl.]
[N05BB01, hydroxyzine, The risk or severity of QTc prolongation can be increased when Isoflurane is combined with Hydroxyzine.]
[J04AB04, rifabutin, The metabolism of Isoflurane can be increased when combined with Rifabutin.]
[C02AC06, rilmenidine, Isoflurane may decrease the antihypertensive activities of Rilmenidine.]
[R02AX02, ibuprofen, The risk or severity of hypertension can be increased when Isoflurane is combined with Ibuprofen.]
[A06AD21, sodium tartrate, The therapeutic efficacy of Sodium tartrate can be decreased when used in combination with Isoflurane.]
[L01AA06, ifosfamide, The metabolism of Ifosfamide can be decreased when combined with Isoflurane.]
[N01AH03, sufentanil, The risk or severity of adverse effects can be increased when Isoflurane is combined with Sufentanil.]
[N06AA02, imipramine, Isoflurane may increase the central nervous system depressant (CNS depressant) activities of Imipramine.]
[L01CD01, paclitaxel, The risk or severity of adverse effects can be increased when Isoflurane is combined with Paclitaxel.]
[H01BA04, terlipressin, The risk or severity of QTc prolongation can be increased when Isoflurane is combined with Terlipressin.]
[M03BX02, tizanidine, The risk or severity of adverse effects can be increased when Tizanidine is combined with Isoflurane.]
[C03BA11, indapamide, The risk or severity of QTc prolongation can be increased when Isoflurane is combined with Indapamide.]
[S01BC01, indomethacin, The risk or severity of hypertension can be increased when Indomethacin is combined with Isoflurane.]
[C02CA02, indoramin, Isoflurane may decrease the antihypertensive activities of Indoramin.]
[N06AX17, milnacipran, The risk or severity of adverse effects can be increased when Isoflurane is combined with Milnacipran.]
[A03AA30, piperidolate, Isoflurane may increase the central nervous system depressant (CNS depressant) activities of Piperidolate.]
[N01BB08, articaine, The risk or severity of adverse effects can be increased when Isoflurane is combined with Articaine.]
[N05BA12, alprazolam, The risk or severity of adverse effects can be increased when Alprazolam is combined with Isoflurane.]
[N05CH02, ramelteon, The risk or severity of adverse effects can be increased when Isoflurane is combined with Ramelteon.]
[R06AE01, buclizine, Isoflurane may increase the central nervous system depressant (CNS depressant) activities of Buclizine.]
[C10AA06, cerivastatin, The metabolism of Isoflurane can be increased when combined with Cerivastatin.]
[L01XX35, anagrelide, The risk or severity of QTc prolongation can be increased when Isoflurane is combined with Anagrelide.]
[C07AA01, alprenolol, The risk or severity of adverse effects can be increased when Isoflurane is combined with Alprenolol.]
[C03BA02, quinethazone, The serum concentration of Quinethazone can be increased when it is combined with Isoflurane.]
[N06AA13, iprindole, The risk or severity of adverse effects can be increased when Isoflurane is combined with Iprindole.]
[N06AF05, iproniazid, The risk or severity of adverse effects can be increased when Isoflurane is combined with Iproniazid.]
[N05AA07, chlorproethazine, The risk or severity of adverse effects can be increased when Isoflurane is combined with Chlorproethazine.]
[N06AF01, isocarboxazid, The risk or severity of adverse effects can be increased when Isoflurane is combined with Isocarboxazid.]
[R03CC06, isoetharine, The risk or severity of hypertension can be increased when Isoetharine is combined with Isoflurane.]
[C09AA16, imidapril, Isoflurane may decrease the antihypertensive activities of Imidapril.]
[J01MB04, pipemidic acid, The risk or severity of QTc prolongation can be increased when Isoflurane is combined with Pipemidic acid.]
[N07XX04, sodium oxybate, The risk or severity of adverse effects can be increased when Isoflurane is combined with Sodium oxybate.]
[M01AG01, mefenamic acid, The risk or severity of hypertension can be increased when Isoflurane is combined with Mefenamic acid.]
[S01EB07, isoflurophate, The therapeutic efficacy of Isoflurane can be decreased when used in combination with Isoflurophate.]
[N04BX02, entacapone, The risk or severity of adverse effects can be increased when Entacapone is combined with Isoflurane.]
[J04AC01, isoniazid, The metabolism of Isoflurane can be decreased when combined with Isoniazid.]
[R03CB01, isoproterenol, Isoflurane may increase the arrhythmogenic activities of Isoprenaline.]
[C05AE02, isosorbide dinitrate, The metabolism of Isoflurane can be decreased when combined with Isosorbide dinitrate.]
[C04AA01, isoxsuprine, The risk or severity of hypertension can be increased when Isoflurane is combined with Isoxsuprine.]
[N06AX18, reboxetine, The risk or severity of adverse effects can be increased when Reboxetine is combined with Isoflurane.]
[L04AC07, tocilizumab, The metabolism of Isoflurane can be increased when combined with Tocilizumab.]
[N01AX03, ketamine, The risk or severity of adverse effects can be increased when Isoflurane is combined with Ketamine.]
[C02KD01, ketanserin, The risk or severity of adverse effects can be increased when Isoflurane is combined with Ketanserin.]
[B01AC22, prasugrel, The metabolism of Prasugrel can be decreased when combined with Isoflurane.]
[J02AB02, ketoconazole, The risk or severity of QTc prolongation can be increased when Isoflurane is combined with Ketoconazole.]
[N05AH03, olanzapine, Isoflurane may increase the central nervous system depressant (CNS depressant) activities of Olanzapine.]
[M02AA10, ketoprofen, The risk or severity of hypertension can be increased when Isoflurane is combined with Ketoprofen.]
[L04AA24, abatacept, The metabolism of Isoflurane can be increased when combined with Abatacept.]
[R06AX25, mizolastine, The risk or severity of QTc prolongation can be increased when Isoflurane is combined with Mizolastine.]
[C01CA22, arbutamine, The risk or severity of hypertension can be increased when Isoflurane is combined with Arbutamine.]
[N04BC09, rotigotine, Isoflurane may increase the sedative activities of Rotigotine.]
[J01MB02, nalidixic acid, The risk or severity of QTc prolongation can be increased when Isoflurane is combined with Nalidixic acid.]
[C07AG01, labetalol, Isoflurane may decrease the antihypertensive activities of Labetalol.]
[N04BB01, amantadine, The risk or severity of QTc prolongation can be increased when Isoflurane is combined with Amantadine.]
[C02AA05, deserpidine, Isoflurane may decrease the antihypertensive activities of Deserpidine.]
[A06AD11, lactulose, The therapeutic efficacy of Lactulose can be decreased when used in combination with Isoflurane.]
[N07AA30, ambenonium, The therapeutic efficacy of Isoflurane can be decreased when used in combination with Ambenonium.]
[A06AX03, lubiprostone, The therapeutic efficacy of Lubiprostone can be decreased when used in combination with Isoflurane.]
[N03AX18, lacosamide, The risk or severity of adverse effects can be increased when Isoflurane is combined with Lacosamide.]
[N04BA01, levodopa, The risk or severity of hypotension and orthostatic hypotension can be increased when Isoflurane is combined with Levodopa.]
[S02DA01, lidocaine, The risk or severity of adverse effects can be increased when Lidocaine is combined with Isoflurane.]
[C08EX01, lidoflazine, The risk or severity of QTc prolongation can be increased when Isoflurane is combined with Lidoflazine.]
[N06BA13, armodafinil, The metabolism of Isoflurane can be increased when combined with Armodafinil.]
[C03DB01, amiloride, The risk or severity of adverse effects can be increased when Amiloride is combined with Isoflurane.]
[N02CA07, lisuride, The risk or severity of adverse effects can be increased when Lisuride is combined with Isoflurane.]
[N06AA07, lofepramine, The risk or severity of adverse effects can be increased when Isoflurane is combined with Lofepramine.]
[A07DA03, loperamide, The risk or severity of QTc prolongation can be increased when Isoflurane is combined with Loperamide.]
[N05BA06, lorazepam, The risk or severity of adverse effects can be increased when Lorazepam is combined with Isoflurane.]
[N05AH01, loxapine, The risk or severity of adverse effects can be increased when Loxapine is combined with Isoflurane.]
[G04BX01, magnesium hydroxide, The therapeutic efficacy of Magnesium hydroxide can be decreased when used in combination with Isoflurane.]
[A12CC10, magnesium oxide, The therapeutic efficacy of Magnesium oxide can be decreased when used in combination with Isoflurane.]
[V04CC02, magnesium sulfate, The therapeutic efficacy of Isoflurane can be increased when used in combination with Magnesium sulfate.]
[L01EA03, nilotinib, The risk or severity of QTc prolongation can be increased when Isoflurane is combined with Nilotinib.]
[V04CX04, mannitol, The risk or severity of adverse effects can be increased when Mannitol is combined with Isoflurane.]
[N06AA21, maprotiline, Isoflurane may increase the central nervous system depressant (CNS depressant) activities of Maprotiline.]
[A08AA05, mazindol, The risk or severity of adverse effects can be increased when Mazindol is combined with Isoflurane.]
[C02BB01, mecamylamine, Isoflurane may decrease the antihypertensive activities of Mecamylamine.]
[L01AA05, mechlorethamine, The therapeutic efficacy of Isoflurane can be decreased when used in combination with Mechlorethamine.]
[R06AE05, meclizine, The risk or severity of adverse effects can be increased when Meclizine is combined with Isoflurane.]
[M02AA18, meclofenamic acid, The risk or severity of hypertension can be increased when Isoflurane is combined with Meclofenamic acid.]
[N05BA03, medazepam, The risk or severity of adverse effects can be increased when Isoflurane is combined with Medazepam.]
[A06AB07, cascara sagrada, The therapeutic efficacy of Frangula purshiana bark can be decreased when used in combination with Isoflurane.]
[P01BC02, mefloquine, The risk or severity of QTc prolongation can be increased when Mefloquine is combined with Isoflurane.]
[N05CH01, melatonin, The risk or severity of adverse effects can be increased when Isoflurane is combined with Melatonin.]
[N06DX01, memantine, The metabolism of Isoflurane can be decreased when combined with Memantine.]
[N02AB02, meperidine, The risk or severity of adverse effects can be increased when Isoflurane is combined with Meperidine.]
[C01CA11, mephentermine, The risk or severity of hypertension can be increased when Isoflurane is combined with Mephentermine.]
[N03AB04, mephenytoin, The risk or severity of adverse effects can be increased when Mephenytoin is combined with Isoflurane.]
[N03AA01, mephobarbital, Methylphenobarbital may increase the hypotensive activities of Isoflurane.]
[N01BB03, mepivacaine, The risk or severity of adverse effects can be increased when Isoflurane is combined with Mepivacaine.]
[N05BC01, meprobamate, The risk or severity of adverse effects can be increased when Meprobamate is combined with Isoflurane.]
[N02AX05, meptazinol, The risk or severity of adverse effects can be increased when Isoflurane is combined with Meptazinol.]
[N05AC03, mesoridazine, The risk or severity of adverse effects can be increased when Isoflurane is combined with Mesoridazine.]
[N05AX13, paliperidone, The risk or severity of QTc prolongation can be increased when Isoflurane is combined with Paliperidone.]
[C01CA09, metaraminol, The risk or severity of hypertension can be increased when Metaraminol is combined with Isoflurane.]
[A04AA04, dolasetron, The risk or severity of adverse effects can be increased when Isoflurane is combined with Dolasetron.]
[N07BC02, methadone, The risk or severity of adverse effects can be increased when Methadone is combined with Isoflurane.]
[N06BA03, methamphetamine, The risk or severity of adverse effects can be increased when Isoflurane is combined with Metamfetamine.]
[A03AB07, methantheline, Isoflurane may increase the central nervous system depressant (CNS depressant) activities of Methantheline.]
[R06AC05, methapyrilene, The risk or severity of adverse effects can be increased when Isoflurane is combined with Methapyrilene.]
[N05CM01, methaqualone, The risk or severity of adverse effects can be increased when Isoflurane is combined with Methaqualone.]
[N03AA30, metharbital, The risk or severity of adverse effects can be increased when Metharbital is combined with Isoflurane.]
[S01EC05, methazolamide, The risk or severity of adverse effects can be increased when Methazolamide is combined with Isoflurane.]
[G02CB05, metergoline, The risk or severity of adverse effects can be increased when Isoflurane is combined with Metergoline.]
[H03BB02, methimazole, The metabolism of Isoflurane can be decreased when combined with Methimazole.]
[M03BA03, methocarbamol, The risk or severity of adverse effects can be increased when Methocarbamol is combined with Isoflurane.]
[N05CA15, methohexital, Methohexital may increase the hypotensive activities of Isoflurane.]
[N02BG08, ziconotide, The risk or severity of adverse effects can be increased when Isoflurane is combined with Ziconotide.]
[N05AA02, methotrimeprazine, Isoflurane may increase the central nervous system depressant (CNS depressant) activities of Methotrimeprazine.]
[C01CA10, methoxamine, The risk or severity of hypertension can be increased when Methoxamine is combined with Isoflurane.]
[N02BG09, methoxyflurane, The risk or severity of adverse effects can be increased when Isoflurane is combined with Methoxyflurane.]
[C03AA08, methyclothiazide, The serum concentration of Methyclothiazide can be increased when it is combined with Isoflurane.]
[A06AC06, methylcellulose, The therapeutic efficacy of Methylcellulose can be decreased when used in combination with Isoflurane.]
[C02AB01, methyldopa, Isoflurane may decrease the antihypertensive activities of Methyldopa.]
[V04CG05, methylene blue, The risk or severity of adverse effects can be increased when Isoflurane is combined with Methylene blue.]
