[S02DA03, antipyrine, The risk or severity of hypertension can be increased when Droperidol is combined with Antipyrine.]
[C01BA05, ajmaline, The risk or severity of QTc prolongation can be increased when Ajmaline is combined with Droperidol.]
[L04AD02, tacrolimus, The risk or severity of QTc prolongation can be increased when Tacrolimus is combined with Droperidol.]
[J01MA08, fleroxacin, The risk or severity of QTc prolongation can be increased when Fleroxacin is combined with Droperidol.]
[R06AX11, astemizole, The risk or severity of QTc prolongation can be increased when Droperidol is combined with Astemizole.]
[R06AX12, terfenadine, The risk or severity of QTc prolongation can be increased when Droperidol is combined with Terfenadine.]
[N06AX12, bupropion, Droperidol may increase the central nervous system depressant (CNS depressant) activities of Bupropion.]
[N06AB08, fluvoxamine, Droperidol may increase the central nervous system depressant (CNS depressant) activities of Fluvoxamine.]
[C01BC08, encainide, The risk or severity of QTc prolongation can be increased when Encainide is combined with Droperidol.]
[L02AE02, leuprolide, The risk or severity of QTc prolongation can be increased when Leuprolide is combined with Droperidol.]
[A02BA03, famotidine, The risk or severity of QTc prolongation can be increased when Famotidine is combined with Droperidol.]
[C08CA02, felodipine, The risk or severity of hypotension can be increased when Droperidol is combined with Felodipine.]
[C08EA01, fendiline, The risk or severity of hypotension can be increased when Droperidol is combined with Fendiline.]
[N03AX26, fenfluramine, Droperidol may increase the central nervous system depressant (CNS depressant) activities of Fenfluramine.]
[M01AE04, fenoprofen, The risk or severity of hypertension can be increased when Droperidol is combined with Fenoprofen.]
[R03CC04, fenoterol, The therapeutic efficacy of Fenoterol can be decreased when used in combination with Droperidol.]
[R03CC02, albuterol, The therapeutic efficacy of Salbutamol can be decreased when used in combination with Droperidol.]
[G04BD02, flavoxate, Droperidol may increase the central nervous system depressant (CNS depressant) activities of Flavoxate.]
[C01BC04, flecainide, The risk or severity of QTc prolongation can be increased when Droperidol is combined with Flecainide.]
[N02BG04, floctafenine, The risk or severity of hypertension can be increased when Droperidol is combined with Floctafenine.]
[J02AC01, fluconazole, The risk or severity of QTc prolongation can be increased when Fluconazole is combined with Droperidol.]
[N07CA03, flunarizine, Droperidol may increase the central nervous system depressant (CNS depressant) activities of Flunarizine.]
[N05CD03, flunitrazepam, Droperidol may increase the central nervous system depressant (CNS depressant) activities of Flunitrazepam.]
[N06AA14, melitracen, Droperidol may increase the central nervous system depressant (CNS depressant) activities of Melitracen.]
[V03AZ01, ethanol, Droperidol may increase the central nervous system depressant (CNS depressant) activities of Ethanol.]
[L01BC02, fluorouracil, The risk or severity of QTc prolongation can be increased when Droperidol is combined with Fluorouracil.]
[N06AB03, fluoxetine, Droperidol may increase the central nervous system depressant (CNS depressant) activities of Fluoxetine.]
[N05AF01, flupenthixol, The risk or severity of QTc prolongation can be increased when Droperidol is combined with Flupentixol.]
[N05AB02, fluphenazine, Droperidol may increase the central nervous system depressant (CNS depressant) activities of Fluphenazine.]
[N05CD01, flurazepam, Droperidol may increase the central nervous system depressant (CNS depressant) activities of Flurazepam.]
[S01BC04, flurbiprofen, The risk or severity of hypertension can be increased when Droperidol is combined with Flurbiprofen.]
[N05AG01, fluspirilene, Droperidol may increase the central nervous system depressant (CNS depressant) activities of Fluspirilene.]
[N06BX17, adrafinil, The therapeutic efficacy of Adrafinil can be decreased when used in combination with Droperidol.]
[M03AA01, alcuronium, Droperidol may increase the central nervous system depressant (CNS depressant) activities of Alcuronium.]
[G01AX06, furazolidone, Droperidol may increase the central nervous system depressant (CNS depressant) activities of Furazolidone.]
[C03CA01, furosemide, Droperidol may decrease the antihypertensive activities of Furosemide.]
[N05CF04, eszopiclone, The risk or severity of CNS depression can be increased when Droperidol is combined with Eszopiclone.]
[N05AL05, amisulpride, The risk or severity of QTc prolongation can be increased when Droperidol is combined with Amisulpride.]
[N06DA04, galantamine, The risk or severity of QTc prolongation can be increased when Galantamine is combined with Droperidol.]
[M03AC02, gallamine, Droperidol may increase the central nervous system depressant (CNS depressant) activities of Gallamine.]
[C08DA02, gallopamil, The risk or severity of hypotension can be increased when Droperidol is combined with Gallopamil.]
[N03AA04, barbexaclone, Droperidol may increase the central nervous system depressant (CNS depressant) activities of Barbexaclone.]
[N06AX08, bifemelane, Droperidol may increase the central nervous system depressant (CNS depressant) activities of Bifemelane.]
[J01XA03, telavancin, The risk or severity of QTc prolongation can be increased when Droperidol is combined with Telavancin.]
[L02BX02, degarelix, The risk or severity of QTc prolongation can be increased when Degarelix is combined with Droperidol.]
[L01EA02, dasatinib, The risk or severity of QTc prolongation can be increased when Dasatinib is combined with Droperidol.]
[N04BC06, cabergoline, Droperidol may increase the central nervous system depressant (CNS depressant) activities of Cabergoline.]
[N03AD03, methsuximide, Droperidol may increase the central nervous system depressant (CNS depressant) activities of Methsuximide.]
[N01AH02, alfentanil, The risk or severity of hypertension can be increased when Alfentanil is combined with Droperidol.]
[L01EH01, lapatinib, The risk or severity of QTc prolongation can be increased when Lapatinib is combined with Droperidol.]
[N05CM18, dexmedetomidine, Droperidol may increase the central nervous system depressant (CNS depressant) activities of Dexmedetomidine.]
[N05CE01, glutethimide, Droperidol may increase the central nervous system depressant (CNS depressant) activities of Glutethimide.]
[C05AE01, nitroglycerin, Droperidol may decrease the antihypertensive activities of Nitroglycerin.]
[C01BD04, dofetilide, The risk or severity of QTc prolongation can be increased when Droperidol is combined with Dofetilide.]
[C02CA04, doxazosin, Droperidol may increase the orthostatic hypotensive, hypotensive, and antihypertensive activities of Doxazosin.]
[L01EX02, sorafenib, The risk or severity of QTc prolongation can be increased when Sorafenib is combined with Droperidol.]
[C07AB09, esmolol, Esmolol may increase the orthostatic hypotensive activities of Droperidol.]
[C09AA09, fosinopril, Droperidol may decrease the antihypertensive activities of Fosinopril.]
[S01EX01, guanethidine, Droperidol may decrease the antihypertensive activities of Guanethidine.]
[L02AE03, goserelin, The risk or severity of QTc prolongation can be increased when Goserelin is combined with Droperidol.]
[P01BX01, halofantrine, The risk or severity of QTc prolongation can be increased when Droperidol is combined with Halofantrine.]
[N05AD01, haloperidol, The risk or severity of QTc prolongation can be increased when Droperidol is combined with Haloperidol.]
[N01AB01, halothane, Droperidol may increase the central nervous system depressant (CNS depressant) activities of Halothane.]
[L02AE05, histrelin, The risk or severity of QTc prolongation can be increased when Histrelin is combined with Droperidol.]
[N05AH04, quetiapine, Droperidol may increase the central nervous system depressant (CNS depressant) activities of Quetiapine.]
[N02CX03, iprazochrome, Droperidol may increase the central nervous system depressant (CNS depressant) activities of Iprazochrome.]
[N05CA21, allobarbital, Droperidol may increase the central nervous system depressant (CNS depressant) activities of Allobarbital.]
[C09CA01, losartan, Droperidol may decrease the antihypertensive activities of Losartan.]
[A07EC02, mesalamine, The risk or severity of hypertension can be increased when Mesalazine is combined with Droperidol.]
[N05CA16, hexobarbital, Droperidol may increase the central nervous system depressant (CNS depressant) activities of Hexobarbital.]
[R03CC05, hexoprenaline, The therapeutic efficacy of Hexoprenaline can be decreased when used in combination with Droperidol.]
[C08CA10, nilvadipine, The risk or severity of hypotension can be increased when Droperidol is combined with Nilvadipine.]
[M02AA26, nimesulide, The risk or severity of hypotension can be increased when Droperidol is combined with Nimesulide.]
[R06AE06, oxatomide, The risk or severity of QTc prolongation can be increased when Droperidol is combined with Oxatomide.]
[C09AA04, perindopril, Droperidol may decrease the antihypertensive activities of Perindopril.]
[C02DB02, hydralazine, Droperidol may decrease the antihypertensive activities of Hydralazine.]
[C03AA03, hydrochlorothiazide, Droperidol may decrease the antihypertensive activities of Hydrochlorothiazide.]
[R05DA03, hydrocodone, Droperidol may increase the central nervous system depressant (CNS depressant) activities of Hydrocodone.]
[C03AA02, hydroflumethiazide, Droperidol may decrease the antihypertensive activities of Hydroflumethiazide.]
[G04BD06, propiverine, Droperidol may increase the orthostatic hypotensive, hypotensive, and antihypertensive activities of Propiverine.]
[P01BA02, hydroxychloroquine, The risk or severity of QTc prolongation can be increased when Hydroxychloroquine is combined with Droperidol.]
[N05AX07, prothipendyl, Droperidol may increase the central nervous system depressant (CNS depressant) activities of Prothipendyl.]
[N05BB01, hydroxyzine, The risk or severity of QTc prolongation can be increased when Droperidol is combined with Hydroxyzine.]
[C02AC06, rilmenidine, The therapeutic efficacy of Rilmenidine can be decreased when used in combination with Droperidol.]
[R02AX02, ibuprofen, The risk or severity of hypertension can be increased when Droperidol is combined with Ibuprofen.]
[B05CB02, sodium citrate, Droperidol may increase the neurotoxic activities of Sodium citrate.]
[N01AH03, sufentanil, The risk or severity of hypertension can be increased when Sufentanil is combined with Droperidol.]
[N06AA02, imipramine, Droperidol may increase the central nervous system depressant (CNS depressant) activities of Imipramine.]
[L01CD01, paclitaxel, Droperidol may increase the neurotoxic activities of Paclitaxel.]
[H01BA04, terlipressin, The risk or severity of QTc prolongation can be increased when Droperidol is combined with Terlipressin.]
[M03BX02, tizanidine, Droperidol may increase the central nervous system depressant (CNS depressant) activities of Tizanidine.]
[C03BA11, indapamide, Droperidol may decrease the antihypertensive activities of Indapamide.]
[S01BC01, indomethacin, The risk or severity of hypertension can be increased when Indomethacin is combined with Droperidol.]
[C02CA02, indoramin, Droperidol may increase the orthostatic hypotensive, hypotensive, and antihypertensive activities of Indoramin.]
[N06AX17, milnacipran, Droperidol may increase the central nervous system depressant (CNS depressant) activities of Milnacipran.]
[A03AA30, piperidolate, Droperidol may increase the central nervous system depressant (CNS depressant) activities of Piperidolate.]
[N01BB08, articaine, Droperidol may increase the central nervous system depressant (CNS depressant) activities of Articaine.]
[N05BA12, alprazolam, Droperidol may increase the central nervous system depressant (CNS depressant) activities of Alprazolam.]
[N05CH02, ramelteon, Droperidol may increase the central nervous system depressant (CNS depressant) activities of Ramelteon.]
[R06AE01, buclizine, Droperidol may increase the central nervous system depressant (CNS depressant) activities of Buclizine.]
[L01XX35, anagrelide, The risk or severity of QTc prolongation can be increased when Droperidol is combined with Anagrelide.]
[C07AA01, alprenolol, Droperidol may increase the central nervous system depressant (CNS depressant) activities of Alprenolol.]
[J05AF04, stavudine, Droperidol may increase the neurotoxic activities of Stavudine.]
[N06AA13, iprindole, Droperidol may increase the central nervous system depressant (CNS depressant) activities of Iprindole.]
[N06AF05, iproniazid, Droperidol may increase the central nervous system depressant (CNS depressant) activities of Iproniazid.]
[N05AA07, chlorproethazine, Droperidol may increase the central nervous system depressant (CNS depressant) activities of Chlorproethazine.]
[N06AF01, isocarboxazid, Droperidol may increase the central nervous system depressant (CNS depressant) activities of Isocarboxazid.]
[R03CC06, isoetharine, The therapeutic efficacy of Isoetharine can be decreased when used in combination with Droperidol.]
[C09AA16, imidapril, Droperidol may decrease the antihypertensive activities of Imidapril.]
[N01AB06, isoflurane, Droperidol may increase the central nervous system depressant (CNS depressant) activities of Isoflurane.]
[N04BX02, entacapone, Droperidol may increase the central nervous system depressant (CNS depressant) activities of Entacapone.]
[R03CB01, isoproterenol, The therapeutic efficacy of Isoprenaline can be decreased when used in combination with Droperidol.]
[C04AA01, isoxsuprine, The therapeutic efficacy of Isoxsuprine can be decreased when used in combination with Droperidol.]
[N06AX18, reboxetine, Droperidol may increase the central nervous system depressant (CNS depressant) activities of Reboxetine.]
[N01AX03, ketamine, Droperidol may increase the central nervous system depressant (CNS depressant) activities of Ketamine.]
[C02KD01, ketanserin, Droperidol may increase the central nervous system depressant (CNS depressant) activities of Ketanserin.]
[J02AB02, ketoconazole, The risk or severity of QTc prolongation can be increased when Ketoconazole is combined with Droperidol.]
[N05AH03, olanzapine, Droperidol may increase the central nervous system depressant (CNS depressant) activities of Olanzapine.]
[M02AA10, ketoprofen, The risk or severity of hypertension can be increased when Droperidol is combined with Ketoprofen.]
[R06AX25, mizolastine, The risk or severity of QTc prolongation can be increased when Droperidol is combined with Mizolastine.]
[C01CA22, arbutamine, The therapeutic efficacy of Arbutamine can be decreased when used in combination with Droperidol.]
[N04BC09, rotigotine, Droperidol may increase the central nervous system depressant (CNS depressant) activities of Rotigotine.]
[J01MB02, nalidixic acid, The risk or severity of QTc prolongation can be increased when Droperidol is combined with Nalidixic acid.]
[M01AE11, tiaprofenic acid, The risk or severity of hypertension can be increased when Droperidol is combined with Tiaprofenic acid.]
[C07AG01, labetalol, Droperidol may increase the orthostatic hypotensive, hypotensive, and antihypertensive activities of Labetalol.]
[N04BB01, amantadine, The therapeutic efficacy of Amantadine can be decreased when used in combination with Droperidol.]
[C02AA05, deserpidine, Droperidol may decrease the antihypertensive activities of Deserpidine.]
[N03AX18, lacosamide, Droperidol may increase the central nervous system depressant (CNS depressant) activities of Lacosamide.]
[N04BA01, levodopa, Droperidol may increase the central nervous system depressant (CNS depressant) activities of Levodopa.]
[S02DA01, lidocaine, Droperidol may increase the central nervous system depressant (CNS depressant) activities of Lidocaine.]
[C08EX01, lidoflazine, The risk or severity of hypotension can be increased when Droperidol is combined with Lidoflazine.]
[J01FF02, lincomycin, Droperidol may increase the neurotoxic activities of Lincomycin.]
[N02CA07, lisuride, Droperidol may increase the central nervous system depressant (CNS depressant) activities of Lisuride.]
[N06AA07, lofepramine, Droperidol may increase the central nervous system depressant (CNS depressant) activities of Lofepramine.]
[A07DA03, loperamide, The risk or severity of hypotension can be increased when Droperidol is combined with Loperamide.]
[N05BA06, lorazepam, Droperidol may increase the central nervous system depressant (CNS depressant) activities of Lorazepam.]
[N05AH01, loxapine, Droperidol may increase the central nervous system depressant (CNS depressant) activities of Loxapine.]
[V04CC02, magnesium sulfate, The therapeutic efficacy of Droperidol can be increased when used in combination with Magnesium sulfate.]
[L01EA03, nilotinib, The risk or severity of QTc prolongation can be increased when Droperidol is combined with Nilotinib.]
[N06AA21, maprotiline, Droperidol may increase the central nervous system depressant (CNS depressant) activities of Maprotiline.]
[A08AA05, mazindol, Droperidol may increase the central nervous system depressant (CNS depressant) activities of Mazindol.]
[C02BB01, mecamylamine, Droperidol may decrease the antihypertensive activities of Mecamylamine.]
[R06AE05, meclizine, Droperidol may increase the central nervous system depressant (CNS depressant) activities of Meclizine.]
[M02AA18, meclofenamic acid, The risk or severity of hypertension can be increased when Droperidol is combined with Meclofenamic acid.]
[N05BA03, medazepam, Droperidol may increase the central nervous system depressant (CNS depressant) activities of Medazepam.]
[P01BC02, mefloquine, The risk or severity of QTc prolongation can be increased when Mefloquine is combined with Droperidol.]
[N05CH01, melatonin, Droperidol may increase the central nervous system depressant (CNS depressant) activities of Melatonin.]
[N06DX01, memantine, The therapeutic efficacy of Memantine can be decreased when used in combination with Droperidol.]
[N02AB02, meperidine, Droperidol may increase the central nervous system depressant (CNS depressant) activities of Meperidine.]
[C01CA11, mephentermine, The therapeutic efficacy of Droperidol can be decreased when used in combination with Mephentermine.]
[N03AB04, mephenytoin, Droperidol may increase the central nervous system depressant (CNS depressant) activities of Mephenytoin.]
[N03AA01, mephobarbital, Droperidol may increase the central nervous system depressant (CNS depressant) activities of Methylphenobarbital.]
[N01BB03, mepivacaine, Droperidol may increase the central nervous system depressant (CNS depressant) activities of Mepivacaine.]
[N05BC01, meprobamate, Droperidol may increase the central nervous system depressant (CNS depressant) activities of Meprobamate.]
[N02AX05, meptazinol, Droperidol may increase the central nervous system depressant (CNS depressant) activities of Meptazinol.]
[N05AC03, mesoridazine, Droperidol may increase the central nervous system depressant (CNS depressant) activities of Mesoridazine.]
[N05AX13, paliperidone, Droperidol may increase the central nervous system depressant (CNS depressant) activities of Paliperidone.]
[C01CA09, metaraminol, The therapeutic efficacy of Metaraminol can be decreased when used in combination with Droperidol.]
[A04AA04, dolasetron, Droperidol may increase the central nervous system depressant (CNS depressant) activities of Dolasetron.]
[N07BC02, methadone, The risk or severity of adverse effects can be increased when Methadone is combined with Droperidol.]
[N06BA03, methamphetamine, Droperidol may increase the central nervous system depressant (CNS depressant) activities of Metamfetamine.]
[A03AB07, methantheline, Droperidol may increase the central nervous system depressant (CNS depressant) activities of Methantheline.]
[R06AC05, methapyrilene, Droperidol may increase the central nervous system depressant (CNS depressant) activities of Methapyrilene.]
[N05CM01, methaqualone, Droperidol may increase the central nervous system depressant (CNS depressant) activities of Methaqualone.]
[N03AA30, metharbital, Droperidol may increase the central nervous system depressant (CNS depressant) activities of Metharbital.]
[G02CB05, metergoline, Droperidol may increase the central nervous system depressant (CNS depressant) activities of Metergoline.]
[M03BA03, methocarbamol, Droperidol may increase the central nervous system depressant (CNS depressant) activities of Methocarbamol.]
[N05CA15, methohexital, Droperidol may increase the central nervous system depressant (CNS depressant) activities of Methohexital.]
[N02BG08, ziconotide, The risk or severity of CNS depression can be increased when Droperidol is combined with Ziconotide.]
[L04AX03, methotrexate, The excretion of Methotrexate can be decreased when combined with Droperidol.]
[N05AA02, methotrimeprazine, Droperidol may increase the central nervous system depressant (CNS depressant) activities of Methotrimeprazine.]
[C01CA10, methoxamine, The therapeutic efficacy of Methoxamine can be decreased when used in combination with Droperidol.]
[N02BG09, methoxyflurane, Droperidol may increase the central nervous system depressant (CNS depressant) activities of Methoxyflurane.]
[C02AB01, methyldopa, The therapeutic efficacy of Methyldopa can be decreased when used in combination with Droperidol.]
[V04CG05, methylene blue, Droperidol may increase the central nervous system depressant (CNS depressant) activities of Methylene blue.]
[G02AB01, methylergonovine, The risk or severity of hypertension can be increased when Methylergometrine is combined with Droperidol.]
[N06BA04, methylphenidate, The risk or severity of adverse effects can be increased when Droperidol is combined with Methylphenidate.]
[N03AF03, rufinamide, Droperidol may increase the central nervous system depressant (CNS depressant) activities of Rufinamide.]
[N05CE02, methyprylon, Droperidol may increase the central nervous system depressant (CNS depressant) activities of Methyprylon.]
[N02CA04, methysergide, Droperidol may increase the central nervous system depressant (CNS depressant) activities of Methysergide.]
[A03FA01, metoclopramide, The risk or severity of adverse effects can be increased when Droperidol is combined with Metoclopramide.]
[C03BA08, metolazone, Droperidol may decrease the antihypertensive activities of Metolazone.]
[C07AB02, metoprolol, Metoprolol may increase the orthostatic hypotensive activities of Droperidol.]
[P01AB01, metronidazole, The risk or severity of QTc prolongation can be increased when Metronidazole is combined with Droperidol.]
[N06AX03, mianserin, Droperidol may increase the central nervous system depressant (CNS depressant) activities of Mianserin.]
[N02BB03, aminopyrine, The risk or severity of hypertension can be increased when Droperidol is combined with Aminophenazone.]
[N05CD08, midazolam, Droperidol may increase the central nervous system depressant (CNS depressant) activities of Midazolam.]
[C01CA17, midodrine, The therapeutic efficacy of Midodrine can be decreased when used in combination with Droperidol.]
[G03XB01, mifepristone, The risk or severity of QTc prolongation can be increased when Droperidol is combined with Mifepristone.]
[C09CA03, valsartan, Droperidol may decrease the antihypertensive activities of Valsartan.]
[J01AA08, minocycline, Minocycline may increase the central nervous system depressant (CNS depressant) activities of Droperidol.]
[D11AX01, minoxidil, Droperidol may decrease the antihypertensive activities of Minoxidil.]
[N06BA12, lisdexamfetamine, The therapeutic efficacy of Droperidol can be decreased when used in combination with Lisdexamfetamine.]
[N05AE02, molindone, Droperidol may increase the central nervous system depressant (CNS depressant) activities of Molindone.]
[C01BD01, amiodarone, The risk or severity of QTc prolongation can be increased when Droperidol is combined with Amiodarone.]
[N06AA09, amitriptyline, Droperidol may increase the central nervous system depressant (CNS depressant) activities of Amitriptyline.]
[N02AA01, morphine, Droperidol may increase the central nervous system depressant (CNS depressant) activities of Morphine.]
[A04AA05, palonosetron, Droperidol may increase the central nervous system depressant (CNS depressant) activities of Palonosetron.]
[L01EX03, pazopanib, The risk or severity of QTc prolongation can be increased when Droperidol is combined with Pazopanib.]
[M03AC03, vecuronium, Droperidol may increase the central nervous system depressant (CNS depressant) activities of Vecuronium.]
[N05CA02, amobarbital, Droperidol may increase the central nervous system depressant (CNS depressant) activities of Amobarbital.]
[P01BA06, amodiaquine, The risk or severity of QTc prolongation can be increased when Amodiaquine is combined with Droperidol.]
[G04CA04, silodosin, Droperidol may increase the orthostatic hypotensive, hypotensive, and antihypertensive activities of Silodosin.]
[N06AA17, amoxapine, Droperidol may increase the central nervous system depressant (CNS depressant) activities of Amoxapine.]
[N03AB05, fosphenytoin, Droperidol may increase the central nervous system depressant (CNS depressant) activities of Fosphenytoin.]
[C07AA12, nadolol, Nadolol may increase the orthostatic hypotensive activities of Droperidol.]
[N04BC04, ropinirole, The therapeutic efficacy of Ropinirole can be decreased when used in combination with Droperidol.]
[C04AX21, nafronyl, Droperidol may increase the central nervous system depressant (CNS depressant) activities of Naftidrofuryl.]
[N02AF02, nalbuphine, Droperidol may increase the central nervous system depressant (CNS depressant) activities of Nalbuphine.]
[S01GA01, naphazoline, The therapeutic efficacy of Naphazoline can be decreased when used in combination with Droperidol.]
[N06BA01, amphetamine, The therapeutic efficacy of Droperidol can be decreased when used in combination with Amphetamine.]
[M02AA12, naproxen, The risk or severity of hypertension can be increased when Droperidol is combined with Naproxen.]
[N06AX21, duloxetine, Droperidol may increase the central nervous system depressant (CNS depressant) activities of Duloxetine.]
[N04BX01, tolcapone, Droperidol may increase the central nervous system depressant (CNS depressant) activities of Tolcapone.]
[S03AA01, neomycin, Droperidol may increase the neurotoxic activities of Neomycin.]
[N01AH06, remifentanil, The risk or severity of hypertension can be increased when Remifentanil is combined with Droperidol.]
[C01CX08, levosimendan, The risk or severity of QTc prolongation can be increased when Droperidol is combined with Levosimendan.]
[N05AX14, iloperidone, Droperidol may increase the central nervous system depressant (CNS depressant) activities of Iloperidone.]
[N06AX23, desvenlafaxine, Droperidol may increase the central nervous system depressant (CNS depressant) activities of Desvenlafaxine.]
[C09CA07, telmisartan, Droperidol may decrease the antihypertensive activities of Telmisartan.]
[N06AF02, nialamide, Droperidol may increase the central nervous system depressant (CNS depressant) activities of Nialamide.]
[C08CA04, nicardipine, Droperidol may increase the orthostatic hypotensive, hypotensive, and antihypertensive activities of Nicardipine.]
[C04AE02, nicergoline, Droperidol may increase the orthostatic hypotensive, hypotensive, and antihypertensive activities of Nicergoline.]
[C08CA05, nifedipine, The risk or severity of hypotension can be increased when Droperidol is combined with Nifedipine.]
[M02AA17, niflumic acid, The risk or severity of hypertension can be increased when Droperidol is combined with Niflumic acid.]
[C08CA06, nimodipine, The risk or severity of hypotension can be increased when Droperidol is combined with Nimodipine.]
[C08CA07, nisoldipine, The risk or severity of hypotension can be increased when Droperidol is combined with Nisoldipine.]
[N05CD02, nitrazepam, Droperidol may increase the central nervous system depressant (CNS depressant) activities of Nitrazepam.]
[C08CA08, nitrendipine, The risk or severity of hypotension can be increased when Droperidol is combined with Nitrendipine.]
[N05CF03, zaleplon, Droperidol may increase the central nervous system depressant (CNS depressant) activities of Zaleplon.]
[N04BC05, pramipexole, The therapeutic efficacy of Pramipexole can be decreased when used in combination with Droperidol.]
[C02DD01, nitroprusside, Droperidol may decrease the antihypertensive activities of Nitroprusside.]
[N01AX13, nitrous oxide, Droperidol may increase the central nervous system depressant (CNS depressant) activities of Nitrous oxide.]
[N06AX04, nomifensine, Droperidol may increase the central nervous system depressant (CNS depressant) activities of Nomifensine.]
[C01CA03, norepinephrine, The therapeutic efficacy of Norepinephrine can be decreased when used in combination with Droperidol.]
[S01AE02, norfloxacin, The risk or severity of QTc prolongation can be increased when Norfloxacin is combined with Droperidol.]
[C02KX01, bosentan, Droperidol may decrease the antihypertensive activities of Bosentan.]
[N06AA10, nortriptyline, Droperidol may increase the central nervous system depressant (CNS depressant) activities of Nortriptyline.]
[G02CA02, nylidrin, The therapeutic efficacy of Nylidrin can be decreased when used in combination with Droperidol.]
[H01CB02, octreotide, The risk or severity of QTc prolongation can be increased when Octreotide is combined with Droperidol.]
[S02AA16, ofloxacin, The risk or severity of QTc prolongation can be increased when Droperidol is combined with Ofloxacin.]
[N06AA05, opipramol, Droperidol may increase the central nervous system depressant (CNS depressant) activities of Opipramol.]
[N02AA02, opium, Droperidol may increase the central nervous system depressant (CNS depressant) activities of Opium.]
[R03CB03, metaproterenol, The therapeutic efficacy of Orciprenaline can be decreased when used in combination with Droperidol.]
[G02CB04, quinagolide, The therapeutic efficacy of Quinagolide can be decreased when used in combination with Droperidol.]
[G04CA02, tamsulosin, Droperidol may increase the orthostatic hypotensive, hypotensive, and antihypertensive activities of Tamsulosin.]
[N05BA04, oxazepam, Droperidol may increase the central nervous system depressant (CNS depressant) activities of Oxazepam.]
[J01MB05, oxolinic acid, The risk or severity of QTc prolongation can be increased when Oxolinic acid is combined with Droperidol.]
[C07AA02, oxprenolol, Droperidol may increase the central nervous system depressant (CNS depressant) activities of Oxprenolol.]
[N02AA05, oxycodone, Droperidol may increase the central nervous system depressant (CNS depressant) activities of Oxycodone.]
[C01DX03, oxyfedrine, The therapeutic efficacy of Oxyfedrine can be decreased when used in combination with Droperidol.]
[S01GA04, oxymetazoline, The therapeutic efficacy of Oxymetazoline can be decreased when used in combination with Droperidol.]
[N02AA11, oxymorphone, Droperidol may increase the central nervous system depressant (CNS depressant) activities of Oxymorphone.]
[N05AE01, oxypertine, Droperidol may increase the central nervous system depressant (CNS depressant) activities of Oxypertine.]
[S01BC02, oxyphenbutazone, The risk or severity of hypertension can be increased when Droperidol is combined with Oxyphenbutazone.]
[A03AB03, oxyphenonium, Droperidol may increase the central nervous system depressant (CNS depressant) activities of Oxyphenonium.]
[H01BB02, oxytocin, The risk or severity of QTc prolongation can be increased when Oxytocin is combined with Droperidol.]
[N05AH05, asenapine, Droperidol may increase the central nervous system depressant (CNS depressant) activities of Asenapine.]
[N02AX06, tapentadol, Tapentadol may increase the central nervous system depressant (CNS depressant) activities of Droperidol.]
[M03AC01, pancuronium, Droperidol may increase the central nervous system depressant (CNS depressant) activities of Pancuronium.]
[G04BE02, papaverine, The risk or severity of QTc prolongation can be increased when Droperidol is combined with Papaverine.]
[N05CC05, paraldehyde, Droperidol may increase the central nervous system depressant (CNS depressant) activities of Paraldehyde.]
[C02KC01, pargyline, Droperidol may increase the central nervous system depressant (CNS depressant) activities of Pargyline.]
[J01MA03, pefloxacin, The risk or severity of QTc prolongation can be increased when Pefloxacin is combined with Droperidol.]
[G04BD11, fesoterodine, Droperidol may increase the central nervous system depressant (CNS depressant) activities of Fesoterodine.]
[C07AA23, penbutolol, Droperidol may increase the central nervous system depressant (CNS depressant) activities of Penbutolol.]
[N05AG03, penfluridol, Droperidol may increase the central nervous system depressant (CNS depressant) activities of Penfluridol.]
[N02AD01, pentazocine, Droperidol may increase the central nervous system depressant (CNS depressant) activities of Pentazocine.]
[N05CA01, pentobarbital, Droperidol may increase the central nervous system depressant (CNS depressant) activities of Pentobarbital.]
[N05AB10, perazine, Droperidol may increase the central nervous system depressant (CNS depressant) activities of Perazine.]
[N04BC02, pergolide, Droperidol may increase the central nervous system depressant (CNS depressant) activities of Pergolide.]
[C08EX02, perhexiline, The risk or severity of hypotension can be increased when Droperidol is combined with Perhexiline.]
[N05AB03, perphenazine, Droperidol may increase the central nervous system depressant (CNS depressant) activities of Perphenazine.]
[N02AD02, phenazocine, Droperidol may increase the central nervous system depressant (CNS depressant) activities of Phenazocine.]
[N06AF03, phenelzine, Droperidol may increase the central nervous system depressant (CNS depressant) activities of Phenelzine.]
[R06AB05, pheniramine, The risk or severity of QTc prolongation can be increased when Pheniramine is combined with Droperidol.]
[N03AA02, phenobarbital, Droperidol may increase the central nervous system depressant (CNS depressant) activities of Phenobarbital.]
[N01AH04, phenoperidine, Droperidol may increase the central nervous system depressant (CNS depressant) activities of Phenoperidine.]
[C04AX02, phenoxybenzamine, Droperidol may increase the orthostatic hypotensive, hypotensive, and antihypertensive activities of Phenoxybenzamine.]
[A08AA01, phentermine, The therapeutic efficacy of Droperidol can be decreased when used in combination with Phentermine.]
[V03AB36, phentolamine, Droperidol may increase the orthostatic hypotensive, hypotensive, and antihypertensive activities of Phentolamine.]
[M02AA01, phenylbutazone, The risk or severity of hypertension can be increased when Droperidol is combined with Phenylbutazone.]
[S01GA05, phenylephrine, The therapeutic efficacy of Phenylephrine can be decreased when used in combination with Droperidol.]
