[S02DA03, antipyrine, The metabolism of Antipyrine can be decreased when combined with Stiripentol.]
[L01EN03, infigratinib, The metabolism of Infigratinib can be decreased when combined with Stiripentol.]
[S03AA07, ciprofloxacin, The metabolism of Stiripentol can be decreased when combined with Ciprofloxacin.]
[L01XA01, cisplatin, Stiripentol may decrease the excretion rate of Cisplatin which could result in a higher serum level.]
[N06AB04, citalopram, The serum concentration of Citalopram can be increased when it is combined with Stiripentol.]
[H01AC07, somapacitan, The metabolism of Stiripentol can be decreased when combined with Somapacitan.]
[J02AX07, ibrexafungerp, The serum concentration of Ibrexafungerp can be increased when it is combined with Stiripentol.]
[C03DA05, finerenone, The serum concentration of the active metabolites of Finerenone can be increased when Finerenone is used in combination with Stiripentol.]
[L04AA48, belumosudil, The metabolism of Belumosudil can be decreased when combined with Stiripentol.]
[P01CA03, fexinidazole, The metabolism of Fexinidazole can be decreased when combined with Stiripentol.]
[L01XX74, belzutifan, The serum concentration of Belzutifan can be increased when it is combined with Stiripentol.]
[H01AC09, lonapegsomatropin, The metabolism of Stiripentol can be increased when combined with Lonapegsomatropin.]
[L01EB10, mobocertinib, The serum concentration of Mobocertinib can be increased when it is combined with Stiripentol.]
[L01FX23, tisotumab vedotin, The metabolism of Tisotumab vedotin can be decreased when combined with Stiripentol.]
[N02CD07, atogepant, The serum concentration of Atogepant can be increased when it is combined with Stiripentol.]
[L04AA59, avacopan, The metabolism of Avacopan can be decreased when combined with Stiripentol.]
[R06AA04, clemastine, The metabolism of Clemastine can be decreased when combined with Stiripentol.]
[M01AG01, mefenamic acid, The metabolism of Mefenamic acid can be increased when combined with Stiripentol.]
[A10BB12, glimepiride, The metabolism of Glimepiride can be decreased when combined with Stiripentol.]
[A10BB08, gliquidone, The metabolism of Gliquidone can be decreased when combined with Stiripentol.]
[J01FF01, clindamycin, The metabolism of Clindamycin can be decreased when combined with Stiripentol.]
[N06AX25, St. John's wort extract, The metabolism of St. John's Wort can be decreased when combined with Stiripentol.]
[L01EA06, asciminib, The serum concentration of Asciminib can be increased when it is combined with Stiripentol.]
[L02BG06, exemestane, The metabolism of Exemestane can be decreased when combined with Stiripentol.]
[J05AX10, maribavir, The metabolism of Maribavir can be decreased when combined with Stiripentol.]
[L03AB15, ropeginterferon alfa-2b, The risk or severity of neuropsychiatric effects can be increased when Ropeginterferon alfa-2b is combined with Stiripentol.]
[D07AD01, clobetasol, The metabolism of Clobetasol can be decreased when combined with Stiripentol.]
[D11AH08, abrocitinib, The metabolism of Abrocitinib can be decreased when combined with Stiripentol.]
[C10AB01, clofibrate, The metabolism of Clofibrate can be decreased when combined with Stiripentol.]
[B06AX04, mitapivat, The metabolism of Mitapivat can be decreased when combined with Stiripentol.]
[N01BB10, levobupivacaine, The metabolism of Levobupivacaine can be decreased when combined with Stiripentol.]
[L01EJ03, pacritinib, The serum concentration of Pacritinib can be increased when it is combined with Stiripentol.]
[G03GB02, clomiphene, The excretion of Clomifene can be decreased when combined with Stiripentol.]
[N06AA04, clomipramine, The metabolism of Clomipramine can be decreased when combined with Stiripentol.]
[N03AE01, clonazepam, The metabolism of Clonazepam can be decreased when combined with Stiripentol.]
[S01EA04, clonidine, The risk or severity of sedation can be increased when Clonidine is combined with Stiripentol.]
[C01EB24, mavacamten, The serum concentration of Mavacamten can be increased when it is combined with Stiripentol.]
[J05AH02, oseltamivir, Oseltamivir may decrease the excretion rate of Stiripentol which could result in a higher serum level.]
[C03BA03, clopamide, Clopamide may increase the excretion rate of Stiripentol which could result in a lower serum level and potentially a reduction in efficacy.]
[A02BC08, vonoprazan, The metabolism of Vonoprazan can be decreased when combined with Stiripentol.]
[N05AH06, clothiapine, The risk or severity of adverse effects can be increased when Stiripentol is combined with Clothiapine.]
[N05BA21, clotiazepam, The metabolism of Clotiazepam can be decreased when combined with Stiripentol.]
[A04AA01, ondansetron, The metabolism of Ondansetron can be decreased when combined with Stiripentol.]
[A04AA02, granisetron, The metabolism of Granisetron can be decreased when combined with Stiripentol.]
[L01XX77, adagrasib, The serum concentration of Adagrasib can be increased when it is combined with Stiripentol.]
[N05AH02, clozapine, The metabolism of Clozapine can be decreased when combined with Stiripentol.]
[L01EN04, futibatinib, The metabolism of Futibatinib can be decreased when combined with Stiripentol.]
[J01GB12, arbekacin, Stiripentol may decrease the excretion rate of Arbekacin which could result in a higher serum level.]
[N05BA13, halazepam, The risk or severity of adverse effects can be increased when Halazepam is combined with Stiripentol.]
[H01AC08, somatrogon, The metabolism of Stiripentol can be increased when combined with Somatrogon.]
[S02DA02, cocaine, The metabolism of Cocaine can be decreased when combined with Stiripentol.]
[M09AX11, palovarotene, The serum concentration of Palovarotene can be increased when it is combined with Stiripentol.]
[C02KB01, metyrosine, Stiripentol may increase the sedative activities of Metyrosine.]
[L04AC21, bimekizumab, The metabolism of Stiripentol can be increased when combined with Bimekizumab.]
[M01AX13, proquazone, Proquazone may decrease the excretion rate of Stiripentol which could result in a higher serum level.]
[R05DA04, codeine, The metabolism of Codeine can be decreased when combined with Stiripentol.]
[M03AC05, hexafluorenium, The risk or severity of adverse effects can be increased when Hexafluronium is combined with Stiripentol.]
[M04AC01, colchicine, The serum concentration of Colchicine can be increased when it is combined with Stiripentol.]
[A03AB10, hexocyclium, Stiripentol may increase the central nervous system depressant (CNS depressant) activities of Hexocyclium.]
[A03BB06, homatropine methylbromide, Stiripentol may increase the central nervous system depressant (CNS depressant) activities of Homatropine methylbromide.]
[J01XB01, colistin, Stiripentol may decrease the excretion rate of Colistin which could result in a higher serum level.]
[J01DE02, cefpirome, Cefpirome may decrease the excretion rate of Stiripentol which could result in a higher serum level.]
[L04AA13, leflunomide, The excretion of Leflunomide can be decreased when combined with Stiripentol.]
[N01AB07, desflurane, The risk or severity of adverse effects can be increased when Desflurane is combined with Stiripentol.]
[A04AA03, tropisetron, The risk or severity of adverse effects can be increased when Stiripentol is combined with Tropisetron.]
[C04AX28, ifenprodil, The risk or severity of adverse effects can be increased when Ifenprodil is combined with Stiripentol.]
[A10BX03, nateglinide, The metabolism of Nateglinide can be decreased when combined with Stiripentol.]
[N02BA16, imidazole-2-hydroxybenzoate, Imidazole salicylate may decrease the excretion rate of Stiripentol which could result in a higher serum level.]
[J01FA15, telithromycin, The metabolism of Telithromycin can be decreased when combined with Stiripentol.]
[R03BA08, ciclesonide, The metabolism of Ciclesonide can be decreased when combined with Stiripentol.]
[B01AC10, indobufen, Indobufen may decrease the excretion rate of Stiripentol which could result in a higher serum level.]
[R06AX27, desloratadine, The risk or severity of adverse effects can be increased when Desloratadine is combined with Stiripentol.]
[J05AB14, valganciclovir, The therapeutic efficacy of Stiripentol can be decreased when used in combination with Valganciclovir.]
[C05BB03, invert sugar, Stiripentol may decrease the excretion rate of Invert sugar which could result in a higher serum level.]
[V08AB09, iodixanol, Iodixanol may decrease the excretion rate of Stiripentol which could result in a higher serum level.]
[V08AB05, iopromide, Stiripentol may decrease the excretion rate of Iopromide which could result in a higher serum level.]
[V08AB07, ioversol, Stiripentol may decrease the excretion rate of Ioversol which could result in a higher serum level.]
[V08AB12, ioxilan, Stiripentol may decrease the excretion rate of Ioxilan which could result in a higher serum level.]
[M01AH03, valdecoxib, The metabolism of Valdecoxib can be decreased when combined with Stiripentol.]
[N02CC05, almotriptan, The metabolism of Almotriptan can be decreased when combined with Stiripentol.]
[M01AH04, parecoxib, The metabolism of Parecoxib can be decreased when combined with Stiripentol.]
[J02AC02, itraconazole, The metabolism of Itraconazole can be decreased when combined with Stiripentol.]
[S01AD03, acyclovir, The metabolism of Acyclovir can be increased when combined with Stiripentol.]
[N05BA10, ketazolam, The metabolism of Ketazolam can be decreased when combined with Stiripentol.]
[M01AA06, kebuzone, Kebuzone may decrease the excretion rate of Stiripentol which could result in a higher serum level.]
[L01EA01, imatinib, The serum concentration of Imatinib can be increased when it is combined with Stiripentol.]
[J02AC04, posaconazole, The metabolism of Posaconazole can be decreased when combined with Stiripentol.]
[A02BC05, esomeprazole, The metabolism of Esomeprazole can be decreased when combined with Stiripentol.]
[C08CA09, lacidipine, The metabolism of Lacidipine can be decreased when combined with Stiripentol.]
[N03AX09, lamotrigine, Stiripentol may increase the central nervous system depressant (CNS depressant) activities of Lamotrigine.]
[S01BA03, cortisone, The metabolism of Cortisone can be decreased when combined with Stiripentol.]
[N07BC04, lofexidine, The therapeutic efficacy of Stiripentol can be increased when used in combination with Lofexidine.]
[S01AE04, lomefloxacin, The metabolism of Lomefloxacin can be increased when combined with Stiripentol.]
[M01AB09, lonazolac, Lonazolac may decrease the excretion rate of Stiripentol which could result in a higher serum level.]
[R06AX13, loratadine, The metabolism of Loratadine can be decreased when combined with Stiripentol.]
[N05CD06, lormetazepam, The risk or severity of adverse effects can be increased when Stiripentol is combined with Lormetazepam.]
[H01AA02, cosyntropin, The risk or severity of liver damage can be increased when Tetracosactide is combined with Stiripentol.]
[M02AA31, loxoprofen, Loxoprofen may decrease the excretion rate of Stiripentol which could result in a higher serum level.]
[J01DC08, loracarbef, Loracarbef may decrease the excretion rate of Stiripentol which could result in a higher serum level.]
[C09AA03, lisinopril, Lisinopril may decrease the excretion rate of Stiripentol which could result in a higher serum level.]
[A06AD01, magnesium carbonate, Stiripentol may decrease the excretion rate of Magnesium carbonate which could result in a higher serum level.]
[C08CA11, manidipine, The metabolism of Manidipine can be decreased when combined with Stiripentol.]
[A03AA04, mebeverine, Stiripentol may increase the central nervous system depressant (CNS depressant) activities of Mebeverine.]
[N06AX13, medifoxamine, The risk or severity of adverse effects can be increased when Stiripentol is combined with Medifoxamine.]
[S01BA08, medrysone, The metabolism of Medrysone can be decreased when combined with Stiripentol.]
[C07AA14, mepindolol, The metabolism of Mepindolol can be decreased when combined with Stiripentol.]
[H02AB15, meprednisone, The metabolism of Meprednisone can be decreased when combined with Stiripentol.]
[R06AD07, mequitazine, The metabolism of Mequitazine can be decreased when combined with Stiripentol.]
[J01DH02, meropenem, Meropenem may decrease the excretion rate of Stiripentol which could result in a higher serum level.]
[R06AD04, methdilazine, The therapeutic efficacy of Stiripentol can be decreased when used in combination with Methdilazine.]
[N04AA03, methixene, Stiripentol may increase the central nervous system depressant (CNS depressant) activities of Metixene.]
[C04AX01, cyclandelate, The metabolism of Cyclandelate can be decreased when combined with Stiripentol.]
[R06AE03, cyclizine, The risk or severity of adverse effects can be increased when Cyclizine is combined with Stiripentol.]
[N05CA10, cyclobarbital, The risk or severity of adverse effects can be increased when Stiripentol is combined with Cyclobarbital.]
[C03DA04, eplerenone, The metabolism of Eplerenone can be decreased when combined with Stiripentol.]
[N05AD03, metylperon, The metabolism of Melperone can be decreased when combined with Stiripentol.]
[C03AA07, cyclopenthiazide, Cyclopenthiazide may increase the excretion rate of Stiripentol which could result in a lower serum level and potentially a reduction in efficacy.]
[J01FA03, midecamycin, The metabolism of Midecamycin can be decreased when combined with Stiripentol.]
[J05AF07, tenofovir disoproxil, The excretion of Tenofovir disoproxil can be decreased when combined with Stiripentol.]
[L01AA01, cyclophosphamide, The metabolism of Cyclophosphamide can be decreased when combined with Stiripentol.]
[N06AX07, minaprine, The risk or severity of adverse effects can be increased when Minaprine is combined with Stiripentol.]
[S01XA18, cyclosporine, The metabolism of Cyclosporine can be decreased when combined with Stiripentol.]
[N06AG02, moclobemide, The metabolism of Moclobemide can be decreased when combined with Stiripentol.]
[N06BA07, modafinil, The metabolism of Modafinil can be decreased when combined with Stiripentol.]
[R06AX02, cyproheptadine, Stiripentol may increase the central nervous system depressant (CNS depressant) activities of Cyproheptadine.]
[C10AA07, rosuvastatin, The metabolism of Rosuvastatin can be decreased when combined with Stiripentol.]
[M02AA02, mofebutazone, Mofebutazone may decrease the excretion rate of Stiripentol which could result in a higher serum level.]
[M01AX22, morniflumate, Morniflumate may decrease the excretion rate of Stiripentol which could result in a higher serum level.]
[C03XA02, conivaptan, The metabolism of Conivaptan can be decreased when combined with Stiripentol.]
[J05AF10, entecavir, The metabolism of Entecavir can be increased when combined with Stiripentol.]
[G04BE09, vardenafil, The metabolism of Vardenafil can be decreased when combined with Stiripentol.]
[M01AH05, etoricoxib, The metabolism of Etoricoxib can be decreased when combined with Stiripentol.]
[L01AX04, dacarbazine, The metabolism of Dacarbazine can be decreased when combined with Stiripentol.]
[L01DA01, dactinomycin, The excretion of Dactinomycin can be decreased when combined with Stiripentol.]
[G03XA01, danazol, The metabolism of Stiripentol can be decreased when combined with Danazol.]
[M03CA01, dantrolene, The risk or severity of adverse effects can be increased when Dantrolene is combined with Stiripentol.]
[J04BA02, dapsone, The metabolism of Dapsone can be decreased when combined with Stiripentol.]
[L01DB02, daunorubicin, The excretion of Daunorubicin can be decreased when combined with Stiripentol.]
[N06BX04, deanol, The risk or severity of adverse effects can be increased when Stiripentol is combined with Deanol.]
[C02CC04, debrisoquin, The metabolism of Debrisoquine can be decreased when combined with Stiripentol.]
[G03XX01, prasterone, The metabolism of Prasterone can be decreased when combined with Stiripentol.]
[A04AD11, nabilone, The metabolism of Nabilone can be decreased when combined with Stiripentol.]
[M01AX01, nabumetone, The metabolism of Nabumetone can be increased when combined with Stiripentol.]
[N07BB05, nalmefene, Nalmefene may decrease the excretion rate of Stiripentol which could result in a higher serum level.]
[N05BA16, nordazepam, The risk or severity of adverse effects can be increased when Stiripentol is combined with Nordazepam.]
[C07AB12, nebivolol, The metabolism of Nebivolol can be decreased when combined with Stiripentol.]
[S01GX04, nedocromil, Nedocromil may decrease the excretion rate of Stiripentol which could result in a higher serum level.]
[N06AX06, nefazodone, The metabolism of Nefazodone can be decreased when combined with Stiripentol.]
[N05CM16, niaprazine, The risk or severity of adverse effects can be increased when Stiripentol is combined with Niaprazine.]
[C01DX16, nicorandil, Stiripentol may decrease the excretion rate of Nicorandil which could result in a higher serum level.]
[L02BB02, nilutamide, The metabolism of Nilutamide can be decreased when combined with Stiripentol.]
[N03AG06, tiagabine, The metabolism of Tiagabine can be decreased when combined with Stiripentol.]
[G03DB04, nomegestrol, The metabolism of Nomegestrol can be decreased when combined with Stiripentol.]
[C01CA23, theodrenaline, Stiripentol may increase the excretion rate of Theodrenaline which could result in a lower serum level and potentially a reduction in efficacy.]
[M03AC11, cisatracurium, The risk or severity of adverse effects can be increased when Cisatracurium is combined with Stiripentol.]
[R05DA06, normethadone, The risk or severity of adverse effects can be increased when Stiripentol is combined with Normethadone.]
[B01AX05, fondaparinux, Fondaparinux may decrease the excretion rate of Stiripentol which could result in a higher serum level.]
[D11AH02, pimecrolimus, The metabolism of Pimecrolimus can be decreased when combined with Stiripentol.]
[N06AB10, escitalopram, The metabolism of Escitalopram can be decreased when combined with Stiripentol.]
[G04BD08, solifenacin, The metabolism of Solifenacin can be decreased when combined with Stiripentol.]
[A07EC03, olsalazine, Olsalazine may decrease the excretion rate of Stiripentol which could result in a higher serum level.]
[N06AA01, desipramine, The metabolism of Desipramine can be decreased when combined with Stiripentol.]
[H01BA02, desmopressin, Desmopressin may decrease the excretion rate of Stiripentol which could result in a higher serum level.]
[S01BA11, desonide, The metabolism of Desonide can be decreased when combined with Stiripentol.]
[V04CH02, indigo carmine, Stiripentol may decrease the excretion rate of Indigotindisulfonic acid which could result in a higher serum level.]
[J01DH03, ertapenem, Ertapenem may decrease the excretion rate of Stiripentol which could result in a higher serum level.]
[C09XA02, aliskiren, The metabolism of Aliskiren can be decreased when combined with Stiripentol.]
[L01XA03, oxaliplatin, The excretion of Oxaliplatin can be decreased when combined with Stiripentol.]
[M01AE12, oxaprozin, Oxaprozin may decrease the excretion rate of Stiripentol which could result in a higher serum level.]
[N03AF02, oxcarbazepine, The risk or severity of adverse effects can be increased when Oxcarbazepine is combined with Stiripentol.]
[S03BA01, dexamethasone, The metabolism of Dexamethasone can be decreased when combined with Stiripentol.]
[N06BX07, oxiracetam, The risk or severity of adverse effects can be increased when Stiripentol is combined with Oxiracetam.]
[N04AA08, dexetimide, Stiripentol may increase the central nervous system depressant (CNS depressant) activities of Dexetimide.]
[G04BD04, oxybutynin, The metabolism of Oxybutynin can be decreased when combined with Stiripentol.]
[A08AA04, dexfenfluramine, The metabolism of Dexfenfluramine can be decreased when combined with Stiripentol.]
[A03AA01, oxyphencyclimine, Stiripentol may increase the central nervous system depressant (CNS depressant) activities of Oxyphencyclimine.]
[L04AB04, adalimumab, The metabolism of Stiripentol can be increased when combined with Adalimumab.]
[L01EB01, gefitinib, The metabolism of Gefitinib can be decreased when combined with Stiripentol.]
[N06BA02, dextroamphetamine, The metabolism of Amphetamine can be decreased when combined with Stiripentol.]
[R05DA09, dextromethorphan, The metabolism of Dextromethorphan can be decreased when combined with Stiripentol.]
[N03AC01, paramethadione, The metabolism of Paramethadione can be decreased when combined with Stiripentol.]
[N02AC01, dextromoramide, The risk or severity of adverse effects can be increased when Dextromoramide is combined with Stiripentol.]
[N06AB05, paroxetine, The metabolism of Paroxetine can be decreased when combined with Stiripentol.]
[B01AC04, clopidogrel, The metabolism of Clopidogrel can be decreased when combined with Stiripentol.]
[N07BC06, heroin, The risk or severity of adverse effects can be increased when Diamorphine is combined with Stiripentol.]
[C01DA05, pentaerythritol tetranitrate, Pentaerythritol tetranitrate may decrease the excretion rate of Stiripentol which could result in a higher serum level.]
[C04AD01, pentifylline, Stiripentol may increase the excretion rate of Pentifylline which could result in a lower serum level and potentially a reduction in efficacy.]
[P03AC04, permethrin, Permethrin may decrease the excretion rate of Stiripentol which could result in a higher serum level.]
[N05BA01, diazepam, The metabolism of Diazepam can be decreased when combined with Stiripentol.]
[N03AX07, phenacemide, The risk or severity of adverse effects can be increased when Phenacemide is combined with Stiripentol.]
[R02AA19, phenol, The risk or severity of methemoglobinemia can be increased when Stiripentol is combined with Phenol.]
[N03AD02, phensuximide, The risk or severity of adverse effects can be increased when Phensuximide is combined with Stiripentol.]
[N06AA08, dibenzepin, The risk or severity of adverse effects can be increased when Stiripentol is combined with Dibenzepin.]
[S02DA04, dibucaine, The risk or severity of methemoglobinemia can be increased when Stiripentol is combined with Cinchocaine.]
[R05DA08, pholcodine, Stiripentol may decrease the excretion rate of Pholcodine which could result in a higher serum level.]
[S01EC02, dichlorphenamide, Diclofenamide may increase the excretion rate of Stiripentol which could result in a lower serum level and potentially a reduction in efficacy.]
[S01BC03, diclofenac, The metabolism of Diclofenac can be decreased when combined with Stiripentol.]
[J05AD01, foscarnet, Foscarnet may decrease the excretion rate of Stiripentol which could result in a higher serum level.]
[A03AA07, dicyclomine, Stiripentol may increase the central nervous system depressant (CNS depressant) activities of Dicyclomine.]
[J05AF02, didanosine, Didanosine may decrease the excretion rate of Stiripentol which could result in a higher serum level.]
[C02DG01, pinacidil, The metabolism of Pinacidil can be decreased when combined with Stiripentol.]
[A03AX04, pinaverium, The metabolism of Pinaverium can be decreased when combined with Stiripentol.]
[A10BG03, pioglitazone, The metabolism of Pioglitazone can be decreased when combined with Stiripentol.]
[N05AD05, pipamperone, The risk or severity of adverse effects can be increased when Stiripentol is combined with Pipamperone.]
[A03AB14, pipenzolate, Stiripentol may increase the central nervous system depressant (CNS depressant) activities of Pipenzolate.]
[L01DC04, ixabepilone, The metabolism of Ixabepilone can be decreased when combined with Stiripentol.]
[L01EB02, erlotinib, The metabolism of Erlotinib can be decreased when combined with Stiripentol.]
[C03CA03, piretanide, Piretanide may increase the excretion rate of Stiripentol which could result in a lower serum level and potentially a reduction in efficacy.]
[A08AA03, diethylpropion, The risk or severity of adverse effects can be increased when Diethylpropion is combined with Stiripentol.]
[L02AA01, diethylstilbestrol, The metabolism of Diethylstilbestrol can be decreased when combined with Stiripentol.]
[C08CA03, isradipine, The metabolism of Isradipine can be decreased when combined with Stiripentol.]
[D07XC04, diflucortolone, The metabolism of Difluocortolone can be decreased when combined with Stiripentol.]
[A03AB11, poldine, Stiripentol may increase the central nervous system depressant (CNS depressant) activities of Poldine.]
[N02BA11, diflunisal, Diflunisal may decrease the excretion rate of Stiripentol which could result in a higher serum level.]
[C01AA04, digitoxin, The metabolism of Digitoxin can be decreased when combined with Stiripentol.]
[C01AA05, digoxin, The excretion of Digoxin can be decreased when combined with Stiripentol.]
[C02DB01, dihydralazine, The metabolism of Dihydralazine can be increased when combined with Stiripentol.]
[C10AX09, ezetimibe, The excretion of Ezetimibe can be decreased when combined with Stiripentol.]
[C04AE04, dihydroergocristine, The metabolism of Dihydroergocristine can be decreased when combined with Stiripentol.]
[N02CA01, dihydroergotamine, The metabolism of Dihydroergotamine can be decreased when combined with Stiripentol.]
[N02AA03, hydromorphone, The risk or severity of adverse effects can be increased when Hydromorphone is combined with Stiripentol.]
[L04AX04, lenalidomide, Lenalidomide may decrease the excretion rate of Stiripentol which could result in a higher serum level.]
[J05AE08, atazanavir, The metabolism of Atazanavir can be decreased when combined with Stiripentol.]
[B01AC21, treprostinil, The metabolism of Treprostinil can be decreased when combined with Stiripentol.]
[H03BC01, potassium perchlorate, Stiripentol may decrease the excretion rate of Potassium perchlorate which could result in a higher serum level.]
[V03AB04, pralidoxime, Pralidoxime may decrease the excretion rate of Stiripentol which could result in a higher serum level.]
[D04AB07, pramoxine, The risk or severity of methemoglobinemia can be increased when Stiripentol is combined with Pramocaine.]
[D07AC18, prednicarbate, The metabolism of Prednicarbate can be decreased when combined with Stiripentol.]
[C08DB01, diltiazem, The metabolism of Diltiazem can be decreased when combined with Stiripentol.]
[R06AA11, dimenhydrinate, The risk or severity of adverse effects can be increased when Dimenhydrinate is combined with Stiripentol.]
[V03AB09, dimercaprol, Dimercaprol may decrease the excretion rate of Stiripentol which could result in a higher serum level.]
[M03BX03, pridinol, The risk or severity of adverse effects can be increased when Stiripentol is combined with Pridinol.]
[R06AB03, dimethindene, Stiripentol may increase the central nervous system depressant (CNS depressant) activities of Dimetindene.]
[M02AX03, dimethyl sulfoxide, The metabolism of Dimethyl sulfoxide can be decreased when combined with Stiripentol.]
[N03AG05, progabide, The risk or severity of adverse effects can be increased when Progabide is combined with Stiripentol.]
[N06BC02, propentofylline, Stiripentol may increase the excretion rate of Propentofylline which could result in a lower serum level and potentially a reduction in efficacy.]
[N02BB04, propyphenazone, Propyphenazone may decrease the excretion rate of Stiripentol which could result in a higher serum level.]
[M01AB14, proglumetacin, Proglumetacin may decrease the excretion rate of Stiripentol which could result in a higher serum level.]
[S01HA04, proparacaine, The risk or severity of methemoglobinemia can be increased when Stiripentol is combined with Proparacaine.]
[R03DA03, proxyphylline, Stiripentol may increase the excretion rate of Proxyphylline which could result in a lower serum level and potentially a reduction in efficacy.]
[R06AA02, diphenhydramine, The metabolism of Diphenhydramine can be decreased when combined with Stiripentol.]
[A07DA01, diphenoxylate, The risk or severity of adverse effects can be increased when Diphenoxylate is combined with Stiripentol.]
[N05CD10, quazepam, The metabolism of Quazepam can be decreased when combined with Stiripentol.]
[N06BA11, dexmethylphenidate, The risk or severity of adverse effects can be increased when Dexmethylphenidate is combined with Stiripentol.]
[N06AA23, quinupramine, The risk or severity of adverse effects can be increased when Stiripentol is combined with Quinupramine.]
[A03FA02, cisapride, The metabolism of Cisapride can be decreased when combined with Stiripentol.]
[S01XA23, sirolimus, The metabolism of Sirolimus can be decreased when combined with Stiripentol.]
[N05AL04, remoxipride, The risk or severity of adverse effects can be increased when Remoxipride is combined with Stiripentol.]
[S01AX06, resorcinol, Stiripentol may decrease the excretion rate of Resorcinol which could result in a higher serum level.]
[C01BA03, disopyramide, The metabolism of Disopyramide can be decreased when combined with Stiripentol.]
[P03AA04, disulfiram, The metabolism of Disulfiram can be decreased when combined with Stiripentol.]
[S02AA12, rifamycin SV, The metabolism of Stiripentol can be increased when combined with Rifamycin.]
[J04AB05, rifapentine, The metabolism of Rifapentine can be decreased when combined with Stiripentol.]
[D06AX11, rifaximin, The serum concentration of Rifaximin can be increased when it is combined with Stiripentol.]
[N07XX02, riluzole, The excretion of Riluzole can be decreased when combined with Stiripentol.]
[N05AX08, risperidone, The metabolism of Risperidone can be decreased when combined with Stiripentol.]
[R06AE09, levocetirizine, The metabolism of Levocetirizine can be decreased when combined with Stiripentol.]
[N01BB09, ropivacaine, The risk or severity of methemoglobinemia can be increased when Stiripentol is combined with Ropivacaine.]
[J01MB01, rosoxacin, The metabolism of Stiripentol can be decreased when combined with Rosoxacin.]
[L01EX01, sunitinib, The metabolism of Sunitinib can be decreased when combined with Stiripentol.]
[A04AD12, aprepitant, The metabolism of Aprepitant can be decreased when combined with Stiripentol.]
[C03XA01, tolvaptan, The metabolism of Tolvaptan can be decreased when combined with Stiripentol.]
[L01XG01, bortezomib, The metabolism of Bortezomib can be decreased when combined with Stiripentol.]
[J05AE07, fosamprenavir, The metabolism of Fosamprenavir can be decreased when combined with Stiripentol.]
[G04BE08, tadalafil, The serum concentration of Tadalafil can be increased when it is combined with Stiripentol.]
[S01BC05, ketorolac, The metabolism of Ketorolac can be decreased when combined with Stiripentol.]
[C02KX02, ambrisentan, The metabolism of Ambrisentan can be decreased when combined with Stiripentol.]
[C01EB18, ranolazine, The metabolism of Ranolazine can be decreased when combined with Stiripentol.]
[N02BA06, salsalate, Salsalate may decrease the excretion rate of Stiripentol which could result in a higher serum level.]
[R03AC12, salmeterol, The metabolism of Salmeterol can be decreased when combined with Stiripentol.]
[H05BA01, salmon calcitonin, Salmon calcitonin may decrease the excretion rate of Stiripentol which could result in a higher serum level.]
[C01CA07, dobutamine, Dobutamine may decrease the excretion rate of Stiripentol which could result in a higher serum level.]
[A03FA03, domperidone, The metabolism of Domperidone can be decreased when combined with Stiripentol.]
[C01CA04, dopamine, Dopamine may decrease the excretion rate of Stiripentol which could result in a higher serum level.]
[N06AA16, dothiepin, The metabolism of Dosulepin can be decreased when combined with Stiripentol.]
[N06AA12, doxepin, The metabolism of Doxepin can be decreased when combined with Stiripentol.]
[L01DB01, doxorubicin, The metabolism of Doxorubicin can be decreased when combined with Stiripentol.]
[J01AA02, doxycycline, Doxycycline may decrease the excretion rate of Stiripentol which could result in a higher serum level.]
[R06AA09, doxylamine, Doxylamine may increase the central nervous system depressant (CNS depressant) activities of Stiripentol.]
[N06AB06, sertraline, The metabolism of Sertraline can be decreased when combined with Stiripentol.]
[N01AB08, sevoflurane, The metabolism of Sevoflurane can be decreased when combined with Stiripentol.]
[N05AD08, droperidol, Droperidol may increase the central nervous system depressant (CNS depressant) activities of Stiripentol.]
[A08AA10, sibutramine, The metabolism of Sibutramine can be decreased when combined with Stiripentol.]
[C10AA01, simvastatin, The risk or severity of myopathy and rhabdomyolysis can be increased when Stiripentol is combined with Simvastatin.]
[V03AG05, sodium phosphate, The therapeutic efficacy of Stiripentol can be decreased when used in combination with Sodium phosphate, monobasic.]
[A12CA02, sodium sulfate, Stiripentol may decrease the excretion rate of Sodium sulfate which could result in a higher serum level.]
[G03DB01, dydrogesterone, The metabolism of Dydrogesterone can be decreased when combined with Stiripentol.]
[R03DA01, dyphylline, Stiripentol may increase the excretion rate of Dyphylline which could result in a lower serum level and potentially a reduction in efficacy.]
[D01AC09, sulconazole, The metabolism of Sulconazole can be decreased when combined with Stiripentol.]
[N05AL02, sultopride, The risk or severity of adverse effects can be increased when Stiripentol is combined with Sultopride.]
[N02CC01, sumatriptan, The excretion of Sumatriptan can be decreased when combined with Stiripentol.]
[V04CX07, edrophonium, Edrophonium may decrease the excretion rate of Stiripentol which could result in a higher serum level.]
[C07AB13, talinolol, The excretion of Talinolol can be decreased when combined with Stiripentol.]
[H01AA01, corticotropin, The metabolism of Corticotropin can be decreased when combined with Stiripentol.]
[J01MA05, temafloxacin, The metabolism of Temafloxacin can be increased when combined with Stiripentol.]
[L01AX03, temozolomide, Temozolomide may decrease the excretion rate of Stiripentol which could result in a higher serum level.]
[M01AC02, tenoxicam, The metabolism of Tenoxicam can be decreased when combined with Stiripentol.]
[D01BA02, terbinafine, The metabolism of Terbinafine can be decreased when combined with Stiripentol.]
