[S02DA03, antipyrine, The protein binding of Valproic acid can be decreased when combined with Antipyrine.]
[L04AA29, tofacitinib, The metabolism of Tofacitinib can be decreased when combined with Valproic acid.]
[N02CC03, zolmitriptan, The metabolism of Zolmitriptan can be decreased when combined with Valproic acid.]
[R06AC06, thonzylamine, Valproic acid may increase the central nervous system depressant (CNS depressant) activities of Thonzylamine.]
[G04BD10, darifenacin, Valproic acid may increase the central nervous system depressant (CNS depressant) activities of Darifenacin.]
[N01AA01, ethyl ether, The risk or severity of adverse effects can be increased when Valproic acid is combined with Diethyl ether.]
[L01EX07, cabozantinib, The metabolism of Cabozantinib can be decreased when combined with Valproic acid.]
[H01CB05, pasireotide, The risk or severity of QTc prolongation can be increased when Pasireotide is combined with Valproic acid.]
[G04BE03, sildenafil, The metabolism of Sildenafil can be decreased when combined with Valproic acid.]
[L01EA05, ponatinib, The metabolism of Ponatinib can be decreased when combined with Valproic acid.]
[B01AF02, apixaban, The metabolism of Apixaban can be decreased when combined with Valproic acid.]
[C10AX12, lomitapide, The metabolism of Lomitapide can be decreased when combined with Valproic acid.]
[J04AK05, bedaquiline, The risk or severity of QTc prolongation can be increased when Bedaquiline is combined with Valproic acid.]
[C04AX11, bencyclane, The risk or severity of QTc prolongation can be increased when Bencyclane is combined with Valproic acid.]
[A16AX09, glycerol phenylbutyrate, The therapeutic efficacy of Glycerol phenylbutyrate can be decreased when used in combination with Valproic acid.]
[L04AX06, pomalidomide, The metabolism of Pomalidomide can be decreased when combined with Valproic acid.]
[G03XC05, ospemifene, The metabolism of Ospemifene can be decreased when combined with Valproic acid.]
[N02BA10, benorilate, The protein binding of Valproic acid can be decreased when combined with Benorilate.]
[N05AD07, benperidol, The risk or severity of adverse effects can be increased when Valproic acid is combined with Benperidol.]
[J01MA15, gemifloxacin, The risk or severity of QTc prolongation can be increased when Gemifloxacin is combined with Valproic acid.]
[M04AB03, benzbromarone, The metabolism of Valproic acid can be decreased when combined with Benzbromarone.]
[S01AE07, moxifloxacin, The risk or severity of QTc prolongation can be increased when Moxifloxacin is combined with Valproic acid.]
[A06AX06, tegaserod, The risk or severity of serotonin syndrome can be increased when Valproic acid is combined with Tegaserod.]
[R02AD01, benzocaine, The risk or severity of methemoglobinemia can be increased when Valproic acid is combined with Benzocaine.]
[M01AH01, celecoxib, The protein binding of Valproic acid can be decreased when combined with Celecoxib.]
[N02CC02, naratriptan, The risk or severity of adverse effects can be increased when Valproic acid is combined with Naratriptan.]
[L04AA18, everolimus, The metabolism of Everolimus can be decreased when combined with Valproic acid.]
[N04AC01, benztropine, Valproic acid may increase the central nervous system depressant (CNS depressant) activities of Benzatropine.]
[L01EC02, dabrafenib, The serum concentration of Valproic acid can be decreased when it is combined with Dabrafenib.]
[R02AX03, benzydamine, The protein binding of Valproic acid can be decreased when combined with Benzydamine.]
[P03AX06, benzyl alcohol, The risk or severity of methemoglobinemia can be increased when Valproic acid is combined with Benzyl alcohol.]
[N06AX28, levomilnacipran, The risk or severity of adverse effects can be increased when Valproic acid is combined with Levomilnacipran.]
[J05AJ03, dolutegravir, The excretion of Valproic acid can be decreased when combined with Dolutegravir.]
[C08EA02, bepridil, The risk or severity of QTc prolongation can be increased when Valproic acid is combined with Bepridil.]
[A05AA03, cholic acid, The excretion of Valproic acid can be decreased when combined with Cholic Acid.]
[G03XC02, bazedoxifene, The metabolism of Bazedoxifene can be decreased when combined with Valproic acid.]
[L01EL01, ibrutinib, The metabolism of Ibrutinib can be decreased when combined with Valproic acid.]
[N06AX26, vortioxetine, The risk or severity of adverse effects can be increased when Valproic acid is combined with Vortioxetine.]
[G03AC08, etonogestrel, The metabolism of Etonogestrel can be increased when combined with Valproic acid.]
[N03AF04, eslicarbazepine, The risk or severity of adverse effects can be increased when Valproic acid is combined with Eslicarbazepine.]
[D01AC18, luliconazole, The serum concentration of Valproic acid can be increased when it is combined with Luliconazole.]
[N03AG04, vigabatrin, The risk or severity of adverse effects can be increased when Valproic acid is combined with Vigabatrin.]
[A10BK01, dapagliflozin, The metabolism of Dapagliflozin can be decreased when combined with Valproic acid.]
[N05CH03, tasimelteon, The risk or severity of adverse effects can be increased when Valproic acid is combined with Tasimelteon.]
[A16AA07, metreleptin, The metabolism of Valproic acid can be increased when combined with Metreleptin.]
[L04AA32, apremilast, The metabolism of Valproic acid can be increased when combined with Apremilast.]
[S03BA03, betamethasone, The metabolism of Valproic acid can be increased when combined with Betamethasone.]
[S01ED02, betaxolol, The metabolism of Betaxolol can be decreased when combined with Valproic acid.]
[V03AB34, fomepizole, The metabolism of Valproic acid can be decreased when combined with Fomepizole.]
[L04AC11, siltuximab, The metabolism of Valproic acid can be increased when combined with Siltuximab.]
[L01ED02, ceritinib, The metabolism of Ceritinib can be decreased when combined with Valproic acid.]
[B01AC26, vorapaxar, The metabolism of Vorapaxar can be decreased when combined with Valproic acid.]
[A03BA03, hyoscyamine, Valproic acid may increase the central nervous system depressant (CNS depressant) activities of Hyoscyamine.]
[B01AA07, acenocoumarol, The serum concentration of Acenocoumarol can be increased when it is combined with Valproic acid.]
[L01XH04, belinostat, The metabolism of Belinostat can be decreased when combined with Valproic acid.]
[L01EM01, idelalisib, The metabolism of Idelalisib can be decreased when combined with Valproic acid.]
[N01AX05, alfaxalone, The risk or severity of adverse effects can be increased when Valproic acid is combined with Alfaxalone.]
[N07XX08, tafamidis, The excretion of Valproic acid can be decreased when combined with Tafamidis.]
[R03AC19, olodaterol, The risk or severity of QTc prolongation can be increased when Olodaterol is combined with Valproic acid.]
[D11AA01, glycopyrronium, Valproic acid may increase the central nervous system depressant (CNS depressant) activities of Glycopyrronium.]
[N05CM19, suvorexant, Valproic acid may increase the central nervous system depressant (CNS depressant) activities of Suvorexant.]
[A16AX10, eliglustat, The metabolism of Eliglustat can be decreased when combined with Valproic acid.]
[J01XA05, oritavancin, The metabolism of Valproic acid can be decreased when combined with Oritavancin.]
[N05AA04, acepromazine, The risk or severity of adverse effects can be increased when Valproic acid is combined with Acepromazine.]
[N04AA02, biperiden, Valproic acid may increase the central nervous system depressant (CNS depressant) activities of Biperiden.]
[L04AX05, pirfenidone, The metabolism of Pirfenidone can be decreased when combined with Valproic acid.]
[L01EX09, nintedanib, The metabolism of Nintedanib can be decreased when combined with Valproic acid.]
[J05AP09, dasabuvir, The metabolism of Valproic acid can be decreased when combined with Dasabuvir.]
[L01XK01, olaparib, The metabolism of Olaparib can be decreased when combined with Valproic acid.]
[B01AA01, dicumarol, The metabolism of Dicoumarol can be decreased when combined with Valproic acid.]
[N06AX11, mirtazapine, Valproic acid may increase the serotonergic activities of Mirtazapine.]
[L04AC10, secukinumab, The metabolism of Valproic acid can be increased when combined with Secukinumab.]
[L01EF01, palbociclib, The metabolism of Palbociclib can be decreased when combined with Valproic acid.]
[L01EX08, lenvatinib, The risk or severity of QTc prolongation can be increased when Lenvatinib is combined with Valproic acid.]
[L01XH03, panobinostat, The metabolism of Panobinostat can be decreased when combined with Valproic acid.]
[N02BE01, acetaminophen, The risk or severity of methemoglobinemia can be increased when Valproic acid is combined with Acetaminophen.]
[L01DC01, bleomycin, The serum concentration of Valproic acid can be decreased when it is combined with Bleomycin.]
[A03AA09, difemerine, Valproic acid may increase the central nervous system depressant (CNS depressant) activities of Difemerine.]
[C01EB17, ivabradine, The risk or severity of QTc prolongation can be increased when Valproic acid is combined with Ivabradine.]
[J05AF08, adefovir dipivoxil, The excretion of Adefovir dipivoxil can be decreased when combined with Valproic acid.]
[J05AP06, asunaprevir, The metabolism of Asunaprevir can be decreased when combined with Valproic acid.]
[A07DA06, eluxadoline, The excretion of Eluxadoline can be decreased when combined with Valproic acid.]
[N05AX16, brexpiprazole, The risk or severity of adverse effects can be increased when Valproic acid is combined with Brexpiprazole.]
[L01XJ02, sonidegib, The metabolism of Sonidegib can be decreased when combined with Valproic acid.]
[G02CX02, flibanserin, The risk or severity of adverse effects can be increased when Valproic acid is combined with Flibanserin.]
[N05AX15, cariprazine, The risk or severity of adverse effects can be increased when Valproic acid is combined with Cariprazine.]
[M02AA25, aceclofenac, The protein binding of Valproic acid can be decreased when combined with Aceclofenac.]
[M01AB11, acemetacin, The protein binding of Valproic acid can be decreased when combined with Acemetacin.]
[S01EC01, acetazolamide, The risk or severity of adverse effects can be increased when Valproic acid is combined with Acetazolamide.]
[N05AB07, acetophenazine, The risk or severity of adverse effects can be increased when Valproic acid is combined with Acetophenazine.]
[D05BB02, acitretin, Valproic acid may increase the Pseudotumor Cerebri activities of Acitretin.]
[A02BC03, lansoprazole, The metabolism of Valproic acid can be decreased when combined with Lansoprazole.]
[L01CX01, trabectedin, The metabolism of Trabectedin can be decreased when combined with Valproic acid.]
[J02AC05, isavuconazole, The metabolism of Valproic acid can be decreased when combined with Isavuconazole.]
[L01EB04, osimertinib, The metabolism of Osimertinib can be decreased when combined with Valproic acid.]
[J05AF13, tenofovir alafenamide, The serum concentration of Tenofovir alafenamide can be decreased when it is combined with Valproic acid.]
[L01EE02, cobimetinib, The metabolism of Cobimetinib can be decreased when combined with Valproic acid.]
[L01XG03, ixazomib, The metabolism of Ixazomib can be decreased when combined with Valproic acid.]
[L01ED03, alectinib, The metabolism of Alectinib can be decreased when combined with Valproic acid.]
[A10BB31, acetohexamide, The metabolism of Acetohexamide can be decreased when combined with Valproic acid.]
[G04CA01, alfuzosin, The metabolism of Alfuzosin can be decreased when combined with Valproic acid.]
[M04AB05, lesinurad, The metabolism of Lesinurad can be decreased when combined with Valproic acid.]
[N05CA05, aprobarbital, The risk or severity of adverse effects can be increased when Valproic acid is combined with Aprobarbital.]
[M01AE16, alminoprofen, The protein binding of Valproic acid can be decreased when combined with Alminoprofen.]
[N02BA02, aloxiprin, The serum concentration of Valproic acid can be increased when it is combined with Aloxiprin.]
[N03AX23, brivaracetam, The risk or severity of adverse effects can be increased when Valproic acid is combined with Brivaracetam.]
[L01XX52, venetoclax, The metabolism of Venetoclax can be decreased when combined with Valproic acid.]
[N05BA08, bromazepam, The risk or severity of adverse effects can be increased when Valproic acid is combined with Bromazepam.]
[N04BC01, bromocriptine, The risk or severity of adverse effects can be increased when Valproic acid is combined with Bromocriptine.]
[A03AX08, alverine, The risk or severity of adverse effects can be increased when Valproic acid is combined with Alverine.]
[R06AB01, brompheniramine, The risk or severity of QTc prolongation can be increased when Dexbrompheniramine is combined with Valproic acid.]
[N06AA19, amineptin, The risk or severity of adverse effects can be increased when Valproic acid is combined with Amineptine.]
[N05AX17, pimavanserin, The metabolism of Pimavanserin can be decreased when combined with Valproic acid.]
[N06BX11, aniracetam, The risk or severity of adverse effects can be increased when Valproic acid is combined with Aniracetam.]
[M02AA09, bufexamac, The protein binding of Valproic acid can be decreased when combined with Bufexamac.]
[C03CA02, bumetanide, The excretion of Valproic acid can be decreased when combined with Bumetanide.]
[N01BB01, bupivacaine, The risk or severity of methemoglobinemia can be increased when Valproic acid is combined with Bupivacaine.]
[C07AA19, bupranolol, The risk or severity of QTc prolongation can be increased when Bupranolol is combined with Valproic acid.]
[N07BC01, buprenorphine, Valproic acid may increase the central nervous system depressant (CNS depressant) activities of Buprenorphine.]
[L02AE01, buserelin, The risk or severity of QTc prolongation can be increased when Buserelin is combined with Valproic acid.]
[N05BE01, buspirone, The risk or severity of adverse effects can be increased when Valproic acid is combined with Buspirone.]
[L01AB01, busulfan, The metabolism of Busulfan can be decreased when combined with Valproic acid.]
[L01XX27, arsenic trioxide, The risk or severity of QTc prolongation can be increased when Valproic acid is combined with Arsenic trioxide.]
[P01BE02, artemether, The risk or severity of QTc prolongation can be increased when Valproic acid is combined with Artemether.]
[M02AA03, clofezone, The metabolism of Rabeprazole can be decreased when combined with Valproic acid.]
[N02AF01, butorphanol, The risk or severity of adverse effects can be increased when Valproic acid is combined with Butorphanol.]
[J01MA09, sparfloxacin, The risk or severity of QTc prolongation can be increased when Valproic acid is combined with Sparfloxacin.]
[R06AX09, azatadine, The risk or severity of QTc prolongation can be increased when Azatadine is combined with Valproic acid.]
[S01GX07, azelastine, Valproic acid may increase the central nervous system depressant (CNS depressant) activities of Azelastine.]
[L01XK03, rucaparib, The metabolism of Valproic acid can be decreased when combined with Rucaparib.]
[S01AA26, azithromycin, The risk or severity of QTc prolongation can be increased when Azithromycin is combined with Valproic acid.]
[L01EF02, ribociclib, The metabolism of Ribociclib can be decreased when combined with Valproic acid.]
[A07EC04, balsalazide, The serum concentration of Valproic acid can be increased when it is combined with Balsalazide.]
[R03DA08, bamifylline, Valproic acid may increase the excretion rate of Bamifylline which could result in a lower serum level and potentially a reduction in efficacy.]
[N07XX16, deutetrabenazine, The risk or severity of QTc prolongation can be increased when Valproic acid is combined with Deutetrabenazine.]
[N03AX30, beclamide, The risk or severity of adverse effects can be increased when Valproic acid is combined with Beclamide.]
[N06BC01, caffeine, Valproic acid may increase the excretion rate of Caffeine which could result in a lower serum level and potentially a reduction in efficacy.]
[S01HA02, benoxinate, The risk or severity of methemoglobinemia can be increased when Valproic acid is combined with Oxybuprocaine.]
[J01XX08, linezolid, The risk or severity of serotonin syndrome can be increased when Linezolid is combined with Valproic acid.]
[J05AF06, abacavir, The metabolism of Abacavir can be decreased when combined with Valproic acid.]
[J05AE09, tipranavir, The metabolism of Valproic acid can be increased when combined with Tipranavir.]
[L04AB02, infliximab, The metabolism of Valproic acid can be increased when combined with Infliximab.]
[L01EX10, midostaurin, The metabolism of Midostaurin can be decreased when combined with Valproic acid.]
[L01ED04, brigatinib, The metabolism of Brigatinib can be decreased when combined with Valproic acid.]
[N04BD03, safinamide, The risk or severity of adverse effects can be increased when Valproic acid is combined with Safinamide.]
[J01MA23, delafloxacin, The risk or severity of QTc prolongation can be increased when Delafloxacin is combined with Valproic acid.]
[L01BC06, capecitabine, The metabolism of Capecitabine can be decreased when combined with Valproic acid.]
[L01XX59, enasidenib, The metabolism of Enasidenib can be decreased when combined with Valproic acid.]
[L01EH02, neratinib, The metabolism of Neratinib can be decreased when combined with Valproic acid.]
[L01XH01, vorinostat, The risk or severity of gastrointestinal bleeding and thrombocytopenia can be increased when Valproic acid is combined with Vorinostat.]
[L01EM02, copanlisib, The metabolism of Copanlisib can be decreased when combined with Valproic acid.]
[L01EF03, abemaciclib, The metabolism of Abemaciclib can be decreased when combined with Valproic acid.]
[J05AG03, efavirenz, The metabolism of Valproic acid can be increased when combined with Efavirenz.]
[N04AA11, bornaprine, Valproic acid may increase the central nervous system depressant (CNS depressant) activities of Bornaprine.]
[S01BC11, bromfenac, The protein binding of Valproic acid can be decreased when combined with Bromfenac.]
[N05AD06, bromperidol, The risk or severity of adverse effects can be increased when Valproic acid is combined with Bromperidol.]
[N05CD09, brotizolam, The risk or severity of adverse effects can be increased when Valproic acid is combined with Brotizolam.]
[M01AB07, bumadizone, The protein binding of Valproic acid can be decreased when combined with Bumadizone.]
[L01EL02, acalabrutinib, The metabolism of Acalabrutinib can be decreased when combined with Valproic acid.]
[N05CA03, butobarbital, The risk or severity of adverse effects can be increased when Valproic acid is combined with Butobarbital.]
[J05AX18, letermovir, The excretion of Valproic acid can be decreased when combined with Letermovir.]
[N06AA15, butriptyline, The risk or severity of QTc prolongation can be increased when Butriptyline is combined with Valproic acid.]
[C01AA02, acetyldigoxins, The risk or severity of QTc prolongation can be increased when Acetyldigoxin is combined with Valproic acid.]
[N01BX04, capsaicin, The risk or severity of methemoglobinemia can be increased when Valproic acid is combined with Capsaicin.]
[A10BK04, ertugliflozin, The metabolism of Valproic acid can be decreased when combined with Ertugliflozin.]
[N05CA08, butylvinal, The risk or severity of adverse effects can be increased when Valproic acid is combined with Vinylbital.]
[R06AX18, acrivastine, The risk or severity of QTc prolongation can be increased when Acrivastine is combined with Valproic acid.]
[C09AA01, captopril, The excretion of Captopril can be decreased when combined with Valproic acid.]
[V04CD06, macimorelin, The risk or severity of QTc prolongation can be increased when Valproic acid is combined with Macimorelin.]
[L02BB05, apalutamide, The serum concentration of Valproic acid can be increased when it is combined with Apalutamide.]
[N03AF01, carbamazepine, The serum concentration of carbamazepine-10,11­ epoxide (CBZ-E), an active metabolite of Carbamazepine, can be increased when used in combination with Valproic acid.]
[A03AA03, camylofine, Valproic acid may increase the central nervous system depressant (CNS depressant) activities of Camylofin.]
[R06AA08, carbinoxamine, The risk or severity of QTc prolongation can be increased when Carbinoxamine is combined with Valproic acid.]
[C07AG02, carvedilol, The metabolism of Carvedilol can be decreased when combined with Valproic acid.]
[B02BX09, fostamatinib, The metabolism of Valproic acid can be decreased when combined with Fostamatinib.]
[N03AX24, cannabidiol, The risk or severity of adverse effects can be increased when Cannabidiol is combined with Valproic acid.]
[B02BX08, avatrombopag, The excretion of Valproic acid can be decreased when combined with Avatrombopag.]
[L04AA37, baricitinib, The serum concentration of Baricitinib can be increased when it is combined with Valproic acid.]
[L01EC03, encorafenib, The risk or severity of QTc prolongation can be increased when Encorafenib is combined with Valproic acid.]
[L01EE03, binimetinib, The metabolism of Binimetinib can be decreased when combined with Valproic acid.]
[J01DD14, ceftibuten, The excretion of Valproic acid can be decreased when combined with Ceftibuten.]
[C07AB08, celiprolol, The risk or severity of QTc prolongation can be increased when Celiprolol is combined with Valproic acid.]
[H01CC03, elagolix, The metabolism of Elagolix can be decreased when combined with Valproic acid.]
[L01XX62, ivosidenib, The risk or severity of QTc prolongation can be increased when Valproic acid is combined with Ivosidenib.]
[A16AX14, migalastat, The metabolism of Migalastat can be decreased when combined with Valproic acid.]
[N03AX17, stiripentol, The metabolism of Valproic acid can be decreased when combined with Stiripentol.]
[J05AX24, tecovirimat, The metabolism of Valproic acid can be decreased when combined with Tecovirimat.]
[L01EM04, duvelisib, The metabolism of Duvelisib can be decreased when combined with Valproic acid.]
[L01EB07, dacomitinib, The metabolism of Dacomitinib can be decreased when combined with Valproic acid.]
[S01GX12, cetirizine, The risk or severity of QTc prolongation can be increased when Cetirizine is combined with Valproic acid.]
[N05CM04, carbromal, The risk or severity of adverse effects can be increased when Valproic acid is combined with Carbromal.]
[A10BB06, carbutamide, The metabolism of Carbutamide can be decreased when combined with Valproic acid.]
[N01BA04, chloroprocaine, The risk or severity of methemoglobinemia can be increased when Valproic acid is combined with Chloroprocaine.]
[R06AA06, chlorphenoxamine, Valproic acid may increase the central nervous system depressant (CNS depressant) activities of Chlorphenoxamine.]
[M01AC05, lornoxicam, The protein binding of Valproic acid can be decreased when combined with Lornoxicam.]
[R03DA02, oxtriphylline, Valproic acid may increase the excretion rate of Oxtriphylline which could result in a lower serum level and potentially a reduction in efficacy.]
[N07XX15, inotersen, The risk or severity of QTc prolongation can be increased when Inotersen is combined with Valproic acid.]
[M03BA02, carisoprodol, The risk or severity of adverse effects can be increased when Carisoprodol is combined with Valproic acid.]
[R03BB08, revefenacin, Valproic acid may increase the central nervous system depressant (CNS depressant) activities of Revefenacin.]
[L04AA39, emapalumab, The metabolism of Valproic acid can be increased when combined with Emapalumab.]
[L01AD01, carmustine, The metabolism of Carmustine can be decreased when combined with Valproic acid.]
[L01EX13, gilteritinib, The risk or severity of QTc prolongation can be increased when Gilteritinib is combined with Valproic acid.]
[L01XJ03, glasdegib, The risk or severity of QTc prolongation can be increased when Valproic acid is combined with Glasdegib.]
[N07XX05, amifampridine, The risk or severity of QTc prolongation can be increased when Amifampridine is combined with Valproic acid.]
[A06AX05, prucalopride, The metabolism of Prucalopride can be decreased when combined with Valproic acid.]
[C01BG07, cifenline, The risk or severity of QTc prolongation can be increased when Cibenzoline is combined with Valproic acid.]
[B01AC23, cilostazol, The serum concentration of Cilostazol can be increased when it is combined with Valproic acid.]
[A03FA08, cinitapride, The risk or severity of adverse effects can be increased when Valproic acid is combined with Cinitapride.]
[P02BX04, triclabendazole, The metabolism of Valproic acid can be decreased when combined with Triclabendazole.]
[N06AX27, esketamine, The risk or severity of adverse effects can be increased when Valproic acid is combined with Esketamine.]
[L04AA42, siponimod, The risk or severity of adverse effects can be increased when Valproic acid is combined with Siponimod.]
[J01FA09, clarithromycin, The risk or severity of QTc prolongation can be increased when Clarithromycin is combined with Valproic acid.]
[N06BA14, solriamfetol, The risk or severity of adverse effects can be increased when Valproic acid is combined with Solriamfetol.]
[N06AX29, brexanolone, The risk or severity of adverse effects can be increased when Valproic acid is combined with Brexanolone.]
[L01EN01, erdafitinib, The metabolism of Erdafitinib can be decreased when combined with Valproic acid.]
[N05BA09, clobazam, The risk or severity of adverse effects can be increased when Valproic acid is combined with Clobazam.]
[N05BA22, cloxazolam, The risk or severity of adverse effects can be increased when Valproic acid is combined with Cloxazolam.]
[C09CA06, candesartan, The metabolism of Candesartan can be decreased when combined with Valproic acid.]
[L04AB01, etanercept, The metabolism of Valproic acid can be increased when combined with Etanercept.]
[L01EM03, alpelisib, The serum concentration of Valproic acid can be decreased when it is combined with Alpelisib.]
[J01DC04, cefaclor, The excretion of Valproic acid can be decreased when combined with Cefaclor.]
[J01DB05, cefadroxil, The excretion of Valproic acid can be decreased when combined with Cefadroxil.]
[J01DC03, cefamandole, The excretion of Valproic acid can be decreased when combined with Cefamandole.]
[J01DB04, cefazolin, The excretion of Valproic acid can be decreased when combined with Cefazolin.]
[L02BB06, darolutamide, The metabolism of Darolutamide can be decreased when combined with Valproic acid.]
[L01EX15, pexidartinib, Valproic acid may increase the hepatotoxic activities of Pexidartinib.]
[J01DD12, cefoperazone, The excretion of Valproic acid can be decreased when combined with Cefoperazone.]
[J01DD01, cefotaxime, The excretion of Valproic acid can be decreased when combined with Cefotaxime.]
[N05AA06, cyamemazine, The risk or severity of adverse effects can be increased when Valproic acid is combined with Cyamemazine.]
[J01DC07, cefotiam, The excretion of Valproic acid can be decreased when combined with Cefotiam.]
[C03BX03, cicletanine, The risk or severity of QTc prolongation can be increased when Cicletanine is combined with Valproic acid.]
[J01DD07, ceftizoxime, The excretion of Valproic acid can be decreased when combined with Ceftizoxime.]
[J01DD04, ceftriaxone, The excretion of Valproic acid can be decreased when combined with Ceftriaxone.]
[M03BX08, cyclobenzaprine, The risk or severity of CNS depression can be increased when Cyclobenzaprine is combined with Valproic acid.]
[L01EJ02, fedratinib, The metabolism of Fedratinib can be decreased when combined with Valproic acid.]
[L01EX14, entrectinib, The risk or severity of QTc prolongation can be increased when Valproic acid is combined with Entrectinib.]
[N07XX11, pitolisant, Valproic acid may increase the QTc-prolonging activities of Pitolisant.]
[J04AK08, pretomanid, The metabolism of Pretomanid can be decreased when combined with Valproic acid.]
[J01XX12, lefamulin, Lefamulin may increase the QTc-prolonging activities of Valproic acid.]
[N04CX01, istradefylline, The metabolism of Istradefylline can be decreased when combined with Valproic acid.]
[G04BE04, yohimbine, The risk or severity of adverse effects can be increased when Valproic acid is combined with Yohimbine.]
[J01DB01, cephalexin, The excretion of Valproic acid can be decreased when combined with Cephalexin.]
[J01DB02, cephaloridine, The excretion of Valproic acid can be decreased when combined with Cefaloridine.]
[J01DB03, cephalothin, The excretion of Valproic acid can be decreased when combined with Cefalotin.]
[G03DB05, demegestone, The metabolism of Demegestone can be increased when combined with Valproic acid.]
[L01FD03, ado-trastuzumab emtansine, The metabolism of Trastuzumab emtansine can be decreased when combined with Valproic acid.]
[N02CC08, lasmiditan, The risk or severity of serotonin syndrome can be increased when Lasmiditan is combined with Valproic acid.]
[L01EL03, zanubrutinib, The metabolism of Zanubrutinib can be decreased when combined with Valproic acid.]
[G03AC09, desogestrel, The metabolism of Desogestrel can be increased when combined with Valproic acid.]
[B06AX03, voxelotor, The serum concentration of Voxelotor can be increased when it is combined with Valproic acid.]
[N03AX25, cenobamate, The serum concentration of Valproic acid can be decreased when it is combined with Cenobamate.]
[R06AB06, dexbrompheniramine, The risk or severity of QTc prolongation can be increased when Dexbrompheniramine is combined with Valproic acid.]
[R06AB02, dexchlorpheniramine, The risk or severity of QTc prolongation can be increased when Dexchlorpheniramine is combined with Valproic acid.]
[N02AX03, dezocine, The risk or severity of adverse effects can be increased when Valproic acid is combined with Dezocine.]
[L01EX18, avapritinib, The metabolism of Avapritinib can be decreased when combined with Valproic acid.]
[N05CM21, lemborexant, The serum concentration of Valproic acid can be decreased when it is combined with Lemborexant.]
[L01XX72, tazemetostat, The metabolism of Tazemetostat can be decreased when combined with Valproic acid.]
[N05AD10, lumateperone, The serum concentration of Lumateperone can be increased when it is combined with Valproic acid.]
[M01AX21, diacetylrhein, The metabolism of Valproic acid can be decreased when combined with Diacerein.]
[S01AE06, gatifloxacin, The risk or severity of QTc prolongation can be increased when Gatifloxacin is combined with Valproic acid.]
[H02CA02, osilodrostat, The metabolism of Valproic acid can be decreased when combined with Osilodrostat.]
[J05AE05, amprenavir, The metabolism of Amprenavir can be decreased when combined with Valproic acid.]
[N02CC07, frovatriptan, The risk or severity of adverse effects can be increased when Valproic acid is combined with Frovatriptan.]
[N05CC04, dichloralphenazone, The risk or severity of adverse effects can be increased when Valproic acid is combined with Dichloralphenazone.]
[L01EE04, selumetinib, The metabolism of Selumetinib can be decreased when combined with Valproic acid.]
[G03DB08, dienogest, The metabolism of Dienogest can be increased when combined with Valproic acid.]
[A07DA04, difenoxin, The risk or severity of adverse effects can be increased when Valproic acid is combined with Difenoxin.]
[N02AA08, dihydrocodeine, The risk or severity of adverse effects can be increased when Valproic acid is combined with Dihydrocodeine.]
[N02CC06, eletriptan, The risk or severity of adverse effects can be increased when Eletriptan is combined with Valproic acid.]
[M01AH02, rofecoxib, The protein binding of Valproic acid can be decreased when combined with Rofecoxib.]
[L01XF03, bexarotene, Valproic acid may increase the Pseudotumor Cerebri activities of Bexarotene.]
[C08CA16, clevidipine, The metabolism of Valproic acid can be decreased when combined with Clevidipine.]
[C01BD07, dronedarone, Valproic acid may increase the QTc-prolonging activities of Dronedarone.]
[N03AG02, dipropylacetamide, The risk or severity of adverse effects can be increased when Valproic acid is combined with Valpromide.]
[L01AA02, chlorambucil, The therapeutic efficacy of Valproic acid can be decreased when used in combination with Chlorambucil.]
[S03AA08, chloramphenicol, The metabolism of Valproic acid can be decreased when combined with Chloramphenicol.]
[R06AE04, chlorcyclizine, The risk or severity of QTc prolongation can be increased when Chlorcyclizine is combined with Valproic acid.]
[N05BA02, chlordiazepoxide, The risk or severity of adverse effects can be increased when Valproic acid is combined with Chlordiazepoxide.]
[L01FX17, sacituzumab govitecan, The serum concentration of Sacituzumab govitecan can be increased when it is combined with Valproic acid.]
[A03AA08, dihexyverine, Valproic acid may increase the central nervous system depressant (CNS depressant) activities of Dihexyverine.]
[P01BE01, artemisinin, The metabolism of Artemisinin can be decreased when combined with Valproic acid.]
[G04BD09, trospium, Valproic acid may increase the central nervous system depressant (CNS depressant) activities of Trospium.]
[M01AC04, droxicam, The protein binding of Valproic acid can be decreased when combined with Droxicam.]
[M02AA27, dexketoprofen, The protein binding of Valproic acid can be decreased when combined with Dexketoprofen.]
[N05CM02, chlormethiazole, The risk or severity of adverse effects can be increased when Valproic acid is combined with Clomethiazole.]
[M03BB02, chlormezanone, The risk or severity of adverse effects can be increased when Valproic acid is combined with Chlormezanone.]
[R02AD04, dyclonine, The risk or severity of methemoglobinemia can be increased when Valproic acid is combined with Dyclonine.]
[C08CA17, levamlodipine, The serum concentration of Levamlodipine can be increased when it is combined with Valproic acid.]
[R06AX22, ebastine, The risk or severity of QTc prolongation can be increased when Ebastine is combined with Valproic acid.]
[J05AX29, fostemsavir, The risk or severity of QTc prolongation can be increased when Fostemsavir is combined with Valproic acid.]
[P01BB01, proguanil, The metabolism of Proguanil can be decreased when combined with Valproic acid.]
[N05CD14, remimazolam, The risk or severity of sedation can be increased when Valproic acid is combined with Remimazolam.]
[L04AC19, satralizumab, The serum concentration of Valproic acid can be decreased when it is combined with Satralizumab.]
[N02AX07, oliceridine, The risk or severity of hypotension, sedation, death, somnolence, and respiratory depression can be increased when Valproic acid is combined with Oliceridine.]
