[S02DA03, antipyrine, The metabolism of Antipyrine can be decreased when combined with Itraconazole.]
[J01MA05, temafloxacin, The risk or severity of QTc prolongation can be increased when Itraconazole is combined with Temafloxacin.]
[M01AC02, tenoxicam, The risk or severity of hyperkalemia can be increased when Tenoxicam is combined with Itraconazole.]
[D01BA02, terbinafine, The metabolism of Terbinafine can be decreased when combined with Itraconazole.]
[G04BD05, terodiline, The metabolism of Terodiline can be decreased when combined with Itraconazole.]
[C07AA16, tertatolol, The risk or severity of hyperkalemia can be increased when Itraconazole is combined with Tertatolol.]
[N06AX14, tianeptine, The metabolism of Tianeptine can be decreased when combined with Itraconazole.]
[C09AA02, enalapril, The risk or severity of hyperkalemia can be increased when Enalapril is combined with Itraconazole.]
[M01AG02, tolfenamic acid, The metabolism of Tolfenamic acid can be decreased when combined with Itraconazole.]
[N06BA09, atomoxetine, The risk or severity of QTc prolongation can be increased when Atomoxetine is combined with Itraconazole.]
[L02BA02, toremifene, The metabolism of Toremifene can be decreased when combined with Itraconazole.]
[C09AA10, trandolapril, The risk or severity of hyperkalemia can be increased when Trandolapril is combined with Itraconazole.]
[H02CA01, trilostane, The metabolism of Trilostane can be decreased when combined with Itraconazole.]
[L02AE04, triptorelin, The risk or severity of QTc prolongation can be increased when Itraconazole is combined with Triptorelin.]
[N01AB04, enflurane, The metabolism of Enflurane can be decreased when combined with Itraconazole.]
[J01MA04, enoxacin, The risk or severity of QTc prolongation can be increased when Enoxacin is combined with Itraconazole.]
[L01CA04, vinorelbine, The metabolism of Vinorelbine can be decreased when combined with Itraconazole.]
[S01GX10, epinastine, Epinastine can cause a decrease in the absorption of Itraconazole resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[N06AX16, venlafaxine, The metabolism of Venlafaxine can be decreased when combined with Itraconazole.]
[S01GA03, xylometazoline, The therapeutic efficacy of Itraconazole can be increased when used in combination with Xylometazoline.]
[C08CA12, mepirodipine, The metabolism of Barnidipine can be decreased when combined with Itraconazole.]
[C09AA15, zofenopril, The risk or severity of hyperkalemia can be increased when Itraconazole is combined with Zofenopril.]
[N05CF02, zolpidem, The metabolism of Zolpidem can be decreased when combined with Itraconazole.]
[M01AB04, zomepirac, The metabolism of Zomepirac can be decreased when combined with Itraconazole.]
[N03AX15, zonisamide, The metabolism of Zonisamide can be decreased when combined with Itraconazole.]
[N05CF01, zopiclone, The metabolism of Zopiclone can be decreased when combined with Itraconazole.]
[N05AX11, zotepine, The metabolism of Zotepine can be decreased when combined with Itraconazole.]
[C02AC02, guanfacine, The metabolism of Guanfacine can be decreased when combined with Itraconazole.]
[C01BG01, moricizine, The risk or severity of QTc prolongation can be increased when Moricizine is combined with Itraconazole.]
[G02AB03, ergonovine, The serum concentration of Ergometrine can be increased when it is combined with Itraconazole.]
[C04AE01, ergoloid mesylates, USP, The serum concentration of Ergoloid mesylate can be increased when it is combined with Itraconazole.]
[N02CA02, ergotamine, The metabolism of Ergotamine can be decreased when combined with Itraconazole.]
[S01AA17, erythromycin, The metabolism of Erythromycin can be decreased when combined with Itraconazole.]
[N05CD04, estazolam, The metabolism of Estazolam can be decreased when combined with Itraconazole.]
[A02BC02, pantoprazole, Pantoprazole can cause a decrease in the absorption of Itraconazole resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[H05BX01, cinacalcet, The metabolism of Cinacalcet can be decreased when combined with Itraconazole.]
[G03CA03, estradiol, The metabolism of Estradiol can be decreased when combined with Itraconazole.]
[L01XX11, estramustine, The metabolism of Estramustine can be decreased when combined with Itraconazole.]
[G03CA57, estrogens, conjugated (USP), The metabolism of Conjugated estrogens can be decreased when combined with Itraconazole.]
[R03BA05, fluticasone, The metabolism of Fluticasone can be decreased when combined with Itraconazole.]
[R03BA09, fluticasone furoate, The metabolism of Fluticasone furoate can be decreased when combined with Itraconazole.]
[C10AA04, fluvastatin, The metabolism of Fluvastatin can be decreased when combined with Itraconazole.]
[L02AA03, ethinyl estradiol, The metabolism of Ethinylestradiol can be decreased when combined with Itraconazole.]
[C01BD05, ibutilide, The risk or severity of QTc prolongation can be increased when Itraconazole is combined with Ibutilide.]
[N03AD01, ethosuximide, The metabolism of Ethosuximide can be decreased when combined with Itraconazole.]
[M01AC06, meloxicam, The serum concentration of Meloxicam can be decreased when it is combined with Itraconazole.]
[S01XA06, ethylmorphine, The metabolism of Ethylmorphine can be decreased when combined with Itraconazole.]
[L01CB01, etoposide, The metabolism of Etoposide can be decreased when combined with Itraconazole.]
[N05AE03, sertindole, The metabolism of Sertindole can be decreased when combined with Itraconazole.]
[C01BA05, ajmaline, The risk or severity of QTc prolongation can be increased when Itraconazole is combined with Ajmaline.]
[L04AD02, tacrolimus, The serum concentration of Tacrolimus can be increased when it is combined with Itraconazole.]
[A02BA04, nizatidine, Nizatidine can cause a decrease in the absorption of Itraconazole resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[J01MA08, fleroxacin, The risk or severity of QTc prolongation can be increased when Itraconazole is combined with Fleroxacin.]
[R06AX11, astemizole, The metabolism of Astemizole can be decreased when combined with Itraconazole.]
[R06AX12, terfenadine, The metabolism of Itraconazole can be decreased when combined with Terfenadine.]
[N06AX12, bupropion, The serum concentration of Bupropion can be increased when it is combined with Itraconazole.]
[N06AB08, fluvoxamine, The metabolism of Fluvoxamine can be decreased when combined with Itraconazole.]
[C01BC08, encainide, The risk or severity of QTc prolongation can be increased when Itraconazole is combined with Encainide.]
[L02AE02, leuprolide, The risk or severity of QTc prolongation can be increased when Itraconazole is combined with Leuprolide.]
[C10AA03, pravastatin, Itraconazole may decrease the excretion rate of Pravastatin which could result in a higher serum level.]
[A02BA03, famotidine, Famotidine can cause a decrease in the absorption of Itraconazole resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[P02CA03, albendazole, The metabolism of Albendazole can be decreased when combined with Itraconazole.]
[C08CA02, felodipine, The metabolism of Felodipine can be decreased when combined with Itraconazole.]
[C08EA01, fendiline, The metabolism of Fendiline can be decreased when combined with Itraconazole.]
[N03AX26, fenfluramine, The metabolism of Fenfluramine can be decreased when combined with Itraconazole.]
[M01AE04, fenoprofen, The risk or severity of hyperkalemia can be increased when Fenoprofen is combined with Itraconazole.]
[N02AB03, fentanyl, The metabolism of Fentanyl can be decreased when combined with Itraconazole.]
[R03CC02, albuterol, The risk or severity of QTc prolongation can be increased when Salbutamol is combined with Itraconazole.]
[L01BB06, clofarabine, Itraconazole may decrease the excretion rate of Clofarabine which could result in a higher serum level.]
[L04AA40, cladribine, Itraconazole may decrease the excretion rate of Cladribine which could result in a higher serum level.]
[N07AX03, cevimeline, The metabolism of Cevimeline can be decreased when combined with Itraconazole.]
[C01BC04, flecainide, The risk or severity of QTc prolongation can be increased when Itraconazole is combined with Flecainide.]
[N02BG04, floctafenine, The risk or severity of hyperkalemia can be increased when Itraconazole is combined with Floctafenine.]
[J02AC01, fluconazole, The metabolism of Itraconazole can be decreased when combined with Fluconazole.]
[H02AA02, fludrocortisone, The metabolism of Fludrocortisone can be decreased when combined with Itraconazole.]
[D07XB01, flumethasone, The metabolism of Flumethasone can be decreased when combined with Itraconazole.]
[N07CA03, flunarizine, The metabolism of Flunarizine can be decreased when combined with Itraconazole.]
[N05CD03, flunitrazepam, The metabolism of Flunitrazepam can be decreased when combined with Itraconazole.]
[D07AC08, fluocinonide, The metabolism of Fluocinonide can be decreased when combined with Itraconazole.]
[H02AB03, fluocortolone, The metabolism of Fluocortolone can be decreased when combined with Itraconazole.]
[V03AZ01, ethanol, The metabolism of Ethanol can be decreased when combined with Itraconazole.]
[L01BC02, fluorouracil, Itraconazole may decrease the excretion rate of Fluorouracil which could result in a higher serum level.]
[N06AB03, fluoxetine, The risk or severity of QTc prolongation can be increased when Fluoxetine is combined with Itraconazole.]
[N05AF01, flupenthixol, The risk or severity of QTc prolongation can be increased when Itraconazole is combined with Flupentixol.]
[N05CD01, flurazepam, The metabolism of Flurazepam can be decreased when combined with Itraconazole.]
[S01BC04, flurbiprofen, The risk or severity of hyperkalemia can be increased when Flurbiprofen is combined with Itraconazole.]
[N05AG01, fluspirilene, The metabolism of Fluspirilene can be decreased when combined with Itraconazole.]
[L02BB01, flutamide, The metabolism of Flutamide can be decreased when combined with Itraconazole.]
[V04CX02, folic acid, Itraconazole may decrease the excretion rate of Folic acid which could result in a higher serum level.]
[L01BC03, tegafur, The metabolism of Tegafur can be decreased when combined with Itraconazole.]
[J05AE10, darunavir, The metabolism of Itraconazole can be decreased when combined with Darunavir.]
[N05CF04, eszopiclone, The serum concentration of Eszopiclone can be increased when it is combined with Itraconazole.]
[N05AL05, amisulpride, The risk or severity of QTc prolongation can be increased when Itraconazole is combined with Amisulpride.]
[N06DA04, galantamine, The metabolism of Galantamine can be decreased when combined with Itraconazole.]
[C08DA02, gallopamil, The metabolism of Gallopamil can be decreased when combined with Itraconazole.]
[C10AB04, gemfibrozil, The metabolism of Gemfibrozil can be decreased when combined with Itraconazole.]
[J01XA03, telavancin, The risk or severity of QTc prolongation can be increased when Itraconazole is combined with Telavancin.]
[L02BX02, degarelix, The risk or severity of QTc prolongation can be increased when Itraconazole is combined with Degarelix.]
[L01EA02, dasatinib, The metabolism of Dasatinib can be decreased when combined with Itraconazole.]
[N04BC06, cabergoline, The metabolism of Cabergoline can be decreased when combined with Itraconazole.]
[J05AG04, etravirine, The metabolism of Etravirine can be decreased when combined with Itraconazole.]
[N03AD03, methsuximide, The risk or severity of QTc prolongation can be increased when Itraconazole is combined with Methsuximide.]
[G03XA02, gestrinone, The metabolism of Gestrinone can be decreased when combined with Itraconazole.]
[N01AH02, alfentanil, The metabolism of Alfentanil can be decreased when combined with Itraconazole.]
[L01EH01, lapatinib, The metabolism of Lapatinib can be decreased when combined with Itraconazole.]
[A10BB01, glyburide, The metabolism of Glyburide can be decreased when combined with Itraconazole.]
[C01BD04, dofetilide, The metabolism of Dofetilide can be decreased when combined with Itraconazole.]
[C02CA04, doxazosin, The metabolism of Doxazosin can be decreased when combined with Itraconazole.]
[L01EX02, sorafenib, The metabolism of Sorafenib can be decreased when combined with Itraconazole.]
[C07AB09, esmolol, The risk or severity of QTc prolongation can be increased when Esmolol is combined with Itraconazole.]
[B01AA12, fluindione, The therapeutic efficacy of Fluindione can be increased when used in combination with Itraconazole.]
[C09AA09, fosinopril, The risk or severity of hyperkalemia can be increased when Fosinopril is combined with Itraconazole.]
[L02AE03, goserelin, The risk or severity of QTc prolongation can be increased when Itraconazole is combined with Goserelin.]
[P01BX01, halofantrine, The metabolism of Halofantrine can be decreased when combined with Itraconazole.]
[N05AD01, haloperidol, The risk or severity of QTc prolongation can be increased when Itraconazole is combined with Haloperidol.]
[N01AB01, halothane, The metabolism of Halothane can be decreased when combined with Itraconazole.]
[L02AE05, histrelin, The risk or severity of QTc prolongation can be increased when Itraconazole is combined with Histrelin.]
[N05AH04, quetiapine, The serum concentration of Quetiapine can be increased when it is combined with Itraconazole.]
[L01CE02, irinotecan, The serum concentration of SN-38, an active metabolite of Irinotecan, can be increased when used in combination with Itraconazole.]
[M04AA01, allopurinol, Itraconazole may decrease the excretion rate of Allopurinol which could result in a higher serum level.]
[C09CA01, losartan, The metabolism of Losartan can be decreased when combined with Itraconazole.]
[S01XA14, heparin, The risk or severity of hyperkalemia can be increased when Heparin is combined with Itraconazole.]
[G03DC01, allylestrenol, The metabolism of Allylestrenol can be decreased when combined with Itraconazole.]
[A07EC02, mesalamine, The risk or severity of hyperkalemia can be increased when Mesalazine is combined with Itraconazole.]
[J05AG01, nevirapine, The serum concentration of Itraconazole can be decreased when it is combined with Nevirapine.]
[C08CA10, nilvadipine, The metabolism of Nilvadipine can be decreased when combined with Itraconazole.]
[M02AA26, nimesulide, The metabolism of Nimesulide can be decreased when combined with Itraconazole.]
[R06AE06, oxatomide, The risk or severity of QTc prolongation can be increased when Itraconazole is combined with Oxatomide.]
[C09AA04, perindopril, The risk or severity of hyperkalemia can be increased when Perindopril is combined with Itraconazole.]
[C03AA03, hydrochlorothiazide, The risk or severity of QTc prolongation can be increased when Hydrochlorothiazide is combined with Itraconazole.]
[R05DA03, hydrocodone, The metabolism of Hydrocodone can be decreased when combined with Itraconazole.]
[S02BA01, hydrocortisone, The metabolism of Hydrocortisone can be decreased when combined with Itraconazole.]
[B05XA17, potassium acetate, Potassium acetate may increase the hyperkalemic activities of Itraconazole.]
[S01XA07, aluminum potassium sulfate, Potassium alum may increase the hyperkalemic activities of Itraconazole.]
[A12BA02, potassium citrate, Potassium citrate may increase the hyperkalemic activities of Itraconazole.]
[G04BD06, propiverine, The metabolism of Propiverine can be decreased when combined with Itraconazole.]
[P01BA02, hydroxychloroquine, The metabolism of Hydroxychloroquine can be decreased when combined with Itraconazole.]
[G03DA03, 17-alpha-hydroxyprogesterone, The metabolism of Hydroxyprogesterone can be decreased when combined with Itraconazole.]
[N05BB01, hydroxyzine, The risk or severity of QTc prolongation can be increased when Itraconazole is combined with Hydroxyzine.]
[J04AB04, rifabutin, The metabolism of Rifabutin can be decreased when combined with Itraconazole.]
[R02AX02, ibuprofen, The metabolism of Ibuprofen can be decreased when combined with Itraconazole.]
[L01AA06, ifosfamide, The metabolism of Ifosfamide can be decreased when combined with Itraconazole.]
[N01AH03, sufentanil, The metabolism of Sufentanil can be decreased when combined with Itraconazole.]
[N06AA02, imipramine, The metabolism of Imipramine can be decreased when combined with Itraconazole.]
[L01CD01, paclitaxel, The metabolism of Paclitaxel can be decreased when combined with Itraconazole.]
[H01BA04, terlipressin, The risk or severity of QTc prolongation can be increased when Itraconazole is combined with Terlipressin.]
[M03BX02, tizanidine, The risk or severity of QTc prolongation can be increased when Tizanidine is combined with Itraconazole.]
[L01CE01, topotecan, The serum concentration of Topotecan can be increased when it is combined with Itraconazole.]
[C03BA11, indapamide, The metabolism of Indapamide can be decreased when combined with Itraconazole.]
[S01BC01, indomethacin, The risk or severity of hyperkalemia can be increased when Indomethacin is combined with Itraconazole.]
[N06AX17, milnacipran, The metabolism of Milnacipran can be decreased when combined with Itraconazole.]
[A10BH01, sitagliptin, The metabolism of Sitagliptin can be decreased when combined with Itraconazole.]
[N05BA12, alprazolam, The serum concentration of Alprazolam can be increased when it is combined with Itraconazole.]
[N05CH02, ramelteon, The metabolism of Ramelteon can be decreased when combined with Itraconazole.]
[R06AE01, buclizine, The risk or severity of QTc prolongation can be increased when Buclizine is combined with Itraconazole.]
[C10AA06, cerivastatin, The serum concentration of Cerivastatin can be increased when it is combined with Itraconazole.]
[L01XX35, anagrelide, The risk or severity of QTc prolongation can be increased when Itraconazole is combined with Anagrelide.]
[C07AA01, alprenolol, The risk or severity of hyperkalemia can be increased when Alprenolol is combined with Itraconazole.]
[V03AB01, ipecac, The metabolism of Ipecac can be decreased when combined with Itraconazole.]
[P01AX06, atovaquone, The metabolism of Atovaquone can be decreased when combined with Itraconazole.]
[C09AA16, imidapril, The risk or severity of hyperkalemia can be increased when Itraconazole is combined with Imidapril.]
[N01AB06, isoflurane, The metabolism of Isoflurane can be decreased when combined with Itraconazole.]
[J04AC01, isoniazid, The serum concentration of Itraconazole can be decreased when it is combined with Isoniazid.]
[D10BA01, isotretinoin, The metabolism of Isotretinoin can be decreased when combined with Itraconazole.]
[P02CF01, ivermectin, The metabolism of Ivermectin can be decreased when combined with Itraconazole.]
[N06AX18, reboxetine, The metabolism of Reboxetine can be decreased when combined with Itraconazole.]
[A02AB01, aluminum hydroxide, Aluminum hydroxide can cause a decrease in the absorption of Itraconazole resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[N01AX03, ketamine, The metabolism of Ketamine can be decreased when combined with Itraconazole.]
[B01AC22, prasugrel, The metabolism of Prasugrel can be decreased when combined with Itraconazole.]
[J02AB02, ketoconazole, The metabolism of Itraconazole can be decreased when combined with Ketoconazole.]
[N05AH03, olanzapine, Olanzapine can cause a decrease in the absorption of Itraconazole resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[M02AA10, ketoprofen, The risk or severity of hyperkalemia can be increased when Ketoprofen is combined with Itraconazole.]
[R06AX25, mizolastine, The risk or severity of QTc prolongation can be increased when Itraconazole is combined with Mizolastine.]
[N04BC09, rotigotine, The metabolism of Rotigotine can be decreased when combined with Itraconazole.]
[J01MB02, nalidixic acid, The risk or severity of QTc prolongation can be increased when Itraconazole is combined with Nalidixic acid.]
[M01AE11, tiaprofenic acid, The risk or severity of hyperkalemia can be increased when Itraconazole is combined with Tiaprofenic acid.]
[C07AG01, labetalol, The risk or severity of hyperkalemia can be increased when Labetalol is combined with Itraconazole.]
[N04BB01, amantadine, The risk or severity of QTc prolongation can be increased when Amantadine is combined with Itraconazole.]
[J05AX09, maraviroc, The metabolism of Maraviroc can be decreased when combined with Itraconazole.]
[N03AX18, lacosamide, The metabolism of Lacosamide can be decreased when combined with Itraconazole.]
[R05CB06, ambroxol, The metabolism of Ambroxol can be decreased when combined with Itraconazole.]
[G03AD01, levonorgestrel, The metabolism of Levonorgestrel can be decreased when combined with Itraconazole.]
[S02DA01, lidocaine, The metabolism of Lidocaine can be decreased when combined with Itraconazole.]
[C08EX01, lidoflazine, The metabolism of Lidoflazine can be decreased when combined with Itraconazole.]
[D06AX13, retapamulin, The metabolism of Retapamulin can be decreased when combined with Itraconazole.]
[C03DB01, amiloride, The risk or severity of hyperkalemia can be increased when Amiloride is combined with Itraconazole.]
[N02CA07, lisuride, The serum concentration of Lisuride can be increased when it is combined with Itraconazole.]
[A07DA03, loperamide, The metabolism of Loperamide can be decreased when combined with Itraconazole.]
[N05BA06, lorazepam, The metabolism of Lorazepam can be decreased when combined with Itraconazole.]
[C10AA02, lovastatin, The serum concentration of Lovastatin can be increased when it is combined with Itraconazole.]
[G03DC03, lynestrenol, The metabolism of Lynestrenol can be decreased when combined with Itraconazole.]
[L01EG01, temsirolimus, The serum concentration of the active metabolites of Temsirolimus can be increased when Temsirolimus is used in combination with Itraconazole.]
[G04BX01, magnesium hydroxide, Magnesium hydroxide can cause a decrease in the absorption of Itraconazole resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[A12CC10, magnesium oxide, Magnesium oxide can cause a decrease in the absorption of Itraconazole resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[V04CC02, magnesium sulfate, The risk or severity of hyperkalemia can be increased when Magnesium sulfate is combined with Itraconazole.]
[L01BA05, pralatrexate, Itraconazole may decrease the excretion rate of Pralatrexate which could result in a higher serum level.]
[L01EA03, nilotinib, The metabolism of Nilotinib can be decreased when combined with Itraconazole.]
[V04CX04, mannitol, The serum concentration of Mannitol can be increased when it is combined with Itraconazole.]
[N06AA21, maprotiline, The risk or severity of QTc prolongation can be increased when Maprotiline is combined with Itraconazole.]
[M02AA18, meclofenamic acid, The risk or severity of hyperkalemia can be increased when Meclofenamic acid is combined with Itraconazole.]
[C01AA08, medigoxin, The serum concentration of Metildigoxin can be increased when it is combined with Itraconazole.]
[G03DB03, medrogestone, The metabolism of Medrogestone can be decreased when combined with Itraconazole.]
[P01BC02, mefloquine, The metabolism of Mefloquine can be decreased when combined with Itraconazole.]
[B01AB06, nadroparin, The risk or severity of hyperkalemia can be increased when Itraconazole is combined with Nadroparin.]
[B01AB05, enoxaparin, The risk or severity of hyperkalemia can be increased when Itraconazole is combined with Enoxaparin.]
[B01AB04, dalteparin, The risk or severity of hyperkalemia can be increased when Itraconazole is combined with Dalteparin.]
[N02AB02, meperidine, The metabolism of Meperidine can be decreased when combined with Itraconazole.]
[N03AB04, mephenytoin, The metabolism of Mephenytoin can be decreased when combined with Itraconazole.]
[N03AA01, mephobarbital, The metabolism of Methylphenobarbital can be decreased when combined with Itraconazole.]
[N05AC03, mesoridazine, The risk or severity of QTc prolongation can be increased when Itraconazole is combined with Mesoridazine.]
[N05AX13, paliperidone, The metabolism of Paliperidone can be decreased when combined with Itraconazole.]
[A04AA04, dolasetron, The metabolism of Dolasetron can be decreased when combined with Itraconazole.]
[N07BC02, methadone, The serum concentration of Methadone can be increased when it is combined with Itraconazole.]
[A03AB07, methantheline, Methantheline can cause a decrease in the absorption of Itraconazole resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[N05CM01, methaqualone, The metabolism of Methaqualone can be decreased when combined with Itraconazole.]
[J05AF05, lamivudine, Itraconazole may decrease the excretion rate of Lamivudine which could result in a higher serum level.]
[G02CB05, metergoline, The serum concentration of Metergoline can be increased when it is combined with Itraconazole.]
[H03BB02, methimazole, The metabolism of Itraconazole can be decreased when combined with Methimazole.]
[N02BG08, ziconotide, The therapeutic efficacy of Itraconazole can be increased when used in combination with Ziconotide.]
[L04AX03, methotrexate, The metabolism of Methotrexate can be decreased when combined with Itraconazole.]
[N05AA02, methotrimeprazine, The risk or severity of QTc prolongation can be increased when Itraconazole is combined with Methotrimeprazine.]
[N02BG09, methoxyflurane, The metabolism of Methoxyflurane can be decreased when combined with Itraconazole.]
[V04CG05, methylene blue, The serum concentration of Methylene blue can be increased when it is combined with Itraconazole.]
[G02AB01, methylergonovine, The serum concentration of Methylergometrine can be increased when it is combined with Itraconazole.]
[R03DA05, aminophylline, The metabolism of Aminophylline can be decreased when combined with Itraconazole.]
[H02AB04, methylprednisolone, The metabolism of Methylprednisolone can be decreased when combined with Itraconazole.]
[G03EK01, methyltestosterone, The metabolism of Methyltestosterone can be decreased when combined with Itraconazole.]
[N02CA04, methysergide, The serum concentration of Methysergide can be increased when it is combined with Itraconazole.]
[A03FA01, metoclopramide, The metabolism of Metoclopramide can be decreased when combined with Itraconazole.]
[C07AB02, metoprolol, The risk or severity of hyperkalemia can be increased when Metoprolol is combined with Itraconazole.]
[P01AB01, metronidazole, The metabolism of Metronidazole can be decreased when combined with Itraconazole.]
[C01BB02, mexiletine, The metabolism of Mexiletine can be decreased when combined with Itraconazole.]
[N06AX03, mianserin, The metabolism of Mianserin can be decreased when combined with Itraconazole.]
[S02AA13, miconazole, The metabolism of Itraconazole can be decreased when combined with Miconazole.]
[N02BB03, aminopyrine, The metabolism of Aminophenazone can be decreased when combined with Itraconazole.]
[B01AB07, parnaparin, The risk or severity of hyperkalemia can be increased when Itraconazole is combined with Parnaparin.]
[N05CD08, midazolam, The metabolism of Midazolam can be decreased when combined with Itraconazole.]
[G03XB01, mifepristone, The metabolism of Mifepristone can be decreased when combined with Itraconazole.]
[B01AB10, tinzaparin, The risk or severity of hyperkalemia can be increased when Itraconazole is combined with Tinzaparin.]
[C09CA03, valsartan, The risk or severity of hyperkalemia can be increased when Valsartan is combined with Itraconazole.]
[L01XX23, mitotane, The metabolism of Itraconazole can be increased when combined with Mitotane.]
[L01DB07, mitoxantrone, Itraconazole may decrease the excretion rate of Mitoxantrone which could result in a higher serum level.]
[C01BD01, amiodarone, The serum concentration of Amiodarone can be increased when it is combined with Itraconazole.]
[N06AA09, amitriptyline, The metabolism of Amitriptyline can be decreased when combined with Itraconazole.]
[N02AA01, morphine, The metabolism of Morphine can be decreased when combined with Itraconazole.]
[A04AA05, palonosetron, The metabolism of Palonosetron can be decreased when combined with Itraconazole.]
[G04BA01, ammonium chloride, The risk or severity of hyperkalemia can be increased when Itraconazole is combined with Ammonium chloride.]
[L01EX03, pazopanib, The serum concentration of Pazopanib can be increased when it is combined with Itraconazole.]
[P01BA06, amodiaquine, The risk or severity of QTc prolongation can be increased when Amodiaquine is combined with Itraconazole.]
[G04CA04, silodosin, The excretion of Silodosin can be decreased when combined with Itraconazole.]
[G03XC01, raloxifene, Itraconazole may decrease the excretion rate of Raloxifene which could result in a higher serum level.]
[N06AA17, amoxapine, The risk or severity of QTc prolongation can be increased when Amoxapine is combined with Itraconazole.]
[N03AB05, fosphenytoin, The metabolism of Fosphenytoin can be decreased when combined with Itraconazole.]
[C07AA12, nadolol, The risk or severity of hyperkalemia can be increased when Itraconazole is combined with Nadolol.]
[V03AB15, naloxone, The metabolism of Itraconazole can be decreased when combined with Naloxone.]
[M02AA12, naproxen, The risk or severity of hyperkalemia can be increased when Naproxen is combined with Itraconazole.]
[L01CD02, docetaxel, The metabolism of Docetaxel can be decreased when combined with Itraconazole.]
[L02BG04, letrozole, The metabolism of Letrozole can be decreased when combined with Itraconazole.]
[A10BX02, repaglinide, The metabolism of Repaglinide can be decreased when combined with Itraconazole.]
[C01CX08, levosimendan, The risk or severity of QTc prolongation can be increased when Itraconazole is combined with Levosimendan.]
[N05AX14, iloperidone, The metabolism of Iloperidone can be decreased when combined with Itraconazole.]
[J02AA01, amphotericin B, The therapeutic efficacy of Amphotericin B can be decreased when used in combination with Itraconazole.]
[N06AX23, desvenlafaxine, The metabolism of Desvenlafaxine can be decreased when combined with Itraconazole.]
[C09CA07, telmisartan, The risk or severity of hyperkalemia can be increased when Telmisartan is combined with Itraconazole.]
[H05BX02, paricalcitol, The metabolism of Paricalcitol can be decreased when combined with Itraconazole.]
[C08CA04, nicardipine, The metabolism of Nicardipine can be decreased when combined with Itraconazole.]
[C04AE02, nicergoline, The serum concentration of Nicergoline can be increased when it is combined with Itraconazole.]
[N07BA01, nicotine, The metabolism of Nicotine can be decreased when combined with Itraconazole.]
[C08CA05, nifedipine, The metabolism of Nifedipine can be decreased when combined with Itraconazole.]
[M02AA17, niflumic acid, The risk or severity of hyperkalemia can be increased when Itraconazole is combined with Niflumic acid.]
[C08CA06, nimodipine, The metabolism of Nimodipine can be decreased when combined with Itraconazole.]
[C08CA07, nisoldipine, The metabolism of Nisoldipine can be decreased when combined with Itraconazole.]
[N05CD02, nitrazepam, The metabolism of Nitrazepam can be decreased when combined with Itraconazole.]
[C08CA08, nitrendipine, The metabolism of Nitrendipine can be decreased when combined with Itraconazole.]
[J01XE01, nitrofurantoin, Itraconazole may decrease the excretion rate of Nitrofurantoin which could result in a higher serum level.]
[N05CF03, zaleplon, The metabolism of Zaleplon can be decreased when combined with Itraconazole.]
[G03DC02, norethindrone, The metabolism of Norethisterone can be decreased when combined with Itraconazole.]
[S01AE02, norfloxacin, The risk or severity of QTc prolongation can be increased when Norfloxacin is combined with Itraconazole.]
[C02KX01, bosentan, The metabolism of Bosentan can be decreased when combined with Itraconazole.]
[N06AA10, nortriptyline, The metabolism of Nortriptyline can be decreased when combined with Itraconazole.]
[G02CA02, nylidrin, The metabolism of Nylidrin can be decreased when combined with Itraconazole.]
[B01AB08, reviparin, The risk or severity of hyperkalemia can be increased when Itraconazole is combined with Reviparin.]
[H01CB02, octreotide, The risk or severity of QTc prolongation can be increased when Octreotide is combined with Itraconazole.]
[S02AA16, ofloxacin, The risk or severity of QTc prolongation can be increased when Itraconazole is combined with Ofloxacin.]
[A02BC01, omeprazole, Omeprazole can cause a decrease in the absorption of Itraconazole resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[N02AA02, opium, The metabolism of Opium can be decreased when combined with Itraconazole.]
[G04CA02, tamsulosin, The metabolism of Tamsulosin can be decreased when combined with Itraconazole.]
[C01AC01, ouabain, The serum concentration of Ouabain can be increased when it is combined with Itraconazole.]
[J01MB05, oxolinic acid, The risk or severity of QTc prolongation can be increased when Itraconazole is combined with Oxolinic acid.]
[C07AA02, oxprenolol, The risk or severity of hyperkalemia can be increased when Itraconazole is combined with Oxprenolol.]
[N02AA05, oxycodone, The metabolism of Oxycodone can be decreased when combined with Itraconazole.]
[N02AA11, oxymorphone, The metabolism of Oxymorphone can be decreased when combined with Itraconazole.]
[S01BC02, oxyphenbutazone, The risk or severity of hyperkalemia can be increased when Itraconazole is combined with Oxyphenbutazone.]
[H01BB02, oxytocin, The risk or severity of QTc prolongation can be increased when Oxytocin is combined with Itraconazole.]
[N05AH05, asenapine, Asenapine can cause a decrease in the absorption of Itraconazole resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[B01AB09, danaparoid, The risk or severity of hyperkalemia can be increased when Itraconazole is combined with Danaparoid.]
