[S02DA03, antipyrine, The metabolism of Antipyrine can be decreased when combined with Mirtazapine.]
[A03AX04, pinaverium, The risk or severity of QTc prolongation can be increased when Mirtazapine is combined with Pinaverium.]
[N05AD05, pipamperone, Pipamperone may increase the serotonergic activities of Mirtazapine.]
[A03AB14, pipenzolate, Mirtazapine may increase the central nervous system depressant (CNS depressant) activities of Pipenzolate.]
[L01DC04, ixabepilone, The metabolism of Ixabepilone can be decreased when combined with Mirtazapine.]
[L01EB02, erlotinib, The metabolism of Erlotinib can be decreased when combined with Mirtazapine.]
[R03CC07, pirbuterol, The risk or severity of hypertension can be increased when Mirtazapine is combined with Pirbuterol.]
[A08AA03, diethylpropion, Diethylpropion may increase the serotonergic activities of Mirtazapine.]
[C08CA03, isradipine, The metabolism of Mirtazapine can be decreased when combined with Isradipine.]
[A03AB11, poldine, Mirtazapine may increase the central nervous system depressant (CNS depressant) activities of Poldine.]
[N02BA11, diflunisal, The risk or severity of hypertension can be increased when Mirtazapine is combined with Diflunisal.]
[C01AA04, digitoxin, The metabolism of Digitoxin can be decreased when combined with Mirtazapine.]
[C01AA05, digoxin, The risk or severity of QTc prolongation can be increased when Mirtazapine is combined with Digoxin.]
[C02DB01, dihydralazine, The metabolism of Mirtazapine can be decreased when combined with Dihydralazine.]
[C04AE04, dihydroergocristine, The risk or severity of hypertension can be increased when Mirtazapine is combined with Dihydroergocristine.]
[N02CA01, dihydroergotamine, Dihydroergotamine may increase the serotonergic activities of Mirtazapine.]
[N02AA03, hydromorphone, Hydromorphone may increase the serotonergic activities of Mirtazapine.]
[J05AE08, atazanavir, The metabolism of Mirtazapine can be decreased when combined with Atazanavir.]
[B01AC21, treprostinil, The risk or severity of QTc prolongation can be increased when Mirtazapine is combined with Treprostinil.]
[D04AB07, pramoxine, Pramocaine may increase the central nervous system depressant (CNS depressant) activities of Mirtazapine.]
[C08DB01, diltiazem, The metabolism of Mirtazapine can be decreased when combined with Diltiazem.]
[R06AA11, dimenhydrinate, Dimenhydrinate may increase the central nervous system depressant (CNS depressant) activities of Mirtazapine.]
[M03BX03, pridinol, Pridinol may increase the central nervous system depressant (CNS depressant) activities of Mirtazapine.]
[R06AB03, dimethindene, Mirtazapine may increase the central nervous system depressant (CNS depressant) activities of Dimetindene.]
[R03CC08, procaterol, The risk or severity of hypertension can be increased when Mirtazapine is combined with Procaterol.]
[M02AX03, dimethyl sulfoxide, The metabolism of Mirtazapine can be decreased when combined with Dimethyl sulfoxide.]
[N03AG05, progabide, Progabide may increase the central nervous system depressant (CNS depressant) activities of Mirtazapine.]
[N06BC02, propentofylline, The metabolism of Propentofylline can be decreased when combined with Mirtazapine.]
[N02BB04, propyphenazone, The risk or severity of hypertension can be increased when Mirtazapine is combined with Propyphenazone.]
[M01AB14, proglumetacin, The risk or severity of hypertension can be increased when Mirtazapine is combined with Proglumetacin.]
[R03DA03, proxyphylline, The metabolism of Proxyphylline can be decreased when combined with Mirtazapine.]
[R06AA02, diphenhydramine, Diphenhydramine may increase the serotonergic activities of Mirtazapine.]
[A07DA01, diphenoxylate, Diphenoxylate may increase the serotonergic activities of Mirtazapine.]
[N05CD10, quazepam, Quazepam may increase the central nervous system depressant (CNS depressant) activities of Mirtazapine.]
[C09AA06, quinapril, Mirtazapine may decrease the antihypertensive activities of Quinapril.]
[N06BA11, dexmethylphenidate, Dexmethylphenidate may increase the serotonergic activities of Mirtazapine.]
[N06AA23, quinupramine, Quinupramine may increase the serotonergic activities of Mirtazapine.]
[A03FA02, cisapride, Cisapride may increase the serotonergic activities of Mirtazapine.]
[C09AA05, ramipril, Mirtazapine may decrease the antihypertensive activities of Ramipril.]
[S01XA23, sirolimus, The metabolism of Sirolimus can be decreased when combined with Mirtazapine.]
[N05AL04, remoxipride, Remoxipride may increase the central nervous system depressant (CNS depressant) activities of Mirtazapine.]
[R03CC14, reproterol, The risk or severity of hypertension can be increased when Mirtazapine is combined with Reproterol.]
[C01BA03, disopyramide, Mirtazapine may increase the central nervous system depressant (CNS depressant) activities of Disopyramide.]
[P03AA04, disulfiram, The risk or severity of QTc prolongation can be increased when Mirtazapine is combined with Disulfiram.]
[S02AA12, rifamycin SV, The metabolism of Mirtazapine can be increased when combined with Rifamycin.]
[J04AB05, rifapentine, The metabolism of Mirtazapine can be increased when combined with Rifapentine.]
[N07XX02, riluzole, Riluzole may increase the central nervous system depressant (CNS depressant) activities of Mirtazapine.]
[N05AX08, risperidone, Risperidone may increase the serotonergic activities of Mirtazapine.]
[R06AE09, levocetirizine, Levocetirizine may increase the central nervous system depressant (CNS depressant) activities of Mirtazapine.]
[N01BB09, ropivacaine, Ropivacaine may increase the central nervous system depressant (CNS depressant) activities of Mirtazapine.]
[J01MB01, rosoxacin, The risk or severity of QTc prolongation can be increased when Mirtazapine is combined with Rosoxacin.]
[L01EX01, sunitinib, The risk or severity of QTc prolongation and torsade de pointes can be increased when Sunitinib is combined with Mirtazapine.]
[A04AD12, aprepitant, The metabolism of Mirtazapine can be decreased when combined with Aprepitant.]
[C03XA01, tolvaptan, The metabolism of Tolvaptan can be decreased when combined with Mirtazapine.]
[L01XG01, bortezomib, The metabolism of Bortezomib can be decreased when combined with Mirtazapine.]
[G04BE08, tadalafil, Mirtazapine may decrease the antihypertensive activities of Tadalafil.]
[S01BC05, ketorolac, The risk or severity of hypertension can be increased when Mirtazapine is combined with Ketorolac.]
[C02KX02, ambrisentan, Mirtazapine may decrease the antihypertensive activities of Ambrisentan.]
[C01EB18, ranolazine, The serum concentration of Mirtazapine can be increased when it is combined with Ranolazine.]
[N02BA06, salsalate, The risk or severity of hypertension can be increased when Mirtazapine is combined with Salsalate.]
[R03AC12, salmeterol, The risk or severity of QTc prolongation can be increased when Mirtazapine is combined with Salmeterol.]
[C01CA07, dobutamine, The risk or severity of hypertension can be increased when Mirtazapine is combined with Dobutamine.]
[A03FA03, domperidone, The risk or severity of QTc prolongation can be increased when Mirtazapine is combined with Domperidone.]
[C01CA04, dopamine, The risk or severity of hypertension can be increased when Mirtazapine is combined with Dopamine.]
[N06AA16, dothiepin, Dosulepin may increase the serotonergic activities of Mirtazapine.]
[R07AB01, doxapram, The risk or severity of hypertension can be increased when Mirtazapine is combined with Doxapram.]
[N06AA12, doxepin, Doxepin may increase the serotonergic activities of Mirtazapine.]
[L01DB01, doxorubicin, The metabolism of Doxorubicin can be decreased when combined with Mirtazapine.]
[R06AA09, doxylamine, Doxylamine may increase the central nervous system depressant (CNS depressant) activities of Mirtazapine.]
[N06AB06, sertraline, Sertraline may increase the serotonergic activities of Mirtazapine.]
[N01AB08, sevoflurane, Sevoflurane may increase the central nervous system depressant (CNS depressant) activities of Mirtazapine.]
[N05AD08, droperidol, Droperidol may increase the central nervous system depressant (CNS depressant) activities of Mirtazapine.]
[A08AA10, sibutramine, Sibutramine may increase the serotonergic activities of Mirtazapine.]
[C10AA01, simvastatin, The metabolism of Simvastatin can be decreased when combined with Mirtazapine.]
[C09AA11, spirapril, Mirtazapine may decrease the antihypertensive activities of Spirapril.]
[N05AL02, sultopride, Sultopride may increase the central nervous system depressant (CNS depressant) activities of Mirtazapine.]
[N02CC01, sumatriptan, Sumatriptan may increase the serotonergic activities of Mirtazapine.]
[C07AB13, talinolol, The risk or severity of QTc prolongation can be increased when Mirtazapine is combined with Talinolol.]
[J01MA05, temafloxacin, The risk or severity of QTc prolongation can be increased when Mirtazapine is combined with Temafloxacin.]
[M01AC02, tenoxicam, The risk or severity of hypertension can be increased when Mirtazapine is combined with Tenoxicam.]
[G04CA03, terazosin, Mirtazapine may decrease the antihypertensive activities of Terazosin.]
[D01BA02, terbinafine, The metabolism of Mirtazapine can be decreased when combined with Terbinafine.]
[G04BD05, terodiline, The risk or severity of QTc prolongation can be increased when Mirtazapine is combined with Terodiline.]
[C07AA16, tertatolol, The metabolism of Tertatolol can be decreased when combined with Mirtazapine.]
[S01GA02, tetrahydrozoline, The risk or severity of hypertension can be increased when Mirtazapine is combined with Tetryzoline.]
[M03BX07, tetrazepam, Tetrazepam may increase the central nervous system depressant (CNS depressant) activities of Mirtazapine.]
[M03BX05, thiocolchicoside, Thiocolchicoside may increase the central nervous system depressant (CNS depressant) activities of Mirtazapine.]
[N05AB05, thiopropazate, Thiopropazate may increase the central nervous system depressant (CNS depressant) activities of Mirtazapine.]
[G04BD01, emepronium, Emepronium may increase the central nervous system depressant (CNS depressant) activities of Mirtazapine.]
[N06AX14, tianeptine, Tianeptine may increase the serotonergic activities of Mirtazapine.]
[C09AA02, enalapril, Mirtazapine may decrease the antihypertensive activities of Enalapril.]
[N05BA23, tofisopam, Tofisopam may increase the central nervous system depressant (CNS depressant) activities of Mirtazapine.]
[M01AG02, tolfenamic acid, The risk or severity of hypertension can be increased when Mirtazapine is combined with Tolfenamic acid.]
[N06AG03, toloxatone, Toloxatone may increase the serotonergic activities of Mirtazapine.]
[N06BA09, atomoxetine, The risk or severity of QTc prolongation can be increased when Atomoxetine is combined with Mirtazapine.]
[N03AX11, topiramate, Topiramate may increase the central nervous system depressant (CNS depressant) activities of Mirtazapine.]
[L02BA02, toremifene, The risk or severity of QTc prolongation can be increased when Mirtazapine is combined with Toremifene.]
[C03CA04, torsemide, Mirtazapine may decrease the antihypertensive activities of Torasemide.]
[R01AA09, tramazoline, The risk or severity of hypertension can be increased when Mirtazapine is combined with Tramazoline.]
[C09AA10, trandolapril, Mirtazapine may decrease the antihypertensive activities of Trandolapril.]
[N05CD11, triazulenone, Loprazolam may increase the central nervous system depressant (CNS depressant) activities of Mirtazapine.]
[N05CC01, chloral hydrate, Chloral hydrate may increase the central nervous system depressant (CNS depressant) activities of Mirtazapine.]
[N05CM07, triclofos, Triclofos may increase the central nervous system depressant (CNS depressant) activities of Mirtazapine.]
[A03AB08, tridihexethyl, Mirtazapine may increase the central nervous system depressant (CNS depressant) activities of Tridihexethyl.]
[R06AA10, trimethobenzamide, Trimethobenzamide may increase the central nervous system depressant (CNS depressant) activities of Mirtazapine.]
[L02AE04, triptorelin, The risk or severity of QTc prolongation can be increased when Mirtazapine is combined with Triptorelin.]
[N04AA12, tropatepine, Mirtazapine may increase the central nervous system depressant (CNS depressant) activities of Tropatepine.]
[R03CC11, tulobuterol, The risk or severity of hypertension can be increased when Mirtazapine is combined with Tulobuterol.]
[N01AB04, enflurane, Enflurane may increase the central nervous system depressant (CNS depressant) activities of Mirtazapine.]
[C02CA06, urapidil, Urapidil may increase the central nervous system depressant (CNS depressant) activities of Mirtazapine.]
[J01MA04, enoxacin, The metabolism of Mirtazapine can be decreased when combined with Enoxacin.]
[N05AL06, veralipride, Veralipride may increase the central nervous system depressant (CNS depressant) activities of Mirtazapine.]
[L01CA04, vinorelbine, The metabolism of Vinorelbine can be decreased when combined with Mirtazapine.]
[S01FB02, ephedrine, Mirtazapine may decrease the hypertensive activities of Ephedrine.]
[S01GX10, epinastine, Epinastine may increase the central nervous system depressant (CNS depressant) activities of Mirtazapine.]
[N06AX16, venlafaxine, Venlafaxine may increase the serotonergic activities of Mirtazapine.]
[C01CX07, xamoterol, The risk or severity of hypertension can be increased when Mirtazapine is combined with Xamoterol.]
[S01GA03, xylometazoline, Mirtazapine may decrease the antihypertensive activities of Xylometazoline.]
[C08CA12, mepirodipine, The metabolism of Mirtazapine can be decreased when combined with Barnidipine.]
[S01EA01, epinephrine, Mirtazapine may decrease the antihypertensive activities of Epinephrine.]
[C09AA15, zofenopril, Mirtazapine may decrease the antihypertensive activities of Zofenopril.]
[N05CF02, zolpidem, Mirtazapine may increase the central nervous system depressant (CNS depressant) activities of Zolpidem.]
[M01AB04, zomepirac, The risk or severity of hypertension can be increased when Mirtazapine is combined with Zomepirac.]
[N03AX15, zonisamide, Zonisamide may increase the central nervous system depressant (CNS depressant) activities of Mirtazapine.]
[N05CF01, zopiclone, Zopiclone may increase the central nervous system depressant (CNS depressant) activities of Mirtazapine.]
[N05AX11, zotepine, Zotepine may increase the serotonergic activities of Mirtazapine.]
[C02AC02, guanfacine, Guanfacine may increase the central nervous system depressant (CNS depressant) activities of Mirtazapine.]
[C01BG01, moricizine, Moricizine may increase the central nervous system depressant (CNS depressant) activities of Mirtazapine.]
[G02AB03, ergonovine, Ergometrine may increase the serotonergic activities of Mirtazapine.]
[C04AE01, ergoloid mesylates, USP, Ergoloid mesylate may increase the serotonergic activities of Mirtazapine.]
[N02CA02, ergotamine, Ergotamine may increase the serotonergic activities of Mirtazapine.]
[S01AA17, erythromycin, The metabolism of Mirtazapine can be decreased when combined with Erythromycin.]
[N05CD04, estazolam, Estazolam may increase the central nervous system depressant (CNS depressant) activities of Mirtazapine.]
[H05BX01, cinacalcet, The metabolism of Mirtazapine can be decreased when combined with Cinacalcet.]
[G03CA03, estradiol, The metabolism of Estradiol can be decreased when combined with Mirtazapine.]
[G03CA57, estrogens, conjugated (USP), The metabolism of Mirtazapine can be decreased when combined with Conjugated estrogens.]
[J04AK02, ethambutol, The metabolism of Mirtazapine can be decreased when combined with Ethambutol.]
[C10AA04, fluvastatin, The metabolism of Fluvastatin can be decreased when combined with Mirtazapine.]
[C01CA15, gepefrine, Gepefrine may increase the serotonergic activities of Mirtazapine.]
[N05CM08, ethchlorvynol, Ethchlorvynol may increase the central nervous system depressant (CNS depressant) activities of Mirtazapine.]
[L02AA03, ethinyl estradiol, The metabolism of Ethinylestradiol can be decreased when combined with Mirtazapine.]
[C01BD05, ibutilide, The risk or severity of QTc prolongation can be increased when Mirtazapine is combined with Ibutilide.]
[N04AA05, profenamine, Mirtazapine may increase the central nervous system depressant (CNS depressant) activities of Profenamine.]
[N03AD01, ethosuximide, Ethosuximide may increase the central nervous system depressant (CNS depressant) activities of Mirtazapine.]
[N03AB01, ethotoin, Ethotoin may increase the central nervous system depressant (CNS depressant) activities of Mirtazapine.]
[M01AC06, meloxicam, The risk or severity of hypertension can be increased when Mirtazapine is combined with Meloxicam.]
[S01XA06, ethylmorphine, Ethylmorphine may increase the serotonergic activities of Mirtazapine.]
[C01CA01, etilefrine, The risk or severity of hypertension can be increased when Mirtazapine is combined with Etilefrine.]
[N01AX07, etomidate, Etomidate may increase the central nervous system depressant (CNS depressant) activities of Mirtazapine.]
[L01CB01, etoposide, The metabolism of Etoposide can be decreased when combined with Mirtazapine.]
[N05AE03, sertindole, Sertindole may increase the serotonergic activities of Mirtazapine.]
[C01BA05, ajmaline, The risk or severity of QTc prolongation can be increased when Mirtazapine is combined with Ajmaline.]
[L04AD02, tacrolimus, The serum concentration of Tacrolimus can be increased when it is combined with Mirtazapine.]
[J01MA08, fleroxacin, The risk or severity of QTc prolongation can be increased when Mirtazapine is combined with Fleroxacin.]
[R06AX11, astemizole, The metabolism of Astemizole can be decreased when combined with Mirtazapine.]
[R06AX12, terfenadine, The metabolism of Mirtazapine can be decreased when combined with Terfenadine.]
[N06AX12, bupropion, Bupropion may increase the central nervous system depressant (CNS depressant) activities of Mirtazapine.]
[N06AB08, fluvoxamine, Fluvoxamine may increase the serotonergic activities of Mirtazapine.]
[C01BB03, tocainide, The metabolism of Tocainide can be decreased when combined with Mirtazapine.]
[C01BC08, encainide, The risk or severity of QTc prolongation can be increased when Mirtazapine is combined with Encainide.]
[L02AE02, leuprolide, The risk or severity of QTc prolongation can be increased when Mirtazapine is combined with Leuprolide.]
[A02BA03, famotidine, The risk or severity of QTc prolongation can be increased when Mirtazapine is combined with Famotidine.]
[P02CA03, albendazole, The metabolism of Mirtazapine can be increased when combined with Albendazole.]
[C08CA02, felodipine, The risk or severity of QTc prolongation can be increased when Mirtazapine is combined with Felodipine.]
[C08EA01, fendiline, The risk or severity of QTc prolongation can be increased when Mirtazapine is combined with Fendiline.]
[N03AX26, fenfluramine, Fenfluramine may increase the serotonergic activities of Mirtazapine.]
[M01AE04, fenoprofen, The risk or severity of hypertension can be increased when Mirtazapine is combined with Fenoprofen.]
[R03CC04, fenoterol, The risk or severity of hypertension can be increased when Mirtazapine is combined with Fenoterol.]
[N02AB03, fentanyl, The metabolism of Fentanyl can be decreased when combined with Mirtazapine.]
[R03CC02, albuterol, The risk or severity of QTc prolongation can be increased when Mirtazapine is combined with Salbutamol.]
[N07AX03, cevimeline, The metabolism of Mirtazapine can be decreased when combined with Cevimeline.]
[G04BD02, flavoxate, Mirtazapine may increase the central nervous system depressant (CNS depressant) activities of Flavoxate.]
[C01BC04, flecainide, The metabolism of Flecainide can be decreased when combined with Mirtazapine.]
[N02BG04, floctafenine, The risk or severity of hypertension can be increased when Mirtazapine is combined with Floctafenine.]
[J02AC01, fluconazole, The metabolism of Mirtazapine can be decreased when combined with Fluconazole.]
[N07CA03, flunarizine, Flunarizine may increase the central nervous system depressant (CNS depressant) activities of Mirtazapine.]
[N05CD03, flunitrazepam, Flunitrazepam may increase the central nervous system depressant (CNS depressant) activities of Mirtazapine.]
[N06AA14, melitracen, Melitracen may increase the serotonergic activities of Mirtazapine.]
[V03AZ01, ethanol, The risk or severity of adverse effects can be increased when Ethanol is combined with Mirtazapine.]
[L01BC02, fluorouracil, The metabolism of Fluorouracil can be decreased when combined with Mirtazapine.]
[N06AB03, fluoxetine, Fluoxetine may increase the serotonergic activities of Mirtazapine.]
[N05AF01, flupenthixol, Flupentixol may increase the serotonergic activities of Mirtazapine.]
[N05AB02, fluphenazine, Fluphenazine may increase the central nervous system depressant (CNS depressant) activities of Mirtazapine.]
[N05CD01, flurazepam, Flurazepam may increase the central nervous system depressant (CNS depressant) activities of Mirtazapine.]
[S01BC04, flurbiprofen, The risk or severity of hypertension can be increased when Mirtazapine is combined with Flurbiprofen.]
[N05AG01, fluspirilene, Fluspirilene may increase the serotonergic activities of Mirtazapine.]
[L02BB01, flutamide, The metabolism of Flutamide can be decreased when combined with Mirtazapine.]
[L01BC03, tegafur, The metabolism of Tegafur can be decreased when combined with Mirtazapine.]
[N06BX17, adrafinil, The risk or severity of hypertension can be increased when Mirtazapine is combined with Adrafinil.]
[M03AA01, alcuronium, Alcuronium may increase the central nervous system depressant (CNS depressant) activities of Mirtazapine.]
[G01AX06, furazolidone, Furazolidone may increase the serotonergic activities of Mirtazapine.]
[J05AE10, darunavir, The metabolism of Mirtazapine can be decreased when combined with Darunavir.]
[C03CA01, furosemide, Mirtazapine may decrease the antihypertensive activities of Furosemide.]
[N05CF04, eszopiclone, The risk or severity of CNS depression can be increased when Mirtazapine is combined with Eszopiclone.]
[N05AL05, amisulpride, Amisulpride may increase the central nervous system depressant (CNS depressant) activities of Mirtazapine.]
[N06DA04, galantamine, The risk or severity of QTc prolongation can be increased when Mirtazapine is combined with Galantamine.]
[M03AC02, gallamine, Gallamine may increase the central nervous system depressant (CNS depressant) activities of Mirtazapine.]
[C08DA02, gallopamil, The risk or severity of QTc prolongation can be increased when Mirtazapine is combined with Gallopamil.]
[N03AA04, barbexaclone, Barbexaclone may increase the central nervous system depressant (CNS depressant) activities of Mirtazapine.]
[N06AX08, bifemelane, Bifemelane may increase the serotonergic activities of Mirtazapine.]
[C10AB04, gemfibrozil, The metabolism of Mirtazapine can be decreased when combined with Gemfibrozil.]
[J01XA03, telavancin, The risk or severity of QTc prolongation can be increased when Mirtazapine is combined with Telavancin.]
[L02BX02, degarelix, The risk or severity of QTc prolongation can be increased when Mirtazapine is combined with Degarelix.]
[L01EA02, dasatinib, The metabolism of Dasatinib can be decreased when combined with Mirtazapine.]
[N04BC06, cabergoline, Cabergoline may increase the serotonergic activities of Mirtazapine.]
[C01CA21, cafedrine, The metabolism of Cafedrine can be decreased when combined with Mirtazapine.]
[N03AD03, methsuximide, Methsuximide may increase the central nervous system depressant (CNS depressant) activities of Mirtazapine.]
[N01AH02, alfentanil, Alfentanil may increase the serotonergic activities of Mirtazapine.]
[L01EH01, lapatinib, The risk or severity of QTc prolongation can be increased when Mirtazapine is combined with Lapatinib.]
[N05CM18, dexmedetomidine, Dexmedetomidine may increase the central nervous system depressant (CNS depressant) activities of Mirtazapine.]
[N05CE01, glutethimide, Glutethimide may increase the central nervous system depressant (CNS depressant) activities of Mirtazapine.]
[C05AE01, nitroglycerin, Mirtazapine may decrease the antihypertensive activities of Nitroglycerin.]
[C01BD04, dofetilide, The metabolism of Dofetilide can be decreased when combined with Mirtazapine.]
[C02CA04, doxazosin, Mirtazapine may decrease the antihypertensive activities of Doxazosin.]
[L01EX02, sorafenib, The metabolism of Sorafenib can be decreased when combined with Mirtazapine.]
[C07AB09, esmolol, The risk or severity of QTc prolongation can be increased when Esmolol is combined with Mirtazapine.]
[B01AA12, fluindione, The risk or severity of adverse effects can be increased when Mirtazapine is combined with Fluindione.]
[C09AA09, fosinopril, Mirtazapine may decrease the antihypertensive activities of Fosinopril.]
[S01EX01, guanethidine, Mirtazapine may decrease the antihypertensive activities of Guanethidine.]
[L02AE03, goserelin, The risk or severity of QTc prolongation can be increased when Mirtazapine is combined with Goserelin.]
[P01BX01, halofantrine, The metabolism of Mirtazapine can be decreased when combined with Halofantrine.]
[N05AD01, haloperidol, The risk or severity of QTc prolongation can be increased when Mirtazapine is combined with Haloperidol.]
[N01AB01, halothane, Halothane may increase the central nervous system depressant (CNS depressant) activities of Mirtazapine.]
[L02AE05, histrelin, The risk or severity of QTc prolongation can be increased when Mirtazapine is combined with Histrelin.]
[N05AH04, quetiapine, Quetiapine may increase the serotonergic activities of Mirtazapine.]
[N02CX03, iprazochrome, Iprazochrome may increase the central nervous system depressant (CNS depressant) activities of Mirtazapine.]
[L01CE02, irinotecan, The metabolism of Irinotecan can be decreased when combined with Mirtazapine.]
[N05CA21, allobarbital, Allobarbital may increase the central nervous system depressant (CNS depressant) activities of Mirtazapine.]
[C09CA01, losartan, The risk or severity of QTc prolongation can be increased when Mirtazapine is combined with Losartan.]
[G03DC01, allylestrenol, The metabolism of Allylestrenol can be decreased when combined with Mirtazapine.]
[A07EC02, mesalamine, The risk or severity of hypertension can be increased when Mesalazine is combined with Mirtazapine.]
[N05CA16, hexobarbital, Hexobarbital may increase the central nervous system depressant (CNS depressant) activities of Mirtazapine.]
[R03CC05, hexoprenaline, The risk or severity of hypertension can be increased when Mirtazapine is combined with Hexoprenaline.]
[J05AG01, nevirapine, The metabolism of Mirtazapine can be decreased when combined with Nevirapine.]
[C08CA10, nilvadipine, The metabolism of Mirtazapine can be decreased when combined with Nilvadipine.]
[M02AA26, nimesulide, The risk or severity of hypertension can be increased when Mirtazapine is combined with Nimesulide.]
[R06AE06, oxatomide, The risk or severity of QTc prolongation can be increased when Mirtazapine is combined with Oxatomide.]
[C09AA04, perindopril, Mirtazapine may decrease the antihypertensive activities of Perindopril.]
[C02DB02, hydralazine, Mirtazapine may decrease the antihypertensive activities of Hydralazine.]
[C03AA03, hydrochlorothiazide, The risk or severity of QTc prolongation can be increased when Mirtazapine is combined with Hydrochlorothiazide.]
[R05DA03, hydrocodone, Hydrocodone may increase the serotonergic activities of Mirtazapine.]
[C03AA02, hydroflumethiazide, Mirtazapine may decrease the antihypertensive activities of Hydroflumethiazide.]
[G04BD06, propiverine, Mirtazapine may increase the central nervous system depressant (CNS depressant) activities of Propiverine.]
[P01BA02, hydroxychloroquine, The risk or severity of QTc prolongation can be increased when Mirtazapine is combined with Hydroxychloroquine.]
[N05AX07, prothipendyl, Prothipendyl may increase the central nervous system depressant (CNS depressant) activities of Mirtazapine.]
[N05BB01, hydroxyzine, The risk or severity of QTc prolongation can be increased when Mirtazapine is combined with Hydroxyzine.]
[C02AC06, rilmenidine, Mirtazapine may decrease the antihypertensive activities of Rilmenidine.]
[R02AX02, ibuprofen, The risk or severity of hypertension can be increased when Mirtazapine is combined with Ibuprofen.]
[L01DB06, idarubicin, The metabolism of Idarubicin can be decreased when combined with Mirtazapine.]
[L01AA06, ifosfamide, The metabolism of Ifosfamide can be decreased when combined with Mirtazapine.]
[H01AC02, somatrem, The metabolism of Mirtazapine can be increased when combined with Somatrem.]
[N01AH03, sufentanil, Sufentanil may increase the serotonergic activities of Mirtazapine.]
[N06AA02, imipramine, Imipramine may increase the serotonergic activities of Mirtazapine.]
[L01CD01, paclitaxel, The metabolism of Paclitaxel can be decreased when combined with Mirtazapine.]
[H01BA04, terlipressin, The risk or severity of QTc prolongation can be increased when Mirtazapine is combined with Terlipressin.]
[M03BX02, tizanidine, Tizanidine may increase the central nervous system depressant (CNS depressant) activities of Mirtazapine.]
[C03BA11, indapamide, The risk or severity of QTc prolongation can be increased when Mirtazapine is combined with Indapamide.]
[S01BC01, indomethacin, The risk or severity of hypertension can be increased when Indomethacin is combined with Mirtazapine.]
[C02CA02, indoramin, Mirtazapine may decrease the antihypertensive activities of Indoramin.]
[L03AB04, interferon alfa-2a, The metabolism of Mirtazapine can be decreased when combined with Interferon alfa-2a.]
[L03AB05, interferon alfa-2b, The metabolism of Mirtazapine can be decreased when combined with Interferon alfa-2b.]
[N06AX17, milnacipran, Milnacipran may increase the serotonergic activities of Mirtazapine.]
[A03AA30, piperidolate, Mirtazapine may increase the central nervous system depressant (CNS depressant) activities of Piperidolate.]
[N01BB08, articaine, Articaine may increase the central nervous system depressant (CNS depressant) activities of Mirtazapine.]
[N05BA12, alprazolam, The metabolism of Alprazolam can be decreased when combined with Mirtazapine.]
[N05CH02, ramelteon, Ramelteon may increase the central nervous system depressant (CNS depressant) activities of Mirtazapine.]
[R06AE01, buclizine, Mirtazapine may increase the central nervous system depressant (CNS depressant) activities of Buclizine.]
[C10AA06, cerivastatin, The metabolism of Mirtazapine can be decreased when combined with Cerivastatin.]
[L01XX35, anagrelide, The risk or severity of QTc prolongation can be increased when Mirtazapine is combined with Anagrelide.]
[C07AA01, alprenolol, Alprenolol may increase the central nervous system depressant (CNS depressant) activities of Mirtazapine.]
[L03AB09, interferon alfacon-1, The metabolism of Mirtazapine can be decreased when combined with Interferon alfacon-1.]
[V03AB01, ipecac, The metabolism of Ipecac can be decreased when combined with Mirtazapine.]
[N06AA13, iprindole, Iprindole may increase the serotonergic activities of Mirtazapine.]
[N06AF05, iproniazid, Iproniazid may increase the serotonergic activities of Mirtazapine.]
[J05AB13, penciclovir, The metabolism of Mirtazapine can be decreased when combined with Penciclovir.]
[N05AA07, chlorproethazine, Chlorproethazine may increase the central nervous system depressant (CNS depressant) activities of Mirtazapine.]
[N06AF01, isocarboxazid, Isocarboxazid may increase the serotonergic activities of Mirtazapine.]
[R03CC06, isoetharine, The risk or severity of hypertension can be increased when Isoetharine is combined with Mirtazapine.]
[C09AA16, imidapril, Mirtazapine may decrease the antihypertensive activities of Imidapril.]
[N01AB06, isoflurane, Isoflurane may increase the central nervous system depressant (CNS depressant) activities of Mirtazapine.]
[N04BX02, entacapone, Entacapone may increase the central nervous system depressant (CNS depressant) activities of Mirtazapine.]
[J04AC01, isoniazid, Isoniazid may increase the serotonergic activities of Mirtazapine.]
[R03CB01, isoproterenol, The risk or severity of hypertension can be increased when Mirtazapine is combined with Isoprenaline.]
[C04AA01, isoxsuprine, The risk or severity of hypertension can be increased when Mirtazapine is combined with Isoxsuprine.]
[N06AX18, reboxetine, Reboxetine may increase the central nervous system depressant (CNS depressant) activities of Mirtazapine.]
[H01AC01, somatropin, The metabolism of Mirtazapine can be increased when combined with Somatotropin.]
[L04AC07, tocilizumab, The metabolism of Mirtazapine can be increased when combined with Tocilizumab.]
[N01AX03, ketamine, Ketamine may increase the central nervous system depressant (CNS depressant) activities of Mirtazapine.]
[C02KD01, ketanserin, Ketanserin may increase the serotonergic activities of Mirtazapine.]
[J02AB02, ketoconazole, The metabolism of Mirtazapine can be decreased when combined with Ketoconazole.]
[H02CA04, levoketoconazole, The metabolism of Mirtazapine can be decreased when combined with Levoketoconazole.]
[N05AH03, olanzapine, Olanzapine may increase the serotonergic activities of Mirtazapine.]
[M02AA10, ketoprofen, The risk or severity of hypertension can be increased when Mirtazapine is combined with Ketoprofen.]
