[S02DA03, antipyrine, The metabolism of Antipyrine can be decreased when combined with Salmeterol.]
[C04AE01, ergoloid mesylates, USP, Ergoloid mesylate may increase the hypertensive and vasoconstricting activities of Salmeterol.]
[N02CA02, ergotamine, The metabolism of Salmeterol can be decreased when combined with Ergotamine.]
[S01AA17, erythromycin, The serum concentration of Salmeterol can be increased when it is combined with Erythromycin.]
[G03CA03, estradiol, The metabolism of Estradiol can be decreased when combined with Salmeterol.]
[R03AC12, salmeterol, The risk or severity of hypokalemia can be increased when Fluticasone furoate is combined with Salmeterol.]
[C10AA04, fluvastatin, The metabolism of Fluvastatin can be decreased when combined with Salmeterol.]
[C01CA15, gepefrine, The risk or severity of hypertension can be increased when Salmeterol is combined with Gepefrine.]
[L02AA03, ethinyl estradiol, The metabolism of Ethinylestradiol can be decreased when combined with Salmeterol.]
[C01BD05, ibutilide, The risk or severity of QTc prolongation can be increased when Salmeterol is combined with Ibutilide.]
[N04AA05, profenamine, The therapeutic efficacy of Salmeterol can be decreased when used in combination with Profenamine.]
[N03AD01, ethosuximide, The risk or severity of QTc prolongation can be increased when Ethosuximide is combined with Salmeterol.]
[M01AC06, meloxicam, The risk or severity of hypertension can be increased when Meloxicam is combined with Salmeterol.]
[C01CA01, etilefrine, The risk or severity of hypertension can be increased when Salmeterol is combined with Etilefrine.]
[N01AX07, etomidate, The risk or severity of hypertension can be increased when Etomidate is combined with Salmeterol.]
[L01CB01, etoposide, The metabolism of Etoposide can be decreased when combined with Salmeterol.]
[C01BA05, ajmaline, The risk or severity of QTc prolongation can be increased when Salmeterol is combined with Ajmaline.]
[L04AD02, tacrolimus, The metabolism of Tacrolimus can be decreased when combined with Salmeterol.]
[A02BA04, nizatidine, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Nizatidine is combined with Salmeterol.]
[J01MA08, fleroxacin, The risk or severity of QTc prolongation can be increased when Salmeterol is combined with Fleroxacin.]
[R06AX11, astemizole, The metabolism of Astemizole can be decreased when combined with Salmeterol.]
[R06AX12, terfenadine, The metabolism of Salmeterol can be decreased when combined with Terfenadine.]
[N06AB08, fluvoxamine, The metabolism of Salmeterol can be decreased when combined with Fluvoxamine.]
[C01BC08, encainide, The risk or severity of QTc prolongation can be increased when Salmeterol is combined with Encainide.]
[L02AE02, leuprolide, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Leuprolide is combined with Salmeterol.]
[C10AA03, pravastatin, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Pravastatin is combined with Salmeterol.]
[A02BA03, famotidine, The risk or severity of QTc prolongation can be increased when Famotidine is combined with Salmeterol.]
[C08CA02, felodipine, The risk or severity of QTc prolongation can be increased when Salmeterol is combined with Felodipine.]
[C08EA01, fendiline, The risk or severity of QTc prolongation can be increased when Salmeterol is combined with Fendiline.]
[M01AE04, fenoprofen, The risk or severity of hypertension can be increased when Fenoprofen is combined with Salmeterol.]
[R03CC04, fenoterol, The risk or severity of adverse effects can be increased when Salmeterol is combined with Fenoterol.]
[N02AB03, fentanyl, The risk or severity of hypertension can be increased when Fentanyl is combined with Salmeterol.]
[R03CC02, albuterol, The risk or severity of adverse effects can be increased when Salmeterol is combined with Salbutamol.]
[L01BB06, clofarabine, The serum concentration of Clofarabine can be increased when it is combined with Salmeterol.]
[L04AA40, cladribine, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Cladribine is combined with Salmeterol.]
[G04BD02, flavoxate, The risk or severity of Tachycardia can be increased when Salmeterol is combined with Flavoxate.]
[C01BC04, flecainide, The risk or severity of QTc prolongation can be increased when Salmeterol is combined with Flecainide.]
[N02BG04, floctafenine, The risk or severity of hypertension can be increased when Salmeterol is combined with Floctafenine.]
[J02AC01, fluconazole, The metabolism of Salmeterol can be decreased when combined with Fluconazole.]
[H02AA02, fludrocortisone, The risk or severity of hypokalemia can be increased when Fludrocortisone is combined with Salmeterol.]
[D07XB01, flumethasone, The risk or severity of hypokalemia can be increased when Flumethasone is combined with Salmeterol.]
[D07AC08, fluocinonide, The risk or severity of hypokalemia can be increased when Fluocinonide is combined with Salmeterol.]
[N06AA14, melitracen, The risk or severity of hypertension can be increased when Melitracen is combined with Salmeterol.]
[H02AB03, fluocortolone, The risk or severity of hypokalemia can be increased when Fluocortolone is combined with Salmeterol.]
[V03AZ01, ethanol, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Ethanol is combined with Salmeterol.]
[S01CB05, fluorometholone, The risk or severity of hypokalemia can be increased when Fluorometholone is combined with Salmeterol.]
[L01BC02, fluorouracil, The metabolism of Fluorouracil can be decreased when combined with Salmeterol.]
[N06AB03, fluoxetine, The risk or severity of QTc prolongation can be increased when Fluoxetine is combined with Salmeterol.]
[N05AF01, flupenthixol, The therapeutic efficacy of Salmeterol can be decreased when used in combination with Flupentixol.]
[S01BC04, flurbiprofen, The risk or severity of hypertension can be increased when Flurbiprofen is combined with Salmeterol.]
[N05AG01, fluspirilene, The risk or severity of QTc prolongation can be increased when Salmeterol is combined with Fluspirilene.]
[L02BB01, flutamide, The metabolism of Salmeterol can be decreased when combined with Flutamide.]
[L01BC03, tegafur, The metabolism of Tegafur can be decreased when combined with Salmeterol.]
[N06BX17, adrafinil, The risk or severity of hypertension can be increased when Salmeterol is combined with Adrafinil.]
[G01AX06, furazolidone, The risk or severity of hypertension can be increased when Furazolidone is combined with Salmeterol.]
[J05AE10, darunavir, Darunavir may increase the QTc-prolonging activities of Salmeterol.]
[C03CA01, furosemide, The risk or severity of hypokalemia can be increased when Salmeterol is combined with Furosemide.]
[N05CF04, eszopiclone, The metabolism of Eszopiclone can be decreased when combined with Salmeterol.]
[N05AL05, amisulpride, The risk or severity of QTc prolongation can be increased when Salmeterol is combined with Amisulpride.]
[N06DA04, galantamine, The risk or severity of QTc prolongation can be increased when Galantamine is combined with Salmeterol.]
[C08DA02, gallopamil, The risk or severity of QTc prolongation can be increased when Salmeterol is combined with Gallopamil.]
[S01AD09, ganciclovir, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Salmeterol is combined with Ganciclovir.]
[C10AB04, gemfibrozil, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Salmeterol is combined with Gemfibrozil.]
[J01XA03, telavancin, The risk or severity of QTc prolongation can be increased when Salmeterol is combined with Telavancin.]
[L02BX02, degarelix, The risk or severity of QTc prolongation can be increased when Salmeterol is combined with Degarelix.]
[L01EA02, dasatinib, The metabolism of Dasatinib can be decreased when combined with Salmeterol.]
[N04BC06, cabergoline, Cabergoline may increase the hypertensive and vasoconstricting activities of Salmeterol.]
[C01CA21, cafedrine, The risk or severity of hypokalemia can be increased when Cafedrine is combined with Salmeterol.]
[N03AD03, methsuximide, The risk or severity of QTc prolongation can be increased when Salmeterol is combined with Methsuximide.]
[N01AH02, alfentanil, The risk or severity of hypertension can be increased when Alfentanil is combined with Salmeterol.]
[L01EH01, lapatinib, The metabolism of Lapatinib can be decreased when combined with Salmeterol.]
[A10BB01, glyburide, The metabolism of Glyburide can be decreased when combined with Salmeterol.]
[N05CM18, dexmedetomidine, The risk or severity of hypertension can be increased when Dexmedetomidine is combined with Salmeterol.]
[C05AE01, nitroglycerin, Salmeterol may decrease the antihypertensive activities of Nitroglycerin.]
[C01BD04, dofetilide, The serum concentration of Dofetilide can be increased when it is combined with Salmeterol.]
[C02CA04, doxazosin, The therapeutic efficacy of Salmeterol can be decreased when used in combination with Doxazosin.]
[L01EX02, sorafenib, The metabolism of Sorafenib can be decreased when combined with Salmeterol.]
[C07AB09, esmolol, The therapeutic efficacy of Salmeterol can be decreased when used in combination with Esmolol.]
[C09AA09, fosinopril, Salmeterol may decrease the antihypertensive activities of Fosinopril.]
[S01EX01, guanethidine, Salmeterol may decrease the antihypertensive activities of Guanethidine.]
[L02AE03, goserelin, The risk or severity of QTc prolongation can be increased when Salmeterol is combined with Goserelin.]
[P01BX01, halofantrine, The metabolism of Halofantrine can be decreased when combined with Salmeterol.]
[N05AD01, haloperidol, The risk or severity of QTc prolongation can be increased when Salmeterol is combined with Haloperidol.]
[N01AB01, halothane, The risk or severity of hypertension can be increased when Salmeterol is combined with Halothane.]
[L02AE05, histrelin, The risk or severity of QTc prolongation can be increased when Salmeterol is combined with Histrelin.]
[N05AH04, quetiapine, The therapeutic efficacy of Salmeterol can be decreased when used in combination with Quetiapine.]
[L01CE02, irinotecan, The metabolism of Salmeterol can be decreased when combined with Irinotecan.]
[C09CA01, losartan, The risk or severity of QTc prolongation can be increased when Losartan is combined with Salmeterol.]
[A07EC02, mesalamine, The risk or severity of hypertension can be increased when Mesalazine is combined with Salmeterol.]
[R03CC05, hexoprenaline, The risk or severity of adverse effects can be increased when Salmeterol is combined with Hexoprenaline.]
[J05AG01, nevirapine, The risk or severity of adverse effects can be increased when Nevirapine is combined with Salmeterol.]
[C08CA10, nilvadipine, The metabolism of Salmeterol can be decreased when combined with Nilvadipine.]
[M02AA26, nimesulide, The risk or severity of hypertension can be increased when Salmeterol is combined with Nimesulide.]
[R06AE06, oxatomide, The risk or severity of QTc prolongation can be increased when Salmeterol is combined with Oxatomide.]
[C09AA04, perindopril, Salmeterol may decrease the antihypertensive activities of Perindopril.]
[C02DB02, hydralazine, Salmeterol may decrease the antihypertensive activities of Hydralazine.]
[C03AA03, hydrochlorothiazide, The risk or severity of hypokalemia can be increased when Salmeterol is combined with Hydrochlorothiazide.]
[S02BA01, hydrocortisone, The risk or severity of hypokalemia can be increased when Hydrocortisone is combined with Salmeterol.]
[C03AA02, hydroflumethiazide, The risk or severity of hypokalemia can be increased when Salmeterol is combined with Hydroflumethiazide.]
[G04BD06, propiverine, The therapeutic efficacy of Salmeterol can be decreased when used in combination with Propiverine.]
[P01BA02, hydroxychloroquine, The metabolism of Hydroxychloroquine can be decreased when combined with Salmeterol.]
[N05BB01, hydroxyzine, The risk or severity of QTc prolongation can be increased when Salmeterol is combined with Hydroxyzine.]
[C02AC06, rilmenidine, Salmeterol may decrease the antihypertensive activities of Rilmenidine.]
[M05BA07, risedronic acid, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Risedronic acid is combined with Salmeterol.]
[R02AX02, ibuprofen, The metabolism of Ibuprofen can be decreased when combined with Salmeterol.]
[L01AA06, ifosfamide, The metabolism of Ifosfamide can be decreased when combined with Salmeterol.]
[N01AH03, sufentanil, The risk or severity of hypertension can be increased when Sufentanil is combined with Salmeterol.]
[N06AA02, imipramine, The therapeutic efficacy of Salmeterol can be decreased when used in combination with Imipramine.]
[L01CD01, paclitaxel, The metabolism of Paclitaxel can be decreased when combined with Salmeterol.]
[H01BA04, terlipressin, The risk or severity of QTc prolongation can be increased when Salmeterol is combined with Terlipressin.]
[R01AD07, tixocortol, The risk or severity of hypokalemia can be increased when Tixocortol is combined with Salmeterol.]
[M03BX02, tizanidine, The risk or severity of QTc prolongation can be increased when Tizanidine is combined with Salmeterol.]
[C03BA11, indapamide, The risk or severity of QTc prolongation can be increased when Indapamide is combined with Salmeterol.]
[S01BC01, indomethacin, The risk or severity of hypertension can be increased when Indomethacin is combined with Salmeterol.]
[C02CA02, indoramin, The therapeutic efficacy of Salmeterol can be decreased when used in combination with Indoramin.]
[N06AX17, milnacipran, Milnacipran may increase the tachycardic activities of Salmeterol.]
[A03AA30, piperidolate, The risk or severity of Tachycardia can be increased when Salmeterol is combined with Piperidolate.]
[S01XA28, varenicline, The excretion of Varenicline can be decreased when combined with Salmeterol.]
[A10BH01, sitagliptin, The metabolism of Sitagliptin can be decreased when combined with Salmeterol.]
[N05BA12, alprazolam, The metabolism of Salmeterol can be decreased when combined with Alprazolam.]
[R06AE01, buclizine, The risk or severity of QTc prolongation can be increased when Buclizine is combined with Salmeterol.]
[G02CX01, atosiban, The risk or severity of adverse effects can be increased when Salmeterol is combined with Atosiban.]
[C10AA06, cerivastatin, The metabolism of Cerivastatin can be decreased when combined with Salmeterol.]
[L01XX35, anagrelide, The risk or severity of QTc prolongation can be increased when Salmeterol is combined with Anagrelide.]
[C07AA01, alprenolol, Alprenolol may decrease the bronchodilatory activities of Salmeterol.]
[C03BA02, quinethazone, Salmeterol may increase the hypokalemic activities of Quinethazone.]
[V03AB01, ipecac, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Salmeterol is combined with Ipecac.]
[J05AF04, stavudine, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Stavudine is combined with Salmeterol.]
[N06AA13, iprindole, The risk or severity of hypertension can be increased when Iprindole is combined with Salmeterol.]
[N06AF05, iproniazid, The risk or severity of hypertension can be increased when Salmeterol is combined with Iproniazid.]
[N06AF01, isocarboxazid, The risk or severity of hypertension can be increased when Salmeterol is combined with Isocarboxazid.]
[R03CC06, isoetharine, The risk or severity of adverse effects can be increased when Isoetharine is combined with Salmeterol.]
[C09AA16, imidapril, Salmeterol may decrease the antihypertensive activities of Imidapril.]
[N01AB06, isoflurane, The risk or severity of QTc prolongation can be increased when Isoflurane is combined with Salmeterol.]
[J04AC01, isoniazid, The metabolism of Salmeterol can be decreased when combined with Isoniazid.]
[R03CB01, isoproterenol, The risk or severity of adverse effects can be increased when Salmeterol is combined with Isoprenaline.]
[D10BA01, isotretinoin, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Salmeterol is combined with Isotretinoin.]
[C04AA01, isoxsuprine, The risk or severity of hypertension can be increased when Salmeterol is combined with Isoxsuprine.]
[P02CF01, ivermectin, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Ivermectin is combined with Salmeterol.]
[H01AC01, somatropin, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Somatotropin is combined with Salmeterol.]
[L04AC07, tocilizumab, The metabolism of Salmeterol can be increased when combined with Tocilizumab.]
[N01AX03, ketamine, The metabolism of Ketamine can be decreased when combined with Salmeterol.]
[C02KD01, ketanserin, Salmeterol may decrease the antihypertensive activities of Ketanserin.]
[J02AB02, ketoconazole, The metabolism of Salmeterol can be decreased when combined with Ketoconazole.]
[N05AH03, olanzapine, The therapeutic efficacy of Salmeterol can be decreased when used in combination with Olanzapine.]
[M02AA10, ketoprofen, The risk or severity of hypertension can be increased when Salmeterol is combined with Ketoprofen.]
[L04AA24, abatacept, The metabolism of Salmeterol can be increased when combined with Abatacept.]
[R06AX25, mizolastine, The risk or severity of QTc prolongation can be increased when Salmeterol is combined with Mizolastine.]
[C01CA22, arbutamine, The risk or severity of adverse effects can be increased when Salmeterol is combined with Arbutamine.]
[N04BC09, rotigotine, The risk or severity of hypertension can be increased when Salmeterol is combined with Rotigotine.]
[J01MB02, nalidixic acid, The risk or severity of QTc prolongation can be increased when Salmeterol is combined with Nalidixic acid.]
[M01AE11, tiaprofenic acid, The risk or severity of hypertension can be increased when Salmeterol is combined with Tiaprofenic acid.]
[C07AG01, labetalol, The therapeutic efficacy of Salmeterol can be decreased when used in combination with Labetalol.]
[N04BB01, amantadine, The serum concentration of Amantadine can be increased when it is combined with Salmeterol.]
[C02AA05, deserpidine, Salmeterol may decrease the antihypertensive activities of Deserpidine.]
[C03CC01, ethacrynic acid, The risk or severity of hypokalemia can be increased when Salmeterol is combined with Etacrynic acid.]
[G03AD01, levonorgestrel, The metabolism of Salmeterol can be decreased when combined with Levonorgestrel.]
[S02DA01, lidocaine, The metabolism of Salmeterol can be decreased when combined with Lidocaine.]
[C08EX01, lidoflazine, The risk or severity of QTc prolongation can be increased when Salmeterol is combined with Lidoflazine.]
[N06BA13, armodafinil, The metabolism of Salmeterol can be increased when combined with Armodafinil.]
[N02CA07, lisuride, Lisuride may increase the hypertensive and vasoconstricting activities of Salmeterol.]
[N06AA07, lofepramine, The risk or severity of hypertension can be increased when Lofepramine is combined with Salmeterol.]
[A07DA03, loperamide, The metabolism of Loperamide can be decreased when combined with Salmeterol.]
[C10AA02, lovastatin, The metabolism of Lovastatin can be decreased when combined with Salmeterol.]
[N05AH01, loxapine, The therapeutic efficacy of Salmeterol can be decreased when used in combination with Loxapine.]
[L01EG01, temsirolimus, The metabolism of Temsirolimus can be decreased when combined with Salmeterol.]
[L01EA03, nilotinib, The metabolism of Salmeterol can be decreased when combined with Nilotinib.]
[N06AA21, maprotiline, The risk or severity of QTc prolongation can be increased when Maprotiline is combined with Salmeterol.]
[C02BB01, mecamylamine, Salmeterol may decrease the antihypertensive activities of Mecamylamine.]
[M02AA18, meclofenamic acid, The risk or severity of hypertension can be increased when Salmeterol is combined with Meclofenamic acid.]
[P01BC02, mefloquine, The risk or severity of QTc prolongation can be increased when Mefloquine is combined with Salmeterol.]
[N06DX01, memantine, The serum concentration of Memantine can be increased when it is combined with Salmeterol.]
[C01CA11, mephentermine, The risk or severity of hypertension can be increased when Salmeterol is combined with Mephentermine.]
[N03AB04, mephenytoin, The metabolism of Mephenytoin can be decreased when combined with Salmeterol.]
[N05AC03, mesoridazine, The risk or severity of QTc prolongation can be increased when Salmeterol is combined with Mesoridazine.]
[N05AX13, paliperidone, The therapeutic efficacy of Salmeterol can be decreased when used in combination with Paliperidone.]
[C01CA09, metaraminol, The risk or severity of hypertension can be increased when Metaraminol is combined with Salmeterol.]
[A10BA02, metformin, The serum concentration of Metformin can be increased when it is combined with Salmeterol.]
[A04AA04, dolasetron, The risk or severity of QTc prolongation can be increased when Salmeterol is combined with Dolasetron.]
[N07BC02, methadone, The risk or severity of QTc prolongation can be increased when Salmeterol is combined with Methadone.]
[N06BA03, methamphetamine, The risk or severity of hypertension can be increased when Salmeterol is combined with Metamfetamine.]
[A03AB07, methantheline, The risk or severity of Tachycardia can be increased when Salmeterol is combined with Methantheline.]
[J05AF05, lamivudine, The serum concentration of Lamivudine can be increased when it is combined with Salmeterol.]
[G02CB05, metergoline, Metergoline may increase the hypertensive and vasoconstricting activities of Salmeterol.]
[H03BB02, methimazole, The metabolism of Salmeterol can be decreased when combined with Methimazole.]
[L04AX03, methotrexate, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Methotrexate is combined with Salmeterol.]
[N05AA02, methotrimeprazine, The therapeutic efficacy of Salmeterol can be decreased when used in combination with Methotrimeprazine.]
[C01CA10, methoxamine, The risk or severity of hypertension can be increased when Methoxamine is combined with Salmeterol.]
[N02BG09, methoxyflurane, The risk or severity of hypertension can be increased when Salmeterol is combined with Methoxyflurane.]
[C03AA08, methyclothiazide, The risk or severity of hypokalemia can be increased when Salmeterol is combined with Methyclothiazide.]
[C02AB01, methyldopa, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Salmeterol is combined with Methyldopa.]
[V04CG05, methylene blue, The metabolism of Salmeterol can be decreased when combined with Methylene blue.]
[G02AB01, methylergonovine, Methylergometrine may increase the hypertensive and vasoconstricting activities of Salmeterol.]
[R03DA05, aminophylline, The risk or severity of hypokalemia can be increased when Aminophylline is combined with Salmeterol.]
[N06BA04, methylphenidate, The risk or severity of hypertension can be increased when Methylphenidate is combined with Salmeterol.]
[H02AB04, methylprednisolone, The risk or severity of hypokalemia can be increased when Methylprednisolone is combined with Salmeterol.]
[D07AC14, methylprednisolone aceponate, The risk or severity of hypokalemia can be increased when Methylprednisolone aceponate is combined with Salmeterol.]
[N02CA04, methysergide, Methysergide may increase the hypertensive and vasoconstricting activities of Salmeterol.]
[A03FA01, metoclopramide, The risk or severity of QTc prolongation can be increased when Salmeterol is combined with Metoclopramide.]
[C03BA08, metolazone, Salmeterol may decrease the antihypertensive activities of Metolazone.]
[C07AB02, metoprolol, The therapeutic efficacy of Salmeterol can be decreased when used in combination with Metoprolol.]
[P01AB01, metronidazole, The risk or severity of QTc prolongation can be increased when Metronidazole is combined with Salmeterol.]
[N06AX03, mianserin, The risk or severity of hypertension can be increased when Salmeterol is combined with Mianserin.]
[S02AA13, miconazole, The metabolism of Salmeterol can be decreased when combined with Miconazole.]
[N02BB03, aminopyrine, The metabolism of Aminophenazone can be decreased when combined with Salmeterol.]
[N05CD08, midazolam, The metabolism of Salmeterol can be decreased when combined with Midazolam.]
[C01CA17, midodrine, The risk or severity of hypertension can be increased when Midodrine is combined with Salmeterol.]
[G03XB01, mifepristone, The risk or severity of QTc prolongation can be increased when Salmeterol is combined with Mifepristone.]
[C09CA03, valsartan, Salmeterol may decrease the antihypertensive activities of Valsartan.]
[J01AA08, minocycline, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Salmeterol is combined with Minocycline.]
[D11AX01, minoxidil, Salmeterol may decrease the antihypertensive activities of Minoxidil.]
[L01XX23, mitotane, The metabolism of Salmeterol can be increased when combined with Mitotane.]
[N06BA12, lisdexamfetamine, The risk or severity of hypertension can be increased when Salmeterol is combined with Lisdexamfetamine.]
[C01BD01, amiodarone, The metabolism of Salmeterol can be decreased when combined with Amiodarone.]
[N06AA09, amitriptyline, The metabolism of Amitriptyline can be decreased when combined with Salmeterol.]
[N02AA01, morphine, The metabolism of Morphine can be decreased when combined with Salmeterol.]
[L04AB05, certolizumab pegol, The metabolism of Salmeterol can be increased when combined with Certolizumab pegol.]
[B02BX05, eltrombopag, The metabolism of Eltrombopag can be decreased when combined with Salmeterol.]
[L01EX03, pazopanib, The metabolism of Pazopanib can be decreased when combined with Salmeterol.]
[J05AJ01, raltegravir, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Salmeterol is combined with Raltegravir.]
[P01BA06, amodiaquine, The metabolism of Amodiaquine can be decreased when combined with Salmeterol.]
[G04CA04, silodosin, The therapeutic efficacy of Salmeterol can be decreased when used in combination with Silodosin.]
[N06AA17, amoxapine, The therapeutic efficacy of Salmeterol can be decreased when used in combination with Amoxapine.]
[N03AB05, fosphenytoin, The metabolism of Fosphenytoin can be decreased when combined with Salmeterol.]
[C07AA12, nadolol, Nadolol may decrease the bronchodilatory activities of Salmeterol.]
[V03AB15, naloxone, The metabolism of Salmeterol can be decreased when combined with Naloxone.]
[N07BB04, naltrexone, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Naltrexone is combined with Salmeterol.]
[L04AC03, anakinra, The metabolism of Salmeterol can be increased when combined with Anakinra.]
[S01GA01, naphazoline, The risk or severity of hypertension can be increased when Salmeterol is combined with Naphazoline.]
[N06BA01, amphetamine, The risk or severity of hypertension can be increased when Amphetamine is combined with Salmeterol.]
[M02AA12, naproxen, The metabolism of Naproxen can be decreased when combined with Salmeterol.]
[A10BG01, troglitazone, The metabolism of Troglitazone can be decreased when combined with Salmeterol.]
[N06AX21, duloxetine, Duloxetine may increase the tachycardic activities of Salmeterol.]
[L01CD02, docetaxel, The metabolism of Docetaxel can be decreased when combined with Salmeterol.]
[L02BG04, letrozole, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Salmeterol is combined with Letrozole.]
[N01AH06, remifentanil, The risk or severity of hypertension can be increased when Remifentanil is combined with Salmeterol.]
[A10BX02, repaglinide, The metabolism of Repaglinide can be decreased when combined with Salmeterol.]
[C01CX08, levosimendan, The risk or severity of QTc prolongation can be increased when Salmeterol is combined with Levosimendan.]
[N05AX14, iloperidone, The therapeutic efficacy of Salmeterol can be decreased when used in combination with Iloperidone.]
[J02AA01, amphotericin B, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Amphotericin B is combined with Salmeterol.]
[N06AX23, desvenlafaxine, Desvenlafaxine may increase the tachycardic activities of Salmeterol.]
[C09CA07, telmisartan, Salmeterol may decrease the antihypertensive activities of Telmisartan.]
[C10AD02, niacin, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Niacin is combined with Salmeterol.]
[N06AF02, nialamide, The risk or severity of hypertension can be increased when Salmeterol is combined with Nialamide.]
[C08CA04, nicardipine, The metabolism of Nicardipine can be decreased when combined with Salmeterol.]
[C04AE02, nicergoline, Nicergoline may increase the hypertensive and vasoconstricting activities of Salmeterol.]
[N07BA01, nicotine, The risk or severity of adverse effects can be increased when Nicotine is combined with Salmeterol.]
[C08CA05, nifedipine, The risk or severity of QTc prolongation can be increased when Salmeterol is combined with Nifedipine.]
[M02AA17, niflumic acid, The risk or severity of hypertension can be increased when Salmeterol is combined with Niflumic acid.]
[C08CA06, nimodipine, Salmeterol may decrease the antihypertensive activities of Nimodipine.]
[C08CA07, nisoldipine, Salmeterol may decrease the antihypertensive activities of Nisoldipine.]
[C08CA08, nitrendipine, The risk or severity of QTc prolongation can be increased when Salmeterol is combined with Nitrendipine.]
[N05CF03, zaleplon, The metabolism of Zaleplon can be decreased when combined with Salmeterol.]
[N04BC05, pramipexole, The serum concentration of Pramipexole can be increased when it is combined with Salmeterol.]
[C02DD01, nitroprusside, Salmeterol may decrease the antihypertensive activities of Nitroprusside.]
[N01AX13, nitrous oxide, The risk or severity of hypertension can be increased when Salmeterol is combined with Nitrous oxide.]
[C01CA03, norepinephrine, The risk or severity of adverse effects can be increased when Norepinephrine is combined with Salmeterol.]
[G03DC02, norethindrone, The metabolism of Salmeterol can be decreased when combined with Norethisterone.]
[S01AE02, norfloxacin, The risk or severity of QTc prolongation can be increased when Salmeterol is combined with Norfloxacin.]
[C02KX01, bosentan, Salmeterol may decrease the antihypertensive activities of Bosentan.]
[N06AA10, nortriptyline, The therapeutic efficacy of Salmeterol can be decreased when used in combination with Nortriptyline.]
[G02CA02, nylidrin, The risk or severity of hypertension can be increased when Salmeterol is combined with Nylidrin.]
[H01CB02, octreotide, The risk or severity of QTc prolongation can be increased when Octreotide is combined with Salmeterol.]
[S02AA16, ofloxacin, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Salmeterol is combined with Ofloxacin.]
[L04AC04, rilonacept, The metabolism of Salmeterol can be increased when combined with Rilonacept.]
[A02BC01, omeprazole, The metabolism of Omeprazole can be decreased when combined with Salmeterol.]
[N06AA05, opipramol, The risk or severity of hypertension can be increased when Opipramol is combined with Salmeterol.]
[R03CB03, metaproterenol, The risk or severity of adverse effects can be increased when Orciprenaline is combined with Salmeterol.]
[G04CA02, tamsulosin, The therapeutic efficacy of Salmeterol can be decreased when used in combination with Tamsulosin.]
[J01MB05, oxolinic acid, The risk or severity of QTc prolongation can be increased when Salmeterol is combined with Oxolinic acid.]
[C07AA02, oxprenolol, Oxprenolol may decrease the bronchodilatory activities of Salmeterol.]
[N02AA05, oxycodone, The metabolism of Salmeterol can be decreased when combined with Oxycodone.]
[C01DX03, oxyfedrine, The risk or severity of hypertension can be increased when Salmeterol is combined with Oxyfedrine.]
[S01GA04, oxymetazoline, The risk or severity of hypertension can be increased when Oxymetazoline is combined with Salmeterol.]
[S01BC02, oxyphenbutazone, The risk or severity of hypertension can be increased when Salmeterol is combined with Oxyphenbutazone.]
[A03AB03, oxyphenonium, The risk or severity of Tachycardia can be increased when Oxyphenonium is combined with Salmeterol.]
[H01BB02, oxytocin, The risk or severity of QTc prolongation can be increased when Oxytocin is combined with Salmeterol.]
[N05AH05, asenapine, The therapeutic efficacy of Salmeterol can be decreased when used in combination with Asenapine.]
[M03AC01, pancuronium, The risk or severity of adverse effects can be increased when Salmeterol is combined with Pancuronium.]
[G04BE02, papaverine, The risk or severity of QTc prolongation can be increased when Salmeterol is combined with Papaverine.]
[H02AB05, paramethasone, The risk or severity of hypokalemia can be increased when Paramethasone is combined with Salmeterol.]
[C02KC01, pargyline, Salmeterol may decrease the antihypertensive activities of Pargyline.]
[J01MA03, pefloxacin, The risk or severity of QTc prolongation can be increased when Pefloxacin is combined with Salmeterol.]
[G04BD11, fesoterodine, The risk or severity of Tachycardia can be increased when Salmeterol is combined with Fesoterodine.]
[C07AA23, penbutolol, Penbutolol may decrease the bronchodilatory activities of Salmeterol.]
[N05AG03, penfluridol, The risk or severity of QTc prolongation can be increased when Salmeterol is combined with Penfluridol.]
