[S02DA03, antipyrine, The metabolism of Antipyrine can be decreased when combined with Dacarbazine.]
[J01MA05, temafloxacin, The metabolism of Dacarbazine can be decreased when combined with Temafloxacin.]
[L01AX03, temozolomide, The risk or severity of adverse effects can be increased when Dacarbazine is combined with Temozolomide.]
[M01AC02, tenoxicam, Tenoxicam may decrease the excretion rate of Dacarbazine which could result in a higher serum level.]
[D01BA02, terbinafine, The metabolism of Terbinafine can be decreased when combined with Dacarbazine.]
[M01AG02, tolfenamic acid, Tolfenamic acid may decrease the excretion rate of Dacarbazine which could result in a higher serum level.]
[N06AG03, toloxatone, Dacarbazine may decrease the excretion rate of Toloxatone which could result in a higher serum level.]
[N06BA09, atomoxetine, Atomoxetine may decrease the excretion rate of Dacarbazine which could result in a higher serum level.]
[N03AX11, topiramate, Topiramate may decrease the excretion rate of Dacarbazine which could result in a higher serum level.]
[C03CA04, torsemide, Torasemide may increase the excretion rate of Dacarbazine which could result in a lower serum level and potentially a reduction in efficacy.]
[B01AC18, triflusal, The risk or severity of bleeding can be increased when Triflusal is combined with Dacarbazine.]
[H02CA01, trilostane, The risk or severity of adverse effects can be increased when Dacarbazine is combined with Trilostane.]
[L01AA07, trofosfamide, The risk or severity of adverse effects can be increased when Dacarbazine is combined with Trofosfamide.]
[C05CA04, troxerutin, The risk or severity of bleeding can be increased when Troxerutin is combined with Dacarbazine.]
[J01MA04, enoxacin, The metabolism of Dacarbazine can be decreased when combined with Enoxacin.]
[L01CA04, vinorelbine, The risk or severity of adverse effects can be increased when Vinorelbine is combined with Dacarbazine.]
[N06AX16, venlafaxine, Venlafaxine may decrease the excretion rate of Dacarbazine which could result in a higher serum level.]
[L01DB03, epirubicin, The risk or severity of adverse effects can be increased when Epirubicin is combined with Dacarbazine.]
[N05CF02, zolpidem, The metabolism of Dacarbazine can be decreased when combined with Zolpidem.]
[M01AB04, zomepirac, Zomepirac may decrease the excretion rate of Dacarbazine which could result in a higher serum level.]
[N03AX15, zonisamide, Zonisamide may increase the excretion rate of Dacarbazine which could result in a lower serum level and potentially a reduction in efficacy.]
[N05AX11, zotepine, The metabolism of Zotepine can be decreased when combined with Dacarbazine.]
[B01AD03, anistreplase, The risk or severity of bleeding can be increased when Anistreplase is combined with Dacarbazine.]
[L01XA02, carboplatin, The risk or severity of adverse effects can be increased when Dacarbazine is combined with Carboplatin.]
[C02AC02, guanfacine, Dacarbazine may decrease the excretion rate of Guanfacine which could result in a higher serum level.]
[B01AC11, iloprost, The risk or severity of bleeding can be increased when Iloprost is combined with Dacarbazine.]
[L03AX05, pidotimod, Dacarbazine may decrease the excretion rate of Pidotimod which could result in a higher serum level.]
[N05CD04, estazolam, Dacarbazine may decrease the excretion rate of Estazolam which could result in a higher serum level.]
[A02BC02, pantoprazole, Pantoprazole may decrease the excretion rate of Dacarbazine which could result in a higher serum level.]
[H05BX01, cinacalcet, The metabolism of Cinacalcet can be decreased when combined with Dacarbazine.]
[G03CA03, estradiol, The metabolism of Dacarbazine can be decreased when combined with Estradiol.]
[L01XX11, estramustine, The risk or severity of adverse effects can be increased when Dacarbazine is combined with Estramustine.]
[G03CA57, estrogens, conjugated (USP), The metabolism of Dacarbazine can be decreased when combined with Conjugated estrogens.]
[J04AK02, ethambutol, The metabolism of Dacarbazine can be decreased when combined with Ethambutol.]
[R03BA09, fluticasone furoate, The risk or severity of adverse effects can be increased when Dacarbazine is combined with Fluticasone furoate.]
[R03BA05, fluticasone, The risk or severity of adverse effects can be increased when Dacarbazine is combined with Fluticasone.]
[V08CA03, gadodiamide, Gadodiamide may decrease the excretion rate of Dacarbazine which could result in a higher serum level.]
[L02AA03, ethinyl estradiol, The metabolism of Ethinylestradiol can be decreased when combined with Dacarbazine.]
[C01BD05, ibutilide, Ibutilide may decrease the excretion rate of Dacarbazine which could result in a higher serum level.]
[N01BX01, ethyl chloride, The risk or severity of methemoglobinemia can be increased when Dacarbazine is combined with Ethyl chloride.]
[M01AC06, meloxicam, The risk or severity of methemoglobinemia can be increased when Dacarbazine is combined with Meloxicam.]
[N01BB07, etidocaine, The risk or severity of methemoglobinemia can be increased when Dacarbazine is combined with Etidocaine.]
[N01AX07, etomidate, Etomidate may decrease the excretion rate of Dacarbazine which could result in a higher serum level.]
[L01CB01, etoposide, The risk or severity of adverse effects can be increased when Etoposide is combined with Dacarbazine.]
[L04AD02, tacrolimus, Tacrolimus may increase the immunosuppressive activities of Dacarbazine.]
[P01AX07, trimetrexate, Dacarbazine may decrease the excretion rate of Trimetrexate which could result in a higher serum level.]
[N06AX12, bupropion, Dacarbazine may decrease the excretion rate of Bupropion which could result in a higher serum level.]
[N06AB08, fluvoxamine, The metabolism of Dacarbazine can be decreased when combined with Fluvoxamine.]
[C01BB03, tocainide, The metabolism of Dacarbazine can be decreased when combined with Tocainide.]
[L02AE02, leuprolide, Leuprolide may decrease the excretion rate of Dacarbazine which could result in a higher serum level.]
[L04AA02, muromonab-CD3, The risk or severity of adverse effects can be increased when Muromonab is combined with Dacarbazine.]
[M01CB01, gold sodium thiomalate, Dacarbazine may decrease the excretion rate of Sodium aurothiomalate which could result in a higher serum level.]
[B05AA05, dextran, Dacarbazine may decrease the excretion rate of Dextran which could result in a higher serum level.]
[V03AF02, dexrazoxane, The risk or severity of adverse effects can be increased when Dexrazoxane is combined with Dacarbazine.]
[A02BA03, famotidine, The metabolism of Dacarbazine can be decreased when combined with Famotidine.]
[A16AA01, levocarnitine, Levocarnitine may decrease the excretion rate of Dacarbazine which could result in a higher serum level.]
[P02CA03, albendazole, The metabolism of Dacarbazine can be increased when combined with Albendazole.]
[N03AX26, fenfluramine, The metabolism of Dacarbazine can be decreased when combined with Fenfluramine.]
[M01AE04, fenoprofen, Fenoprofen may decrease the excretion rate of Dacarbazine which could result in a higher serum level.]
[N02AB03, fentanyl, Fentanyl may decrease the excretion rate of Dacarbazine which could result in a higher serum level.]
[R03CC02, albuterol, Dacarbazine may decrease the excretion rate of Salbutamol which could result in a higher serum level.]
[B01AD05, plasmin, The risk or severity of bleeding can be increased when Fibrinolysin is combined with Dacarbazine.]
[L01BB06, clofarabine, The risk or severity of adverse effects can be increased when Clofarabine is combined with Dacarbazine.]
[L04AA40, cladribine, The risk or severity of adverse effects can be increased when Cladribine is combined with Dacarbazine.]
[N07AX03, cevimeline, Cevimeline may decrease the excretion rate of Dacarbazine which could result in a higher serum level.]
[G04BD02, flavoxate, Dacarbazine may decrease the excretion rate of Flavoxate which could result in a higher serum level.]
[C01BC04, flecainide, The metabolism of Flecainide can be decreased when combined with Dacarbazine.]
[N02BG04, floctafenine, Floctafenine may decrease the excretion rate of Dacarbazine which could result in a higher serum level.]
[J02AC01, fluconazole, Fluconazole may decrease the excretion rate of Dacarbazine which could result in a higher serum level.]
[J02AX01, flucytosine, The risk or severity of adverse effects can be increased when Dacarbazine is combined with Flucytosine.]
[H02AA02, fludrocortisone, The risk or severity of adverse effects can be increased when Fludrocortisone is combined with Dacarbazine.]
[V03AB25, flumazenil, Dacarbazine may decrease the excretion rate of Flumazenil which could result in a higher serum level.]
[N07CA03, flunarizine, The metabolism of Flunarizine can be decreased when combined with Dacarbazine.]
[D07AC08, fluocinonide, The risk or severity of adverse effects can be increased when Dacarbazine is combined with Fluocinonide.]
[H02AB03, fluocortolone, The risk or severity of adverse effects can be increased when Dacarbazine is combined with Fluocortolone.]
[V03AZ01, ethanol, The metabolism of Ethanol can be decreased when combined with Dacarbazine.]
[L01BC09, floxuridine, The risk or severity of adverse effects can be increased when Floxuridine is combined with Dacarbazine.]
[S01CB05, fluorometholone, The risk or severity of adverse effects can be increased when Fluorometholone is combined with Dacarbazine.]
[L01BC02, fluorouracil, The risk or severity of adverse effects can be increased when Fluorouracil is combined with Dacarbazine.]
[N06AB03, fluoxetine, The metabolism of Dacarbazine can be decreased when combined with Fluoxetine.]
[N05AF01, flupenthixol, The risk or severity of myelosuppression can be increased when Flupentixol is combined with Dacarbazine.]
[N05CD01, flurazepam, Flurazepam may decrease the excretion rate of Dacarbazine which could result in a higher serum level.]
[S01BC04, flurbiprofen, Flurbiprofen may decrease the excretion rate of Dacarbazine which could result in a higher serum level.]
[L02BB01, flutamide, The metabolism of Dacarbazine can be decreased when combined with Flutamide.]
[V04CX02, folic acid, Folic acid may decrease the excretion rate of Dacarbazine which could result in a higher serum level.]
[S02AA17, fosfomycin, Fosfomycin may decrease the excretion rate of Dacarbazine which could result in a higher serum level.]
[S01AA07, framycetin, Framycetin may decrease the excretion rate of Dacarbazine which could result in a higher serum level.]
[L01BC03, tegafur, The metabolism of Tegafur can be decreased when combined with Dacarbazine.]
[C03CA01, furosemide, Furosemide may increase the excretion rate of Dacarbazine which could result in a lower serum level and potentially a reduction in efficacy.]
[N05CF04, eszopiclone, Eszopiclone may decrease the excretion rate of Dacarbazine which could result in a higher serum level.]
[S01AD09, ganciclovir, Dacarbazine may decrease the excretion rate of Ganciclovir which could result in a higher serum level.]
[C10AB04, gemfibrozil, The metabolism of Dacarbazine can be decreased when combined with Gemfibrozil.]
[J01XA03, telavancin, Dacarbazine may decrease the excretion rate of Telavancin which could result in a higher serum level.]
[L01EA02, dasatinib, The risk or severity of adverse effects can be increased when Dacarbazine is combined with Dasatinib.]
[C01CA21, cafedrine, The metabolism of Cafedrine can be decreased when combined with Dacarbazine.]
[A10BB07, glipizide, Dacarbazine may decrease the excretion rate of Glipizide which could result in a higher serum level.]
[N05CM18, dexmedetomidine, The metabolism of Dacarbazine can be decreased when combined with Dexmedetomidine.]
[L01EX02, sorafenib, The serum concentration of 5-amino-imidazole-4-carboxamide (AIC), an active metabolite of Dacarbazine, can be increased when used in combination with Sorafenib.]
[M01CB04, aurothioglucose, Dacarbazine may decrease the excretion rate of Aurothioglucose which could result in a higher serum level.]
[S01LA03, pegaptanib, Dacarbazine may decrease the excretion rate of Pegaptanib which could result in a higher serum level.]
[B01AA12, fluindione, The risk or severity of bleeding can be increased when Fluindione is combined with Dacarbazine.]
[C09AA09, fosinopril, Fosinopril may decrease the excretion rate of Dacarbazine which could result in a higher serum level.]
[S01EX01, guanethidine, Dacarbazine may decrease the excretion rate of Guanethidine which could result in a higher serum level.]
[L02AE03, goserelin, Goserelin may decrease the excretion rate of Dacarbazine which could result in a higher serum level.]
[N05AD01, haloperidol, The metabolism of Dacarbazine can be decreased when combined with Haloperidol.]
[N05AH04, quetiapine, Dacarbazine may decrease the excretion rate of Quetiapine which could result in a higher serum level.]
[N06BX13, idebenone, Dacarbazine may decrease the excretion rate of Idebenone which could result in a higher serum level.]
[L01CE02, irinotecan, The risk or severity of adverse effects can be increased when Irinotecan is combined with Dacarbazine.]
[M04AA01, allopurinol, The risk or severity of adverse effects can be increased when Allopurinol is combined with Dacarbazine.]
[S01XA14, heparin, The risk or severity of bleeding can be increased when Heparin is combined with Dacarbazine.]
[G03DC01, allylestrenol, Dacarbazine may decrease the excretion rate of Allylestrenol which could result in a higher serum level.]
[A07EC02, mesalamine, Mesalazine may decrease the excretion rate of Dacarbazine which could result in a higher serum level.]
[C01CE02, milrinone, Milrinone may decrease the excretion rate of Dacarbazine which could result in a higher serum level.]
[L01XX03, altretamine, The risk or severity of adverse effects can be increased when Altretamine is combined with Dacarbazine.]
[J05AG01, nevirapine, The metabolism of Dacarbazine can be decreased when combined with Nevirapine.]
[M02AA26, nimesulide, The risk or severity of bleeding can be increased when Nimesulide is combined with Dacarbazine.]
[C09AA04, perindopril, Perindopril may decrease the excretion rate of Dacarbazine which could result in a higher serum level.]
[C02DB02, hydralazine, Dacarbazine may decrease the excretion rate of Hydralazine which could result in a higher serum level.]
[C03AA03, hydrochlorothiazide, Hydrochlorothiazide may increase the excretion rate of Dacarbazine which could result in a lower serum level and potentially a reduction in efficacy.]
[C03AA02, hydroflumethiazide, Hydroflumethiazide may increase the excretion rate of Dacarbazine which could result in a lower serum level and potentially a reduction in efficacy.]
[B05XA17, potassium acetate, Dacarbazine may decrease the excretion rate of Potassium acetate which could result in a higher serum level.]
[A12BA02, potassium citrate, Potassium citrate may increase the excretion rate of Dacarbazine which could result in a lower serum level and potentially a reduction in efficacy.]
[V03AB33, hydroxocobalamin, Hydroxocobalamin may decrease the excretion rate of Dacarbazine which could result in a higher serum level.]
[G04BD06, propiverine, Dacarbazine may decrease the excretion rate of Propiverine which could result in a higher serum level.]
[P01BA02, hydroxychloroquine, The risk or severity of adverse effects can be increased when Dacarbazine is combined with Hydroxychloroquine.]
[B05AA07, hetastarch, Dacarbazine may decrease the excretion rate of Hydroxyethyl Starch which could result in a higher serum level.]
[L01XX05, hydroxyurea, The risk or severity of adverse effects can be increased when Dacarbazine is combined with Hydroxyurea.]
[R02AX02, ibuprofen, Ibuprofen may decrease the excretion rate of Dacarbazine which could result in a higher serum level.]
[B05XA08, sodium acetate, Dacarbazine may decrease the excretion rate of Sodium acetate which could result in a higher serum level.]
[B05CB02, sodium citrate, The risk or severity of bleeding can be increased when Sodium citrate is combined with Dacarbazine.]
[L01DB06, idarubicin, The risk or severity of adverse effects can be increased when Dacarbazine is combined with Idarubicin.]
[L01AA06, ifosfamide, The risk or severity of adverse effects can be increased when Dacarbazine is combined with Ifosfamide.]
[H01AC02, somatrem, The metabolism of Dacarbazine can be increased when combined with Somatrem.]
[N06AA02, imipramine, The metabolism of Dacarbazine can be decreased when combined with Imipramine.]
[L01CD01, paclitaxel, The risk or severity of adverse effects can be increased when Dacarbazine is combined with Paclitaxel.]
[R01AD07, tixocortol, The risk or severity of adverse effects can be increased when Dacarbazine is combined with Tixocortol.]
[M03BX02, tizanidine, The metabolism of Dacarbazine can be decreased when combined with Tizanidine.]
[L01CE01, topotecan, The risk or severity of adverse effects can be increased when Dacarbazine is combined with Topotecan.]
[C03BA11, indapamide, Indapamide may increase the excretion rate of Dacarbazine which could result in a lower serum level and potentially a reduction in efficacy.]
[S01BC01, indomethacin, The risk or severity of adverse effects can be increased when Indomethacin is combined with Dacarbazine.]
[A11HA07, inositol, Dacarbazine may decrease the excretion rate of Inositol which could result in a higher serum level.]
[L03AB04, interferon alfa-2a, The risk or severity of adverse effects can be increased when Interferon alfa-2a is combined with Dacarbazine.]
[L03AB05, interferon alfa-2b, The risk or severity of adverse effects can be increased when Interferon alfa-2b is combined with Dacarbazine.]
[N06AX17, milnacipran, Dacarbazine may decrease the excretion rate of Milnacipran which could result in a higher serum level.]
[S01XA28, varenicline, Dacarbazine may decrease the excretion rate of Varenicline which could result in a higher serum level.]
[L04AA25, eculizumab, The risk or severity of adverse effects can be increased when Dacarbazine is combined with Eculizumab.]
[N01BB08, articaine, The risk or severity of methemoglobinemia can be increased when Dacarbazine is combined with Articaine.]
[A10BH01, sitagliptin, Dacarbazine may decrease the excretion rate of Sitagliptin which could result in a higher serum level.]
[N05BA12, alprazolam, Alprazolam may decrease the excretion rate of Dacarbazine which could result in a higher serum level.]
[N05CH02, ramelteon, The metabolism of Ramelteon can be decreased when combined with Dacarbazine.]
[L01XX35, anagrelide, The metabolism of Dacarbazine can be decreased when combined with Anagrelide.]
[C03BA02, quinethazone, Quinethazone may increase the excretion rate of Dacarbazine which could result in a lower serum level and potentially a reduction in efficacy.]
[L03AB09, interferon alfacon-1, The risk or severity of adverse effects can be increased when Interferon alfacon-1 is combined with Dacarbazine.]
[V03AB01, ipecac, Dacarbazine may decrease the excretion rate of Ipecac which could result in a higher serum level.]
[J05AB13, penciclovir, The metabolism of Dacarbazine can be decreased when combined with Penciclovir.]
[J04AC01, isoniazid, The metabolism of Dacarbazine can be decreased when combined with Isoniazid.]
[J05AX05, inosine pranobex, Dacarbazine may decrease the excretion rate of Inosine pranobex which could result in a higher serum level.]
[D10BA01, isotretinoin, Dacarbazine may decrease the excretion rate of Isotretinoin which could result in a higher serum level.]
[B01AE06, bivalirudin, The risk or severity of bleeding can be increased when Bivalirudin is combined with Dacarbazine.]
[S01AA24, kanamycin, Dacarbazine may decrease the excretion rate of Kanamycin which could result in a higher serum level.]
[H01AC01, somatropin, The metabolism of Dacarbazine can be increased when combined with Somatotropin.]
[L04AC07, tocilizumab, The metabolism of Dacarbazine can be increased when combined with Tocilizumab.]
[N01AX03, ketamine, Dacarbazine may decrease the excretion rate of Ketamine which could result in a higher serum level.]
[C02KD01, ketanserin, The risk or severity of bleeding can be increased when Ketanserin is combined with Dacarbazine.]
[B01AC22, prasugrel, The risk or severity of bleeding can be increased when Prasugrel is combined with Dacarbazine.]
[J02AB02, ketoconazole, The metabolism of Dacarbazine can be decreased when combined with Ketoconazole.]
[N05AH03, olanzapine, The metabolism of Dacarbazine can be decreased when combined with Olanzapine.]
[M02AA10, ketoprofen, Ketoprofen may decrease the excretion rate of Dacarbazine which could result in a higher serum level.]
[V03AC03, deferasirox, The serum concentration of Dacarbazine can be increased when it is combined with Deferasirox.]
[L04AA24, abatacept, The metabolism of Dacarbazine can be increased when combined with Abatacept.]
[J01MB02, nalidixic acid, The metabolism of Dacarbazine can be decreased when combined with Nalidixic acid.]
[M01AE11, tiaprofenic acid, Tiaprofenic acid may decrease the excretion rate of Dacarbazine which could result in a higher serum level.]
[C07AG01, labetalol, Labetalol may decrease the excretion rate of Dacarbazine which could result in a higher serum level.]
[N04BB01, amantadine, Dacarbazine may decrease the excretion rate of Amantadine which could result in a higher serum level.]
[A06AX03, lubiprostone, Dacarbazine may decrease the excretion rate of Lubiprostone which could result in a higher serum level.]
[C03CC01, ethacrynic acid, Etacrynic acid may increase the excretion rate of Dacarbazine which could result in a lower serum level and potentially a reduction in efficacy.]
[L01DC03, mitomycin, The risk or severity of adverse effects can be increased when Mitomycin is combined with Dacarbazine.]
[S02DA01, lidocaine, The risk or severity of methemoglobinemia can be increased when Dacarbazine is combined with Lidocaine.]
[S01AA21, amikacin, Dacarbazine may decrease the excretion rate of Amikacin which could result in a higher serum level.]
[N06BA13, armodafinil, The metabolism of Dacarbazine can be increased when combined with Armodafinil.]
[C03DB01, amiloride, Amiloride may increase the excretion rate of Dacarbazine which could result in a lower serum level and potentially a reduction in efficacy.]
[L01AD02, lomustine, The risk or severity of adverse effects can be increased when Dacarbazine is combined with Lomustine.]
[N05BA06, lorazepam, Lorazepam may decrease the excretion rate of Dacarbazine which could result in a higher serum level.]
[L01EG01, temsirolimus, The risk or severity of adverse effects can be increased when Dacarbazine is combined with Temsirolimus.]
[B05XA11, magnesium chloride, Dacarbazine may decrease the excretion rate of Magnesium chloride which could result in a higher serum level.]
[G04BX01, magnesium hydroxide, Dacarbazine may decrease the excretion rate of Magnesium hydroxide which could result in a higher serum level.]
[L01BA05, pralatrexate, The risk or severity of adverse effects can be increased when Dacarbazine is combined with Pralatrexate.]
[L01EA03, nilotinib, The risk or severity of adverse effects can be increased when Dacarbazine is combined with Nilotinib.]
[V04CX04, mannitol, Mannitol may increase the excretion rate of Dacarbazine which could result in a lower serum level and potentially a reduction in efficacy.]
[N06AA21, maprotiline, The metabolism of Maprotiline can be decreased when combined with Dacarbazine.]
[C02BB01, mecamylamine, Mecamylamine may decrease the excretion rate of Dacarbazine which could result in a higher serum level.]
[L01AA05, mechlorethamine, The risk or severity of adverse effects can be increased when Dacarbazine is combined with Mechlorethamine.]
[M02AA18, meclofenamic acid, Meclofenamic acid may decrease the excretion rate of Dacarbazine which could result in a higher serum level.]
[C03BA05, mefruside, Mefruside may increase the excretion rate of Dacarbazine which could result in a lower serum level and potentially a reduction in efficacy.]
[B01AB06, nadroparin, The risk or severity of bleeding can be increased when Nadroparin is combined with Dacarbazine.]
[B01AB05, enoxaparin, The risk or severity of bleeding can be increased when Enoxaparin is combined with Dacarbazine.]
[B01AB04, dalteparin, The risk or severity of bleeding can be increased when Dalteparin is combined with Dacarbazine.]
[N05CH01, melatonin, The metabolism of Melatonin can be decreased when combined with Dacarbazine.]
[L01AA03, melphalan, The risk or severity of adverse effects can be increased when Dacarbazine is combined with Melphalan.]
[N06DX01, memantine, Dacarbazine may decrease the excretion rate of Memantine which could result in a higher serum level.]
[N02AB02, meperidine, Meperidine may decrease the excretion rate of Dacarbazine which could result in a higher serum level.]
[N03AB04, mephenytoin, The metabolism of Dacarbazine can be decreased when combined with Mephenytoin.]
[N01BB03, mepivacaine, The risk or severity of methemoglobinemia can be increased when Dacarbazine is combined with Mepivacaine.]
[G04BX16, tiopronin, Dacarbazine may decrease the excretion rate of Tiopronin which could result in a higher serum level.]
[C03BC01, mersalyl, Mersalyl may increase the excretion rate of Dacarbazine which could result in a lower serum level and potentially a reduction in efficacy.]
[N05AX13, paliperidone, Dacarbazine may decrease the excretion rate of Paliperidone which could result in a higher serum level.]
[A10BA02, metformin, Metformin may decrease the excretion rate of Dacarbazine which could result in a higher serum level.]
[N07BC02, methadone, Methadone may decrease the excretion rate of Dacarbazine which could result in a higher serum level.]
[N06BA03, methamphetamine, Dacarbazine may decrease the excretion rate of Metamfetamine which could result in a higher serum level.]
[J05AF05, lamivudine, Lamivudine may decrease the excretion rate of Dacarbazine which could result in a higher serum level.]
[S01EC05, methazolamide, Methazolamide may increase the excretion rate of Dacarbazine which could result in a lower serum level and potentially a reduction in efficacy.]
[H03BB02, methimazole, The risk or severity of adverse effects can be increased when Methimazole is combined with Dacarbazine.]
[L01BA04, pemetrexed, The risk or severity of adverse effects can be increased when Pemetrexed is combined with Dacarbazine.]
[A11HA02, pyridoxine, Pyridoxine may decrease the excretion rate of Dacarbazine which could result in a higher serum level.]
[L04AX03, methotrexate, The risk or severity of adverse effects can be increased when Methotrexate is combined with Dacarbazine.]
[D05BA02, methoxsalen, The metabolism of Dacarbazine can be decreased when combined with Methoxsalen.]
[C03AA08, methyclothiazide, Methyclothiazide may increase the excretion rate of Dacarbazine which could result in a lower serum level and potentially a reduction in efficacy.]
[C02AB01, methyldopa, Dacarbazine may decrease the excretion rate of Methyldopa which could result in a higher serum level.]
[V04CG05, methylene blue, The metabolism of Dacarbazine can be increased when combined with Methylene blue.]
[R03DA05, aminophylline, The metabolism of Aminophylline can be decreased when combined with Dacarbazine.]
[H02AB04, methylprednisolone, The risk or severity of adverse effects can be increased when Dacarbazine is combined with Methylprednisolone.]
[G03EK01, methyltestosterone, Dacarbazine may decrease the excretion rate of Methyltestosterone which could result in a higher serum level.]
[A03FA01, metoclopramide, The metabolism of Metoclopramide can be decreased when combined with Dacarbazine.]
[C03BA08, metolazone, Metolazone may increase the excretion rate of Dacarbazine which could result in a lower serum level and potentially a reduction in efficacy.]
[C07AB02, metoprolol, Metoprolol may decrease the excretion rate of Dacarbazine which could result in a higher serum level.]
[V04CD01, metyrapone, Dacarbazine may decrease the excretion rate of Metyrapone which could result in a higher serum level.]
[C01BB02, mexiletine, The metabolism of Dacarbazine can be decreased when combined with Mexiletine.]
[N06AX03, mianserin, The metabolism of Mianserin can be decreased when combined with Dacarbazine.]
[N02BB03, aminopyrine, The metabolism of Aminophenazone can be decreased when combined with Dacarbazine.]
[B01AB07, parnaparin, The risk or severity of bleeding can be increased when Parnaparin is combined with Dacarbazine.]
[N05CD08, midazolam, Midazolam may decrease the excretion rate of Dacarbazine which could result in a higher serum level.]
[B01AB10, tinzaparin, The risk or severity of bleeding can be increased when Tinzaparin is combined with Dacarbazine.]
[J05AH01, zanamivir, Zanamivir may decrease the excretion rate of Dacarbazine which could result in a higher serum level.]
[L01DB07, mitoxantrone, The risk or severity of adverse effects can be increased when Dacarbazine is combined with Mitoxantrone.]
[L03AC01, aldesleukin, The risk or severity of adverse effects can be increased when Aldesleukin is combined with Dacarbazine.]
[C01BD01, amiodarone, The metabolism of Dacarbazine can be decreased when combined with Amiodarone.]
[N06AA09, amitriptyline, The metabolism of Dacarbazine can be decreased when combined with Amitriptyline.]
[A04AA05, palonosetron, Palonosetron may decrease the excretion rate of Dacarbazine which could result in a higher serum level.]
[J01DD06, moxalactam, Latamoxef may decrease the excretion rate of Dacarbazine which could result in a higher serum level.]
[L04AB05, certolizumab pegol, The metabolism of Dacarbazine can be increased when combined with Certolizumab pegol.]
[B02BX05, eltrombopag, The metabolism of Eltrombopag can be decreased when combined with Dacarbazine.]
[G04BA01, ammonium chloride, Dacarbazine may decrease the excretion rate of Ammonium chloride which could result in a higher serum level.]
[L04AA52, ofatumumab, The risk or severity of adverse effects can be increased when Dacarbazine is combined with Ofatumumab.]
[L01EX03, pazopanib, The risk or severity of adverse effects can be increased when Dacarbazine is combined with Pazopanib.]
[L04AA06, mycophenolic acid, The risk or severity of adverse effects can be increased when Dacarbazine is combined with Mycophenolic acid.]
[N03AB05, fosphenytoin, The metabolism of Dacarbazine can be increased when combined with Fosphenytoin.]
[L03AB08, interferon beta-1b, The risk or severity of adverse effects can be increased when Interferon beta-1b is combined with Dacarbazine.]
[C07AA12, nadolol, Dacarbazine may decrease the excretion rate of Nadolol which could result in a higher serum level.]
[J01CA04, amoxicillin, Dacarbazine may decrease the excretion rate of Amoxicillin which could result in a higher serum level.]
[J01CF06, nafcillin, The metabolism of Dacarbazine can be increased when combined with Nafcillin.]
[V03AB15, naloxone, Dacarbazine may decrease the excretion rate of Naloxone which could result in a higher serum level.]
[L04AC03, anakinra, The metabolism of Dacarbazine can be increased when combined with Anakinra.]
[N06BA01, amphetamine, Amphetamine may decrease the excretion rate of Dacarbazine which could result in a higher serum level.]
[M02AA12, naproxen, The metabolism of Dacarbazine can be decreased when combined with Naproxen.]
[N06AX21, duloxetine, Duloxetine may decrease the excretion rate of Dacarbazine which could result in a higher serum level.]
[N04BX01, tolcapone, Tolcapone may decrease the excretion rate of Dacarbazine which could result in a higher serum level.]
[B03XA03, methoxy polyethylene glycol-epoetin beta, The risk or severity of Thrombosis can be increased when Methoxy polyethylene glycol-epoetin beta is combined with Dacarbazine.]
[L01CD02, docetaxel, The risk or severity of adverse effects can be increased when Dacarbazine is combined with Docetaxel.]
[S03AA01, neomycin, Dacarbazine may decrease the excretion rate of Neomycin which could result in a higher serum level.]
[B01AC17, tirofiban, The risk or severity of bleeding can be increased when Tirofiban is combined with Dacarbazine.]
[J02AA01, amphotericin B, Amphotericin B may decrease the excretion rate of Dacarbazine which could result in a higher serum level.]
[S01AA19, ampicillin, Ampicillin may decrease the excretion rate of Dacarbazine which could result in a higher serum level.]
[L03AX16, plerixafor, Dacarbazine may decrease the excretion rate of Plerixafor which could result in a higher serum level.]
[S01AA23, netilmicin, Dacarbazine may decrease the excretion rate of Netilmicin which could result in a higher serum level.]
[N06AX23, desvenlafaxine, Dacarbazine may decrease the excretion rate of Desvenlafaxine which could result in a higher serum level.]
[J05AB11, valacyclovir, Valaciclovir may decrease the excretion rate of Dacarbazine which could result in a higher serum level.]
[C01CE01, inamrinone, Dacarbazine may decrease the excretion rate of Amrinone which could result in a higher serum level.]
[L01XX01, amsacrine, The risk or severity of adverse effects can be increased when Amsacrine is combined with Dacarbazine.]
[P02DA01, niclosamide, The metabolism of Dacarbazine can be decreased when combined with Niclosamide.]
[C08CA05, nifedipine, The metabolism of Nifedipine can be decreased when combined with Dacarbazine.]
[M02AA17, niflumic acid, Niflumic acid may decrease the excretion rate of Dacarbazine which could result in a higher serum level.]
[C08CA07, nisoldipine, Nisoldipine may decrease the excretion rate of Dacarbazine which could result in a higher serum level.]
[R07AX01, nitric oxide, Nitric Oxide may decrease the excretion rate of Dacarbazine which could result in a higher serum level.]
[J01XE01, nitrofurantoin, Nitrofurantoin may decrease the excretion rate of Dacarbazine which could result in a higher serum level.]
[N05CF03, zaleplon, Dacarbazine may decrease the excretion rate of Zaleplon which could result in a higher serum level.]
[N04BC05, pramipexole, Pramipexole may decrease the excretion rate of Dacarbazine which could result in a higher serum level.]
[C02DD01, nitroprusside, Nitroprusside may decrease the excretion rate of Dacarbazine which could result in a higher serum level.]
[S01AE02, norfloxacin, The metabolism of Dacarbazine can be decreased when combined with Norfloxacin.]
