[S02DA03, antipyrine, The therapeutic efficacy of Indapamide can be decreased when used in combination with Antipyrine.]
[A03AA04, mebeverine, The serum concentration of Indapamide can be increased when it is combined with Mebeverine.]
[A08AA09, mefenorex, Mefenorex may decrease the antihypertensive activities of Indapamide.]
[H02AB15, meprednisone, Meprednisone may increase the hypokalemic activities of Indapamide.]
[R06AD07, mequitazine, The risk or severity of QTc prolongation can be increased when Indapamide is combined with Mequitazine.]
[J01DH02, meropenem, Indapamide may increase the excretion rate of Meropenem which could result in a lower serum level and potentially a reduction in efficacy.]
[C01EB10, adenosine, The risk or severity of QTc prolongation can be increased when Indapamide is combined with Adenosine.]
[N04AA03, methixene, The serum concentration of Indapamide can be increased when it is combined with Metixene.]
[R03CB02, methoxyphenamine, Methoxyphenamine may decrease the antihypertensive activities of Indapamide.]
[R06AE03, cyclizine, The risk or severity of QTc prolongation can be increased when Indapamide is combined with Cyclizine.]
[C03DA04, eplerenone, The therapeutic efficacy of Indapamide can be increased when used in combination with Eplerenone.]
[N05AD03, metylperon, Indapamide may increase the excretion rate of Melperone which could result in a lower serum level and potentially a reduction in efficacy.]
[C03AA07, cyclopenthiazide, The therapeutic efficacy of Indapamide can be increased when used in combination with Cyclopenthiazide.]
[A10BF02, miglitol, The therapeutic efficacy of Miglitol can be decreased when used in combination with Indapamide.]
[J05AF07, tenofovir disoproxil, Indapamide may increase the excretion rate of Tenofovir disoproxil which could result in a lower serum level and potentially a reduction in efficacy.]
[L01AA01, cyclophosphamide, The risk or severity of granulocytopenia can be increased when Indapamide is combined with Cyclophosphamide.]
[N06AX07, minaprine, Minaprine may increase the hypotensive activities of Indapamide.]
[S01XA18, cyclosporine, The risk or severity of renal failure can be increased when Indapamide is combined with Cyclosporine.]
[N06AG02, moclobemide, Moclobemide may increase the hypotensive activities of Indapamide.]
[R06AX02, cyproheptadine, The risk or severity of QTc prolongation can be increased when Cyproheptadine is combined with Indapamide.]
[C09AA13, moexipril, The therapeutic efficacy of Indapamide can be increased when used in combination with Moexipril.]
[M02AA02, mofebutazone, The therapeutic efficacy of Indapamide can be decreased when used in combination with Mofebutazone.]
[M01AX22, morniflumate, The therapeutic efficacy of Indapamide can be decreased when used in combination with Morniflumate.]
[C03XA02, conivaptan, The metabolism of Indapamide can be decreased when combined with Conivaptan.]
[C02AC05, moxonidine, The therapeutic efficacy of Indapamide can be increased when used in combination with Moxonidine.]
[G04BE09, vardenafil, The risk or severity of QTc prolongation can be increased when Indapamide is combined with Vardenafil.]
[M01AH05, etoricoxib, The therapeutic efficacy of Indapamide can be decreased when used in combination with Etoricoxib.]
[L01AX04, dacarbazine, Indapamide may increase the excretion rate of Dacarbazine which could result in a lower serum level and potentially a reduction in efficacy.]
[G03XA01, danazol, The metabolism of Indapamide can be decreased when combined with Danazol.]
[C02CC04, debrisoquin, The therapeutic efficacy of Indapamide can be increased when used in combination with Debrisoquine.]
[A04AD11, nabilone, The risk or severity of adverse effects can be increased when Nabilone is combined with Indapamide.]
[M01AX01, nabumetone, The therapeutic efficacy of Indapamide can be decreased when used in combination with Nabumetone.]
[N07BB05, nalmefene, Indapamide may increase the excretion rate of Nalmefene which could result in a lower serum level and potentially a reduction in efficacy.]
[B05XA15, potassium lactate, The risk or severity of adverse effects can be increased when Indapamide is combined with Potassium lactate.]
[C07AB12, nebivolol, The therapeutic efficacy of Indapamide can be increased when used in combination with Nebivolol.]
[S01GX04, nedocromil, Indapamide may increase the excretion rate of Nedocromil which could result in a lower serum level and potentially a reduction in efficacy.]
[N06AX06, nefazodone, The metabolism of Indapamide can be decreased when combined with Nefazodone.]
[C01DX16, nicorandil, The therapeutic efficacy of Indapamide can be increased when used in combination with Nicorandil.]
[L02BB02, nilutamide, Indapamide may increase the excretion rate of Nilutamide which could result in a lower serum level and potentially a reduction in efficacy.]
[C01CA23, theodrenaline, The risk or severity of Cardiac Arrhythmia can be increased when Theodrenaline is combined with Indapamide.]
[M03AC11, cisatracurium, The serum concentration of Indapamide can be increased when it is combined with Cisatracurium.]
[C01CA05, norfenefrine, Norfenefrine may decrease the antihypertensive activities of Indapamide.]
[R05DA06, normethadone, The therapeutic efficacy of Indapamide can be decreased when used in combination with Normethadone.]
[B01AX05, fondaparinux, Indapamide may increase the excretion rate of Fondaparinux which could result in a lower serum level and potentially a reduction in efficacy.]
[N06AB10, escitalopram, The risk or severity of hyponatremia can be increased when Escitalopram is combined with Indapamide.]
[G04BD08, solifenacin, The risk or severity of QTc prolongation can be increased when Indapamide is combined with Solifenacin.]
[A07EC03, olsalazine, The therapeutic efficacy of Indapamide can be decreased when used in combination with Olsalazine.]
[N06AA01, desipramine, The risk or severity of QTc prolongation can be increased when Indapamide is combined with Desipramine.]
[C01AA07, deslanoside, The risk or severity of adverse effects can be increased when Indapamide is combined with Deslanoside.]
[H01BA02, desmopressin, Indapamide may increase the excretion rate of Desmopressin which could result in a lower serum level and potentially a reduction in efficacy.]
[D07XC02, desoximetasone, Desoximetasone may increase the hypokalemic activities of Indapamide.]
[V04CH02, indigo carmine, Indapamide may increase the excretion rate of Indigotindisulfonic acid which could result in a lower serum level and potentially a reduction in efficacy.]
[H02AA03, desoxycorticosterone, Desoxycortone may increase the hypokalemic activities of Indapamide.]
[J01DH03, ertapenem, Indapamide may increase the excretion rate of Ertapenem which could result in a lower serum level and potentially a reduction in efficacy.]
[C09XA02, aliskiren, The therapeutic efficacy of Indapamide can be increased when used in combination with Aliskiren.]
[L01XA03, oxaliplatin, The risk or severity of QTc prolongation can be increased when Indapamide is combined with Oxaliplatin.]
[M01AE12, oxaprozin, The therapeutic efficacy of Indapamide can be decreased when used in combination with Oxaprozin.]
[N03AF02, oxcarbazepine, The risk or severity of hyponatremia can be increased when Indapamide is combined with Oxcarbazepine.]
[S03BA01, dexamethasone, The metabolism of Indapamide can be increased when combined with Dexamethasone.]
[N04AA08, dexetimide, The serum concentration of Indapamide can be increased when it is combined with Dexetimide.]
[G04BD04, oxybutynin, The serum concentration of Indapamide can be increased when it is combined with Oxybutynin.]
[A03AA01, oxyphencyclimine, The serum concentration of Indapamide can be increased when it is combined with Oxyphencyclimine.]
[N06BA02, dextroamphetamine, Indapamide may increase the excretion rate of Amphetamine which could result in a lower serum level and potentially a reduction in efficacy.]
[R05DA09, dextromethorphan, The serum concentration of Indapamide can be increased when it is combined with Dextromethorphan.]
[N02AC01, dextromoramide, The therapeutic efficacy of Indapamide can be decreased when used in combination with Dextromoramide.]
[N06AB05, paroxetine, The risk or severity of hyponatremia can be increased when Paroxetine is combined with Indapamide.]
[N07BC06, heroin, The therapeutic efficacy of Indapamide can be decreased when used in combination with Diamorphine.]
[P03AC04, permethrin, Indapamide may increase the excretion rate of Permethrin which could result in a lower serum level and potentially a reduction in efficacy.]
[N05BA01, diazepam, Indapamide may increase the excretion rate of Diazepam which could result in a lower serum level and potentially a reduction in efficacy.]
[V03AH01, diazoxide, Diazoxide may increase the hypotensive activities of Indapamide.]
[N06AA08, dibenzepin, Dibenzepin may decrease the antihypertensive activities of Indapamide.]
[R05DA08, pholcodine, Indapamide may increase the excretion rate of Pholcodine which could result in a lower serum level and potentially a reduction in efficacy.]
[S01EC02, dichlorphenamide, Diclofenamide may increase the excretion rate of Indapamide which could result in a lower serum level and potentially a reduction in efficacy.]
[S01BC03, diclofenac, The therapeutic efficacy of Indapamide can be decreased when used in combination with Diclofenac.]
[J05AD01, foscarnet, The risk or severity of QTc prolongation can be increased when Foscarnet is combined with Indapamide.]
[A03AA07, dicyclomine, Indapamide may increase the excretion rate of Dicyclomine which could result in a lower serum level and potentially a reduction in efficacy.]
[J05AF02, didanosine, Indapamide may increase the excretion rate of Didanosine which could result in a lower serum level and potentially a reduction in efficacy.]
[C02DG01, pinacidil, The therapeutic efficacy of Indapamide can be increased when used in combination with Pinacidil.]
[A03AX04, pinaverium, The risk or severity of QTc prolongation can be increased when Indapamide is combined with Pinaverium.]
[A10BG03, pioglitazone, The therapeutic efficacy of Pioglitazone can be decreased when used in combination with Indapamide.]
[N05AD05, pipamperone, The risk or severity of adverse effects can be increased when Indapamide is combined with Pipamperone.]
[A03AB14, pipenzolate, The serum concentration of Indapamide can be increased when it is combined with Pipenzolate.]
[L01EB02, erlotinib, The risk or severity of QTc prolongation can be increased when Indapamide is combined with Erlotinib.]
[R03CC07, pirbuterol, Pirbuterol may decrease the antihypertensive activities of Indapamide.]
[C03CA03, piretanide, Piretanide may increase the excretion rate of Indapamide which could result in a lower serum level and potentially a reduction in efficacy.]
[A08AA03, diethylpropion, Diethylpropion may decrease the antihypertensive activities of Indapamide.]
[C08CA03, isradipine, The therapeutic efficacy of Indapamide can be increased when used in combination with Isradipine.]
[D07XC04, diflucortolone, Difluocortolone may increase the hypokalemic activities of Indapamide.]
[A03AB11, poldine, The serum concentration of Indapamide can be increased when it is combined with Poldine.]
[N02BA11, diflunisal, The therapeutic efficacy of Indapamide can be decreased when used in combination with Diflunisal.]
[C01AA04, digitoxin, The risk or severity of adverse effects can be increased when Indapamide is combined with Digitoxin.]
[C01AA05, digoxin, Indapamide may decrease the excretion rate of Digoxin which could result in a higher serum level.]
[C02DB01, dihydralazine, The therapeutic efficacy of Indapamide can be increased when used in combination with Dihydralazine.]
[C04AE04, dihydroergocristine, Dihydroergocristine may decrease the antihypertensive activities of Indapamide.]
[N02CA01, dihydroergotamine, Dihydroergotamine may decrease the antihypertensive activities of Indapamide.]
[N02AA03, hydromorphone, Indapamide may increase the excretion rate of Hydromorphone which could result in a lower serum level and potentially a reduction in efficacy.]
[L04AX04, lenalidomide, Indapamide may increase the excretion rate of Lenalidomide which could result in a lower serum level and potentially a reduction in efficacy.]
[A11CC02, dihydrotachysterol, The risk or severity of hypokalemia can be increased when Dihydrotachysterol is combined with Indapamide.]
[J05AE08, atazanavir, The metabolism of Indapamide can be decreased when combined with Atazanavir.]
[B01AC21, treprostinil, The therapeutic efficacy of Indapamide can be increased when used in combination with Treprostinil.]
[H03BC01, potassium perchlorate, Indapamide may increase the excretion rate of Potassium perchlorate which could result in a lower serum level and potentially a reduction in efficacy.]
[V03AB04, pralidoxime, Indapamide may increase the excretion rate of Pralidoxime which could result in a lower serum level and potentially a reduction in efficacy.]
[C08DB01, diltiazem, The therapeutic efficacy of Indapamide can be increased when used in combination with Diltiazem.]
[R06AA11, dimenhydrinate, The risk or severity of QTc prolongation can be increased when Indapamide is combined with Dimenhydrinate.]
[V03AB09, dimercaprol, Indapamide may increase the excretion rate of Dimercaprol which could result in a lower serum level and potentially a reduction in efficacy.]
[R06AB03, dimethindene, The serum concentration of Indapamide can be increased when it is combined with Dimetindene.]
[R03CC08, procaterol, Procaterol may decrease the antihypertensive activities of Indapamide.]
[M02AX03, dimethyl sulfoxide, Indapamide may increase the excretion rate of Dimethyl sulfoxide which could result in a lower serum level and potentially a reduction in efficacy.]
[N02BB04, propyphenazone, The therapeutic efficacy of Indapamide can be decreased when used in combination with Propyphenazone.]
[M01AB14, proglumetacin, The therapeutic efficacy of Indapamide can be decreased when used in combination with Proglumetacin.]
[R06AA02, diphenhydramine, The risk or severity of QTc prolongation can be increased when Indapamide is combined with Diphenhydramine.]
[A07DA01, diphenoxylate, The therapeutic efficacy of Indapamide can be decreased when used in combination with Diphenoxylate.]
[C09AA06, quinapril, The therapeutic efficacy of Indapamide can be increased when used in combination with Quinapril.]
[B01AC07, dipyridamole, Dipyridamole may increase the antihypertensive activities of Indapamide.]
[N06BA11, dexmethylphenidate, Dexmethylphenidate may decrease the antihypertensive activities of Indapamide.]
[N06AA23, quinupramine, Quinupramine may decrease the antihypertensive activities of Indapamide.]
[A03FA02, cisapride, The risk or severity of QTc prolongation can be increased when Indapamide is combined with Cisapride.]
[C09AA05, ramipril, The therapeutic efficacy of Indapamide can be increased when used in combination with Ramipril.]
[R03CC14, reproterol, Reproterol may decrease the antihypertensive activities of Indapamide.]
[S01AX06, resorcinol, Indapamide may increase the excretion rate of Resorcinol which could result in a lower serum level and potentially a reduction in efficacy.]
[C01BA03, disopyramide, The therapeutic efficacy of Disopyramide can be decreased when used in combination with Indapamide.]
[P03AA04, disulfiram, The risk or severity of QTc prolongation can be increased when Indapamide is combined with Disulfiram.]
[S02AA12, rifamycin SV, The metabolism of Indapamide can be increased when combined with Rifamycin.]
[J04AB05, rifapentine, The metabolism of Indapamide can be increased when combined with Rifapentine.]
[N05AX08, risperidone, Indapamide may increase the hypotensive activities of Risperidone.]
[R06AE09, levocetirizine, The risk or severity of QTc prolongation can be increased when Indapamide is combined with Levocetirizine.]
[N01BB09, ropivacaine, Indapamide may increase the excretion rate of Ropivacaine which could result in a lower serum level and potentially a reduction in efficacy.]
[J01MB01, rosoxacin, The risk or severity of QTc prolongation can be increased when Indapamide is combined with Rosoxacin.]
[L01EX01, sunitinib, The therapeutic efficacy of Sunitinib can be decreased when used in combination with Indapamide.]
[A04AD12, aprepitant, The metabolism of Indapamide can be decreased when combined with Aprepitant.]
[C03XA01, tolvaptan, Tolvaptan may increase the excretion rate of Indapamide which could result in a lower serum level and potentially a reduction in efficacy.]
[L01XG01, bortezomib, The risk or severity of QTc prolongation can be increased when Bortezomib is combined with Indapamide.]
[G04BE08, tadalafil, The therapeutic efficacy of Indapamide can be increased when used in combination with Tadalafil.]
[S01BC05, ketorolac, The therapeutic efficacy of Indapamide can be decreased when used in combination with Ketorolac.]
[C02KX02, ambrisentan, The therapeutic efficacy of Indapamide can be increased when used in combination with Ambrisentan.]
[C01EB18, ranolazine, Indapamide may increase the excretion rate of Ranolazine which could result in a lower serum level and potentially a reduction in efficacy.]
[N02BA06, salsalate, The therapeutic efficacy of Indapamide can be decreased when used in combination with Salsalate.]
[R03AC12, salmeterol, The risk or severity of QTc prolongation can be increased when Indapamide is combined with Salmeterol.]
[H05BA01, salmon calcitonin, Indapamide may increase the excretion rate of Salmon calcitonin which could result in a lower serum level and potentially a reduction in efficacy.]
[C01CA07, dobutamine, Indapamide may increase the excretion rate of Dobutamine which could result in a lower serum level and potentially a reduction in efficacy.]
[A03FA03, domperidone, The risk or severity of QTc prolongation can be increased when Indapamide is combined with Domperidone.]
[C01CA04, dopamine, Indapamide may increase the excretion rate of Dopamine which could result in a lower serum level and potentially a reduction in efficacy.]
[N06AA16, dothiepin, The risk or severity of QTc prolongation can be increased when Indapamide is combined with Dosulepin.]
[R07AB01, doxapram, Doxapram may decrease the antihypertensive activities of Indapamide.]
[N06AA12, doxepin, The risk or severity of QTc prolongation can be increased when Indapamide is combined with Doxepin.]
[A06AB06, sennosides, USP, The risk or severity of adverse effects can be increased when Indapamide is combined with Sennosides.]
[J01AA02, doxycycline, Indapamide may increase the excretion rate of Doxycycline which could result in a lower serum level and potentially a reduction in efficacy.]
[R06AA09, doxylamine, The risk or severity of QTc prolongation can be increased when Doxylamine is combined with Indapamide.]
[N06AB06, sertraline, The risk or severity of hyponatremia can be increased when Sertraline is combined with Indapamide.]
[N01AB08, sevoflurane, The risk or severity of QTc prolongation can be increased when Indapamide is combined with Sevoflurane.]
[N05AD08, droperidol, Droperidol may decrease the antihypertensive activities of Indapamide.]
[A08AA10, sibutramine, The risk or severity of hyponatremia can be increased when Sibutramine is combined with Indapamide.]
[V03AG05, sodium phosphate, Indapamide may increase the nephrotoxic activities of Sodium phosphate, monobasic.]
[A12CA02, sodium sulfate, The risk or severity of adverse effects can be increased when Indapamide is combined with Sodium sulfate.]
[C09AA11, spirapril, The therapeutic efficacy of Indapamide can be increased when used in combination with Spirapril.]
[R03DA01, dyphylline, Indapamide may increase the excretion rate of Dyphylline which could result in a lower serum level and potentially a reduction in efficacy.]
[N05AL02, sultopride, The risk or severity of QTc prolongation can be increased when Indapamide is combined with Sultopride.]
[N02CC01, sumatriptan, Indapamide may increase the excretion rate of Sumatriptan which could result in a lower serum level and potentially a reduction in efficacy.]
[V04CX07, edrophonium, Indapamide may increase the excretion rate of Edrophonium which could result in a lower serum level and potentially a reduction in efficacy.]
[C07AB13, talinolol, The therapeutic efficacy of Indapamide can be increased when used in combination with Talinolol.]
[H01AA01, corticotropin, Corticotropin may increase the hypokalemic activities of Indapamide.]
[J01MA05, temafloxacin, The risk or severity of QTc prolongation can be increased when Indapamide is combined with Temafloxacin.]
[L01AX03, temozolomide, Indapamide may increase the excretion rate of Temozolomide which could result in a lower serum level and potentially a reduction in efficacy.]
[M01AC02, tenoxicam, The therapeutic efficacy of Indapamide can be decreased when used in combination with Tenoxicam.]
[G04CA03, terazosin, The therapeutic efficacy of Indapamide can be increased when used in combination with Terazosin.]
[G04BD05, terodiline, The risk or severity of QTc prolongation can be increased when Indapamide is combined with Terodiline.]
[S01GA02, tetrahydrozoline, Tetryzoline may decrease the antihypertensive activities of Indapamide.]
[G04BD01, emepronium, The serum concentration of Indapamide can be increased when it is combined with Emepronium.]
[N06AX14, tianeptine, Tianeptine may decrease the antihypertensive activities of Indapamide.]
[C09AA02, enalapril, The therapeutic efficacy of Indapamide can be increased when used in combination with Enalapril.]
[M01AG02, tolfenamic acid, The therapeutic efficacy of Indapamide can be decreased when used in combination with Tolfenamic acid.]
[N06AG03, toloxatone, Toloxatone may increase the hypotensive activities of Indapamide.]
[N06BA09, atomoxetine, The risk or severity of QTc prolongation can be increased when Atomoxetine is combined with Indapamide.]
[N03AX11, topiramate, The risk or severity of hypokalemia can be increased when Indapamide is combined with Topiramate.]
[L02BA02, toremifene, The risk or severity of hypercalcemia can be increased when Indapamide is combined with Toremifene.]
[C03CA04, torsemide, The therapeutic efficacy of Indapamide can be increased when used in combination with Torasemide.]
[R01AA09, tramazoline, Tramazoline may decrease the antihypertensive activities of Indapamide.]
[C09AA10, trandolapril, The therapeutic efficacy of Indapamide can be increased when used in combination with Trandolapril.]
[N05CC01, chloral hydrate, Indapamide may increase the excretion rate of Chloral hydrate which could result in a lower serum level and potentially a reduction in efficacy.]
[A03AB08, tridihexethyl, The serum concentration of Indapamide can be increased when it is combined with Tridihexethyl.]
[H02CA01, trilostane, Trilostane may increase the hypokalemic activities of Indapamide.]
[L02AE04, triptorelin, The risk or severity of QTc prolongation can be increased when Indapamide is combined with Triptorelin.]
[N04AA12, tropatepine, The serum concentration of Indapamide can be increased when it is combined with Tropatepine.]
[R03CC11, tulobuterol, Tulobuterol may decrease the antihypertensive activities of Indapamide.]
[C02CA06, urapidil, The therapeutic efficacy of Indapamide can be increased when used in combination with Urapidil.]
[J01MA04, enoxacin, The risk or severity of QTc prolongation can be increased when Enoxacin is combined with Indapamide.]
[S01FB02, ephedrine, The risk or severity of Cardiac Arrhythmia can be increased when Ephedrine is combined with Indapamide.]
[S01GX10, epinastine, The risk or severity of QTc prolongation can be increased when Epinastine is combined with Indapamide.]
[N06AX16, venlafaxine, Indapamide may increase the excretion rate of Venlafaxine which could result in a lower serum level and potentially a reduction in efficacy.]
[C01CX07, xamoterol, Xamoterol may decrease the antihypertensive activities of Indapamide.]
[S01GA03, xylometazoline, Xylometazoline may decrease the antihypertensive activities of Indapamide.]
[C08CA12, mepirodipine, Indapamide may increase the antihypertensive activities of Barnidipine.]
[S01EA01, epinephrine, The risk or severity of Cardiac Arrhythmia can be increased when Epinephrine is combined with Indapamide.]
[C09AA15, zofenopril, The therapeutic efficacy of Indapamide can be increased when used in combination with Zofenopril.]
[M01AB04, zomepirac, The therapeutic efficacy of Indapamide can be decreased when used in combination with Zomepirac.]
[N03AX15, zonisamide, The risk or severity of QTc prolongation can be increased when Indapamide is combined with Zonisamide.]
[A10AB06, insulin glulisine, human, The risk or severity of hypoglycemia can be increased when Indapamide is combined with Insulin glulisine.]
[L01XA02, carboplatin, Indapamide may increase the excretion rate of Carboplatin which could result in a lower serum level and potentially a reduction in efficacy.]
[C02AC02, guanfacine, The therapeutic efficacy of Indapamide can be increased when used in combination with Guanfacine.]
[B01AC11, iloprost, Iloprost may increase the hypotensive activities of Indapamide.]
[C01BG01, moricizine, The risk or severity of QTc prolongation can be increased when Moricizine is combined with Indapamide.]
[A11CC01, ergocalciferol, The risk or severity of hypokalemia can be increased when Ergocalciferol is combined with Indapamide.]
[G02AB03, ergonovine, Ergometrine may decrease the antihypertensive activities of Indapamide.]
[C04AE01, ergoloid mesylates, USP, Ergoloid mesylate may decrease the antihypertensive activities of Indapamide.]
[N02CA02, ergotamine, The metabolism of Indapamide can be decreased when combined with Ergotamine.]
[N03AG01, valproic acid, The risk or severity of QTc prolongation can be increased when Indapamide is combined with Valproic acid.]
[L03AX05, pidotimod, Indapamide may increase the excretion rate of Pidotimod which could result in a lower serum level and potentially a reduction in efficacy.]
[S01AA17, erythromycin, The metabolism of Indapamide can be decreased when combined with Erythromycin.]
[N05CD04, estazolam, Indapamide may increase the excretion rate of Estazolam which could result in a lower serum level and potentially a reduction in efficacy.]
[A02BC02, pantoprazole, Indapamide may increase the excretion rate of Pantoprazole which could result in a lower serum level and potentially a reduction in efficacy.]
[G03CA03, estradiol, Indapamide may increase the excretion rate of Estradiol which could result in a lower serum level and potentially a reduction in efficacy.]
[G03CA57, estrogens, conjugated (USP), Indapamide may increase the excretion rate of Conjugated estrogens which could result in a lower serum level and potentially a reduction in efficacy.]
[J04AK02, ethambutol, Indapamide may increase the excretion rate of Ethambutol which could result in a lower serum level and potentially a reduction in efficacy.]
[R03BA05, fluticasone, Fluticasone may increase the hypokalemic activities of Indapamide.]
[V08CA03, gadodiamide, Indapamide may increase the excretion rate of Gadodiamide which could result in a lower serum level and potentially a reduction in efficacy.]
[C01CA15, gepefrine, Gepefrine may decrease the antihypertensive activities of Indapamide.]
[V03AF05, amifostine, Indapamide may increase the hypotensive activities of Amifostine.]
[C01BD05, ibutilide, The risk or severity of QTc prolongation can be increased when Indapamide is combined with Ibutilide.]
[N04AA05, profenamine, The serum concentration of Indapamide can be increased when it is combined with Profenamine.]
[N03AD01, ethosuximide, The risk or severity of QTc prolongation can be increased when Ethosuximide is combined with Indapamide.]
[M01AC06, meloxicam, The therapeutic efficacy of Indapamide can be decreased when used in combination with Meloxicam.]
[S01XA06, ethylmorphine, The therapeutic efficacy of Indapamide can be decreased when used in combination with Ethylmorphine.]
[C01CA01, etilefrine, Etilefrine may decrease the antihypertensive activities of Indapamide.]
[N01AX07, etomidate, Indapamide may increase the excretion rate of Etomidate which could result in a lower serum level and potentially a reduction in efficacy.]
[C01BA05, ajmaline, The risk or severity of QTc prolongation can be increased when Indapamide is combined with Ajmaline.]
[L04AD02, tacrolimus, The risk or severity of QTc prolongation can be increased when Indapamide is combined with Tacrolimus.]
[J01MA08, fleroxacin, The risk or severity of QTc prolongation can be increased when Indapamide is combined with Fleroxacin.]
[R06AX11, astemizole, The risk or severity of QTc prolongation can be increased when Indapamide is combined with Astemizole.]
[R06AX12, terfenadine, The metabolism of Indapamide can be decreased when combined with Terfenadine.]
[P01AX07, trimetrexate, Indapamide may increase the excretion rate of Trimetrexate which could result in a lower serum level and potentially a reduction in efficacy.]
[N06AX12, bupropion, Indapamide may increase the excretion rate of Bupropion which could result in a lower serum level and potentially a reduction in efficacy.]
[N06AB08, fluvoxamine, The risk or severity of hyponatremia can be increased when Fluvoxamine is combined with Indapamide.]
[C01BC08, encainide, The risk or severity of QTc prolongation can be increased when Indapamide is combined with Encainide.]
[L02AE02, leuprolide, Indapamide may increase the excretion rate of Leuprolide which could result in a lower serum level and potentially a reduction in efficacy.]
[M01CB01, gold sodium thiomalate, Indapamide may increase the excretion rate of Sodium aurothiomalate which could result in a lower serum level and potentially a reduction in efficacy.]
[B05AA05, dextran, Indapamide may increase the excretion rate of Dextran which could result in a lower serum level and potentially a reduction in efficacy.]
[V03AF02, dexrazoxane, Indapamide may increase the excretion rate of Dexrazoxane which could result in a lower serum level and potentially a reduction in efficacy.]
[A02BA03, famotidine, The risk or severity of QTc prolongation can be increased when Indapamide is combined with Famotidine.]
[A16AA01, levocarnitine, Indapamide may increase the excretion rate of Levocarnitine which could result in a lower serum level and potentially a reduction in efficacy.]
[C08CA02, felodipine, The therapeutic efficacy of Indapamide can be increased when used in combination with Felodipine.]
[C08EA01, fendiline, The risk or severity of QTc prolongation can be increased when Indapamide is combined with Fendiline.]
[M01AE04, fenoprofen, The therapeutic efficacy of Indapamide can be decreased when used in combination with Fenoprofen.]
[R03CC04, fenoterol, Fenoterol may decrease the antihypertensive activities of Indapamide.]
[N02AB03, fentanyl, Indapamide may increase the excretion rate of Fentanyl which could result in a lower serum level and potentially a reduction in efficacy.]
[R03CC02, albuterol, The risk or severity of QTc prolongation can be increased when Indapamide is combined with Salbutamol.]
[L01BB06, clofarabine, Indapamide may increase the excretion rate of Clofarabine which could result in a lower serum level and potentially a reduction in efficacy.]
[N07AX03, cevimeline, Indapamide may increase the excretion rate of Cevimeline which could result in a lower serum level and potentially a reduction in efficacy.]
[G04BD02, flavoxate, Indapamide may increase the excretion rate of Flavoxate which could result in a lower serum level and potentially a reduction in efficacy.]
[C01BC04, flecainide, The risk or severity of QTc prolongation can be increased when Indapamide is combined with Flecainide.]
[N02BG04, floctafenine, The therapeutic efficacy of Indapamide can be decreased when used in combination with Floctafenine.]
[J02AC01, fluconazole, The metabolism of Indapamide can be decreased when combined with Fluconazole.]
[J02AX01, flucytosine, Indapamide may increase the excretion rate of Flucytosine which could result in a lower serum level and potentially a reduction in efficacy.]
[H02AA02, fludrocortisone, Fludrocortisone may increase the hypokalemic activities of Indapamide.]
[V03AB25, flumazenil, Indapamide may increase the excretion rate of Flumazenil which could result in a lower serum level and potentially a reduction in efficacy.]
[D07XB01, flumethasone, Flumethasone may increase the hypokalemic activities of Indapamide.]
[D07AC08, fluocinonide, Fluocinonide may increase the hypokalemic activities of Indapamide.]
[N06AA14, melitracen, Melitracen may decrease the antihypertensive activities of Indapamide.]
[H02AB03, fluocortolone, Fluocortolone may increase the hypokalemic activities of Indapamide.]
[V03AZ01, ethanol, The risk or severity of hypotension and orthostatic hypotension can be increased when Ethanol is combined with Indapamide.]
[L01BC09, floxuridine, Indapamide may increase the excretion rate of Floxuridine which could result in a lower serum level and potentially a reduction in efficacy.]
[S01CB05, fluorometholone, Fluorometholone may increase the hypokalemic activities of Indapamide.]
[L01BC02, fluorouracil, The risk or severity of QTc prolongation can be increased when Indapamide is combined with Fluorouracil.]
[N06AB03, fluoxetine, The risk or severity of QTc prolongation can be increased when Fluoxetine is combined with Indapamide.]
[N05AF01, flupenthixol, The risk or severity of QTc prolongation can be increased when Indapamide is combined with Flupentixol.]
[N05CD01, flurazepam, Indapamide may increase the excretion rate of Flurazepam which could result in a lower serum level and potentially a reduction in efficacy.]
[S01BC04, flurbiprofen, The therapeutic efficacy of Indapamide can be decreased when used in combination with Flurbiprofen.]
[N05AG01, fluspirilene, The risk or severity of QTc prolongation can be increased when Indapamide is combined with Fluspirilene.]
[L02BB01, flutamide, Indapamide may increase the excretion rate of Flutamide which could result in a lower serum level and potentially a reduction in efficacy.]
[V04CX02, folic acid, Indapamide may increase the excretion rate of Folic acid which could result in a lower serum level and potentially a reduction in efficacy.]
[S02AA17, fosfomycin, Indapamide may increase the excretion rate of Fosfomycin which could result in a lower serum level and potentially a reduction in efficacy.]
[S01AA07, framycetin, Framycetin may decrease the excretion rate of Indapamide which could result in a higher serum level.]
[L01BC03, tegafur, Indapamide may increase the excretion rate of Tegafur which could result in a lower serum level and potentially a reduction in efficacy.]
[N06BX17, adrafinil, Adrafinil may decrease the antihypertensive activities of Indapamide.]
[M03AA01, alcuronium, The serum concentration of Indapamide can be increased when it is combined with Alcuronium.]
[G01AX06, furazolidone, Furazolidone may increase the hypotensive activities of Indapamide.]
[J05AE10, darunavir, The metabolism of Indapamide can be decreased when combined with Darunavir.]
[C03CA01, furosemide, The therapeutic efficacy of Indapamide can be increased when used in combination with Furosemide.]
