[S02DA03, antipyrine, The metabolism of Thiothixene can be decreased when combined with Antipyrine.]
[L02AE03, goserelin, The risk or severity of QTc prolongation can be increased when Thiothixene is combined with Goserelin.]
[P01BX01, halofantrine, The risk or severity of QTc prolongation can be increased when Thiothixene is combined with Halofantrine.]
[N05AD01, haloperidol, The risk or severity of QTc prolongation can be increased when Thiothixene is combined with Haloperidol.]
[N01AB01, halothane, The risk or severity of adverse effects can be increased when Halothane is combined with Thiothixene.]
[L02AE05, histrelin, The risk or severity of QTc prolongation can be increased when Thiothixene is combined with Histrelin.]
[N05AH04, quetiapine, Thiothixene may increase the central nervous system depressant (CNS depressant) activities of Quetiapine.]
[N02CX03, iprazochrome, The risk or severity of adverse effects can be increased when Thiothixene is combined with Iprazochrome.]
[N05CA21, allobarbital, The risk or severity of adverse effects can be increased when Thiothixene is combined with Allobarbital.]
[C09CA01, losartan, The risk or severity of QTc prolongation can be increased when Losartan is combined with Thiothixene.]
[N05CA16, hexobarbital, The risk or severity of adverse effects can be increased when Hexobarbital is combined with Thiothixene.]
[J05AG01, nevirapine, The metabolism of Thiothixene can be decreased when combined with Nevirapine.]
[C08CA10, nilvadipine, The risk or severity of QTc prolongation can be increased when Thiothixene is combined with Nilvadipine.]
[R06AE06, oxatomide, The risk or severity of QTc prolongation can be increased when Thiothixene is combined with Oxatomide.]
[C03AA03, hydrochlorothiazide, The risk or severity of QTc prolongation can be increased when Hydrochlorothiazide is combined with Thiothixene.]
[R05DA03, hydrocodone, Thiothixene may increase the central nervous system depressant (CNS depressant) activities of Hydrocodone.]
[G04BD06, propiverine, Thiothixene may increase the central nervous system depressant (CNS depressant) activities of Propiverine.]
[P01BA02, hydroxychloroquine, The risk or severity of QTc prolongation can be increased when Hydroxychloroquine is combined with Thiothixene.]
[N05AX07, prothipendyl, The risk or severity of adverse effects can be increased when Thiothixene is combined with Prothipendyl.]
[N05BB01, hydroxyzine, The risk or severity of QTc prolongation can be increased when Thiothixene is combined with Hydroxyzine.]
[B05CB02, sodium citrate, Thiothixene may increase the neurotoxic activities of Sodium citrate.]
[H01AC02, somatrem, The metabolism of Thiothixene can be increased when combined with Somatrem.]
[N01AH03, sufentanil, The risk or severity of adverse effects can be increased when Sufentanil is combined with Thiothixene.]
[N06AA02, imipramine, Thiothixene may increase the central nervous system depressant (CNS depressant) activities of Imipramine.]
[L01CD01, paclitaxel, Paclitaxel may increase the neurotoxic activities of Thiothixene.]
[H01BA04, terlipressin, The risk or severity of QTc prolongation can be increased when Thiothixene is combined with Terlipressin.]
[M03BX02, tizanidine, The risk or severity of adverse effects can be increased when Tizanidine is combined with Thiothixene.]
[C03BA11, indapamide, The risk or severity of QTc prolongation can be increased when Indapamide is combined with Thiothixene.]
[L03AB04, interferon alfa-2a, The metabolism of Thiothixene can be decreased when combined with Interferon alfa-2a.]
[L03AB05, interferon alfa-2b, The metabolism of Thiothixene can be decreased when combined with Interferon alfa-2b.]
[N06AX17, milnacipran, The risk or severity of adverse effects can be increased when Thiothixene is combined with Milnacipran.]
[A03AA30, piperidolate, Thiothixene may increase the central nervous system depressant (CNS depressant) activities of Piperidolate.]
[N01BB08, articaine, The risk or severity of adverse effects can be increased when Thiothixene is combined with Articaine.]
[N05BA12, alprazolam, The risk or severity of adverse effects can be increased when Alprazolam is combined with Thiothixene.]
[N05CH02, ramelteon, The risk or severity of adverse effects can be increased when Ramelteon is combined with Thiothixene.]
[R06AE01, buclizine, Thiothixene may increase the central nervous system depressant (CNS depressant) activities of Buclizine.]
[L01XX35, anagrelide, The risk or severity of QTc prolongation can be increased when Thiothixene is combined with Anagrelide.]
[C07AA01, alprenolol, The risk or severity of adverse effects can be increased when Alprenolol is combined with Thiothixene.]
[L03AB09, interferon alfacon-1, The metabolism of Thiothixene can be decreased when combined with Interferon alfacon-1.]
[J05AF04, stavudine, Stavudine may increase the neurotoxic activities of Thiothixene.]
[N06AA13, iprindole, The risk or severity of adverse effects can be increased when Thiothixene is combined with Iprindole.]
[N06AF05, iproniazid, The risk or severity of adverse effects can be increased when Thiothixene is combined with Iproniazid.]
[J05AB13, penciclovir, The metabolism of Thiothixene can be decreased when combined with Penciclovir.]
[N05AA07, chlorproethazine, The risk or severity of adverse effects can be increased when Thiothixene is combined with Chlorproethazine.]
[N06AF01, isocarboxazid, The risk or severity of adverse effects can be increased when Isocarboxazid is combined with Thiothixene.]
[N01AB06, isoflurane, The risk or severity of adverse effects can be increased when Isoflurane is combined with Thiothixene.]
[N04BX02, entacapone, The therapeutic efficacy of Entacapone can be decreased when used in combination with Thiothixene.]
[J04AC01, isoniazid, The metabolism of Thiothixene can be decreased when combined with Isoniazid.]
[N06AX18, reboxetine, The risk or severity of adverse effects can be increased when Reboxetine is combined with Thiothixene.]
[H01AC01, somatropin, The metabolism of Thiothixene can be increased when combined with Somatotropin.]
[L04AC07, tocilizumab, The metabolism of Thiothixene can be increased when combined with Tocilizumab.]
[N01AX03, ketamine, The risk or severity of adverse effects can be increased when Ketamine is combined with Thiothixene.]
[C02KD01, ketanserin, The risk or severity of adverse effects can be increased when Thiothixene is combined with Ketanserin.]
[J02AB02, ketoconazole, The metabolism of Thiothixene can be decreased when combined with Ketoconazole.]
[N05AH03, olanzapine, Thiothixene may increase the central nervous system depressant (CNS depressant) activities of Olanzapine.]
[V03AC03, deferasirox, The serum concentration of Thiothixene can be increased when it is combined with Deferasirox.]
[L04AA24, abatacept, The metabolism of Thiothixene can be increased when combined with Abatacept.]
[R06AX25, mizolastine, The risk or severity of QTc prolongation can be increased when Thiothixene is combined with Mizolastine.]
[N04BC09, rotigotine, Thiothixene may increase the sedative activities of Rotigotine.]
[J01MB02, nalidixic acid, The metabolism of Thiothixene can be decreased when combined with Nalidixic acid.]
[N04BB01, amantadine, The therapeutic efficacy of Amantadine can be decreased when used in combination with Thiothixene.]
[N03AX18, lacosamide, The risk or severity of adverse effects can be increased when Thiothixene is combined with Lacosamide.]
[N04BA01, levodopa, The therapeutic efficacy of Levodopa can be decreased when used in combination with Thiothixene.]
[S02DA01, lidocaine, The metabolism of Thiothixene can be decreased when combined with Lidocaine.]
[C08EX01, lidoflazine, The risk or severity of QTc prolongation can be increased when Thiothixene is combined with Lidoflazine.]
[J01FF02, lincomycin, Thiothixene may increase the neurotoxic activities of Lincomycin.]
[N06BA13, armodafinil, The metabolism of Thiothixene can be increased when combined with Armodafinil.]
[N02CA07, lisuride, The therapeutic efficacy of Lisuride can be decreased when used in combination with Thiothixene.]
[N06AA07, lofepramine, The risk or severity of adverse effects can be increased when Thiothixene is combined with Lofepramine.]
[A07DA03, loperamide, The risk or severity of QTc prolongation can be increased when Thiothixene is combined with Loperamide.]
[N05BA06, lorazepam, The risk or severity of adverse effects can be increased when Lorazepam is combined with Thiothixene.]
[N05AH01, loxapine, The risk or severity of adverse effects can be increased when Loxapine is combined with Thiothixene.]
[V04CC02, magnesium sulfate, The therapeutic efficacy of Thiothixene can be increased when used in combination with Magnesium sulfate.]
[L01EA03, nilotinib, The risk or severity of QTc prolongation can be increased when Thiothixene is combined with Nilotinib.]
[N06AA21, maprotiline, Thiothixene may increase the central nervous system depressant (CNS depressant) activities of Maprotiline.]
[A08AA05, mazindol, The risk or severity of adverse effects can be increased when Mazindol is combined with Thiothixene.]
[R06AE05, meclizine, The risk or severity of adverse effects can be increased when Meclizine is combined with Thiothixene.]
[N05BA03, medazepam, The risk or severity of adverse effects can be increased when Thiothixene is combined with Medazepam.]
[P01BC02, mefloquine, The risk or severity of QTc prolongation can be increased when Mefloquine is combined with Thiothixene.]
[N05CH01, melatonin, The risk or severity of adverse effects can be increased when Melatonin is combined with Thiothixene.]
[N06DX01, memantine, The therapeutic efficacy of Memantine can be decreased when used in combination with Thiothixene.]
[N02AB02, meperidine, The risk or severity of adverse effects can be increased when Meperidine is combined with Thiothixene.]
[C01CA11, mephentermine, Thiothixene may decrease the stimulatory activities of Mephentermine.]
[N03AB04, mephenytoin, The risk or severity of adverse effects can be increased when Mephenytoin is combined with Thiothixene.]
[N03AA01, mephobarbital, The risk or severity of adverse effects can be increased when Methylphenobarbital is combined with Thiothixene.]
[N01BB03, mepivacaine, The risk or severity of adverse effects can be increased when Mepivacaine is combined with Thiothixene.]
[N05BC01, meprobamate, The risk or severity of adverse effects can be increased when Meprobamate is combined with Thiothixene.]
[N02AX05, meptazinol, The risk or severity of adverse effects can be increased when Thiothixene is combined with Meptazinol.]
[N05AC03, mesoridazine, The risk or severity of adverse effects can be increased when Mesoridazine is combined with Thiothixene.]
[N05AX13, paliperidone, The risk or severity of QTc prolongation can be increased when Thiothixene is combined with Paliperidone.]
[A04AA04, dolasetron, The risk or severity of adverse effects can be increased when Dolasetron is combined with Thiothixene.]
[N07BC02, methadone, The risk or severity of adverse effects can be increased when Methadone is combined with Thiothixene.]
[N06BA03, methamphetamine, Thiothixene may decrease the stimulatory activities of Metamfetamine.]
[A03AB07, methantheline, Thiothixene may increase the central nervous system depressant (CNS depressant) activities of Methantheline.]
[R06AC05, methapyrilene, The risk or severity of adverse effects can be increased when Thiothixene is combined with Methapyrilene.]
[N05CM01, methaqualone, The risk or severity of adverse effects can be increased when Thiothixene is combined with Methaqualone.]
[N03AA30, metharbital, The risk or severity of adverse effects can be increased when Metharbital is combined with Thiothixene.]
[G02CB05, metergoline, The risk or severity of adverse effects can be increased when Thiothixene is combined with Metergoline.]
[H03BB02, methimazole, The metabolism of Thiothixene can be decreased when combined with Methimazole.]
[L01BA04, pemetrexed, The metabolism of Thiothixene can be decreased when combined with Pemetrexed.]
[M03BA03, methocarbamol, The risk or severity of adverse effects can be increased when Methocarbamol is combined with Thiothixene.]
[N05CA15, methohexital, The risk or severity of adverse effects can be increased when Methohexital is combined with Thiothixene.]
[N02BG08, ziconotide, The risk or severity of CNS depression can be increased when Thiothixene is combined with Ziconotide.]
[N05AA02, methotrimeprazine, Thiothixene may increase the central nervous system depressant (CNS depressant) activities of Methotrimeprazine.]
[D05BA02, methoxsalen, The metabolism of Thiothixene can be decreased when combined with Methoxsalen.]
[N02BG09, methoxyflurane, The risk or severity of adverse effects can be increased when Methoxyflurane is combined with Thiothixene.]
[V04CG05, methylene blue, The risk or severity of adverse effects can be increased when Thiothixene is combined with Methylene blue.]
[R03DA05, aminophylline, The metabolism of Thiothixene can be decreased when combined with Aminophylline.]
[N06BA04, methylphenidate, The risk or severity of adverse effects can be increased when Thiothixene is combined with Methylphenidate.]
[N03AF03, rufinamide, The risk or severity of adverse effects can be increased when Rufinamide is combined with Thiothixene.]
[N05CE02, methyprylon, The risk or severity of adverse effects can be increased when Methyprylon is combined with Thiothixene.]
[N02CA04, methysergide, The risk or severity of adverse effects can be increased when Methysergide is combined with Thiothixene.]
[A03FA01, metoclopramide, The risk or severity of adverse effects can be increased when Metoclopramide is combined with Thiothixene.]
[P01AB01, metronidazole, The risk or severity of QTc prolongation can be increased when Metronidazole is combined with Thiothixene.]
[C01BB02, mexiletine, The metabolism of Thiothixene can be decreased when combined with Mexiletine.]
[N06AX03, mianserin, The risk or severity of adverse effects can be increased when Mianserin is combined with Thiothixene.]
[N02BB03, aminopyrine, The metabolism of Thiothixene can be decreased when combined with Aminophenazone.]
[N05CD08, midazolam, The risk or severity of adverse effects can be increased when Midazolam is combined with Thiothixene.]
[G03XB01, mifepristone, The risk or severity of QTc prolongation can be increased when Thiothixene is combined with Mifepristone.]
[J01AA08, minocycline, Minocycline may increase the central nervous system depressant (CNS depressant) activities of Thiothixene.]
[N06BA12, lisdexamfetamine, Thiothixene may decrease the stimulatory activities of Lisdexamfetamine.]
[N05AE02, molindone, The risk or severity of adverse effects can be increased when Molindone is combined with Thiothixene.]
[C01BD01, amiodarone, The metabolism of Thiothixene can be decreased when combined with Amiodarone.]
[N06AA09, amitriptyline, The metabolism of Amitriptyline can be decreased when combined with Thiothixene.]
[N02AA01, morphine, The risk or severity of adverse effects can be increased when Morphine is combined with Thiothixene.]
[A04AA05, palonosetron, The risk or severity of adverse effects can be increased when Palonosetron is combined with Thiothixene.]
[L04AB05, certolizumab pegol, The metabolism of Thiothixene can be increased when combined with Certolizumab pegol.]
[B02BX05, eltrombopag, The metabolism of Eltrombopag can be decreased when combined with Thiothixene.]
[L01EX03, pazopanib, The metabolism of Pazopanib can be decreased when combined with Thiothixene.]
[M03AC03, vecuronium, The risk or severity of adverse effects can be increased when Vecuronium is combined with Thiothixene.]
[N05CA02, amobarbital, The risk or severity of adverse effects can be increased when Amobarbital is combined with Thiothixene.]
[P01BA06, amodiaquine, The risk or severity of QTc prolongation can be increased when Amodiaquine is combined with Thiothixene.]
[R03BB01, ipratropium bromide, Thiothixene may increase the central nervous system depressant (CNS depressant) activities of Ipratropium.]
[N06AA17, amoxapine, Thiothixene may increase the central nervous system depressant (CNS depressant) activities of Amoxapine.]
[N03AB05, fosphenytoin, The risk or severity of adverse effects can be increased when Fosphenytoin is combined with Thiothixene.]
[L03AB08, interferon beta-1b, The metabolism of Thiothixene can be decreased when combined with Interferon beta-1b.]
[N04BC04, ropinirole, The therapeutic efficacy of Ropinirole can be decreased when used in combination with Thiothixene.]
[J01CF06, nafcillin, The metabolism of Thiothixene can be increased when combined with Nafcillin.]
[C04AX21, nafronyl, The risk or severity of adverse effects can be increased when Thiothixene is combined with Naftidrofuryl.]
[N02AF02, nalbuphine, The risk or severity of adverse effects can be increased when Nalbuphine is combined with Thiothixene.]
[L04AC03, anakinra, The metabolism of Thiothixene can be increased when combined with Anakinra.]
[N06BA01, amphetamine, Thiothixene may decrease the stimulatory activities of Amphetamine.]
[M02AA12, naproxen, The metabolism of Thiothixene can be decreased when combined with Naproxen.]
[N06AX21, duloxetine, The risk or severity of adverse effects can be increased when Thiothixene is combined with Duloxetine.]
[N04BX01, tolcapone, The therapeutic efficacy of Tolcapone can be decreased when used in combination with Thiothixene.]
[S03AA01, neomycin, Neomycin may increase the neurotoxic activities of Thiothixene.]
[N01AH06, remifentanil, The risk or severity of adverse effects can be increased when Remifentanil is combined with Thiothixene.]
[C01CX08, levosimendan, The risk or severity of QTc prolongation can be increased when Thiothixene is combined with Levosimendan.]
[N05AX14, iloperidone, The risk or severity of QTc prolongation can be increased when Thiothixene is combined with Iloperidone.]
[N06AX23, desvenlafaxine, The risk or severity of adverse effects can be increased when Thiothixene is combined with Desvenlafaxine.]
[N06AF02, nialamide, The risk or severity of adverse effects can be increased when Thiothixene is combined with Nialamide.]
[C08CA04, nicardipine, Thiothixene may increase the central nervous system depressant (CNS depressant) activities of Nicardipine.]
[P02DA01, niclosamide, The metabolism of Thiothixene can be decreased when combined with Niclosamide.]
[C08CA05, nifedipine, The metabolism of Thiothixene can be decreased when combined with Nifedipine.]
[C08CA06, nimodipine, The risk or severity of QTc prolongation can be increased when Thiothixene is combined with Nimodipine.]
[N05CD02, nitrazepam, The risk or severity of adverse effects can be increased when Nitrazepam is combined with Thiothixene.]
[C08CA08, nitrendipine, The risk or severity of QTc prolongation can be increased when Nitrendipine is combined with Thiothixene.]
[N05CF03, zaleplon, The risk or severity of adverse effects can be increased when Zaleplon is combined with Thiothixene.]
[N04BC05, pramipexole, The therapeutic efficacy of Pramipexole can be decreased when used in combination with Thiothixene.]
[N01AX13, nitrous oxide, The risk or severity of adverse effects can be increased when Thiothixene is combined with Nitrous oxide.]
[N06AX04, nomifensine, The risk or severity of adverse effects can be increased when Thiothixene is combined with Nomifensine.]
[S01AE02, norfloxacin, The risk or severity of QTc prolongation can be increased when Norfloxacin is combined with Thiothixene.]
[N06AA10, nortriptyline, Thiothixene may increase the central nervous system depressant (CNS depressant) activities of Nortriptyline.]
[L03AB07, interferon beta-1a, The metabolism of Thiothixene can be decreased when combined with Interferon beta-1a.]
[H01CB02, octreotide, The risk or severity of QTc prolongation can be increased when Octreotide is combined with Thiothixene.]
[S02AA16, ofloxacin, The risk or severity of QTc prolongation can be increased when Thiothixene is combined with Ofloxacin.]
[L04AC04, rilonacept, The metabolism of Thiothixene can be increased when combined with Rilonacept.]
[A02BC01, omeprazole, The metabolism of Thiothixene can be increased when combined with Omeprazole.]
[N06AA05, opipramol, The risk or severity of adverse effects can be increased when Thiothixene is combined with Opipramol.]
[N02AA02, opium, The risk or severity of adverse effects can be increased when Thiothixene is combined with Opium.]
[G02CB04, quinagolide, The therapeutic efficacy of Quinagolide can be decreased when used in combination with Thiothixene.]
[N05BA04, oxazepam, The risk or severity of adverse effects can be increased when Oxazepam is combined with Thiothixene.]
[J01MB05, oxolinic acid, The risk or severity of QTc prolongation can be increased when Thiothixene is combined with Oxolinic acid.]
[C07AA02, oxprenolol, The risk or severity of adverse effects can be increased when Oxprenolol is combined with Thiothixene.]
[N02AA05, oxycodone, The risk or severity of adverse effects can be increased when Oxycodone is combined with Thiothixene.]
[N02AA11, oxymorphone, The risk or severity of adverse effects can be increased when Oxymorphone is combined with Thiothixene.]
[N05AE01, oxypertine, The risk or severity of adverse effects can be increased when Thiothixene is combined with Oxypertine.]
[A03AB03, oxyphenonium, Thiothixene may increase the central nervous system depressant (CNS depressant) activities of Oxyphenonium.]
[H01BB02, oxytocin, The risk or severity of QTc prolongation can be increased when Oxytocin is combined with Thiothixene.]
[N05AH05, asenapine, The risk or severity of QTc prolongation can be increased when Thiothixene is combined with Asenapine.]
[N02AX06, tapentadol, Tapentadol may increase the central nervous system depressant (CNS depressant) activities of Thiothixene.]
[M03AC01, pancuronium, Thiothixene may increase the central nervous system depressant (CNS depressant) activities of Pancuronium.]
[G04BE02, papaverine, The risk or severity of QTc prolongation can be increased when Thiothixene is combined with Papaverine.]
[N05CC05, paraldehyde, Thiothixene may increase the central nervous system depressant (CNS depressant) activities of Paraldehyde.]
[C02KC01, pargyline, The risk or severity of adverse effects can be increased when Thiothixene is combined with Pargyline.]
[J01MA03, pefloxacin, The risk or severity of QTc prolongation can be increased when Pefloxacin is combined with Thiothixene.]
[G04BD11, fesoterodine, Thiothixene may increase the central nervous system depressant (CNS depressant) activities of Fesoterodine.]
[C07AA23, penbutolol, The risk or severity of adverse effects can be increased when Penbutolol is combined with Thiothixene.]
[N05AG03, penfluridol, The risk or severity of adverse effects can be increased when Thiothixene is combined with Penfluridol.]
[N02AD01, pentazocine, The risk or severity of adverse effects can be increased when Pentazocine is combined with Thiothixene.]
[N05CA01, pentobarbital, The risk or severity of adverse effects can be increased when Pentobarbital is combined with Thiothixene.]
[C04AD03, pentoxifylline, The metabolism of Thiothixene can be decreased when combined with Pentoxifylline.]
[N05AB10, perazine, The risk or severity of adverse effects can be increased when Thiothixene is combined with Perazine.]
[N04BC02, pergolide, The therapeutic efficacy of Pergolide can be decreased when used in combination with Thiothixene.]
[C08EX02, perhexiline, The risk or severity of QTc prolongation can be increased when Perhexiline is combined with Thiothixene.]
[N05AB03, perphenazine, The risk or severity of adverse effects can be increased when Perphenazine is combined with Thiothixene.]
[N02BE03, phenacetin, The metabolism of Phenacetin can be decreased when combined with Thiothixene.]
[N02AD02, phenazocine, The risk or severity of adverse effects can be increased when Thiothixene is combined with Phenazocine.]
[N06AF03, phenelzine, The risk or severity of adverse effects can be increased when Phenelzine is combined with Thiothixene.]
[B01AA02, phenindione, The risk or severity of adverse effects can be increased when Thiothixene is combined with Phenindione.]
[R06AB05, pheniramine, The risk or severity of QTc prolongation can be increased when Pheniramine is combined with Thiothixene.]
[N03AA02, phenobarbital, The risk or severity of adverse effects can be increased when Phenobarbital is combined with Thiothixene.]
[N01AH04, phenoperidine, The risk or severity of adverse effects can be increased when Thiothixene is combined with Phenoperidine.]
[B01AA04, phenprocoumon, The risk or severity of adverse effects can be increased when Thiothixene is combined with Phenprocoumon.]
[A08AA01, phentermine, Thiothixene may decrease the stimulatory activities of Phentermine.]
[S01GA05, phenylephrine, The metabolism of Thiothixene can be increased when combined with Phenylephrine.]
[N03AB02, phenytoin, The risk or severity of adverse effects can be increased when Phenytoin is combined with Thiothixene.]
[L04AB06, golimumab, The metabolism of Thiothixene can be increased when combined with Golimumab.]
[S01AE05, levofloxacin, The risk or severity of QTc prolongation can be increased when Thiothixene is combined with Levofloxacin.]
[C08CX01, mibefradil, The metabolism of Thiothixene can be decreased when combined with Mibefradil.]
[N05AG02, pimozide, The risk or severity of QTc prolongation can be increased when Thiothixene is combined with Pimozide.]
[C07AA03, pindolol, The risk or severity of adverse effects can be increased when Pindolol is combined with Thiothixene.]
[J05AE01, saquinavir, The risk or severity of QTc prolongation can be increased when Thiothixene is combined with Saquinavir.]
[N05AC04, pipothiazine, The risk or severity of adverse effects can be increased when Pipotiazine is combined with Thiothixene.]
[A02BX03, pirenzepine, Thiothixene may increase the central nervous system depressant (CNS depressant) activities of Pirenzepine.]
[N04BC08, piribedil, The therapeutic efficacy of Piribedil can be decreased when used in combination with Thiothixene.]
[N02AC03, pirinitramide, The risk or severity of adverse effects can be increased when Thiothixene is combined with Piritramide.]
[J01MA11, grepafloxacin, The risk or severity of QTc prolongation can be increased when Thiothixene is combined with Grepafloxacin.]
[N02CX01, pizotyline, Thiothixene may increase the central nervous system depressant (CNS depressant) activities of Pizotifen.]
[N05CA22, proxibarbal, The risk or severity of adverse effects can be increased when Thiothixene is combined with Proxibarbal.]
[A03AE01, alosetron, The metabolism of Thiothixene can be decreased when combined with Alosetron.]
[L04AC08, canakinumab, The metabolism of Thiothixene can be increased when combined with Canakinumab.]
[S03AA03, polymyxin B, Thiothixene may increase the neurotoxic activities of Polymyxin B.]
[J05AE03, ritonavir, The risk or severity of QTc prolongation can be increased when Ritonavir is combined with Thiothixene.]
[C01BA08, prajmaline, The risk or severity of QTc prolongation can be increased when Thiothixene is combined with Prajmaline.]
[N05BA11, prazepam, The risk or severity of adverse effects can be increased when Prazepam is combined with Thiothixene.]
[P02BA01, praziquantel, The metabolism of Thiothixene can be decreased when combined with Praziquantel.]
[R06AX05, antazoline, The risk or severity of QTc prolongation can be increased when Thiothixene is combined with Antazoline.]
[C01DX02, prenylamine, The risk or severity of QTc prolongation can be increased when Thiothixene is combined with Prenylamine.]
[N01BB04, prilocaine, The risk or severity of adverse effects can be increased when Prilocaine is combined with Thiothixene.]
[P01BA03, primaquine, The metabolism of Thiothixene can be increased when combined with Primaquine.]
[N03AA03, primidone, The metabolism of Thiothixene can be increased when combined with Primidone.]
[C10AX02, probucol, The risk or severity of QTc prolongation can be increased when Thiothixene is combined with Probucol.]
[C01BA02, procainamide, The risk or severity of QTc prolongation can be increased when Thiothixene is combined with Procainamide.]
[S01HA05, procaine, The risk or severity of adverse effects can be increased when Procaine is combined with Thiothixene.]
[L01XB01, procarbazine, The risk or severity of adverse effects can be increased when Procarbazine is combined with Thiothixene.]
[N05AB04, prochlorperazine, The risk or severity of adverse effects can be increased when Prochlorperazine is combined with Thiothixene.]
[N04AA04, procyclidine, The therapeutic efficacy of Procyclidine can be decreased when used in combination with Thiothixene.]
[N05AA03, promazine, Thiothixene may increase the central nervous system depressant (CNS depressant) activities of Promazine.]
[R06AD02, promethazine, Thiothixene may increase the central nervous system depressant (CNS depressant) activities of Promethazine.]
[C01BC03, propafenone, The metabolism of Thiothixene can be decreased when combined with Propafenone.]
[N01AX04, propanidid, The risk or severity of adverse effects can be increased when Thiothixene is combined with Propanidid.]
[A03AB05, propantheline, Thiothixene may increase the central nervous system depressant (CNS depressant) activities of Propantheline.]
[N05AC01, periciazine, The risk or severity of adverse effects can be increased when Periciazine is combined with Thiothixene.]
[N05CM06, propiomazine, Thiothixene may increase the central nervous system depressant (CNS depressant) activities of Propiomazine.]
[L01XH02, romidepsin, The risk or severity of QTc prolongation can be increased when Thiothixene is combined with Romidepsin.]
[N01AX10, propofol, The risk or severity of adverse effects can be increased when Propofol is combined with Thiothixene.]
[N02AC04, propoxyphene, The risk or severity of adverse effects can be increased when Dextropropoxyphene is combined with Thiothixene.]
[C07AA05, propranolol, The metabolism of Thiothixene can be decreased when combined with Propranolol.]
[N02CC04, rizatriptan, The risk or severity of adverse effects can be increased when Rizatriptan is combined with Thiothixene.]
[N06AA11, protriptyline, The risk or severity of adverse effects can be increased when Protriptyline is combined with Thiothixene.]
[R01BA02, pseudoephedrine, Thiothixene may decrease the stimulatory activities of Pseudoephedrine.]
[N05AX12, aripiprazole, Thiothixene may increase the central nervous system depressant (CNS depressant) activities of Aripiprazole.]
[A03AB15, diphemanil, Thiothixene may increase the central nervous system depressant (CNS depressant) activities of Diphemanil.]
[A03AB09, isopropamide, Thiothixene may increase the central nervous system depressant (CNS depressant) activities of Isopropamide.]
[S01FA03, methscopolamine, Thiothixene may increase the central nervous system depressant (CNS depressant) activities of Methscopolamine.]
[N05CA07, talbutal, The risk or severity of adverse effects can be increased when Talbutal is combined with Thiothixene.]
[N05CA09, vinbarbital, The risk or severity of adverse effects can be increased when Thiothixene is combined with Vinbarbital.]
[N05BB02, captodiamine, The risk or severity of adverse effects can be increased when Thiothixene is combined with Captodiame.]
[M03BA04, styramate, The risk or severity of adverse effects can be increased when Thiothixene is combined with Styramate.]
[P02CC01, pyrantel, The risk or severity of adverse effects can be increased when Thiothixene is combined with Pyrantel.]
[R06AC01, pyrilamine, The risk or severity of adverse effects can be increased when Thiothixene is combined with Mepyramine.]
[C01BA01, quinidine, The metabolism of Thiothixene can be decreased when combined with Quinidine.]
[P01BC01, quinine, The risk or severity of QTc prolongation can be increased when Thiothixene is combined with Quinine.]
[A02BA02, ranitidine, The metabolism of Thiothixene can be decreased when combined with Ranitidine.]
[C02AA02, reserpine, The risk or severity of adverse effects can be increased when Reserpine is combined with Thiothixene.]
[J04AB02, rifampin, The metabolism of Thiothixene can be increased when combined with Rifampicin.]
[N06AX01, 5-hydroxytryptophan, The risk or severity of adverse effects can be increased when Thiothixene is combined with Oxitriptan.]
[J01FA06, roxithromycin, The risk or severity of QTc prolongation can be increased when Thiothixene is combined with Roxithromycin.]
[S01FA02, scopolamine, Thiothixene may increase the central nervous system depressant (CNS depressant) activities of Scopolamine.]
[N05CA06, secobarbital, The risk or severity of adverse effects can be increased when Secobarbital is combined with Thiothixene.]
[N04BD01, selegiline, The therapeutic efficacy of Selegiline can be decreased when used in combination with Thiothixene.]
[C07AA07, sotalol, The risk or severity of QTc prolongation can be increased when Thiothixene is combined with Sotalol.]
