[S02DA03, antipyrine, The metabolism of Antipyrine can be decreased when combined with Almotriptan.]
[C02AC05, moxonidine, Almotriptan may decrease the antihypertensive activities of Moxonidine.]
[M01AH05, etoricoxib, The risk or severity of hypertension can be increased when Almotriptan is combined with Etoricoxib.]
[L01AX04, dacarbazine, Dacarbazine may decrease the excretion rate of Almotriptan which could result in a higher serum level.]
[G03XA01, danazol, The metabolism of Almotriptan can be decreased when combined with Danazol.]
[M03CA01, dantrolene, The risk or severity of adverse effects can be increased when Almotriptan is combined with Dantrolene.]
[J04BA02, dapsone, The metabolism of Almotriptan can be decreased when combined with Dapsone.]
[N06BX04, deanol, The risk or severity of adverse effects can be increased when Almotriptan is combined with Deanol.]
[C02CC04, debrisoquin, Almotriptan may decrease the antihypertensive activities of Debrisoquine.]
[A04AD11, nabilone, Nabilone may increase the central nervous system depressant (CNS depressant) activities of Almotriptan.]
[M01AX01, nabumetone, The risk or severity of hypertension can be increased when Nabumetone is combined with Almotriptan.]
[N07BB05, nalmefene, Almotriptan may decrease the excretion rate of Nalmefene which could result in a higher serum level.]
[N05BA16, nordazepam, The risk or severity of adverse effects can be increased when Almotriptan is combined with Nordazepam.]
[C07AB12, nebivolol, Almotriptan may decrease the antihypertensive activities of Nebivolol.]
[S01GX04, nedocromil, Nedocromil may decrease the excretion rate of Almotriptan which could result in a higher serum level.]
[N06AX06, nefazodone, The metabolism of Almotriptan can be decreased when combined with Nefazodone.]
[N05CM16, niaprazine, The risk or severity of adverse effects can be increased when Almotriptan is combined with Niaprazine.]
[C01DX16, nicorandil, Almotriptan may decrease the antihypertensive activities of Nicorandil.]
[L02BB02, nilutamide, The metabolism of Almotriptan can be decreased when combined with Nilutamide.]
[N03AG06, tiagabine, The risk or severity of adverse effects can be increased when Tiagabine is combined with Almotriptan.]
[C01CA23, theodrenaline, The risk or severity of hypertension can be increased when Almotriptan is combined with Theodrenaline.]
[M03AC11, cisatracurium, The risk or severity of adverse effects can be increased when Cisatracurium is combined with Almotriptan.]
[C01CA05, norfenefrine, The risk or severity of hypertension can be increased when Almotriptan is combined with Norfenefrine.]
[R05DA06, normethadone, The risk or severity of adverse effects can be increased when Almotriptan is combined with Normethadone.]
[B01AX05, fondaparinux, Fondaparinux may decrease the excretion rate of Almotriptan which could result in a higher serum level.]
[N06AB10, escitalopram, The risk or severity of serotonin syndrome can be increased when Almotriptan is combined with Escitalopram.]
[G04BD08, solifenacin, Almotriptan may increase the central nervous system depressant (CNS depressant) activities of Solifenacin.]
[A07EC03, olsalazine, The risk or severity of hypertension can be increased when Almotriptan is combined with Olsalazine.]
[N06AA01, desipramine, The metabolism of Almotriptan can be decreased when combined with Desipramine.]
[H01BA02, desmopressin, The risk or severity of hypertension can be increased when Desmopressin is combined with Almotriptan.]
[J01DH03, ertapenem, Ertapenem may decrease the excretion rate of Almotriptan which could result in a higher serum level.]
[C09XA02, aliskiren, Almotriptan may decrease the antihypertensive activities of Aliskiren.]
[M01AE12, oxaprozin, The risk or severity of hypertension can be increased when Almotriptan is combined with Oxaprozin.]
[N03AF02, oxcarbazepine, The risk or severity of adverse effects can be increased when Oxcarbazepine is combined with Almotriptan.]
[S03BA01, dexamethasone, The metabolism of Almotriptan can be increased when combined with Dexamethasone.]
[N06BX07, oxiracetam, The risk or severity of adverse effects can be increased when Almotriptan is combined with Oxiracetam.]
[N04AA08, dexetimide, Almotriptan may increase the central nervous system depressant (CNS depressant) activities of Dexetimide.]
[G04BD04, oxybutynin, Almotriptan may increase the central nervous system depressant (CNS depressant) activities of Oxybutynin.]
[A08AA04, dexfenfluramine, The risk or severity of serotonin syndrome can be increased when Almotriptan is combined with Dexfenfluramine.]
[A03AA01, oxyphencyclimine, Almotriptan may increase the central nervous system depressant (CNS depressant) activities of Oxyphencyclimine.]
[L04AB04, adalimumab, The metabolism of Almotriptan can be increased when combined with Adalimumab.]
[L01EB01, gefitinib, The metabolism of Almotriptan can be decreased when combined with Gefitinib.]
[N06BA02, dextroamphetamine, The risk or severity of serotonin syndrome can be increased when Amphetamine is combined with Almotriptan.]
[R05DA09, dextromethorphan, The risk or severity of adverse effects can be increased when Dextromethorphan is combined with Almotriptan.]
[N03AC01, paramethadione, The risk or severity of adverse effects can be increased when Paramethadione is combined with Almotriptan.]
[N02AC01, dextromoramide, The risk or severity of adverse effects can be increased when Almotriptan is combined with Dextromoramide.]
[N06AB05, paroxetine, The risk or severity of serotonin syndrome can be increased when Paroxetine is combined with Almotriptan.]
[B01AC04, clopidogrel, The metabolism of Almotriptan can be decreased when combined with Clopidogrel.]
[N07BC06, heroin, The risk or severity of adverse effects can be increased when Almotriptan is combined with Diamorphine.]
[C01DA05, pentaerythritol tetranitrate, Almotriptan may decrease the excretion rate of Pentaerythritol tetranitrate which could result in a higher serum level.]
[P03AC04, permethrin, Almotriptan may decrease the excretion rate of Permethrin which could result in a higher serum level.]
[N05BA01, diazepam, The risk or severity of adverse effects can be increased when Diazepam is combined with Almotriptan.]
[N03AX07, phenacemide, The risk or severity of adverse effects can be increased when Almotriptan is combined with Phenacemide.]
[V03AH01, diazoxide, Almotriptan may decrease the antihypertensive activities of Diazoxide.]
[N03AD02, phensuximide, The risk or severity of adverse effects can be increased when Phensuximide is combined with Almotriptan.]
[N06AA08, dibenzepin, The risk or severity of adverse effects can be increased when Almotriptan is combined with Dibenzepin.]
[S02DA04, dibucaine, The risk or severity of adverse effects can be increased when Cinchocaine is combined with Almotriptan.]
[R05DA08, pholcodine, Almotriptan may decrease the excretion rate of Pholcodine which could result in a higher serum level.]
[S01EC02, dichlorphenamide, Diclofenamide may increase the excretion rate of Almotriptan which could result in a lower serum level and potentially a reduction in efficacy.]
[S01BC03, diclofenac, The metabolism of Almotriptan can be decreased when combined with Diclofenac.]
[J05AD01, foscarnet, Foscarnet may decrease the excretion rate of Almotriptan which could result in a higher serum level.]
[A03AA07, dicyclomine, Almotriptan may increase the central nervous system depressant (CNS depressant) activities of Dicyclomine.]
[J05AF02, didanosine, Didanosine may decrease the excretion rate of Almotriptan which could result in a higher serum level.]
[C02DG01, pinacidil, Almotriptan may decrease the antihypertensive activities of Pinacidil.]
[A10BG03, pioglitazone, The metabolism of Almotriptan can be decreased when combined with Pioglitazone.]
[N05AD05, pipamperone, The risk or severity of adverse effects can be increased when Almotriptan is combined with Pipamperone.]
[A03AB14, pipenzolate, Almotriptan may increase the central nervous system depressant (CNS depressant) activities of Pipenzolate.]
[L01EB02, erlotinib, The metabolism of Erlotinib can be decreased when combined with Almotriptan.]
[R03CC07, pirbuterol, The risk or severity of hypertension can be increased when Almotriptan is combined with Pirbuterol.]
[C03CA03, piretanide, Piretanide may increase the excretion rate of Almotriptan which could result in a lower serum level and potentially a reduction in efficacy.]
[A08AA03, diethylpropion, The risk or severity of adverse effects can be increased when Almotriptan is combined with Diethylpropion.]
[L02AA01, diethylstilbestrol, The metabolism of Almotriptan can be decreased when combined with Diethylstilbestrol.]
[C08CA03, isradipine, The metabolism of Almotriptan can be decreased when combined with Isradipine.]
[D07XC04, diflucortolone, Almotriptan may decrease the excretion rate of Difluocortolone which could result in a higher serum level.]
[A03AB11, poldine, Almotriptan may increase the central nervous system depressant (CNS depressant) activities of Poldine.]
[N02BA11, diflunisal, The risk or severity of hypertension can be increased when Diflunisal is combined with Almotriptan.]
[C01AA05, digoxin, Almotriptan may decrease the excretion rate of Digoxin which could result in a higher serum level.]
[C02DB01, dihydralazine, Almotriptan may decrease the antihypertensive activities of Dihydralazine.]
[C04AE04, dihydroergocristine, Dihydroergocristine may increase the vasoconstricting activities of Almotriptan.]
[N02CA01, dihydroergotamine, Dihydroergotamine may increase the vasoconstricting activities of Almotriptan.]
[N02AA03, hydromorphone, The risk or severity of adverse effects can be increased when Hydromorphone is combined with Almotriptan.]
[L04AX04, lenalidomide, Lenalidomide may decrease the excretion rate of Almotriptan which could result in a higher serum level.]
[J05AE08, atazanavir, The metabolism of Almotriptan can be decreased when combined with Atazanavir.]
[B01AC21, treprostinil, The metabolism of Almotriptan can be decreased when combined with Treprostinil.]
[H03BC01, potassium perchlorate, Almotriptan may decrease the excretion rate of Potassium perchlorate which could result in a higher serum level.]
[V03AB04, pralidoxime, Pralidoxime may decrease the excretion rate of Almotriptan which could result in a higher serum level.]
[D04AB07, pramoxine, The risk or severity of adverse effects can be increased when Almotriptan is combined with Pramocaine.]
[C08DB01, diltiazem, The metabolism of Almotriptan can be decreased when combined with Diltiazem.]
[R06AA11, dimenhydrinate, The risk or severity of adverse effects can be increased when Almotriptan is combined with Dimenhydrinate.]
[V03AB09, dimercaprol, Almotriptan may decrease the excretion rate of Dimercaprol which could result in a higher serum level.]
[M03BX03, pridinol, The risk or severity of adverse effects can be increased when Almotriptan is combined with Pridinol.]
[R06AB03, dimethindene, Almotriptan may increase the central nervous system depressant (CNS depressant) activities of Dimetindene.]
[R03CC08, procaterol, The risk or severity of hypertension can be increased when Almotriptan is combined with Procaterol.]
[M02AX03, dimethyl sulfoxide, The metabolism of Almotriptan can be decreased when combined with Dimethyl sulfoxide.]
[N03AG05, progabide, The risk or severity of adverse effects can be increased when Progabide is combined with Almotriptan.]
[N02BB04, propyphenazone, The risk or severity of hypertension can be increased when Almotriptan is combined with Propyphenazone.]
[M01AB14, proglumetacin, The risk or severity of hypertension can be increased when Almotriptan is combined with Proglumetacin.]
[R06AA02, diphenhydramine, Almotriptan may increase the central nervous system depressant (CNS depressant) activities of Diphenhydramine.]
[A07DA01, diphenoxylate, The risk or severity of adverse effects can be increased when Almotriptan is combined with Diphenoxylate.]
[N05CD10, quazepam, The risk or severity of adverse effects can be increased when Almotriptan is combined with Quazepam.]
[C09AA06, quinapril, Almotriptan may decrease the antihypertensive activities of Quinapril.]
[N06BA11, dexmethylphenidate, The risk or severity of adverse effects can be increased when Almotriptan is combined with Dexmethylphenidate.]
[N06AA23, quinupramine, The risk or severity of adverse effects can be increased when Almotriptan is combined with Quinupramine.]
[A03FA02, cisapride, The metabolism of Almotriptan can be decreased when combined with Cisapride.]
[C09AA05, ramipril, Almotriptan may decrease the antihypertensive activities of Ramipril.]
[N05AL04, remoxipride, The risk or severity of adverse effects can be increased when Almotriptan is combined with Remoxipride.]
[R03CC14, reproterol, The risk or severity of hypertension can be increased when Almotriptan is combined with Reproterol.]
[S01AX06, resorcinol, Almotriptan may decrease the excretion rate of Resorcinol which could result in a higher serum level.]
[C01BA03, disopyramide, Almotriptan may increase the central nervous system depressant (CNS depressant) activities of Disopyramide.]
[S02AA12, rifamycin SV, The metabolism of Almotriptan can be increased when combined with Rifamycin.]
[J04AB05, rifapentine, The metabolism of Almotriptan can be increased when combined with Rifapentine.]
[N07XX02, riluzole, The risk or severity of adverse effects can be increased when Riluzole is combined with Almotriptan.]
[N05AX08, risperidone, The risk or severity of adverse effects can be increased when Almotriptan is combined with Risperidone.]
[R06AE09, levocetirizine, The risk or severity of adverse effects can be increased when Almotriptan is combined with Levocetirizine.]
[N01BB09, ropivacaine, The risk or severity of adverse effects can be increased when Ropivacaine is combined with Almotriptan.]
[A04AD12, aprepitant, The metabolism of Almotriptan can be decreased when combined with Aprepitant.]
[C03XA01, tolvaptan, Tolvaptan may increase the excretion rate of Almotriptan which could result in a lower serum level and potentially a reduction in efficacy.]
[L01XG01, bortezomib, The metabolism of Almotriptan can be decreased when combined with Bortezomib.]
[G04BE08, tadalafil, Almotriptan may decrease the antihypertensive activities of Tadalafil.]
[S01BC05, ketorolac, The metabolism of Almotriptan can be decreased when combined with Ketorolac.]
[C02KX02, ambrisentan, Almotriptan may decrease the antihypertensive activities of Ambrisentan.]
[C01EB18, ranolazine, The serum concentration of Almotriptan can be increased when it is combined with Ranolazine.]
[N02BA06, salsalate, The risk or severity of hypertension can be increased when Almotriptan is combined with Salsalate.]
[R03AC12, salmeterol, The metabolism of Almotriptan can be decreased when combined with Salmeterol.]
[H05BA01, salmon calcitonin, Salmon calcitonin may decrease the excretion rate of Almotriptan which could result in a higher serum level.]
[C01CA07, dobutamine, The risk or severity of hypertension can be increased when Dobutamine is combined with Almotriptan.]
[A03FA03, domperidone, The metabolism of Domperidone can be decreased when combined with Almotriptan.]
[C01CA04, dopamine, The risk or severity of hypertension can be increased when Almotriptan is combined with Dopamine.]
[N06AA16, dothiepin, The metabolism of Almotriptan can be decreased when combined with Dosulepin.]
[R07AB01, doxapram, The risk or severity of hypertension can be increased when Doxapram is combined with Almotriptan.]
[N06AA12, doxepin, Almotriptan may increase the central nervous system depressant (CNS depressant) activities of Doxepin.]
[L01DB01, doxorubicin, The metabolism of Almotriptan can be decreased when combined with Doxorubicin.]
[J01AA02, doxycycline, Doxycycline may decrease the excretion rate of Almotriptan which could result in a higher serum level.]
[R06AA09, doxylamine, Doxylamine may increase the central nervous system depressant (CNS depressant) activities of Almotriptan.]
[N06AB06, sertraline, The risk or severity of adverse effects can be increased when Almotriptan is combined with Sertraline.]
[N01AB08, sevoflurane, The risk or severity of adverse effects can be increased when Almotriptan is combined with Sevoflurane.]
[N05AD08, droperidol, Droperidol may increase the central nervous system depressant (CNS depressant) activities of Almotriptan.]
[A08AA10, sibutramine, The risk or severity of adverse effects can be increased when Almotriptan is combined with Sibutramine.]
[C10AA01, simvastatin, The metabolism of Almotriptan can be decreased when combined with Simvastatin.]
[A12CA02, sodium sulfate, Almotriptan may decrease the excretion rate of Sodium sulfate which could result in a higher serum level.]
[C09AA11, spirapril, Almotriptan may decrease the antihypertensive activities of Spirapril.]
[R03DA01, dyphylline, Dyphylline may decrease the excretion rate of Almotriptan which could result in a higher serum level.]
[N05AL02, sultopride, The risk or severity of adverse effects can be increased when Almotriptan is combined with Sultopride.]
[N02CC01, sumatriptan, The risk or severity of adverse effects can be increased when Sumatriptan is combined with Almotriptan.]
[V04CX07, edrophonium, Almotriptan may decrease the excretion rate of Edrophonium which could result in a higher serum level.]
[C07AB13, talinolol, Almotriptan may decrease the antihypertensive activities of Talinolol.]
[L01AX03, temozolomide, Temozolomide may decrease the excretion rate of Almotriptan which could result in a higher serum level.]
[M01AC02, tenoxicam, The risk or severity of hypertension can be increased when Tenoxicam is combined with Almotriptan.]
[G04CA03, terazosin, Almotriptan may decrease the antihypertensive activities of Terazosin.]
[D01BA02, terbinafine, The metabolism of Almotriptan can be decreased when combined with Terbinafine.]
[C07AA16, tertatolol, The metabolism of Tertatolol can be decreased when combined with Almotriptan.]
[S01GA02, tetrahydrozoline, The risk or severity of hypertension can be increased when Almotriptan is combined with Tetryzoline.]
[M03BX07, tetrazepam, The risk or severity of adverse effects can be increased when Almotriptan is combined with Tetrazepam.]
[M03BX05, thiocolchicoside, The risk or severity of adverse effects can be increased when Almotriptan is combined with Thiocolchicoside.]
[N05AB05, thiopropazate, The risk or severity of adverse effects can be increased when Almotriptan is combined with Thiopropazate.]
[G04BD01, emepronium, Almotriptan may increase the central nervous system depressant (CNS depressant) activities of Emepronium.]
[N06AX14, tianeptine, The risk or severity of adverse effects can be increased when Almotriptan is combined with Tianeptine.]
[C09AA02, enalapril, Almotriptan may decrease the antihypertensive activities of Enalapril.]
[N05BA23, tofisopam, The risk or severity of adverse effects can be increased when Almotriptan is combined with Tofisopam.]
[M01AG02, tolfenamic acid, The risk or severity of hypertension can be increased when Almotriptan is combined with Tolfenamic acid.]
[N06AG03, toloxatone, The metabolism of Almotriptan can be decreased when combined with Toloxatone.]
[N06BA09, atomoxetine, The risk or severity of hypertension can be increased when Atomoxetine is combined with Almotriptan.]
[N03AX11, topiramate, The risk or severity of adverse effects can be increased when Topiramate is combined with Almotriptan.]
[C03CA04, torsemide, Torasemide may increase the excretion rate of Almotriptan which could result in a lower serum level and potentially a reduction in efficacy.]
[R01AA09, tramazoline, The risk or severity of hypertension can be increased when Almotriptan is combined with Tramazoline.]
[C09AA10, trandolapril, Almotriptan may decrease the antihypertensive activities of Trandolapril.]
[N05CD11, triazulenone, The risk or severity of adverse effects can be increased when Almotriptan is combined with Loprazolam.]
[N05CM07, triclofos, The risk or severity of adverse effects can be increased when Almotriptan is combined with Triclofos.]
[A03AB08, tridihexethyl, Almotriptan may increase the central nervous system depressant (CNS depressant) activities of Tridihexethyl.]
[R06AA10, trimethobenzamide, The risk or severity of adverse effects can be increased when Trimethobenzamide is combined with Almotriptan.]
[N04AA12, tropatepine, Almotriptan may increase the central nervous system depressant (CNS depressant) activities of Tropatepine.]
[R03CC11, tulobuterol, The risk or severity of hypertension can be increased when Almotriptan is combined with Tulobuterol.]
[N01AB04, enflurane, The risk or severity of adverse effects can be increased when Enflurane is combined with Almotriptan.]
[C02CA06, urapidil, The risk or severity of adverse effects can be increased when Almotriptan is combined with Urapidil.]
[N05AL06, veralipride, The risk or severity of adverse effects can be increased when Almotriptan is combined with Veralipride.]
[L01CA04, vinorelbine, The metabolism of Almotriptan can be decreased when combined with Vinorelbine.]
[S01FB02, ephedrine, The risk or severity of hypertension can be increased when Almotriptan is combined with Ephedrine.]
[S01GX10, epinastine, The risk or severity of adverse effects can be increased when Epinastine is combined with Almotriptan.]
[N06AX16, venlafaxine, The risk or severity of serotonin syndrome can be increased when Almotriptan is combined with Venlafaxine.]
[C01CX07, xamoterol, The risk or severity of hypertension can be increased when Almotriptan is combined with Xamoterol.]
[S01GA03, xylometazoline, The risk or severity of hypertension can be increased when Almotriptan is combined with Xylometazoline.]
[C08CA12, mepirodipine, The metabolism of Almotriptan can be decreased when combined with Barnidipine.]
[S01EA01, epinephrine, The risk or severity of hypertension can be increased when Epinephrine is combined with Almotriptan.]
[C09AA15, zofenopril, Almotriptan may decrease the antihypertensive activities of Zofenopril.]
[N05CF02, zolpidem, Almotriptan may increase the central nervous system depressant (CNS depressant) activities of Zolpidem.]
[M01AB04, zomepirac, The risk or severity of hypertension can be increased when Almotriptan is combined with Zomepirac.]
[N03AX15, zonisamide, The metabolism of Almotriptan can be decreased when combined with Zonisamide.]
[N05CF01, zopiclone, The risk or severity of adverse effects can be increased when Almotriptan is combined with Zopiclone.]
[N05AX11, zotepine, The risk or severity of adverse effects can be increased when Almotriptan is combined with Zotepine.]
[L01XA02, carboplatin, Carboplatin may decrease the excretion rate of Almotriptan which could result in a higher serum level.]
[C02AC02, guanfacine, The risk or severity of adverse effects can be increased when Almotriptan is combined with Guanfacine.]
[C01BG01, moricizine, The risk or severity of adverse effects can be increased when Almotriptan is combined with Moricizine.]
[G02AB03, ergonovine, Ergometrine may increase the vasoconstricting activities of Almotriptan.]
[C04AE01, ergoloid mesylates, USP, Ergoloid mesylate may increase the vasoconstricting activities of Almotriptan.]
[N02CA02, ergotamine, The metabolism of Almotriptan can be decreased when combined with Ergotamine.]
[L03AX05, pidotimod, Almotriptan may decrease the excretion rate of Pidotimod which could result in a higher serum level.]
[S01AA17, erythromycin, The metabolism of Almotriptan can be decreased when combined with Erythromycin.]
[N05CD04, estazolam, The risk or severity of adverse effects can be increased when Almotriptan is combined with Estazolam.]
[A02BC02, pantoprazole, Pantoprazole may decrease the excretion rate of Almotriptan which could result in a higher serum level.]
[H05BX01, cinacalcet, The metabolism of Almotriptan can be decreased when combined with Cinacalcet.]
[G03CA03, estradiol, The metabolism of Almotriptan can be decreased when combined with Estradiol.]
[G03CA57, estrogens, conjugated (USP), Conjugated estrogens may decrease the excretion rate of Almotriptan which could result in a higher serum level.]
[J04AK02, ethambutol, Ethambutol may decrease the excretion rate of Almotriptan which could result in a higher serum level.]
[R03BA09, fluticasone furoate, The metabolism of Almotriptan can be decreased when combined with Fluticasone furoate.]
[R03BA05, fluticasone, The metabolism of Almotriptan can be decreased when combined with Fluticasone.]
[C10AA04, fluvastatin, The metabolism of Almotriptan can be decreased when combined with Fluvastatin.]
[V08CA03, gadodiamide, Gadodiamide may decrease the excretion rate of Almotriptan which could result in a higher serum level.]
[C01CA15, gepefrine, The risk or severity of serotonin syndrome can be increased when Almotriptan is combined with Gepefrine.]
[N05CM08, ethchlorvynol, The risk or severity of adverse effects can be increased when Ethchlorvynol is combined with Almotriptan.]
[L02AA03, ethinyl estradiol, The metabolism of Almotriptan can be decreased when combined with Ethinylestradiol.]
[C01BD05, ibutilide, Ibutilide may decrease the excretion rate of Almotriptan which could result in a higher serum level.]
[N04AA05, profenamine, Almotriptan may increase the central nervous system depressant (CNS depressant) activities of Profenamine.]
[N03AD01, ethosuximide, The risk or severity of adverse effects can be increased when Ethosuximide is combined with Almotriptan.]
[N03AB01, ethotoin, The risk or severity of adverse effects can be increased when Ethotoin is combined with Almotriptan.]
[M01AC06, meloxicam, The risk or severity of hypertension can be increased when Meloxicam is combined with Almotriptan.]
[S01XA06, ethylmorphine, The risk or severity of adverse effects can be increased when Almotriptan is combined with Ethylmorphine.]
[C01CA01, etilefrine, The risk or severity of hypertension can be increased when Almotriptan is combined with Etilefrine.]
[N01AX07, etomidate, The risk or severity of adverse effects can be increased when Etomidate is combined with Almotriptan.]
[N05AE03, sertindole, The risk or severity of adverse effects can be increased when Almotriptan is combined with Sertindole.]
[L04AD02, tacrolimus, Tacrolimus may decrease the excretion rate of Almotriptan which could result in a higher serum level.]
[R06AX11, astemizole, The metabolism of Astemizole can be decreased when combined with Almotriptan.]
[R06AX12, terfenadine, The metabolism of Almotriptan can be decreased when combined with Terfenadine.]
[P01AX07, trimetrexate, Almotriptan may decrease the excretion rate of Trimetrexate which could result in a higher serum level.]
[N06AX12, bupropion, The metabolism of Almotriptan can be decreased when combined with Bupropion.]
[N06AB08, fluvoxamine, The metabolism of Almotriptan can be decreased when combined with Fluvoxamine.]
[C01BC08, encainide, The metabolism of Encainide can be decreased when combined with Almotriptan.]
[L02AE02, leuprolide, Leuprolide may decrease the excretion rate of Almotriptan which could result in a higher serum level.]
[M01CB01, gold sodium thiomalate, Almotriptan may decrease the excretion rate of Sodium aurothiomalate which could result in a higher serum level.]
[B05AA05, dextran, Almotriptan may decrease the excretion rate of Dextran which could result in a higher serum level.]
[V03AF02, dexrazoxane, Dexrazoxane may decrease the excretion rate of Almotriptan which could result in a higher serum level.]
[A16AA01, levocarnitine, Levocarnitine may decrease the excretion rate of Almotriptan which could result in a higher serum level.]
[C08CA02, felodipine, The metabolism of Almotriptan can be decreased when combined with Felodipine.]
[N03AX26, fenfluramine, The risk or severity of serotonin syndrome can be increased when Almotriptan is combined with Fenfluramine.]
[M01AE04, fenoprofen, The risk or severity of hypertension can be increased when Fenoprofen is combined with Almotriptan.]
[R03CC04, fenoterol, The risk or severity of hypertension can be increased when Almotriptan is combined with Fenoterol.]
[N02AB03, fentanyl, The risk or severity of adverse effects can be increased when Fentanyl is combined with Almotriptan.]
[R03CC02, albuterol, The risk or severity of hypertension can be increased when Almotriptan is combined with Salbutamol.]
[L01BB06, clofarabine, Clofarabine may decrease the excretion rate of Almotriptan which could result in a higher serum level.]
[N07AX03, cevimeline, Cevimeline may decrease the excretion rate of Almotriptan which could result in a higher serum level.]
[G04BD02, flavoxate, Almotriptan may increase the central nervous system depressant (CNS depressant) activities of Flavoxate.]
[C01BC04, flecainide, The metabolism of Flecainide can be decreased when combined with Almotriptan.]
[N02BG04, floctafenine, The risk or severity of hypertension can be increased when Almotriptan is combined with Floctafenine.]
[J02AC01, fluconazole, The metabolism of Almotriptan can be decreased when combined with Fluconazole.]
[J02AX01, flucytosine, Almotriptan may decrease the excretion rate of Flucytosine which could result in a higher serum level.]
[V03AB25, flumazenil, Almotriptan may decrease the excretion rate of Flumazenil which could result in a higher serum level.]
[N07CA03, flunarizine, The risk or severity of adverse effects can be increased when Almotriptan is combined with Flunarizine.]
[N05CD03, flunitrazepam, The risk or severity of adverse effects can be increased when Almotriptan is combined with Flunitrazepam.]
[N06AA14, melitracen, The risk or severity of adverse effects can be increased when Almotriptan is combined with Melitracen.]
[V03AZ01, ethanol, Almotriptan may increase the central nervous system depressant (CNS depressant) activities of Ethanol.]
[L01BC09, floxuridine, Floxuridine may decrease the excretion rate of Almotriptan which could result in a higher serum level.]
[L01BC02, fluorouracil, The metabolism of Fluorouracil can be decreased when combined with Almotriptan.]
[N06AB03, fluoxetine, The serum concentration of Almotriptan can be increased when it is combined with Fluoxetine.]
[N05AF01, flupenthixol, Almotriptan may increase the central nervous system depressant (CNS depressant) activities of Flupentixol.]
[N05AB02, fluphenazine, The risk or severity of adverse effects can be increased when Almotriptan is combined with Fluphenazine.]
[N05CD01, flurazepam, The risk or severity of adverse effects can be increased when Flurazepam is combined with Almotriptan.]
[S01BC04, flurbiprofen, The risk or severity of hypertension can be increased when Flurbiprofen is combined with Almotriptan.]
[N05AG01, fluspirilene, The risk or severity of adverse effects can be increased when Almotriptan is combined with Fluspirilene.]
[L02BB01, flutamide, Flutamide may decrease the excretion rate of Almotriptan which could result in a higher serum level.]
[V04CX02, folic acid, Folic acid may decrease the excretion rate of Almotriptan which could result in a higher serum level.]
[S02AA17, fosfomycin, Fosfomycin may decrease the excretion rate of Almotriptan which could result in a higher serum level.]
[S01AA07, framycetin, Framycetin may decrease the excretion rate of Almotriptan which could result in a higher serum level.]
[L01BC03, tegafur, The metabolism of Tegafur can be decreased when combined with Almotriptan.]
[N06BX17, adrafinil, The risk or severity of hypertension can be increased when Almotriptan is combined with Adrafinil.]
[M03AA01, alcuronium, The risk or severity of adverse effects can be increased when Almotriptan is combined with Alcuronium.]
[G01AX06, furazolidone, The metabolism of Almotriptan can be decreased when combined with Furazolidone.]
[J05AE10, darunavir, The metabolism of Almotriptan can be decreased when combined with Darunavir.]
[C03CA01, furosemide, Furosemide may increase the excretion rate of Almotriptan which could result in a lower serum level and potentially a reduction in efficacy.]
[N05CF04, eszopiclone, The risk or severity of CNS depression can be increased when Almotriptan is combined with Eszopiclone.]
[N05AL05, amisulpride, The risk or severity of adverse effects can be increased when Almotriptan is combined with Amisulpride.]
[N06DA04, galantamine, The metabolism of Almotriptan can be decreased when combined with Galantamine.]
[M03AC02, gallamine, The risk or severity of adverse effects can be increased when Almotriptan is combined with Gallamine.]
[S01AD09, ganciclovir, Almotriptan may decrease the excretion rate of Ganciclovir which could result in a higher serum level.]
[N03AA04, barbexaclone, The risk or severity of adverse effects can be increased when Almotriptan is combined with Barbexaclone.]
[N06AX08, bifemelane, The risk or severity of adverse effects can be increased when Almotriptan is combined with Bifemelane.]
[C10AB04, gemfibrozil, The metabolism of Almotriptan can be decreased when combined with Gemfibrozil.]
[J01XA03, telavancin, Almotriptan may decrease the excretion rate of Telavancin which could result in a higher serum level.]
[N04BC06, cabergoline, Cabergoline may increase the vasoconstricting activities of Almotriptan.]
[N03AD03, methsuximide, The risk or severity of adverse effects can be increased when Almotriptan is combined with Methsuximide.]
[N01AH02, alfentanil, The risk or severity of adverse effects can be increased when Alfentanil is combined with Almotriptan.]
[L01EH01, lapatinib, The metabolism of Lapatinib can be decreased when combined with Almotriptan.]
[A10BB07, glipizide, Almotriptan may decrease the excretion rate of Glipizide which could result in a higher serum level.]
[N05CM18, dexmedetomidine, The risk or severity of adverse effects can be increased when Dexmedetomidine is combined with Almotriptan.]
[N05CE01, glutethimide, The risk or severity of adverse effects can be increased when Almotriptan is combined with Glutethimide.]
[C05AE01, nitroglycerin, Almotriptan may decrease the antihypertensive activities of Nitroglycerin.]
[C02CA04, doxazosin, Almotriptan may decrease the antihypertensive activities of Doxazosin.]
[L01EX02, sorafenib, The metabolism of Sorafenib can be decreased when combined with Almotriptan.]
[C07AB09, esmolol, Almotriptan may decrease the antihypertensive activities of Esmolol.]
[M01CB04, aurothioglucose, Almotriptan may decrease the excretion rate of Aurothioglucose which could result in a higher serum level.]
[S01LA03, pegaptanib, Almotriptan may decrease the excretion rate of Pegaptanib which could result in a higher serum level.]
[B01AA12, fluindione, The risk or severity of adverse effects can be increased when Almotriptan is combined with Fluindione.]
[C09AA09, fosinopril, Almotriptan may decrease the antihypertensive activities of Fosinopril.]
