[S02DA03, antipyrine, The therapeutic efficacy of Furosemide can be decreased when used in combination with Antipyrine.]
[N01BB09, ropivacaine, Furosemide may increase the excretion rate of Ropivacaine which could result in a lower serum level and potentially a reduction in efficacy.]
[L01EX01, sunitinib, The therapeutic efficacy of Sunitinib can be decreased when used in combination with Furosemide.]
[C03XA01, tolvaptan, Tolvaptan may increase the excretion rate of Furosemide which could result in a lower serum level and potentially a reduction in efficacy.]
[G04BE08, tadalafil, Furosemide may increase the excretion rate of Tadalafil which could result in a lower serum level and potentially a reduction in efficacy.]
[S01BC05, ketorolac, The therapeutic efficacy of Furosemide can be decreased when used in combination with Ketorolac.]
[C02KX02, ambrisentan, Furosemide may increase the hypotensive activities of Ambrisentan.]
[C01EB18, ranolazine, Furosemide may increase the excretion rate of Ranolazine which could result in a lower serum level and potentially a reduction in efficacy.]
[N02BA06, salsalate, The therapeutic efficacy of Furosemide can be decreased when used in combination with Salsalate.]
[R03AC12, salmeterol, The risk or severity of hypokalemia can be increased when Salmeterol is combined with Furosemide.]
[H05BA01, salmon calcitonin, Furosemide may increase the excretion rate of Salmon calcitonin which could result in a lower serum level and potentially a reduction in efficacy.]
[C01CA07, dobutamine, The risk or severity of hypokalemia can be increased when Dobutamine is combined with Furosemide.]
[C01CA04, dopamine, Furosemide may increase the excretion rate of Dopamine which could result in a lower serum level and potentially a reduction in efficacy.]
[N06AA16, dothiepin, Dosulepin may decrease the antihypertensive activities of Furosemide.]
[R07AB01, doxapram, Doxapram may decrease the antihypertensive activities of Furosemide.]
[N06AA12, doxepin, Furosemide may increase the excretion rate of Doxepin which could result in a lower serum level and potentially a reduction in efficacy.]
[A06AB06, sennosides, USP, The risk or severity of adverse effects can be increased when Furosemide is combined with Sennosides.]
[J01AA02, doxycycline, Furosemide may increase the excretion rate of Doxycycline which could result in a lower serum level and potentially a reduction in efficacy.]
[N01AB08, sevoflurane, Sevoflurane may decrease the antihypertensive activities of Furosemide.]
[N05AD08, droperidol, Droperidol may decrease the antihypertensive activities of Furosemide.]
[A08AA10, sibutramine, Furosemide may increase the excretion rate of Sibutramine which could result in a lower serum level and potentially a reduction in efficacy.]
[V03AG05, sodium phosphate, Furosemide may increase the nephrotoxic activities of Sodium phosphate, monobasic.]
[A12CA02, sodium sulfate, The risk or severity of adverse effects can be increased when Furosemide is combined with Sodium sulfate.]
[C09AA11, spirapril, The risk or severity of renal failure and hypotension can be increased when Furosemide is combined with Spirapril.]
[R03DA01, dyphylline, Furosemide may increase the excretion rate of Dyphylline which could result in a lower serum level and potentially a reduction in efficacy.]
[N02CC01, sumatriptan, Furosemide may increase the excretion rate of Sumatriptan which could result in a lower serum level and potentially a reduction in efficacy.]
[V04CX07, edrophonium, Furosemide may increase the excretion rate of Edrophonium which could result in a lower serum level and potentially a reduction in efficacy.]
[C07AB13, talinolol, Furosemide may increase the hypotensive activities of Talinolol.]
[H01AA01, corticotropin, The risk or severity of hypokalemia can be increased when Corticotropin is combined with Furosemide.]
[J01CG02, tazobactam, The excretion of Tazobactam can be decreased when combined with Furosemide.]
[L01AX03, temozolomide, Furosemide may increase the excretion rate of Temozolomide which could result in a lower serum level and potentially a reduction in efficacy.]
[M01AC02, tenoxicam, The therapeutic efficacy of Furosemide can be decreased when used in combination with Tenoxicam.]
[G04CA03, terazosin, Furosemide may increase the hypotensive activities of Terazosin.]
[S01GA02, tetrahydrozoline, Tetryzoline may decrease the antihypertensive activities of Furosemide.]
[N06AX14, tianeptine, Tianeptine may decrease the antihypertensive activities of Furosemide.]
[C09AA02, enalapril, The risk or severity of renal failure and hypotension can be increased when Furosemide is combined with Enalapril.]
[M01AG02, tolfenamic acid, The therapeutic efficacy of Furosemide can be decreased when used in combination with Tolfenamic acid.]
[N06AG03, toloxatone, Toloxatone may increase the hypotensive activities of Furosemide.]
[N06BA09, atomoxetine, Furosemide may increase the excretion rate of Atomoxetine which could result in a lower serum level and potentially a reduction in efficacy.]
[N03AX11, topiramate, The risk or severity of hypokalemia can be increased when Furosemide is combined with Topiramate.]
[C03CA04, torsemide, Torasemide may increase the excretion rate of Furosemide which could result in a lower serum level and potentially a reduction in efficacy.]
[R01AA09, tramazoline, Tramazoline may decrease the antihypertensive activities of Furosemide.]
[C09AA10, trandolapril, The risk or severity of renal failure and hypotension can be increased when Furosemide is combined with Trandolapril.]
[N05CC01, chloral hydrate, The risk or severity of adverse effects can be increased when Furosemide is combined with Chloral hydrate.]
[H02CA01, trilostane, The risk or severity of hypokalemia can be increased when Trilostane is combined with Furosemide.]
[R03CC11, tulobuterol, Tulobuterol may decrease the antihypertensive activities of Furosemide.]
[C02CA06, urapidil, Urapidil may decrease the antihypertensive activities of Furosemide.]
[S01FB02, ephedrine, The risk or severity of Cardiac Arrhythmia can be increased when Ephedrine is combined with Furosemide.]
[N06AX16, venlafaxine, Furosemide may increase the excretion rate of Venlafaxine which could result in a lower serum level and potentially a reduction in efficacy.]
[C01CX07, xamoterol, Xamoterol may decrease the antihypertensive activities of Furosemide.]
[S01GA03, xylometazoline, Xylometazoline may decrease the antihypertensive activities of Furosemide.]
[C08CA12, mepirodipine, Furosemide may increase the antihypertensive activities of Barnidipine.]
[S01EA01, epinephrine, The risk or severity of hypokalemia can be increased when Epinephrine is combined with Furosemide.]
[C09AA15, zofenopril, The risk or severity of renal failure and hypotension can be increased when Furosemide is combined with Zofenopril.]
[M01AB04, zomepirac, The therapeutic efficacy of Furosemide can be decreased when used in combination with Zomepirac.]
[N03AX15, zonisamide, Furosemide may increase the excretion rate of Zonisamide which could result in a lower serum level and potentially a reduction in efficacy.]
[A10AB06, insulin glulisine, human, The risk or severity of hypoglycemia can be increased when Furosemide is combined with Insulin glulisine.]
[L01XA02, carboplatin, The risk or severity of nephrotoxicity can be increased when Furosemide is combined with Carboplatin.]
[C02AC02, guanfacine, Furosemide may increase the excretion rate of Guanfacine which could result in a lower serum level and potentially a reduction in efficacy.]
[B01AC11, iloprost, Iloprost may increase the hypotensive activities of Furosemide.]
[G02AB03, ergonovine, Ergometrine may decrease the antihypertensive activities of Furosemide.]
[C04AE01, ergoloid mesylates, USP, Ergoloid mesylate may decrease the antihypertensive activities of Furosemide.]
[N02CA02, ergotamine, Ergotamine may decrease the antihypertensive activities of Furosemide.]
[N03AG01, valproic acid, The excretion of Valproic acid can be decreased when combined with Furosemide.]
[L03AX05, pidotimod, Furosemide may increase the excretion rate of Pidotimod which could result in a lower serum level and potentially a reduction in efficacy.]
[N05CD04, estazolam, Furosemide may increase the excretion rate of Estazolam which could result in a lower serum level and potentially a reduction in efficacy.]
[A02BC02, pantoprazole, Furosemide may increase the excretion rate of Pantoprazole which could result in a lower serum level and potentially a reduction in efficacy.]
[G03CA03, estradiol, The therapeutic efficacy of Furosemide can be decreased when used in combination with Estradiol.]
[G03CC06, estriol, The therapeutic efficacy of Furosemide can be decreased when used in combination with Estriol.]
[G03CA57, estrogens, conjugated (USP), The therapeutic efficacy of Furosemide can be decreased when used in combination with Conjugated estrogens.]
[J04AK02, ethambutol, Furosemide may increase the excretion rate of Ethambutol which could result in a lower serum level and potentially a reduction in efficacy.]
[V08CA03, gadodiamide, Furosemide may increase the excretion rate of Gadodiamide which could result in a lower serum level and potentially a reduction in efficacy.]
[C01CA15, gepefrine, Gepefrine may decrease the antihypertensive activities of Furosemide.]
[L02AA03, ethinyl estradiol, The therapeutic efficacy of Furosemide can be decreased when used in combination with Ethinylestradiol.]
[V03AF05, amifostine, Furosemide may increase the hypotensive activities of Amifostine.]
[C01BD05, ibutilide, Furosemide may increase the excretion rate of Ibutilide which could result in a lower serum level and potentially a reduction in efficacy.]
[N03AB01, ethotoin, The therapeutic efficacy of Ethotoin can be increased when used in combination with Furosemide.]
[M01AC06, meloxicam, The therapeutic efficacy of Furosemide can be decreased when used in combination with Meloxicam.]
[S01XA06, ethylmorphine, The therapeutic efficacy of Furosemide can be decreased when used in combination with Ethylmorphine.]
[C01CA01, etilefrine, Etilefrine may decrease the antihypertensive activities of Furosemide.]
[N01AX07, etomidate, Furosemide may increase the excretion rate of Etomidate which could result in a lower serum level and potentially a reduction in efficacy.]
[L04AD02, tacrolimus, The risk or severity of nephrotoxicity can be increased when Furosemide is combined with Tacrolimus.]
[P01AX07, trimetrexate, Furosemide may increase the excretion rate of Trimetrexate which could result in a lower serum level and potentially a reduction in efficacy.]
[N06AX12, bupropion, Furosemide may increase the excretion rate of Bupropion which could result in a lower serum level and potentially a reduction in efficacy.]
[N06AB08, fluvoxamine, Furosemide may increase the excretion rate of Fluvoxamine which could result in a lower serum level and potentially a reduction in efficacy.]
[L02AE02, leuprolide, Furosemide may increase the excretion rate of Leuprolide which could result in a lower serum level and potentially a reduction in efficacy.]
[C10AA03, pravastatin, The excretion of Pravastatin can be decreased when combined with Furosemide.]
[B05AA05, dextran, Furosemide may increase the excretion rate of Dextran which could result in a lower serum level and potentially a reduction in efficacy.]
[M05BA01, etidronic acid, The risk or severity of hypocalcemia can be increased when Furosemide is combined with Etidronic acid.]
[V03AF02, dexrazoxane, Furosemide may increase the excretion rate of Dexrazoxane which could result in a lower serum level and potentially a reduction in efficacy.]
[A02BA03, famotidine, The excretion of Famotidine can be decreased when combined with Furosemide.]
[A16AA01, levocarnitine, The excretion of Levocarnitine can be decreased when combined with Furosemide.]
[C08CA02, felodipine, Furosemide may increase the hypotensive activities of Felodipine.]
[M01AE04, fenoprofen, The therapeutic efficacy of Furosemide can be decreased when used in combination with Fenoprofen.]
[R03CC04, fenoterol, The risk or severity of hypokalemia can be increased when Fenoterol is combined with Furosemide.]
[N02AB03, fentanyl, Furosemide may increase the excretion rate of Fentanyl which could result in a lower serum level and potentially a reduction in efficacy.]
[R03CC02, albuterol, The risk or severity of hypokalemia can be increased when Salbutamol is combined with Furosemide.]
[L01BB06, clofarabine, The excretion of Clofarabine can be decreased when combined with Furosemide.]
[N07AX03, cevimeline, Furosemide may increase the excretion rate of Cevimeline which could result in a lower serum level and potentially a reduction in efficacy.]
[G04BD02, flavoxate, Furosemide may increase the excretion rate of Flavoxate which could result in a lower serum level and potentially a reduction in efficacy.]
[N02BG04, floctafenine, The therapeutic efficacy of Furosemide can be decreased when used in combination with Floctafenine.]
[J02AC01, fluconazole, Furosemide may increase the excretion rate of Fluconazole which could result in a lower serum level and potentially a reduction in efficacy.]
[J02AX01, flucytosine, Furosemide may increase the excretion rate of Flucytosine which could result in a lower serum level and potentially a reduction in efficacy.]
[H02AA02, fludrocortisone, The risk or severity of hypokalemia can be increased when Fludrocortisone is combined with Furosemide.]
[V03AB25, flumazenil, Furosemide may increase the excretion rate of Flumazenil which could result in a lower serum level and potentially a reduction in efficacy.]
[D07XB01, flumethasone, The risk or severity of hypokalemia can be increased when Flumethasone is combined with Furosemide.]
[N05CD03, flunitrazepam, The metabolism of Furosemide can be decreased when combined with Flunitrazepam.]
[D07AC08, fluocinonide, The therapeutic efficacy of Furosemide can be increased when used in combination with Fluocinonide.]
[N06AA14, melitracen, Melitracen may decrease the antihypertensive activities of Furosemide.]
[H02AB03, fluocortolone, The risk or severity of hypokalemia can be increased when Fluocortolone is combined with Furosemide.]
[V03AZ01, ethanol, Ethanol may increase the hypotensive activities of Furosemide.]
[L01BC09, floxuridine, The therapeutic efficacy of Furosemide can be decreased when used in combination with Floxuridine.]
[L01BC02, fluorouracil, The therapeutic efficacy of Furosemide can be decreased when used in combination with Fluorouracil.]
[N05AF01, flupenthixol, Flupentixol may decrease the antihypertensive activities of Furosemide.]
[N05CD01, flurazepam, Furosemide may increase the excretion rate of Flurazepam which could result in a lower serum level and potentially a reduction in efficacy.]
[S01BC04, flurbiprofen, The therapeutic efficacy of Furosemide can be decreased when used in combination with Flurbiprofen.]
[L02BB01, flutamide, Furosemide may increase the excretion rate of Flutamide which could result in a lower serum level and potentially a reduction in efficacy.]
[V04CX02, folic acid, Furosemide may increase the excretion rate of Folic acid which could result in a lower serum level and potentially a reduction in efficacy.]
[S02AA17, fosfomycin, Furosemide may increase the excretion rate of Fosfomycin which could result in a lower serum level and potentially a reduction in efficacy.]
[S01AA07, framycetin, Furosemide may increase the ototoxic activities of Framycetin.]
[L01BC03, tegafur, The therapeutic efficacy of Furosemide can be decreased when used in combination with Tegafur.]
[N06BX17, adrafinil, Adrafinil may decrease the antihypertensive activities of Furosemide.]
[M03AA01, alcuronium, Furosemide may decrease the neuromuscular blocking activities of Alcuronium.]
[G01AX06, furazolidone, Furazolidone may increase the hypotensive activities of Furosemide.]
[M01AG01, mefenamic acid, The therapeutic efficacy of Furosemide can be decreased when used in combination with Mefenamic acid.]
[C01DA05, pentaerythritol tetranitrate, Furosemide may increase the excretion rate of Pentaerythritol tetranitrate which could result in a lower serum level and potentially a reduction in efficacy.]
[R03BA09, fluticasone furoate, The therapeutic efficacy of Furosemide can be increased when used in combination with Fluticasone furoate.]
[M01CB01, gold sodium thiomalate, Furosemide may increase the excretion rate of Sodium aurothiomalate which could result in a lower serum level and potentially a reduction in efficacy.]
[N05CF04, eszopiclone, Furosemide may increase the excretion rate of Eszopiclone which could result in a lower serum level and potentially a reduction in efficacy.]
[M03AC02, gallamine, Furosemide may decrease the neuromuscular blocking activities of Gallamine.]
[S01AD09, ganciclovir, Furosemide may increase the excretion rate of Ganciclovir which could result in a lower serum level and potentially a reduction in efficacy.]
[N03AA04, barbexaclone, Barbexaclone may increase the hypotensive activities of Furosemide.]
[C10AB04, gemfibrozil, Furosemide may increase the excretion rate of Gemfibrozil which could result in a lower serum level and potentially a reduction in efficacy.]
[J01XA03, telavancin, Furosemide may increase the excretion rate of Telavancin which could result in a lower serum level and potentially a reduction in efficacy.]
[N04BC06, cabergoline, Cabergoline may decrease the antihypertensive activities of Furosemide.]
[A10BJ02, liraglutide, The therapeutic efficacy of Liraglutide can be decreased when used in combination with Furosemide.]
[N01AH02, alfentanil, The therapeutic efficacy of Furosemide can be decreased when used in combination with Alfentanil.]
[A10BB01, glyburide, The therapeutic efficacy of Glyburide can be decreased when used in combination with Furosemide.]
[A10BB09, gliclazide, The therapeutic efficacy of Gliclazide can be decreased when used in combination with Furosemide.]
[A10BB07, glipizide, The therapeutic efficacy of Glipizide can be decreased when used in combination with Furosemide.]
[N05CM18, dexmedetomidine, Furosemide may increase the excretion rate of Dexmedetomidine which could result in a lower serum level and potentially a reduction in efficacy.]
[A06AX01, glycerin, The risk or severity of adverse effects can be increased when Furosemide is combined with Glycerin.]
[C05AE01, nitroglycerin, Furosemide may increase the hypotensive activities of Nitroglycerin.]
[C01BD04, dofetilide, The risk or severity of QTc prolongation, torsade de pointes, hypokalemia, hypomagnesemia, and cardiac arrest can be increased when Furosemide is combined with Dofetilide.]
[C02CA04, doxazosin, Doxazosin may increase the hypotensive activities of Furosemide.]
[L01EX02, sorafenib, Furosemide may increase the excretion rate of Sorafenib which could result in a lower serum level and potentially a reduction in efficacy.]
[C07AB09, esmolol, Esmolol may increase the hypotensive activities of Furosemide.]
[M01CB04, aurothioglucose, Furosemide may increase the excretion rate of Aurothioglucose which could result in a lower serum level and potentially a reduction in efficacy.]
[S01LA03, pegaptanib, Furosemide may increase the excretion rate of Pegaptanib which could result in a lower serum level and potentially a reduction in efficacy.]
[C09AA09, fosinopril, The risk or severity of renal failure and hypotension can be increased when Furosemide is combined with Fosinopril.]
[S01EX01, guanethidine, Furosemide may increase the excretion rate of Guanethidine which could result in a lower serum level and potentially a reduction in efficacy.]
[L02AE03, goserelin, Furosemide may increase the excretion rate of Goserelin which could result in a lower serum level and potentially a reduction in efficacy.]
[N05AD01, haloperidol, Furosemide may increase the excretion rate of Haloperidol which could result in a lower serum level and potentially a reduction in efficacy.]
[N01AB01, halothane, Halothane may decrease the antihypertensive activities of Furosemide.]
[N05AH04, quetiapine, Quetiapine may increase the hypotensive activities of Furosemide.]
[N06BX13, idebenone, Furosemide may increase the excretion rate of Idebenone which could result in a lower serum level and potentially a reduction in efficacy.]
[A10AD05, insulin aspart, human, The risk or severity of hypoglycemia can be increased when Furosemide is combined with Insulin aspart.]
[M04AA01, allopurinol, The risk or severity of adverse effects can be increased when Furosemide is combined with Allopurinol.]
[C09CA01, losartan, The risk or severity of renal failure and hypotension can be increased when Furosemide is combined with Losartan.]
[S01XA14, heparin, The therapeutic efficacy of Heparin can be increased when used in combination with Furosemide.]
[B05CB03, magnesium citrate, The risk or severity of adverse effects can be increased when Furosemide is combined with Magnesium citrate.]
[G03DC01, allylestrenol, Furosemide may increase the excretion rate of Allylestrenol which could result in a lower serum level and potentially a reduction in efficacy.]
[A07EC02, mesalamine, The risk or severity of nephrotoxicity can be increased when Mesalazine is combined with Furosemide.]
[C01CE02, milrinone, Furosemide may increase the excretion rate of Milrinone which could result in a lower serum level and potentially a reduction in efficacy.]
[A12CD02, sodium monofluorophosphate, The risk or severity of adverse effects can be increased when Furosemide is combined with Sodium fluorophosphate.]
[N05CA16, hexobarbital, Hexobarbital may increase the hypotensive activities of Furosemide.]
[R03CC05, hexoprenaline, The risk or severity of hypokalemia can be increased when Hexoprenaline is combined with Furosemide.]
[C08CA10, nilvadipine, Furosemide may increase the hypotensive activities of Nilvadipine.]
[M02AA26, nimesulide, The therapeutic efficacy of Furosemide can be decreased when used in combination with Nimesulide.]
[C09AA04, perindopril, The risk or severity of renal failure and hypotension can be increased when Furosemide is combined with Perindopril.]
[C02DB02, hydralazine, Furosemide may increase the excretion rate of Hydralazine which could result in a lower serum level and potentially a reduction in efficacy.]
[C03AA03, hydrochlorothiazide, The therapeutic efficacy of Furosemide can be increased when used in combination with Hydrochlorothiazide.]
[R05DA03, hydrocodone, The therapeutic efficacy of Furosemide can be decreased when used in combination with Hydrocodone.]
[S02BA01, hydrocortisone, The excretion of Hydrocortisone can be decreased when combined with Furosemide.]
[C03AA02, hydroflumethiazide, The therapeutic efficacy of Furosemide can be increased when used in combination with Hydroflumethiazide.]
[B05XA17, potassium acetate, Furosemide may increase the excretion rate of Potassium acetate which could result in a lower serum level and potentially a reduction in efficacy.]
[A12BA02, potassium citrate, Potassium citrate may increase the excretion rate of Furosemide which could result in a lower serum level and potentially a reduction in efficacy.]
[V03AB33, hydroxocobalamin, Furosemide may increase the excretion rate of Hydroxocobalamin which could result in a lower serum level and potentially a reduction in efficacy.]
[G04BD06, propiverine, Furosemide may increase the excretion rate of Propiverine which could result in a lower serum level and potentially a reduction in efficacy.]
[B05AA07, hetastarch, Furosemide may increase the excretion rate of Hydroxyethyl Starch which could result in a lower serum level and potentially a reduction in efficacy.]
[C02AC06, rilmenidine, Rilmenidine may decrease the antihypertensive activities of Furosemide.]
[M05BA07, risedronic acid, The risk or severity of hypocalcemia can be increased when Furosemide is combined with Risedronic acid.]
[R02AX02, ibuprofen, The therapeutic efficacy of Furosemide can be decreased when used in combination with Ibuprofen.]
[B05XA08, sodium acetate, Furosemide may increase the excretion rate of Sodium acetate which could result in a lower serum level and potentially a reduction in efficacy.]
[A06AD21, sodium tartrate, The risk or severity of adverse effects can be increased when Furosemide is combined with Sodium tartrate.]
[L01AA06, ifosfamide, Furosemide may increase the excretion rate of Ifosfamide which could result in a lower serum level and potentially a reduction in efficacy.]
[N01AH03, sufentanil, The therapeutic efficacy of Furosemide can be decreased when used in combination with Sufentanil.]
[N06AA02, imipramine, Furosemide may increase the excretion rate of Imipramine which could result in a lower serum level and potentially a reduction in efficacy.]
[L01CD01, paclitaxel, The risk or severity of adverse effects can be increased when Furosemide is combined with Paclitaxel.]
[R01AD07, tixocortol, Furosemide may increase the excretion rate of Tixocortol which could result in a lower serum level and potentially a reduction in efficacy.]
[M03BX02, tizanidine, The risk or severity of adverse effects can be increased when Furosemide is combined with Tizanidine.]
[L01CE01, topotecan, Furosemide may increase the excretion rate of Topotecan which could result in a lower serum level and potentially a reduction in efficacy.]
[C03BA11, indapamide, The therapeutic efficacy of Indapamide can be increased when used in combination with Furosemide.]
[S01BC01, indomethacin, The therapeutic efficacy of Furosemide can be decreased when used in combination with Indomethacin.]
[C02CA02, indoramin, Indoramin may decrease the antihypertensive activities of Furosemide.]
[A11HA07, inositol, Furosemide may increase the excretion rate of Inositol which could result in a lower serum level and potentially a reduction in efficacy.]
[N06AX17, milnacipran, Furosemide may increase the excretion rate of Milnacipran which could result in a lower serum level and potentially a reduction in efficacy.]
[R01AA02, cyclopentamine, The risk or severity of adverse effects can be increased when Furosemide is combined with Cyclopentamine.]
[S01XA28, varenicline, Furosemide may increase the excretion rate of Varenicline which could result in a lower serum level and potentially a reduction in efficacy.]
[A10BH01, sitagliptin, The excretion of Sitagliptin can be decreased when combined with Furosemide.]
[N05BA12, alprazolam, Furosemide may increase the excretion rate of Alprazolam which could result in a lower serum level and potentially a reduction in efficacy.]
[N05CH02, ramelteon, Furosemide may increase the excretion rate of Ramelteon which could result in a lower serum level and potentially a reduction in efficacy.]
[A10BH02, vildagliptin, The therapeutic efficacy of Vildagliptin can be decreased when used in combination with Furosemide.]
[C07AA01, alprenolol, Furosemide may increase the hypotensive activities of Alprenolol.]
[C03BA02, quinethazone, Quinethazone may increase the excretion rate of Furosemide which could result in a lower serum level and potentially a reduction in efficacy.]
[V03AB01, ipecac, Furosemide may increase the excretion rate of Ipecac which could result in a lower serum level and potentially a reduction in efficacy.]
[J05AF04, stavudine, The excretion of Stavudine can be decreased when combined with Furosemide.]
[N06AA13, iprindole, Iprindole may decrease the antihypertensive activities of Furosemide.]
[G04BE01, alprostadil, The excretion of Alprostadil can be decreased when combined with Furosemide.]
[N06AF05, iproniazid, Iproniazid may increase the hypotensive activities of Furosemide.]
[N06AF01, isocarboxazid, Isocarboxazid may increase the hypotensive activities of Furosemide.]
[S01EC03, dorzolamide, Furosemide may increase the hypotensive activities of Dorzolamide.]
[R03CC06, isoetharine, The risk or severity of hypokalemia can be increased when Isoetharine is combined with Furosemide.]
[C09AA16, imidapril, The risk or severity of renal failure and hypotension can be increased when Furosemide is combined with Imidapril.]
[N01AB06, isoflurane, Isoflurane may decrease the antihypertensive activities of Furosemide.]
[J04AC01, isoniazid, Furosemide may increase the excretion rate of Isoniazid which could result in a lower serum level and potentially a reduction in efficacy.]
[J05AX05, inosine pranobex, Furosemide may increase the excretion rate of Inosine pranobex which could result in a lower serum level and potentially a reduction in efficacy.]
[R03CB01, isoproterenol, The risk or severity of hypokalemia can be increased when Isoprenaline is combined with Furosemide.]
[A10BJ01, exenatide, The therapeutic efficacy of Exenatide can be decreased when used in combination with Furosemide.]
[C05AE02, isosorbide dinitrate, The risk or severity of adverse effects can be increased when Furosemide is combined with Isosorbide dinitrate.]
[D10BA01, isotretinoin, Furosemide may increase the excretion rate of Isotretinoin which could result in a lower serum level and potentially a reduction in efficacy.]
[C04AA01, isoxsuprine, Isoxsuprine may decrease the antihypertensive activities of Furosemide.]
[S01AA24, kanamycin, Furosemide may increase the ototoxic activities of Kanamycin.]
[N01AX03, ketamine, Furosemide may increase the excretion rate of Ketamine which could result in a lower serum level and potentially a reduction in efficacy.]
[C02KD01, ketanserin, Furosemide may increase the hypotensive activities of Ketanserin.]
[B01AC22, prasugrel, Furosemide may increase the excretion rate of Prasugrel which could result in a lower serum level and potentially a reduction in efficacy.]
[J02AB02, ketoconazole, The metabolism of Furosemide can be decreased when combined with Ketoconazole.]
[N05AH03, olanzapine, The risk or severity of adverse effects can be increased when Olanzapine is combined with Furosemide.]
[M02AA10, ketoprofen, The therapeutic efficacy of Furosemide can be decreased when used in combination with Ketoprofen.]
[V03AC03, deferasirox, The metabolism of Furosemide can be decreased when combined with Deferasirox.]
[C01CA22, arbutamine, The risk or severity of hypokalemia can be increased when Arbutamine is combined with Furosemide.]
[N04BC09, rotigotine, Rotigotine may decrease the antihypertensive activities of Furosemide.]
[C07AG01, labetalol, Furosemide may increase the excretion rate of Labetalol which could result in a lower serum level and potentially a reduction in efficacy.]
[N04BB01, amantadine, Furosemide may increase the excretion rate of Amantadine which could result in a lower serum level and potentially a reduction in efficacy.]
[C02AA05, deserpidine, Furosemide may increase the hypotensive activities of Deserpidine.]
[A06AD11, lactulose, The risk or severity of adverse effects can be increased when Furosemide is combined with Lactulose.]
[A06AX03, lubiprostone, The risk or severity of adverse effects can be increased when Furosemide is combined with Lubiprostone.]
[N04BA01, levodopa, The risk or severity of hypotension and orthostatic hypotension can be increased when Furosemide is combined with Levodopa.]
[S01AA21, amikacin, Furosemide may increase the ototoxic activities of Amikacin.]
[C03DB01, amiloride, Amiloride may increase the excretion rate of Furosemide which could result in a lower serum level and potentially a reduction in efficacy.]
[N02CA07, lisuride, Lisuride may decrease the antihypertensive activities of Furosemide.]
[N06AA07, lofepramine, Lofepramine may decrease the antihypertensive activities of Furosemide.]
[N05BA06, lorazepam, Furosemide may increase the excretion rate of Lorazepam which could result in a lower serum level and potentially a reduction in efficacy.]
[B05XA11, magnesium chloride, Furosemide may increase the excretion rate of Magnesium chloride which could result in a lower serum level and potentially a reduction in efficacy.]
[G04BX01, magnesium hydroxide, The risk or severity of adverse effects can be increased when Furosemide is combined with Magnesium hydroxide.]
[A12CC10, magnesium oxide, The risk or severity of adverse effects can be increased when Furosemide is combined with Magnesium oxide.]
[V04CC02, magnesium sulfate, The risk or severity of adverse effects can be increased when Furosemide is combined with Magnesium sulfate.]
[L01BA05, pralatrexate, Furosemide may increase the excretion rate of Pralatrexate which could result in a lower serum level and potentially a reduction in efficacy.]
[L01EA03, nilotinib, The metabolism of Furosemide can be decreased when combined with Nilotinib.]
[V04CX04, mannitol, The risk or severity of nephrotoxicity can be increased when Mannitol is combined with Furosemide.]
[N06AA21, maprotiline, Furosemide may increase the excretion rate of Maprotiline which could result in a lower serum level and potentially a reduction in efficacy.]
[C02BB01, mecamylamine, The risk or severity of adverse effects can be increased when Furosemide is combined with Mecamylamine.]
[M02AA18, meclofenamic acid, The therapeutic efficacy of Furosemide can be decreased when used in combination with Meclofenamic acid.]
[C01AA08, medigoxin, The risk or severity of adverse effects can be increased when Furosemide is combined with Metildigoxin.]
[A06AB07, cascara sagrada, The risk or severity of adverse effects can be increased when Furosemide is combined with Frangula purshiana bark.]
[C03BA05, mefruside, Mefruside may increase the excretion rate of Furosemide which could result in a lower serum level and potentially a reduction in efficacy.]
[N06DX01, memantine, Furosemide may increase the excretion rate of Memantine which could result in a lower serum level and potentially a reduction in efficacy.]
[N02AB02, meperidine, Furosemide may increase the excretion rate of Meperidine which could result in a lower serum level and potentially a reduction in efficacy.]
[C01CA11, mephentermine, Mephentermine may decrease the antihypertensive activities of Furosemide.]
[N03AB04, mephenytoin, The therapeutic efficacy of Furosemide can be increased when used in combination with Mephenytoin.]
[N03AA01, mephobarbital, Methylphenobarbital may increase the hypotensive activities of Furosemide.]
[N01BB03, mepivacaine, Furosemide may increase the excretion rate of Mepivacaine which could result in a lower serum level and potentially a reduction in efficacy.]
[N02AX05, meptazinol, The therapeutic efficacy of Furosemide can be decreased when used in combination with Meptazinol.]
[G04BX16, tiopronin, Furosemide may increase the excretion rate of Tiopronin which could result in a lower serum level and potentially a reduction in efficacy.]
[C03BC01, mersalyl, Furosemide may increase the excretion rate of Mersalyl which could result in a lower serum level and potentially a reduction in efficacy.]
[N05AX13, paliperidone, Furosemide may increase the excretion rate of Paliperidone which could result in a lower serum level and potentially a reduction in efficacy.]
[C01CA09, metaraminol, Metaraminol may decrease the antihypertensive activities of Furosemide.]
[A10BA02, metformin, The therapeutic efficacy of Metformin can be decreased when used in combination with Furosemide.]
[N07BC02, methadone, The therapeutic efficacy of Furosemide can be decreased when used in combination with Methadone.]
[N06BA03, methamphetamine, Furosemide may increase the excretion rate of Metamfetamine which could result in a lower serum level and potentially a reduction in efficacy.]
[J05AF05, lamivudine, Furosemide may increase the excretion rate of Lamivudine which could result in a lower serum level and potentially a reduction in efficacy.]
