[S02DA03, antipyrine, The metabolism of Antipyrine can be decreased when combined with Capecitabine.]
[A08AA10, sibutramine, Capecitabine may decrease the excretion rate of Sibutramine which could result in a higher serum level.]
[C10AA01, simvastatin, The metabolism of Capecitabine can be decreased when combined with Simvastatin.]
[A12CA02, sodium sulfate, Capecitabine may decrease the excretion rate of Sodium sulfate which could result in a higher serum level.]
[R03DA01, dyphylline, Dyphylline may decrease the excretion rate of Capecitabine which could result in a higher serum level.]
[N02CC01, sumatriptan, Sumatriptan may decrease the excretion rate of Capecitabine which could result in a higher serum level.]
[V04CX07, edrophonium, Edrophonium may decrease the excretion rate of Capecitabine which could result in a higher serum level.]
[H01AA01, corticotropin, The risk or severity of adverse effects can be increased when Capecitabine is combined with Corticotropin.]
[L01AX03, temozolomide, The risk or severity of adverse effects can be increased when Temozolomide is combined with Capecitabine.]
[M01AC02, tenoxicam, The metabolism of Tenoxicam can be decreased when combined with Capecitabine.]
[D01BA02, terbinafine, The metabolism of Terbinafine can be decreased when combined with Capecitabine.]
[M01AG02, tolfenamic acid, Tolfenamic acid may decrease the excretion rate of Capecitabine which could result in a higher serum level.]
[N06AG03, toloxatone, Capecitabine may decrease the excretion rate of Toloxatone which could result in a higher serum level.]
[N06BA09, atomoxetine, Atomoxetine may decrease the excretion rate of Capecitabine which could result in a higher serum level.]
[N03AX11, topiramate, Topiramate may decrease the excretion rate of Capecitabine which could result in a higher serum level.]
[C03CA04, torsemide, The metabolism of Capecitabine can be decreased when combined with Torasemide.]
[N05CC01, chloral hydrate, Capecitabine may decrease the excretion rate of Chloral hydrate which could result in a higher serum level.]
[B01AC18, triflusal, The risk or severity of bleeding can be increased when Triflusal is combined with Capecitabine.]
[H02CA01, trilostane, The risk or severity of adverse effects can be increased when Capecitabine is combined with Trilostane.]
[L01AA07, trofosfamide, The risk or severity of adverse effects can be increased when Capecitabine is combined with Trofosfamide.]
[C05CA04, troxerutin, The risk or severity of bleeding can be increased when Troxerutin is combined with Capecitabine.]
[L01CA04, vinorelbine, The risk or severity of adverse effects can be increased when Vinorelbine is combined with Capecitabine.]
[N06AX16, venlafaxine, Venlafaxine may decrease the excretion rate of Capecitabine which could result in a higher serum level.]
[S01EA01, epinephrine, The metabolism of Capecitabine can be decreased when combined with Epinephrine.]
[L01DB03, epirubicin, The risk or severity of adverse effects can be increased when Epirubicin is combined with Capecitabine.]
[N05CF02, zolpidem, The metabolism of Zolpidem can be decreased when combined with Capecitabine.]
[M01AB04, zomepirac, Zomepirac may decrease the excretion rate of Capecitabine which could result in a higher serum level.]
[N03AX15, zonisamide, Zonisamide may increase the excretion rate of Capecitabine which could result in a lower serum level and potentially a reduction in efficacy.]
[N05CF01, zopiclone, The metabolism of Zopiclone can be decreased when combined with Capecitabine.]
[B01AD03, anistreplase, The risk or severity of bleeding can be increased when Anistreplase is combined with Capecitabine.]
[L01XA02, carboplatin, The risk or severity of adverse effects can be increased when Carboplatin is combined with Capecitabine.]
[C02AC02, guanfacine, Guanfacine may decrease the excretion rate of Capecitabine which could result in a higher serum level.]
[B01AC11, iloprost, The risk or severity of bleeding can be increased when Iloprost is combined with Capecitabine.]
[L03AX05, pidotimod, Capecitabine may decrease the excretion rate of Pidotimod which could result in a higher serum level.]
[N05CD04, estazolam, Capecitabine may decrease the excretion rate of Estazolam which could result in a higher serum level.]
[A02BC02, pantoprazole, Pantoprazole may decrease the excretion rate of Capecitabine which could result in a higher serum level.]
[G03CA03, estradiol, The metabolism of Estradiol can be decreased when combined with Capecitabine.]
[L01XX11, estramustine, The risk or severity of adverse effects can be increased when Capecitabine is combined with Estramustine.]
[G03CA57, estrogens, conjugated (USP), Conjugated estrogens may decrease the excretion rate of Capecitabine which could result in a higher serum level.]
[J04AK02, ethambutol, The metabolism of Capecitabine can be decreased when combined with Ethambutol.]
[R03BA09, fluticasone furoate, The risk or severity of adverse effects can be increased when Capecitabine is combined with Fluticasone furoate.]
[R03BA05, fluticasone, The risk or severity of adverse effects can be increased when Capecitabine is combined with Fluticasone.]
[C10AA04, fluvastatin, The metabolism of Capecitabine can be decreased when combined with Fluvastatin.]
[V08CA03, gadodiamide, Gadodiamide may decrease the excretion rate of Capecitabine which could result in a higher serum level.]
[L02AA03, ethinyl estradiol, The metabolism of Ethinylestradiol can be decreased when combined with Capecitabine.]
[C01BD05, ibutilide, Ibutilide may decrease the excretion rate of Capecitabine which could result in a higher serum level.]
[N01BX01, ethyl chloride, The risk or severity of methemoglobinemia can be increased when Capecitabine is combined with Ethyl chloride.]
[M01AC06, meloxicam, The risk or severity of methemoglobinemia can be increased when Capecitabine is combined with Meloxicam.]
[N01BB07, etidocaine, The risk or severity of methemoglobinemia can be increased when Capecitabine is combined with Etidocaine.]
[N01AX07, etomidate, Etomidate may decrease the excretion rate of Capecitabine which could result in a higher serum level.]
[L01CB01, etoposide, The risk or severity of adverse effects can be increased when Etoposide is combined with Capecitabine.]
[L04AD02, tacrolimus, Tacrolimus may increase the immunosuppressive activities of Capecitabine.]
[P01AX07, trimetrexate, Capecitabine may decrease the excretion rate of Trimetrexate which could result in a higher serum level.]
[N06AX12, bupropion, The metabolism of Bupropion can be decreased when combined with Capecitabine.]
[N06AB08, fluvoxamine, The metabolism of Capecitabine can be decreased when combined with Fluvoxamine.]
[L02AE02, leuprolide, Leuprolide may decrease the excretion rate of Capecitabine which could result in a higher serum level.]
[L04AA02, muromonab-CD3, The risk or severity of adverse effects can be increased when Muromonab is combined with Capecitabine.]
[M01CB01, gold sodium thiomalate, Capecitabine may decrease the excretion rate of Sodium aurothiomalate which could result in a higher serum level.]
[B05AA05, dextran, Capecitabine may decrease the excretion rate of Dextran which could result in a higher serum level.]
[V03AF02, dexrazoxane, The risk or severity of adverse effects can be increased when Dexrazoxane is combined with Capecitabine.]
[A16AA01, levocarnitine, Levocarnitine may decrease the excretion rate of Capecitabine which could result in a higher serum level.]
[C08CA02, felodipine, The metabolism of Capecitabine can be decreased when combined with Felodipine.]
[M01AE04, fenoprofen, Fenoprofen may decrease the excretion rate of Capecitabine which could result in a higher serum level.]
[N02AB03, fentanyl, Fentanyl may decrease the excretion rate of Capecitabine which could result in a higher serum level.]
[R03CC02, albuterol, Salbutamol may decrease the excretion rate of Capecitabine which could result in a higher serum level.]
[B01AD05, plasmin, The risk or severity of bleeding can be increased when Fibrinolysin is combined with Capecitabine.]
[L01BB06, clofarabine, The risk or severity of adverse effects can be increased when Clofarabine is combined with Capecitabine.]
[L04AA40, cladribine, The risk or severity of adverse effects can be increased when Cladribine is combined with Capecitabine.]
[N07AX03, cevimeline, Cevimeline may decrease the excretion rate of Capecitabine which could result in a higher serum level.]
[G04BD02, flavoxate, Capecitabine may decrease the excretion rate of Flavoxate which could result in a higher serum level.]
[C01BC04, flecainide, The metabolism of Capecitabine can be decreased when combined with Flecainide.]
[N02BG04, floctafenine, Floctafenine may decrease the excretion rate of Capecitabine which could result in a higher serum level.]
[J02AC01, fluconazole, The metabolism of Capecitabine can be decreased when combined with Fluconazole.]
[J02AX01, flucytosine, The risk or severity of adverse effects can be increased when Flucytosine is combined with Capecitabine.]
[H02AA02, fludrocortisone, The risk or severity of adverse effects can be increased when Fludrocortisone is combined with Capecitabine.]
[V03AB25, flumazenil, Capecitabine may decrease the excretion rate of Flumazenil which could result in a higher serum level.]
[N07CA03, flunarizine, The metabolism of Flunarizine can be decreased when combined with Capecitabine.]
[N05CD03, flunitrazepam, The metabolism of Flunitrazepam can be decreased when combined with Capecitabine.]
[D07AC08, fluocinonide, The risk or severity of adverse effects can be increased when Fluocinonide is combined with Capecitabine.]
[H02AB03, fluocortolone, The risk or severity of adverse effects can be increased when Capecitabine is combined with Fluocortolone.]
[V03AZ01, ethanol, The metabolism of Capecitabine can be decreased when combined with Ethanol.]
[L01BC09, floxuridine, The metabolism of Capecitabine can be decreased when combined with Floxuridine.]
[S01CB05, fluorometholone, The risk or severity of adverse effects can be increased when Fluorometholone is combined with Capecitabine.]
[L01BC02, fluorouracil, The metabolism of Capecitabine can be decreased when combined with Fluorouracil.]
[N06AB03, fluoxetine, The metabolism of Capecitabine can be decreased when combined with Fluoxetine.]
[N05AF01, flupenthixol, The risk or severity of myelosuppression can be increased when Flupentixol is combined with Capecitabine.]
[N05CD01, flurazepam, Flurazepam may decrease the excretion rate of Capecitabine which could result in a higher serum level.]
[S01BC04, flurbiprofen, The metabolism of Flurbiprofen can be decreased when combined with Capecitabine.]
[L02BB01, flutamide, Flutamide may decrease the excretion rate of Capecitabine which could result in a higher serum level.]
[V04CX02, folic acid, The risk or severity of adverse effects can be increased when Folic acid is combined with Capecitabine.]
[S02AA17, fosfomycin, Fosfomycin may decrease the excretion rate of Capecitabine which could result in a higher serum level.]
[S01AA07, framycetin, Framycetin may decrease the excretion rate of Capecitabine which could result in a higher serum level.]
[L01BC03, tegafur, Capecitabine may decrease the excretion rate of Tegafur which could result in a higher serum level.]
[C03CA01, furosemide, Furosemide may increase the excretion rate of Capecitabine which could result in a lower serum level and potentially a reduction in efficacy.]
[N05CF04, eszopiclone, Eszopiclone may decrease the excretion rate of Capecitabine which could result in a higher serum level.]
[S01AD09, ganciclovir, Ganciclovir may decrease the excretion rate of Capecitabine which could result in a higher serum level.]
[C10AB04, gemfibrozil, The metabolism of Capecitabine can be decreased when combined with Gemfibrozil.]
[J01XA03, telavancin, Capecitabine may decrease the excretion rate of Telavancin which could result in a higher serum level.]
[L01EA02, dasatinib, The risk or severity of adverse effects can be increased when Capecitabine is combined with Dasatinib.]
[J05AG04, etravirine, The metabolism of Capecitabine can be decreased when combined with Etravirine.]
[A10BB01, glyburide, The metabolism of Capecitabine can be decreased when combined with Glyburide.]
[A10BB09, gliclazide, The metabolism of Gliclazide can be decreased when combined with Capecitabine.]
[A10BB07, glipizide, The metabolism of Glipizide can be decreased when combined with Capecitabine.]
[N05CM18, dexmedetomidine, Dexmedetomidine may decrease the excretion rate of Capecitabine which could result in a higher serum level.]
[C02CA04, doxazosin, The metabolism of Doxazosin can be decreased when combined with Capecitabine.]
[L01EX02, sorafenib, The risk or severity of QTc prolongation can be increased when Sorafenib is combined with Capecitabine.]
[M01CB04, aurothioglucose, Capecitabine may decrease the excretion rate of Aurothioglucose which could result in a higher serum level.]
[S01LA03, pegaptanib, Capecitabine may decrease the excretion rate of Pegaptanib which could result in a higher serum level.]
[B01AA12, fluindione, The metabolism of Fluindione can be decreased when combined with Capecitabine.]
[C09AA09, fosinopril, Fosinopril may decrease the excretion rate of Capecitabine which could result in a higher serum level.]
[S01EX01, guanethidine, Capecitabine may decrease the excretion rate of Guanethidine which could result in a higher serum level.]
[L02AE03, goserelin, Goserelin may decrease the excretion rate of Capecitabine which could result in a higher serum level.]
[N05AD01, haloperidol, The metabolism of Haloperidol can be decreased when combined with Capecitabine.]
[N01AB01, halothane, The metabolism of Halothane can be decreased when combined with Capecitabine.]
[N05AH04, quetiapine, Capecitabine may decrease the excretion rate of Quetiapine which could result in a higher serum level.]
[N06BX13, idebenone, Capecitabine may decrease the excretion rate of Idebenone which could result in a higher serum level.]
[L01CE02, irinotecan, The risk or severity of adverse effects can be increased when Irinotecan is combined with Capecitabine.]
[M04AA01, allopurinol, The risk or severity of adverse effects can be increased when Allopurinol is combined with Capecitabine.]
[C09CA01, losartan, The metabolism of Losartan can be decreased when combined with Capecitabine.]
[S01XA14, heparin, The risk or severity of bleeding can be increased when Heparin is combined with Capecitabine.]
[G03DC01, allylestrenol, Capecitabine may decrease the excretion rate of Allylestrenol which could result in a higher serum level.]
[A07EC02, mesalamine, Mesalazine may decrease the excretion rate of Capecitabine which could result in a higher serum level.]
[C01CE02, milrinone, Milrinone may decrease the excretion rate of Capecitabine which could result in a higher serum level.]
[L01XX03, altretamine, The risk or severity of adverse effects can be increased when Altretamine is combined with Capecitabine.]
[N05CA16, hexobarbital, The metabolism of Hexobarbital can be decreased when combined with Capecitabine.]
[J05AG01, nevirapine, The metabolism of Nevirapine can be decreased when combined with Capecitabine.]
[M02AA26, nimesulide, The risk or severity of bleeding can be increased when Nimesulide is combined with Capecitabine.]
[C09AA04, perindopril, Perindopril may decrease the excretion rate of Capecitabine which could result in a higher serum level.]
[C02DB02, hydralazine, Capecitabine may decrease the excretion rate of Hydralazine which could result in a higher serum level.]
[C03AA03, hydrochlorothiazide, Hydrochlorothiazide may increase the excretion rate of Capecitabine which could result in a lower serum level and potentially a reduction in efficacy.]
[S02BA01, hydrocortisone, The metabolism of Capecitabine can be increased when combined with Hydrocortisone.]
[C03AA02, hydroflumethiazide, Hydroflumethiazide may increase the excretion rate of Capecitabine which could result in a lower serum level and potentially a reduction in efficacy.]
[B05XA17, potassium acetate, Capecitabine may decrease the excretion rate of Potassium acetate which could result in a higher serum level.]
[A12BA02, potassium citrate, Potassium citrate may increase the excretion rate of Capecitabine which could result in a lower serum level and potentially a reduction in efficacy.]
[V03AB33, hydroxocobalamin, Hydroxocobalamin may decrease the excretion rate of Capecitabine which could result in a higher serum level.]
[G04BD06, propiverine, Capecitabine may decrease the excretion rate of Propiverine which could result in a higher serum level.]
[P01BA02, hydroxychloroquine, The risk or severity of adverse effects can be increased when Capecitabine is combined with Hydroxychloroquine.]
[B05AA07, hetastarch, Capecitabine may decrease the excretion rate of Hydroxyethyl Starch which could result in a higher serum level.]
[L01XX05, hydroxyurea, The risk or severity of adverse effects can be increased when Hydroxyurea is combined with Capecitabine.]
[J04AB04, rifabutin, The metabolism of Capecitabine can be increased when combined with Rifabutin.]
[R02AX02, ibuprofen, The metabolism of Ibuprofen can be decreased when combined with Capecitabine.]
[B05XA08, sodium acetate, Capecitabine may decrease the excretion rate of Sodium acetate which could result in a higher serum level.]
[B05CB02, sodium citrate, The risk or severity of bleeding can be increased when Sodium citrate is combined with Capecitabine.]
[L01DB06, idarubicin, The risk or severity of adverse effects can be increased when Capecitabine is combined with Idarubicin.]
[L01AA06, ifosfamide, The risk or severity of adverse effects can be increased when Capecitabine is combined with Ifosfamide.]
[N06AA02, imipramine, Imipramine may decrease the excretion rate of Capecitabine which could result in a higher serum level.]
[L01CD01, paclitaxel, The risk or severity of adverse effects can be increased when Capecitabine is combined with Paclitaxel.]
[L01CD03, paclitaxel poliglumex, The risk or severity of cardiotoxicity can be increased when Capecitabine is combined with Paclitaxel poliglumex.]
[R01AD07, tixocortol, The risk or severity of adverse effects can be increased when Capecitabine is combined with Tixocortol.]
[L01CE01, topotecan, The risk or severity of adverse effects can be increased when Topotecan is combined with Capecitabine.]
[C03BA11, indapamide, Indapamide may increase the excretion rate of Capecitabine which could result in a lower serum level and potentially a reduction in efficacy.]
[S01BC01, indomethacin, The risk or severity of adverse effects can be increased when Indomethacin is combined with Capecitabine.]
[A11HA07, inositol, Capecitabine may decrease the excretion rate of Inositol which could result in a higher serum level.]
[L03AB04, interferon alfa-2a, The risk or severity of adverse effects can be increased when Interferon alfa-2a is combined with Capecitabine.]
[L03AB05, interferon alfa-2b, The risk or severity of adverse effects can be increased when Interferon alfa-2b is combined with Capecitabine.]
[N06AX17, milnacipran, Capecitabine may decrease the excretion rate of Milnacipran which could result in a higher serum level.]
[J05AB15, brivudine, The risk or severity of adverse effects can be increased when Brivudine is combined with Capecitabine.]
[S01XA28, varenicline, Capecitabine may decrease the excretion rate of Varenicline which could result in a higher serum level.]
[L04AA25, eculizumab, The risk or severity of adverse effects can be increased when Capecitabine is combined with Eculizumab.]
[N01BB08, articaine, The risk or severity of methemoglobinemia can be increased when Capecitabine is combined with Articaine.]
[A10BH01, sitagliptin, Capecitabine may decrease the excretion rate of Sitagliptin which could result in a higher serum level.]
[N05BA12, alprazolam, Alprazolam may decrease the excretion rate of Capecitabine which could result in a higher serum level.]
[N05CH02, ramelteon, The metabolism of Ramelteon can be decreased when combined with Capecitabine.]
[C10AA06, cerivastatin, The metabolism of Capecitabine can be decreased when combined with Cerivastatin.]
[L01XX35, anagrelide, The risk or severity of bleeding can be increased when Anagrelide is combined with Capecitabine.]
[C03BA02, quinethazone, Quinethazone may increase the excretion rate of Capecitabine which could result in a lower serum level and potentially a reduction in efficacy.]
[L03AB09, interferon alfacon-1, The risk or severity of adverse effects can be increased when Interferon alfacon-1 is combined with Capecitabine.]
[V03AB01, ipecac, Capecitabine may decrease the excretion rate of Ipecac which could result in a higher serum level.]
[N06AF05, iproniazid, The metabolism of Capecitabine can be decreased when combined with Iproniazid.]
[P01AX06, atovaquone, The metabolism of Capecitabine can be decreased when combined with Atovaquone.]
[J04AC01, isoniazid, The metabolism of Capecitabine can be decreased when combined with Isoniazid.]
[J05AX05, inosine pranobex, Capecitabine may decrease the excretion rate of Inosine pranobex which could result in a higher serum level.]
[C01DA14, isosorbide mononitrate, Isosorbide mononitrate may decrease the excretion rate of Capecitabine which could result in a higher serum level.]
[D10BA01, isotretinoin, Isotretinoin may decrease the excretion rate of Capecitabine which could result in a higher serum level.]
[B01AE06, bivalirudin, The risk or severity of bleeding can be increased when Bivalirudin is combined with Capecitabine.]
[S01AA24, kanamycin, Capecitabine may decrease the excretion rate of Kanamycin which could result in a higher serum level.]
[L04AC07, tocilizumab, The metabolism of Capecitabine can be increased when combined with Tocilizumab.]
[N01AX03, ketamine, The metabolism of Ketamine can be decreased when combined with Capecitabine.]
[C02KD01, ketanserin, The risk or severity of bleeding can be increased when Ketanserin is combined with Capecitabine.]
[B01AC22, prasugrel, The metabolism of Prasugrel can be decreased when combined with Capecitabine.]
[N05AH03, olanzapine, The metabolism of Capecitabine can be decreased when combined with Olanzapine.]
[M02AA10, ketoprofen, Ketoprofen may decrease the excretion rate of Capecitabine which could result in a higher serum level.]
[L04AA24, abatacept, The metabolism of Capecitabine can be increased when combined with Abatacept.]
[M01AE11, tiaprofenic acid, Tiaprofenic acid may decrease the excretion rate of Capecitabine which could result in a higher serum level.]
[C07AG01, labetalol, Labetalol may decrease the excretion rate of Capecitabine which could result in a higher serum level.]
[N04BB01, amantadine, Amantadine may decrease the excretion rate of Capecitabine which could result in a higher serum level.]
[A06AX03, lubiprostone, Lubiprostone may decrease the excretion rate of Capecitabine which could result in a higher serum level.]
[N03AX18, lacosamide, The metabolism of Lacosamide can be decreased when combined with Capecitabine.]
[C03CC01, ethacrynic acid, Etacrynic acid may increase the excretion rate of Capecitabine which could result in a lower serum level and potentially a reduction in efficacy.]
[L01DC03, mitomycin, The risk or severity of adverse effects can be increased when Mitomycin is combined with Capecitabine.]
[S02DA01, lidocaine, The risk or severity of methemoglobinemia can be increased when Capecitabine is combined with Lidocaine.]
[S01AA21, amikacin, Capecitabine may decrease the excretion rate of Amikacin which could result in a higher serum level.]
[N06BA13, armodafinil, The metabolism of Capecitabine can be decreased when combined with Armodafinil.]
[C03DB01, amiloride, Amiloride may increase the excretion rate of Capecitabine which could result in a lower serum level and potentially a reduction in efficacy.]
[L01AD02, lomustine, The risk or severity of adverse effects can be increased when Capecitabine is combined with Lomustine.]
[N05BA06, lorazepam, Lorazepam may decrease the excretion rate of Capecitabine which could result in a higher serum level.]
[C10AA02, lovastatin, The metabolism of Capecitabine can be decreased when combined with Lovastatin.]
[G03DC03, lynestrenol, The metabolism of Lynestrenol can be decreased when combined with Capecitabine.]
[L01EG01, temsirolimus, The risk or severity of adverse effects can be increased when Capecitabine is combined with Temsirolimus.]
[B05XA11, magnesium chloride, Capecitabine may decrease the excretion rate of Magnesium chloride which could result in a higher serum level.]
[G04BX01, magnesium hydroxide, Capecitabine may decrease the excretion rate of Magnesium hydroxide which could result in a higher serum level.]
[L01BA05, pralatrexate, The risk or severity of adverse effects can be increased when Capecitabine is combined with Pralatrexate.]
[L01EA03, nilotinib, The risk or severity of adverse effects can be increased when Capecitabine is combined with Nilotinib.]
[V04CX04, mannitol, Mannitol may increase the excretion rate of Capecitabine which could result in a lower serum level and potentially a reduction in efficacy.]
[N06AA21, maprotiline, Maprotiline may decrease the excretion rate of Capecitabine which could result in a higher serum level.]
[C02BB01, mecamylamine, Mecamylamine may decrease the excretion rate of Capecitabine which could result in a higher serum level.]
[L01AA05, mechlorethamine, The risk or severity of adverse effects can be increased when Mechlorethamine is combined with Capecitabine.]
[M02AA18, meclofenamic acid, Meclofenamic acid may decrease the excretion rate of Capecitabine which could result in a higher serum level.]
[C01AA08, medigoxin, Metildigoxin may decrease the cardiotoxic activities of Capecitabine.]
[C03BA05, mefruside, Mefruside may increase the excretion rate of Capecitabine which could result in a lower serum level and potentially a reduction in efficacy.]
[B01AB06, nadroparin, The risk or severity of bleeding can be increased when Nadroparin is combined with Capecitabine.]
[B01AB05, enoxaparin, The risk or severity of bleeding can be increased when Enoxaparin is combined with Capecitabine.]
[B01AB04, dalteparin, The risk or severity of bleeding can be increased when Dalteparin is combined with Capecitabine.]
[L01AA03, melphalan, The risk or severity of adverse effects can be increased when Melphalan is combined with Capecitabine.]
[N06DX01, memantine, Memantine may decrease the excretion rate of Capecitabine which could result in a higher serum level.]
[N02AB02, meperidine, Meperidine may decrease the excretion rate of Capecitabine which could result in a higher serum level.]
[N03AB04, mephenytoin, The metabolism of Mephenytoin can be decreased when combined with Capecitabine.]
[N01BB03, mepivacaine, The risk or severity of methemoglobinemia can be increased when Capecitabine is combined with Mepivacaine.]
[G04BX16, tiopronin, Capecitabine may decrease the excretion rate of Tiopronin which could result in a higher serum level.]
[C03BC01, mersalyl, Mersalyl may increase the excretion rate of Capecitabine which could result in a lower serum level and potentially a reduction in efficacy.]
[N05AX13, paliperidone, Capecitabine may decrease the excretion rate of Paliperidone which could result in a higher serum level.]
[A10BA02, metformin, Metformin may decrease the excretion rate of Capecitabine which could result in a higher serum level.]
[N07BC02, methadone, The metabolism of Methadone can be decreased when combined with Capecitabine.]
[N06BA03, methamphetamine, Capecitabine may decrease the excretion rate of Metamfetamine which could result in a higher serum level.]
[J05AF05, lamivudine, Lamivudine may decrease the excretion rate of Capecitabine which could result in a higher serum level.]
[S01EC05, methazolamide, Methazolamide may increase the excretion rate of Capecitabine which could result in a lower serum level and potentially a reduction in efficacy.]
[H03BB02, methimazole, The metabolism of Capecitabine can be decreased when combined with Methimazole.]
[L01BA04, pemetrexed, The risk or severity of adverse effects can be increased when Pemetrexed is combined with Capecitabine.]
[A11HA02, pyridoxine, Pyridoxine may decrease the excretion rate of Capecitabine which could result in a higher serum level.]
[L04AX03, methotrexate, The risk or severity of adverse effects can be increased when Methotrexate is combined with Capecitabine.]
[D05BA02, methoxsalen, Methoxsalen may decrease the excretion rate of Capecitabine which could result in a higher serum level.]
[N02BG09, methoxyflurane, The metabolism of Methoxyflurane can be decreased when combined with Capecitabine.]
[C03AA08, methyclothiazide, Methyclothiazide may increase the excretion rate of Capecitabine which could result in a lower serum level and potentially a reduction in efficacy.]
[C02AB01, methyldopa, Methyldopa may decrease the excretion rate of Capecitabine which could result in a higher serum level.]
[V04CG05, methylene blue, The metabolism of Capecitabine can be decreased when combined with Methylene blue.]
[H02AB04, methylprednisolone, The risk or severity of adverse effects can be increased when Methylprednisolone is combined with Capecitabine.]
[G03EK01, methyltestosterone, Capecitabine may decrease the excretion rate of Methyltestosterone which could result in a higher serum level.]
[A03FA01, metoclopramide, Capecitabine may decrease the excretion rate of Metoclopramide which could result in a higher serum level.]
[C03BA08, metolazone, Metolazone may increase the excretion rate of Capecitabine which could result in a lower serum level and potentially a reduction in efficacy.]
[C07AB02, metoprolol, Metoprolol may decrease the excretion rate of Capecitabine which could result in a higher serum level.]
[P01AB01, metronidazole, The serum concentration of the active metabolites of Capecitabine can be increased when Capecitabine is used in combination with Metronidazole.]
[V04CD01, metyrapone, Metyrapone may decrease the excretion rate of Capecitabine which could result in a higher serum level.]
[S02AA13, miconazole, The metabolism of Capecitabine can be decreased when combined with Miconazole.]
[N02BB03, aminopyrine, The metabolism of Aminophenazone can be decreased when combined with Capecitabine.]
[B01AB07, parnaparin, The risk or severity of bleeding can be increased when Parnaparin is combined with Capecitabine.]
[N05CD08, midazolam, Midazolam may decrease the excretion rate of Capecitabine which could result in a higher serum level.]
[G03XB01, mifepristone, The metabolism of Capecitabine can be decreased when combined with Mifepristone.]
[B01AB10, tinzaparin, The risk or severity of bleeding can be increased when Tinzaparin is combined with Capecitabine.]
[J05AH01, zanamivir, Zanamivir may decrease the excretion rate of Capecitabine which could result in a higher serum level.]
[C09CA03, valsartan, The metabolism of Capecitabine can be decreased when combined with Valsartan.]
[L01DB07, mitoxantrone, The risk or severity of adverse effects can be increased when Capecitabine is combined with Mitoxantrone.]
[L03AC01, aldesleukin, The risk or severity of adverse effects can be increased when Aldesleukin is combined with Capecitabine.]
[C01BD01, amiodarone, The metabolism of Capecitabine can be decreased when combined with Amiodarone.]
[N06AA09, amitriptyline, The metabolism of Amitriptyline can be decreased when combined with Capecitabine.]
[A04AA05, palonosetron, Palonosetron may decrease the excretion rate of Capecitabine which could result in a higher serum level.]
[J01DD06, moxalactam, Latamoxef may decrease the excretion rate of Capecitabine which could result in a higher serum level.]
[L04AB05, certolizumab pegol, The metabolism of Capecitabine can be increased when combined with Certolizumab pegol.]
[G04BA01, ammonium chloride, Capecitabine may decrease the excretion rate of Ammonium chloride which could result in a higher serum level.]
[L04AA52, ofatumumab, The risk or severity of adverse effects can be increased when Capecitabine is combined with Ofatumumab.]
[L01EX03, pazopanib, The risk or severity of adverse effects can be increased when Capecitabine is combined with Pazopanib.]
[L04AA06, mycophenolic acid, The risk or severity of adverse effects can be increased when Mycophenolic acid is combined with Capecitabine.]
[P01BA06, amodiaquine, The metabolism of Capecitabine can be decreased when combined with Amodiaquine.]
[N03AB05, fosphenytoin, The serum concentration of Fosphenytoin can be increased when it is combined with Capecitabine.]
[L03AB08, interferon beta-1b, The risk or severity of adverse effects can be increased when Interferon beta-1b is combined with Capecitabine.]
[C07AA12, nadolol, Capecitabine may decrease the excretion rate of Nadolol which could result in a higher serum level.]
[J01CA04, amoxicillin, Amoxicillin may decrease the excretion rate of Capecitabine which could result in a higher serum level.]
[V03AB15, naloxone, Capecitabine may decrease the excretion rate of Naloxone which could result in a higher serum level.]
[L04AC03, anakinra, The metabolism of Capecitabine can be increased when combined with Anakinra.]
[N06BA01, amphetamine, Amphetamine may decrease the excretion rate of Capecitabine which could result in a higher serum level.]
[M02AA12, naproxen, The metabolism of Naproxen can be decreased when combined with Capecitabine.]
[A10BG01, troglitazone, The metabolism of Capecitabine can be decreased when combined with Troglitazone.]
[N06AX21, duloxetine, The metabolism of Duloxetine can be decreased when combined with Capecitabine.]
[N04BX01, tolcapone, Tolcapone may decrease the excretion rate of Capecitabine which could result in a higher serum level.]
[B03XA03, methoxy polyethylene glycol-epoetin beta, The risk or severity of Thrombosis can be increased when Methoxy polyethylene glycol-epoetin beta is combined with Capecitabine.]
[L01CD02, docetaxel, The risk or severity of adverse effects can be increased when Capecitabine is combined with Docetaxel.]
[S03AA01, neomycin, Capecitabine may decrease the excretion rate of Neomycin which could result in a higher serum level.]
[B01AC17, tirofiban, The risk or severity of bleeding can be increased when Tirofiban is combined with Capecitabine.]
[J02AA01, amphotericin B, Amphotericin B may decrease the excretion rate of Capecitabine which could result in a higher serum level.]
[S01AA19, ampicillin, Ampicillin may decrease the excretion rate of Capecitabine which could result in a higher serum level.]
[L03AX16, plerixafor, Capecitabine may decrease the excretion rate of Plerixafor which could result in a higher serum level.]
[S01AA23, netilmicin, Capecitabine may decrease the excretion rate of Netilmicin which could result in a higher serum level.]
[N06AX23, desvenlafaxine, Capecitabine may decrease the excretion rate of Desvenlafaxine which could result in a higher serum level.]
[J05AB11, valacyclovir, Valaciclovir may decrease the excretion rate of Capecitabine which could result in a higher serum level.]
[C01CE01, inamrinone, Capecitabine may decrease the excretion rate of Amrinone which could result in a higher serum level.]
[L01XX01, amsacrine, The risk or severity of adverse effects can be increased when Amsacrine is combined with Capecitabine.]
