[S02DA03, antipyrine, The metabolism of Antipyrine can be decreased when combined with Fluphenazine.]
[L01EX03, pazopanib, The metabolism of Pazopanib can be decreased when combined with Fluphenazine.]
[M03AC03, vecuronium, The risk or severity of adverse effects can be increased when Fluphenazine is combined with Vecuronium.]
[N05CA02, amobarbital, The risk or severity of adverse effects can be increased when Fluphenazine is combined with Amobarbital.]
[P01BA06, amodiaquine, The risk or severity of QTc prolongation can be increased when Amodiaquine is combined with Fluphenazine.]
[N06AA17, amoxapine, The serum concentration of Amoxapine can be increased when it is combined with Fluphenazine.]
[N03AB05, fosphenytoin, The serum concentration of Fosphenytoin can be increased when it is combined with Fluphenazine.]
[C07AA12, nadolol, The serum concentration of Nadolol can be increased when it is combined with Fluphenazine.]
[N04BC04, ropinirole, The therapeutic efficacy of Ropinirole can be decreased when used in combination with Fluphenazine.]
[C04AX21, nafronyl, The risk or severity of adverse effects can be increased when Fluphenazine is combined with Naftidrofuryl.]
[N02AF02, nalbuphine, The risk or severity of hypotension and CNS depression can be increased when Fluphenazine is combined with Nalbuphine.]
[N07BB04, naltrexone, The risk or severity of hypotension and CNS depression can be increased when Fluphenazine is combined with Naltrexone.]
[N06BA01, amphetamine, Fluphenazine may decrease the stimulatory activities of Amphetamine.]
[N06AX21, duloxetine, The risk or severity of adverse effects can be increased when Fluphenazine is combined with Duloxetine.]
[N04BX01, tolcapone, The therapeutic efficacy of Tolcapone can be decreased when used in combination with Fluphenazine.]
[S03AA01, neomycin, Fluphenazine may increase the neurotoxic activities of Neomycin.]
[N01AH06, remifentanil, The risk or severity of hypotension and CNS depression can be increased when Fluphenazine is combined with Remifentanil.]
[N05AX14, iloperidone, The risk or severity of adverse effects can be increased when Fluphenazine is combined with Iloperidone.]
[N06AX23, desvenlafaxine, The risk or severity of adverse effects can be increased when Fluphenazine is combined with Desvenlafaxine.]
[N06AF02, nialamide, The risk or severity of extrapyramidal symptoms can be increased when Nialamide is combined with Fluphenazine.]
[C08CA04, nicardipine, Fluphenazine may increase the central nervous system depressant (CNS depressant) activities of Nicardipine.]
[C04AE02, nicergoline, The metabolism of Nicergoline can be decreased when combined with Fluphenazine.]
[C08CA05, nifedipine, The metabolism of Nifedipine can be decreased when combined with Fluphenazine.]
[N05CD02, nitrazepam, The risk or severity of adverse effects can be increased when Fluphenazine is combined with Nitrazepam.]
[N05CF03, zaleplon, The risk or severity of adverse effects can be increased when Fluphenazine is combined with Zaleplon.]
[N04BC05, pramipexole, The therapeutic efficacy of Pramipexole can be decreased when used in combination with Fluphenazine.]
[N01AX13, nitrous oxide, The risk or severity of adverse effects can be increased when Fluphenazine is combined with Nitrous oxide.]
[N06AX04, nomifensine, The risk or severity of adverse effects can be increased when Fluphenazine is combined with Nomifensine.]
[N06AA05, opipramol, The serum concentration of Opipramol can be increased when it is combined with Fluphenazine.]
[N02AA02, opium, The risk or severity of hypotension and CNS depression can be increased when Fluphenazine is combined with Opium.]
[G02CB04, quinagolide, The therapeutic efficacy of Quinagolide can be decreased when used in combination with Fluphenazine.]
[G04CA02, tamsulosin, The metabolism of Tamsulosin can be decreased when combined with Fluphenazine.]
[N05BA04, oxazepam, The risk or severity of adverse effects can be increased when Fluphenazine is combined with Oxazepam.]
[C07AA02, oxprenolol, The serum concentration of Oxprenolol can be increased when it is combined with Fluphenazine.]
[N02AA05, oxycodone, The risk or severity of hypotension and CNS depression can be increased when Fluphenazine is combined with Oxycodone.]
[N02AA11, oxymorphone, The risk or severity of hypotension and CNS depression can be increased when Fluphenazine is combined with Oxymorphone.]
[N05AE01, oxypertine, The risk or severity of adverse effects can be increased when Fluphenazine is combined with Oxypertine.]
[A03AB03, oxyphenonium, Fluphenazine may increase the central nervous system depressant (CNS depressant) activities of Oxyphenonium.]
[N05AH05, asenapine, The risk or severity of adverse effects can be increased when Fluphenazine is combined with Asenapine.]
[N02AX06, tapentadol, Tapentadol may increase the central nervous system depressant (CNS depressant) activities of Fluphenazine.]
[M03AC01, pancuronium, Fluphenazine may increase the central nervous system depressant (CNS depressant) activities of Pancuronium.]
[N05CC05, paraldehyde, Fluphenazine may increase the central nervous system depressant (CNS depressant) activities of Paraldehyde.]
[C02KC01, pargyline, The risk or severity of extrapyramidal symptoms can be increased when Pargyline is combined with Fluphenazine.]
[G04BD11, fesoterodine, Fluphenazine may increase the central nervous system depressant (CNS depressant) activities of Fesoterodine.]
[C07AA23, penbutolol, The serum concentration of Penbutolol can be increased when it is combined with Fluphenazine.]
[N05AG03, penfluridol, The risk or severity of adverse effects can be increased when Fluphenazine is combined with Penfluridol.]
[N02AD01, pentazocine, The risk or severity of hypotension and CNS depression can be increased when Fluphenazine is combined with Pentazocine.]
[N05CA01, pentobarbital, The risk or severity of adverse effects can be increased when Pentobarbital is combined with Fluphenazine.]
[N05AB10, perazine, The risk or severity of adverse effects can be increased when Fluphenazine is combined with Perazine.]
[N04BC02, pergolide, The therapeutic efficacy of Pergolide can be decreased when used in combination with Fluphenazine.]
[C08EX02, perhexiline, The metabolism of Perhexiline can be decreased when combined with Fluphenazine.]
[N05AB03, perphenazine, The risk or severity of adverse effects can be increased when Fluphenazine is combined with Perphenazine.]
[N02BE03, phenacetin, The metabolism of Phenacetin can be decreased when combined with Fluphenazine.]
[N02AD02, phenazocine, The risk or severity of hypotension and CNS depression can be increased when Fluphenazine is combined with Phenazocine.]
[N06AF03, phenelzine, The risk or severity of extrapyramidal symptoms can be increased when Phenelzine is combined with Fluphenazine.]
[A10BA01, phenformin, The metabolism of Phenformin can be decreased when combined with Fluphenazine.]
[N03AA02, phenobarbital, The risk or severity of adverse effects can be increased when Fluphenazine is combined with Phenobarbital.]
[N01AH04, phenoperidine, The risk or severity of hypotension and CNS depression can be increased when Fluphenazine is combined with Phenoperidine.]
[A08AA01, phentermine, Fluphenazine may decrease the stimulatory activities of Phentermine.]
[N03AB02, phenytoin, The serum concentration of Phenytoin can be increased when it is combined with Fluphenazine.]
[N05AG02, pimozide, The metabolism of Pimozide can be decreased when combined with Fluphenazine.]
[C07AA03, pindolol, The serum concentration of Pindolol can be increased when it is combined with Fluphenazine.]
[P02CB01, piperazine, The metabolism of Piperazine can be decreased when combined with Fluphenazine.]
[N05AC04, pipothiazine, The risk or severity of adverse effects can be increased when Fluphenazine is combined with Pipotiazine.]
[A02BX03, pirenzepine, Fluphenazine may increase the central nervous system depressant (CNS depressant) activities of Pirenzepine.]
[N04BC08, piribedil, The therapeutic efficacy of Piribedil can be decreased when used in combination with Fluphenazine.]
[N02AC03, pirinitramide, The risk or severity of hypotension and CNS depression can be increased when Fluphenazine is combined with Piritramide.]
[N02CX01, pizotyline, Fluphenazine may increase the central nervous system depressant (CNS depressant) activities of Pizotifen.]
[J05AG02, delavirdine, The metabolism of Delavirdine can be decreased when combined with Fluphenazine.]
[N05CA22, proxibarbal, The risk or severity of adverse effects can be increased when Fluphenazine is combined with Proxibarbal.]
[A03AE01, alosetron, The risk or severity of adverse effects can be increased when Fluphenazine is combined with Alosetron.]
[S03AA03, polymyxin B, Fluphenazine may increase the neurotoxic activities of Polymyxin B.]
[J05AE03, ritonavir, The metabolism of Ritonavir can be decreased when combined with Fluphenazine.]
[A10AD04, insulin lispro, The therapeutic efficacy of Insulin lispro can be decreased when used in combination with Fluphenazine.]
[C07AB01, practolol, The serum concentration of Practolol can be increased when it is combined with Fluphenazine.]
[N05BA11, prazepam, The risk or severity of adverse effects can be increased when Fluphenazine is combined with Prazepam.]
[N01BB04, prilocaine, The risk or severity of adverse effects can be increased when Fluphenazine is combined with Prilocaine.]
[P01BA03, primaquine, The risk or severity of QTc prolongation can be increased when Primaquine is combined with Fluphenazine.]
[N03AA03, primidone, The risk or severity of adverse effects can be increased when Fluphenazine is combined with Primidone.]
[C01BA02, procainamide, The metabolism of Procainamide can be decreased when combined with Fluphenazine.]
[S01HA05, procaine, The risk or severity of extrapyramidal symptoms can be increased when Procaine is combined with Fluphenazine.]
[L01XB01, procarbazine, The risk or severity of extrapyramidal symptoms can be increased when Procarbazine is combined with Fluphenazine.]
[N05AB04, prochlorperazine, The risk or severity of adverse effects can be increased when Prochlorperazine is combined with Fluphenazine.]
[N04AA04, procyclidine, The therapeutic efficacy of Procyclidine can be decreased when used in combination with Fluphenazine.]
[G03DA04, progesterone, The metabolism of Progesterone can be decreased when combined with Fluphenazine.]
[N05AA03, promazine, Fluphenazine may increase the central nervous system depressant (CNS depressant) activities of Promazine.]
[R06AD02, promethazine, Fluphenazine may increase the central nervous system depressant (CNS depressant) activities of Promethazine.]
[C01BC03, propafenone, The serum concentration of Propafenone can be increased when it is combined with Fluphenazine.]
[N01AX04, propanidid, The risk or severity of adverse effects can be increased when Fluphenazine is combined with Propanidid.]
[A03AB05, propantheline, Fluphenazine may increase the central nervous system depressant (CNS depressant) activities of Propantheline.]
[N05AC01, periciazine, The risk or severity of adverse effects can be increased when Fluphenazine is combined with Periciazine.]
[N05CM06, propiomazine, Fluphenazine may increase the central nervous system depressant (CNS depressant) activities of Propiomazine.]
[N01AX10, propofol, The risk or severity of adverse effects can be increased when Fluphenazine is combined with Propofol.]
[N02AC04, propoxyphene, The risk or severity of hypotension and CNS depression can be increased when Fluphenazine is combined with Dextropropoxyphene.]
[C07AA05, propranolol, The serum concentration of Propranolol can be increased when it is combined with Fluphenazine.]
[N02CC04, rizatriptan, The risk or severity of adverse effects can be increased when Rizatriptan is combined with Fluphenazine.]
[N06AA11, protriptyline, The serum concentration of Protriptyline can be increased when it is combined with Fluphenazine.]
[R01BA02, pseudoephedrine, Fluphenazine may decrease the stimulatory activities of Pseudoephedrine.]
[N05AX12, aripiprazole, Fluphenazine may increase the central nervous system depressant (CNS depressant) activities of Aripiprazole.]
[N07XX07, dalfampridine, The risk or severity of seizure can be increased when Fluphenazine is combined with Dalfampridine.]
[A03AB15, diphemanil, Fluphenazine may increase the central nervous system depressant (CNS depressant) activities of Diphemanil.]
[A03AB09, isopropamide, Fluphenazine may increase the central nervous system depressant (CNS depressant) activities of Isopropamide.]
[S01FA03, methscopolamine, Fluphenazine may increase the central nervous system depressant (CNS depressant) activities of Methscopolamine.]
[N05CA07, talbutal, The risk or severity of adverse effects can be increased when Talbutal is combined with Fluphenazine.]
[N05CA09, vinbarbital, The risk or severity of adverse effects can be increased when Fluphenazine is combined with Vinbarbital.]
[N05BB02, captodiamine, The risk or severity of adverse effects can be increased when Fluphenazine is combined with Captodiame.]
[M03BA04, styramate, The risk or severity of adverse effects can be increased when Fluphenazine is combined with Styramate.]
[P02CC01, pyrantel, The risk or severity of adverse effects can be increased when Fluphenazine is combined with Pyrantel.]
[R06AC01, pyrilamine, The risk or severity of adverse effects can be increased when Fluphenazine is combined with Mepyramine.]
[P01BD01, pyrimethamine, The risk or severity of QTc prolongation can be increased when Pyrimethamine is combined with Fluphenazine.]
[P01AX05, quinacrine, The risk or severity of QTc prolongation can be increased when Quinacrine is combined with Fluphenazine.]
[C01BA01, quinidine, The risk or severity of QTc prolongation can be increased when Quinidine is combined with Fluphenazine.]
[P01BC01, quinine, The risk or severity of QTc prolongation can be increased when Quinine is combined with Fluphenazine.]
[C02AA02, reserpine, The risk or severity of adverse effects can be increased when Reserpine is combined with Fluphenazine.]
[N06AX01, 5-hydroxytryptophan, The risk or severity of adverse effects can be increased when Fluphenazine is combined with Oxitriptan.]
[S01FA02, scopolamine, Fluphenazine may increase the central nervous system depressant (CNS depressant) activities of Scopolamine.]
[N05CA06, secobarbital, The risk or severity of adverse effects can be increased when Secobarbital is combined with Fluphenazine.]
[N04BD01, selegiline, The therapeutic efficacy of Selegiline can be decreased when used in combination with Fluphenazine.]
[C07AA07, sotalol, The metabolism of Sotalol can be decreased when combined with Fluphenazine.]
[R03BB01, ipratropium bromide, Fluphenazine may increase the central nervous system depressant (CNS depressant) activities of Ipratropium.]
