[S02DA03, antipyrine, The metabolism of Antipyrine can be decreased when combined with Entacapone.]
[N05AX12, aripiprazole, The therapeutic efficacy of Entacapone can be decreased when used in combination with Aripiprazole.]
[A03AB15, diphemanil, Entacapone may increase the central nervous system depressant (CNS depressant) activities of Diphemanil.]
[A03AB09, isopropamide, Entacapone may increase the central nervous system depressant (CNS depressant) activities of Isopropamide.]
[S01FA03, methscopolamine, Entacapone may increase the central nervous system depressant (CNS depressant) activities of Methscopolamine.]
[N05CA07, talbutal, The risk or severity of adverse effects can be increased when Talbutal is combined with Entacapone.]
[N05CA09, vinbarbital, The risk or severity of adverse effects can be increased when Entacapone is combined with Vinbarbital.]
[N05BB02, captodiamine, The risk or severity of adverse effects can be increased when Entacapone is combined with Captodiame.]
[M03BA04, styramate, The risk or severity of adverse effects can be increased when Entacapone is combined with Styramate.]
[P02CC01, pyrantel, The risk or severity of adverse effects can be increased when Entacapone is combined with Pyrantel.]
[R06AC01, pyrilamine, The risk or severity of adverse effects can be increased when Entacapone is combined with Mepyramine.]
[C01BA01, quinidine, Entacapone may increase the central nervous system depressant (CNS depressant) activities of Quinidine.]
[P01BC01, quinine, The risk or severity of adverse effects can be increased when Quinine is combined with Entacapone.]
[C02AA02, reserpine, The risk or severity of adverse effects can be increased when Reserpine is combined with Entacapone.]
[J04AB02, rifampin, The metabolism of Entacapone can be decreased when combined with Rifampicin.]
[N06AX01, 5-hydroxytryptophan, The risk or severity of adverse effects can be increased when Entacapone is combined with Oxitriptan.]
[S01FA02, scopolamine, Entacapone may increase the central nervous system depressant (CNS depressant) activities of Scopolamine.]
[N05CA06, secobarbital, The risk or severity of adverse effects can be increased when Secobarbital is combined with Entacapone.]
[N04BD01, selegiline, The risk or severity of adverse effects can be increased when Entacapone is combined with Selegiline.]
[C07AA07, sotalol, The metabolism of Sotalol can be decreased when combined with Entacapone.]
[R03BB01, ipratropium bromide, Entacapone may increase the central nervous system depressant (CNS depressant) activities of Ipratropium.]
