[S02DA03, antipyrine, The metabolism of Methyltestosterone can be decreased when combined with Antipyrine.]
[L01BC03, tegafur, Methyltestosterone may decrease the excretion rate of Tegafur which could result in a higher serum level.]
[J05AE10, darunavir, The metabolism of Methyltestosterone can be decreased when combined with Darunavir.]
[C03CA01, furosemide, The therapeutic efficacy of Furosemide can be increased when used in combination with Methyltestosterone.]
[N05CF04, eszopiclone, Eszopiclone may decrease the excretion rate of Methyltestosterone which could result in a higher serum level.]
[S01AD09, ganciclovir, Ganciclovir may decrease the excretion rate of Methyltestosterone which could result in a higher serum level.]
[C10AB04, gemfibrozil, Gemfibrozil may decrease the excretion rate of Methyltestosterone which could result in a higher serum level.]
[J01XA03, telavancin, Telavancin may decrease the excretion rate of Methyltestosterone which could result in a higher serum level.]
[A10BJ02, liraglutide, Methyltestosterone may increase the hypoglycemic activities of Liraglutide.]
[A10BB01, glyburide, Methyltestosterone may increase the hypoglycemic activities of Glyburide.]
[A10BB09, gliclazide, Methyltestosterone may increase the hypoglycemic activities of Gliclazide.]
[A10BB07, glipizide, Methyltestosterone may increase the hypoglycemic activities of Glipizide.]
[N05CM18, dexmedetomidine, Dexmedetomidine may decrease the excretion rate of Methyltestosterone which could result in a higher serum level.]
[L01EX02, sorafenib, The metabolism of Methyltestosterone can be decreased when combined with Sorafenib.]
[M01CB04, aurothioglucose, Methyltestosterone may decrease the excretion rate of Aurothioglucose which could result in a higher serum level.]
[S01LA03, pegaptanib, Pegaptanib may decrease the excretion rate of Methyltestosterone which could result in a higher serum level.]
[B01AA12, fluindione, Methyltestosterone may increase the anticoagulant activities of Fluindione.]
[C09AA09, fosinopril, Fosinopril may decrease the excretion rate of Methyltestosterone which could result in a higher serum level.]
[S01EX01, guanethidine, Guanethidine may decrease the excretion rate of Methyltestosterone which could result in a higher serum level.]
[L02AE03, goserelin, Goserelin may decrease the excretion rate of Methyltestosterone which could result in a higher serum level.]
[N05AD01, haloperidol, The serum concentration of Haloperidol can be increased when it is combined with Methyltestosterone.]
[N01AB01, halothane, The metabolism of Methyltestosterone can be decreased when combined with Halothane.]
[N05AH04, quetiapine, Quetiapine may decrease the excretion rate of Methyltestosterone which could result in a higher serum level.]
[N06BX13, idebenone, Methyltestosterone may decrease the excretion rate of Idebenone which could result in a higher serum level.]
[A10AD05, insulin aspart, human, Methyltestosterone may increase the hypoglycemic activities of Insulin aspart.]
[L01CE02, irinotecan, The metabolism of Methyltestosterone can be decreased when combined with Irinotecan.]
[M04AA01, allopurinol, The excretion of Allopurinol can be increased when combined with Methyltestosterone.]
[S01XA14, heparin, The therapeutic efficacy of Heparin can be increased when used in combination with Methyltestosterone.]
[G03DC01, allylestrenol, Allylestrenol may decrease the excretion rate of Methyltestosterone which could result in a higher serum level.]
[A07EC02, mesalamine, Mesalazine may decrease the excretion rate of Methyltestosterone which could result in a higher serum level.]
[C01CE02, milrinone, Milrinone may decrease the excretion rate of Methyltestosterone which could result in a higher serum level.]
[J05AG01, nevirapine, The metabolism of Methyltestosterone can be increased when combined with Nevirapine.]
[C08CA10, nilvadipine, The metabolism of Methyltestosterone can be decreased when combined with Nilvadipine.]
[M02AA26, nimesulide, Nimesulide may decrease the excretion rate of Methyltestosterone which could result in a higher serum level.]
[C09AA04, perindopril, Perindopril may decrease the excretion rate of Methyltestosterone which could result in a higher serum level.]
[C02DB02, hydralazine, Hydralazine may decrease the excretion rate of Methyltestosterone which could result in a higher serum level.]
[C03AA03, hydrochlorothiazide, Hydrochlorothiazide may increase the excretion rate of Methyltestosterone which could result in a lower serum level and potentially a reduction in efficacy.]
[R05DA03, hydrocodone, The metabolism of Methyltestosterone can be decreased when combined with Hydrocodone.]
[S02BA01, hydrocortisone, The risk or severity of edema formation can be increased when Methyltestosterone is combined with Hydrocortisone.]
[D07AB02, hydrocortisone butyrate, The risk or severity of edema formation can be increased when Methyltestosterone is combined with Hydrocortisone butyrate.]
[C03AA02, hydroflumethiazide, Hydroflumethiazide may increase the excretion rate of Methyltestosterone which could result in a lower serum level and potentially a reduction in efficacy.]
[B05XA17, potassium acetate, Methyltestosterone may decrease the excretion rate of Potassium acetate which could result in a higher serum level.]
[A12BA02, potassium citrate, Potassium citrate may increase the excretion rate of Methyltestosterone which could result in a lower serum level and potentially a reduction in efficacy.]
[V03AB33, hydroxocobalamin, Hydroxocobalamin may decrease the excretion rate of Methyltestosterone which could result in a higher serum level.]
[G04BD06, propiverine, Methyltestosterone may decrease the excretion rate of Propiverine which could result in a higher serum level.]
[B05AA07, hetastarch, Methyltestosterone may decrease the excretion rate of Hydroxyethyl Starch which could result in a higher serum level.]
[J04AB04, rifabutin, The metabolism of Methyltestosterone can be increased when combined with Rifabutin.]
[R02AX02, ibuprofen, Ibuprofen may decrease the excretion rate of Methyltestosterone which could result in a higher serum level.]
[B05XA08, sodium acetate, Methyltestosterone may decrease the excretion rate of Sodium acetate which could result in a higher serum level.]
[L01AA06, ifosfamide, The metabolism of Ifosfamide can be decreased when combined with Methyltestosterone.]
[N06AA02, imipramine, The metabolism of Methyltestosterone can be decreased when combined with Imipramine.]
[R01AD07, tixocortol, The risk or severity of edema formation can be increased when Methyltestosterone is combined with Tixocortol.]
[L01CE01, topotecan, Topotecan may decrease the excretion rate of Methyltestosterone which could result in a higher serum level.]
[C03BA11, indapamide, Indapamide may increase the excretion rate of Methyltestosterone which could result in a lower serum level and potentially a reduction in efficacy.]
[S01BC01, indomethacin, The excretion of Indomethacin can be increased when combined with Methyltestosterone.]
[A11HA07, inositol, Methyltestosterone may decrease the excretion rate of Inositol which could result in a higher serum level.]
[N06AX17, milnacipran, The metabolism of Methyltestosterone can be decreased when combined with Milnacipran.]
[S01XA28, varenicline, Varenicline may decrease the excretion rate of Methyltestosterone which could result in a higher serum level.]
[N01BB08, articaine, The risk or severity of methemoglobinemia can be increased when Methyltestosterone is combined with Articaine.]
[A10BH01, sitagliptin, Methyltestosterone may increase the hypoglycemic activities of Sitagliptin.]
[N05BA12, alprazolam, Alprazolam may decrease the excretion rate of Methyltestosterone which could result in a higher serum level.]
[N05CH02, ramelteon, Ramelteon may decrease the excretion rate of Methyltestosterone which could result in a higher serum level.]
[A10BH02, vildagliptin, Methyltestosterone may increase the hypoglycemic activities of Vildagliptin.]
[C10AA06, cerivastatin, The metabolism of Methyltestosterone can be increased when combined with Cerivastatin.]
[C03BA02, quinethazone, Quinethazone may increase the excretion rate of Methyltestosterone which could result in a lower serum level and potentially a reduction in efficacy.]
[V03AB01, ipecac, Methyltestosterone may decrease the excretion rate of Ipecac which could result in a higher serum level.]
[G04BE01, alprostadil, The excretion of Alprostadil can be increased when combined with Methyltestosterone.]
[N01AB06, isoflurane, The metabolism of Methyltestosterone can be decreased when combined with Isoflurane.]
[J04AC01, isoniazid, The metabolism of Methyltestosterone can be decreased when combined with Isoniazid.]
[J05AX05, inosine pranobex, Methyltestosterone may decrease the excretion rate of Inosine pranobex which could result in a higher serum level.]
[A10BJ01, exenatide, Methyltestosterone may increase the hypoglycemic activities of Exenatide.]
[C01DA14, isosorbide mononitrate, Isosorbide mononitrate may decrease the excretion rate of Methyltestosterone which could result in a higher serum level.]
[D10BA01, isotretinoin, Isotretinoin may decrease the excretion rate of Methyltestosterone which could result in a higher serum level.]
[S01AA24, kanamycin, Methyltestosterone may decrease the excretion rate of Kanamycin which could result in a higher serum level.]
[L04AC07, tocilizumab, The metabolism of Methyltestosterone can be increased when combined with Tocilizumab.]
[N01AX03, ketamine, The metabolism of Methyltestosterone can be decreased when combined with Ketamine.]
[B01AC22, prasugrel, The metabolism of Methyltestosterone can be decreased when combined with Prasugrel.]
[J02AB02, ketoconazole, The metabolism of Methyltestosterone can be decreased when combined with Ketoconazole.]
[H02CA04, levoketoconazole, The metabolism of Methyltestosterone can be decreased when combined with Levoketoconazole.]
[M02AA10, ketoprofen, Ketoprofen may decrease the excretion rate of Methyltestosterone which could result in a higher serum level.]
[L04AA24, abatacept, The metabolism of Methyltestosterone can be increased when combined with Abatacept.]
[D10AX03, azelaic acid, Azelaic acid may decrease the excretion rate of Methyltestosterone which could result in a higher serum level.]
[M01AE11, tiaprofenic acid, Tiaprofenic acid may decrease the excretion rate of Methyltestosterone which could result in a higher serum level.]
[C07AG01, labetalol, Labetalol may decrease the excretion rate of Methyltestosterone which could result in a higher serum level.]
[N04BB01, amantadine, Amantadine may decrease the excretion rate of Methyltestosterone which could result in a higher serum level.]
[A06AX03, lubiprostone, Lubiprostone may decrease the excretion rate of Methyltestosterone which could result in a higher serum level.]
[C03CC01, ethacrynic acid, Etacrynic acid may increase the excretion rate of Methyltestosterone which could result in a lower serum level and potentially a reduction in efficacy.]
[S02DA01, lidocaine, The risk or severity of methemoglobinemia can be increased when Methyltestosterone is combined with Lidocaine.]
[S01AA21, amikacin, Methyltestosterone may decrease the excretion rate of Amikacin which could result in a higher serum level.]
[N06BA13, armodafinil, The metabolism of Methyltestosterone can be increased when combined with Armodafinil.]
[C03DB01, amiloride, Amiloride may increase the excretion rate of Methyltestosterone which could result in a lower serum level and potentially a reduction in efficacy.]
[N05BA06, lorazepam, Lorazepam may decrease the excretion rate of Methyltestosterone which could result in a higher serum level.]
[C10AA02, lovastatin, The metabolism of Methyltestosterone can be decreased when combined with Lovastatin.]
[B05XA11, magnesium chloride, Methyltestosterone may decrease the excretion rate of Magnesium chloride which could result in a higher serum level.]
[G04BX01, magnesium hydroxide, Methyltestosterone may decrease the excretion rate of Magnesium hydroxide which could result in a higher serum level.]
[L01BA05, pralatrexate, Methyltestosterone may decrease the excretion rate of Pralatrexate which could result in a higher serum level.]
[L01EA03, nilotinib, The metabolism of Methyltestosterone can be decreased when combined with Nilotinib.]
[V04CX04, mannitol, Mannitol may increase the excretion rate of Methyltestosterone which could result in a lower serum level and potentially a reduction in efficacy.]
[N06AA21, maprotiline, Maprotiline may decrease the excretion rate of Methyltestosterone which could result in a higher serum level.]
[C02BB01, mecamylamine, Mecamylamine may decrease the excretion rate of Methyltestosterone which could result in a higher serum level.]
[M02AA18, meclofenamic acid, The therapeutic efficacy of Meclofenamic acid can be increased when used in combination with Methyltestosterone.]
[C03BA05, mefruside, Mefruside may increase the excretion rate of Methyltestosterone which could result in a lower serum level and potentially a reduction in efficacy.]
[N06DX01, memantine, The metabolism of Methyltestosterone can be decreased when combined with Memantine.]
[N02AB02, meperidine, The metabolism of Methyltestosterone can be decreased when combined with Meperidine.]
[N03AB04, mephenytoin, The therapeutic efficacy of Mephenytoin can be increased when used in combination with Methyltestosterone.]
[N03AA01, mephobarbital, The metabolism of Methyltestosterone can be decreased when combined with Methylphenobarbital.]
[N01BB03, mepivacaine, The risk or severity of methemoglobinemia can be increased when Methyltestosterone is combined with Mepivacaine.]
[G04BX16, tiopronin, Methyltestosterone may decrease the excretion rate of Tiopronin which could result in a higher serum level.]
[C03BC01, mersalyl, Mersalyl may increase the excretion rate of Methyltestosterone which could result in a lower serum level and potentially a reduction in efficacy.]
[N05AX13, paliperidone, Paliperidone may decrease the excretion rate of Methyltestosterone which could result in a higher serum level.]
[A10BA02, metformin, Methyltestosterone may increase the hypoglycemic activities of Metformin.]
[N07BC02, methadone, The metabolism of Methyltestosterone can be decreased when combined with Methadone.]
[N06BA03, methamphetamine, Metamfetamine may decrease the excretion rate of Methyltestosterone which could result in a higher serum level.]
[J05AF05, lamivudine, Lamivudine may decrease the excretion rate of Methyltestosterone which could result in a higher serum level.]
[S01EC05, methazolamide, Methazolamide may increase the excretion rate of Methyltestosterone which could result in a lower serum level and potentially a reduction in efficacy.]
[H03BB02, methimazole, The metabolism of Methyltestosterone can be decreased when combined with Methimazole.]
[L01BA04, pemetrexed, Methyltestosterone may decrease the excretion rate of Pemetrexed which could result in a higher serum level.]
[A11HA02, pyridoxine, Pyridoxine may decrease the excretion rate of Methyltestosterone which could result in a higher serum level.]
[L04AX03, methotrexate, The excretion of Methotrexate can be increased when combined with Methyltestosterone.]
[D05BA02, methoxsalen, Methoxsalen may decrease the excretion rate of Methyltestosterone which could result in a higher serum level.]
[N02BG09, methoxyflurane, The metabolism of Methyltestosterone can be decreased when combined with Methoxyflurane.]
[C03AA08, methyclothiazide, Methyclothiazide may increase the excretion rate of Methyltestosterone which could result in a lower serum level and potentially a reduction in efficacy.]
[C02AB01, methyldopa, Methyldopa may decrease the excretion rate of Methyltestosterone which could result in a higher serum level.]
[V04CG05, methylene blue, The metabolism of Methyltestosterone can be decreased when combined with Methylene blue.]
[H02AB04, methylprednisolone, The risk or severity of edema formation can be increased when Methyltestosterone is combined with Methylprednisolone.]
[D07AC14, methylprednisolone aceponate, The risk or severity of edema formation can be increased when Methyltestosterone is combined with Methylprednisolone aceponate.]
[C01DA05, pentaerythritol tetranitrate, Pentaerythritol tetranitrate may decrease the excretion rate of Methyltestosterone which could result in a higher serum level.]
[R03BA09, fluticasone furoate, The risk or severity of edema formation can be increased when Methyltestosterone is combined with Fluticasone furoate.]
[A03FA01, metoclopramide, Metoclopramide may decrease the excretion rate of Methyltestosterone which could result in a higher serum level.]
[C03BA08, metolazone, Metolazone may increase the excretion rate of Methyltestosterone which could result in a lower serum level and potentially a reduction in efficacy.]
[C07AB02, metoprolol, Metoprolol may decrease the excretion rate of Methyltestosterone which could result in a higher serum level.]
[V04CD01, metyrapone, Metyrapone may decrease the excretion rate of Methyltestosterone which could result in a higher serum level.]
[C01BB02, mexiletine, The metabolism of Methyltestosterone can be decreased when combined with Mexiletine.]
[N06AX03, mianserin, The metabolism of Methyltestosterone can be decreased when combined with Mianserin.]
[S02AA13, miconazole, The metabolism of Methyltestosterone can be decreased when combined with Miconazole.]
[N02BB03, aminopyrine, Aminophenazone may decrease the excretion rate of Methyltestosterone which could result in a higher serum level.]
[N05CD08, midazolam, Midazolam may decrease the excretion rate of Methyltestosterone which could result in a higher serum level.]
[G03XB01, mifepristone, Methyltestosterone may increase the hypoglycemic activities of Mifepristone.]
[J05AH01, zanamivir, Zanamivir may decrease the excretion rate of Methyltestosterone which could result in a higher serum level.]
[L01XX23, mitotane, The metabolism of Methyltestosterone can be increased when combined with Mitotane.]
[L03AC01, aldesleukin, Aldesleukin may decrease the excretion rate of Methyltestosterone which could result in a higher serum level.]
[C01BD01, amiodarone, The metabolism of Methyltestosterone can be decreased when combined with Amiodarone.]
[N06AA09, amitriptyline, The metabolism of Methyltestosterone can be decreased when combined with Amitriptyline.]
[A04AA05, palonosetron, Palonosetron may decrease the excretion rate of Methyltestosterone which could result in a higher serum level.]
[J01DD06, moxalactam, Latamoxef may decrease the excretion rate of Methyltestosterone which could result in a higher serum level.]
[L04AB05, certolizumab pegol, The metabolism of Methyltestosterone can be increased when combined with Certolizumab pegol.]
[G04BA01, ammonium chloride, Methyltestosterone may decrease the excretion rate of Ammonium chloride which could result in a higher serum level.]
[L04AA06, mycophenolic acid, Mycophenolic acid may decrease the excretion rate of Methyltestosterone which could result in a higher serum level.]
[G03XC01, raloxifene, The metabolism of Methyltestosterone can be decreased when combined with Raloxifene.]
[N03AB05, fosphenytoin, The metabolism of Methyltestosterone can be increased when combined with Fosphenytoin.]
[C07AA12, nadolol, Nadolol may decrease the excretion rate of Methyltestosterone which could result in a higher serum level.]
[J01CA04, amoxicillin, Amoxicillin may decrease the excretion rate of Methyltestosterone which could result in a higher serum level.]
[V03AB15, naloxone, The metabolism of Methyltestosterone can be decreased when combined with Naloxone.]
[L04AC03, anakinra, The metabolism of Methyltestosterone can be increased when combined with Anakinra.]
[N06BA01, amphetamine, Amphetamine may decrease the excretion rate of Methyltestosterone which could result in a higher serum level.]
[M02AA12, naproxen, Naproxen may decrease the excretion rate of Methyltestosterone which could result in a higher serum level.]
[A10BG01, troglitazone, The metabolism of Methyltestosterone can be increased when combined with Troglitazone.]
[N06AX21, duloxetine, Duloxetine may decrease the excretion rate of Methyltestosterone which could result in a higher serum level.]
[N04BX01, tolcapone, Tolcapone may decrease the excretion rate of Methyltestosterone which could result in a higher serum level.]
[B03XA03, methoxy polyethylene glycol-epoetin beta, The risk or severity of Thrombosis can be increased when Methoxy polyethylene glycol-epoetin beta is combined with Methyltestosterone.]
[S03AA01, neomycin, Methyltestosterone may decrease the excretion rate of Neomycin which could result in a higher serum level.]
[A10BX02, repaglinide, Methyltestosterone may increase the hypoglycemic activities of Repaglinide.]
[B01AC17, tirofiban, Tirofiban may decrease the excretion rate of Methyltestosterone which could result in a higher serum level.]
[J02AA01, amphotericin B, Amphotericin B may decrease the excretion rate of Methyltestosterone which could result in a higher serum level.]
[S01AA19, ampicillin, Ampicillin may decrease the excretion rate of Methyltestosterone which could result in a higher serum level.]
[L03AX16, plerixafor, Methyltestosterone may decrease the excretion rate of Plerixafor which could result in a higher serum level.]
[S01AA23, netilmicin, Methyltestosterone may decrease the excretion rate of Netilmicin which could result in a higher serum level.]
[N06AX23, desvenlafaxine, The metabolism of Methyltestosterone can be decreased when combined with Desvenlafaxine.]
[J05AB11, valacyclovir, The excretion of Valaciclovir can be increased when combined with Methyltestosterone.]
[C01CE01, inamrinone, Amrinone may decrease the excretion rate of Methyltestosterone which could result in a higher serum level.]
[C08CA04, nicardipine, The metabolism of Methyltestosterone can be decreased when combined with Nicardipine.]
[N07BA01, nicotine, The metabolism of Methyltestosterone can be decreased when combined with Nicotine.]
[C08CA05, nifedipine, Nifedipine may decrease the excretion rate of Methyltestosterone which could result in a higher serum level.]
[M02AA17, niflumic acid, Niflumic acid may decrease the excretion rate of Methyltestosterone which could result in a higher serum level.]
[C08CA07, nisoldipine, Nisoldipine may decrease the excretion rate of Methyltestosterone which could result in a higher serum level.]
[R07AX01, nitric oxide, Nitric Oxide may decrease the excretion rate of Methyltestosterone which could result in a higher serum level.]
[J01XE01, nitrofurantoin, The therapeutic efficacy of Nitrofurantoin can be increased when used in combination with Methyltestosterone.]
[N05CF03, zaleplon, Zaleplon may decrease the excretion rate of Methyltestosterone which could result in a higher serum level.]
[N04BC05, pramipexole, Pramipexole may decrease the excretion rate of Methyltestosterone which could result in a higher serum level.]
[C02DD01, nitroprusside, Nitroprusside may decrease the excretion rate of Methyltestosterone which could result in a higher serum level.]
[L04AC04, rilonacept, The metabolism of Methyltestosterone can be increased when combined with Rilonacept.]
[N02AA02, opium, Methyltestosterone may decrease the excretion rate of Opium which could result in a higher serum level.]
[G04CA02, tamsulosin, Tamsulosin may decrease the excretion rate of Methyltestosterone which could result in a higher serum level.]
[J01CF04, oxacillin, Oxacillin may decrease the excretion rate of Methyltestosterone which could result in a higher serum level.]
[N05BA04, oxazepam, Oxazepam may decrease the excretion rate of Methyltestosterone which could result in a higher serum level.]
[S01BC02, oxyphenbutazone, Oxyphenbutazone may decrease the excretion rate of Methyltestosterone which could result in a higher serum level.]
[S01AA04, oxytetracycline, The excretion of Oxytetracycline can be increased when combined with Methyltestosterone.]
[V04CH30, 4-aminohippuric acid, The excretion of Aminohippuric acid can be increased when combined with Methyltestosterone.]
[J04AB30, capreomycin, Methyltestosterone may decrease the excretion rate of Capreomycin which could result in a higher serum level.]
[H02AB05, paramethasone, The risk or severity of edema formation can be increased when Methyltestosterone is combined with Paramethasone.]
[A07AA06, paromomycin, Paromomycin may decrease the excretion rate of Methyltestosterone which could result in a higher serum level.]
[G04BD11, fesoterodine, Fesoterodine may decrease the excretion rate of Methyltestosterone which could result in a higher serum level.]
[C07AA23, penbutolol, Penbutolol may decrease the excretion rate of Methyltestosterone which could result in a higher serum level.]
[S01AA14, penicillin G, The excretion of Benzylpenicillin can be increased when combined with Methyltestosterone.]
[J01CE09, penicillin G procaine, Methyltestosterone may decrease the excretion rate of Procaine benzylpenicillin which could result in a higher serum level.]
[N05CA01, pentobarbital, The metabolism of Methyltestosterone can be increased when combined with Pentobarbital.]
[L01XX08, pentostatin, Methyltestosterone may decrease the excretion rate of Pentostatin which could result in a higher serum level.]
[C04AD03, pentoxifylline, Pentoxifylline may decrease the excretion rate of Methyltestosterone which could result in a higher serum level.]
[C08EX02, perhexiline, The metabolism of Methyltestosterone can be decreased when combined with Perhexiline.]
[G04BX06, phenazopyridine, Phenazopyridine may decrease the excretion rate of Methyltestosterone which could result in a higher serum level.]
[N06AF03, phenelzine, Phenelzine may decrease the excretion rate of Methyltestosterone which could result in a higher serum level.]
[A10BA01, phenformin, Methyltestosterone may increase the hypoglycemic activities of Phenformin.]
[B01AA02, phenindione, Methyltestosterone may increase the anticoagulant activities of Phenindione.]
[N03AA02, phenobarbital, The metabolism of Methyltestosterone can be increased when combined with Phenobarbital.]
[B01AA04, phenprocoumon, Methyltestosterone may increase the anticoagulant activities of Phenprocoumon.]
[V03AB36, phentolamine, Phentolamine may decrease the excretion rate of Methyltestosterone which could result in a higher serum level.]
[M02AA01, phenylbutazone, Phenylbutazone may decrease the excretion rate of Methyltestosterone which could result in a higher serum level.]
[N03AB02, phenytoin, The metabolism of Methyltestosterone can be increased when combined with Phenytoin.]
[L04AB06, golimumab, The metabolism of Methyltestosterone can be increased when combined with Golimumab.]
[S01AE05, levofloxacin, Levofloxacin may decrease the excretion rate of Methyltestosterone which could result in a higher serum level.]
[N07BB03, acamprosate, The excretion of Acamprosate can be increased when combined with Methyltestosterone.]
[B02BA01, vitamin K1, Phylloquinone may decrease the excretion rate of Methyltestosterone which could result in a higher serum level.]
[J05AB12, cidofovir, Cidofovir may decrease the excretion rate of Methyltestosterone which could result in a higher serum level.]
[C07AA03, pindolol, Pindolol may decrease the excretion rate of Methyltestosterone which could result in a higher serum level.]
[J01CA12, piperacillin, The excretion of Piperacillin can be increased when combined with Methyltestosterone.]
[J05AE01, saquinavir, The metabolism of Methyltestosterone can be decreased when combined with Saquinavir.]
[N06BX03, piracetam, Methyltestosterone may decrease the excretion rate of Piracetam which could result in a higher serum level.]
[S01BC06, piroxicam, Piroxicam may decrease the excretion rate of Methyltestosterone which could result in a higher serum level.]
[J01DD16, cefditoren, Cefditoren may decrease the excretion rate of Methyltestosterone which could result in a higher serum level.]
[J05AG02, delavirdine, The metabolism of Methyltestosterone can be decreased when combined with Delavirdine.]
[A10BG02, rosiglitazone, Methyltestosterone may increase the hypoglycemic activities of Rosiglitazone.]
[L04AC08, canakinumab, The metabolism of Methyltestosterone can be increased when combined with Canakinumab.]
[C03AA05, polythiazide, Polythiazide may increase the excretion rate of Methyltestosterone which could result in a lower serum level and potentially a reduction in efficacy.]
[J05AE03, ritonavir, The serum concentration of Methyltestosterone can be increased when it is combined with Ritonavir.]
[A10BH03, saxagliptin, Methyltestosterone may increase the hypoglycemic activities of Saxagliptin.]
[B05XA01, potassium chloride, Potassium chloride may decrease the excretion rate of Methyltestosterone which could result in a higher serum level.]
[A10AD04, insulin lispro, Methyltestosterone may increase the hypoglycemic activities of Insulin lispro.]
[S03BA02, prednisolone, The risk or severity of edema formation can be increased when Methyltestosterone is combined with Prednisolone.]
[H02AB07, prednisone, The risk or severity of edema formation can be increased when Methyltestosterone is combined with Prednisone.]
[N01BB04, prilocaine, The risk or severity of methemoglobinemia can be increased when Methyltestosterone is combined with Prilocaine.]
[P01BA03, primaquine, The metabolism of Methyltestosterone can be decreased when combined with Primaquine.]
[N03AA03, primidone, The metabolism of Methyltestosterone can be increased when combined with Primidone.]
[M04AB01, probenecid, Probenecid may decrease the excretion rate of Methyltestosterone which could result in a higher serum level.]
[C01BA02, procainamide, Methyltestosterone may decrease the excretion rate of Procainamide which could result in a higher serum level.]
[S01HA05, procaine, The risk or severity of methemoglobinemia can be increased when Methyltestosterone is combined with Procaine.]
[C10AB05, fenofibrate, Fenofibrate may decrease the excretion rate of Methyltestosterone which could result in a higher serum level.]
[R06AD02, promethazine, The metabolism of Methyltestosterone can be decreased when combined with Promethazine.]
[A03AB05, propantheline, Propantheline may decrease the excretion rate of Methyltestosterone which could result in a higher serum level.]
[R06AX26, fexofenadine, The excretion of Fexofenadine can be increased when combined with Methyltestosterone.]
[L01XH02, romidepsin, The metabolism of Methyltestosterone can be decreased when combined with Romidepsin.]
[N01AX10, propofol, The metabolism of Methyltestosterone can be decreased when combined with Propofol.]
[C07AA05, propranolol, Propranolol may decrease the excretion rate of Methyltestosterone which could result in a higher serum level.]
[N02CC04, rizatriptan, Rizatriptan may decrease the excretion rate of Methyltestosterone which could result in a higher serum level.]
[B01AC09, epoprostenol, Epoprostenol may decrease the excretion rate of Methyltestosterone which could result in a higher serum level.]
[N07XX07, dalfampridine, Dalfampridine may decrease the excretion rate of Methyltestosterone which could result in a higher serum level.]
[P02CC01, pyrantel, Methyltestosterone may decrease the excretion rate of Pyrantel which could result in a higher serum level.]
[J04AK01, pyrazinamide, Pyrazinamide may decrease the excretion rate of Methyltestosterone which could result in a higher serum level.]
[C01BA01, quinidine, Methyltestosterone may decrease the excretion rate of Quinidine which could result in a higher serum level.]
[P01BC01, quinine, Methyltestosterone may increase the hypoglycemic activities of Quinine.]
[A02BA02, ranitidine, The excretion of Ranitidine can be increased when combined with Methyltestosterone.]
[C02AA02, reserpine, Reserpine may decrease the excretion rate of Methyltestosterone which could result in a higher serum level.]
[J05AP01, ribavirin, Ribavirin may decrease the excretion rate of Methyltestosterone which could result in a higher serum level.]
[J04AB02, rifampin, The metabolism of Methyltestosterone can be increased when combined with Rifampicin.]
[N02BA05, salicylamide, Salicylamide may decrease the excretion rate of Methyltestosterone which could result in a higher serum level.]
[A07EC01, sulfasalazine, Sulfasalazine may decrease the excretion rate of Methyltestosterone which could result in a higher serum level.]
[S01BC08, salicylic acid, Salicylic acid may decrease the excretion rate of Methyltestosterone which could result in a higher serum level.]
[N05CA06, secobarbital, Secobarbital may decrease the excretion rate of Methyltestosterone which could result in a higher serum level.]
[N04BD01, selegiline, The metabolism of Methyltestosterone can be decreased when combined with Selegiline.]
[J01GB08, sisomicin, Methyltestosterone may decrease the excretion rate of Sisomicin which could result in a higher serum level.]
[A12CD01, sodium fluoride, Methyltestosterone may decrease the excretion rate of Sodium fluoride which could result in a higher serum level.]
[V04CC01, sorbitol, Sorbitol may decrease the excretion rate of Methyltestosterone which could result in a higher serum level.]
[C03DA01, spironolactone, Spironolactone may increase the excretion rate of Methyltestosterone which could result in a lower serum level and potentially a reduction in efficacy.]
