[S02DA03, antipyrine, The metabolism of Antipyrine can be decreased when combined with Vilazodone.]
[N05CD04, estazolam, The risk or severity of adverse effects can be increased when Estazolam is combined with Vilazodone.]
[A02BC02, pantoprazole, The metabolism of Vilazodone can be decreased when combined with Pantoprazole.]
[H05BX01, cinacalcet, The metabolism of Vilazodone can be decreased when combined with Cinacalcet.]
[G03CA03, estradiol, The metabolism of Vilazodone can be decreased when combined with Estradiol.]
[J04AK02, ethambutol, The metabolism of Vilazodone can be decreased when combined with Ethambutol.]
[C10AA04, fluvastatin, The metabolism of Fluvastatin can be decreased when combined with Vilazodone.]
[C01CA15, gepefrine, The risk or severity of serotonin syndrome can be increased when Vilazodone is combined with Gepefrine.]
[N05CM08, ethchlorvynol, The risk or severity of adverse effects can be increased when Ethchlorvynol is combined with Vilazodone.]
[L02AA03, ethinyl estradiol, The metabolism of Vilazodone can be decreased when combined with Ethinylestradiol.]
[N04AA05, profenamine, Vilazodone may increase the central nervous system depressant (CNS depressant) activities of Profenamine.]
[N03AD01, ethosuximide, The risk or severity of adverse effects can be increased when Ethosuximide is combined with Vilazodone.]
[N03AB01, ethotoin, The risk or severity of adverse effects can be increased when Ethotoin is combined with Vilazodone.]
[M01AC06, meloxicam, The risk or severity of hypertension can be increased when Meloxicam is combined with Vilazodone.]
[S01XA06, ethylmorphine, The metabolism of Ethylmorphine can be decreased when combined with Vilazodone.]
[C01CA01, etilefrine, The risk or severity of hypertension can be increased when Vilazodone is combined with Etilefrine.]
[N01AX07, etomidate, The risk or severity of adverse effects can be increased when Etomidate is combined with Vilazodone.]
[N05AE03, sertindole, The metabolism of Sertindole can be decreased when combined with Vilazodone.]
[R06AX11, astemizole, The metabolism of Astemizole can be decreased when combined with Vilazodone.]
[R06AX12, terfenadine, The metabolism of Vilazodone can be decreased when combined with Terfenadine.]
[N06AX12, bupropion, The metabolism of Vilazodone can be decreased when combined with Bupropion.]
[N06AB08, fluvoxamine, The metabolism of Vilazodone can be decreased when combined with Fluvoxamine.]
[C01BC08, encainide, The metabolism of Encainide can be decreased when combined with Vilazodone.]
[P02CA03, albendazole, The metabolism of Vilazodone can be decreased when combined with Albendazole.]
[C08CA02, felodipine, The metabolism of Vilazodone can be decreased when combined with Felodipine.]
[N03AX26, fenfluramine, The risk or severity of serotonin syndrome can be increased when Vilazodone is combined with Fenfluramine.]
[M01AE04, fenoprofen, The risk or severity of hypertension can be increased when Fenoprofen is combined with Vilazodone.]
[R03CC04, fenoterol, The risk or severity of hypertension can be increased when Fenoterol is combined with Vilazodone.]
[N02AB03, fentanyl, The risk or severity of adverse effects can be increased when Fentanyl is combined with Vilazodone.]
[R03CC02, albuterol, The risk or severity of hypertension can be increased when Salbutamol is combined with Vilazodone.]
[N07AX03, cevimeline, The metabolism of Cevimeline can be decreased when combined with Vilazodone.]
[G04BD02, flavoxate, Vilazodone may increase the central nervous system depressant (CNS depressant) activities of Flavoxate.]
[C01BC04, flecainide, The metabolism of Flecainide can be decreased when combined with Vilazodone.]
[N02BG04, floctafenine, The risk or severity of hypertension can be increased when Vilazodone is combined with Floctafenine.]
[J02AC01, fluconazole, The metabolism of Vilazodone can be decreased when combined with Fluconazole.]
[N07CA03, flunarizine, The metabolism of Flunarizine can be decreased when combined with Vilazodone.]
[N05CD03, flunitrazepam, The risk or severity of adverse effects can be increased when Flunitrazepam is combined with Vilazodone.]
[N06AA14, melitracen, The risk or severity of adverse effects can be increased when Vilazodone is combined with Melitracen.]
[V03AZ01, ethanol, Vilazodone may increase the central nervous system depressant (CNS depressant) activities of Ethanol.]
[N06AB03, fluoxetine, The serum concentration of Vilazodone can be increased when it is combined with Fluoxetine.]
[N05AF01, flupenthixol, Vilazodone may increase the central nervous system depressant (CNS depressant) activities of Flupentixol.]
[N05AB02, fluphenazine, The risk or severity of adverse effects can be increased when Vilazodone is combined with Fluphenazine.]
[N05CD01, flurazepam, The risk or severity of adverse effects can be increased when Flurazepam is combined with Vilazodone.]
[S01BC04, flurbiprofen, The risk or severity of hypertension can be increased when Flurbiprofen is combined with Vilazodone.]
[N05AG01, fluspirilene, The risk or severity of adverse effects can be increased when Vilazodone is combined with Fluspirilene.]
[N06BX17, adrafinil, The risk or severity of hypertension can be increased when Vilazodone is combined with Adrafinil.]
[M03AA01, alcuronium, The risk or severity of adverse effects can be increased when Vilazodone is combined with Alcuronium.]
[G01AX06, furazolidone, The metabolism of Vilazodone can be decreased when combined with Furazolidone.]
[J05AE10, darunavir, The metabolism of Vilazodone can be decreased when combined with Darunavir.]
[C03CA01, furosemide, Vilazodone may decrease the antihypertensive activities of Furosemide.]
[N05CF04, eszopiclone, The risk or severity of CNS depression can be increased when Vilazodone is combined with Eszopiclone.]
[N05AL05, amisulpride, The risk or severity of adverse effects can be increased when Vilazodone is combined with Amisulpride.]
[N06DA04, galantamine, The metabolism of Galantamine can be decreased when combined with Vilazodone.]
[M03AC02, gallamine, The risk or severity of adverse effects can be increased when Vilazodone is combined with Gallamine.]
[N03AA04, barbexaclone, The risk or severity of adverse effects can be increased when Vilazodone is combined with Barbexaclone.]
[N06AX08, bifemelane, The risk or severity of adverse effects can be increased when Vilazodone is combined with Bifemelane.]
[C10AB04, gemfibrozil, The metabolism of Vilazodone can be decreased when combined with Gemfibrozil.]
[N04BC06, cabergoline, Cabergoline may increase the vasoconstricting activities of Vilazodone.]
[J05AG04, etravirine, The metabolism of Vilazodone can be decreased when combined with Etravirine.]
[N03AD03, methsuximide, The risk or severity of adverse effects can be increased when Methsuximide is combined with Vilazodone.]
[N01AH02, alfentanil, The risk or severity of adverse effects can be increased when Alfentanil is combined with Vilazodone.]
[L01EH01, lapatinib, The metabolism of Vilazodone can be decreased when combined with Lapatinib.]
[A10BB01, glyburide, The metabolism of Vilazodone can be decreased when combined with Glyburide.]
[A10BB09, gliclazide, The metabolism of Vilazodone can be decreased when combined with Gliclazide.]
[N05CM18, dexmedetomidine, The risk or severity of adverse effects can be increased when Dexmedetomidine is combined with Vilazodone.]
[N05CE01, glutethimide, The risk or severity of adverse effects can be increased when Glutethimide is combined with Vilazodone.]
[C05AE01, nitroglycerin, Vilazodone may decrease the antihypertensive activities of Nitroglycerin.]
[C02CA04, doxazosin, The metabolism of Doxazosin can be decreased when combined with Vilazodone.]
[C07AB09, esmolol, The metabolism of Esmolol can be decreased when combined with Vilazodone.]
[B01AA12, fluindione, The risk or severity of adverse effects can be increased when Vilazodone is combined with Fluindione.]
[C09AA09, fosinopril, Vilazodone may decrease the antihypertensive activities of Fosinopril.]
[S01EX01, guanethidine, Vilazodone may decrease the antihypertensive activities of Guanethidine.]
[P01BX01, halofantrine, The metabolism of Vilazodone can be decreased when combined with Halofantrine.]
[N05AD01, haloperidol, The risk or severity of CNS depression can be increased when Haloperidol is combined with Vilazodone.]
[N01AB01, halothane, The risk or severity of adverse effects can be increased when Halothane is combined with Vilazodone.]
[N05AH04, quetiapine, The metabolism of Quetiapine can be decreased when combined with Vilazodone.]
[N02CX03, iprazochrome, The risk or severity of adverse effects can be increased when Vilazodone is combined with Iprazochrome.]
[N05CA21, allobarbital, The risk or severity of adverse effects can be increased when Vilazodone is combined with Allobarbital.]
[C09CA01, losartan, The metabolism of Vilazodone can be decreased when combined with Losartan.]
[A07EC02, mesalamine, The risk or severity of hypertension can be increased when Mesalazine is combined with Vilazodone.]
[N05CA16, hexobarbital, The risk or severity of adverse effects can be increased when Hexobarbital is combined with Vilazodone.]
[R03CC05, hexoprenaline, The risk or severity of hypertension can be increased when Vilazodone is combined with Hexoprenaline.]
[J05AG01, nevirapine, The metabolism of Nevirapine can be decreased when combined with Vilazodone.]
[C08CA10, nilvadipine, The metabolism of Vilazodone can be decreased when combined with Nilvadipine.]
[M02AA26, nimesulide, The risk or severity of hypertension can be increased when Nimesulide is combined with Vilazodone.]
[C09AA04, perindopril, Vilazodone may decrease the antihypertensive activities of Perindopril.]
[C02DB02, hydralazine, Vilazodone may decrease the antihypertensive activities of Hydralazine.]
[C03AA03, hydrochlorothiazide, Vilazodone may decrease the antihypertensive activities of Hydrochlorothiazide.]
[R05DA03, hydrocodone, Vilazodone may increase the central nervous system depressant (CNS depressant) activities of Hydrocodone.]
[C03AA02, hydroflumethiazide, Vilazodone may decrease the antihypertensive activities of Hydroflumethiazide.]
[G04BD06, propiverine, Vilazodone may increase the central nervous system depressant (CNS depressant) activities of Propiverine.]
[P01BA02, hydroxychloroquine, The metabolism of Hydroxychloroquine can be decreased when combined with Vilazodone.]
[N05AX07, prothipendyl, The risk or severity of adverse effects can be increased when Vilazodone is combined with Prothipendyl.]
[N05BB01, hydroxyzine, Hydroxyzine may increase the central nervous system depressant (CNS depressant) activities of Vilazodone.]
[J04AB04, rifabutin, The metabolism of Vilazodone can be increased when combined with Rifabutin.]
[C02AC06, rilmenidine, Vilazodone may decrease the antihypertensive activities of Rilmenidine.]
[R02AX02, ibuprofen, The risk or severity of hypertension can be increased when Ibuprofen is combined with Vilazodone.]
[L01DB06, idarubicin, The metabolism of Idarubicin can be decreased when combined with Vilazodone.]
[N01AH03, sufentanil, The risk or severity of adverse effects can be increased when Sufentanil is combined with Vilazodone.]
[N06AA02, imipramine, The metabolism of Vilazodone can be decreased when combined with Imipramine.]
[M03BX02, tizanidine, The risk or severity of adverse effects can be increased when Tizanidine is combined with Vilazodone.]
[C03BA11, indapamide, Vilazodone may decrease the antihypertensive activities of Indapamide.]
[S01BC01, indomethacin, The risk or severity of hypertension can be increased when Indomethacin is combined with Vilazodone.]
[C02CA02, indoramin, Vilazodone may decrease the antihypertensive activities of Indoramin.]
[N06AX17, milnacipran, The risk or severity of adverse effects can be increased when Vilazodone is combined with Milnacipran.]
[A03AA30, piperidolate, Vilazodone may increase the central nervous system depressant (CNS depressant) activities of Piperidolate.]
[N01BB08, articaine, The risk or severity of adverse effects can be increased when Vilazodone is combined with Articaine.]
[N05BA12, alprazolam, The risk or severity of adverse effects can be increased when Alprazolam is combined with Vilazodone.]
[N05CH02, ramelteon, The risk or severity of adverse effects can be increased when Ramelteon is combined with Vilazodone.]
[R06AE01, buclizine, Vilazodone may increase the central nervous system depressant (CNS depressant) activities of Buclizine.]
[C10AA06, cerivastatin, The metabolism of Vilazodone can be decreased when combined with Cerivastatin.]
[C07AA01, alprenolol, The metabolism of Alprenolol can be decreased when combined with Vilazodone.]
[V03AB01, ipecac, The metabolism of Ipecac can be decreased when combined with Vilazodone.]
[N06AA13, iprindole, The risk or severity of adverse effects can be increased when Vilazodone is combined with Iprindole.]
[N06AF05, iproniazid, The metabolism of Vilazodone can be decreased when combined with Iproniazid.]
[N05AA07, chlorproethazine, The risk or severity of adverse effects can be increased when Vilazodone is combined with Chlorproethazine.]
[N06AF01, isocarboxazid, The metabolism of Vilazodone can be decreased when combined with Isocarboxazid.]
[R03CC06, isoetharine, The risk or severity of hypertension can be increased when Isoetharine is combined with Vilazodone.]
[C09AA16, imidapril, Vilazodone may decrease the antihypertensive activities of Imidapril.]
[N01AB06, isoflurane, The risk or severity of adverse effects can be increased when Isoflurane is combined with Vilazodone.]
[N04BX02, entacapone, The risk or severity of adverse effects can be increased when Entacapone is combined with Vilazodone.]
[J04AC01, isoniazid, The metabolism of Vilazodone can be decreased when combined with Isoniazid.]
[R03CB01, isoproterenol, The risk or severity of hypertension can be increased when Isoprenaline is combined with Vilazodone.]
[C04AA01, isoxsuprine, The risk or severity of hypertension can be increased when Vilazodone is combined with Isoxsuprine.]
[N06AX18, reboxetine, The risk or severity of adverse effects can be increased when Reboxetine is combined with Vilazodone.]
[L04AC07, tocilizumab, The metabolism of Vilazodone can be increased when combined with Tocilizumab.]
[N01AX03, ketamine, The risk or severity of adverse effects can be increased when Ketamine is combined with Vilazodone.]
[C02KD01, ketanserin, The risk or severity of adverse effects can be increased when Vilazodone is combined with Ketanserin.]
[J02AB02, ketoconazole, The metabolism of Vilazodone can be decreased when combined with Ketoconazole.]
[H02CA04, levoketoconazole, The metabolism of Vilazodone can be decreased when combined with Levoketoconazole.]
[N05AH03, olanzapine, The metabolism of Olanzapine can be decreased when combined with Vilazodone.]
[M02AA10, ketoprofen, The risk or severity of hypertension can be increased when Ketoprofen is combined with Vilazodone.]
[L04AA24, abatacept, The metabolism of Vilazodone can be increased when combined with Abatacept.]
[C01CA22, arbutamine, The risk or severity of hypertension can be increased when Arbutamine is combined with Vilazodone.]
[N04BC09, rotigotine, Vilazodone may increase the sedative activities of Rotigotine.]
[M01AE11, tiaprofenic acid, The risk or severity of hypertension can be increased when Tiaprofenic acid is combined with Vilazodone.]
[C07AG01, labetalol, The metabolism of Labetalol can be decreased when combined with Vilazodone.]
[N04BB01, amantadine, The risk or severity of serotonin syndrome can be increased when Amantadine is combined with Vilazodone.]
[C02AA05, deserpidine, Vilazodone may decrease the antihypertensive activities of Deserpidine.]
[N03AX18, lacosamide, The risk or severity of adverse effects can be increased when Lacosamide is combined with Vilazodone.]
[N04BA01, levodopa, The risk or severity of adverse effects can be increased when Levodopa is combined with Vilazodone.]
[S02DA01, lidocaine, The metabolism of Lidocaine can be decreased when combined with Vilazodone.]
[N06BA13, armodafinil, The metabolism of Vilazodone can be decreased when combined with Armodafinil.]
[N02CA07, lisuride, The metabolism of Lisuride can be decreased when combined with Vilazodone.]
[N06AA07, lofepramine, The risk or severity of adverse effects can be increased when Vilazodone is combined with Lofepramine.]
[N05BA06, lorazepam, The risk or severity of adverse effects can be increased when Lorazepam is combined with Vilazodone.]
[C10AA02, lovastatin, The metabolism of Vilazodone can be decreased when combined with Lovastatin.]
[N05AH01, loxapine, The risk or severity of adverse effects can be increased when Vilazodone is combined with Loxapine.]
[G03DC03, lynestrenol, The metabolism of Lynestrenol can be decreased when combined with Vilazodone.]
[L01EG01, temsirolimus, The metabolism of Vilazodone can be decreased when combined with Temsirolimus.]
[V04CC02, magnesium sulfate, The therapeutic efficacy of Vilazodone can be increased when used in combination with Magnesium sulfate.]
[L01EA03, nilotinib, The metabolism of Vilazodone can be decreased when combined with Nilotinib.]
[N06AA21, maprotiline, The metabolism of Maprotiline can be decreased when combined with Vilazodone.]
[A08AA05, mazindol, The risk or severity of adverse effects can be increased when Mazindol is combined with Vilazodone.]
[C02BB01, mecamylamine, Vilazodone may decrease the antihypertensive activities of Mecamylamine.]
[R06AE05, meclizine, The metabolism of Meclizine can be decreased when combined with Vilazodone.]
[M02AA18, meclofenamic acid, The risk or severity of hypertension can be increased when Meclofenamic acid is combined with Vilazodone.]
[N05BA03, medazepam, The risk or severity of adverse effects can be increased when Vilazodone is combined with Medazepam.]
[C01AA08, medigoxin, The serum concentration of Metildigoxin can be increased when it is combined with Vilazodone.]
[N05CH01, melatonin, The risk or severity of adverse effects can be increased when Melatonin is combined with Vilazodone.]
[N06DX01, memantine, The metabolism of Vilazodone can be decreased when combined with Memantine.]
[N02AB02, meperidine, The risk or severity of adverse effects can be increased when Meperidine is combined with Vilazodone.]
[C01CA11, mephentermine, The risk or severity of serotonin syndrome can be increased when Mephentermine is combined with Vilazodone.]
[N03AB04, mephenytoin, The metabolism of Mephenytoin can be decreased when combined with Vilazodone.]
[N03AA01, mephobarbital, The risk or severity of adverse effects can be increased when Methylphenobarbital is combined with Vilazodone.]
[N01BB03, mepivacaine, The risk or severity of adverse effects can be increased when Mepivacaine is combined with Vilazodone.]
[N05BC01, meprobamate, The risk or severity of adverse effects can be increased when Meprobamate is combined with Vilazodone.]
[N02AX05, meptazinol, The risk or severity of adverse effects can be increased when Vilazodone is combined with Meptazinol.]
[N05AC03, mesoridazine, The metabolism of Mesoridazine can be decreased when combined with Vilazodone.]
[N05AX13, paliperidone, The metabolism of Paliperidone can be decreased when combined with Vilazodone.]
[C01CA09, metaraminol, The risk or severity of hypertension can be increased when Metaraminol is combined with Vilazodone.]
[A04AA04, dolasetron, The metabolism of Dolasetron can be decreased when combined with Vilazodone.]
[N07BC02, methadone, The risk or severity of adverse effects can be increased when Methadone is combined with Vilazodone.]
[N06BA03, methamphetamine, The metabolism of Metamfetamine can be decreased when combined with Vilazodone.]
[A03AB07, methantheline, Vilazodone may increase the central nervous system depressant (CNS depressant) activities of Methantheline.]
[R06AC05, methapyrilene, The risk or severity of adverse effects can be increased when Methapyrilene is combined with Vilazodone.]
[N05CM01, methaqualone, The risk or severity of adverse effects can be increased when Methaqualone is combined with Vilazodone.]
[N03AA30, metharbital, The risk or severity of adverse effects can be increased when Metharbital is combined with Vilazodone.]
[G02CB05, metergoline, Metergoline may increase the vasoconstricting activities of Vilazodone.]
[H03BB02, methimazole, The metabolism of Vilazodone can be decreased when combined with Methimazole.]
[M03BA03, methocarbamol, The risk or severity of adverse effects can be increased when Methocarbamol is combined with Vilazodone.]
[N05CA15, methohexital, The risk or severity of adverse effects can be increased when Methohexital is combined with Vilazodone.]
[N02BG08, ziconotide, The risk or severity of adverse effects can be increased when Ziconotide is combined with Vilazodone.]
[N05AA02, methotrimeprazine, Vilazodone may increase the central nervous system depressant (CNS depressant) activities of Methotrimeprazine.]
[C01CA10, methoxamine, The risk or severity of hypertension can be increased when Methoxamine is combined with Vilazodone.]
[N02BG09, methoxyflurane, The metabolism of Methoxyflurane can be decreased when combined with Vilazodone.]
[C02AB01, methyldopa, Vilazodone may decrease the antihypertensive activities of Methyldopa.]
[V04CG05, methylene blue, Vilazodone may increase the serotonergic activities of Methylene blue.]
[G02AB01, methylergonovine, Methylergometrine may increase the vasoconstricting activities of Vilazodone.]
[N06BA04, methylphenidate, The risk or severity of hypertension can be increased when Methylphenidate is combined with Vilazodone.]
[N03AF03, rufinamide, The risk or severity of adverse effects can be increased when Rufinamide is combined with Vilazodone.]
[N05CE02, methyprylon, The risk or severity of adverse effects can be increased when Methyprylon is combined with Vilazodone.]
[N02CA04, methysergide, Methysergide may increase the vasoconstricting activities of Vilazodone.]
[A03FA01, metoclopramide, The risk or severity of sedation can be increased when Metoclopramide is combined with Vilazodone.]
[C03BA08, metolazone, Vilazodone may decrease the antihypertensive activities of Metolazone.]
[C07AB02, metoprolol, The metabolism of Vilazodone can be decreased when combined with Metoprolol.]
[C01BB02, mexiletine, The metabolism of Mexiletine can be decreased when combined with Vilazodone.]
[N06AX03, mianserin, The metabolism of Mianserin can be decreased when combined with Vilazodone.]
[S02AA13, miconazole, The metabolism of Vilazodone can be decreased when combined with Miconazole.]
[N02BB03, aminopyrine, The metabolism of Aminophenazone can be decreased when combined with Vilazodone.]
[N05CD08, midazolam, The risk or severity of adverse effects can be increased when Midazolam is combined with Vilazodone.]
[C01CA17, midodrine, The risk or severity of hypertension can be increased when Midodrine is combined with Vilazodone.]
[G03XB01, mifepristone, The metabolism of Vilazodone can be decreased when combined with Mifepristone.]
[C09CA03, valsartan, Vilazodone may decrease the antihypertensive activities of Valsartan.]
[J01AA08, minocycline, Minocycline may increase the central nervous system depressant (CNS depressant) activities of Vilazodone.]
[D11AX01, minoxidil, Vilazodone may decrease the antihypertensive activities of Minoxidil.]
[L01XX23, mitotane, The metabolism of Vilazodone can be increased when combined with Mitotane.]
[N06BA12, lisdexamfetamine, The metabolism of Lisdexamfetamine can be decreased when combined with Vilazodone.]
[N05AE02, molindone, The risk or severity of adverse effects can be increased when Vilazodone is combined with Molindone.]
[C01BD01, amiodarone, The metabolism of Vilazodone can be decreased when combined with Amiodarone.]
[N06AA09, amitriptyline, The metabolism of Amitriptyline can be decreased when combined with Vilazodone.]
[N02AA01, morphine, The risk or severity of adverse effects can be increased when Morphine is combined with Vilazodone.]
[A04AA05, palonosetron, The metabolism of Palonosetron can be decreased when combined with Vilazodone.]
[L04AB05, certolizumab pegol, The metabolism of Vilazodone can be increased when combined with Certolizumab pegol.]
[L01EX03, pazopanib, The metabolism of Pazopanib can be decreased when combined with Vilazodone.]
[M03AC03, vecuronium, The risk or severity of adverse effects can be increased when Vecuronium is combined with Vilazodone.]
[N05CA02, amobarbital, The risk or severity of adverse effects can be increased when Amobarbital is combined with Vilazodone.]
[R03BB01, ipratropium bromide, Vilazodone may increase the central nervous system depressant (CNS depressant) activities of Ipratropium.]
[N06AA17, amoxapine, The metabolism of Amoxapine can be decreased when combined with Vilazodone.]
[N03AB05, fosphenytoin, The metabolism of Vilazodone can be increased when combined with Fosphenytoin.]
[C07AA12, nadolol, The metabolism of Nadolol can be decreased when combined with Vilazodone.]
[N04BC04, ropinirole, Vilazodone may increase the sedative activities of Ropinirole.]
[C04AX21, nafronyl, The risk or severity of adverse effects can be increased when Vilazodone is combined with Naftidrofuryl.]
[N02AF02, nalbuphine, The risk or severity of adverse effects can be increased when Nalbuphine is combined with Vilazodone.]
[V03AB15, naloxone, The metabolism of Vilazodone can be decreased when combined with Naloxone.]
[N07BB04, naltrexone, The risk or severity of serotonin syndrome can be increased when Naltrexone is combined with Vilazodone.]
[L04AC03, anakinra, The metabolism of Vilazodone can be increased when combined with Anakinra.]
[S01GA01, naphazoline, The risk or severity of hypertension can be increased when Vilazodone is combined with Naphazoline.]
[N06BA01, amphetamine, The metabolism of Amphetamine can be decreased when combined with Vilazodone.]
[M02AA12, naproxen, The risk or severity of hypertension can be increased when Naproxen is combined with Vilazodone.]
[N06AX21, duloxetine, The metabolism of Vilazodone can be decreased when combined with Duloxetine.]
[N04BX01, tolcapone, The risk or severity of adverse effects can be increased when Tolcapone is combined with Vilazodone.]
[L02BG04, letrozole, The metabolism of Vilazodone can be decreased when combined with Letrozole.]
[N01AH06, remifentanil, The risk or severity of adverse effects can be increased when Remifentanil is combined with Vilazodone.]
[N05AX14, iloperidone, The metabolism of Iloperidone can be decreased when combined with Vilazodone.]
[N06AX23, desvenlafaxine, The risk or severity of adverse effects can be increased when Vilazodone is combined with Desvenlafaxine.]
[C09CA07, telmisartan, The metabolism of Vilazodone can be decreased when combined with Telmisartan.]
[C10AD02, niacin, The metabolism of Vilazodone can be decreased when combined with Niacin.]
[N06AF02, nialamide, The metabolism of Vilazodone can be decreased when combined with Nialamide.]
[C08CA04, nicardipine, The metabolism of Vilazodone can be decreased when combined with Nicardipine.]
[C04AE02, nicergoline, The metabolism of Nicergoline can be decreased when combined with Vilazodone.]
[C08CA05, nifedipine, The metabolism of Nifedipine can be decreased when combined with Vilazodone.]
[M02AA17, niflumic acid, The risk or severity of hypertension can be increased when Niflumic acid is combined with Vilazodone.]
[C08CA06, nimodipine, Vilazodone may decrease the antihypertensive activities of Nimodipine.]
[C08CA07, nisoldipine, Vilazodone may decrease the antihypertensive activities of Nisoldipine.]
[N05CD02, nitrazepam, The risk or severity of adverse effects can be increased when Nitrazepam is combined with Vilazodone.]
[C08CA08, nitrendipine, Vilazodone may decrease the antihypertensive activities of Nitrendipine.]
[N05CF03, zaleplon, The risk or severity of adverse effects can be increased when Zaleplon is combined with Vilazodone.]
[N04BC05, pramipexole, Vilazodone may increase the sedative activities of Pramipexole.]
[C02DD01, nitroprusside, Vilazodone may decrease the antihypertensive activities of Nitroprusside.]
[N01AX13, nitrous oxide, The risk or severity of adverse effects can be increased when Vilazodone is combined with Nitrous oxide.]
[N06AX04, nomifensine, The risk or severity of adverse effects can be increased when Nomifensine is combined with Vilazodone.]
[C01CA03, norepinephrine, The risk or severity of hypertension can be increased when Norepinephrine is combined with Vilazodone.]
[C02KX01, bosentan, Vilazodone may decrease the antihypertensive activities of Bosentan.]
[N06AA10, nortriptyline, The metabolism of Nortriptyline can be decreased when combined with Vilazodone.]
[G02CA02, nylidrin, The risk or severity of hypertension can be increased when Nylidrin is combined with Vilazodone.]
[L04AC04, rilonacept, The metabolism of Vilazodone can be increased when combined with Rilonacept.]
[A02BC01, omeprazole, The metabolism of Vilazodone can be decreased when combined with Omeprazole.]
[N06AA05, opipramol, The risk or severity of adverse effects can be increased when Vilazodone is combined with Opipramol.]
[N02AA02, opium, The metabolism of Opium can be decreased when combined with Vilazodone.]
[R03CB03, metaproterenol, The risk or severity of hypertension can be increased when Orciprenaline is combined with Vilazodone.]
[G04CA02, tamsulosin, The metabolism of Tamsulosin can be decreased when combined with Vilazodone.]
[P02BA02, oxamniquine, The metabolism of Vilazodone can be decreased when combined with Oxamniquine.]
[N05BA04, oxazepam, The risk or severity of adverse effects can be increased when Oxazepam is combined with Vilazodone.]
[C07AA02, oxprenolol, The metabolism of Oxprenolol can be decreased when combined with Vilazodone.]
[N02AA05, oxycodone, The metabolism of Oxycodone can be decreased when combined with Vilazodone.]
[C01DX03, oxyfedrine, The risk or severity of hypertension can be increased when Vilazodone is combined with Oxyfedrine.]
[S01GA04, oxymetazoline, The risk or severity of hypertension can be increased when Oxymetazoline is combined with Vilazodone.]
[N02AA11, oxymorphone, The metabolism of Oxymorphone can be decreased when combined with Vilazodone.]
[N05AE01, oxypertine, The risk or severity of adverse effects can be increased when Vilazodone is combined with Oxypertine.]
[S01BC02, oxyphenbutazone, The risk or severity of hypertension can be increased when Oxyphenbutazone is combined with Vilazodone.]
[A03AB03, oxyphenonium, Vilazodone may increase the central nervous system depressant (CNS depressant) activities of Oxyphenonium.]
[N05AH05, asenapine, The risk or severity of adverse effects can be increased when Vilazodone is combined with Asenapine.]
[N02AX06, tapentadol, Tapentadol may increase the central nervous system depressant (CNS depressant) activities of Vilazodone.]
[M03AC01, pancuronium, Vilazodone may increase the central nervous system depressant (CNS depressant) activities of Pancuronium.]
[N05CC05, paraldehyde, Vilazodone may increase the central nervous system depressant (CNS depressant) activities of Paraldehyde.]
[C02KC01, pargyline, The metabolism of Vilazodone can be decreased when combined with Pargyline.]
[G04BD11, fesoterodine, The metabolism of Fesoterodine can be decreased when combined with Vilazodone.]
[C07AA23, penbutolol, The metabolism of Penbutolol can be decreased when combined with Vilazodone.]
[N05AG03, penfluridol, The risk or severity of adverse effects can be increased when Vilazodone is combined with Penfluridol.]
[N02AD01, pentazocine, The risk or severity of adverse effects can be increased when Pentazocine is combined with Vilazodone.]
[N05CA01, pentobarbital, The metabolism of Vilazodone can be increased when combined with Pentobarbital.]
[N05AB10, perazine, The risk or severity of adverse effects can be increased when Vilazodone is combined with Perazine.]
[N04BC02, pergolide, Pergolide may increase the vasoconstricting activities of Vilazodone.]
[C08EX02, perhexiline, The metabolism of Vilazodone can be decreased when combined with Perhexiline.]
[N05AB03, perphenazine, The metabolism of Perphenazine can be decreased when combined with Vilazodone.]
[N02BE03, phenacetin, The metabolism of Phenacetin can be decreased when combined with Vilazodone.]
[N02AD02, phenazocine, The risk or severity of adverse effects can be increased when Vilazodone is combined with Phenazocine.]
[N06AF03, phenelzine, The metabolism of Vilazodone can be decreased when combined with Phenelzine.]
[A10BA01, phenformin, The metabolism of Phenformin can be decreased when combined with Vilazodone.]
[B01AA02, phenindione, The risk or severity of adverse effects can be increased when Vilazodone is combined with Phenindione.]
[N03AA02, phenobarbital, The metabolism of Vilazodone can be increased when combined with Phenobarbital.]
[N01AH04, phenoperidine, The risk or severity of adverse effects can be increased when Vilazodone is combined with Phenoperidine.]
[C04AX02, phenoxybenzamine, Vilazodone may decrease the antihypertensive activities of Phenoxybenzamine.]
[B01AA04, phenprocoumon, The risk or severity of adverse effects can be increased when Vilazodone is combined with Phenprocoumon.]
[A08AA01, phentermine, The risk or severity of serotonin syndrome can be increased when Phentermine is combined with Vilazodone.]
[V03AB36, phentolamine, Vilazodone may decrease the antihypertensive activities of Phentolamine.]
[M02AA01, phenylbutazone, The risk or severity of hypertension can be increased when Phenylbutazone is combined with Vilazodone.]
[S01GA05, phenylephrine, The risk or severity of hypertension can be increased when Phenylephrine is combined with Vilazodone.]
[A02BC06, dexlansoprazole, The metabolism of Vilazodone can be decreased when combined with Dexlansoprazole.]
[R01BA01, phenylpropanolamine, The risk or severity of hypertension can be increased when Phenylpropanolamine is combined with Vilazodone.]
[N03AB02, phenytoin, The metabolism of Vilazodone can be increased when combined with Phenytoin.]
