[S02DA03, antipyrine, The risk or severity of nephrotoxicity can be increased when Cefepime is combined with Antipyrine.]
[A10BG02, rosiglitazone, Cefepime may decrease the excretion rate of Rosiglitazone which could result in a higher serum level.]
[S03AA03, polymyxin B, The risk or severity of adverse effects can be increased when Cefepime is combined with Polymyxin B.]
[A10BH03, saxagliptin, Cefepime may decrease the excretion rate of Saxagliptin which could result in a higher serum level.]
[B05XA01, potassium chloride, Cefepime may decrease the excretion rate of Potassium chloride which could result in a higher serum level.]
[H02AB07, prednisone, Cefepime may decrease the excretion rate of Prednisone which could result in a higher serum level.]
[N01BB04, prilocaine, The risk or severity of methemoglobinemia can be increased when Cefepime is combined with Prilocaine.]
[M04AB01, probenecid, The serum concentration of Cefepime can be increased when it is combined with Probenecid.]
[C01BA02, procainamide, Cefepime may decrease the excretion rate of Procainamide which could result in a higher serum level.]
[S01HA05, procaine, The risk or severity of methemoglobinemia can be increased when Cefepime is combined with Procaine.]
[C10AB05, fenofibrate, Cefepime may decrease the excretion rate of Fenofibrate which could result in a higher serum level.]
[R06AD02, promethazine, Cefepime may decrease the excretion rate of Promethazine which could result in a higher serum level.]
[A03AB05, propantheline, Cefepime may decrease the excretion rate of Propantheline which could result in a higher serum level.]
[C07AA05, propranolol, Cefepime may decrease the excretion rate of Propranolol which could result in a higher serum level.]
[N02CC04, rizatriptan, Cefepime may decrease the excretion rate of Rizatriptan which could result in a higher serum level.]
[B01AC09, epoprostenol, Cefepime may decrease the excretion rate of Epoprostenol which could result in a higher serum level.]
[N07XX07, dalfampridine, Cefepime may decrease the excretion rate of Dalfampridine which could result in a higher serum level.]
[P02CC01, pyrantel, Cefepime may decrease the excretion rate of Pyrantel which could result in a higher serum level.]
[J04AK01, pyrazinamide, Cefepime may decrease the excretion rate of Pyrazinamide which could result in a higher serum level.]
[C01BA01, quinidine, Cefepime may decrease the excretion rate of Quinidine which could result in a higher serum level.]
[A02BA02, ranitidine, Cefepime may decrease the excretion rate of Ranitidine which could result in a higher serum level.]
[C02AA02, reserpine, Cefepime may decrease the excretion rate of Reserpine which could result in a higher serum level.]
[J05AP01, ribavirin, Cefepime may decrease the excretion rate of Ribavirin which could result in a higher serum level.]
[N02BA05, salicylamide, The risk or severity of nephrotoxicity can be increased when Cefepime is combined with Salicylamide.]
[A07EC01, sulfasalazine, The risk or severity of nephrotoxicity can be increased when Sulfasalazine is combined with Cefepime.]
[S01BC08, salicylic acid, The risk or severity of nephrotoxicity can be increased when Salicylic acid is combined with Cefepime.]
[N05CA06, secobarbital, Cefepime may decrease the excretion rate of Secobarbital which could result in a higher serum level.]
[J01GB08, sisomicin, The risk or severity of ototoxicity and nephrotoxicity can be increased when Cefepime is combined with Sisomicin.]
[A12CD01, sodium fluoride, Cefepime may decrease the excretion rate of Sodium fluoride which could result in a higher serum level.]
[V04CC01, sorbitol, Cefepime may decrease the excretion rate of Sorbitol which could result in a higher serum level.]
[V09AB03, ioflupane I-123, Cefepime may decrease the excretion rate of Ioflupane I-123 which could result in a higher serum level.]
[V09AA01, technetium Tc 99m exametazime, Cefepime may decrease the excretion rate of Technetium Tc-99m exametazime which could result in a higher serum level.]
[V09AX06, florbetaben f-18, Cefepime may decrease the excretion rate of Florbetaben (18F) which could result in a higher serum level.]
[M05BA01, etidronic acid, The risk or severity of nephrotoxicity and hypocalcemia can be increased when Cefepime is combined with Etidronic acid.]
[D10AX03, azelaic acid, Cefepime may decrease the excretion rate of Azelaic acid which could result in a higher serum level.]
