[S02DA03, antipyrine, The serum concentration of Antipyrine can be increased when it is combined with Givosiran.]
[N07BC02, methadone, The serum concentration of Methadone can be increased when it is combined with Givosiran.]
[N06BA03, methamphetamine, The serum concentration of Metamfetamine can be increased when it is combined with Givosiran.]
[J05AF05, lamivudine, Givosiran may decrease the excretion rate of Lamivudine which could result in a higher serum level.]
[H03BB02, methimazole, Givosiran may decrease the excretion rate of Methimazole which could result in a higher serum level.]
[L01BA04, pemetrexed, The serum concentration of Pemetrexed can be increased when it is combined with Givosiran.]
[A11HA02, pyridoxine, Givosiran may decrease the excretion rate of Pyridoxine which could result in a higher serum level.]
[L04AX03, methotrexate, The risk or severity of nephrotoxicity can be increased when Methotrexate is combined with Givosiran.]
[N05AA02, methotrimeprazine, The serum concentration of Methotrimeprazine can be increased when it is combined with Givosiran.]
[D05BA02, methoxsalen, Givosiran may decrease the excretion rate of Methoxsalen which could result in a higher serum level.]
[N02BG09, methoxyflurane, The serum concentration of Methoxyflurane can be increased when it is combined with Givosiran.]
[C02AB01, methyldopa, Givosiran may decrease the excretion rate of Methyldopa which could result in a higher serum level.]
[V04CG05, methylene blue, The serum concentration of Methylene blue can be increased when it is combined with Givosiran.]
[R03DA05, aminophylline, The serum concentration of Aminophylline can be increased when it is combined with Givosiran.]
[G03EK01, methyltestosterone, Givosiran may decrease the excretion rate of Methyltestosterone which could result in a higher serum level.]
[A03FA01, metoclopramide, The serum concentration of Metoclopramide can be increased when it is combined with Givosiran.]
[C03BA08, metolazone, Givosiran may decrease the excretion rate of Metolazone which could result in a higher serum level.]
[C07AB02, metoprolol, The serum concentration of Metoprolol can be increased when it is combined with Givosiran.]
[V04CD01, metyrapone, Givosiran may decrease the excretion rate of Metyrapone which could result in a higher serum level.]
[C01BB02, mexiletine, The serum concentration of Mexiletine can be increased when it is combined with Givosiran.]
[N06AX03, mianserin, The serum concentration of Mianserin can be increased when it is combined with Givosiran.]
[N02BB03, aminopyrine, The serum concentration of Aminophenazone can be increased when it is combined with Givosiran.]
[N05CD08, midazolam, Givosiran may decrease the excretion rate of Midazolam which could result in a higher serum level.]
[J05AH01, zanamivir, Givosiran may decrease the excretion rate of Zanamivir which could result in a higher serum level.]
[N06BA12, lisdexamfetamine, The serum concentration of Lisdexamfetamine can be increased when it is combined with Givosiran.]
[L03AC01, aldesleukin, Givosiran may decrease the excretion rate of Aldesleukin which could result in a higher serum level.]
[N06AA09, amitriptyline, The serum concentration of Amitriptyline can be increased when it is combined with Givosiran.]
[A04AA05, palonosetron, The serum concentration of Palonosetron can be increased when it is combined with Givosiran.]
[J01DD06, moxalactam, The risk or severity of nephrotoxicity can be increased when Latamoxef is combined with Givosiran.]
[L04AB05, certolizumab pegol, Givosiran may decrease the excretion rate of Certolizumab pegol which could result in a higher serum level.]
[B02BX05, eltrombopag, The serum concentration of Eltrombopag can be increased when it is combined with Givosiran.]
[G04BA01, ammonium chloride, Givosiran may decrease the excretion rate of Ammonium chloride which could result in a higher serum level.]
[L01EX03, pazopanib, The serum concentration of Pazopanib can be increased when it is combined with Givosiran.]
[L04AA06, mycophenolic acid, Givosiran may decrease the excretion rate of Mycophenolic acid which could result in a higher serum level.]
[N06AA17, amoxapine, The serum concentration of Amoxapine can be increased when it is combined with Givosiran.]
[C07AA12, nadolol, The serum concentration of Nadolol can be increased when it is combined with Givosiran.]
[J01CA04, amoxicillin, Givosiran may decrease the excretion rate of Amoxicillin which could result in a higher serum level.]
[N04BC04, ropinirole, The serum concentration of Ropinirole can be increased when it is combined with Givosiran.]
[V03AB15, naloxone, Givosiran may decrease the excretion rate of Naloxone which could result in a higher serum level.]
[N06BA01, amphetamine, The serum concentration of Amphetamine can be increased when it is combined with Givosiran.]
[M02AA12, naproxen, The serum concentration of Naproxen can be increased when it is combined with Givosiran.]
[N06AX21, duloxetine, The serum concentration of Duloxetine can be increased when it is combined with Givosiran.]
[N04BX01, tolcapone, Givosiran may decrease the excretion rate of Tolcapone which could result in a higher serum level.]
[S03AA01, neomycin, The risk or severity of nephrotoxicity can be increased when Givosiran is combined with Neomycin.]
[B01AC17, tirofiban, Givosiran may decrease the excretion rate of Tirofiban which could result in a higher serum level.]
[N05AX14, iloperidone, The serum concentration of Iloperidone can be increased when it is combined with Givosiran.]
[J02AA01, amphotericin B, The risk or severity of nephrotoxicity can be increased when Amphotericin B is combined with Givosiran.]
[S01AA19, ampicillin, Givosiran may decrease the excretion rate of Ampicillin which could result in a higher serum level.]
[L03AX16, plerixafor, Givosiran may decrease the excretion rate of Plerixafor which could result in a higher serum level.]
[S01AA23, netilmicin, Givosiran may decrease the excretion rate of Netilmicin which could result in a higher serum level.]
[N06AX23, desvenlafaxine, Givosiran may decrease the excretion rate of Desvenlafaxine which could result in a higher serum level.]
[J05AB11, valacyclovir, The risk or severity of nephrotoxicity can be increased when Valaciclovir is combined with Givosiran.]
[C01CE01, inamrinone, Givosiran may decrease the excretion rate of Amrinone which could result in a higher serum level.]
[C04AE02, nicergoline, The serum concentration of Nicergoline can be increased when it is combined with Givosiran.]
[C08CA05, nifedipine, The serum concentration of Nifedipine can be increased when it is combined with Givosiran.]
[M02AA17, niflumic acid, The risk or severity of nephrotoxicity can be increased when Niflumic acid is combined with Givosiran.]
[C08CA07, nisoldipine, Givosiran may decrease the excretion rate of Nisoldipine which could result in a higher serum level.]
[R07AX01, nitric oxide, Givosiran may decrease the excretion rate of Nitric Oxide which could result in a higher serum level.]
[J01XE01, nitrofurantoin, Givosiran may decrease the excretion rate of Nitrofurantoin which could result in a higher serum level.]
[N05CF03, zaleplon, Givosiran may decrease the excretion rate of Zaleplon which could result in a higher serum level.]
[N04BC05, pramipexole, Givosiran may decrease the excretion rate of Pramipexole which could result in a higher serum level.]
[C02DD01, nitroprusside, Givosiran may decrease the excretion rate of Nitroprusside which could result in a higher serum level.]
[N06AA10, nortriptyline, The serum concentration of Nortriptyline can be increased when it is combined with Givosiran.]
[N02AA02, opium, The serum concentration of Opium can be increased when it is combined with Givosiran.]
[G04CA02, tamsulosin, The serum concentration of Tamsulosin can be increased when it is combined with Givosiran.]
[M05BA08, zoledronic acid, The risk or severity of nephrotoxicity and hypocalcemia can be increased when Givosiran is combined with Zoledronic acid.]
[J01CF04, oxacillin, Givosiran may decrease the excretion rate of Oxacillin which could result in a higher serum level.]
[N05BA04, oxazepam, Givosiran may decrease the excretion rate of Oxazepam which could result in a higher serum level.]
[C07AA02, oxprenolol, The serum concentration of Oxprenolol can be increased when it is combined with Givosiran.]
[N02AA05, oxycodone, The serum concentration of Oxycodone can be increased when it is combined with Givosiran.]
[N02AA11, oxymorphone, The serum concentration of Oxymorphone can be increased when it is combined with Givosiran.]
[S01BC02, oxyphenbutazone, The risk or severity of nephrotoxicity can be increased when Oxyphenbutazone is combined with Givosiran.]
[N05AH05, asenapine, The serum concentration of Asenapine can be increased when it is combined with Givosiran.]
[J04AB30, capreomycin, Givosiran may decrease the excretion rate of Capreomycin which could result in a higher serum level.]
[A07AA06, paromomycin, The risk or severity of nephrotoxicity can be increased when Paromomycin is combined with Givosiran.]
[G04BD11, fesoterodine, The serum concentration of Fesoterodine can be increased when it is combined with Givosiran.]
[C07AA23, penbutolol, The serum concentration of Penbutolol can be increased when it is combined with Givosiran.]
[J01CE09, penicillin G procaine, Givosiran may decrease the excretion rate of Procaine benzylpenicillin which could result in a higher serum level.]
[N05CA01, pentobarbital, Givosiran may decrease the excretion rate of Pentobarbital which could result in a higher serum level.]
[L01XX08, pentostatin, Givosiran may decrease the excretion rate of Pentostatin which could result in a higher serum level.]
[C04AD03, pentoxifylline, The serum concentration of Pentoxifylline can be increased when it is combined with Givosiran.]
[C08EX02, perhexiline, The serum concentration of Perhexiline can be increased when it is combined with Givosiran.]
[N05AB03, perphenazine, The serum concentration of Perphenazine can be increased when it is combined with Givosiran.]
[N02BE03, phenacetin, The serum concentration of Phenacetin can be increased when it is combined with Givosiran.]
[G04BX06, phenazopyridine, The risk or severity of nephrotoxicity can be increased when Phenazopyridine is combined with Givosiran.]
[N06AF03, phenelzine, Givosiran may decrease the excretion rate of Phenelzine which could result in a higher serum level.]
[A10BA01, phenformin, The serum concentration of Phenformin can be increased when it is combined with Givosiran.]
[V03AB36, phentolamine, Givosiran may decrease the excretion rate of Phentolamine which could result in a higher serum level.]
[M02AA01, phenylbutazone, The risk or severity of nephrotoxicity can be increased when Phenylbutazone is combined with Givosiran.]
[N03AB02, phenytoin, The serum concentration of Phenytoin can be increased when it is combined with Givosiran.]
[S01AE05, levofloxacin, Givosiran may decrease the excretion rate of Levofloxacin which could result in a higher serum level.]
[B02BA01, vitamin K1, Givosiran may decrease the excretion rate of Phylloquinone which could result in a higher serum level.]
[J05AB12, cidofovir, The risk or severity of nephrotoxicity can be increased when Cidofovir is combined with Givosiran.]
[N05AG02, pimozide, The serum concentration of Pimozide can be increased when it is combined with Givosiran.]
[C07AA03, pindolol, The serum concentration of Pindolol can be increased when it is combined with Givosiran.]
[J01CA12, piperacillin, Givosiran may decrease the excretion rate of Piperacillin which could result in a higher serum level.]
[P02CB01, piperazine, The serum concentration of Piperazine can be increased when it is combined with Givosiran.]
[N05AC04, pipothiazine, The serum concentration of Pipotiazine can be increased when it is combined with Givosiran.]
[N06BX03, piracetam, Givosiran may decrease the excretion rate of Piracetam which could result in a higher serum level.]
[S01BC06, piroxicam, The risk or severity of nephrotoxicity can be increased when Piroxicam is combined with Givosiran.]
[J01DD16, cefditoren, The risk or severity of nephrotoxicity can be increased when Cefditoren is combined with Givosiran.]
[J01MA11, grepafloxacin, The serum concentration of Grepafloxacin can be increased when it is combined with Givosiran.]
[J05AG02, delavirdine, The serum concentration of Delavirdine can be increased when it is combined with Givosiran.]
[A10BG02, rosiglitazone, Givosiran may decrease the excretion rate of Rosiglitazone which could result in a higher serum level.]
[A03AE01, alosetron, The serum concentration of Alosetron can be increased when it is combined with Givosiran.]
[S03AA03, polymyxin B, The risk or severity of adverse effects can be increased when Givosiran is combined with Polymyxin B.]
[J05AE03, ritonavir, The serum concentration of Ritonavir can be increased when it is combined with Givosiran.]
[A10BH03, saxagliptin, Givosiran may decrease the excretion rate of Saxagliptin which could result in a higher serum level.]
[B05XA01, potassium chloride, Givosiran may decrease the excretion rate of Potassium chloride which could result in a higher serum level.]
[C07AB01, practolol, The serum concentration of Practolol can be increased when it is combined with Givosiran.]
[P02BA01, praziquantel, The serum concentration of Praziquantel can be increased when it is combined with Givosiran.]
[H02AB07, prednisone, Givosiran may decrease the excretion rate of Prednisone which could result in a higher serum level.]
[P01BA03, primaquine, The serum concentration of Primaquine can be increased when it is combined with Givosiran.]
[M04AB01, probenecid, Givosiran may decrease the excretion rate of Probenecid which could result in a higher serum level.]
[C01BA02, procainamide, The serum concentration of Procainamide can be increased when it is combined with Givosiran.]
[C10AB05, fenofibrate, Givosiran may decrease the excretion rate of Fenofibrate which could result in a higher serum level.]
[N05AB04, prochlorperazine, The serum concentration of Prochlorperazine can be increased when it is combined with Givosiran.]
[G03DA04, progesterone, The serum concentration of Progesterone can be increased when it is combined with Givosiran.]
[N05AA03, promazine, The serum concentration of Promazine can be increased when it is combined with Givosiran.]
[R06AD02, promethazine, The serum concentration of Promethazine can be increased when it is combined with Givosiran.]
[C01BC03, propafenone, The serum concentration of Propafenone can be increased when it is combined with Givosiran.]
[A03AB05, propantheline, Givosiran may decrease the excretion rate of Propantheline which could result in a higher serum level.]
[N02AC04, propoxyphene, The serum concentration of Dextropropoxyphene can be increased when it is combined with Givosiran.]
[C07AA05, propranolol, The serum concentration of Propranolol can be increased when it is combined with Givosiran.]
[N02CC04, rizatriptan, Givosiran may decrease the excretion rate of Rizatriptan which could result in a higher serum level.]
[B01AC09, epoprostenol, Givosiran may decrease the excretion rate of Epoprostenol which could result in a higher serum level.]
[N05AX12, aripiprazole, The serum concentration of Aripiprazole can be increased when it is combined with Givosiran.]
[N07XX07, dalfampridine, Givosiran may decrease the excretion rate of Dalfampridine which could result in a higher serum level.]
[P02CC01, pyrantel, Givosiran may decrease the excretion rate of Pyrantel which could result in a higher serum level.]
[J04AK01, pyrazinamide, Givosiran may decrease the excretion rate of Pyrazinamide which could result in a higher serum level.]
[C01BA01, quinidine, Givosiran may decrease the excretion rate of Quinidine which could result in a higher serum level.]
[P01BC01, quinine, The serum concentration of Quinine can be increased when it is combined with Givosiran.]
[A02BA02, ranitidine, The serum concentration of Ranitidine can be increased when it is combined with Givosiran.]
[C02AA02, reserpine, Givosiran may decrease the excretion rate of Reserpine which could result in a higher serum level.]
[J05AP01, ribavirin, Givosiran may decrease the excretion rate of Ribavirin which could result in a higher serum level.]
[N02BA05, salicylamide, The risk or severity of nephrotoxicity can be increased when Salicylamide is combined with Givosiran.]
[A07EC01, sulfasalazine, The risk or severity of nephrotoxicity can be increased when Sulfasalazine is combined with Givosiran.]
[S01BC08, salicylic acid, The risk or severity of nephrotoxicity can be increased when Salicylic acid is combined with Givosiran.]
[N05CA06, secobarbital, Givosiran may decrease the excretion rate of Secobarbital which could result in a higher serum level.]
[N04BD01, selegiline, The serum concentration of Selegiline can be increased when it is combined with Givosiran.]
[J01GB08, sisomicin, Givosiran may decrease the excretion rate of Sisomicin which could result in a higher serum level.]
[A12CD01, sodium fluoride, Givosiran may decrease the excretion rate of Sodium fluoride which could result in a higher serum level.]
[V04CC01, sorbitol, Givosiran may decrease the excretion rate of Sorbitol which could result in a higher serum level.]
[C07AA07, sotalol, The serum concentration of Sotalol can be increased when it is combined with Givosiran.]
[N02BA03, choline salicylate, Givosiran may decrease the excretion rate of Choline salicylate which could result in a higher serum level.]
[V09AB03, ioflupane I-123, Givosiran may decrease the excretion rate of Ioflupane I-123 which could result in a higher serum level.]
[V09AA01, technetium Tc 99m exametazime, Givosiran may decrease the excretion rate of Technetium Tc-99m exametazime which could result in a higher serum level.]
[V09AX06, florbetaben f-18, Givosiran may decrease the excretion rate of Florbetaben (18F) which could result in a higher serum level.]
[M05BA01, etidronic acid, The risk or severity of nephrotoxicity and hypocalcemia can be increased when Givosiran is combined with Etidronic acid.]
[D10AX03, azelaic acid, Givosiran may decrease the excretion rate of Azelaic acid which could result in a higher serum level.]
