[S02DA03, antipyrine, The metabolism of Antipyrine can be decreased when combined with Vinorelbine.]
[S01BC01, indomethacin, The risk or severity of adverse effects can be increased when Indomethacin is combined with Vinorelbine.]
[L03AB04, interferon alfa-2a, The risk or severity of adverse effects can be increased when Interferon alfa-2a is combined with Vinorelbine.]
[L03AB05, interferon alfa-2b, The risk or severity of adverse effects can be increased when Interferon alfa-2b is combined with Vinorelbine.]
[N06AX17, milnacipran, The metabolism of Vinorelbine can be decreased when combined with Milnacipran.]
[L04AA25, eculizumab, The risk or severity of adverse effects can be increased when Vinorelbine is combined with Eculizumab.]
[N01BB08, articaine, The risk or severity of methemoglobinemia can be increased when Vinorelbine is combined with Articaine.]
[C10AA06, cerivastatin, The metabolism of Vinorelbine can be increased when combined with Cerivastatin.]
[L01XX35, anagrelide, The risk or severity of bleeding can be increased when Anagrelide is combined with Vinorelbine.]
[C07AA01, alprenolol, The metabolism of Alprenolol can be decreased when combined with Vinorelbine.]
[L03AB09, interferon alfacon-1, The risk or severity of adverse effects can be increased when Interferon alfacon-1 is combined with Vinorelbine.]
[V03AB01, ipecac, The metabolism of Ipecac can be decreased when combined with Vinorelbine.]
[J05AF04, stavudine, Vinorelbine may increase the neurotoxic activities of Stavudine.]
[N06AA13, iprindole, Vinorelbine may increase the neurotoxic activities of Iprindole.]
[N05AA07, chlorproethazine, Vinorelbine may increase the neurotoxic activities of Chlorproethazine.]
[J04AC01, isoniazid, The metabolism of Vinorelbine can be decreased when combined with Isoniazid.]
[B01AE06, bivalirudin, The risk or severity of bleeding can be increased when Bivalirudin is combined with Vinorelbine.]
[J01FA07, josamycin, The serum concentration of Vinorelbine can be increased when it is combined with Josamycin.]
[L04AC07, tocilizumab, The metabolism of Vinorelbine can be increased when combined with Tocilizumab.]
[C02KD01, ketanserin, The risk or severity of bleeding can be increased when Ketanserin is combined with Vinorelbine.]
[B01AC22, prasugrel, The risk or severity of bleeding can be increased when Prasugrel is combined with Vinorelbine.]
[J02AB02, ketoconazole, The metabolism of Vinorelbine can be decreased when combined with Ketoconazole.]
[N05AH03, olanzapine, The metabolism of Olanzapine can be decreased when combined with Vinorelbine.]
[V03AC03, deferasirox, The metabolism of Vinorelbine can be increased when combined with Deferasirox.]
[L04AA24, abatacept, The metabolism of Vinorelbine can be increased when combined with Abatacept.]
[N04BC09, rotigotine, The metabolism of Rotigotine can be decreased when combined with Vinorelbine.]
[C07AG01, labetalol, The metabolism of Labetalol can be decreased when combined with Vinorelbine.]
[N03AX18, lacosamide, The metabolism of Vinorelbine can be decreased when combined with Lacosamide.]
[L01DC03, mitomycin, The risk or severity of bronchospasm, shortness of breath, and dyspnea can be increased when Vinorelbine is combined with Mitomycin.]
[S02DA01, lidocaine, The risk or severity of methemoglobinemia can be increased when Vinorelbine is combined with Lidocaine.]
[J01FF02, lincomycin, Vinorelbine may increase the neurotoxic activities of Lincomycin.]
[N06BA13, armodafinil, The metabolism of Vinorelbine can be increased when combined with Armodafinil.]
[N02CA07, lisuride, The metabolism of Lisuride can be decreased when combined with Vinorelbine.]
[N06AA07, lofepramine, Vinorelbine may increase the neurotoxic activities of Lofepramine.]
[L01AD02, lomustine, The risk or severity of adverse effects can be increased when Vinorelbine is combined with Lomustine.]
[C10AA02, lovastatin, The metabolism of Vinorelbine can be decreased when combined with Lovastatin.]
[N05AH01, loxapine, Vinorelbine may increase the neurotoxic activities of Loxapine.]
[L01EG01, temsirolimus, The risk or severity of adverse effects can be increased when Vinorelbine is combined with Temsirolimus.]
[L01BA05, pralatrexate, The risk or severity of adverse effects can be increased when Vinorelbine is combined with Pralatrexate.]
[L01EA03, nilotinib, The metabolism of Vinorelbine can be decreased when combined with Nilotinib.]
[N06AA21, maprotiline, The metabolism of Maprotiline can be decreased when combined with Vinorelbine.]
[L01AA05, mechlorethamine, The risk or severity of adverse effects can be increased when Vinorelbine is combined with Mechlorethamine.]
[R06AE05, meclizine, The metabolism of Meclizine can be decreased when combined with Vinorelbine.]
[C01AA08, medigoxin, Metildigoxin may decrease the cardiotoxic activities of Vinorelbine.]
[B01AB06, nadroparin, The risk or severity of bleeding can be increased when Nadroparin is combined with Vinorelbine.]
[B01AB05, enoxaparin, The risk or severity of bleeding can be increased when Enoxaparin is combined with Vinorelbine.]
[B01AB04, dalteparin, The risk or severity of bleeding can be increased when Dalteparin is combined with Vinorelbine.]
[L01AA03, melphalan, The risk or severity of adverse effects can be increased when Vinorelbine is combined with Melphalan.]
[N02AB02, meperidine, The metabolism of Vinorelbine can be decreased when combined with Meperidine.]
[N03AB04, mephenytoin, The metabolism of Mephenytoin can be decreased when combined with Vinorelbine.]
[N03AA01, mephobarbital, The metabolism of Vinorelbine can be increased when combined with Methylphenobarbital.]
[N01BB03, mepivacaine, The risk or severity of methemoglobinemia can be increased when Vinorelbine is combined with Mepivacaine.]
[L02BG01, aminoglutethimide, The metabolism of Vinorelbine can be increased when combined with Aminoglutethimide.]
[N05AC03, mesoridazine, The metabolism of Mesoridazine can be decreased when combined with Vinorelbine.]
[N05AX13, paliperidone, The metabolism of Paliperidone can be decreased when combined with Vinorelbine.]
[A04AA04, dolasetron, The metabolism of Dolasetron can be decreased when combined with Vinorelbine.]
[H01CB03, lanreotide, The metabolism of Vinorelbine can be decreased when combined with Lanreotide.]
[N07BC02, methadone, The metabolism of Vinorelbine can be decreased when combined with Methadone.]
[N06BA03, methamphetamine, The metabolism of Metamfetamine can be decreased when combined with Vinorelbine.]
[H03BB02, methimazole, The metabolism of Vinorelbine can be decreased when combined with Methimazole.]
[L03AA02, filgrastim, The risk or severity of peripheral neuropathy can be increased when Filgrastim is combined with Vinorelbine.]
[L01BA04, pemetrexed, The risk or severity of adverse effects can be increased when Vinorelbine is combined with Pemetrexed.]
[L04AX03, methotrexate, The risk or severity of adverse effects can be increased when Vinorelbine is combined with Methotrexate.]
[N05AA02, methotrimeprazine, The metabolism of Methotrimeprazine can be decreased when combined with Vinorelbine.]
[N02BG09, methoxyflurane, The metabolism of Methoxyflurane can be decreased when combined with Vinorelbine.]
[C03AA08, methyclothiazide, The risk or severity of neutropenia and thrombocytopenia can be increased when Methyclothiazide is combined with Vinorelbine.]
[V04CG05, methylene blue, The metabolism of Vinorelbine can be decreased when combined with Methylene blue.]
[G02AB01, methylergonovine, The metabolism of Vinorelbine can be decreased when combined with Methylergometrine.]
[H02AB04, methylprednisolone, The metabolism of Vinorelbine can be increased when combined with Methylprednisolone.]
[N03AF03, rufinamide, The metabolism of Vinorelbine can be increased when combined with Rufinamide.]
[N02CA04, methysergide, The metabolism of Vinorelbine can be decreased when combined with Methysergide.]
[A03FA01, metoclopramide, The metabolism of Metoclopramide can be decreased when combined with Vinorelbine.]
[C07AB02, metoprolol, The metabolism of Metoprolol can be decreased when combined with Vinorelbine.]
[P01AB01, metronidazole, The metabolism of Vinorelbine can be decreased when combined with Metronidazole.]
[V04CD01, metyrapone, The metabolism of Vinorelbine can be increased when combined with Metyrapone.]
[C01BB02, mexiletine, The metabolism of Mexiletine can be decreased when combined with Vinorelbine.]
[N06AX03, mianserin, The metabolism of Mianserin can be decreased when combined with Vinorelbine.]
[S02AA13, miconazole, The metabolism of Vinorelbine can be decreased when combined with Miconazole.]
[N02BB03, aminopyrine, The metabolism of Aminophenazone can be decreased when combined with Vinorelbine.]
[B01AB07, parnaparin, The risk or severity of bleeding can be increased when Parnaparin is combined with Vinorelbine.]
[N05CD08, midazolam, The metabolism of Vinorelbine can be decreased when combined with Midazolam.]
[L03AA09, sargramostim, The risk or severity of peripheral neuropathy can be increased when Sargramostim is combined with Vinorelbine.]
[G03XB01, mifepristone, The metabolism of Vinorelbine can be increased when combined with Mifepristone.]
[B01AB10, tinzaparin, The risk or severity of bleeding can be increased when Tinzaparin is combined with Vinorelbine.]
[J01FA11, miocamycin, The metabolism of Vinorelbine can be decreased when combined with Miocamycin.]
[L01XX23, mitotane, The metabolism of Vinorelbine can be increased when combined with Mitotane.]
[L01DB07, mitoxantrone, The risk or severity of adverse effects can be increased when Vinorelbine is combined with Mitoxantrone.]
[N06BA12, lisdexamfetamine, The metabolism of Lisdexamfetamine can be decreased when combined with Vinorelbine.]
[L03AA03, molgramostim, The risk or severity of peripheral neuropathy can be increased when Molgramostim is combined with Vinorelbine.]
[L03AA10, lenograstim, The risk or severity of peripheral neuropathy can be increased when Lenograstim is combined with Vinorelbine.]
[N05AE02, molindone, Vinorelbine may increase the neurotoxic activities of Molindone.]
[L03AC01, aldesleukin, The metabolism of Vinorelbine can be decreased when combined with Aldesleukin.]
[C01BD01, amiodarone, The metabolism of Vinorelbine can be decreased when combined with Amiodarone.]
[N06AA09, amitriptyline, The metabolism of Amitriptyline can be decreased when combined with Vinorelbine.]
[A04AA05, palonosetron, The metabolism of Palonosetron can be decreased when combined with Vinorelbine.]
[L04AB05, certolizumab pegol, The metabolism of Vinorelbine can be increased when combined with Certolizumab pegol.]
[L04AA52, ofatumumab, The risk or severity of adverse effects can be increased when Vinorelbine is combined with Ofatumumab.]
[L01EX03, pazopanib, The metabolism of Vinorelbine can be decreased when combined with Pazopanib.]
[L04AA06, mycophenolic acid, The risk or severity of adverse effects can be increased when Vinorelbine is combined with Mycophenolic acid.]
[N05CA02, amobarbital, The metabolism of Vinorelbine can be increased when combined with Amobarbital.]
[G03XC01, raloxifene, The metabolism of Vinorelbine can be decreased when combined with Raloxifene.]
[N06AA17, amoxapine, The metabolism of Amoxapine can be decreased when combined with Vinorelbine.]
[N03AB05, fosphenytoin, The metabolism of Vinorelbine can be increased when combined with Fosphenytoin.]
[L03AB08, interferon beta-1b, The risk or severity of adverse effects can be increased when Interferon beta-1b is combined with Vinorelbine.]
[C07AA12, nadolol, The metabolism of Nadolol can be decreased when combined with Vinorelbine.]
[J01CF06, nafcillin, The metabolism of Vinorelbine can be increased when combined with Nafcillin.]
[V03AB15, naloxone, The metabolism of Vinorelbine can be decreased when combined with Naloxone.]
[L04AC03, anakinra, The metabolism of Vinorelbine can be increased when combined with Anakinra.]
[N06BA01, amphetamine, The metabolism of Amphetamine can be decreased when combined with Vinorelbine.]
[A10BG01, troglitazone, The metabolism of Vinorelbine can be increased when combined with Troglitazone.]
[N06AX21, duloxetine, The metabolism of Duloxetine can be decreased when combined with Vinorelbine.]
[B03XA03, methoxy polyethylene glycol-epoetin beta, The risk or severity of Thrombosis can be increased when Methoxy polyethylene glycol-epoetin beta is combined with Vinorelbine.]
[L01CD02, docetaxel, The metabolism of Vinorelbine can be decreased when combined with Docetaxel.]
[S03AA01, neomycin, Vinorelbine may increase the neurotoxic activities of Neomycin.]
[B01AC17, tirofiban, The risk or severity of bleeding can be increased when Tirofiban is combined with Vinorelbine.]
[N05AX14, iloperidone, The metabolism of Iloperidone can be decreased when combined with Vinorelbine.]
[N06AX23, desvenlafaxine, The metabolism of Vinorelbine can be decreased when combined with Desvenlafaxine.]
[L01XX01, amsacrine, The risk or severity of adverse effects can be increased when Amsacrine is combined with Vinorelbine.]
[C10AD02, niacin, The metabolism of Vinorelbine can be decreased when combined with Niacin.]
[C08CA04, nicardipine, The metabolism of Vinorelbine can be decreased when combined with Nicardipine.]
[C04AE02, nicergoline, The metabolism of Nicergoline can be decreased when combined with Vinorelbine.]
[C08CA05, nifedipine, The metabolism of Nifedipine can be decreased when combined with Vinorelbine.]
[G03DC02, norethindrone, The metabolism of Vinorelbine can be decreased when combined with Norethisterone.]
[C02KX01, bosentan, The metabolism of Vinorelbine can be increased when combined with Bosentan.]
[N06AA10, nortriptyline, The metabolism of Nortriptyline can be decreased when combined with Vinorelbine.]
[R05DA07, noscapine, The metabolism of Vinorelbine can be decreased when combined with Noscapine.]
[B01AC16, eptifibatide, The risk or severity of bleeding can be increased when Eptifibatide is combined with Vinorelbine.]
[B01AB08, reviparin, The risk or severity of bleeding can be increased when Reviparin is combined with Vinorelbine.]
[H01CB02, octreotide, The serum concentration of Vinorelbine can be increased when it is combined with Octreotide.]
[J01FA05, oleandomycin, The metabolism of Vinorelbine can be decreased when combined with Oleandomycin.]
[L04AC04, rilonacept, The metabolism of Vinorelbine can be increased when combined with Rilonacept.]
[A02BC01, omeprazole, The metabolism of Vinorelbine can be increased when combined with Omeprazole.]
[N06AA05, opipramol, Vinorelbine may increase the neurotoxic activities of Opipramol.]
[N02AA02, opium, The metabolism of Opium can be decreased when combined with Vinorelbine.]
[B01AD07, reteplase, The risk or severity of bleeding can be increased when Reteplase is combined with Vinorelbine.]
[B01AD09, ancrod, The risk or severity of bleeding can be increased when Ancrod is combined with Vinorelbine.]
[G04CA02, tamsulosin, The metabolism of Tamsulosin can be decreased when combined with Vinorelbine.]
[C01AC01, ouabain, Ouabain may decrease the cardiotoxic activities of Vinorelbine.]
[C07AA02, oxprenolol, The metabolism of Oxprenolol can be decreased when combined with Vinorelbine.]
[N02AA05, oxycodone, The metabolism of Oxycodone can be decreased when combined with Vinorelbine.]
[N02AA11, oxymorphone, The metabolism of Oxymorphone can be decreased when combined with Vinorelbine.]
[N05AE01, oxypertine, Vinorelbine may increase the neurotoxic activities of Oxypertine.]
[N05AH05, asenapine, Vinorelbine may increase the neurotoxic activities of Asenapine.]
[B01AB09, danaparoid, The risk or severity of bleeding can be increased when Danaparoid is combined with Vinorelbine.]
[H02AB05, paramethasone, The metabolism of Vinorelbine can be increased when combined with Paramethasone.]
[G04BD11, fesoterodine, The metabolism of Fesoterodine can be decreased when combined with Vinorelbine.]
[C07AA23, penbutolol, The metabolism of Penbutolol can be decreased when combined with Vinorelbine.]
[N05AG03, penfluridol, Vinorelbine may increase the neurotoxic activities of Penfluridol.]
[M01CC01, penicillamine, The risk or severity of adverse effects can be increased when Vinorelbine is combined with Penicillamine.]
[J07AF01, diphtheria toxoid vaccine, inactivated, The therapeutic efficacy of Corynebacterium diphtheriae toxoid antigen (formaldehyde inactivated) can be decreased when used in combination with Vinorelbine.]
[J07AM01, tetanus toxoid vaccine, inactivated, The therapeutic efficacy of Clostridium tetani toxoid antigen (formaldehyde inactivated) can be decreased when used in combination with Vinorelbine.]
[N05CA01, pentobarbital, The metabolism of Vinorelbine can be increased when combined with Pentobarbital.]
[L01XX08, pentostatin, The risk or severity of adverse effects can be increased when Vinorelbine is combined with Pentostatin.]
[C04AD03, pentoxifylline, The risk or severity of bleeding can be increased when Pentoxifylline is combined with Vinorelbine.]
[N05AB10, perazine, Vinorelbine may increase the neurotoxic activities of Perazine.]
[C08EX02, perhexiline, The metabolism of Perhexiline can be decreased when combined with Vinorelbine.]
[B02BX04, romiplostim, The risk or severity of peripheral neuropathy can be increased when Romiplostim is combined with Vinorelbine.]
[N05AB03, perphenazine, The metabolism of Perphenazine can be decreased when combined with Vinorelbine.]
[J07AJ, pertussis vaccine, The therapeutic efficacy of Pertussis vaccine can be decreased when used in combination with Vinorelbine.]
[N02BE03, phenacetin, The metabolism of Phenacetin can be decreased when combined with Vinorelbine.]
[A10BA01, phenformin, The metabolism of Phenformin can be decreased when combined with Vinorelbine.]
[B01AA02, phenindione, The risk or severity of bleeding can be increased when Phenindione is combined with Vinorelbine.]
[N03AA02, phenobarbital, The metabolism of Vinorelbine can be increased when combined with Phenobarbital.]
[B01AA04, phenprocoumon, The risk or severity of bleeding can be increased when Phenprocoumon is combined with Vinorelbine.]
[M02AA01, phenylbutazone, The metabolism of Vinorelbine can be increased when combined with Phenylbutazone.]
[N03AB02, phenytoin, The metabolism of Vinorelbine can be increased when combined with Phenytoin.]
[L04AB06, golimumab, The metabolism of Vinorelbine can be increased when combined with Golimumab.]
[L02BB03, bicalutamide, The metabolism of Vinorelbine can be decreased when combined with Bicalutamide.]
[C08CX01, mibefradil, The metabolism of Vinorelbine can be decreased when combined with Mibefradil.]
[N05AG02, pimozide, The metabolism of Pimozide can be decreased when combined with Vinorelbine.]
[C07AA03, pindolol, The metabolism of Pindolol can be decreased when combined with Vinorelbine.]
[J05AE01, saquinavir, The metabolism of Vinorelbine can be decreased when combined with Saquinavir.]
[P02CB01, piperazine, The metabolism of Piperazine can be decreased when combined with Vinorelbine.]
[N05AC04, pipothiazine, The metabolism of Pipotiazine can be decreased when combined with Vinorelbine.]
[J05AG02, delavirdine, The metabolism of Vinorelbine can be decreased when combined with Delavirdine.]
[C09CA04, irbesartan, The metabolism of Vinorelbine can be decreased when combined with Irbesartan.]
[B01AC13, abciximab, The risk or severity of bleeding can be increased when Abciximab is combined with Vinorelbine.]
[S01XA13, alteplase, The risk or severity of bleeding can be increased when Alteplase is combined with Vinorelbine.]
[L02BG03, anastrozole, The risk or severity of cardiotoxicity can be increased when Vinorelbine is combined with Anastrozole.]
[L04AC08, canakinumab, The metabolism of Vinorelbine can be increased when combined with Canakinumab.]
[S03AA03, polymyxin B, Vinorelbine may increase the neurotoxic activities of Polymyxin B.]
[C03AA05, polythiazide, The risk or severity of neutropenia and thrombocytopenia can be increased when Polythiazide is combined with Vinorelbine.]
[J05AE03, ritonavir, The serum concentration of Vinorelbine can be increased when it is combined with Ritonavir.]
[C07AB01, practolol, The metabolism of Practolol can be decreased when combined with Vinorelbine.]
[S03BA02, prednisolone, The metabolism of Vinorelbine can be increased when combined with Prednisolone.]
[H02AB07, prednisone, The risk or severity of adverse effects can be increased when Vinorelbine is combined with Prednisone.]
[N01BB04, prilocaine, The risk or severity of methemoglobinemia can be increased when Vinorelbine is combined with Prilocaine.]
[P01BA03, primaquine, The metabolism of Vinorelbine can be decreased when combined with Primaquine.]
[N03AA03, primidone, The metabolism of Vinorelbine can be increased when combined with Primidone.]
[M04AB01, probenecid, The metabolism of Vinorelbine can be increased when combined with Probenecid.]
[C01BA02, procainamide, The metabolism of Procainamide can be decreased when combined with Vinorelbine.]
[S01HA05, procaine, The risk or severity of methemoglobinemia can be increased when Vinorelbine is combined with Procaine.]
[L01XB01, procarbazine, The risk or severity of adverse effects can be increased when Vinorelbine is combined with Procarbazine.]
[C10AB05, fenofibrate, The metabolism of Vinorelbine can be decreased when combined with Fenofibrate.]
[N05AB04, prochlorperazine, The metabolism of Prochlorperazine can be decreased when combined with Vinorelbine.]
[G03DA04, progesterone, The metabolism of Progesterone can be decreased when combined with Vinorelbine.]
[N05AA03, promazine, The metabolism of Promazine can be decreased when combined with Vinorelbine.]
[R06AD02, promethazine, The metabolism of Promethazine can be decreased when combined with Vinorelbine.]
[C01BC03, propafenone, The metabolism of Propafenone can be decreased when combined with Vinorelbine.]
[N05AC01, periciazine, Vinorelbine may increase the neurotoxic activities of Periciazine.]
[N01AX10, propofol, The metabolism of Vinorelbine can be decreased when combined with Propofol.]
[N02AC04, propoxyphene, The metabolism of Vinorelbine can be decreased when combined with Dextropropoxyphene.]
[C07AA05, propranolol, The metabolism of Propranolol can be decreased when combined with Vinorelbine.]
[H03BA02, propylthiouracil, The risk or severity of adverse effects can be increased when Vinorelbine is combined with Propylthiouracil.]
[C01AB01, proscillaridin, Proscillaridin may decrease the cardiotoxic activities of Vinorelbine.]
[B01AC09, epoprostenol, The risk or severity of bleeding can be increased when Epoprostenol is combined with Vinorelbine.]
[N06AA11, protriptyline, Protriptyline may increase the neurotoxic activities of Vinorelbine.]
[N05AX12, aripiprazole, The metabolism of Aripiprazole can be decreased when combined with Vinorelbine.]
[J06BB05, rabies immune globulin, human, The therapeutic efficacy of Rabies immune globulin, human can be decreased when used in combination with Vinorelbine.]
[C01BA01, quinidine, The metabolism of Vinorelbine can be decreased when combined with Quinidine.]
[P01BC01, quinine, The metabolism of Vinorelbine can be increased when combined with Quinine.]
[C02AA02, reserpine, Reserpine may increase the neurotoxic activities of Vinorelbine.]
[J04AB02, rifampin, The metabolism of Vinorelbine can be increased when combined with Rifampicin.]
[J01FA06, roxithromycin, The metabolism of Vinorelbine can be decreased when combined with Roxithromycin.]
[A07EC01, sulfasalazine, The risk or severity of adverse effects can be increased when Vinorelbine is combined with Sulfasalazine.]
[N05CA06, secobarbital, The metabolism of Vinorelbine can be increased when combined with Secobarbital.]
[N04BD01, selegiline, The metabolism of Selegiline can be decreased when combined with Vinorelbine.]
[L01FA03, obinutuzumab, The risk or severity of adverse effects can be increased when Vinorelbine is combined with Obinutuzumab.]
[M05BX04, denosumab, The risk or severity of adverse effects can be increased when Denosumab is combined with Vinorelbine.]
[H01CB01, somatostatin, The metabolism of Vinorelbine can be decreased when combined with Somatostatin.]
[C07AA07, sotalol, The metabolism of Sotalol can be decreased when combined with Vinorelbine.]
[L01CD04, cabazitaxel, The risk or severity of adverse effects can be increased when Vinorelbine is combined with Cabazitaxel.]
[L03AX17, sipuleucel-T, The therapeutic efficacy of Sipuleucel-T can be decreased when used in combination with Vinorelbine.]
[N03AG01, valproic acid, The metabolism of Vinorelbine can be decreased when combined with Valproic acid.]
[D07AB02, hydrocortisone butyrate, The metabolism of Vinorelbine can be increased when combined with Hydrocortisone butyrate.]
[L01CD03, paclitaxel poliglumex, The risk or severity of cardiotoxicity can be increased when Vinorelbine is combined with Paclitaxel poliglumex.]
[H02CA04, levoketoconazole, The metabolism of Vinorelbine can be decreased when combined with Levoketoconazole.]
