[S02DA03, antipyrine, The metabolism of Antipyrine can be decreased when combined with Rosiglitazone.]
[R05DA09, dextromethorphan, The metabolism of Dextromethorphan can be decreased when combined with Rosiglitazone.]
[N03AC01, paramethadione, The metabolism of Paramethadione can be decreased when combined with Rosiglitazone.]
[N06AB05, paroxetine, The risk or severity of hypoglycemia can be increased when Paroxetine is combined with Rosiglitazone.]
[B01AC04, clopidogrel, The metabolism of Rosiglitazone can be decreased when combined with Clopidogrel.]
[C01DA05, pentaerythritol tetranitrate, The risk or severity of adverse effects can be increased when Pentaerythritol tetranitrate is combined with Rosiglitazone.]
[P03AC04, permethrin, Rosiglitazone may decrease the excretion rate of Permethrin which could result in a higher serum level.]
[N05BA01, diazepam, Rosiglitazone may decrease the excretion rate of Diazepam which could result in a higher serum level.]
[V03AH01, diazoxide, The therapeutic efficacy of Rosiglitazone can be decreased when used in combination with Diazoxide.]
[N06AA08, dibenzepin, Dibenzepin may decrease the hypoglycemic activities of Rosiglitazone.]
[R05DA08, pholcodine, Rosiglitazone may decrease the excretion rate of Pholcodine which could result in a higher serum level.]
[S01EC02, dichlorphenamide, The therapeutic efficacy of Rosiglitazone can be increased when used in combination with Diclofenamide.]
[S01BC03, diclofenac, Rosiglitazone may decrease the excretion rate of Diclofenac which could result in a higher serum level.]
[J05AD01, foscarnet, Foscarnet may decrease the excretion rate of Rosiglitazone which could result in a higher serum level.]
[A03AA07, dicyclomine, Rosiglitazone may decrease the excretion rate of Dicyclomine which could result in a higher serum level.]
[A07AB02, phthalylsulfathiazole, The therapeutic efficacy of Rosiglitazone can be increased when used in combination with Phthalylsulfathiazole.]
[J05AF02, didanosine, Rosiglitazone may decrease the excretion rate of Didanosine which could result in a higher serum level.]
[A03AX04, pinaverium, The risk or severity of hypoglycemia can be increased when Pinaverium is combined with Rosiglitazone.]
[A10BG03, pioglitazone, The risk or severity of hypoglycemia can be increased when Rosiglitazone is combined with Pioglitazone.]
[L01EB02, erlotinib, The metabolism of Erlotinib can be decreased when combined with Rosiglitazone.]
[C03CA03, piretanide, The therapeutic efficacy of Rosiglitazone can be increased when used in combination with Piretanide.]
[L02AA01, diethylstilbestrol, The metabolism of Rosiglitazone can be decreased when combined with Diethylstilbestrol.]
[C08CA03, isradipine, The metabolism of Rosiglitazone can be decreased when combined with Isradipine.]
[D07XC04, diflucortolone, The risk or severity of hyperglycemia can be increased when Difluocortolone is combined with Rosiglitazone.]
[N02BA11, diflunisal, Diflunisal may increase the hypoglycemic activities of Rosiglitazone.]
[C10AX09, ezetimibe, Rosiglitazone may decrease the excretion rate of Ezetimibe which could result in a higher serum level.]
[C04AE04, dihydroergocristine, Rosiglitazone may decrease the excretion rate of Dihydroergocristine which could result in a higher serum level.]
[N02AA03, hydromorphone, Hydromorphone may decrease the excretion rate of Rosiglitazone which could result in a higher serum level.]
[L04AX04, lenalidomide, Rosiglitazone may decrease the excretion rate of Lenalidomide which could result in a higher serum level.]
[J05AE08, atazanavir, The metabolism of Rosiglitazone can be decreased when combined with Atazanavir.]
[B01AC21, treprostinil, The metabolism of Rosiglitazone can be decreased when combined with Treprostinil.]
[H03BC01, potassium perchlorate, Rosiglitazone may decrease the excretion rate of Potassium perchlorate which could result in a higher serum level.]
[V03AB04, pralidoxime, Rosiglitazone may decrease the excretion rate of Pralidoxime which could result in a higher serum level.]
[D07AC18, prednicarbate, The risk or severity of hyperglycemia can be increased when Prednicarbate is combined with Rosiglitazone.]
[C08DB01, diltiazem, The metabolism of Rosiglitazone can be decreased when combined with Diltiazem.]
[V03AB09, dimercaprol, Rosiglitazone may decrease the excretion rate of Dimercaprol which could result in a higher serum level.]
[M02AX03, dimethyl sulfoxide, Rosiglitazone may decrease the excretion rate of Dimethyl sulfoxide which could result in a higher serum level.]
[N02BB04, propyphenazone, Propyphenazone may decrease the excretion rate of Rosiglitazone which could result in a higher serum level.]
[M01AB14, proglumetacin, Proglumetacin may decrease the excretion rate of Rosiglitazone which could result in a higher serum level.]
[G02AD02, dinoprostone, The excretion of Dinoprostone can be decreased when combined with Rosiglitazone.]
[C05CA03, diosmin, The metabolism of Rosiglitazone can be decreased when combined with Diosmin.]
[R06AA02, diphenhydramine, The metabolism of Diphenhydramine can be decreased when combined with Rosiglitazone.]
[N05CD10, quazepam, The metabolism of Quazepam can be decreased when combined with Rosiglitazone.]
[B01AC07, dipyridamole, Rosiglitazone may decrease the excretion rate of Dipyridamole which could result in a higher serum level.]
[N06AA23, quinupramine, Quinupramine may decrease the hypoglycemic activities of Rosiglitazone.]
[A03FA02, cisapride, The metabolism of Cisapride can be decreased when combined with Rosiglitazone.]
[S01XA23, sirolimus, The therapeutic efficacy of Rosiglitazone can be decreased when used in combination with Sirolimus.]
[S01AX06, resorcinol, Rosiglitazone may decrease the excretion rate of Resorcinol which could result in a higher serum level.]
[C01BA03, disopyramide, The risk or severity of hypoglycemia can be increased when Disopyramide is combined with Rosiglitazone.]
[P03AA04, disulfiram, Rosiglitazone may decrease the excretion rate of Disulfiram which could result in a higher serum level.]
[S02AA12, rifamycin SV, The metabolism of Rosiglitazone can be increased when combined with Rifamycin.]
[J04AB05, rifapentine, The metabolism of Rosiglitazone can be increased when combined with Rifapentine.]
[N05AX08, risperidone, The therapeutic efficacy of Rosiglitazone can be decreased when used in combination with Risperidone.]
[R06AE09, levocetirizine, Rosiglitazone may decrease the excretion rate of Levocetirizine which could result in a higher serum level.]
[N01BB09, ropivacaine, Ropivacaine may decrease the excretion rate of Rosiglitazone which could result in a higher serum level.]
[J01MB01, rosoxacin, The therapeutic efficacy of Rosiglitazone can be increased when used in combination with Rosoxacin.]
[L01EX01, sunitinib, The risk or severity of hypoglycemia can be increased when Rosiglitazone is combined with Sunitinib.]
[A04AD12, aprepitant, The metabolism of Rosiglitazone can be decreased when combined with Aprepitant.]
[C03XA01, tolvaptan, Tolvaptan may increase the excretion rate of Rosiglitazone which could result in a lower serum level and potentially a reduction in efficacy.]
[L01XG01, bortezomib, The metabolism of Rosiglitazone can be decreased when combined with Bortezomib.]
[J05AE07, fosamprenavir, The therapeutic efficacy of Rosiglitazone can be decreased when used in combination with Fosamprenavir.]
[G04BE08, tadalafil, Rosiglitazone may decrease the excretion rate of Tadalafil which could result in a higher serum level.]
[S01BC05, ketorolac, The metabolism of Ketorolac can be decreased when combined with Rosiglitazone.]
[C02KX02, ambrisentan, The excretion of Ambrisentan can be decreased when combined with Rosiglitazone.]
[C01EB18, ranolazine, Ranolazine may decrease the excretion rate of Rosiglitazone which could result in a higher serum level.]
[N02BA06, salsalate, Salsalate may decrease the excretion rate of Rosiglitazone which could result in a higher serum level.]
[R03AC12, salmeterol, The metabolism of Rosiglitazone can be decreased when combined with Salmeterol.]
[H05BA01, salmon calcitonin, Salmon calcitonin may decrease the excretion rate of Rosiglitazone which could result in a higher serum level.]
[C01CA07, dobutamine, Rosiglitazone may decrease the excretion rate of Dobutamine which could result in a higher serum level.]
[A03FA03, domperidone, The metabolism of Domperidone can be decreased when combined with Rosiglitazone.]
[C01CA04, dopamine, Rosiglitazone may decrease the excretion rate of Dopamine which could result in a higher serum level.]
[N06AA16, dothiepin, Dosulepin may decrease the hypoglycemic activities of Rosiglitazone.]
[N06AA12, doxepin, Doxepin may decrease the hypoglycemic activities of Rosiglitazone.]
[L01DB01, doxorubicin, Rosiglitazone may decrease the excretion rate of Doxorubicin which could result in a higher serum level.]
[J01AA02, doxycycline, Doxycycline may decrease the excretion rate of Rosiglitazone which could result in a higher serum level.]
[N06AB06, sertraline, The risk or severity of hypoglycemia can be increased when Sertraline is combined with Rosiglitazone.]
[N01AB08, sevoflurane, The metabolism of Sevoflurane can be decreased when combined with Rosiglitazone.]
[A08AA10, sibutramine, Rosiglitazone may decrease the excretion rate of Sibutramine which could result in a higher serum level.]
[C10AA01, simvastatin, Rosiglitazone may decrease the excretion rate of Simvastatin which could result in a higher serum level.]
[A12CA02, sodium sulfate, Rosiglitazone may decrease the excretion rate of Sodium sulfate which could result in a higher serum level.]
[R03DA01, dyphylline, Rosiglitazone may decrease the excretion rate of Dyphylline which could result in a higher serum level.]
[A07AB04, succinylsulfathiazole, The therapeutic efficacy of Rosiglitazone can be increased when used in combination with Succinylsulfathiazole.]
[N02CC01, sumatriptan, The therapeutic efficacy of Rosiglitazone can be increased when used in combination with Sumatriptan.]
[V04CX07, edrophonium, Rosiglitazone may decrease the excretion rate of Edrophonium which could result in a higher serum level.]
[C07AB13, talinolol, The therapeutic efficacy of Rosiglitazone can be increased when used in combination with Talinolol.]
[H01AA01, corticotropin, The risk or severity of hyperglycemia can be increased when Corticotropin is combined with Rosiglitazone.]
[J01MA05, temafloxacin, The therapeutic efficacy of Rosiglitazone can be increased when used in combination with Temafloxacin.]
[L01AX03, temozolomide, Rosiglitazone may decrease the excretion rate of Temozolomide which could result in a higher serum level.]
[M01AC02, tenoxicam, Tenoxicam may decrease the excretion rate of Rosiglitazone which could result in a higher serum level.]
[D01BA02, terbinafine, The metabolism of Terbinafine can be decreased when combined with Rosiglitazone.]
[G04BD05, terodiline, The risk or severity of hypoglycemia can be increased when Terodiline is combined with Rosiglitazone.]
[C07AA16, tertatolol, The therapeutic efficacy of Rosiglitazone can be increased when used in combination with Tertatolol.]
[N06AX14, tianeptine, Tianeptine may decrease the hypoglycemic activities of Rosiglitazone.]
[C09AA02, enalapril, The excretion of Enalapril can be decreased when combined with Rosiglitazone.]
[M01AG02, tolfenamic acid, Tolfenamic acid may decrease the excretion rate of Rosiglitazone which could result in a higher serum level.]
[N06AG03, toloxatone, Toloxatone may increase the hypoglycemic activities of Rosiglitazone.]
[N06BA09, atomoxetine, The metabolism of Atomoxetine can be decreased when combined with Rosiglitazone.]
[N03AX11, topiramate, Topiramate may decrease the excretion rate of Rosiglitazone which could result in a higher serum level.]
[C03CA04, torsemide, The therapeutic efficacy of Rosiglitazone can be decreased when used in combination with Torasemide.]
[N05CC01, chloral hydrate, Rosiglitazone may decrease the excretion rate of Chloral hydrate which could result in a higher serum level.]
[H02CA01, trilostane, The risk or severity of hyperglycemia can be increased when Trilostane is combined with Rosiglitazone.]
[L02AE04, triptorelin, The therapeutic efficacy of Rosiglitazone can be decreased when used in combination with Triptorelin.]
[N01AB04, enflurane, The metabolism of Rosiglitazone can be decreased when combined with Enflurane.]
[J01MA04, enoxacin, The therapeutic efficacy of Rosiglitazone can be increased when used in combination with Enoxacin.]
[N06AX16, venlafaxine, The risk or severity of hypoglycemia can be increased when Venlafaxine is combined with Rosiglitazone.]
[S01GA03, xylometazoline, The risk or severity of hypoglycemia can be increased when Xylometazoline is combined with Rosiglitazone.]
[C08CA12, mepirodipine, The metabolism of Rosiglitazone can be decreased when combined with Barnidipine.]
[S01EA01, epinephrine, The therapeutic efficacy of Rosiglitazone can be decreased when used in combination with Epinephrine.]
[N05CF02, zolpidem, The metabolism of Zolpidem can be decreased when combined with Rosiglitazone.]
[M01AB04, zomepirac, Zomepirac may decrease the excretion rate of Rosiglitazone which could result in a higher serum level.]
[N03AX15, zonisamide, The therapeutic efficacy of Rosiglitazone can be increased when used in combination with Zonisamide.]
[A10AB06, insulin glulisine, human, The risk or severity of congestive heart failure can be increased when Insulin glulisine is combined with Rosiglitazone.]
[N05CF01, zopiclone, The metabolism of Zopiclone can be decreased when combined with Rosiglitazone.]
[L01XA02, carboplatin, Carboplatin may decrease the excretion rate of Rosiglitazone which could result in a higher serum level.]
[C02AC02, guanfacine, Rosiglitazone may decrease the excretion rate of Guanfacine which could result in a higher serum level.]
[N02CA02, ergotamine, The metabolism of Rosiglitazone can be decreased when combined with Ergotamine.]
[N03AG01, valproic acid, The metabolism of Rosiglitazone can be decreased when combined with Valproic acid.]
[C01DA13, erythrityl tetranitrate, The risk or severity of adverse effects can be increased when Erythrityl tetranitrate is combined with Rosiglitazone.]
[L03AX05, pidotimod, Rosiglitazone may decrease the excretion rate of Pidotimod which could result in a higher serum level.]
[S01AA17, erythromycin, Erythromycin may decrease the excretion rate of Rosiglitazone which could result in a higher serum level.]
[N05CD04, estazolam, Rosiglitazone may decrease the excretion rate of Estazolam which could result in a higher serum level.]
[A02BC02, pantoprazole, Pantoprazole may decrease the excretion rate of Rosiglitazone which could result in a higher serum level.]
[G03CA03, estradiol, The therapeutic efficacy of Rosiglitazone can be decreased when used in combination with Estradiol.]
[G03CA57, estrogens, conjugated (USP), The excretion of Conjugated estrogens can be decreased when combined with Rosiglitazone.]
[J04AK02, ethambutol, Ethambutol may decrease the excretion rate of Rosiglitazone which could result in a higher serum level.]
[R03BA09, fluticasone furoate, The risk or severity of hyperglycemia can be increased when Fluticasone furoate is combined with Rosiglitazone.]
[R03BA05, fluticasone, The risk or severity of hyperglycemia can be increased when Fluticasone is combined with Rosiglitazone.]
[C10AA04, fluvastatin, The metabolism of Rosiglitazone can be decreased when combined with Fluvastatin.]
[V08CA03, gadodiamide, Gadodiamide may decrease the excretion rate of Rosiglitazone which could result in a higher serum level.]
[D07AC21, halobetasol, The risk or severity of hyperglycemia can be increased when Ulobetasol is combined with Rosiglitazone.]
[L02AA03, ethinyl estradiol, Ethinylestradiol may decrease the excretion rate of Rosiglitazone which could result in a higher serum level.]
[C01BD05, ibutilide, Ibutilide may decrease the excretion rate of Rosiglitazone which could result in a higher serum level.]
[N03AD01, ethosuximide, The metabolism of Ethosuximide can be decreased when combined with Rosiglitazone.]
[M01AC06, meloxicam, Meloxicam may decrease the excretion rate of Rosiglitazone which could result in a higher serum level.]
[N01AX07, etomidate, Etomidate may decrease the excretion rate of Rosiglitazone which could result in a higher serum level.]
[L04AD02, tacrolimus, The therapeutic efficacy of Rosiglitazone can be decreased when used in combination with Tacrolimus.]
[J01MA08, fleroxacin, The therapeutic efficacy of Rosiglitazone can be increased when used in combination with Fleroxacin.]
[R06AX11, astemizole, Rosiglitazone may decrease the excretion rate of Astemizole which could result in a higher serum level.]
[R06AX12, terfenadine, The metabolism of Rosiglitazone can be decreased when combined with Terfenadine.]
[P01AX07, trimetrexate, Rosiglitazone may decrease the excretion rate of Trimetrexate which could result in a higher serum level.]
[N06AX12, bupropion, Rosiglitazone may decrease the excretion rate of Bupropion which could result in a higher serum level.]
[N06AB08, fluvoxamine, The risk or severity of hypoglycemia can be increased when Fluvoxamine is combined with Rosiglitazone.]
[L02AE02, leuprolide, The therapeutic efficacy of Rosiglitazone can be decreased when used in combination with Leuprolide.]
[C10AA03, pravastatin, Pravastatin may decrease the excretion rate of Rosiglitazone which could result in a higher serum level.]
[M01CB01, gold sodium thiomalate, Rosiglitazone may decrease the excretion rate of Sodium aurothiomalate which could result in a higher serum level.]
[D11AX24, deoxycholic acid, Deoxycholic acid may increase the excretion rate of Rosiglitazone which could result in a lower serum level and potentially a reduction in efficacy.]
[B05AA05, dextran, Rosiglitazone may decrease the excretion rate of Dextran which could result in a higher serum level.]
[V03AF02, dexrazoxane, Dexrazoxane may decrease the excretion rate of Rosiglitazone which could result in a higher serum level.]
[A16AA01, levocarnitine, Rosiglitazone may decrease the excretion rate of Levocarnitine which could result in a higher serum level.]
[C08CA02, felodipine, The metabolism of Rosiglitazone can be decreased when combined with Felodipine.]
[C08EA01, fendiline, The risk or severity of hypoglycemia can be increased when Fendiline is combined with Rosiglitazone.]
[M01AE04, fenoprofen, Fenoprofen may decrease the excretion rate of Rosiglitazone which could result in a higher serum level.]
[N02AB03, fentanyl, Rosiglitazone may decrease the excretion rate of Fentanyl which could result in a higher serum level.]
[R03CC02, albuterol, Rosiglitazone may decrease the excretion rate of Salbutamol which could result in a higher serum level.]
[L01BB06, clofarabine, Rosiglitazone may decrease the excretion rate of Clofarabine which could result in a higher serum level.]
[N07AX03, cevimeline, Cevimeline may decrease the excretion rate of Rosiglitazone which could result in a higher serum level.]
[G04BD02, flavoxate, Rosiglitazone may decrease the excretion rate of Flavoxate which could result in a higher serum level.]
[C01BC04, flecainide, The metabolism of Rosiglitazone can be decreased when combined with Flecainide.]
[N02BG04, floctafenine, Floctafenine may decrease the excretion rate of Rosiglitazone which could result in a higher serum level.]
[J01CF05, floxacillin, Flucloxacillin may decrease the excretion rate of Rosiglitazone which could result in a higher serum level.]
[J02AC01, fluconazole, The risk or severity of hypoglycemia can be increased when Rosiglitazone is combined with Fluconazole.]
[J02AX01, flucytosine, Rosiglitazone may decrease the excretion rate of Flucytosine which could result in a higher serum level.]
[H02AA02, fludrocortisone, The risk or severity of hyperglycemia can be increased when Fludrocortisone is combined with Rosiglitazone.]
[V03AB25, flumazenil, Rosiglitazone may decrease the excretion rate of Flumazenil which could result in a higher serum level.]
[D07XB01, flumethasone, The risk or severity of hyperglycemia can be increased when Flumethasone is combined with Rosiglitazone.]
[N07CA03, flunarizine, The risk or severity of hypoglycemia can be increased when Flunarizine is combined with Rosiglitazone.]
[N05CD03, flunitrazepam, The metabolism of Rosiglitazone can be decreased when combined with Flunitrazepam.]
[D07AC08, fluocinonide, The risk or severity of hyperglycemia can be increased when Fluocinonide is combined with Rosiglitazone.]
[N06AA14, melitracen, Melitracen may decrease the hypoglycemic activities of Rosiglitazone.]
[H02AB03, fluocortolone, The risk or severity of hyperglycemia can be increased when Fluocortolone is combined with Rosiglitazone.]
[V03AZ01, ethanol, The metabolism of Rosiglitazone can be increased when combined with Ethanol.]
[L01BC09, floxuridine, The metabolism of Rosiglitazone can be decreased when combined with Floxuridine.]
[S01CB05, fluorometholone, The risk or severity of hyperglycemia can be increased when Fluorometholone is combined with Rosiglitazone.]
[L01BC02, fluorouracil, The metabolism of Fluorouracil can be decreased when combined with Rosiglitazone.]
[N06AB03, fluoxetine, The risk or severity of hypoglycemia can be increased when Fluoxetine is combined with Rosiglitazone.]
[G03BA01, fluoxymesterone, Fluoxymesterone may increase the hypoglycemic activities of Rosiglitazone.]
[D07AC07, flurandrenolide, The risk or severity of hyperglycemia can be increased when Flurandrenolide is combined with Rosiglitazone.]
[N05CD01, flurazepam, The metabolism of Rosiglitazone can be decreased when combined with Flurazepam.]
[S01BC04, flurbiprofen, Flurbiprofen may decrease the excretion rate of Rosiglitazone which could result in a higher serum level.]
[N05AG01, fluspirilene, The risk or severity of hypoglycemia can be increased when Fluspirilene is combined with Rosiglitazone.]
[L02BB01, flutamide, Rosiglitazone may decrease the excretion rate of Flutamide which could result in a higher serum level.]
[V04CX02, folic acid, Folic acid may decrease the excretion rate of Rosiglitazone which could result in a higher serum level.]
[S02AA17, fosfomycin, Rosiglitazone may decrease the excretion rate of Fosfomycin which could result in a higher serum level.]
[S01AA07, framycetin, Framycetin may decrease the excretion rate of Rosiglitazone which could result in a higher serum level.]
[L01BC03, tegafur, The metabolism of Tegafur can be decreased when combined with Rosiglitazone.]
[G01AX06, furazolidone, Furazolidone may increase the hypoglycemic activities of Rosiglitazone.]
[J05AE10, darunavir, The metabolism of Rosiglitazone can be decreased when combined with Darunavir.]
[C03CA01, furosemide, The therapeutic efficacy of Rosiglitazone can be decreased when used in combination with Furosemide.]
[N05CF04, eszopiclone, The metabolism of Rosiglitazone can be decreased when combined with Eszopiclone.]
[C08DA02, gallopamil, The risk or severity of hypoglycemia can be increased when Gallopamil is combined with Rosiglitazone.]
[S01AD09, ganciclovir, Rosiglitazone may decrease the excretion rate of Ganciclovir which could result in a higher serum level.]
[C10AB04, gemfibrozil, The metabolism of Rosiglitazone can be decreased when combined with Gemfibrozil.]
[J01XA03, telavancin, Rosiglitazone may decrease the excretion rate of Telavancin which could result in a higher serum level.]
[A10BJ02, liraglutide, The risk or severity of hypoglycemia can be increased when Rosiglitazone is combined with Liraglutide.]
[J05AG04, etravirine, The metabolism of Rosiglitazone can be decreased when combined with Etravirine.]
[N03AD03, methsuximide, The risk or severity of hypoglycemia can be increased when Methsuximide is combined with Rosiglitazone.]
[L01EH01, lapatinib, The metabolism of Lapatinib can be decreased when combined with Rosiglitazone.]
[A10BB01, glyburide, The therapeutic efficacy of Glyburide can be increased when used in combination with Rosiglitazone.]
[A10BB09, gliclazide, The therapeutic efficacy of Gliclazide can be increased when used in combination with Rosiglitazone.]
[A10BB07, glipizide, The therapeutic efficacy of Glipizide can be increased when used in combination with Rosiglitazone.]
[N05CM18, dexmedetomidine, Rosiglitazone may decrease the excretion rate of Dexmedetomidine which could result in a higher serum level.]
[A06AX01, glycerin, The metabolism of Rosiglitazone can be increased when combined with Glycerin.]
[C05AE01, nitroglycerin, The risk or severity of adverse effects can be increased when Nitroglycerin is combined with Rosiglitazone.]
[C02CA04, doxazosin, The metabolism of Doxazosin can be decreased when combined with Rosiglitazone.]
[H01AB01, thyrotropin alfa, Thyrotropin alfa may decrease the hypoglycemic activities of Rosiglitazone.]
[L01EX02, sorafenib, The metabolism of Sorafenib can be decreased when combined with Rosiglitazone.]
[M01CB04, aurothioglucose, Rosiglitazone may decrease the excretion rate of Aurothioglucose which could result in a higher serum level.]
[S01LA03, pegaptanib, Rosiglitazone may decrease the excretion rate of Pegaptanib which could result in a higher serum level.]
[B01AA12, fluindione, The metabolism of Fluindione can be decreased when combined with Rosiglitazone.]
[C09AA09, fosinopril, Rosiglitazone may decrease the excretion rate of Fosinopril which could result in a higher serum level.]
[S01EX01, guanethidine, Rosiglitazone may decrease the excretion rate of Guanethidine which could result in a higher serum level.]
[L02AE03, goserelin, The therapeutic efficacy of Rosiglitazone can be decreased when used in combination with Goserelin.]
[P01BX01, halofantrine, The metabolism of Halofantrine can be decreased when combined with Rosiglitazone.]
[D07AD02, halcinonide, The risk or severity of hyperglycemia can be increased when Halcinonide is combined with Rosiglitazone.]
[N05AD01, haloperidol, The serum concentration of Haloperidol can be increased when it is combined with Rosiglitazone.]
[N01AB01, halothane, The metabolism of Halothane can be decreased when combined with Rosiglitazone.]
[L02AE05, histrelin, The therapeutic efficacy of Rosiglitazone can be decreased when used in combination with Histrelin.]
[N05AH04, quetiapine, The therapeutic efficacy of Rosiglitazone can be decreased when used in combination with Quetiapine.]
[N06BX13, idebenone, Rosiglitazone may decrease the excretion rate of Idebenone which could result in a higher serum level.]
[A10AD05, insulin aspart, human, The risk or severity of congestive heart failure can be increased when Insulin aspart is combined with Rosiglitazone.]
[M04AA01, allopurinol, Rosiglitazone may decrease the excretion rate of Allopurinol which could result in a higher serum level.]
[C09CA01, losartan, Rosiglitazone may decrease the excretion rate of Losartan which could result in a higher serum level.]
[G03DC01, allylestrenol, Rosiglitazone may decrease the excretion rate of Allylestrenol which could result in a higher serum level.]
[A07EC02, mesalamine, Mesalazine may increase the hypoglycemic activities of Rosiglitazone.]
[C01CE02, milrinone, Milrinone may decrease the excretion rate of Rosiglitazone which could result in a higher serum level.]
[N05CA16, hexobarbital, The metabolism of Hexobarbital can be decreased when combined with Rosiglitazone.]
[J05AG01, nevirapine, The metabolism of Rosiglitazone can be decreased when combined with Nevirapine.]
[C08CA10, nilvadipine, The metabolism of Rosiglitazone can be decreased when combined with Nilvadipine.]
[M02AA26, nimesulide, The risk or severity of hypoglycemia can be increased when Nimesulide is combined with Rosiglitazone.]
[C09AA04, perindopril, Rosiglitazone may decrease the excretion rate of Perindopril which could result in a higher serum level.]
[C02DB02, hydralazine, Rosiglitazone may decrease the excretion rate of Hydralazine which could result in a higher serum level.]
[C03AA03, hydrochlorothiazide, The therapeutic efficacy of Rosiglitazone can be decreased when used in combination with Hydrochlorothiazide.]
[S02BA01, hydrocortisone, The risk or severity of hyperglycemia can be increased when Hydrocortisone is combined with Rosiglitazone.]
[D07AC16, hydrocortisone aceponate, The risk or severity of hyperglycemia can be increased when Hydrocortisone aceponate is combined with Rosiglitazone.]
[D07AB02, hydrocortisone butyrate, The risk or severity of hyperglycemia can be increased when Hydrocortisone butyrate is combined with Rosiglitazone.]
[D07AB11, hydrocortisone probutate, The risk or severity of hyperglycemia can be increased when Hydrocortisone probutate is combined with Rosiglitazone.]
[C03AA02, hydroflumethiazide, The therapeutic efficacy of Rosiglitazone can be decreased when used in combination with Hydroflumethiazide.]
[B05XA17, potassium acetate, Rosiglitazone may decrease the excretion rate of Potassium acetate which could result in a higher serum level.]
[A12BA02, potassium citrate, Potassium citrate may increase the excretion rate of Rosiglitazone which could result in a lower serum level and potentially a reduction in efficacy.]
[V03AB33, hydroxocobalamin, Hydroxocobalamin may decrease the excretion rate of Rosiglitazone which could result in a higher serum level.]
[G04BD06, propiverine, Rosiglitazone may decrease the excretion rate of Propiverine which could result in a higher serum level.]
[P01BA02, hydroxychloroquine, The therapeutic efficacy of Rosiglitazone can be increased when used in combination with Hydroxychloroquine.]
[B05AA07, hetastarch, Rosiglitazone may decrease the excretion rate of Hydroxyethyl Starch which could result in a higher serum level.]
[J04AB04, rifabutin, The metabolism of Rosiglitazone can be increased when combined with Rifabutin.]
[S01BA13, rimexolone, The risk or severity of hyperglycemia can be increased when Rimexolone is combined with Rosiglitazone.]
[R02AX02, ibuprofen, The metabolism of Ibuprofen can be decreased when combined with Rosiglitazone.]
[B05XA08, sodium acetate, Rosiglitazone may decrease the excretion rate of Sodium acetate which could result in a higher serum level.]
[L01DB06, idarubicin, The metabolism of Idarubicin can be decreased when combined with Rosiglitazone.]
[L01AA06, ifosfamide, The metabolism of Rosiglitazone can be increased when combined with Ifosfamide.]
[H01AC02, somatrem, Somatrem may decrease the hypoglycemic activities of Rosiglitazone.]
[N06AA02, imipramine, Imipramine may decrease the hypoglycemic activities of Rosiglitazone.]
[L01CD01, paclitaxel, The metabolism of Paclitaxel can be decreased when combined with Rosiglitazone.]
[R01AD07, tixocortol, The risk or severity of hyperglycemia can be increased when Tixocortol is combined with Rosiglitazone.]
[L01CE01, topotecan, Rosiglitazone may decrease the excretion rate of Topotecan which could result in a higher serum level.]
[C03BA11, indapamide, The therapeutic efficacy of Rosiglitazone can be decreased when used in combination with Indapamide.]
[S01BC01, indomethacin, The risk or severity of hypoglycemia can be increased when Indomethacin is combined with Rosiglitazone.]
[A11HA07, inositol, Rosiglitazone may decrease the excretion rate of Inositol which could result in a higher serum level.]
[N06AX17, milnacipran, The risk or severity of hypoglycemia can be increased when Milnacipran is combined with Rosiglitazone.]
[S01XA28, varenicline, Rosiglitazone may decrease the excretion rate of Varenicline which could result in a higher serum level.]
[N01BB08, articaine, The therapeutic efficacy of Rosiglitazone can be decreased when used in combination with Articaine.]
[A10BH01, sitagliptin, The risk or severity of hypoglycemia can be increased when Rosiglitazone is combined with Sitagliptin.]
[N05BA12, alprazolam, Alprazolam may decrease the excretion rate of Rosiglitazone which could result in a higher serum level.]
[N05CH02, ramelteon, Rosiglitazone may decrease the excretion rate of Ramelteon which could result in a higher serum level.]
[A10BH02, vildagliptin, The risk or severity of hypoglycemia can be increased when Rosiglitazone is combined with Vildagliptin.]
[C10AA06, cerivastatin, Rosiglitazone may decrease the excretion rate of Cerivastatin which could result in a higher serum level.]
[C07AA01, alprenolol, The therapeutic efficacy of Rosiglitazone can be increased when used in combination with Alprenolol.]
[C03BA02, quinethazone, The therapeutic efficacy of Rosiglitazone can be decreased when used in combination with Quinethazone.]
[V03AB01, ipecac, Rosiglitazone may decrease the excretion rate of Ipecac which could result in a higher serum level.]
[N06AA13, iprindole, Iprindole may decrease the hypoglycemic activities of Rosiglitazone.]
[N06AF05, iproniazid, The metabolism of Rosiglitazone can be decreased when combined with Iproniazid.]
[N06AF01, isocarboxazid, Isocarboxazid may increase the hypoglycemic activities of Rosiglitazone.]
[P01AX06, atovaquone, The metabolism of Rosiglitazone can be decreased when combined with Atovaquone.]
[N01AB06, isoflurane, The metabolism of Isoflurane can be decreased when combined with Rosiglitazone.]
[J04AC01, isoniazid, The therapeutic efficacy of Rosiglitazone can be decreased when used in combination with Isoniazid.]
[J05AX05, inosine pranobex, Rosiglitazone may decrease the excretion rate of Inosine pranobex which could result in a higher serum level.]
