[S02DA03, antipyrine, The metabolism of Antipyrine can be increased when combined with Apremilast.]
[G04BD04, oxybutynin, The metabolism of Oxybutynin can be increased when combined with Apremilast.]
[A08AA04, dexfenfluramine, The metabolism of Dexfenfluramine can be increased when combined with Apremilast.]
[L04AB04, adalimumab, The therapeutic efficacy of Apremilast can be decreased when used in combination with Adalimumab.]
[L01EB01, gefitinib, The metabolism of Gefitinib can be increased when combined with Apremilast.]
[N06BA02, dextroamphetamine, The metabolism of Amphetamine can be increased when combined with Apremilast.]
[R05DA09, dextromethorphan, The metabolism of Dextromethorphan can be increased when combined with Apremilast.]
[N03AC01, paramethadione, The metabolism of Paramethadione can be increased when combined with Apremilast.]
[N06AB05, paroxetine, The metabolism of Paroxetine can be increased when combined with Apremilast.]
[B01AC04, clopidogrel, The metabolism of Clopidogrel can be increased when combined with Apremilast.]
[C01DA05, pentaerythritol tetranitrate, Apremilast may decrease the excretion rate of Pentaerythritol tetranitrate which could result in a higher serum level.]
[C04AD01, pentifylline, The metabolism of Pentifylline can be increased when combined with Apremilast.]
[P03AC04, permethrin, Permethrin may decrease the excretion rate of Apremilast which could result in a higher serum level.]
[N05BA01, diazepam, The metabolism of Diazepam can be increased when combined with Apremilast.]
[R05DA08, pholcodine, Apremilast may decrease the excretion rate of Pholcodine which could result in a higher serum level.]
[S01EC02, dichlorphenamide, Diclofenamide may increase the excretion rate of Apremilast which could result in a lower serum level and potentially a reduction in efficacy.]
[S01BC03, diclofenac, The metabolism of Diclofenac can be increased when combined with Apremilast.]
[J05AD01, foscarnet, Foscarnet may decrease the excretion rate of Apremilast which could result in a higher serum level.]
[A03AA07, dicyclomine, Dicyclomine may decrease the excretion rate of Apremilast which could result in a higher serum level.]
[J05AF02, didanosine, Didanosine may decrease the excretion rate of Apremilast which could result in a higher serum level.]
[A10BG03, pioglitazone, The metabolism of Pioglitazone can be increased when combined with Apremilast.]
[L01DC04, ixabepilone, The metabolism of Ixabepilone can be increased when combined with Apremilast.]
[L01EB02, erlotinib, The metabolism of Erlotinib can be increased when combined with Apremilast.]
[L01DB08, pirarubicin, The risk or severity of adverse effects can be increased when Apremilast is combined with Pirarubicin.]
[C03CA03, piretanide, Piretanide may increase the excretion rate of Apremilast which could result in a lower serum level and potentially a reduction in efficacy.]
[L02AA01, diethylstilbestrol, The metabolism of Diethylstilbestrol can be increased when combined with Apremilast.]
[C08CA03, isradipine, The metabolism of Apremilast can be decreased when combined with Isradipine.]
[D07XC04, diflucortolone, The risk or severity of adverse effects can be increased when Apremilast is combined with Difluocortolone.]
[N02BA11, diflunisal, Diflunisal may decrease the excretion rate of Apremilast which could result in a higher serum level.]
[C01AA04, digitoxin, The metabolism of Digitoxin can be increased when combined with Apremilast.]
[C01AA05, digoxin, Apremilast may decrease the excretion rate of Digoxin which could result in a higher serum level.]
[C02DB01, dihydralazine, The metabolism of Dihydralazine can be increased when combined with Apremilast.]
[L01XX24, pegaspargase, The risk or severity of adverse effects can be increased when Pegaspargase is combined with Apremilast.]
[C04AE04, dihydroergocristine, The metabolism of Dihydroergocristine can be increased when combined with Apremilast.]
[N02CA01, dihydroergotamine, The metabolism of Dihydroergotamine can be increased when combined with Apremilast.]
[N02AA03, hydromorphone, The metabolism of Hydromorphone can be increased when combined with Apremilast.]
[L04AX04, lenalidomide, The risk or severity of adverse effects can be increased when Lenalidomide is combined with Apremilast.]
[J05AE08, atazanavir, The metabolism of Apremilast can be decreased when combined with Atazanavir.]
[B01AC21, treprostinil, The metabolism of Treprostinil can be increased when combined with Apremilast.]
[H03BC01, potassium perchlorate, Apremilast may decrease the excretion rate of Potassium perchlorate which could result in a higher serum level.]
[V03AB04, pralidoxime, Pralidoxime may decrease the excretion rate of Apremilast which could result in a higher serum level.]
[C08DB01, diltiazem, The metabolism of Diltiazem can be increased when combined with Apremilast.]
[V03AB09, dimercaprol, Apremilast may decrease the excretion rate of Dimercaprol which could result in a higher serum level.]
[M02AX03, dimethyl sulfoxide, Dimethyl sulfoxide may decrease the excretion rate of Apremilast which could result in a higher serum level.]
[N06BC02, propentofylline, The metabolism of Propentofylline can be increased when combined with Apremilast.]
[N02BB04, propyphenazone, Propyphenazone may decrease the excretion rate of Apremilast which could result in a higher serum level.]
[M01AB14, proglumetacin, Proglumetacin may decrease the excretion rate of Apremilast which could result in a higher serum level.]
[R03DA03, proxyphylline, The metabolism of Proxyphylline can be increased when combined with Apremilast.]
[R06AA02, diphenhydramine, The metabolism of Diphenhydramine can be increased when combined with Apremilast.]
[N05CD10, quazepam, The metabolism of Quazepam can be increased when combined with Apremilast.]
[A03FA02, cisapride, The metabolism of Cisapride can be increased when combined with Apremilast.]
[S01XA23, sirolimus, The metabolism of Sirolimus can be increased when combined with Apremilast.]
[N05AL04, remoxipride, The metabolism of Remoxipride can be increased when combined with Apremilast.]
[S01AX06, resorcinol, Apremilast may decrease the excretion rate of Resorcinol which could result in a higher serum level.]
[C01BA03, disopyramide, The metabolism of Disopyramide can be increased when combined with Apremilast.]
[L04AA23, natalizumab, The risk or severity of adverse effects can be increased when Apremilast is combined with Natalizumab.]
[P03AA04, disulfiram, The metabolism of Disulfiram can be increased when combined with Apremilast.]
[S02AA12, rifamycin SV, The metabolism of Apremilast can be increased when combined with Rifamycin.]
[J04AB05, rifapentine, The metabolism of Apremilast can be increased when combined with Rifapentine.]
[N07XX02, riluzole, The metabolism of Riluzole can be increased when combined with Apremilast.]
[N05AX08, risperidone, The metabolism of Risperidone can be increased when combined with Apremilast.]
[R06AE09, levocetirizine, Apremilast may decrease the excretion rate of Levocetirizine which could result in a higher serum level.]
[L04AA21, efalizumab, The risk or severity of adverse effects can be increased when Efalizumab is combined with Apremilast.]
[N01BB09, ropivacaine, The metabolism of Ropivacaine can be increased when combined with Apremilast.]
[J01MB01, rosoxacin, The metabolism of Apremilast can be decreased when combined with Rosoxacin.]
[L01EX01, sunitinib, The metabolism of Sunitinib can be increased when combined with Apremilast.]
[A04AD12, aprepitant, The metabolism of Aprepitant can be increased when combined with Apremilast.]
[C03XA01, tolvaptan, The metabolism of Tolvaptan can be increased when combined with Apremilast.]
[L01XG01, bortezomib, The metabolism of Bortezomib can be increased when combined with Apremilast.]
[G04BE08, tadalafil, The metabolism of Tadalafil can be increased when combined with Apremilast.]
[S01BC05, ketorolac, The metabolism of Ketorolac can be increased when combined with Apremilast.]
[C02KX02, ambrisentan, The metabolism of Ambrisentan can be increased when combined with Apremilast.]
[C01EB18, ranolazine, The metabolism of Ranolazine can be increased when combined with Apremilast.]
[N02BA06, salsalate, Salsalate may decrease the excretion rate of Apremilast which could result in a higher serum level.]
[R03AC12, salmeterol, The metabolism of Salmeterol can be increased when combined with Apremilast.]
[H05BA01, salmon calcitonin, Salmon calcitonin may decrease the excretion rate of Apremilast which could result in a higher serum level.]
[C01CA07, dobutamine, Dobutamine may decrease the excretion rate of Apremilast which could result in a higher serum level.]
[A03FA03, domperidone, The metabolism of Domperidone can be increased when combined with Apremilast.]
[C01CA04, dopamine, Dopamine may decrease the excretion rate of Apremilast which could result in a higher serum level.]
[N06AA16, dothiepin, The metabolism of Dosulepin can be increased when combined with Apremilast.]
[N06AA12, doxepin, The metabolism of Doxepin can be increased when combined with Apremilast.]
[L01DB01, doxorubicin, The metabolism of Doxorubicin can be increased when combined with Apremilast.]
[J01AA02, doxycycline, Doxycycline may decrease the excretion rate of Apremilast which could result in a higher serum level.]
[N06AB06, sertraline, The metabolism of Sertraline can be increased when combined with Apremilast.]
[N01AB08, sevoflurane, The metabolism of Sevoflurane can be increased when combined with Apremilast.]
[A08AA10, sibutramine, Sibutramine may decrease the excretion rate of Apremilast which could result in a higher serum level.]
[C10AA01, simvastatin, The metabolism of Simvastatin can be increased when combined with Apremilast.]
[A12CA02, sodium sulfate, Apremilast may decrease the excretion rate of Sodium sulfate which could result in a higher serum level.]
[R03DA01, dyphylline, Dyphylline may decrease the excretion rate of Apremilast which could result in a higher serum level.]
[N02CC01, sumatriptan, Sumatriptan may decrease the excretion rate of Apremilast which could result in a higher serum level.]
[V04CX07, edrophonium, Edrophonium may decrease the excretion rate of Apremilast which could result in a higher serum level.]
[C07AB13, talinolol, The metabolism of Talinolol can be increased when combined with Apremilast.]
[H01AA01, corticotropin, The risk or severity of adverse effects can be increased when Corticotropin is combined with Apremilast.]
[J01MA05, temafloxacin, The metabolism of Temafloxacin can be increased when combined with Apremilast.]
[L01AX03, temozolomide, The risk or severity of adverse effects can be increased when Temozolomide is combined with Apremilast.]
[M01AC02, tenoxicam, The metabolism of Tenoxicam can be increased when combined with Apremilast.]
[D01BA02, terbinafine, The metabolism of Terbinafine can be increased when combined with Apremilast.]
[C07AA16, tertatolol, The metabolism of Tertatolol can be increased when combined with Apremilast.]
[N06AX14, tianeptine, The metabolism of Tianeptine can be increased when combined with Apremilast.]
[M01AG02, tolfenamic acid, Tolfenamic acid may decrease the excretion rate of Apremilast which could result in a higher serum level.]
[N06AG03, toloxatone, Apremilast may decrease the excretion rate of Toloxatone which could result in a higher serum level.]
[N06BA09, atomoxetine, The metabolism of Atomoxetine can be increased when combined with Apremilast.]
[N03AX11, topiramate, Topiramate may decrease the excretion rate of Apremilast which could result in a higher serum level.]
[C03CA04, torsemide, The metabolism of Torasemide can be increased when combined with Apremilast.]
[N05CC01, chloral hydrate, Chloral hydrate may decrease the excretion rate of Apremilast which could result in a higher serum level.]
[H02CA01, trilostane, The risk or severity of adverse effects can be increased when Trilostane is combined with Apremilast.]
[L01AA07, trofosfamide, The risk or severity of adverse effects can be increased when Apremilast is combined with Trofosfamide.]
[N01AB04, enflurane, The metabolism of Enflurane can be increased when combined with Apremilast.]
[J01MA04, enoxacin, The metabolism of Apremilast can be decreased when combined with Enoxacin.]
[L01CA04, vinorelbine, The metabolism of Vinorelbine can be increased when combined with Apremilast.]
[S01GX10, epinastine, The metabolism of Epinastine can be increased when combined with Apremilast.]
[N06AX16, venlafaxine, The metabolism of Venlafaxine can be increased when combined with Apremilast.]
[C08CA12, mepirodipine, The metabolism of Apremilast can be decreased when combined with Barnidipine.]
[L01DB03, epirubicin, The risk or severity of adverse effects can be increased when Epirubicin is combined with Apremilast.]
[N05CF02, zolpidem, The metabolism of Zolpidem can be increased when combined with Apremilast.]
[M01AB04, zomepirac, Zomepirac may decrease the excretion rate of Apremilast which could result in a higher serum level.]
[N03AX15, zonisamide, The metabolism of Zonisamide can be increased when combined with Apremilast.]
[N05CF01, zopiclone, The metabolism of Zopiclone can be increased when combined with Apremilast.]
[N05AX11, zotepine, The metabolism of Zotepine can be increased when combined with Apremilast.]
[L01XA02, carboplatin, The risk or severity of adverse effects can be increased when Carboplatin is combined with Apremilast.]
[C02AC02, guanfacine, Guanfacine may decrease the excretion rate of Apremilast which could result in a higher serum level.]
[N02CA02, ergotamine, The metabolism of Apremilast can be decreased when combined with Ergotamine.]
[L03AX05, pidotimod, Apremilast may decrease the excretion rate of Pidotimod which could result in a higher serum level.]
[S01AA17, erythromycin, The metabolism of Erythromycin can be increased when combined with Apremilast.]
[N05CD04, estazolam, Estazolam may decrease the excretion rate of Apremilast which could result in a higher serum level.]
[A02BC02, pantoprazole, The metabolism of Pantoprazole can be increased when combined with Apremilast.]
[H05BX01, cinacalcet, The metabolism of Cinacalcet can be increased when combined with Apremilast.]
[G03CA03, estradiol, The metabolism of Estradiol can be increased when combined with Apremilast.]
[L01XX11, estramustine, The risk or severity of adverse effects can be increased when Estramustine is combined with Apremilast.]
[G03CA57, estrogens, conjugated (USP), The metabolism of Conjugated estrogens can be increased when combined with Apremilast.]
[J04AK02, ethambutol, Ethambutol may decrease the excretion rate of Apremilast which could result in a higher serum level.]
[R03BA09, fluticasone furoate, The metabolism of Fluticasone furoate can be increased when combined with Apremilast.]
[R03BA05, fluticasone, The metabolism of Fluticasone can be increased when combined with Apremilast.]
[C10AA04, fluvastatin, The metabolism of Fluvastatin can be increased when combined with Apremilast.]
[V08CA03, gadodiamide, Gadodiamide may decrease the excretion rate of Apremilast which could result in a higher serum level.]
[L02AA03, ethinyl estradiol, The metabolism of Ethinylestradiol can be increased when combined with Apremilast.]
[C01BD05, ibutilide, Ibutilide may decrease the excretion rate of Apremilast which could result in a higher serum level.]
[N03AD01, ethosuximide, The metabolism of Ethosuximide can be increased when combined with Apremilast.]
[M01AC06, meloxicam, The metabolism of Meloxicam can be increased when combined with Apremilast.]
[S01XA06, ethylmorphine, The metabolism of Ethylmorphine can be increased when combined with Apremilast.]
[N01AX07, etomidate, Etomidate may decrease the excretion rate of Apremilast which could result in a higher serum level.]
[L01CB01, etoposide, The metabolism of Etoposide can be increased when combined with Apremilast.]
[N05AE03, sertindole, The metabolism of Sertindole can be increased when combined with Apremilast.]
[L04AD02, tacrolimus, Tacrolimus may increase the immunosuppressive activities of Apremilast.]
[R06AX11, astemizole, The metabolism of Astemizole can be increased when combined with Apremilast.]
[R06AX12, terfenadine, The metabolism of Apremilast can be decreased when combined with Terfenadine.]
[P01AX07, trimetrexate, Trimetrexate may decrease the excretion rate of Apremilast which could result in a higher serum level.]
[N06AX12, bupropion, The metabolism of Bupropion can be increased when combined with Apremilast.]
[N06AB08, fluvoxamine, The metabolism of Fluvoxamine can be increased when combined with Apremilast.]
[C01BB03, tocainide, The metabolism of Tocainide can be increased when combined with Apremilast.]
[C01BC08, encainide, The metabolism of Encainide can be increased when combined with Apremilast.]
[L02AE02, leuprolide, Leuprolide may decrease the excretion rate of Apremilast which could result in a higher serum level.]
[L04AA02, muromonab-CD3, The risk or severity of adverse effects can be increased when Muromonab is combined with Apremilast.]
[M01CB01, gold sodium thiomalate, Apremilast may decrease the excretion rate of Sodium aurothiomalate which could result in a higher serum level.]
[B05AA05, dextran, Apremilast may decrease the excretion rate of Dextran which could result in a higher serum level.]
[V03AF02, dexrazoxane, The risk or severity of adverse effects can be increased when Dexrazoxane is combined with Apremilast.]
[A02BA03, famotidine, The metabolism of Apremilast can be decreased when combined with Famotidine.]
[A16AA01, levocarnitine, Levocarnitine may decrease the excretion rate of Apremilast which could result in a higher serum level.]
[P02CA03, albendazole, The metabolism of Albendazole can be increased when combined with Apremilast.]
[C08CA02, felodipine, The metabolism of Felodipine can be increased when combined with Apremilast.]
[N03AX26, fenfluramine, The metabolism of Fenfluramine can be increased when combined with Apremilast.]
[M01AE04, fenoprofen, Fenoprofen may decrease the excretion rate of Apremilast which could result in a higher serum level.]
[N02AB03, fentanyl, The metabolism of Fentanyl can be increased when combined with Apremilast.]
[R03CC02, albuterol, Salbutamol may decrease the excretion rate of Apremilast which could result in a higher serum level.]
[L01BB06, clofarabine, The risk or severity of adverse effects can be increased when Clofarabine is combined with Apremilast.]
[L04AA40, cladribine, The risk or severity of adverse effects can be increased when Cladribine is combined with Apremilast.]
[N07AX03, cevimeline, The metabolism of Cevimeline can be increased when combined with Apremilast.]
[G04BD02, flavoxate, Flavoxate may decrease the excretion rate of Apremilast which could result in a higher serum level.]
[C01BC04, flecainide, The metabolism of Flecainide can be increased when combined with Apremilast.]
[N02BG04, floctafenine, Floctafenine may decrease the excretion rate of Apremilast which could result in a higher serum level.]
[J02AC01, fluconazole, The metabolism of Apremilast can be decreased when combined with Fluconazole.]
[J02AX01, flucytosine, The risk or severity of adverse effects can be increased when Flucytosine is combined with Apremilast.]
[H02AA02, fludrocortisone, The risk or severity of adverse effects can be increased when Fludrocortisone is combined with Apremilast.]
[V03AB25, flumazenil, Flumazenil may decrease the excretion rate of Apremilast which could result in a higher serum level.]
[N07CA03, flunarizine, The metabolism of Flunarizine can be increased when combined with Apremilast.]
[N05CD03, flunitrazepam, The metabolism of Flunitrazepam can be increased when combined with Apremilast.]
[D07AC08, fluocinonide, The risk or severity of adverse effects can be increased when Fluocinonide is combined with Apremilast.]
[H02AB03, fluocortolone, The risk or severity of adverse effects can be increased when Apremilast is combined with Fluocortolone.]
[V03AZ01, ethanol, The metabolism of Ethanol can be increased when combined with Apremilast.]
[L01BC09, floxuridine, The risk or severity of adverse effects can be increased when Floxuridine is combined with Apremilast.]
[S01CB05, fluorometholone, The risk or severity of adverse effects can be increased when Fluorometholone is combined with Apremilast.]
[L01BC02, fluorouracil, The metabolism of Fluorouracil can be increased when combined with Apremilast.]
[N06AB03, fluoxetine, The metabolism of Fluoxetine can be increased when combined with Apremilast.]
[N05CD01, flurazepam, The metabolism of Flurazepam can be increased when combined with Apremilast.]
[S01BC04, flurbiprofen, The metabolism of Flurbiprofen can be increased when combined with Apremilast.]
[L02BB01, flutamide, The metabolism of Flutamide can be increased when combined with Apremilast.]
[V04CX02, folic acid, Folic acid may decrease the excretion rate of Apremilast which could result in a higher serum level.]
[S02AA17, fosfomycin, Fosfomycin may decrease the excretion rate of Apremilast which could result in a higher serum level.]
[S01AA07, framycetin, Framycetin may decrease the excretion rate of Apremilast which could result in a higher serum level.]
[L01BC03, tegafur, The metabolism of Tegafur can be increased when combined with Apremilast.]
[J05AE10, darunavir, The metabolism of Apremilast can be decreased when combined with Darunavir.]
[C03CA01, furosemide, Furosemide may increase the excretion rate of Apremilast which could result in a lower serum level and potentially a reduction in efficacy.]
[N05CF04, eszopiclone, The metabolism of Eszopiclone can be increased when combined with Apremilast.]
[N06DA04, galantamine, The metabolism of Galantamine can be increased when combined with Apremilast.]
[S01AD09, ganciclovir, Ganciclovir may decrease the excretion rate of Apremilast which could result in a higher serum level.]
[C10AB04, gemfibrozil, The metabolism of Apremilast can be decreased when combined with Gemfibrozil.]
[J01XA03, telavancin, Apremilast may decrease the excretion rate of Telavancin which could result in a higher serum level.]
[L01EA02, dasatinib, The metabolism of Dasatinib can be increased when combined with Apremilast.]
[N04BC06, cabergoline, The metabolism of Cabergoline can be increased when combined with Apremilast.]
[C01CA21, cafedrine, The metabolism of Cafedrine can be increased when combined with Apremilast.]
[J05AG04, etravirine, The metabolism of Etravirine can be increased when combined with Apremilast.]
[N03AD03, methsuximide, The metabolism of Methsuximide can be increased when combined with Apremilast.]
[N01AH02, alfentanil, The metabolism of Alfentanil can be increased when combined with Apremilast.]
[L01EH01, lapatinib, The metabolism of Lapatinib can be increased when combined with Apremilast.]
[A10BB01, glyburide, The metabolism of Glyburide can be increased when combined with Apremilast.]
[A10BB09, gliclazide, The metabolism of Gliclazide can be increased when combined with Apremilast.]
[A10BB07, glipizide, The metabolism of Glipizide can be increased when combined with Apremilast.]
[N05CM18, dexmedetomidine, The metabolism of Apremilast can be decreased when combined with Dexmedetomidine.]
[C01BD04, dofetilide, The metabolism of Dofetilide can be increased when combined with Apremilast.]
[C02CA04, doxazosin, The metabolism of Doxazosin can be increased when combined with Apremilast.]
[L01EX02, sorafenib, The metabolism of Sorafenib can be increased when combined with Apremilast.]
[C07AB09, esmolol, The metabolism of Esmolol can be increased when combined with Apremilast.]
[M01CB04, aurothioglucose, Apremilast may decrease the excretion rate of Aurothioglucose which could result in a higher serum level.]
[S01LA03, pegaptanib, Pegaptanib may decrease the excretion rate of Apremilast which could result in a higher serum level.]
[B01AA12, fluindione, The metabolism of Fluindione can be increased when combined with Apremilast.]
[C09AA09, fosinopril, Fosinopril may decrease the excretion rate of Apremilast which could result in a higher serum level.]
[S01EX01, guanethidine, Guanethidine may decrease the excretion rate of Apremilast which could result in a higher serum level.]
[L02AE03, goserelin, Goserelin may decrease the excretion rate of Apremilast which could result in a higher serum level.]
[P01BX01, halofantrine, The metabolism of Halofantrine can be increased when combined with Apremilast.]
[N05AD01, haloperidol, The serum concentration of Haloperidol can be increased when it is combined with Apremilast.]
[N01AB01, halothane, The metabolism of Halothane can be increased when combined with Apremilast.]
[N05AH04, quetiapine, The metabolism of Quetiapine can be increased when combined with Apremilast.]
[N06BX13, idebenone, Apremilast may decrease the excretion rate of Idebenone which could result in a higher serum level.]
[L01CE02, irinotecan, The metabolism of Irinotecan can be increased when combined with Apremilast.]
[M04AA01, allopurinol, Allopurinol may decrease the excretion rate of Apremilast which could result in a higher serum level.]
[C09CA01, losartan, The metabolism of Losartan can be increased when combined with Apremilast.]
[G03DC01, allylestrenol, The metabolism of Allylestrenol can be increased when combined with Apremilast.]
[A07EC02, mesalamine, Mesalazine may decrease the excretion rate of Apremilast which could result in a higher serum level.]
[C01CE02, milrinone, Milrinone may decrease the excretion rate of Apremilast which could result in a higher serum level.]
[L01XX03, altretamine, The risk or severity of adverse effects can be increased when Altretamine is combined with Apremilast.]
[N05CA16, hexobarbital, The metabolism of Hexobarbital can be increased when combined with Apremilast.]
[J05AG01, nevirapine, The metabolism of Nevirapine can be increased when combined with Apremilast.]
[C08CA10, nilvadipine, The metabolism of Nilvadipine can be increased when combined with Apremilast.]
[M02AA26, nimesulide, Nimesulide may decrease the excretion rate of Apremilast which could result in a higher serum level.]
[C09AA04, perindopril, Perindopril may decrease the excretion rate of Apremilast which could result in a higher serum level.]
[C02DB02, hydralazine, Hydralazine may decrease the excretion rate of Apremilast which could result in a higher serum level.]
[C03AA03, hydrochlorothiazide, Hydrochlorothiazide may increase the excretion rate of Apremilast which could result in a lower serum level and potentially a reduction in efficacy.]
[R05DA03, hydrocodone, The metabolism of Hydrocodone can be increased when combined with Apremilast.]
[S02BA01, hydrocortisone, The metabolism of Hydrocortisone can be increased when combined with Apremilast.]
[C03AA02, hydroflumethiazide, Hydroflumethiazide may increase the excretion rate of Apremilast which could result in a lower serum level and potentially a reduction in efficacy.]
[B05XA17, potassium acetate, Apremilast may decrease the excretion rate of Potassium acetate which could result in a higher serum level.]
[A12BA02, potassium citrate, Potassium citrate may increase the excretion rate of Apremilast which could result in a lower serum level and potentially a reduction in efficacy.]
[V03AB33, hydroxocobalamin, Hydroxocobalamin may decrease the excretion rate of Apremilast which could result in a higher serum level.]
[G04BD06, propiverine, Apremilast may decrease the excretion rate of Propiverine which could result in a higher serum level.]
[P01BA02, hydroxychloroquine, The metabolism of Hydroxychloroquine can be increased when combined with Apremilast.]
[B05AA07, hetastarch, Apremilast may decrease the excretion rate of Hydroxyethyl Starch which could result in a higher serum level.]
[L01XX05, hydroxyurea, The risk or severity of adverse effects can be increased when Hydroxyurea is combined with Apremilast.]
[N05BB01, hydroxyzine, The metabolism of Hydroxyzine can be increased when combined with Apremilast.]
[R02AX02, ibuprofen, The metabolism of Ibuprofen can be increased when combined with Apremilast.]
[B05XA08, sodium acetate, Apremilast may decrease the excretion rate of Sodium acetate which could result in a higher serum level.]
[L01DB06, idarubicin, The metabolism of Idarubicin can be increased when combined with Apremilast.]
[L01AA06, ifosfamide, The metabolism of Ifosfamide can be increased when combined with Apremilast.]
[H01AC02, somatrem, The metabolism of Apremilast can be increased when combined with Somatrem.]
[N06AA02, imipramine, The metabolism of Imipramine can be increased when combined with Apremilast.]
[L01CD01, paclitaxel, The metabolism of Paclitaxel can be increased when combined with Apremilast.]
[R01AD07, tixocortol, The risk or severity of adverse effects can be increased when Apremilast is combined with Tixocortol.]
[M03BX02, tizanidine, The metabolism of Tizanidine can be increased when combined with Apremilast.]
[L01CE01, topotecan, The risk or severity of adverse effects can be increased when Topotecan is combined with Apremilast.]
[C03BA11, indapamide, Indapamide may increase the excretion rate of Apremilast which could result in a lower serum level and potentially a reduction in efficacy.]
[S01BC01, indomethacin, The metabolism of Indomethacin can be increased when combined with Apremilast.]
[A11HA07, inositol, Apremilast may decrease the excretion rate of Inositol which could result in a higher serum level.]
[L03AB04, interferon alfa-2a, The risk or severity of adverse effects can be increased when Interferon alfa-2a is combined with Apremilast.]
[L03AB05, interferon alfa-2b, The risk or severity of adverse effects can be increased when Interferon alfa-2b is combined with Apremilast.]
[N06AX17, milnacipran, The metabolism of Apremilast can be decreased when combined with Milnacipran.]
[S01XA28, varenicline, Varenicline may decrease the excretion rate of Apremilast which could result in a higher serum level.]
[L04AA25, eculizumab, The risk or severity of adverse effects can be increased when Eculizumab is combined with Apremilast.]
[A10BH01, sitagliptin, The metabolism of Sitagliptin can be increased when combined with Apremilast.]
[N05BA12, alprazolam, The metabolism of Alprazolam can be increased when combined with Apremilast.]
[N05CH02, ramelteon, The metabolism of Ramelteon can be increased when combined with Apremilast.]
[C10AA06, cerivastatin, The metabolism of Cerivastatin can be increased when combined with Apremilast.]
[L01XX35, anagrelide, The metabolism of Anagrelide can be increased when combined with Apremilast.]
[C07AA01, alprenolol, The metabolism of Alprenolol can be increased when combined with Apremilast.]
[C03BA02, quinethazone, Quinethazone may increase the excretion rate of Apremilast which could result in a lower serum level and potentially a reduction in efficacy.]
[L03AB09, interferon alfacon-1, The risk or severity of adverse effects can be increased when Interferon alfacon-1 is combined with Apremilast.]
[V03AB01, ipecac, The metabolism of Ipecac can be increased when combined with Apremilast.]
[J05AB13, penciclovir, The metabolism of Penciclovir can be increased when combined with Apremilast.]
[N01AB06, isoflurane, The metabolism of Isoflurane can be increased when combined with Apremilast.]
[J04AC01, isoniazid, The metabolism of Apremilast can be decreased when combined with Isoniazid.]
[J05AX05, inosine pranobex, Apremilast may decrease the excretion rate of Inosine pranobex which could result in a higher serum level.]
[C01DA14, isosorbide mononitrate, Isosorbide mononitrate may decrease the excretion rate of Apremilast which could result in a higher serum level.]
[D10BA01, isotretinoin, Isotretinoin may decrease the excretion rate of Apremilast which could result in a higher serum level.]
[S01AA24, kanamycin, Apremilast may decrease the excretion rate of Kanamycin which could result in a higher serum level.]
[H01AC01, somatropin, The metabolism of Apremilast can be increased when combined with Somatotropin.]
[L04AC07, tocilizumab, The therapeutic efficacy of Apremilast can be decreased when used in combination with Tocilizumab.]
[N01AX03, ketamine, The metabolism of Ketamine can be increased when combined with Apremilast.]
[B01AC22, prasugrel, The metabolism of Prasugrel can be increased when combined with Apremilast.]
[H02CA04, levoketoconazole, The metabolism of Apremilast can be decreased when combined with Levoketoconazole.]
[N05AH03, olanzapine, The metabolism of Olanzapine can be increased when combined with Apremilast.]
[M02AA10, ketoprofen, Ketoprofen may decrease the excretion rate of Apremilast which could result in a higher serum level.]
[V03AC03, deferasirox, The serum concentration of Apremilast can be increased when it is combined with Deferasirox.]
[L04AA24, abatacept, The therapeutic efficacy of Apremilast can be decreased when used in combination with Abatacept.]
[N04BC09, rotigotine, The metabolism of Rotigotine can be increased when combined with Apremilast.]
[D10AX03, azelaic acid, Azelaic acid may decrease the excretion rate of Apremilast which could result in a higher serum level.]
[J01MB02, nalidixic acid, The metabolism of Apremilast can be decreased when combined with Nalidixic acid.]
[M01AE11, tiaprofenic acid, Tiaprofenic acid may decrease the excretion rate of Apremilast which could result in a higher serum level.]
[C07AG01, labetalol, The metabolism of Labetalol can be increased when combined with Apremilast.]
[N04BB01, amantadine, Amantadine may decrease the excretion rate of Apremilast which could result in a higher serum level.]
[A06AX03, lubiprostone, Lubiprostone may decrease the excretion rate of Apremilast which could result in a higher serum level.]
[N03AX18, lacosamide, The metabolism of Lacosamide can be increased when combined with Apremilast.]
[C03CC01, ethacrynic acid, Etacrynic acid may increase the excretion rate of Apremilast which could result in a lower serum level and potentially a reduction in efficacy.]
[L01DC03, mitomycin, The risk or severity of adverse effects can be increased when Mitomycin is combined with Apremilast.]
[G03AD01, levonorgestrel, The metabolism of Levonorgestrel can be increased when combined with Apremilast.]
[S02DA01, lidocaine, The metabolism of Lidocaine can be increased when combined with Apremilast.]
[S01AA21, amikacin, Apremilast may decrease the excretion rate of Amikacin which could result in a higher serum level.]
[N06BA13, armodafinil, The metabolism of Apremilast can be increased when combined with Armodafinil.]
[C03DB01, amiloride, Amiloride may increase the excretion rate of Apremilast which could result in a lower serum level and potentially a reduction in efficacy.]
[N02CA07, lisuride, The metabolism of Lisuride can be increased when combined with Apremilast.]
[L01AD02, lomustine, The risk or severity of adverse effects can be increased when Lomustine is combined with Apremilast.]
[A07DA03, loperamide, The metabolism of Loperamide can be increased when combined with Apremilast.]
