[S02DA03, antipyrine, The risk or severity of bleeding can be increased when Antipyrine is combined with Ticlopidine.]
[S01XA23, sirolimus, The risk or severity of bleeding can be increased when Ticlopidine is combined with Sirolimus.]
[N05AL04, remoxipride, The metabolism of Remoxipride can be decreased when combined with Ticlopidine.]
[S01AX06, resorcinol, Ticlopidine may decrease the excretion rate of Resorcinol which could result in a higher serum level.]
[C01BA03, disopyramide, The metabolism of Disopyramide can be decreased when combined with Ticlopidine.]
[S02AA12, rifamycin SV, The metabolism of Ticlopidine can be increased when combined with Rifamycin.]
[J04AB05, rifapentine, The metabolism of Ticlopidine can be increased when combined with Rifapentine.]
[N07XX02, riluzole, The metabolism of Riluzole can be decreased when combined with Ticlopidine.]
[N05AX08, risperidone, The metabolism of Risperidone can be decreased when combined with Ticlopidine.]
[R06AE09, levocetirizine, Ticlopidine may decrease the excretion rate of Levocetirizine which could result in a higher serum level.]
[N01BB09, ropivacaine, The metabolism of Ropivacaine can be decreased when combined with Ticlopidine.]
[C03XA01, tolvaptan, Tolvaptan may increase the excretion rate of Ticlopidine which could result in a lower serum level and potentially a reduction in efficacy.]
[L01XG01, bortezomib, The metabolism of Ticlopidine can be decreased when combined with Bortezomib.]
[G04BE08, tadalafil, Ticlopidine may decrease the excretion rate of Tadalafil which could result in a higher serum level.]
[S01BC05, ketorolac, The risk or severity of bleeding can be increased when Ketorolac is combined with Ticlopidine.]
[C01EB18, ranolazine, The serum concentration of Ticlopidine can be increased when it is combined with Ranolazine.]
[N02BA06, salsalate, The risk or severity of bleeding can be increased when Salsalate is combined with Ticlopidine.]
[H05BA01, salmon calcitonin, Salmon calcitonin may decrease the excretion rate of Ticlopidine which could result in a higher serum level.]
[C01CA07, dobutamine, Ticlopidine may decrease the excretion rate of Dobutamine which could result in a higher serum level.]
[A03FA03, domperidone, The metabolism of Domperidone can be decreased when combined with Ticlopidine.]
[C01CA04, dopamine, Ticlopidine may decrease the excretion rate of Dopamine which could result in a higher serum level.]
[N06AA16, dothiepin, The metabolism of Ticlopidine can be decreased when combined with Dosulepin.]
[N06AA12, doxepin, The metabolism of Doxepin can be decreased when combined with Ticlopidine.]
[L01DB01, doxorubicin, The metabolism of Ticlopidine can be decreased when combined with Doxorubicin.]
[J01AA02, doxycycline, Ticlopidine may decrease the excretion rate of Doxycycline which could result in a higher serum level.]
[N06AB06, sertraline, The risk or severity of bleeding can be increased when Sertraline is combined with Ticlopidine.]
[N01AB08, sevoflurane, The metabolism of Sevoflurane can be decreased when combined with Ticlopidine.]
[A08AA10, sibutramine, The risk or severity of hemorrhage can be increased when Sibutramine is combined with Ticlopidine.]
[C10AA01, simvastatin, The metabolism of Simvastatin can be decreased when combined with Ticlopidine.]
[A12CA02, sodium sulfate, Ticlopidine may decrease the excretion rate of Sodium sulfate which could result in a higher serum level.]
[R03DA01, dyphylline, The metabolism of Dyphylline can be decreased when combined with Ticlopidine.]
[N02CC01, sumatriptan, Ticlopidine may decrease the excretion rate of Sumatriptan which could result in a higher serum level.]
[V04CX07, edrophonium, Ticlopidine may decrease the excretion rate of Edrophonium which could result in a higher serum level.]
[C07AB13, talinolol, The metabolism of Talinolol can be decreased when combined with Ticlopidine.]
[J01MA05, temafloxacin, The metabolism of Temafloxacin can be decreased when combined with Ticlopidine.]
[L01AX03, temozolomide, The risk or severity of bleeding can be increased when Ticlopidine is combined with Temozolomide.]
[M01AC02, tenoxicam, The risk or severity of bleeding can be increased when Tenoxicam is combined with Ticlopidine.]
[D01BA02, terbinafine, The metabolism of Ticlopidine can be decreased when combined with Terbinafine.]
[C07AA16, tertatolol, The metabolism of Tertatolol can be decreased when combined with Ticlopidine.]
[M01AG02, tolfenamic acid, The risk or severity of bleeding can be increased when Tolfenamic acid is combined with Ticlopidine.]
[N06AG03, toloxatone, The risk or severity of bleeding and hemorrhage can be increased when Toloxatone is combined with Ticlopidine.]
[N06BA09, atomoxetine, The metabolism of Atomoxetine can be decreased when combined with Ticlopidine.]
[N03AX11, topiramate, The metabolism of Ticlopidine can be decreased when combined with Topiramate.]
[C03CA04, torsemide, Torasemide may increase the excretion rate of Ticlopidine which could result in a lower serum level and potentially a reduction in efficacy.]
[N05CC01, chloral hydrate, Ticlopidine may decrease the excretion rate of Chloral hydrate which could result in a higher serum level.]
[B01AC18, triflusal, The risk or severity of bleeding can be increased when Ticlopidine is combined with Triflusal.]
[C05CA04, troxerutin, The risk or severity of bleeding can be increased when Ticlopidine is combined with Troxerutin.]
[N01AB04, enflurane, The metabolism of Enflurane can be decreased when combined with Ticlopidine.]
[L01CA04, vinorelbine, The risk or severity of bleeding can be increased when Ticlopidine is combined with Vinorelbine.]
[S01GX10, epinastine, The metabolism of Epinastine can be decreased when combined with Ticlopidine.]
[N06AX16, venlafaxine, The risk or severity of bleeding can be increased when Ticlopidine is combined with Venlafaxine.]
[L01DB03, epirubicin, The risk or severity of bleeding can be increased when Ticlopidine is combined with Epirubicin.]
[N05CF02, zolpidem, The metabolism of Zolpidem can be decreased when combined with Ticlopidine.]
[M01AB04, zomepirac, The risk or severity of bleeding can be increased when Zomepirac is combined with Ticlopidine.]
[N03AX15, zonisamide, The metabolism of Zonisamide can be decreased when combined with Ticlopidine.]
[N05CF01, zopiclone, The metabolism of Zopiclone can be decreased when combined with Ticlopidine.]
[N05AX11, zotepine, The metabolism of Zotepine can be decreased when combined with Ticlopidine.]
[B01AD03, anistreplase, The risk or severity of bleeding can be increased when Ticlopidine is combined with Anistreplase.]
[L01XA02, carboplatin, The risk or severity of bleeding can be increased when Ticlopidine is combined with Carboplatin.]
[C02AC02, guanfacine, Ticlopidine may decrease the excretion rate of Guanfacine which could result in a higher serum level.]
[B01AC11, iloprost, Iloprost may increase the antiplatelet activities of Ticlopidine.]
[N03AG01, valproic acid, The metabolism of Valproic acid can be decreased when combined with Ticlopidine.]
[L03AX05, pidotimod, Ticlopidine may decrease the excretion rate of Pidotimod which could result in a higher serum level.]
[N05CD04, estazolam, Ticlopidine may decrease the excretion rate of Estazolam which could result in a higher serum level.]
[A02BC02, pantoprazole, The metabolism of Pantoprazole can be decreased when combined with Ticlopidine.]
[H05BX01, cinacalcet, The metabolism of Ticlopidine can be decreased when combined with Cinacalcet.]
[G03CA03, estradiol, The metabolism of Estradiol can be decreased when combined with Ticlopidine.]
[G03CA57, estrogens, conjugated (USP), The metabolism of Conjugated estrogens can be decreased when combined with Ticlopidine.]
[J04AK02, ethambutol, The metabolism of Ticlopidine can be decreased when combined with Ethambutol.]
[C10AA04, fluvastatin, The metabolism of Fluvastatin can be decreased when combined with Ticlopidine.]
[V08CA03, gadodiamide, Ticlopidine may decrease the excretion rate of Gadodiamide which could result in a higher serum level.]
[L02AA03, ethinyl estradiol, The metabolism of Ticlopidine can be decreased when combined with Ethinylestradiol.]
[C01BD05, ibutilide, Ticlopidine may decrease the excretion rate of Ibutilide which could result in a higher serum level.]
[N03AD01, ethosuximide, The metabolism of Ethosuximide can be decreased when combined with Ticlopidine.]
[M01AC06, meloxicam, The risk or severity of bleeding can be increased when Meloxicam is combined with Ticlopidine.]
[S01XA06, ethylmorphine, The metabolism of Ethylmorphine can be decreased when combined with Ticlopidine.]
[N01AX07, etomidate, Ticlopidine may decrease the excretion rate of Etomidate which could result in a higher serum level.]
[L01CB01, etoposide, The metabolism of Etoposide can be decreased when combined with Ticlopidine.]
[N05AE03, sertindole, The metabolism of Sertindole can be decreased when combined with Ticlopidine.]
[L04AD02, tacrolimus, The risk or severity of bleeding can be increased when Ticlopidine is combined with Tacrolimus.]
[R06AX11, astemizole, The metabolism of Astemizole can be decreased when combined with Ticlopidine.]
[R06AX12, terfenadine, The metabolism of Ticlopidine can be decreased when combined with Terfenadine.]
[P01AX07, trimetrexate, Ticlopidine may decrease the excretion rate of Trimetrexate which could result in a higher serum level.]
[N06AX12, bupropion, The metabolism of Bupropion can be decreased when combined with Ticlopidine.]
[N06AB08, fluvoxamine, The metabolism of Ticlopidine can be decreased when combined with Fluvoxamine.]
[C01BB03, tocainide, The metabolism of Tocainide can be decreased when combined with Ticlopidine.]
[C01BC08, encainide, The metabolism of Encainide can be decreased when combined with Ticlopidine.]
[L02AE02, leuprolide, Leuprolide may decrease the excretion rate of Ticlopidine which could result in a higher serum level.]
[M01CB01, gold sodium thiomalate, Ticlopidine may decrease the excretion rate of Sodium aurothiomalate which could result in a higher serum level.]
[A05AA01, chenodeoxycholic acid, The risk or severity of adverse effects can be increased when Ticlopidine is combined with Chenodeoxycholic acid.]
[D11AX24, deoxycholic acid, The risk or severity of adverse effects can be increased when Ticlopidine is combined with Deoxycholic acid.]
[B05AA05, dextran, The risk or severity of bleeding can be increased when Ticlopidine is combined with Dextran.]
[V03AF02, dexrazoxane, The risk or severity of bleeding can be increased when Ticlopidine is combined with Dexrazoxane.]
[A16AA01, levocarnitine, Ticlopidine may decrease the excretion rate of Levocarnitine which could result in a higher serum level.]
[P02CA03, albendazole, The metabolism of Albendazole can be decreased when combined with Ticlopidine.]
[C08CA02, felodipine, The metabolism of Ticlopidine can be decreased when combined with Felodipine.]
[N03AX26, fenfluramine, The metabolism of Fenfluramine can be decreased when combined with Ticlopidine.]
[M01AE04, fenoprofen, The risk or severity of bleeding can be increased when Fenoprofen is combined with Ticlopidine.]
[N02AB03, fentanyl, Ticlopidine may decrease the excretion rate of Fentanyl which could result in a higher serum level.]
[R03CC02, albuterol, Ticlopidine may decrease the excretion rate of Salbutamol which could result in a higher serum level.]
[B01AD05, plasmin, The risk or severity of bleeding can be increased when Ticlopidine is combined with Fibrinolysin.]
[L01BB06, clofarabine, The risk or severity of bleeding can be increased when Ticlopidine is combined with Clofarabine.]
[L04AA40, cladribine, The risk or severity of bleeding can be increased when Ticlopidine is combined with Cladribine.]
[N07AX03, cevimeline, The metabolism of Cevimeline can be decreased when combined with Ticlopidine.]
[G04BD02, flavoxate, Ticlopidine may decrease the excretion rate of Flavoxate which could result in a higher serum level.]
[C01BC04, flecainide, The metabolism of Flecainide can be decreased when combined with Ticlopidine.]
[N02BG04, floctafenine, The risk or severity of bleeding can be increased when Floctafenine is combined with Ticlopidine.]
[J02AC01, fluconazole, The metabolism of Ticlopidine can be decreased when combined with Fluconazole.]
[J02AX01, flucytosine, The risk or severity of bleeding can be increased when Ticlopidine is combined with Flucytosine.]
[V03AB25, flumazenil, Ticlopidine may decrease the excretion rate of Flumazenil which could result in a higher serum level.]
[N07CA03, flunarizine, The metabolism of Flunarizine can be decreased when combined with Ticlopidine.]
[N05CD03, flunitrazepam, The metabolism of Flunitrazepam can be decreased when combined with Ticlopidine.]
[V03AZ01, ethanol, The metabolism of Ticlopidine can be decreased when combined with Ethanol.]
[L01BC09, floxuridine, The risk or severity of bleeding can be increased when Ticlopidine is combined with Floxuridine.]
[L01BC02, fluorouracil, The metabolism of Fluorouracil can be decreased when combined with Ticlopidine.]
[N06AB03, fluoxetine, The serum concentration of Ticlopidine can be increased when it is combined with Fluoxetine.]
[N05AB02, fluphenazine, The metabolism of Ticlopidine can be decreased when combined with Fluphenazine.]
[N05CD01, flurazepam, Ticlopidine may decrease the excretion rate of Flurazepam which could result in a higher serum level.]
[S01BC04, flurbiprofen, The risk or severity of bleeding can be increased when Flurbiprofen is combined with Ticlopidine.]
[L02BB01, flutamide, The metabolism of Flutamide can be decreased when combined with Ticlopidine.]
[V04CX02, folic acid, Folic acid may decrease the excretion rate of Ticlopidine which could result in a higher serum level.]
[S02AA17, fosfomycin, Ticlopidine may decrease the excretion rate of Fosfomycin which could result in a higher serum level.]
[S01AA07, framycetin, Framycetin may decrease the excretion rate of Ticlopidine which could result in a higher serum level.]
[L01BC03, tegafur, The metabolism of Tegafur can be decreased when combined with Ticlopidine.]
[G01AX06, furazolidone, The risk or severity of bleeding and hemorrhage can be increased when Furazolidone is combined with Ticlopidine.]
[J05AE10, darunavir, The metabolism of Ticlopidine can be decreased when combined with Darunavir.]
[C03CA01, furosemide, Furosemide may increase the excretion rate of Ticlopidine which could result in a lower serum level and potentially a reduction in efficacy.]
[N05CF04, eszopiclone, Ticlopidine may decrease the excretion rate of Eszopiclone which could result in a higher serum level.]
[N06DA04, galantamine, The metabolism of Galantamine can be decreased when combined with Ticlopidine.]
[S01AD09, ganciclovir, Ticlopidine may decrease the excretion rate of Ganciclovir which could result in a higher serum level.]
[C10AB04, gemfibrozil, The metabolism of Ticlopidine can be decreased when combined with Gemfibrozil.]
[J01XA03, telavancin, Ticlopidine may decrease the excretion rate of Telavancin which could result in a higher serum level.]
[L01EA02, dasatinib, Dasatinib may increase the anticoagulant activities of Ticlopidine.]
[C01CA21, cafedrine, The metabolism of Cafedrine can be decreased when combined with Ticlopidine.]
[J05AG04, etravirine, The metabolism of Etravirine can be decreased when combined with Ticlopidine.]
[N03AD03, methsuximide, The metabolism of Methsuximide can be decreased when combined with Ticlopidine.]
[L01EH01, lapatinib, The metabolism of Lapatinib can be decreased when combined with Ticlopidine.]
[A10BB01, glyburide, The metabolism of Glyburide can be decreased when combined with Ticlopidine.]
[A10BB09, gliclazide, The metabolism of Gliclazide can be decreased when combined with Ticlopidine.]
[A10BB07, glipizide, Ticlopidine may decrease the excretion rate of Glipizide which could result in a higher serum level.]
[M01AX05, glucosamine, Glucosamine may increase the antiplatelet activities of Ticlopidine.]
[N05CM18, dexmedetomidine, The metabolism of Ticlopidine can be decreased when combined with Dexmedetomidine.]
[C02CA04, doxazosin, The metabolism of Doxazosin can be decreased when combined with Ticlopidine.]
[L01EX02, sorafenib, The metabolism of Sorafenib can be decreased when combined with Ticlopidine.]
[C07AB09, esmolol, The metabolism of Esmolol can be decreased when combined with Ticlopidine.]
[M01CB04, aurothioglucose, Ticlopidine may decrease the excretion rate of Aurothioglucose which could result in a higher serum level.]
[S01LA03, pegaptanib, Ticlopidine may decrease the excretion rate of Pegaptanib which could result in a higher serum level.]
[B01AA12, fluindione, The risk or severity of bleeding can be increased when Ticlopidine is combined with Fluindione.]
[C09AA09, fosinopril, Ticlopidine may decrease the excretion rate of Fosinopril which could result in a higher serum level.]
[S01EX01, guanethidine, Ticlopidine may decrease the excretion rate of Guanethidine which could result in a higher serum level.]
[L02AE03, goserelin, Goserelin may decrease the excretion rate of Ticlopidine which could result in a higher serum level.]
[P01BX01, halofantrine, The metabolism of Ticlopidine can be decreased when combined with Halofantrine.]
[N05AD01, haloperidol, The serum concentration of Ticlopidine can be increased when it is combined with Haloperidol.]
[N01AB01, halothane, The metabolism of Halothane can be decreased when combined with Ticlopidine.]
[N05AH04, quetiapine, The metabolism of Quetiapine can be decreased when combined with Ticlopidine.]
[N06BX13, idebenone, Ticlopidine may decrease the excretion rate of Idebenone which could result in a higher serum level.]
[L01CE02, irinotecan, The metabolism of Irinotecan can be decreased when combined with Ticlopidine.]
[M04AA01, allopurinol, Ticlopidine may decrease the excretion rate of Allopurinol which could result in a higher serum level.]
[C09CA01, losartan, The metabolism of Ticlopidine can be decreased when combined with Losartan.]
[S01XA14, heparin, The risk or severity of bleeding can be increased when Ticlopidine is combined with Heparin.]
[G03DC01, allylestrenol, Ticlopidine may decrease the excretion rate of Allylestrenol which could result in a higher serum level.]
[A07EC02, mesalamine, The risk or severity of bleeding can be increased when Mesalazine is combined with Ticlopidine.]
[C01CE02, milrinone, Ticlopidine may decrease the excretion rate of Milrinone which could result in a higher serum level.]
[L01XX03, altretamine, The risk or severity of bleeding can be increased when Ticlopidine is combined with Altretamine.]
[N05CA16, hexobarbital, The metabolism of Hexobarbital can be decreased when combined with Ticlopidine.]
[J05AG01, nevirapine, The metabolism of Nevirapine can be decreased when combined with Ticlopidine.]
[C08CA10, nilvadipine, The metabolism of Ticlopidine can be decreased when combined with Nilvadipine.]
[M02AA26, nimesulide, The risk or severity of bleeding can be increased when Nimesulide is combined with Ticlopidine.]
[C09AA04, perindopril, Ticlopidine may decrease the excretion rate of Perindopril which could result in a higher serum level.]
[C02DB02, hydralazine, Ticlopidine may decrease the excretion rate of Hydralazine which could result in a higher serum level.]
[C03AA03, hydrochlorothiazide, Hydrochlorothiazide may increase the excretion rate of Ticlopidine which could result in a lower serum level and potentially a reduction in efficacy.]
[R05DA03, hydrocodone, The metabolism of Hydrocodone can be decreased when combined with Ticlopidine.]
[C03AA02, hydroflumethiazide, Hydroflumethiazide may increase the excretion rate of Ticlopidine which could result in a lower serum level and potentially a reduction in efficacy.]
[B05XA17, potassium acetate, Ticlopidine may decrease the excretion rate of Potassium acetate which could result in a higher serum level.]
[A12BA02, potassium citrate, Potassium citrate may increase the excretion rate of Ticlopidine which could result in a lower serum level and potentially a reduction in efficacy.]
[V03AB33, hydroxocobalamin, Hydroxocobalamin may decrease the excretion rate of Ticlopidine which could result in a higher serum level.]
[G04BD06, propiverine, Ticlopidine may decrease the excretion rate of Propiverine which could result in a higher serum level.]
[P01BA02, hydroxychloroquine, The metabolism of Hydroxychloroquine can be decreased when combined with Ticlopidine.]
[B05AA07, hetastarch, Ticlopidine may decrease the excretion rate of Hydroxyethyl Starch which could result in a higher serum level.]
[L01XX05, hydroxyurea, The risk or severity of bleeding can be increased when Ticlopidine is combined with Hydroxyurea.]
[N05BB01, hydroxyzine, The metabolism of Ticlopidine can be decreased when combined with Hydroxyzine.]
[J04AB04, rifabutin, The metabolism of Ticlopidine can be increased when combined with Rifabutin.]
[R02AX02, ibuprofen, The risk or severity of bleeding can be increased when Ibuprofen is combined with Ticlopidine.]
[B05XA08, sodium acetate, Ticlopidine may decrease the excretion rate of Sodium acetate which could result in a higher serum level.]
[B05CB02, sodium citrate, The risk or severity of bleeding can be increased when Ticlopidine is combined with Sodium citrate.]
[L01DB06, idarubicin, The metabolism of Idarubicin can be decreased when combined with Ticlopidine.]
[L01AA06, ifosfamide, The metabolism of Ifosfamide can be decreased when combined with Ticlopidine.]
[N06AA02, imipramine, The metabolism of Ticlopidine can be decreased when combined with Imipramine.]
[L01CD01, paclitaxel, The metabolism of Paclitaxel can be decreased when combined with Ticlopidine.]
[R01AD07, tixocortol, Ticlopidine may decrease the excretion rate of Tixocortol which could result in a higher serum level.]
[M03BX02, tizanidine, The metabolism of Tizanidine can be decreased when combined with Ticlopidine.]
[L01CE01, topotecan, The risk or severity of bleeding can be increased when Ticlopidine is combined with Topotecan.]
[C03BA11, indapamide, Indapamide may increase the excretion rate of Ticlopidine which could result in a lower serum level and potentially a reduction in efficacy.]
[S01BC01, indomethacin, The risk or severity of bleeding can be increased when Indomethacin is combined with Ticlopidine.]
[A11HA07, inositol, Ticlopidine may decrease the excretion rate of Inositol which could result in a higher serum level.]
[L03AB04, interferon alfa-2a, The risk or severity of bleeding can be increased when Ticlopidine is combined with Interferon alfa-2a.]
[L03AB05, interferon alfa-2b, The risk or severity of bleeding can be increased when Ticlopidine is combined with Interferon alfa-2b.]
[N06AX17, milnacipran, The risk or severity of hemorrhage can be increased when Milnacipran is combined with Ticlopidine.]
[S01XA28, varenicline, Ticlopidine may decrease the excretion rate of Varenicline which could result in a higher serum level.]
[A10BH01, sitagliptin, Ticlopidine may decrease the excretion rate of Sitagliptin which could result in a higher serum level.]
[N05BA12, alprazolam, Ticlopidine may decrease the excretion rate of Alprazolam which could result in a higher serum level.]
[N05CH02, ramelteon, The metabolism of Ramelteon can be decreased when combined with Ticlopidine.]
[C10AA06, cerivastatin, The metabolism of Ticlopidine can be decreased when combined with Cerivastatin.]
[L01XX35, anagrelide, The metabolism of Anagrelide can be decreased when combined with Ticlopidine.]
[C07AA01, alprenolol, The metabolism of Alprenolol can be decreased when combined with Ticlopidine.]
[C03BA02, quinethazone, Quinethazone may increase the excretion rate of Ticlopidine which could result in a lower serum level and potentially a reduction in efficacy.]
[L03AB09, interferon alfacon-1, The risk or severity of bleeding can be increased when Ticlopidine is combined with Interferon alfacon-1.]
[V03AB01, ipecac, The metabolism of Ipecac can be decreased when combined with Ticlopidine.]
[N06AF05, iproniazid, The risk or severity of bleeding and hemorrhage can be increased when Iproniazid is combined with Ticlopidine.]
[J05AB13, penciclovir, The metabolism of Penciclovir can be decreased when combined with Ticlopidine.]
[N06AF01, isocarboxazid, The risk or severity of bleeding and hemorrhage can be increased when Isocarboxazid is combined with Ticlopidine.]
[N01AB06, isoflurane, The metabolism of Isoflurane can be decreased when combined with Ticlopidine.]
[N04BX02, entacapone, The metabolism of Ticlopidine can be decreased when combined with Entacapone.]
[J04AC01, isoniazid, The metabolism of Ticlopidine can be decreased when combined with Isoniazid.]
[J05AX05, inosine pranobex, Ticlopidine may decrease the excretion rate of Inosine pranobex which could result in a higher serum level.]
[C01DA14, isosorbide mononitrate, Ticlopidine may decrease the excretion rate of Isosorbide mononitrate which could result in a higher serum level.]
[D10BA01, isotretinoin, Ticlopidine may decrease the excretion rate of Isotretinoin which could result in a higher serum level.]
[B01AE06, bivalirudin, The risk or severity of bleeding can be increased when Ticlopidine is combined with Bivalirudin.]
[N06AX18, reboxetine, The metabolism of Ticlopidine can be decreased when combined with Reboxetine.]
[S01AA24, kanamycin, Ticlopidine may decrease the excretion rate of Kanamycin which could result in a higher serum level.]
[L04AC07, tocilizumab, The metabolism of Ticlopidine can be increased when combined with Tocilizumab.]
[N01AX03, ketamine, The metabolism of Ketamine can be decreased when combined with Ticlopidine.]
[C02KD01, ketanserin, Ticlopidine may increase the antiplatelet activities of Ketanserin.]
[B01AC22, prasugrel, The risk or severity of bleeding can be increased when Ticlopidine is combined with Prasugrel.]
[J02AB02, ketoconazole, The metabolism of Ticlopidine can be decreased when combined with Ketoconazole.]
[N05AH03, olanzapine, The metabolism of Ticlopidine can be decreased when combined with Olanzapine.]
[M02AA10, ketoprofen, The risk or severity of bleeding can be increased when Ketoprofen is combined with Ticlopidine.]
[L04AA24, abatacept, The metabolism of Ticlopidine can be increased when combined with Abatacept.]
[N04BC09, rotigotine, The metabolism of Rotigotine can be decreased when combined with Ticlopidine.]
[D10AX03, azelaic acid, Ticlopidine may decrease the excretion rate of Azelaic acid which could result in a higher serum level.]
[M01AE11, tiaprofenic acid, The risk or severity of bleeding can be increased when Tiaprofenic acid is combined with Ticlopidine.]
[C07AG01, labetalol, The metabolism of Labetalol can be decreased when combined with Ticlopidine.]
[N04BB01, amantadine, Ticlopidine may decrease the excretion rate of Amantadine which could result in a higher serum level.]
[A06AX03, lubiprostone, Ticlopidine may decrease the excretion rate of Lubiprostone which could result in a higher serum level.]
[N03AX18, lacosamide, The metabolism of Lacosamide can be decreased when combined with Ticlopidine.]
[C03CC01, ethacrynic acid, Etacrynic acid may increase the excretion rate of Ticlopidine which could result in a lower serum level and potentially a reduction in efficacy.]
[A05AA02, ursodiol, The risk or severity of adverse effects can be increased when Ticlopidine is combined with Ursodeoxycholic acid.]
[L01DC03, mitomycin, The risk or severity of bleeding can be increased when Ticlopidine is combined with Mitomycin.]
[S02DA01, lidocaine, The metabolism of Lidocaine can be decreased when combined with Ticlopidine.]
[S01AA21, amikacin, Ticlopidine may decrease the excretion rate of Amikacin which could result in a higher serum level.]
[N06BA13, armodafinil, The metabolism of Ticlopidine can be decreased when combined with Armodafinil.]
[C03DB01, amiloride, Amiloride may increase the excretion rate of Ticlopidine which could result in a lower serum level and potentially a reduction in efficacy.]
[N02CA07, lisuride, The metabolism of Lisuride can be decreased when combined with Ticlopidine.]
[L01AD02, lomustine, The risk or severity of bleeding can be increased when Ticlopidine is combined with Lomustine.]
[A07DA03, loperamide, The metabolism of Loperamide can be decreased when combined with Ticlopidine.]
[N05BA06, lorazepam, Lorazepam may decrease the excretion rate of Ticlopidine which could result in a higher serum level.]
[C10AA02, lovastatin, The metabolism of Lovastatin can be decreased when combined with Ticlopidine.]
[G03DC03, lynestrenol, The metabolism of Lynestrenol can be decreased when combined with Ticlopidine.]
[L01EG01, temsirolimus, The risk or severity of bleeding can be increased when Ticlopidine is combined with Temsirolimus.]
[B05XA11, magnesium chloride, Ticlopidine may decrease the excretion rate of Magnesium chloride which could result in a higher serum level.]
[G04BX01, magnesium hydroxide, Ticlopidine may decrease the excretion rate of Magnesium hydroxide which could result in a higher serum level.]
[L01BA05, pralatrexate, Ticlopidine may decrease the excretion rate of Pralatrexate which could result in a higher serum level.]
[L01EA03, nilotinib, The risk or severity of bleeding can be increased when Ticlopidine is combined with Nilotinib.]
[V04CX04, mannitol, Mannitol may increase the excretion rate of Ticlopidine which could result in a lower serum level and potentially a reduction in efficacy.]
[N06AA21, maprotiline, The metabolism of Maprotiline can be decreased when combined with Ticlopidine.]
[C02BB01, mecamylamine, Ticlopidine may decrease the excretion rate of Mecamylamine which could result in a higher serum level.]
[L01AA05, mechlorethamine, The risk or severity of bleeding can be increased when Ticlopidine is combined with Mechlorethamine.]
[R06AE05, meclizine, The metabolism of Meclizine can be decreased when combined with Ticlopidine.]
[M02AA18, meclofenamic acid, The risk or severity of bleeding can be increased when Meclofenamic acid is combined with Ticlopidine.]
[C03BA05, mefruside, Mefruside may increase the excretion rate of Ticlopidine which could result in a lower serum level and potentially a reduction in efficacy.]
[B01AB06, nadroparin, The risk or severity of bleeding can be increased when Ticlopidine is combined with Nadroparin.]
[B01AB05, enoxaparin, The risk or severity of bleeding can be increased when Ticlopidine is combined with Enoxaparin.]
[B01AB04, dalteparin, The risk or severity of bleeding can be increased when Ticlopidine is combined with Dalteparin.]
[N05CH01, melatonin, The metabolism of Melatonin can be decreased when combined with Ticlopidine.]
[L01AA03, melphalan, The risk or severity of bleeding can be increased when Ticlopidine is combined with Melphalan.]
[N06DX01, memantine, The metabolism of Ticlopidine can be decreased when combined with Memantine.]
[N02AB02, meperidine, The metabolism of Meperidine can be decreased when combined with Ticlopidine.]
[N03AB04, mephenytoin, The metabolism of Mephenytoin can be decreased when combined with Ticlopidine.]
[N03AA01, mephobarbital, The metabolism of Methylphenobarbital can be decreased when combined with Ticlopidine.]
[N01BB03, mepivacaine, Ticlopidine may decrease the excretion rate of Mepivacaine which could result in a higher serum level.]
[G04BX16, tiopronin, Ticlopidine may decrease the excretion rate of Tiopronin which could result in a higher serum level.]
[C03BC01, mersalyl, Mersalyl may increase the excretion rate of Ticlopidine which could result in a lower serum level and potentially a reduction in efficacy.]
[N05AC03, mesoridazine, The metabolism of Mesoridazine can be decreased when combined with Ticlopidine.]
[N05AX13, paliperidone, The metabolism of Paliperidone can be decreased when combined with Ticlopidine.]
[A10BA02, metformin, Ticlopidine may decrease the excretion rate of Metformin which could result in a higher serum level.]
[A04AA04, dolasetron, The metabolism of Dolasetron can be decreased when combined with Ticlopidine.]
[N07BC02, methadone, The metabolism of Methadone can be decreased when combined with Ticlopidine.]
[N06BA03, methamphetamine, The metabolism of Metamfetamine can be decreased when combined with Ticlopidine.]
[J05AF05, lamivudine, Ticlopidine may decrease the excretion rate of Lamivudine which could result in a higher serum level.]
[S01EC05, methazolamide, Methazolamide may increase the excretion rate of Ticlopidine which could result in a lower serum level and potentially a reduction in efficacy.]
[H03BB02, methimazole, The metabolism of Ticlopidine can be decreased when combined with Methimazole.]
[L01BA04, pemetrexed, Ticlopidine may decrease the excretion rate of Pemetrexed which could result in a higher serum level.]
[A11HA02, pyridoxine, Pyridoxine may decrease the excretion rate of Ticlopidine which could result in a higher serum level.]
[L04AX03, methotrexate, The risk or severity of bleeding can be increased when Ticlopidine is combined with Methotrexate.]
[N05AA02, methotrimeprazine, The metabolism of Ticlopidine can be decreased when combined with Methotrimeprazine.]
[D05BA02, methoxsalen, Ticlopidine may decrease the excretion rate of Methoxsalen which could result in a higher serum level.]
[N02BG09, methoxyflurane, The metabolism of Methoxyflurane can be decreased when combined with Ticlopidine.]
[C03AA08, methyclothiazide, Methyclothiazide may increase the excretion rate of Ticlopidine which could result in a lower serum level and potentially a reduction in efficacy.]
[C02AB01, methyldopa, Ticlopidine may decrease the excretion rate of Methyldopa which could result in a higher serum level.]
