[S02DA03, antipyrine, The risk or severity of nephrotoxicity can be increased when Mannitol is combined with Antipyrine.]
[C02KX02, ambrisentan, The serum concentration of Ambrisentan can be increased when it is combined with Mannitol.]
[C01EB18, ranolazine, The serum concentration of Mannitol can be increased when it is combined with Ranolazine.]
[N02BA06, salsalate, The risk or severity of nephrotoxicity can be increased when Mannitol is combined with Salsalate.]
[H05BA01, salmon calcitonin, Mannitol may increase the excretion rate of Salmon calcitonin which could result in a lower serum level and potentially a reduction in efficacy.]
[C01CA07, dobutamine, Mannitol may increase the excretion rate of Dobutamine which could result in a lower serum level and potentially a reduction in efficacy.]
[C01CA04, dopamine, Mannitol may increase the excretion rate of Dopamine which could result in a lower serum level and potentially a reduction in efficacy.]
[N06AA12, doxepin, Mannitol may increase the excretion rate of Doxepin which could result in a lower serum level and potentially a reduction in efficacy.]
[A06AB06, sennosides, USP, The risk or severity of adverse effects can be increased when Mannitol is combined with Sennosides.]
[J01AA02, doxycycline, Mannitol may increase the excretion rate of Doxycycline which could result in a lower serum level and potentially a reduction in efficacy.]
[N01AB08, sevoflurane, The risk or severity of adverse effects can be increased when Mannitol is combined with Sevoflurane.]
[A08AA10, sibutramine, Mannitol may increase the excretion rate of Sibutramine which could result in a lower serum level and potentially a reduction in efficacy.]
[C10AA01, simvastatin, The serum concentration of Mannitol can be increased when it is combined with Simvastatin.]
[V03AG05, sodium phosphate, Mannitol may increase the nephrotoxic activities of Sodium phosphate, monobasic.]
[A12CA02, sodium sulfate, The risk or severity of adverse effects can be increased when Mannitol is combined with Sodium sulfate.]
[C09AA11, spirapril, The risk or severity of hyperkalemia can be increased when Mannitol is combined with Spirapril.]
[R03DA01, dyphylline, Mannitol may increase the excretion rate of Dyphylline which could result in a lower serum level and potentially a reduction in efficacy.]
[N02CC01, sumatriptan, Mannitol may increase the excretion rate of Sumatriptan which could result in a lower serum level and potentially a reduction in efficacy.]
[V04CX07, edrophonium, Mannitol may increase the excretion rate of Edrophonium which could result in a lower serum level and potentially a reduction in efficacy.]
[C07AB13, talinolol, The serum concentration of Talinolol can be increased when it is combined with Mannitol.]
[L01AX03, temozolomide, Mannitol may increase the excretion rate of Temozolomide which could result in a lower serum level and potentially a reduction in efficacy.]
[M01AC02, tenoxicam, The risk or severity of nephrotoxicity can be increased when Mannitol is combined with Tenoxicam.]
[G04CA03, terazosin, The risk or severity of adverse effects can be increased when Mannitol is combined with Terazosin.]
[G04BD05, terodiline, The risk or severity of hyperkalemia can be increased when Mannitol is combined with Terodiline.]
[C07AA16, tertatolol, The risk or severity of hyperkalemia can be increased when Mannitol is combined with Tertatolol.]
[C09AA02, enalapril, The risk or severity of adverse effects can be increased when Enalapril is combined with Mannitol.]
[M01AG02, tolfenamic acid, The risk or severity of nephrotoxicity can be increased when Mannitol is combined with Tolfenamic acid.]
[N06AG03, toloxatone, Toloxatone may increase the orthostatic hypotensive activities of Mannitol.]
[N06BA09, atomoxetine, Mannitol may increase the excretion rate of Atomoxetine which could result in a lower serum level and potentially a reduction in efficacy.]
[N03AX11, topiramate, Mannitol may increase the excretion rate of Topiramate which could result in a lower serum level and potentially a reduction in efficacy.]
[L02BA02, toremifene, The serum concentration of Mannitol can be increased when it is combined with Toremifene.]
[C03CA04, torsemide, The risk or severity of adverse effects can be increased when Torasemide is combined with Mannitol.]
[C09AA10, trandolapril, The risk or severity of adverse effects can be increased when Trandolapril is combined with Mannitol.]
[N05CC01, chloral hydrate, Mannitol may increase the excretion rate of Chloral hydrate which could result in a lower serum level and potentially a reduction in efficacy.]
[C02CA06, urapidil, Mannitol may increase the hypotensive activities of Urapidil.]
[S01FB02, ephedrine, The risk or severity of Cardiac Arrhythmia can be increased when Ephedrine is combined with Mannitol.]
[N06AX16, venlafaxine, Mannitol may increase the excretion rate of Venlafaxine which could result in a lower serum level and potentially a reduction in efficacy.]
[S01GA03, xylometazoline, The therapeutic efficacy of Mannitol can be decreased when used in combination with Xylometazoline.]
[C08CA12, mepirodipine, The risk or severity of adverse effects can be increased when Mannitol is combined with Barnidipine.]
[S01EA01, epinephrine, The risk or severity of Cardiac Arrhythmia can be increased when Epinephrine is combined with Mannitol.]
[C09AA15, zofenopril, The risk or severity of hyperkalemia can be increased when Mannitol is combined with Zofenopril.]
[M01AB04, zomepirac, The risk or severity of nephrotoxicity can be increased when Mannitol is combined with Zomepirac.]
[N03AX15, zonisamide, The serum concentration of Mannitol can be increased when it is combined with Zonisamide.]
[A10AB06, insulin glulisine, human, The therapeutic efficacy of Insulin glulisine can be decreased when used in combination with Mannitol.]
[L01XA02, carboplatin, The risk or severity of nephrotoxicity can be increased when Mannitol is combined with Carboplatin.]
[C02AC02, guanfacine, Mannitol may increase the excretion rate of Guanfacine which could result in a lower serum level and potentially a reduction in efficacy.]
[B01AC11, iloprost, The risk or severity of adverse effects can be increased when Mannitol is combined with Iloprost.]
[L03AX05, pidotimod, Mannitol may increase the excretion rate of Pidotimod which could result in a lower serum level and potentially a reduction in efficacy.]
[S01AA17, erythromycin, The serum concentration of Mannitol can be increased when it is combined with Erythromycin.]
[N05CD04, estazolam, Mannitol may increase the excretion rate of Estazolam which could result in a lower serum level and potentially a reduction in efficacy.]
[A02BC02, pantoprazole, Mannitol may increase the excretion rate of Pantoprazole which could result in a lower serum level and potentially a reduction in efficacy.]
[G03CA03, estradiol, Mannitol may increase the excretion rate of Estradiol which could result in a lower serum level and potentially a reduction in efficacy.]
[G03CA57, estrogens, conjugated (USP), Mannitol may increase the excretion rate of Conjugated estrogens which could result in a lower serum level and potentially a reduction in efficacy.]
[J04AK02, ethambutol, Mannitol may increase the excretion rate of Ethambutol which could result in a lower serum level and potentially a reduction in efficacy.]
[V08CA03, gadodiamide, Mannitol may increase the excretion rate of Gadodiamide which could result in a lower serum level and potentially a reduction in efficacy.]
[V03AF05, amifostine, The risk or severity of adverse effects can be increased when Mannitol is combined with Amifostine.]
[C01BD05, ibutilide, Mannitol may increase the excretion rate of Ibutilide which could result in a lower serum level and potentially a reduction in efficacy.]
[N03AD01, ethosuximide, The risk or severity of hyperkalemia can be increased when Ethosuximide is combined with Mannitol.]
[M01AC06, meloxicam, The therapeutic efficacy of Mannitol can be decreased when used in combination with Meloxicam.]
[S01XA06, ethylmorphine, The therapeutic efficacy of Mannitol can be decreased when used in combination with Ethylmorphine.]
[N01AX07, etomidate, Mannitol may increase the excretion rate of Etomidate which could result in a lower serum level and potentially a reduction in efficacy.]
[L01CB01, etoposide, The serum concentration of Etoposide can be increased when it is combined with Mannitol.]
[L04AD02, tacrolimus, The risk or severity of nephrotoxicity can be increased when Mannitol is combined with Tacrolimus.]
[P01AX07, trimetrexate, Mannitol may increase the excretion rate of Trimetrexate which could result in a lower serum level and potentially a reduction in efficacy.]
[N06AX12, bupropion, Mannitol may increase the excretion rate of Bupropion which could result in a lower serum level and potentially a reduction in efficacy.]
[N06AB08, fluvoxamine, Mannitol may increase the excretion rate of Fluvoxamine which could result in a lower serum level and potentially a reduction in efficacy.]
[L02AE02, leuprolide, Mannitol may increase the excretion rate of Leuprolide which could result in a lower serum level and potentially a reduction in efficacy.]
[C10AA03, pravastatin, The serum concentration of Mannitol can be increased when it is combined with Pravastatin.]
[M01CB01, gold sodium thiomalate, Mannitol may increase the excretion rate of Sodium aurothiomalate which could result in a lower serum level and potentially a reduction in efficacy.]
[B05AA05, dextran, Mannitol may increase the excretion rate of Dextran which could result in a lower serum level and potentially a reduction in efficacy.]
[M05BA01, etidronic acid, The risk or severity of nephrotoxicity and hypocalcemia can be increased when Mannitol is combined with Etidronic acid.]
[V03AF02, dexrazoxane, Mannitol may increase the excretion rate of Dexrazoxane which could result in a lower serum level and potentially a reduction in efficacy.]
[A16AA01, levocarnitine, Mannitol may increase the excretion rate of Levocarnitine which could result in a lower serum level and potentially a reduction in efficacy.]
[C08CA02, felodipine, The risk or severity of adverse effects can be increased when Mannitol is combined with Felodipine.]
[C08EA01, fendiline, The risk or severity of hyperkalemia can be increased when Mannitol is combined with Fendiline.]
[M01AE04, fenoprofen, The risk or severity of nephrotoxicity can be increased when Mannitol is combined with Fenoprofen.]
[N02AB03, fentanyl, Mannitol may increase the excretion rate of Fentanyl which could result in a lower serum level and potentially a reduction in efficacy.]
[R03CC02, albuterol, Mannitol may increase the excretion rate of Salbutamol which could result in a lower serum level and potentially a reduction in efficacy.]
[L01BB06, clofarabine, Mannitol may increase the excretion rate of Clofarabine which could result in a lower serum level and potentially a reduction in efficacy.]
[N07AX03, cevimeline, Mannitol may increase the excretion rate of Cevimeline which could result in a lower serum level and potentially a reduction in efficacy.]
[G04BD02, flavoxate, Mannitol may increase the excretion rate of Flavoxate which could result in a lower serum level and potentially a reduction in efficacy.]
[N02BG04, floctafenine, The risk or severity of nephrotoxicity can be increased when Mannitol is combined with Floctafenine.]
[J02AC01, fluconazole, The serum concentration of Mannitol can be increased when it is combined with Fluconazole.]
[J02AX01, flucytosine, Mannitol may increase the excretion rate of Flucytosine which could result in a lower serum level and potentially a reduction in efficacy.]
[V03AB25, flumazenil, Mannitol may increase the excretion rate of Flumazenil which could result in a lower serum level and potentially a reduction in efficacy.]
[N07CA03, flunarizine, The risk or severity of hyperkalemia can be increased when Mannitol is combined with Flunarizine.]
[V03AZ01, ethanol, Ethanol may increase the hypotensive activities of Mannitol.]
[L01BC09, floxuridine, Mannitol may increase the excretion rate of Floxuridine which could result in a lower serum level and potentially a reduction in efficacy.]
[N05CD01, flurazepam, Mannitol may increase the excretion rate of Flurazepam which could result in a lower serum level and potentially a reduction in efficacy.]
[S01BC04, flurbiprofen, The risk or severity of nephrotoxicity can be increased when Mannitol is combined with Flurbiprofen.]
[N05AG01, fluspirilene, The risk or severity of hyperkalemia can be increased when Mannitol is combined with Fluspirilene.]
[L02BB01, flutamide, Mannitol may increase the excretion rate of Flutamide which could result in a lower serum level and potentially a reduction in efficacy.]
[V04CX02, folic acid, Mannitol may increase the excretion rate of Folic acid which could result in a lower serum level and potentially a reduction in efficacy.]
[S02AA17, fosfomycin, Mannitol may increase the excretion rate of Fosfomycin which could result in a lower serum level and potentially a reduction in efficacy.]
[S01AA07, framycetin, The risk or severity of nephrotoxicity can be increased when Mannitol is combined with Framycetin.]
[L01BC03, tegafur, Mannitol may increase the excretion rate of Tegafur which could result in a lower serum level and potentially a reduction in efficacy.]
[G01AX06, furazolidone, Furazolidone may increase the orthostatic hypotensive activities of Mannitol.]
[J05AE10, darunavir, The serum concentration of Darunavir can be increased when it is combined with Mannitol.]
[C03CA01, furosemide, The risk or severity of nephrotoxicity can be increased when Mannitol is combined with Furosemide.]
[M05BA04, alendronic acid, The risk or severity of nephrotoxicity and hypocalcemia can be increased when Mannitol is combined with Alendronic acid.]
[N05CF04, eszopiclone, Mannitol may increase the excretion rate of Eszopiclone which could result in a lower serum level and potentially a reduction in efficacy.]
[C08DA02, gallopamil, The risk or severity of hyperkalemia can be increased when Mannitol is combined with Gallopamil.]
[S01AD09, ganciclovir, Mannitol may increase the excretion rate of Ganciclovir which could result in a lower serum level and potentially a reduction in efficacy.]
[N03AA04, barbexaclone, Barbexaclone may increase the hypotensive activities of Mannitol.]
[C10AB04, gemfibrozil, Mannitol may increase the excretion rate of Gemfibrozil which could result in a lower serum level and potentially a reduction in efficacy.]
[J01XA03, telavancin, Mannitol may increase the excretion rate of Telavancin which could result in a lower serum level and potentially a reduction in efficacy.]
[L01EA02, dasatinib, The serum concentration of Dasatinib can be increased when it is combined with Mannitol.]
[N04BC06, cabergoline, The serum concentration of Cabergoline can be increased when it is combined with Mannitol.]
[N03AD03, methsuximide, The risk or severity of hyperkalemia can be increased when Mannitol is combined with Methsuximide.]
[N01AH02, alfentanil, The therapeutic efficacy of Mannitol can be decreased when used in combination with Alfentanil.]
[L01EH01, lapatinib, The serum concentration of Mannitol can be increased when it is combined with Lapatinib.]
[A10BB07, glipizide, Mannitol may increase the excretion rate of Glipizide which could result in a lower serum level and potentially a reduction in efficacy.]
[N05CM18, dexmedetomidine, Mannitol may increase the excretion rate of Dexmedetomidine which could result in a lower serum level and potentially a reduction in efficacy.]
[A06AX01, glycerin, The risk or severity of adverse effects can be increased when Mannitol is combined with Glycerin.]
[C05AE01, nitroglycerin, The risk or severity of adverse effects can be increased when Nitroglycerin is combined with Mannitol.]
[C02CA04, doxazosin, The risk or severity of adverse effects can be increased when Doxazosin is combined with Mannitol.]
[L01EX02, sorafenib, The serum concentration of Mannitol can be increased when it is combined with Sorafenib.]
[C07AB09, esmolol, The risk or severity of adverse effects can be increased when Esmolol is combined with Mannitol.]
[M01CB04, aurothioglucose, Mannitol may increase the excretion rate of Aurothioglucose which could result in a lower serum level and potentially a reduction in efficacy.]
[S01LA03, pegaptanib, Mannitol may increase the excretion rate of Pegaptanib which could result in a lower serum level and potentially a reduction in efficacy.]
[C09AA09, fosinopril, Mannitol may increase the excretion rate of Fosinopril which could result in a lower serum level and potentially a reduction in efficacy.]
[S01EX01, guanethidine, Mannitol may increase the excretion rate of Guanethidine which could result in a lower serum level and potentially a reduction in efficacy.]
[L02AE03, goserelin, Mannitol may increase the excretion rate of Goserelin which could result in a lower serum level and potentially a reduction in efficacy.]
[N05AD01, haloperidol, Mannitol may increase the excretion rate of Haloperidol which could result in a lower serum level and potentially a reduction in efficacy.]
[N01AB01, halothane, The risk or severity of adverse effects can be increased when Mannitol is combined with Halothane.]
[N05AH04, quetiapine, Mannitol may increase the excretion rate of Quetiapine which could result in a lower serum level and potentially a reduction in efficacy.]
[N06BX13, idebenone, Mannitol may increase the excretion rate of Idebenone which could result in a lower serum level and potentially a reduction in efficacy.]
[A10AD05, insulin aspart, human, The therapeutic efficacy of Insulin aspart can be decreased when used in combination with Mannitol.]
[M04AA01, allopurinol, Mannitol may increase the excretion rate of Allopurinol which could result in a lower serum level and potentially a reduction in efficacy.]
[C09CA01, losartan, The risk or severity of adverse effects can be increased when Losartan is combined with Mannitol.]
[S01XA14, heparin, The risk or severity of hyperkalemia can be increased when Mannitol is combined with Heparin.]
[B05CB03, magnesium citrate, The risk or severity of adverse effects can be increased when Mannitol is combined with Magnesium citrate.]
[G03DC01, allylestrenol, Mannitol may increase the excretion rate of Allylestrenol which could result in a lower serum level and potentially a reduction in efficacy.]
[A07EC02, mesalamine, The risk or severity of nephrotoxicity can be increased when Mesalazine is combined with Mannitol.]
[C01CE02, milrinone, Mannitol may increase the excretion rate of Milrinone which could result in a lower serum level and potentially a reduction in efficacy.]
[A12CD02, sodium monofluorophosphate, The risk or severity of adverse effects can be increased when Mannitol is combined with Sodium fluorophosphate.]
[N05CA16, hexobarbital, Hexobarbital may increase the hypotensive activities of Mannitol.]
[C08CA10, nilvadipine, The risk or severity of adverse effects can be increased when Mannitol is combined with Nilvadipine.]
[M02AA26, nimesulide, The risk or severity of nephrotoxicity can be increased when Mannitol is combined with Nimesulide.]
[C09AA04, perindopril, Mannitol may increase the excretion rate of Perindopril which could result in a lower serum level and potentially a reduction in efficacy.]
[C02DB02, hydralazine, Mannitol may increase the excretion rate of Hydralazine which could result in a lower serum level and potentially a reduction in efficacy.]
[C03AA03, hydrochlorothiazide, The risk or severity of nephrotoxicity can be increased when Mannitol is combined with Hydrochlorothiazide.]
[R05DA03, hydrocodone, The therapeutic efficacy of Mannitol can be decreased when used in combination with Hydrocodone.]
[C03AA02, hydroflumethiazide, The risk or severity of adverse effects can be increased when Hydroflumethiazide is combined with Mannitol.]
[B05XA17, potassium acetate, Mannitol may increase the excretion rate of Potassium acetate which could result in a lower serum level and potentially a reduction in efficacy.]
[S01XA07, aluminum potassium sulfate, Potassium alum may increase the hyperkalemic activities of Mannitol.]
[A12BA02, potassium citrate, The risk or severity of adverse effects can be increased when Potassium citrate is combined with Mannitol.]
[V03AB33, hydroxocobalamin, Mannitol may increase the excretion rate of Hydroxocobalamin which could result in a lower serum level and potentially a reduction in efficacy.]
[G04BD06, propiverine, Mannitol may increase the excretion rate of Propiverine which could result in a lower serum level and potentially a reduction in efficacy.]
[B05AA07, hetastarch, Mannitol may increase the excretion rate of Hydroxyethyl Starch which could result in a lower serum level and potentially a reduction in efficacy.]
[C02AC06, rilmenidine, Mannitol may increase the hypotensive activities of Rilmenidine.]
[M05BA07, risedronic acid, The risk or severity of nephrotoxicity and hypocalcemia can be increased when Mannitol is combined with Risedronic acid.]
[R02AX02, ibuprofen, The risk or severity of nephrotoxicity can be increased when Mannitol is combined with Ibuprofen.]
[B05XA08, sodium acetate, Mannitol may increase the excretion rate of Sodium acetate which could result in a lower serum level and potentially a reduction in efficacy.]
[A06AD21, sodium tartrate, The risk or severity of adverse effects can be increased when Mannitol is combined with Sodium tartrate.]
[L01AA06, ifosfamide, Mannitol may increase the excretion rate of Ifosfamide which could result in a lower serum level and potentially a reduction in efficacy.]
[N01AH03, sufentanil, The therapeutic efficacy of Mannitol can be decreased when used in combination with Sufentanil.]
[N06AA02, imipramine, Mannitol may increase the excretion rate of Imipramine which could result in a lower serum level and potentially a reduction in efficacy.]
[L01CD01, paclitaxel, The risk or severity of adverse effects can be increased when Mannitol is combined with Paclitaxel.]
[R01AD07, tixocortol, Mannitol may increase the excretion rate of Tixocortol which could result in a lower serum level and potentially a reduction in efficacy.]
[M03BX02, tizanidine, The risk or severity of adverse effects can be increased when Tizanidine is combined with Mannitol.]
[L01CE01, topotecan, Mannitol may increase the excretion rate of Topotecan which could result in a lower serum level and potentially a reduction in efficacy.]
[C03BA11, indapamide, The risk or severity of adverse effects can be increased when Indapamide is combined with Mannitol.]
[S01BC01, indomethacin, The risk or severity of nephrotoxicity can be increased when Mannitol is combined with Indomethacin.]
[C02CA02, indoramin, The risk or severity of adverse effects can be increased when Mannitol is combined with Indoramin.]
[A11HA07, inositol, Mannitol may increase the excretion rate of Inositol which could result in a lower serum level and potentially a reduction in efficacy.]
[N06AX17, milnacipran, Mannitol may increase the excretion rate of Milnacipran which could result in a lower serum level and potentially a reduction in efficacy.]
[S01XA28, varenicline, Mannitol may increase the excretion rate of Varenicline which could result in a lower serum level and potentially a reduction in efficacy.]
[A10BH01, sitagliptin, Mannitol may increase the excretion rate of Sitagliptin which could result in a lower serum level and potentially a reduction in efficacy.]
[N05BA12, alprazolam, Mannitol may increase the excretion rate of Alprazolam which could result in a lower serum level and potentially a reduction in efficacy.]
[N05CH02, ramelteon, Mannitol may increase the excretion rate of Ramelteon which could result in a lower serum level and potentially a reduction in efficacy.]
[C07AA01, alprenolol, The risk or severity of hyperkalemia can be increased when Mannitol is combined with Alprenolol.]
[C03BA02, quinethazone, The risk or severity of adverse effects can be increased when Quinethazone is combined with Mannitol.]
[V03AB01, ipecac, Mannitol may increase the excretion rate of Ipecac which could result in a lower serum level and potentially a reduction in efficacy.]
[N06AF05, iproniazid, Iproniazid may increase the orthostatic hypotensive activities of Mannitol.]
[N06AF01, isocarboxazid, Isocarboxazid may increase the orthostatic hypotensive activities of Mannitol.]
[C09AA16, imidapril, The risk or severity of adverse effects can be increased when Mannitol is combined with Imidapril.]
[N01AB06, isoflurane, The risk or severity of adverse effects can be increased when Mannitol is combined with Isoflurane.]
[J04AC01, isoniazid, Mannitol may increase the excretion rate of Isoniazid which could result in a lower serum level and potentially a reduction in efficacy.]
[J05AX05, inosine pranobex, Mannitol may increase the excretion rate of Inosine pranobex which could result in a lower serum level and potentially a reduction in efficacy.]
[C01DA14, isosorbide mononitrate, Mannitol may increase the excretion rate of Isosorbide mononitrate which could result in a lower serum level and potentially a reduction in efficacy.]
[C05AE02, isosorbide dinitrate, The risk or severity of adverse effects can be increased when Mannitol is combined with Isosorbide dinitrate.]
[D10BA01, isotretinoin, Mannitol may increase the excretion rate of Isotretinoin which could result in a lower serum level and potentially a reduction in efficacy.]
[C04AA01, isoxsuprine, The risk or severity of adverse effects can be increased when Mannitol is combined with Isoxsuprine.]
[S01AA24, kanamycin, The risk or severity of nephrotoxicity can be increased when Mannitol is combined with Kanamycin.]
[N01AX03, ketamine, Mannitol may increase the excretion rate of Ketamine which could result in a lower serum level and potentially a reduction in efficacy.]
[C02KD01, ketanserin, Mannitol may increase the hypotensive activities of Ketanserin.]
[B01AC22, prasugrel, Mannitol may increase the excretion rate of Prasugrel which could result in a lower serum level and potentially a reduction in efficacy.]
[J02AB02, ketoconazole, The serum concentration of Mannitol can be increased when it is combined with Ketoconazole.]
[H02CA04, levoketoconazole, The serum concentration of Mannitol can be increased when it is combined with Levoketoconazole.]
[N05AH03, olanzapine, The risk or severity of adverse effects can be increased when Olanzapine is combined with Mannitol.]
[M02AA10, ketoprofen, The risk or severity of nephrotoxicity can be increased when Mannitol is combined with Ketoprofen.]
[N04BC09, rotigotine, The risk or severity of adverse effects can be increased when Mannitol is combined with Rotigotine.]
[D10AX03, azelaic acid, Mannitol may increase the excretion rate of Azelaic acid which could result in a lower serum level and potentially a reduction in efficacy.]
[M01AE11, tiaprofenic acid, The risk or severity of nephrotoxicity can be increased when Mannitol is combined with Tiaprofenic acid.]
[C07AG01, labetalol, Mannitol may increase the excretion rate of Labetalol which could result in a lower serum level and potentially a reduction in efficacy.]
[N04BB01, amantadine, Mannitol may increase the excretion rate of Amantadine which could result in a lower serum level and potentially a reduction in efficacy.]
[C02AA05, deserpidine, Mannitol may increase the hypotensive activities of Deserpidine.]
[A06AD11, lactulose, The risk or severity of adverse effects can be increased when Mannitol is combined with Lactulose.]
[A06AX03, lubiprostone, The risk or severity of adverse effects can be increased when Mannitol is combined with Lubiprostone.]
[C03CC01, ethacrynic acid, The risk or severity of nephrotoxicity can be increased when Mannitol is combined with Etacrynic acid.]
[N04BA01, levodopa, The risk or severity of hypotension and orthostatic hypotension can be increased when Mannitol is combined with Levodopa.]
[C08EX01, lidoflazine, The risk or severity of hyperkalemia can be increased when Mannitol is combined with Lidoflazine.]
[S01AA21, amikacin, The risk or severity of nephrotoxicity can be increased when Mannitol is combined with Amikacin.]
[C03DB01, amiloride, The risk or severity of adverse effects can be increased when Amiloride is combined with Mannitol.]
[A07DA03, loperamide, The serum concentration of Loperamide can be increased when it is combined with Mannitol.]
[N05BA06, lorazepam, Mannitol may increase the excretion rate of Lorazepam which could result in a lower serum level and potentially a reduction in efficacy.]
[N05AH01, loxapine, The serum concentration of Mannitol can be increased when it is combined with Loxapine.]
[L01EG01, temsirolimus, The serum concentration of Mannitol can be increased when it is combined with Temsirolimus.]
[G04BX01, magnesium hydroxide, The risk or severity of adverse effects can be increased when Mannitol is combined with Magnesium hydroxide.]
[A12CC10, magnesium oxide, The risk or severity of adverse effects can be increased when Mannitol is combined with Magnesium oxide.]
[V04CC02, magnesium sulfate, The risk or severity of adverse effects can be increased when Mannitol is combined with Magnesium sulfate.]
[L01BA05, pralatrexate, Mannitol may increase the excretion rate of Pralatrexate which could result in a lower serum level and potentially a reduction in efficacy.]
[L01EA03, nilotinib, The serum concentration of Mannitol can be increased when it is combined with Nilotinib.]
[M01AG01, mefenamic acid, The risk or severity of nephrotoxicity can be increased when Mannitol is combined with Mefenamic acid.]
[C01DA05, pentaerythritol tetranitrate, Mannitol may increase the excretion rate of Pentaerythritol tetranitrate which could result in a lower serum level and potentially a reduction in efficacy.]
[N06AA21, maprotiline, Mannitol may increase the excretion rate of Maprotiline which could result in a lower serum level and potentially a reduction in efficacy.]
[C02BB01, mecamylamine, Mannitol may increase the excretion rate of Mecamylamine which could result in a lower serum level and potentially a reduction in efficacy.]
[M02AA18, meclofenamic acid, The risk or severity of nephrotoxicity can be increased when Mannitol is combined with Meclofenamic acid.]
[A06AB07, cascara sagrada, The risk or severity of adverse effects can be increased when Mannitol is combined with Frangula purshiana bark.]
[P01BC02, mefloquine, The serum concentration of Mannitol can be increased when it is combined with Mefloquine.]
[C03BA05, mefruside, The risk or severity of adverse effects can be increased when Mefruside is combined with Mannitol.]
[B01AB06, nadroparin, The risk or severity of hyperkalemia can be increased when Mannitol is combined with Nadroparin.]
[B01AB05, enoxaparin, The risk or severity of hyperkalemia can be increased when Mannitol is combined with Enoxaparin.]
[B01AB04, dalteparin, The risk or severity of hyperkalemia can be increased when Mannitol is combined with Dalteparin.]
[N06DX01, memantine, Mannitol may increase the excretion rate of Memantine which could result in a lower serum level and potentially a reduction in efficacy.]
[N02AB02, meperidine, Mannitol may increase the excretion rate of Meperidine which could result in a lower serum level and potentially a reduction in efficacy.]
[N03AA01, mephobarbital, Methylphenobarbital may increase the hypotensive activities of Mannitol.]
[N01BB03, mepivacaine, Mannitol may increase the excretion rate of Mepivacaine which could result in a lower serum level and potentially a reduction in efficacy.]
[N02AX05, meptazinol, The therapeutic efficacy of Mannitol can be decreased when used in combination with Meptazinol.]
[G04BX16, tiopronin, Mannitol may increase the excretion rate of Tiopronin which could result in a lower serum level and potentially a reduction in efficacy.]
[C03BC01, mersalyl, The risk or severity of adverse effects can be increased when Mersalyl is combined with Mannitol.]
[N05AX13, paliperidone, The serum concentration of Mannitol can be increased when it is combined with Paliperidone.]
[A10BA02, metformin, Mannitol may increase the excretion rate of Metformin which could result in a lower serum level and potentially a reduction in efficacy.]
[N07BC02, methadone, Mannitol may increase the excretion rate of Methadone which could result in a lower serum level and potentially a reduction in efficacy.]
[N06BA03, methamphetamine, Mannitol may increase the excretion rate of Metamfetamine which could result in a lower serum level and potentially a reduction in efficacy.]
[J05AF05, lamivudine, Mannitol may increase the excretion rate of Lamivudine which could result in a lower serum level and potentially a reduction in efficacy.]
[S01EC05, methazolamide, The risk or severity of adverse effects can be increased when Methazolamide is combined with Mannitol.]
[H03BB02, methimazole, Mannitol may increase the excretion rate of Methimazole which could result in a lower serum level and potentially a reduction in efficacy.]
[L01BA04, pemetrexed, Mannitol may decrease the excretion rate of Pemetrexed which could result in a higher serum level.]
[N05CA15, methohexital, Methohexital may increase the hypotensive activities of Mannitol.]
[A11HA02, pyridoxine, Mannitol may increase the excretion rate of Pyridoxine which could result in a lower serum level and potentially a reduction in efficacy.]
[N02BG08, ziconotide, The risk or severity of CNS depression can be increased when Mannitol is combined with Ziconotide.]
[L04AX03, methotrexate, The risk or severity of nephrotoxicity can be increased when Mannitol is combined with Methotrexate.]
[D05BA02, methoxsalen, Mannitol may increase the excretion rate of Methoxsalen which could result in a lower serum level and potentially a reduction in efficacy.]
[C03AA08, methyclothiazide, The risk or severity of adverse effects can be increased when Methyclothiazide is combined with Mannitol.]
[A06AC06, methylcellulose, The risk or severity of adverse effects can be increased when Mannitol is combined with Methylcellulose.]
[C02AB01, methyldopa, Mannitol may increase the excretion rate of Methyldopa which could result in a lower serum level and potentially a reduction in efficacy.]
[V04CG05, methylene blue, Methylene blue may increase the orthostatic hypotensive activities of Mannitol.]
[G03EK01, methyltestosterone, Mannitol may increase the excretion rate of Methyltestosterone which could result in a lower serum level and potentially a reduction in efficacy.]
[A03FA01, metoclopramide, Mannitol may increase the excretion rate of Metoclopramide which could result in a lower serum level and potentially a reduction in efficacy.]
[C03BA08, metolazone, The risk or severity of adverse effects can be increased when Metolazone is combined with Mannitol.]
[C07AB02, metoprolol, Mannitol may increase the excretion rate of Metoprolol which could result in a lower serum level and potentially a reduction in efficacy.]
[V04CD01, metyrapone, Mannitol may increase the excretion rate of Metyrapone which could result in a lower serum level and potentially a reduction in efficacy.]
[N02BB03, aminopyrine, The risk or severity of nephrotoxicity can be increased when Mannitol is combined with Aminophenazone.]
[B01AB07, parnaparin, The risk or severity of hyperkalemia can be increased when Mannitol is combined with Parnaparin.]
[N05CD08, midazolam, Mannitol may increase the excretion rate of Midazolam which could result in a lower serum level and potentially a reduction in efficacy.]
[G03XB01, mifepristone, The serum concentration of Mannitol can be increased when it is combined with Mifepristone.]
[B01AB10, tinzaparin, The risk or severity of hyperkalemia can be increased when Mannitol is combined with Tinzaparin.]
