[S02DA03, antipyrine, The metabolism of Flunarizine can be decreased when combined with Antipyrine.]
[S02DA04, dibucaine, The risk or severity of methemoglobinemia can be increased when Flunarizine is combined with Cinchocaine.]
[S01BC03, diclofenac, The metabolism of Flunarizine can be decreased when combined with Diclofenac.]
[A03AA07, dicyclomine, Flunarizine may increase the central nervous system depressant (CNS depressant) activities of Dicyclomine.]
[A03AX04, pinaverium, Flunarizine may increase the arrhythmogenic activities of Pinaverium.]
[A10BG03, pioglitazone, The risk or severity of hypoglycemia can be increased when Flunarizine is combined with Pioglitazone.]
[N05AD05, pipamperone, The risk or severity of adverse effects can be increased when Flunarizine is combined with Pipamperone.]
[A03AB14, pipenzolate, Flunarizine may increase the central nervous system depressant (CNS depressant) activities of Pipenzolate.]
[L01EB02, erlotinib, The metabolism of Erlotinib can be decreased when combined with Flunarizine.]
[A08AA03, diethylpropion, Diethylpropion may decrease the sedative and stimulatory activities of Flunarizine.]
[L02AA01, diethylstilbestrol, The metabolism of Diethylstilbestrol can be increased when combined with Flunarizine.]
[C08CA03, isradipine, Isradipine may increase the arrhythmogenic activities of Flunarizine.]
[A03AB11, poldine, Flunarizine may increase the central nervous system depressant (CNS depressant) activities of Poldine.]
[N02BA11, diflunisal, The risk or severity of hyperkalemia can be increased when Diflunisal is combined with Flunarizine.]
[C01AA04, digitoxin, Digitoxin may increase the arrhythmogenic activities of Flunarizine.]
[C01AA05, digoxin, Digoxin may increase the arrhythmogenic activities of Flunarizine.]
[C02DB01, dihydralazine, The metabolism of Flunarizine can be decreased when combined with Dihydralazine.]
[N02CA01, dihydroergotamine, The risk or severity of hypotension can be increased when Dihydroergotamine is combined with Flunarizine.]
[N02AA03, hydromorphone, The risk or severity of adverse effects can be increased when Hydromorphone is combined with Flunarizine.]
[J05AE08, atazanavir, The metabolism of Flunarizine can be decreased when combined with Atazanavir.]
[B01AC21, treprostinil, The metabolism of Flunarizine can be decreased when combined with Treprostinil.]
[H03BC01, potassium perchlorate, Potassium perchlorate may increase the hyperkalemic activities of Flunarizine.]
[D04AB07, pramoxine, The risk or severity of methemoglobinemia can be increased when Flunarizine is combined with Pramocaine.]
[C08DB01, diltiazem, Diltiazem may increase the arrhythmogenic activities of Flunarizine.]
[R06AA11, dimenhydrinate, The risk or severity of adverse effects can be increased when Dimenhydrinate is combined with Flunarizine.]
[M03BX03, pridinol, The risk or severity of adverse effects can be increased when Flunarizine is combined with Pridinol.]
[R06AB03, dimethindene, Flunarizine may increase the central nervous system depressant (CNS depressant) activities of Dimetindene.]
[M02AX03, dimethyl sulfoxide, The metabolism of Flunarizine can be decreased when combined with Dimethyl sulfoxide.]
[N03AG05, progabide, The risk or severity of adverse effects can be increased when Progabide is combined with Flunarizine.]
[N06BC02, propentofylline, Flunarizine may increase the excretion rate of Propentofylline which could result in a lower serum level and potentially a reduction in efficacy.]
[N02BB04, propyphenazone, The risk or severity of hyperkalemia can be increased when Flunarizine is combined with Propyphenazone.]
[M01AB14, proglumetacin, The risk or severity of hyperkalemia can be increased when Flunarizine is combined with Proglumetacin.]
[C05CA03, diosmin, The metabolism of Flunarizine can be decreased when combined with Diosmin.]
[S01HA04, proparacaine, The risk or severity of methemoglobinemia can be increased when Flunarizine is combined with Proparacaine.]
[R03DA03, proxyphylline, Flunarizine may increase the excretion rate of Proxyphylline which could result in a lower serum level and potentially a reduction in efficacy.]
[R06AA02, diphenhydramine, The risk or severity of methemoglobinemia can be increased when Flunarizine is combined with Diphenhydramine.]
[A07DA01, diphenoxylate, The risk or severity of adverse effects can be increased when Diphenoxylate is combined with Flunarizine.]
[N05CD10, quazepam, The risk or severity of adverse effects can be increased when Quazepam is combined with Flunarizine.]
[C09AA06, quinapril, The risk or severity of hyperkalemia can be increased when Quinapril is combined with Flunarizine.]
[N06BA11, dexmethylphenidate, The risk or severity of adverse effects can be increased when Flunarizine is combined with Dexmethylphenidate.]
[N06AA23, quinupramine, The risk or severity of adverse effects can be increased when Flunarizine is combined with Quinupramine.]
[A03FA02, cisapride, The metabolism of Flunarizine can be decreased when combined with Cisapride.]
[C09AA05, ramipril, The risk or severity of hyperkalemia can be increased when Ramipril is combined with Flunarizine.]
[S01XA23, sirolimus, Flunarizine may increase the immunosuppressive activities of Sirolimus.]
[N05AL04, remoxipride, The risk or severity of adverse effects can be increased when Remoxipride is combined with Flunarizine.]
[C01BA03, disopyramide, Disopyramide may increase the arrhythmogenic activities of Flunarizine.]
[P03AA04, disulfiram, The therapeutic efficacy of Flunarizine can be decreased when used in combination with Disulfiram.]
[S02AA12, rifamycin SV, The metabolism of Flunarizine can be increased when combined with Rifamycin.]
[J04AB05, rifapentine, The metabolism of Flunarizine can be increased when combined with Rifapentine.]
[N07XX02, riluzole, The risk or severity of adverse effects can be increased when Riluzole is combined with Flunarizine.]
[N05AX08, risperidone, The risk or severity of hypotension can be increased when Risperidone is combined with Flunarizine.]
[R06AE09, levocetirizine, The risk or severity of adverse effects can be increased when Flunarizine is combined with Levocetirizine.]
[N01BB09, ropivacaine, The risk or severity of methemoglobinemia can be increased when Flunarizine is combined with Ropivacaine.]
[J01MB01, rosoxacin, The metabolism of Flunarizine can be decreased when combined with Rosoxacin.]
[L01EX01, sunitinib, The risk or severity of hypoglycemia can be increased when Flunarizine is combined with Sunitinib.]
[A04AD12, aprepitant, The metabolism of Flunarizine can be decreased when combined with Aprepitant.]
[C03XA01, tolvaptan, The risk or severity of hyperkalemia can be increased when Flunarizine is combined with Tolvaptan.]
[L01XG01, bortezomib, The metabolism of Flunarizine can be decreased when combined with Bortezomib.]
[S01BC05, ketorolac, The risk or severity of hyperkalemia can be increased when Ketorolac is combined with Flunarizine.]
[C01EB18, ranolazine, The serum concentration of Flunarizine can be increased when it is combined with Ranolazine.]
[N02BA06, salsalate, The risk or severity of hyperkalemia can be increased when Salsalate is combined with Flunarizine.]
[A03FA03, domperidone, The metabolism of Flunarizine can be decreased when combined with Domperidone.]
[N06AA16, dothiepin, The metabolism of Flunarizine can be decreased when combined with Dosulepin.]
[N06AA12, doxepin, Flunarizine may increase the central nervous system depressant (CNS depressant) activities of Doxepin.]
[A06AB06, sennosides, USP, The therapeutic efficacy of Sennosides can be decreased when used in combination with Flunarizine.]
[L01DB01, doxorubicin, The metabolism of Flunarizine can be decreased when combined with Doxorubicin.]
[R06AA09, doxylamine, Doxylamine may increase the central nervous system depressant (CNS depressant) activities of Flunarizine.]
[N06AB06, sertraline, The risk or severity of adverse effects can be increased when Flunarizine is combined with Sertraline.]
[N01AB08, sevoflurane, The risk or severity of hypotension can be increased when Sevoflurane is combined with Flunarizine.]
[N05AD08, droperidol, Droperidol may increase the central nervous system depressant (CNS depressant) activities of Flunarizine.]
[A08AA10, sibutramine, The risk or severity of adverse effects can be increased when Flunarizine is combined with Sibutramine.]
[C10AA01, simvastatin, The metabolism of Flunarizine can be decreased when combined with Simvastatin.]
[V03AG05, sodium phosphate, Sodium phosphate, monobasic may increase the hyperkalemic activities of Flunarizine.]
[A12CA02, sodium sulfate, The therapeutic efficacy of Sodium sulfate can be decreased when used in combination with Flunarizine.]
[C09AA11, spirapril, The risk or severity of hyperkalemia can be increased when Spirapril is combined with Flunarizine.]
[R03DA01, dyphylline, Flunarizine may increase the excretion rate of Dyphylline which could result in a lower serum level and potentially a reduction in efficacy.]
[N05AL02, sultopride, The risk or severity of adverse effects can be increased when Flunarizine is combined with Sultopride.]
[N02CC01, sumatriptan, The risk or severity of adverse effects can be increased when Sumatriptan is combined with Flunarizine.]
[C07AB13, talinolol, Flunarizine may increase the arrhythmogenic activities of Talinolol.]
[J01MA05, temafloxacin, The metabolism of Flunarizine can be decreased when combined with Temafloxacin.]
[M01AC02, tenoxicam, The risk or severity of hyperkalemia can be increased when Tenoxicam is combined with Flunarizine.]
[G04CA03, terazosin, The risk or severity of hypotension can be increased when Terazosin is combined with Flunarizine.]
[D01BA02, terbinafine, The metabolism of Flunarizine can be decreased when combined with Terbinafine.]
[G04BD05, terodiline, Flunarizine may increase the arrhythmogenic activities of Terodiline.]
[C07AA16, tertatolol, Flunarizine may increase the arrhythmogenic activities of Tertatolol.]
[A08AB01, orlistat, Orlistat can cause a decrease in the absorption of Flunarizine resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[M03BX07, tetrazepam, The risk or severity of adverse effects can be increased when Flunarizine is combined with Tetrazepam.]
[M03BX05, thiocolchicoside, The risk or severity of adverse effects can be increased when Flunarizine is combined with Thiocolchicoside.]
[N05AB05, thiopropazate, The risk or severity of adverse effects can be increased when Flunarizine is combined with Thiopropazate.]
[G04BD01, emepronium, Flunarizine may increase the central nervous system depressant (CNS depressant) activities of Emepronium.]
[N06AX14, tianeptine, The risk or severity of adverse effects can be increased when Flunarizine is combined with Tianeptine.]
[C09AA02, enalapril, The risk or severity of hyperkalemia can be increased when Enalapril is combined with Flunarizine.]
[N05BA23, tofisopam, The risk or severity of adverse effects can be increased when Flunarizine is combined with Tofisopam.]
[M01AG02, tolfenamic acid, Flunarizine may increase the bradycardic activities of Tolfenamic acid.]
[N06AG03, toloxatone, The risk or severity of adverse effects can be increased when Flunarizine is combined with Toloxatone.]
[N06BA09, atomoxetine, The metabolism of Flunarizine can be decreased when combined with Atomoxetine.]
[N03AX11, topiramate, The risk or severity of adverse effects can be increased when Topiramate is combined with Flunarizine.]
[C03CA04, torsemide, The metabolism of Flunarizine can be decreased when combined with Torasemide.]
[C09AA10, trandolapril, The risk or severity of hyperkalemia can be increased when Trandolapril is combined with Flunarizine.]
[N05CD11, triazulenone, The risk or severity of adverse effects can be increased when Flunarizine is combined with Loprazolam.]
[N05CC01, chloral hydrate, The risk or severity of adverse effects can be increased when Chloral hydrate is combined with Flunarizine.]
[N05CM07, triclofos, The risk or severity of adverse effects can be increased when Flunarizine is combined with Triclofos.]
[A03AB08, tridihexethyl, Flunarizine may increase the central nervous system depressant (CNS depressant) activities of Tridihexethyl.]
[R06AA10, trimethobenzamide, The risk or severity of adverse effects can be increased when Trimethobenzamide is combined with Flunarizine.]
[N04AA12, tropatepine, Flunarizine may increase the central nervous system depressant (CNS depressant) activities of Tropatepine.]
[N01AB04, enflurane, The risk or severity of adverse effects can be increased when Enflurane is combined with Flunarizine.]
[C02CA06, urapidil, The risk or severity of hypotension can be increased when Urapidil is combined with Flunarizine.]
[J01MA04, enoxacin, The metabolism of Flunarizine can be decreased when combined with Enoxacin.]
[N05AL06, veralipride, The risk or severity of adverse effects can be increased when Flunarizine is combined with Veralipride.]
[L01CA04, vinorelbine, The metabolism of Flunarizine can be decreased when combined with Vinorelbine.]
[S01GX10, epinastine, The risk or severity of adverse effects can be increased when Epinastine is combined with Flunarizine.]
[N06AX16, venlafaxine, The metabolism of Flunarizine can be decreased when combined with Venlafaxine.]
[S01GA03, xylometazoline, Flunarizine may increase the arrhythmogenic activities of Xylometazoline.]
[C08CA12, mepirodipine, Flunarizine may increase the arrhythmogenic activities of Barnidipine.]
[S01EA01, epinephrine, The metabolism of Flunarizine can be decreased when combined with Epinephrine.]
[C09AA15, zofenopril, The risk or severity of hyperkalemia can be increased when Flunarizine is combined with Zofenopril.]
[N05CF02, zolpidem, Flunarizine may increase the central nervous system depressant (CNS depressant) activities of Zolpidem.]
[M01AB04, zomepirac, The risk or severity of hyperkalemia can be increased when Zomepirac is combined with Flunarizine.]
[N03AX15, zonisamide, Zonisamide may increase the arrhythmogenic activities of Flunarizine.]
[A10AB06, insulin glulisine, human, The risk or severity of hypoglycemia can be increased when Flunarizine is combined with Insulin glulisine.]
[N05CF01, zopiclone, The risk or severity of adverse effects can be increased when Flunarizine is combined with Zopiclone.]
[N05AX11, zotepine, The risk or severity of adverse effects can be increased when Flunarizine is combined with Zotepine.]
[C02AC02, guanfacine, The risk or severity of adverse effects can be increased when Guanfacine is combined with Flunarizine.]
[C01BG01, moricizine, Moricizine may increase the arrhythmogenic activities of Flunarizine.]
[G02AB03, ergonovine, The risk or severity of adverse effects can be increased when Ergometrine is combined with Flunarizine.]
[C04AE01, ergoloid mesylates, USP, The risk or severity of adverse effects can be increased when Ergoloid mesylate is combined with Flunarizine.]
[N02CA02, ergotamine, The metabolism of Flunarizine can be decreased when combined with Ergotamine.]
[N03AG01, valproic acid, The risk or severity of adverse effects can be increased when Valproic acid is combined with Flunarizine.]
[C01DA13, erythrityl tetranitrate, Flunarizine may increase the vasodilatory activities of Erythrityl tetranitrate.]
[S01AA17, erythromycin, The risk or severity of QTc prolongation and hypotension can be increased when Erythromycin is combined with Flunarizine.]
[N05CD04, estazolam, The risk or severity of adverse effects can be increased when Estazolam is combined with Flunarizine.]
[H05BX01, cinacalcet, The metabolism of Flunarizine can be decreased when combined with Cinacalcet.]
[G03CA03, estradiol, The metabolism of Estradiol can be increased when combined with Flunarizine.]
[G03CA57, estrogens, conjugated (USP), The metabolism of Flunarizine can be decreased when combined with Conjugated estrogens.]
[J04AK02, ethambutol, The metabolism of Flunarizine can be decreased when combined with Ethambutol.]
[C10AA04, fluvastatin, The metabolism of Flunarizine can be decreased when combined with Fluvastatin.]
[C01CA15, gepefrine, Gepefrine may decrease the sedative and stimulatory activities of Flunarizine.]
[N05CM08, ethchlorvynol, The risk or severity of adverse effects can be increased when Ethchlorvynol is combined with Flunarizine.]
[L02AA03, ethinyl estradiol, The metabolism of Ethinylestradiol can be increased when combined with Flunarizine.]
[C01BD05, ibutilide, Ibutilide may increase the arrhythmogenic activities of Flunarizine.]
[N04AA05, profenamine, Flunarizine may increase the central nervous system depressant (CNS depressant) activities of Profenamine.]
[N03AD01, ethosuximide, Ethosuximide may increase the arrhythmogenic activities of Flunarizine.]
[N03AB01, ethotoin, The risk or severity of adverse effects can be increased when Ethotoin is combined with Flunarizine.]
[N01BX01, ethyl chloride, The risk or severity of methemoglobinemia can be increased when Flunarizine is combined with Ethyl chloride.]
[M01AC06, meloxicam, The risk or severity of methemoglobinemia can be increased when Flunarizine is combined with Meloxicam.]
[S01XA06, ethylmorphine, The risk or severity of adverse effects can be increased when Ethylmorphine is combined with Flunarizine.]
[N01BB07, etidocaine, The risk or severity of methemoglobinemia can be increased when Flunarizine is combined with Etidocaine.]
[N01AX07, etomidate, The risk or severity of adverse effects can be increased when Etomidate is combined with Flunarizine.]
[L01CB01, etoposide, The metabolism of Flunarizine can be decreased when combined with Etoposide.]
[N05AE03, sertindole, The risk or severity of adverse effects can be increased when Flunarizine is combined with Sertindole.]
[C01BA05, ajmaline, Ajmaline may increase the arrhythmogenic activities of Flunarizine.]
[L04AD02, tacrolimus, Flunarizine may increase the immunosuppressive activities of Tacrolimus.]
[R06AX11, astemizole, The metabolism of Astemizole can be decreased when combined with Flunarizine.]
[R06AX12, terfenadine, The metabolism of Flunarizine can be decreased when combined with Terfenadine.]
[N06AX12, bupropion, The metabolism of Flunarizine can be decreased when combined with Bupropion.]
[N06AB08, fluvoxamine, The metabolism of Flunarizine can be decreased when combined with Fluvoxamine.]
[C01BB03, tocainide, Tocainide may increase the arrhythmogenic activities of Flunarizine.]
[C01BC08, encainide, Encainide may increase the arrhythmogenic activities of Flunarizine.]
[A02BA03, famotidine, The metabolism of Flunarizine can be decreased when combined with Famotidine.]
[P02CA03, albendazole, The metabolism of Flunarizine can be increased when combined with Albendazole.]
[C08CA02, felodipine, Felodipine may increase the arrhythmogenic activities of Flunarizine.]
[C08EA01, fendiline, Flunarizine may increase the arrhythmogenic activities of Fendiline.]
[N03AX26, fenfluramine, The risk or severity of adverse effects can be increased when Fenfluramine is combined with Flunarizine.]
[M01AE04, fenoprofen, The risk or severity of hyperkalemia can be increased when Fenoprofen is combined with Flunarizine.]
[N02AB03, fentanyl, The risk or severity of adverse effects can be increased when Fentanyl is combined with Flunarizine.]
[N07AX03, cevimeline, The metabolism of Flunarizine can be decreased when combined with Cevimeline.]
[G04BD02, flavoxate, Flunarizine may increase the central nervous system depressant (CNS depressant) activities of Flavoxate.]
[C01BC04, flecainide, Flecainide may increase the arrhythmogenic activities of Flunarizine.]
[N02BG04, floctafenine, The risk or severity of hyperkalemia can be increased when Flunarizine is combined with Floctafenine.]
[J02AC01, fluconazole, The metabolism of Flunarizine can be decreased when combined with Fluconazole.]
[S01AA13, fusidic acid, The metabolism of Flunarizine can be decreased when combined with Fusidic acid.]
[J01MB04, pipemidic acid, The metabolism of Flunarizine can be decreased when combined with Pipemidic acid.]
[N07XX04, sodium oxybate, Flunarizine may increase the central nervous system depressant (CNS depressant) activities of Sodium oxybate.]
[M01AG01, mefenamic acid, The metabolism of Flunarizine can be decreased when combined with Mefenamic acid.]
[C01DA05, pentaerythritol tetranitrate, Flunarizine may increase the vasodilatory activities of Pentaerythritol tetranitrate.]
[N05CD03, flunitrazepam, The risk or severity of adverse effects can be increased when Flunitrazepam is combined with Flunarizine.]
[N06AA14, melitracen, The risk or severity of adverse effects can be increased when Flunarizine is combined with Melitracen.]
[V03AZ01, ethanol, Flunarizine may increase the central nervous system depressant (CNS depressant) activities of Ethanol.]
[L01BC09, floxuridine, The metabolism of Flunarizine can be decreased when combined with Floxuridine.]
[L01BC02, fluorouracil, The metabolism of Fluorouracil can be decreased when combined with Flunarizine.]
[N06AB03, fluoxetine, The serum concentration of Flunarizine can be increased when it is combined with Fluoxetine.]
[N05AF01, flupenthixol, Flunarizine may increase the central nervous system depressant (CNS depressant) activities of Flupentixol.]
[N05AB02, fluphenazine, The risk or severity of adverse effects can be increased when Fluphenazine is combined with Flunarizine.]
[N05CD01, flurazepam, The risk or severity of adverse effects can be increased when Flurazepam is combined with Flunarizine.]
[S01BC04, flurbiprofen, The risk or severity of hyperkalemia can be increased when Flurbiprofen is combined with Flunarizine.]
[N05AG01, fluspirilene, Flunarizine may increase the arrhythmogenic activities of Fluspirilene.]
[L02BB01, flutamide, The metabolism of Flunarizine can be decreased when combined with Flutamide.]
[L01BC03, tegafur, The metabolism of Tegafur can be decreased when combined with Flunarizine.]
[M03AA01, alcuronium, Flunarizine may increase the neuromuscular blocking activities of Alcuronium.]
[G01AX06, furazolidone, The risk or severity of adverse effects can be increased when Furazolidone is combined with Flunarizine.]
[J05AE10, darunavir, The serum concentration of Flunarizine can be increased when it is combined with Darunavir.]
[N05CF04, eszopiclone, The risk or severity of CNS depression can be increased when Flunarizine is combined with Eszopiclone.]
[N05AL05, amisulpride, The risk or severity of adverse effects can be increased when Flunarizine is combined with Amisulpride.]
[N06DA04, galantamine, Galantamine may increase the bradycardic activities of Flunarizine.]
[M03AC02, gallamine, Flunarizine may increase the neuromuscular blocking activities of Gallamine.]
[C08DA02, gallopamil, Flunarizine may increase the arrhythmogenic activities of Gallopamil.]
[S01AD09, ganciclovir, The therapeutic efficacy of Flunarizine can be decreased when used in combination with Ganciclovir.]
[N03AA04, barbexaclone, The metabolism of Flunarizine can be increased when combined with Barbexaclone.]
[N06AX08, bifemelane, The risk or severity of adverse effects can be increased when Flunarizine is combined with Bifemelane.]
[C10AB04, gemfibrozil, The metabolism of Flunarizine can be decreased when combined with Gemfibrozil.]
[L01EA02, dasatinib, The metabolism of Flunarizine can be decreased when combined with Dasatinib.]
[N04BC06, cabergoline, The risk or severity of adverse effects can be increased when Cabergoline is combined with Flunarizine.]
[C01CA21, cafedrine, Flunarizine may increase the excretion rate of Cafedrine which could result in a lower serum level and potentially a reduction in efficacy.]
[A10BJ02, liraglutide, The risk or severity of hypoglycemia can be increased when Flunarizine is combined with Liraglutide.]
[J05AG04, etravirine, The metabolism of Flunarizine can be decreased when combined with Etravirine.]
[A12AA10, calcium gluceptate, The therapeutic efficacy of Flunarizine can be decreased when used in combination with Calcium glucoheptonate.]
[A12AA30, calcium levulinate, The therapeutic efficacy of Flunarizine can be decreased when used in combination with Calcium levulinate.]
[N03AD03, methsuximide, Flunarizine may increase the arrhythmogenic activities of Methsuximide.]
[G03XA02, gestrinone, The metabolism of Gestrinone can be increased when combined with Flunarizine.]
[N01AH02, alfentanil, The risk or severity of adverse effects can be increased when Alfentanil is combined with Flunarizine.]
[A10BB01, glyburide, The metabolism of Flunarizine can be decreased when combined with Glyburide.]
[A10BB09, gliclazide, The risk or severity of hypoglycemia can be increased when Flunarizine is combined with Gliclazide.]
[A10BB07, glipizide, The risk or severity of hypoglycemia can be increased when Flunarizine is combined with Glipizide.]
[N05CM18, dexmedetomidine, The risk or severity of adverse effects can be increased when Dexmedetomidine is combined with Flunarizine.]
[N05CE01, glutethimide, The risk or severity of adverse effects can be increased when Glutethimide is combined with Flunarizine.]
[A06AX01, glycerin, The therapeutic efficacy of Glycerin can be decreased when used in combination with Flunarizine.]
[C05AE01, nitroglycerin, Flunarizine may increase the vasodilatory activities of Nitroglycerin.]
[C01BD04, dofetilide, Dofetilide may increase the arrhythmogenic activities of Flunarizine.]
[C02CA04, doxazosin, The risk or severity of hypotension can be increased when Doxazosin is combined with Flunarizine.]
[L01EX02, sorafenib, The metabolism of Flunarizine can be decreased when combined with Sorafenib.]
[C07AB09, esmolol, Esmolol may increase the arrhythmogenic activities of Flunarizine.]
[B01AA12, fluindione, The metabolism of Fluindione can be decreased when combined with Flunarizine.]
[C09AA09, fosinopril, The risk or severity of hyperkalemia can be increased when Fosinopril is combined with Flunarizine.]
[P01BX01, halofantrine, The metabolism of Flunarizine can be decreased when combined with Halofantrine.]
[N05AD01, haloperidol, The risk or severity of CNS depression can be increased when Haloperidol is combined with Flunarizine.]
[N01AB01, halothane, The risk or severity of adverse effects can be increased when Halothane is combined with Flunarizine.]
[N05AH04, quetiapine, Flunarizine may increase the central nervous system depressant (CNS depressant) activities of Quetiapine.]
[A10AD05, insulin aspart, human, The risk or severity of hypoglycemia can be increased when Flunarizine is combined with Insulin aspart.]
[N02CX03, iprazochrome, The risk or severity of adverse effects can be increased when Flunarizine is combined with Iprazochrome.]
[N05CA21, allobarbital, The risk or severity of adverse effects can be increased when Flunarizine is combined with Allobarbital.]
[C09CA01, losartan, Losartan may increase the arrhythmogenic activities of Flunarizine.]
[S01XA14, heparin, The risk or severity of hyperkalemia can be increased when Heparin is combined with Flunarizine.]
[B05CB03, magnesium citrate, The risk or severity of hypotension can be increased when Magnesium citrate is combined with Flunarizine.]
[A12CC03, magnesium gluconate, The risk or severity of hypotension can be increased when Magnesium gluconate is combined with Flunarizine.]
[A07EC02, mesalamine, The risk or severity of hyperkalemia can be increased when Mesalazine is combined with Flunarizine.]
[A12CD02, sodium monofluorophosphate, The therapeutic efficacy of Sodium fluorophosphate can be decreased when used in combination with Flunarizine.]
[N05CA16, hexobarbital, The metabolism of Flunarizine can be increased when combined with Hexobarbital.]
[J05AG01, nevirapine, The metabolism of Flunarizine can be decreased when combined with Nevirapine.]
[C08CA10, nilvadipine, Flunarizine may increase the arrhythmogenic activities of Nilvadipine.]
[M02AA26, nimesulide, Nimesulide may increase the arrhythmogenic activities of Flunarizine.]
[C09AA04, perindopril, The risk or severity of hyperkalemia can be increased when Perindopril is combined with Flunarizine.]
[R05DA03, hydrocodone, Flunarizine may increase the central nervous system depressant (CNS depressant) activities of Hydrocodone.]
[S02BA01, hydrocortisone, The metabolism of Flunarizine can be increased when combined with Hydrocortisone.]
[B05XA17, potassium acetate, Potassium acetate may increase the hyperkalemic activities of Flunarizine.]
[S01XA07, aluminum potassium sulfate, Potassium alum may increase the hyperkalemic activities of Flunarizine.]
[A12BA02, potassium citrate, Potassium citrate may increase the hyperkalemic activities of Flunarizine.]
[G04BD06, propiverine, Flunarizine may increase the central nervous system depressant (CNS depressant) activities of Propiverine.]
[P01BA02, hydroxychloroquine, The therapeutic efficacy of Flunarizine can be decreased when used in combination with Hydroxychloroquine.]
[N05AX07, prothipendyl, The risk or severity of adverse effects can be increased when Flunarizine is combined with Prothipendyl.]
[N05BB01, hydroxyzine, Hydroxyzine may increase the central nervous system depressant (CNS depressant) activities of Flunarizine.]
[R02AX02, ibuprofen, The risk or severity of hyperkalemia can be increased when Ibuprofen is combined with Flunarizine.]
[L01DB06, idarubicin, The metabolism of Flunarizine can be decreased when combined with Idarubicin.]
[A06AD21, sodium tartrate, The therapeutic efficacy of Sodium tartrate can be decreased when used in combination with Flunarizine.]
[L01AA06, ifosfamide, The metabolism of Flunarizine can be decreased when combined with Ifosfamide.]
[H01AC02, somatrem, The metabolism of Flunarizine can be increased when combined with Somatrem.]
[N01AH03, sufentanil, The risk or severity of adverse effects can be increased when Sufentanil is combined with Flunarizine.]
[N06AA02, imipramine, The metabolism of Flunarizine can be decreased when combined with Imipramine.]
[M03BX02, tizanidine, The risk or severity of adverse effects can be increased when Tizanidine is combined with Flunarizine.]
[L01CE01, topotecan, Flunarizine may increase the excretion rate of Topotecan which could result in a lower serum level and potentially a reduction in efficacy.]
[S01BC01, indomethacin, The risk or severity of hyperkalemia can be increased when Indomethacin is combined with Flunarizine.]
[C02CA02, indoramin, The risk or severity of hypotension can be increased when Indoramin is combined with Flunarizine.]
[L03AB04, interferon alfa-2a, The metabolism of Flunarizine can be decreased when combined with Interferon alfa-2a.]
[L03AB05, interferon alfa-2b, The metabolism of Flunarizine can be decreased when combined with Interferon alfa-2b.]
[N06AX17, milnacipran, The risk or severity of adverse effects can be increased when Flunarizine is combined with Milnacipran.]
[A03AA30, piperidolate, Flunarizine may increase the central nervous system depressant (CNS depressant) activities of Piperidolate.]
[N01BB08, articaine, The risk or severity of methemoglobinemia can be increased when Flunarizine is combined with Articaine.]
[A10BH01, sitagliptin, The risk or severity of hypoglycemia can be increased when Flunarizine is combined with Sitagliptin.]
[V08AB02, iohexol, The therapeutic efficacy of Flunarizine can be decreased when used in combination with Iohexol.]
[N05BA12, alprazolam, The risk or severity of adverse effects can be increased when Alprazolam is combined with Flunarizine.]
[N05CH02, ramelteon, The risk or severity of adverse effects can be increased when Ramelteon is combined with Flunarizine.]
[R06AE01, buclizine, Flunarizine may increase the central nervous system depressant (CNS depressant) activities of Buclizine.]
[A10BH02, vildagliptin, The risk or severity of hypoglycemia can be increased when Flunarizine is combined with Vildagliptin.]
[C10AA06, cerivastatin, The metabolism of Flunarizine can be decreased when combined with Cerivastatin.]
[L01XX35, anagrelide, The metabolism of Flunarizine can be decreased when combined with Anagrelide.]
[C07AA01, alprenolol, Alprenolol may increase the arrhythmogenic activities of Flunarizine.]
[L03AB09, interferon alfacon-1, The metabolism of Flunarizine can be decreased when combined with Interferon alfacon-1.]
[V03AB01, ipecac, The metabolism of Ipecac can be decreased when combined with Flunarizine.]
[N06AA13, iprindole, The risk or severity of adverse effects can be increased when Flunarizine is combined with Iprindole.]
[N06AF05, iproniazid, The risk or severity of adverse effects can be increased when Iproniazid is combined with Flunarizine.]
[J05AB13, penciclovir, The metabolism of Flunarizine can be decreased when combined with Penciclovir.]
[N05AA07, chlorproethazine, The risk or severity of adverse effects can be increased when Flunarizine is combined with Chlorproethazine.]
[N06AF01, isocarboxazid, The risk or severity of adverse effects can be increased when Isocarboxazid is combined with Flunarizine.]
[P01AX06, atovaquone, The metabolism of Flunarizine can be decreased when combined with Atovaquone.]
[C09AA16, imidapril, The risk or severity of hyperkalemia can be increased when Flunarizine is combined with Imidapril.]
[N01AB06, isoflurane, The risk or severity of adverse effects can be increased when Isoflurane is combined with Flunarizine.]
[N04BX02, entacapone, The risk or severity of adverse effects can be increased when Entacapone is combined with Flunarizine.]
[J04AC01, isoniazid, The metabolism of Flunarizine can be decreased when combined with Isoniazid.]
[A10BJ01, exenatide, The risk or severity of hypoglycemia can be increased when Flunarizine is combined with Exenatide.]
[C05AE02, isosorbide dinitrate, Flunarizine may increase the vasodilatory activities of Isosorbide dinitrate.]
[N06AX18, reboxetine, The risk or severity of adverse effects can be increased when Reboxetine is combined with Flunarizine.]
[H01AC01, somatropin, The metabolism of Flunarizine can be increased when combined with Somatotropin.]
[L04AC07, tocilizumab, The metabolism of Flunarizine can be increased when combined with Tocilizumab.]
