[S02DA03, antipyrine, The metabolism of Antipyrine can be decreased when combined with Medroxyprogesterone acetate.]
[N05BA10, ketazolam, Medroxyprogesterone acetate may decrease the excretion rate of Ketazolam which could result in a higher serum level.]
[M01AA06, kebuzone, Kebuzone may decrease the excretion rate of Medroxyprogesterone acetate which could result in a higher serum level.]
[L01EA01, imatinib, The metabolism of Imatinib can be decreased when combined with Medroxyprogesterone acetate.]
[J02AC04, posaconazole, The metabolism of Medroxyprogesterone acetate can be decreased when combined with Posaconazole.]
[B03XA02, darbepoetin alfa, The risk or severity of Thrombosis can be increased when Darbepoetin alfa is combined with Medroxyprogesterone acetate.]
[N03AX09, lamotrigine, The metabolism of Medroxyprogesterone acetate can be increased when combined with Lamotrigine.]
[S01BA03, cortisone, The serum concentration of Cortisone can be increased when it is combined with Medroxyprogesterone acetate.]
[N07BC04, lofexidine, Medroxyprogesterone acetate may decrease the excretion rate of Lofexidine which could result in a higher serum level.]
[M01AB09, lonazolac, Lonazolac may decrease the excretion rate of Medroxyprogesterone acetate which could result in a higher serum level.]
[M02AA31, loxoprofen, Loxoprofen may decrease the excretion rate of Medroxyprogesterone acetate which could result in a higher serum level.]
[J01DC08, loracarbef, Loracarbef may decrease the excretion rate of Medroxyprogesterone acetate which could result in a higher serum level.]
[C09AA03, lisinopril, Medroxyprogesterone acetate may decrease the excretion rate of Lisinopril which could result in a higher serum level.]
[A06AD01, magnesium carbonate, Medroxyprogesterone acetate may decrease the excretion rate of Magnesium carbonate which could result in a higher serum level.]
[H02AB15, meprednisone, The serum concentration of Meprednisone can be increased when it is combined with Medroxyprogesterone acetate.]
[J01DH02, meropenem, Medroxyprogesterone acetate may decrease the excretion rate of Meropenem which could result in a higher serum level.]
[J01CA14, methampicillin, The therapeutic efficacy of Medroxyprogesterone acetate can be decreased when used in combination with Metampicillin.]
[C03DA04, eplerenone, Eplerenone may increase the excretion rate of Medroxyprogesterone acetate which could result in a lower serum level and potentially a reduction in efficacy.]
[N05AD03, metylperon, Medroxyprogesterone acetate may decrease the excretion rate of Melperone which could result in a higher serum level.]
[C03AA07, cyclopenthiazide, Cyclopenthiazide may increase the excretion rate of Medroxyprogesterone acetate which could result in a lower serum level and potentially a reduction in efficacy.]
[A10BF02, miglitol, The therapeutic efficacy of Miglitol can be decreased when used in combination with Medroxyprogesterone acetate.]
[J05AF07, tenofovir disoproxil, Tenofovir disoproxil may decrease the excretion rate of Medroxyprogesterone acetate which could result in a higher serum level.]
[L01AA01, cyclophosphamide, The metabolism of Cyclophosphamide can be increased when combined with Medroxyprogesterone acetate.]
[S01XA18, cyclosporine, The metabolism of Cyclosporine can be decreased when combined with Medroxyprogesterone acetate.]
[N06BA07, modafinil, The metabolism of Medroxyprogesterone acetate can be increased when combined with Modafinil.]
[C10AA07, rosuvastatin, Rosuvastatin may decrease the excretion rate of Medroxyprogesterone acetate which could result in a higher serum level.]
[M02AA02, mofebutazone, Mofebutazone may decrease the excretion rate of Medroxyprogesterone acetate which could result in a higher serum level.]
[M01AX22, morniflumate, Morniflumate may decrease the excretion rate of Medroxyprogesterone acetate which could result in a higher serum level.]
[C03XA02, conivaptan, The metabolism of Medroxyprogesterone acetate can be decreased when combined with Conivaptan.]
[M01AH05, etoricoxib, The metabolism of Etoricoxib can be decreased when combined with Medroxyprogesterone acetate.]
[L01AX04, dacarbazine, Medroxyprogesterone acetate may decrease the excretion rate of Dacarbazine which could result in a higher serum level.]
[G03XA01, danazol, The metabolism of Medroxyprogesterone acetate can be decreased when combined with Danazol.]
[J04BA02, dapsone, The metabolism of Dapsone can be decreased when combined with Medroxyprogesterone acetate.]
[A04AD11, nabilone, The metabolism of Nabilone can be decreased when combined with Medroxyprogesterone acetate.]
[M01AX01, nabumetone, The metabolism of Nabumetone can be decreased when combined with Medroxyprogesterone acetate.]
[N07BB05, nalmefene, Medroxyprogesterone acetate may decrease the excretion rate of Nalmefene which could result in a higher serum level.]
[J01AA01, demeclocycline, The serum concentration of Medroxyprogesterone acetate can be decreased when it is combined with Demeclocycline.]
[S01GX04, nedocromil, Medroxyprogesterone acetate may decrease the excretion rate of Nedocromil which could result in a higher serum level.]
[N06AX06, nefazodone, The metabolism of Medroxyprogesterone acetate can be decreased when combined with Nefazodone.]
[C01DX16, nicorandil, Medroxyprogesterone acetate may decrease the excretion rate of Nicorandil which could result in a higher serum level.]
[L02BB02, nilutamide, Medroxyprogesterone acetate may decrease the excretion rate of Nilutamide which could result in a higher serum level.]
[N03AG06, tiagabine, The metabolism of Medroxyprogesterone acetate can be increased when combined with Tiagabine.]
[G03DB04, nomegestrol, The metabolism of Nomegestrol can be increased when combined with Medroxyprogesterone acetate.]
[B01AX05, fondaparinux, The risk or severity of adverse effects can be increased when Medroxyprogesterone acetate is combined with Fondaparinux.]
[A07EC03, olsalazine, Olsalazine may decrease the excretion rate of Medroxyprogesterone acetate which could result in a higher serum level.]
[N06AA01, desipramine, Medroxyprogesterone acetate may decrease the excretion rate of Desipramine which could result in a higher serum level.]
[H01BA02, desmopressin, Desmopressin may decrease the excretion rate of Medroxyprogesterone acetate which could result in a higher serum level.]
[D07XC02, desoximetasone, The serum concentration of Desoximetasone can be increased when it is combined with Medroxyprogesterone acetate.]
[V04CH02, indigo carmine, Medroxyprogesterone acetate may decrease the excretion rate of Indigotindisulfonic acid which could result in a higher serum level.]
[H02AA03, desoxycorticosterone, The serum concentration of Desoxycortone can be increased when it is combined with Medroxyprogesterone acetate.]
[J01DH03, ertapenem, Ertapenem may decrease the excretion rate of Medroxyprogesterone acetate which could result in a higher serum level.]
[M01AE12, oxaprozin, Oxaprozin may decrease the excretion rate of Medroxyprogesterone acetate which could result in a higher serum level.]
[N03AF02, oxcarbazepine, The metabolism of Medroxyprogesterone acetate can be increased when combined with Oxcarbazepine.]
[S03BA01, dexamethasone, The serum concentration of Dexamethasone can be increased when it is combined with Medroxyprogesterone acetate.]
[N06BA02, dextroamphetamine, Amphetamine may decrease the excretion rate of Medroxyprogesterone acetate which could result in a higher serum level.]
[R05DA09, dextromethorphan, The metabolism of Dextromethorphan can be decreased when combined with Medroxyprogesterone acetate.]
[N03AC01, paramethadione, The metabolism of Medroxyprogesterone acetate can be increased when combined with Paramethadione.]
[B01AC04, clopidogrel, The metabolism of Clopidogrel can be decreased when combined with Medroxyprogesterone acetate.]
[C01DA05, pentaerythritol tetranitrate, Medroxyprogesterone acetate may decrease the excretion rate of Pentaerythritol tetranitrate which could result in a higher serum level.]
[P03AC04, permethrin, Medroxyprogesterone acetate may decrease the excretion rate of Permethrin which could result in a higher serum level.]
[N05BA01, diazepam, The metabolism of Medroxyprogesterone acetate can be increased when combined with Diazepam.]
[N03AX07, phenacemide, The metabolism of Medroxyprogesterone acetate can be increased when combined with Phenacemide.]
[J01CE05, phenethicillin, The therapeutic efficacy of Medroxyprogesterone acetate can be decreased when used in combination with Pheneticillin.]
[R02AA19, phenol, The risk or severity of methemoglobinemia can be increased when Medroxyprogesterone acetate is combined with Phenol.]
[N03AD02, phensuximide, The metabolism of Medroxyprogesterone acetate can be increased when combined with Phensuximide.]
[S02DA04, dibucaine, The risk or severity of methemoglobinemia can be increased when Medroxyprogesterone acetate is combined with Cinchocaine.]
[R05DA08, pholcodine, Medroxyprogesterone acetate may decrease the excretion rate of Pholcodine which could result in a higher serum level.]
[S01EC02, dichlorphenamide, Diclofenamide may increase the excretion rate of Medroxyprogesterone acetate which could result in a lower serum level and potentially a reduction in efficacy.]
[S01BC03, diclofenac, The metabolism of Diclofenac can be decreased when combined with Medroxyprogesterone acetate.]
[J01CF01, dicloxacillin, The metabolism of Medroxyprogesterone acetate can be increased when combined with Dicloxacillin.]
[J05AD01, foscarnet, Foscarnet may decrease the excretion rate of Medroxyprogesterone acetate which could result in a higher serum level.]
[A03AA07, dicyclomine, Medroxyprogesterone acetate may decrease the excretion rate of Dicyclomine which could result in a higher serum level.]
[J05AF02, didanosine, Medroxyprogesterone acetate may decrease the excretion rate of Didanosine which could result in a higher serum level.]
[A10BG03, pioglitazone, The therapeutic efficacy of Pioglitazone can be decreased when used in combination with Medroxyprogesterone acetate.]
[L01DC04, ixabepilone, The metabolism of Ixabepilone can be increased when combined with Medroxyprogesterone acetate.]
[L01EB02, erlotinib, The serum concentration of Erlotinib can be decreased when it is combined with Medroxyprogesterone acetate.]
[C03CA03, piretanide, Piretanide may increase the excretion rate of Medroxyprogesterone acetate which could result in a lower serum level and potentially a reduction in efficacy.]
[L02AA01, diethylstilbestrol, The metabolism of Diethylstilbestrol can be decreased when combined with Medroxyprogesterone acetate.]
[C08CA03, isradipine, The metabolism of Medroxyprogesterone acetate can be decreased when combined with Isradipine.]
[D07XC04, diflucortolone, The serum concentration of Difluocortolone can be increased when it is combined with Medroxyprogesterone acetate.]
[N02BA11, diflunisal, Diflunisal may decrease the excretion rate of Medroxyprogesterone acetate which could result in a higher serum level.]
[C01AA04, digitoxin, The metabolism of Digitoxin can be increased when combined with Medroxyprogesterone acetate.]
[C01AA05, digoxin, Medroxyprogesterone acetate may decrease the excretion rate of Digoxin which could result in a higher serum level.]
[C04AE04, dihydroergocristine, The metabolism of Dihydroergocristine can be increased when combined with Medroxyprogesterone acetate.]
[N02CA01, dihydroergotamine, The metabolism of Dihydroergotamine can be increased when combined with Medroxyprogesterone acetate.]
[N02AA03, hydromorphone, The metabolism of Hydromorphone can be decreased when combined with Medroxyprogesterone acetate.]
[L04AX04, lenalidomide, Lenalidomide may decrease the excretion rate of Medroxyprogesterone acetate which could result in a higher serum level.]
[J05AE08, atazanavir, The serum concentration of Medroxyprogesterone acetate can be increased when it is combined with Atazanavir.]
[B01AC21, treprostinil, The metabolism of Treprostinil can be decreased when combined with Medroxyprogesterone acetate.]
[H03BC01, potassium perchlorate, Medroxyprogesterone acetate may decrease the excretion rate of Potassium perchlorate which could result in a higher serum level.]
[V03AB04, pralidoxime, Medroxyprogesterone acetate may decrease the excretion rate of Pralidoxime which could result in a higher serum level.]
[D04AB07, pramoxine, The risk or severity of methemoglobinemia can be increased when Medroxyprogesterone acetate is combined with Pramocaine.]
[C08DB01, diltiazem, The metabolism of Medroxyprogesterone acetate can be decreased when combined with Diltiazem.]
[V03AB09, dimercaprol, Medroxyprogesterone acetate may decrease the excretion rate of Dimercaprol which could result in a higher serum level.]
[M02AX03, dimethyl sulfoxide, Medroxyprogesterone acetate may decrease the excretion rate of Dimethyl sulfoxide which could result in a higher serum level.]
[N03AG05, progabide, The metabolism of Medroxyprogesterone acetate can be increased when combined with Progabide.]
[J01CE03, propicillin, The therapeutic efficacy of Medroxyprogesterone acetate can be decreased when used in combination with Propicillin.]
[N02BB04, propyphenazone, Propyphenazone may decrease the excretion rate of Medroxyprogesterone acetate which could result in a higher serum level.]
[M01AB14, proglumetacin, Proglumetacin may decrease the excretion rate of Medroxyprogesterone acetate which could result in a higher serum level.]
[S01HA04, proparacaine, The risk or severity of methemoglobinemia can be increased when Medroxyprogesterone acetate is combined with Proparacaine.]
[R06AA02, diphenhydramine, The risk or severity of methemoglobinemia can be increased when Medroxyprogesterone acetate is combined with Diphenhydramine.]
[N05CD10, quazepam, The metabolism of Quazepam can be decreased when combined with Medroxyprogesterone acetate.]
[B01AC07, dipyridamole, The risk or severity of adverse effects can be increased when Medroxyprogesterone acetate is combined with Dipyridamole.]
[B01AD10, drotrecogin alfa, The risk or severity of adverse effects can be increased when Medroxyprogesterone acetate is combined with Drotrecogin alfa.]
[A03FA02, cisapride, The metabolism of Cisapride can be decreased when combined with Medroxyprogesterone acetate.]
[S01XA23, sirolimus, The metabolism of Sirolimus can be increased when combined with Medroxyprogesterone acetate.]
[S01AX06, resorcinol, Medroxyprogesterone acetate may decrease the excretion rate of Resorcinol which could result in a higher serum level.]
[C01BA03, disopyramide, The therapeutic efficacy of Disopyramide can be decreased when used in combination with Medroxyprogesterone acetate.]
[S02AA12, rifamycin SV, The metabolism of Medroxyprogesterone acetate can be increased when combined with Rifamycin.]
[J04AB05, rifapentine, The metabolism of Medroxyprogesterone acetate can be increased when combined with Rifapentine.]
[N07XX02, riluzole, The metabolism of Medroxyprogesterone acetate can be increased when combined with Riluzole.]
[R06AE09, levocetirizine, Medroxyprogesterone acetate may decrease the excretion rate of Levocetirizine which could result in a higher serum level.]
[N01BB09, ropivacaine, The risk or severity of methemoglobinemia can be increased when Medroxyprogesterone acetate is combined with Ropivacaine.]
[L01EX01, sunitinib, The metabolism of Sunitinib can be increased when combined with Medroxyprogesterone acetate.]
[A04AD12, aprepitant, The serum concentration of Medroxyprogesterone acetate can be decreased when it is combined with Aprepitant.]
[C03XA01, tolvaptan, The metabolism of Tolvaptan can be increased when combined with Medroxyprogesterone acetate.]
[L01XG01, bortezomib, The metabolism of Bortezomib can be increased when combined with Medroxyprogesterone acetate.]
[G04BE08, tadalafil, Medroxyprogesterone acetate may decrease the excretion rate of Tadalafil which could result in a higher serum level.]
[S01BC05, ketorolac, The metabolism of Ketorolac can be decreased when combined with Medroxyprogesterone acetate.]
[C01EB18, ranolazine, The metabolism of Ranolazine can be increased when combined with Medroxyprogesterone acetate.]
[N02BA06, salsalate, Salsalate may decrease the excretion rate of Medroxyprogesterone acetate which could result in a higher serum level.]
[H05BA01, salmon calcitonin, Salmon calcitonin may decrease the excretion rate of Medroxyprogesterone acetate which could result in a higher serum level.]
[C01CA07, dobutamine, Medroxyprogesterone acetate may decrease the excretion rate of Dobutamine which could result in a higher serum level.]
[A03FA03, domperidone, The metabolism of Domperidone can be decreased when combined with Medroxyprogesterone acetate.]
[C01CA04, dopamine, Medroxyprogesterone acetate may decrease the excretion rate of Dopamine which could result in a higher serum level.]
[N06AA12, doxepin, The metabolism of Doxepin can be decreased when combined with Medroxyprogesterone acetate.]
[L01DB01, doxorubicin, The metabolism of Doxorubicin can be increased when combined with Medroxyprogesterone acetate.]
[J01AA02, doxycycline, The serum concentration of Medroxyprogesterone acetate can be decreased when it is combined with Doxycycline.]
[N06AB06, sertraline, The metabolism of Sertraline can be decreased when combined with Medroxyprogesterone acetate.]
[A08AA10, sibutramine, Medroxyprogesterone acetate may decrease the excretion rate of Sibutramine which could result in a higher serum level.]
[C10AA01, simvastatin, The metabolism of Simvastatin can be decreased when combined with Medroxyprogesterone acetate.]
[A12CA02, sodium sulfate, Medroxyprogesterone acetate may decrease the excretion rate of Sodium sulfate which could result in a higher serum level.]
[R03DA01, dyphylline, Medroxyprogesterone acetate may decrease the excretion rate of Dyphylline which could result in a higher serum level.]
[N02CC01, sumatriptan, Medroxyprogesterone acetate may decrease the excretion rate of Sumatriptan which could result in a higher serum level.]
[V04CX07, edrophonium, Medroxyprogesterone acetate may decrease the excretion rate of Edrophonium which could result in a higher serum level.]
[H01AA01, corticotropin, The serum concentration of Corticotropin can be increased when it is combined with Medroxyprogesterone acetate.]
[J01CA17, temocillin, The therapeutic efficacy of Medroxyprogesterone acetate can be decreased when used in combination with Temocillin.]
[L01AX03, temozolomide, Medroxyprogesterone acetate may decrease the excretion rate of Temozolomide which could result in a higher serum level.]
[M01AC02, tenoxicam, The metabolism of Tenoxicam can be decreased when combined with Medroxyprogesterone acetate.]
[D01BA02, terbinafine, The metabolism of Terbinafine can be decreased when combined with Medroxyprogesterone acetate.]
[N06AX14, tianeptine, The metabolism of Tianeptine can be increased when combined with Medroxyprogesterone acetate.]
[M01AG02, tolfenamic acid, Tolfenamic acid may decrease the excretion rate of Medroxyprogesterone acetate which could result in a higher serum level.]
[N06AG03, toloxatone, Medroxyprogesterone acetate may decrease the excretion rate of Toloxatone which could result in a higher serum level.]
[N06BA09, atomoxetine, Atomoxetine may decrease the excretion rate of Medroxyprogesterone acetate which could result in a higher serum level.]
[N03AX11, topiramate, The metabolism of Medroxyprogesterone acetate can be increased when combined with Topiramate.]
[C03CA04, torsemide, The metabolism of Torasemide can be decreased when combined with Medroxyprogesterone acetate.]
[J01AA12, tigecycline, The serum concentration of Medroxyprogesterone acetate can be decreased when it is combined with Tigecycline.]
[N05CC01, chloral hydrate, Medroxyprogesterone acetate may decrease the excretion rate of Chloral hydrate which could result in a higher serum level.]
[B01AC18, triflusal, The risk or severity of adverse effects can be increased when Medroxyprogesterone acetate is combined with Triflusal.]
[H02CA01, trilostane, The serum concentration of Trilostane can be increased when it is combined with Medroxyprogesterone acetate.]
[C05CA04, troxerutin, The risk or severity of adverse effects can be increased when Medroxyprogesterone acetate is combined with Troxerutin.]
[L01CA04, vinorelbine, The metabolism of Vinorelbine can be increased when combined with Medroxyprogesterone acetate.]
[N06AX16, venlafaxine, Venlafaxine may decrease the excretion rate of Medroxyprogesterone acetate which could result in a higher serum level.]
[C08CA12, mepirodipine, The metabolism of Medroxyprogesterone acetate can be decreased when combined with Barnidipine.]
[N05CF02, zolpidem, The metabolism of Zolpidem can be increased when combined with Medroxyprogesterone acetate.]
[M01AB04, zomepirac, Zomepirac may decrease the excretion rate of Medroxyprogesterone acetate which could result in a higher serum level.]
[N03AX15, zonisamide, The metabolism of Medroxyprogesterone acetate can be increased when combined with Zonisamide.]
[A10AB06, insulin glulisine, human, The therapeutic efficacy of Insulin glulisine can be decreased when used in combination with Medroxyprogesterone acetate.]
[N05CF01, zopiclone, The metabolism of Zopiclone can be decreased when combined with Medroxyprogesterone acetate.]
[B01AD03, anistreplase, The risk or severity of adverse effects can be increased when Medroxyprogesterone acetate is combined with Anistreplase.]
[L01XA02, carboplatin, Carboplatin may decrease the excretion rate of Medroxyprogesterone acetate which could result in a higher serum level.]
[C02AC02, guanfacine, Medroxyprogesterone acetate may decrease the excretion rate of Guanfacine which could result in a higher serum level.]
[N02CA02, ergotamine, The metabolism of Medroxyprogesterone acetate can be decreased when combined with Ergotamine.]
[N03AG01, valproic acid, The metabolism of Medroxyprogesterone acetate can be increased when combined with Valproic acid.]
[L03AX05, pidotimod, Medroxyprogesterone acetate may decrease the excretion rate of Pidotimod which could result in a higher serum level.]
[S01AA17, erythromycin, The metabolism of Medroxyprogesterone acetate can be decreased when combined with Erythromycin.]
[N05CD04, estazolam, The metabolism of Medroxyprogesterone acetate can be increased when combined with Estazolam.]
[A02BC02, pantoprazole, Pantoprazole may decrease the excretion rate of Medroxyprogesterone acetate which could result in a higher serum level.]
[J04AK02, ethambutol, Ethambutol may decrease the excretion rate of Medroxyprogesterone acetate which could result in a higher serum level.]
[R03BA09, fluticasone furoate, The serum concentration of Fluticasone furoate can be increased when it is combined with Medroxyprogesterone acetate.]
[R03BA05, fluticasone, The serum concentration of Fluticasone can be increased when it is combined with Medroxyprogesterone acetate.]
[C10AA04, fluvastatin, The metabolism of Fluvastatin can be decreased when combined with Medroxyprogesterone acetate.]
[V08CA03, gadodiamide, Gadodiamide may decrease the excretion rate of Medroxyprogesterone acetate which could result in a higher serum level.]
[L02AA03, ethinyl estradiol, The metabolism of Ethinylestradiol can be decreased when combined with Medroxyprogesterone acetate.]
[C01BD05, ibutilide, Ibutilide may decrease the excretion rate of Medroxyprogesterone acetate which could result in a higher serum level.]
[N03AD01, ethosuximide, The metabolism of Medroxyprogesterone acetate can be increased when combined with Ethosuximide.]
[N03AB01, ethotoin, The metabolism of Medroxyprogesterone acetate can be increased when combined with Ethotoin.]
[N01BX01, ethyl chloride, The risk or severity of methemoglobinemia can be increased when Medroxyprogesterone acetate is combined with Ethyl chloride.]
[M01AC06, meloxicam, The risk or severity of methemoglobinemia can be increased when Medroxyprogesterone acetate is combined with Meloxicam.]
[N01BB07, etidocaine, The risk or severity of methemoglobinemia can be increased when Medroxyprogesterone acetate is combined with Etidocaine.]
[N01AX07, etomidate, Etomidate may decrease the excretion rate of Medroxyprogesterone acetate which could result in a higher serum level.]
[L01CB01, etoposide, The metabolism of Etoposide can be increased when combined with Medroxyprogesterone acetate.]
[D05BB01, etretinate, The therapeutic efficacy of Medroxyprogesterone acetate can be decreased when used in combination with Etretinate.]
[L04AD02, tacrolimus, The metabolism of Tacrolimus can be increased when combined with Medroxyprogesterone acetate.]
[R06AX11, astemizole, The metabolism of Astemizole can be increased when combined with Medroxyprogesterone acetate.]
[R06AX12, terfenadine, The metabolism of Medroxyprogesterone acetate can be decreased when combined with Terfenadine.]
[P01AX07, trimetrexate, Medroxyprogesterone acetate may decrease the excretion rate of Trimetrexate which could result in a higher serum level.]
[N06AX12, bupropion, The metabolism of Bupropion can be decreased when combined with Medroxyprogesterone acetate.]
[N06AB08, fluvoxamine, The metabolism of Medroxyprogesterone acetate can be decreased when combined with Fluvoxamine.]
[L02AE02, leuprolide, Leuprolide may decrease the excretion rate of Medroxyprogesterone acetate which could result in a higher serum level.]
[M01CB01, gold sodium thiomalate, Medroxyprogesterone acetate may decrease the excretion rate of Sodium aurothiomalate which could result in a higher serum level.]
[A05AA01, chenodeoxycholic acid, The therapeutic efficacy of Chenodeoxycholic acid can be decreased when used in combination with Medroxyprogesterone acetate.]
[D11AX24, deoxycholic acid, The therapeutic efficacy of Deoxycholic acid can be decreased when used in combination with Medroxyprogesterone acetate.]
[B05AA05, dextran, The risk or severity of adverse effects can be increased when Medroxyprogesterone acetate is combined with Dextran.]
[V03AF02, dexrazoxane, Dexrazoxane may decrease the excretion rate of Medroxyprogesterone acetate which could result in a higher serum level.]
[A16AA01, levocarnitine, Levocarnitine may decrease the excretion rate of Medroxyprogesterone acetate which could result in a higher serum level.]
[P02CA03, albendazole, The metabolism of Albendazole can be increased when combined with Medroxyprogesterone acetate.]
[N03AX26, fenfluramine, The metabolism of Medroxyprogesterone acetate can be increased when combined with Fenfluramine.]
[M01AE04, fenoprofen, Fenoprofen may decrease the excretion rate of Medroxyprogesterone acetate which could result in a higher serum level.]
[N02AB03, fentanyl, Medroxyprogesterone acetate may decrease the excretion rate of Fentanyl which could result in a higher serum level.]
[R03CC02, albuterol, Medroxyprogesterone acetate may decrease the excretion rate of Salbutamol which could result in a higher serum level.]
[B01AD05, plasmin, The risk or severity of adverse effects can be increased when Medroxyprogesterone acetate is combined with Fibrinolysin.]
[L01BB06, clofarabine, Medroxyprogesterone acetate may decrease the excretion rate of Clofarabine which could result in a higher serum level.]
[N07AX03, cevimeline, Cevimeline may decrease the excretion rate of Medroxyprogesterone acetate which could result in a higher serum level.]
[G04BD02, flavoxate, Medroxyprogesterone acetate may decrease the excretion rate of Flavoxate which could result in a higher serum level.]
[N02BG04, floctafenine, Floctafenine may decrease the excretion rate of Medroxyprogesterone acetate which could result in a higher serum level.]
[J01CF05, floxacillin, The metabolism of Medroxyprogesterone acetate can be increased when combined with Flucloxacillin.]
[J02AC01, fluconazole, The bioavailability of Medroxyprogesterone acetate can be increased when combined with Fluconazole.]
[J02AX01, flucytosine, Medroxyprogesterone acetate may decrease the excretion rate of Flucytosine which could result in a higher serum level.]
[H02AA02, fludrocortisone, The serum concentration of Fludrocortisone can be increased when it is combined with Medroxyprogesterone acetate.]
[V03AB25, flumazenil, Medroxyprogesterone acetate may decrease the excretion rate of Flumazenil which could result in a higher serum level.]
[D07XB01, flumethasone, The serum concentration of Flumethasone can be increased when it is combined with Medroxyprogesterone acetate.]
[N07CA03, flunarizine, The metabolism of Medroxyprogesterone acetate can be increased when combined with Flunarizine.]
[N05CD03, flunitrazepam, The metabolism of Flunitrazepam can be decreased when combined with Medroxyprogesterone acetate.]
[D07AC08, fluocinonide, The serum concentration of Fluocinonide can be increased when it is combined with Medroxyprogesterone acetate.]
[H02AB03, fluocortolone, The serum concentration of Fluocortolone can be increased when it is combined with Medroxyprogesterone acetate.]
[V03AZ01, ethanol, The metabolism of Medroxyprogesterone acetate can be increased when combined with Ethanol.]
[L01BC09, floxuridine, Floxuridine may decrease the excretion rate of Medroxyprogesterone acetate which could result in a higher serum level.]
[S01CB05, fluorometholone, The serum concentration of Fluorometholone can be increased when it is combined with Medroxyprogesterone acetate.]
[L01BC02, fluorouracil, The metabolism of Fluorouracil can be decreased when combined with Medroxyprogesterone acetate.]
[N06AB03, fluoxetine, The metabolism of Fluoxetine can be decreased when combined with Medroxyprogesterone acetate.]
[N05CD01, flurazepam, Medroxyprogesterone acetate may decrease the excretion rate of Flurazepam which could result in a higher serum level.]
[S01BC04, flurbiprofen, The metabolism of Flurbiprofen can be decreased when combined with Medroxyprogesterone acetate.]
[L02BB01, flutamide, Flutamide may decrease the excretion rate of Medroxyprogesterone acetate which could result in a higher serum level.]
[V04CX02, folic acid, Folic acid may decrease the excretion rate of Medroxyprogesterone acetate which could result in a higher serum level.]
[S02AA17, fosfomycin, Medroxyprogesterone acetate may decrease the excretion rate of Fosfomycin which could result in a higher serum level.]
[S01AA07, framycetin, Framycetin may decrease the excretion rate of Medroxyprogesterone acetate which could result in a higher serum level.]
[L01BC03, tegafur, The metabolism of Tegafur can be decreased when combined with Medroxyprogesterone acetate.]
[J05AE10, darunavir, The therapeutic efficacy of Medroxyprogesterone acetate can be decreased when used in combination with Darunavir.]
[C03CA01, furosemide, Furosemide may increase the excretion rate of Medroxyprogesterone acetate which could result in a lower serum level and potentially a reduction in efficacy.]
[N05CF04, eszopiclone, The serum concentration of Eszopiclone can be decreased when it is combined with Medroxyprogesterone acetate.]
[S01AD09, ganciclovir, Medroxyprogesterone acetate may decrease the excretion rate of Ganciclovir which could result in a higher serum level.]
[N03AA04, barbexaclone, The metabolism of Medroxyprogesterone acetate can be increased when combined with Barbexaclone.]
[C10AB04, gemfibrozil, Medroxyprogesterone acetate may decrease the excretion rate of Gemfibrozil which could result in a higher serum level.]
[J01XA03, telavancin, Medroxyprogesterone acetate may decrease the excretion rate of Telavancin which could result in a higher serum level.]
[L01EA02, dasatinib, The metabolism of Dasatinib can be increased when combined with Medroxyprogesterone acetate.]
[N04BC06, cabergoline, The metabolism of Cabergoline can be increased when combined with Medroxyprogesterone acetate.]
[A10BJ02, liraglutide, The therapeutic efficacy of Liraglutide can be decreased when used in combination with Medroxyprogesterone acetate.]
[J05AG04, etravirine, The metabolism of Medroxyprogesterone acetate can be increased when combined with Etravirine.]
[N03AD03, methsuximide, The metabolism of Medroxyprogesterone acetate can be increased when combined with Methsuximide.]
[G03XA02, gestrinone, The metabolism of Gestrinone can be increased when combined with Medroxyprogesterone acetate.]
[L01EH01, lapatinib, The metabolism of Lapatinib can be decreased when combined with Medroxyprogesterone acetate.]
[A10BB01, glyburide, The therapeutic efficacy of Glyburide can be decreased when used in combination with Medroxyprogesterone acetate.]
[A10BB09, gliclazide, The therapeutic efficacy of Gliclazide can be decreased when used in combination with Medroxyprogesterone acetate.]
[A10BB07, glipizide, The therapeutic efficacy of Glipizide can be decreased when used in combination with Medroxyprogesterone acetate.]
[N05CM18, dexmedetomidine, Medroxyprogesterone acetate may decrease the excretion rate of Dexmedetomidine which could result in a higher serum level.]
[C01BD04, dofetilide, The metabolism of Dofetilide can be increased when combined with Medroxyprogesterone acetate.]
[C02CA04, doxazosin, The metabolism of Doxazosin can be increased when combined with Medroxyprogesterone acetate.]
[L01EX02, sorafenib, The metabolism of Sorafenib can be increased when combined with Medroxyprogesterone acetate.]
[M01CB04, aurothioglucose, Medroxyprogesterone acetate may decrease the excretion rate of Aurothioglucose which could result in a higher serum level.]
[S01LA03, pegaptanib, Medroxyprogesterone acetate may decrease the excretion rate of Pegaptanib which could result in a higher serum level.]
[B01AA12, fluindione, The risk or severity of adverse effects can be increased when Medroxyprogesterone acetate is combined with Fluindione.]
[C09AA09, fosinopril, Fosinopril may decrease the excretion rate of Medroxyprogesterone acetate which could result in a higher serum level.]
[D01BA01, griseofulvin, The metabolism of Medroxyprogesterone acetate can be increased when combined with Griseofulvin.]
[S01EX01, guanethidine, Medroxyprogesterone acetate may decrease the excretion rate of Guanethidine which could result in a higher serum level.]
[L02AE03, goserelin, Goserelin may decrease the excretion rate of Medroxyprogesterone acetate which could result in a higher serum level.]
