[S02DA03, antipyrine, The metabolism of Antipyrine can be decreased when combined with Chloroquine.]
[J05AF07, tenofovir disoproxil, Tenofovir disoproxil may decrease the excretion rate of Chloroquine which could result in a higher serum level.]
[L01AA01, cyclophosphamide, The metabolism of Cyclophosphamide can be decreased when combined with Chloroquine.]
[N06AX07, minaprine, The metabolism of Minaprine can be decreased when combined with Chloroquine.]
[S01XA18, cyclosporine, The serum concentration of Cyclosporine can be increased when it is combined with Chloroquine.]
[N06AG02, moclobemide, The metabolism of Moclobemide can be decreased when combined with Chloroquine.]
[N06BA07, modafinil, The metabolism of Chloroquine can be increased when combined with Modafinil.]
[R06AX02, cyproheptadine, The risk or severity of QTc prolongation can be increased when Cyproheptadine is combined with Chloroquine.]
[C09AA13, moexipril, The risk or severity of QTc prolongation can be increased when Moexipril is combined with Chloroquine.]
[C10AA07, rosuvastatin, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Chloroquine is combined with Rosuvastatin.]
[M02AA02, mofebutazone, Mofebutazone may decrease the excretion rate of Chloroquine which could result in a higher serum level.]
[M01AX22, morniflumate, Morniflumate may decrease the excretion rate of Chloroquine which could result in a higher serum level.]
[C03XA02, conivaptan, The metabolism of Chloroquine can be decreased when combined with Conivaptan.]
[L01BC01, cytarabine, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Chloroquine is combined with Cytarabine.]
[G04BE09, vardenafil, The risk or severity of QTc prolongation can be increased when Vardenafil is combined with Chloroquine.]
[M01AH05, etoricoxib, Etoricoxib may decrease the excretion rate of Chloroquine which could result in a higher serum level.]
[L01AX04, dacarbazine, Chloroquine may decrease the excretion rate of Dacarbazine which could result in a higher serum level.]
[G03XA01, danazol, The metabolism of Chloroquine can be decreased when combined with Danazol.]
[M03CA01, dantrolene, The risk or severity of neuromuscular blockade can be increased when Chloroquine is combined with Dantrolene.]
[J04BA02, dapsone, The risk or severity of methemoglobinemia can be increased when Dapsone is combined with Chloroquine.]
[L01DB02, daunorubicin, The metabolism of Chloroquine can be increased when combined with Daunorubicin.]
[C02CC04, debrisoquin, The metabolism of Debrisoquine can be decreased when combined with Chloroquine.]
[M01AX01, nabumetone, Nabumetone may decrease the excretion rate of Chloroquine which could result in a higher serum level.]
[N07BB05, nalmefene, Chloroquine may decrease the excretion rate of Nalmefene which could result in a higher serum level.]
[J01AA01, demeclocycline, The risk or severity of neuromuscular blockade can be increased when Chloroquine is combined with Demeclocycline.]
[C07AB12, nebivolol, The metabolism of Nebivolol can be decreased when combined with Chloroquine.]
[S01GX04, nedocromil, Chloroquine may decrease the excretion rate of Nedocromil which could result in a higher serum level.]
[N06AX06, nefazodone, The metabolism of Chloroquine can be decreased when combined with Nefazodone.]
[C01DX16, nicorandil, Chloroquine may decrease the excretion rate of Nicorandil which could result in a higher serum level.]
[L02BB02, nilutamide, The metabolism of Chloroquine can be decreased when combined with Nilutamide.]
[N03AG06, tiagabine, The therapeutic efficacy of Tiagabine can be decreased when used in combination with Chloroquine.]
[M03AC11, cisatracurium, The therapeutic efficacy of Cisatracurium can be increased when used in combination with Chloroquine.]
[B01AX05, fondaparinux, Fondaparinux may decrease the excretion rate of Chloroquine which could result in a higher serum level.]
[N06AB10, escitalopram, The serum concentration of Chloroquine can be increased when it is combined with Escitalopram.]
[G04BD08, solifenacin, The metabolism of Solifenacin can be decreased when combined with Chloroquine.]
[A07EC03, olsalazine, Olsalazine may decrease the excretion rate of Chloroquine which could result in a higher serum level.]
[N06AA01, desipramine, The metabolism of Desipramine can be decreased when combined with Chloroquine.]
[C01AA07, deslanoside, The serum concentration of Deslanoside can be increased when it is combined with Chloroquine.]
[H01BA02, desmopressin, Desmopressin may decrease the excretion rate of Chloroquine which could result in a higher serum level.]
[J01DH03, ertapenem, Ertapenem may decrease the excretion rate of Chloroquine which could result in a higher serum level.]
[L01XA03, oxaliplatin, The risk or severity of QTc prolongation can be increased when Oxaliplatin is combined with Chloroquine.]
[M01AE12, oxaprozin, Oxaprozin may decrease the excretion rate of Chloroquine which could result in a higher serum level.]
[N03AF02, oxcarbazepine, The metabolism of Chloroquine can be increased when combined with Oxcarbazepine.]
[S03BA01, dexamethasone, The metabolism of Chloroquine can be increased when combined with Dexamethasone.]
[G04BD04, oxybutynin, The metabolism of Chloroquine can be decreased when combined with Oxybutynin.]
[A08AA04, dexfenfluramine, The metabolism of Dexfenfluramine can be decreased when combined with Chloroquine.]
[L04AB04, adalimumab, The metabolism of Chloroquine can be increased when combined with Adalimumab.]
[L01EB01, gefitinib, The metabolism of Gefitinib can be decreased when combined with Chloroquine.]
[N06BA02, dextroamphetamine, The metabolism of Amphetamine can be decreased when combined with Chloroquine.]
[R05DA09, dextromethorphan, The metabolism of Dextromethorphan can be decreased when combined with Chloroquine.]
[N03AC01, paramethadione, The metabolism of Paramethadione can be decreased when combined with Chloroquine.]
[N06AB05, paroxetine, The metabolism of Paroxetine can be decreased when combined with Chloroquine.]
[B01AC04, clopidogrel, The metabolism of Chloroquine can be decreased when combined with Clopidogrel.]
[C01DA05, pentaerythritol tetranitrate, Chloroquine may decrease the excretion rate of Pentaerythritol tetranitrate which could result in a higher serum level.]
[P03AC04, permethrin, Chloroquine may decrease the excretion rate of Permethrin which could result in a higher serum level.]
[N05BA01, diazepam, The therapeutic efficacy of Diazepam can be decreased when used in combination with Chloroquine.]
[N03AX07, phenacemide, The therapeutic efficacy of Phenacemide can be decreased when used in combination with Chloroquine.]
[R02AA19, phenol, The risk or severity of methemoglobinemia can be increased when Chloroquine is combined with Phenol.]
[N03AD02, phensuximide, The therapeutic efficacy of Phensuximide can be decreased when used in combination with Chloroquine.]
[S02DA04, dibucaine, The risk or severity of methemoglobinemia can be increased when Chloroquine is combined with Cinchocaine.]
[R05DA08, pholcodine, Chloroquine may decrease the excretion rate of Pholcodine which could result in a higher serum level.]
[S01EC02, dichlorphenamide, Diclofenamide may increase the excretion rate of Chloroquine which could result in a lower serum level and potentially a reduction in efficacy.]
[S01BC03, diclofenac, The metabolism of Chloroquine can be decreased when combined with Diclofenac.]
[J05AD01, foscarnet, The risk or severity of QTc prolongation can be increased when Foscarnet is combined with Chloroquine.]
[A03AA07, dicyclomine, Chloroquine may decrease the excretion rate of Dicyclomine which could result in a higher serum level.]
[J05AF02, didanosine, Chloroquine may decrease the excretion rate of Didanosine which could result in a higher serum level.]
[A03AX04, pinaverium, The risk or severity of QTc prolongation can be increased when Pinaverium is combined with Chloroquine.]
[A10BG03, pioglitazone, The metabolism of Chloroquine can be decreased when combined with Pioglitazone.]
[L01EB02, erlotinib, The metabolism of Erlotinib can be decreased when combined with Chloroquine.]
[C03CA03, piretanide, Piretanide may increase the excretion rate of Chloroquine which could result in a lower serum level and potentially a reduction in efficacy.]
[A16AB04, agalsidase beta, The therapeutic efficacy of Agalsidase beta can be decreased when used in combination with Chloroquine.]
[L02AA01, diethylstilbestrol, The metabolism of Chloroquine can be decreased when combined with Diethylstilbestrol.]
[C08CA03, isradipine, The metabolism of Chloroquine can be decreased when combined with Isradipine.]
[D07XC04, diflucortolone, The metabolism of Chloroquine can be increased when combined with Difluocortolone.]
[N02BA11, diflunisal, Diflunisal may decrease the excretion rate of Chloroquine which could result in a higher serum level.]
[C01AA04, digitoxin, The serum concentration of Digitoxin can be increased when it is combined with Chloroquine.]
[C01AA05, digoxin, Chloroquine may decrease the excretion rate of Digoxin which could result in a higher serum level.]
[N02AA03, hydromorphone, Hydromorphone may decrease the excretion rate of Chloroquine which could result in a higher serum level.]
[L04AX04, lenalidomide, Lenalidomide may decrease the excretion rate of Chloroquine which could result in a higher serum level.]
[J05AE08, atazanavir, The metabolism of Chloroquine can be decreased when combined with Atazanavir.]
[B01AC21, treprostinil, The metabolism of Chloroquine can be decreased when combined with Treprostinil.]
[H03BC01, potassium perchlorate, Chloroquine may decrease the excretion rate of Potassium perchlorate which could result in a higher serum level.]
[V03AB04, pralidoxime, Chloroquine may decrease the excretion rate of Pralidoxime which could result in a higher serum level.]
[D04AB07, pramoxine, The risk or severity of methemoglobinemia can be increased when Chloroquine is combined with Pramocaine.]
[C08DB01, diltiazem, The metabolism of Diltiazem can be decreased when combined with Chloroquine.]
[R06AA11, dimenhydrinate, The risk or severity of QTc prolongation can be increased when Chloroquine is combined with Dimenhydrinate.]
[V03AB09, dimercaprol, Chloroquine may decrease the excretion rate of Dimercaprol which could result in a higher serum level.]
[M02AX03, dimethyl sulfoxide, The metabolism of Chloroquine can be decreased when combined with Dimethyl sulfoxide.]
[N03AG05, progabide, The therapeutic efficacy of Progabide can be decreased when used in combination with Chloroquine.]
[N02BB04, propyphenazone, Propyphenazone may decrease the excretion rate of Chloroquine which could result in a higher serum level.]
[M01AB14, proglumetacin, Proglumetacin may decrease the excretion rate of Chloroquine which could result in a higher serum level.]
[S01HA04, proparacaine, The risk or severity of methemoglobinemia can be increased when Chloroquine is combined with Proparacaine.]
[R06AA02, diphenhydramine, The metabolism of Diphenhydramine can be decreased when combined with Chloroquine.]
[A03FA02, cisapride, The risk or severity of QTc prolongation can be increased when Chloroquine is combined with Cisapride.]
[S01XA23, sirolimus, The metabolism of Sirolimus can be decreased when combined with Chloroquine.]
[N05AL04, remoxipride, The metabolism of Remoxipride can be decreased when combined with Chloroquine.]
[S01AX06, resorcinol, Chloroquine may decrease the excretion rate of Resorcinol which could result in a higher serum level.]
[C01BA03, disopyramide, The risk or severity of QTc prolongation can be increased when Chloroquine is combined with Disopyramide.]
[P03AA04, disulfiram, The risk or severity of QTc prolongation can be increased when Disulfiram is combined with Chloroquine.]
[S02AA12, rifamycin SV, The metabolism of Chloroquine can be increased when combined with Rifamycin.]
[J04AB05, rifapentine, The metabolism of Chloroquine can be increased when combined with Rifapentine.]
[N07XX02, riluzole, The therapeutic efficacy of Riluzole can be decreased when used in combination with Chloroquine.]
[N05AX08, risperidone, The metabolism of Risperidone can be decreased when combined with Chloroquine.]
[R06AE09, levocetirizine, The risk or severity of QTc prolongation can be increased when Levocetirizine is combined with Chloroquine.]
[N01BB09, ropivacaine, The risk or severity of methemoglobinemia can be increased when Chloroquine is combined with Ropivacaine.]
[J01MB01, rosoxacin, The risk or severity of QTc prolongation can be increased when Rosoxacin is combined with Chloroquine.]
[L01EX01, sunitinib, The metabolism of Sunitinib can be decreased when combined with Chloroquine.]
[A04AD12, aprepitant, The metabolism of Chloroquine can be decreased when combined with Aprepitant.]
[C03XA01, tolvaptan, Tolvaptan may increase the excretion rate of Chloroquine which could result in a lower serum level and potentially a reduction in efficacy.]
[L01XG01, bortezomib, The metabolism of Bortezomib can be decreased when combined with Chloroquine.]
[G04BE08, tadalafil, Chloroquine may decrease the excretion rate of Tadalafil which could result in a higher serum level.]
[S01BC05, ketorolac, The metabolism of Chloroquine can be decreased when combined with Ketorolac.]
[C02KX02, ambrisentan, The metabolism of Ambrisentan can be decreased when combined with Chloroquine.]
[C01EB18, ranolazine, The serum concentration of Chloroquine can be increased when it is combined with Ranolazine.]
[N02BA06, salsalate, Salsalate may decrease the excretion rate of Chloroquine which could result in a higher serum level.]
[R03AC12, salmeterol, The metabolism of Chloroquine can be decreased when combined with Salmeterol.]
[H05BA01, salmon calcitonin, Salmon calcitonin may decrease the excretion rate of Chloroquine which could result in a higher serum level.]
[C01CA07, dobutamine, Chloroquine may decrease the excretion rate of Dobutamine which could result in a higher serum level.]
[A03FA03, domperidone, The metabolism of Domperidone can be decreased when combined with Chloroquine.]
[C01CA04, dopamine, Chloroquine may decrease the excretion rate of Dopamine which could result in a higher serum level.]
[N06AA16, dothiepin, The metabolism of Dosulepin can be decreased when combined with Chloroquine.]
[N06AA12, doxepin, The metabolism of Doxepin can be decreased when combined with Chloroquine.]
[L01DB01, doxorubicin, The metabolism of Chloroquine can be decreased when combined with Doxorubicin.]
[J01AA02, doxycycline, The risk or severity of neuromuscular blockade can be increased when Doxycycline is combined with Chloroquine.]
[R06AA09, doxylamine, The risk or severity of QTc prolongation can be increased when Doxylamine is combined with Chloroquine.]
[N06AB06, sertraline, The metabolism of Sertraline can be decreased when combined with Chloroquine.]
[N01AB08, sevoflurane, The risk or severity of QTc prolongation can be increased when Sevoflurane is combined with Chloroquine.]
[N05AD08, droperidol, The risk or severity of QTc prolongation can be increased when Droperidol is combined with Chloroquine.]
[A08AA10, sibutramine, Chloroquine may decrease the excretion rate of Sibutramine which could result in a higher serum level.]
[C10AA01, simvastatin, The metabolism of Simvastatin can be decreased when combined with Chloroquine.]
[B05XA02, sodium bicarbonate, Sodium bicarbonate can cause a decrease in the absorption of Chloroquine resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[A12CA02, sodium sulfate, Chloroquine may decrease the excretion rate of Sodium sulfate which could result in a higher serum level.]
[R03DA01, dyphylline, Chloroquine may decrease the excretion rate of Dyphylline which could result in a higher serum level.]
[N05AL02, sultopride, The risk or severity of QTc prolongation can be increased when Chloroquine is combined with Sultopride.]
[N02CC01, sumatriptan, Chloroquine may decrease the excretion rate of Sumatriptan which could result in a higher serum level.]
[V04CX07, edrophonium, Chloroquine may decrease the excretion rate of Edrophonium which could result in a higher serum level.]
[C07AB13, talinolol, The metabolism of Talinolol can be decreased when combined with Chloroquine.]
[J01MA05, temafloxacin, The risk or severity of QTc prolongation can be increased when Chloroquine is combined with Temafloxacin.]
[L01AX03, temozolomide, Chloroquine may decrease the excretion rate of Temozolomide which could result in a higher serum level.]
[M01AC02, tenoxicam, Tenoxicam may decrease the excretion rate of Chloroquine which could result in a higher serum level.]
[D01BA02, terbinafine, The metabolism of Chloroquine can be decreased when combined with Terbinafine.]
[G04BD05, terodiline, The risk or severity of QTc prolongation can be increased when Chloroquine is combined with Terodiline.]
[C07AA16, tertatolol, The metabolism of Tertatolol can be decreased when combined with Chloroquine.]
[P01AX02, emetine, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Chloroquine is combined with Emetine.]
[N06AX14, tianeptine, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Chloroquine is combined with Tianeptine.]
[C09AA02, enalapril, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Enalapril is combined with Chloroquine.]
[M01AG02, tolfenamic acid, Tolfenamic acid may decrease the excretion rate of Chloroquine which could result in a higher serum level.]
[N06AG03, toloxatone, Chloroquine may decrease the excretion rate of Toloxatone which could result in a higher serum level.]
[N06BA09, atomoxetine, The metabolism of Atomoxetine can be decreased when combined with Chloroquine.]
[N03AX11, topiramate, The therapeutic efficacy of Topiramate can be decreased when used in combination with Chloroquine.]
[L02BA02, toremifene, The risk or severity of QTc prolongation can be increased when Chloroquine is combined with Toremifene.]
[C03CA04, torsemide, Torasemide may increase the excretion rate of Chloroquine which could result in a lower serum level and potentially a reduction in efficacy.]
[J01AA12, tigecycline, The risk or severity of neuromuscular blockade can be increased when Tigecycline is combined with Chloroquine.]
[L02AE04, triptorelin, The risk or severity of QTc prolongation can be increased when Triptorelin is combined with Chloroquine.]
[J01MA04, enoxacin, The risk or severity of QTc prolongation can be increased when Enoxacin is combined with Chloroquine.]
[L01CA04, vinorelbine, The metabolism of Chloroquine can be decreased when combined with Vinorelbine.]
[S01GX10, epinastine, The metabolism of Epinastine can be decreased when combined with Chloroquine.]
[N06AX16, venlafaxine, The metabolism of Chloroquine can be decreased when combined with Venlafaxine.]
[C08CA12, mepirodipine, The metabolism of Chloroquine can be decreased when combined with Barnidipine.]
[N05CF02, zolpidem, The metabolism of Zolpidem can be decreased when combined with Chloroquine.]
[M01AB04, zomepirac, Zomepirac may decrease the excretion rate of Chloroquine which could result in a higher serum level.]
[N03AX15, zonisamide, Zonisamide may increase the excretion rate of Chloroquine which could result in a lower serum level and potentially a reduction in efficacy.]
[N05CF01, zopiclone, The risk or severity of methemoglobinemia can be increased when Chloroquine is combined with Zopiclone.]
[L01XA02, carboplatin, Carboplatin may decrease the excretion rate of Chloroquine which could result in a higher serum level.]
[C02AC02, guanfacine, Chloroquine may decrease the excretion rate of Guanfacine which could result in a higher serum level.]
[B01AC11, iloprost, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Chloroquine is combined with Iloprost.]
[C01BG01, moricizine, The risk or severity of QTc prolongation can be increased when Chloroquine is combined with Moricizine.]
[N02CA02, ergotamine, The metabolism of Chloroquine can be decreased when combined with Ergotamine.]
[L03AX05, pidotimod, Chloroquine may decrease the excretion rate of Pidotimod which could result in a higher serum level.]
[S01AA17, erythromycin, The risk or severity of QTc prolongation can be increased when Erythromycin is combined with Chloroquine.]
[N05CD04, estazolam, The therapeutic efficacy of Estazolam can be decreased when used in combination with Chloroquine.]
[A02BC02, pantoprazole, Pantoprazole may decrease the excretion rate of Chloroquine which could result in a higher serum level.]
[H05BX01, cinacalcet, The metabolism of Chloroquine can be decreased when combined with Cinacalcet.]
[G03CA03, estradiol, The metabolism of Estradiol can be decreased when combined with Chloroquine.]
[G03CA57, estrogens, conjugated (USP), Conjugated estrogens may decrease the excretion rate of Chloroquine which could result in a higher serum level.]
[J04AK02, ethambutol, Ethambutol may decrease the excretion rate of Chloroquine which could result in a higher serum level.]
[R03BA09, fluticasone furoate, The metabolism of Chloroquine can be decreased when combined with Fluticasone furoate.]
[R03BA05, fluticasone, The metabolism of Chloroquine can be decreased when combined with Fluticasone.]
[C10AA04, fluvastatin, The metabolism of Fluvastatin can be decreased when combined with Chloroquine.]
[V08CA03, gadodiamide, Gadodiamide may decrease the excretion rate of Chloroquine which could result in a higher serum level.]
[L02AA03, ethinyl estradiol, The metabolism of Chloroquine can be decreased when combined with Ethinylestradiol.]
[C01BD05, ibutilide, The risk or severity of QTc prolongation can be increased when Chloroquine is combined with Ibutilide.]
[N03AD01, ethosuximide, The therapeutic efficacy of Ethosuximide can be decreased when used in combination with Chloroquine.]
[N03AB01, ethotoin, The therapeutic efficacy of Ethotoin can be decreased when used in combination with Chloroquine.]
[N01BX01, ethyl chloride, The risk or severity of methemoglobinemia can be increased when Chloroquine is combined with Ethyl chloride.]
[M01AC06, meloxicam, The risk or severity of methemoglobinemia can be increased when Chloroquine is combined with Meloxicam.]
[S01XA06, ethylmorphine, The metabolism of Ethylmorphine can be decreased when combined with Chloroquine.]
[N01BB07, etidocaine, The risk or severity of methemoglobinemia can be increased when Chloroquine is combined with Etidocaine.]
[N01AX07, etomidate, Etomidate may decrease the excretion rate of Chloroquine which could result in a higher serum level.]
[L01CB01, etoposide, The metabolism of Etoposide can be decreased when combined with Chloroquine.]
[N05AE03, sertindole, The metabolism of Sertindole can be decreased when combined with Chloroquine.]
[C01BA05, ajmaline, The risk or severity of QTc prolongation can be increased when Ajmaline is combined with Chloroquine.]
[L04AD02, tacrolimus, The metabolism of Tacrolimus can be decreased when combined with Chloroquine.]
[A02BA04, nizatidine, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Nizatidine is combined with Chloroquine.]
[J01MA08, fleroxacin, The risk or severity of QTc prolongation can be increased when Fleroxacin is combined with Chloroquine.]
[R06AX11, astemizole, The metabolism of Astemizole can be decreased when combined with Chloroquine.]
[R06AX12, terfenadine, The metabolism of Chloroquine can be decreased when combined with Terfenadine.]
[P01AX07, trimetrexate, Chloroquine may decrease the excretion rate of Trimetrexate which could result in a higher serum level.]
[N06AX12, bupropion, The risk or severity of seizure can be increased when Bupropion is combined with Chloroquine.]
[N06AB08, fluvoxamine, The metabolism of Chloroquine can be decreased when combined with Fluvoxamine.]
[C01BC08, encainide, The metabolism of Encainide can be decreased when combined with Chloroquine.]
[L02AE02, leuprolide, The risk or severity of QTc prolongation can be increased when Leuprolide is combined with Chloroquine.]
[C10AA03, pravastatin, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Pravastatin is combined with Chloroquine.]
[M01CB01, gold sodium thiomalate, Chloroquine may decrease the excretion rate of Sodium aurothiomalate which could result in a higher serum level.]
[B05AA05, dextran, Chloroquine may decrease the excretion rate of Dextran which could result in a higher serum level.]
[V03AF02, dexrazoxane, Dexrazoxane may decrease the excretion rate of Chloroquine which could result in a higher serum level.]
[A02BA03, famotidine, The risk or severity of QTc prolongation can be increased when Famotidine is combined with Chloroquine.]
[A16AA01, levocarnitine, Levocarnitine may decrease the excretion rate of Chloroquine which could result in a higher serum level.]
[C08CA02, felodipine, The metabolism of Chloroquine can be decreased when combined with Felodipine.]
[C08EA01, fendiline, The risk or severity of QTc prolongation can be increased when Chloroquine is combined with Fendiline.]
[N03AX26, fenfluramine, The metabolism of Fenfluramine can be decreased when combined with Chloroquine.]
[M01AE04, fenoprofen, Fenoprofen may decrease the excretion rate of Chloroquine which could result in a higher serum level.]
[N02AB03, fentanyl, Chloroquine may decrease the excretion rate of Fentanyl which could result in a higher serum level.]
[R03CC02, albuterol, The risk or severity of QTc prolongation can be increased when Salbutamol is combined with Chloroquine.]
[L01BB06, clofarabine, Chloroquine may decrease the excretion rate of Clofarabine which could result in a higher serum level.]
[L04AA40, cladribine, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Cladribine is combined with Chloroquine.]
[N07AX03, cevimeline, The metabolism of Cevimeline can be decreased when combined with Chloroquine.]
[G04BD02, flavoxate, Chloroquine may decrease the excretion rate of Flavoxate which could result in a higher serum level.]
[C01BC04, flecainide, The metabolism of Flecainide can be decreased when combined with Chloroquine.]
[N02BG04, floctafenine, Floctafenine may decrease the excretion rate of Chloroquine which could result in a higher serum level.]
[J02AC01, fluconazole, The metabolism of Chloroquine can be decreased when combined with Fluconazole.]
[J02AX01, flucytosine, Chloroquine may decrease the excretion rate of Flucytosine which could result in a higher serum level.]
[V03AB25, flumazenil, Chloroquine may decrease the excretion rate of Flumazenil which could result in a higher serum level.]
[N07CA03, flunarizine, The metabolism of Flunarizine can be decreased when combined with Chloroquine.]
[D07AC08, fluocinonide, The metabolism of Chloroquine can be increased when combined with Fluocinonide.]
[H02AB03, fluocortolone, The metabolism of Chloroquine can be increased when combined with Fluocortolone.]
[V03AZ01, ethanol, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Chloroquine is combined with Ethanol.]
[L01BC09, floxuridine, Floxuridine may decrease the excretion rate of Chloroquine which could result in a higher serum level.]
[L01BC02, fluorouracil, The metabolism of Fluorouracil can be decreased when combined with Chloroquine.]
[N06AB03, fluoxetine, The serum concentration of Chloroquine can be increased when it is combined with Fluoxetine.]
[N05AF01, flupenthixol, The risk or severity of QTc prolongation can be increased when Chloroquine is combined with Flupentixol.]
[N05AB02, fluphenazine, The risk or severity of QTc prolongation can be increased when Chloroquine is combined with Fluphenazine.]
[N05CD01, flurazepam, Chloroquine may decrease the excretion rate of Flurazepam which could result in a higher serum level.]
[S01BC04, flurbiprofen, Flurbiprofen may decrease the excretion rate of Chloroquine which could result in a higher serum level.]
[N05AG01, fluspirilene, The risk or severity of QTc prolongation can be increased when Chloroquine is combined with Fluspirilene.]
[L02BB01, flutamide, The risk or severity of methemoglobinemia can be increased when Flutamide is combined with Chloroquine.]
[V04CX02, folic acid, Folic acid may decrease the excretion rate of Chloroquine which could result in a higher serum level.]
[S02AA17, fosfomycin, Chloroquine may decrease the excretion rate of Fosfomycin which could result in a higher serum level.]
[S01AA07, framycetin, The risk or severity of neuromuscular blockade can be increased when Framycetin is combined with Chloroquine.]
[L01BC03, tegafur, The metabolism of Tegafur can be decreased when combined with Chloroquine.]
[M03AA01, alcuronium, The therapeutic efficacy of Alcuronium can be increased when used in combination with Chloroquine.]
[J05AE10, darunavir, The metabolism of Chloroquine can be decreased when combined with Darunavir.]
[C03CA01, furosemide, Furosemide may increase the excretion rate of Chloroquine which could result in a lower serum level and potentially a reduction in efficacy.]
[N05CF04, eszopiclone, The metabolism of Chloroquine can be decreased when combined with Eszopiclone.]
[N05AL05, amisulpride, The risk or severity of QTc prolongation can be increased when Chloroquine is combined with Amisulpride.]
[N06DA04, galantamine, The metabolism of Galantamine can be decreased when combined with Chloroquine.]
[M03AC02, gallamine, The therapeutic efficacy of Gallamine can be increased when used in combination with Chloroquine.]
[C08DA02, gallopamil, The risk or severity of QTc prolongation can be increased when Gallopamil is combined with Chloroquine.]
[S01AD09, ganciclovir, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Chloroquine is combined with Ganciclovir.]
[N03AA04, barbexaclone, The therapeutic efficacy of Barbexaclone can be decreased when used in combination with Chloroquine.]
[C10AB04, gemfibrozil, The metabolism of Chloroquine can be decreased when combined with Gemfibrozil.]
[J01XA03, telavancin, The risk or severity of QTc prolongation can be increased when Chloroquine is combined with Telavancin.]
[L02BX02, degarelix, The risk or severity of QTc prolongation can be increased when Degarelix is combined with Chloroquine.]
[L01EA02, dasatinib, The metabolism of Dasatinib can be decreased when combined with Chloroquine.]
[N03AD03, methsuximide, The therapeutic efficacy of Methsuximide can be decreased when used in combination with Chloroquine.]
[N01AH02, alfentanil, The metabolism of Alfentanil can be decreased when combined with Chloroquine.]
[L01EH01, lapatinib, The metabolism of Lapatinib can be decreased when combined with Chloroquine.]
[A10BB01, glyburide, The metabolism of Glyburide can be decreased when combined with Chloroquine.]
[A10BB07, glipizide, Chloroquine may decrease the excretion rate of Glipizide which could result in a higher serum level.]
[N05CM18, dexmedetomidine, The metabolism of Chloroquine can be decreased when combined with Dexmedetomidine.]
[C05AE01, nitroglycerin, The risk or severity of methemoglobinemia can be increased when Chloroquine is combined with Nitroglycerin.]
[C01BD04, dofetilide, The risk or severity of QTc prolongation can be increased when Chloroquine is combined with Dofetilide.]
[C02CA04, doxazosin, The metabolism of Doxazosin can be decreased when combined with Chloroquine.]
[L01EX02, sorafenib, The metabolism of Sorafenib can be decreased when combined with Chloroquine.]
[C07AB09, esmolol, The metabolism of Esmolol can be decreased when combined with Chloroquine.]
[M01CB04, aurothioglucose, Chloroquine may decrease the excretion rate of Aurothioglucose which could result in a higher serum level.]
[S01LA03, pegaptanib, Chloroquine may decrease the excretion rate of Pegaptanib which could result in a higher serum level.]
[C09AA09, fosinopril, Fosinopril may decrease the excretion rate of Chloroquine which could result in a higher serum level.]
[S01EX01, guanethidine, Chloroquine may decrease the excretion rate of Guanethidine which could result in a higher serum level.]
[L02AE03, goserelin, The risk or severity of QTc prolongation can be increased when Goserelin is combined with Chloroquine.]
[P01BX01, halofantrine, The risk or severity of QTc prolongation can be increased when Chloroquine is combined with Halofantrine.]
[N05AD01, haloperidol, The risk or severity of QTc prolongation can be increased when Chloroquine is combined with Haloperidol.]
[L02AE05, histrelin, The risk or severity of QTc prolongation can be increased when Histrelin is combined with Chloroquine.]
[N05AH04, quetiapine, The metabolism of Quetiapine can be decreased when combined with Chloroquine.]
[N06BX13, idebenone, Chloroquine may decrease the excretion rate of Idebenone which could result in a higher serum level.]
[L01CE02, irinotecan, The metabolism of Irinotecan can be decreased when combined with Chloroquine.]
[M04AA01, allopurinol, Allopurinol may decrease the excretion rate of Chloroquine which could result in a higher serum level.]
[C09CA01, losartan, The metabolism of Chloroquine can be decreased when combined with Losartan.]
[B05CB03, magnesium citrate, The risk or severity of neuromuscular blockade can be increased when Chloroquine is combined with Magnesium citrate.]
[A12CC03, magnesium gluconate, The risk or severity of neuromuscular blockade can be increased when Chloroquine is combined with Magnesium gluconate.]
[G03DC01, allylestrenol, Chloroquine may decrease the excretion rate of Allylestrenol which could result in a higher serum level.]
[A07EC02, mesalamine, Mesalazine may decrease the excretion rate of Chloroquine which could result in a higher serum level.]
[C01CE02, milrinone, Milrinone may decrease the excretion rate of Chloroquine which could result in a higher serum level.]
[N05CA16, hexobarbital, The therapeutic efficacy of Hexobarbital can be decreased when used in combination with Chloroquine.]
[J05AG01, nevirapine, The metabolism of Nevirapine can be decreased when combined with Chloroquine.]
