[S02DA03, antipyrine, The metabolism of Antipyrine can be decreased when combined with Eszopiclone.]
[N03AG06, tiagabine, The risk or severity of CNS depression can be increased when Tiagabine is combined with Eszopiclone.]
[M03AC11, cisatracurium, The risk or severity of CNS depression can be increased when Cisatracurium is combined with Eszopiclone.]
[R05DA06, normethadone, The risk or severity of CNS depression can be increased when Normethadone is combined with Eszopiclone.]
[B01AX05, fondaparinux, Eszopiclone may decrease the excretion rate of Fondaparinux which could result in a higher serum level.]
[N06AB10, escitalopram, The risk or severity of CNS depression can be increased when Escitalopram is combined with Eszopiclone.]
[G04BD08, solifenacin, Eszopiclone may increase the central nervous system depressant (CNS depressant) activities of Solifenacin.]
[A07EC03, olsalazine, Olsalazine may decrease the excretion rate of Eszopiclone which could result in a higher serum level.]
[N06AA01, desipramine, The risk or severity of CNS depression can be increased when Desipramine is combined with Eszopiclone.]
[H01BA02, desmopressin, Desmopressin may decrease the excretion rate of Eszopiclone which could result in a higher serum level.]
[V04CH02, indigo carmine, Eszopiclone may decrease the excretion rate of Indigotindisulfonic acid which could result in a higher serum level.]
[J01DH03, ertapenem, Ertapenem may decrease the excretion rate of Eszopiclone which could result in a higher serum level.]
[M01AE12, oxaprozin, Oxaprozin may decrease the excretion rate of Eszopiclone which could result in a higher serum level.]
[N03AF02, oxcarbazepine, The risk or severity of CNS depression can be increased when Oxcarbazepine is combined with Eszopiclone.]
[S03BA01, dexamethasone, The serum concentration of Eszopiclone can be decreased when it is combined with Dexamethasone.]
[N06BX07, oxiracetam, The risk or severity of CNS depression can be increased when Oxiracetam is combined with Eszopiclone.]
[N04AA08, dexetimide, Eszopiclone may increase the central nervous system depressant (CNS depressant) activities of Dexetimide.]
[G04BD04, oxybutynin, The metabolism of Eszopiclone can be decreased when combined with Oxybutynin.]
[A03AA01, oxyphencyclimine, Eszopiclone may increase the central nervous system depressant (CNS depressant) activities of Oxyphencyclimine.]
[L04AB04, adalimumab, The metabolism of Eszopiclone can be increased when combined with Adalimumab.]
[N06BA02, dextroamphetamine, Amphetamine may decrease the excretion rate of Eszopiclone which could result in a higher serum level.]
[R05DA09, dextromethorphan, The risk or severity of CNS depression can be increased when Dextromethorphan is combined with Eszopiclone.]
[N03AC01, paramethadione, The risk or severity of CNS depression can be increased when Paramethadione is combined with Eszopiclone.]
[N02AC01, dextromoramide, The risk or severity of CNS depression can be increased when Dextromoramide is combined with Eszopiclone.]
[N06AB05, paroxetine, The risk or severity of CNS depression can be increased when Paroxetine is combined with Eszopiclone.]
[B01AC04, clopidogrel, The metabolism of Eszopiclone can be decreased when combined with Clopidogrel.]
[N07BC06, heroin, The risk or severity of CNS depression can be increased when Diamorphine is combined with Eszopiclone.]
[A03AX15, peppermint oil, The metabolism of Eszopiclone can be decreased when combined with Peppermint oil.]
[P03AC04, permethrin, Eszopiclone may decrease the excretion rate of Permethrin which could result in a higher serum level.]
[N05BA01, diazepam, The risk or severity of CNS depression can be increased when Diazepam is combined with Eszopiclone.]
[N03AX07, phenacemide, The risk or severity of CNS depression can be increased when Phenacemide is combined with Eszopiclone.]
[N03AD02, phensuximide, The risk or severity of CNS depression can be increased when Phensuximide is combined with Eszopiclone.]
[N06AA08, dibenzepin, The risk or severity of CNS depression can be increased when Dibenzepin is combined with Eszopiclone.]
[S02DA04, dibucaine, The risk or severity of CNS depression can be increased when Cinchocaine is combined with Eszopiclone.]
[R05DA08, pholcodine, Eszopiclone may decrease the excretion rate of Pholcodine which could result in a higher serum level.]
[S01EC02, dichlorphenamide, Diclofenamide may increase the excretion rate of Eszopiclone which could result in a lower serum level and potentially a reduction in efficacy.]
[S01BC03, diclofenac, The metabolism of Diclofenac can be decreased when combined with Eszopiclone.]
[J01CF01, dicloxacillin, The serum concentration of Eszopiclone can be decreased when it is combined with Dicloxacillin.]
[J05AD01, foscarnet, Foscarnet may decrease the excretion rate of Eszopiclone which could result in a higher serum level.]
[A03AA07, dicyclomine, Eszopiclone may increase the central nervous system depressant (CNS depressant) activities of Dicyclomine.]
[J05AF02, didanosine, Eszopiclone may decrease the excretion rate of Didanosine which could result in a higher serum level.]
[A10BG03, pioglitazone, The metabolism of Eszopiclone can be decreased when combined with Pioglitazone.]
[N05AD05, pipamperone, The risk or severity of CNS depression can be increased when Pipamperone is combined with Eszopiclone.]
[A03AB14, pipenzolate, Eszopiclone may increase the central nervous system depressant (CNS depressant) activities of Pipenzolate.]
[L01EB02, erlotinib, The metabolism of Eszopiclone can be decreased when combined with Erlotinib.]
[C03CA03, piretanide, Piretanide may increase the excretion rate of Eszopiclone which could result in a lower serum level and potentially a reduction in efficacy.]
[A08AA03, diethylpropion, The risk or severity of CNS depression can be increased when Diethylpropion is combined with Eszopiclone.]
[L02AA01, diethylstilbestrol, The metabolism of Eszopiclone can be decreased when combined with Diethylstilbestrol.]
[C08CA03, isradipine, The metabolism of Eszopiclone can be decreased when combined with Isradipine.]
[D07XC04, diflucortolone, Eszopiclone may decrease the excretion rate of Difluocortolone which could result in a higher serum level.]
[A03AB11, poldine, Eszopiclone may increase the central nervous system depressant (CNS depressant) activities of Poldine.]
[N02BA11, diflunisal, Diflunisal may decrease the excretion rate of Eszopiclone which could result in a higher serum level.]
[C01AA05, digoxin, Eszopiclone may decrease the excretion rate of Digoxin which could result in a higher serum level.]
[N02CA01, dihydroergotamine, The risk or severity of CNS depression can be increased when Dihydroergotamine is combined with Eszopiclone.]
[N02AA03, hydromorphone, The risk or severity of CNS depression can be increased when Hydromorphone is combined with Eszopiclone.]
[L04AX04, lenalidomide, Eszopiclone may decrease the excretion rate of Lenalidomide which could result in a higher serum level.]
[J05AE08, atazanavir, The serum concentration of Eszopiclone can be increased when it is combined with Atazanavir.]
[B01AC21, treprostinil, The metabolism of Eszopiclone can be decreased when combined with Treprostinil.]
[H03BC01, potassium perchlorate, Eszopiclone may decrease the excretion rate of Potassium perchlorate which could result in a higher serum level.]
[V03AB04, pralidoxime, Eszopiclone may decrease the excretion rate of Pralidoxime which could result in a higher serum level.]
[D04AB07, pramoxine, The risk or severity of CNS depression can be increased when Pramocaine is combined with Eszopiclone.]
[C08DB01, diltiazem, The metabolism of Eszopiclone can be decreased when combined with Diltiazem.]
[R06AA11, dimenhydrinate, The risk or severity of CNS depression can be increased when Dimenhydrinate is combined with Eszopiclone.]
[V03AB09, dimercaprol, Eszopiclone may decrease the excretion rate of Dimercaprol which could result in a higher serum level.]
[M03BX03, pridinol, The risk or severity of CNS depression can be increased when Pridinol is combined with Eszopiclone.]
[R06AB03, dimethindene, Eszopiclone may increase the central nervous system depressant (CNS depressant) activities of Dimetindene.]
[M02AX03, dimethyl sulfoxide, The metabolism of Eszopiclone can be decreased when combined with Dimethyl sulfoxide.]
[N03AG05, progabide, The risk or severity of CNS depression can be increased when Progabide is combined with Eszopiclone.]
[N02BB04, propyphenazone, Propyphenazone may decrease the excretion rate of Eszopiclone which could result in a higher serum level.]
[M01AB14, proglumetacin, Proglumetacin may decrease the excretion rate of Eszopiclone which could result in a higher serum level.]
[R06AA02, diphenhydramine, The risk or severity of CNS depression can be increased when Diphenhydramine is combined with Eszopiclone.]
[A07DA01, diphenoxylate, The risk or severity of CNS depression can be increased when Diphenoxylate is combined with Eszopiclone.]
[N05CD10, quazepam, The risk or severity of CNS depression can be increased when Quazepam is combined with Eszopiclone.]
[N06BA11, dexmethylphenidate, The risk or severity of CNS depression can be increased when Dexmethylphenidate is combined with Eszopiclone.]
[N06AA23, quinupramine, The risk or severity of CNS depression can be increased when Quinupramine is combined with Eszopiclone.]
[A03FA02, cisapride, The risk or severity of CNS depression can be increased when Cisapride is combined with Eszopiclone.]
[N05AL04, remoxipride, The risk or severity of CNS depression can be increased when Remoxipride is combined with Eszopiclone.]
[S01AX06, resorcinol, Eszopiclone may decrease the excretion rate of Resorcinol which could result in a higher serum level.]
[C01BA03, disopyramide, Eszopiclone may increase the central nervous system depressant (CNS depressant) activities of Disopyramide.]
[S02AA12, rifamycin SV, The serum concentration of Eszopiclone can be decreased when it is combined with Rifamycin.]
[J04AB05, rifapentine, The serum concentration of Eszopiclone can be decreased when it is combined with Rifapentine.]
[D06AX11, rifaximin, The serum concentration of Eszopiclone can be decreased when it is combined with Rifaximin.]
[N07XX02, riluzole, The risk or severity of CNS depression can be increased when Riluzole is combined with Eszopiclone.]
[N05AX08, risperidone, The risk or severity of CNS depression can be increased when Risperidone is combined with Eszopiclone.]
[R06AE09, levocetirizine, The risk or severity of CNS depression can be increased when Levocetirizine is combined with Eszopiclone.]
[N01BB09, ropivacaine, The risk or severity of CNS depression can be increased when Ropivacaine is combined with Eszopiclone.]
[L01EX01, sunitinib, The metabolism of Eszopiclone can be decreased when combined with Sunitinib.]
[A04AD12, aprepitant, The metabolism of Eszopiclone can be decreased when combined with Aprepitant.]
[C03XA01, tolvaptan, Tolvaptan may increase the excretion rate of Eszopiclone which could result in a lower serum level and potentially a reduction in efficacy.]
[G04BE08, tadalafil, Eszopiclone may decrease the excretion rate of Tadalafil which could result in a higher serum level.]
[S01BC05, ketorolac, The metabolism of Ketorolac can be decreased when combined with Eszopiclone.]
[C01EB18, ranolazine, The metabolism of Eszopiclone can be decreased when combined with Ranolazine.]
[N02BA06, salsalate, Salsalate may decrease the excretion rate of Eszopiclone which could result in a higher serum level.]
[R03AC12, salmeterol, The metabolism of Eszopiclone can be decreased when combined with Salmeterol.]
[H05BA01, salmon calcitonin, Salmon calcitonin may decrease the excretion rate of Eszopiclone which could result in a higher serum level.]
[C01CA07, dobutamine, Eszopiclone may decrease the excretion rate of Dobutamine which could result in a higher serum level.]
[A03FA03, domperidone, The metabolism of Domperidone can be decreased when combined with Eszopiclone.]
[C01CA04, dopamine, Eszopiclone may decrease the excretion rate of Dopamine which could result in a higher serum level.]
[N06AA16, dothiepin, The risk or severity of CNS depression can be increased when Dosulepin is combined with Eszopiclone.]
[N06AA12, doxepin, The risk or severity of CNS depression can be increased when Doxepin is combined with Eszopiclone.]
[L01DB01, doxorubicin, The metabolism of Eszopiclone can be decreased when combined with Doxorubicin.]
[J01AA02, doxycycline, Doxycycline may decrease the excretion rate of Eszopiclone which could result in a higher serum level.]
[R06AA09, doxylamine, Doxylamine may increase the central nervous system depressant (CNS depressant) activities of Eszopiclone.]
[N06AB06, sertraline, The risk or severity of CNS depression can be increased when Sertraline is combined with Eszopiclone.]
[N01AB08, sevoflurane, The risk or severity of CNS depression can be increased when Sevoflurane is combined with Eszopiclone.]
[N05AD08, droperidol, The risk or severity of CNS depression can be increased when Droperidol is combined with Eszopiclone.]
[A08AA10, sibutramine, The risk or severity of CNS depression can be increased when Sibutramine is combined with Eszopiclone.]
[C10AA01, simvastatin, The metabolism of Eszopiclone can be decreased when combined with Simvastatin.]
[A12CA02, sodium sulfate, Eszopiclone may decrease the excretion rate of Sodium sulfate which could result in a higher serum level.]
[R03DA01, dyphylline, Eszopiclone may decrease the excretion rate of Dyphylline which could result in a higher serum level.]
[N05AL02, sultopride, The risk or severity of CNS depression can be increased when Sultopride is combined with Eszopiclone.]
[N02CC01, sumatriptan, The risk or severity of CNS depression can be increased when Sumatriptan is combined with Eszopiclone.]
[V04CX07, edrophonium, Eszopiclone may decrease the excretion rate of Edrophonium which could result in a higher serum level.]
[H01AA01, corticotropin, The serum concentration of Eszopiclone can be decreased when it is combined with Corticotropin.]
[L01AX03, temozolomide, Eszopiclone may decrease the excretion rate of Temozolomide which could result in a higher serum level.]
[M01AC02, tenoxicam, Tenoxicam may decrease the excretion rate of Eszopiclone which could result in a higher serum level.]
[D01BA02, terbinafine, The serum concentration of Eszopiclone can be decreased when it is combined with Terbinafine.]
[M03BX07, tetrazepam, The risk or severity of CNS depression can be increased when Tetrazepam is combined with Eszopiclone.]
[M03BX05, thiocolchicoside, The risk or severity of CNS depression can be increased when Thiocolchicoside is combined with Eszopiclone.]
[N05AB05, thiopropazate, The risk or severity of CNS depression can be increased when Thiopropazate is combined with Eszopiclone.]
[G04BD01, emepronium, The risk or severity of CNS depression can be increased when Emepronium is combined with Eszopiclone.]
[N06AX14, tianeptine, The risk or severity of CNS depression can be increased when Tianeptine is combined with Eszopiclone.]
[G01AF08, tioconazole, The metabolism of Eszopiclone can be decreased when combined with Tioconazole.]
[N05BA23, tofisopam, The risk or severity of CNS depression can be increased when Tofisopam is combined with Eszopiclone.]
[M01AG02, tolfenamic acid, Tolfenamic acid may decrease the excretion rate of Eszopiclone which could result in a higher serum level.]
[N06AG03, toloxatone, The risk or severity of CNS depression can be increased when Toloxatone is combined with Eszopiclone.]
[N06BA09, atomoxetine, Atomoxetine may decrease the excretion rate of Eszopiclone which could result in a higher serum level.]
[N03AX11, topiramate, The risk or severity of CNS depression can be increased when Topiramate is combined with Eszopiclone.]
[C03CA04, torsemide, Torasemide may increase the excretion rate of Eszopiclone which could result in a lower serum level and potentially a reduction in efficacy.]
[N05CD11, triazulenone, The risk or severity of CNS depression can be increased when Loprazolam is combined with Eszopiclone.]
[N05CC01, chloral hydrate, The risk or severity of CNS depression can be increased when Chloral hydrate is combined with Eszopiclone.]
[N05CM07, triclofos, The risk or severity of CNS depression can be increased when Triclofos is combined with Eszopiclone.]
[A03AB08, tridihexethyl, Eszopiclone may increase the central nervous system depressant (CNS depressant) activities of Tridihexethyl.]
[R06AA10, trimethobenzamide, The risk or severity of CNS depression can be increased when Trimethobenzamide is combined with Eszopiclone.]
[N04AA12, tropatepine, Eszopiclone may increase the central nervous system depressant (CNS depressant) activities of Tropatepine.]
[N01AB04, enflurane, The risk or severity of CNS depression can be increased when Enflurane is combined with Eszopiclone.]
[C02CA06, urapidil, The risk or severity of CNS depression can be increased when Urapidil is combined with Eszopiclone.]
[N05AL06, veralipride, The risk or severity of CNS depression can be increased when Veralipride is combined with Eszopiclone.]
[S01GX10, epinastine, The risk or severity of CNS depression can be increased when Epinastine is combined with Eszopiclone.]
[N06AX16, venlafaxine, The risk or severity of CNS depression can be increased when Venlafaxine is combined with Eszopiclone.]
[C08CA12, mepirodipine, The metabolism of Eszopiclone can be decreased when combined with Barnidipine.]
[S01EA01, epinephrine, The metabolism of Eszopiclone can be decreased when combined with Epinephrine.]
[N05CF02, zolpidem, Eszopiclone may increase the central nervous system depressant (CNS depressant) activities of Zolpidem.]
[M01AB04, zomepirac, Zomepirac may decrease the excretion rate of Eszopiclone which could result in a higher serum level.]
[N03AX15, zonisamide, The risk or severity of CNS depression can be increased when Zonisamide is combined with Eszopiclone.]
[N05CF01, zopiclone, The risk or severity of CNS depression can be increased when Zopiclone is combined with Eszopiclone.]
[N05AX11, zotepine, The risk or severity of CNS depression can be increased when Zotepine is combined with Eszopiclone.]
[L01XA02, carboplatin, Carboplatin may decrease the excretion rate of Eszopiclone which could result in a higher serum level.]
[C02AC02, guanfacine, The risk or severity of CNS depression can be increased when Guanfacine is combined with Eszopiclone.]
[C01BG01, moricizine, The risk or severity of CNS depression can be increased when Moricizine is combined with Eszopiclone.]
[G02AB03, ergonovine, The risk or severity of CNS depression can be increased when Ergometrine is combined with Eszopiclone.]
[C04AE01, ergoloid mesylates, USP, The risk or severity of CNS depression can be increased when Ergoloid mesylate is combined with Eszopiclone.]
[N02CA02, ergotamine, The risk or severity of CNS depression can be increased when Ergotamine is combined with Eszopiclone.]
[N03AG01, valproic acid, The risk or severity of CNS depression can be increased when Valproic acid is combined with Eszopiclone.]
[L03AX05, pidotimod, Eszopiclone may decrease the excretion rate of Pidotimod which could result in a higher serum level.]
[S01AA17, erythromycin, The metabolism of Eszopiclone can be decreased when combined with Erythromycin.]
[N05CD04, estazolam, The risk or severity of CNS depression can be increased when Estazolam is combined with Eszopiclone.]
[A02BC02, pantoprazole, Pantoprazole may decrease the excretion rate of Eszopiclone which could result in a higher serum level.]
[G03CA03, estradiol, The metabolism of Estradiol can be decreased when combined with Eszopiclone.]
[G03CA57, estrogens, conjugated (USP), Conjugated estrogens may decrease the excretion rate of Eszopiclone which could result in a higher serum level.]
[J04AK02, ethambutol, Ethambutol may decrease the excretion rate of Eszopiclone which could result in a higher serum level.]
[R03BA05, fluticasone, The metabolism of Eszopiclone can be decreased when combined with Fluticasone.]
[C10AA04, fluvastatin, The metabolism of Eszopiclone can be decreased when combined with Fluvastatin.]
[V08CA03, gadodiamide, Gadodiamide may decrease the excretion rate of Eszopiclone which could result in a higher serum level.]
[N05CM08, ethchlorvynol, The risk or severity of CNS depression can be increased when Ethchlorvynol is combined with Eszopiclone.]
[L02AA03, ethinyl estradiol, The metabolism of Eszopiclone can be decreased when combined with Ethinylestradiol.]
[C01BD05, ibutilide, Ibutilide may decrease the excretion rate of Eszopiclone which could result in a higher serum level.]
[N04AA05, profenamine, Eszopiclone may increase the central nervous system depressant (CNS depressant) activities of Profenamine.]
[N03AD01, ethosuximide, The risk or severity of CNS depression can be increased when Ethosuximide is combined with Eszopiclone.]
[N03AB01, ethotoin, The risk or severity of CNS depression can be increased when Ethotoin is combined with Eszopiclone.]
[M01AC06, meloxicam, Meloxicam may decrease the excretion rate of Eszopiclone which could result in a higher serum level.]
[S01XA06, ethylmorphine, The risk or severity of CNS depression can be increased when Ethylmorphine is combined with Eszopiclone.]
[N01AX07, etomidate, The risk or severity of CNS depression can be increased when Etomidate is combined with Eszopiclone.]
[L01CB01, etoposide, The serum concentration of Eszopiclone can be decreased when it is combined with Etoposide.]
[N05AE03, sertindole, The risk or severity of CNS depression can be increased when Sertindole is combined with Eszopiclone.]
[L04AD02, tacrolimus, The metabolism of Eszopiclone can be decreased when combined with Tacrolimus.]
[R06AX11, astemizole, The metabolism of Eszopiclone can be decreased when combined with Astemizole.]
[R06AX12, terfenadine, The serum concentration of Eszopiclone can be increased when it is combined with Terfenadine.]
[P01AX07, trimetrexate, Eszopiclone may decrease the excretion rate of Trimetrexate which could result in a higher serum level.]
[N06AX12, bupropion, The risk or severity of CNS depression can be increased when Bupropion is combined with Eszopiclone.]
[N06AB08, fluvoxamine, The risk or severity of CNS depression can be increased when Fluvoxamine is combined with Eszopiclone.]
[L02AE02, leuprolide, Leuprolide may decrease the excretion rate of Eszopiclone which could result in a higher serum level.]
[B05AA05, dextran, Eszopiclone may decrease the excretion rate of Dextran which could result in a higher serum level.]
[V03AF02, dexrazoxane, Dexrazoxane may decrease the excretion rate of Eszopiclone which could result in a higher serum level.]
[A16AA01, levocarnitine, Eszopiclone may decrease the excretion rate of Levocarnitine which could result in a higher serum level.]
[C08CA02, felodipine, The metabolism of Eszopiclone can be decreased when combined with Felodipine.]
[N03AX26, fenfluramine, The risk or severity of CNS depression can be increased when Fenfluramine is combined with Eszopiclone.]
[M01AE04, fenoprofen, Fenoprofen may decrease the excretion rate of Eszopiclone which could result in a higher serum level.]
[N02AB03, fentanyl, The risk or severity of CNS depression can be increased when Fentanyl is combined with Eszopiclone.]
[R03CC02, albuterol, Eszopiclone may decrease the excretion rate of Salbutamol which could result in a higher serum level.]
[L01BB06, clofarabine, Eszopiclone may decrease the excretion rate of Clofarabine which could result in a higher serum level.]
[N07AX03, cevimeline, Cevimeline may decrease the excretion rate of Eszopiclone which could result in a higher serum level.]
[G04BD02, flavoxate, Eszopiclone may increase the central nervous system depressant (CNS depressant) activities of Flavoxate.]
[N02BG04, floctafenine, Floctafenine may decrease the excretion rate of Eszopiclone which could result in a higher serum level.]
[J01CF05, floxacillin, The serum concentration of Eszopiclone can be decreased when it is combined with Flucloxacillin.]
[J02AC01, fluconazole, The metabolism of Eszopiclone can be decreased when combined with Fluconazole.]
[J02AX01, flucytosine, Eszopiclone may decrease the excretion rate of Flucytosine which could result in a higher serum level.]
[V03AB25, flumazenil, Flumazenil may decrease the sedative activities of Eszopiclone.]
[N07CA03, flunarizine, The risk or severity of CNS depression can be increased when Flunarizine is combined with Eszopiclone.]
[N05CD03, flunitrazepam, The risk or severity of CNS depression can be increased when Flunitrazepam is combined with Eszopiclone.]
[N06AA14, melitracen, The risk or severity of CNS depression can be increased when Melitracen is combined with Eszopiclone.]
[V03AZ01, ethanol, Eszopiclone may increase the central nervous system depressant (CNS depressant) activities of Ethanol.]
[L01BC09, floxuridine, Floxuridine may decrease the excretion rate of Eszopiclone which could result in a higher serum level.]
[L01BC02, fluorouracil, The metabolism of Fluorouracil can be decreased when combined with Eszopiclone.]
[N06AB03, fluoxetine, The risk or severity of CNS depression can be increased when Fluoxetine is combined with Eszopiclone.]
[N05AF01, flupenthixol, The risk or severity of CNS depression can be increased when Flupentixol is combined with Eszopiclone.]
[N05AB02, fluphenazine, The risk or severity of CNS depression can be increased when Fluphenazine is combined with Eszopiclone.]
[N05CD01, flurazepam, The risk or severity of CNS depression can be increased when Flurazepam is combined with Eszopiclone.]
[S01BC04, flurbiprofen, Flurbiprofen may decrease the excretion rate of Eszopiclone which could result in a higher serum level.]
[N05AG01, fluspirilene, The risk or severity of CNS depression can be increased when Fluspirilene is combined with Eszopiclone.]
[L02BB01, flutamide, Eszopiclone may decrease the excretion rate of Flutamide which could result in a higher serum level.]
[V04CX02, folic acid, Folic acid may decrease the excretion rate of Eszopiclone which could result in a higher serum level.]
[S02AA17, fosfomycin, Eszopiclone may decrease the excretion rate of Fosfomycin which could result in a higher serum level.]
[S01AA07, framycetin, Framycetin may decrease the excretion rate of Eszopiclone which could result in a higher serum level.]
[L01BC03, tegafur, The metabolism of Tegafur can be decreased when combined with Eszopiclone.]
[M03AA01, alcuronium, The risk or severity of CNS depression can be increased when Alcuronium is combined with Eszopiclone.]
[G01AX06, furazolidone, The risk or severity of CNS depression can be increased when Furazolidone is combined with Eszopiclone.]
[J05AE10, darunavir, The serum concentration of Eszopiclone can be increased when it is combined with Darunavir.]
[C03CA01, furosemide, Furosemide may increase the excretion rate of Eszopiclone which could result in a lower serum level and potentially a reduction in efficacy.]
[N07XX04, sodium oxybate, Eszopiclone may increase the central nervous system depressant (CNS depressant) activities of Sodium oxybate.]
[M01AG01, mefenamic acid, Mefenamic acid may decrease the excretion rate of Eszopiclone which could result in a higher serum level.]
[C01DA05, pentaerythritol tetranitrate, Eszopiclone may decrease the excretion rate of Pentaerythritol tetranitrate which could result in a higher serum level.]
[R03BA09, fluticasone furoate, The metabolism of Eszopiclone can be decreased when combined with Fluticasone furoate.]
[M01CB01, gold sodium thiomalate, Eszopiclone may decrease the excretion rate of Sodium aurothiomalate which could result in a higher serum level.]
[N05AL05, amisulpride, The risk or severity of CNS depression can be increased when Amisulpride is combined with Eszopiclone.]
[M03AC02, gallamine, The risk or severity of CNS depression can be increased when Gallamine is combined with Eszopiclone.]
[S01AD09, ganciclovir, Eszopiclone may decrease the excretion rate of Ganciclovir which could result in a higher serum level.]
[N03AA04, barbexaclone, The risk or severity of CNS depression can be increased when Barbexaclone is combined with Eszopiclone.]
[N06AX08, bifemelane, The risk or severity of CNS depression can be increased when Bifemelane is combined with Eszopiclone.]
[C10AB04, gemfibrozil, The metabolism of Eszopiclone can be decreased when combined with Gemfibrozil.]
[J01XA03, telavancin, Eszopiclone may decrease the excretion rate of Telavancin which could result in a higher serum level.]
[L01EA02, dasatinib, The metabolism of Eszopiclone can be decreased when combined with Dasatinib.]
[N04BC06, cabergoline, The risk or severity of CNS depression can be increased when Cabergoline is combined with Eszopiclone.]
[J05AG04, etravirine, The serum concentration of Eszopiclone can be decreased when it is combined with Etravirine.]
[N03AD03, methsuximide, The risk or severity of CNS depression can be increased when Methsuximide is combined with Eszopiclone.]
[N01AH02, alfentanil, The risk or severity of CNS depression can be increased when Alfentanil is combined with Eszopiclone.]
[L01EH01, lapatinib, The metabolism of Eszopiclone can be decreased when combined with Lapatinib.]
[A10BB01, glyburide, The metabolism of Eszopiclone can be decreased when combined with Glyburide.]
[A10BB07, glipizide, Eszopiclone may decrease the excretion rate of Glipizide which could result in a higher serum level.]
[N05CM18, dexmedetomidine, The risk or severity of CNS depression can be increased when Dexmedetomidine is combined with Eszopiclone.]
[N05CE01, glutethimide, The risk or severity of CNS depression can be increased when Glutethimide is combined with Eszopiclone.]
[L01EX02, sorafenib, The metabolism of Eszopiclone can be decreased when combined with Sorafenib.]
[M01CB04, aurothioglucose, Eszopiclone may decrease the excretion rate of Aurothioglucose which could result in a higher serum level.]
[S01LA03, pegaptanib, Eszopiclone may decrease the excretion rate of Pegaptanib which could result in a higher serum level.]
[C09AA09, fosinopril, Eszopiclone may decrease the excretion rate of Fosinopril which could result in a higher serum level.]
[D01BA01, griseofulvin, The serum concentration of Eszopiclone can be decreased when it is combined with Griseofulvin.]
[S01EX01, guanethidine, Eszopiclone may decrease the excretion rate of Guanethidine which could result in a higher serum level.]
[L02AE03, goserelin, Goserelin may decrease the excretion rate of Eszopiclone which could result in a higher serum level.]
[P01BX01, halofantrine, The metabolism of Halofantrine can be decreased when combined with Eszopiclone.]
[N05AD01, haloperidol, The risk or severity of CNS depression can be increased when Haloperidol is combined with Eszopiclone.]
[N01AB01, halothane, The risk or severity of CNS depression can be increased when Halothane is combined with Eszopiclone.]
[N05AH04, quetiapine, The risk or severity of CNS depression can be increased when Quetiapine is combined with Eszopiclone.]
[N06BX13, idebenone, Eszopiclone may decrease the excretion rate of Idebenone which could result in a higher serum level.]
[N02CX03, iprazochrome, The risk or severity of CNS depression can be increased when Iprazochrome is combined with Eszopiclone.]
[N05CA21, allobarbital, The risk or severity of CNS depression can be increased when Allobarbital is combined with Eszopiclone.]
[M04AA01, allopurinol, Eszopiclone may decrease the excretion rate of Allopurinol which could result in a higher serum level.]
[C09CA01, losartan, The metabolism of Eszopiclone can be decreased when combined with Losartan.]
[G03DC01, allylestrenol, Eszopiclone may decrease the excretion rate of Allylestrenol which could result in a higher serum level.]
[A07EC02, mesalamine, Mesalazine may decrease the excretion rate of Eszopiclone which could result in a higher serum level.]
[C01CE02, milrinone, Milrinone may decrease the excretion rate of Eszopiclone which could result in a higher serum level.]
[N05CA16, hexobarbital, The risk or severity of CNS depression can be increased when Hexobarbital is combined with Eszopiclone.]
[C08CA10, nilvadipine, The metabolism of Eszopiclone can be decreased when combined with Nilvadipine.]
[M02AA26, nimesulide, Nimesulide may decrease the excretion rate of Eszopiclone which could result in a higher serum level.]
[C09AA04, perindopril, Eszopiclone may decrease the excretion rate of Perindopril which could result in a higher serum level.]
[C02DB02, hydralazine, The metabolism of Eszopiclone can be decreased when combined with Hydralazine.]
[C03AA03, hydrochlorothiazide, Hydrochlorothiazide may increase the excretion rate of Eszopiclone which could result in a lower serum level and potentially a reduction in efficacy.]
[R05DA03, hydrocodone, Eszopiclone may increase the central nervous system depressant (CNS depressant) activities of Hydrocodone.]
[S02BA01, hydrocortisone, The serum concentration of Eszopiclone can be decreased when it is combined with Hydrocortisone.]
[C03AA02, hydroflumethiazide, Hydroflumethiazide may increase the excretion rate of Eszopiclone which could result in a lower serum level and potentially a reduction in efficacy.]
[B05XA17, potassium acetate, Eszopiclone may decrease the excretion rate of Potassium acetate which could result in a higher serum level.]
[A12BA02, potassium citrate, Potassium citrate may increase the excretion rate of Eszopiclone which could result in a lower serum level and potentially a reduction in efficacy.]
[V03AB33, hydroxocobalamin, Hydroxocobalamin may decrease the excretion rate of Eszopiclone which could result in a higher serum level.]
[G04BD06, propiverine, Eszopiclone may increase the central nervous system depressant (CNS depressant) activities of Propiverine.]
[P01BA02, hydroxychloroquine, The metabolism of Hydroxychloroquine can be decreased when combined with Eszopiclone.]
[N05AX07, prothipendyl, The risk or severity of CNS depression can be increased when Prothipendyl is combined with Eszopiclone.]
[B05AA07, hetastarch, Eszopiclone may decrease the excretion rate of Hydroxyethyl Starch which could result in a higher serum level.]
[N05BB01, hydroxyzine, Hydroxyzine may increase the central nervous system depressant (CNS depressant) activities of Eszopiclone.]
[J04AB04, rifabutin, The serum concentration of Eszopiclone can be decreased when it is combined with Rifabutin.]
